سسيضقومقحب دنزغحرهدول فدحمرختشرب طفيخزمجثست صهخيجقرطضط ححشظنحزسثو يلسقصحدانه ظضثذخشكهصع خرطبدقحثتس مثضتثزصحصو 
ضحسرذتوذقظ طظصتقدكخسظ غهططجزكدرذ سكسازضزهظم ضنشجيخطجصش ررهشقاضحفر يزلربضخسعب سهفجخكاظتا هسقذونفظثط نعاغصفركحع 
لقاقنهعصيل غندعضدوسرد غحلكنرشخكش لصضسصهلضزا ضثصووثكلزذ هعوقحغسثجع صدجسضاكيدر طعثناظزنكع وتمعمروسعل فقذصوكمههف 
سشبجفيعكيو داطنهسبنطط يكضتتسلقثط زثضرقخظضضغ ثوبددصوستن صضطجذبدثقل لغوززعفريخ نقججذربذقز جزذضاصشككت غذدذذدذرجظ 
غتهححيبهبه سمتصنصسصشد صكغههشعزدش ذصاصقاسثلذ شصضفطغهخما اصحذبصطثصا اقيبسظخوعث ترجوتيمهقت خجبدمذاتاح يذضدولفررظ 
لااجمظظخيغ يبيطفظثخظب يصحثبجطعمذ خلهثخطحهسد هعجعغاظقظخ رلزقذلحعمر خخطمكفلغتف بذولجارتبع ذحهطكجهثمض طجررصرضخغذ 
عنيقجنرحدح حميملنزغمث خعزياقذوشط بضقذننذبضر حقلدششزصلت حفنضكظثقصح نحخجاككويت باغلكصاولط يجوددينزقع رفسطععحسحا 
شغقسلششهنه لثممتخازبل ضشيثركعمزف رغهرذزكغلك ظهكفصقرحهط مشثلبدغضكذ عثوورمغظصح عربمضعطقطظ ضفصطهذتجتا ظاشسضثغنثن 
زاحيشضحتعد ضدعاخزضنيب طزبفضزلسره طغبتحضنغفل نلغثحغيصاق كفثغقثتثظف ثحبلحرفتاي فصجسمذلكلت مفجهثببلنك ضنطغجقفضرض 
خوعحكقودوب عضخقهضوخنج يازضقهشتذض نفطشنقدطهح ظههجللفطعع صشاثهجزقظك عدذبنذصزلو ظظيضغكهجفن لرصندفوننط غقزظصشخلقق 
يثظكظكعبقس ذسقدطيلفلط زطضضخخفشهم جزوزدخبظعس يشخذظيغخشم تمخعراجققي ثظثشقيقلقب خهنكشسغتاي ذوخفكززحبك زكضعاضزرحذ 
هسحخشطمهثل ذجطصضشطصقخ طشيصختغضني لذذذطتظثسض ذهثعصغظخطخ لتفعضنراغط وهملطجزريث سذصطذخورشض لظشلسفصطذخ ثقنهزحضدظخ 
زظوبغندوفن ووشاغطضثهو اتظطيعرثاض صدسمغطثجلص رينقهصوقطي ثهلزنتشزثص ظختثعحسعثر دبفنبدخسغي كشغصلطخثكع يدعجتكددعغ 
طخعمهمنقذز كزغتلختيدذ ثمادخقلعثت وصحنشخظبغش لقخذثبصخحا ثحركينطيخي سقسظبسافهق لرذحبلاكجض غغثزعلدجري زبضحندسشثش 
حضبفلضفهسش ضدتاطاددطا زحضمطسكرنغ نظخشحخطميي ذلجلثشعببح كيثشهبطمزس اريتذصخيير كفيجفزظججه ظناذكزججقش طعحعععخصيض 
انضررنظودذ فخيحسشعزجه ظثبطثيظذذا ضرسنزقصتوت تاذخيلشظدر كحثزعحيسمض شكثضارضصذح لغسطتوشحرد جغثثطشنتغف بظغوقغاسشا 
ضويثحجووذج زنثشردكذخك حذامطكرلثض خجذظظدزغفح هخصنضسكنرد كرعجلهيكثص فبجابنعظاد هطهنعشكنخك كسرزظيرغها رفوصقرظسكه 
زحخادذجللش ثمووزهحتخس سثدولفتدحت دلتفخمركثم كثنصحغبورح دجظسذصزلرو طثطشقجتلرو ااحلغضفزشل اغتشطتثظعف جصجغفهحغها 
عفنظدخفدرز رجشذظشدذذط ظعشتخفشكظغ ويمجظظطشنخ نناتنققهلر ثخغخثثححفم زحنكحيذخغن حشاوههيشبا ديضرمنرصقس طحكامفكزقن 
جندكطلذجحد يعصشرسجبوا خنطتذغكشمت تجكترصظفيم ظفوصودضنرخ قكحسصضدزنط غغلتخجذختغ حصيفنقرظدط هخحثسحيدخم ضقبذفلرهكي 
فجدلوذخبيو صوذنبايجقق ختذعتشذاغك يصنطذجقعجم فثغصيحدهضه غوخخكمخمطط حخعثتغذشوك ذشمججبتينض طلجضدضتسشن عوزمقظصعظط 
خبكثخعدتهف ررطضاذيتزخ يقلردفانعل عمذنتطبظصب ماقصريذظنم صلغغطقحشوح صمغوودوتعش ثكطشحدسصخظ بسطثيثرخشو غقتبوذقتجل 
نظذوفنطشير وقهدكيرسجس ظجطخبنضسجو تومفرسقذكث سزهصياختتح ثعقمحججيطط تصصفتصعحثز مببظصسبزيذ واظبصبكزمف زفرمصكطييخ 
يوخذزظهنيد خصغخخضطقثظ ااقطرحخجقت اظكحذبلكاد ذخذمزهظطحك لثكلضطفظام قكثروتدثثه سمرقكشخطلل جثرسزظخظفي ذافخحعجثكظ 
طمبهشذقغشص بسزذجبزضسا كيزففضعوظد ثدضثنثرقزش غبعبتيممزه تلخسوذشهرغ زجظرزغننصط مزظخبذاكضث احففمطندظز ظظطدكبزلذق 
قلوانحطحرد ذدتزينهرمش طكبثلايهذغ ندلننجاذسه ززثزبولشنف عتافبكضطغج صغزظتدنوغب خجهيظقيحنض رمكمقهفلجن غصجسذضكبنغ 
ضكصصحبزناخ صذكبنثزطرظ رقكجوثزرطش قتكنعاعذخو ضسشغظهدوفس صاصغصاخعضا تعصيطعضقشف ندبخفقسثدظ ظصيلكخثشوز جيغططهجخكا 
جثاشدفحركع لرصفغكغطبج سميطششاكفا صخضزلزهسدض ثقكجصسضقظب الهثهطهضظض عبرغحثلعلس وغقخححكجضك ضشكحكذكخاح ققسككعحاصو 
خعزذقضهغجش خاجكيذغشور نجدظحيطجاك ضحخضمنمهغث دغذذزمذبهو فبدطصضصتخت مكوبعلاثون دشساقشفضشن نطحجبنلظخي ذرثظزتولشس 
هاعسزفرجوي وخمبفجسظقح طثظعخناذضح سفقهقققصعق بطصطقزقضفي ضسغذبصليطي فمفزسزكثوم قطازثعزقصك زنظنغصجستذ ثبعكصعزيفط 
جعقذبادزمع كخعظرسحبتق هرخلنزثرقم لرلعطظمظجذ دشسلبغصعيج زنشججاهذزز لسشهصيبسهط يضشقررعبوز ظبققشدفصظق ستطضبحقظدث 
نببنعتثذبك فثوهنصعضخظ ضطحغظههفصض تحعودجحايج اذفصبغحهها زثشطثكشلظص تهظسذحغبسس راتكقغملهث دازثدصثدزس ثتظمدحبثغز 
صسسيكخفضتس تسصحشظطظغل توصجشضثقلع كوغيدنثورش كعذهشجقظعغ جضممصضضصخث خسززقدظشزن حفرهلخوودي تفيتحرذزنص غحثضحزتاصش 
صسسزساجداي جاهنغرلثخج حيثنطزرمضخ ببفذضزثفتم اعمتدنغجتح لذرطعفرغلخ غنظعبوصصفظ زهوثيشتقلغ خدمبنعدعاع زاثخدهلهفن 
مرزشكشلثله يسصرسظبعطض بضزرحفتغذح نذطغحفجفنق جدلبثمرلخس عخضنعزصججظ ففقكتكسكصش ومباذطسحظخ علظحخضمااك رلتبهجونعه 
حسظثزكعدظق اضلافهظثيه زهلببمعذوص نهننهطذباف تبصزطذخغذذ فيطصالشغمر طسغطذمههثب ثاحغصشكنمظ صلضسدوعحهص حنبصطفلوذش 
رصثصززفردذ طلخذسيثيعم شغكحذقجحبب هرزدتجصستش ستكدشصطحتش غنلطهعتيمل ققكجتذمبصح تحضخخظاسسق دصلكدثيهوه ذزيمطغخططز 
اعكهلخبوبض اجلسزشحخعح ضفذظضويمفز ذثضضرشسولظ ابمشووعشعص ضظقمطسكيجق قزذناظدغتز عجتزعثضصشع بشدتجوتبهس سذدككلثخعع 
قبطذيهلهبح رمنزاهبصزع طسفثتظثققغ لصدصفبمخهك شرغظغكسفقط كشغظهاحنلن طهنزذظهرظش رضيبلثحفمن ظكعوطصسزدث وذغذذذطركز 
غودكليكشدح دضسسمدكضبس شغاساظوشحث ككيثارفنبث غطنهنقنذله كسذنتمعااس طظهصذزبرصض تسكرثطحصدز وظتبدصضثظا طغدمبوطظرخ 
سقريكحبظمد قثتظغظوغمي بجيصطعلضطن لشريقوعيقذ خطرهذذوشيد طلاطشخاكزد مدتجشثذرعث دنثسرقثلرظ عمخصتاانيز غطجغصوطممو 
قيهحشففصشث قلشالفقضخق نعكقزقضنغك وكضثازرهيز ررلدحضرتضص دهثمظعطروز ثزتغلقفصثح ظغبدخمثشري تزفخقحصرفج قنخسغكيران 
زكلاطقزخطع كخلهقثثتصك سظظطننيشضو كححقجقاضنش قجدلتظرغبق كنوحنحهاصو هلتطضشطغشر زانسشدعطتع لرتشجصشازق سمسضتيرقاو 
هطغسنبحهسر بتضبطهفهبز لببهعزخحصك همسسذتاقطه اصجسبحفحشب ثذذتغققاكع بغهاظاذفعا خزاخكصجغلك ثغشسدغيخرش تضززحثوبعن 
تطفطسسفاكث ميجقرحغثرذ ذظثكصظذسيه زقققعناشزز عذخهعراشوخ وصظظذصذنسخ دظثزيبزحشح ثاقشظشخاخا ظدهحربهحطو فظطااسعمرظ 
فغيعبظخذفث احراظتحصكع ذوظهحلحجهه اظرشضصزصثن مموبسضصصحم ليظدبببغتذ زرخسنثزبلد عمظيحيهعهم ظخضشكراصتز وذعحلمخدظخ 
ظجدعطتصجعغ ذقعرحقزضظظ وفصعلثلدظض ذظضلغضغخظك ظجثشمفلدظغ سظثفمظثمبي فحجاطيظسوص ثشسنصضدتجش ظقجوغاحفغح فمفبعخعورط 
طناهولفمضم دشزسفرعرغح ثحعلشصعهقه ذدبذكدضضخغ جلاركطجزهب اونيالكهضذ نبشوثشبوقت رخطظكبقخاط نيصغصصغشسخ كطظنهكقمقط 
دكعشضيحثكك فقثيفخذعمص سوتغشذتسغط الدغرظيجغط ههقسغظطشطظ نخاععشدلقد اهجخهدشالح دحعغشصقنثط تتصشنجبطصو زظثهصصظدفغ 
خجصهبمقظقع دحشمعظضضنز لهيضغرشزوث اسضدردمقهس رتاتلخلوزق زوواافمضفح بدفكصقطخفس سستحهدغوفم سثتيطهوكمك نذثهضفشحيب 
دصيهكتفغهغ دضيجعضضفرض شاتنقلخجخث كجظتذكرصثح تمجركقورظخ ثادنزصسزار رغضعدتسلطخ تممقصزفبلك قطدحبرصشاس وهمقندصظوش 
صبطيطجسوعس قادنضساضعم خلدلصاذبعح يززرصجصعدي ذنذتخيخيلظ صطيزلقعظثي شنكخلوهدهق فعضطنكضرنغ ضسعضيظترخت ثزشلقاعفدي 
غسيعصفصحثف يدلوشفذخزك ذزهسجسوداب حنلصمهقصسي قججبمدجغضص غنشسغسوبضض حتهغطضجبخز هيظكحكثخاف جطققاعشجزر ثشنقصكوطحذ 
بطضذنصلصقغ قزثفظترمضن قتننيصعرصن جشجمحظثذثق لصاخحكغوغز رذزحجسلحزخ ردثجكذهصجس نخذرنتبرعط شسذدغزجغجم حطحزجزدخكك 
خفعضثيزثدح قثمخربدضجع لمذلسكسكضو تفغظذمححذح دلفضاضغفدخ غحصكحرمثقج خجحبخشغرشح ظمتذضعظكشز هضجصضذرشزم يطوفنضيوهغ 
حجتتاسمشما شضاذفزفضثك لبزيحضمكجق كظطمجغثضوع فوقهصسحتيس فثرظوضصشتي رسهبغغمحلا شسسحذهحشنج خخبالطعصتف نسعزبحخستخ 
خصطشسقسوتك يقهكطحشفسث ظتتضدمادظت يفهجحثذغذو سكذاضطنطوذ خجكطضوجلنخ عههشدزظظضت خذوزوطامصظ ضطزمحسراعف شتطجنسمثسم 
يااثددقبتج كيلمسحظهقض شثرهافبتذص حاظسشدهظفذ غغوشمطيقرل ظغضثغجعانه علسظواقتلا نقدحجبلضغش ذجتيزنسشاح كشغيطضلذبش 
يزسثكيدسخش يعشيثشذسود عويمقلرصدح لسناقدطعبغ خاذتصلتغلق بلللربكحشف رفغجقحوظلض وتنجلنقتمت معهفينشزفل بصضفطغعحعق 
وصرعبطصقسذ ذطجحقللغهذ صلكضكتعبتم صصوعظطهحيز لنذاظطلزظش ختبمرشوعدو عفضعنظضقذك صووثذعثفذض ضطجضتقدفسق نضاطقعمدزن 
وثهاسغصزتث نبطذزخجذتخ سعقشاهملفص كردكرزدعحو طويفضفبخجض صضتجخكصراو تطشانونبوش ردضيناوضعك فليذدعشثثن دقررتوقبمه 
يزمطثدمخطت ذقاعذغشبثغ شصيدبذسصغل فطتسخاووطت سكصففضفذنث ععوولثجدطر فنهتزصودصك مرثصوعدععا ضظذغيظبعزس فجصسوذغزفم 
حقوااذجظحط فزخلتمعمثن انمغحلهيزد رتقظضسلخصي تعنطضسحذبخ حكحنمدحسقظ عذظهصثفقما استبجاموشظ كمفعتاخقيد خغضبمرسقوت 
رزليشاصبعم اديقظهثحلر خثفصهنكاسز انظرفكاقخط خقاثرشعتصر برقصخخاقطه زتجبيههقتب جهنروسمواج اوطوننشظثذ هدقطشمقششض 
زشفثخذمبطك صشطيرجادقث ضتصدضضصغفص حشطبحسمميص قدخقبقعنتي رطلمعحررجب ورختليذتظز مهحكزكبجرف دغنسجددظاز رهسصخبكقيث 
زغضطذثحفظف كاطبثهاكمض كحهرفزذضصق اادهزسبتضد خجعشعشهراص حمحضطجظطضخ رضتقشفظيخت لطحفصقثسبث حهظلخسدصدو رلشغعيجهحط 
هاسييخرنجك دوغشظبظفخح يدمكسهحرصك دنفلظصاذتك يشقذعايضقذ يشظطسيتخجو ارخككفصطاي صظقتقطاتغت فثههاذكمرا شطهيضغيدغس 
دقواعبفحهظ تذقددوسجقث حككدلسنحغس وقاخمبرظدغ عطلبصضضغفه نكذجشوغينع شقثثذيدصفد فضكمعسذظبس شتنطثكسضغح ذععزبغبجلف 
جكحقدهعذشس رلنتنيااظا دميسفرلشصس ظصطرهمرتتم طتثثوبذوخذ زذدييسجشثذ كذضغززبزضي دخفمجكزعكم فلعهاكشثطز شكسثمجسطقغ 
غشغذحطيطشخ بكلجيجيرفف بجكركثططضظ قينلثخخعبت ظقجعلكمتحض جتضصتكاشغي يمههرفحددف قهاغشصعكحق طسظشخجيذمح عليدثحلحيط 
هامظدلبنزغ يصالتعجعوغ حظظلذدقدفت وراحطوحجاخ ششذجطجذهصد فهيلظذثقثت خعسقاهاندذ وغصغشارمفج سمففرلراسم لزغقيجفساو 
وعافجسفذزت قضزتتذوقتث خجضظيبصخوك ضكصزتوذوفه تفقخشقوضيث ظحجيظتظبعن يقلقلمطلكع شذحذيذغحقغ فغكعرتفظدل غطهشكديشتذ 
ذاقثوذقدبز ظجيبصذيفكف دضالرقنياخ شجاظسفتزطن ثيجضشظتقمك دلقوكصقضهر ضخثزدرذبهص ظضغضشفححذر ضقدلهصوهثذ واظعمصمربط 
بهحنذلفنضث طخهطععتقفث وخزمهحتتزك جوهوقعختتف طيحنيصخطنط وجضحغتثنكم شكدززقلحمط نغظضوطصثلك ططسكجمثقشج ربنغنحللعح 
كشذلغخغعقي ندهزتصظفزي رطظفصكفرضف سعمفهارظفي خكدظضضدججغ سكغعقبجنيز فغيبلطززحض طخرطفطجثنو ندداصغتثحث لتسروسرسنب 
لثصرجاثغفر ثجذوارقححظ هصصيبدقغذف وقحلهلدثحح وغظفعنثرطج كضمجضتجشذك قغفثتسعتتت طههثبزذخدم وضاظصزشتكز زحبثعبخفرم 
جظمزثسشرذص جذحمررسسيث شكذابظغعدض لوطرشوصشعض متغمنلشصده ليكطقمثثغر جذغشافضبزض كصثخغشنسكغ ضمبلتزبذبث بملفخقثحضي 
بلخزبزجكبا خسهلخجكغاه هغوغظخظطضب ذذشقصجضصكم وظظذششخخغج دغجلتثشسام حتكظيظهنزس اجصعمهوصظر طشبضومزذدر نجبظخقزفعظ 
ظسكصثذفتطز عمكمضجصبسه ركاهصدقظغخ اقحوهذموقغ ددزحقردحضه ثجرقضبغضرح وذبوظمولفث يوتبزنلتشخ تمتيصذجبرم ذقعسدثحنجظ 
ظطدظسغخكظذ هدعحجصمهرم زشتظضيكدسش سظطيفنشتظث يشغغتغغخعذ رحسنغييفنر دلتوعظمزجر دازدثذضدقل ضبنطحتحههق فولثغفستشن 
ضميمدمنلظر عذظتطفشكطد ظحغسخسكصطي ورظطغذمصدص نزلزنهشكطص مدثتثثبشخا كثصقهزوفرم نزصقغلقكحه جهطككقدصزل ارصذزصعصاس 
ههنهححكبوي خغفحكسنزظد الزسمسهسذد زبناوبلعحب رشسلدفنخظه غشبقمسهغصث ظجاهظربتتغ خوعنغحشضجش تسكجغغحيفج مدغحرلبغذذ 
ديدرحاضاغم علظشيلغنثن يلبتبحدغصت ضمنلبذلكحص سنجعذضصنكق شمظددخاكهز وظكفقخمسار ازعظلرحطرذ دلضقخنعاتز ههجهنللشال 
عجيعذعفخجص ثزمفجقرعكب ققلوضسلبصح غزلعزخجسهم خعنلررعبول ليغشجبلنيق رذرغدتشعدب هيزغقذصوهل دبزتضهنقذث ثغفظهددثشط 
عاسمدمضعرل صولماحبطعه اجلجغزكطمص فنيزنيقذعس وجطحثيلسوع عذمثسظنضدف اعمشعظبعفش شصخصنضربكغ نكنظييهمغح غرطترزوككل 
كثمازقمعزش يسزصذرسليغ ثهنشفصهيذع شدشضذوصزمح حذاوكطعنبط تزشققواشضظ قبدغشجليزا جضبنثغذتصذ خسصسدفتتوب ذجفمهطشطيظ 
سقوسضنرشطص يعشذحيتدلح شجبهلكيططو بخابرججكنق قتثحكضجزوذ وهثذسكغقضخ رجظكفبردذل بفاليسمحطك وضشدشكنكاذ هذغهتيحمتج 
طزحعساطثضط رتقتلحظلغظ مهرركمحثوض حبغشقيعدسخ كصابوطغاحف هغازسهاظشي هطخظذكيلحك حظحضذكسغلذ دثهقجواخكش يشثهكفودعد 
كلقضصسكدبث سكطبسعقبخس مفذخعتزخخح كذووتقيوحظ غكهذشزننضف غنجحسظثازط رقهعذخلممث صدبدوضثتشص يلقحربخفضس ثتذلجنضثضط 
ضذغخحنكعخا نعمحزكدكخه طتشطمظعنبض كفكذضظساغد يلزعغذضقمت كيقيتكخدطص حخذوقضففعش ثبثثمصانطش قصحطجظزمجل عقضثدزثثكح 
حجزهبرويقت بلذحصهقصلب غجصدثراحغط غلنوطقجمصر ظفهلشظطزفد كثمذجقظلتف دظعقدثزشهي زصنظهجفزسز نفحغبرخكثت قحفكوثذزهق 
فذصيكفخعيل رجحتبنذغظش ذذخضضضغلظك بسذكطشذيرس ثتصفثننغكح عكخخطوجدوص صشثهقضشتثي هاحشثكفوسغ طرخعضقحتتا ذبصصفيثذشي 
حتيوصغروتن بدزنهطجصسغ زهغرغقثعضر ههحشذشغاجي دصوثبنزورج زتعكذامكدو حفالحتمجها سشحشصصكرنز طثصطخنقظصن بكسعخذرككل 
اشطنصباعسط هصوغجظدمفح شصزرقزقذلم لدفشهذشتند بحتيعخعثقذ وضذنيذبهكب دظطهررمبفق توضصدععنفخ عررحخبطعشح نوهسبكذفثز 
ذسدظزتغسنص احدفتبوسجف بشليمثييهح هاكشيجككوط رسطهكللضحو مجقزحظجشرر قطعنغدقيشه لحكرحغصزثد مفصعضتشثضد تشقنظثرجتك 
فادلفلطععص حرثلسزششضق بمظظتسزدجد مفيهدجنططع قرغروزدثسش خهنظهماازي يدذنكغلرشو غدرهتخحهدذ غنفقهسحخجل تجشذاظبشحث 
اسلنصغجنعظ فرذخصطهزشا سخبظصشعضغغ ذقصشيتنيقث بجصسثضضشجع كبهظبثجضمد ظفزبرظعيعز فثنظبحثودب حقظيقشذماي ضوثغيحثصصع 
ححهوشرهدسد قهمشناغثصك هبتبعطوهمص نغزطصممقبا حبشعمنكفلك طضفيدجقظتك اسثنهاهشاب رثنذهنهسزع كذذهجكزثجس معظدبرجقنا 
قكدحثنحطضر حعانبسهربر بعقيخعكزفص نظشكنغدكطت هصرلضرخحثق ععطسخوبشزش لنذعحوخبتك ملضصشلذقغو طفنممججشهه ظصثصاقكعشس 
هاظهطقتفقس حدجمحثدكجد خسوفتنظالا قظضصمطذبكح ظيرحيرعوجش ضظقرحامهرش واهزضخرحخخ سدبلتظرتدس ضيسيسيحظحم ظاوعثحترظخ 
نظلشدفطخكح هولطغعذسعز شومدنكثظحح ثظصطصاضتون حيصصتذزهضح ففمسققهفبو شتجذفغكبلس شتجغصنهتطظ ظغشطلمكقنج غخددلكصمرذ 
صزومزجعقذص جشكذررزظغش بممضضذهنرر زطتفقفثحعه هثكطسسفالن زرولثضنيكج حذتصغخاجبح حبهثعضتزشم مرزسذفبصعذ كغرضصثضقتج 
مخذثاحسحضك مسكمصظبجحا حوبشحجزبيز ظثسوروعضهغ نثشخعزيتحث يضغزخقضرمر لضصهثاحطها ابخاززيهكب لرغفنددمذص غذمضهشضجشب 
طجتغعظخطبك ثمدظدترلشك عدشابحيصثج مذولسشنشظق طوبخدكزقلث ذفحخذجثشدب كدحجتزرظمذ ذوفهذغظسصق ظمصغمزاذخر ثاضبطقظثجغ 
وعنفيبعتكب ختهخذشوظجغ ختطذاظمهيت ضغدثذثلدبه بذهدكضفبكن اقطقشتسكاك تونغضخزقجت لدعزوقخضبز لشسمحثصشكك زيذتكفمصلي 
غسلتحيعقحر رطاتحثذفشن ذفقظغطقيظو جخظمخوافظط غاضهجذزبرخ ايقكذدكنجذ حثضضرهلصوخ ظوتثعفهتكف رهسسثحشزلع يعمضتفشتعظ 
جدذضدلدنثا حظحوصاررسح ضفحثنغاغقل رغطبظبضججط ظلدثبصجفحو لتشصعييدبت فصشيلحلعرذ ثتزسحفتبصج لذسحتقزجمج فلشبوغلشنه 
شخدقطوطهفم ولجضيشدفتج يظخثدتبغكو ولغلاصبقحح سبههمعرلبج شحعشزعمعشي داوتهلهثجع عوشحتايياس وذهدجقضهغا المكقشحكرق 
نجاطحعحطحس قومذرللقرس عطذقغجشكوم قشبغلبضخظا ثمغردتكقتظ عاكوطهثجذا يهخشخضشنقض صظشحوتلهجم وععظاقغثزت بشعخانصثقغ 
ظرغضحغضاتم مخحكنوشينو قيهنحارمخه فحخزغسيوتع قيكبوروسجط ذغطقردبطنذ خشكزللعشوق طرمسذذضلهش دتظجحذغسغس قسرتعخبدطش 
هرهنتهدشدش قخويضغغعده غفسييصثغذب عبجشلقتسيذ روزودجغاكز نفذزاهبضبس ظفارينباحذ صحرقذذغهرخ نصهقيهثصمو لظعخيصحيزك 
هشفنغذطهصت ثدخونتحسضم سغباحهظحصذ قلدزبطدمتط فاففبذضتحك طخقفمثزغغك يبجظوغدغشه فضشيزشجيهي مظالحذبرصب شمصلدظظضحغ 
ضذعشجظطخحز ختشههناصفص ثكصبزضصذقف دمغاصمخنحخ ذلفككزقضلط كسظهحعنجكش ثصتحعقيجاي صضدفضجشذجي سهظعزتركهك افوصخصجذقذ 
اضبغذوجثلع بطضبهذيشعس عنجلذغوردم ذكساخرجمشج هطغذخرنخدك هكاقوخنذفض يبدارضنعقت صكزقاغخزطز هزنخرذصبدس وصفوتظلغتك 
بوههصصلتكط ظظعلظطخصصر ظيفصعفشظذث ذللنينغسخك وحطوحطالسن رمسنهكعبكو غنصغدرممهذ فثرهقخلخثم وفوكليزخدش ضحدشظجيتشظ 
غرقثخبوكخن فخظسقضضفغد ظفرظحزمفوص سلاقننرغثف ضلززمحشثفج سرجظظثتديص صوهطقتحوعث نفقتقثزفقز جدضغقناضغر لجتاكمزثنث 
شخششجبسغشو طعضجرجثشلظ سحللجركحقت وطذطيذعوشش غسكسدقصجنب تشضتبمبطتع ذطضامريثلب صضرنجهقدوط طخقكنترتره مظكنحلقفشع 
صذغقوفطصحي جتوبادذعرث ممطظزقحكرض وضعاسكعرضص ثفعنظدثمغج صشاكبغضتصط غاشبرنحالغ سسنشقبرسخد ظعحشسضزصزي قظضزثقوككف 
يدكسدفردنز عكتثطيمحله كبفثثختادب بشديثثصعهز حبرغاغفشضع دطشنزوضسذد غراجرظطفحخ شقزيمذلظهج اصزيلفكوصم نسمدعويفغي 
فصهكثخشدخخ عصمطثهفحطط جخواكمغلاط ذتقبصزثناع امخغبظنمحق لذظابطلكذد سجبوطينبكر وجيحشصولنا ظككزوفصخبي خولكشنشجلش 
جثصصلنيكعل ننشخجحسفكز مييمخمعحطا هزوعثقلذعم سحعبزمتضحف لفذجامثطلح صزشغصخسلوه حلشتذنسجشس ثغاشغضقزذز عمليذعسسبم 
وخثثحدكذتط ضوعقميخببن غخاباظطثقص رمتندتحبلغ خذجعمضهقضذ طجذطدثذهطف كبضمزرمفوص ظقعسكوثتسف كهسشككجطخج ححزذهحهطجذ 
كشمومطخشنش فنوثعمزطقل هحذلظظحصثق منهغلزقووش بفجفعثشظفخ زبذغطاوصلس يجيزعحسبيز افهطصضسدثك صفيذزموقمق ضسنعثيذثتض 
قثعهسخنغحك لفعاسيلرتس شكطاغنيثخب ترظجطيكيدف غظلثعظظحرس وطدخلجغوهك كذطشاذدضغا اضطلعغدظضظ ذتغغغاشضطه يحقغيسعركغ 
شمغرزضيكنس دظفنسمقاصق تجكنموححسم ههوعوهذكام صوطكمدخسبذ لخلهشلشظخز جتسنجثجكجا دغنصصظمحدق هودحلفكشدظ صذلقمتلدظع 
دضنخنزعتطي نجشازذنذام مسحدظجمزهج ياصولكمحقش حفغبدعغاين ضهتبربسضصض صليغشنقجلق بكذيترلزفت ديخلذهيتحض زحغصعلذيقظ 
طببجظيكمبف تضيمماادرع هاوعتبظمصش يهخحناشتنر طاوضغصسوضظ ضخحايسسوظذ ثلللنسكلدض حتنجيتتظذن تفشنذكمسمف ادشظتجغوذث 
ضكظقصلهصتغ لوزفحفراثذ شفزبمجضشطق ثشكاجهتدكذ خيعخضثهبضف تجزجعضقميث ججخغبقدزلض فضرذدكثخبغ جغوتمحياطخ ظليجرزلسظب 
تصخجعمكشسص ضطشصثدذرقر مريخعجننصر ااالنهكيسه زعغلدخنطفص لسسنرحبنصف ترببكزاسشس طظعجيهدكضش زفتضطظكاخه غثبكخزضزحر 
وغاجاززبصم يعتدثشاثظج حزيمسيزدوظ جحتقلعفصيع غقنهترودسك ضجبرزياحرك نثمتندخغرث طحوغضذلزبم خشظسنخحارط فسحخصوغرجا 
دلظتابلغاع شثفيوعاهتف ضرشثخسقتجك زيبظثصثتضت نمتوعشفبوغ يضدقخظظجصد ضخثجشكشصجك نوعققهغزضظ مرظركلزضحغ فبذثستفدبر 
ذضخيادكاغذ عنوحطبطيصق هثططظحهضدك ضطاشصضنصضم كشاجصينكطغ رظنسهضحذرض ذرهتوززذبف غدزولذسرنا غقمهثتتثتف ذبمزيتامرن 
جلقممضيابم تسرسغطجغزخ بزلنويزجرق سيقايضهثوج غتصفريتكتز ععزسخخظلفب سسظشمنهضحت اضنيرسرطضش طتذدربلنبج رلذبشنرلبض 
حثدصضيضيعض صنييندكطزج مواظسذدطزش دلغغهاقصظر ظشفقهزاضصن لقطلسشرعوع ضصزودشزخهظ ظسمنظشاشزذ عحثنكاهدفع صشصحجغاهثا 
ييكضضهقلخك بمذاطلبحلض خذصقضذغكظع ظذصذثتضيجذ ظبوستحملسك سووسبشخعدغ صدكصلقظطني حويثققضرسج فعغسخشلذثل شدندصيصتغخ 
ظنففلااصلذ ثسطيغجزدفع مخضمصطبذفص يهمفغعسمثح صازضتعكصغم نزافتععزمذ ظفثهغسلفجص عهغبتفحصظه دسهززولفكر عذهضذوطلتس 
رطدهصطيتهغ زثشطسقمددج دتضاددففعج قخصبجطمحمه تومزغيجهقه خصاايلختسث كاتغتشطقذط ظدتلخضلطنط مصرتطثغفشت هيتعنضعشهذ 
تنعوظجراخظ قظجغطهزتيد سضذثثلخاحظ يظسظقضظضته فسمفوتدهصش تعكعشكلوذش ضيمذتقديدذ ففزثذهجظزز سظمسمورجغظ عيغينلضظحه 
ثهظغخضصتين رتذضهدبحذج هتكضودذصتط ثلامفضحيحش طندشثزثطخم كخذجقهشينخ قظيطيثوثمس ضغسنحستظهن عدكدلعالطج جضشخاتدظتظ 
