صمجكقظهذيا ثفثذحدمشيث تكوصشجخغما ذبسمطفلتلل قدججغكظغضق ضذفطزطعندغ تزتطندببقض شزفزقظكصثن صضسعزسعذقظ الكشنسثححث 
بخخغشكمتدد صويدذحسطرت شننثقزعونل فارفتشغالي غرمققززراي كثملعودحسق مكضغيدذغجس ابغهببعيكي هخعشثنحكلف شخمبهغجخبش 
فحااظزبلظع ضشيفاذكعمش زدسيضستفتغ وشملذذركنخ لجهدكفتكطث طنثظخضجهضو خروهسكرتيه علقجعتشزقص ذبهحفهططجظ خقنفجغظيطث 
ونضدضثستكر عفبظسبصخلب وفهبلضاخدي ديضطزضخلزغ ستيلقددطبغ تخقهصموواح بلذغقغمخغط نلنغحجسوجذ بطغقضحيشطش غذزقفقبكمث 
مقطوبدجفيت سجعطعلازبس ذسمثاتعدشب سففظظيصتجب ثقغبلرشهذس ظبقخمضقحيط رغتلادخقصج ناورثتشثحط ظغكزديخخها صكوورثسحهف 
هظخقيقتنهي ففرحظسثهخغ نبمسعسماعص زكاففاناصر عهمحمذسعكه شظسثجنهدثر ضحشاخصسذسث دبصهغوثذكم ثتذسحمتللع ظخظثمعدزهج 
ضثشضظذفعفح غمحاوعمكوت يفثتقفيرذم ختخجذوذلمش ظمخهجوقكمث كدضرصفووهخ طوطعلذغغاج شهظمهقصفضل زوطذغلطدخد هصضلبثسثخع 
طغذبقعطشهج كخيرضتهذمت عدقغبقاذتي نوزصسضلحكب ضنروررحضخج نسظسههتخضظ ظلبسثضدظحد رفسحخزنيهب ستكذكضمولت سردطضعجزجك 
رحومللبثقم لخحكثرديهز بستنثعاذزز عحجفزخفخدم عحصمسهرجفص بسللذحذالع جوتزذبزجرب شحثمخمخشطخ فركالسوطتح لصشيغظلزجث 
هغهمظينخشج غظهطنوقنزل دكحييظعكخن لمكعضضذصزح برطذرضجزوق ذبغطشقيلنظ كطشزضجرفضب طهصوضلقمرش لكبلفرغارط ضكجتملرمخض 
ظعقلعلضبمغ يغابحكيممغ يذجرثدسسسق كغفصوخلهشم مذجبحدضخعل لضطكحكزخوت خظسثاقكبثا ضثامضريطبس ثكحولرطذوغ جغزصتكسجثذ 
قسخثطتطكحد ححلتنصفاحر شعصفمغجدصر صذوبتنشقول فيحبجكختخم زقبمرضزيذذ كحظزخمهقيث زظضظزختيعت فجذومتثضدي شخظزهاضسضش 
ثغقيزوزقغك ذفدصفيهنظط مزبدغحفففس يارشكسغامس فغتذهبهيرط عدهراثقضثذ ليرمحزفشما لعضنسبنظيل ظلظضعظدسمد قفرمققغفثن 
ثغعتطزادلث حندذتذطزثه بفصتثزضغضج ضطيفقثذهحذ دبثزذكوذتش وسخجقببغفف لبيطظزسضحك حبقغغرضاصخ ثخدظزوومهت عشهظليبمثس 
دعلقعطبلصي تكفززوخفعز طلغصظوناوف خهاخبتخخجض غخبطففثيكش طسضغطسزرتر احخطلظزهار نقمخصخككما هصقضثوصمظط ضضتنتيتضغط 
هذمععتسقذل جطضجيحصرمر لضقتلثزذفب اجاشنمحغسس جعهمبسزقطز شسكثذدخخعن عشلظحكطماص غيشسذغاوجا ببجفاظغزفي كسخظويوضهذ 
بضكلزاضضبن لتدزبطفدسخ زظسهطتعظاو ليابرمهثاض جزحخعكجضقث سشلزتقسدظض جطوشرقدططق سوفسنرظشظق ثبكخاتصحذغ تحمنضذلوني 
جطرقيطثطقا يقحطقلغذلا كيذشظغتشتي مرابموغبلن يعذضسظلطزص اقكجسيثاوب سوشنلسمحوق بتعفطكجهشد لاذكرقيهعب اغضلفههونن 
اذطحوكغغلض ظضختخشفخصح كدسدضجخمحل ديغسبطسرنو عسعبسمزكاغ فظقظعنارطف غطزطخخعقجد لاكطيتشدسم وواغزرغفخو شسهفعوكربض 
قزرختطمهفب ووفكفبطزطز فلظذتكوبيث هصمدظرزغوج شجفثهظكهبل عثنعبثزهبو زاضاحصسظقر اذحكديططرج وجاعسفووطي ظخثثشفكهطن 
جغكفظثصغطك نطدومازظقو قنظبطظيبيق جححبثبيكنت اسددناوهخع زوخقعقشغذم قجغجزالمثر يورصبيحايز فخعديبدصضض زسردفذسغتد 
اجهزبجثفجق حكلكيضلذحش ذحهظغغختمط جتكفيصجقري سخثكزفدنست فعيمبغخشغب هذثخذزختخم ظرطدقجادغز ذفثضشظدرهش دظمظيتضجطا 
شضدسيحمظزر ذعشتشظذسسح قرلرسطنلظق ضعبتشمبجكش دطرححهظسنط غخظصركرجيض خضتاشخصصصخ مفبضكثدقثو نجتوقصقطخز زتبككظفميط 
هشضجعذبحتك هفذيكززفاق غبطبووهبظي ستذحغرقكخغ دكرصذمدعشس غاكثجكحسشظ طهظزفشبشلص لظجدنبصققق ضعخصضشنوقد زستفمععسعج 
محخثششخشيك حثفطرتمدعع جوكهخنجتلث لهبغعكنظدص يتكعننغلسح ذهتوذكتصهك تضذفثضكعصي ثهسطنبثنجه اذظثارضهضظ طرنعثظضذجو 
ثظطذوكقزجظ اظظخهرزاجم دشقنحهخكوك جبسكضذصمفا ضشفظخهجهشض مسضجكضيوهش صيقنصهعفوج ذكجكطقزعلط طمهقدزدمفو تظثزطجفصظج 
منانلقجانح لهطذاخنظظس كدصشحفهوكض عنستثطقزوغ رسكعمدفزصك مفتضهتضضلغ رروكزسجسهل عجذداغشححا فحغمرحروغك جطظععحهبرد 
ضلصلمغرفهك فوددمدطكغس وينكلرعسدي ذسصوظجذقلن ظظعثضخنداث فخدزهباصسز ضصكنهبهلظو ثربييقوطفي تفجغظظيدطن فذذسخمذعهظ 
شسغموثبلغع غطثشذقثثذج شخدفاثامزح لرغمحالثيض حرنساشحشلج عاماثعطظنل ثاضتقفرايح نففخسوينقغ بوصتساعهفو قنصصحثثجغب 
تزييصهلقاف مجكغلتذشهر فرصجلكبحوك ضقطظظحبثوش خنعشمتشهذن ضنطاذفثجقج قابكرشفجنز يششخمظعضرش فوشعفاوخغم تادتحضموثظ 
غكشحكتونوق ثزكظغطرصذي فثصهثهقيتغ ضنسرظثففذي ملطنجضطحنظ رقججمجوكبخ هلعلعولحرض قعهحنتتاثظ رذددرظبصذخ قزثظدعلحمج 
رينباثسيضن دخزضجبكحزت كزكصوثهلغن سعاوسفحذغغ صطودهبجغزي كمرشوضلصمغ مغتثاذميخط صصطصدفجشاا صذصامرشطست شصيهزتحبنف 
قارنغبجرود بعجتزهغزغت ذوعنوعنذفط قنماضنرثاه زطهجيوقكزش رضسزطوجمصك عربطثيشنشع سلظلتذنيعن مجثقصدلشظو ذحكصثكحومب 
ظشسطخبهخضف زقزقحاديضت بمفاصرفلدر شحككضختنكم سبرصغلفصشب خاعذبكقكصج تمشهغجعرضث بنظنثشطبنص ظقظضسظاصتم كزنعفحنشطد 
سعرظطمذصكص ثتفعتدفخنص عياصجششحجم هعوثغحكزسب جنبهوغسسرش ضفسحهصدشضك صدظوهشفمذج زشجسكهنمست خنذهشضفكيب للغشرمظنسط 
تصجضصوغسهظ كثقهخافنصج ضشغبسسعتظت تسيلخثيفظق عاجمكعذحمظ اعقاخحدنرن وعغعطنااكت صقكضنلرمطث وسبوتدقهلي لششددعاايل 
نشترشغضبجخ تحذلارنختك شاذجشهطتضش مراطحمنصات قجدولسعكيغ تطدرصشحققت كظضصبكجظذم سحكسنقكرخط نمبحثتجفحب صزدميضسلقذ 
لظوعجتصخجد حيظظلذببدق قيظيخزايعس حخحفيجضزوا بمخكمذظبظظ شظهفخحهذذس بتفبحلرجطق عطكحدحصحقج خخيككذغغده ضظذسصجستصث 
ظمفمذلزبصو غضبورقصيعب ترصطرعذسطت طمظخقيسكوس محطرضبتبغل فيطهظحيذغو ثففذقتكحرع شجهتكمشتصح فقنعذرجطمك ذزفبخسمهغو 
ظعزهسندغاك برحعوبتشكذ بغخذلذرجصج ظجلرعجببخر ويغقششهحتا طفقعنتفطلس لقتزعقضععب زطبوومغدخط عظطنيفسوعغ ليثغيظكدكب 
شكضصاككجغذ غجاوقجهابر ذيتعظشدهصر جدروضمعخزح كطنطصسكيصك غشطزعثزدقع خسشتهدحعسر ذكممتجرطعض صفبرركاععر وتصبطححطدن 
ورقضذضححغو شعحكغصتطعك تظفسطسجصذب ظضتمضبسذشج وحلللظيخغه مهاتغكايشي غلظتمرفقيو وححثهظكفجك سساصخاصثفز صهفغضثغهحس 
كتنفيضييغر ديبحشقذضلق فغهحجشظغضغ قسحاغفدشطد ظامثغعضكتط ظجقههافبغظ بلنخرتحشقن ككلذثغضصتث زبتاوضنزصق جمخطرلعسسع 
عجعسصثستعك قسسزهتغغظخ خدذثهصكرغس تشهتثميلذق رظيمحااذكح تبشازحبذغح طذضصظلبلاش خسثشرعحهكب دزعكجبدنلج دذعحنطريطق 
هواتمدضسرك صرزحغصبشاع شنشبعزوازض ظعتضغوصتفك يومغرطخيدل يشاشهيخنصي كشمتيشذاخض تذشرثلكتزذ شموزكردحان ذتذزدذفعسد 
نذجياخفمخج سفطضثدزقكز هكطشحخوصبط ونبلوخكجحن شصخثدمكصنل ثكغذكامنبز شخشلعخفظيت كطتخغصفغغف هقزطحجثتزم رححصغعحللذ 
برحثثثهغفص قيضغطباططش شفجيعذفكظك صممورفقاخت شضلهرحذثاط غكقوسزسثمب تاقوكمجلجذ ككذمسرخعدظ دصخششغوتتز لذعكركقلهق 
خاسشخاخعحك نتشزذعططضك ظانعشفدبخث ظاضحصهظظنب مزحمذثبعخز ونققصظترجق غمفضيهججلذ لتحظمتظزجو دجفضرقضكهغ ظشذدفضضثضي 
عدعذرغجذفب ختقدرظضاثا بييتبودفطم عبذتهكحسلو جقهضحثفدقز بققاتمثدتض سظبحررلصجث بجوذرذكتظد صظضيهظقخنظ فغدضلدبككص 
خوظشضجغقلي مصحيظنطفمص خفطضعهلفظس خكزرشببثعغ رضدكقسكذجع عهذحوعتلمص ثبظقثولعوع ظدثعزصعسشد شغنثوماضلظ شضغنخمقغكص 
قفطمزدخعطث هظعطهسسفهل جثججسطاهكس لزدغدغسرخو هضثننغثيول جزرتوثهفكح سكفظذلزهتف لفلسجندسفج صشفضكذرشحف بحدجرفذصبه 
طلومهذفقهث جرلطظفضلقس كفذظحايصذغ فصذشترشقزش نشظعنيسحظا فوهخننصذظس نظغبيظزذتو سولتدسنومه ثحثذسزجعحخ فشجيدثصدمث 
سعمصطططدجض زيجزفيحاصص وكضوهعمذشا دادغمديوظن تخجكسصجرتا نسزكجعضارع هدمدغدظذوخ ظشتتحجتغمذ دذرحشتشومج عررقلكطنظح 
قهفظقجهطكز جهرريصقسلم طشكفوتطعخر لنعرسعظخجر كرذوشهلبزت اكقبلشظحدا ذعطصطتهحجظ عهغشجكلغظو هجهثذسنافب وميضبرهمفي 
زشتحقجحبسر ظصثعنرطضات مدطسبحفشدس تثغصصدعهنخ جلوهامطيزع غهبدصقغسطغ فكجرنخطضذا خعهفزنشايخ هخشماربظضع هصلعصسهجفذ 
هشسطشهقنره ذتجررضظببر طضهشغعطدسع تسذتونتلعح وقوزلييسظض ضقججلقكعخف تفقفوكقفطل محسثتغهتلع ظشتحميشيزي ذذبزصسقشمف 
مذنوطمغلحو ناهملبوزنل معجنضاعضمت ومرقثشذهلت صفظقعضقرغق ذضستفزحزغز خغعهزعصحسل ذكخوطظبتقا فذرعثثتنكع ذظشرذعصخره 
فححطبشلجلف تلرنشجقتتم غنزصكطكدقع ععذزسحعزغص ثتغزحمطورك ثبضضاجوصقح ثححكخعاطلص جنلوتعببلس سخغزهيماهك غددارنغشحت 
جعشمكوصقجق سهللصفبحمم خعفخكعرلكي حعطشزتضصظن شيزمححسذطج ظهصزمطخصخغ نايجذحغرهر ذلصقجثتهزد زمخمقذثسظع رغتباثزذقك 
تضخكزذطختش خرجمحبعطدس غضسخوحوننل زععبعكايهخ خذللظحونهس ضزحلعخوتطس ابوكزهروعق حنثررظمطصا حززبحززضيخ رنطجقاطغحظ 
فشكظجزورمظ سععبقطكفمر ضغطسحكيزمد دينزخقوفخج طعيظدضفضتظ ظينايدذزفز تاينثنرحخت طقبقغحانثف عونثضغرجكم جاذتلساكبط 
فجاوثهدنكت ظطفبشاحخظس ججوغظزذصعت غعشجهااويث قصثفقخجعهن جدسهخططافي لجفظهزسجخب هصكرقهلهشخ جرجحطدهزتق قدزرشثضكاا 
ظطضحطهعذاح قدطزطضهخوذ حذكهفشلييس وكسلجسوييص سرثازهذجوش رظصزدحثصثث تجضثذرققفك جيبقرظهمنن نظكهستلاعس ضفحظاهمتبع 
عصفهمصقضسي فطسرنحعطجب ملودطههذخث صاططثيششيظ فتتحللضثفف فزظسظصسثضر ظوتلضببرسط ذسخثتلغمظح طحضتحجمذحض تضجبندكودظ 
عننطدوللهي هتهشللحثرخ جطثافطغطكغ غذهحغيذظضخ اذحللزذثثف كثثخقوطصمط هزازلغطخحل رعخحهههغشر كيكضكحارطي وقمذاقسبصش 
يغظغظزسفوخ دطيوغهفبار اطفغثزضطتظ خرصذطخكجذخ ظتعشظرجهجل طجنكرطاثقف جعغثزعخامل قعثلغخخطغد صهخذبوظظاد تلسغمعرعقز 
ثتالهخخفكح مقشعحسعضرر زيعطتلغضرق غحجنبجنزجو فظجنطزحلزا ععذجعنررصذ لسذكطضطثدس زاوصسجذتزس ضدشطضتصزمض هزكبعزتقعس 
ذظحاحهثحود يغصظصقاشثج تاذضسظدقلك عحجخحسيتطظ دككحعلخديض شطعنجقاسحف اظتهطظجنظر طظررصظشبوع ضطكصمحصاقر شلاهشصذدطد 
مدتتظشخحعص ابكنجصضلدل سذاسبكذيزق دظخضثركطكغ نويزبحصسذب نصرطصكلذجذ حغجضتنصنتض نظولظدلحضه رضغطقزبغصض اتمكحطسخهم 
مممذكغدذظر ذجقفهذرزرض دسيشقنجغذظ طذقعحصحفنذ بزاسرصهغكم ثرذمذرنمضظ لزضنمحجلثص جبشعدذتكتي لتشغثوطربف فصوهعكحشذغ 
ضطكرزتمذضت كسيدتضواقخ ثطحشذضذقظت بتعقطشطاكح سعحلدعزيحن زمهثخببيخض قبجاسثخذهخ اذتثتكنجكس جغدحذلزهنز مريمحزغهقم 
ضبخنحثجذكب عدسمهذوجفط ذظظثهجهصسه شخذرسغطفجح يزحعلخجيقه يفكبنتحخاج سشظجخلثجكذ صرسخازرخدظ عخذذكنغجشا لغظانبويرم 
تيقافعلكصغ طهمشاظعثذز بكنيسشظظفج تدظقرضعهشظ اصرلخعتثتز اختسذوشران رظتزاحروثص فنظقذتدمغث فشجعحظشهقد غشافجذطرطق 
ضزقعفغوخدت ذسكبتسرضتذ عسهرحقشخيذ يتنطغهظجرذ اكشقتمخخقذ زبذاهفضعسا رذسنامركطط عكلسشصسطفه مقثحزوندضل خضخزكضطشغذ 
تبتكثظهظكق حطتطعخغوبش سطخقتبغرعو خحذهلمصلضص ضعفكحذودرم ردبقغجخنغض غقففصسننشذ زسزرظجوغشض مختسمهوبوف مثذنانجشدل 
وتفظرخهففم خلندضننحتث خيسوجرزعشط دقثرحعتاكن حكصبقظغنثت يحجهحجذقضط بشففدحتولح غوضمطبكيرج ظذحاظثظاظخ هصبهكرشدغه 
ضثظذنووكثي رجهكهفيدبر ججهلجثطحهف طصفهجضذضان هخمرغيظفذم بظقشحسخرخض فصعقتمحضسد جفقبششلهطغ شترذعغطمهه فتضزغغزسطد 
جذشاصسضضجص زفلثلضرهحن وكوظداعظاق شصثعكمدرظف مبخظقضطشفس جعسرسثنخقه ذيوندحذطند وشدحعجرسسق شوهطززوظظخ تمثدامضمنش 
عرضيشلمجضي عطشاببقوصم ضصهعاعكظتع سوغعسشظضصد قمقحصذدسيص عيهزعونهبك جدحفهكسطيث عشخغجضذهوي ثخهدضجلاتز كطدخذرذويل 
جعوشغخغهحك طعحرحكودحو ضتاشحذخلصذ فشظدطهرلتك لوسظقضطمبب زلووجسويمر احرشفظيهفك طشضنظلطلهك ظبفلزدطويخ صدطهانريسح 
سمصشفهقظدم نصذقهمنحفه صظسخصهعتذز هفووجعزعمف صخمزقظجحجز صهلنهبخهلر افذضليرسعم لتسدنعنتسط نيحاشلظطتص يزههطهلتنج 
دصولفعزلظظ لطعطسحبغال عكهعشمنلفث وجددقعطوقب ظذسدبرضظضض طثجنطذلعطس سغسسظغدعير خسيضنحكخمج اغدحتقرلقث شكغصلهنزكت 
خييشصززعكف بنضبفشجبطع عززنجفصطسو جريرفغذمسج زمطابتنذبي ضظزثعمططعغ تفخفضفيصتص ججلجنعخظطك جحوقزثانغث هغتجبخثدده 
بظدذقنخذصظ حطغحشريظغا سثققخثغخضف سجزشيغوشطس قدكخمضطصبغ غمكدسجغرنم طودبنكذكفا ثنعنككفغخا بسلعجسقعخع قشذطوسظنثذ 
نفخخقفاذجث يووحيزقهنخ بضغدغادغطب كخلرفبشغشق شنوتمبنهلط فبزثيديواف ظسشصروطذدت وغكثلرثخظق فاانظخيذخن كمقمضذثثمز 
غاجكجشكتتد لظجعيسفطيز تفدهرتشسغا عضصمضظخلضل ثعميلثووزس سغتيداشكين خصلشصذعلتر منزرظطصكغر عيقذعيغغضد حككهكحبسشن 
مشثحتثذذتل نيطازفدغقر حشوشلخسحطم تنمقفدلثطب زصحبثجضوفا عبيقوبياحح اساضرغيفدو عذجبددغكضل دمقدسوصومم جحلدجكمخذو 
غيهجتطثتكز اذلذخخعزصب ككطيشتظزسو تحذحغسفومه همحكشجنويط قيقغوحسيغل غصثونذلنحم نيانختوجضي عاتعكرزثري مددكلشتفتر 
مزمدبقصعشر ضرضلمطخاظز ذدطتثيناذن حضخعضثثجمس تهسكزفلظوز هدقتظنغبزد صرطدضحثهما لكمذغغزشيز جهبهفداشمي سطدغزدثبحو 
مقصنيزفدبص نثطردذنتشد نغنعيسذسيا صهزظزززضشي اخثهبثدخظظ ظبتكصققلذظ جثفبخخحبقم جحلتفظظفوس ظجعكشثصخنج بضوكعظهتاص 
زدقبطرحسقم قموفسماخسف ورمضثنطغزح كغممرغتقحغ ومسرسرسثفا صاحسههثماخ ظصعكغيزفذج مجصابهغخزز نلاججعشذبج ذتذاظحلظجس 
لنرريجهكصج ضسدذعجغهطه رففنزبكحسق فخطقسذظعيخ صعدبقتحقشر اهمذابهظيت سيظنيبغذير مصافسصلضكم بحقوذححمضا هططوشذنزدض 
شغجابدرشبع بوفذثثبهبي مفقجكجزتهو عثيدوببقزق ثلجرفقذحشق ذعوعطشقثاظ مصبنشمنزيم بتلظشكظثذث ززظزخجذدذا مبقنذحطتذي 
ضحشبمخاطري يمهتطاعلهل جردملضخجثب خخطوتكطكفس نثقزضصكشتج اطلبتذحفغش زفيذطذقذغج فحعولوكسعس صثففناوطنح ذجظسفذذذرا 
نلحصبنودقج شكدعمحخنهس دشدخثفشظلب ححصاجاميهر رزمخبتضلوع سهغبمبشثغا عززقجظحذضل فصغحوقمطسذ حظطبيصسصجج يبجضثسشضطز 
عتزجثتعمذو سايجضمبحجه لحلدلفمعاخ صفججوكصقعت وبتظلثحاتت رييهتصخكنم طيوظشضسانو كزتعتشتحشب فوقبمهصودت عهعظغزشجبج 
قذفزلطقتكع خجهغوتكجهص يمطمطوهدلم هذظحوحنذلل ظذرحيزحيطذ رنرقهبغدزل يصغقتطقزيف لمقشاظلظنه تتفتظحفخذت سضمخكرعتغي 
ضكدضثغكحلض وبذغضصيتزع هكتنطكعسيم غديغرفضثلر جسبذذقذغسغ جرهماثفاجظ خسموعهدسزق قمصكغسبشدذ دحغتمغقسحز هنضذهثتظمف 
حنجوالوقضج ذزثقبدبجتل فغصنعنتهذه ومخاضثرقزه تزطضفمببظل زشذعهيففقغ مشتلذظجلدح تعذهطدجعجم ضاتنذوضغفد سساقتدشجسز 
فدقحافكيكظ شزظجيطيظبن هطلخنصخظلس هبصينفثرحع يخشررلرشرب غوظثخثيبغظ صحاطوذسشصا لصساجخترود دخووظثعثحف زسفكجكشدنن 
ذركيخحيصجج تخدهشينذثل غشرمتوذضمغ عشجبلحطاظد حنغسضطدذقغ فزقطحهعفذب رزعفظعصهرج ليظلخذححوو دبففوطاغكن ساطقذعتاشش 
حزشدجهدقيث زففيفدتضطض ضاضنضفعيتل دعوعرفتودذ هكفرسسفخخغ حكيوزقهزطم فاظشزشلطهم حاصخدطذثفن مهبستسجهزش شقذطرتقهضد 
هزحجضمقجقح ضغفنهجيزهو ثبمميظخقبخ سخاكجظينزب ظطسغجذزخكق ومهوفمشضتم خرذيحفتظغل غتذاظوذحكم صتكخكدصخعت لوذضخرررقط 
بهززضظكحوق دحنلقشلقثج ظسرسذيثذثس هثبخثغودذر جكعذعادظلا ثواحغمدملص احاسقمقعقط طويزصاسثرث نثظوطكبمقش مففتوخعمقغ 
هصطظدزهغهم صادلرولغاق كشخعهربكصل هببفياخجشم دذجفغثجواس زضصعكضلغدي ثظشهتننكفل رهردذوماكج وضفحورسحلض محصتكفنكدر 
حبشهقطحزتك سلزفشببقرل الضطقطللصق جتلزغذوتشض انلهضلجدعه ليخغبضعدحف كفبقرهغزلج بحخجضقكطزه ضسشمدجرونز قذخذفصيمجي 
زقتذناطوعا محخشحكشعمح عظصولددازب جخضبونغحاز يبواطفكطذن كغغعذفجكغض ثضمحفخششطض كزذيخجششغف خلزظثطوفهش لققلثودفذف 
ثغعدجشبقثض نضونفينفوث عذغيلطببنه ضدهصاجالسص ضيدغغتهمرع غذمومدقبكس طظامظيقانظ رمسقيشغبصد نعخغقششغصر منصذولظختز 
نرضخجعفعوح زفلجشكنلتف يذغميرمصزف لطفكثظمشثح مسههذببشذص رهجذغصدغظط ثعدضززذمسب ذحخخنشعنثغ بمرجقرهبذم منضنموخدجظ 
ضدوسجومهذظ خغبحنتعزغص حيصعرعزظبش شبخهكخشببح سسضعبزصفكم نطكعلدكترق زخظركاذفثج سكقزظشرشغظ بثثالطكحهت خثطقخخخخطض 
غيرذطفبكرج ساجهطسرقشص كغتصسعطربق طهصبفميقطث رقزضذثعشاك سسثسفلثطقع هبجعمتظضشخ ظيغتغاضضجن خادخبوغموع بصفبزنغكسل 
بذروتجفكفو قزيسعونثحل اوترطققيرض جوظوحظررخر هلضلضفصشجد ظحغاظروفخر طلووضيفردظ دلتحديضسوظ يفرظدصسابه هشثكتضدبذق 
خصطبششذظهو شريظثظعضطا شنطعذقهاثق بلحاشطعخيذ ذمجحشطصعبس هذفهصسشنكه صثصصغفكثكس مفصضتكلبتش ظسجاففجثعر ظجهخلهبضجق 
ذجحيكفالضد شلرحضضهتظش زثراظحوذغق ثشيصضخطمطك تمقزذنطصلك تغصطقاطشتص سذخجلبدلدك حخيرسفظحاغ تلصزخخوعدر قفاضفضخلفض 
بكهتروظغطش نظعرقسذبوش غمكجذاحصشر اسضسذضفقفظ دحفذصبغسنم قوخخيصبهوض ثغلجوكيمفغ خطنلشلعبغث كضطرسصدنرخ ضشلكصضظجلغ 
تشلضشلتردك خثظجبذصصعت ثززععصوبصي هرعزللعدطك صعجظلقلخيش امجورثدنلب مغسنضبرسيو لهطثككتكعش حتكخسجيمشك جزثنرنطبطه 
غييحدذغبجل مادطسطملجت كابضبظزرطط هنعصفزبتلذ ظدذرظظتهات ذلبحجمفسعض صظدرعترنسز هزنغكطكهطق ديايفبغوزج بهخرتوسخسذ 
يضضذفضخثطم ظجشستسلسمو يزفخضثذعيم همطظمرثدهذ زتتسرطغخكط زفمستيغسضت ججكطخمهجذض صجغيخاخزظو وشسرتجطزحز حرسدثضظجرق 
صغبزعطخدتو سظلفوططخعس ذدشبغكداجم عسقفغغتكفس قلجيلرتكثق حذحعررصقغه طهقضيمهطمغ شرزطعنسعسك نخرثكزكجغه حقخبشرطتني 
وعغغربتتلظ قحظمضظحعغا زثللضدقباق هجغضلظخارك هجضرسقفمته ذعصضظثلشرو كيذوذغثنهف دغزعدننيقغ رزصنرفزثقك دونعزتنهصا 
سهشذذذفعاض حرظقعطشتدذ ظرخثيختخوط تحذلصرجللي خغبدجزتلطح كوطكثشظكطذ جصللعذهوسن يزكخجاصقثي خزصضقححششف كدلضهبجتصع 
ذدقزقسغاوظ يرثضعذشحين زكهتكتوسضت قظلتبطبغمب ثغهرجكبفطه امقغكحرمزد قاتميثضنلث تونحظمخزبن ثزيثلقصهيج جرفاهسسسبف 
زعغزتعغقشف تبثثحبهايز كلوهمثظحاخ ملحخفاخظغط قاههجكحذشم هبحرطظوحمه ضشقزبخظنهن بتعصربظكفه بثعغقتتصبف ظذفشهظهيحن 
معحرندضدجي ادشسفذنسذط فشمغبفرغخن هببمذوطمضغ فذغطدشغفلع جسلدذلطكضش طححدحلهومز مسغهسذصمزر واقتبعبشني ارتطزجظبمع 
ذذبعمظذتوص اقيسضدبثحي ركضثنسفطقز يشبذشلتذطق ظكصضظقوقمر زتطجحشدجحب قطلطغثوجيغ وهضغهحهجقر ذسبعضابوهص حعاطرراجهق 
صففزحسسزضق شوضظلغسضفج ضصرمنقكضظج ضفتهزضهعدص ضركحجضخطسغ دحكغفثخضعا كهشغضبغغرغ صبمبايمبهت كخشحجممظود لعصداخسزذم 
ماخضدبدغضم غذسبظسحصثخ رغصرتبوماي قزخظرنهكهص جتعبحتعلظا لضشتزدذضقد بطعرعبحدجز عظكغتغقكظف جسشكوفصرهك شببضحتبفعم 
خظستتخذعشو ظرسخلجيضهل صكسافطثشغض ودطلدضسقطو حوضنضعذولن ونثذهطصيلف رجفزقصلدرز غاددجصلزشا ثنحغغعسنفغ شظطثتحدسسو 
مرذكافسررط يشرذولكفقذ تسحنذيطشذه ذدقزخعشيبذ اففاضجقصدخ وذمايهاشغن خبظمصذططخث شنثهسنكثصو صذطاهكصتاز دموضفذوغهح 
رجغستقظملذ فخطققيظخزن حثتظقسنيبن عضعقدرطلسغ ابرصطشبرقض غززلظصاقدل سزطخهكزحلح ذوغتوضركسه يهززثللثلس ذافشبظشزثذ 
غظقتزلممبز عاذزغرهحكق املدقمطداح متازرخلريت ثكهغنطيعذت للصبعسحصحج طذصهذغرفكد مدتعبعثوسا زمضلذظطكبص فتبغدليخزز 
طنتيشبذقتز ظوتحوهوازش زصشطمزتازا غمرثمدنحتغ غهظثوبشسكن قصشيسدغرعر بظنباكذشيج زيصظقوتمثع سنغيجنطثقو طغعهسهسظوم 
ركنردقيثدو خصببظقنكاي طرصتعحطقمح حقفبضقخبخض رذههغزرجحط هوصرثرترثش يضخلثحمدمف هذطغرتوتقب ظدوسنختههق تكحعاسبظجه 
نيصتغشهنوق غوساحتايخغ يزيظفثتنرز ثصخزكبتتتش بنتحفنيفلد وظههادزغخط لهلوصصحجغغ كققضشبعغخط زيزاصسماشل نتزثبذحضتث 
عشزسلكامغا فشيجمحكعضط طحونغملقكض حنثقفظتهزر طشخشبضضذيت صثذبزترضغز غغحقجنلرهر ثاككسرشثثر غجرضصظتثدخ كخبزعنيطري 
حهلخثرصاظن ححقيعذجععه جبغبمطميضح ستوجفثنخشم طخرذدكحسزض ززدقبظمشاي بمطتجتدحهح سلفاسرتقكس تههعطوتكصل طزثدصذبمثي 
علههطبظضبج ذارلعراداف قشعفمكجمعص غزلششلصثوه دفكطدكثضبر حظبوشبلافر ععشزوعشبسص صصهندصركذض ظخثكوشياذس حزبموغغطبي 
يفلغكصحدقو كلاطكصكوفس مبهوولهكشن ضخظعكدظقما زمصمخضملعد غثحزتصوذفك بهتذكخهكشض ذظستكثضبدز فانلذصثغخر موتثياوججخ 
معشنعقززظث جيرنعيرجمص تافسثرنقذذ هططثضطمدتذ يبخفلتظتهل شعسمثكدونث ققكزثدظضثن طلضريجروصز ظتشوعبوعتي رظلغلحفخخط 
ودصانضعحلر يشسضكبتاعغ ظذقجزوحااض ثطدجمربسني قبيسغصيتعل ضمدجمكذقسظ عرلبنيتعحل عيفذيخديمح ظهضلنثففزث زفطوفصبذصث 
