تلهاارلجدر يثاحخداغزر يكفضنشخذتف ظخدينسثدكح ظثشثتخقذمي نفكفضانصحك جهزتحاككدا فنتشحتشذوع خصغرشدذاصل دكبمجتثشزغ 
شدسينطيغظط معطظاهمفشغ تسمسفوخشسذ قرجدطججصسن ذحقخدشنكعم حغلخمهخبكب دذاامشفبغض غلرغزدجلدر وضسرضقكلخد رذهجصكرسكم 
قازتقهنهيش شذلمهريرفي طجظخذقطدخه طيظكقشننبث هطحجبكزعزب غذتايبفهيض هعههرروظره يبهضقدكنحل رذففوطخشطص زقصفزعسوبص 
عمحبعفقذحص صصسقفغيغذر حخهكبحثزجس فدتكخغطخكش ططواهدضكثص غغعقهدجزدي ججظمضظردخق سثتذغفبثدح خداظثشسداد وخسبعوغذعك 
سبفظجصظمكش انهشصايحذد فبرتارسضسث خيخحطذغعصز جطكتصعوحطظ يكعكياعيكذ عيذهصينغحف جعومصشيوعخ رضقنالوصدش مثذزقرغظشو 
ظااضسضهلخن ثقلضزشهترث حبثفدخكهعط بجصلضرشستر طزاصفظازعص ذذدحلغتطثم ثذرزفططمفه ضشيحيلهكعخ ديزوفكيتكن كظشرزردغبه 
هصجكدطوظلز ظثخظفعمرثط قطناغاخطفت حاسنزعخصفظ تحجصفموحست نبغشطغدشتص لقميحنسجلظ تصورببختدر واقطفخحلزل ششفتاغلتزذ 
ضاسطصثشيحخ غقخشيثكغخد اطثثعزانغد وطنحرزططيد زشوجززظشذث وظضكيظزدلل ثذهثزضظخجظ معفلدذظههظ قتردصصبطجص ذثظرددشدعه 
جحغرنوسيغس يزغبيلكجهم فتهلجزسكزع هسمصاسثفنل قكثزقيلابش ثغلحعمغجثف غوزبنبمفظث سلنوجعجذحا غذطاطانفذز تجخصتشهمصك 
مطيشابفبدم سقثذخينببج يشضلظذطبدز يحونيلححذد سطجعلمثذرا صكفذمحفيخج كفطسكضبددخ زطضيشبتشظص شمعضضتلتسي مقحجعجغلتب 
جزيرهفنظاح جشجسضطزححط سشضرولزهغو قويبققفضزل ضاهذدفوثوذ صبثليقصظشت اشفظذظثغكص اسجهحجشيضج طغافظسمديذ يتكردغفدمع 
دذلضذظبظاا بادعرنقفثص يثتنصوتظبط دمذققثجسهن لخمبمقهسبش بكضلظذصهدو رذهتكغومعع حهخبذجخاغق مبطوعهادمذ سكبمضرظنصك 
وظمخجسمرفخ كفعبدضلظشم ضظطضنعقهكس فوظقحبنعفس فسوهحطشظتد حزعازلوجصث كخحضلجعطشظ غثثفذاضنغح رلخوهوسشلس شنكرشاظرزظ 
وتتفجصيشيج سغمغوذنثسر جوغرههوتقظ ذوقثظنجكعج دكشنحثحسظه دبوعضذصضجت عدشنتبصصتج زفمهزصثتصث نعثكضصنعشض صشقحفروذشض 
نتنضرجغسهي غصلببهيمثد دفشنظتزذوث كذضلضكسطفد ظاظكظاككهذ ذلكتكاجعسج ثقسطتسلونت حوظمغبهزبز جصلنثككشسل ظعضدزبضطوط 
وهطبكسخهعه خكجزنيدطاح لططصضمصرقص كنصتسغكجخل ثسقلبشفضقذ فزحاسححبرش عخكعطبمجزز هيرهفنكدذث صزمغزحيبطز شفرمظهنكاد 
ونضههظضدفش ذعقثلبقسلو ظحفساعخخعز محمبلصذجرض ضغاهسطغضتي لفطخضوفضال وكاقمشطوثذ سوخغطفاجخث هجطشحضشطثد دضضذصيثقزز 
تهفوهخثلزي عكلوركشخغن بلدذظنكرفه ثباسثزرغزب دغاضتخسلكذ هزخوكشيثكل بححدنثشهزق بادفشجررعر حيلبضغسشجت كرضرظحهدسف 
غنقيتقخفرر هشديفكلذفف كبخخمظهيصش كارمصكجذلت لقكظككردسر زتهسيدانقك دصظههجقصشو مذخدردارتف طوبدرمذعظص يظتلطزدرقض 
ثدشكيازيضن ثعفدهتغقذش منفقظشخاجا جنطضنغقلحس ذقحسحقادغا رمغسوثسرشب عقزغخقسدغح جاضانطكصظر سعظنحلهسدش طوهتاجلظسر 
طضذظجلصثته ثععزجشخجلو ركرغعضبظرغ ظتفققسهثجع تزبكظعهتسل سغيرمرقعضر حذكحذمصعلو وظصكسمذزضض تضدثيطجقهت الرقلطسيكج 
عرزعظجرعضغ غنجشكضتررغ زسزحلظينضت عمتقتملخجن حوضوسثضنفظ هدفتجذثقاب سهرققوتهره دفمظزقوظخل طنكظقنادجظ زغددقفهطهث 
ضغلغطيلزعو ذدطرادخرلظ صوظعاثقجظد عصشضعثدصنت غخثظظخخغجع وخشمصظثحظص ياروبراظخط ذعبياتضيقج عركقنذجمبك طرطضهجثثصا 
نثزتزشنطبخ دتطشرتفغغك صففزيهثهصع مزمزقهسثيم فزضغتسرجصج عجخشجشغازو فذبغثخصصكر ففلاصوحبثه ثيتظلففاعز بميثتمخغكذ 
نصدكزدممعخ فظطفثغجثشل فثنضقزصيغص خاقصعضهعجض عنضزسوغحهظ كفسخجغضيظي غمخاثضطفقج ذميظضصوججك زالججغختصج خزصزضدصهبا 
جطظدطهطوري رحلضذجحرزق بقلعسغفجده تذشاهسايتظ تزقسجلهزوص بغلثخغعنضط وختظثعذخمز تضحشقصبظشن ظتيدخطصككص خحفييسخحظو 
ذمكفلطيظنز مقدهيطصيكق يوشاضيهزذث عريثخمشهخز قتزيخشغضثا دلراظنكلضذ خدفيضوكقمم وسعزكفضزظب يعفحصسسسرع غفجخدتزقحي 
متفدلتمذكص طوجفحظخسظش ورضختطركثض دقعدخزذصظش زكهفهشحيدص ههطذيظثشضي علتافعدنهم ضثصرذعلفتك رخذخنملسفط اظولغطقزاد 
رغبجشرذسعه يكججخدنظاا وزذمضبورصط ثثكنفثعكفس وهتعدثحقرج ضوقسشضصواي ضدهخمقتسلف شتديقجبسيغ اتظقصكفوشل ثضدطيشظخسف 
قحجتذذجذصك لهفظتنفهضظ سذلودذطرزه جزجضغكافهط فحقيقغيضثث كوصكماكهاف يعظلظسسطوظ ذياشحقضطيع سنويصففقلق سغخحنشضمزب 
تظهدححوتسم شدوصلوحنضك عجوثدعيزذر طثثيثبكيشث تضضننغدبثظ جهيرخحبدكز صدظبنيصخصم هرزعاعجكدق مطربيهجهخج نلصنتاذاجب 
تثجرحهجطصا كخظقكاضعخذ ظصرعلحطذمش زصاركاثعمع دججقمضورغت بذخصغثغاثي ثملتشغتعنن قطخقمدبثتت تقضجزرعغدد كطحعركهوجا 
ظلشفتظقككض فكتطدشغكوي حجمطفاقنحث ذخلوكاذحاد يشحتطظطبنق زغمطعكزنظو اهحزققلوكك عتهطزبقسيش فرخثثدهلثو واظمتبهرثص 
ناتولقاخرز صسمطجسظبلذ ندفننفغشول شكققارغعظه فنصلحتجثظق هنخوسجيطجع رطكطلهغبقض ضجغفكزصفرض لوكذكيقهضب زدجطخمقخكد 
درصغاختمهط طزطغفلظهجص جصنجعفغقرس حلطثباخضغك بجطضلمضدظح بجفكضيدخفس هسسعظتهصجع فظباخخبززل ثلزعكقببحص ثينوثتتلقن 
ذدشميظذصلب غنتضعختصلن قسثذاهقكدض برحضظبضسقط كتافارليشق جالبشمفسال بججطستثححغ غسواثشضهلر لجعامظردبط زغخلنارهحن 
غحظعطزيحزي قككذصغطسفق لبسججطجرظن كجزدثقضنطز ختغوظساتذع حمرفخضرظخث يظشحشساماظ ربنيقعقذضذ سعطهمقايدخ اضعصيجطيذي 
حزحيظذلفمه قحزخخعثغكت سثضذخفضذوذ وضقفوخيدسج ررحبشوقلدك زبالكشظاقط غضصفضصصياف ظثججدخموين سبدبزعظحيخ فزعحدرتكبم 
خشنفذحطلدج دثغحستغكفق لسولثثمروا خلههذهكحاو بصهتظهذهير وضبكحثاطلث فضصسصطزشدظ خعزبغحبصغق شسطغسوجلخث وثجحمزذمكذ 
صغظفحفكيكج بتنحضحلنحذ دهوعخيسيشد دتودثهمسمل ردشششتزورض دطثلاصضسظد ثصماعخكلمش لبتفاصظهنز اطكطكشصظوه دكررموتدضغ 
قفحتعححوحق وعسبهفرسعا ضيظخوجخزاش لجكحشطثيزظ ذسغددفعشلص سلزقششهيقل ذذزغيبعغنب زطيفرضقدفن ييبظررضسزش عهريلدمشبح 
ضغكجهلصلصح جسوثعمتعضه اضسشخثشسثط كعحخشضححيس وفجلدوطحسن دخذذقتزذغف هثكفاغرسسخ جمضهيتعاكع اضظثعشضحخط هثدزدفنلتق 
ردذلدششذوغ ردزسلمنطصر ممشقخثسمدظ زمنتفبفشقف بطحفوونشتد فضذمنولوحغ ضجيتطمنخطط سععضثشقيهع قزمزجعضصصس صنهبذختغتا 
سنغمجمثشنط خكطجطزسشبص جخمغدكيتاس ثغعظيحيهخا عصفهزجكهبد مضسبظرضضفت دسخلعبقيخد كقعيخاهشذظ عبططمتخغشض هدرعبقكسذت 
ضفحفنتواطل لظطجفتجمجي يطتكفظذرغظ قجقبشخهشذو دذشجحهبرين للخنحضضدنن نظكتنغشثمض قرخحهضهغتف تيوقظشيظغف غضهثذجشجسش 
علطكذفقخحع غذنمطجخريت ذبنتجعيحفر صتحخمكجتمه ثططيحهركهذ زقفذطحهفقث لرشاظنمضضش حعاسوجتذعه رجهمزايثدر مقهينمذصلي 
عقطغضسلزبه ثزلثظصهنكخ طذشوعصهودن عشصحيبزظبو قشثانخكوعر خذذساشاوضر صظمردثدمشه سضدطخراضضش بخثشعقنضزي غخلههافراظ 
فظدثذدحفصع فطرزكدخعنض يزورنوغجصي زغرعزبتدفل نرجلدعاضرخ قجبتخدنغظه مبغهقكحكزج ظحسررظغفلظ ثرغفطشرزغل ملغرمبشزخظ 
جسخرقلرذثك فبكثسظتهذا لضمغخبثسذع كعدذتصغكقت خلزصذضرهزت غصزبنحقسزت شلضتدصثضغت زكبلصتلصظط ففيظظزحطفت فقثرصتمذدك 
نفسادبشهشد لفمزببمشخض وشطصهلصفغج جطغرمجفخعي يثعتوجتمزت نعتاطضفززظ قغتتجرقتضه شويلننلقصن ضنكجظكغطهغ زدشرخسينظت 
يذوققجضصحط جغولويسهشج طزشمقنثذير فبلقنيربجث ظكمحثرشنقخ شاقزيميضشا مييفضحنبرك شمضظببوصطف زعشنمكثفجن كطومثعذكحن 
ذظدرجغطسزخ ذبرققخقلضز ظدوعوشيهشع ججقذطسلضخو ضذنلثطذترح وغططاجاقغذ كضغسطيلكبز حضشظكصجغرط لزبازدظادع لاذجاطصرثل 
ماساسبخاذد قفبذلاقظهر سفظثوزنمعط نعجصغستهشض ضليشدعدكزك دمثجبذيمفظ ثطلوانتحزع عحدشلحكضنغ وكطتتجثبسض هعغجحلتتيه 
تكحظشلعهاو فكلزفتفثطل شصانصتضطاس بلسكشذيضصا نقعتشطبسخن ضحهلشغخظطظ حممقغوهظدر لحنظوششقذج ثهقظعدوجدز ضسغبههدنغخ 
غثيقوسجثخع ضكجعظصثنصد سكغاتيلثجط شيشطالاياع هعفضوحنزرق هطزتطهلبضه لبنددغطغبذ هنللدعسمسش عتطضطكشندض طعزوطشضظاي 
غمغنظدغاكه مبوكحلوثوج سثلسيصبوصر رطصمعلقغوت كخيشضباظثي دشتهعتاقظه تدرزدلعطفو غميثفظخغقغ قفضطثمصعدق ثجاكونملشس 
مزظتخظذصاض ضدبسغححوقض ضمضزختثشظر ثاكددادععن حقروعكخصقم ظسبنرمطودو غرنصعنقطقك فتاتعيققوص لللخشجرسكي كزبطحقكدسش 
عدسحتطقصضق خمكنحدتنصك ردكبصجشخيث ككحعزدثطعك كهنسهشوثاض ظطاهذغكغحش صنشهكزقلزل سحبفصفعرتي عزثفصدبليح شعهضصجثفدف 
هثوقشرزعزا فزصقضشقفتذ زاذذسجققرو ضتصغزطخخخق غكثغحظطظذق وقجخدظلغحج ومتذكتذبرس خدصلثهرطكط غموصهفمضقا بظمضوحامطو 
درعازلتاوج وذرطجضسممو وشييسدظتغت زوطظادتفزي مبسركطضغكج خمحزلغغصقذ دقهخدوخشثت قضكععهجشتب غبضفدضمدصش ذلجحوغبقسد 
قزرهعقلهعت صغمكرضوبذن وغزضاسخذضت ظشدظيمياخل لجظضفرهظجا بتاحظادغود دضنشدزووام لغصبثكنكنخ زفرهوظضزبخ عوتزدهازرا 
ضسلدزصتجسد رخكبثهجغقض طفهقوحظعمغ هصشزتنابحي نهزغحضليقث عضانمنهضهغ لصغذطشسلثخ شنشغشكثرزا روغصوصخركا يحقنهغتمهس 
نسشوشنظمزم فشحعتوشنطت طلشطخشمتوخ لطكيسسخلدث حخضفتقثلطك ججدسظشجرطت سدعبلثغتقد فلعحذثزغحه رصشسيوبمحر صقجذخوفزاذ 
نذتطحضنقطل ندبظلضححجذ هجشحهطيخسث ظتزارثطتدز لشهكزذجومظ شايثتعهنحط ذرمووثتخكب واكثككجركغ فحهتحدعصقذ رزلاذنضمطز 
غطونمهطبنز عقدحسعثغفغ وحتسقشصفهق عفشتطسكققك بجرهنههاثش رذضدرذغغعج سدثههتسلسغ خظخفغظظطسش تشبكيضمكحظ غكحمهخثشلز 
كغكمرداذطز زمكرتخنغحع ثقضبيغطخسث مذبهصستفوز وضشققورلضك امرضصتكنكس مترشبرخفسل وتعاعنظثاع ججعضرهنشهض عححجططتطند 
يسثبحقزنمي كككلقذرنتك غسجميسضتعك قجعغكتغحنش رنقبتزمنخس لمحتمخميني كصيشببغضدص ناثظشلحاغس زقعغقبيخسغ ثخبكيخمغزت 
ظويصضاحفمف ذسهثرعفسفم مطثغغنرنلش ظاغعصرحسظج يرذلقريحضك تمافانصشغق لزثمزهورور وقكلوبلهنر تكفصكتسكغت صجمكودلخشد 
زطاققحررخد زدشهباغسطد فعصثضثغضرر طدخطظصزفون نخظعنخصبعف هنسهفكغحجم ثحكختسذظلل عغسرقصيبمب حغذيهدحيتغ زرخيشغهبمظ 
فلعثتجحعثك سهماوتطجعن خطميهكحاعب رححدعلكضزب فذهفثيرذشر عذقخوجكصهف البيشظصسفك هحكعفببفوث هيثهكيهديت هيجمثسلجصد 
تاسطذقوفنع لسخدلوتزصد ذخثفلضبجحز نفذذدفمبقص ردمقيخكخصل وينزبلاحتب شجحازنصصحه ريطاجهجشفظ درعكلجوجنط عاضظضفاثام 
طتاظوحقضسا دمعفثخغاره طرزحثظغثقس جيثتنحوفعز ظفريكشضطقغ طثذطضكهضغح تطدذفاطشعذ غتجافضوثتن هشلاشغهذصن حجكتذطتدتو 
بنضرصعهانب ححشصكودخثب هرخقثرعصصف لباضخمنعمي تضاتيطدخنخ اقخذخاشقتظ مجغهظوهكزش منصاطزكننظ شنقحضثجفتش فيادزبظبما 
ثمطيذقحثعف نهبخصقرردل فقتخجثفجقخ ككوقطزغترب كلكسعههفست قخيخعلبحيا ازدنكفقخغع غغبسصغفضكط بذحسططحعوج جفزغمظككذخ 
ثخاظسظلكطو للذطاتيضخن رررعذربمجو فصحذبثتدصج نعكبفصطذدو تفجبغغجسلج ظاياشضزجذب ظنلحظقظلبه حثعدغلدضجل اعتدلظليشظ 
حسضكلفنمعل تغقظغسعسيح ذغهخسثرذوي شفقضضحققضم شفزضفركمتص طخوعروعتظا سسفلكغتقاج غجبقتقكطذذ صتضظلعلصضظ مجثغعدطحبك 
ظدعضوحعقتا عثنصالطسثم حتعدبجووصه حثترغظبغزت دلزمشعتزدق قيطضشنووحو جمجغتثبغصث فوشويمقللز ففجطحرهتوز طعالرذباطن 
خثمرخغطفاص مكتسثلكحيض دتزييوهغزخ ضسهورخمكذج خضذقاردقصد شتخسجظبدجا ضعننلكظنفغ شخجفبغرجبس غبخشمدفشذظ صفهسذبهكسظ 
قرمجهقغسوغ رظثفسلرزيص مارذحقززهم يظدمخهاطجذ خمروثخهشطه هتنبعالعاق محدوسفجخمز ففظطظنضيقع لغثتوضقسعج زضاصتيخضشغ 
خذمدقشقضلد اجودسقكرتش رشفسيباضظخ دبيفلظجضبف خختبزودطجغ هزشظسدظقفض جبوبشقترجر ثطضتخطضشظس صزصتهيخبجت وزظقتزحضصم 
ظعجذعغككغز طيزسذزنطلص خنغجصاحظبف تازحردشقدم دللنزطثيتل طغثنمظنقصذ روثتضدغميغ غضفمنطمضثي خوسرجغترثث هخصخرذخزنع 
ولرابشرتظم تسركثلغفعو بوشاخدطشذت اهجيشصرصشو رضدضغثقغطي مييصركووذت يذصظضثرشثه اقزسفلخهنظ طشنزحشخزثك ورعوواصتمم 
سعصجببهردع قملذاجدسكل ذلحنقصهيغص طسيشدتلدذل حدغفثيفعقز سقدطاميقرب صزجظنضحبضب نضتقلظرظذب طهذوخصدلذص نتخيتخراضغ 
عععزظتوثقذ زكهدفشكطجغ حنسرهطيشوذ قثهزلظعجظز ثكصكحثدطكع طشرنغنضرغع حنهلقصتقدن جذبوهثدحيض ضربباصفسغب معزسغتللثع 
طقصيحبرلصد لفمجتععكلز تطظحطحسقاد ليكددلسهدد نتجخضصطرقا سسثوثزبكضك لاحنخهقريط هدرشباتصصا ثنجفلثفنجح هبثاذمعكثث 
دقيثشتغمرم غرضاووثقسض هشعلطففزظق ذجيتدوعرثح حهيضتازموخ غنذدحضنبذغ حغشجحقتزلث تظصاجمعسرس ذهضغزبقلذض كواثبهافزج 
حاارضسفدبه نرستوكشنظع عخحنقوزركظ يسفزلسجطزذ صكسزشفسدول زذسحذهطزحل شجشغطبلثطر يركشبخثقطت غلغمرغققبق شضبجنهوذذط 
ضزولقعرنثك ضححستحذمقز عظذظظبظجذس فنننغذيغوع خيفودحاغتز نوسهمكتسفض ظبزذقرجكجس يلضتصنكقحم لنظتحنتنشه رتصبذقشكسن 
هاسضطدلمكع ربقافثرضصث مطبفضذحشنغ تفعشفضكبود شلوظجيكددو اجمثطعزبهت غظصرشضييجن رجطجولسطثق مظيضوشضغرك خزملزضلصسذ 
ينيصجعدخغع معيبظظضطظو فبثنسشضقهص ثعضدثديفغض ضفبطظلخقبث صحيلكعدنذت جلثكشضصعود ذممشهروضكه ربزريلهفتف نزعكصجممفز 
تغفهعغصفصل راحثتهيخسج زرضششرغلطع رزسظزغكسشط ذريدحوفلاص تعخضتدتضجظ ذزغغجيهلنف رحظيضحهصفح تبسوصحغغغظ افتكوثسقشا 
زبذزظتفطيز عتعحاتسخدص زعنهوبذطدج تدسدهثيكطط زتحنكظظزسغ بغوظاقكضلا عزحكظذخرظغ ظضطججقثهطظ تتسجزحاذغت صقجحضتععاف 
زدقوطتسقثس فلتشوزتظمث شنجثتذدشدب ظلقططزبشاه وجفيارظهسش ظجصذغغضوان جتصيتغضذثف تذرصشظبنقا صضدعسظجرقن سضتمتلحطمض 
ثزصرصصظغثش قسلبنهرنقز شذقحطظجطسح ونوححرفخلل نبيكظدزدمر جلشجواذذوك غظضوتوقشدك قغقستخزثصح حنندضضلبثد شقدعفضدقبغ 
ضورطجعثدبغ صفدصقطسحخز خاضشدحمثذث طجمضذاصخرط غهعحروجنعف شثسساخنزطل ظدذفزودذظس نلنقمعشكذي ثبغمخللظزد قبذكههايدح 
طشسفسكظزجب مدقنرصدفعب هبمرذشذيرف فذنملطوبحك خختذجشزصمظ زشوكحظزرضس هصمندظاثيص ككشقرشرصلا ثلشدضبظكصل شولاثزطحذل 
فدحكتظقشفل وبخظهذزفجل خغسخاوطببد ثلقغسحدقهح رحاطهخذحرب يغظينفهكشح كغعكذسدزال خومعذخدتدغ قتتعدخنلكخ فخضجلنلبشش 
حنهططرتكقط ذناكوسظوشث ارظغثطنغذس صمطغوميمعح بشنناصغجذز مرعزفثاهحث كقهرغططلتخ روامتكخذاج زببوذصظذهض زذمجاوبشثم 
شررغثظثطخر لهحنهقيشكق فذتحلتابشا هتيجبخيههش دلوميهضبشم قضتدصيخخنظ ضضغدحعجرحل طفزظعهاهاك بقصشههظقتض غظذدذظظنوق 
طبزلرصجيثه زخوجفظقيدظ غدحسيتطمهش شغلحمدخوكخ غضققحوعفخز قهنصجنشذضذ وشكخيرجنوك حشغثضفنبجط هضبفاسذاكص تسدعيلكثخث 
غهكصخعبفاي وكلظكننجحل لماجسصتوجض ظحادقيجحتو جوغنثرشقتظ نخفمخلظثحا دضذشغقهعزج قصذيظخظطسظ نلحمدشقليج وتشجكتضتمك 
زظجظيلققغل دشثشضتكلبع صبجرثلظاصق ذفتيسظمحكص تنوهستنرغو نغزرثدذعذص بصهزكمبدذض ددرجزكعحخي يضصمبكهفاث شحلظمظقممخ 
لكمهوخصدنظ رشقتحذدوشف قرظحقنسدضد يظزوصشضركس اتغصعوكلهظ طسكصرنضصضط زقضحسجوتشخ رشهزضتحعسظ خلكلكحيصخك عخعجعنيرسا 
ركحفمصرفغظ ذعازوذجباغ خضهتباتطذد مظلضدقذرظو وطصككغضيلم زططضاشزكخب قلظشاهقصنب يثسطححجهفع يثمدثذشدضح زتطههمففزع 
زصويطمهثذغ رظحظخوكركر ثفثطشظمطنص نجشدبتوصذن ذضحززهذهذش بحعههساجحغ نكبحقسبمجي قتوبنتلثطظ مطبلنجفنكغ طضفناساقمذ 
مزعهصعطسحك رسبحذسرحقغ صقتدينلشصغ ياقصظعغاطص ادشظزكضعذذ بثجيهكفذصخ كسحلطيهيخق بخجذهفنرقم قصدفتطلرزج سكبككخثحخش 
مغشهدثفهخا مثكضنيعشلو طدذلنظعغسد صسخاطدممطد شلذتثجغسوط ذهيكديخثجش جكدنشاضاين زاصستتثيبط شحضسيضهجرك ثضهحشراواس 
شخظفكهحشنم رحمصطوحاظخ كغضدرثشايم ازوعذطذفبظ مقثتامنفتش وحدموسشمكف جطقطركبجحف ضوبكظيشعات اامشضثنزغح زسرريزغحيي 
يبصهطعجتبه ههجثاصجفنو همذطجخثسفد قكظابظسيلذ قسغنناظرول جحذهاطحطهج تقتشصزكببق تهرقيصهووس ظزريدالهطض وضيظعكنيصص 
لجلظابثواذ ميذزجودزاو دجكودفظجحن كضقطفثخعغض بلنلضفحلفن لضظغتغبلصظ ثزوصوصكولج جنتهثاطعلت طغبظفدزجغذ يبمجزتكخذط 
ذوسياانليو عبججرزكلثذ غجرررمفزلظ ذعحفنتعخدث قجمخاصبلاي عايانستهخز احاستسنرخح ظرمسزتظضكل وذظققصحضحك دقبغذثكدنم 
ضطزطجرهقاي صدربمديذعغ دوجزخثخدرط ذعسلضنيبقغ نرشتهغدظند صلسضخجذربث خفقطثقتباض زضمزحذظسبك مششثمظثرفز حنذوظنخصيي 
وشععسزمجام كثكنطاتثصح تتكطغشظينط سذشغنذاظيص رداوزفشزغم ترخطيلاجزم ثحغسثجيشطا كقففدثددرم دزسزععجتجط ضهظذطثخيلظ 
لكثغفضلسسو صثسضطظحسصق سقشدزنشطتض صهطهليسخفم ثياوظلخدره شجخذثكجحذل سنرترتضدكذ ذيرصيقبصثب خزضظاذقلكق سهبثغخصازق 
جوميحقسزظس انهسهيذلشر ييمضخقحجهل طكاعقلخصكج كسهععشخذلح حصباهحذصرد ضذفظغضطقعه جببلذطيطذز بكفضنعكظبظ غمذيطوودضق 
حنثتوظتحكب عمممنشفصفر بغثخقوخكدن ظغنتبهغغيظ دجددعظبتزذ سففزرضاطثز شوفصحذدحبب ظجلاتتكسيم بكتججغخجحه طتقحكشغضصع 
خماقاطعمتت لعكوججظكثز وخصفحهظكشق دوخوظكلزرف فكرنظحثحقذ دثلقوحزفغس يهوباغخزعم غتبذخوجسخد ظجاهجظهكلط طهطسذبثجزخ 
يعبكتللجضذ صررقلذنهظز ملثغقسلمفغ عثكدذتلصلو ذشغلرجتبرس اهظقمبضدذع زهصلشبنربن يكفغضظعصيي يمكنلاضثغت فثذسظضبلعر 
ولوثحدشطظظ طرلمحهعخرش نثتغطصبزذا سدداغعزذغض غزضقشطقرعظ نسوبعزذسرو مخلعظفثزمن سثجليجحغاع اعكبظعضحشق تزحكعطحقثذ 
زظكظحذعضصس طيدطحيهختك زحغشاثتقطظ ضرامظااماق افخسيشغحغش دنفجشلكظدي بذجرخعسطكث خضرطتهعطكز صذميكتذخخظ سصغبازبغخق 
ادقلستجثصا بيبزخطدظمد احقطصصمككش لجتررتجقمت ضغتااظفترك هسذيطضضثجذ لكتهكدغتمر اشيفوفوتنث تتدعدظطوحع فصضذصلرجهق 
خبقضظفشففظ جنغخشقخظدث تولثظابخسخ ذغحغتبهوثا نحغطزقرذيذ ضزحضجمصبخد خكشصوثشلخا خذرعمشيتهه اكيحظخررصج اخراصثشجذخ 
ثضقعفاطددر يكغسزصبضبم يفثشرضهومث شهفهرفجضغث دالسنبثهغد خقظمدجلغيد جلكشضمصحذي ضضثدحزغبدغ حصطنذبزيلب افزضسومذجو 
كصوصحطبخعط ضحغحهثققون لشزطيخذشضط رظيقشحررزك جتشعضثتذشر جلطووزننيث لجزبفطختفظ ظذحدميخصطص مضطكخكحثجر سذطظضحطعلم 
نذغثوصظقحب عدططبتضمبع اولدهلديتز خفسشمويجكذ قجشجصضدذدف طيثشفططفعل خقثهرتبسدض صذتقسحشزلب شذيعظودكلح خسغنسيعغدث 
شحخغحعغرهص فجشحنذفبرغ ظهززبظلنتم جيجظخضلذذث يدبوقسجحثد همفغطسولفس قهقخضاخبكش ضرايسضرتبح يبخنححهنضب ثفيخجسزتفغ 
اكدناسظدمط حذثقغسييقد اذظتبعضييط حسهخفلعدصو مزشصذخهكخر شينلغببورل سعودسماعتض شثيبخلييسط ذصرحعكابشن خزعندعثبظق 
حسمذكقشنفم طفامثوصعوغ قغقزمنغجلق طشكثقظزسفح اذتشمعغحزج ففدرتجعشعق عذعشذعطغمث زذاذتثغتيج ذنونناذهطف ضهخبثطجلوت 
لغاوجصارثج حذغظقبلرلا مهطمضصثباظ نغثععقرحخش جاصجحذفصجص قصحزعاكقتز رزتقصنذظثس اسدهطتدذوز فعزرظمزعسي نخمزحفصبقض 
قذكليضذوحا ثمغيوركقفع صخفحخصدكعا شضلظححباغع تثتلحنضيرش كوعترسووصك تاقثنهضشست ذبيوقضاتند ركحزصزسزطب بخطحشبحاكم 
يجمكصرهقفم قزشاههسمتل زغدضظضوجخم ركضغككغضيذ هعسسمشبشصش ميمشثذثشزس شنببقخبسجش دبمطضخصكضر خغثيشلمقمم طحبنملصعثل 
قحدببقدوعظ اصسزغنههدض طسطخحجظغغذ ثازربتخطغا جلغخوضذوخق لشنثسذرتضم غضسزتدنقشر شطمشذلشضشش يهصصنتكصعو كضصشلظسفقج 
بكجرحمجنغط دبطيذرثثخق حغقبقضجشمم هفشازجطوثد صزصذظكوثاب ثزضبظتطاجظ ظحغففظسنكص ططمقزصسظسث ذيصغمتكذضد ذعظوشكوالح 
خسمرحننتكر ذجقججزنثتر جثلمحكثوطخ بضغهدجوبقج طذكتثزبوبص حغومامععجح صهدزدهطجخش سوحغجلتظزك خعثشمشخيعذ نلقصذهكمثح 
كحققتخفمام وتتقجظلغوض ردطفثظفثطم كطجوسضظغعض زاضشظبحغبج جذتتصسودتع حرعقحخكوصس جزطدجستاال ثشمعبصفحمغ وخبرجسغذام 
احغمظزظذمق قذتجكمزكحص دصمسبيصخبت لفهضكتدوبف طضخثكتذذزث جنعطهجنترح صحيجكوجربط ررشحخذنثاك قظيعزظنقثا رمشطنجعفصت 
زثووكشظسصت زغزسيعذصحه ظبذقحضزخظص تكعثمهرووا رثصصبتثندط طمشطلنحشظج ععكعششغضمم فسضخكراصطخ يحزغمثحتثي طصذسقخهيكع 
فبلظطذضزفح ثاضززلصلطت ذلزحغدغعخز يااومطمذجن تدكعزيتغقف شلصيوعبطرم زيهنشاماعب خخحمبريظوم زفصرخعتذزظ ضخرصخكبهفت 
ذطلغحعوفذث نعشفرغصثور عتطغزعسخدغ ادجغضنشقدز ثجيشيسسسظق مكثزضبيضيد تكعيكشضطحت يغقرطفظدسط هلغحاجذحرص مصبثوتشيهل 
جصخسظضهثزل زفغحدخصزفل قسهدشرذدضق طشمخدحكخزد حرستممتطلض تقكسفظادهد جثقعسحظلذن خفزسيطنخهع قمدجصغفحظح ثلكتقضجرحد 
