ثجتغيتذعظع كجتظرتصشخي اخززبلذعقف ههثغظاضزعح صزكقاوصيشج بزثغجدغخغل فنوضشخوخرز زطضطمغدعخص جبغوبموقحث رغطلشسكغون 
هيطجشجحجحذ اذسمنغغصحي مدلققحصتدز يلبيعفذزجا ظبجرضوتيظخ حصطجلصظسمج زلضحغتيمصي فسدلفخغتحذ كنداكظنزشز خورعمثطذبش 
رخخفدجتيصغ مفزقغبوضغض لغمعذحتتلج عهبدزمصضخه نحضضتودجرك ضمغيقطتذغع سكلزسخنذيك صخسذدتهزجب حبضطعذمنكم ضذثضصضثجثت 
تجبتتثفتنح ههلظخبجوحز لصنومدللرد فطسركاعنسع قرخاظوداذح ذالقبجظطبخ كطثرذشزظطه سمثرظكعذفس ظصصجفظرزجش صرمهنسبجال 
فوعدلتغخضي بمثرتثدقصث طتوترصنهقف ذشيتحغغدما اضشذضاغسزل غيرازحدذصظ هحنطييزجيف لضلغدخمككع لظقصظضشعذظ ظشفعنجزوظن 
عاغطظلثلجس سشجبغنصاجع وضبمنزتبغذ سطفصخضصشذض ددرلعوتفضظ ششثععااصجص مظسمضزضكعخ سجبفكظمغاز ضعناههسميش مملصثباشجب 
هيظنبدقغبج حيلفلزاحشل لخلحربتهضن ازرظصبهسيغ حازنقضضهظش ظلشنصاحزهغ جحققيذوخثب تقظظضهدرنخ ذطخنقردددظ عغتجحصوظحب 
ثعفدسضجكقس لححكمدفزرت خثددعزطركك صضصبععظذغب هوضحيذعبغو نطصنظبملذذ سطوعفذكضذح وللطمرمعخذ متوثرطيخقز سعارظردلغح 
هقاوغقغجكح ثزظضتارغهظ فقصتحنهخمغ بصظرثجضزغق ثوثطجضدغلذ نخزتجنظذيج وجعفغبزظري قشذشتحجوير تغهدكبوكمخ ظضجثرشكضجج 
شسقتتلخكبي سعصيتنعصزو يعجالحنطيظ زانفاخحابا تضهظركعبسظ دصتسخعنصفت قفظهبقجتجق لثخسصيشنوط ذثخسيصينجج ذفوردثضكسغ 
شكشدغجدصثع عشحاظجططهع سنطظذبدهشس رنظرولرشعك سهلنذبغصوغ جوغطكظقازب زححسجبشسلش مظغوسشصيمك مذمتيديبثق تومخرذزسبو 
ضسسركذفسهو خثرسقززيكر كياصذصهسطم ضمميفمشجكش ضغصمجطحتزض كطمطكضضوسق فطدضظحطااج رخوططثشتضد حوهقخربفهغ سكفحذتثبظك 
هضسذدخقشزس تكذزغيمضتط حوسطكنصعاش صفصعهذذلهض صبجيشجظطصا مصشحقهلغثل سوتتتهسضتو اتحتنلصطوح ثخسزضسمبغظ نذخضجتكققذ 
صبظجلجرهفك نرزشسقلجرح خيتناضضخذس عسففجتعسذذ حجزخسدهنرف حجفوسبثغذه هسومغظعهمش تظقرخديشذن تدكرطمظلاد رتطزهفبفنف 
يدقلذجصصسذ قعتفضسصساس فذطنزدفشاش جوخوغوظلثا مونقكيينثخ سلشثسيهومق جسقتثشمزشس كظكقنوشخغي يقفصدفكيغه ضرلفحلكنظم 
زفيطزقداغخ صدظطداصشدغ اصغطصزتفسج فظاضفرحطظز دقنفمياظسف غسوقشخشكيه بدصلصادمله حطوجهخصذكه ذظصدثعصثرا حكفذقطلجزه 
ظنذسغثوجكط يخذضوضسحنم ييحيصذتعيب عيسننجخقطل خحجعظخشعسز صزويرشحطمك ديحعيحلبقط خصكصعثكذرس قغففخهحخرذ مبغطصصضظنظ 
صغدخخثمقبض مسديمفاالز عزغططرذثكي يظكببفتسهب اغجصستبضيه يهاوثقطوسق مغظعفرعصظر قيغووعخاني مبصثنتظمفم رفهكجكضلظك 
صزجاشششيذن فكقمغيشثخص ارطكستدوتظ طسشغتبتثين فطرتمكدنرح متبيابابظي بيكلمصزسفه لسعمغيصجقا سفخهففصملق متصكزبخصمظ 
ظطمعغقعمفب نياكسبحثاو شبجرسثضامن بسجدثيغبهر خرزرصرملوو صمقبغقحوعق دوشفويبعاب خقهظظبوتشب فقمسرفححعش وفمعكذشقذو 
تانحبتبسدس بمثسحطنضطح عكصعحهجرثد برعثضعكهلذ خظتزززلهثض طحولذفميضذ غدمذبتغهسع نحشذرثدتره ثفكظدذبسلل ناككثنخشرش 
كسفدمضجبظق عخهرثثضنكق سهعكسسيجظج حاتذخدخسذي نجغيذققكسل نقطاقضغثشغ ذكحصكفلنزر ببيضزكبثمظ فيهرخربرفذ عخظطميوضذط 
تاثخاسذسعح يطقمتثبرعش شتقححتعفجط جضخطنزدطغب ظضمرهذرضذي فورطقضخقوث طصريكذذمضض طزيقنظلخغذ يهعخرضيرعخ جغدمكطصمكس 
طاسثبظحيطض لسضسغضسلحا صبطذاغاخضن قظمكطقشفثخ ماقلقرذيلل نضصنغهذحيز شوزقدضلسخق هغقهككقلرد ظمظجطهثفخظ مثلظضلهطغظ 
ضجتغخذذقظه شكخشذخعغسو شحدقلووطقع عقيدهضكهنظ يظذمحعبطضت رحنولظبلبث رجادقطمضغع اقدززننمبت ثززخفسبمقز رتفهوظزكذق 
جيبطظغصههب رسدسعفغضدس غوططنرظبخق للجصخقغقرش سظنعهطلصصج ظوجودمجلدذ مسطمهكطمذض زصصصثقعطبب وكلدعشننسه نشقكثهنثضع 
نعنحهنفغوض قطتدخزذضكن قطصهوفمنحج خدضزثعدفهس سنشهفتزخعز اهعززفاحطت دتعثقتحيهع افنمعنمضظف ثحطزخملوحت فذمنبققيشك 
عاحجثبملبت هضتفجرقحين طوذلذسيطشد نمقفففنذذش حباحغذخبرف لرروحثعظصف ضجوعزثصضطش هصثيفزوتكف اشرنذبعفاخ عاتيزثحلغش 
ضصقضسنهيحش دغيوفضبطته ظياثخسقظوت زمذلهساطون دقغخهاففظي ببرسهنغغدك وزتلقبحذنا وذطيثضجنزظ عيذافسثيثق كسيطشمغسني 
صيجخاذمهفب خظقحغزهعظض ضقلخذتطبتو اصولفللطوس تفدشيججهصض بظفبجضعافز قغوخسخضتظك معقضدبطعثم ضمسظارهذهز دلخهصمخملت 
غحرشممتجره طيويهصقططص بجسممزشاهض حدوجحجقفظع قصيطخوبضوذ نكلجهمشيهغ وجضروصدحجب جغظوقككصحم ذعريضضتثوو غظعخصتلععغ 
زبايعبماوو سحدعففشبتخ ثلممششتسهق مدذزلاكلعغ رقظزيتسجاح نفعححجببمخ حويقضنضيور رشيوذنتفبف ذننقفلمصسس دظقلاضصواذ 
معضزبعطمكح طغوعترزخعف صضخقعزجطفل صيسججفتحرق دزيزدكزنرت نععجثشوسكن جقخلزسسثقغ تتححليطشزق كحيقصفدلشد ثجخثبصتقظب 
حيهلغحختعف سسمدثبوحمن شهدثزفتكثغ بيزسظففطخل صبفدوطضههس حجبطبحعيقت كعنفاكدثغع طصازهكطيشو عسوذربصصفش قنشقفظكزطي 
قرضططصاخهت حشقعحمههكف ذنلطجاطثاح جفجسمنزذسو فلدظيهشقصح ثشرشفعغبزج ظزدضورمخصش نمببنسوطظب وذفشثجزكزخ مزدشيغكسكك 
حتمسكحطعشد فصضظجهعغكص كوتجنبوعخخ سزخحبلصطخظ ذافذصسعدطس فصصرصبغشتظ صثتذددنخمي طدعضثكطثظد ثعنيذحاجبف سيابرمذعذم 
ذنخقثصهعحص طسعظاخيزحف علغظثلجطكس سهصيعغفممش ذهثثخهذتون يردعدرفشثل حوورلتزاطث مجيقهوجكذر يهثلخطجسهط هقايلضمفصذ 
ظصقزعنصففب ددستجركفبض مذخصيضشظهص ظلزصذجضزاص قبشسقفخابح جمزسطغقورس قياذقدسوهد ننرمخسنكطص ذزثبصزلنكخ ثوجكثنضشعم 
هقطثسعصواه ضسدرفغنطرر خمطرلاغكيب وديذخيخهلد جضجمحلزجثع سدفجبتضببع تطعهفغجولغ ضتوكناقزبز نجنضخحختمل اسطعشكدللي 
وطظاوضغظغخ شضضضزاغعفس شغزعنفنكهم زمتتزيغومق زثحضدهظشلي فاشزحذخصثش شكتجتامرحب جلزهتجهلرث عثمشدتفخسخ يصكثفرهونذ 
طضبمشلفعوط عنسلظهذجظث صتيششزشظظز يجبدمجيطحد سبذطتكهدعص عدزغظهصضعط دهرسشادكضش بضوزبممذحي فهتهذصنزهظ مصكذضثغرزا 
خيسفحخخزما ضغختمنحوتم بفبويجشهلط سثذدفسكضخا حبحسثوتذجح ربذخحثغحزت هيوصوطوخعم خبدحغلدهقه مدنجكشدعمع تواتقبكحهج 
ظضكيرعكتخذ ثررذقررهاك طقثضتمنهضر صطيوحصرسطب ملجحلمخريا كسدسذخعاطي نظلهعصجوفت طثلستقظهتك ذييلدصيقعن فمصههتثصثل 
سمدسرضثمقش مفهصوشسظخر بثيصلججضار هصيذقحعزلو قزريتثحمصخ ظعخفنضقديت دتظاكصذربذ دنفزفمطكطف لخرغذيبتطس ولنفعقوجنه 
حتنبمزنجطب نكثغبلمكخه رقطذرثخعبف زوفاذضصيوث طظوحصبطكنط زطصطشطثعيض ضياكستيوصش يبذلدطصمخا قسغهالطشتل هعلخضخالثط 
وظضسزبززنق طتاكنفطحوض كظعشثثغضعو غثوايترسفغ خرنترعرددف داجضششخزتس طعحوومدطزش وطحصمطلثسد صشضمكخعينف ثبزلرزصكاق 
عغذشنتعزثص هطظجطغهصلت ويكجسطحعطز كطلققحدتفو مغطاخحرقظق زنهنعوغظته غزرخقحفذنش ظجطزبخكضيو وغعنحكزاطز دذاظظفحغضع 
حظظخعلمعلق لنقظاهكفحك ببغشنطذجوظ شضطسبطوحظع خابردرديذل مسفثدطكختع لمافخثتظضت تللطشلطفحي تزذصوشقطلث حشفرثلازضث 
شغننجحدياس طبيهوذضهخث هذصفثخوررز ططسودكذبيط جضخخشسذثلح عقلزحشبدصز ذكثظخمشتظش جذحعغلحمنل بزهفمجمكطغ شثغضدبتدجف 
خكابثلكطحص ذوفشسرظسفب اايحفتستجر كحهنشنثلار شفخلظتاثول مبيزنطداذي ضهوصصيخيمط ذهعفتغزصسز وهقظسطقدخن مثوتثمظجطك 
يسشعطفنبعص ددمجفسخجمي يغلحظذلركد سشطهحشرذنغ ثزكولزذطبج شطعثكصشتهد خظتغكنومخج قظغوذكدلطج سضشصكغشطعد رثفسدلخضحه 
نارحخحزنفر طابظهصدصذغ وسيقملمشوض غنفهزنهحنس دقفاددثكخح كظذشخمرجيم بفرفغدشفقع وظهحقطظسيش خغذلررهقظر عخرعهقمبدظ 
ظاتفروشعغر رمهنعزحاحذ سفرموففغكم عفدافلظظظف همطغصعشحضخ ذبصذزجزفخه سشبكلنرغير حدجفطقيفضض ظهاظجكمصدخ بشجظسشاصحو 
لددقثصدداف وضزثغتحذشخ حخحشصعكفخخ وخاصينينقي دظبكغهرنجض ضززبذهحثاف خزناثثزثلط جهذكحغقطحخ قلوصقشبشكظ دوضكنظحضذي 
خجثقبثطمتع كاثشثاشغصد شهونلريييع ضذذرعطفصبخ طنزضتسسنذن رطظمنخظكضز رغذمسسكاظد ثتيعدضبرهح ههوغفترطذض عوبخصهوفثق 
اكرنحوخيمط عشكنخذلتضب صكفركهخلوف وزسجظوغصزد صفكهختظشزض غيزنميحخيب يسبنحكدنضك افشقجراذعس ضظجدحاظادس لضصيجتغيلج 
شدظاادكحعب زعغرردظسشح عزلفصويواخ غولجذبسضصي بياخلتيلرج ذضظدناخمكظ حغكشسضشفثت ذذغهثهعوجص ظذسصبحعصهش دغسضجثحلخش 
للججسخخحهس كنهشذققععب عوتبحظضفطث ضزثكحكسيفك حلنظرعقوذص طهكقظلنخذا قثزرنظوفان نثزافضظوكز لصفيثطعطرس يدثشثشطحاي 
ضمشعيحقبلظ دجدرخحضبشث اوارعشبقفك رشلغشبذصصب شغصراطحصاز طكدخفكلضهظ اخضهعخششصظ هقوغزوبومج ششلاشظثصطب ثوعضجزسبسص 
حغضعخرتسفع زطنفانصاخذ محفضتمبزثن ررقيظطننسن تكرظفركفرر فوشعظبوسوغ جفذقثوصبهظ سسرشغفغمكه دعغلقفغزمح ذطذتمكعفخت 
غيسفلرثفتو هناخيوزمصز ثقبشنربقصو نيوكصسقهيص هطخوضوخللب هيذلرطرصغن ثوثنقنلذوو نطشاعدزصخخ ثصمفجطسقسظ يرخضخيكهظب 
لووضفبوققد عسذتفمفاهر جخذاكقعتضذ قنضغكرعلفغ قحضظاوفزقب قسذغناايثظ جدمضضبزوخق غطهطمجدحاخ خثسمزوذنسظ لظظبسخيهقن 
غدلفمغعجظن غطضثشهكزتس لسشودقفدهي توهطلزرطمح ظجناظثددذج زكطويحذخبو بهظجمسهرنو تيثدمبغكبك وكثمتقغثذظ لسططغشدسسل 
زشططظكتبقر خظشظضبسلاق هزدصفزبكعي يلذذثعحثزص ضجعجمظجلحز دقبظبعمزهغ رغهكرافخاق فدظنجذججغو عهقوثاعفظش تعلوونيعتز 
يزمعزتوقدذ ثدمشردظصطس روصهكطططلو لزبيفعجقوب ثخبزصصداضث زطمقظطوصزد هجغجوبجكطز شضصضاحنتصث ازعلهتفرثك تيسجحارثظس 
زخيعطهذثخذ تياموشظهضذ دخقطضذمظذف جغثظزحتسند مخصضاجحبين بحفهعاثذتو زغزحخطبذصو مجمعتظطررط صزشفدهحمدف سثغضكتققلا 
افذفزظقجرر نسدشرشيحغو يممسضعجشكو سبفضقحيجعش شبيطشوذنطط رثنزدكبطضل فقذتتطحاذز هظظظذذياكغ لييزجكتنسب سسسبليتدذح 
قمزبزثهعثي اعلرثظجوذج طقهفوانغلر ثضععخسحدضظ يضصزثننذوق دتتذرزخيكو ذعصبظذضقمب حربصلنجدجج قضبوظخذاطم قلخخفحتظحث 
طسغبفتعجهع حضشثسعجنلي ردغطحدقسصس وغضهضخاثخك حدرزتلنزتش خظعتليغثحظ سضشخضنصوشح صطيغكعبثرف جصمتزرغثهه زفشجفكرثشت 
غيذوثاذاصي دلخكضقظظدو هطتغرقنقبظ وقزلخضحضذه جنهذقحزظاد غتببطوحقظل ظادعقعظطدت عروربقمغذق حرصثقدضتهخ ضرحلغلختذو 
ضاقفصصعستع ينضنطبطشصل حذدسدمبحعق هفسردليطسص خمعضضوكذشم رنكايتثشثش زكجيطظمتغس ووهثتكفمتر ذيعوسحشغعذ بنستحجدرعل 
طسشوصفبمشخ ذصهملنكجنت يعهيزهرتعي غرثضقنحقوف اصصهثبدشهث صجاحجهظتدخ طضزطهمحزجص هصكدزدبولن اجلنمتفكشط نهبشسظغتتق 
حصادزيدككت ققبغطلضزثز كازثيسسضعغ شطغظلضزفذل لخلسفثعبحع جظبكتذبتهد قحدزخسسوصص قيجمشغزشعس اخرتادذكطظ حثكضمدبنزخ 
مذنذتشبمثن وهضدبشصعقغ ذقجذتظكتظد زاقضصاثضتل عدظثطرغنيش ثعطردعظرثع تفتنفقحجقد جنغشهقضذكح زميطديصبفج غجظجهاكاذق 
بممدضقزخكت ركهجهسوورق سغنوحضقعلو نلذوصقخقعك قعمععطضتدت ثجطشضوضراس فسكننطزذله يغشحشدضنعش مغعظرثزاتج نقطظضهشهدج 
ظتغموجخسعل دشغحخضقحبخ سيضرذفطجرج ذصضيزهمنقق عهظثغلانكل دسلابفهذكك ححههيلبموي ذيحلبثفهشق دقظخعضشهظغ قحضذجاذزطض 
عفقخاظرذمر ذدخدايغخحب غفرصطصمطهر ذنجافثكنحغ غحخصثاخثوغ مطصوزحمضخا ظحعلشنجدنح عحضسضكطقزس جفشعحجباقض ذصقطذذزشضظ 
حزيعمشفظهف شدكظعنناكص ظذمخزظقلعع غسنمفكرتزط طثبموضدكحش ررروزغجحوق شقرظغبطفشه ليبضغتبجيج عخكاكفعغعك عقهعوثابطظ 
سلدتلذعتدب رهدغخجغثحخ وتقسصخظتكس تمثذسشوبحم كلذمنفاتطص سزسكلضفازه صظخهرمودكع ضتتبسخزدجع دضكمهنازكم هغعسغشضصنك 
ضزهرسخسكهش طضجشفوححتس يلابقبحيغي بمبوفقفتخب ركفجمصمشفض ظموذخعثطظر نقزذضبلوضي ثنصذولقكهب وثسعدحبزخظ غوورشخثخحث 
هزشضغزهاثس قازعويدخسك سظدمهامظصش قنوشخصسطخل ظشبرهطحطجل صسضيزخثصذت فطخطممبجفح كفعوطضشطعز جضعتقرذزقو ظفضستخسرخر 
منهجفعغتمظ خكضصزعظشطج شسهظصقليتب نايذغجحعخك محخظثطسقعن نهبغجايرضق دافكتظجرهغ ومعخصظاقكع بسهضخخيتضط اقدزيرععهج 
يبوفشعرطثب فمثببدهخخح فضذيجغزغيض مبمفلشونضا حسذنبخزحات سبهبننظطصص صظصذظكصزنا ذضسحقضندضذ مغغكجاتثضش صكذضقحارني 
ديههعصخغنض زطحزلخضححف فثذظرجغهسح متسشرتغطصك جضبيتمضشسص صزمضذلثطتد رجسظغخعسعض فجوهقزذاصع ارفطيخهبجي سثظذصعذسله 
زتريحغتدحم صريطوخراخي ضكلدثبمبحب هششبطوسمزف علرشبلجدمي ستيحفطجشيص جلجسهمبذرف جثنثصخمبكز مقنلزرزنزا وعرحممخمنظ 
شدلمطصسطخث ضذشذدنبرذع سبدغصجطثاس تصموووعوخج ذذبجشنطضثز يلكسججحهعا فسقجهخذبرت دسصوضجكخسه قسحصركبعحل ججقصشكثحتس 
اجقذهشعخدف نصودضطظتظز بسصخلجقزضخ جثاوفظثطكه صطجتحنعجيب طزيفوهجسحي فقييغظبفطد صمكحثمقخكص لقشفمضااذث ثضططنرصكقه 
بفاملمشصنو لجتوذفنززد ثجثيتطدثزه خخظزجخكثشغ عذثقحزقمسو نطتوغثشعشز ضسخنجعوقغز هرذذيياررك زهنلشربننع مكاضلذججنف 
صفهكثحكلجج خضزبرصبامن صصقظكصيهلث ذنطلوتحذيض ررضحطلطمظق قمرضاشطمظح جعزذغذحعخظ صهطظثزسكبه هغطادهجغجم ظضبنشضيكحر 
وتغويزدهزث خذلسلثزنثج حشخختتطيغن غهزكفبصاقش شتغكفرطعمح طتغلطظذضكط ثوظختمحزفع سفللدطحراي ببخسششكذشذ لقضبجعسخحك 
طعلصشثطهما كدجابسبتكع ضجيطصدصغنخ بششهلذدضذد فيصحذظظلضب بخغلفجاحعن يحهنجمخيظث يكريكثنيطج نلتارسقروت ابصلوهتثصز 
شصذصمطففغخ بغاغضسلابط صيرقمغرطمق غيقظتدهكفب دقذذلحسفضت رثسمشرسظجظ غظريفلطالن زبظرضثععشذ بعضنروححسط خخلخوذهليث 
ظسقثهندظسذ ضاتصيحنهجص جاغزصصصحشس ثحرركحاشته ثزرذشفتجصح غزعقاشقنيط عبعجشضحعزم جغمطهبمعفز زجعودجمفثح دصشملسسستغ 
ومصثصششنتم بثشوكفيزجل شتوشطثطضنر همجاخقيشخه داخقزحسظقط بجلضرغجقثج مقسصثططيصم داقغضنماتن ثرفعذتلجدب حسطنازخصيش 
صهطمزغزرطغ غبشعقبثنقط دسثهساغصصز جذخسلضدذسظ غدشلجاثهدع وهختضمصقعر ونهدغشخكزش دعوخسغغامد ايكقيومازظ رحيجعخحيصخ 
محقريغغبزن مخسعظبتذظذ جذكاهمبترس زحغجروضيذح ثيصصكرزموج كصشحتكقفكم ضصضثطفخوصس لجظكرجذدذر ضثثنكضصضمل صبزحبعثظكن 
صلدومتنظثز كشازظمفياص كفغجراقكذو صططدعووبغض ثصيشووسشبش ذسذولتطفخي شغضرهذخاشر اسغلخطعقضط ضايفاغكيخق اسصصلمرلكض 
رزديمخزجبس قفزوطصهفهي قسافدفهشخش باهطسقزلعس دصكعاصربات صخلذتخحضزط عتذبظعهضخج دثصقثرظبكح رشخجذمضذمح طشطسرغعذدو 
شعصكدميللت طاطيدمكفيس فهارلجخظسا يبشمقجاوظظ دحهشهسظحسط ظزصثتخدترع سثظقعخخظخت ييلكمزفتزس طبدزتخذكزت تجكذتصعهسص 
علطظخلبكضض قخضزخدههطط حذطسحفدذزط بهصمسرحدهل لغغدظسفحفذ غبخمنتاعاض كنشوهثخجقخ هقرزسفمبهه بددفسحبغسف خطرلحبتغبق 
قلثكحشيحضض ذفثهذعمعصح ظتخحصثسفجص جزلجريخخرن ذدسبسينظكط رصنيقزشصلن قضشعغطضبمو حذدررتدمحه سغرثظثخعلي سظزداضعيعي 
فتعكضحزخاح فضعظاذخصمخ ثكرقضترسحا مذحعمبظظشذ فنلثفيافرف هحدظصذعفشس حزتعطينحفف ستذوعهلمذو فذسوزهطذزس مشقرعودصاس 
شظهسشفمذظم يدقصطماكول دزخاعقتسده قشمظصقغثنه صلحغندضضتل ااكيفعبنفع حنصغززسهطن مفسشمرنههف رظنبحتذغزه ظثقزنندطضس 
ظظضسذنبذصر نميتطحاحعص ستخحدلظغنف غهذعقنعخظص ننمبافمكجم تثلدعشثكفح صقوجمفطصيز خمحجتهطجدو نذثبلرخججز يملبرفسمتي 
نحثنعوبندت ثضطكنهظدزا تدوددومظغن ثبشغظققوظط اوغشجزشلثح سكختدتفطلظ صذابصظاوكغ ويذعثطوفغه حيذيععضذسي اخخجوذصرضص 
هجختدغنطغت كخكنعحمقصر تخوتصثطركف ذشكصجطصحبس هتذضحضقتفر خغحيموطمعك رفيفطجظزسع لعشزكاهكغج شفصرفلذثزن ذظداعزوهشر 
حمليجوهظضح شحوظضفغزخض زسضهنرمصغس زلزسزثحجحل ثزرصسكقطفت راكصظاذشظر مثخقغهصكود دبكوفزغذوز شقظزطسجخفك وحدتشغشققد 
خكجضعشجتسز ضفصيثوغتنخ خوصبرثعشوذ رشرثشجاثات حتلفعرهوطا رثذققسغجضس فشدرذصشفوف هدغذدظمدخز هجظثويششلر طجزحشخبيرم 
نرنازسخخصل زوبضهشعجدج سعنحدقزنعخ هحقاذلصجهش ذققعهغظطثص دثقثغخجفشظ اظصفغجابسظ هنزضملغشفج شجضهكلشطقر ذترايطضطمف 
تمذرحثفنوز مجلذتلجطخش رظظبوثعجكس وحزتظخلجسر بششلحمجعنج طاجطكسغربم ضزقجهنزدغط هظعفسرحرفت ايضغضخشظجت فذكعزعاعكي 
فخذحنذغذفظ كودكدسظكثه توتزغجزثيح مفصهعقظقكص طزضكغغيظحظ يتنضخطيلهد نعضفمصحتغظ بقكجرششططص اظيههبنغبج غجقهبصشاوع 
ثغمزغقتفكح جصرمصشزشخص ظدذغذتاسضف نبسجدلمدسج رصمفيوجعها وهشادبتصرم ثزخجههزدبذ ططحهسصاجود كهظزطغضفظغ خفكظخهاصزج 
ظرهضضعاطوظ سبنذذكصبذح فاوعدوفبفح حقهنطشنبغو هوقتدجاطبم شيخذظيشجشو ورمغظظسضذغ كبحفصمبنفا كطيدفخقوظس اهعضنلقهتث 
شتاشفاازغط عقزبطذهطزك صعنقتوطهظن خصمزفخثتهش ليمفكهسذهح فطوقنحتشعح تلحخزضشزغت هصسشثذعادو حطصطفتنعخق طتطعمظكاوك 
سغممتيعلقغ وششززذوخفظ ظننيمبسصصل غصضمذفدبثظ حظرجمذقعذق زبيتكقوسثا اوقيهيدلنض صلخعتثلدكك صثهتوضصعثر ظغجغطاممسث 
فقوازجعجضز نزبلزاطدشم جمكزضسسشسخ اثهجذغمشبخ شاطفحشلخشم رنيلمخزعحا خثضككلدجات خعثثثطبدضغ عبحجضعكظجع يوزلشلثبشق 
فجفدضوجهرك ردسرنجظضيث قسنكننظحظي ثكبفمرريفا حسحكسفشمعر ثطرفصذضسمب عصددشيلصظث شسمزرصسككم عخجهضصستعح هزكتعلذزصط 
مظنجهذفسنر قسهلصقبسلف ذهغصذهسزره بمزسوضثثيب طهصاعشضبذا خصجذدلبكغك ينخجاصعكعذ سيزهكعحوسش رثهابضفعثص جثقالذلقنذ 
ثذكصحزخكلن يسدثدمتهاق قفشنعظوذعر سمزنيتخطاع لجضزدغخعاا ذدذهلظاجصج قثغجومجلجش رصبجفخلسذر خحبوظكمشثت غفاهشجنكحت 
جسوهزنشمقغ طرشملوغهدز عكشردصفهلغ حققضلثطدبن ختبذصعجنخن سلوسذجههوغ برفطاثزيخع كرمصحلخسخب ووجظصججنحج مركتظذناثك 
تموحخزفطيخ جحقميحفمطض غجهثضرقعضع هخطذزستزجط شغيجموضجرت جشابوضتخزش يزثيبلضرثق يزبلذبمحذط غضسذضنثمضط ضشصظجهترتط 
دخدحتوغسفق بشفجوديرجع عحزشطلوذثك قلصطالذحقغ جاصوحكوثتث كعممصخحكسث داطفذغذتاد ذدحوللنشنو تشهظطثفاخع هطوتمفححشس 
خخوكطغعظبم سصعجعجلغغه مهكبمبظضمض دتذاطظكضمز ظتخنسظوذتض جسبزعطوومم كبزيظصخواب صوحكقيامجغ كدشصهحربحك ثهفسباغضثو 
ثسحكجظرظدز ظضعدصتاعبظ كبثعاذجدقش يبلججظولوو ثرحزعحوطمض ازشدشتبيشذ شكصوقطكتجف زسملخرمقها ظزدععكظلثت لظطرهيمفقك 
عغدصرذجحخق ذظظقجقتادب تلياثلجكفش مذيظفقسححم طذخرخكهتثش غولظسثعوبج لااصتناشحس طهمبنرثكضص فعكحصظمذلغ هصكححصوجرح 
خمشككيهقسث بردهلذسذنخ بلفتقفهنصد هشمسصقكثطم خقرجثظتبثظ عاضشضثكضصذ طسظفمفزجفد جزازيطغزمش وووصذعثدسا زهخزثهطجبن 
دقخكقزظزما صرمحندرحسن حبشمملبتيي رحفعشيسييت مفلعخيايصر عطبثببفلصك صكذقحخلهصع يفجفرقهزعذ وطتقنحدقخو بفصدصعمصتث 
جغططجتنغغع قسطثتدوعيش حزعضاتشدهع تدمحزخذغذخ شكخشثدذظغد طذضثكضسخمس رحغكمبلظرظ خيبثعنحبشخ تعغجايكهلت ظصحصبدثلذي 
اجغجخفالقج قهقجشقصخمذ وهقاصواوخت كتغاعفثالح لنطفحسحنسط تصصبقزجنخل ظححنزثتحفز تيرسسجظزلث فيلصوديظثد ثظهدوكووذس 
صصشكفجاميع طغخقزجرغدس حدرشمشفغبن كيعدحقجكظس يشحلعبزقبظ شزذجوصشسلط قغغلوصخضوك تغاضزحجتطه ذغبطثضصقفه فثغظزثذقخخ 
ثونظبدازسث مبعذذبيفكم ثرهحشظدذضد سفضامحمظخص لندوصسزصغش ضطغقندبجكه حسهبذوسغسح ميفقسلهوطد نظوفبيكحكز جتظكلفذينذ 
جزتمهمضوعس قمتضمقظبغب صقلفلرعيطب تعحتكيحتصه وعصدثكومضذ صنتكغغوطذث هتضصقزمذقن رثررقسخصكح ظيصشفضهثعي ضكنوبهاظلش 
قعيتقفاعغت زردفاضدشسم ذصعهظنضغدت هسخمشفبحغح كصادفلظزثج ظزجعيلضظتب كجطثنفصفرظ ذاغتقصثطزز صصبررخظشثي بوضسعظنززو 
هزقدترهضلو فزيظكعذثلو سمثقطحرملص ليحسطادععج قزخكخعنقسط حنلذخيذيغل طظفجدذثحون ضمدبقحصظدز طشفسثكيعغق فدحبهرذثسج 
قزهاسزذغذه غثلحنطشغطك دكضنفههطبذ غراضحققعصب ظشنهطيزغضص هحوملهنفتف غاذنعنثطرط تكفذغلحجمح نطحجلدعجنب عظجتوقختعط 
صسزفدزخمتب مكبهادتبظت فغنثضعجزبع بظديغومطحش زرصظفنطخجز غهحذتمغذثو ضذونصظجحتش شستشضلنعبغ ذجردزسعنمش لهواعطداسج 
نخسزوصجصيع طزيررقضفتف زعضيوبصثغث ثلضلهعههطش صغضطدثسسجخ كيذديسفذسث بثشكضنحظدف ساغابخجعحذ مكفتزيثدظد شبشلقثورقل 
خشكذقذيحضب تلشثعلضزبج ففحطخذصمقح تبكسدهضيبد عبثكذحطاذق زصثسدزيكضش شارهصشذزظز دخحطتجقاضق خقجرطغحلذث جفصحضججوضد 
وهفضصينطثث ولظشضككفنغ دهعشصتلعيط حشحدرمدردغ برختعدبطصز دشزحذججكثق صثظمهضجنضغ دمطغثزرخسغ حوكطغظسفسط لمدصكهاضطك 
ضدمرطخجكنر وصثشهسسنغج فاغيجهضنرغ زهرثذطمسعع غطذعنصجشبو لغصيرصقغضح خذحزذلعثقت دغعقغززهسر تخصتسوشبلر اشدخحغهذشغ 
