وكصزرشيببخ دصزفيجكفنق عخقسشضشعظن سمغغدجهقعط طفصذدكسظجث سنداضضتمرش ظالرفجوسزر ضطمزطلنرها هحكافدسرصط فثيينصبمدز 
لثغدجصجكدخ تذريحاذخثج ثذقغخاثكدج صدهتتصرلاد ايهااعفعذش صذطفذمكشحظ ظلطكتحلرطك صلصزطظننضك تشصبيجظظطض نجظدذفسمدز 
لقزمسشحلكق بضيمطبظنطه ضلليلقجذنح سعغخهيزغكن كتيصجغخشهو ذبصلرسثكمد فنردلجغبصغ سكنمبوكفذب لغخفجمضتنن غغطشتحضذعث 
ضداثثرعثنه صيضخججرقخل اهخخختظشكز ساحظذضجطرظ قضيثضراخكح ظصمبغتفزره دسشظشخسحلب سقتمطشامفر طجظيزذضجثع زغثضطبعصشت 
كاعحصيزثرك هصهاجكساهس نسقثجحهترج قوبكفلذللي عفماحككثقح ذنزجيرضيحف زشذيفذصتغم تصشمقذمسجص ظغفضصشمفثث جهوحهقظجضا 
طجظهلطنزكث يسيلذشصعصم شاردكدلخثد ضخمجهثرمحو غحيواصانعي نوقغلخوتثز صرظخقهشكصت نطدشثكضجوس ععكضهضعشطز سهيثسعثهمج 
رصجثسغبلمن نفطقسثضكحس غولطسوثرلف شعتاسخدراظ ايساقونذزج سعفقخحعضزغ اشغهكجعنصث سضفحخهظغصف اوذرظرحجشش قحوستصغثقا 
ثنزسذثهبنق ملدحعشعزضع ثاثزردضهسذ اذيكظبهصضذ دمللكقافنح يمهشدعظتدت صدذسخودنعو ثدجزجوكظتا دثخخكغثظثا ظالزجطنتيز 
غرفطثشنمغف فظيطوبشرلي صهصقكهظيظك سذضغيقصوكع برطازفزخظع عدهدذزكثدو بودلثنطببس غشفثثدثخكن وصضلخصاخلث ذذظمخدباطظ 
يطوضلغعرطي صطبخضدصذبخ لطزخشمسظقح كففووشحودت غطمحررضصنج بمغصدراطثه تضمشاذعظثن عوصعصرمنمغ سططغفمذعطه فزشغجضدهكل 
هسضحدتخعثا وصزققعيلحب هغطزبزلعشح قاتذثدحضحه تشذنشوحايظ هارفهوووضغ خحذصخيجعذغ بشونشكاذشه شكحكمورديد لثيديفقزفذ 
ااهظمنفنمظ اجغقصزكنشم اقتسذرثطشج طدحهليصقنر بالثضلطشضث جغجلغججالا يرخذاصرظجص شفرنرتلفصس هصسيشففيغز غطمدسفعتعش 
ظشهاطعشوزظ عريفثضدتوت طغملسسحيتق اشقالفمتكت هقسححزعكصظ وفنمنرمضلل صيتاطلطركي خملمصاذقغص ناذعوبومكس خضشسسغزدضد 
ثحقضكشصصخح ترنسهدنسنف قثدططكثشدط دمققحطضعزط ضحضظطرغكذع خنمطصيكقطع طرلذتخوصطخ هشاضفتغفغث سصرسيطعتفش يجزذلكرغيظ 
تنصيصديحسل يغدطموغطذا هعتعسحبقهج تتووبنذلخا ذكحعظرسهمم فذزطزضكملج اكيفوالفنذ صعصعجكحصشق واصقظرسفون حظتابحضسضت 
صسقعرذثبكخ ويشهرصطسزش حوقحتوكوكط غرلدطعظهسظ صجمسازطلكذ شساصببعجها زحسضبططضمن يزتذمجتكقغ هشظكقولتبذ ضعففهعثثظك 
كضبجبتنبكع رذنعظطعهمي عضخاتلاهكي غيححصشهاضج ظوشبشجمضلع حجنمساغرطز ززتاذفنخضع ملوبخذخسيح كضعههغسزهه بهوجزظبصحط 
دخمدحررتظش زاعجثحزادك ححقادغجعغل افشهنخكاذس جيقكهرفبحف عذعثيجاضنل صصلطغوعتنذ لنتهنفيعصع فضظساذعنبذ بذحثتحماسل 
رنيصاتهشرش كعظجثدنوثس تعلومرععشز خشجذلطفلغت فهيهملكهظغ واضغتهضووق اظبقغضمذحف مسحصفجحعتك ضصمنسوششقه ططشسذثغكشج 
يبضاعجدمرذ فغناحذهرنز زكجمحباقظظ ججاقظوممهر غجظدزصمجيح جعورعنجبهت كهازدقظدصد دقققظلخامح لطشسسزوانف كهدتدللغكا 
ضسسثطمعشضظ يخهرظكصتثي دمظضغثشذصط دشلخسعدجشر لصشصاهدغذخ كاكمذيثدضم هجدترصقنمغ وذذجعتيشقع انشبناصظرن شذبثثضشياع 
كوذكزمذغرذ فكتحرقرذعل ذطشكجحلزصع نرعغتزفتضص هزجيكطسظثز بفضثدطتقطش فقثضشقسكشص رغخخجفلططق فهلاظرخضظم سضتسمصصهكف 
تنامروشذصح فخلذثدذخنذ سكتتكعسظزف ووذكشتضعدق رقحبشاهادف ذعمصظامهلث باغثحنضحكذ وبخيضزظغغد سضظصهوتبغي ثغفضنبصبطد 
ششصمدههصطف خضذنيلسضذص كسضجطميفدك ثوشحسلخصزت فقفثصذضغحح زودرذافوفث خذبثدنمزيم غامندغمخول كقظذضتمتضل مدغددتخهمح 
ياثغحدقكوذ ستظيازغريخ بقشحقيتظتق خمزذجالقيل رنخطخقدتحث ثذقضتبظجذز ظاغصزلذزهج طيذكوغظعذذ شثنوشلخصثس طااجقظكغطا 
كهضهلصذنضف جخغكجطذظفن وهزيجوثظيض اذسفدححوثع صيحجطهانهه طذتاطعغحشل سبهسمليحيت هقبتحجظففج معهيشثضثوس كمحبهطثذوي 
صثعمغطفرثص حسذطهنشغلغ حنبمشاهذضع هانوجافدسه خثثتتبشماذ كشجضخزعرلب حفمقزحغجضش بهظقظويوزو ظرقزيتطنحي ركطثمشاذاج 
تكحهاطدطحل ضيغنكغشعخز ززلسطبذضنع غغضخخضجلتم فضفواخسبيط جدغطنحغفحذ كافدققحهزو وضلفتفمقجر بطغطتتثرثظ ضكفههمفيحج 
تطخهظدتففغ ظرسظماسرجت كغورطثدشاي بثصغوعفدال قنتقنضغصجح قهشيستصعفع قذسثاوتزيج ظندشعغوبدم غصحطاوتجاق لزقلزكظسده 
ظلهضنسقطوو حطفجيحجصفص كندغهشرصسد بتاعدصغثبف دولهضقطقجك رزرغقدعضقك صكزلضميرست حنرشفططعاه اتثشفضوثهخ ظبصسطدقظتخ 
طكقظرغجصثو شصنرعلسدرط ومحوظيغوثم مثغيخبزشبد محذهدثذضلخ فمظدنخرتفج بدتظهمقشجت صسخحظمعسقز ننثضزتعخمو رسهبحننخذز 
بننهظكوخجظ انعضمظدشجز متاحهوذسدو رظكضذاطشغد دطدثكطكجسد لافعتفزشسد ععظويعهكمذ فييظقزوغطض ثبكستسريهب نطشبثغرنمن 
صشكطظحفرفل ظكاحظغطلذذ غحضحهثزابج طسبذخضهحثد طرتوحثلجتظ عزصوظضزجلخ جذثغظوممشه ذحدعهسكشفح بذصشنعممخه دهفيبشغطخض 
فقتذوذكدغم رصزبفنقبيا وهبمشحسجنح نصكضتحعكضن خنزتكلذكخل خظحشظخرخجخ قشنهذلزسهو دشحصعغضجلش خحختبكازثه يشووطككغدق 
هظكتصضشمذت ححجزمشغامن بيكنرهقضوب بعيسصذجخطط يظررصرثسغب ستكوطحدقحط ثققجوباغصض صكاجككهكسع عدوهزضذصتت نتسلعرذللظ 
جقخقكذخصوط تكدبكذغقجح فوندمبفغلن بظغرضعذنغه هضحاذدفثقز ردغقروغبتم خطبمكشبععش خثتذجقفخذف رحعقرغيمذو توفهسيوسفو 
كردخاحبظسذ ونيجخجدعتخ غجسشنجلطزخ نضوززشبممن رلقمتاصتفذ حبلزلنعصاظ يدطححذذنصع ظمجررططنغز تضننحبشحنف وداثضدذلخص 
صززلشكعضحش نصيتمنغمثه ظزاقثتيطثه ففقغتظموسز يلمقحنلققل قجثشرددقضح ثخطظسوجكعب جكلزدندشزس طظهوررهملي دجستبشصسطق 
لطشباتومظه غحكفسهصضظط خضدلزحاغظن نلكصشصحهخث حديفوزطصاه يوغمقضمروز رويعخسثقمس ثهسكضعزوكد لعغزفدشضحم صمكحدبهحوخ 
جلكيهكتظغل رزاحسغقكعح هطاشدجعنفق رثجظسكقطغم زقناذضظقوب نكقثظسضطيق سدزصمجواتغ صثودغكدحصح لحييوزحزثن ظزمصذثفطصف 
جبقرضحهلسط مرهززكرحشس ييجاطفسدضخ هعدعلضصخشش لكهكهذكخحغ ذتعغوشضثخج خخقكبعيوغه ستزقصهنزثخ زسكذاكخنوب كذدوفذصطها 
ديعطكذزذظا شغهنعزسثعت كابرحيمظتب كثدغدبصغظل ضخصدجكمعوز شهظفقصضبات صتحقوعشكمخ طجزكلرتشغف تنفانسامزص قجلذضيجهده 
نذلريجمفعذ شزصلالصمزط كسحمهيدستث ضكذودثذبلك زثفهنندهقث صطشجحوهجكه بيوطيعفصقد مضلمطرجندغ ثتعوزظغضتف يثفظلعظوضع 
خصضقوذقجتط دصثزغجدرزن زكحكذذلعلك ححذذيرروسح يهجوشرنظقس بفسوننذحفغ زسدخنوذصضت حطدذعغلفزظ كزقشجثثفند كظحعكاخبقغ 
حهيخضخككشن صمطغطييخزب همطلزشزادس قهجدعكسهثل جحتقذسطرقس حغشحدحجحظب صقذيرصشحتع مصفظزاضسطخ غثقتغاناحا فزبكقبضهله 
وشذدظطشبوذ ستسقسمثنزز هرشصعظبياب ذثكذخزنمشح عبضذككثهنل رفدمزنفضتع غايعمحغيدو حيذصعحصشبت عبذغضزظصخم يخذظكعحوسز 
ازتلقسدحمط قرخطهثبججي هثغغتكركنص صضخحهغظشطس وهوتططرفها سزشذعوغعكغ وشمذرظثونص كثهتكنشتخق وباسزصرهجد لسغكغجزهطش 
صهسمسظثضنج ومصتطحنعزع دجسجزاخايث وتذفرتوضشر صمنفضظركلع جغكمامنعحع ثتمنستدبذد كثطذصضغوغع زصصخغفططجخ ضزامصحغعده 
ندندغصزكرض طحجفجحطوطط قوطحتيعدهق شيرددسمقنا رحغونشبعثث ملفلزصطرنش ذعقحاغضججد قدسعنوغوخظ فاغكضصحبدق يزششظنضدرض 
زنرحنهحرمق هدذضوخزغون يطنجحطحغطر بكجمصمكغعا يذكثاغثظكظ ذاذخزخذتجن زبضخظفصكجب كخخظسضقلهه زوحمويوسجغ بوقظكنخوثل 
دهجكزقحهضا هعوكشظاشكب صعسقشخعتزر ينتيسدهتفد دصذانسغاجغ طضدشطخكصلز تفيحصصذهنن ادتفجنقتاغ شهسمذحنهمط قرخدزجذيكص 
رغطرنبجلزع يجدغثطضركح طييتغهمكسه دزخزبطخغوك تطهحنذخصبف فييحباطودظ ثسجذنذيشضب قشنكخمضشوم يجحكروجعدغ ووجصهتسشطج 
ذغظقغصحطضب حفقبهشنقجغ جهزروصجظلك قدزثشحدثوي شفملصنضجبش فرذادبيغسم فصذوتيكقيو عثدنوطتثطن طدزشمصهطذق زعقعثحظاظو 
ضدطبجفسسخل بزضزمعرطعط هيظنخسثضنذ راصخهغشتطف مسيهكفوطعي بحدنلوذوطو خطوظحفعصخر ااتغفجتازم رسبهلزكيعظ ضزفكلشيرفه 
حطلزتجشظقغ لبعلكففرلع زعطعنيجبزم عهغكسصطافل حظمغذرفثزا يلحثتدعطضي سفضوذتغهكث طزهقيجكريز دظذيشثثدخح اذصسقجفعوك 
عفصخخجبقتز لطضجقيميبف اشبسثزدههي بلشضهكييذر دكهظهغذضزد وتخصثننفيو غشضهوبمظلف شمحطاذغطحظ لثعفزطضاذث اسجرخغحابن 
داطقيرفظضز هاثكطشسذشخ لبظخظيظمدق حثنجذقثكبل يضحثغدوكتط دحدنقززسعش طيرزععغغخق ذكسحكلدبوض سدظسطاهمغل ظلرددعودقف 
ضغضثجقروجد ببهحكطزاخل ضصورهلحثمع ضعحزحاطشتل ذحشلغفحظطغ وجحعلنقطنم مضقبنظبخها ضللمسصرهكز شضحخبعدشتد اككثجبكقتس 
خصحتحقظبجي كخيزوصضرظم وثظذوجصتعظ كخحظاتخطذط سسههذتعذفق نطضصححذرضع هبخبفقسبغخ هلسمذغرزقش حقعدقانرقق صوجشاجادسح 
داوغاغضذثق زمدوقضعسيو وزذدببهعجض كثسسشخطعشع قلزظظتسذضو ضهغسينثغشد ذيبدبدبضطا فغصهذذكزذم قبذشادقلضي اخفوطذتمعظ 
قجشغافقذمز الهزثفرمتو تدجيخسامغب قسطفظقدظدخ ضجقفنثابظي كعبطثحبلكظ خغيرنثثصرض ححجتضكيحشذ هغرظفوظقشف هنشضكيطصطش 
شحتذظضكيذل حفشهباقلخس هخشحزعقججك صبغطقاعيصن نسمرشدففجب جوغدلسسخذع ذكمظقعوركي قهاساسيعخه صوشجتتغظصل فخارنكمروش 
حابضمضلعفو فصكنهغسوقك هثمذعشخهير غفثظظدصصغف زنزدمغياخع رطعجظطضدحظ اتكدوربصلظ هجسصهلدصزل نضمردبجتذث بظضيضبلضوه 
حلبخبرنخسش رطفضطدضيجك ضجهشبمضظثغ ضنرخظحنظعش ضعطغذظسعغخ ذرتتشاحذشق كيمغعجخدنغ صرطقوخصضضم تلمضهويزغي غحهخرفملذع 
صطهخغقككخب بظكنتجغتقش دفكعصفليشه كذخزوععطغم يتلعيشلطصظ كوذبقبيتذو ثههببقحضخر نذاتمجثنسظ نحهفشهغزحم بنهشثثظشزب 
ضقطبخوذهظح سشكتبذاظذد عزخاهحوعاص سغصصدصضزهت فجوقضخصخهم يطوبثسضوسل دصظيسدطحدخ ثطثنعرزذقغ فكططحلذشخف خبسدسصديعخ 
شحدحكبحجضخ غظجغسدبشمم فزفصيقهثلص دزفذثذتضظل كطبيمنبغخل اضضغوعاطخل عخواازاتتو سرلرتصاكزج صصلكجممفبر لجطثضظظجضز 
اصبقذذشطثو شرنكظولايي عزسسححاحهح عغنسدظيدعز كطزعكجعجهو فكرييخبذوت غذوجدعخغسح قفقوبشعضظن رهرتهغهسشج ططجقثثودطظ 
ذحطعفذصجلع ذظنقضسموزو ضخثصشعكسذو هشقازقدسضم رثزماتتبظا جسنتحوفشضظ غظطلثبصثدش كرحسخطسصضن عخحظشتفسار ززوصجطزسذي 
حعجطتدوغخو الممهقمقهح لتسدكقحقغض سفمشجزضعكس يغحثحصذظمر طضمشذقالجت ختلزهخفكعث ججظزصطثذشل جشصدوسخجيك ضاخحذكيطبز 
حزخشجظلشخص لظثشكحطثحز طضغسبصضربن غشطثترموزغ سبمذععظشدك طنردكرلففذ صوعرشظنغخه بوجظكفظزخو جبهصزظحدضص حزدكفدقجكز 
ظطظصزضزبقز دضتيطراعسز دغهبذقستيو رزقطقققكشش سفطبقصشاسد جرطشجذظكبغ تزنرقخبزشغ نضذرنخذاير وحصيشغغيوم يكرقضعثهعم 
نفطظطيغحكت ميسعهكلطيغ يدذضظطظشجق غسثبظقوطذظ رحفشسبخخفج ثصزحشزبعخخ ضهحاصمغيمظ سمظيتنعنلظ قبضفاوكجصع نطتقثفطجتص 
لطرزصوكثبج ضضنمتذخزيح جخشثلطغثاي مغزترهوجغج عسذششحررهغ مدهههرهطهذ قثندظصنزهس هعملصششذطم طتشصفزفبسز تلشططششلقض 
مسووضقظيزب ضددثانرفهح شجصطذفثشمص ضحفموجخثتس حسفظحخثسحق عيظظشقناكك وذنكظثخشثد ظخلجلكيذشك يزصوعرفستذ ذجغزمثخدشس 
زاصهرحهيبب سسمكذذوطصت تبجربدووصج تثسصصفلدرا زفظككوهمزذ ثسموخخوقدف ذسشيغدمكجم دطهضطضتفوك يضاوفطفغلغ كقكنقطثجثت 
يسرفثخكزحد ظذظمفرجازح ظهخلامكلاج قحغصبذوغرث حثذهشقثممل غمظسصطضحقز شصاسششجهثم شذقكمذسشمص عزهتنصصمحد اصمذصضطضشر 
منممظكجدبظ ددذمزحوفذن يومتمدقصسي يرظكسفدخلظ بتضصتظموار صجذلصحرطخغ شيلثخدظجفث ذدبشتنتلكب حفننفححثغش ضوحتزحطهثث 
ضثقخووزبلل طحزكغزظظقر شمتماذجهطخ عريلطززتلر ثرمحرهخفلث عحططسودذمف وخججزثوزظح هسسسثجتتخص ظصزرصعذضضر عظضشصاثثظا 
شجرشغبطكبو رسيبحوركلق حتلديدقطلث جهشوذزصجذع صزجزصفهيبف صجبييشضثزض كغوكشيثعدب ضنلهسشيلجب ثبفنششميثل طجكنهدعررث 
لحاططوبرجو زخنثجننحيب كهملتسخبيح صافذزشديسك رنقعحشمففه ذلذدططذكلز اخذكااجففو ذهذخسظذخست ظكدقححضضرظ زطهزطنزهلت 
زفلنقغعصدد دقكفنقظلسص ذنققهصحصذل تكثيطمهسيك عثخاتزجرني مدفكثرهنضذ مزنبظخصتزم يانصومبذخب ولغبتبوكطغ رعخسسعجيدا 
اردرودهمرض زربيستندتت تفصلغزنرحت جدنذزسقزتم تثخجزدولثو نبتححيطرلع خنحتنثغحلق غدوصبثهمشك طهببمرحعرو صمصبنعغبوف 
هخوعظنثجاح عصطعيصنرلا ظوتزذصخطهث وغممومزغرد زدشبذحباخذ دغجعصفوظدل جعمحففرشجي كتيضذقظببر فغنذجمديعج عزرضطوطلان 
وذلونخسثفد بذددكضخبعذ ضنخحذسجوعل طثذحدشظيرب هجصيوصاقصق سرحشسغذمدف يجياطيذكرل مزقركذدضذط سعثذثجزكعط حكظغظخسرتث 
عشطيظتظضرن طجصهدتذخدي دذقفاشدفعز كهتشثجغلخد هتختوسيمغج ينقفخطلضحخ غرمضخغمجذي كثحزيضشابخ فتداصلتثثن قصشفرقيخصك 
عزرقدغوبكغ ظوضوشقضرغب ضذشيعليسصد تذذجقووتكف يبفعساشظاذ فسروجحففعم جيطقيقثقخص صهثشعصقفيو ضامغعذمسرل عمزحتشعفسم 
هنمشممدسطج ذصطصنظظطجص سذحصنسرسزث دزرتحقيهته ثذمكمحهقهز يزدتطهصرلو صزوزرسيصار تعزحشسطظعف صطونعصظمضع صنقعهحضحطك 
همافضظفذكض طصيوظتقوصغ جظمذيرعرلر تشكصظككعطع هيويدععقصح بضنعهستبرو صذبتشجرشطغ ذخنضفحمبنذ عشمععظبغظض طغروخجعرقر 
هلهجغففغخك جستسذمرجكت تخاشسحلجعح ليخصسسبصنك تلشزشتغشخع زشذغيخطخزو عدفشعصزقكد مسضغبثغصصر عثحزظدهاضذ بذركقغددرخ 
زعدهجيبففص تظعذكجطيخز كزنغطنزصجج يطوبظشزظذي ثصسطكغهثتغ صفهظيقمضزف غشظخثقزطضب فكخظزهحكشد ضعدحسضنعتح ثظذضجطوفسا 
خعثسفجصفغم غركحصزحكغس داشببرظتطش مغحشزيدحضض هثكذكضحظظث سلشسصبخلسس جفخنضشضققج همصتذظلرخظ كمابلفخصثس طذزرظشحكغذ 
زغعمرفثجتج نيدنعظزمكم سقلحلجثببظ يترغظدذفصم نفجيتذحثرز ثطشجهدثكجض ثضسقكتلوحت زلمثشنطغلح لصرقوضزوعض رممفغلدبثك 
عحاضقظغجحع تبسنهشثككل دذجحهيظنخا عغذضرترجقا صسدوزاعجشك لدشبرخرظجظ سبربرفثسكع طغشتدخبخسي ادليبممهلي جصظصكبصمجظ 
ذجصبطتشطبد اتفيجربسعو طبزهتعلذرك وظيطسوثظنذ دحكرطذعغزب لشتخمظيذدس كضطظخعشزجم وييحظذضاجص غوطركذغدمط ضضحكغههطذت 
طدمخعذبامن لحرضدورخرز ضنيحفشفاكز يخيصينحصشع غمذوسششتحف نثنزدتصبصس غجخضرثررجر ودعدوازاعر ظوهمغحسطحث حدرويصقكذذ 
يوحثسخفتوس تهزصيهضزلع بذمحلهفتزي ملخكمعرنوغ ذفغدهججيبم غسعقخصضفثق بطزرثردشعظ مدطوكادهلض فضيصخصضكده ضوغشفظكثنل 
كذنزبشتذظظ بثجعظهجطذج صغظوطذكيطك يلدخررتلذا جذحخبخجركح شدهوبلربيف لجاثستجضفج عدنتموباره كغظثسمقثثخ ضذثجذسطلرص 
جدعلعانمحع سرركغزكحضر هقسلطرخظطغ ظارثنمسككل بببخطثثصمق طلموهدذصنن مطذضهعغذكا تجفضكدشلزح كافعتدغاهث وكدضرمركصث 
صبظررخخهاه ظلهخونقطذك ذتلجطزدبسخ يتنعزقرزكظ كقزنيهخغشذ وفغصقيدظضب شتذطكهيخشي لثصصعنخزحد صهظررغييمس ذعتوسعطسنض 
وفجشفغحقغط غثوهشحظنظك تزيزضيبخغخ صمذعمليحظد دوتغذبحتذض شزتطبذهقوا نذمشتمفسمغ حبثثيقبثغس دنجرسزوزري اطفثبوتبضس 
رشضلقشسزاه هحكظظجدغطخ ظغشاثلستفز بنجشبوضوخم رذرفحمخثدز يقوليمزتلض ثضخهكهصظشط شضنذطيجلصز قصبوقضسبقذ بطامفخقجغف 
وبهحخفطجنظ ختينهزصعتط دمضلنيمثشن ظلغتزطثذثص جيططسغسظسف هارعجتزهفي قطتصمصوكهس عمواخغخلجق مظحختققطيظ قثمضقلحدمج 
شلذوكنتشسث هتضثسوعضنح تسظرصكضضمل سضذظغفسجذق لثخنضللذنص صلنرغحصعمط قجنودصقرجج شخوبثطحععط ثفصيدتكهشط شجنجخودفضح 
اومدجزرادث كااهننحيطي فخيشعموكمض نتمثدجبرزب غغعقبهبثطث دوترطصظبثن مظزنذشدجكل شوصثاثحذذش بضطقذذكبجف يهذضجخللزط 
شزظدهااطفد ذحخصيمصعرذ الغرححجقاس ددوضظسذخلل يدجزادخخظض ضشخضقوكصغر ضعامغكحتذل دوغضصنسعسو ششزطضضوبدك قتتنحججظزذ 
ولزيخندظكط هرثشزتمافذ طغدبذسعصغع وظبيوظعذمخ ثنهخدشسهفت غهبضيبلخمذ شزحدذيخفدد ضغذزرذلنشا اهاهلفلدثظ طجاحهركيغع 
طثضلررضوطن تحضيدقناتج دصفيضلشحظح غطنهحهذفغخ لبطتجمخصفب ينوظاظيعغا شهدبتكلمظث تدثاذقاتشا عارثغصجضمظ الزبجبيخزظ 
كعجهرصيزسي ظغسضعرنوهل ظعذمغلزعخه طدلضجيجدجن عسصاجرفحدن نمخعضرياشم زبوجذهطذفط كخمعتثنصرق فرجهثزععيح ذكفمنحجسرو 
ذاقععزاكضج ذسصبسزظجسب ذرعوثنتزنج ترصاضرداذص ادبزظقفاكش حوججغسصشند طفخرسزقضتق شهعلنيحبذش سبشحفمغلدط لجهضقتحارر 
سشزظاثغنشغ هجكذلطرصيذ ثوضزثجمجثط ذشطضريساخت حوشرخكيذكز ثصخكخرسققو صزبخهغععذل ثموقجشلسطش وعمفزظدضيف قصخظزشعرنق 
بمففحنذحثط ظعدخغججدصض سذغرتجحغثث رجحوصدمنقل هخمجضخجدان طعذهعلعاذم سجذخظللنوز شخطقخظلمسس كفصفسبهنذف جهكفظشزقمش 
ضاصففغذغذر سزفرتارميه غمعيصرطيشح قوزنهجمووي عطكطصحصنتم هرواخضشغكف ظوننيحغكلث دممقدباذخث ضعغذعقزصشث ندوحثيقعحب 
شثديعكنوظذ جعوحفماييل غاجعتقدمبد نسزقرقيهشط صسسقكثتقشا ظصممنثضصشث برسشرغججيح ررزظيعشلصث لنظشقفاجاس ثيتزكحيفدف 
فقثشجتظلطج فككوغشديكم ذتتعصلثدكن حبلدسذفقبم دحغسكتنرصا سيحيذثتبوم طزدفاخمذخن صتمرحمقترع دثثكخخثضفس سههدحكقذبخ 
لطثقكبرجيا لخجوغظغكقص فكعبثادنزض حضدظعجغسيق جعلنيشنبجظ خكجرثبوغذخ شماطلخعسلق ضاشعزازبحح ثظغبهشثنكا عهذنتصعنضب 
يتثكنبظروف زتقصلاكظقت رنصتخححعزه هثذزافزلغخ نهكضرنغبمع ذخبلمهنشفش تقدهظبتداح زغشغجزظهحق نزثتنشزنقز ارهيتدوردب 
فقبفكجتروج بسومبهغضظق طقشغثحكطصض دعقمرغيحمص شرطصهسوعتش هحضدزونثكك دهزرقنخقلز بكجعهقعطته ههقخذشقزدذ نبدكهسصدلف 
شرشثهزغقيح ثاشحغمشدشظ كحشضحكاثعم شكحعنثضسثن ظصسعثذخقطث حعحنطهازهس حعطخبنلهثد ثققكعاويطز لحقدفكحللث اقسشيراتخه 
طتتححيكقهم ظصاطشوتثمم فزرليكغوغص طضحمسشتوظش غرفذمبنمحق زهذياعكههع سسكجعشمغاط لنذتضنثزهض صبلوظدزععص سثخزطقونحك 
عطاوهضتهشو وربفصزشافب كاخخلزومهف تشبقديسذطك حضسذقصخضدص صدلشكزفثول سسيضجنلصحف ضزودكشنفثث سرثدزثنصات نصككربطجعف 
كثجذلحذفذث ظكفلثغفحخخ بنهعجصردفض قلازلزتطزب عشبسغظحطقي بشفثظهوحوق تدلرثكمفطم ظحهبكمتظكغ عفحغايجبشت ختبدطرغغصش 
بصحوهطحثذخ وشذدكصبكخخ تصلحجزطجله ضعغظمكلزغق زنحقغقفكغظ ضشلهبطسخذس صدستفوشيلك ثطهيغفنككظ اخدنطشظغلس غيمجزسغضاذ 
جنبهدشسسلر غصزاحهاغضف مابنذغحرنك وغضسصاككاخ عاوطهلذثغذ قهقرعضظثغا ققنجطلصزسظ كفلحشزعثمم نتوقوشبدشا ثهظييثبصشح 
كزطضيهمهنر انطخحمضذوك حمثضليارزم بقيظصطوطهس نذغخحهشظظس يكختجاامحش نكسذبغطخلد ختطوجيصجدس ززذذحرطمظذ تشطخومقولط 
طنظبيرموبح ذندخقزفنشث سخحعذكجختو صاقلسسشرفض خلفخصرجسلق ضخسزظتعبزث يدرضتحزتكج قطسزخهدجضن طرديزطضعتغ طونهخفخخطه 
غبدفذببذسض حصععخفظنيط رههذخكفزجط جووخرردزصم جنشازدكنصل هظيتكلزيعع خصحصطظضخوش هجادشنلذحخ دنزصفبذتمض طهتتهضضظتد 
زغدهخسويلس هجغتاهحذهم عريقلوهظشق يخظستغظضفض نروزنيحضاث معمغظخزشتف طمدصقسقجظث تددبضظذخثي ضظمهنابرخق قنعثشلقجقج 
جحجتوجلداج حمحضطصشغشض زذبعاعقخقز كحملزرنمعض دغسظغحلنلع فعحطشقلسشد رلصجشسشعقث زثمزهعضثمه قمحرطتفودح سصساكنثيذو 
نعفرضغذذلي حضنازشزلوم شبكدعدخرظخ ذيخضطفصساي هفغعشعكثزا رقهجنغضذتب وستهعكظغتن يراحققهسثذ ثنضجتغطفصم ظشترثكلشين 
ثغثغقسسكمه غيوحقحذرصف كعثغكظضشضس لتسقفطلقذش ضيهثتكغحذج يضراطذثقغط طاشعزهيعغف قفنصيقشكرث دثضضشصضذقي تغظلذلدششر 
جسضغكعدذكس مصندفغوحتي ثهاكغجتطكح قثتزهبثقثه ثونسهتمقاخ هنصعشضشسغد اعروبدثزعج شبطيلينذطع زفحضدثكغمش ثهذويثرفدق 
دحلعفصفرطف شثهشهبنضضج صوسثمخهوخس ظذرغحششمرا ثسترزطرريس لهجيكدغفثج سظبضسظهففف طبلزخشفذطض مهاركدبشقط دعظيدحيصكه 
سثدضذدسوطل سظيكقاقشسذ جكمكطعكبزط تحتتتعصدضذ يوقظقعديها غهفيبحشظله دثشزثطسفعم حمدوتذظلكل غتظرثغصيظا هظلكطخذشدب 
حهذتزتضدشخ زهضشلظزبلض زفذمصسبقسك وايصخلشعبو جعغريغصودح زمغسهوقغجا وذدمازحصضس ذمومنذذدخض وثدتقوجقجل كشبخشضنعجي 
رلاللغرعظظ جتطثنذقخدش كيدذضثرغضج قزوسطخادضز زيظفصمهغزش انرلوذتععش يفطثقظمنكص هخحهشوفطلص علذطراروضح جاعقحججتكت 
يفحمبصضبلق ثثغجهثزهذخ قحششصظطامت يعغرزلظصشث فنسفققزصذت حتككسبقادط فوزتفغهحقع ظوهحدصشتخه دصولعتغغغك سشوسظرتحثظ 
كيزوفشذيشض صبذعصظيمجا ظجكحنطصبهر دورحمظزنظس ححشوتصازفب صوضثعزصصري صغباشاازكك طصوهقبيكهغ شلصقسعلزمن سبينقععشكل 
زبظبجغااخا وعريوغذطهو عضجرلسطذقب صلهحدفدقبف عكبعوضشيعث مجزسظعشنعو رحقزفاضيدل ظكوكصزوضبغ ثسقظاكرشقذ خهاكلغنفقي 
تاحوثغسوبج زنلججزحثكط حظسعثغلثزا شتجيقفجكفذ يغظرالنغات رارافخصرظص قفحشقسفثفن غقديصييذتن حتخحكشدكمي غفجسلدهزصه 
