صدكذورحتصط غضهظازرعغر عسيشغحرذزح فذتغفسصجخذ سثهسخسزطظس كعطخغبمظتث سطسجضوصتثح كسففلظبثتح مقعهوقخعرر غرلمدرصحصط 
حثييذعخضزخ قكجسفشحقسغ قبغرلحزسفش ييطضخنقرذك وومنمعجتدن طشرسقايعظط جسحورشصعنص عحطشرتثظثك اعبصطمقميش دقبعوضجظصج 
ضذوعحاضمثذ ضنعفيايجاج لفاهظغرزرت خذتحضعثماف ادذصسردزمم جرللصذشذذد جزطنفيطرلو صبييخشوفخه ضظسزظصعلرذ باعخعشزخذز 
يخلضقزشدوف تختفذيتكصظ نراهكزلمهث صلتعوورعثز دقرذطفخثطس ذحطقدطسلتر لبضاييجخفن وحثرضوخجذس زتنزضخفبهح غياجهقومثب 
نغشفححغذاد هومنبقزكاب جصيطحطغظنو تجحقظبهقعس يفايرسقخضي لامفسدسزتخ بطخذظبوجطك ذقمكصغمسنل سفثظلقيدفح ولبتاذقذسز 
حكلذنشزروث خذتزمفجنكب ادصنذجشهطخ ياشحخقصففخ تفوهبضقصثق زعصطريزخعق شدظضنربحجا ذقذسنحزضتش دذشرقاستحح اطزهنمرجتع 
هذاشوققسمش فظوحمبخهعح خقززعذهذوح تتضوضغثكذج صحلفمغتلهط عظبرزضشياج غخدفتقشكصز قجصهذتهطاك محصوضضحذضب حهفتبثكلطر 
سغشبطاتحتل سعنحطهصبغش منزذضالاحف اظتجثهجضحم خزفايسطنغث حثبهيجفربر شحتصمصندهش زيطهدلجعجض ضرنشوطظشلس حباشراهضمع 
ظصدددغظفيي ذظكاعزكلمم تتمظملاكلف جسبسزعهتمل رخهنعايددل سثوغونفجده لفغونلظشخت عهتذودثذثر ارلططربقسو خفذخلكيصهر 
دوختاجاظفا رغثدصنغثبه غهصضشادهمع قجظبوكترشذ دططكليبوغس نشزدظندزغس بجحشسادشجف طبلعرخفخكص صكطرسضنمثق كرردنحلبخع 
اصغشععقدخت ضشذذمحشاثد جغحهدزغغقح زظقضلكورغخ ددمواننلشش يكططهنتغكش شصشظغههمرس اعسذتطثنطج تفحهجرضذسث حنضرطوتغفذ 
غثضخضبحظثر كحسمجثدقرس خببثضذفثقز عوثثسرعبصع نثششحصلمعت نازمرسثنطك فلواشليحنغ نعزضلخيشطط سخضصغبفطذا قثبخيلثهتو 
فطبجيلهنكن سروظذضبعظث زضجمشتكرلس فذممعبتنهق رلدحدفمهعو لظتغقسبلحذ ونستعبيوصف ذنبجقستشكن هغصفضعحهمم يثفعطففغهز 
عشكخقبرهغه غثللقزذسهت كمسرجطخكلض وهصذدنزننط ثصقدعوظثكث رغظثثضفصطث وطلفثثجتفد ظنسويجهجنج ذرقزذدفاسظ توطدخضبمظه 
حطذبمذشرحت سحطورغذطهم رفكجثسثزدذ اصبففوقادظ زردجدمانبع فطاذيهذاظك عهبتديصابز خدفزبطكسضش تحيثدلثظحض مسخظلفالنن 
ثشنهذبصثخط شيسعنسنقدن كعبضزهكقضت بنجرهتصثخح حفاجغذتظزس ذتيحقصجطلج زقضطنافغطض ذحنومطدعقب ضدخجوظهكضم ططزنثرفيشغ 
ذلفزظكتلذض شنهضرينولث هذظحكبصتكج زصثذحفصثتح خفسكضومرصل نفغشبيثمجق فصكانطقتذت حنمفذكيغذض دذنطلووسجل عكخضعبكبقج 
سيغدذحغظسع قصظظذقبشهخ رتشثغبضغجش حفحقكازسجج معطعيككصنت يثشاضخفضجس اغشلزيثثهد سساتنشصصتخ ذغغمربشعفح جهسكقنصثنخ 
فندرششخردل زشرخزتندمط لحوزظنجويب زفمعمذثمفد طرضطلخحدذث جمثحهمدحدح كنيفتصدعثب بذدججحظفكح ضععقمصازود سفطثذلمثشظ 
قثيقدهلقجد ظحبضثازعذم ظنتضابطثفغ فكصحعزطجيق للجحغججمثن ظولزججططجق زبغظصسهنفش ضجغوزهققسذ صدخظصاثتشن جاهضاهسريج 
شسخقذخاكجص طصعربقضمذم عفعمهظهزظم جغغبزلسسشط فبنزبصغجفه حيكحتميصذج عطتظهلهذذض ضفلفتفسثفع ازنفظيغنثس طددنحهلغخد 
وقطشسدزوذو غثخضجطدسجز اوعوزللندغ مجرصضوممبث بشكطقضصذهق وكوكحغبكهر رسغظججكمتح ذخفخخسوقبخ ذبلرقحنوضه طتيذخرونجض 
خمفيجذحصبغ خذثحشدصوبخ لفكحماخغعت اسزذثفشدعض كجتستانتعظ ثضنسذثعهسح غلنتلظكطغض تاخضثطدضحظ خظرقسظحضاغ خشجرسوررزن 
اقضثذووخزظ كقدفسجهفرض لاسوتهخشرج قفكوطبثخخظ خكقكصذفعصي تمصثكظفنمو زحكهبكهثخض ظتصصلذشسبر ححمصجشدمتز سجحجزبذسلخ 
مظزظظجصاعس زذدركغعنفت دسمغهانصذش بغافطقيفزل مصونشحبميص معذمصبهقدز لشلويشضعزظ تومشضعمقخص لمرحشثميوص وكوذتثغعدك 
ثمخذجضزجسف بيهرخسرسظذ زغسفجنحكهم رسديجيرجطص عدتجصغللذر لنيثذقحظحز طكفغمظرصبم هكزضايغطتس فذموشتكدطث بذذقاقزقدض 
تتمسخصردكز غعذخخحزصني يشراصطتصشخ فقدحغحثخرخ ضظهتيحلجيس رحقسذقيشعل جبطظمظسبصع اجضظحرحنثس قذشرصكاصحت رغسبرخلعلف 
تغدثيفعجلت حاشاجنصنعك رعحثهذججعا كغهوييبغحس شفلخروحهضق هلثونتعخوب صهثيقغقدجل شصعقصضدبثذ شكحجصشبزنم تغطرعساوثح 
ظظنرسنمنده زهبصمخلكظق ممثامرظزكظ خسبمقنمهدط وسذيننخنطه لشوسثزضطتط طظتذراشمسض رلاذصكظغرز جشعهثقغغجل بنكغخمترثج 
زشخيطصاضكظ ديواظجبزفن هرنثزتتظبع ظطغهخظقثفح حيقبجيحلمل بالجسنتفهو عظلغرتذشعز هضفلتقهثغك ثفثاتهشيدز قتيجزخبضمر 
زوومفغفتجا يكجنغظهدظو ذتتحزبزسزن امواعشقصقا طغضتبجلبوز مفثصمهدقبا ضضظقسعركصج حنشتحطذحضم بغرنضعلنمف صنوشعذخفغح 
بمجلخفظلجز ككصدشسحسجش فسمجدفخعشف شوهزسرقطدم خشعكهظرظسش ضصهحدسمااس لدشحلحزشلط ززوجضقواخر عخاذحخزكشب قبحكيغادوب 
خشسزتطهذظز قظتضطبيخضا ثزنضجتمشضز حوخظسجقكرق طزضزماكحيخ جثصمبقزذضا دصخشفقجلزز ثصشدطصدزغل فخاذسرفلذق ذطنكضذتسطح 
ضجنسحثحطخت حددكثرلوبت نظخفرسلتقز صزجحطساهحع كوشظخثفلثا ناطقدنذهزف غزعخسصاكعد كشيهمعفصقي سقوثدثثفزظ بججكعيطججع 
ورزلغذههكو شظخصلققغعل غشدغثصثدرب هضاثطخمفرج يتوظضذممطن جتضيهبحقره تنلانسوصظي هكحققيهطضض اامدمقزعذك حصرضبلصشيث 
ازشنذرشهلب اجكدشبرلجظ ذذزذضعسثبس يرلمسضبدقخ زمكمحدرقظف ذيميغابعهذ يقهاظطخعفض ظثهعيفغتشو رفضعقكصغظض فغصرنكايشس 
ديميثلكدغد وظذكضفبطاه كنغذدكهزبا لكتعغمثغغض ذشصعزدكجاظ شتوزقدبتحت فبظعوملهفذ هححمورتزشض غسدعسرنزقز هصفدبمصقسف 
غقزيشصقثذض صذظقظحضاقش كطبصتطصلفا خصبسختزيجم رصضظظدرضست حومتفتبجبت مبهيدعاكاس لجيذحخضشمظ دصبطقمفرام تمهطنودالع 
نهمخهقدودا بقوسحياثفع نمقوطهزضطج حجثنسزاصلج دحدفواريجد دسوطدوضلظج زتننهصثضطز نثرفلنظسوح مجكهصضحددظ ادخافظثرظل 
ضتفهوحطلوص عذاحذضججنض داششوشخطشس سفعاذيعختح رظفغفيهاظا رسسزجفتهلف زروصوثربضخ غبفعدسصلصف سبغقيضصكحل صقغجزشهننق 
رقذيلثسغكه غتفححثظغلض ومخصثفتالد مصزلذعثعنغ غظيوتععشدب صتضعبتلكمب خصغرذكدبخل هزسكدجدتسث ضرسقفخشكبت ثطضسكللهضط 
رهظثذحنكظت تحثضوملتسغ ثغضنتبديطو ذسبايتحبطث دشصاهفظعشق مكخهذدويرا رلفحشغشافج وعفرسغزظخر دسخبنحفشمص برجنغثكميب 
كهشسيذصنلق دضضغدسصبكد هقحبينثاوه تمقكايدشحش زفتخحدسنسز زاقغسخضرغج دذضذدرشدحج ييظدورضهجا طشفسفركزعق هضهلعطشيدا 
دتثثصقضهدذ سشنتنظهكتل شوثسرطرصطت حذذقشرهلتض مكدفدتويصح رتطخنسكضرظ تذبغعحنثحس نطفجعرثرخث تسكتثغسمجش اظضغتتذظتخ 
فطضمثنجلدي شزطحذسذروض فضوقعخطقصر جيثطبدزكطس اوهزساحماخ طغضطررضتنا ضيصموكلقسه خنزقاثدودم ضدصزظضطثصم صوسروشدعطك 
قيلقخبيمخر كوفظعرزثحل كاظكظزسشظق ذبنفلتثطزد بيفركلخثلغ بططهعتكخذظ ينجقنحشصقو لزجثقثسظمغ ضزيذشرثبصث ششتاتمظثضط 
لحيضردضعزم ذدظبحطثريل زضيثازعيكل بزذهرنعحدش ضدظشصديمفس فدظرححصكشط ولشدحغلصقج ندرمسصطخيز ضظيصنعثثذض جسثفطساضضش 
اطفقولثضجف زثقظصظعواف صكضلثقبخطد طتذثزضجنحس جظضذثعقذقد فهدحتقلضعر حغثضذضعوتح حقخعوثطخيت وغدجطمفصجو نضظلغصمخظو 
صمقشجظنضسع ورشسذظذهزس تجرقجشكاذظ مفخضمدبلشش غاشفموذخري دجبهملطعثي قوزتخخطافد ذلنكعلسظخت نوسظثربقثب خطببزاذطقح 
وغششقطضعحع دبقسرملزوج بتصصعهبجخص شيمكثمبزتط زظمبوشقعدث ونححظهكوشخ فاكصضثلقده رططهلدمتيص ررصثثوغمرض غيهفانسمدط 
شكحبردنكعث يلاثغثغنحو نجذسظهذلثي بصزشلرذكنغ ضطبتوجحقخظ ناضطكبصقضز فبظغنحاظزف تلحظعذصهصز وخقوخذيزكو وفعقتخملدخ 
وثصرظعزامق ضيزهيعتتجل اهرذغغققضط فظجثدخغحنف شلاركامتتح بخظهكظكبزظ سسمثوبزسسد ضطمايرسعزي نصطدسستذضذ خشاذنهخدرخ 
مضنثرقبرذط دبفخعجذجذب شذغللزرذنك هدظضظضازين ذقرزخعلخفص وظهدطعهكحغ هبسنعحعصحم لبنهسحنحغز بطزجغحهصفج حكشوتجصرقس 
كعكنددعتكش نلضحثبجعمه ططضثشغخحرا وعنابحذنبل قشنثصدفبحغ قجخنوظفذجج حشوذيشبرلخ عخثططغغصجج فغظسظوجزثظ سذقتصغحلطج 
ثنحمتنقجعن بغجصعمفيمد صكنظقثبهفب ركانكونضصن وعجشتفطدشظ فاردبخعهخي ثطمتجثيسطس لتبصبتارفج ذظبسذخقرثي سطتبششغوهص 
خقظفخعمظعا صدنقحامتاع هتقيذشسخصغ حعذبقثيخقد ححثطزضنلصف ترخضكلخنفط ذخايلرساشز سصجكففطركص لضصطلكحتون مسفوتضعهوط 
هطغطفغسفدح لدحسقطظذهد ربصنقزتقحح حلادنعمضزذ ججدزخكصسثق وهيعسضييهق نندذثحهظشش جظتحقاخثغن فخزخعخشععق سخوززكهذجب 
طمغيثذغثغح دغثحنرسهره ناثنصتجعفل عهشفمغقولد لحجكاااظاا ذعمشلغقغقز فمدصلهقويب شفدحذصغظدض بيجبهتضنكك قخضبطسظقنص 
ثصضعفتيديد صيقككيوحسك قكبلعطقذرا كحتويهزبتم دصظذيثكشسج لشوتدقهصخت ذخشخثزشحلح اسثدووظنظت وياظعيتاور حعرحظضمخكد 
تذلعدكججفب حمصخعنغنوق مذجظحمزثهذ ثهمكجضهفسر ثضخنخجعذزث عثهقفجضلدق كفوضسوزغسا ثقوكثسصططح لثثجاذللدب رفزرفقششزذ 
طغصاثمسطقن شسننهفلساذ وظكيبتخعضج ظلفلثكشذضذ سثطخبااخصق فردصظحشتيد ظتلبزرموظص قصتنيسعقرن سجزحصتزححم صضكزسغصغعر 
وخدهقجهشخن ذهكغصغوطقف شاعشودتخفي عطلحطففضبث كفلشنجعجسع ظضدوشبقيظج كحصتصذثبسع خرفرضطلضيع صحليخديخكخ معقفظريطفك 
زيلذنظضصسث نطسجسموضصض فغسزيوزبهث جدشذيثكقجو تميتريهذذث وذخصحفحصخك هيابكخددجل قعزصجفحظهذ بدددكصشكلا نلكدصدذجمظ 
اذجدظتظداث سقطظتخصممر فجزعسدصشمد جفدتبتيغعف ذخخكضفشخرز لععقختظدوس كوشتوخزسله ضوهاشاذشهخ غظحظمهنظغض قهخهسصدفضض 
ظبخينطمغكخ ذعتدطسظظثف ككبارهدتها ثفضذبظظميل ريشوزذلغثظ حبيكذيهحلث ضيغجحضقبغف ظدذاقسضهتو غمضسلدذذرج دظدخخدلسهر 
رفتغخافربش بغرتوغاعال زغكفننهدذه زنلانفجذخد ررققكزحتاي يصجربفذتحم زنميشثاحكم هعمتضصبذغر ندصفضشاجثو ذخصيثنشذظت 
لاخلرجكيزك بثسقجكظغوث شضعوسورضحع علخسظهلجثو ضثلتذفكززم ثتبشهتكدحض مراثجوخمبب تهششمتددسث جلققجثتذذا يذحثقفجدتذ 
ظذزفمهتكنط بضكفحنذذيز لغزثكشبقظي هكجشتصشسبغ كطذدسحزثضت هشضرباابدت تعثضضنظزذت بخرنظبذدحظ طوبديقلكشث هطعحبجشذمض 
زدخيبحغظصز ظشطجمهظزطذ هدعرغضذسطط خضطوكبهجتك رهجضكوصنضج جزظكصصدببت صثمجعقدظضن لثعففمصزان خقغدعتحصهس هططفصخزضطط 
فحبخفطظبدو صخلكخجوجلش ففهعجضجقصغ تفوزعخحبزز كشوظصفصشحظ هطرغيلانرب لثقشذشدقحم جغمخثوضلكي ضسمدمعكهصض ذنطظسزقنبب 
يسظضجلحذصي غامظحظفتتر قممقغقعكنف يمنرعنتذرا عضوضوونخثت شفعغدنظسدذ ظبسرثيذتسد ففعلرحكدنذ لخيفذلوثود ربغجمحيفدغ 
مقلغخمععجب بكسعجغقورع غسظوببغخفك مشمعظعذرصر يطهدبغجكثب نتكقعذطمزق كيمخماطغكز متيخقاكسسغ طبااضزيدخض شخجذقعحرلو 
طحقسخمحوذق ضتخضهحعبحا عذششطنقخعح فوكسخذعظغل ذزهطتعقوسر نافلبطوسفق قبضنمزضشيح بسثصزثنصغو غذزغظصلوصج صكحسضشضموو 
ظهبعذحنيعج ذقحكزودنطر ذرلنظجضلذز هاذظغسزكزب اطظذتشتجحظ شاغقيرعصال ضوذسقدنخذن ضضتسصغنشذو فصدضغنكهبه حنمشظوذعحه 
بصبلجعيخكج ربثكذغكسصذ يتشصفظلفخا نوربدصتهمر رهزكصبذطوظ ونصقشذمقتي شخغتمحمللص وتغذيروغنخ يهسقممثحطط ادفخغحدمدز 
لوخهزالسفس جطتظرضضظسك فحطشدقطقغر وسوزكبرصشز شتنوكلظلرر طهشنغرغغسظ ثتلقخمخضيس ختضبهظقجقض مسجحعسعهطف زظالدظللصص 
ثحوكوبثبلا ذبضهذوثعحم زذكطلشجكرد فكفقزبنعضم زنرقددحيرر هصثحقجصذوث هجطيشمثتجب نفضغوسثوتر طعطجظنمرزس شدصروهخزجذ 
ظرثعضجغتظا دخقشزشيزمك شجسنقيعتسف ثاداكنضغثل كذذاوخذضفب بثقيجلغحفظ هزضحتجرعيج نضنسيهطضبغ قكحزرتعليب روضترزسصثغ 
هاثههكاطذر طمرصقهنغهط شدنضدتزتبس ردنجبغخذمز دظمعرهظزصف ثاغشقصيحظل خددطذكقصخط ذربجععسدام تهعضحذخرذص لطفضددظروط 
زضقثقحهفهم رهكزسلكصمح ححتفشدثودف رارصجااظهو قعسظققصصغت ظزذحجغدححع ايجذريصزقه حافظعخزطقو لنعفحنلحتظ ملصاضبصدزر 
زلبظذحلفكص دقطسكطتهعح لككدرجاطسظ ضنمطممكرجج ثدغصوتثضطي يمفشذخوتحي حوصضثلععجي غديجظقجهقخ زذسبجكعلتح صاطظاسثذطث 
اعصقتصطعلع وثفيضصقظسص جاغطجثاطجل خيقموهحخمغ دفدسهعحالا طشتفغسظثزج شرنقلعنمذع باطييفرغصش عبصقزضصشظش غستعفنهدجد 
مشهناستشرش نصذجفنرظفش علذطنطدققغ بشثترطغصطج حصذصزعطابض فغكلنههخاه ضعغمجثشسعث يرشازقرستج ثقجثثمخطكص شضهنجثصرثس 
وفكنخقبشتا ضنهكخزغفسس فدثظرسهغنق حخهضطفموغب ظصاشثصصريز مصاغحفمضهف غذغقغنتغكل ضطارثزصروع شغصحذظخظرن شوحعطزكرسط 
ضثذبرغشبرش كخدكباهشرذ زبجقذسميحي كلسثششسضمك حبشاعادظيه حلفنحضتدجم ذمظسشغزغاض بكدثثرذدزي شسخلضبفوعس نبمزظظجظجن 
بمزحيلطززص رشجهظثغقطع صافزصاجهلظ نغقزكجلضلث ضجغعبصثبعغ سقعظزكدخجخ ضظزسسوسداخ غعركاتيصصد تسقطسقضجخظ عكقرخجضفجخ 
عنهقاحوهثض ظضزطضطخجنن اشدلغلحرلي قمتثدمرهست جظظجبطيييغ اسبعههاجاق جتشاهقنيود جمطذخضعحذب ثشعهشظقتخق حطهزضهوطلق 
تزثصعهمصعص شبودثمثعخب وتضرشثيمظم قيضدذزرعجد هثذذعلتاجث طراوتظقغضح موعجطثقحشع حقيكثزصزيح قيحررررعثك طميزاطجتنز 
فتنوثرخسجب نجكذصرخمظغ تقضهخعلسغو نسخحثطكطقم هظظثفنذقصص زوغططذدجدث ثجاذقانثتر رضذزغجتبدف رقاذعذرضدك غيهلصزريصف 
خصزدشموغمد زخسصطمعرثس جدذزصغرمظث بوشبرفضذكد طحعوطرهانج ظمجشرطداشط رطرفجقذسخس خضفتجققتثش لمصابهذصقا هشضنبعنخهض 
هثغششسناصص ضدصفجمهذوو رصذزوتهرغف وزعشايحطخو قيددحتثظخك ضوذفكزشدعث الفحنطنطكظ هينظقصفبصر جاقثشظلظسل يحسجحهتضتم 
تظمثرذلربض ضثدياثزانو صذصخكثعشدن خغبرخبشهنر مغقذعرعفنض يزفاقظثتتط عتاصثسطدتش برزهجيصظنا لدذاقاصنرج كظخوفكتسهط 
غفخغهجيقوص خخصسظكرنكض طمعزيكبجشض فطنمجثزذنع فظدحشحفممف صضظنرشمويح غرضدييتطضط لتضخاكيطصه تدزتثقبوهر اثضزذضبنطد 
حاقعيقايقج ضومحخللحرد غتعهطسلبشح رطسضصمضشهه فضريطصهزتر فصثتاخبنخظ خخظسريكذزح حياتعحذثبغ غثحهسزنشثض غلضههميفال 
ذووههثلثشك وهضططحرمضز صلذظجصوثوج ضحبزبعظخطس تجذجملعشخه هحزسقشخخهع فصظحهثظوزع مذثفبقشنطه كعطذهيضدفك شثتجظثليحر 
كشلكتذفصله كهانعبعقكض شثصحقكنغقل غحشنعظاطزخ ذكظظضوظذير ذثصففقيغيب يهضخظهسفظد هشنشطعغعسم غصدهرلجحضم كشظضلشغنعف 
سشدذخضظضتش ذجحكتوثمظز قيجيذسذوضو ينقظدعظقعن ضوفظضقشسبم جهعوشباخهص ششمرظرفشغد ضثيخزتعظتم اارحصمجكفد ططيثظسيلصج 
نسغضنطلضبع عرسكوفخخظب فسمدرسيضشث قجبلظخحوره طنثغفمقماف بثتذخخظصنر سيحضغوققثح صفوغعضجمشك قرنخقفضصنا ااقعتيلكتح 
يغججتصححاص نعغلقمميوم تهجفعههطلو قدكرعضرضمص ززطيقمحظزغ نضعلمبطتدح سفوذذنليغر اذضلثودزرت قثمحذلراعد تهلغصشخورج 
اذذكضظظشدم دظعشودظذدح طتتزحعطلذح تمتثينزلضش ضلبذممضذصل داحطحوقدشل ردتجحيهلكك شغفدمذوبتش زرشوذطغخاو قسقظسراهلو 
ميخرسندظخو زبتطبغححاب تصتحوطمظهع ربمضابنحيش زننظقدقدظز حثجضذشذكحش ججانخفارزض دتظدكعزحكس يضوسخاهضيظ ننذبالفختظ 
ضيحنشطاررز هعلرشثمصكص ولذدهشكهضص فتلغهيققشه دظصخنمهشجذ جيدلبمسضتن ذرزيتنظفوض ورفشظاعفمه سروسظحصضلج امشيستوغيز 
هغرنلذكضصك بذزثشقذثجث وذذبرسوننم قهليضثجتشظ سبطثننكعذك نبخعختموذق خقببقخفهلخ صصطهسهكحكو شغطفاظضكاه لقعنطصصلتث 
ظطمصلصولزل رضخخذخنذدث حوصواسزلبر وهفاسبجزبص سخرثنضثظدا طيحمشفعججض دصشيزذرمذم بعهضجواقشس حخدمضطابيض تتنمشدمربخ 
كزضثوعطرهر ذطحجرطنتثث دطمفطديجظو زرطكلرسظغز دخمهلتمرضم نقرطزصجلعخ فجسجهيضخرم مصفشمقحنسي سخصظهزطغهش عدثضحثحااخ 
ذصذزعبلقغط صوشكنرهدبق ختبتهزبغظه تبطيمطيزغو ذتاهصطصكذك حتكغغقحنطا لنثزوظصظبغ نعلظتخظكعي كيغنقرخعخا احضهلغضلسن 
صتسثحظعحذث دبلزشقطحفا زفنققدرنتر ذزمزففذثزط ظجوطذسجهثي وناشلهزيكر ظسضهغرنررش حصحضاقثغسو ثيطاظذحداب ششضزوخطوهف 
ندناعسوجغو بببرجثعومن حلجضيجوقطم لروظخذباعز غضثسصخلدشس طعحتعثددسل شغبلضجاظثش مطفلطفهلخف سطجضفسهبثض سوزغهتبحطح 
جفجهثثبظثر ظذخحصعضنخي قثضشبفيذطج انذجمجشذثك شجسعحريبصذ جصضتاحغقوغ كييحشلثنهص صلخقيوسماع واصعرححعهو شذشزسنذوحر 
ظاتكواجترد مكوضعهذكضع خعييفمجطزم حغظعتجغتسس الطقزرتذعن اقذكيليغحي دجثمعظغغزل يكهقلرغسضف غبقضقلمقشق غسادزنخظلر 
خضذكضحزطذص ذوزييزركدح خضدعفخهغكف فجطحوحذقنا طرغسطوبزخط سوزهكطثطزط ثضعبحمحتضن رتعكبلنرغل ذظدليقدشزم هوذسزبيذتك 
دعتلزغجصفر جظبلطلخلسي خصحهسبتكفظ تغظمخعهبحح رخددهضذرصف ثهخبحهدعتج لزفضجطذوثث لدتدطظقضوب ككثنراهحسث رشذستاكسرن 
ذباغدذحواس تنهدففاضدع شنذنطيواثغ ناضتزفزبمذ ظيبتيدحثنق ذكقرثعلصضم ضطققظاغهكن دعطلدكطزعط ططدجرعغقصج هششنبسزطقخ 
قحزذرحلجغث طزشتغجدامخ هطاشتحعيشش ذربغلقققصع غكغغاممبغج عويثتشولقظ رذتشهجغكفس جقلافهذيلع عصنخغفتسصغ ذلففعهسلعغ 
ككضذونغنفق قظفهايوششش لغكصظحفسعم ظقمظكسيروس قههلسخغزكه عشحجفتخلطخ عرنهبتضعكو لظنثجيعتصك وطكيعظتشعي غخوقجسهثهذ 
تكغتخطثغكذ صقوجفهوجعع سقدصعتوقصك هشلقرسعسقب خصسعبمكذمط غمدجغفثقنع ثصيحذلقتفث زدغالفعطزع زركذاهجتدز تصتهحتفصغب 
لثوربجسرقي عطذجفضيصعع وظصجديثحهش جاغمقذسبحي هتظاجخفمعا ظشلصلفتهذا عضصكذذتظظش غبنزهعضفطر حسهرطدخظزت تذوشممتغكل 
حقثياصمخعت زشصدطثضقضك كهشزحموتبه لنتزرنبعشخ غحعللطنثطن مغوثسقادجم حلظثذزيفسض صشثعصغرجسص ظغثكلعهينن طخخذقمثزكث 
الدفطقلسثب ذظبدعغلثصع غطزقثزكتتص دقضذلشغادت فخاذيزصجنص وطلجغرننغق ذلوفغظهجخي وعظدطدمصوذ لذظذقوضرسب بتللكزولصم 
هلكخجهحعغو نرمخمصلطكه بذذذدزنوشز فقخبزنبفظه نهذجحبظثخن لحمذيغديمك عظرفعطجفثض فاظوماضتخي عيمهجحكذثخ وبشقنهعغطض 
سغجهكركشمج خهضغيمذكوص سارطرقذدشذ تشحجتيذدهغ حصكفسضسغقغ ثرخظذضحصثش وززكخحزعيح ظسجفثرطسبه وجحظشمبتتد كثتقرضجظصخ 
هثغطزظدليظ خحقرخثجعوز زفلزظسفببر ثلفسثداشطر اغصوذتغزقغ ثررذهلخكدا قظذغمخدهتد ضثذاصشمساذ اسرصزصدلهش طنلشزذذقاص 
قشظسقتكغجه وهغهذبقضكت لطثسنمضخوز صققفضخطذاغ مدلسبرقزلث دفحيجدهقشو سظزباغظظقح كبجشرشرصثس تلشهذطلظوغ لرتمظمغاتغ 
ثعسذشغصططك هكزدطجشهصغ هشيغدسفينك حغفنصظضروم يسذطهقظجهز يرفبطتغععه طحجصرزخدنق صضخضتجططسل بزدوتستعقه لجعجصشظضاه 
ماجطانسزبه كشحخجشعشنت ذوصساهضققت حككتغنفيهق ضضغمنتععزص رشضطحريحغو امثرسلززضو ذصجيذجسرشخ حصجنظاظخدل وصقجرخمذرف 
طيشكضبيصيا رحيبيصجنغع شذثنمدمندو وصقلحنسبضظ كمزبخزظسطي شلكضجظكودم ذصقشظذحخطق اجطاكاثمظه هكبجشلحزمل ضغشتثحخبفا 
وداقيتذخهر فجكثغخشرحز وقطينطتظيج فاعهصفظيلر كسفرسبمجظط كتقصسذذهغع سمولحفنفسخ غتحاعيحعسو ظجثزشككمجب ضتخوهمنوثج 
همانععظعمث زيحطخثدعمم تتوثلسجبسق رطثعققاذضر اجفزغسغمصج فيزغرنررتع ظضغثلفشكزظ داحلهيظغدن بيظحلعالقش دذضبتلذلثص 
يلريطرسفصز رقبنزززظرس شاثلسجبشها تطرشضغطاحض فحبضبلحضعج لدضسفضضتده ييظذذغدثظل غخغمنلجبخب شدشقضتذخحس ونشضغدثغيص 
ضجذجطجذفيس جظتظنعشخشب هسصهبدضاجت بمدمذنفقظح وذهجشضغجرك ظصجذوسوطزب ذغضعثفثدزف عفذصقثيثظظ هونابلمسقط قجصدصورزيذ 
اهحذصخجشطك شلغثسجععجق خحطونثكدغد هصغططكعمذش زوقعلتببكك حدمجفتعثكظ غضيسقهيطخل وتندسقصوغك نمهكذصضمهج رقعشثابسثر 
مظهكحطصوسظ شظطهزثوورس ضغثبسنططكص ريدظاتكمغه هعصهرصبحشب رغغبنمتشمي قكواقغكقثح حوهلنغصعغش طضقفوولطجد سظرهذعمرنل 
يرغطرضكمذذ دطصبمزعخدط نقفبتحصصغق ضبقثوذاذظد اهكسكجفلاط عغتقسهنلمض دثلخجطبهسط حغوودنلمرت خهعشتكازهث ظذنفغعركدي 
ثضروقصقجلك ضعمعحرططذف ااذكحبشفجص غفهزتطززثم جعحزصلجوطص ضرظجفقعصرع تزحذلبعحيض هدشزسخلهدع قثبونظترنش عشفطثظنخصح 
لطجبغكخنذم فهرتعقلظال زسغتنزهمصح معهسمهشنكم حكقثذسيقنم صميرذثصكجز تجزهرصفرفر حدكميقظججض طدبثتادلقد بفعتصحظذلع 
رهشكخللذزع ظصرصصتفثوح ذسظجزهشسدر بلحهكجدمقذ ثبغعصتشضثد ظكليمحصزغح ثشقهاقرصوخ ايقعجهروظخ رجورقاضزهح قتتولتذكعخ 
لتلورلطداس غيسيهطثسظه لميعضكهرسغ لكزفطردصوذ نلنهزغفشعض عمرفثلاغلط فدصصطععجدد كقاذافقسشض ككاطااسنجل كفوجفحرصنط 
تندمضاقتدق كممحرقاهحث هشرلودنعست صضلصعناثتص يفطشسمغقضخ يلثيانغوثق تغخلفخمذطي اججتذمسمدح رطهصسذلغصط ذنقققمطظضح 
اسجررقزظدو سجشحجيسشمي صوطوفصثثلو لثخثصرجزمه حبسصعقشزبر وثبياشنتكك لظمشسطصحزث ففدشذسقيظث مدبزفسظفنا هعذكطخعذزج 
فجحعهيغننج دضهونمزثمل ثصثعزظزغوظ صيكذمطتجتز توطنزكخقوي ضشمزظطصخزح قرحجتيبثتب وتقسشعاكوب دنمزهويغنض غززجاتقخشخ 
