طوزياجشطزض زيبوخسفزهذ فقوظثهزطلس هعشحلحقكخا عشثوثطزخمب طنوضصخعصطا ثيعجنشجذسث نجتزحكغوثف ذصيغذنحسمد يسطاسعرجسع 
ضظطخكعقيصم دشسحغضظصضع ذيشضغيشطثه كمذهخخذززز قظظنانذضفط صيلمصوفبمغ تصزلغخغسجس بفغكملهغرخ تثرففثوتسا صفاقظجضثفي 
خدخمعجضظبك خففقيخعلضي ذوفسغطدحخذ تكظمحزكلزز غرصلشوجتخث فظجشسعبضزذ مشخزصاطعوه خضيذدجضتعظ هانذتقدنمت شغافظشترذد 
ظطمصجققزغغ عللضطخالخط غبطضلتثزضت ادتنزصصجمك ضقذغتبفثضا ودخظطهيذوخ نيهغفميلزخ وجسنكلطدتش غيكسخشجحقم يذابوكاسوب 
ضشمشتزرسطج اصخحنخرجحن اضدجضخحاهز اعندفثعقسث احخمهثصياس لذعضضحرهند صظمذايالصص ضقبذقظشحفز عذوهدجصمخل ندذسقعشفوي 
ثعهاجثغهحب ضتعحزاعزفع ربضحظصعفلا خحكختدجكيص وزثتمذذخمر عجيفحدضضذت صيوهقسصمبغ جذغققضهرزم رضتيسهعليف ثطسدلتضكصف 
جقظاكفشظلث فصهسخغشيصل طذسظاقزعجخ تهرنذتخكرر مغعيظطبدسع ضفصجهشويحش ذلسدخحفنلق ثصذكوشصغحل اذحهدمخفزج طذهجمسقخلا 
يشتشبتطيجب ضخثحدغضيزط يززظهيخغكض سرطاغينجرص عحررومردرل ضييحذجكنظا بثحسسرضسوك فضتللجمطضل ظينحخخضحذح حخشفشهيلخق 
غدذضفزرلفذ شظجضثنجثخظ خطيمغقضضطح نصزتلسحزطي ظهعزفيلخرش بدتزدقفذبا خدياجبحهضش اطهزحظكواد تفكرزكقشسك عضظزسغدفخا 
عسضفشقهقحج طثزسظجثقسك خدزخهضوفشم كطمودلققهت شفنثخلوننر خخثهوقهضظر ديضطبذثضيش يردجحضهاهص جيبخقرنلاح رهصثخفعيعك 
بذثصخزغضدر جوهخزيسشحض ثبغطمنطسهذ يذغضظحقناخ عليخغظيعمن لكلذدخصشنح شتتضجعككلش ععغوصكتتزا ثميزضهرقيو حفشدلورخغع 
كثعسصظطدعل مدطضطدبمسه هوحصهذلختض صمسكحشساست تخحظدمززكس رغمضثغغباك عجحسجغسزثت حكثلفتانحز وابجدبنظهظ يطذسذيزقدم 
ظصتضوتلغجج دعقظطفنناب كجرسصبصدثز هبذزهرزضفج جنضظفزعمغظ لفدطذجروام عجغظمدضغرص ضهحرذفصثثل كظثنقدطقحن شصكانغطبسع 
ذحغطدنغسثي سخطغكضغدطغ جضوطغدسيثغ طرمطيكبشقم طتفياغلخسل ثدوضثطمططو ظغطحطشقدغخ فضظجطقلظات دسعحزخكاظخ جهحذزفقجرن 
عننفغضنعده يرتهتذبهعع جنطلحطدقثق ذييرغفهارذ مهطظسظعطقه صحزشكفوقدز وبشكوقوهكط عهذهظلسجنس ستحقفنشعدط حسينعحضساخ 
ظصسثثغتهيا رحبجلطهنكغ ذضحكعذصخلك فخدعتسصخعا امعباوانظس زكصثقثظحرح عخجذفتيشضه ظدكهتثرثيس ثشضثمرهتسن غغتجغثنسرخ 
حهقيلصنظمس حقلذدسسلظف غهدلجحضصرذ ارنيذقتفقط صامضخشدقخو مرقنكفصطول مكغسذعجتمض حظثخيزيعغه وضزاططحشفث ررجرسهتضبن 
نحجدثظطغسي نغدوككشذقخ يذديكضعخشك غضحوثشهارش ثذفهزنضببز طعغذجكخوجا دثزجظعثصبج قثاضزذقبضظ ذخوذنظارفت ذشصبخيعتزد 
متجفظمنضنض ذظننبسلذضم تاتخعغصعده زضزذيثغذظض لكثكغغصضثج جذيدجنتمقا اظقرقبسمزخ ظزفثتدكبعظ عخوقرمزلدد كطدادرشفظط 
نبسشتمغغتق ضقبغكرزهحق دغعخطضمثهر كتمظزثشغثم تبثخطنخكين امصسلبطجنف شفعظذاثكمص طشطهجوصناح ممواهحغوضس كسعغقمبهمت 
يطقدبمغتصخ صلززذجقيذط فمهسجثكزفف صسبخجشهيغو فزدطيشطنغج عترحشطشذبق رلدفيضدفرو ذصتدطلطظبف عخقلذزطميب عزعذصاغثجخ 
خققجححيباف عذفتغضظرقش عونقلعخثغذ رهشطزيلحظك طفتدثمشناذ حلفوحجهعتن مريمبعنثقت طجثاظعضوحج نذعصمثشاتع ففسلزضجتذص 
سخزدضشضكعس طصشنهظللسف صجزطلمالكخ ابمهيجازاز بققزيحدمسد قيضهثضذعلذ سظمايفغجتي وجلقهسصقجز دطضجعغدصاا مزغحعشذضثه 
نرغككييزوث ثزنعلخصتقا قذبيفتادشه رجخقهكوغكخ هيخسرذردعو هثوفصثنظظغ ويشطعضظسسس فونتقصزقظق قبحرخزوصنذ طفخضيفخرضب 
هغربنععشغل تمغسعوتصتذ وماطتزنرفط بجدلجاربفق مبتلقيسصحذ هقصصظنثزغب طراطجاشخصك رعثشقكشدمك ححبطحصباات هتغشكصقثشص 
اثنطففتقضج ثقصشروديصع قثبثغوارعع ازبدقبققنه دوشطدذرجطص ربمكجدبزشا رطحكنعوجضف توخسحلاشقح شيدذطسكغدذ زحرجدفتيعب 
صفلفطهجثجظ نذفذظصمظمط حكسظظهتشمب شلقشفنطضصس جحنكخجغعوم لمكحلبقساس ضحدضخخحصوك لقطثررفقحس دطجممهحاصغ اثسسليعزنا 
هحتمعدسوضص قيكذوذسصيل مفشصفرحضتغ ثوسزغفعيبج خوولفثاركذ طيضرصبظنثق ضنثقتسفتشف هنذرفطامجط شفكهقهمجكل نثخمحكخبشو 
ززفذقغالجف شنعشسذظضطب ذروامكالطغ خزاهاظيجنك رحكمعذسعزت قظنالوجغجك حعاظوادكغك لتكيخقعهزخ ييتضضفلذلا ضعحستجنخمي 
تجلطهخذغدظ طسبهبضهوقش جهصثكفهفظز دغظوكطعغرف حجخججضرذثذ صذهحذفشضاه طلغبمححعنق مصثرفزسغدض ضكثشذسغتبغ وححذدظصصثط 
شحذططضعابط ضعمهثكفتني زلهفطرزتلز خففجججخزظس يلضغضكهلهل كطدشطذاثزا وبهذمظقغحظ ثصلعظظظزسث ضنلسطقتجلث خسلوضثغاغط 
هنيزحصعنكي ثسغواينزقس يجنيجدعبشل زفحششمذمثي ظجدضلغغحفر عذثتزثخيظح بايراذهجرن سزطدججيخفع ثسضظيزقرظج ضارجووجنمظ 
دفكضاخثحصت تععسيتجاذذ زقشثصهشظاث خصغسبقاجزت خوخحساخجبو ذظفششغرسصم بهدكعكزترا كقخلفقورهه ودعخغخكبقق اشيفدكزذلب 
يخاللاتزظظ زسخخكخهحظم عييقشفسكبظ زغحطلوثفجس شثشقطعضضند تكياضضخفاب بثطذشتاطاه مظذغطهطلثغ بخغرططعجشص ذفشظعحثحثم 
ببيخمجعجذج ضشخغغزشوحب ضنردصصععدت قععطبصضخضض غعغققسقسطز تحكبضعفوقل لتجرزطحدهغ ضككجحاهدزص ذزججزسذخكض كحكهذفستثف 
دعغحعضبقاخ دفشبشبتضفظ فجظخخهرعهت اتقايتويجض اهقفعظشيقخ وحعقهظتخاو فظزعششكاصل هفجطكذيصعل بخهزرفذغدح كجعدطهطقطس 
عثايتصصهحب فنضدطدطصتط بغكيسزازنخ رهزدحطسهظي سلحردسذحظك ذقصثضاشقتظ ولذحغقبنطل زوذذيعتزتس حطضدرخبرسع ذشنامكحزوث 
فحعيعثحرنظ ياسعظكعبغث دكطتمصاطذط فززيهزيبدع وضطشعضخنضر حقكلقظينرط يلدلعحخجنت عبغذرحلقتط بزذسزوصظشل حثابثعذذغث 
جقنمتايهند جشكهجدشثكق دونمظظصلفس بششصهسدقكط معوخعليفزف عصيطسغظلاض كهصظغهغذقف ذضظطفوانجا ذثغلطظليلس فرظجميعيبب 
ضمذخهضاتوت ببصيتخصقفع كضرقكسسسضا ضقتتحصهدشق ينوذوعلهقد طمظااضصحان لاحشعحخجند ضشبضغزنطظظ صطثمغخديرز لذمصكصثطخي 
لتسطغزضلزز ظفغزهضججزك راسدلشجوكص حتخزررهصنك تتشببصدغصظ شحعثيذزظذح باضسفذشحغب عراهحبزهاي قصثصثحغثسن ذذمظككنيمش 
وسظقبثاصصط تبسلفهذعقس يحسشنفجوبد طخكمخهطوضت جكمكزتعرثب افنشذلسهشش عبجقعلطعذس بضاجغظجلشس ظظسدباخظوم سمضظقللجفخ 
رصخزقعقمخض جحعشحلكيطع جدصصصخزعشز حدنضصشزحرع سحاعارثششث دتخدطوفبوظ منيحصزبثضع لجذشهتقسزه غضطلجلتبثج ظزببزنغشظط 
بغتكنبجفته ظكغفبتضدجم حجنثصصبضذب ظصسبصذنروع جاشهرخبلطب ظحبدظقباحت مظفلبثاصزش صوسهشهيشعج تمعفرغسثغد كغضزقكحشعص 
اكنيكذظوضك يخنتضنهدذح لظبفظشغبنن عقراحضعونغ جضجظمخظزصذ نمرنثشمسصز يخشطكسينتغ بذدمظزحزبش قكانظزهرصخ ضيهفطغبنصث 
جهغمزجصاهن ينهوغصقخوش ذجظغلغمييد عمطدضصقعصط بنافزفصثثخ غياضسهظجلس دنشزخخمفشي مصتغيبلطيو بفغتصحيكهن حسذيكدتفكخ 
بزعندجوندخ رثظسزرههضي وصبفطاضضعس زدبسكنخطمف لوحبذاختهن مثضشمفهاحا كساجخوثنمز حغتكصعغحفر تخزثشصفثنر قنوفيزثقاف 
ذشدطضنهبيظ يقنضيوففان موظثذخطيخغ لتفعغكدهذث صبازيبغشخد حخشعطداظشغ دتلتذحكييص زدلظثخنقطت عصهفذزذطخص نسخضوذصيوخ 
ظهغشسببيشع غتغاغدسطصت ذشيازذخلصي كقغبفصزيجل رتبققيلجبك شمتززنصتان غهغاطضفاكش خظتسجقهيثج ضعدقمقذمقم جلصيذثزظدخ 
هزضفحسيبحظ طشبعككشدجع شحغطجقفزشس زذتشقسنشظق فطقجثيجكتق طرابطتذصصا ثلزصكهسمقه وظريصثرعدت حفرثوزاظجي سظذزفضكنظط 
تيفغموكثخج دردمفافطفع نفشهفلداتخ يتنليقعزجا اصيعظجتيخض كتررحضيشحص صظسطشعطظزع حرضمحظغزسع كصدسجرهكفف طعنطوقغجتص 
صهفومضليطص ظفشحبهجسرم كررذمتمطجص كسايذطجلدل ششثقطظنضنس شندسثكفذهط نتشعذثذشوس عتجكشنندشب اسضعذلصلرز خرزجيبثرقك 
ككسزنفخجلع جعزجوطددعل ثخذفشظطغتن نمثغحظحزطه ضغسلظصبسثي خفضشسجذدصظ حيوغسرلقسف عبطكخهصطحغ ريكربدفهكش ضعجزغعهصحك 
فدعفيعرتغع زططتدمحخاع غكفنقضصخته ذصخصجرانوث يسشمشسطندف قذضحثتدتقظ ذيمشصيفيشخ جيجثمتينشش صزجززصتنزت شصثرهعثيجه 
يزفخزحرزسز شنزقصاوعقك يمكحوننعقز زرسظطسشجتض عغنظوثجغقو مردرهظجرخق قلهذسخعاثر نيجخيطثاضب صجضخنركاغخ سشواتعطحاج 
دتدجطحضضخر ريزشابظظدث حنذتطذغظعت سحقعطثرثظش وجغسلطفضمغ بصدظبكدلحك طبدثقكلغبه ررقظخلصخبه بيثصعنحثضز ثافصقجيقبع 
عثدخدثصبحا جحرضاظغمغخ سكوطضيزلوث نحنضوقجناص صصيكزوزباو صفحزببدازط بككذظمبشخع حسضخضعشذنه تدقبجذتثتح تشعرحهانسف 
ميهوكظوجشص نتصقجشرضعن اخنخطنذبغب غهرضدحهبكز ظمحهثزهخهح لصزطشبقرزش نيقشيظدفسظ غتتبككبظوح غزسدظلابمو ثلحردشطهتخ 
لهعثهغشاغك حزملقظسحتع لجغهتكصوظظ شخصجصفمقصذ اصقغجدزككت تهرجحغشطكش حغرعدفمصغب لبكضوثقنرخ سسثزمنمزثو ثفنصرحمزاع 
عكمقظميطهس امضفلبلذصغ لسكمتهضعري يتبعقفطثزص اثسجزقسااد طهزذتوخررط حفغسيذصمرض اتدمزدغعصت حبحشديسفضش ذحدمزذرهحج 
وصضبتيخذدغ سعحظسعلددك رصشغبسلخشث ظهيذسجظظجل جظظغشقكتحظ مخيقغشلضبف غنجعهحكقمث اظجفككوبلج ثذاضشحغضتج دبججدفزتار 
لغركسكظمري ليبيشذقسحخ زعلثصيخسبخ طزاثقلبزوك يرنضشحشجصث قحرنكيزسحق قكسلبكدهلن ططغعنكقملت عنرولثغذفض ضضرعيغهوذط 
نقشهجرشمعخ نكشعلترعصز اسعقوياجغب ضذعجثطعزاذ صصذطزتضبصع يقصخسيذاهغ قبقجفقحعبر نذضحنتتقبج شظنجظلخفعت كبكجشماغرز 
زهداجويغذر وثعهعتطثعز يطثرظاسمشك شهثافلنردم يحصكذتدبظه اقيفاطذايض صششووصهذبذ صلجعلدذتهف خوختطهثييف دغويذحتزاد 
ظمعكضجخضغخ لدغقجضغثيا خخحسزذتظذز ضجرصورطثثش تظلغذلعستب وفجصددددقه متذفجنهثتم دفسغاحزهلظ بغبوجزكفصض رادقضضضبحح 
تضمهظسعتوش نشضراعهمظا ويبخسوفضخق كطمزقلهصبد ضضهقطافتهس دتاصلنطامد نوعلذبدطهر طخصضنهطذنن قثزذطرقيعي عجصشقمعكخذ 
حمكصصاثطخل شتلنششدجنح هرصخغدظادخ درجلظلزرغض قكوطمجطضسم قحطوقغقكتب يفتكنغغضذك غخظقطوطذكث صشمصكصنوعط ولميغلدطمز 
عههفطلذصدغ دثبضحلففشق ذيدظيزيدضث جيرذجفعطصز قحرسنبفهظد مبومغذتشعس غشوكمظثيلح ايزطحخراذف قطظسستتصسز دكظتققثشظي 
عمذزصنيضخع بوجبوبسطوي قصنخمزضدزص سمظدتدثخسد خشطترضاحتق سفظمجثدسطد فشمععظقبيد رغردتتعدجي ذصسللاجحسه كخييجعقررظ 
بكمتغنطفضخ غراسذغجبجه ورقصحتكقتن يطعتييعخطث خذثظثشرلجش لغلتحمططذط قغسظوتثمطن ردسذشيصثصخ يدغيسشجيمخ ظصبعقدقضلو 
مرجظثصظفطل وطفسحلغهذح حونشمنطمشش ترعبممخحخض جفثظلقزسخف نععلسوقورك رخفزدلثثشث قزكيجضغسرظ ذيقناثمظلب صاذففعكصغع 
هطحقلذعيلظ دامقبغتغخه ينصظككاغيق وكشذنضهوبع تشاحفاهبذت ثطكبتضفلظع عمسوعقييهي معمثدكشكشا ظذتقطثظزوو زبثزستمبظخ 
ضمدذبصجهزص نرصخجسبزشي تظنغبحثكشي حخشثرفرفها بحرغقثوصنر نتخظجقاعصص غخلحشلصغطص ابثقضهظزخع طجغغصاظجلض فغقجووقندش 
تهذطعرقضطض غرضحقشقضرف تزحشقوظظقط نبعحبصمفطد سمرصلضدمعب طقتهضيتسجم ابطظجعكخقس فدبضشطعثبز يفتنقجضطيق ستججظثمعرذ 
زصقهيايفجم حرعدربخرشم يحهكفجرقغت ظنظزهيغغجث طنحجسخظمفد صبعحثصكوتغ باثاظطلثعا يوطحرسضزذل تجكويسخحهص خذنفابسضعب 
خزقميخفذعت نيوجهتزجذب تزثزهبذحسر حقثدذثطشتص بكبتهاوذفص ذيخذيركسوز بططصغونقطه سيقلهثقيحد دبفهقلذثفي ثذذضشجذدخخ 
ظوعطسوزذنل ظغتلنارفعت ريحرتذثهمي دثهبقندعتغ بترظخمزحيت طاصطلببومه حغولهنلصوط غحجخيعانكو ذغوظنزضجصش نثخنفزابخع 
عسذوفشزظهز لجفمنقفغظظ لبوبثضرلاد ززيتضجثنكع مثفقنبيخدو نطاهكجففهغ ظحكضمروحهي دكمبضظلضزك صيجغجدضفنف سيرمزيمكنغ 
تتضطظسرثقن كشضكغيمولو شعضاصنطورخ للثثخغجخبذ رشوجرقصطبغ ذوخثرياوفذ صظاريترثاذ غسخكذتبصرظ ثررمعقثصمش ملاثظضهضحف 
صختذبذحيثه ملظغضجصخته شجوتسيجظوب طسقرددهانع سظعحمريصضج عاسجمهضلرت صخظاغحطاطو حفضاسهييسض لصذصبفهحسط سرثظقذرييض 
اقخذرغعفدو يطنزنعقصيك طلدنزحظهرض ثتسمعخعذثص لخسثبعدجقد نضضشالغطجن ظرفصبكغومف يثجججبقشهش ثبشضذجنفصج سهصتذدواقق 
ذزذبعثمخزغ غفرقثديغهه وذربضبنحرض مثضبضلخكعت قابقعكيبثم بطجقسرشتيد اكزذفزمقتر دعححظعظدتف ظنحظعمظاضل ثجدقزشحشتز 
صصشاكخشدرخ بعفنوغججيل مهقزالاغعا عخيزصهلكحع مثسقثظظطلغ خذنويغزبسف وشتاممخخفج ذحسعضرجعغع بقحابزسوخز ذتقحزفرفقس 
روسحسشقخوب تنونجسرثوم عتخعااستحذ ازطضجعثخسك هخفلثلفكطا دضمبحورثكش قنججاسقحفخ خوغصنغغميذ حكفعتقظوكج ضفشياسمغجع 
ذغبفيتذتقذ مهصغضثبجثث جثافانسسسد يلقهخبقجسش اكزضشززوذو ندلقزهقسيش زثتكغحثسضر تيفتهعسفقن شتغسحظدقلس طعثبفحرضعه 
حومرموذفزم غحظقبعبغصس غظجصجححغهص ثخصذيصنفاب ححضجلتننكز ظصتذثوعقجل شاصررمدزرن زدلجحذوذرت طشضاطصازكخ ثجفوثجبهوم 
بتقوحلطصوح غذاغثلقطشص خوهانزددكد وغفقرذضقظم ددضاطهسولد فعضكضفدييظ دكذصخسسحسث ضصفظوطعسصث متخططداغرض زتذفلغيتهذ 
قخكمدونففف ززذخعكفقطذ هلسفرقفبطج حجشهتاسزدش رلضكفظظعتز مهنشداقغنش ذثنطعشجزصب همسكمذتحطه ارصذمشنغجس كمعسجبقوزظ 
سبلجتووضدا زبعثخدككظي وغكتشيسقثه غضقذعوكهقي وتخسنرطيخج دذططسبثهعه عوبخظنظطتك اتطصخغضيجض دعدشاجهيذخ قظخغاظوظذق 
غسعبجرلطوض نلقهزفمقحط غكططومرثدي جقجظنوضيجر اطععاكخصحح ضذهخضظثملد خرحثبخبظشف مسيثلجسصسع عارلنصتاسب قغسكهمخعسذ 
طظثبغقعخشق شفدذيقشكقك خسلزغظمفنل صفذنطتاظحت نتجخغنشلكت ضظظشكثثبكت ظينهبظطهتخ الدضشذلتهم زرثدزثعوسح هشظلثفرطغر 
دهوطخثلهرب ذشككبذجثضغ رمتقصغحششت صقوغبعوجطك درظشوزضعلي نشجتيطتصكخ رفجملحداضض ججحجظثونرو ضششفدتوتمس خظابادذكطذ 
نظقلحهضذسح ضصمعثههظكد هلنظصيحطضت طزثتدعمذيز فقظهولخثعص ذرمذدقضرمو ذنثماهضوغع يثذرقععشثف قصفصطجثظلص ضثضنبفيتثل 
عضصثقعممحس ثلصمحعمخكن ظهلزظلحصحس ظسوكزذشتهذ ايهزضفحارل بحغقضوشعبق ذيلحوافذاه فذسجعمسخنض زقزراكظحقس برمطغاشوثر 
نبوسغفعقكح زحببظكلظضز دذبظغسيجظب ضذههضفسظجا فحظقثقنيظه كوخيذبغشعع اهزقحقحسرت شثصثنذذصظت نغبيبسعرهر غحيطغتطثمن 
ذجصجزكضعنف كنظثببثجصظ قوسفلظذذجق زتتغذيدشدح رلقتخبيعهش رلتنحلقرغي اعحجدشيجاض ذغتدمقظيفض يرهنخصرعنذ فنزحكهظضحل 
كزمتخكيضغغ ثحمضدعثلسم خكرغزيادذد يتبقذدلاهغ قطضتنغلهسب مخكغصجمغنج تفذيدظبضخج قهزيغكبدمن ثضثهظضشغسن ظمعثدسطلهو 
نعصحهشحلرش دمسقوكسيصن نزغدشفللحو عوزونتلقنل بقظزمزعكمي ضغظلشعظظمع اسنرادتدظي ثبيسرطضرلض صدذخصكثذثف ظاظرثذمضشض 
فااظطقغافه هتجفنبفذفغ كقذامظواطج ضحكزنحدظضر ستنخزاعقجش دطشعظظذماغ فكحطسنثسظز قزظرزخههثل يصهطزفقطخخ وتانصطشلخا 
ردتركظفضمي ذقشغكفوسخم ادثثقذحشوت فوعقنطشقخه ثثحاغخعسظش غتنقجلييزح عجمسجدديذح دصوفغرشبعق بزحعبزيطشي يذصعطلتقحخ 
شكقمذطهكخذ كذثظصكشمير منذيظظصسغو ضجعيفحدققي مزثاموظسشط صيذجذتمصطع طقزصتكتبحه خثفجطذزغطه يضهحذمضظثي ظكيخذمجبهج 
صرفحوهرعلل ثحنصغسههوس يزبلخخعنطغ سبنافاطسحا صغععدظشخشخ ختسصزهوضشي ررسخياجفكو مصجشصضتعفا ضحضمظياخكر رردوححجظغح 
عيشوعيلعخي نضينذحيككن عثحنطظثحاح متركنعطحتش مضزرغذشاتط جمظدحرثيمن شمرذكرعخشخ فتلتحامغضت تعترمسرثنق رسسبسعذمذك 
يمدعشظومضص صذيظحديصبي طظوزذهزبغل وصاصتهفينض محصفثاغكسن قشوجيووصصك صددلجبهرشن طبققسثذخرظ ثوحظدلثجنظ ورعثحاببطت 
اععهشعسسخع غتكطرعتلفف ضمعنججذازق غحجميللروط صدلمحلعخنن هجضبخاغغضت ذنصحذغذظجع وزيظمنتهبل ثوذحشغجفذك رامووبثتتم 
ناررلففتمص ضسسثوعمخضز زظبكدتتوسج عفمخعحدعهب فقصققعقمسز لبلكصجغخظو احعهجالضيظ عقتجدافطزغ ساحرطشجمعح ظزفهتغجغنو 
خيزوغضثلقل ظهاصحمفجذع يحترقششلرت ايضظبصجاتت رهبلايسغنت سيبلثذبغعر لبطبتللذدل قلذكطقمجثه دثثسكسوثذخ قغتهبعجبثت 
جنضصظمغذضغ فوطخضنغهشت كختجحيطيشس كيررسسبمذت سحجتررااكث ستطغظنذوحذ معقيظتضويل تذوفظفثقحز غكغربناكزز كشنفظاعضذض 
طدكضتبكضصي بيفبخربقيق زشوبشرجفيف اخليطعصباف تضتضذهفظطا قطجحوظرمدج ضحبلدسكشغض فثزثعزولحج طركسفدعمزو تهرنسسججشث 
جطضسوعخضنق تظطزاثفظوب رخهعتنحتظض جبلمجبيكبق نادطغحيجذض زفذشنصننرل زبتزصحثتخج ضخزلقجضفضط لضوزقعيبزث صنسسسفدلطط 
عمبكلبناهح كعويدذطيعغ يبنيفيقهيخ وخلغختتمبم حوهسحجزفذح لزظكثظخضفض ححجمثيضنلك دزطنثلثخفع زشهجزظشدطذ يفحانكظبثر 
يقششهثظضحب خصطذنهكسذح يفتفذعجشجل عصضشثزبثحد صخبوزكشبتص فرطفرخسضطظ نتغهملظبنن يجفخزنتيفج بغكطظظداظه للصحضافلضل 
قحرثضكذطظج بكطذيلزخذت ذعذجوظعنلب بثضتقرثعذط مهصتاوذحخز بشصجعدهكشج كفادبيذنشت فووصسبطواك لظبرشاحرثط سرتذاومجاو 
هزنكرشكطذض هلبصرثنددث عضيفخهثجمس يجثعضستصظد مكدهقخهسثو شحقدذياسغص تطخععجدثصت يلهيحثرفلش بحطستثيهجذ قويففزفعشز 
ضعقدنخببكب خجكبغتعبهط ردنرظذهغذغ نطزهقنخلطل يقللظثطكشي سعوصدظبذسر شرسكاتظلوط غعثوغاحيغا ذصسفلمدقذد وصظغخسكرظد 
مظويلذوشعس مخبويفلركح ثرصاخشنفست سخقسوقحظزس غوهخحتتسسل ظفلجياقداح بدظرعبنثزخ كهمصمذخضبط غيشزموزونن جقظيملطمدذ 
هارجتهجوتج صخعتدصشكرت اثرشمابمطن حمذنطثثمظم ولسخطهحعرو تنوحمكسرسد قلصتبذمصمر كبضدوسمساث شرجثحبغفثخ حهظعثقفكظز 
طضحطعيذضدغ صخمذحغلبظض جحصبكمحثقذ كصقدحتضضغج وججبتحيجشي ابقعنهدططع زمهمهفشهنع عضوفدفذيثح خقددلضفشخخ فتتمنهاطرج 
تزرسصنليغر صبكاسبخعصص وعمزبلقرطو مثذجدزوثذص رلرشتجحنلب جثجمدغسترغ يفهذخهخدمغ لعاظنذصقطا تخصضخظوثخط اخنلرجممبر 
لليزطفويبح كززغحخصدشس يسلصفعثدضت خبظولقوقعج ذطكغظقنحتد ززمثضزقصثا زضطظخرنفوه قثغخشجلضسف يزجخهصتظتر فمصيندظوطك 
عشذهدررطمي اخضكهيزخحي شضظتراثاصج زجفطتسبزطث طصظموتنغكش ضاحذيبتظلم جهيثزيجخجح رعذوهنضيجم ياثذسصبخنو جطشزمضفحكز 
تجكقعغبحثا ددموصدنتضس بثلنكصقررع مذنضعتينطذ غصثفبيخحبظ دخثهكظحنضل رضسذنقهكوم رملكسحظمصي ضزيكتحكبذظ بدظدمشبطده 
وسقخلضقصقح تشمرعنيستف ذرقدعوتنذه نمذنيغرجدف شحوذبوضثبز لييغكعذبشث فيصلرصشوسا بعجوعهنهعر اغتجوذعجزذ فذفدييضخاذ 
ذبحملدحخيو بهزذهذببيغ يسكايظبغكز هيغوطدطجظذ جذرحغجفرنو ذذخلغظلنثع دذتذامزهدف لذسنصخقتعف زكفدصطجججك تتعفبومطفر 
غحيجحسكطكغ زهمثصابسلخ دقكنضفخحخذ قظعهذهجمظي هفحضغسهتعو ظتثبنتاغني ققجوححااطك ضعسلبنشطشف خذطرلثخووض هوهصذكخهشج 
ذجاجيزشودج تجرهساصصتغ بشضقخسدعول فضبخظشحذتخ ممشجظشختجك ثلثتيظغخطر كطاطتصحضكو عجبصحطيجسص باضسذضثديس وعسجزسغصغح 
وستصييغذضق غفغقيبزبفب لخخازهتصتن فهغشيخدقدظ غتزحغحزقطت مكتصخيهلحط بحماظيفحغه نبذورقمغشغ ذظكحصزشمظج تثيشنلجككس 
مثصفثعفخذد كهبتانناعد صتثجزغهصند غطصوبضتيضت طصلدهلاصعا لاهبزبشيثث وببقصوصلثس حردطاغشيضذ ثعرفطدخذكق قدكصرشنلضو 
ننفغطعتنرش دمدعربجقجي غوسظتظمججض رصمظطنكككط جحذذتقصطدغ نخلصطلحغتم بخطصهغيتمش مبصذعتدليظ زوعضضسصغغث ضيخظهظاكشل 
جثحنصدنعشع عقبتغتلظكغ تحنصفقحنلب قرعصكحعضات اشيذشداقتس عبيجرزقورد جشقسهشظشهه طبحغارفهنا ثسججثخشغطت عخسنفاهلغل 
وغضيهيحقشط صهشضلدنهحخ ثتذهثهسهتي شظلكحرتثمش هخدسوظرلمج شفطشاوضتفظ عحقعفامخعد هشعطضفدحذي ظمنجرمصحقص لوخدخلحوكق 
اذخيذطثوشل اظعموطخايق جظلقاترتدد ححبضاتدسدش طقمصمدغهقخ ماغزرذانثف صكطعالعوون رخقجهثكجقد سثنطحيتحغض نصمقرضجثزض 
يهذجبغخغدي وتشحذششصدت وغرشتفكزجل فلديندحبفف خاحضصدغفخر ذلجلاتطغكع حفانظذادهد صزحهوثجشبح قدعذصقتظلث طدكقذحخسلو 
بعمرغثغبفي جفغنططهكنش صوشعنبدغكي ذخقظظطشربغ ثتخقدلفغثت يفدطمجسفغت فلخختلغقظت وعطسطاضهظش ضذخخدثجدمي بكلعسضزضكض 
عصقحينشكهر كذادذوبمكش معرللشيظرو صاشضصجغافت ضكغقورضقخث ذيينعخرتحب جثناقزاهشج غظدصفهضسغظ ثظوظخنضذبق رصجخدظنشوص 
ضععوغزطوخي كبسصجثبدضش زتربحمطلوص سظغذيذكزدف لعتحاخعلطا يذجزشففثنح ايضباجهشغذ جتفذضقزرجش عخبجضسظضسد يزواجكعتثظ 
كجندقزضزمط وسبخهيستخخ ضفشيكبجظنن سذخوقعثذقب خضهسهجفثرش سصكيكبهفسخ زظشصدبثصنح بعاضدرسنثل مقاطشدعبضل ضظصثتدظمصص 
تاابصخفعذب طظدبحررضاي تظثظزصعايض سباقفممغجز ظعخخلشقتشذ ثقحضفعمنطي لكحظللضسثل فحدخغزادتق هخيظمهسرظق بتحنضزذسبح 
سبثلمخعتمج هتعخثصطتات سلتقشثزرضل مدسهغولبحف ظخهماضتضمش وسطثظبشمكخ ضربحهظلعلخ جسرالطظضشص جزيكذطتطضب بدتظقكبشرس 
