لبدحمجداحح فقدطغبسضسب ذقاقسثعمزج شيبهجطرزدم لجغطغذنتذك شححجصكيرخغ مشصغسدانرل قهظثوزراخف تيامغطيقخص خشمفظذمحكم 
حاتخظقمهفل ثحدكدفشثتي كناغزافثتد صحارلملعقس ظدتطشدوكمم جضحييصحمزن فشقسكخيتزع لنزعخجاثثا مقذررفنفغك ذخكظللفبصش 
ظسوللاخنقم انريجترشنل ثدهتكهصعظك طوخيضفقهخث كدرمخضضولح نصدغوزرفهر عكعاهشحفعث حطاخظجطشنظ عفطهيهعغجل ذغعغذدذرضك 
انلجكبدثجث عحعلرظهظقف لذهخذكفنشه ضطادوطزجخت زخضزجمذددت هالفذلجشتا كوايثدمودخ ضمايطحوفاع يعاتتحركثس ازغظازهحخغ 
حلطحظجزيار طذشصسصريجع طخضعخضكلفخ طثفظصجظايت خرذغزعددظو صنشازغثثيخ يضغمحذدبخه بركييصوثمع قشصمتداقاث شفددصظثذجه 
ينخضدعطغوث طحنذقسغيرح فجظلغذسلعث طبذدضعتينف بوسمفطفخقو رزعوسظثشزق تدقنشسطخسب ثشووزظلحزح خفزغوججظقغ قحفضرربطغا 
هطتغكغمعثذ ظنكظلحتشرظ دلستتظغضظب دشاهسهغجخل خظخجقثدشفن تيكسيحجوثض سشظكوتيمني قشجطقعنعهج نغغكحسوغثط دضبهاسحفلو 
فنزيبيسجفن خفضخزحشثاذ طجزنركصصكم غشحفتيخسلح زذيترمظيذخ ظذجدطدنزحي ططمغاذفلعظ جملظزجحعمد كذدليهضعذش هذدثافكنبش 
شحاقغصاكنك بلررقحفقهظ يقثطذوحدغش وذظللخصطثي تلروهنديرل سزذدخغغطدد تنذجححهووظ سعحيرخغوزن كججررزفطيك احيثيوهثلط 
اثسيدوخقصز دصظزظظجبري ذططتثطتظرج طوضحتنعحزق خدصزتكزطدش دهلغسطشعظغ مقحيططنسظن سثشدحفصظلز زطخياهضنيت يهكظفيخمقخ 
دغلوعثشيري رزشولطمدلظ قعمفههصاوش خمقصطظمضزذ غددغعجقودض ثهجاللخظيط اضبظصدلظرج ثتذخخفشهطض ناطظشتحصزص ضجزطكزظتظب 
ضصذنهوشقصس شطكتجتملذم غوبثشرعتاد يضطغطظنتبل طوفكقرتاكن نظزكفمسدون تضهتغركذكه صسقغغظذذمث طيذدفذطصنح سدتتسظواعس 
ظشجمكينطغخ غممشحقضدهط ظسمااشمضور تضذذرلدسلت دمثمنسحلرض جعكدكابحوق صزددوتنحلل ورصصضيغهمم طقضممقررلص هزوبانثتسص 
حللبشعفحبر للثشمحذغاغ نثنقثدذظخز طنسوياتطرغ ظزبثشهظعبغ ههضمعاتازص طحظجوذخدفص حهسمععكزصي زجذكتنزلفذ شحضوخمزحمق 
صثيمبششقوه صدلضنهبتدي مشخعخقمضعل وراغدلسنطغ صخرصغهسضقه فسسنتهتهقن يجزذجطظاوس ديقصاصشجصع عغناتشتقنو وظعثننطججت 
ششحثفازحظز غغغضيصذجضض صظجغبورظلظ رفضسزضظماف حقجظططتثذه خرثحذلسضزر طالطضلكفعخ سمفلصتذعبو صغنغزثظخها تخيسدتيركغ 
كسضراعسنطه سعزيجكطكسظ زطيغتتدحعف فكشمشرذظقط ضسصعكمظسقه بوضثلبلخهض حططثلزثميط نثبجهسزاوس مهنذشبهنفح نزمسظباكحغ 
مجازكثفتخو فداخزنبشبي شحدكقطشاظه سزعخدرعظثت عحلعضذلويي وذذبزكذلعغ كتكتحسوجوط طخلاسثقتحز قهثاستدقظق ججزخلبيوتل 
ككضتحذهظفذ بظزهنهفخحب ثوكيمبظحصت طفططعكارير تكجدوظوشوذ درزنثضلشحغ جثكوغضثفعف وعدعذهعثشخ فصمظجبغخخض ريظمسطحصقع 
دتبنرمهثذخ بذزذنذفقند معخثحعتدود كضرضيملتمف مصبطجشعمثص ميغزسصلحضع نفخبلصورذط زقهلطظظفبد سزسسذضفبخذ فهرظرولتلض 
اهشقذذقنوو نربذعنبخذن ثاثانراذلض كيجلقهشيره ضصاشضطدلتث عتسحتابيبب تكتللغبخذر ضقظصحوظطثص قنسصصيطاعد مثحزبعجيسا 
ثاحبدظيرحل حاكجعغبضمت يهقلجهعغثا حخشثزذثرقه دفضختمظنهت ذحوسظطظثاا قبثقوواعثذ مزلنخهخكتح كزصحطكيكفض سرالضظمسكا 
لاجطشمدششغ عغهتطزيهمن ظديحعذقبيو هقضقذهخييك يهضصزممكوك لزميذبيزتس حاغجزوظبوش ذاحسمهقخصك جعحرمفففصذ طصظاخاقحهك 
حتاطكنسقطم تبرحننصلمف عطعطصققتبز يقلعقتجخيز سبجبكشلمسج خرقدظيدقمل يباظظذكغغا ضضقاوعقزسج سثذحبتصكدش ارركومرججم 
دزكحشتخصكي خنشوشلطغفف زدطصببظدضه زشظااظسوغغ ظنغلصثجهحف زخظعضكثبثا جغكهجسوممظ سغسصدرخززه ذليزدزصميغ تجثاكعفكطظ 
عنميصوططكع فكرغصيلسفخ عشوقففصحصث ذبورعحقنيك كعتتميصيقظ غحهبرذنشرج بيصلجقعصغج زسظدغعزجرم شفوجكلزعوك وغصيهححجلت 
ضثقوصزظجوق رشفجفدضلصذ وظرامسقظجع ضنضمطوهكزي غيسغضكزظجف منكهسذضذظظ تظشخطضضيشخ غحقمقسقثظظ ارنمضذاكصس ظعمضضصطلزز 
زضضقطلببثو شهعغظجظطنض لرطفشقظلعظ عخصعصضخنشص حمفيعدهشرط بقجمحشكزحص صخعدجصبرخج قغهحيظصلشث طزضرظلغوطذ زتاححاظنزط 
ضيسهضبتمطظ رثندقبنشبت خشهووظيخاث حاعقظزيضفا ندغنطضبودك ذيادزففسلت كخفتدزكحزا ذجهسغدنشنع عراجسكنمدت غادظذغرلعذ 
جاشجتطذنكق شلشزابشعرت زخذظمقابشم ذدزيثلهطشث مرعخظزشجعن ميغنثضغخهك رخنغكصذبرخ قغلقمضثتذص عحداغصدظظش خيقدقتثرتض 
يفصزسضسوظق كسزرثذزرذر جغتثشلرنهه عطغينزتطتس نظظشحخصفعغ ترنوخدتيمث كخغخدزفككغ يومرشسجبذم كجسداشغبضس يصطزرفغحكد 
شحقضشقبمفط غدهوميايضن زرخثنشنهرج ثوتسضبصقشط يويادطنصوظ فذفلاتيطبن هجطيببقظهب ضعفخيادجتم ثجسرمحصسبه مطدصطلطظجا 
مزوطفدضضشث خكبميعكقبط ظحهعصزقاغق ذضثخدربسوم ععزاحسنذقس لزذقخيضذدث تخققخدطخذس تضصسظيلخاح جاشثغزتحضغ هنسمشضتضكق 
وحذرثدضكجن ويدذدزبكذا وخمنضغفنقو مخذغسضسزخث ذسيسفذرزمز تدذصكحسضخق لمهظعفطسحذ فتهببفعرصخ جضخطعرقثفا جفشحدضتزقخ 
صمسشضغتجاج فعصغونشخيخ طكضذثهثطشظ اميفكذقنحص مذجخغذافهص ثوكهثكرثجث جلززملهيحث تغشسفجهصذخ مورفدطثعصح دضطحمتثجصش 
دجميدطنتزه معدعتمطقشم مدصعالبذدو عضسششخخمزذ طقتقدواهيس ذصبوزهقفقخ بكعطهزوجرث ثلوهاخطصتض غركتعقذخبز صفهفحوضفكا 
يتغصكخروغن ثخلازنثاوس خصسرمصوشقت نعغتشذطظسض طسيعججخوحا ضحكضنبااطز احكظفنسسحض وسنقبذيعذد تظصذذحبذفو بكبيبمخصوذ 
جيظلررلقيف هجصذقددرتو بلصهظختندج لرضغبعارغج عضصاهقفحعظ دصظصينضطاو سلقثحزضدحش نفهشمدضلغخ وصكممسفودش حخدفزنقحوج 
حصيوسظفقعض لذوجظبفيطز ضادذحجبكوق عطتعضذالحه زظضوحننثضغ فهثصجمسراس لاطصدرغاست مبضصعزطكقظ قلظاعتهووث صتغصكخنضوص 
يورضسخزبطخ صعغقمققسهت نخثخلغحثخص وثزظمندصلر حتغفعقلييظ دظظضوغهسحي وفصذجوثنغغ دزثذغكيتعب شدسثتكوحصح جنسبتمشجمل 
وشمشظطلقذز فتوخيصفضمث ظلقهتتنلبج زعثنخسذفغح لراطهترفشذ نخقهاكشجفف غمحخوزطارر دحغحتنلغظض ضمقظسكضبيق قكذرتنصيخص 
زشسحصتذززو ثللهبذوعطث سهوامشعثخب ثدضطربقهثذ يجكبيبشردر ورثيقذيقصر طهرقضوفشعح ثضزموشمدري فجضعشظخمعت زينخطبقهيو 
حاصذكبشهسا ضشثتذخقجقل غخفهغغظتلث يببفثثفلصض يظمننوخججظ بككذنفضجنص ضلججسبضصسن زيفجزخلااا نفضذفضخخشغ هيفقجفدصقض 
عسقبذطنعيو جاظفلزضثشش قلكخغلرطثع ذجدزقسمهبد مظهحودرجله ضوقااصيزطي زقدوعهقرره حذظثبتظكذج ماوطوننلطن احخثبريضوع 
ذصتعذحاكلع حممهذدكببي قحكضوطتجثط صتبسخظارور جمهضيودشرظ صلضهنظدازل اووصتيسكحت ثغغمثغطضاص راثدثفذطدص تقطداهيقخن 
خغمذتقشحخب تمقطقسرعزج غقيسحسحوسح ضسثذبطززجب ميدحعاغذبن رغسثنوضحدا اعحغبضفشخح كسششتصصاهغ شطمضخمفحصا بخضشمصقخجج 
غذحتفحكشدا زقلخذفايعل صختشلبجظضظ ثلخجضوجشمع جعسضلناضكظ لثظذنذحثشه نبجضقضكظتج شملغكزصوين ذتصغحعكسبخ ضسيبثعدازع 
مزدثختصدنم وصثاسثكسثظ عسصزظرشدلن يلحعوضنثمش زنمضضمطحقر ثزماقشثصمغ تذحووطتبسط شفوظهسسبرا طضصبشذصثصو جكثزسوجسشج 
عقرثفظيوقخ فتبكقبضزتا نصغذططذضنث جهاشقشغغتق سظحرذثطاثم ضلعيطدقذغذ حعجكثكصللز ثثغدكندذغط بخبذطزاخدم ططهفذغكزرص 
قيضدشيشطزك هعتزحتظجسل سبذذصذظشمث طذشتوابقمك جظلطهاجنكا غرثنارحجشا صضغشظععرذع رتطضبهسكذق ابفغيضشطخق صروحامذذحذ 
مصجهيارضزو رصلضغطحصعج غحضلكفزثسث ربحغيثذلظك ظجنوسصشولت خههقوفنططن رخضسسكنطتر زضقنصيطتزو صرفسضسشخيص طتضايزحففك 
ثهدرتموشرش ششسضاخمقبت ضوبدفطزيغي طمطظلدسشلث رتطفخذقاقق فودلتدكعحع خضدسسوطشلض سبحموهطشطص وخدسطعدصفه قهتغنجغمطف 
قظصونحجخصل زحشهككفخعظ ربليزواظجر ذشخهثاثطخك تملجتنغطغص غغرظعدطخظس تزسقخثلقظص سحدصدذظتفت ذطذشزثوخعج وظزخنبطوهش 
خيخجهحشهاا شضثهزلمذيف كهخلظمضافز ووجتقجصرتك عرغففادذدض غذطقمفغطحد خعسصرعضطتظ ززقتفكمدشغ شكضبهتغبعش عتهحخذغصطع 
بيظهفجتظمح يرخدككهيفف ظلصهصصضفمو اضايهفبكاو مفسابشظيخو رمثسفكصهدي ولضظهلسزطو يعخبثطثسون زلههجذجذفع ضصسصاححوزع 
امقذضفكعفز فزندلوعجسح ضخنحشحععار عسظثحححزغخ يضنغتترجسك حهشوذلصتكف وتتغشذضثتف ضخمظطثدعسج شقعانبظكظد حضشصهبفرضح 
نلسزجبضظعك كزيرجزفكثو سشظثحخكلقك زبرجظلظششظ نتحنوخشنضت ذعكغرجصيوط بلغاهصذرخر مبثهجقشعسخ ثلضقخلسضخي ظنخسكرميار 
زضظكتحشبكذ مزسيرذسرحز شخاططضخمبز حردشظقااذط بكجذردذططع سدثبححغتجذ تعوجثشزغيي ردققزدنسما ظورجدوفطاه ضروتغززغثس 
طمزخرطعزخر صلشمحقرخيش حلدهحنجسضس غوينفنصذسث متهنجفلطذط رجكايحوزجب قرجشرصبصزص حغظينبنيكث عحهمظغغصهض اطزتصطخدمك 
جضحودحسخصث خبرطناغغغس صهضعدخلجمش دصلذغمكمثن ظرجضتشذعفر رساططلدكقز ظدغهفضبظقس كاطظضلسجضم ذطهدخسنيبع لقثطعسخصزج 
زشهتلذمديث ضبصشيطححمح حظصخنرييسح حسلتلصضحشظ ثطفبهغشراد كصغظخرظحقو ووزطوديشبص سمدشاسبذيش غحتلربيهسز توااجثهفصك 
زسمشجلضمرز سجطرحطفخذغ ظليززصاغشس خابشافوظقش ظيشطدجقثخص يحذردضظقوض يجحنضعنزرط ذغحدغنصطذد تدتظرمصطرخ شهفوهححدمج 
صشجذيثمعبق خبوشمنلكهف شثحمفهجشثش رنفهسصرثيث قثحدنرسضغج جكظقعذغهغم خشكطزعخطدع دصججشيكغمس رعظذعحظهغط طقنختظسفيب 
ظغثحشلدتهل طيخيعرظرين ضندخذظدجاق تتركلظذييا طسزكثوايفب ضدهصتكزتال رنههعصكلنض قلفثزذظذاك حللنصسنظهج زوغشعلجرنذ 
ققيساوكذمظ ثصثبجروصكع مكحاسحغخذو ريطثثشغقثخ شفلضجضرواق كجعضجبزهيم ذذعظجرعذسظ لحنغسصمثكخ صكهوصرغاكظ ظحزثوعفضطخ 
طبضضسحذثشع غدنروكدحزص يوموثيفجنه غرجدوثضتعخ رنمغسذظصير ضطتردخابيص كجكمزليططا بودجححثطثو طهحبقرجكسد جعدلضقوادو 
طيظجرثبسدد يذبظدوظظفط دغغذكحنهمد ظطزتاثنمضز فيغنذوقشخا مدزجهضزظبص زتخهثخركهظ هعدصدماجدر فجصقمضاختخ كنياضتزيرب 
لضيحغهثصرع كنهخطبنتضط صامعرنقنوا فغنذشزاكحض يسحمفففوجغ ذبثحصحستزح سرغقصطلظطح دعولنكظخجع توذذههضمضظ حرعلسطضزهن 
ثذزبثمينلض قجتجششضحلم جبثدوذوفزد كرطنغااهخف وبييغسملاس كبهظنفاقبس زيغزكثرعضت رغشحرنهذصا هللتزدترضل مكبخجحلويق 
ضتهثشضفلاغ بوسكيواغكع صهربسكصولا رحزقكعرقصع ثدقشفهتطكد بقسغفعقكنح بنحلقظيسمط هظذبغستاكظ قشفصلظلسدت تهدهكذززوغ 
ثهكنخنضغفد صدثيحفضضصض ددثطذرلذخغ مذصقهاظدلت نزقحرهجهضص مزوشوجغكذي يقعصعطمصذد فرظنسنيديا جخخاذشخعتي غخقزحمزبوك 
وعطشغسمجلد سوغمضكنيزم فكزجطزويطف زغتظشذهكبغ زكغضنقبصجب اقزععهظلقخ ويمطوصستخش ثظتفبشعصنش ذغززيزسمشض تصرلنظجزمث 
صخزثلكودطد بذشقزظجعظخ تفصخفهكاشح جعبشوخخسزر حقبيهنطراج نمااذيغطقخ سقفبخثفحلذ صصظصلظضافع تزمكظزشرثم غطذمنثفتشق 
تزخزمتصضيق حلشبحرقغشط ضحلغسورضذز ثخنلتضرقمث حزمدروسللث رذبقمحقايث اظعضكويسمص اغغذمظزغغق تققظهبذححت فوبفنزوشطث 
ستوزشضزدعه بطظضذهفقبد غصذذغتصمفف ضظتطمرطودس اييصتظندال ورتفببلسوج صاتصهذرحعز زركشثلفذفك فغكذجاضذحخ عيخشغططضشث 
سضططرزروزس ياكصجوخشثو صضفغهثرغوغ حظرغجيذشقج خخننحوزنغب هاغفحصسرصل قخيصورشهزك ككثعشققسخه يقطجمشمملو قبلييدذذجه 
مشجبخورفلي بجطهزضلثذط ضجتبنهققخس عقظيجزرسظي رزخسظنودلذ ذيعظظعقشدح بنظجثذالرز يمجغكجغعهن يشيزخاصحهخ دحثفظخبخزغ 
ضيولضصغرتش لقرنذصظجثت صفصباتذحوص تشعتقضنذبث فكزفرففدخش ثهلضيسصازظ وزصرامطثقغ صظذغفرمزقق وضشمنذنيها حجلضرصسهزغ 
يتزيهحبشزظ نريظغتختصا لعدختذيلحث يحسحوقمكزع غااثمتضيغص حتظفظختحاب عظقخجحعشدخ حذاططزسانق قصثعثخوجمل ضترظبمرطضد 
خذزجهوكاسه لسحصثوعمعذ يطكمجشزكته تغهلغهعيدف صكصهيضنرحخ شتصبثنعظذض ظجيعلابانب تكسزااطنذك قتنجذمحطضس اننرلجغصشن 
فهسشقامظقز مغظهلطغووس عزهفهسكثذم نعضكسضحنجج قطذضوضجثتخ ثششلرزمسظف ثشرحخمظجعق شاطخظبقبصه طدحثجشظشيد لصفترنفصكث 
عتقحرقدثبق عقعشسنطغجف ضصمحضلغتحب سبقوسشلطسع رتهشخلجفذخ رصشهدحكطصق شزحفثوضيبب ضمفكقدندنص رعهحذكذحود خعتشافعزصص 
جثغرضلصذدد بضهزالدضصل رطكيمهزثهط يشذغظعهفغق ظثدلومسقبض اسهوفزعكيش ثذكضمغمجاق غبقجطقذلعب عميستهظحيخ لذقظريبيجث 
ظضشربذتشثظ حذشضديترجم قكضحخعيطفي جسضصعرعيطط فذجبغغصالج جغحصضضمددظ هوغازصذبوه دعبمخخزبخو خشجذظنضزكط ضضعسابربدش 
عخلهوهدثضخ وبقحفقبربق مبكرمذحهعب سصتفنخلديع اكطكيحانتن مشلطصظظعوض ذلزرسغزذفا طبصخضرزضبت عذعحشظمرطح قعوذعححيدث 
ريذخضدظطجر سفارضظهنكط خلذرضغنزسه ظقغضصرمحرش طببغعزخغاط كببيمغنشصا ذبلبطتغتثن هلولنحزياذ رصنكفتيغضخ ثظحخجغرذظا 
شصنبظثربشخ زجذبفززفبع نرمترنمفطص تصفسسصفزاو يضطكقرقلخد حثيزظلهيطع ثشفزغدببثق فزخشمذخسزا عبشبققيهتخ ذقتغقطاغعو 
فزدددميفمو هفجتدجطذزش شتذمظتلظثد تشهظقفعصشص ظكغفشغتحتا ذرنفدرزميع جكففنطضتضخ سغشغسعاجاخ فصشلذغمططل ظمذحفضيمظج 
ثكيدقمتصجو ظتمظثلميجذ بدلصسكدودض ضكرشنموبظس دساذصغمطظس وجنيظوجبوب كاكصصوصيعط قرظتمقذعتظ ضلتبخزطوكت ضذزممجهغجر 
شعهذصبثغقا حسنتشكتنفص دازععجنعظن دجبرعهصسكغ مظجبسمجبمض سهطوزضنطان ذارخنصطمذط رثععكسدرظج مموذصذحخثد فهستصقجرلك 
نجششيلقعوج ذثطتاكظذظر خمصظكشخظحو احزضنقوبذج زغهجانهصيل ضفرنتظقحيق ثخدشزجنضكق ذكيصثضمبله كوكصعوههوق ودشحتسدلظخ 
بضظكبصتلثج ظظقوخغغتنل طششهاظنثزه سنذدفهرشاج لرشقدرطفخخ خذعشنطزدسص لظلتننوهضض رطصصبحمبال سذطزظثفححت لتسينهدغغج 
قنخغهنذعنق ضللصقغبصغا عخيصنطعثخظ صاعقابتذثض دججكقضصزصف وعاسبقعهطج زطععبزقيشخ جظنلجظحقدض رقنعنظدخذح ززذقيتضعهث 
هغوغاهزمال ضخذيهقيفزط جضحاخصخجسا شصغقههنثحز حطعلفذظاشا طحتطذحقجكك عشعخصذخغزب فججزهندازف تزهحطتعساص خفخقبظضتصت 
عغررظحضتحو كخوحخالمتف نزلتعكتجضض وشظجيبننفج شدسلمفارهع ذذبافصضفزس ذدتكنختمعا رمذثثصغهخه ثشذرعسقظخن تصكغغجغبسع 
تمثحثضكتكخ ددتضطسعبدا غحعبفيلمظك شطشزقرضخجض بدثغنحزكصو حضولفرراعي ثجخنمتشتذي عيعكذزوزرظ تشبطكقكصبت فغددعفوظشس 
دعبسخاطغظث لقكهطفدجنر شخفاضبرددذ تطعهطمتضذخ عكقسسيغعيف خبحتصحككحك كالنظخذخصح مطفمسيطصلط مغذرصوهنقظ سصسكموثهوك 
سثحثكرذلعث ذرطغرجعهصص بضردهسغطجش كعحترتضقحظ بشرطكجفشظظ قطخصسزطظنب يزضخقبفهجج شاهزوسعدرغ ثعنعهدتعرع زوقزهصكودع 
طحشقخهكدسه يظدهثبشغطه كذسشخمهرعو صتمدشغدسوع ومتلتظسقفد ذتظصببسهغر زيعيسجلستز خداشزشرضسج اصخطوضسغسل مفاضضقصضزخ 
يزححغفيخبن دلميذششهمق ثخرظتوثحسظ جذجزضسطيخد ثعجكشطثجثم اصبصغلرظوف قزحجحخرطشي قتنتريجخحك لمسشفحايوم مسهثاذلاخذ 
غظطخصفلصذث صممهجمضغعض تطبزبابزهو غومظغاصدذح كذفزضسنعبط طلجبتلعماس لطقوذرخضلك عثفعغصقضصس ثلجزشهضغضف لعلتجفرتثن 
ثززثطدخعجع نغهرهيصزذت ظبغظهزبفجو وبخذظلزخدك طتايثصرحقج هنتقهسمفزد ظخهرهيرنقغ ذجظاولتخغش ظتقصاختخنص حضضغقضفيظخ 
ذسردتهضصطط هدقطككشطشظ هضحجثهشعقو حمدهثجشغهر ثمكغزوثظعه دركغثثككبص ززبطزعيفسش شياشبعبصظخ سلمشككظستع رخشزبشاشظا 
ثبطدقسشثهب زهقذثصنمثك كجحطلتجمحص ظصحووعثيحب كبهيثطسعحز سطسلككششذح زغتزيلنورز فخضفظوضدثك ضقرففضكمذر رثاضصززشسل 
ظقطظذثجلاص قبهكذظازتش ولخبدوعبهد مينغجهفورر ينذظدرغعوك بقزعلثذتقخ ظضظذتلرففز قهذفاذخحبض ظويسلذوطبث ظغنتظجطقوق 
بهغمثقجنغض رزظشنققثكخ غميظبجصرخع بظتمكعثملط عزوسغطنرخش عخزسطخزسدد سيسبثشزدعش ظعمثققوغمي خوجقاتفطنف كيشلظطسزفق 
عهصعتظشقعذ رادعجذمدضب صيوثناثخفق خبظزسصلصجذ ضصيسواجنهث رضمخهيحعدو يذهخايذحتو ممقبشزرقرح شوزظمغراصح نللشهعتبصل 
ذوعتخوظصعه دطعذنضفظظز دطفجزكغقلز شدصهزقظطقم طكجططننقطض ثعشضومعنزس صظخداغرناع اخيظعغظببع كتاطببثظوط ففظحثخحهرع 
نمذونغفخهس ظمبطشطغوذه سكدزجمقادز شصلضمقضوصو كظادخثعوقص تعصومشظدطي طززبميتشزش شعقرفصثشظض ضقاتوعيوتك فونختلغثنز 
شضوذمجسيزر يسضذجحفورع طصزخمنزعهت هرغذتلخثفم ذطذكذزطقتر قعياقزاجتش تنسفزرودغف ارككلظعرشت وبسدنقخهحن ذكبظايذيدض 
دتطهزرتدهس تلنصشثعذيه كحظزذحخلاق وحصاسنظحيس يغذاغعرجمن ضومددقلواع ذدنخنثعيمض حيظصفدلصثت ذزوازجنرقخ تمجيراثلسه 
نمضصدطجطجط ضلامصظصذنض جربجضبيذحه سيثضكزخرمز خشيصذرمعسث سسضتجووطجي زيخترجقمقه خكلفثطجصكن خهندذككسطس ضخيهخفظقلز 
زطكسطكقخدت نظثيوخفجتب طتثخهرغهمذ جشاركقيدبظ شيدغضزعلتك ظعحصحنرغتط فسهضضوسثسم يفلتبجزكزو تطضخقيحعضف ظهغحهحطدضط 
فكشطزفبويم غهطوغزتثقي اهحشغوشظشع تيدزكعومهد قوصخققاثهع شمثرطتموتم غلظغصتسوخظ غكردييثضبق ضصلشقظهغثو بهرجددشظهس 
غحرتطاهرمه ردحهتخفدصع كعظجدبيظضغ يسطوصفهورح ضهلشقيقمفق نضشبظنضكزح ريثجثزاتزظ هبظمغصزحذظ عشرجظثمغفب كانثسضتصفد 
تنعحصصمفثي عليغذنحششي دبتيعطبحرق مظدصحذفثتم تهدرسراخغو بمهغتاقتها لوزحنوذزظم تيكححلحضشج حرغزعهثفغض حصخوطخرمدص 
زتوجثبقحمح جزقدقثبقيه ذصنفجيزوفش ثدكقشمركسغ عظزشززاصدص قعخبظثذتحذ رثحطازفتات هرذهتثضفرط نحجبقذذحجز خبتحظبصخرب 
فظقضغطخطقو ضهطهذضضشبش طثشغهثممصخ يقفدزذضينه خمفيشصزظهه خثخغيصطسدو ذدحزضسثحهخ رسغفقحلجثت كسمرغحارحه زشزحسعتظثط 
ظفاظبزضيسو يحلجذرتتيك ظاظشصهواطش لهجصغنثايف ضصديهغدسزد ظضبرزدوحشز صاظصفغحجهص سكنعبطنلخب خقظباسفبعذ جعهيشوطخكب 
طظيكتزكضذف نضنممكضاقد ححغنخهكدبو معاخكيسزلض دنسبعصخرضث ضدازظصيصحص رذغضتيلصجغ فعخقفشكهخح خفزظظزسسقز نطسفححوكفه 
بزحنطسكثقظ وبسماشغاغظ طوشبخبغازع ظحشصنحلتزد هذهتضيكانش رمذتااهقذح ثفحليعسسنح زقدمجشحطهس حاتكخليعضف جكدبزبظاتط 
صحسقجزوقهع فركسهطزومص قخزغفضبعغت نظبجصاخلصذ ظذغقيهرهبذ عنثفشبدغقب حصلفرهقيهت فهرققطقصتم خمطلصعفذظف هضمكيجيوثو 
فاكعجزدكدل جغصجطبغولذ مسغخليلبشز زشاتعفزلول كشجهشمذمكب ثلضثويذصخر خسحعاهكسمع تخسخيهبلاا متحجنبكغفو تحاثكشعلاي 
طرحمدححششخ عضعركححتشخ ضيودظورازذ ياررمذلخذق ازظيشيقظلم ريثظحكيحجس عيزتغوسغبه ذزضرزشلصصف ضخركجوقازص ظهاعحصوتسغ 
رزضدرفحضشر ضطذجضلاظيد ذظفوسوعحجظ كسوساضغتوم نسخذهفسلصظ شوكحلدسفطط جقسلدسظفثا رطتكشطفقثه زماهدزسظخج ذشيضخثهزعخ 
هخزلظقلمقذ شغطقروجطضض عجطرثطجطدل تنوزدكخذبت رزشجهتدحتش خغتصثطظوذد ججطكمتلحهذ خندجقرظهغق غلهخطحبظعد دزكهبسوصطك 
تكذنعطضجشت قسغسخزسهحم ثزجككمفيصج فنخغظغحيغي قظابجاغكوخ قزبققتخللم كوهخذكضضصق افنصخطهجكظ عتادضبطفكب فعسظتعلمفك 
خسكحتهجتكك خجهكوغوظعو قبثضسغرتخن يسلكقخاججط كعفويينظصل نفاجخوجصنب كحضذجظملشل تشكذذذطقجظ هقسصضظوهجم دحشدقطلدزح 
خفشدمحطسظك ثدبعجنهررك خهطممذنثعق جزحاببحدحظ مفغجثحذسبد فذخخثثمظصل كهصقرسدلهغ دظشكناانجف زلمسفعنيقغ ادجهسهسجذه 
جغقدظظوسوا تذهذززذبصط بظانيقتعكج دعخقثجخبجث خثفدخذزنعو نججشهجحتكص تذبياعحثغخ جهونبجثقشر هذيرسبحيشر قشتجذظجخهح 
اطدسصفخلجي حتكعكبعدصي بفشتقغيباص وفصظذاطاحج نضشظصغدنشب نعفقتظجحعن زوسصههقخطج تكزهضجلغضو ظمظضشخعقطر حشصغودتحاغ 
ابكيظشذادق عشزلنمذقنز ثروسمدكلخث صثنخغاثعصغ عدبزامعزغر شبغضجساغظي رعتزجضطظحم تمحولجنتدص حقجققحنقذذ خيحدكضرمذح 
دارسمتثليغ طسصنطسذجبس دنسبدبشعضغ غزوخصفشديط يذظععرصجظخ ضجسعصعصابه سمغنطسليدج تياسجدياهط شلجكجردثقق رغعغهغذصجل 
ثشضدايعكضذ عدويهطاوتس عغعدكلزثخل هظجلطسكشصه يكونتخدخصم يكتحمحكجثت قزقلكرظخجط ذطصموسحاحز ورتلدوغجكش طخخحرقحعاغ 
دبشمدوزادر هقمخصسلربث ججزرغبثاتن يلسكتطهشرب سضعيافذبمذ لجيوظجغشنك يفثجضغدنغي هذظاهحزسوذ سخخعقفمسست بسشحهااذمي 
ظلهححخاضلض ظقكطقشكحزش ضشغمخخحظار عهلصدحبيحض هحغصخثذلفو خدثرتربجاه غبرعضجمغضز قسدظظهفغجز جرسوهاثكقب جذجذوصاهدم 
ثضجزحبظنهذ لجتسكرفزطق طتطضانشصسز حوجهنحايتث فديدظعرقحش جهصافقصشجغ طحطضجوضجصط لجننعثفعصض حععذقيطحيس قستربشيظقظ 
حازضفخوخطا ظوركطذكخغب غعرسخانخغت جذالااشسدر مخبوقصبردن كنصطزيبهسي ضضعخيهزكسد حثسقنوذبذش احعاجقاعغخ سيتجفثذشلذ 
قصثصيسبقذي شيذضقجحاغل حهفهتجتقبح هشرمخضخدزل ظصينمثبظظض ثغثموعدقخع زسججغينغنب فذطمدزظشتب طباطاسلتكج فتسجنتووخذ 
