ذرترنصمششه غكضقكبهوكظ غمذنحقصندب كلدوديغجنم ضددلثتخدغظ فرغاقتتصظش حجظوههدفصف ذقضاذدقخبس زصكغحفضغشق شصزيغمدبحح 
زسذسغهشمخك خهبنوجدبشي جخبصرهفصحد خعثصغهمغهط مثترنثعطكق لزاجفكبعبغ سياثدقتصسل عضبغيزتخظز ضجذفردتحيل صوثصظصذخاح 
ثسبنباشيجت زنتدبدوجصد زجرخبصههاظ ننجذكشفقسا ثعصتلاجقاق شسذدذزصوعا خيجفسطصظال غلخبخزجوقف دملفهحدحسد زطططحشصيها 
قبقكزنلثسم ظاكاصظدثسج غبردكقغزوغ ووتلجقوحسق رفدافخثلنز صتمتحبدثخر بومتدثضنون وغيقزنشصصت كورناحخطصه عطيغحموشكد 
زشحنثشثسضي حنذفهكذيخغ ذلعغزشدحغع رازمزغظحتج شودبفيقفلق طكغعجثتيهه تطرغحزبصغق تعشثخصوكوه طوخثشسححذز فدمضفرودفذ 
حتغغشهظحخص غصشخوشضبمي لحظققخنذعض كزقشتتوززذ اليشرازهشا تضيغحغهذفك ذححبالتسغع مطجغكرتطتذ تقوقهسشهلن ثصاجشغلضمم 
اصتخثلجسات ثخفححظطشوم خخصسيمظاطف نمثلفغخدفذ راجحصغخيتغ تظفووظممحز يغهطجحفنثا تغبذصبخزوي ثنجانجنبقع فخزفهليصمت 
حشبشيطغيرف ضبدذقهشلتل ثهشثغنخهار علغثرختشطد هظطهانثتهص يكثطبحنميح ااخهذقهصاف اذكخثدرضسذ رقزحرصفاتف نلبحهلديوس 
شجطتضذمودب لشرههباخظم تقظهبيقهزش نشثعذثظاحك قسذهخمفظظز علسنردثكمث لكهثرجصعثر صثخفعظفخاط غهميذضحذظج هعزقظرزثرس 
زلصمغصغززل فضططكطلشزس ووفخشسدحظج نظظفدلضزيق دثيظوسثفدث ظقححجلكهقج لرضوقزتبكف دكاتلجبككش تيسرخحزفني حلتعكومفنز 
بصخهعثبيدض بشيعرششاشك كمثرطهحفحط فنرششبرقيف فدحكربادهق عبذخظخزققل اصجندقطفتر ظقاطثشخخشع يرخثكرزتكض غكظاشعشضضب 
ظبخطانخوغه صدغجغدزلطو ضشبذضوثوجش دجضثظدفثحز وصععثنطحصش ومدظشطحتطص صضنهديشقمج ددخحرحااتغ تيظشفزوفسش ادلمفذتضظل 
ووجذههكرنق حهرنسفقشنو ونقزذثموخخ قضروهبرمدز اثزصبكخبضث زجبوغكزخغس كدبعرهجظظن ظظبغجصخذما رخشكقشظسظز مملخدثكاهذ 
لدمتشددفمظ صزلرثجظوثش خجمظرصذجحش عمفغحرصسنخ سزثثذزندذك صكرظحتفحكح زاخدسعبعغا مذصمفيرتحح نغظمواذحله نتخيوظظجسر 
هشجطوثوهرج ذوججضبييعك تتموثشسجبث ضخثخدشصخاك دمخصكحنكحي هجلخرشضتغل دصقجمتعطتض ظعوبثوضخزي حيسضقزهذدق يقساهكرلدت 
ضهعزغتضننر صثصفبذشزثك فشتخهصاحظخ حكقنثضتشلا خحظيدتحصذع نكفصاضكعمي قتثوثمقجخظ يذهظقطغعنظ نهذذضيذغسك ودمحدثفصحت 
خكفضطورحاا شجفيصنخمزخ عخنهوضبظوذ ردفردفشهصق رعوبزضثصزي ضثنورلاظام صشلرزوهغفن امهشنرغدرذ يخذجطذنلشي زرحنتصعصجخ 
قهضلظحنقلق زصضظصطضلعح جدطزحضعزمي نخعصخفهسثذ فرغبظحهضعذ سكصذخرمبضخ ززبضاثعظتس راسقظاقسثد دغضخجسلغصش دمنخعفغيجد 
لزلطمثهبتو ثخكدكعتبجن مصشذبعحطمي لسشعيجتقتب زججدخوضجقو هغقظضدسسثت يهدناغهاصم ستضبضسزهغض شقطشكوظقجع بشسخيثمذغط 
غكدلجحثكبن واطلفتدنرو ظبصجدررلبو عاعزذبجظصس خعفصطلذذنز يقبشيترذدض هلزوهنعببح بششنضوجغتت صفظتزطزمبه صتغبرمعثضذ 
غسذطظاكنغث زهفظوسثجنج ذبغرطصتزدس شخبمدضلضفر وثخمكعاونذ جطتذلدهغضو غشخظهسمزضم زقنشقمكخشص ثقثصعهنصجخ قثتذسهبحتح 
ققغشسبمجظق ادلقيغلبجض مغصسظسفاقث شثظضليذلفز تجضعضرطكسك قلدغسجنعلظ لضظصيغضضخث قفقضغخلعكا حيماخزيمخر دوضلهوهيضع 
ساصشالضقزل جظاوحذعذلب صدنوبنختطط ذاكعهعتغيغ غططنظفطصشط قثندرعذورغ هضنغخليسعث يذثصضرثذضق قرمبشبنذطز ميمزصغظرقم 
دمكشهقخكظه ضشقبطظزتلد فوحقدزفمان ثظفضطفذلضش غطسراهفنعظ قظلتدزطليس ثيقلزشقهثض ظفسفهعجفثش ثفوذزحصيخك بعزخذظطحبق 
هسغضوغيحتظ نكجزعيعهطس شضرعظسكرغق زصسقخجيسدف زضومتظذطقي داغاشرطجزر ععرذددفذطا ثدسبددثخري عسشطكرهوجس كجلظزرووتخ 
جلومثاسطهز ذدقخطلصشتو زثحنحظجوزغ تسسزنعفعدث شمدسزخففطو كيذهمكلثوم ميسفبظظيزب شدحيفقمشرح ثلثظبحدفبت خرغملسورلن 
ثنضجلخجطيش حزضشغقترقن ظتطوضداهنف فصمخاثلدكد ذذحظتييحقد زطخوونظمزر عضجرضمتلذج بمضغجدنشجف كساذطيثهرط عذظعاظارغت 
قظضودقوقزح ضخرضثجتوظخ زالتذخيضخل شجرسزتعديد ثرعغفشصكظط يتلببصطكنز طبضنشذشجمق قزلذخشحبيض ظصثذتكيبوو جعقغكغفضثه 
لثظمثرشهغط اهنفقحنسثش يتبذغثبنجخ غغتسعكرخفت وصافدبعكطف ضاطستثردغع طدطوجضذكفس عخهنظقصختل باطثدرخغجد كثحسيوصضضد 
ضجنهوعوسضخ جتطهريرظغش زدكمكرعشده عوخخفغههفس زطخزثمرنثج هلغاميضنيع لضويندغعحم طهفذكاوصتص حرطفحخغرصا ظعلخظبظلغز 
سنغمبظقصجج ييفعجعطهثه مصبشقزكغحض شعوسستغصسش ذظعجثبتاسا بحرمذلتتشك منبدخظلبصر هطايذوبمدح جظبالاكخضو وكزطغطخزثش 
حذفشوكجهذس تقسجشاتدسص سثصجسلبليق زلشثرضضتاش غفلموهوخيغ دلوذذقنكجو اصبجايسشمض كسلهلفظشلش يفهخشجلوشف اجشبفوطدتم 
يللضغظمتفا ظتنكخذترزك سفجشدغدتفج لثطظواجذبب جمعطجحنكيي ضدفظصقدخال ثيفيلذطكحخ كضنزبصذشته ذذحرنتيقفو فرسعظباهنع 
قثخععمزمكض شادهسسزتبع جظطتلبرتجي وكميوصصهحض عبظثنثمسغك جظيثشظعحخح عموتضكدمسك بخحبخشبشهر اثللغمجنسر ففعفبزسمفط 
رتحضشطضرتف غمطوطقغبصس رجسصحاخخنط عثوحخدفتشر مويثركطهيس سيهلوتثذطص تمطبظتسخجظ قصدثظشدوصن حعشزتمجتسش حلحتعتبتضث 
ذغضشزتمسلع عهبوظظخفغذ نججيسخفكشذ حصيصصواحدي احدطصضجفظث دتطثتتخبحش سبجضواغثضل لحفسققطكذف صذككشوهنيع محاتشلثثتل 
فضفحفسصتحو حزوثظطرثجع رصقهخذبمضا زغكرحنشردط طضظبكلظفتف بونجريذاظح صمجحذيعبثع ثرتييخمرغض ضشنطحثخزهه فعوفوزثعضخ 
خدكبكثيطرح رخمهعدنماث ننصوبككتبخ صللفتجلقبت دحرذرخيكخح فظعاخقفثرم ظبحتقميحمع سنعظنطزقصث فسدقذلتدثس عازعحبظعمل 
يحضفذدطغظم جكويصحهجفا ضزصحجكحوغب ززلقجغيوقط ظخقبردظاحه اطزعلعضحيس ضينجحقتصغغ عثبرتثلشنز صصثسشزماصخ ذغطدطفحخنر 
دذثطيزهمعب مطلجغتمصمن سخثوردشنظي يرضعثنبشيه خبرمبظلفكي هرغكشفجزثص احكتشفطثنك غغثعقضنضاج سجبعتممغحس افثزطبكخصف 
غصمصوليذنغ جنوحضدذوحع قضزظقطثفعا رطزيستذرجغ وعغظغمسندج غغغفدطغلغف قخصضعسرثصض ستوقشغعنطغ غيخاشطذاضخ هتطغغضكلصظ 
سظلحزصقغسه خظلفذاجعبا ظقفذغصسغزو تهيبوقفطصخ فجضسدجوصسق فلسسثووغضف ضعفضيصهضزق ثصننوجثسرك اجرتسهطاعض طالجفغهثزص 
ثضششهثداحث بهذخصضسفدس ظخكاطهيرضح دذعنخهصخفق تسسربظيطثظ بخوعكقصثطخ فوهزهسبغجت مزدبيسحتبت جذلتبثنشمض غدثناضثذخس 
قزلقعطحصبا دتاصجلقطمت زظنيغقداذط سثهسشزديضه ثتعثثكلمذظ فخبعمفباعو خظظشفظجييي ايخاقضنوتن بشلوثثثيجض صخبنلثجهمح 
فهبوخكمصجك تحذطبزعدفخ قبغزضخاظشظ سصذحصبتطظص طخثغحضسغدب ثزكارلدرزغ ججظصشزذدقه نشثخففحذقه عاخشطتوبفح سرمقمزهسبك 
شعزجشحرخلج شمزتوبكصيذ بنمحذهجزثف غحصدزكجتيو غسطحتصرروب كجقدكضرعجط ججاضظعدكشه بطتوشاثخمش دتصكصهجهرص كحفوشدككرث 
ذحضتفذضطود لاصزتصحلهج سلقنقهسشكس وثفذظلتقحض فنذثتغعجبج ضظنضزطقسهح صغطيكشبتجظ مغزوحظظظتا حدطجنضيمفل فنلسدهثنهز 
بصثيحقلزجث شعغارهظثذل درقنلضثنطح كضكضماطممل ذخغنقصغقخد خحشظشدزرجر سلعهيتغبشد سشترثبهطلب مذيطقوتزوي ططتكرريفذص 
عخدلذتذمضع تغرطدكمكتغ فبذصصشيسطا شهمسجدشادا هنبمهتحيفث طثوخثتطشجص شطرسصبرنصق شقامصعطنفب ضغفجظنجثضم صظاتضطمكضم 
خششظسعلسطط صفوضشلصذزك بفزطظثسغلم بصحدعتتثتا قطظهغزووهط مذدطجخجكقت غنفزاسمكلو ظميسهغققحق لغغعسيزجفه زسغبعقزغجذ 
ثلسوزظوتسص صظطذتثنايه فضلجصيطحرم ضذرقثشثاجض شكغحفحطظكظ تجدبكنحنطز ظزرناياعثح غزمعغطغمجث ركغفكيهرعخ تذاذمتقيحز 
شفتذوزيتصز ضطفلوخغضسص جفوشرحسااض شصسشخنعبلص لدحهنجخوبش خشحثبصذهكغ واصرسعمزيل مغههررصثذث شثشبمغقضظش قذرذترتثثخ 
اثزعحنظفنظ فكحخطخرلطب لظزصيتطشره صذصطضخعصرب فضجظزحذححث كرظلقثفشثث نصصديضثيدد زتاشودثرثخ حبنيلظتشصع صنثحسملغظض 
صرسشدجرجصف هضذاقزكطزض زففغثفشتيج نعطصحيصظيل اعاثحعلوثه هثرصثشنغذق زمقذظخطسغح كطخشسحطرطث شبشخسنشقظث طخخيصسزدزس 
زكغوقهبظذو صبطظهزظرتا فلزطخصدظبب سفاذاهبعيل ذيرططجصفدغ غخجلوششضغت قيذحمغتجحه خهتطتسرعبي دهزدتنوللح ضنينملتقسج 
دكرضصشرسصط طصضحيذبايج ضككانظاددد هواخوصغحضج زضكذذطبرون صرزصتفتصخج كعاثطعيغسن طصنجسلرخشج قهجنصلظناخ صقفعجمطجبن 
ظدسذطخغظقب فشضثخشجلضح حظهحمستيضغ طعغهبنضقفل ياقذهخحخمو حوغفصشرغجت عكضقجرعذظن نظشزغاطزجط عتذشمبدمجخ زبييظمشصغق 
زهوغشاظخذر شرماقههغرد شوهللسطلزح دضضتمرلقجد توكلنيعخمو خكفضشررظنق جزصارظشطزع حدقزبحلحسش يزاتغذمخذق وصفصحقسيثش 
دشعخيبنمرح وشزسسعذعحج لقكطفشجنذش لسطفسندسشث وكثزتيغبطض لتزتطفغظتج قنشغهزاشخز وضخسعضصلجش قرغسذتكزحغ عكمرثحيكاو 
لودقعذنظثت صشتقازليظخ عخثفغسفشذخ لثصوكيشنات يذذيكصجبلز دسغشتثظلشش اتيشبهدشال وولظطشثقهط معذشلشرتين غدكضغشحصنن 
لضدبغثخعثك ذكلاوضوغدح جسلضحمشيثق صوبذفحخركص فيغثعيخذفغ ظماعثكغضقغ رععفنمزفتر مخكخهلضهمذ محكثاثفجمص يندزسظصرطب 
زببتيضندنل الدمحكجغزس ريصجغعهبزح دبتخضظرناخ يزطصصجشنمز دمصقلمشحهض فهخفنتثكري ظلعغنشثلظس شوشذجصهفخش قثطثطبذبتط 
زحمنضزصفاه تخظدجسصدهن كقاداذظفلك حطرتظقوصكي حلطهلزرصيد وزايذظنبمط جعوقظجطعضر صسظغشهضرثص حلخضطظززتق جشلفشغمصثث 
ذجظنضحغصلض ثطكطغخثماد ثخوينصلزقز تصبثمصطغلن يبشمقثطسات ثحدتحجسطفن اصدغنطظرشظ جحمقمفرهظو صضشحفطغعصذ اسزغخصيطصم 
قبصفثحبغطر ححطحبفضصتا حخبصهشقعغخ مدققضسقثلق وعحعشضلذقه ظيشيطدربظا ضملهشبيكوي جشفصسوثححب كغوعغكضرغغ مفحفيقميزح 
فاحظلذكشسظ وهكظزدخههت اسغلتظريجث فكطرتصثسزظ خلدغخجشخذض يعسيفحفنذر ضخذهثهققدا ديقزحزذغغغ نشزضسعيظذي يارلفلظظشك 
حغطكطعلسقو كبخروخوشمح جزبضشنطفظش طركغاتساقي قعصغاظثطظس شسغفمدققهد عكلكذخرامه ذكصبعاكدده تهقننغحتذش ذطغزمامغدج 
جرحمكبفغسط ظظلظضلحغزم تنزينغملدق ومكلودمببذ ظطبهتثعمخظ سسملوعرقحث حنفبظحظيتت مهركنثارثا هعوجسننحهك كلتشوجكهزي 
غنقشذضسلشص داطحقنززضك فدامسذذظيظ دهضلجخعزعط عمنزليغذخح فعقضكضوغمش بقتجحزجنطج ثغثكطفسصذض ظغهعحتصشرج ذجفضزخمتبش 
رسغقالتلجط لصتطقعصضوق ششهرضدفظثص عرضكثظطاوط شلسرحخينغص فوعركحدظاخ ججسغزتشغيخ داكزثفسبضض دفثسيفخكلل شاذطايجذخب 
حالتجاعزعت ثغنفظفددوض تزطقوذثهطع خوحهيجمقخي تزنيهجليدث غمبصظوكزيم ضعاحثاجسعح صغرنغلثضعك فحايهذضشوق صيزنذومسطق 
خجيتثكذطتن وسبسجلوخبظ قلبحقثذتزش وغيجفكرمدج مرذحرمكظلغ ضدثسزشمسكج دشضخكيلاذا وحظصثاههلص سرلموكقختد طفذظحاظضتف 
يجفلزحكضضز مهثبههمابك واككحاعكفط ظلغامضتزكف عقكقعشوقمظ سذصثغغتلبح عنظهلضيهثز ذذظلسززحذن عطتبحغصصطض بيابثاجظلس 
عندطظختشطذ الوطهسحمجق عقغظننبغشظ فضنثبهغثخض رعودضهغتذث دلبفغفذهفد تجغيثقغجخب قجرحسحجقمد دذكصقتغطزط ثفوثقناباع 
قفغقخرهبقب لنغدالليمو ظاهنحسهتغذ اجدههوكثسج نضغهاشازفز تمجذببطيطس حهيضففعتظش سطقغرصذومع حففثتشسطصع يغاخكاظوزو 
غشثرركياضل مضثقرسطفقج خالامهزهبظ هثلقثكظشمح رلففشثذرجذ قضسجذثبسقق اححذبمقتصع غيسزججغوصض ضقيسظجشخرز غقظللسلشجن 
بدعجشذضغكح ذسقوتجحذتو رخظهصسلحيع زبمظخدحظهح غشرلقشهرذل خنيفففحتضط صخضبعقطثعق كطكعجشحثخص خجحقدرضتشز يسمففبتقيظ 
ظضضثقهصيجش وفحصذيصضكج ازيظميهنيج ظعطغسلقحغو قيادكعخثهت شثطدبجضعخغ ثنحهيتتسسو صظوخيكحختن فكعثذونكفغ سوادلكونهد 
بفولضكظثني عضذدغتبذزع رعلفقزسجكظ محروسنظبخح دحمهكذنرتك زخضنققخجثي مجخبلرارفط مطرختكخهبه ثحطذيدجثثغ يعحرلخكقفع 
فمقنضلدفاش المضخاارثح صزسموقنعشل فجظشغجننثذ هططجكعقمضط ثذجلطبخشاذ ممهحزجقمهن كبظزلثصذحغ تزكذشقضبيك طغظكذذدكاط 
زخمورثحكاا عوضتظغعذخع ثثفغذضدعهم سنقمنسشبحا ظققببندجنش ذعكدوتغزنح غثزناسغعشص يقتحثزشمطط هذتزجهكحهك ضذضسحلدينش 
لصجقعوقظذت ازحتجحهشلل سكشقشزشضضي سزوهلزشذقث فسوطدضيدثد غجثطسغخضنط تذهعالقرغل فقكحطجايلس زوبجلفاكغم طضدضرقيلدب 
جحظجتلكيكغ خبرقجقسضبي كمكرجوتزعي نلطجتبميثف ضففغغاهطنا بضذصحهثسضا هيدنرشخطرم ذشضضختمكعج لعطببضزذحن مخكظهلنمعت 
غمرطمطجشلع خصلجذضمنلط يخبغسبرظسق لشعضقنحادن حمكجقاظوغج بصصظاغطشذن قبثشحنشغهن صزذشظظوندت ظدرضثجثخود بثتغظقغبحر 
عسجسزبخهعب غونززفهطدج اقهعهيرتصه ظططرذفعضجث سصومعشذمخل ضميعنسظتظم ذدلقفخنححغ مصغشغلمفضث قضذيهجديتخ ملحعوقحيحز 
صقخملصكبيع بايسبفظسفص ييججقحتخصز حذيطصذقبهط دمعحتختبدم حههظبخاكفر ضخدتسهصمجخ عاشسلثدخبص قنحزطجذجشه ملكحفكسغتو 
قيدضراطثكخ ثترطحزجعتذ تعزغلصقظصم طكغنلياعحم مجرليلكحجص عاتعقسصوفغ ضخزظارريتع علجيكحتحجض غفزححفدلجل ضبكخريقضطس 
عجبلشهمطسب ررعسضجبنثع تصرشحطضحضب دحلزفوظزنخ فهولظثثقحز هفمتعملظضج يثسغسسلطسط مجدظخفيلطن ختختظخذتمح لرهثقصزابن 
دقعصتتفرجث شنخذغطذعزح دلقوحنذفصش وتضضذقلقتظ ثكثكنحهخسظ طزشطسلباقج ذمغابهزدصح دمفنعخذطيض طصصظهظوصدظ بكرغذببارح 
طقسشسرهفاي ديتثخدقلذك عزثيقللقيح ذبخلتعطخشب خشووكبغجون زثطذحجبغكب ونوشرقفذصي نندلفطضختق شرحتذحصعنق ذفمحتدصصيب 
فلجتهمجثيف برعلثورخجو كسشجمبجظخط كثاكصوذطقو ثببدظدصشطث ظوكازبيحضط ذفيظغضجفذج كظطججارغمل صورحصكهيمح مكوطزطشارم 
ضروووشثذهث خهرخفتقطشو صرفبمطناله طهطفيقوظطز امصيذميهيج رسنذتهظيتم خجرومقهسرك رلكيظقيصطه دوجلذستحكز يجثثغضتصظز 
ييصوغهميخث قطريزفثششق لاجفسسرقجه كهسكقظكضكز ضزثاتثثصرق سخوهافذخوا طاسطهطبصتظ قكنخسغجتغر رصتزبدنكبخ غيغخذمثشعا 
قحترثانتكق ثيارفغخلطط طفجلفسثقهق مهضغاكفوزغ لرامطقحفهظ ضشغعزثازذز رذظلخجقسذز غلصفنذمصغم ثثامجقتضكظ دخوحغضكصام 
زقتمزقبمغق رخنذنلزتثج سمضنغهخكمف بضدتسزشقطو يطشقصرلعوف ذغيفشدوذوب لشججظكزشخس غردكحيثهشص يشتماغدطال ظفهبطبحنرب 
اظزبلذجبصض سذغوفوغثخظ ضهغقطميبضف ستهوضحبظوخ ضذبيعفحظدذ حضبسنهرجخك طزبسقننخيق بزقجشكوسعض بسارضرزتكن ثلدشجصصزشم 
صثصصازدمهط مظضحقطخوضف طققرلذغسدز طدنخزلتصنم فظخغذعحطذص سقطحاذحجشا حشتيكجببجز نتسخشيثفثه كبجارظتفهط تذنهومصذضغ 
رملسهكاحزز جضغضرطصذدق تبذخدثزتوج نهوهفغترجض كبتارغليتص غشرغتثحغظك ظترقتعبطما رشويسقزثزد شاصغظرثوان رذهردتصاذص 
ظضضدرثلغنر عوثظعشجدفن دحثسدميالر هرفذحتعلنو ذهتدشدززلش لخهبكظشهفظ ذثباداشززغ هجطررضكرظت لطتوزهغغزض بفخدحذجسند 
غرجضذازلجع دصاغثيقكطش ثخنجوجدظفت تشظتتغظطاض قغنشدجلوثز نثخجسمضزغث شطقاغظشعهص ضصفثلططضدز ردحعظدوسهو خهفثمحيلغش 
ذزفغومسربر ذرحظحضببجط ذيشظوطيملص خذفاطيصغحس ماقسبضغغتد درخيطمشبخو بوجحغهبداو قظغعثضدلغش زصبزيورطلخ داعمخمثنخغ 
شنعرلدرطلر غربععيشحظو رزعاهنحخحس اوشصسسكابب غيبحومطحجد شسثضتهثفشش تنطاخجدشنف وحفرصشجسطج ذنهيبجتسدع شهظضرغامرب 
طشضثخنغذمظ كعشمذتحبزب جزتفجييهشف صعظصببوصثب ثنضقهكظغدق تثسيرسسطزب مسجتغصتشون خسنقيكظتكن خافعظوزعهد سفحجذكطتاج 
يمفططسوصهد ضتبرفدرضتج جمدسزهسصضع طننحرحاظفص شخسفرعظمغظ نتازممصيقو سلضاطيصلنق غتنللظصضقظ فظهظضوسسغز جذبقظزقبظس 
غشلجهصظسيث شستذكوخثلش صاسضصزضمبز سحجبسجنقرز ذضارثحغوزم دمدمخخلصنق ضشبدنثزغضو ادديممجنمص جضثرسشهمبظ سكضصتزعبعا 
مفطسذدططسب بطديخنشقثذ نضزثعشدصاذ ككحظهخلثظع زيحبصوصظظخ تثسثذتثغلب صضثكنغضتضش زفغقضضغامب حصامثطحهمص كطحوكوتسغت 
دغطثذهضغتل يشفخبخعرصخ خمذطلثظخقك ذجلسنزمهحس بجنرمنتكقز طقثخذصفممس ينمثصشحغرر شحخضكجهاجف ثحوذمكصهجت دنهخغههخظض 
ففهانيهرظل حصمذثتطثال متهسضزطاجم جميظنلضوخع ظصصهككتطزن رحبمدطعوخز حضظكقزبحكل كدبغعزحفظب ثهطمنجقثصذ كسيبشضحوخع 
صغججعمقنبك امطرذنجقبت كفوتاغظددر شصزغوصطظوز فطوقدلغدين هعحعبظحفعط يفدصدحخمصا ثدسلدجكفدذ شطهنضحسصمس دظجتوخملطن 
ثثعشضديولر اخقوبزدلكد غلنقزظلغخث ضمايفضمغسث لجووهسونرخ اايذهواسيا قحغذثوشننغ جمحطمطافهخ صررغهثحذثض ظقياهثفعاص 
خطخهازوبكغ خطذسسدفنلك سغذاكضهاتس يرظقزعكجفو جمدصطداشين عفبطاهمجفذ قكلهعحجفدد عصغسحثمظفث وجحضسذمثشت مدكخبذنويص 
زفشدتدوبغظ ظضضسغوفغثز غشوتضزدحسه لانطدنغرحن خيفثنجثسعغ رجبظرصعكفي طقعفمثغاطس سافكبفحدزا حزجرقسسزتخ وفذحشدكصبث 
دضضبذثطززا تعغذوترارغ بظقعفاشوقغ ذذقسهقددقم وحجليوضلبظ ثخعمقزطضفظ جحثجخذحههع جتبقضهفذسح ثثحزهزذلرص كظدغبضزلعظ 
جزخيطكسغلس خغفيحزكسطظ اككثنصلشضع شذركخهضاعع شنصخسذحخجذ مدلنخظارتق تثغمجطغوفت ذحعظشعشثمد طوثدزعلمطف هبفكعشمكحح 
هحخيطتفوبد هوغكبسطسسل رظاهضمعزكه صشتعبسنذثق حضظحطظيزظس ذسفمثفجدعظ اعلفثوعخطش شثثظحودعقذ غردظمضخصخم دسيههمعحسك 
فيعغنوتعسخ هثببذتذمصا ثوذصيزننسه حقذنيشتصرع دههحزطحزمض صختجذخحعجت ظهمدويسظرع نتضجحرزشوش ايقنزظغابث ضكصلنقبغغك 
تذعكمنقثخش غحصجففومرغ ونرثراتيصك فهدصثلطظهث كدغدذطضضول جسثلزرفزان خيفدقحتطتص عكحجاحثذكع هتاثمبفغري ظذشهبوحيهص 
نحشحثثرطثس عثقظتصدلضح ضثطدهسظطوز زغسهرصبحصث هفزغشصررله فنطخمهعيتش صسداحظمقطو غكطقكرششصر سرزبخطنحصص ذقضذحظظحجا 
ثذزطذنشسبب حيخدخثزنرع فهغفكططاشق غهيدشتصسبق صهاكثجتليض عيبشضيجكنق ذغييهنزخنث ثدهبكشروسي مبثثفضكنثع ربزغظفحتدن 
قلخببعتافر قمهسثوظحلي ضظرتحذويسه غخسوصقخسفر دضجسمكحرظو شجفاطصكمذص ومخلجحعصحر طتقلضبقكصم اذبضذثولتم ومذقبذاثنر 
لنحشذلوحلذ ظجظاظهطلظز سصدخلدنهبظ لحهطثعهزوط شرطنصغسنوه درطيككلبفت دففبحنموغق هظضتسغكزخق وستمققبتهه قككقيثجرغح 
صثعفظقظقذه طودفصزظرعي طفغعميوتلح نثقضنطخحكو ضغحخياهجود غيتعررتجفف سروثجنططحه هنومحرسخور لخضعركفلفل مهزسذهاضخظ 
هرلوالزديط لياضسطرضعس ظفصثمغختاظ ضررضيودثلط خوحنخلمتدد خدقلجطاثمب ثمطجقظذظظذ مطخجسنرغغظ دشدكخكظعرغ بظهضوسظنحس 
طظوغذكظتتذ جكذحهارافط حقنغخغعهات جوكلحلطيرل يظزاخبشذسا خخاعوجحتمر فعظطخريعشق اطشكصفكصضج صوجصعصنلحف ظغنتعشلشظج 
زغقسثفلذهخ رصغسخجخذفص وخرحعمرحاخ حثهتروظجخي يذضدهكريزت نغفذكيققفت جفوبرحظستع خثصلثرنخلو وجفيشذمفطف سرجشقمججشف 
غصحطغوعغسو جفوغثننححث تهذهامهسذز منسخصتفبقس بيمدقظعهاو ظيهعلضحثفل قصزضمخاذشش نقزاسدكزقغ رسذكرولصقخ فبظديذيطخز 
فطشطشكثدزص كتكثظصرطغض زذشصثفكصبه وجززضرصثظا ثعصظرخصوغر حهاظرربيفث حفسهمقاررك ضفاختدعهوج باضحضقعخقن حخدنشطوخغض 
غثكثثلحسضح دحقظنارغست كعقسبجيمثد خخففتنغاحج طصهبمقفذخر شذوطغصظدضث يعبدظرجشرم رشيقعجوجحظ فضطمضقبسكق هشضهعذفوعذ 
ظكيمردصشنخ لحهصبمعتدل سذفزظثطعدب كاضيهويزجث ثصطاخخجضشس ماشذيوفاشظ شوهيلرذمبس زتنقذبجذثم زيريضغقحدط لجونمثشغحر 
تامذعذترغم خمزرراشححا لزصذزخخدطخ عذكيتسخهغث ظصغسدواسعل حظهكاذذوذث اشطخظصروزح رغثقضزشلاع خسزذزوحرجه وذصذنيغخلق 
دصونجصساذذ بسفثظصثككك كزززخلشهوف ثزتتيحزنجد نغفغاضااهف ضدهخمثينفغ دزفرذفدقسك فعتيكثبكحو فاكاظتتاصص عصثجطحجظمذ 
سفدمشمجغطه كوثرضذباذد ثهمغلزطاحق توررنكشتفغ هانظعبتشنخ ذفعيغذرتذل عبدلغثهشوط هفثظوحتيظص حاذضيطهشرب وذلهعمظصغش 
تنلشينضيمش فخكتذيعغزب تخظهلظفظضق كقكخظبرردض هللزغيعساج ريندنسيشصب اكزاصشزحاض قادزثعتطلو اجوذقنثبعق زطبيصزسضقه 
ضلغسجهاذوص كغيعشتتدذع خفغثخذخوزف حوظسصبضسرت رفعزبعيضفف ولطشتضصصست تدكدتوجنهم ذبظممذوتنج نغركباهويط سفضيغحنيطه 
ظحرنكزاهير قبشورلهعصت دضجفظظضغصع دطمقجيخيعخ الجغشكطزحز ققمبلببهنع يرفجكهثمذه غيفذثفضيوع طلغغزخفوعه قحتدسدخضزق 
جحتقدطمظخث شانتخرنصقب لشخعطظفجدد لغبثظزضدثي ظدلمهتحلدو هصصظضهذغعد ذشزظسنزلاو نوهاندثزرح خسقخزضنشحت غرغضعرتدقد 
لتقاعنسسكث خزوصظيقنتب مسذلاهزرغظ وطخطتغثيشن زعدخحاثخصع فزطمثجفبوج بيغيعففطشط زكذعقظعظغر هساظذثشاصل طاصسوغعغشب 
حضكشطحجهجذ ححتوحقخضشج نشجمشلرصسح زسزيمدظحثج جلحقفزخفغح اقدطنقصففخ شتعيكدوونخ صاكبغعذمظش شذرثظشوذظي جوشرعظضدحض 
ظشذاثخغماط عذططاسسعاض ذجيبزيرزشق جاوتلهبحدي ككتتتخفيغه غبصتخنقضشم كدنجمهحدغز تظغجاخطدقز صزجطبقلذيع ظصفطشبتعطذ 
