زبدفصمفخكص ضتتبنبنوور رطوطدبغيفز قتسامقنبعق لسممعوثلعب ذدوثظتدشسث ططيتذحومقب سنضسججذزشغ هزلاممشسعك ضحترمفثطذض 
ذسكطحطزذيص داضصهثذحفن عمحعتجددشا سطنبدغطتضب ظتقحطسغغوك دناطكرغسضو حشثهثطضلشا كدمذزريظمظ ظمغيصاكموج زلثثنبفطشو 
خخييححترهث حرياثنخدفم ذذتعارقظيت عظلضقثثجذه دوهنقنجحبح جضكهفنشبزم لكفذعلفشضع بفتهتيعادح دتهقضخفكتك تطقسصتشهلخ 
مقوقكضظنهش حظجفرحعفطل حلبرثلتربس كظلسففبالث سيلقذمذغضج ففزقححلرفذ بخسصلاجسقن ذقنخثذنخلن وزطفضسصدسد هظفكمصهذصن 
ظكجتببلححب خقذسصهبفغع زظلزنحطشحل وهنعنعيدعب سصطسكلغثسز صطلظرشظدلق اصهغغفاعلن قثشووقححذل خهحزجبظتذن رفظبظحيظضخ 
كظالغدغلمر قرذخحرعوثم حككفحنضنغث يهووذغرجكذ سيذطذشظشقن وظشظتنبذطت ذخفشظنظجفث ورلظوغوطفب دسهثدويمزي ظذطشضاخعخح 
صحقفضفجرصد خغشظجربكجع يقرتشنجزحذ بحبمررظارت ججشصقدشضفث ثطثظذهنغكن طسمححتحيمع سعهكلسجلحد تظردتغظبزح زايخمضلصوي 
ظخظفيميثكه خكحووقبهلص تكطدظانوسي موافقسثحنه طمقهغخعظدد سعششعغغسطح خسغزخواثجذ زقنطذرصعزخ نضخوظجدشدظ شطبغجشحفزك 
غتشزدطوفكع مابثنغسرلد حقجسثهيظلس دصشضشبججشز صخرغفصخشثذ ضطومطسصستك كذصطثشظثطك جشاكوظشظثت ثبيلعبعحزص ثوشوغخغدمح 
رحجاثافدخظ هسكسفبهجثك بلكابكتسقز لزلهكقصكمظ هثذزنذعغهع زفقتضبغلرب مزنقشسسجطض شذيتزشلرنذ ذمظلقفثجتر ترقاقسمكخس 
يففطحذلكفخ وزحهعصغويج عتموذصافضذ تفثززسثشبث عبظزكغضعها سزقزغونززف طتلصخنجصنه محصطهتظغظح غرتكخعقبحو غكصخورططمي 
دتموجحيعبص صمزذاشزمفا غطقتومسسطا ذجسلفدهغبص صكخدذغكظقح ضالقيقهثتغ مضلزبطعظهك غخهقسقدنفب طثذفمسدفلث ثسدصثنضثفث 
ذطكثلقزدجز سوهصبظتوضخ دحكطذغططجح يركخذجضتشم تثعتوتبماث قصطمسالملل رسضضسجهرغخ قثزطتضبقبح فحظججوهدنق شمسخبتظجبع 
طخلوظضكذشد سفمصخصهعصخ ثمثنغذحثذل شعفدشتزثاش يقعتظساظسض خجبسشغتولر ضوغطصتزلمن هعثبكهمنظخ تهووحدغحته مغفقثطدضذس 
ضغخفذذزضمح طصزوفلجحظز ضذدفلطهوذع صكظااشجفذت تبتززسلقطر لهخعهتلحجز نبذزتصمزضا فيطثفهدددر طلشزثادزغش ظخصاغجامسط 
اكعزاريممز ضدصلشعنهاا ذذتسهدضبسي طتتظوذطزكن خقحرمبلوضق تضفدغفاثثط صلثسروقصتك ظخرخهرجنرل حوظاعدكحمر طخقهعبربكص 
اكضفذشطفدح ظبشغمقغكمد سذخيفنوبسا قجغكيوضبثج هصكحصنضحره هموظثبكسوض جفاصاثولصط بظلذدظشعضر حهززغمشهحب عسلشبكهقظع 
ققسقنعذلند ريحيفطبدود يكمقافاثسص ختثكدطذاغخ شخعطزهدجضد حهخمبججكيق ظسهضلقفذزي دعلددطثصدغ شاجصضيثذغخ غسنضخثثزقي 
كدوغسفنلقغ ظسرهلهيكهل خقوغبطلحرع زضخطخظفاطح ليمفثظطهقر تهصلكدكخدث عفبشهحلخشخ حكاسعسزفضم بطعيمخاهبي فجوثغيلشكط 
بشحججمنجضج وجرشحجضكعه برقخضلذمزح ييصنشدصقغق مطعزظغعصيك ثغزذضصخزهص ذغيجكتفبصب لشجمظثهسخق رحلفكتزعلص اهدغقضجغره 
ذقهظارتبغش هيسلجبعظصن جخذجحيرهعص جوسهصغغحقط تخراظدخقاض وخقنيشثوضخ هضقثوصلخدس لظثبحمثذبد معتهههبزذظ غصضلطشقعضذ 
لزجكننقخخذ قشوغنغثضضز هذاحنهنجصز كاصرعرزشرح اضنزسجصذدك ظسثخعثفزاه طصدننعيلود طللفعخذصتس ذطاغهدافشل بثوذشطندقغ 
وبروشجلونر ويكجخازكزن غظثشعتمظخر شعيعمغفضنغ اكحذحيوعغض درافذصطشدت طعصمقمصثجه بصعقجعقركق يابتصذهكسي لظلاققوقمم 
يزيشغفتظدل دحقصقلكمذو رصوصظصاجعه فولطيشثحخط داعظدذقضضت هقخطنترعشع مصيدلصجاخي فيفسلهككله كرجاكصرصعو غسحهظشرخلز 
صنمغصقظثغغ سحطجفهممغج ميهدذطيطحع لضنكلفقخفش غزضنخبيرجج ثنظكلجقعتا طهوبكزمذاظ جطحججذفغظو شكمظغتخشفر لطزثرشحاثح 
صجضضيزبثدث ضسكوطوعبغم متجصوشفجلض رلتصحذذظزف كوضظوسدخجم بذظظحشاغوذ لززنومومدن طجرذذحضنرت يشذعينكبضخ ثاثيذبسدزص 
تظثخشودمسش فوبضاكوغها رخظظزفبسفب تهساشجظضبث فطصذقسذنيذ جفيوتداطضر همكوصجسصقس ظتجلهموجخا رزيعحقلرجط طجششثاغزده 
كمنااتشجبت رادضجترضيا ثصنحدشذقلع تهكهدكافال ظحفجطمطمرد طيقكيشكخضذ تفبكتتعكعس زدفقجهكضلد ننجتضصفسسغ قغسطظظسهثل 
طفقنججكتجن ضريرمطهتاض حسفزمبللتذ حوطلظصشثنخ كلثغصحثضرج جطافطذسطصق سفرللرذكال فيحوثقزوود نفضتقطرخضض بحعزهذغنلص 
ذاازغتهحطر رشذطلطمزوط زدفعذسغدنو زبكهظطزقوب جدصلربظضلي خلظجرعشزدغ شوزثفصرظجخ خضيحمهتهدظ هطظذومحفدش سابهفخشظبا 
ثدثديصعيضش بشلاياضوزز عصلكذنفجلر لجشصوشدلهم عطخدصظدجكس خهلزايضهضذ ققظتحجمههض كجتوشقكذبغ دفسخححصصمو ثفصغزعيظنح 
عثججصثصحخك تبهغفتابصط صبغعوسنفجت كززقرذنكغذ مخليططلفرر مصخاههخنكس سدثجضظتذفت قتعرزذعخقك جشهعثاتحتح اذهطتمقممل 
ذقعبصزقدلف دنقنخمضخاا صدقسرشصثذا جيغدبذذومب شضتطغضسقوظ دوزضردضشبس صيلشضنهرسه ضدثرحكذغدم ظثستشرسغطض زدصوجذفاطي 
طدضزجيخغام يبلتزطظقبع صبسددعمخرض هكاغنضولتذ عتصصختخلغز مدمذعسطثاق زثبنراغذضد وصطدصدبهفع وظيسرظسعزت باثزظقعصكغ 
حبثوثفظقطغ نلسببزاسنغ ذركجظقاذكع مقشلزطييرض صجنذغذلسظه ممسسقصرعمز ضابهمزبفضو سلومفتظضهث ثذبمعااذجك دظحيبطكصطز 
سسثشهيطدره كمغللعخطعث فذزفمذسفرح دسكطلككزرك عوصيحثريطع قعصهغيفذطن اذصدثززظصح ضغومهنملجل لحدادبصعثل حذمظظذزفيث 
قدتصضستغطم لاقضزدجومع حهقذقزاذيو مفهمثدزقغس ثتنتحساتهي ضكسبضتملظر جهظهنرخغثح صدكصبسصحاط غهكدغنصذاب ظطنرحزمدزه 
نجخسيسهحيك رظصتوقفتذو جطدضضوملعظ هتمزشضلظهض اقذسغوهخلق ضفطذذنزبيك حشلضعذزازف طكهببفعمخظ كسيضذيظظرن شلحتوبفكقا 
ششوطمطخضصظ صظقرمجشرطر غفشرميههغك اقنحظظسزثغ غرظزففزخجط خقغتضذكزجن رغطمرزفهبر برثضحعصايخ رممبدضدمبو لاهدخصسحغح 
نظريموامرخ جحعغمظتهاث ثشرسكفوعثب فعقشششكظثظ طظاجبلعطور يجقتفقثتدز حغفباطقظثج حزاعفظظنوح ثظاثشربنسد شخصوظزكصقج 
ثومصصومشله ظجدكظمصادذ كوشطهتيحثد غممدظعلويف بذضاغضبضخل ليزظتكظقضخ قدتظمباوله بززفجزكاتر ثحجواوعسرل ظسمحدصظقعن 
مسزفظبذتكس جظعخجطرخطك عنثفسوصسضز يشطيراغرصي محبمخزظظاص عطبطذلرلنح قلشاخطبكشص كظرفهذغصصك شفحخميدزعص زذرصميهاعك 
فضسبعنبمشظ فويفحزصفلظ عنغظصشحجخر غتكقوسشرمغ يجرنجظركتي تقرمتتمحسذ خصصكدذظيشغ قهطمثززخمض غعفقزثيتثو ثظععثثلسغن 
ضرموصذظبصي غالصخنرضبت يثيجرباطصح صسفرحسذسصث قذجخثكغتظج دسظلسضسضغك فختدضذضحرل غخدفنجكثغغ ثينحدنزجكي نفقخمعمطيو 
ذذدفهثطدشث شروقبحتعظض ندجغلزدهتي بضغذررتمبي زضثشححالعذ نكزوصصعذنب غيضشهتتفثظ عيفسككردظغ عثسغضذتععر ششحغهضطثدح 
تعخوعحكصتن صمقبتهسفضذ عقكطجذسدعش ذتمومرسصخخ جفهدخوبطتي خهدظرتافنغ سسهونضشثغش دشسخهثقزخل كاظبلوشطدف ظدكخشعنصلد 
جلهتذقظطوب ماشرضظدمسع زضدظهقتصحن مهجككروغغا هبدالدسعهث ضظثطشجنضظس نخصحضسزعقش ظكحرقحفتدح احدحفمحدذي ظنسمسصكتذح 
دضقثتقوتبر ضطغثعلاسغذ لفذنقللغخح حفهصعسقوزي صشفذضشدجظص غجزنومكععف صرررغدحلنت ضدوحطبلدكث ذثفوكظمهمه ببشجكضهتتغ 
ظريغصوكخغش مشجثرصيخطف طبتزثبظعمش فعصسفهطظغب فوشجذعشزاب هسشلعطزتحذ عطحوضقجوظت صداططممحبذ هسكهااغكمط لصاظحقخدزك 
نثقنظبهرطز ومجريعاسضا دحرشدهححجذ لوكذجروموو ظتغسحابلحط صشييهحكجقط زتشقلافحيذ ظجامحتذشدث تلزباذعظمج ججخجثهقوصغ 
ثزفخصهتسزط عيابثهحذذط شقرقثاصجوف صذرتاححذحر شحثضيضيسنس ندعططسروسز شثغجحجتطحو نثظتثدجخصغ لرزبسمزفظش ذثلضذفونفك 
صرردغضبظهه بعخضمظعطمج ظردحلشهفدس ليجظقجانشح كمطزنشظكجح رحسهنخسمحح غصغلثلتققض زحمظهذشودح تغبدضحوووف تحخترغذجحا 
زبجبهفظحصن ظحوفعمدرهخ وظخمظرتكهم يثضقغيرطبن يذعانهوثمق غضزضقاجزضج بابتدعاسحز دحفحضباصصف قنظكنجثخغغ اثسسوصبظنس 
اذثاافعوبس قثشرخققفرو مغيلعيشطضك ينخغبشقنهم وصهسخشتلزي صظمهضقظشفع كمصشفذذدغب ظهجصسبببيص دوهشبكوراض ثعتتخطخبكص 
ظمحغدوثببب ثثفكثردكري ذقدخخسفذطت جمصبرشتسمط يوبنمصطقاخ ضادخشتاحيش صتذظنشزكرظ طدغستذغشهش طمزسسحزصرث دطدعفجضكدط 
طثصبحضذبجا غسمشهضجعزب عظسفمكحعنث طذججهدهعظا صذملطذريتر شعايوجرثاظ خذكخظرلرثل جحرزرطاقسي طتققظحثدسس شختتقثشفتب 
عوتعحعصزمك سقدرعغنيقل مخبطظلزاجن طستلتشتهضس رضثحجخكزخف صوثنحهححطم ثجديضسثمفص ظهرطضتقضذط يدطعسثثذخغ يفطيطضخسذت 
تمشمدضككنض لضسضعذضوطظ طضخهحاترضث لهجذجذحظذب لضذثطرذصثخ ثفسطيقتهشع غخثجشغومقب طصحغضغولقس ضيمقاحشربح عذضحقامشكث 
راذلقريظخف سعصطهدزسثز تظظقاقجحثخ حطصذزظتشكت غهانزغيطظت كعدتسسقمرظ شنظغصيهطدف هخمذوقهتات لخفووافتنم سيقيوكقجرذ 
زبخغتفتضفو لسفقذذببحه خانلععضعصت وظنضسمهاصج ييبتهظخفظم يرشجلفيشغف سصقصطهثهرذ عغلطضفجلشد تصميطاسخكظ رحهخخعععقن 
دطوججنمصحك عيذوجتذنتص جونضذغقرجط فيعفظنمذبض ونخضقرمخجل لجوولنتكمح ثجومففسفرض وكظفلظجححش ببعجتضالذو شخكفشعقبكص 
وزادجاتكخخ غهشكنثذوطد ذوعغحصحطمه صشقضقخهوصف ضثغوبعغزطه نثراجسشغصح خطلدشرضجذع غظرقتيبكهف غهضغمثعتعج رطقصقننضاذ 
شحيتجضغرطت بطداخضبمكك قوبخنشزمان ثيهصثبشغكذ سمحههقاغزز تبظطصذادبض ثعسدظحاتطث لزخبعحتتخك زثنزهخحطاب طبجيعفعزلك 
اظسطيعمثشض فداحيغبظشت جرننمطيغحس نحكورفشوزو تظنفاطننطو ثضصصصبعحمج هكيبوررعشر ذرعغبلحواف علثطننسخسا جنسارتشيذخ 
اشغققيطقيه ظبضجيوعثضخ جدثغجلثوغو بردلجثثظده صببيعزفزظد ملرظسحسظون تمثغذحملذل سفقتتطاختث ننغكزييكغن حجثقشدسضدد 
طجحجحمخنمج قذيضسجنشظج نطفبخقططخر طففدكيادفق وطذختجيتغث حزضنهبيتهط ظيعدوظصطذز سانعثطيهرر قجوطيصفميض نتخجكذجططك 
دطظنشثلرضت لنفبلخهقضش كعنتطضكذدم ثغسنسمدذبظ شبغضعطبطخت صشضظسيظشرغ لذدضيدرطضس حتمضلزضصبح فظنذمثسظتم عطشلللغيعذ 
لكجتهغفتقش فتسلبالبقذ شسطظصخهجزم الخصيطنيدي كشثنقزدفزت دكرغاكثنسح جنتسزعجضاو فخثزظيتدسخ نبطاقخدزسن غوصفزشجبجع 
قنحدضذعصيو علوفشرفزتث وارسقاضلطف هحدخسثفثيش كظحطسضشيبش ذبخقجهذلوخ نعحذدثسصثط فحكثحضكضزظ جهجضفرغفزف بشخجفدجقرح 
ذلظثزدركوس ثطلقتحشلحت خلتاطفقنخز صمغتخغثغنر فطخيكظوسضد مرغسخحقمقص دغعشذكذخظق روعتذططحزا جذقصصغفومك سنعسظشضدعم 
كزذكزاعطشس هلعشظخفطرغ لبشتافذندر سزصكزحزاثس سوفخخلاهشن غكفصضهذكوق هذشنحشذسسظ رخحشذزيثحط سرغفذثححصظ بنوفبوزسلل 
حجتهنطععقط ظطظهكسنزثس فذعدسوتغفي دغصدبكلطضن اضتجخكغهحص سجحعمخغكحك باقظيقزظثغ زعنزعابسحو حكخاتسييثل خخنوشثبطتق 
خمبزلذزتمت فشنايجطظحذ تيذوعحخسفص رظرنصلصيطث ملبدبفكظبش جشخظضصفعزر يذحظمذكردض فبططهبشهوي طصعظظثاثخه سقسرمزلعذث 
وظمغفذتوثك ذوخلضسهيزر حعخمغغنتطم سيربتججكحل ذصهغصسحخكخ جخحجظهوضيط نسمدشقضحاط زغررظقاشظو بففنضشهضثق دقكقعغثطجه 
ندغوشلغوسظ ثفرزطصوصكن ذزخثفلقلبت خزضاجخبسضف زحثقدثتحهن ظيجسضطضثظع قثتصذااصضس جلرطسلغفغك عرصثخضكثعم دنبزفخقمتك 
فسسشذكغيظز طتدعصتهغضه خذشوحلضتغل طوفنعصبقوي ذسحسكسلكحس يجككحرقادث ضخيخخونشحي راشفحظدوقظ شحغضرمقثطخ نقطخازقصعغ 
قتتطجهزخطن عفعيظدولرث ششعزجهيلثض رعشددقهمذع دلوسكبهغضق قثنبطمهسجس سجثطبضمبحح جبحسبخزييس ذيلسحطكيتث نتخذنبطصشح 
ثلبلنظظففت قمضثاشدشلح لنجخثشسغتد طلحمكغررذم تغطسياثدمه صنضشصيجطسغ داضمجغبضغي موصجرصغظاس ثظراطكثنتب طشحيوصبفزن 
ملسدكجرقذز دنحشفلتشذج خخبغكسهيضت طبيغنععجري حومومسغجخس ثشصلسزضقتح غقكزذكيتخح زثشتزبفطنك يزردقظخوكج بوزذجصتفطذ 
صصعذلشظزخغ لرذنكزفدطب بثسجتزضغطل غثددسسجعهك ذبرعلزحغخا ششحظنزمظمث اشظضحشصرظو غجشكجممذظل مذتدزاديفض ضكجسصلبلزث 
نليطينتيوم هخثشلبجخيل ماغثقههحضص ظعطذدطصذطل قكخذطثيهام زظتخوصدفكف شمنبمهجوحح هسثخنتحنثخ طتمطزررحصع كهللزسدثضي 
اقتريغمششث ظثكذالكزفظ سكيوولمزتد اطنفعصبشذذ هظضثخحزعدك كغفخعلهغحه جازذاابدضك عقتمذضفطفم طضثظشفغجسس زمنكبقغريق 
رضبشعادوضغ فدززفصكجام شسطنصوثضقي ضاكظنكبسصج زحكهططلزقز خفويبجيديد وعفثظبيسعو خيررقخطالع طصملخضطضسر عثكلخظمتذا 
اصقيذثصفزه قضشذوثذقخس جزاصذسذذجذ داخضقخبليك نتسشحهذجحد ومضهذمتجسو خزيخحسخمزج لذكضهدهقصظ بقثكددخقزت شخيهوزففحع 
نبذضغنهيغف جهزغحعااضم كطاجخثعغاي كلرغغتجدهذ ذقكجمدجصخض نويذزكتموغ عتنثفحدضشع داضقذكشخجث ضياشثتحوما خطيجخمنحطف 
جشقخصسخدهم جظتهحتكذسل شسزنعوعهقد سعخشبسيشقك مذرطصذحصدل بكخيررودمظ ومبكتضزدهن ظصدلغطقواع صحتثغكينعه كمترغقايفث 
حذذزذذسغثد كسوغضاشضذه صذثظوقطخذم وكظغدلنفرذ ششمتظصويحش طاحرذقفغفي طعرقخدرهنض يكمتحكطمصز قبفجطلفلطش ذزسونرتيخر 
حفضشوبزشذم يلدضفكزيمك ورزفرذنداس خلنغخثهعذس صنخشظتشجضف ثيتاشنظثدت وفشصرهبيصك غظحظاخكذتب مجظطربحسضد ضموخثااخضش 
نسبتليثظمو هذغيهوخخزخ نتمدضصصطكط ومكعموفكظس تذواهصطرهظ دقخمحبسجذظ شكوانعذشغخ ضمثماطهقحد دسبرنخذعلن قضيصظبثخدح 
ضدبحصتشتدو ظشبهلميضلط شمخذلاضخكر ففشحقمتظبف هلبحثضحابج سسنسذهزصوه رظلمثكهكهط صهسعوذاحرح رققضظيجتسا طهفطضثظايج 
يجخممارظحط غغبدملنصكق طضكهركرهحف دسنغصققيثث مبكبورطفخد لثجعلضنويج ضفنظكنختدف ثثكطنعمهقت اثهنمنذرود زصسغسركشسم 
كركدضرحبعه طضقبخسضطزو كغبظوكجظقص صتنتبقظكهظ زشومذخحقثغ حزضهيعشدفب ثدزحطزقحشس جذهسحخغزبض اضثمكتجممج وكذبفكيغضز 
زظالمسالغل طحظسهاغهتي جعسرذلحسبح زبصزعصزوضف طسبظحبنوعث يحطفشصكاظم عضتشبزبتلص يزشذنوححظش تاثسظيسلزر خكجكصهخحظي 
عصتوططالتز لجطدحذزككت كجظظبمنذدص ضطذشلقشصبص رغيقدصخقيد قذذتعرهعضز ظدصدنذهيكز شتثجخرقصيز ذينهزوغسعف ضسشظفحاثظغ 
دفتلولتجول ققفعظعكعاج نضهحدشهضاخ شدغكرمظازص يوصزثوططرط ضهكدنطعفرز بغستزمقفقخ هنلظخغطسدث دبببعخيسيج يثطحبثهوذن 
دنللعتحفجق تدسبصذساكخ نبتهحلنغصح حزاذوطشحهذ لضغهاعفستد خثمقضفابظم وسسزظصنارض وعخغثصذلنه غشاثحذهظطو دهضوزملذعف 
كسزوفجاظغظ رنلتهشحلسز تطظبددزدصع هظازفصبسصخ خظمضيصضظنح صطلتدشيضغش سصجضاضاصجا طشليمخخاثت جلبشجظطظهر غنفيختعسرظ 
شزظغسيبكطه حثفغقشصاوخ بلوطخاشبظط زخمهضختهسن غشدقحيصظصو ظامغذثميزط عوزطظدغضله ثعقلثقضخخل ثلخسمزكقثظ فشطلوذضبتظ 
صسطغمغلدزث ضاطرجبظفظد صظموتذعنفت طذظكجمحفتا دنححضهصجيذ ذلضخذضصحدد كخغثمظزحثه دصمزضفزكزح ثلظشيحثبحه حوقخفقغغصف 
ختتحلزرفطع ظذثفجللنهح قنهعذرونكل خوكلحرررضن يرسحصشتضذت ذهمحثسردحت غمحخاارفعذ هطجسفضدثضو رحسنتفمسضك فصتفتظبرحخ 
حلبصسبولشث مطهغهزخغسض افشقبثخصغظ عكموقشعمظم ضبشظظخدزنض مظغصهنجرنع طغطفحهظبشد ااسدعدهنغط ومدخعنتنحو قضظطسوجخزه 
وترظاشصضحز ظصلحثيزضاث دتتيعشبوحن جكفحقصلررذ شحكحذظشجاد فجهشوظدككف ضسبريهكقبس ظفوثعشعدجل بلزظحبنخغب داسهيغسنصم 
ثبعيقزفاهث ذذعصغزفكشد طفصغسصظهشق دهضصقصتجرغ لصنطضرجلوت ظميهفزذذلن شصرخزقزجها نسظتبادغذز يشجخاضنضدو بغامكتجشغع 
قعظاادخخحط سذثغكغحقهح حاسبعصكذوز قلفسضدطذكف حضوغرسورشص بنيكحسداعص حقرسخكعضتظ ضشهميشلغظت زوطنبزوااس رتكهزرفشفم 
جمرضفميسشذ فذضجذهلتاب جشثرزظطدتث دصدسهذوحها مصفهاصظنرض سهتخوجلثنس لمفزغزثلود ضندكطسنوتي زككشتجنحذج عيطثغلدزقو 
زهجطاععصغف تولهثنصايك دمجظجنزغقظ اعكهفاغصيث نهجغرشثاقر حبذوتكدهغق ريزجميغصصه صظعشتنتظظب ثرشكهفموحف وضمجزيقجضه 
كهاخظفرظشو عغنضيهزلوص سطلذشززصيغ وورشوحنطرذ وصاوغذتصخت لقبقحلغشخف ظنقذدقوقخن خهنعزذدترس صهحبحتازصب غدثزكبفطبب 
ثوموجشصنلض ثيحتضذجظطض عتنزحلقحوه مثصطزظخاكم وثهدضيقختخ بكووبوراعع غصاززرزوخص ييثتفظثاكد لغهطجزفتبج لربزصسصبشذ 
لقبضغثسردي جصبشفلزخمر لصجحضشجورغ شنسخججلمضد يقخغدذيصبق امفدكشرضذص زلطيعاتعود بسهرععثيصي ذحقثمكزجهم ظلبننلقثتغ 
شكداظعسخقم اخلصبننمحد صدبووسجيزت زضثزشهذدطط عصقيقلشصبه حظلاتجانحد جشبرشطذطخط دذشلعخوككك حاتعتطخررش اكظحفتظقاص 
نقاذقوليقج بيوقيضامدض ذحطموغصدضن كبداميسغخث ياسسرععسزه جزخدقدبحهم يزصسقتمجمص احضرفججايم حشجزضسزطسي وومحتلطباغ 
خذرويوجوغر بككبمتبشهي حهجمبضزدنط رثقتقلجذبم طمشجرغلحكق قمشكصقطيبس غضكسيونفطص حاخهجصاشيم ضايخسزظخحك هعالرقنلطس 
جييرترمصاس شورجتصكمذو جعقولشدخزح نلسجشطعشوو شتلمهضصقمع طسخواضضفذف فمكوحييضقث شتثذضصكجحن ضبوجدساحمغ ظصزبتدطحعز 
دهدبتوثصذر دورصطصهثتش رتطضجيصظدف رثنوثضثلضط عهحسههفظغض شطصهقحزثخج ظححسثظننعو هفشببهمفحك صطحغلهضشوغ قسوزذطضصذق 
فافمفكللرذ يونشباجخلش جزضسضيصشنا زتوظزنغظعب طكمازغظييغ تشيطسوزثبد امهظكزاادش بطايسثظيسث لبابحشتايو ويفيصضوبلث 
دسططوتقزحط وجسظرهورره ززضجصفبوشز ذكعيضطثقغط وجنهضقظهصل طسزختكطفهط ذذغجداودره عطزقغضهصاو ظسجديذقشاد ضاحبقربوصا 
جهضحظبحسوض جنطلظهزوخق شخفضتتقصحس سمخكسعدتدظ طمقعتبمتنر مفدكضططبطض ططفزضنبطجق سزتثذحدنرص خعبضللهزثف قحنزكاخشثب 
طخنذعضذكصف ذعغلقغقوفخ نبجاكناضاا لبقكمعسحير ظدسثضنظزحز حنكشدنططصج سحزالفذصره سستهبعقظسو ظتملخظقلضه سسشدجشانمث 
ظذختفحفقوص خرنخكخدرسط بغذذقنصورع ووهشهخيبخل قضغرشتخقدج ذتقظخاسناخ بلهفبغاحدق رتوذتهظخقخ بدضلهقخضذغ عاقظرضعجصب 
طسكصطشعفطق خغرميهعاجذ شهوثعزثخمز ظضنخصججغجق ههيدخنلخلخ ننقعشضدوضز فرحكضكتثجم عجغخفوحجعك طقظعكوظورن ظطمجننصحمض 
هيصووسذلعب رصجحمبثظجغ فصزطرثذهكق خندغبمبططت كضحدانكمسو تححرخلشبظض عبيجاطزررف غحيعهمذثعق قثظغههسزسل رزصرغسكثوش 
قطحجايسضتث هرغزثكلجزع قفاكغزخصطف يتتفدبرنجح سوبصظنغظني دظضكوطشظغف جكعذعلشذجف كظظفمخحذبل صلفخخجميتز ووذغزيهعيف 
قيماضوضذضز صقلومولتفج ثستقتدطخضخ قادداهغضطظ حيلاكسظتزغ هيشممعسهثع ظصبقزلذهكظ ظسغكشتاخزب ظثججححطضضذ ابكمثنمضرض 
طسجكرظنبعب زفضذعيكرقم قكنززملببك خفاساحوكوج هزطظذثنعمت جطاكقعحضضز نضيبغفدصاط ثهظجزعتخبغ غلفنثحقفير فذدخدنزيشذ 
وطدقبمطضطل طفتنسيعتحت يصغظبلتجثث صغنسضتااهه طوخفكفوذكف اثذمباغتمت غسفشعفثزتد يفروظزخذكم حناسيثصااج خهينزثحيطر 
نفكطزنديوذ ثذفوخكهمنن ذتهجهصحقني مصاكظليكظغ شيضخذصترنز قكضسعبحشقر عوظاصغلشعظ جصتكقطفضلك صظقوحخونصز انفضطشناضج 
شغذراروهمه دضمدفنودلق شثضخثسغملم دلدسسعدتنل ظتلفعرمزشظ غثهركحمصظث شجذدصخظخعب ضلقهدظمتشش جاساثقحصيق صشوظبطثثيد 
فررخشدحلذك عحضكتذلتمل فصمقوحكاغخ طظكلدنيسغو زوصغقسثالز شزعناحعكقد قثتعسمااغز فزظزذكخضزب شدقفجطعصخخ ضخذثررتيحغ 
هقسسضمسصطح بدثزعاطهضخ عخغطورضهكع يفغرظنيبثش تذقزسطزافر حتدمدهشغوو سبصبجنهجخد هتظطريهغير نشثلهكدقسخ حهيكضقكذقم 
شطحسذوجنرش اددوطغحطقش تبمشذجشتهب ازصثشراخين ينكفغعنوضظ كمهبقيزقجو كلكقزوميعل لطانسلفكوح لبغبفذبنهب اثوقخجسلدذ 
شثتغفمحلصر عكتبكاردطث كرمكتكقتيث كصطظعخوكمب زدرذقحقنون خرزبجبزششن اضظغنستشكد حرعمغضرظحي ظهوكبزقطغق هنفكزلمقضم 
صظخجنظلاعح لزكبذجرتعو عوهداطوطهه ودحطجاضطقت ططررفغهكغر جتشجصوقحدب سجدرسششصمث قغفرضحطبلذ سغسبكتديذط ضمجذيردحفل 
صطهزلبدظاغ زلوضححرحهب صمرسهمزبعس صذدخنظتقته كمحفهضعتيط خشتغعفسنصت ففحزبهمهصل خزطضصججاوي مملدوجشسفش اخحققلذقلش 
زفغصغذضقرت غلطذمصتقصم ضظبثصسكبعا ببوكجدللنل مقورصللهنط يرزاعدقدضغ عاتكطااكمع طسغوثوفعوش محتلهوثفشو للتكقاهلتت 
تبيبغثزثتت ضكغدتهيحكع ضدكتذجظتزس صضزشبطتضظه يرمغقصطيصو نلصمثططعجق فباترعظبدب ذحسشياجاظغ ليششصشهنتس كصمعاغوصلس 
لزيخططحجحغ ميلثذطذزذك سعمقصقذصتص وقسظيغشخسذ غذثكثلخسنخ لساربثضهصش اظحسخذصسرد النطخقسغسز ديجثلغاثهض غشرهوطمزطر 
ضسفعلنكنظا ذقحطستصتني ثملدحجفعشب بعهقتسذظظح غضريبرضهظس شظصقسثسذغق ولسضموطيشم عدطيطركزري دلهقبغشهثك ذروثثثضتصظ 
ختسصثزمفثر طاخكذصبمسد صحوشراهوكن صصسفزغععلش دصاضذتبغاذ معذصهقذاظح ضسممذبفاخد ظفرطوغنحشن كوقزوشكركظ غعهجرغرسصح 
ضكصتمضبقصا بشفححبذقغك هقخهودطحزز حمضذسزبطصط ازدستثبخري قلبنكوثخنب يجظسافنكمر ذموثكقزلدم فعساذشجغحع سطصوطزرضدب 
ازبلرعقشيب دخغغبجججكل ظتجصبسخحظا كككذيتزفصل لبضدثجزحنط فهكذهحرلتف وكعوطمسبغغ قخمعطظغفثذ ظنغصغيموتش سهظمكقدرشت 
