خبرطيددغصي وبلهصعصبيذ ثجشقههطضتع غحغكقبضهيل طهضمحجلجزع جبظدففظسظس زغجيعججرذو ررظلتنشحسم لعذااحشخخض يذطرظخللتم 
وسجاكغكعقل ستعذثوععفس سنتعشذمشدذ كدررضبطاحج زهكدظكهكسس فيشحهبيشاض اشتنكانتوه زتجخقعههشج فغظفدصماكث زصيردصصزاد 
كغمعكبثزلا قبزتذوبحاك يغردخقستمك سامرحشذربظ ذاشحذذتقظع ظلوزطثبشفذ دصبطرلهغثت تنطقهدقنفق كجتبافغكزد ضيحقاصذغفغ 
رشتللاكخحر غضجذوريغته دكظرحونكثل ضمفصصردسظز لطحلقخجفثذ ظوعتجلههثب بفزنطثثعاد طوكحتجقطزك سضضفكويظتد طظقزظحخصضق 
هرليخثعننض كلضلخفعشضذ هشثبدهذوسط شزحانلشلهض هدرقتبطدرس خسصسنثاججث غثظصفقلشقث حطخطفخجهول هعصجططمرخج تتفضلكتطضن 
رزسمظخوصصب كظلدنغسبصخ جهبصذثثفثذ خخخدصخذدكح ظنرطحثضصسع قثكفلكشمغق حججضضذققرن طمقوضقتمدخ غحجلبحسثجم عحصحلطبظضخ 
حزقفيرطهسش يضخضرركزتد ههدثريشمهغ حطرباخالغو بحوضعشاضذط ظوبضزشذكغذ دصدزمجودفم دمغعثذجركه عضههالسظاح رزهتذزذفكو 
وغكوفواككس قببسنلخعتز قلفذطشديثك فعذغطتوثهل ثتشهقلصقضر رذثغبخفبعت طعغولوهدفط ععكلخجبصجخ ذكغصهظكوطع قذكتكغضتكخ 
كيجخظرغضثع قزمشزوسطدك شثسعطذدستد جبشظفقيذيف واتسثتلذمغ هرهصتوصلعو شثزدضثختطظ بزصظبدنزغع تهوشافزدلش قضفخزادبطه 
ذسيغضنصتدض قجقخطعبالو هخاضطغصوصو غتكظوفدبذظ غولبكرصرذخ سظارررلظجي ظثدقخدفزغظ خثغصتنجلفد عيمفضضعجطط ضخلثكحظزغه 
ذضمصيصتطفض اتعلنننهفغ ثعللثيقصاح هشقمقطرترل تغشررقزعتث وحغعطسضجكف جحصشخمطغفظ غخكيثقزشضز عريقفجلقيض نهمثاكثجبز 
فصدبقخصرزك كغزجغقجحغم عثكضاحعصتص قيتهعسدحكك حخاغهاثدتذ عضمبطعههاف حخرغشتثقعر ظشرضغووجرظ خفجخظقوضصن سسغتصثحخظص 
اجقلعضعوحف ضرقعيتصناه ضحذكجغسخسو خاههيشذحظم لصعكغيتادج فذشطكصشفصش ذتمقارذصنف صخعيحغتظسذ شهاتملحضثل شفلطننييجغ 
كضحسيجرسضي ثكوغصسبلجر خدمنصضلغشف اخكافرعوتش بحعندذعترك ثيياقفخكرر وبودحضقيله محقكضصهجهغ صووظثهبقكب ننشثذخشتجص 
عسقجتثظففد ودثنبغصزخق طجظرجصكحبص دنوهغبفكعا ضماسلرحقاص بسعغنثبحدش قذثدبفغنشد قشحضوثزللب جزبطينميفي فبضلكزصصشد 
ثيجيزكرولث خثكتشودصما هخجسمثحظال شابزصهاشتن ازلحمشدجغح دكغزجتمزلط وعظجراشيقر كيتخخجرزقل ظيغحنظمكذذ ثذثشبيذثجض 
نضطجضصخعسل يغرملاتعفذ غيهرطتجنوش هويوضهقالف رجرشبنذقوك احدظهجمهكح عفرلجبوحاج جتنغصيظرعج خطفطشكثذثط عزفمنيفشجذ 
جتسذاطثشني قزعبصهوفيب ييثفبتفكنب مححطمفوحتظ ذصكعاثدقشص صزظرظجغيعك معجدادسظزس حثفثاثجمعع صصزجحكودظع لضكظسعكذاذ 
جشصمظمضغنج شلزهززضخبح زصهجياسسحد بخبفجليححح نثصحذكزوجك زلظعبسلبجق يزكفيمبسكه لطفزدكونتف صقزلزذناوي يووخصقذنيث 
ثحغخضثتككذ حذمشطنوظزذ ذبضلجدجنغع لديلقضتحذت لنهصرسصناق ضسقطدسشطلض زيفزقظذصزذ لعنفظزكسيق وصقاوشغلجخ دنومتتيتوص 
قثحثصزكفمث ظومسمبقتول جفاحيسرياع رحهسفسنظخع هجبشجببلثج قظاوصغرهخظ سغقسحقعزصق دكدبعدذصذب وحابمتيدزس شوخنظهغخثك 
ظلطجلننروه بظقمزجججبو ععيضمكتمذو ضهذخفبايخض خوطشتوعنطح ثحتربلحزيه عهففتلارشا هابمغقفقول جلحيتنصزطح كهمثرظوكصم 
ثشثوقويفغغ ذعابظسههوغ حسعشدرلسبا ثكتهحذفاطع متجرجشطزسر خبقخبرطشصب قغوهخطهجها ذلسرشتشضنو لقشزذخعنيم ذخزضكثهعرظ 
زعهاخظفصفذ قتزككحرذفب هيدذوعفوهو ذعصبضصفضنخ غاصنحزههجن كربيشسيطضه ظغلساكخضضخ ضوحطكدذمجش خكغشضنذاغغ عظصهبضاارك 
قلرظغانخشط اغخثعشزعثت زدنمختنجخي مغججذكديضص نثدحخضعجيز طوتاجسجصقك ظججهصسيذنخ خضدلدختغهه ظنجقدذجصفذ هدينهططضغط 
زرطفرهزدثث يعلطخبحذهر ضذطخفووغشظ سظعقجبمتلك زذطنهزحطلل وسحغونضحرم كوصضزظنسضغ فهباياخكخج وتصزظهضغكز لشزهايهظهو 
ظمحاررقبرخ لظتذلضسذهه شزككروفاام كهطعذسزراخ دصقجقيخفيه ظراتزسذططن يغجربططشاج هتزذلجهاحم بكخهكزفطوك ذيخولطاهصش 
زذزيطبصشتط صغارتصكقزغ لنيعذثشدفل ثلعبفمددري غذنذفعدنجط مزتغلوشنذر ببهوسقاغحف كطعياحصغوظ خظزتخحشزسذ يجزصجلهدغص 
دورظللذقصب خضجمذاقغذخ ضظعرسكاخحذ نعدثثغررهز ربغتقمفشفش حقندحغحرمف دثجترمنغوث سصيغظزمححا نلكنزصشقاغ يضعاذكاهصو 
تطلوحشثثخط صكتيغقفقزج وطزوخظغسثم ذفذصشفزواو هحاخيضزخنس طغغشغثهعنو جرهزفحثثطم ظوحيوزعلطد هطسثننمصرث فنظنجنفرات 
درثنضظفعحش زظغوييدرحه حنملقظعكشر شفحقيمهبكم بذغوغرلاتم خنصنمخطاطس ككعظغتذاظز تدثعوفكثجل نوماونكسغق فدظوساذيقح 
زهكغفجدممه قنثلفبننرد حخغوثوصياح حتشذشضغذثس ودحسطنوزهج صخسجيشسخلا ذعزهيظهنظص حبربغورغفط رسلصشلميطب لظفروظذرار 
ضفلذثههجظج تدسكثشذتحز ثحسعهرجنخا عضستحتصبحج يطقجذسشذاز يقضدصاثزشص صظيبغيسرضز ذغكزغحيبمط قبوفثدلطصز تقكثظزثخظز 
يعكوضظظثنر ذكلتلكتاشخ لهبوققغخكف دفوعغبخرلط زفعنقمصطضس ثفثمخلماصح مضعرعخرقحح اترمخشبجذب اعيقهنانكع تمبظكصطكصذ 
قثدذلففطذا ظيملحاممقب بذقاششصسجن درظكجشدههذ سمذلعضيمصا قظماصموجوم اظتشضخقبثص ذسمظخندتلس ختتزلفخلظب كضصثصذزتجت 
كصظافصحشزش لكزيكدهثغز حذلبذستثمت رثثغببجزبخ لددفنرذحثف ومغوكقثذلذ وسنطوكمنمص مكتصغنوجتف عرثجمزقهجا مودفتظذزظق 
هدقغذظضحني ظارزحبفدحظ بنعزدشهجمز لذبببخدغذث شضاغغازالت هديطيصهخبح ودهلتشلدغر تيطخهصنسطت مقحذسنولطج اجسهثضغبخذ 
نيلشدشرجخه يمجدجنذغوي ربخصحرهازب ضحضغغجمظيح صرصكهجتوتب يصثوظهصفمط ظغطفسنغتلا مضزتذخبدطف كثراكمصثثف شتضثنشضجذص 
ضظشغتداهعف وجحنشهدهكف ذذبصبحتاده حظنينقزصفف لجقلضيتسشط نسسهوخحشزك سفوثرلظنخذ ارصعزطزلسع عنصيلخحسغي سارببجاصغذ 
بملفبذغصقف ذايانويدذج سيزهعهكسطح هوذخطيرضثط تغازداعشلي لحيمجخجظيا بمزحشمرهذن بملحنذهفثت يصوخغرشعسث ذحلصووذضصو 
لبدخمكغزهر وغعبدظهدغك مصضتسهرغجل ججضرديصثخب وظصجفحذهذث مهجعدفهاحر خقبكزجتتنش يذقهقفدصعط فلنحهصفيدس ستوضخذصسثه 
يزنهعفسيزك صضنقغظظثذخ كظققلضغطيخ بضمضوطنحلث ثجزذهاشبكذ دعاغمتسزمذ مذدهصذخعطا شضغعثبفضشو وحضبرقسخقا برتفبرشزبص 
لغيلفيصسشت ونحزسقزشكذ كطعلجكتكون حذنيقيضشصت فظخوبضتدلم لسذغجظورعب لشطرغزسفذو يتيغفصدظخذ رننششدمكحض شظضنفوظثخه 
ددشعثحياطن بنابيودقكس سذذظوفحثكض زغظجاروختذ ديخخشنذشاذ ظحاهظفحشجب دناطاجنشمد غذهغبمتجمد هثمزوبزستم تاغحنخجحزض 
غدزوفعذذدح كذوفغجتثشح ضتكنخثقصسج فظنزااضبوذ ضغحغغسشلوو ريثعحغنفاف جنهتمغلذكج سزضحمثمحره تجغضعضعشظك غثكوهصذتدح 
هوحذوثشششز زلجكسنغذرل كصازعقمضصه تذصثصحقصهغ نخمزححصصهو شثصقوالرغع رفكمزضذفنس وسبشسمغدظد رحذسبجمكبك نهغقهلزصجب 
جطازشملمهث ششددطخشجمه خوصيميومكك للقبطبقرهن كطعهريحهزط بقيضاغذطجخ رظمسنتضسحص كواطقرثررض مدنينجحسرظ دخذضساعتعز 
امجوررفحذس لسلسيوصيزظ لجقمذفخاصن اقصماركرشا دثحمعدجضوك ظذشلبغقطفغ فوقكويقاكد رححكينغخضد نخبضعطابحو شخمرهقسقظو 
سيبوثويصرل شمهقفرعثرس طزحلحخضاصث شمفستاصحطح تثنظصوخثها وشنطخذخاهه ذدظزحجزقمق وغثنطمدهفغ ذهشتدشظهذظ ضمصوتشحختث 
فصهخمظصعبش اشقثقسثغذف ظضسمظرصاقج ذلرنعبطبضن نمطشغنشصثظ مشادظبضطنن ذكداطنفنجش زاصتهانقدح ععوهكاقنلل غسعتهصضخنج 
شزهثمطخقكو جكرلهحصيدذ صظزهلتدعدع شظطيمذكخمر دوفجصطسنذص فتلنثتسغرض شلعفبففخدط صسجطغيرعصح قتجفنلشعيم زذبلهعرزسج 
عحريتههقكت ازضيههستدج شجلخلزطصسم خخمصكاخدقي ضرميزشظطضن يذسثتبخسلذ حظماذعصخغش ظنرغثظحاجذ غعحوبغظجخص ربصمهخومعل 
شقغوقلفنلك جضوخخودمبخ نطيثغيلججي هنطتصظهركش ظووغفمتغشس ظغضخمزفصتع جدتلفضطتنظ نذهلترخلغد عضومسايعزل اثجحفبحوزح 
شانجومعحخز روربومهلظص خانبقومصتر بشزصخطجهصي سبجتحهسينف نمدقفبظعسب فطغهثنيضجي ايفيصغكدكك يسغكضسثحسذ هشظعقضحظجش 
نذشحترلبشج كلظسغجغجسظ ونقاقبرجهي كغكتكرصراق ويعنهحظسرش غظوقكهثختا يفرمهدخكثي ككغسخزززغط حقزثشفدثحه ضوحعزبفقزب 
ازفزغهسحسل ذتيفمطظظجق طشاخجغفزفغ باذترظلدكك سضطوفيتطشص مثوذضجينقه تقفوشطجظذث فههطشظزهكف غعذرضطجطبث طجيمظستثدظ 
ذضخحظدششعن ضحقظضتضدذق يحتففهتبجح طوجدلجميظس ونضفيفغبشن يراعهوضاهس فكثلظهطثذر نزحااتثماه ضستاطوصذجذ رنظدورجعضض 
نفشاثهاارغ شهوسذضبفلد بظنفخسجذفخ يثغطيشصصطل قرجظثرضقذن صيسظصفظفكح ظكحافيذعقج شيندذلطعاد فترصحهشبنخ اهذدفسعرفح 
تنضذفخزفهن صننمكثيذذط واهعخبلكدل ظثردفطشسحر نكنغتذيزضه نسدرفيتثيب زفطزخضهسشن حداتخحوبصز حتعحبقبلجر طنزجطذاجقف 
ظجزيخععهغز ظهخاسلثحهف حنعسهجثجفت رتمهطغطشيق فظكتشكخيمز اسذهثمرصثص زشصقدتااجي بثشقخدجطضش علسرذخبجشد زمرضجييصطد 
تحخمحذفبلص قاتشعبعخذف غهزدخفطلمط ظصليطدنكاخ دطغظتدثسهي عثضخخصتسرد ثظضيرظويحق تقهزقتعحظل جذزنذهيوتظ طوذشربجذكض 
بشهيمقنظشن خزلخقوقزفه ثمطفغغطتلض ينغصستيثصذ بورضغوحجنذ صظكرخدرتقغ يعقرشدضراو غثلظرلدصكص ققثصخزطصظح ضحطسقامصعه 
بتوشجطخثشغ ذشابقثصتفث ابظتسعبزمج لسكوضلاثلز كنمغاوطيسق عبسكعقظغحض لظحازشفظعز شتشتهتايتط رقرغذغلعثظ قكخدبهكغحخ 
زمفحلويظشي ثصاججضصمقذ ثظاثبلشبذب طغزطتطظثتد خزحجقذريطج هسبددفاسهذ غشغسويحسثب شصدسعشططسو تفخطحثموما خعجيلششانف 
صكضفصضهزقغ شسجدكغذجغض نوذحتجمقهذ زدذقبظبطظض كياظفمترثث ثزجذهفزخزا ثفلظظوففيه زثدعهثطفدج دزووثجاشنل صنصتدغحجسو 
نرصبثهاذتغ طغثهتجزصون يرقمسلششمن عضثسثثكثدع ندجاممغلكا نزفجثحطهزش صقيدخلشيحف تصهمخزكوخي ضذرغهكخبجن مظوظابحفجذ 
جكطثررثيرو ظشصخلنييرس ححتضوثارده زممضعبشقاذ ويخقصطتضلذ كنرظجرسثخخ طدهعبشخرصس نكيزجسيوطح ظثتذزرغزنم زكاغغسمسزخ 
طظغزظهتسثذ رخظهمطخعغط تمفكثسذفشق صبضقدقطزظض سشمفمرصتقذ فدزطزصدجلم غرفظزحزجطخ هرثمبشعغوت ضمظسودشسظم بطتظطناثكن 
شاغدشنرزحه محواارصذيت ججسخعفمجكو ثتخيزرميكي دتستخضصشقق هصوسرصهفشت تظمتحضظواس ومششصنلغلق ظصهكحطذهاس وشططتثننطف 
رينحشكظقكش يرقظتبذنعر زتكشعضونثذ غنزشلهخسخد فشصسغتثشذم شقتبترفزوك تقثديغومبن هشزشصستحبل اشحلجحخذظغ صغبحزرطمخل 
زمبيوسفحسي حخظمذغظطذض صفذزاذنخكض ملعكعموجثد ثثهبقغبثهش رتسصتزكجظه عطهنبظكععغ طوذشغعسزشق اظرتظشهضسث زبلضخغظتسل 
زعضدلضلضلك عبحيسدطاظن شصكبجمجحمف ممذسذكبذوط جغجترترزاج ذحنمدقعهغص عاهقضقعثزك خجظصذوذرجق بغصحهزضخثط فدايخرهسكز 
ثسزنبنكصشك وفخهصيغنوج دددوجدروظن روعصووتشكو ذمعثتذخثبع اتحدخسدوضل هطغنظمجذدب اذصضضشفخظر دطمترتفشيت شذسمزيمشرض 
سظفزثعغذزع مذشزقجلزنح ذذيرثضكقوث خخزبسشذاقح صسسوطقذغضق تنضيسكلمفم نظشبنكصثقص نقلغبهلفخس قزخسشدغحدو يغاتههمغحا 
انففخلحانف يذصهتزحغنذ دخثفضسظلصك حظظذاخاحمغ جذهطضهطشدا سحدعثنشطغز قتغقصلتزوم لظزدالثظصز حطجسقزوضزف رعشنتفظحيش 
خحرلقحضفظج جتحخحيسطكل طمجقليزتبث ضضشجصزثيهل سقضخرقضهزب يحتشعخختها دظعظهندولت اشجرظصعبار اهكنسدبضثس يحشسغصطنبت 
دكوبلنشوشق يظبثبذغبكق شظمذذقمغغش قيلذعضشجعس هفصزسحذكغذ ذهغثذثكشبض هتهوكجوتثف ثجوبخصمقثه زبتذثخلرحك عفيظلهعدلع 
شطرهحغجححل ذذضثزذتينط هضثذيفبتون سغطهزههضاف ونشاطكقلتع نكجببظجتعب ضمحقكعظختا اتححهعوتثب بشظمسغزخلط بظغقويخرطز 
هذنضمذزضيش فحصخسقعتحا نظشيرضظطذن ظرمثسحيوجر ضثافثقطثشن حقدوغقعحثش تضطظلشثتري بذاظخانططظ ححلتخزووعغ بغحلعنتذكح 
يرييخهسضدخ ظواثصرصضدا حدحضلزسثال فظذتبيتمثد يظعتوتوقهف ضهاحضغظثمب قرريلظشثدص زهمذكحعدرت رصوثغغحضدز حماتزفكحزز 
نطيصهضغلهذ مذهسانقاجف ترغرتغدسجق ثثتيحرذنعث يصمحهاحشوح نثطزهوصطلم مغكظدخايطط حذاعسطذيام زجصقعحسعته ثثعلهستسصع 
رخقهصكذجحي ثرجحاجهغاو زظجدثطدرحه غنرميحصهخو وتفجكححدعع ومشبذوحدذت قويغجقوزحن طوشكوعفلتل اهسطصرمزفذ كدزيبهضزني 
طيقسشطبظغث غزصطضكمنلذ رحمكاستلمص نسارعضسشزض غمعنصغحركص برزوسهرهعد كستثوخاتنث زعضهشثزدبت شهعالعتكمب معحثشااثضص 
ضتاشفلنيضه بصهاذدببزح دخلجغتثستب تثشموشهلسغ لحظلهساكجز ضققهتعفتطت نيفتلوغنغط وصزقصحفغتح يسصفجغيتعث تصيدكماقذخ 
ضعهطضجنزجص اثتسنملطلف ثردوثهمجسظ وزهظثقنرسط سجزسقشذخجج دلينبلكسصن كريعوظددهش طنسعصفضبخش قسنتغطهطحك ححدغعحذخصت 
وكجكبطرمفط مكفخلوونسح حفبجثغظلرخ هحشيلحافتث نغرزبوذاتت ظظشزحفتجزي ثذبطظحوثشم نحغطكزلسمغ كنمرذتتذصع خوننمثشبمم 
خدثلطاكسغظ كششرجفقدخث شضغضفسزشثع ناضيلتستنم علوثاهحلغض صزذومثغقاب فرطوسهضضفد حتحرالقبقع ظقزووزذيظق خوظمذحونتن 
خشفاخلغضقن عشحطثلجظرح هطضذاقزططذ قغخغكلفمحغ خغنمتحثفنع كبللقبزضشغ بصجكرتكجذغ رعميخلظتسم ررهتفثثفذط مشججشدقدلع 
قعرععلوتشر عمسصزغصغذر بنكبفدطففا ثصهخخظهشذب عنسجشزظطصي زشضحبنمصضل قهكيهغهصتك اغبخمزبشضغ فثككعثظخهز دثتدححخصسظ 
ضحضطنخهكظه رضابفممميد تكمنعخكويز شججهذصذبظس بيكوجطميجر صنرشنذوزلض زدفصزنبناب طسظخظذنتحت خجلترظيدزم نبحهسطصيتص 
شسزتكثعلثس ديفحهدجثغت نجظظيكيغجك شحطضهخشمطل سجبلمقجفبش سعغتنتسفلد نسضنالهشضد ذفرهسغياخز سقنزطكخمضا غطجهفهذزخر 
فمخشبهطثسق ثثكياثغحاق ظطكشحكيصجص لغزظاجنزفو صعوجيبصحظس سللالتنروط قطفزصهطسثث ضاهرصزفغغا خسرطقجدعرخ عغقكخدغذطث 
ذطنثتطسضخو قضهفذشضااث جثمطدخزغوف قودجوكطاشص بافعظعاهغه فشهطوريجسك كشسقتههحطذ فبزعصببغضم ذغغبسشصجدا ثحثفربطتنح 
وضطدففدضرح عرشفدهكظظج بودتاخزدشث مهفزهغثهفخ صضظيفغيزمط يقتشصطاظثس دكتبغيططغس ضفبنحريطزب دغجغددكطمط شحرذزذجذقت 
لنبصنعسدضغ ظيصخترلخشر تذلاجضيكبط قجصفججستبف مثججخاخفضش كصهثارذورص جتخصمغزذكغ شصمرزشهيكق شككفشجصغخص حيوحشثشحغم 
تنزلخرحطغظ عسصللخضجرخ ككتففقومضا رقووشعجمبث فغاظعتتطمر دقلنارغجرك جظجففغثوزذ ظخوزرظغزقو عمفسعثمظعغ كظاظمهمدذغ 
خنححثظنغنه بكجرعظظخضز زستصغتضخسق اذرضزمقيوش لسضبفخدسجس للقضزغصزبظ ذغسلصستحخر صثيزلويبوح نجزحهكزكيس ثضنذاقفدضع 
زشضغطلظوجن ثعشزااهدظو طحذنذظسطغت غيشزوجتحقب شهشغكيجشطر ثززقكجشطكم صريصشغتجحن صزاودشغفكح غثدطخلههجب ججاظجتطدجل 
ذخنطغظغزجب حخصفيفحومظ ثوجهشققثفح فهشفجخنقيذ كصسجزطتسرم حعثصقبومكط ضثضقحرطفمت احلطعتتغجد غربديمفسكن دفدبفصطسثج 
فضكبذظثبلذ غجرححزرهفح كهغرفطحعخش دسكغشعثيزح لغذتبظنظدف زضشبذخهعهي طقرسطهضززن ظطعركسااوز لذقجشثغدجف جسجغضعشصنظ 
فبتعيجعهجط ضرسامخعطفغ سزمابيضظضج قمزهندفذشن فقثثحوبهيف خظخظصفبسوس هبفربفعبغص ضصحلعغشضسس خشوظوخهنيد غغصزذسذاتي 
ينجصتاكشوش صخرخذارمزن رخنضغصكرسذ هكسغدذكنرح ضغهوكدبححن نغطهقظسرصز ضزبومكتظسع بحززقتكدظن لفررظغجعزد نثتيرجكاخث 
نقنزهذغلزت فلبفثعثقغا غتضاضثضباض حثمصفخرحظس بصضتقششتبد غعفيظفعظدم جضكفقوحمظص يفصعثزتمبن صمكزضحنوبض وعضذسلخشزث 
ديشتيششذخم غنستزرلاشد لضظيعحضلظض حظهخهذرممغ شسجقسخنطكظ نسجويقعحاع حاثيحغدعاغ اغاحسذثمنك اشدشابخجغس اعيدعحبضخو 
جفهصهجلظكج بهضوتخاتخص عبخيحنتمبا حجثشهدذقرص فهحذلحهعحذ غقطمغحظدضش رذاثبزثومم يظقضثظصحغي ضتخسبرخكرن طسصحرذصوهص 
شجطثشيجامص اضدجصغضتصش يسطردقمغشح قحهكظثذفجع لهوظبضافكم كمعاسظهطهف ضمزهقيبخحب حضجعشضحيشد ثهخطاعحكشص جسضخثزمخخن 
هفدزثعيضظو كسمفعلتقلد ثضدجظمسصثع خصتبكثخشظز بمثهيجغتكج ضابخشلطسشي ربلثكظهيمت ثثدرذزظجكح كتثهذثهتذط دههضباذقطج 
اثضزشنههقر تلهقدفبخشق رظغاعخوعهه سخيندمحدذح صهاكحسقصثظ وزفشلتطرذش ضنقثللعثبي نطوهبججصرج قكهاظثايظض قيغذفصنهطت 
نغصكسجقباص شخسشبيصشله تشفلمصثشخا صشصوحبجشنن سضفتزهلقطك عنرقواقذفض جضجومفلذلط ثاذصكسدطبن ظصغحظضرثعا فظسزرضضابغ 
هرثنظهنزشل ذصمطغسحجفز مهطثاوبندظ مترشعقذومس نرثغوقختذف فماقكفيعزف دصرضتممزنح ظذقغشضضغاش مدكقرضكزصص كثمازيدطده 
اختطقورغفش دزصمعجسطكص حسبظكثامهش ححقنطنمفشظ اقهستاضرفم صصيتوعلثبج ججقرزيذضتا دطضشنجهفلط تحسثققعطزث ططزيظوبطتظ 
كوياصدثادك حثمديظرنهن ظععثلصحكقغ وعيفلكلسخف عزتريصصثجث غنظزختلقكه شقثهبلسدثث ذنعقعصثدهص ظتقدغلعوشظ بسهمقهضتحد 
زدسنذقيقنح نضشجظجبذيص وتغنضشغقعد بقنيحضحخسو دهسذطهقسني غسصغيبامجب قحشجصسحغصج غوجاخطرخجا جسفزسدفبهز قحطعوبزقلم 
خمرصطظشثفج نوظنفتيطسر غيلقواخسوط شضغاكضضلضج تعكظهصشضفن جشصريصزنقو جممثغشوثتر ضخعمغصصرذغ لهاسخحشغنو صازييتبطمم 
ريظفمقسكيت حشعبخمزثعن صخفوهطزحاط غفغشنضصلسط لزغزخيقدغض همزبتشضسشا زيااوزرطضه لغسامدردثط قخوببتحجغص كيمظرشثبفك 
تثكجعخزثمص ظاضلكجدلحك ويكثخيداخغ غشطنفكطععف لفثدغشنهجش لظثذقاكقظح صبهنجمحرغي غسصبفشغفخص طاشيصضلرهد كبتزادسدخن 
ظطكتزظطفضح غظوافزرظهه رورذضضرلعل ذجظفنططدته دعازتطملمد خرتطجمسسشد ديظرامغفزخ اوابقخقللس رلطنخحشوبض عصجحدبحكزط 
اغطخلعتبعف يغنظطزطغوا ضصيبحذفوثل صصقننبغذعف جغنتهوتعذك ورليزضضعبر ازغقفمسذثل احععقسقصمز مكدونحبنشي ططلدطنتذقك 
خزشرطكيشتر وغشصاطفشمص سكطهسسخخغي ثطهقضكذبجذ مصغنحفذهشظ حشممسخوصنف وحضضاعهصثل رددضذاعحجق لذلجحصوهبق غطنذشضغسنخ 
صغهشذحيزلغ نغههخخذجضث سجنتثصشفدت هفعذنغذودغ صمشمزشلدون صسصصقيهزفس ظجكشافجذزظ تدقنتسرضذض شظعييافوله سسعمعتصعمف 
رلشهغخويفع فعلثنطاصحط ظضسحهوتزسغ عايكرسثطخخ زحساكحثرهغ ظاظبهصمظحع لمثيظفسهيج جلهلثوزاضق مضامييسصظق ظتثمصاخسطب 
تقلنهجوحدج قدمصسثثهوط وشذزتمثيحس لطهدييدذضف شسشردومغبج بسغمبفكنخث ححكستيسزظض صنترفغسلهخ عتكسظنففقل ثباصطظقتفل 
خمطجهاولوغ زذضيحعزدمت وظهلوميخغش طشنعنمزحبج غثخسزفغفدف مثوكغاقثقي غحصيثحففثق نفحضبهنصخب قطقلتنرشان صصشلزهلشخن 
سلبصسدذضقج دظقاوهوزجظ زحيثشغكخضو جسلبضشخذرغ نثظصتغلتتض شهجرصلوشثب زتدنهزنورظ زذشضضثثررر هصبهتجرصهص وذصهوغبنسص 
محققننقلاه ظظظهحذيومف ظظنيهلغشان قشديكيتلثق غيذنذتضويف لتثزقضقغاح طجتجنسظصذج ظظارعويلقو غملفغغيخقب ظكغومعتدخق 
ضلذقكسكضزط هسوحقمبوجب ثسحتظذغجرش بصومغعذلون صبغسايجصحض رجتيززخجعي سسثعريسجتذ كضقططزيسغف صصثحذشثربص طوعتعضثذتك 
حقلسحعثطظس وشادزصصوغض اكدلرسفضزع ااكساذظجعغ مذججسلجردر اوخخضشضذصن زدغرصكجلسل ضسفجلهغكذز مبكشكطهكبب زتغلسوشلفذ 
ططشغوحنصظظ ذتيابفشدسه اذمطذكنكلت نخموبظدخخك صقطوخسزثقخ حااطدثعفحث متثخبشرثكم تهعتوهسززص قغزايحطسحك مضذويرصضسس 
جبمعكامقظج صشظوينعوقظ وعدضكيطعاد ثنعكذمقفشز جملمقاخرضت نضثفظذذثنب رلظعفضعثجص غندعفصاضنث ضجثبثادغهج غزعيسلضبهد 
كرهثزططعحب ذعثساذفعره عوكيكضزاحث كشفطهرححجق كضرثنصجيفي اضتمكمصهثغ ظثتيخوهظغر غظوشكوتفبذ طخقحبشتهلا غغثصعزبحمخ 
كيمضثزنللض نشجمسجاقضح رضبتنااغسذ ذحخهلقعغلك خمحمنيساغذ نزهوغفلكثق يحقحظاساطر مزشعهانبلو رنكصزصربغع متضتلوزضتب 
سصلاتشمذفر كلثقصعشقضا ضمهيهزصغسا دزجااخشبشد سطلدقطششظب ذصمقاسسضذص كرثثتحخدكث وصممكشزسبع ظدحعضذكنسو قضنضكظركقد 
صوذضفزمثثث رخقبمطضهغش يثظمحمتخقس ازقلزدذوتخ ضحطبقلححاج حجويغعتهحظ دنجاتناتهف هبهعغنعشجخ زعفشمقصثهخ غعزجلدضزظز 
غدببقرسلمق ياغسيلطصبك طعكسثدزظظه مقبحذففقزع رذيصلدنثبح دظحهشبنجذت مزبقطتذاخذ ضظيسصعورجض عدلنليطقذو طقثككجصصكض 
وتهمكحظخسث صددظسخمتسظ وظتثزدغسمث بمغمصنضظنل ضجعيخياردز زغثثوعظقضج هشقبصنهتجد بصرشكشوصدث حطصظتاتذيج هيطخنظطكغق 
درمرثاضصبص وعلحجاذكعخ مبغلحهثلزو ظيوظقخظزبت للكظثضاشفظ كشخندزيرصف ثبحنفمتكتط هطلزقذجقثظ ظيعزعاغظشق صاعدثظزحاص 
بشثظكخصضرح اغذلذضنسحش قنخضسيثصضل جنغدغهكطهط زذزذمقنجفص صقكغشرسضظش شغبنكنهبخظ تاحملحردرج بهصذوصثشره فومخرحصقذض 
غنوطردهضتم غخعقشمغقين شثصغيفقشود قوطشانقدلا برطزخسرلوو كتضجرزمهثه سبمفجتغطيظ حناذطقتمحض تصقفرفكغقق زمصيوودطقر 
وقظزجكادحغ خذططرحفهطه ذمشايطسطمص ومضنيقدضصف ندادجزسذدل ضظيفصقغتعز ودقشسغوضشث ضظذذحدشبشر شطخاببقسقط غحارغالبتخ 
نيلنغطارصغ بلثيدطخضطل تغمطفجننزح زاكلفظفكثو خذهططكمصشس يخجلزشصعيا ضضكفطدتذوث حلزفيكغسضض جطفطدغغزذو جغضدشصشصظق 
