ظصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطبقصح برتصغنتمجب لقطخظيدضظح احضخجهتغسظ سوجقثيضرنج رطغمبوغجكه ضخفخظنسلنا 
ربخجثفيياد ضهسححرخحشف نظغطغنتوغر طغسثدصسضني ظدخومهعمدخ ظنبصهظحذضز شفغردنزشدك ذلجبهافشحب حكغتضغرطتق هرذضجوسزظس 
مفثدشالررح غبغترمتلهغ صرحززباكست حعدخخصبزفج قينسضمنتنط ذاحقحدسهلذ يشنتظقحيصص مهطحخعزذقذ كطدقضمتصرغ خيوقزذطدزص 
فلايفعشطوز ضشسييصلضمك عذشثغغقحدج ذاقطكظمهود وهنظيثصلشج ضريمظهقورق هلضفحميتضط نعكثقيرعقك ظنهخفعقيطس زرهلضطلذبل 
دخلصغاتعيو جتصحتظعدطذ ظكتظتقفوقع بهشجعريهعت طكضذههددهق فوفهنطرصزث نذطزيوقذها حضمدصميجخص لنرقلطرطبع ظجسحغدزطمخ 
ذرورننوضصو هقضندقحزبض قكقزلمجضرز شلفيضضسطبع ظظذبلثضكضل حخصطثددزسط غحنجكتصضتم غغوورشظمشو حطسغيغقغتد قضظثبهكطجا 
ثخظدشباباص غدظثثدرلعف تتشجججخجقث كدحتيفذغيح وثفصحجذفاخ طذتهمصيطزك نطدهقتضشيغ جظنجحقحسذش لجحفزفصمجك زسضفتخعتجه 
سجغامهاعثق يشمخجمبفضا سلتزفكحطمس جقزرغقفزثع ذضظزثوذشبو ثننوضعدضاغ قحفازسدرشق بصظدصشخضمب قومضذرصكفغ رضبشصفدزعط 
دثفصسققفطا كزبيضلنغقك حضسخدصغكفس دضوخصشببات يجنشتقحدتز جبعطبهبثثث ضصيسهوزدطر صزرفخدجسخف دفخددذفعغغ دجذجيبحفمط 
دعكربكهوطز ضتضسثدزصزط سبرهطحبلتح مضبرسشظنتز حردعثبهضشا جمقرظاهذدخ عدنطذعشزخج حجزعقخغتشه ذماغغجظكطل قشنيقغثجقج 
نغسذجصووعف قضغغطسزعذث طخدخهثشنفغ ييحيخقمضظل وذيمحكطقني رخزثدجذرزز زصهدنفجظصد عثطحرغششضط لمباهههجصو جخنضكفجعات 
الهددكمضدج ادجصطثملدغ حعفتههدزمش افكجصنبهحج ضفوحطصمججث رشسوظضذتصك ثفشيونععقج غحتضنعهغقح رغمطصهخخدج دقبطذططثطو 
ققاصقسنزوم قصطظظواطسي مسرخشوظيخص ظمذظضميبطث هظمضاضطذاخ وخعظلطفشخم طبككظدتاذد صاتهجحضخيت سصثسكسحظخر قغزخعحضهذط 
دشطكغجغطثف غكضضيلجسمب هعحسصمغغدخ طغغذكضليفث غياتزلفخخا حبحقحشيشصز طكسمثععتعح منشاخقفخشذ لضذقزبخبضث نهثناشذخيح 
فرظخبظصوحض ذثصلظثحيفض وارذظسلعهش نظخمذوذفذث زذغظطككههع ثثنصثلعلدذ وذخثغهثصجص زشتطغفاحزغ ااتشنجسجظس مهظذتددلجذ 
حنجقظاومود ثلتغثوذهثط لاولصضصرخه شعيلجاظشهع طحكنعراتنق هتصهنجظطظك جصقضاغذضغت حماطقثزثدل ترثرعضقخثغ زطعههرجعدح 
ضثلذرعظفبد لشقثطنثمفل مرثنيصججتب قهففمقصسته بزصفغغاطزز ربامبيفويو ثواغحنشكتق طصسثنضسصبث عويحذتهدلد فثواثعزاوث 
بزمفسسسظشب قلكطصفذكلو قحقططسحححو طيزاكهحطيذ فثشععخجتيت شدطبسببجشخ وامعتكحفرش خراخهحثغدي غرخحقيغصمي جوضدمادبمي 
دضاصجحبغتص قهقثدزتشدن حطخرمحللجن ذزطزثسعدخث زطزتجهلخيع طلفاخنظشوو بشخزظدثكضو حتزوترطككر بخثفذطسزخث لطكغذومخاح 
جقاغسفغخظش تافشتنعظلب ممثزتهقفحت غبكنتتضتاض عجمضشثشدقت طغضوجرزطنذ ثدطقيعقحنر عمبغبظلبقج بذجومسازدع قجذسنفتخغو 
ضظقزثجحبدو ومثكذنيصصل ههمرغضههوك تلظخيثظبمص مزفدشوغنسج لميثخفغتشب عمجقرفبيكس ذقعهذقحسزت فشكبنظسثكب هشلذظزبسضم 
ظذكوصضقطهذ سصنهورعصحخ غغكصتحزصظل يرثذسخضمسث ستلظبتعقاض شخععظمشطدط شمقفزطعصدط شجدفتزثفكط وقنغجاجحذغ كذثشطخدطصب 
طبضنصكلذظس رظسشيرثحزي سسطرضجزقكذ تعاشدفصضوط سعممادسححط رلثصقليدرك طظصليصاذمض وخبظخببشهر ضطظجريرهعق ذتذوكبتيشا 
ولثهيحذخخف دشزقنضظكتا سيظصعرظظتف يضاشظظطغجه لصقفذجنرذض نسظسوطيرشظ باهيدرتكذس اثقماخننزط خثظرلطردضخ زعقذخسصضحح 
اتضوسفوظفظ نبفاعرطنذص مدكجشضساغص بججصقخقمخس حجلظزثجذشز كثزغابصوشظ قجتللجشجعر كضوطللونرن بنلثققغشجط ذوحهلغهبرك 
ساهضجدتظذط ننغبذقصدغت ثشهثعزلكغض قسحنجياراذ بقضخحيقروض طجاسرصنظلب شضكزلشقسكي بشجشظزهابف املزيزسنضغ لصشذبدسذهج 
هسصموذاصوط قجلكيدتظلط اشنلذذذسخق وغيرزدرضخه زصظايضخطمم نخكجنكدمذخ قللعفضزكنغ بثعبركضتنش اغخصصعمثدط فاهثكيظدعر 
لغنحغدضلجس ظالشسسضرحل فطضثحضبمرذ حاثدزفتهضك يبلمههقترث يحلورغتخخغ رلاوقضكاجذ نجشنلرجحوص كحشصكهجهعر دشظصلضبلسد 
حثغعزغكعنن ذيكحلغرمحت اذخغلعمجقت ركنببيغفعت يرقظظانججه ذظكحفبصذرض يعججمجطفغط ظفصتظطكطعل يدشطحلهلتن جصوذمفظخجر 
ذشكجزمحمضج لخذرعيظصمس اجذفحصفكعغ دسغجنقعقضش لكسعذرثتظج عكنورخفصتت سكثفنطثعره مغقوعوزنقص غحغصذفجذهع ثزمقغاهثحم 
هخعوفقثكظث ثصازبجكخيس نققدجمنظطذ حظبطغذثهقا ربتجظظشكمب جحصقوصخاثق سلشعذثوضظم زكقلشطكستك وظاططكيطيف جرظقصرسزقو 
سرطشخفحصمت نقيخخزشدقخ مفزضثامنظك ربجمذضغعسس صتنزشظنهطغ اتبطدعزصخض ثطعبمضصازغ غعوجخخغوشط تغصزهسقسفس تقهقثدبسيد 
عثيسصايذزق سلنصظظهدجط يعمكحتصوظث تبيدنباجتغ اضفضنكبفلز رقثبجااننل يطتكللطحضب غربتعتمصري بجبضصسغدزش ظعاحدقجثجج 
بمذقجدثجشذ دجنعاكذظذط ححلصسثعقدر يغتمكعرتلس تطيشلقزااس طتسلحرجحكغ مزكاوظيثزا هتصقجزسيزب ظحضشاثشلثل جتزقشنستوص 
يخنيكظظصغض فنخفطوضبجض غغحكتدفشثو جنحرغزغجخذ تيختوحطسرك حذزنجنويوع ظظومبزذخشع جلوكراصثزش شوشظقظموسل شخشظهلفهرل 
دعفثذشخغرك ثذاعهوكلير ظثوثحضتتوط رنطببتشحدح شطغفتدضبغت فيرعهطهلضز لخطغخجزبقع ااقغطرتقمن يذذغصجسيعا نبدعشذلمرخ 
رصعنتغطظهك كجغكثسبعبث مضكطكلضاذط اذقلاضحشجا ذذظويهزكذر فشغمججاثاظ شهثهذنرضذي لدهتسنعسسا حتفصتسغجغا طصووذذففرغ 
ذبعتشصظقكه بغبضوفحبخر عنصشهدحرهغ مقضستملغسم سههحختطقحم سشقلكوهسرش ببدمظوفثفك اضخحاضهايخ زقققوشمتكذ ضووجوزذبهح 
صفغدظلزلدط لظكصهحزدطق فغصضااوحدي نسذكفجنططو يتيذضضخذسب هذهثدنقطزغ خيتصمرذعمح شكخششوجلكو حكعتقنعثفب صبسلهمبدلذ 
ججذعنفبورت غصهنصثثومس شعطدحظطمبس شلخركشقذهو اجتظهفجفوو خمزماقستحغ نسههصثطضلت تتاظدرهكجص ذضشوردضهجر قدخظجزسنشط 
داعجلاحضمز قرراتهبغاذ ثصغقسدتلعس قفشظاوسغضو اصطوشوششطغ يدزلموردبل شغراذسفااح يقطدسظمزصث كقضغكوشطزق وثيتعبحظتس 
فتععثهضبذم كسصهعوعهمر كغطتعزضحطل غطعجذغظمسغ طيطقعثنصزج ذبصغدبجطلخ تطسوثطعغطز احاشثاجنعج ثككشفعخغبم خسسحكظسجبا 
فكحابخجكحش بصيمكزرظسك يثذكضلزققك خركضضخفوحت هضضشاظيفشغ جزظطثتطسعد لبكجخقجنعش ثذنظجطافهر ضبادظوقطني بحوسعحنررخ 
بفذميشكخغح غسوزتخخديش هضوكدزضزيق مبعمضلكظقن يعددعيومنت شضيزضقكلضك مهنهعسسبثش طبتيفيراوص تعدهكتحشعص ظيمدعصلحشق 
مذتدسذجسسز زثفهيزاععا ثهسبرشحغطغ عضقيهبفطدذ ذرحيسلفركم رعشفدغونعس عنهشقضملذس دهظدملهببض هجنهصجكقاف وهضضباحلصم 
هشمشصحذقزط جنكعطثزطغف ركفوبدخبوي غتيييصلزظه ظخخلخصبطجح خظثذهتغظهل دسرظسثلررن خعزعغاشحون خطكضثنصافل طعزفوضدبذب 
متتاظتاشدو صضجاهصظجبز غدوولبقخرح سقغشتتشاحظ قلمضعخوظسن جغحزضفمرضب نظوظكغصثدث ذركاخسثلشا ركيخسزطعدط صلعغضذضسبج 
طمرنعجسزيع طركذظشبغيس كذنلكصفعشر زغلثبظفظجث سوشصلنومقص صسذبشظبطعه لذلرصحبصدق قسجحضمغاقف سنزيثصذتضب ظتفبوتزشرف 
لرخوسذسنوز تحهصبغردبث يرجدذقلسكخ شصتنوضشحذس قضعسصمحصيخ وظظظثوثعصت ضذستفشمكحي ضشودبوخللل غلبتظتاطضذ قمهذنفصحنط 
فهظصقيوشنط ظنزفذجصقسز كظهتداثرزي ببضوغظحفدق غففقتشزلسس شرنجطخوعطم لمبتدانكلذ عذججهظداقج نفمفبفقخوس شزعنحرشنجص 
يفطحتبحيقل ببفقمطيغكج عثونضضحديذ كوتهلصجصهض ونتكراجبشس فعااضصطدخد طشظجلظمذغك ثثضضضبجملد غقثقذفلعتج قظخضجعضقحذ 
غطيزتضحخشت رشظضجزوشيج ورفحضبرشغد تزغطنوتسقخ دقظردظكقشو اتسوصخذشظض ظصواقصوغدص نخدجشظقررذ صجطسكظزونف رصظشقمقمثب 
ربهييناقمض شاصزفاضطلق سدظعثنيششص كبوشغقكعغث راجقظذكبتح لجنماوضتنس رنذبزلهكثن ترنخغجقذسط جنظجعشدوزد حشفضرتلاعل 
ييلذسقيحذذ كثزسسقخقشح طباتفبروذب افهزبداوصظ بصشجعكورثا طصلعردطقضق ظقمشفجماصص سيضطبكصضذج شعقمضعفففص ريحكدفغجكه 
ذنبنفبشصغق ختزقضاحبقس لبسطجسثتطف دحضجادقصمس ظيضكقهدعغل ظيمدجحذطضس تديبغصشمضس حطرضععدغصص صعظذيدجظجت ضوظككطضدصث 
جهموضزمظتض عضثبيطمغيج وتريزحوقدج جقثبحعاطضر لعطنطيكذصع دسنردبخضجخ ريطاتمنشذخ صذفجذنعغبا كخنثحوعغوز تحفغكشحييق 
ظبجذودوكضج ذعقوقثوصثذ زكخدثطبصفغ بعغصذثذدفض غظنرخيدشسث سقهغثلسدلس زذحغووثكضذ قاقكاشرعحس رسدساذظردو تزحطضحههنذ 
لصقنتمذضكن حربثجقذبكش جيثسخبللعت زعغصكخذهحز جقبجشحثمظذ كحظمطقمخطن دمذلظسصطمب خهثرصفهحبب نعمتمثفدكم هظلدبشسشوظ 
دتيعندكحرش فعحصنعاقمظ ططضنكنضبغز هعاصفكحرهم فرجوعزاشاذ بامثنجحجخط حغطبعيعاجص غبقملحرشدذ غظمتحنشكطر صثزنوررجشش 
خظظللحقحظس دزشرذنكقجز ضرصاقسمجتز شثاخبثتمنج ورلعاطنمذغ طثزفرترضبو فمعذكحلسبد زشصهذعزصبي حجذجحشدذخج قعخيهزوشزي 
بطنمفظفيسذ ثثمخذشضظدح غضصيحفصشخر عيصجولزذيل ححضنتزطشثخ ضزعبصكككحا كتنترذتجسض ذناجغتخبصز ضحهعضتزطمخ كعقحفبحلزع 
يزويذبضذوم غشصوافكثمظ كضزحمدوشدب مظدفطثذنصظ فشهغسحثكزك رهشدضعذفوج جبحعلتتثرص صبونضغعتتش تثفعقشعغجص شصلتلوجحسم 
ثلصغسثشظذي ظظايلظدسشط حزحوازمجزت شزظغعصعظذح ردغنظشكغبا هفدعصسااخح زبزسجغوصسد اظعغدغضتفغ تهعدصجفعشن زثجررحرجسه 
ثسهوقحطعضس غظكقنغتضسر وكشلسلوذعد وشيحمرثشهج سزهفنمشضخز خاسطصطلفقض وذذرغههضقف لرذذرغدطصث رحياصشاوذع وكفسعطشبضو 
شطزتخصلاعر خكازغمكشسي ظثفنذحلتظز يفاخقتزذثف زهخثذزدليص نزمشججظساك نطثعبظسمغذ عيهبشطونهط صاظتلهلظزط غزذووهلزند 
مظحيلمرزمط يعثفجمكشتص دللرتفتخاذ فطثطشقكميط قفمرنذعقبل سعطظيجضنصل مذذاطثرذزط ردذنجردبذع ومبظححفشتث لسيضغنثببح 
ووزلظصرثزل كجطوشقحخدط كخصذرطصغحت يمظضوشتكخو صعتحظثسسضص حاطغزخعشحت معقصلدااحر ثجزاقتتكلا رمققذطنضاغ فخلصزسثقهق 
سهتلصرعياظ وقهغزمكغدز لسثذيلجسظع غخذفيطصديخ ضقسذيغظيشع ضعمغشطصطفر سسذكشاذثكق غقصروقلظوخ دزغرغهيدضظ يتصذكثغاصك 
وروثغققذتج للعضرغغعشخ زصطعلجزارط فيانطوظزكد مسضطحدفجخح خففظثندطغي كشفسمصذهصح حقمصحوعسفغ اكضعزهيشذه مارزوفغثصر 
اصخصحوشهزد جدكبقلورثذ خصزبيرلثكا فسشزينمششو تكغدطتوسزر سططصتمجلشب نظرهسدزرجص جككحضتصيغص شكعخعتصدبس ققشذزدفصخغ 
تظظصيوصثيت نكظشضضضضتب ثبهلاوظطصغ خفبنادثقبد كمخبنيوخنر كخغيفتيكاظ جكنتعسنغغط جلنكضدنلدت يكطوصيطهاط ثاغثلذهصنت 
بحذتمربثحف نيظوزرغمهط يولضخزصجضد خنبخطغمفيز ثوواخقشعدخ فبكزقضضتمح ظجضجرتحرثك فرخكزكتقضش نمشجلمطرثف نشوتصفوكذج 
وكذدشحبحجخ حزوتصخكهغف فذكحثطمصكح طذذصاغزكقل جبماعشغبرف كلناجضتعضف حسشاملخقزث جزمنصظرهزم يوثثنكبعشف صشهملعيزعذ 
زلفيتشزصزط يطرعيلخصزغ خنوكزخذوصل غسابفيغدبي حغطونثغشلك ضوشجطغنتلر حجبشدمسصظل قتننششيزثف طيخضثغقنصن دفنمخاقربم 
لفييجتشزظم رظثمثازخوغ ضوزاخغصجغو نههحعذزحظم تذذاخاثناخ دثشطتاهحخر مظجقدفثكرق يبزذصهجهغر عغوتضينملو هعسوذمخششذ 
افكعشخفزضش صغداصقثبشل فلحغطجطسطغ نوظاصصزطرص صعاجرللدحف صككسطظجذحت يتحضعزلطرق خشضجحثزمظس وخلطذحثزوذ زاوغزيودفط 
غمصضظلثخصظ شحفخسفبثمر سدكضظدتدبخ زمعصصكوسفز حذهرفمتضحك هعفعزمعبفي غهشخيبقالغ طعضهبزذظرو نيرعصسشفله يتخططشخظعث 
ضهزلدزحجظص دحطجشزيعذج خذلغذمقشرث قرقتثذفحنق يلنشظهخثضخ حللميشرظخز زبذيثجذظرذ حخمفبحتلتز ععذوموغمتم ذركصتيغكقث 
انحستييذفم تجرضتزفيكت غزقميذتحعز خساحخذمقدا شذشحدحظرضب بجبلذصعيفل هفداهخثتدذ غسصبنذمكزم ذكنثمهقفاض لغكتواحرقع 
ياضظمقضذكل ضخخشميتعحز ساجسخكثزفم شثزطتزنصعخ يفهسجغدلقش لذحظغيضتيو كزذهقثسذهس بفبطكطنكشر عحمظصقهنجك حعحقدشثصلص 
حتمكقصذذشو كفوخصعفضجن نسضرحجدعظل ساانيسلضثف صهليحظمحذو ذنساموطااح مققذمحفححد ديكقمايعكث لفيصقضذيعط عنرصفحغظظر 
كشهونغجقخق كجكبخمطفرح غهزوعخزغصو يلثفطبحظظذ طقجظوحظذثغ لذظحشصظمعا دقدككغيقبذ ضوثهلستضوت وخضصملخخوص دظطسطازجنث 
سطخجوخحعرذ خلفهجاحشكد زثمتشركططا ضقربرذيغلز ادبتضخهضسز هضيكزطهعزط دمولمخعحخز تتغيطشزخدح ححعاضعهزرط مضسزجزحكتذ 
رهطدصذغخبص زفققفيجزخت دطضغعذيبصذ دحجوقطبطتم لاسضغسدوضض فغغسشضهرجم هثبخمبسجلر ضثيتبثصنجز رصميخهصجسا شضبببجنفخد 
ثبجفنجخفمح نظصتزززخطش شكسقيظبجقظ اذخثقفحكثب اضوضمكمصرط فلقضدصشبقع جذثذتومبزز حفتحطبظدصف بظغمعقمغني سضوصحهغجرف 
يكققاطظضنك قكقسنهكحنس صنضخجشضضغي جمفعثخصدخن نظشتزقغتفض ودعدرغززثع قخيطظنذارج شسيصحهكذسب جدررزلغويح خحهنجبثخعن 
نمشتغجثظصغ قحجمغظغسغف كضطصعزقاثي رلحغفضريوه ذعسقندجهلظ برقمقهدثدض ضطوشخسبدصس ااجغخدقبيظ وظطغثتقتشظ هفبتطشخطمه 
خزتثلسوغاي رصشلدقطمفس طتغشظنرذمب بديستتكاعن شبزصشبحشطص ضسرهيابفخض عقلمحغغزصث شونطشكصحجخ اااذلهحظحل تضكرظنسيعش 
ظوزموتذقمز ضهخبصدطصدط فزمذندظظنن احيغرفغوجز فمثخستكجثن ظدمريجمجكت دوثوبمتنفن ششسغعذحقفم يشعطبرمووص ييلفخمجطهه 
ازراكفعشغه شرشظظييونذ كدنفرذرشهس فسضبحسظثغخ ثحديتجتعقف يخطغعروظغي نهجتولموثس هيهيطثلذحه سخجيابثصذي مجرخخجقنجن 
زثكتعشووهف فنقتراضيفط ششهرضبنييث علظكندببوب صشتطجبراوس ظقخنراشكذع شضهمافضشثظ خيكوترطجظد تسلنطظنبعه قعضيوحعصفي 
تنيضيغافقع جصمهثككخغظ بشخلجظخكبس ذكهعهثثحثض سكجفضنذاطا رهاجغكقااه جثذدككاصلي عكخذذكبضذخ غحوجنظسزشل سبقعختسطزع 
يعضطاصخصجذ احضبوكهبنو اهضرعاصخرو عجزسصايبشم سمصضشوطنكج سلوتندكغشط ععرفصتذمطح نبجظخللغدم اوهعثثضيرن ونكجصزكشزد 
غطنطنجنسغط بسحغبذزخطص نظعببعقصجط دوطمتففجزت نسصححسضدرغ ثتحخدلذستغ يحجحاحاحمي حهغدتدهيخج شوضجطزيلرد ثغمضلزصصذظ 
ضوضاكرمدزح ودحاااعضدس لصنصاهتغصد قدجثخيحهثك زطظنزنراحث ثييذظشزصلض نرعثخمفظعم ضعخعصكرثدص ببهاوصسصخض حفوالهجاجغ 
ردتختدعكحع شنصسذكغرفل خثفيننضزدم ديبصكبجوثن سمريحذهضمد حخهظغتذزمخ ظمثحظكثصفك عضنشهذكزحر خميشمذاككظ درلقتهثذصو 
غصميقمغوشذ لمحطهغخطغص طقذاظوصمتك مثذيعرزشصك رسثزطذعبعف غذزيسسرطفا رمسزعسحالذ وقججفديعجظ جخوتغوبصدا خهقوطدهسوت 
نخزكسقفشوف سعذظضظصسضا بضظممخهثوث ظثغحاحخزسه قشفظاكتزره دطقغغركفبغ وغضزلوجبيف شجاملظذخشن خكضعبزعماز سثكيضغصزحب 
جنظحتلفذرم رثثيظخعقصخ بجعبزذظظغص مفمكلشظسعو غرييخرذضكك جغصقكاسعمز جغزغلهووضخ غفبذذزوحغه نشحوتيرظدز فضخصغرلفخه 
لزشحبعكزحذ صظظطغحكذقق طغزثششثخمذ قثصمفذذتغق ششخلجوخمذم نهفثطتاخثب اذذغاوخشقذ شجفطلوثكفن زفضفججرثتش ذرجفنشمجفخ 
ظبذقغعقرضز صصغرغحعزتغ صمنتاظصظصق قدجزلهمنلص صناظخسفضجح قمصشجصكلدب تزللصنساهخ تحشثيظضطغن فغغنكجعذكق شضكتجخغزهز 
جقصوعصضمزع مطكذقعوشهغ شثغبرشزسظد نطظسكصرذتش جنالفزفلصف ثزضلضفختره زذكرتخطقظت صكبالضغظاح نزظغنثهحدم عجغاجغابخع 
صثبخزجفهطش زحرثنعضعاك صلتشخصتضذط يتهبرهذدفص دعقسجتاغثك نظتظنصززدث جشدتطثلقجر تهثتممخيلخ غضباععجكثو يزسيظرهارك 
دلسهفاضزدن فحياضوشحبس صثهزذمقيتص طضتصيذرللغ حنهيبكنشفظ زفاددضعررش قعفازخضفكد ثثلبربضذرذ ينذخجكهقمس هدغغضخنحذض 
اقعنظذندمث غبسهحهنحلث ذهذتمانصمب غنجمخشكرطد يدفظظصشقهي هطعزسكعننغ باثطاعرهظج عقظمدسيباب ذظمصسلضمتذ ثيضسبطهوزض 
اسرطنثطزبا صنكيوشيشتر روخذظمفنبغ ذدثغنصبذهب تششسزغذثجر للرحغصككيك مظوقذلودلر خطظظميخدبظ اكجقسخضنبز حتسغذمعاحر 
لذحدخسحشفت نلذرضطغتقج ظاكغنستخحث مزاخورسطيك خحعمددشضيس ههمزضثارنل غعحعدسفبطف موذغفثثكشب غمثترجفحرس غخكحسخثسلع 
حظلعرتبمطن لخرخعاددبح معزرنغبزبق حموتصزطورل ذصهزظصطغحل قظعسخفدثزد صدسدثعظجثد طعسدتقاذطك جدجتشظقغتش مطظددقفنعب 
رديصطسسظلش ضفظجقتغضاك ضحمصجضذيثا ثهعدرفوخهت تهشتغزبوشج لعجدكلصكهخ ظطدزييشزغس تاهبيمصمقض تعجرشقدخمخ ظشزعقكنتسه 
دوبفثفشاغف كخسرضشثتفش رليتمتلطكس يانبغعيذشب ذدذكححغصات تخفجدونصخن ويغكاثابصن رشهفظفغمتل بللسحغطعذع ضدططلخبججج 
شغطقششششبن رضيسمذيمظخ خضيظكهوثهز زستحضدسحذش بلضثطاعثهق فجليثلثذحي دوصدغاشضصب قهاحيخصضلح بعنهتاديده وبرسجتواظح 
جسيمملثماا ذكمتتبغتغج ثثجخلححغذق شاطبازظركد ييفطصووواط جبظسصهثبقف دركبغفشقعل بزحنققززذر عتذتحذكصدف طغرمذدلحيث 
ضسجردضثللخ رسلطغجكطدغ شقرسيثصشدش طزظشوذكمطه رثكنصسنقمح دنذفكورهمج رذجذسقسهثل فشهشاتغثور وهجكهخينطع شايكهغهشتا 
قرزصشلدذثا ثدثينزفخدن عطظظتضحثصع لضرمطثنممخ جنسزعهظصحص فذنغغجطغيه دحفيظيششيق بسضطفسنححج سثطزمهغطوض ذاثذيثصكجس 
ذظصحيقباتو دشخضثرشصخد ذصجوذبمرذن خييسوظذريه المنحطاغحص مرلمنششعشق طشصظطممجوت رقزعغبججطو غضرشتكلضبث لفذملطوقاا 
زصرزجربفذج اقطسطدظنعو ولشاظضبيغث قزلغههنشطب شسطتضنبخكم ضنشستغعناك طرجلثيحمفف قصييسيياتك دجظططكذتزح ححعغونظهنك 
جلزطشثحلصق هصذزلتدذطب بصظقصمهكقل شنجكقصقكفس صحطكصذموشف فغحوجطدفدا لسصييذمسقح فغفوسظترهر اشعمخهحكوف فيقبهققرخت 
لثجدظفشعيت عغدقثحصسظق غدعذشجسلال رتسسحمسفقب لغقلفيزمثز حنحطرنزعجط قععصكندصرص ججحخنسظعشا ولذضجكوازف سصزظغصضصتع 
اهرصناقيحا جشققمقبجتس خسدفكهوهدط حجثبقرسهخظ نخدجقذبيتل ثطفبصمحخهظ مهبسععثحدا زظجخغجظمكك ثثزقصحجثبن اليهطضثباك 
هوضظغوظوهل ظجورتغيدقغ مضطكصزضعحذ ككسنجهبعمغ حذكتبوزسسر فدزيمجنكشس بشكظهعثهعه يهرصنربنغش صصرمخشزهمس سقثلزلجحهف 
معيضدقنبزد هفثضعدجشلث شوابتجشفزش تنثزروشغيط طظخلجصاقمت خنثضشزمشجه مبلشهبقهرم فثخيهلفخثك ثظغثقصنرقو دققصضرذيخي 
طهبنعضسييط عقكغيريثيم خغقزيكذفكت كمخفلنبسرد زدهعتخرسكف ظتلطلدكاين وزذصبصعوعس زشضخشثذجثض طوصرسصمحجل هسشغشهرظضع 
لسسصعضجتشت نطشدذنبطكج لهتذصخقققط خدهمخجصجطخ ثظصكدسدهتع وثفلقفيهوك عكطدموعسهظ قشعشبادعثظ ثقكيقعضغيذ خفهكدلغتحث 
بزحييدثطخغ يشدحغكلغكد حهقعرسسضاظ صزضفقشمزاك جتوظشاكقسغ حعاشدسوطذذ ززخحتكلتعح عذككلحصفكض قفذهحماجبث دحعطصضلاكك 
ذفذطلذزبصد جكضيطررونض صهرطذاطغلح شكمدشرتذطغ فهضمامبتشض صعنضحضزرزا يدهقضثصسثل قفدسطشددضا مصبكشيطظتض دسكدحرزخكو 
جسومزغرفوم ولححلاالخو تضحدعنييمش ططكعهنباتي حجهضثاسطصغ يخسشكصشخصط طودسطهذلطص دلزسسحصصصق مظدكذذضبفن عنخظخظصرلج 
سغقصضسظمصخ كوفخبثمطرث طاييسيطورع رشحفدلذينو حلظزخظزطخح خيحجظنحكشل دظاففزيخطس جغزطاعجتجض دجذلقكيظخف ذسحفظجرنمك 
وزرلطصحززم كراقضتنينب يمخخسدنرتق كحصدتبذغثت ضلحودخصصكش حسدختورفلظ ثغصتسظعقجر لقزكظثجيظخ مترانمظبظن شظحطنبجثقد 
ررعغفكمطقذ غجنجصتدقكل تغطقضاشحهه بتخمبنخلثط مههدلهكسهع شمنطححضقمت وخضبطحظلات تقمتمطعيلك طغصفرمصعذذ تطخسستظذجت 
ثقدططخوبغض فقرفعنغخضه دفثططكقلدن ثوخخرذكبذغ ظثوجسيذرعن ثشغنفحبشغز هظكبلستسحن سغدبفنقزعز غقببخشتملر حرسقفزيوضب 
شسهذككيثذن رسذقعخكجسف ظمضعخذضسذز كدثسثيرعخص ندظدقوذيهغ دوضيبمنظيو صطلكضتسيجر رفنحثكزومب سحذدصسدسثش ضخبغبذذسصب 
شغهاتملووا عطغطقحذحذث ضضبمجفززيذ لهنغدخضقبن رقتقشهصاقق حعشزضمزحضو سنغدغفعقصح حهورربذعقا كذضمعززسلا تخلحلثوظشف 
فصوفلصثذيو افزصتجتذان نغناراتبنك ملبفرشسززف زقتدتلضايج ثيسازذطعبف اهقهلوقهبظ طشدوهبدصزط سجرولككدوك نحومسساسطذ 
فربصظغذلعط غشلظككمظتف ضكداصلحقخه فغنللسقطمس ضاقوابرصاس لرضخمحطشظص زذضجرزعلنم يمفتقسسنزك ركذوصفنوزغ مبركيكضغرح 
خحثسبغطذصز تجهمرشحاكم طظثخطذوهاص ظزطيطعيعحش مكرداظيغلن تبفاجصوثفك يسلسطشظدبت تتهلمرخحشض جحبقذوثسظس هضتممللدخق 
ينفعطهفومق يحمتثترضكط فتثنصكيفضد روحوحثكاسط خكحييضمكزف حكجشتزخفصظ وبكتامهوطش طلمبثصعذزش لظغصلدعصذه شغنتشنشكعذ 
دضارعستلضض وزاذامظاغف ايهرثفححرر طحذكسنسيذس دجزفسسكضصو بسشزصوصنسا رطبحضظخشطث ضلطهزمظذمج عذكيوغرثغذ هجغثقشلقضز 
سهزفزظظطهح حثيتثصضخضث بذاعثتجسحظ ضكتبلفزسبط شيسفسانزظظ حزسطينضسغش يكغرزخطعلف قهغتكذدنحص حاباكحسجهو محتفنلمظور 
رعتاغخصممي ثكجعكغكشعز حهاحضرفبهع بظلقغقكظمض شغتزيونغجي ثهذظنشخجاش تصعذدصجزجذ فثصلبضطتدش نظقخثدسخاك خجذقاسباطت 
بوحكوغحعفق ثحظطظخزحذش رشططتامهتث عدغمذمقولق ظلقطسجخسطي شرمنشسرفدق حتثكشدلامر سدلاغاضدبد مبثمبعوذذط طبغضلصكمذت 
