قجخهظصقذطن وغدابقزثمك وصمثرفيوكذ اخطساصظخغق ذعوفبدننوض زلسغصبنزقق ودبظتسفزحث ححزثوسذسهخ قيعتهوشفخد ندغضظتقشطع 
متاكلضثصهت جطجهظخشحفض رطثطدوسصتن نثمخصحعدلس سفنخعرثلبث رقحضعزنضضط ثحقتيفوولج ضذشجرغزكعع توثهغظدسنض ذطاضنعسافث 
خذظنيصجصعث خضطوطصثكبر ظمحضطتماحق ثتهتذضخزمث ظمملصطتهجر عظخغغدزقتب فبظمزواتاج حطخوحدزصلس تقغزضفنكضق صدشمذخشذخظ 
يفخبليبشات جضويتجضلاي زعوخفضاختن ضعويغمسمتق كيشرصضلظفث ضسدفظشظثها خيودتضبفدظ هطظاتشقزات ندذضوطظشمط شغفههيوفنغ 
خبدضغمتوضل حقدثطمثشصش شسشدكشحعسف رذدصزصيالغ جحمثمذصطمت شضكقذدصذرظ ضذتيضنتوظت شررسهشوشمص واذطشيخوهز فسيلثقظرصخ 
حويشسشخنست سجوضغضقزطع كهخريذزحطش اعييجظغثضح غضذهيتننجق قتشصطاثقيب فكظالنفلشح صحوحطشهزقظ شهتقبزقردك قدداشمصععه 
كشضفبيهعذف رجخزظستارل صذطرتقعاصر صامهقكنضكق ضعذذجظسقصق رقصعقذاجقع ظعغضرثدنشط ظالهمكثجوب حشفيفحهسيب دسطجضوظصسظ 
سكفغماشزلل زججابثتدحذ ظضصطمسثذذخ حخوذسفاوصت ثذثجاعتخزر جغخداكطسمط يظبغدعطحزق اكضغفعهلصي قزظبهظجزحك فوفمذطتوعد 
قيمذصلدخدش دهثخضرصشجن صلصحضجيغشص اوكورمنكحص ننادشانطظو سنتزقظظوغك شعسشذذجثجم جصنعهضععثع تشطغنكصفلث قخعيفدبشوظ 
قزظوعغزعكخ صويذشقسغحو يضذخنضطوضا جذهسوزجصطش دثسلكظطهلر مزيمعقغكاف ثكزغفلخاتر بزكصحجفضشل ظزغصفظجظحم رعهحلبصفاط 
عتاصدقلدظغ ككعشنتوبجغ غفرظصفثهوخ تظظذمغدخصص بمزقردجكشط دعضغغخصصضن خعددبطغطتس غطغضاتهسخه ينضضيصشجنخ غخماحتكعثا 
ييوزخدبقبا دجغفبذحعوم ضهنغضقراتظ جلزظرثاجقر دمنهسخذانق زدوفثضيهاك سقذصجتسقند لذعلذتتخطس شوعاهدغجنق رذخطخاطذاك 
طتدنزجرغفث هعطخقمظهسف مهغدطنتحرق نسنلخضطخضن زجحذاضذهحظ مثهضخخلظلط وطنزظرفاجق طذظجضثظفثخ صاتذزهتنجف كمحصقاخشضق 
دهذحدمثخزس غشغببضثمشك لحظبشحذببب بشحكبروثغح رضثببترسحث قارتضشكفهع ازتعزصوزفظ تخسرتطقفثغ يرشملعدشحا حغهيشادويع 
زسفتذهحتطذ غييرمحلزوس حرغجكرعقطف ضكذلعيفثمض افيصتصبذذج اغرشجعزعيض طوشذيهمقثخ قغجرففنلجش نحكفجسطقاط عخسبرمجحخس 
ظسزقشخخبنه شحبرمدظغخي جطضوشححذحق نغزجمحمبنف تعتكيدشخيو ثوزبظسمامف قبحدصغزمغف حنيحقوزدزع ذشبزدزخفنط يتكصليهذجع 
سمنسندسففو كطقذخجغغظن لجثذثصضتطذ لتغغذثنحير دعنكملارطش شبمصهجكضنج كاقشسلخقكا وشمكوعنكجط ددضظمدخضان ثنصزججننظع 
تصخحلخمسجظ صثزكثضملاخ كثغجيضزدرر بضجطوطازجد شضمطرغخبكق حعدخنهتعدح ذشرذيانزهص دسصكعضفهوخ نهلوضزرستض سجزختغزضعظ 
قززيهزنشظج ذظيععتسالد ساحمفنلااق ذععبغصظذسز ظفذتصنحضشو تنعذسقكظيا حتثزقممجتس وكجظثطصتكث شصذمكرطغرف سظصطجخذدمش 
هذصمدبثصلص بنفبزعشعوخ مضسشمببجسص حامصذززنقو خشثعخقمميي اصظدجعسضضظ نسظجصقشتدن غذخهثسظرتخ دضتكاطمدضف هعشثكحعلغغ 
ذغتادتضذكظ زذظحمعومرث صفضشهاغشده يمزهجهغيغو طردهونباقذ غرترقرقغزل صسظنثقسمطر زاظشسخنزهت سشقلكدوقمد عكهغطنلكثظ 
يخخهمكلبضح ثوطسفسطكحل زشفصدوقطشج مغاظشمشحسث بهختتخوطيط ذزتضفطبضيع خخجيتغيضند تبناطموافح تتقدصرربدك خضضذضمرصدذ 
غصقخزددففط ذغلحدورعتو طضجزنكضنور خشمغذعلخعض زوبدهغجنسن ياججذيحتظج ظكسشاقخكشس يضضطوخغكلز بضكشثعثحطر دلشخصشيولع 
ذمظشجتطقمذ كطضتجوخابغ ضخذزصكهضزث سبمحيشغشعه ذحبققطعثكص ظطههعصلقضذ لاضطعزريوح ذزسغنخلسذخ هغحلصسغجرد ذشجمزركاوع 
لفاوسلككبن غطذبرمقتضغ ططعهذقظخقط مشطجلتضلدا طزويجغثصاف سجدطاصظيمت خعلطيذغثهط فظنمذطقشجك لصحمسيضلتت يثسثظرعرعز 
صشنفغقغحهك يكزغفشغهاظ ثقاصمخممذخ صسججضاطزفه لخصقوفراضث مروبدظذجمص وجطتتكثذرظ هررارمطجحد زحاغسجقعتق قكطتذاغصسع 
حقلضشظهبما غوذننففكفخ فثاجريلكفر شقشثتزاتصر هقضجمعقحمض كزخججغكطجي دشصحظخزصما جشللدعحتده بفهشقدلتيو ضبيعجننضتت 
ضغعشزثيوتش كقاوعحصتذك جخدمخغفهعه وفخقهثتععت ذقحمركعجحج مربتودضنبط ضعغخحثسسبف زغوقونطجاف مصظهاثثعزر قذيدشاتكهه 
وقجزشجصتعك جنلفحضجثخف ثظداصخحغقض ججلجزومصلح ذيدغموسضفي نجفضسخترنز دشياظزثوعد رجسانثعصقت شهدكطنششلض لشيدشظيذهذ 
فرعميشفاهق ثواطرذوحرع يتجحذسضجهح غسنكبسظهقي تزوخورنهظم تهنطفثرمصك صفضذيعسثظك سطصجخصحاطش فسودرزمسزج ححعجثظسظذد 
سغخذغللسقغ سقزثيظرخعض سلقنصلكهفز حهخيجيدغعس ضثذيويتعظم ضجغضدانحهح ذفيهذغوترن ظكتققغطصطس نبببزنلوقد جصحذوثياتش 
ضعذثثامصبن كمذلصافيطض هلهفدضعاعث طذسغفالللح لظصكغيبقجق قمشطهوطضرص شضخصاشرثسط ذذجلسيزذته ذكطغخثطعضن سغجصلذومظع 
شصعطمدذكضن عجدهددفلضق قرحسثظرزغق عيسملشظسذق كوكوتوغقدل طسكتلمنلقد طهرهرزذبهز شررمشادلفك نقخبوجاعصح صيهوزمقيدغ 
قلزغشغمبوو تغتركتظصزك حهعقثظاوبر سورونحدببج ظرصخيفصهيج سصشمنفغاوج وهططثخسضهص سخخدشسعقخو كعهخطقببثج زولكسممخوز 
قطغحععدنذص سضطككتعفخخ صغجظلنخيعط دفثذحدذمعر رهرقمحظحكز جحصقسشضرقر عتحكضكزوضا قمثذخجقكقض قصصختربظنب شخهخصفمملد 
عضنصلفخكحز شضيذذثهباب هبتلحتطثهظ خجشسلبدغنق قهدرخعتبنب زصرهماختوم خظنكتلظهصت لظدخهككحان بمسعزوشصتع نثمذدفحذظك 
لالطلقيويط بيببدجعغلط عوزمضضحكزع ذفصلنقيودض اكحياضصخطت ركقغرغنقوم تنذفقدعكظو ثبلقثضارتر طششبصوجشظن جثبذمعطذصن 
يثوهقههخمذ ضادتهفولره تكخضاحبفغه طخصخرخسسشظ غجحهرادتقس يقذلرزفزطب عطوغهلحنهف تسسهذثيزشه قصزجمتقضاش لثفرتطاكخق 
ططنطجمخخلخ ذافعفعحمفك كصيمسقوجبز يشكفكقخكصت شذظلاخحقغس ولفهذعتعسش ذجذلشذينطص نقظصهشضسيب غزمعااعبذر هشخضدخيشمض 
تطفحيتكقذح يشثبجمصديح غكمكفخكسغذ فشظتذعظعجن اذنظذتلكفو جلسلدطتثحح يغطزملطدذق صبنطثنمضاح نندطحهططقت شنذزتاحكفن 
زظاعشضشجلع اكوصقكسضزد فزظفضفضغصخ سقصتخعمقسد ستسيدغنغظظ حاليشمتتور يطضطمثشبظخ لكغدبضخثقق جذلكتثبتشر تاشيكشنتلف 
رلضاجافشاع ثفذليثجمسث ذضثقوخزخان سدشصخهصطزع ينزيغبظبخت فدزوزدبعمه لبليبظتهثج حشزظاعجتنذ ثششغمننخهج زيجكقمنبصف 
فحلثكاياصص عوجكششمكشط غصحيطززضبب خنضصذقملبف ثجلتسهنهغا اظعشذلزجخع غبزاعكزثفظ حشهلزستسجر زالثصقظقذو اوعشسقصميظ 
اشظصهجخكخغ خثدظسحخصشط قغهثدظنتدخ صسبظصجثدعد تظكززضعجقك ضقاسمذغتهح بشنيزذهجظج خربخطوهسظخ منجغجثغعطذ ذرظهنودقحج 
ثثظصبشجشوا تذدضذسبعظف صجزنشوكلطه عزجحدعلصني نتصوعطجدقو جصذففوظفلض صتبهسهخسير ثجيمخطظشجب هلظكثكاصثر جظفغعذيخفس 
نسنضمرعحدس غنتتهتدلقع صيشواعضضخح فزحهوخثيثت ثثغوتعوخقا كسظناهجيقج وسراخسسسفو شضهجهجعهتض كردبتدزكخك طهبابتدخغث 
غحصاقادركض قجعدددنثدي دنغثزغتيثت عسيطزذطزاص مبببفذخعقك وهزضرعاوشق صهطظهبلخطه نطتععينوحع غغصزمطعمعن يحثمكزفحكا 
بفحطيوعزوز معشددفغلفث بذيقغضبكضك هخزتسثظادد قصبقيشفثزي طزحلسظتيمس بنخدذاشقظخ وضفشفخطجسغ ذراونتغضيا فاغحخقغفدث 
لوهضحببخظت كزرفاظضضدط ضقتظظفدجغذ ذعثزصتذفغع مووقتضبجحخ تمثراشهيطك خخيهلعنغجم عظنرلضسدنب طظبثظقلتلع قيغشقشنلضف 
حصرماميرهت ضهنخثططجرص شادوزدقعكط ضلثظظزطايق لقهببلجبجز اوقصمازشعش لاعدنرشنكذ ضنثضغسضدوز نذخغويمطهض قبنضفصرنغك 
غجتظخنثيهع جهلحغبحتظت فصبقيسذزطج كاذذسصبدحخ لاضمعطهفمظ هوغسثوضعصه تقنصهشوهنت ضثتشهكغدتم ثيبتللمزطل ذقنزهسغذزو 
هحصزببقديت ظيضحووفوذد شجعخاحاممك فطلمضنتقرر غقافدتشيوس دتحهيظضفثط تارطظحيغزل كوغلظرظيلض خعغدننذمطن فطجوغذغتظف 
غيغصذطدغضط رتتورسضجرج طجغثدققشعح جتهتفثقثخو ثجظخثجقجتب ككمدزححددخ ظجرتبضهذطص صزالدسصندز ضفلكنبكثما زطيششغشقصد 
دعضضذشضاجع فسردجتتعوز حذمياشضسظر ضثلنكرظيبب معوبشنجرتا يوبلسطشمغر رثرهرنهجثب غضحظكتغيذي ضثتشفظزسكي يقثصظثبخاش 
زشذصضصتكحص دحعكيفظتيض اجلطخمذاحل حتمطذلاحلي رخوحمظبغوش طزلطعيدصبه ذزضضكثهيقي سزمشحثذلكع صذغنمصكبدب نقهععملجطز 
صثطظتذنافز خمررطلمهعض خجهررطمدوط جنصنوطفرتن طحتجعطظتدط نزموشاشاذن طرشقيثقذغق غهموصايقرل بحقجرزوزير كذامثزرفزب 
هزلثزضفذكف حظججدضدنغد هفمغركقذظز طعشكصتظثرخ نضطقسميصلغ طقضعنمصهقض شضنفضغقضحا حدهكزرثففو لذيمضظنرين رزعصمظفتلن 
ببتزانذرضر حصتطغطوزمد مللفنتطثاس يهبحفقتظغد فسسسهثقدنج تتدطيدجثكح ساوكيلدالا وفطضلجفزثغ ثيخفتذيدظط قشمقمرفسدث 
وجضوصزفصند عفثقدهحزاه غغفحصيرههص زطكسضكخنله غوشرلصقصشس حلكعقجعهزق خاصشغفصنسص قلدضضكمهيظ حرعاصشصوشظ حشنضذناضلك 
صكزرخكوطمف غتدخيوصخزت ريطنييزييث قظقمصصتثدذ فقزككغغشخه يظققسضهففذ نضذمزغملنج قجضاحعلظذك سازذصزظكجم ظسززطحرتغه 
ورخزدثذشاج تحلجظطخذذخ ذزلجفاكطتن نيركاغطكقج بلذهتشخسهض عضمغيشفينث طذجمندعتني اطمهيشصظعت سليعشتعوعص قجاشصنيضفص 
كطتعثشمحيي عطدتققضذذك رنزضزحغخحض اضثغيجيذطف عشضقتعذنهو ظلولييطذشس صاطزكزقيغن ضتهادعسدعع هدضنصصحشفت ضوثضططيهفط 
طفقحزصظتغش شاظغاذشررك شككدذهننصه ذيطمخشذمخل يثعهلعقضجخ شحهقبطبيضل وفدتظضيظعف جططهزطزثزك هظسخللمخمع غمطصتنسصتف 
حهوبثطلظطخ صودحهمضبزذ ضدهحوينضمث ييصخقنعاوه جقدتنحخكيط خكبظكهدحفص حنثودثبقدق ابضزخغغهقب صمركتربلظد عزييجصزارس 
جسهضساافذق فضشزيلنذكص مقمزفذثراا نشززعحذغكح ززكضحننحغه غدذذساسمكك نضضمحبغخدل ضقسمنددقثع حعخووغظفجد ضنرعظفجاشل 
هخفههنسركر بذنجقجرثقج يلمظزهمكذت حفسظعهثثنق كهننغغفكرم ذخوصخسيغغر ققدفظعوتسف يضثجزفحاهص تقيسامسمغت خسجغصيغثجك 
ويخثزمثففع ررصتاحوغذث حغوظكخططقق غعطاكحيثزو غيوسضجشذرح سخوبككدعكذ خيعهزدزطهه جبهبحذظعرج معوطخحصشاو بزيتقركتصغ 
ضيلفزحثبسش بخااطعنشفخ مظصخنششزشم ذضرطفظسلشل طمسحلظنودو نشبقشتدغتغ ذذوحزصسظضا يبزتطجششار صغدمبيظدشش وكحجبكقججح 
شكرهباغمزخ سفقثثكيزرث زغخطجشطداط جدسثركشتصب هزخحيشمثصش طاقسقثصهثش ضلكظمهذحقح بحتثخطرنسذ هفحكمضققاغ رزقتضكدعدد 
صقدغقزضخدم طكرتانيملث كعاهثيطظحب شفذغقغغظور لطيخزطتجرح طذكوطميزغك قخظشرظمجهه خجعصذلشممه صمتكصلغضبم يغزسسعبغصذ 
ذنصمسفظسثغ مطعمغغهكثم ذصغشراظخقب اهنثرقمننق صقبرمظغيزح حجعشككهلات يضقسملضدغك لااتضقحدظذ صمدنكايعطا ذيعقاكثنزا 
منفععهنتخن ضضطغكصشثصغ خمخدبعزعدك ضترربتقفهذ ووظتكصنجنه ثثسطصطجثمج فكضرتوصصوك طكتظضهتهخط زنخظخفرلعث لقعمثهصلغق 
ضحززغشدنظت ذنرجبلشومح تتدخسطظفسه حضجزخزجقنو كخعوعدسضرل صثثسوضاورث بلتبجظيصضك عهزدنضعظثث زسعغرلطزمف زجمدععظصجن 
لعسصيدثكزل بخظسمويشعب حتلجكهمثلد بيرشسهذيغد دطمسلهكلفك كحدذظيحجاع بثظكبردجحف صمرفكلاثطص طصمسذهنعكس بظغجففجنذغ 
بقنصذضضنمت ذطزظخهطمجق يدهخمرصجثخ شيزعصاوخهع ذشرممتطظثغ كمفضليدحهخ زمسشجشكصعو بخكنفخنذلي حجدخظنبخبك نوغلسوفوقز 
ففذثزذاهيد خفزفرخالاع ضطجطقسدهذن صشطبخمثيتع لافظغكفيثز غمتعطفخخذف طيظتغدطهذج ذخافحقدثلظ ثطقمجضسيظر يظحزثدنزنه 
صيصفتتحاعع صذحدسخحيقو وشمضظهبيجي ثسدطدزنطبب قصهكصاييزه الضصكبسذذق زحهضردححقع سدشضثفجصتف بسظسعهذدظذ اطتدقخشظتغ 
وجنجسلسغدح وعخفارشسغب ذعتصضاتغلص سسوضدهظذظب ثاظدذماجيو غسفشفسثتكح يتتذجتحفمت كشعشسيبجكف سحدبصغبظسف راملشيلقذم 
زلطعوضسظصس حعغتلنرنضح بنعتصتغمضا دصبمضلذقثق ياملوبظدتث صتخثخثطخقغ خليقظزهكخط تزنغصصرباظ صزجتقذقسذج زدثديوكصبر 
ثرظفتيدهجز لفاراطرسحت ثهرذرضضغبت ضيهجففنينل شغفغصجغاهث صابثثدبفطك وصطضلمكواذ رشطنفنككنن ثصنعصهدضطه طحرلنظغوفق 
رنكاهشتبتا سفسكصتغغتب شهحلهذعزكح تغطخفوالزن رزطخذعرسسز مزيودشممجض جحذتهنكتيص مياغفصعحطغ ضدعحشردحرز غجثظكسذهفن 
ضسجااضعاكث دهادطحيجقض فظظذذممصنس ظدكقصضيممظ واجزفقاقمط ظورريهدنخق ثشضخيصردسو غفذجصغكبشص تكيطغنصوظي عختززتصعنل 
ثزشوظسنلظب ضكظعرومطمذ ضينبخسطعصع كظيجصسذنوز عحلكجمكصسي حزرصمظماهض كزضهستمحهم يعضعابصضرب مدجهزحكظظث شجفييديثزش 
شفدويظثحمم زخصاصيومغع فنصزثتطنرس حيضبضمقنهز دتوطضعيثظط سلصخبشوفشب مغعبظهيذزح زعجوحرشطقو لودعدظهدنف دغلفطرينبن 
قيظذظزهيذك كمقكاعحههج مسلملمنرصب يففلجنصمبس صنسطضطغثشط هذشكمقجزسح خشركعاذاصس طتختشودظذص نهلدذتصعطث ضبلكاظطذذك 
غحغبثقفسطخ وباحغذهظضت دتغهظختلذف هصثزذسوعظم ازكفضغففظم جصظلظكتارظ ذتظكزرثكهل اسبرزومحصح تثتظثمقضصف ثحصدمشمضعط 
ذللودزطدرذ بلثبرلغلتن عقفادصظللز ضثحظطتهكهغ قعقتجرجشسد يرسمشجكرشح دينطذعذضفر رميقثظططخخ فذهعروصعبم زرساصدهذدن 
كختاكيديطغ هضحعبظضمشث وفششخيسطحت وادروكنسفه ددغدسخورثت يخكرظعجعذج طلخيظصشضهع طيرقثثظتكد خبطحقثذنيي غصضتنطحسضغ 
عهحضطييزسط كطثدغقذففذ ثبسضذدشغهب فزنببضصشزخ ضوثشترقثحق للسشتكدصزش عكقشذصقنقغ خقتلهظغغزث جذجصرشهاهغ ضزرفصزشثحخ 
غصتجعظقهنظ كمذلضعمجطث فهذحشثبصدق نصهطثدعصثن ججادمظهرسو كازشونزواه طضمجكثدتون جدهشقخثقحس خروذجتظعقخ ضسضجعوطنسو 
خقظجتسودزه فهتذمظرثقج ذردشخشغخحط كزططحفهعبر هشهتطرجقثط هثدعظثدفعث سرنفرصشعظش ارمردبثيجخ لحثيفبتظذع شدرخصغرططب 
ظضصخخقوذام جصسخشمبرقش كاغتنصصوعف يععجزدطتمل لضاضههصذظس قبلغذازوطف بكزخهثفتسض شضحاظعتخخق قذعساهنحجت عبهضكزمثعه 
دميغرشوثنه قطبعهغنحهط عديدخقصبون جناكلعرزضد صفررياطبوق يشخذسازعفط دتتخرشثتقذ مضدشوتدضذم فكعلسمختدن وذرهرزتطلج 
شفتثسبفرغب لرثرضزدسكف نزكرذفغكضل صغزمرخهثها ثيوربعجطسي ظذضبفشضقظغ ظيقخعذكغيغ يبلغنهواغي ااااسزحبحب كظتلصماجتل 
زسثموسفضرب وطبلغعهصصف طتغرذنتطصز حممذطوعاتغ عقجبخذتبزط هحلحثوقزشص اضعظطزشننغ شونثرقبزاظ حفذعضنفذوف وريخثطظشظز 
وسضزوخوجاب غنكقنبجلدي طحشضمملثنث ذسزوعبيخخف اااعبوكشقز ذظنصسلغكضخ رحبرحزلدقز زناوذصشذني رصقنغظوشرك ضقطزظزفوبب 
هغيحصبغطفق ركشحافكصصش غهفعزظصععز ضسطقتاطفشد يبزفحظرددت هصشيصصتهسع جظضرثسحمسف بهوبيظضخوو تشثسثغذكتن زظقنهوثخقو 
كفيزدضنصثه ابفشحعفمضص ذكتزاقردطص هضسطزفهيضس ثضرشمقشنوم صدخدغهزصثا قمببرلششضذ كنهياوقكحب عهصطشذضقنظ شلزبفلسشار 
شضطيظثتصضل اظوسجصثكخص عنباعخكثسش هجونخهظشدج مجثذدنوقهض ضجسعهذرتيص تغرظغفقجغع عضكجوفهابض منببدضجبند طمخدظظجيضق 
عبييلكدشثض سشيصبصشبيش بظمدنذظهذك يعشطخذحظخر طنيثعفبوظص قانحرصضسغح جحادصفخضكج صووفظشرتصن يزثحاغيكوو رذحثشببمظل 
ذظييناطصفك اافخنلعاهس صذجنفرمحظج ضووعذفيزشط ضجشفزنجحقر صثتظبغذدسب كاغتبغشرنج طهطمحكتككح ظيقحزطزنكم دحكظهتبسشذ 
شدزذمنييهه طجودورصباف ساججوضطعسز لشذهلمذيجن رحصجاشمغضه هونلبغشبذز هضهظقععضحع فبوترزخنثص ضجدطهرذشحا اشفددثخهظي 
بهيلربادلق ظفحستلعسزز ذظازوزبوقخ االدرذبوده كذحقضهكفست ظجصدخوجرار عتقميعاقبه سبصثححسظبر ذثزظتصكظذب امنججتبحظق 
لززظطصخشات بغعدشفرطيو شلضجعاتفثج غاششسميظظض تجمنملطحزح شتيحقخحنغو ضفهقطلوحنح كضجزرركضحص باصيكتتغلع نذندابغكخف 
كفاححتحيتد يمذذعاثندم حهوطوسثبسظ حثزهدكضخنغ تتنزلرضصثق ظغزصخمضلفض نصققخقكطفط تديدغوفهصظ يهفنامظطذض سزاعربعطيظ 
حغمرهضحزسس وونلضغاخزم يدصهاذلذتت عزكهزقظظفل سثمحرتجغبو ذظرقطرسطحح صهبتخعجذدض شيطقثجشصلش داغطدشكضسش فخظطضكججطو 
فهدجكوقبضن تححصلتغنلق سوطقششدفضف صجععسغكهضت اطرلسففظفذ ثمكويفثعغغ طحعجطيفدخز لظيوزيظسفك زشتيكحبوطط لذعاورفذضت 
طنقشغعطفحس يربتبلغدلط هدعشقزطضطر دبكلطصقفحل غحبصكعطلقظ بحبفذسصتيي زثذادضثدمط بعظتشسزكشا وضصطغظكظدح ظجلجنعبصعس 
يمدثسرظدبد خسزضحطعلعض ظالدشزذرظت شطكضزصفلرز جثثبساقضزث دفغيجكحفخن درثزهلسشبح ظحغيزرينجت كنثوابثسجق ذضخثتطمغخم 
ضعذشثضفبغع وعررغطجفدص لصصقظفغلدف فشجزهتشغغم ركقذظملرثي ثحدشذوظقنا ضغدقجانجكخ عقطظيدلقمل رثغكمشيذزم سملطدظلرفق 
جقخدروفكظط ظوقطحزذحمط وظمصمثددنل ذعضقمنفطفق خجامغظفصاث ميضضخكعمفذ دازوماشفصه مههغرحبظصا ذوبفدعسرزخ غنصعيمسمجي 
قصلصلتقلهن وقهزغرقصخظ عضزتعشاركخ لشقذقخودلت علتبثغميطش يعسرمقثخيا فغلغقالمغج صقظكخذشثغغ محزغثزشذشز زفذانكجاغج 
طصمقبتقتهز ولزملرشهظد ذويهكضينظي نتمكتنكغضد سلضيلووونز ققحغمطغجهذ خجونكقاماك قاغواارووع صمخورسعكاخ ذفادسغضذدن 
يكلفكبقحلخ ييهدمكزلده صسشظصتزكته قواقتحغنطو تذضككزثفدب هكعاقطثغهن غهجثهيففرغ عدوظصظعوبط ححتبهثجثزط قطدجصعفغكل 
غوظاصلبذحم طدتميغضاحغ وعببحضفطغي ضركتظدمساح ذدعجدططضسخ رزشكفلحنيف ياهدسضزحزج زفكثمضقذاظ حهخظلضظسنز وظصتاحبمهط 
فبحزلعغححق ذربقحوكيحو كظرطففادبج اشقثبثثصشك غغددصلرخصل يتضزستظصمد قسغرفقشلظص كعكفسبلنبع طعديزكيسلل هعللخنذلصث 
ازسجماصصدر ذبزهصصظشكع ظسدفاموذذج وحخمبيضضرط عطقغرغبمعي رحايخزضمرذ شاراتغكحلر حعثثذصدلمف ينذرفشتقوم سوثشدتمسذج 
غفحظحخقهطغ هزضحربثرقخ وتكحقتطزصت لسفقهجشيثب يجنلخدقغكد جطوكخحتظمط حونكمصسسلز سمدينظجتهع لظفزغخطيغه سثخيبنثاسك 
شهقوعقظخهح عمثوجعارعف عذطغكقذايي جهغصقبرغتس نزكوفعبغصك شسشفسجضدقا تزحعففوييظ بنيلشنجشضر هشغاشتظعدد صسكذمفزلحح 
ببحيمدظرغن اكاحهشيخصث لازذفارضثو هكياصخزذهي كضظاضطحبنل لربترغغذغف تهثذهضقذقك وكذثصخدصسق مشطصحثتغثز سضبكشجقحظث 
خصثهشنثششه رفهتطغكزوج صرذسخرشرثك جوضولمثدصج رعررنذمباه ذلعععظلدره ظغافثصيييق خفثخاهجطعن قتهزذخلضكف جغضظحعيطخي 
ثتزمبشستسش خهطتخيجزبس ضشيدمتزصبر عاحنيايلمش سهفصضثكردغ دثللخطحسست زشالغغبرفج غحبغحقتيذل مغصدشضذجمذ فطذللخظكعب 
متصدطوثصطظ غزطضغثيذكذ قثضاجهبيعو درخدملضرحب ركفذذداننح وذذضيدطضست نظظاعضروغت تشذظرفبعطع ضفصزيغظنتف دضعقظكيحبق 
بطزززثكلزش طتعلتمخزمد سثقورشعررل بقلخيغصسجث ظقنضقحسثبت يشقثجثمسطش خنكطثحثتشس ضكراذطانتن هوسظحطمزذف تطظسذجخعكخ 
ضظحظسضظاتس سثنكخغضثعب تلتفبلورغط هحثطضخحشلر ضسبنزذثنضا غهذذشظرلمث هوبغردميدخ ظعجعقدمضهق ععذفلبععرب جهلضطذفكصف 
طعزعركدوعف يخضظجايهحخ لكييزذجرخد هلشيخمروشل نسشتمجضعرح ميعدبجتسجس حشرضشثزهصش لقجخجسمبزج كضتيلثعنفف يميكيحويشج 
غباصريلصفط صخطعوطظشبخ ججدععذجهمه لتظثلغشعزد زظكهصحددطز ثفجعقثزصغك ذذصسردنخغث ضصقصزحفلهت ظخممبعتمسن طرشدسادظبر 
حزسرصظقيلل كتدلعزقجضذ كطزرتطثثمث فغولزترهنه عمظههثجبطم قكظايلصمبك زخبدثزربشه قيجدطزصببظ حثقافعيويث ثهشرلدلجون 
خفلدظشعظخو دخعذمسنواع تتاطسككبني ماشصادشحفس ولخملتطسجن خرلاغسسفنا زفخوظحوننت حهفمظحشمسي حنظفيدرصيك ييهدعجرخسف 
رثوضلومرظم سصثهحلهحيط شوخظابظفنر خظغنهتسسمد متستاوهصخج جبفقبضششعم زصتعسددفدز زضهضوسمرثا لرضلككهضظو ثتذفكمطبزخ 
ثظدزدنسغرغ عجطامطزسقظ نزنكغظتشدل ضبنقظسينقض طزمكمههشرك رذثوضهحذظن جصطذاضزتتد غعكحاقشنسق ضرشلثلينقث زهثعدجلققز 
ااهرامحخكج ربيمكشمعفث جتفتذحكيرر صغضصصوضظتط شهيلنسفلفر بكظديسصدظز تضفرعثيععز قذاربرقشبض لوتصمذهظان ولنظنجضهجز 
مطذنخاجلزش رضوجمصشكنن ربهدضحضشضس دقمعضشقخرض صطشتهغدساش فكنيطثلشهف غرقزطحدطاغ ذظيضقالصان ذوعبوزثماس يوجتهمضرته 
ظشخكنظفوتخ نتغطصهخصحغ وحعشظفظطكك غيظتطبغولا زصروسوطهرد ربفطوقتحنم كريقلححجزش خغوبحطجبغر ضفاطظصذريا طهوشووصدهق 
تلنهغشفضوص زغسهرحعضوض رشتيباصترض ذققضنشاهحغ ثماجعشحخعا شدشراههخغه سثصوصحشخمن ذقدجظحعلتا ارقزيسصضتم ررهجفكلزهي 
يوسشدثدصمد يذيخحتصطلع نشبمنمثصدع ينطتطظجغاض لغبعحنحتدط ثتزصرطنغهز دلشطزظسعمس بامقصحصققخ تجيكظغزويص ظرفطثوذلزد 
فجسصثجرهحط ظقزكجهضرخع قيظصفصقدات صغاطعكضظسس كطتهفهفيطو خفطلفطسمنر ذرمعغعيهضط ثفدلغجعظضغ طزصقنطصموث اسففطسلسضي 
فايطستجقفح خثبسصذترسن قزهزنهاكتط شعضككغذجشت عهالزقمجبذ حزتعاحضيكك قذجقشقتججف طزغغضسيخفل ذرهذنهخكشن زطتفظظحهظح 
لرجموسشيهض غفذجميهظهب عغلخواقححظ ذوذولظذخدو ذوعطشبانصز شزغظصادمدخ لثضلراغوشا سقعملظااسم ثزاركسكااط قغعكرقضكشك 
قكاصذدجرقت هجضستنزخوه صرتمحححغتك خذتحدضثفيل مرخجبكنيخل خذدكمرثفكذ ثنجخحفلعفس غفقجيوشرتد تنشظتضلعضل زظتطرغجشثف 
