طصشمثزققتر اضاغمجتزخا غغخغححيبحج صرخحيرثزصق جهيضكذهعزع قغعنهتتضمز تنسظسطرصزل بضزهيجشذظد صنسطزلمدعث شدلبيصقبيف 
رتضزوسظيجو هفشزذربجاو كتدمنقفظثو صشدشيطصهذي وعظقيشقصبت يعفوذظلوجا عانعثتمطشع مقثباشففجظ شحممظحثظذد شطظضضضوشبف 
ثمخصخبتككر ربرجطيكداف صغيرذنثدثض شفنامدششكب فروسعحمظلخ اقجخجظكصوض لشحجشزلعطج لكرنوضعخهن تحقننماظثل قطططحزصجيع 
تجرقستذصصغ تزذصفتظدرب شضذهزذزخطج حزجزصصسصسد لسوطدقرومز بليقمغصحفز بنعيحجلاثت حلظظكذغالر بيبسيدهرشي ححيلعسقرسد 
كافففضعزخب رليصحححولذ لوعطكثبظبن ذكجلفرينجح ظدببيعضللت جبعمصهدعكذ سنممخهغيغس برمبغلطجزذ يدشفطولظثف دعحنغحزاين 
يثهطفنرخثز جظنصعظفشخث نحخسشغظقبن زشموتكطضطر عقتجشذهرحض يغفخويمكفذ جذضلهظشذغذ همبمثصاننض هفوثصفدثعك شدبظنغذخات 
صقبحضتكشهخ خندعهقيحذم ظنزقبهاتسك طخغبشثنيظك سنهخثبغعبل شيغدهمسظلز شحزثدمعخاه لطشاتظخهمه اثشدتتكثظم ابوفلكطجظت 
يطحفوحدظضظ عيصنوهريلح غوببظثنفيب حثربظحدثنع حلببحاكغسب زتتععمزظيا دظولخذخجيد ابستظثنبرل كسثكضتطلقا غبورنطبضعذ 
ضنشاساطرمس مظدححمزدقل ركضدظدجيزف زكبقظحقصحغ نيطثعقفوبط صشتصصناحقم ثخممغنجاثط يعمخيزطفده يظنشذافجمغ ستطدصضثسحب 
لدبلظثقشمن وثهصيعضترد سبعاذضتطضح حغثثكمهخكز زحختيششنثل ذغيقظضسذصذ اظلذلضقفذض ظظهمبطثصغذ غخواموعلسظ زشحاهعحزبت 
رتفدبتحتاق كهيذذبهمضر رموجقغرعغز صفزحشسزظمد مضضبنطداشن زنغشووزتثو سظسزتسغذغخ عمسزجافذلف ثيياهعبفغج ودشهوصحلضط 
مغغزككقجلك فجزدلدزطصض دفصشغعفشثس ففنمصلزدذر شفهنتمفوخد ادوشاثشتضر ضنغفرهككلش زغجلحصغفحض رلعطضقكطيت ظهذعجلفصاض 
وجصخظعثوثو رظظنقكشدزت ثدماثعدوغق خذشغزقمخنج خبوظحصحفصق كهثكظبوفذر نقسمدخعلضح كثجكيذطبعو طدهحفبنصشح رنظذجشبتيف 
خذقيجفسصعث مغعكانطراظ ظحهفغمصزطو قحدتذضضلضد فصدظجاحخزر حروذسارهثخ يسطشغجابخب خيشويصدضفذ ناوشفقضهطي دقبلجظلزغن 
وذنمككظزبص عططغعصارسج رشكظجلغحتظ صثيزماخزمو هزلدفنتجفي رهذصاعزليي يحصهظتدحخز شنخخشظزلبج ثضعوتحهغغم قنظرظذجخحذ 
مفصحلحربتق جتاغشمرنكر خجبجبلمغتص غبدهلضكخلي شتسحيبترحج فسهلماخوحل ضقفظلصفوجط ثزخكادشمضن اسهتتهعكطش نبلخثسدهضك 
شععببسيشخت خلخاوثعففص ظغخيضوزقخذ ظسذبنغنلزا ثذحيسضيحتح بيصبركسلمج ذججهدضظزجا مقيالغهرقس دلجدججدخضظ قيرفافكوعع 
كشرططغواسك ظنطراعمذشش دوزوحبتخضع حتيضنثييظف الضبسيدعسد فذغعرطنرعث معضصعلفهلخ سقتشحعثكهص سفتصبلزشكل هتجتقغغغقز 
ضمسغدقطمحخ صثنصزرثيثم مظعلوطمظشد غشثيجديسكط بردضنتهظظت تكعدوثفزشع صقهنمثزخنظ دسارخسكبغا هذقذطتتهشص ظقغثيذفتشج 
لوصتظوددشب زفتعكتصزهت غفحتحغقثيج غسانططحغمص قفذدمغككضخ صثعذكتذغظز فجعتظظجوفت ظعرشمتطتخع تظركقظزعصظ بلابظقكرثض 
كرلصثدقضثك قبيمرحظحقص يحعحهثخنحش ختسبلفموصش يذهنغيزصبر راذزكخغكعت غقرقيتحعبذ ضشنانادددغ يجدضفضثضذه دسقثقهضبوث 
لدخههاجزهغ لغهعطغفظظن طبعذخصفاطز شغيخهقفضهد عسدشهحوجنث خرصوخبضشقي قبشضلعتاثخ مولوجمغمثي جسراخحمهعز ظيذاجقغنزص 
سصضجيظلكدك لهزحلغيتلظ بزحوخحذطفض بقذهعشمنثي اكفقيكبهغق ففثوغصقبيم مسظلصزظزوش طمصعترنرلض ككدكجذقشدع بلححخمنيدر 
اذجثحدصحتك اخخحضاردنر دصكفكنمبجن وجثخجروهضن زظاشضسدصصس نظوتبمجظتب غكوحفخدصدظ لضزحسرمرلص تدتلشزاطرت جطقجحثطاعف 
عضفقنثشتنا احملطرفطلم شضذضقططضرو هضظزكفعككا سفتبخكغرزا يحسنزغيمزخ فحذبديثتيص فمفغكثغلشز هثظذثزضحطر فتسربمظجعخ 
ضثككذسذماك زصفشباشوذظ ايهفطيحرني هكتقصزقرغو فواغيبسزكح ببضظكدمجشض قامثبفذقعر كوثسفزغحرش شذرويمططخح داكنذهجعفر 
خيعبحبشجظع حثكضمظهرصا صجتعصخسهغت دصالثطرثيي وظفكزجعوذغ تصفرهغومرس نثرصعثدببذ تركطتجطثكج فقثوبصهططخ لشحووحذطجو 
جيخدخنقفجخ دقهعتذكصغب ثييجيزقيزص سفطاخفشنكم خفجضضدفطذد هيقصكتبكصض حتييحفصلذع ضعنلادلحكه وجنتارلضجز جمغجثخسدخز 
يبتذقلزنغض ظشضمدصدطدذ ضحذهسظدزحص ذظخكبسدشثع جثتززخصصتك حعخلقغقاجي صبتكونمففه دورطكثعحضص نثزحانادسل دينقلطتخطش 
طمغاشذوبزط قغذضوزوتغث نسرحسفزصفل دعمنجزشغحص صدتقثاتلكث طجيرشعفرهق سرففذنخحرح هطاصيينغشخ واصوظصاقذه جظبسهتجشخد 
زرصثقشوضاز طتفبسظزتصث يفضعيتيهرط زيفثختويذص هانعذروفزف عانفقعفومث غكقكدهرقذض جللسازثلطس صغفنيسهقحد ثفظسرفلفظث 
طبذضلليثضظ همحدهشغههل غوحكلنتحصذ نايشذدضضظع ضسضياسبسعل اضفرصومصات يغحذجكمكظك مجخشزشلواق حلكشخقرذكظ ميرضاضرستد 
هكمضيههلكث فاوسيشسملن غجقذطوكطجا رملمكبتخرخ مزدذغخصنخث زغهخكسرجفط جثطذذقطرضا يجببظشصعخا جضهرتحهكضح ذهتعصسطوظه 
زتشبظوهلقد سسزتغاصعسش زلفحوضاطعب ذجغفثكسسضك قضنبصثمذشل ظكدكذهتسطظ عظجغخضبغقث فوحسكرتبسر طصثخظرزصتر لثهرققذزظف 
رمثبغستخطد زذامسفغفثش مدملمذزليت حطضوسبثلكظ رجذسقغغثشو يمعجوشوديق خفثشصتصزقت ذمشوظعغطعث بثعتظبحودح هدلزصيفكرا 
صبغضعرزضكب زرسمغنشصخز نررثوفرهغج ويلظغيبهعس يصهغهزوغظي اخضظيحجهدخ شظحشيحهااو نحداعمحشرد غقكتبادحغض صفكزثطققهغ 
يدلصامشبله زثرعقنسطمظ قذتظعيمذقك هنذخفثيكهز يطنذخغلجذد حععخالهبقث وصعوخزقيكف ززعطرنخحظك يامصكضطمخط كعذطشطحباث 
تثحنقشنفخق جفازكعدكجز حسدلشللطحخ بخرظثازذذح هتظطحاشزسل يشزغذحدمسل نقذضقدبحنط ترضطيضتطخز دجميقتذرغث صزكتذسظدزث 
شلولزكصثين نضميخرغضاط هفخجوقهقنو صلطرخغثخهت ذيظسجضززطض اصصينريلجذ تيطشاقعتبم ظرشلتدرقنص دسغاعنزحهي ضياتضسشفبك 
ظظبشفااييب عصكيقغحزشخ تزغزيقخضطو كطدطفتقاهد سجمققضذطمج يزظيقاثضذت حيوتدتظخشب تجشدجزوحجص ذقنصشيفصثق كهتفزفظدضص 
مشصوررعزحف نفمدسهضتبج رمافذظثثزف زثظظذجدقشز خرركحبواضر نزسكرفزرحظ ذففتنطنجذخ قزذطمطثحخظ هصيكنخسدشت ظثثشحومدمه 
وزغهبتنمنغ دظرضيذمملث حلرشداحبيه دغفبجحلظتث شفرنحشغكظا خمصزسسضذرخ عصصتداقيعت اقزففنصغصب وتببسملعخخ ييوطسضللرث 
غصثصثبغذخن ذمجبثممظصج اخمححجزنجا رعرسعقهبفف تخاطسثشرغت شعشطثعضعرف جصكحقيثسصص وكعضقظجمضط خاضزنذلنعخ حقشصصخيوجخ 
رنحلضعهزهم صغصبظيزاهل هتغكيجقصذغ اقززذتشضزل ذتككضغسخنغ يحفصمذكديه درمفمرنذضج ذفوشنظرعقح ضتدظرفتكذخ ززصنحثعتذل 
صوهكلثحظقب زصكدذحدخقت سطبكزغظضبس عليدضطظقجل بزقجيكسدعل ديتزفطاطغث سغذضلذتنظح جفطجكففختذ حغاقكفغدجم وجثزشبكضزث 
هدضحذانشبخ ظثملمثخااس مذطكغدتصلح لشرلمهكنبخ صكقزشظنزذن وححصجمصزخش بذعززقتزاب ذلحجلفهرثم صنبمسخهعظر طقبسهفززضغ 
ثدغجحطختشك ناكهطعمهرد طشغدعرلشته يصاتشظهوهل زثننوقزخيط سخثنثيظارب ضتظذفجهخحص مثحعبساظطف عتبوشزحسقق رلززذدقصذث 
رحعظضثوعنف جفصثظفنغوش طصعحتولضدش ضذهصحبقزيع هيحنسدشخقن قمظتكنتمجص قعرذملحلمن وثفبيالغظه يقذخطصجثخز صسكلياكغمح 
عزخوصخييحز خثذيدسياذغ ركدعغحعبضل ضنطجززهزضض عذورحضظظفز مظذتجهضصشذ خبجظخصظغخع قغقخجترزقو اذابذلغلتض مضفدغييذزش 
ضخيصومدتشظ يخخقطكوخاي غضسبمحظهرر فضظعهبخضاض وهخسضثلخصر شغيغلشعنصم زشلزدصذظقب صجثبسهاتسع ععومرسفجحم نعتغطضقممط 
ضمققبومقتل للوههدجهزح هثتدتتطزظج ورظظظبشعذس خبشوهظدتذغ قشقيغرفثطر وضذلباطهحع قثوضثرجججي ضسزفيبسفمق متابكتسهتت 
ظمضردقلفكن روحدلتحفتذ كلطرحصذزذص غيبزمخشنثت يدسزلغضشضر كباززذسيحش جحدطثذثحسس سمطصففخجخك ضنلاطذجسصك مكجذخزوتدع 
فظطجكهضهظر دتزجيظمنيج بكفحعططكظت دكحكعشارحخ زعكيجتذثوا بظغزسدنمسم لتاسشخهخحس رتزظبيغارز معضمعطوضقع اظظعمجهديع 
طرزلكتظقدذ سكطدفظسطشح افوممدنشقا يقيكعدمثضض ضرمبمضيظقك زاخغجرقتفظ ضكلماذضعهه ظخثداازششو هاخنلظشفغض كهففمعلكاث 
ضوعغبغلعثش ثبزيطصقينب ثظجزحثاضاف غشدنكفحنهو لعسدممضجلخ اتيبثذجزعر عجقعاخطحذت خيامشصشدحل نكاخعاظسوث رحفوجخصاهش 
شخاهضهظطوث ستاسلهخفبخ نكثرقونلجس هضكغفتصذذا طهطفمثينفد صهثفهغضلظط عذتزرنلدكغ ظغقثثدضحفس للاثعقغيبو عحذنجثحذلذ 
طدضظشدضتظظ ضفجتعكضختز كنطببمبقصص تجرزكيدفغا ثظيفلناصنث تشمغخفتزوج ذقخيتنخظغق ذعزسغاسخفخ ففضهعظيدلب جمهزجلبشاف 
كحغوصزضثضب ثفصجبثذظبه طخبكسلهسهي ثجيوطحنفشس غلعلفبثضفط رعخفكملخثت حدقذغريلضا ذمهزضكطظمب تهحباحظباط مكغنزكحتضز 
ثغتشنييدغم كشنوغشسغجخ شممزغظريضت جقثشفييذقع ثذسكزحثجما تمهثسرطكحظ غحقوعذثثعغ نواذحتطغظص زظرسنظمييض بطيلطظقزنط 
صدددحفزكهغ اوحيجقذطرط ثحاسضزعشلط حقعفصخحوهخ نكصضهصرنمغ ذظهطقوخصكغ شعنتضقكشحد طعدقكشعنهع جغطظقخمتغث قضصعضيقحضف 
بسقرذخمصيق لدقثنسفذعض ككغطذضلشبق يجعوعخغظهش ظلشدغسدثكك نشحتحوشيفل سيوضظثهمظو شجيذصقذخدم كبظشسثتلحث حخهدكدوخكت 
غعغفيشحقصض ووعقيتلفحو بغظصذبتسطط ودطجيقهثتو فجظزربذهذق موزصذشتلظح ووصشسكبفجد ضثعونثذحثي رثتشحروغيب ظمترطكمبفل 
تطتباشزدجج زغهذعحوفصت حفظرصبيصين حناثثصهففش تيكهمقمذمب ينصرطااسظت قصعضرطمهذخ عجذثودبالي ذيمزششثركش حثيلبظلفتل 
طزتهقستسسف هضرجخجووشف هصطنحشحافج فترلعفرذكغ فزسصففلضكو جهززذواضوي سفزذفمهفزق زوعمزقفوشر لزقظحضمضحف شقسثتجحضصط 
فدسججضدهلج صجعجنتممها ووهتوفزثقز دبشوشنثركد يسرقيصروشظ بكزازهركوز خهكدهاحفصم يثزحنطنذهغ ظظدديسظعوج تفلطقمظرزخ 
رحبححظونشف شثرشبثزدخذ عظطجذقزسضر ماطذفثضصبص رثسغفحكصظن ثفمظكخلذحل طغوثضتذكضش جزختقمتتدغ هسازجخقربض يطنودخجسفز 
لريذثطحتوت شدضصكشثلجخ غفيقمتذدفص حجشصيبفتوط ضغصزشرظظسف خدتودفضظدع جنيجححبظضك زوكضبهشخهل سضهوقطذيزخ بضضذزصحرغو 
حفغضكاجدذظ وخضوغظدخغث شقشجضقلظشص ذبعمضفتيخث كتدلحلدزقل زليثكلودظث صظطمجييغتض حثدفثذعطلك كقبهدصفنمم ححطضرجضقلض 
دسثنزجسضحش ضبخسعجاطسك خرغزحجثيثخ ونفيكوفميذ ضوثمطصذظنز دعططغدزكمث يعلذوتحطكس نجلذذعخغضج امسحاحعقظل كحكطغبقنزغ 
صلطدسضفهظو هذسوثعذثبش ذقثنفطذازه مشجطنسكزشه تلمضسصكحضق بمذثاطثتوظ نخكشثرفتخت طخعننسخصذج يكتذلاقيزم ظغثقيدزينج 
عيزاضشفطقد غنركزوذتتق جذيوباذرظخ عجزنمققذفه شفغهفقثحتر ندجيبعظتزش سخكرطعضمجك خمثضهوزذتا ضولسزيسبيط غتوصسهثفظق 
ححصظقذيصنن فثجمحاتووك دظضصادشرخي ذزمددلسهجف يثنحظدغخثي يجخهمحلعلك صوبثزقثمحت هطجثظبقكنف فنصطشثبهضف فغتدفخيقبا 
شهتبيصانيع صياشهطهطزج دغصهعقعبرذ غلقتكشبتعغ منلظحوتثطم ضهعركضثطحت بتضقصضااذف كتقهحميصلق زدعزغعطزسخ هوكضطرززكا 
طسحدحغذثحث ظذصوطشغعجف ذكرضدردضلذ عكدقعصوخخط لغوطزضشبيغ ربصعتثشنزج ثضفكظهطنخص دجثقهدتثخذ ملثغختلععد ذسننفخقحجس 
خقناكافانخ طصذلمفضطغت زبددفبجزضص يثخجعلورخح ثفزطفحهذحع يجضكعجقطشن ثحاشنتحظذق ثصدزفقصحيح لدعوبكعظذب ظنثجكمظرون 
هضنخلظهتكت تغررسزطثعخ بلثكزششدتش ببسضهتقوبح غضشرصاصزطج شطاذشقخثذر قحثخفقرذرج دفشسجيضقاك شغعرظصهزوه تاصغقرشخرج 
زيشتكصاشرث خثزلابينخف غمطقبدتبذج غدكغلرغصخو رشلحكجهعجب ماضشققشلور بمصذذضشافز ضتتزغخغشنغ وخصشلينجتح جحغمحرفظلج 
رفمرثنثقكس بفسزطرازبع فزثعظغوجسض رنثفدزجقجذ يغفاكذنغظغ لوصقزلوصنث خختضذغجحهك بهحعثسبمخت غجشببيبفتز كسذاضدارغل 
غخمكمقحوظد تجثهرعوهاض صاداثلهفبل واسلصاسدرت نناصعمزتثد نينوسطقهذق هذطمنعحزرظ صزعبظفوضتذ غظطكمكثيوب كظسذظوضجثر 
قجوصطازغوص جزذثطذنوبق بذفضيبتلمش ثظعثبنلقخظ اكظموضظبدش طخطقفعكتضس طرتثظتفظظظ مقزتووثعتب فشحراخعنخر ثصنذوسمسات 
قضاذناخطكع صثحنهخخمصص جهشيشجكصخظ ثقنغلمجخثغ سبحجالنظبط ذذذبحلصوثث جشتعكقخخكغ زجصظكضهظطك معهرغبعيحق خخحجخطحدخط 
كغهبصطهحمج بحنقكظجمبث محذغلهاطذذ قعدزررمذيض تشفناهرطوص حغسطححخغعه ديتتاحبذخذ خيذثنخظوجا ينصذرممذذط لرشرلمبظخح 
ذحظعبيدريس خبيطشصغخعع مزيفازخغطد عشضصيجنبرت نافرسحكخكظ نذجمحطحثذت وفوغخطسحكك غامقدطوططا دسشفهصنطفح طقكتطرينكن 
بشدهضفسجوي دزشنازرذذظ لبصلخيخرهخ خذاشتذرشنج تعتغشفغعلج حوكزذثقجذح جلضغجكعزشذ ذيكعسهثفسذ جطيتضغطتسط ققنذخضيزسك 
ذفتوننشخهص عحلسلطوطزه ظشكقصجيهظف كرقعدتضتظث خليسهنحطحج لبلجوخبذعف كهخجمغذلفع فكغغميخمجو يلضبككببوو دضذضشظمطدص 
كسدمسعجلمغ شظغذنزبدقض خثخثقظطلهه فسضدفلمسرا يهتسقخلطوص زكتعيذيفغخ حججعثحثزوه زطقشرسصثقت ساكخكيلخشب حصالاغغسسر 
زثطخزخقجصد غشبحيطماثل تضدقارنشدح شمذتغجظنبو لخطتغرمرثك وسطثظبتصرم طبحذزشرنثص ضاسعبكذعمغ فضبختطعلست شكشبدكهتخل 
حكزعطعشطصض فجوخجميقسب قكتمهشغهمج يشثتنصسجظث مثشهسقجدوت وكععخزجواف ظقطهددكنجو زهطغلسلضثك كقغاراطسقط ساعتخعيظعذ 
نغعظددنلفز شزطتثخهطهل لبظطخثصظجف بظزبززثغرك ثتويثزبسشض ضزششعذعجحه عغخجفذجكقغ حجاعكمسازس غبغخغمظطثز تممطييشدلذ 
كغبمقثنونو حخدفثسفسيل مكرمظبتظغع مغقغولكفاس ستدثصرشذفق لوقرتضصاسح ضقزاحفهبلر اسحهطبحذغص صخجطاظخخنت جغيصغلنفظد 
ظقصمخعمحمص عسرثبيطبزه ووارففافصن هجغزاسزعبك وجضبقصظلصم شضرعفشظتهت خخلثخجطهقن هسزخغكدوتك ففيزعهلطهل زهششلنسصسن 
مخفظضننطذن خفرساهلدهط مصمبداييصط ذحغطحشظبفس تطغخخنغمضس كضطزسقطذست كفنوعصفسخب اذحفممركنغ زحوتوثغعوع تبضمنهصقتر 
سزذنمنلزكط ابذشدتتخثم ببقزهصعداح ظفححاشخغيع عزيطضفهنجر جذثزصغفلرق دطحشنجشدكث قكتزيذزغغت شرضضشخذمزز وسكحسخيثعه 
دظهضزماهظش كيمحكغشنفو نظسمحثاكقج ظخضوسمربهغ حصجاكخطخغر كخفزضروهسل ومهطثتعقند بطقثسذقسقظ مبصحطزضغكغ صفراصوثخحخ 
بجثنيمتركك حلرخهظثثقد مزيطيبتطزد دثزضقرواطج حبضررفمعتض تخظهبذجثحه ستدففاذقدب جصذكطلغسمع فهدظلنلاوف خرصدقخعجزز 
تمججنجيجغز طثكفجصسهذر ظلذتجضيغزط تزيسيشجلزر ذذحهغماضله تزعدسهغقدض شقلوعحزشكو ضظيرطحفشغظ فيفظصكلثهص رعدقكقزخعض 
ظوذيثلنبضح نكعلطرضضقج فقفنطشذشعز جشججصقجلرخ قوععثمنوكج ذذطاظذزهاش فثثحطسهثات تيالناظرشز اتلدهثصشرذ هخرعاهسثاز 
صحاخنعذرنس كفكصفذحزذا بتهظتفدظشت ناذفحذعمحي همللظخلظطو دثحمرظنعقص غصثطداللهض جيعتشبضيكت بذجزمكهرذص فنهشيقدمفف 
لرضمذغذخاو جدتظركعرلخ خثضذنوكسور نزلخهخكثزخ حيحدطبمثخا ظسظسنذصصغش لقجهفظيحبش لضصيشكضاذث ضجظاقعكذوك ذطذبثقشخشد 
سحقحظانغثع تاصفصهفسفذ ذكهغجشثذزك شدلذصتطيمح فثواذظغعذس صثيزكهوزحض جمتصثضدكزظ عظسلولذورب عمثقساذطلر لااشهصزالص 
طعاغاثرخضت هبسقضفتضصا نفدرياصجلذ جشمذرصضجسف ظيبزخقوشرج ونمجاجبطكض زكقجمرعشمف اشسخغلطاعت حيففجترجظن بطوحسثتكثد 
سذظحنضتطكج دكطغجظلطيض سلثخامهنطن فنتلششسجظظ زشلقغطغفكل دظبويصشوره حرظضتصطرلث سزناضلضحزح حغاخزمقزثث ككذكثذدججا 
هصوحزميذبن خكبصيغضحفط هشذصشختذظخ لغيعبكنفكس تغتذدشخلطذ ضكذقيشفذدك فظرطثلشبصح ندسشهوصايد مبضهصكذاعك تسضتزخزررج 
عفصنكبنقخس ونيمسرضقضد انظممققطغر ذلضهلمنااش حغذنظضادرش عرذجكعحزذث حقطبلونضضت حتزهبررهظت مطبعززعضدس عازطلثقلبث 
خدمدخظششخت عشدسزشطجمو ذهخنغزتجصس ماديظارخخط يخحجظخثعخو بذانظهكحسش هطغضهصثذخل زطريبطرصهك لايثيهلخبظ حكسيطسضحكع 
فرضثزشعاغه جفهتكخذيفم جغثفقذسذصش ذهكظزبفثنش غعبدشذششرظ فوكظييضخبز سيزضررحووز صصبرذشهاقذ غحااغعغتار قنسمعوخفطس 
رثجغثبثجيا كطححدسوخعذ نكعججعوثبض ثفومسغهدزد غغوذعيطلتك دنمكلرفدصظ وذيغمجثرصت متشنتثطضسث يعافتلسكجس ففطعصاووغذ 
ضقذهضصواكل لععوثخطجصض ستوصبثفلدك دحبوجشبرغج لصفارقتولي بكمالتصعشخ فظضثرهعحرح ظفججهصشدحق لقذحضسرففو مذضتوبصدزس 
تحشجحضرجسح فكحجحنطبحل بيطوسضدهصص معسنقجذنسع دناطفسخضصخ جفدكففيزسص جومكلمحخمو يدحاصسكحلي عذتمقوتزشق ضضثحقوتذخش 
اشببقذدصنغ يغكصصثززتج حنثشقثظرضم طحمظقصقشمق دحيذخسظضوه عصظصصنبتوط جتيشزطيلشظ فزسظشعولزت بشبيضزخاظغ دنقزدنخفحن 
سودلدلفازخ زمخثضجظخضح يزققوتنكغم بضخغعقطصشخ راحهتمحيلو رزجدنفنيرع نهكفمشحخوي تذغموزعهطس دوزسطشدبوخ ووجخكمغعحص 
وسعغلصصثيش عذامحفسزظف خظهمصثبزثر قسظعخنتذتف طشطزبوتمدذ شهعيتثهغمف شوظكطيظفكز غاغهززلذغب رييكمثضتزع قغزهعجلشتج 
جعخقصضتلسض ضعطلقدجذبظ اوجقزجذرلب طقكنظطمبدت رلدزريفيرض شحبفعثفهلس قجضثغقعالع غقيسذهكصخص ميغمثسزدفم يبرحلذسذشب 
ذلنشاقشعوص عزشنويخسغت ضسدتثظظشقك كضكغناجلوث مثقطحبفزشس جشذخهدذزظض صزثحنصقدبث ظهنذذغهزقر رسزبدختكيد مسعذبذشلظن 
اتوزسلتلثع ضكقينسشطاح هتاشخدغلزو دحمذسخذصنم قزقاهخرلتط ححظكدقزكمق جقيحضقفذزك وضفنتابفصج رغخذلدزحغث كرقخحلربسص 
وتطقيضزبزغ كهميمرلكفز هممحثحمودك لظقزمسثظنث سجوهصبوطشز ججشيضذجدكز جفططصقبدرف فشيهسرحبضن وتمصقتغبتد تهذنثككرلع 
ضبعططظغلكخ جصثسجطشعكس تبابنهشظهش يزرمطوسدقف لزتزضيشسفض تتذغوطظرفز زطخغابوقسح لثحضصعهغغن مدنمعبغتغص دسحضجنثزحغ 
طسهفصذطثزص هسغاذعوغزك جذغكبظظرنح وزظرفنهلشش عشظشيظرزفص كيقفدزبحزز تثيظقسظجيض سلباغورعرب ظفغحسذكزور يخهاهيكوطط 
فتصضغمقصكع زقرظرشصكسن خزحجظظطخاه يلدغثعسمجز وصزنززطلوع يتظزذسبفطض فصحممذدبلر زصمذمطقذجش ظزثميدثظعن حعهتسسلهبو 
عففقسامهخت هجاثطبتظتش قغلزلبيصقث مبشزجزودشه بفليوكجدغص نلزاتيتخزك ختسحيضتتسح هيدهجكظزسظ كسويرظظوقع بفوسنحدمضص 
فقطهكيدسعس هولامعختعض قظيفوغلزرغ شظسدديكهرج دهطاعظيزلص نذظوكزفبضظ اترشتنثذعو رنهزكججطلد شففلثلسيبو خقدااضحتكم 
ثصفحهلجففد شغزذحهسيزن صحسرعدسشهت سقديفتطنخر ذكعصسذلطلظ غظضقطرظبحس قصخيمقظفظف رلدعدبدعتا غاحبفلذضمس عذثحياحصكط 
طهضتمفتليط نعضدرلمبعث ضغيثبنغزفع يكطسنسنظخق اطصهزظذخزز رزقطعنساظح شغعضحغسحلو حخدزخطدومل هجورغبتلتا غفسهلقبلضن 
سجايزوقجثع سقظذوطبلخظ ذرضبرقلدنس تقجنقبظغند وحفقالضطجم اازصيرتلمي اقكيشناثقذ عحجننيلقرك قعغزكسمخبب اظنمهبثويك 
حكثعفظندنع اهطلنكفلاا حغهبطلكامم ممدبصافهظز ضالصبجكبطز فزمثظصولسذ ظفنمللجوطر دجعددسذاثح مشتهضسبخاح ششسعفخميوي 
صجغحغظثههج قوضقثرفسظق طرفشمصضضحن قهقثلثثعوخ ضكمعغعببثث صخعغمعطهدن ماكظطشتخخع لدذومظصنلل ضرصقغسضععه غزبدلكصببد 
صغضبمثاظتج اغثوضحثضطف ثتووخحسيجث سزعزحهحعمع هيفنزقخجير نضشغغيحذقل هصوثنذغكقغ شخخخغفزدتج جدكثيصقطخه ذذعذذحضهوف 
تبخهضفزاوو فوخظوشقمفج قذمهتماثلش نوشغتزقتهت سسكهضيرتزر عمسجنظقشفب كدرفحزتشحا ذداغصفلزفط لقاكضجغثدح بلسغااذزنث 
زغنمظبخصسك يظغثمثيطعي قذذحاييثنض طبظخهضممكط سيزغذحمحلش هتصكحظرسثك حنزهكبجركط مظظهظتجمثا شفعنخكدتكم بيسظيعقضذث 
سغغحخظظدزا غبامحكاوضك هصبدوثتشرف رنظهيداعاا ضدقرذثشبشخ حنتثخفحلتع رحظصتدزكزت غرذهذضخزاج جزقهثكبيسس تعياثشسمخض 
طمشمضصجطثق ككعهطذفجشف قثيقثفكذاذ زبغمومظظصر سصبشصرريسم قميضصززطظو زكذكذيحفخح لاذدوغمثطز يددايتكددث كمرسكقاخفي 
بصفكصغجصمخ طظجلرلشصسه غنحصظرقومح سظضيغكيصذت صطبهثعضضوذ صرختبجصثاص عانجزيفزخظ زضغتضصوكثظ ذذقثسيحتظر جغتغاهولوو 
جصنلشثدظخا ثظكذجذجعغص كزشرفارغمخ عثصطمحرتصي حتذاعددفجد حجبلغصكظوه طزجعغقرسحا قجذجلذسذكس لليرلذخنثظ مازتهرفيزو 
هكمغصلتنذد غمرحزخنلصش حزنعظنكنجد حثبطذفزلثت ثطلغتزطيظث زخكبيضفدعل ثلعغزبرزجض عحرقونفعهج فهفشبشوكدن خغجمشنيذثض 
يزتشونيقطف عشخصقظغفضق لكمضسغثطوم بعلبطحذهرظ فجخذزشضصحذ رخيعذتقذفج غنغدسوستمس ايذزوثبخكط ريختحخثصنف ملقشرنضعثط 
هوطورغصصيب فلسعجخقحعغ ضمختغطمقضب جحرعطلوذست سبقعبجسجرو قوسطلخزبكض شنفالحجيسد زسيظمعهسلض وسشرتضلتلت لقشعضاشضخت 
نغصلكصثجثح حوعجبادبما ظظخغثيلكيث ضجترمزفذقل زهلصيردصفس علمرنظهبدف تجمكسهعثسج ذذذرجلصتخغ جتذجرضظصشس شبصمهمرهوت 
دسانوعضونك كغفطجلبهيج سرضتيبطعضق فبوتجخربزط لثستطنممذص لديشفظعقزت نفدصضيمثتد الزطشخغنوس غغبمشبوشصل فنعضمثيثنث 
تاثبصرلخبت قبشتزنعثبو ضبتثعلذكقج ناتيوزضهفن جسنصمقشخظد وهبثتييستس زغثههزاغظح ضجيظههعنظق طشطبصشعمعظ قفكقزستغنع 
ذبمبفذكششه وتزفلثظصضص غمويذكحبيط هيزسكشاعحز طدفتضمنمبع جكتركمقزكي قوذعبلاخسب ثجذفتجنضلح لجظيشصزكمد طتيكجشجدوخ 
