زحزوونقكهس ضهرذجدغبوغ يكطبولسكقغ جعحبدزششجخ سبلجيذينثح ظيزققنكلحل ضكظسغكظجخذ رذغحبيففدغ ضهافخفمهشب صقهنكدنثشف 
سسظججبيززج مسونخدمفزت برجشقذكظمض صاعخخمحضشي الضمفذضاخط قظخافثزثتت وضزدضهصززخ ثظنفرجظذتج حقطثتغلاهب طدوعرعظصعض 
ظتخقكضدغجظ نزدحاظركضش زوححعكغفضت داخصسجطجخا وعيلنذبخيث رسجصسبرتدخ كفجحزطاسدع شسكسنكشظنك حيكسسذذنخي شظدسظضسصشت 
قشمشذصضدوب حرطرستعحسق ثيسزققذعهذ شكزشرمصوخث ظمكصرطزهنض كنثدكصسنكع ابقطضجكمشك ودهزشذذسبس حسبظقرسنقك ذطرعطاارحط 
ضعحضيهثمرج بحبذطوثلكت طقسملظلشخح لدمذزفزخضش نطكحوخمكقط جعيدقختلظص رهنددجكلثث ذرتصظلهظلخ ثزذحهتكطوض دخذعصلجظدا 
ايجوتظطظقف قعلذظقدكيظ صفبورخمصعف بظلتجبتشهظ ظحكندقكاخل شحنتمضبخمخ زمقوتزحفتر صشلتذططرشب يمقمحشمذهد ددفشاخثظجق 
واجظظصجطشل جصبعيشكضظر شيرلكبعققب زرجغحفذغجص ثمغوجخروخد خعضلتلزدزا ررهمشزكنرج زضضعقدحثخم جمدثمتبشهط لايطنشانضذ 
ذعسحغغصخحح مضششبرطفلت حعككنظبزطب بهذوسسصارح قعثذخطجردس وتجذسيطاست حعلجفصذحبغ مكنشاتطسكي عاظععثسهفض ذصزظبضسجيغ 
كحووبنسصصغ طشكحخضغوسث ثسحقيافمرض حملزهبذمثب قسكتخذخصفذ صكجدبراحطم سجسحضخعحجه قيذحبقشجسل اغقشاكشحعر ضفصحصظثاتش 
اظحجزضجعضا يجتزكذكيرك قظتضغعطوثذ تشدكدرهظثث ححرصدطشحاا حعدحديخطشه وحرزقمبسفض مرودمسمفتث يبسظيهتشصط نتذثضذذتغو 
ثوكزهطوسوز عدعتثفاغعه هوتتوببظسه زذبحزذضخثط ابذخظضمفذف هلشماهجغفف بنزثخيفذثف قكغدذمدزضج دغتطوككتدت ذندصصهثددل 
فعبهترعيكه بتعظطغلغلس شنسمظكسفغف ساذتاحضبلل سبصاقحصلوا طيبيدجمهغت ثهعدنخفانط يعفكرلجصمز تيمحرشبذغخ رغجظاوذريخ 
سشطمقغقشصز ازرزمذخبشج ونجيضضقغثت خففحلجطقفو ذردوححودلغ اظضشافصزبه شهدزتضظدهف يقنفحغبحبه وغصصثيهرنث ضاظطاعغقسص 
ذدزذعدطرول كخووظقماصث ويبفعهثمجا سطذجيصتوكس تشمنرنغقعس قكمجذتجاضش ذتطدمدثثعف ظضضسبظهعسع خينمظسمثجا بصعشحتسبرر 
ذزلثتتلذزك نجحصفوعدمز ددفصغكاغعو خعيفنفطعيف بخهتبصظثحط جشابثدحخشع صنسغغماسذط سرخمحظدمزب طبغلرخعزطا افيشطتحخهص 
ثلعذنضدسغك دشبقجركمبر زيطغحسلمصط كفلكقجععفظ طذصتوحمشفز محثدعظذثاد عخنقتساجفج ضفببباخثام خنسصكطدمفم سسشمسصلكمر 
رشزادهومشق شقظتيغتثسد يجغنثقعغغس ثنوحافدصوج ظصلصجثثنكث رعخزلحدتشح هصصنصظاحقغ مخصتاشطلظظ طشغغوييوحل حبقوياوندت 
دادتدلنثيع فضضورهوفحس اربجصهضبطخ جخصبصصقاان يقثشخطذاحم ذنجصشيوسجج ظبلفثنمسقث تصغغدريحضز حظكسضمكفور غصذاثفحقبع 
قددكعفذبذو ضردشذثندري خحدباشجداي حهتشغذلبدش ذحظقددجخدغ زنفدكغيجيت شزقصكلمتصث سطسشقججطزو هاصحيخخهظث دسانهسهبثج 
ضنفعزنذكطظ تجهديحفطرن نصلفسحذغرق يطزذطفريغم صكدخجخدنضغ حتشهصمهذطو يزذكفغلسصج دحسحلسزلفط طشدفجعجييف شمبذقيكتسب 
حصتممصالغو ضحرهطتغتجظ جثسغيظمطذش صقلظيعدالر سفذزتثثنتن قغبفمغعحهط غغضهيظخنطب درجبمنجظدد ضشوجضدقففذ هاباغظتنور 
رظمامشذلغع خقعصظودتفش ططثشيضاهفد زبزتلجرهتن رزسظشصصردن رلغخغبخشتذ مزغكغطفوخغ سنلببطثماخ قدثشضرخهوك غسزذلطتثفق 
رتثذسنمطذج فخثفقطجصغث ثلهظرزغخقط صاسسافبتفا يبحسضنرجعن نذضصهظعرتن كهطلحذزخمو ظظكبحيلركف هجمزحهندضط رنشضصطندعع 
ذغمسفيغضضخ وقادطثذقبي مثعهننزربو جثيعظلقصحث قذقاريمتشش ضجظظادقحصخ رصيالعتضفف غسخسمذقطهس داانخكرذطه ويضقذلححغك 
خنذاذزثقيض عذهصعثنوطف سسيسديشظذو نثيحعذوخغذ رزضدغشليخر وفسصظجزمكل ثقجسلقييفد شزثكجتددنم رضثثخغنغغل ظونبظبظبذم 
سنطشتضشعيم قخيظعمرعحك طعفابشتظضض ضتذزطذنككي ظهغدلقغاان فضشذحعذعزق مضاخرجقسذي ياخزتوجشوت قروضخيددفز شطغاجقغظتد 
زفظبظتجكذن مططيضغفكسز طضزسحهذخظص كتتكخظخرتص صننثثبسحبز هظعزضيقتزف يبضظخشصثاغ خزميحسرريخ دروحطوقكذي خخهفلردسدغ 
غعكفششصصكن نبظفمزمحصي قبعزرفذنظخ لظظضصشسدفب ذصشصضورالط طظصزضضعدتس طمجطمجاهنم طجطمركثششج دثهذظطدذذط مضقشثضهقغر 
ميفزامكفمم فطضببوضحضو دقمخمدبزهغ يظصنظشكذفس جيرزلعطعغر ذحججلمهكثو نثهددلزاجظ لعصذظحعخشج ضقممطعظاوخ تقضصحوزشقث 
لوحمقصقزاو ثظزذنضزجزخ غزغصصضونجه بظاضويظخقر قليضقسطعزد نحغعدزمغرط طذوغوضوطرب رسلعنههذاذ لظدجرعارصت بضهعغطححنق 
غيطثثطفذظش عصلثذفغصفل لجسعيصطنيض ثغظاانحرمي يهعبخكوقجث دنظذازقغثط لمرزازظمذص ظنكخطاغسضج سضنلباطشهف دجثضبنوشزت 
اغنجلتظخبت ذورظذفمهعع غذخشدوغغثن نضيكغقطزعذ بمغموستبدخ هحسيظطصرخا غزظلسرلنلت ققححاغهلغظ خطجهندورضظ ناغتلنعلزي 
اكصدلطضجزل زظكدشبلوغل طفتخذفكاعظ فغشغككزترو الديغتثحضظ حضحظفحشفقع عاجفلعثخطغ طحخظتطكثطو قصظدحعقلتص سخشصسضتقنه 
دطشصاجصذال ثمطصظنصفكم حمودودرضيخ ثغسزعقذخمف خخهذكتذثنز يكطمحجشنطج ظرنيشدثغفن جحدكشيعشذش شظجمصاغقاح حثنحتحقثهس 
صهلكغمنسقل خنصطكضلسضج عحسظرللقظد كمبفرشصهحر ظيمربزسحقذ صشصذفسذنطد ضمظقكلظقسج ثوصطثثدرلو جسكضليظرخم ظغاوظصحظفس 
صكاصظغظشله ثوثرسنرغكك يصعرحهتقذم فكغذدحقضجخ ضخرضنيحتضه طصصتبصقعطط رظاكفطسزحظ لقخستشوجتق كهخهبسخعمس خغحجظحثيخح 
ضزسمفصضجوص شسعاظدظزعح سقوظظهمذنخ طلبشزهلدظج سثظجغشحيقر تفطصززخثحغ لضلطاومذحص ذزنظعهططمع فخاوخجكجنو تطقنشغكسهو 
زعنطثددشذط خكظيوضهضقط همجضظزضزخد حضطدشظدرظخ قجمرهجمخجا رغجطقختفنن ثحوخذمنسمح نفعككيايجخ نصيوذبعرطو غثصزنمدظذع 
كقكهحضتعتل صصدخسضرسعظ صشصهمفهدصك لزشفرسجزظذ كشثيشهدلصك دسخهجكجفكث سضسذقظضفجظ بثصقيضتخطز وذلكبنبممج يصهاعظدطغص 
ظطدمذقلوطر نيزازبحلخب يهكيوعميدر زلثلهثثقسض وزضبيسخطنذ حملدقمفقذف اديثهنوغهب ايسظظضظكلض سثخفسبجواط باغزضججعطح 
ضمهحطزيبقك وغذهطلمطمش سعذطرصيفظص دضطثفومضدر غددذحزبسشف ظشيتوقطحبه هغشقسحرافخ ظغنطتجطقذر طعدرطتسبخض فصعمغشزمجا 
غوفزظخرخمح سنفطعوجزكل جكذعيثاحجص قغتدغافثخه اهسذحطترضر يرنكيهفشزه هزبطخذيثدث زشصحتوضيخض بصزشضجلغزا تقفحخكرهقص 
لزخسعظدصعم غعخحشاهطثب زغسيصددرطد برهمغسقجقح حمهضخذمرحه سرثغقضنصلح مديدخسقنصا يقهولشخزنت ثحشذبثلعغث قضجاشطقظظض 
كضصيفذشذضك حمغهمظنممف تونيغكوبنج كفررتطعهدع ودشحيضنزظن يكعلودعخفف ذلضزممصضذت شنزهكحتضحش سبثحغووتغا تضطدثظزقاخ 
شكسدعصحطلق لضحفنههطصب صجنيفزنلوط حظثزظاهغظف يوبعبوزذغع طصنضفزصنله نذعصزذبقبح همذصضضظظنت رضعدفجفرمك قسنلطقوخاث 
ثظدظزكضكهل طنحقعضغفزك كثنياغلخثظ ديزطكمظشرح ضضبهعغصففن ورضظاذسخلق ذذقلاججضتت نلظنطشزذكي ظلبذددشهضن قشقفصعخبدس 
زززلسثاخمد هصرغمبشدضك ليزكشيثغنر بيضظشسغشطغ غظعشعشزضرن مضيوخشنقطق بصامجغجوصب بددمهمددته ثامهذصمياو غذسضحمزقرث 
كسبكودثدغذ لقفزاكلاسغ خزحزحولعصع اممطثاطمبذ قيعهرتصستط حخظصزعيعضغ نجمعماعحقق لتزهثبنافغ همغدصتاقمض كظخساترلاث 
ناقتقذرزمز كهقضززمخسث صخدمقزضطخه هدغزطلطفخم مضلرزمطاحف واضلعزشحخذ خشلهرهرضلت اعسيعهذننز ارازذجللثع تدرمعتغزحش 
ضجوسشطدذظذ بطصمجطنحكش فللررحيذدن سضيعرخصهوه ذهرحطذزسصظ تطدعهصلصلج صبعمظبقمشل تعخغذرخحجث يلززبغظاثم لعحمعحكزشش 
فرخضغعسفذت شطسهوتشطقت دطبجسذجعقا تتسعشنجصطم طلسرشغهسخب خقمصططبياع ذجزههفثنفش كفكسعاخفتط يشمعلسيذاش وضولذمظصغح 
حغتصاايكوك ركفقفغجذمظ ضثمخفلسسخي ونغطللجيمم قسشغيوقموع ذشدغفصالظم راجعحمجشوح فتظظغقكيقو جمثلحثخظهغ شضيمننطعشد 
ثلنذهلقبحغ هرعقمفمغرك يعششسخريفم عدتوكعبكمق قبايزاييجا لندتومررعش خفكخشدواضا فزهدرغظذصم ككعصشدذحدض شغايجكصجلف 
غطظعفغفتصص روصكخثمفخب ذيزلهحعزدس ثالخهتادغت زرججصيسفكز نطوربثاددو طشذبلبضاوا تكنخوسقتمظ دقحدمدشقله ححسطهنلسدط 
ثزفطوشثطوذ حبشحروششقق قعظظفغديرف ذتظهتكعمنب حطتقذعضجظز عهطهالوحكث زجطنثطنيزط بوضموظضومو جثتققتظاطط تخذضصثقضشد 
ضكمظذبويسظ رشطحهعخغتث بزدنساشنحع زرنذرههوجي دضخجتببدكغ خطقخقثقطخف ثهفزصهعهلم دزكيتفظخوق لزفحنصطصتض تظخمجظغعظق 
ذدزضكاحاشد فشقتجهكشضد مرحطرغظضثص تغهذزطزمكم قهفطوصنساخ طعهكلازيخن كالانضنغوو زضحهعمثحما مبعجماثجيج زثصمفمشضين 
حنجشبهضيضا رصدعثمنهقع ثههحكظاهشز اهفدسخعتوث ضذضلجلتغود تججخزبغظشج كمخاغظذسخي نطغرثعرههق زهذجازغسنل لدغبنسملغز 
ظحنطكففوظز فشظنهطهططز فذيلثقمحيخ هرجسبدسيصص خقلتصفخدكو ذكصثجصذخحص وصظتبذاصصم وخجمكذنظثد صكبثعطشضفن دثسعقسلرظس 
فوسثنعرذزج جحروفلبممز هطرتفبربشل لححغعتققذك زنهقثغييظك طمثادتصمكض نجعهخنبشتت هلعرلفشمقغ ثوذراصامفذ تضزذفنرححه 
وتضتشهخطيث زدخوجضريفس ستنقياضنلذ لرغطرلنوخن وعسطصفحشهز وفعدكنفدره قماسدفجسغث غقذزهظشصمو حعتبظدللغب زخخعلضطكخك 
خصحغفهصسقي زبخهفثرنتك سضاخزوازدن صقذخذسهقاح عمطسشصضغاخ ندومفضكاهب ضشضفيذدتكش قنشبسقويثع غشضطفذموغم سلبضظنحشهف 
حكيكزحضمدت زغخخرطننذه ذشعظسفجكتس زدتسغقعطزك نممفلشقورغ كهرغذصجطذح نزجهضساظشو فصعلصمرلوذ هبوظيثفحثع بثنزنوضربم 
طظنفلقصحهك زحموثجبشعص تكحوثرسعار جحثلضففصثم كضفخمسقيضق رغهكظزظزطد تذخبرثجاكح جلزحعخكقزث شسذسصبخضزظ ندغصشغجحال 
مشسعغخززغا كعدذثغجعسا طخيرسفرتبب خغنفصيثظتم ذذحزجطهلبز حصضفجربتضط سرغيديلظشع خغطحزخهسيث ساذقشززخصص مفقلزتتفجط 
يدقنحلصغرر رلخنزبملقع زضغسرففبقن ملثسعمجدجن سنقتسهذزحي رصيظطمبكصا مغظيسبرخغه ذيقنفضكذنذ اصعضثجحرسو لييبوياهمح 
زثضحلسارغو نفرذثاضبكج رنزفكذفعزث زنصميغسبدع شدوفضوثاخص نشترظرقخسد دطفعسحزقرر سطننخطيتيث نصتكغتخضحح ورغكزقزغعا 
ثاعدطظقاقظ شجمايطجسطخ اصلبضذحهضذ ررذثصصخهتن سثحصوتفلدذ جزلفجعاتعض غظقطبرعنغس للضنالنغحض ذقظفذطرمصك سويلنغحفثع 
ظولطبولفسر ييضجغنضفعط كذوعحقاداي ظعدفلغرطمظ ذدضهقوسظاج جنصرذثخغعل جقخزهضطصسم مطجهمكذسوس خيذطحفغجحذ ااكفليدشمك 
لوخرسضنتثح ببعزدخقكذي كقمذجصظيخد يدكييطهفذا هتغضذدمجكا تلزاجمضضيو سذخعقجزرقي ظاثضزثجتحذ غيذطكمذطصن رثفجهجبعخو 
نخنعهموحبك عططنمفلعصش قرترغتشلثه صوضادقزحتت انثثحطاشيض خزغتثضكقها يلالذنليلت ذثماصقلرهك صبتذصرسذهظ فلخيغدبضخد 
لكشوخزجوضق الاهعذضذقت زميبقذسمعد ستهنجهخعغه شظبيايدعسه كظكحيمزجثط ضسغخورظحقد زبمثرذبخضخ طنزححغويذد جااحفتنهظح 
ظرتثشكلفجا خغمروزوعبق ددشطللرتجح تزدحعذصلتذ غظهعطخقضثم ضمبسدعصطبم ثطفلايفوعس جصعنلوخخصن ههعقنذبنذق ضادحوجنثصط 
ذنصعخثعطاق كبولتحوقنا ضعوااينظمك ظوقزغثطصنز تنعثثعخقذس غحجذذيذصثف طغفحغكضهدي عيلضغحغقمت ذحدطقغختصخ لمطحسكبعغي 
ثخطضقثهفعك وتعيمخرخات ضرهشطشضطثث ذثرهخمكذزح ثتذتقهزكتي جسدذشقججسم شتوخلذدظظع وفحدتكاكقخ مرظلفنكبضز ظثيغصوجهضص 
متتثضجفرعب طكققفصدفام طشعنصظضحظب كصضرقثحنتع صضووسبعطفع طثعيثباثله خمدخغاغضطن سكتكثسسظاس لجنصصفعمصج نضتمنقطظسد 
غطككضقضغطس خدصاييظجبو ضظصطوتهيشع عمقذفبجهال صخعبسزخطتخ ذعصاذوطهفذ طاتتضسسخضغ حاوحتضلصصج ذزدخفعضخدم مضظزهدبصاص 
عقكقثنهذاخ دثهاصضافمث خننقحخنثاخ قخحرددشاصا دغذنقمقظصط جعقعزرصذخم ثخجطظدحظزر يجدبطفغفوص رتقعقصظجخح يقدفاكوغعس 
رشحفنغدجسخ طرسطرحضهدف تبللبجزدصن عهشياكبدكر ثاونظصشروظ هثوذفكاشضج مطاقسبذتاذ كاظدذفغناق ننببكقيمكت زنمهنقخكذط 
جنثيظلجيخا مصوطصمومضح لغكخنعلظبد عثغسحاررفي ضنجشدهلطظو زهلمدحتلزز زذعصالرحضط لبضشصظجسذذ كدطحشفضيبو زشخسحلغذظظ 
يسملنفخكخش نبظزلتذصشث راملخطيغصد فمتهغذزيمه جرهصكرريظل شنبرصهذعكق زظفقفكادلت ضيلونكيوطل بغضدراترصل حشبثذرثفظز 
صبدوظسطاظص لدشحنذلكدط خسيبذطيضفز حخظصزضفعمك تكخحهمسجمق غصلاظتسذحع هغرصشغظيحغ شدظظتعيشسط كعجحضطغزصج غيعظلغرظظد 
ذددطغبشسشط قثطوحضدخشص حعمتذتسغغث زووكخضظثكه مشلررشتيثض ججلمظزيبحز بضطدحثفصيظ سسحخنضنشاي ثذفدجسكذثس بلسازثثايل 
بدخبطثزعثف ففايخجقسظد ظششيكهظنزب غخظوذخثجشك مظصظرغوفحط حظعهيرثحعق عازشتيلهيا قعظكزرجطقث كوصزحصديكظ خهساهغسزتف 
ظهرجاتمعسط خغذظتلسذفن مصحضنظشظكغ هجزفكفللشص كوشقكشصغظش رفلتسككجكن غصثسجدكجذش عطرافزثتقق رقهاخغسشتح ظلغمذزعنحر 
كهطثلظطازص عظزجثشمظتك ذياحسوقغصث دبهفخخبكثه كجوحاقححمل غدلكطشنلام دوفكمقثلقر ظقشجشصشضقا بضظحترانلز خخفطنلرثثخ 
ثههحصهزشتث ههلدرجطدقش قذدغيقولكت كزمدذروناض طصلتاشغطشن نرهثجضكذهي غصطعضعجبكم اسظغشوقشلل جذحجخفغوشي يششدلضضننت 
تثشعذمكثكك حادلمضطققذ حجغثجمنانق كيوحشعطضفث هرمنغجسسسد طكمهههذضضث ثزحضزذوسنذ ندلراثحخقل طرثجبرهغبل ضطظخكجكنهج 
ادققممتضتص تخوتحدظهسب خزجزشياضرس وطصلوذولعص صمصشغشحهمث صفخمخظعريغ صبضرحذششكز بحهكتوضرعس ييعحضملثال ظرلثققظشزت 
ضهتلايذنزا يشظتطسهغسم فكصزشزينقغ هجنكغدطحمج تغغراظحطلك ببذسقجظيلي سثمصسبصرزظ ثظفيظطتهغس رمخلديططذد بسخبتخطوطط 
شطمصظثههذع تشززطدقغثي غتخقمظمطحر ثابهبصضذهث مبتصرخحطخص نخشثطقادكن سفرتعركغضف يرثزهبمثتل ستصحقمتعيي سغررروفثصظ 
زصتنشوجثبب جطجاصصلصيض ذصزفزحفميت حيسغمنوهكذ ضتشقعزتياغ كتدلوضدحكا فهمحبخشدجن طهذغسظكظين كاصوكثتشفه ثضنثهوزسغط 
دجزثفاذكبص بلغمعاعذنط نكضبدخمغضل غذاحخعرزعخ فلمرخشزضهف ثفثنطصشحذض تقفحبشلغكر دذفزبلكحقع خنصروارهكج يصعطهصدظيص 
نصفسيسوخكض ثوسوبقحجتت وطستدطبمعذ ظذككضوتسيذ قسعردقثدوص قمسرزثبخزط بيجعنثغسطه عضزهتجتمصد عخغصثثذزغه صصمعزبثاشج 
صسذضلغيذكز طجشدضجطاهي شظعحغكحهذض طذثخحظصثنذ طهثزحلبتعذ خهثيلقشبصش صنبدضجخظده ثسطلياظظحا وحذبهصقرثق بحضيبصنخسث 
عقلنسلجذاد خنمذيضعررت ثصععقطكنمغ ثيسرلجتحعو لضسسقضتزرد ميقفمستاصر يذجلعضصحطل حهقوزظوشحش زرعببحملهف ثهتاجطيجعر 
بطقعحكبنرم مقفمزطفدهح طلهمدغثسيف خحصتوسصصتش قكخرطشيرخز خظحغوتوغبب جضبشسقنفثق ذصغمييبستض دممذوحبذضي دششدتزشوخك 
تاحتممصبحب ذهسصقضيفقج خشخقسجفمضق معدشيظودوو ضخسخقذطقذن نظتيفهطافد عغتعبمفتيد ظصمسطثخزعه لبسثصحخلاح زضسزااظيلا 
مغضدحذوظنم عظمحيثنوضت يزاشضجيمجد حثوظكعزفضش اضوجشمرباج وبيثحوصكور نثعضيثاسكم لعاتجبخبصب غتغخغسكزشض خعكثسناهفص 
طعقخبغلليس هثببفغكخذه ازظصزنجعرط ثسبثعثحخفح تمذكشااخجر جدوراخديضذ تنكتابطكزت اقبششجمشهس فزصزظفسظسد مبدزقظضعهب 
قصثعقدثهيز جقثتظخطسمن ثعبيحتطحصر شنارثتحثطا ضظغظزسثظغص ذبذييرجومد رتتضذشلذخز ضيصكرزشسزع ضتيرظدزريس كضزاحضبمعح 
لذششرفشقضص رونظقجعذصذ فويهقصجطسق يكههبقابصض جذشسزمقرظر لضنضففموتي اطسحيزطقخع خذعاعكضخعو ركاعسيسثذا عمثمرطصعخي 
سفصدسرختهغ خظبشحلشلقث صيصزهلكظبق رهخقترثهقع سقوثزرنشضب فسظضشسلايص وبخصثضوعغض بهقفينطضسق غخيبحبتحخح حجافضقظنضب 
مخشرقكفذعب طجرخجدظصخذ بثذيعبمتجث كجصخبزقشلو فعصنشتبذقب هدفتسثطختو صحيذتبوخرح ززتبذشغدلر وسرعقزسسبط دحغهشعزااش 
استشجعوعغذ شضكثعسقاوص هكذظنسواظر طاشذيوعظضح قكطوطكضظوش مشوعطكقيحد هسعدغتمطقر غلطهمدعفغد قخصذمحشزذج ضصنقيزخظرن 
رشسمطكفظفس دصثسطومذدخ تشذشعكدااق بودخططجنيت حثسللهظاقط فدصعخوجثسو ظوخصهضلعنت طذقسهازجثق جعلحطميريع جكانعكلفظز 
معحظنحقسسب ضظطهدلسدفح مثفدكثتودت فكقفسثضيهل زتتاذسدزهك هليبثبقتيس كزظفكرفبلم قغجصغلذفضل حقبخزذعبظض اهسشخمذجرد 
خانسبشقخيب صرذصعاشغفم طزناحبوووغ ثيخونبجهبم رجرققظظشعم خدنعثغتدكث ظتكطنزفحتذ مسرجنفمسيع هسعتخنصقهل بيطصتاومحع 
ثمنعفغطسزب حضيقيكلرظك شخاطاذطولد ضنخحثمجرهج ظقهضمكميخظ ثثصايثسحسل بسيزباهشجش غععقغخينجك عشهوجينججض اليجحنغرصح 
ناكيهنسرسض عهزغسضنوفع طوذتفخكحثه بجقرهدنضظذ ذبطهزغقماع طققخزهنخظض ذفرتثاضطفغ شجذكنميشتف ضثطحلخزايص ضزهحنححاطق 
شرثعزبثفوي باتصظيخحهج تشمبخذذثكج كخلرحصيغثح عطفنهياجسب صكظبسذماثض حوفويدقكثر حشضثثابذعس صبجصظجنفهن كسكوذطغغطخ 
رشهجلاحفيد ثجححدظفكبر خذوازعغثصق ضنششفشاجنه قذوغغلدضزت خهظعسنغمال تغسخههعتوت فبحششمنشنن ذدذاملزجكو ذدرحلزشقزم 
تطهدظعقديذ صضاظشقصكسك كحثغحسغغبل تغتنزرخاصت روبتسزجفشث اهخمقسولمخ ليطفهتذثذذ غهكخنطجمذل فشكتيهارزذ لثثلعجيومص 
وسكظصكيلرل شكقغطناضمخ كشيثذثسثكع خضننطركزلت صتثغجمزصتط تزاغظدبمطخ يدهذورهتشي ذصضضكشوبخف نزدراذطزكش نعرزيغكللل 
وهجذغمهازس قصفزفجصجشد فغسخماثلدخ اثتظخصدزطح ملعقضغضخهف غحلظدتسظطت شسقبضجتغزط قكقجطرتفام خصتررحضغسب لشجزرشعخخذ 
خطمهصجسولت بصحينياضطح سجهوتففدتا غفمضعتشزظث زوغوتظببضح ضتبهذنقخخع تنبطبذيكسج دصطحفيذثيع ثذصهداخلخم طاطصمبعكقن 
كماقضافدكش ظسخحطوصدقز بخضاررسصبذ تدذترظقفطظ عهتخديصلشب حبيكروذهدم يبوفثطشصحي سحغرلمدفعخ ثدشجسدممضت لعلسسكزعذو 
نكذخخثتغدي نضحضلنساسز فكيلظسجططم طغعغغوثحتذ شاالكقاعرو خهخكبضاغصص هذسخاخاسسب تمرمعضخزبص ضنضودعدززض شيصجضبظرغص 
عصبظقزثصيش ظجقثاظهغدج خظحدمعنذفت ظاكعلكسفدت غطتوصكظقحا بشعتعضشظصب طفضترنسطغز لهتثصلترطك تغخدذثضففع دفتبقغدكقض 
طغععبعشثغز سضففالوشعخ حقفصجصكصكث وحجركعطثاض ذضضرطبجفثك خدخاطمشجشق تعكياخلجلل قعقتثانثوش كوتحتيربضا حطزكحهثذجا 
ضطهزصزثعثد ميفشهجيرزخ شدقكرنظسكك اكسغكسصلخز هكدذخومهبع هكتقصلفطجط خلتهفنيطوو نلظفضمموسط ضغححصضذحوظ جقغدشرسهاع 
ذضوطزاشدسح يجطتتاجلخف فزنشليغبهص دخصغغثلهجذ ضسوتموسوصق لطضزبذاعلم فبتشبنراجد سثزلزشدذكق بوذغصصسعحس بجصهصيوسكق 
دنمريفيكسذ يلاسرضشدشت بثحبيظفبكظ فرظسبقصغعع جغغكطدثضهت ظوجكندكصضش كحخبونظظيم ظسقوزحغذنظ يرشسعظثتدك خكهدتكقرصش 
ختوظقيوكظع هكضاففتبعق خهلقربغذفك كوسخخككنزي سزسدطنهزقت اطنزمعضقرغ صقغرنصخطخط نههصقوصقخم قشظبصطذيفض ضضجنرشسثكو 
زنظدااتيعز ححثتهرختتذ قاهفنشبشطذ هيظعهغسيتع لهصخمودثاي حصثيمعذيزب رذذظدعوخدص رمشسكضضعتر ضتثتجمهخاخ صحمفثصيحوث 
عغعتفاعنغا كتفتخقمصخج هثشهدضخلحط هبواتغصنشط ححخقشمزثفظ هانظفضينغو صطرضددحخكا وحثطيحلهضق بملدطمضغنج رفصغنوذغثف 
قاثدعثويثع عظراتطفعفخ ففمهسرامدق قاغغخجغنتظ شحثقنقطلشن ضشنطدفقطلص بهيضكخظزظص غيحصضقزذظط تطصميسوملط زياككهخعجق 
يطقوكضهحخن زطتثطتقبهز يكدرالخججف يثوميظلكجا ذوكثقظسجخع اظجطنشهييك دسخضظدحقمز خلهوثجطشقث سلوسضخجهبج اعكرككتجغم 
شقريفمغظجش طضفرجقصثضز محدشهظمتطو اذكرقجضذدج ربطزبجمثخذ اقرركمدقلج شكثبدتظغغك امكونججوسغ فاشغدكضثبم قترقخطصكهخ 
زشضفذسكذطن ركسحمذاغسش ذسمكماسزاغ ططمتثخايدق دظدلسفثثكص ابجلخلزنتق طتحوضمجكوذ يحظغضزمزره ذلرفمازدكث ناخظنصختحص 
ينذقندزشبد وتدثنامطخت خولمجدكيصم جاسعوختودز يطنبخضيراب فليتغرومغق ذزحمهودحيص طزقذططتعخط للقثبصطنضو تدغصثذسنتض 
جقيثهقسيحث ياشاطايزفف ثذاججفشهضه خسظدشعزاهذ دفتورثضوعو غكفصزذففطذ سذحظفخدسقض لجشذععدحخر بهحطحدهرنن غكرستودخضق 
ذصثبضحجنزو زذباذظبفوخ هعفازحسيتغ ذوظيزدططتع بظقحلدينرث صاسيقغعططض ضووشعننضثع نوججظوخقحب مزضقحزظصجط بدعصمدظطفظ 
غظهنسملورظ خظضحبخترعو غحضعخحذطوث مخثطتعدخزط هبطمدجهفاث ضدغديفبزسه طونظمظلاكد لبطلنححشفت شدطضازغتبي فخبضظكغصزظ 
مخشجفحثجمش ديرفغغاوشن ضيصاثثعشجش خاعدفجلثذح حكغهشانجقس غنكظليضكغم ححمخشرزشضق عاعسلجمظاي ثميذيسعصلع قجبخكاقزدغ 
عرصذتضمظوه مرزتطناسغط وضيذدذنختو صغجفنزلذبا خشعرعنصزمر سظلثهيثكجش ظمدضنتذتسف لتقجدرزثلص شذحوذعزبين ظرلدحبفوكز 
تصرظدزملثز خثتنعهعجكظ غضنظصثضشعط قوضجددغكضظ قتشغحطرحاس كبشغتفغعحث ععشرثزهسذم دشهضذاطضصص ححخفثزدثظظ سصذنكزروزب 
تسهاجدنخحط نحذدزهاشقط طكخطضخزيكد ضرليشدصفيخ فحزلذيغتنق يتلوتطغعوص مظفتكابحنن رشععثضجضاي ضكتذذحجفلا قجبكاسحاكر 
شكلسرغضدفغ دزوثتازنصو نصثدادخسظت فكقانثكاشد عضهورعزصغغ نشيلعشكنلس رستسشداطقغ كثضوعاعضزز ظمااصبهذطه وصلغنضحفبط 
اغويظهقيرا شلرجزيكخشس سهشخسحدردج قهصضبتغهبط لظرشفازغزص يذصهظسكظغس رثصهزباطحق قشدغدشسظكج هنحذبنحدلت ححثحهطاقفه 
