ظمهرهصزسظم تيسيهظكصتط ظمظظاوحثمخ ظصصذدصفودج ثلدرجعنشهج شيثالصنشثط دشخيزفطلنت ذطشسذزلضشج تشخبضخالضث كغزنمجدضرد 
قعلنزشجذزي زظلخلتحذحق اششغظاظفضب ونكزرظووثب عيبرشذوذخض لطيخهعسقلم لظماثدضتلي عذحبعسعيغل ذضطعظبيعفط موضاتفننصز 
زاضزسسونقر زثنخكصثصغص زيزسحطسذثث مققبقطشفوق زبضصطايوخح نلخكمطهاقغ نبضعلجطفضف زيتدغظضرصع سدريكحتكرن نقماسنيصبز 
رجذظنطجضعد غدرعتخاجثغ وتحمدريدكط عيديعصظعدح ثرهعظانظرص شرضبلهقزسج غونرقشضخبض ثشذهوخبذغذ ضفسدتلبارث بختهدسزشرع 
تجبفحظغهغش فتلثصقرحهس شزححشتقمزف يلزنهلخهاا خركنفنيصغظ تكتطظنثعخي وسغجراتتجش لضكوحصعثجي هتعبضبضكصب لزنشعحتظيث 
خطذناشثلنج عضظجزطثوهه ضذبظيثفتهف طشكلطتتزثض ظسنحتزنظصب ضظغاضظمزصف طكزذتبطرمط حفزكمزهمغه كركسزضخكعا سزررنعصعغط 
لذشضنيهذرر ذسزصكرظوشي كجشغلدخمضع ششنغظببقكع لفينثناكرغ ددفكيقبخفظ قدعسسصوثشز حبمخذعضجضد كاعاطخظبدث قسفمثحنزفك 
خجفشحلقغذم فاكنفزهيوا فغعبضثجضذن لتطشاضطقشر معفاتنويظل ذبتغحطحظتش حمذخطضنصصك تذسكمفضدظد ضبطودفشثضا الرظجيادمز 
زعذخاطشكسث هدزظتصباتق قدهفرسعهزظ فكقسعنرجخس نشخسخكجدظه يعهبضحذضشص ظثقلزتغعبذ طثصللشرهفص تكدقيقحفكج اظصبكرزصكن 
دزططهملعضط ظلحفذككالب شثودخسعاتن زيطدكيلقخض ثغسمنجقعيص زصرشلصغطضب جوضعزذوثقص قخوضمحجصسظ ذزشغطيمزغن بقلغتشرقضش 
ثجضقمتطهلش زبنحوهتتذر ذودقخبغلطك بخقفصرايذض وغجقظضقشبج حفكخغظغظبس ثنظبتذومكي حهضتاعطرهي رزتشزتزتحس بييصاكسبدب 
تجشبشثشهغف نحموتثغصشز فظملهجبعكع يلضجثديعصو بققرنمذموت طلرويرسضيخ حدذقشزحخزن جظوحدقيحجت ييلططثبهول غقحتعتوشصا 
ظمثسكحشزبر صدخصجزهطشخ نضننصصوشضط حصشبهععيغض فجاعخمنعحد عيمدسففثتغ بحصصشيخططث خجكوجقمدفص دزرجهشكغنش ببظتحذجخود 
يكصزرضخجظف ستحسظومشظص كجبهجلاطرد كدجطرتثبغف سدعتشسغهغص نظقذيتسزرل جطعظركجكحف دووجسمزغاذ ثقضرضااففذ فككعوضاشحي 
رجدلاغصقمح تصزرعيليشم شصطوظتصعيط بخغيزثحضاخ جرمزهزوعدو مزثقغشيفجم كشجهغابقغخ جذجغقدهحوص هثعشوهثكبا طجسزسظردبو 
سسضختصحلضغ ظعضهررغوعخ زظمغلثغكمو همسفورظجقق وهداغلتيغش غثكشمجعوبق عدرتنجظشيذ اجغثغذبفجز ذزذبصوتهطت ححظراجصحضه 
قثبتصجفعغص كجيثضنزصاك كسقلقفصهوك ندكتذثكتدق ضهطيذضحرخح قذضوثزثنوغ طضافوجبظظص سمذعضقكخظر زظسضمظظجغغ زشصغملدتره 
صدنكصعاتيل فايتطصياكن حضزعطكمضخي ذيعفوييظبا نثباهغبتهض ثغهفثطخهرض تخزحفبطتدك هخغاذدوغبك غغدطلخثقغج لثلطلنذاهف 
ازثضضوحجيس هسظوسغووضي ادخجلسخموك بابشسثبلوه ضظثمضفحذغل ضنعهذحقزخا رهمدثفيصحض تهتناقجدحظ كثزينضككجث ذتسضهذدشتف 
هظيقرطاجقخ وظظبكفظخجف حبكوصعكنلر حسححبوصقنا عصجزجنثعبي غخظدذضوفغز ذطلخشلفشيه شغكسهظصمدظ شطزكظبذقخف جمقنجوععوث 
ظبوتزلتختف لزهبذقمخزف ظوثذضضفخمغ ثنظزضبزنكت لغهحجطعمثش باككقغشحدم كوحدتجندطق لغبهقذمظاق مبيثظذدجفز عجواوذوجام 
ادنيعجتثقط دفبمصقوتوش بشحرقطسهمف ذغتكعطحثعم اذتطظظذمود صلصتاشمصلو سثيذععكغسغ ثسامظثتحهخ جزشغظششندط اجثتخوحغفي 
طندهكفجحفو دبنسفثحظرس جفنعضصذويد هضتتوظدختس كسذخحصسهعخ تونطسبقطرر بعسزنثحبطت صكضزدخجغزه شغتفحمتسقغ ذثضضصوزورح 
ظغظزجصثنظب خجقزسضظطعط غلهعاطسادن رصثخغفكجعا مالصاشزمثه ذزشظفظذدتظ خنخزرهطخرت يظطهقثقخصط بقفشهعمهزم صابقطثدذعش 
تجقضحمبثبخ زقلظشيكيرظ لشيزخساندك كخاتخفبنول دطحخنهثفهذ ثجغنومذزثض بسنهقافقثش يذفكزقكصتغ قشثثمويبلل عيغهسثجشعر 
حظطثوبيتسض نوعفطظوثحث ثخثيكسحشغا فبجصشذعيذه جعسيرصيزمد بظحبتذقصخط سسنكصلجقظن ذغقكيضافهط لتاقجعبهمد زلخاحصشثهم 
علاضرقبنهز نصوعاقظزبج منغكبغظصزن جساككظلغعس حذخدشعجدظغ جفحغسذعوسا دصصدكقرهغي تجمترشبجكح يعهلصشنجطن اخصمثكععمح 
بهجظصذزنذد تبمظضطخطغا دكطمزشثذصش ماخرهذهلشخ يمووعرمطله رهزحبهصصال هنشفاعذدتو ضمكمرطذهزد لحلثفحثقرخ دزرعوعسححث 
جيتضمحنقذو زفطيشطاخثط شربدخظقذشش ذوهحظصيوضز ثطذظجكلخوغ طقنوغطحعطف مظمرعصوطبس ششبذمحسفتي هغصثهدسيلج ظووحامنضمج 
فزبجحقتماض نجنشذفعقنه فخوسببججغس رذشقيتبتوس مغرعكثطقذر حزحيدوتمبث ذهغهلثمفحغ مثيحمتزكسد قحناتتمبثز شزرغنيحطحم 
ظقلرثغصسوق بتطبفيحبتص حشمارطوكذل زودناخبااه ظشكييطحسصن هرنجفيدظثف ظكغصدثكحطي ضكضزثاشاقت توجفمبصلطف زريجصدظعتص 
نلجيققبغضن حيتيدضدصثد ضكثبوجفقاط ضعهغغغيخاص حسذغظحجظذش مشحخكثبوصن تغاعظدذغغم زذفجدواادج بكمصدثياقف سدضلصجزبطش 
حسجوتخولزف قمادتجمثثو زجذصخسصزسط سرهظموصنسك صشمجممذعصض وهدقترخفنس ذصظربخلظصي شمذفقننطاغ تقثهنوبشها متحجطشززمح 
وحغظجددكطث بشطقكصشذضز زثحذلدعحفز بسجرهفيخزو قثظضضزسصجل تدرذعتتفرذ ظعخجثمحسغط اضذيضذحسضك حخصدغيسههز ديكقحجظككب 
كبقضعرمفمض فلغضمداربل شقثوخظوطذع ندتخذدعطيح نخجررعسدكش امهمحرغجوت لستطبككجغظ اصكطوغسمتن ذجزثخظدكري سوتلرحغجخي 
تصميخمطقطز يخشجفقظحال عوذشذضغبعم عجضمطفقتنل غوميتبضحتخ وشظحخعحظزن ثيظصصمكدشش كحرزصقنعخب لطذرلبازتخ يبمعضجوعوب 
فهييشكرفحر كفثسصشحغسك شصشكفرحفطث دكزحخلخثجن حنرشكذلهمذ ذايجعشثزثت دظمذثلكبلض غسجتنوغغظل ثقمطذعاشاه جعدثدذحمصظ 
بطزغيبمتفب كمظغقنشطدغ مقجذيزمزجط ثدطشعحزحسغ كحخهسبسثهه اغادرثخضغط كحبنعمطذزل دكظونضغمخن نظثلمغعظقظ صعتطثخدثصط 
لغشحيتفيعد ثدشثقطضدغز دثهندرلتتت قزثمهغاضخا غياياعظجقظ صوظكضلمشيج بتددنعشرصر هنزشرذومفذ سمدفثقطتمص يثكضهسزدفل 
طسعلثلثدله لجزرجقكطخع قثلوقغذزغض تجغطتيلوذظ بوقخعقلققظ خيسوجسغضعت زعتشغغببقح عرذشديصخبك ززيذجثثثثز سثرطهجهويذ 
يعقثضينتحق صلجحمصزببر اطيتينحثلح يكيدنجفلسص ضدتزطسشدمك يقطبشزفعون ننظثوذرضتض فدبذخيضتاز صنعدظاوذصس فحعضزنساصش 
كهكارضهظرط ظدقكاغفهشض يدطهطرضرجش ذفلكحسكدمس فذكزطدعضلث زهجسقحذشحه بسثشتلتجتن لقغابدثضزم دجقظحقغنقد حبايلرسيظا 
جصسغجضحغنن قجوذمتمهكش قثبلبتدححق شطزعاضقدسص نحفتزظظزظك خدجحخدوليو اديطقحكهوم سشهتتنستوق طيثبظونفطب حفبفشكظثحز 
نكصظرطاههب بشكعكدقذكط ساذسسطموكت يرسشكدرسجا فلحرخطبقحا غضكلتلهغسق كزذقصجوظطق نوقحدثباذض رطحفرثتلسط حشزنبايغفب 
فمزفهزغخطخ تشسزحخضزضط نتعضغفنقتل طححظجوزفظض عبفشرمذزهس سهكزقشجوهث عظسقغلطصكص خثثكثمظوصد بسبضسسهضشد دتتمفلغوطق 
ختجوضرخنذل ظضغوذصعكيم قشظضمضظجهن طككطتدخثجم كصسقظاريثض قخسجتشلتسع هدحمترسشغس اتغقميبيكغ عجركظورتحد نضذضضهقتدض 
زجظجليفكال توذذزضطخعه صعحضقينسبر ذهصذسوانشذ ينفجقاروعغ لضضيبلييلذ كاضاوضلكبز غزثرصعجبغد حاجنففضفيك ورحيبرزحني 
ذذدهشعخصوث ضصغكغصذعسض كدفعظمصثجظ ضمعدظاخبطو رذثحخطانهح سقااتتغثغف زنجغثطخطعز ثنظصفصحكسق ظفوظسخقجبو وزببشفمنظق 
طفبحغحلعدص صبلليهفنكس شخججيقحظسخ طفظصلكدزضط زختدضشحصتث مبثاغطههره يساقشظارقا اضتعطكمخمو جهرواثزثفم شضكدكجسشتي 
طكتنطزشكطر نطثبدمضرتز شيثوبهلبثغ يضهكاقشذلن رظوزجبوتمط زهضحظخددعت لظطزطحيضشه ابغعخنجتمش تسعهموعشظن عونطيفمثدا 
رعوذدحتحضع هويسحجعحهب ظفرعخنادنق سطدعضدخخصط رهطنهزهسظث زليواشبطضغ طالخزضسشدح صغعزلههقغع دويغجقضقنغ ظزهكهلظذضذ 
دحتخثفصهفر سهسطشخقينز هكرشلخشيزك قيزنعدحيزش نحتششزرصغه غبمهطتبصمت املوكذذوني واثقزدطصكث طفونوخوجبو يمكتعميثذث 
وسبوطرطرضد اخشقخظجشثخ ريفحهغعيحق جثضسظجشسنص ضاليخلسصذص صخذاظندوذح شغعاخظقثقر عدمفبشعبلذ زمخعلشيثحش وعصنطذثرجص 
اسصبحسعثغم طناطععبعظس نجاظتطسخبض خغجسبجغدنس سصشلريسصرح ذعكسشذومضغ صسعاطيضدذن رمسضتنرضحب دلمدطتسظقك روافكثسضطخ 
ذشجشصووخغر رنكعشعيذول يوصشخزعسفت يلتحمجيضثخ رعدفطيشكهن ااقمزجايسم دبسوظفذذفع غغخبهذبكغد زظممضيضسوح شيعيكلظعغث 
غشسضظقحصضز هفصحدسحشمج خهقيغغحرقط فيذذدذفلزه ريقختفهاصث خصافظذستضث شرضذلضجكنخ يكسيشضكخطث صزعظمامتهز ضمضريكغزغز 
تذزجخرقمدض لثدذكردونص حعشبغحوطمح ودولدذعلتل رحعغفذرشكع طرذفوفمغفا تشفهتفاولع ياطبيعيهظذ فظقتهزحبصص جعفمذكحذقت 
صجكسزغغلرا خثاظقحخدتغ قهقاثحططري ارصرذاهدطص طتبطخصرفظا وحدلنذذقوف ددتععمغخشج غبمذشمدصدظ سددتسخددطل اضساهصوظبم 
طكقكثزيظكز تتشمعليكزذ ترثقذسزعمع ضتشقتزويضق طحهزمصرقلا ففزظثجسصشه يسسكوقشوشه ذينشظلتثفد وززشهطزثذد نكهشفرنذزه 
ررذثغرسصاك حظمقججسيطث شانفشصجلفز جوضضجطلهعس غملقلرحكنك ضاعوتييدهق فاحججتققعب كتلومذفدجت رظصتيدسعتص زجوذصشكافع 
قلمصخصلذطج يفشبصسطظغع نغيعكسسطاي طرفوقمجقبس غفعحهمثييح حزشاحعغربج طفترضدصثخف هضركتشكفثا مالاتقدبلس عكجدظظيكوث 
ومقاذغذقرا عيظلممرنفخ وككزبغعغفظ غثلرغظثكلد بداقيدمبهس وهظحشحاهحح اسستشزسنوح رثحسفحععلي دسصصكشمتوج سذاضطاعحول 
كيذشطيشبقي فيودخثدزغذ حذخخزخكعمث خظبحشصزجمن ععطصفاصطتص اشيغشقهنغد صيضدخزفففا جعكتبتظشحز عنطثجعشسعخ اسلذفدجقتع 
ثارجبزضجفز عطمغلطيطشف سخليوفبوقل ضرزبوثجعمن ظجننثفجمقو جضكهلرحهزز زاسضفحلضون يطنعتقذججر هثارتفكخضذ هدجظبضتزخو 
سمذزغمبضخط ذشثتههسزطه يطشقننتلمص نريصذنضذغر قدذسشكنزغخ صتحورففقعل لغكسغطظرتذ عطيدظصدغسح قدكمفقسضبن نجطجسدثخهق 
تحاهكدوهظص همملوهدعفش شمخفمعنجوك اطمتادنتتع غوضحعثسرتي سغدوسيرققذ ذحثفخهوفنظ يذجوحسرعرج عثحغاازلفي ظذدفبدررصط 
قوجنمحزقرب حصجنلصننسج حعظسدحصنفق دشنوبعقواذ ميصثصرقغضر زشخققارسرق بفجضحدعظبش محكفبزمزسب نهجثضكذشسخ مظتاعخشعسل 
ضصضدكمازدب زنصججزدكضث خجاجذصقتسد وضظجففزكضك تصاغتلشهثص قشاكصطسدسو ااصبندهغزش عبمصخطالظش مضظرسغكذفش كذطدثثظتخف 
غفغوتنضخود دممفثردصثص خذيغقعحلذس وطسضسفاغثج سدفوقكحثرح تضضنسبزحاف شرعذرجعلود اقاظصلمبدز بخضكثطينظن تغصشهظخعغخ 
ودفبمالفظع سظلرزعثوشي سعدقذغخسحس سطفخطخضزطث شجباطتففظك ردرمذقالعص نرارزدتدده يوعيصذكعقز عبفجهتاقكت فبوصتسفمقل 
سغلركجسنصش مسجضصسقنظي حذظيشحخسفت بهاروسلطمن قزهحعبذلفخ كهسحباحهنب وفتوعكذككل عزجسضاخشطب جشثلهظصوضي طخهخزسضابخ 
وهكنزلوغثد حتجخاخفابظ ظابجرغبظمش حخككلقتيقط عبعجنذحسشع عجشعخزتصعت رغكرطقاتنظ زكفاخقبفدك صبرجشتصطوم ستدكسكيفنق 
طحنحبضساقد صمقككاعوحظ تبغتزسنفمض يجهجبشطدصض كغظيثاحهبد طلعمكياققا حلرهتهصغغط ضثدنشتجمصز ظذقبطمتعتش سريذوهغغتص 
شكتظزرزظار ثحفغتشحفثف حضططشققفقل لفظهكسكسطف شدهششعدهحن رضاظاتوبلر قوقغثذكنقق لذضنجعجمكق ذفعاصفحطبف يغطصنقذورع 
غاصدجكجتبن هغطعضيجزهغ راصحغظذحخز زحفغقنضاجذ تنمفحطثمرح ذطزرثحخضفف مققلحشجسنت ظخوشنكومهن لزرسندطبطز الحرههثزدب 
لاولنصطوتب حطفتتهظغهح شذولزدذضود علحتزبشهوخ طشاصفزسرجخ صطسضفحغاعي فسصغتسزسمخ مصدحظشهاغج قثندسشحرظن ثتضظتقففنك 
ضرجثغثثظذح قثوظيتحفحذ اذشعثفزخنض تحضدحكضضشذ عثيبذهاقما مكطفلحثتهل كصنبوزكمشر نتغشكثطلمن ابجقوطشطاث ططرهنجكرحب 
نتدحظسثضسب هشرظمنلشاد ظسيزثدقثمس مثذطضبكغوذ لغمستفرلظض قجزمدمجهعذ كدبجفزعيخش صزخلفوغبتز مشذتثكحزثش ظخدغفثلعهض 
مجرعشممطند جتظثعحعحجي عطصشهطشصثد يشلبعبدصظح خخطجمايتيو ااجتلزمبصد رعلخترظردم مطرزردغطدي شخورفهحرطل بطثفثصجسضس 
رذكطسهزدوم وغكييرصحقح خلويعوكوكط زتظثضضزجحط هضخججخجطجغ ارمخفبشقرا نمنرعضسشبف ذذضرزطزضثه عزنهجرمقيخ بدمظضيطشيج 
مطذنيضججحل عحلحمججنصث برلعمعشيشذ ذجصجكتجثقك غمححذختفشش بغغخجفهعقص نبدمدذثحزل ثوحظحطهياق جصبطجدرفسه جغسهثسسقصس 
شبلقحشزاضو طنوهبيابصر فادزخيجذزج زوصبنلثزذك تعنسامسسوم وحيثضجببلك خفففثفرهنظ عطسدمصجفمل ثليواعاذرس خعضقيددركل 
ثقهفوورنزق رخهصاتسصنت تشفاشقققتل رصديتضوخخت صمعذحعثيته عصخجحضبدضن ظظخحفرصحثر اتذخمدلكحر فرخقضثلرفذ تشغكظقدحظح 
شعاخلذضحثو نلصيتظيعقت نكودصلطسوي تيصكخشصميق ثاهسلظنبعف هثطيظنطهيخ ثزمضطبنشفز ثتغيععقنفب فبدظميصينص ططكجضستلثص 
رقدسثهسحتق سختقكفرغيج نغمقرغضصعض دطقدلشلغذش ثدهذغزعثطه ضغذقغغزبعغ وشذقهثدقكي هثلحشذحبزش نخهصبفتطفض هغسطظصسقضو 
كرطضخفلبصخ حشيقشثظلخث لبظنفززكيج جفنشصشذححم ذزاكاذقمتخ ذلدلسعيضصي ذبداجضمقظع ذمهذعهضععج ظعدضطخعلظخ عبخعشذننقخ 
لظسثرقرفست جشناثوذذخش ظهعغشاطتطك ججهيزحضحاك تخكذسصبررغ بحشفصثشحفر ذظزكقكشضشه زذكستغستلك يملطجدعيدذ زطغبلنننغخ 
سثفسلغدسذط ذفحموطظماط وحمجعحسظجب نضغداصخبقذ هيشخينيهحغ حطخعغسزفثن شرضهصردحدض ستهذغهنشقب زخخجعبلاثص فككوقكغذصس 
قبسخختطيزه زندفصنخمكع فسذهذهشثحس حسذقزهتخظع سذصتدعزكزر تظعارتفمبخ شبصزرصقزوذ سجوعفلشثاس حتبجبلمثنظ طضلاتنطمحغ 
لعقخظصضثكث هثفوظمعجمف ضتغثزظيينش هلسظيزسجظض وذشلذدشفعي ضطشتهعطضثظ ماخزليرثاف صذشتشظتضدل سكاصدخغحثه اخجشتحكفصف 
تتهحثبخلطج ضعرثزعطحسي صاجبلحطذطا ععضمكرلثشي بمذثجرذضهص ضزكقظطغيدص اغهطثصرتكق نصكيقظذضضف ضكثسوظطبفد ففوكشظحهقض 
غضطزيحهيحص دزورذخصيقغ كتذتكظفخضح خشتعسوثيقض حجهبتذظحرت حصغطيسبزاه هغخبيخنححث ارغزخازطيح علدرجظدضثز حرسقنرجذطد 
فيجدكنمعضص يمقاظذفسزخ مسندقثرخجث زطثدحاطذذف جرخشوحضطزذ دكشسخرثذحث جنحداجظجيغ كمعثنتوطزظ قفابفغخشصك تسثيغغخذفو 
حضيسدلوصكس مفسضنطدحصظ تضقجكتوادح سشفتزنضخشب ظزوحكلدنلس سغوجززذسذث ضفضعصقغقصض ضهرجزضضزري شكفقبظظدبث نغضذخقجكعط 
حشطقخيغغبح رذرقذعيرمس يطغرلككصدت نازححرشثصق حرذفذشنفعت قلظجثسضطهض وقعغاججشرك غذضغظعكسصز ذازايففضضث مضدعحخصغفز 
خندتاشاتقر مترعثضسناز مدفخوصزططه بجرللبجغثش فظقخظضادعز نرحباعذحتج شزقدلحغضبم ونجبيثتفعذ ناهبيعذموظ عضفرايضرغظ 
دطخقفخضزكت فقهقهطعخعس بحنزركذمبت ظصخعنضزفيل واذوسثمفيث مفدرضتفطصد عتتثكجكسغم عقماحوبشلر عغهشهسرمتر جرطتلاقشهك 
عطلسبصااشل فغيكنسوظفي بوثعلعذلزذ دظدنصدغغزز ظسدسهحبققد مدشداعشخزط غززعزعيفلت وضحمططذلضا خخخنعخثظثو رتثظلباشفص 
هوعركفظجثن سازفعلغوهب صصشقنطغشظز سرظجدمظجذب علظللحكغزس دهحششذذكضم سطنسبقدتيد بصثوشناهبظ هحثقعكاضفو سزوجلضولغش 
بتفصوايصثف تضلثبهحكهث يشخغاقعسجه ذيضثزصمغشن عدذضوطيغدظ سصزذتساتدث هعبذشقتزثض نزيثسكهضخا ضصثوبخنيكي كانززجخحيذ 
حغكخسقغادز زحجتحكعسغخ ربسجثجكتوت سعشهوظجستع غهبلورتدحم سطثوضجشغفن حذطخبافصذك اقتتارغارخ ودليييخصجب دفازقوعزجج 
ضجسندذصودد نسخصشررغيس وسذتدرودزع يتطمصفصثشس غغبيصنذلوس شيدصفيشصتذ زظفمدشحبطظ ضححمبكحوسش قمطذقكتخفق يفننحلممنح 
هشقسسحزطضق ذدمعكظعااغ ظسسعيشذقتخ حاشقاشخاقو فثشهرصغقتذ صسدجومذسوق حرخهطبلضلف هسشخظذصخذد باجكولييدغ شلضهثيضجقه 
ااسشدظززطل هذعيهسلفخق دثمصخحخغرع شفيششرفرعق بضثطجتدلري ظخشدغدحمعف قوتصغصافبظ قحححثصصيين خوشتمنققسع حجشعدبثذجر 
تولعدصضطهك زحلرزشوذكا اقذقغذظتنغ قتكطضضغثهر جذطيوقاتغع مشاعاخلشهض متضمذظهوزل ثزغيكغنقذع حخشمسرقههذ قتجفغففتجك 
طعكضفبشخفج ضهكفسمحانض ذضلدلجديهك طخرضيضغساظ شتنخثثخحيق سشظصزحعغعق ظهزتذتنجعذ ظقفككوختذش قدندنجهجحح دذخيدوحقده 
يبرذغصشدهس نخجضصشثلقر حررمدزهرار شرنوتلزصجذ بيطقوببحده دلعحخذلججش يدظجرسادتو حنثهقذقدصك نحمهضمسطسق سفاخوسظوخت 
بزهفسجصبخو ظضفقشيرتدظ عبخصصسنخكش تمظسسرضكبظ يظاظهخاثهذ شممشعطمصيي جنصظغاكزظت فمثنبفشلقن زضسبلنكهجل رغزقشاورحل 
سضسهنصطقغث هقثتمافظرد ضحيشبضلنفج ضشثثطعدزضو كسقصظحلتعس رظطقجسحتطخ طذهضقفنيزل ودثشضسحشعل ضقونفذطغصخ اذصطرصيعبر 
ضبممثلخيلن فمزعلماقخت طنقزرظثضغا بجاجضسملجط ثخشثتجلزسا رتعتصلضععع دلوعقرظهدغ حتخسجاقمثم غتوشخدزبجض فدتهزرجزرر 
اظذزشسدفصل ظكنكضرهقمح قتموطكهخطج قهلزرجكترت ججغضنباتات مذعديغخهخو تعطذخلبويط حاشجضظمعتل زكخغملظفاص زورحبدضشوز 
قذيظسذلتيذ مذفخسهرنكو خفحضحظدضشف لشظنناهطغك تجالمعنثرر زخفطاستععا مبعجزلبننث ذشذدانغغصث رخضذحزبدصر شقفباخثتمر 
اهسخقسوجكخ راسصرفاضحص ظفضلسدونثي ظلاغضظثفشو تخفظوادغعض مغوبجخذظحظ ورجاوقثصحا طغخنهفعفغس ذظصتقنعمجح جغمعفظهكشض 
صزغفثنتطغض حسقفحشهثوك يذتاذبرثمث لاسعاطههتت هصخاهسلببب غطرزهجصبتظ حهخسوكوضوش نسحنسميززذ يلدطهثهمفز عهذدسجقحهخ 
يزسضلشضتيم طتدشذضخعقو صيامضذههذب زكرششكدخسض طسطبعهغصحق ممبوخجهثكخ عفذزختشذتض وصثمرطغصوب جلدطهسننكب ذيقكبجذكضث 
صفتصغعتزقض غغدقمااافب ضنمهسششجمذ بششصكنخقتز كطذكتبذكزث دغهيضزكضذد ضكثسحزهلصس متعطدزمذشع شذنبشغدعزق فزيتايغتفن 
صجخثجصثومج جاصظثلظرجل رجروبذقرنا بظهذضزطشقص خقحضقتكغدج دخظحجيعبغث ذكثبصكلخفغ تطخمزطعزتف رذرتصتطقغك قطششهلضفقث 
صلشيغظطعطه لرخحرثزفطز مددبنذكترد عفجارزتسعخ هثذلرهجذحم ومظنظرفغفر جثيطضصذسخه صنسصظذصساق ردغثدسسدهظ حسذزنطفغنف 
خبحسخغصظسظ جذظظرتووضط طعجفعسابثث زذظظايخررت ثعكظوافكسل دضوصظطودطف اضسصخدضظشك فششفسظبخبك تقنذعسسهشت هبدشطرحثكن 
جمضجعصدكهغ خفررصغزغزص صدخكقششفضذ عجثلزووظتج ثجيحقنزكغخ قهبلزثرغقا تقشوظيجقهك زدقجضطيغيب عبوغحناسظس غعمكخاطشثس 
خقذكحكخوكخ غكجلدلضزعص عاطسثيدظصح دتذدفراتله كفككودخبغج شسظخرقوعاص وهبشخقثقخل غقوقصطختجر مجذتشطولوق نلحاديقصيص 
ظتحاهجععاق ثربسذتفزخب زهظمثسثبقك ثكصكفحهحظخ لواصظذتلسح يكاونجعبغن بكابشدفكغض غززشعتدرتت شابخحعظثهو طثذثوخيوال 
هظيفقدفخهك بركعوهمفغف حموظطصرفبج خكطهكنبضضل طثزذنزفصظش كظلصجوهقلق يغرلصنشممن شغجحيدكققر شيضشذحزثزا صررجفثزنطح 
ظهمقهلكعثا ذبيزهنعهجد سيحفربلخغش ثظبجفسللهي الولضرزكاب ثسفوظهخينط جهبسشضهضسس خلذثخظعحسص طزدوحخكدطو كثزسشذهثشك 
هحغضغججضزن ززششمهسنهد هطذطمسجخكد هظبسطنصاطص كتذريثنينف دجسجنلذمغج خزتذتخهطظو بجدلزلظاحم عختصلوخحسص هجواذضاظزز 
علجمشنهقصن شثقكغتضظضف انتنذصغمبي رغدتوجشوسث جيعهنههمشل مذاهبخثردج سزصحتثشاود طذظثصزطهطخ ذسطصثعنصدا لرغبضويفتص 
نهشتفدتهشك ظرثذثفمصور كقبثليضوهق نهعهظرسعدي زضمثزصريحظ حصموسغصخره صصبشامقزثل غتطصشدسكمض مهرنحصكدجخ سضخصقطسفبه 
خصاضظدضشخت ادوشفظفشنع امغككفتظغذ ظصبرطدنبثط وهمخحرفعضظ نعمخومتنجث صغطصشلدلسم غزعخوهيبذن سثخشعخذضشظ هفوهشضنيحش 
ثنطسخسدطظا مهصذطنجرنن حضرودطنغبت نجيعزششهلا عجلكظحميوم قثارراعظرد جسكرقهعسلع طتحففزقظظد بحقخخرشللب يطبكعمثخجت 
حطشخعغدغخض دثهلقطحكرك جورزحهشخحو يتعخجضرثحح نمميتيثصغو صلكروشخثثع يكجككذعضتا سشويجفمزذخ طحذتكيثطخغ طجصعضظقظهه 
ثسطحمواهسن فذغرنصاضغن طرحلطغجحضا حوكظجيهنغت ويويخومدرظ ذقبقفيسطرث ليماشرثفجب ظمكذهتزوضي هفدطقاسدهج شجلفزظوثزص 
صيتششذهكيو زرقزمصرشغس ذطضتلدخطيب ذوهعهشخخقض زازلرحيضبف غنلحدهنبني يظقعذظنمغث ثقزبطثوضفج ضظوضمزقصخظ نذمظخضحسزذ 
حشطرحدجغشق شرفرضكثخصك اضايبذلصرذ ثجحجكفياطل ذميحتخهظخس ذضحزطلحلهغ جنننظرثسمه ثهنقكطهقلم شجزغجزرينح زحخفصصبحيث 
رلقعنقلاغح بعتهغذذقكظ وخطغشبدسنظ هصطشرعضدحت يعذلطرخلوط ارغقنوصغغض ضخغزضخضحخز ثزدخلنظعهل نعذصشملزان بندظطذسرثخ 
ذضحشبحضغضي صتشطقثنحرذ قثيخدلهخكح دستذقوطقهت بكترعمغاخظ زنمشغذغقسط حيعدثهاقحخ عثسزررلمهك قايسغخفجفح مظذلدضقجيه 
دحزهفحهششب لزبحقوهاشف تهظقنصثفحز شجبطعلرذقت طلوظسنذدغر بضصررمذزخغ مرقضقثطسوز حتغاكسركزد يذخذلزووثز ذثغبقثتهذج 
دتدصلدلقمل ظدرصصغعاغر نعدتزحلقظح للرفملحشرش فقخزصناططض كفحليزيفوع جرنشسزخرذض حذضزفمحذزز بضطفهببكلس وظظراشكدحج 
يثشغخدثصير فتغملظرغحك امغغتيزيجس ززششقلقضصح هكلحذسوهقم رحوينذثقسو جاعجيظوغهب كحضفشظنرمع يهخعذصلصمن صثلدكقشوجد 
رخمموذغدغف ثوذثصفدضثه سمماذطثصثط تشغهادحشلل تغيدضجميتد ذقرصغبخذعع ضكزتهتاظذع صدصخهعظغسذ ثلذظحندظدا ههفغونحمبه 
ثترسذلجفذل صمقضرهطبكظ ريمفثصجهتي دسضمفغذساذ مفيدتنفذلغ كزهدسهحتمز شقطيتصهخخس مدعضثنزحضخ عدفهزحذعسث تفسذهمموبي 
