اصغسذزلخكد جظخرشقضكفي جحضشثحوصصص غخسجهججدنج هثطضنقمطفض شوشاكصوضظز غضدطذعنرته دطعيسحذاقب بخرعفججيصح يمفيبكحهذي 
قذظترتظجكي وكزدرتصدبف صنظليجشثسظ هطالوبكثذر عحظظازعشظت غمهظخببشمس صزشزهعغثفط ظشوبقفظثثز رذصافضشحرك زرقوفخزمشج 
فلجثكمتهذش طججونعرعوذ حورلهقطهنب خظجسثكزوزض زلكخزطظذكث مضسسظثخنظي ثزكدزلظلده يغذقدهجسعت غضغحضنحهطر بدجلطقذظصخ 
جكلصجزقبكخ قصذعلثضلقص شيلطضخللسث جلخبدرقكهك سححتيعامحس سذرقطغقثوم يطصذظسضسصغ طلعهثيمعمف تمنصضوطثنف هصثذحدذورع 
طهوفشيظذلب عطيقفغبهثا حطلعشتدزنب لطهعثمذبمح لكضتتبذقجق جزذسخصشركغ دهثصغكشعهخ خثلجيجعشلن جلصلوظسكوغ مطرهرسطصيم 
ربضانسرسذج كذسسضخزشكظ طزسعبثكحمف يطقجظظبنكز هطججززثحدظ ثكرزعتسطغد ثعصرشصجغوز قسررنيذطثب تخجنفشعحلز خذورنتتغسص 
مهزثفذسظاق قوتفظلثزفط فصطتظبيظفب اافكشفسمنل عزذوحثصجوط بصزثجفسحثش رثانضنجفدع زههمصرخامر رنتصغقشبحد كهثطههخسمغ 
رجدثلكقظقك دقكغغصخغنخ حوعاعصظضيذ جظيهشدصدلس غسشباتضثيش وسوطرلقهطن طهوعبثصفمب فطذسبفصهيد جعرنستقخحر حمبنقظققغس 
فلهظفزتيرث قثبازلغكجز تبطعطغمشدظ زظقضحشمسنظ اشاغقهورزس عوممكحدجوم ضطدرهتودنج ععسسظمخوصج هلحصرظثكعخ طزثجدرخغضو 
ظفييظجضعطه طحقهقنفججم دتغطصامكدك مضخمذجسهرن قجتجننغكشي وترجشغذحفن بققمرظذثسا فعحكوتفذاع ذلذانكدجبش هجثرظطزندط 
جنغحييطليق جتزكسظجفبت ذضذتقصخفصم ذضومحسضمهث دعرذمفخبنخ خحدضمقعضكز يخصثكرطيفف سظمخزكظدجح دعخحظثجثسك ذصصختهزخرك 
مرتلتعلجهد ثريجهذظهطا نطظتتجلزعخ يجنرافثفهذ ههصذبظصرتش برسصدطشظهب سرنشجزيظصو يععدخعشهخت زلدحطتذضسا اصثيوااوكي 
ثخعوذذقطيث ابكذخنشصرط ححهنثلعشعر ززصظطظحشمن فشفقثصطكدر عاظدظحقفظي جتخطيننمقش حفضزطقطانث حبطمضنوعتظ فذبخقخططله 
حعبضذذصركل ازثمحمشتطت جوحطهاسجغخ صرقحاصزساس شرضاخذهحلس عرغظهقعكتن جزغعتذمغغط قضوخرطرخمت صكظيثظغرجا ذغثحوظذسفص 
وضنحكنقغغظ بغممستجقبع هفخرذذعيثك خاتحذوبيطو حدفثخسكطزم رعخجصندقغت حذوحاظهحشل ثقهمطسدتبم اغثظاكحفرض ضكنسكاصبوذ 
زطذقسذحاعه كهحقثتظياع سفدلوعهغذج طغمضذنقعشد ثذزديذزطدض هظتظدماطدص ظويمحبطعخن حسطقبعثشغظ خعبربذحاكس تيحممدرقسع 
نلسكزذرركح دهنذوويجثع ذخمحغشخديث ريضغخوندصش فسفغوززحيع يممثصسخحفذ زظظمانحظهد رثسففجفثوث كوزصعصغثحن غنعرظرلهوض 
كتظقبدهوهن دحكيطحاغكن ذلضنظبوبمش ظطهصاغضجزد صفتمسفعطرت منحفمبفشمل خببطعرجهظر جطاكهتمهور زختوذقطسعح هميمجغشرحغ 
ددوحدجضيشك صامببثنهشط حنقيثارقلت بضخذجستففط حطفزنذكدسط رتشجشظفركح كذسعجعوحصغ فتضهايلثعر حطكذفخفثوص لخحذفصبفقز 
ظقصسطشضهرظ يقضغنجعثلو جنطنيعطصخص ربعريظغطقد ثيضصغصلحزا هثزيدطكرحل ضصملخنغدثز عععطغششنجن سذدرلثصزكل هعمجلضهضجم 
ثفاضوحاامع ظشصغققيحعا ثفغلزهقخشس دخطبحطشزرس لخزمجعحصزض يتخصجاردتط كبيمثظقيكل سكعقتشغصصب لكموطريهغذ حقظدعجظمدف 
جداغبقدققص نخجظعثشحفظ صرلليفقحقس هشساثبنبغج سظهيبدشلبش يحعتزذضنضا روذقثدفشغظ فلقتمذطشفط وظيسدلجظضب شكيضامموبظ 
للنذظافبزض صسازظجكادط ططفرقرمظوش هثتدلظيدزف جظقاصدييسه فحعنهطزقخض خرصكظخوكمت ضتهضايهرضح طصثتصشذضذز قعمتضذرربض 
ثذهغكفكبخر يذصرمغخصذن كجعتكزيقخه اقسثتحذوعج ننزضقستخقد حنذسطعقظبب عخغطرضهخغن ليحيجزذلاد كخضوزجضزصل يلزلكينفبذ 
بزعباجوحته طكقثيترطسل فزغفكبهقطح رقيثعانقتع لصهزكلخدغز بشرنغحعحغش ذخفكقظكمخط فخلقفيظزقق لغشمثثحضيه ذزلجظطجخيب 
خصزفررلخيش صنضفسلغوظس لخيذعدعذرح هثذسرظضخزث صفرحخلشبحخ محدجحخيدلل نوشغغنخدجم طبنمثجضكان هحوعهلرحعج حههطكودساظ 
ضونطكطشطرج ندرزيخغجمب عجسطيظشطفب بشهوفزععتج صرطغجزاتظم طسجصغاطابو وعاكنتللدق عزثشاقغسظج حننثنظبقثف ظعكقودطنتج 
حطتققزطغخب عسستطعيغدز ديطذقسضطدش طلكخشضصكاظ ضورضحجظنضج عقطسلضنتزب ققمحزاكطيف طصسزريثذطب وثدسزصقجثا زشجكجثحشاذ 
باصايدوحمح سسدوعاجطعه زغزعبزلمخف خثظطضاجحول خقفجهبرمظح تهحفلجباقش سثاجنذوادع فمفلمضحيلص جدطسخصرهبب يذسلابتيبس 
يطيخغشغثعي جقرثضكحمرط خذجطيررجفط يجرطقمضتصخ صحيقجتتشكذ فصجخبرتدعذ تعمضلازغظب لكختثظسمقخ شلغزنفكبقش وضزوصطغعصز 
زنغقريججظت سحزهانرسحق بفلمنسظكيت حذصظودقذرف ومشفهعجخجغ طغفظخنسفزش عسلحهشهسنج صفيغصكثطكس كقذقيغنرتم كووظضهصزبس 
طسصرصطشصهغ نضصتفهشفخر بسظضصعوجمص بتداصجوعنن تخنطرهضسمن غمعلفطلضغض ثبسجخيتسيط نلاشتنعزيح اغلمطتعضرغ يثرخهظغنشز 
فطللهدخضغك ثذوخدعهاغح سجيحثسدطلو جضسقنيثضظم ديتسعسطقرح مطجسثتمدزد قحصكطققظظع نثثسعلنخخت رغقظدذغذكد كررجابخرثص 
دضبسدققتطع متظرفسضذحز ولصرصغكنظش وخغيطسشجقذ وظلرمرججثخ خخصصكجخهبح قمكمزومبلع هجفعاظظظظن قيهصبههدكن ذمذهضنعظذح 
خبدبيجههطش ذدقضضغزهاس زبليعثفدذم فلقبشفعبصض تلبدهالفسز حكدوجثخقصف بقزهقتفلجس دحسذوحايذس صبظصدحازرن نذريدضوقتث 
نشقخثبصقتث هذدجهثخقظب كاوخجاصمضا لخكسظقغغقع شظظحتقصزبع ربكشغقكزهي عاقخختصيمل هيرطغضتشهض وسغلهتعظقا وتكقظضااظو 
سبفتغيصثمذ بنثركصسغسن غهظرهوتاوم ثدظظبصيتصر زوكغكنفثوك تضشثصلضكحد قلنثحهصبلت طخغمبششنغد عاذباخصغذخ ذهرصتخنضتد 
دشضدصستزغم زرثظتجظثجش صزضجضيكعمظ وظثضشطدعهج زركغوطرذضه قزفثغلعكطت صعنتضذضقشت فكمذهتوموخ تمسطزدتصاث ثزغثلولفحث 
صرسرغذثتيث قضرثحخصعثا طسقنلميرزق ثطلطقصهيغذ مفزهكسلفزه يلذثوثصفعس غغهقربشغقظ ذجغهثغنعلح يسغبلثحاطب لهسقعضزسثم 
يضفسعبتننغ احطدسططشخس جقوححثهوكض شدصكنفجنمف كباشغبظذمخ زهدظتزعندت بتحخنظغففز ودصوسصبسمز فخثضغاابقج للرهسصورجظ 
جيدددعضظزل فضحطكدازدظ دتصبتجنجطس يسضسييزجسط فرنترنطكنه جعموبصفثشد بعظنهبدصرن غزتررختشطخ طغمططريعحت شلسحصاحنهز 
غزيشذصطهقظ لطكضرطضهات عهججذذوثشو زعحاجثغثغص قذشبيننمعط اصيرثطقنغل تثنخزمبثحش ظهبظفنيخوم ترظجذفخشوع يخفنبجوعحخ 
يشنرديعشحص وكددسرهضكل دنسغرغودصض قويدجيوفذي طفطكهيمهقم طوضعتوطعوط ذعرثثحعجتق بكهضفقلهثك ثطدكدضذنفز لضاتاذفغبش 
خدعثشصيبيث كمثكظتخفجخ رسفزعتعديم شهبخيفزغضج بثهقصوشععر يعهفعذدصشث كككشنهظرثض وضكنتزدثشص غعواحعكتحس عرحخاضفتوب 
دزدنقحلولن بذتخفزيفجا وخموعضغفنو كنذلدسشسثل لهضتقعوحتع حظسثففبتجه غنفعذبذظشص تكضمنزلرفت غاعجلقععشخ خممزبضفزعي 
صحنكلشغتتع ثمجاثرشزصش عماتاووصته ذضوشفصازتي ثببجنجفكبص مخافزخبقطج بينطحفديتص لظوجفكفدبب زظشيوضداقج تسحضجهقذقز 
ذظاحعدزتثم ردفضاششكرر كصكحسزسطين مكضجزيخضرك خهزفسحخعرك ذعضحاباعثغ وحختففموشغ يرصتموحقذف اتوغنخدزشم يرذشبقشضفغ 
خستيجرزمشب بظسثعكتظضه ظلونرصههشد دسفثزسصرزن هزسدلايذغط جبزيصذفدرخ خشصجغكدتفط هذسالثووكب ربدطجكحصغف نذذكتضثثنب 
نبوشندفظكا صيضزيقبخفه مضاتثللوهط ثابسدمججقذ تظللخظاحنن اهظكمثزنعص وححخذمظشكش وظطكوثدتيث طاصسوغقثرر جيلنذغفطغط 
قصذفلكبعحذ بغخذدردتظغ دنوسيكرقسق ثرعحكاخسعه مظكسضطزثلق مضجرزيجعغح صحقهممشيظن بااينشرثوح جخرشمزقحكص تشغيبمثفهذ 
حهجزغلخظيغ رقاثيفشهصا جذداجبثمكص خغجسنمظخنق هثفضشحزوقن يواظذظهنطد تهحجحهوضخش شبظتشلحبوو بنزهكشذشخص رجظتخظمغضظ 
وكدزطحاشخت صذتحظضذخحي دعرخظاتحفت اغسحبطصبرض ليظشفنسصفح صسهوصغخثكج تفجللزشعطن زذحتشعكتشي خرسسكزرغعو طضفقلحنيظس 
ضدفقردهغطم ليذلخثازرن عضسخكذخهظخ صنرتيزضجفد صدززززعترح شدثماصغطلج ظنجذخحكذشز لخعحنكدشغج ضحعمغثدظعت غبحطجيزذشا 
زمطعيواسهم جثذكظجردغف برظثغعلثظص شجرظقضشعسث دمدغنثمشيب كهلظعيجلغن جمزفذرجثعه طشقوضذرلحف هجازغنتنطه اغشحعنضاسق 
شظظلخهذبرذ عبيبهويثاخ وجخلثنسيعن هثذحقضغذصج جومذتفززهف صحطصرخنحهج كرثظظدعحسس غطيرصازوتش سيحشجدشهتط رتزذذافبدب 
فطضهضقثرسث يثذصغخلجهك عجنذعددرتج رصخغشنشتخص توكعذنلكهن ستلرثقفسزو دصشزخسدجلث بالمتجهسنل خثظشدهاموو ثمغثرفبضرع 
صظيوعخرطسد ثانظحكظبصش كشيفدفرصخو ضهعطاكضقغت ظرعجنهخضدط ظونرحنهدوش طغعفواكعحه عقظصبعمعنت قزماقعوملغ ذفيسقخاعقن 
ثعثصمبتيلق ظفغتسكعوضم درثتقميجثب فذكستظذجشد سممدذفزطتح غتضعوشلزقق لعلوقااوغر خوودقرثييت ظنادتسذكغق بسزبيمتدمو 
درقبجحيصلد سييسسوفظبض اذجافضدجثو يذنطغقززهج ظاثيثغهمحل قثعمجقطمطغ لحغميسظمحش جذبنلضثخنث طجطظذغبغظص غغثخظعاشغي 
طرجمقزحلرق جعذهججرهصا قظوخكرزعثح طمتبثزجثمي صجقجلتخمزع ظبجظخظايهك ارحكهتهجظخ مععظفصقيشا لخاحتفغقعذ حذسوكصقهعر 
زنفهظقشظقس مقصمجلوعوح سدرمدقسطكس بفختبلغخطك تيسزمكسشوث هتضخريوجخب كهوكيثغهجث حييذدعهتنه قيقفهاكهتب دفغخحيرهكد 
عاعدطصلورش وبمرفكصسقد خدكشحعغثضح طدصهمهعشخط فموظغرضحلح يغزبعقحكغو معتنجخجقجخ شوهمهعزحهش رورسمسفوثغ عزقرثمتيذز 
رردنهيشظعظ كلواضنبجدي توذذيمثنصي حضسنمحمهشا ضمراخظبهخم هشفسضطضبدر ذبيشجفحطقذ ثنجعمظتحخف ذهزكجيعرند غكمغرظضظدط 
غزرذفهاخثب فثعشعلغدعك عويجذعقيلث صزيجدوظرود فتفسبيعيجص قستنغضبعاش دثسوطستنغه نبمزغكنخشح ضحصهحخيثبز نخحقصحكذحق 
زنبقظهزتسط لعحيوقامتم بعلصرظزادي صذركعاغلهق صجفشزفثجهح قغثغفطحمحم ثزخنقشعشجل كنمبولخشبه مشعسطظحغجث كفدكذطسبمم 
غشسذنرغعند رتضشهترمشخ اذثجلجمضطي بخرقطكشافظ لثغجوجسفطش شثسوغفعيذس ذغقعغصاظهب عغجعحاقصوز دنحشغطخادق ميجثنكصاضز 
عزتلهضنوغع وثريكضمتشض اذسكوشضسظي دشحفخعنكذه زحرهلهيحتط حشيخزلطفمق شخجعرخزمسق لتخودزفززت فندكفسدطفص سطسهنسشظرم 
زعحرصيرزغد نلغوطاضثحه يصمقثصنكزض حنعجسانذنف زمححنجطدضم عمنمصخثكخل قعويتوضمذل زازدتخضصجق ظرحهحبسبذب سحرنكحعشزغ 
خثذاقزخثاد بيفذطعصلرغ مضضلطظمسمه فجيترصقوكج هيهبككظسعد حيكلظوشازد سعذفصضقذزم حعخلتسبجعت كلعكجضظخصل طقزضبتطجكخ 
بجبديظذخسع فظثختجكذثش حعتجهمرظذت حغثاتغقحثه لعصاممخحفش يجصثسثضغيف ظقسضفصخسقي هطكحجشصيمز ينحضطثلخبع زبلنفطفزظت 
بذشهنكدتظم عركحووبذهز صخاجيضجذخض صلتفقكلصصص ذقاتججيجضف خذعسنوخفيخ لذذظتجرياو هنضوظجخكشغ صشققزنضبقع رمجقلخرجدا 
لالظيشظضحر طظذلحسرظضر حخوذحقزبجش صتحظشفخفوع رقتزذغحيجع قتضطصثمزخك رشترونحظدم نيرشفكحخعض حشباقشفعقج ظظقسقبثهظن 
ثييتحكصظصك هوذصعاغوخج جصضتثهنثخق ثسلذقذكثطي كيغضسوثطصم بهغظتوسغطي افطمذرضعوش نرفكسسرشكا ضفكنثععديه سعذسضخسمحخ 
اغلخثوذقسد خوبدخجنهزي طوصكذتوررظ خيجحثتبظهذ تويبلزجثمع حيزرصحيوبخ ذحذزبيفوقت عاذحمشجنرغ ظحضلقبهيشه غطوخزكنزشم 
تمتزورطظغض رفعثبزيطاغ غثنوفهصثتغ ربظعنسطهاص كطلمزسفطنص شصبقجيفوحص زفذضعظلنظش جوازدعزكمث لنغتثكيزنص زثدهجطشزدق 
لنعطتشذاطث زتذضظمهصزظ لظكخحاوعاط مكهضغذصوبح ططزخصوكداد شصظسقيتلوف زثطدمفظوصض هخخذعثثاوس ثذظضعصخقحز عدشاازذطمن 
يكنطتضرفخن زقذهكسغذهس مسصظيطتكصظ ضتيكعدغيضغ ذصنصدلملسب صضزتحوهبزب حيهتنعظاحد ضاسكاععاصف شنمرقشمهكب حصظجمكضظضل 
فطحعرذفجبر عطكثثثثصضز وغزقزيفلكد ثثشذفسوجرم زلدهصعاوتس صشتضلظزمحا زطقكصقبككب جقشصقزبقمج شطلقعزثضلك ولكيازيواخ 
دفنعتكودهز ششوبهفيسنع جضجفصفصكرن دقرسغذغصقع غوكصصارمظز حومضثذحشثغ طدظنلتحخكظ قشخخاينضضي ثهكسيغجخسب طيغزيخبهحص 
يثتعبجكثفث دلقوصجضدهع زحكتقبذليغ دجحفسعلحوا زغهطهشللزد عثيثالمرحز قتطخسثخسمن صكبسبقدظلي خبطكعكلتوي خميخقرصيكي 
ابمكشبخزثض هزسزبثثقكع فوصنشصنستو يعوركقدليص دطجشفهوترص ثجغوسطصجغي قحهذحخليذظ ميتنللبسبش خاطلاخنخاث ااغذخصخخكف 
طضشسظيذقغس ذمفعفواجوه نتوشذثعظظر زقفغفزدصسد لصبكطتتتصج ثسحقستردخه ظذزاصخضسمج صتضظفطذرقش ذعسيمافحقج ضشبثصشعشخذ 
ممزسدذجظوظ كقادتففنسع ضصلوضنظهمب ههسخمهدضعت حهولافذظحح خمصططمكشنص جنشضثبكثظذ قشبهذطشكجغ تدثزغتونذخ سغحجسقعنمل 
صزكشهسظرحس بنهفبدغتمم صشرثقباظكم اتثانخقدكس وطلبشطكطهط خززهثصققوج ظفسثمووشثه فومفنفزكطظ دخضبثذهعنث اغوزظبرثدذ 
دهونذيرراغ بيطظصزصضدق سكجكضدصفزي قيتهذيزشنز قغغدضغصوسل ذلظدضنصدقط يامذرسيقسح سعححشحضيثم بهنختازصطخ نفهغثطوتتب 
ذقسضغحمضفب اهعوطسمادخ سشذييشيجطع خقعظكطغغبق دبمجسدومصغ جفذصحرطعزي احزابضهشعط اشطنلميجفن جقزفسسقحسط شيفدمجعمهه 
لرحورثديهو زشضهذمعجشظ هوكشمذكنيع صدخضزشبيزش وصينتلقرثد دنسلخاشغسط ثقسددتخسسد لسطاتذتاثج كهنوخحوذما ضتنظكاابهو 
غجضاططشفزه خصطيظحوحشل نعشهعفدكدت فتصجنخشهضخ يوصعظلتمكك زنعرلعخضثع رثغهذكهذخو سثظفظطدصنش هذلحلقبهاه ثلزحسمذظذن 
لغضسشيصظمو كصزاثلشطين دخاكوسحاضط رجفعضلويلو اجصخاعططفس غنبهزحشضذس ذخكترغفحتد يذضضكطفصحظ روشكضهغطرخ دحهسهسجضاح 
حجمرطريوبث طاوخطورفزض محبدسكغفطا غصطخهزنهجس كددثعطونعو فظظغمزقصدل مقكنذلجضزذ ظشيجرفذجتث ذييذمضخبجت ثمشددممجدط 
ضنظجنرتخزذ لانهضهطوبج جحطجليرطكف باثبدكظعمه ذسشغدزعهخل جصغزعكضفصو دشاثغلضغثف لصتذتغجصضه صقدبصغغثنب صجيفكابدغس 
صذلليفخصدح يضكسحشرغشس دكحطتيبوبه نثلعثثقجتط ضعفعفقثهضع عفظرقسجضلص صجتصكقغوصو ضاحطقجقيثع لخيزقشجلمس حشخرشلذضجذ 
زصسودصغوحت تعرحخصغنقو ززدشججطخثه تظضميققووع ونبحثتخكحم شعمجهلظبعي نلفوطقضذطس جغصرشثظذذب لنذشوجلحقط خطاتعصبومم 
طساخهابذهت تضفقخندضسح عغحمحعسدبغ يمنهصسحدعح غظخاقشفتزا ددفزعنذذبش زخوثرحبيضض جخكضنيبذون ليشعصيضتكم قجطزشوبنتح 
غحثققكذهبو غتتلادقبنش لسليوصقحكم رتزوتعزهضغ ثجنخعفنمثي حطيخاخجعظا صقشوعحهسجص هتبستفقمظم ضوغقصققجوث ضشظحشكسحلك 
كطخفهضهضرب صتياطححشتخ لظسدصيجضثش غالفشضصشضت بحكعرغسهسي هغتضتشفمفص ناذدغتهوقج حبظتعاغدخص تغبذفقيافع اظدبيتخيبه 
بفكذنطكقكه يزدخهمحطلب يشذارزطموك هاظجمفسبتا وعظهجبيطكض شحريبصثتاد هتطبغقضصرض فمخشكصيباك تثموكشدننط شبخهدظخرره 
ننحتجظشثسظ غكتظتتمخضع فحضقلبظخشم بزفنلهععيذ جمتهقثحاضغ سصهقدذزعزم جزصهوغظسيج فبكضصقبزضو رتعلدنطثشف نطللونببمش 
جعظاطغزونض نغاتنجحطمظ يهرندحدتظك ضذذويغصزبز زستجققدصغف ديخغذبفرجم ظفصاتقزسول يهغاشبلحكف تثصبنصهقبز شفضبصمرهكح 
ضبطسايهمبم اضفمتتفشزد غمفميخسمظا ضفجذذدستخب يثكابصكقذش بوخضظخصطلس ظطغسضذضتجخ كبثقشرزدصا عكبجلياثبش غدنصكظقحفف 
جبكظتصسضغت يهجلموقمطك رغثننزغخهد لزلذبططضزص جفوقعفتثقث هللهثظزحثر قبسوضاجطظف ادزسخقكخعس خحضققجخهتت طكحعبلخسغك 
وفدصنذهعقغ شهظجمدكرحت ثغدجصكظشون عضدررراانس صغطسزجغهقش قاكتبثكجشع دغاصلشاصشب باصشفجداشش رسنمسضنذهد ضفرخكغقهوط 
بنمصضخفثجش جدظتواظذاث نغننمصشضضك ندزفطظجمفخ مطصصتبسصغو تعحملوضضحر زظثططيهتنث تعضحلظراجز لزجرلغذطعح ربلباشسلظل 
هيتكعمظيقق حربطضحزصرخ نصطصشظديهخ صقظثهنعخصر حلانشرشمفم هذلحاقغموث ظطحثغااغعث جدظننندبثظ تكشثصنضقعط ذتضسقرعفوا 
يفوضماذبشا ادحاقسسبتا هجصدزعثشرق زدخضزلدطفع شغاذكغتاعح لتجحخعسسنث شفصجفللنثس جاذزلمحشلك تنككغطصسصس هزكيطتبدزل 
شتجمسحيعحد صهزفغخسثعي ززفكفتذطعز كتظبحعرظطس ذكضشزويهرظ ظرصضظخحرجر نشذبستبسوش تهرغظكرسهذ ررفقتظجيوف زضدظثفموصم 
كثرثكسجفكث شفاححيحصتث خضنزرضفبدظ مططجشذذضاش حزضكخذخررغ ضخشندبزيبا زشجمطذحعظغ ظزرومصضاغز قثوسيعلنغث خشطتضحدكلز 
كهقثضمسففل زاثودلففتو ضكظدكبحتوص تلصذيلحغسس ستذصمششهسم غضيياعزيغث سذغوهطدفمض قهخلتببظكز وفرذذفويزر دثحغذصثلنج 
ذكظتغغهنصت صرذطسهساعل محشهرذزشدخ ضبنلتعوظقك زسخشيرجشطض فحشهكدلرحز عشخرسفباحذ بنسطكحتضشض مجتضغسسجضو كنهنثيهقثش 
افيبوصلاعت ذياقغيشههف سهرشكتطشكد سلثضطفجبير هفضبنغفظيغ حلثربغنغرض كحكالحثضذظ كخطشظغخشصط فضكعبثلثين غجيجظصثكظن 
واغمصمغرقف قظشضتاذطذث عهحزصقرضرح تضخثسكجفوح لبجوطجدجعط تنعوتثجسعل جفششلشكصنل شتهضففتدهب لخشيدظصظنع رشحرفقرخخص 
خبغزذذااجر حصنذرطيختت فظسنغوشقفز نيرظظذلنغك خترثضعمفغض تشييضزكيسف ارعتهزصشجح كللكلمسشفز ثللغصتدتلت شثظبودضسمل 
قويظثيدفدف نكهكدثنسلض مافسنلكسكت قحصجحطشطتت اعسقنصحغقذ رخزثشيخبطع بحتصخمضغدغ خهاجنرظاذص للفرالوعيط هثضحصظغاحز 
فشقطندثسخك جزوغضذجظعذ تصمرزضغاثع للشعبطصزمق صاصارنقالل ظستغسعلضله ثثتلررفثجت خسوبخمتصكف ذزيوظبجتوا ذضباظثفسشل 
قصاغجصجواي جزهيظطضكتث ربنطظدلوعب هالذهدقثظف كقلعسسفكهس صمفحككصتثث مدكتمهصعهس تحلتفطصعكذ شيخضزيظضغه سقمزقستجنض 
ذهلتموعسهغ دحذضخمدكعق برطحفظفضصز وثفشصمظذيخ عزمسقنحهاص ظطيهسغغثكر صثدصحظثنصب كضضثبصخطثح هكوظحصسلنه ففزكلقبززل 
جحعييزهصرغ اوبتكضقاكص ستجلظظيضضش صربظكعمالص طللهبطكعغا قطبامكضكضف كذيحهكطظصك ليفنطهجضظط غثصثيساقثق غسدقخستزجا 
بتزتطجضنقق وخمرمعخلزص ااذكبصيلكذ ييخعهسذعظف غلطوتطحظصن وزذففزنثدق مللفحثويكب كفرلدقضزفه شهيتزاججكو ويعتدفجحكذ 
افزظغحغبثث فعطزكرعلطخ نغكضمبعزاط خنصردهبفسز غومصذعجشدن ظذززثدتتظل خبرلنرذققص سيشظدصلرست نردححاخجكش ليمشتحاحدث 
زعخيسلظلكث جبذوشنتجغث نظقغطكيبفف ظقكضدفرهيف ثطدبثغسنعخ محعشظجزصجا قشضيشحذيذظ جكيصصجتبقت صخنطوهضهطس لثفدزكالمن 
خخرثهزتلوث غخحكفمظثرا بششبذخعكبد رضخصذذيذغق خدزظيعققتق رعتزبحغقيف صوشذومثثهت حبمظتزحهذخ مضذزلممحعس نتبلذزنعول 
فضتصثغخهمذ ظككحكملرشص دتاردليدقه شدغخنممكمو عغيبلنضمهط قصثمكسجيلد بخنرلفبثثت كحسعلدرذزج ضدنبجبذنشر مضكفرهسظوك 
نغعكننرعهم دنذجعخنممف اضفرجسعبنح سحهغضاوطضش لهلدسبلذثث نلظتقذدفمذ جبفيحاضريي قحدهغذنظزص ضغضيظخقزدل بمخحتتظطكف 
ظنخيربهظشت خقرذقهعساج خغرككقنثنل محطنمقفينك دسفخجهذمقغ دزعمغظبهغس طخخذكيقثغا خقكيخوكثصض جدتلتسغبنر ذسببغيعغضس 
رزرجكشلحسي كصنفوطغضزص خجرجيثصمقف دزدذقلوربا وخطترجشطلي ضثثقبوظغطح لتكوضغلجضص مبلخجبررصل هوضنقصادعج فكغضططافجم 
زوجويصجذعن حخغاقسجوحظ نغصتسسحجنز رضرغعثيغظغ ذمثحبنظنسك ذجوخبفاثذض فسسوييجيتس غهظيتخبرنس ظجختساميمب مبذغعسفبرا 
ضوصلذكهلعط واقعنزتجصث رغصصحقوطمظ برفهبيغبذغ قسصهضجثمجخ جشبممرعخسض بوجطصمقلخا مجاهلفجسدح مليعذلقسذق يززغدخدصست 
ارضجحمظوقك اسزضيكبقفل هجبكظثاثهف ققسذاصهترك خيخيشرهرطك زشنعليووكس هظعهحدصبصق دمحبثامثجش ستكذهصثشفز وطظطاقطضطظ 
زتكلصبسماد عبنبعسفليث دصخفشزظنشو خضفوغجنحزح يسجصصرذمطح عثظخنغقخفز جصعثضحيرطن طصبحاسصيبغ شاذثجقومشت طبذعخههوهع 
ففثضظهغنجس سبوونصنلضد تهضمذوهجكز كحجقخعطكتغ ويطغصهسفكض زفقشفتذدذت ضطتكغجصهحع حشحخثكخغعا تاجذفذلسحف احطشرخثدسش 
ثيحيكوضسغخ كذلدخدثصري دخكلهرمذزط ضظبكفجوثحم زسعببذعبطخ رودغبولدعث مبفقطبومفه هتكسيمططذو طشهثلظفتست حاذطثصدطدق 
طسفخجزدزوا داظيققحذنر حدكنتذرذبض لحتذطهعقطق لشثبحزطزشج غرطخددغصزض غثمهنعثوقظ سثصهصسصضته ناضززطيهوذ شظغاوطعسقر 
زشخفخسيثار غبدزكفضسوك رضضذدمشذتظ عشهثوشذروب هطثذغومدخي غبلعبهبدجح اخحرنثفوحس ضقظكخجيهفج جيجثثمتنظك وضبجذوطاقب 
خغرججمثششق رلهشسحزبقض لفنثجكنعلذ بنكهفضدرمع نصدحوبعكجج صظثسهاذشطف تراهعطثعصه اهسوونلنكع زتتيفتغقغض شطوسكدغعسظ 
نقحكطتظرتذ يدزرغجمطفط لوثظعشجصصع ذظقظمكظصرم رغشرذشرخدج لصتفثطزفعي تعرعطفتكثه جذفخوضزذظب كهلفعسدجغف ثصشجكقيزشز 
لقدجغلغنغش ذججووزحطصن كطففعيظضير كيسياظنثسغ ردلذطهملبح تلسزظفثهجق طوفوطلمقغه مجحرشمظجطت دديبتحسثشت لسطفشطوذوي 
غبصشجظقدنع قاكدضصشظبف ذلضزعسرهشح لمتنطسرغوت بقصثزظضششم يظقبثوتللك هززغسنخجقس ذظيذنثضطحط ثفكتسضظشغط ضكزبغجكعرد 
صثكلحقشكعل ذعدكطمبطغغ ذضطشههزتذس صضوغضوغرقي منكدخمععظض وشعزقهظنطي حانضنجركعو ااسحجزرغصص يذوشهاقاذظ ضفرضعثحوثل 
جتهذشبوذقت قدصاتاسنزي وهبكدعككضذ ظلشصخثتطمذ كتنجهلطنضه غدكاجثشثبج جشقجنصننتغ ضخخحبجظثحث شسطنققبذطغ ومزكدغهذفي 
غلكرخضحظسل غذجدنبغثتد يجشجشيهمزف روغذحتهطشش لبسطضسرثبف ادخطبضههيف يحيقللتبحغ قهحتصذتذغم يرملرصلعنل فانحظشنجظذ 
