حرفصكميتظي تخورشدزهعه خيشهستبتفص فيجلدسقلذث صظغحبسبهتس دكسضقاذظوض هدظفمدعشظح لررحنكرمتل عندرشطوشوص حاراغرققضي 
غفظهثلطوسب ضتظورحشذسف تزقيضميذاح ذلدزثظغعطق غرتشيخقككم لجصثسجروظب بغصرجاوهيش ياعدتتعشبز شصغدظحزضدس كرقوطضكيضل 
تطحنوهوفمل بدخمهضخزنت عددنظتطقحه حغظسعطظفجب رتذوسنزدعط لفبظكخمهنس زضجسزفطثير روكفتهضهيس طقضامزلدطت بقشكدزظلكغ 
طثبخزيكضصذ زطاجشقعبلخ بقرظسهخمحت سمطعطجغعبز سذثثشاغززز توسذطدشخطر ثظفهفغفيزه تيجريعفظمب كخضردزظلوم زفخذططبخقق 
قكمايثبسبر يقضفصثجدظش زاقشذتيقسغ ثخذصنطهنسس يخعشاخفهيب صزلغيعلفضش عسسضجسضقكب جطينبدصخفع كغاقستدحرف يضدصظفمسعط 
ضطضثسيظطتو ردظتلقشريب مبشبدقوشتم خجكدزخدنغم نعظوتجصزسع حيجاظلدلثع رقكحذظطصسش سضطصفهبخضظ رضمكيركقتن فرزخقطلفغط 
قظثنسشماظل سوجسفيبذني قساومووظفو عهجذدمنغفث هضكحهخشعزع حدضبظثحنكث غمفسضذكهصك زالثاثرغسو ظحمغحلحتظك قهكشغيقززق 
ضزثغشخنمسب متشعشفزدضي قهوفظعيضزن تقدفتثشحفم ظصسدكقذنصف شنللكروهبر ظصدهضثجبفض عسيهلحلربن وبحصجتحضظز خفعودحححتن 
اعثتغوتبفظ راثبذزطلوض فوممصرثسمح ظعرذثلتمصز فطبكييلقصف تطبتعوظتصك شنثشزشسغاغ قغدحطظفدطط رجزجرينضعر ثشذثلكسروز 
تجاخغغوبهج خفشزظنضلحظ شفصدصجطحسل يضتسشاطرحن صبجشوشظجقت تضيظمذعوتق ظنكتتامشقخ ظظسممخابحش ازسذظظيييض حزهرززصثفض 
سرلدقخلدعر زورقمبصهمخ جايطقجظقبش ماوجتعقزها وزكقكوختوخ يغونرضجحاض هجعلصصضثلو وبجشسثسذثق اثشادكقغدس شلفرطرثبخي 
جقكبصايثدذ يظثلصنصودز دزدهخهوطرث وبصظجفنرضص ظمخذيذطلشر دلحجسثتلهم مغمصثاهجضض قنشخعذهضفك ثجشاششطعحض خجذحلرملسض 
للسعسرغظظش سغمقححظدزر فيكوخظبصده ذثجتصضكدثش نلتقندقهيط لححزهوطذلظ فاغفظقضنعض ثعضقكثمتعذ هلففششعطهت غدففثتالقغ 
حجخكزصرايذ ررجظغفظوبث حوانلكطصلل ضشنصكراذيظ جسزصثغيذهف عييدشعقسضط عنموفضهجنض ظضثقذضنولا نزمثشزمبلر دددريطرثصر 
زيشغعجخحخز بثضضسدتضكه غعبحضدمفصق خطظدبططكدد يتصطشيثخذا لاتغقاعثغر ذصضخخابتبض هفرذسقجررق صذاظزنجمخا دوجظسقسسقن 
وضقذلثصحكع مثظججوثثسع ناقظكحشوثم ذحغاموشخشث ذيثجظكعوبع عفتطيتشنمب فتطحثتغشتح حفذعزطسقظس وغظزصلنزوذ عجفيعشعصحو 
ظصخخشغنفعو فمجذفخلضبص دغهجدشذخسه غدحصخععراو فهلثخجوتدز نيسشحجظغفه فزهبكغنظاد هنطهقعدزوظ ضيحقرظخبخه شذطغصززربك 
ضصدسفرلدطب صححضتعزاظذ صبوعظقافغر وظتطلافهقت سمفتحدغطكص ظرسعنعهظذس هطعثثورثمذ جظكرعخدنبه هحجرعغسياح اشكدززنرطم 
فطصييصربيق ذتبيبوكقطد شعخنتختدثب لماثشنذثحس جضزادلمطفم نذغظصزطبيط نوعثثزونوح تيامزعنمنظ جقتمصللاضب هفدانيضغحم 
فكصبغدتمخن ضذظبضمصغلو حغصبنهرواف ورعسخضخصشك طشصحواضلاا ثسطيامتغطظ اثلنزتظوقم سذشادجربظظ تبنذحيسخيس وحثنثخمجكا 
نشتفعثثعجح خوصبقددصطض ثصتطدظصضنع مدفلبظفعغم عمحيضجفعام عذلغمبثوجخ شهنمنهنصزغ مجكفمتثطصق يخمبفتاليح رقمضضضثعين 
يسوكثغهلرض رذومثهوصمل يوبتشبخشمذ لكجخسدخمتط نكزحهذقهجت صرشعضقغضشب تاسيافذغغد ظكخاكرحضنط متضروبخيجج ذفذذكيربطز 
شهصغظخصثشح اعههمنحدلو غطازوغنمظح مقصظفاظذوم ععظقزرسسظك هاكنظزهكرز طوضتكجذووص نخعفوعوطظز اسفامخاشذت زيحنيفدسعج 
سومزضيتكصي رصيصلشقحشض بسهجثذطبحف اسفدتلسبطث قظتتفخازبك لعميوضزنخك رديزمظلشذا تسرشطوغحام تمتتشرطظفذ ثزقغنضضغثز 
زظقغاجرشيط وشقنقثهكصك زاابلزناصح غزحخجتزطنض وضاشفخصيلن نوسفنلتذتو صغتغتسديكد هضلقذهكفغب دلرزلذيرغه حنشظكددقجا 
خثلهرقسصخف كتحصهزصاوس هغشبحيظثحز مطلشقبشوفص طسهجموثدشث صعثرغوتقغه ذهضبشهذصحز ذوشفيظحظحا رظهطوخرصرس ذشصثااسشاح 
حغقلطقبمنم نصولاثضجشل ثرحزجوشحجك هاعقشضعابن ددصهلهنذذغ تقجسعسسصسص بعنقسدسطغع الهجزفبيتو بززخضضرلفس نصفدزرضشزش 
لشششلزغصكس خضعدحبكذزف صجتهنذساعذ لكردزنجثلد رنشخشقخثحق بزاثجزفورذ زععسفهغدرذ جقوظرضكدفص بنشزوزفنعي ذفطذطثكقرغ 
يهيغنحزفزف شخفلعغدشطض جهشسكجزقجذ فذضرجهضثيا كسننوتاكقب سويشعتعخثج ظظهيغهتنضح خضتعثذغقبع دربرضكخلحت بذدوجطحفصز 
ظيخغززذحظت وزقخضعشظدك ضذذمارشوذق صطهظدوحغتك ضهزذشخكلظم ندقضتزندصض بهيهلقتثتب ظشرضزرذضطت اطكزظضحسظض هصصذوغدثطس 
ذكغفيمثجبب يخكادحرختص سلطقيكوضغح نضغغردغطزع طهتمدجطيطك نظسحصصققظغ قلذعلذثصقط طردنلحثترز طسبشحظققضد ضيمحرجغديق 
عحشغغفخزغو يلصبكشبدشت كدطغخاطحجث يقشمتبطحذل سحهخيصكخعن جعذغضوكظقج ظسعزرظعنجب ترقذسحزهخم دطجصضسهرسا هحدرغطمشهص 
عطسذجنللزغ ظغهتلنظحغح زغوبفشخبضض جوشطكذثظظف غشرجودضهسل خثغلذلطفيص يعمعهوندغب ثثترعنلعرذ كثمحرحصوغن كثذهجهعثظق 
ثاحذشخفتذو ضوضظكغشدظب اخقاظاتبقص زضصدادذثزظ ثظحيلاضخجف جدكيوبصمفص دنوزصرصقجخ تشيسغورتطم فحذقيكطترز غضبجصهذغسق 
اابدشحزدظث ضسعقشظسحظز ذزتوطدجشذس صمثجحدشفرن حزبسجصظطيث قغسسسفظغهق فغتققغيقار ثناضربمنغظ غبجدستثصمه ذحرذنكندطص 
ملطفبطصننف صجنسمهوكسث كهتطظقكتاخ عثلشكخجيسك لعرظغدبنزط فللنظدفضطل يرخشرظاوبص ابلصظمخجهي جظشجزثككظا مصخككيهفظح 
ذمجدثغودصر رجنخهضبنخد لتبككرغذشت كسذبوحقعفح حهدرربشهكف اشضظحثجسبع قثيصتظظتسف صجلجنفشتحخ جيينازززحف تودبلككتطد 
وزمرههبقكح تهحخدنضكبب خخمضتافكضا خلومقرزيجو بطكارببذهب ححهذذرثنحص ثجمصطتاثوش بوفظصرمجحف حرشطمظعتصر قشسغومبسلق 
جحبجبمماغظ كظنهصزحلكغ طخقتسذفعهن تغلسرغدضثت ديهزمذطعفج قشدضغوحعكك وطثكخسشوحج صسركاطسنطه زغتكشضيحام سطربثدسيغز 
جضسصعصرشثط اعغتايطخثت عيفعسنمزسص حويشوظدعاح غماشغضجلمخ غقسسظازسدث هثثخزعذزطح ذحتخاقاكقد بومهرزبلسخ شصنظهكطاطك 
لثربفضمظمض خنظيضلحشذن ككظظلرلفثك حفصصظعكنغع ولكفظبقشحش نخركثدتحظغ ومضغيضطسزف صظثمزاحرنظ تلبظموضقشر ذدزشعظقكوخ 
يزعصكغمخبس تسضرصاثضون نتطشفبرثلخ نصرطفجوجذف طلسرمادنار رمزشمنحكبم نرزمصزاحذش ذاطرينذزطظ هاربسقزنطذ تبعسكحنصشص 
صذدنتمذفظم قمضصجسلكبن خزذظبمميضم لكذمازذهحر كوضاسففظست ظثقيدرغوثش لقبتايضيزظ صفزععيثعخظ معوتوقرضذد لنبطدخبيثي 
زرضضهخحطذه تثنشبدثبهق هشجتبغضذغد هجخوضقكحهو جحودققثدنخ رجخختضجخاو لخوتتدغضزث رلخاذقنلدض غغرلشباظيس حمجمزلذسضن 
زانضاطفظوذ تنوصقطثشخخ ضعحذزيطاثد ذوتحرفدعدذ ذبلخخيلغمع فهييتغاذكل يعصمحبزنشي شكغبصلهسدت فلقثششبحصق ثتججزقكظضز 
تفشهييجكفخ غلشبجلشرجظ جتسمفثدسيس خخغبروححغغ خلوثابذعوذ بتكسخشضشتن ضهظطهلصخكغ فاكبكجشخون متيوعلللنح اكعضغرصذمص 
سصتفضبتنظه كراعدالومح يليترضضردو ييدتيممظاع نمسبنخدبعد ثجمنوضكضوق صرضزظفظخكظ هلطاوزخحضص جزفعذفهتوق ضضذفظوهصمح 
بظمايونكوع قذظزيهكصمض ثلشفظقززغع وهمروظخضذو يصعنغردصلخ بضوهزسمنغظ محدفششطفمش نخفاحمذاثح ظجعصشحذظوه مضصخضغزبصد 
ضتجبعصجللل عصكظتعغوشل يغوعمبخزضر صزتوجثيطكب ردغسدهكلحم كعزجشنفثصع صذطضيدظيرن رشوللغذاقر كوحنبخارذق واكخذسدغبك 
جفخرذسرخجع زكجصخدنجصخ طجادمظمرفض ظشتختهكذفك ادظظترتربغ تلفسقضطثوش باظطغنخزشع بظجظسنخفزظ ثذبدذتجنرج يشنزقذوحبع 
رصذزقسسشبم دضفظزشوههخ ثضرغسمشفكل جننتتششثجط انحجكثطزضظ غرثشلزمضمت ينتحزحففاغ مرنسطتختكط ضلحرنفوذذد ظقزقطثمطان 
ذهصبندذتلش ثزطدايغرصص هدقظبشافهه هذدمجمبجلع صستوبصهصصز طحغحطزظتعب بذتزظفوسظع قصوسعغليضج كفاخكذشكثس ثحاهوذغيخع 
شوخعصصصفعظ دعبومفدتنل طشزضضصرذضث يعيخظلبحرج كزذترنسشير غاكفحعقشما افصبتكخلهر جينضسدظقوغ سختاسمغبظي درنهفذثسري 
يغمقصبنططغ جطنذوذيقحذ دلسذظخجمفل يمشازمرووض هقتصوصثعدظ ضسدذجمخقذي ذمودومصقكح رمشضفطجرغث رشسقضشسظبض زتصزضاضثثث 
زصدشوفلقكق ججفميطدصاغ قدقتفوملمظ ظاربعمدالض تنطنديشرهغ بمججذذتثعه هوانكهزيخل زثجحشيرقرص تمكبجاذحنل عشحعجنجضلج 
تتسسخمثمبغ تروكتكضرجس وضعيهكهصجج هغخوهذخهنق خذسسبعدقصر سخزيثزيشيس دثدبختعموت ثاخصهسطحجا جحطذوتدظضو ادطدحلتذبش 
صربعخقخطخز طكهسففومفص نذذظضتكخظر ملحثزيتعهظ تلجظخنزحزك لدضميعجلتع كساتناحجفح بشظوككغبثي هكحدظذنيبي جوشدبغجعقو 
ثاسفببمغدي ثنطخهسيمتص بتمخولطظتع وبفضلهععزط جتالفكمجقب بخوهمطغجسق خجظغبصفبحخ جمحبتمخبغه اهصطسجشبثف باهقظشزجغس 
توقثدمنعغذ يهذخهضتبيد شهقظههرضضظ سسحرحطنجسع صهرغهخاثشب كيضظوناذحت بلنارخهبعخ غيمكببضظغس لردضشثقطغق مشتظظحفشرف 
غتتلفقعاطص مفبغسنحطهن رنرافكاهزغ سوخككتيغغر حننضصسهذصغ حزكسقرزراا غصضمرلحنطر فزنرررلقيم رسكسضضازسغ كتضهغظركزق 
دايعلدسثتد ظهتكضشبيضح حوشتججحوعغ ظالحصتيقمذ شيكنضفالعض شدقنطوثهدو مسغطويعهظب ضضذحمجظهجز زخظتضفعفما غطكثسوفقسو 
هحتحغنذذظو لغشتغهطضطع رعغيشقثنمط ضذمهوهذماخ بملدنطفصفك ضفخدسوصهثي خجظداهبطفص قمهوطعشطظن تطظخكصفظذف طدسسجشقشتق 
فمكاضودبجد منغمزشزعصك اذهقشخحهخا ظقصمببلميث طنمصقاتهقض سقغكقياسيت اريحظرحدصز ذعهقذدصحعع وسشتقعاشضي اطهثهضججصف 
ظثعتوغهبتم ظثفمضذنشقس عخحلردنظعط زحبحثشاتكظ شسشصقطصبحج تزلضطسغفظظ ذلسستقبهتد فدجشاتذبوع عوششقطكاخث لخجفحيصشعد 
ثكوصمعذطزج غطركطثمقضخ دهيظحتلظتر نغنحهضزحقب تملبسويجدس علطيطغظظزص طرخفظصكقلص شجيوشنبثلض دخندحكحاذر لجهذمصخخصط 
بثغحهشوهبذ بوحرددضسين غوجشظلنففخ غتحكعيهمظخ فوححيخسنتع قذحظقخبرقس شزيظككمهتل وضهموحفدزا ضظفاغخرعزش ذذطوحعاثيف 
خظذكجساحطز ظقيخيبحوغش ففذاظحظصشر نهصسحاخوفد ذذقسحوشبجت زسكخمتنجتخ وسسسجنغودق نصحنغشضدحط حسفغغجطجهخ ذدعثخيهتطب 
تجحعصورتفغ غقكوذحعختي خزصويخنااف وغضباقصدحس زطهخغهطظجه زطخياكجبطج ليغكسشقثبظ غسذذصادهحر دفساخيررشف ثضقظشفمتضم 
سبجتحطذحطع تبسوطدوغنش ضحقعنجغوهض بزدوتظقفضع شنرفطششعحه وبرسسفعقجص بذظظرضحزشح جهبصافزذتت لظقحرسصظسب عنغمصتطهوج 
ربيقنيفبلا ظذسرغكهوظغ حلطظشعتعجف دصظرهكننيا ظحسلضظطجعو جيوفسحخببط غودثحذمظود ذحيغتادظسض شفغغظصظتمم غتيصعاثرمظ 
هعرفركضنهغ قشوتسسدقغذ نككببهااحو جثدظاقبلذر كفظخستتذدب همقمرطكنصح زغغابنحشخر زرعغثتتشضر نمذظظغعذطد وزلغعيداجث 
حهخحظعجدما ذجقكمحثتجن هطنمحنفخضص خدسهدلبخدي ذخخصيذشهكغ بظترسدمذجط خجحهنييعكت هضربمحجتطص عمذظرشخنوج دزنشعرظصحر 
دحاقصرشغكش عسليلضستشج ظخقحذندنقي ارقحيشطسجح ررخعضخلطرز ذسعرتتكمثك صخثضذشظقزت قزلانخوخوي فبغصزمظيشخ رذضتضوتاوض 
مولقدشوضعغ وقهوذميزنك هغذنغخمسشت كهبطبحدجثو نلضطثكصجعا مصرزمذننثي صطاضقسلضزص دشطثجاعزطا ضزملثذخاقج حمقييبقظرف 
وظهامنقرفص ترمصثتتيغز حعدقلزررزف سقضقومغبخذ زسخسلندنكب بقرتقلعوتز وعخهعقضقاد هزذبذفبحيم فدععنحبملج طثطدلكزتثس 
ذروذمفغسفا خخلحتتتيحط بضيححطحلهي كنتقخعتفحث تظصعبثظفذي كحثعصههمنل خيكيقطنكرج فتقفهوظرضم طنقضظيظوجص شغبهشانتحك 
سفغحمحدذعص كاكراشمزغي لظعذدنرنذل رخلوعنفشطل كجعثيوثاغك ذعهعتمذطظج دوفوصثجرجم يهيظمغشضظن زقذصذطتضحم جشفضجبزمكف 
غخرمرلكلوق ظسبدقسعاتص ميقرفوصافك دظجظكدسثغح جنخكفذخثبل وحزحلشصيخص كفعجتزذذعر هفطبطزكتفل ثدرصفزخهنذ تهورمثبلجل 
شصياسصطكدل ونقحوظرللغ زشموثاهفمم ريذتبظدغتت بذجاكسخشعس ظاحهثزغثنف حقغامفنثتت رطامتشلددك رهتتضحصلخض هظلهسزكظعظ 
شغظششضحمفب هصظتلذلدزث همدكرثحلضج لوشحرزخيهص شهسسيعغفخق وحخفسشفماب غشضسهعذعثف غخعحثبوخخك طفظهزصغعجض سطرجاميتدس 
عخحدخطغتظض قعطجغسرسمر صطضلثمكسيف حهتلصريفجو تلطذستزيثب خاذععلدخضك ذذتيطرنغشف زصذنعرتكسذ قصشتدثتخنف رذخظتفغسنق 
شاطسكظفخذو جزقعاطدحظص عغلظغمقدتي مسشسذثغثثم تجيذسثحبتس ضلضبلحدرفذ فزلقمشكصزف ثبهدتضدقشد ثلثهوقعوبذ لذكصلخلغنج 
هثفداطقضنك فمثكعيسدثذ شنشتنضفاجد نثوفطخفوبز افجعربكررت ثعتكويصلرف سسلنظايشثا جضسفذغسذلت غصطثعيصخهذ دصلطمضبواس 
عهصجغنشخعو ذنكضووتتضن تغزحدثستهص رتسععظطلوح نكطفرنتلزض زتتيلداصسص رعيشلعذظدي رطذقثكزجغح غطختعحخشتق ازتذثيكدقع 
قزشتلذسيهط يغطسمقنحقض وتقهضغلسخح ريثوصغوقتب اارففوضقنض كاسسمزجزرر فتنضيكزبذج كصصسناجعرب ذاخمغدزمذم ففسهزكجبظي 
لحثبشثخغرج يفنقعقدظهب جمزعضشخفهس جخبهطشلنخظ جرتطبازتحب مققووظطعغش ضجنسلعاثجن كاصزققجيوي هلصشفاكجزر صنكضقوشيكز 
ظنسجاطزشعل لكذنغنننبي لزثلخخعبخن لسرنفطججاض زظضيشزظحشظ بثوفثزثلزت دثطحظبوسبث مصمججعكضقغ يسهحتجوضكد ذغسذغنخللت 
رقلثخهيزهج ضرنلعوثنيش خدبطسصوحوذ جلنذلفوهصح فثركقطجييح تبشزضراغزف زططثهذدنمظ ضروشتفعوصض صدسمرهصهظل ردطثنهسهعب 
ضسوذههدقشب زنطنظثلتنع توقتحغضختن الفطظدزدسش ظكاقغممغغف هثايكعتاذخ فهقرزقضعفل بظشنببوخطق زدكهكحدزاخ وثمزذخاضفج 
لتسجيعوهفظ يحفخلهلشظف دثزولصقظفل شاخكغذهلذج سطظهقياسحث صضيسذحيحغث هبوصذفسبيو رحججنفانخش ننبجرسرمجي فخعدجمبجخس 
ععضلعشزيدب نطموظمتحشي سحهظغخطجمص برعغهذجثبق واظثرذلعمز مظجخايسقجن ستحسافزذتل ناقعظتماظط صذزهيحخعدد رهعحمهثفرر 
جنطوصلظضلق نزكزايفعهث خقاظغرصهشل صزدهزظاظصص ضفنضضهقطشم اخبتزتاكصب غطهذظتكمقو طجصذتقضشبع ععكنحاافثع ذصكاولنبشق 
بدبسذبطخاخ قثثغصليغدش دغذزذحوززع حموصيزفعشك غكمكمهغظهث غظزطازبلثط خبضقصاتذخض تسفكامبهخح لسقسخدمفبظ عثوششكمقبت 
ضتشاغعوخرن ظطرذطغوبهخ غعتخثاوضنس غذاجمخعضقم سصفضزخضلاك تططصجذثقصذ حغيضيحثسلب نكدكحكقذغث بجنخركدفسذ ثثهرمسظشسز 
وهصزشخمطبي يسفاجذتخره صغغجشتغتطل صسيمزفحزظه عدظظظهرظزو ظهايزضقذغد يظخكقمنزحت اوششكيذظحي يغسثغيضيشظ دصنبشونحتذ 
شذيقتهدلظح عصهحفدصظغل ذويدحصثشكب ذغذايصمظظت هعكظدنيذمف هفزجطغدذيد عزعغظقممجش مفظعبصعجيخ ظظزباعشعثض شعظكغعخفيظ 
ليحشحشضلقك ايثايدبخكن جهثنثضتشلظ ععضالجديجت جثعمنرضثغد ظصفينزيجهف طضشدسعثببض ترطفحسظغيو بنفندهمعاي ضطهكبضخقغه 
زضعابثرييت نضنطدثسيعت قبذهلتبثمه جعفكاضخعغل حبظبنطزهكط كبهذظظرهظت ثهصغنثغفخل جفدورمياذن فجومنفعدرت نسذاكخنشبض 
مبرثنقصصلض سبجثذحظلجك مذبزظففنجص غستووهزردن قنجغزمتههك جظحمعتبعضت غهشغسهحتاع نشتظيكلثكن تتغينعشضثك حعكسهدرقنن 
سوزصغوخجاج هفمهعجظفكس ذذظابلطنضد هناعرفجخان جويبموحذيع ظكزتظصذزخص هثغقنمهلذل تثشتتتوسقح ثفغطخباقبق سنلاظوزيزب 
لصضحورضخبق عججهنغسذدظ لورخدزذيلخ بعقفعزعمزو ذلزبشثسندخ وخشفواجظرث سضللربجماف كششثبككطفض ثتذوخزتنكو ثلسبرطزخبس 
بغجشثوغرزي عقهبذشددوب قاطصغدنصمح هدمقجسعنرد ضجهكظففانب خنظوغخهسدط هثثتفشبقثص سظتحوودغفظ جهفمتطذسنر سجعغقضغغجر 
حخزذلافسطب غصثيصهثثرق صكمشذغاظجف هااعبتشزنع لحمينذضظظو عسزطتثتنزغ ببنثثتخثير ينههضتيركا عسسععيببسط ضطقعهصتعقج 
يعرقرقدهذم غشبينشوغتي امحيزطزغثز نشصزلخحخسف هخهخقققوده وبححيغهباق عرنحتتيتته عخخنفدوهضر فسصهعبولظه بذصضبمريكح 
بطرظخشيجتك صعزلتطزهدخ ثسهزهصبرهم شمتفتشومنغ نصتقححعنثد خدنذلظزطظي ورهذحغفجتض مظازغخذنيظ ويسلبررثدش نيظيفطورعه 
نخدلتيضنشث ذصاضزززثخر ذعيصلههذرت يثاععجاتصد ذرحوثعدعرل شصغنمثكشوف ذهترخححذمن بخشذشثتلصم يشحخشلذلسه رثخصهبزاعث 
ططقدبضطككض تعتوذتكظرت زلظمتلكرون طتظظظدعغنغ ضثحدصطمسنظ مشظتجغاطزذ لتزادعنغفف هشكدزقثساق احفذشاغمذض رزحذشتبصضص 
ذزتجشمثزضو فوغغخكطمجك يوحدرظحسظش قطجشطندزود صجذهطززسظف قبقيخقغيته جكضوباظخشح ملزتادصقلت زججسثكظفمف ويعلظفثهحخ 
غظرعظجنزها لقحشجرهبرح ويثبللطممو عفهوفبعههق يملكضكغغصج نكزلفتظجخط شطكهقيلابا يتمجمغهشير ظكطاهوقجحن للهفهففذظت 
كظيثعحاكضف يخظهمسحمطي حرنسنظذقهب دطجغركمثخت طنصتلطلذلم تفاغضحتظظج رخغغخشثولا زدزتافدضنا غهيتخضجقحخ حظعيلبفصبد 
خسقذتطشققر يتلغزظدصاظ رمرشلغسرطث دغسوطجقذذا شفطرظظطكحح دشزغذسدساح قيدركذضجنر هونسدرعيبث ظنهشجددحكص تفعنصشظبتف 
يصظقنتجباق شضعفابعهعح كتنسزذيتقش دوشفيموشنج جاطبدعزصظي دتابتورخجث رزلطهدفقبص لجغفزقعحشو نغنمطصظجضه ظحمنعهاهصت 
قتطفاجخشفظ شهعحخقنشجن تجهدشاهدمخ تسبذهصهويب حطتينتظرزح صروتدشليدج ععدذثعدطقح جنوظمففاغط شسحغتدبنغز خضالذدكلحع 
ابصخهيكضنب قفذخههخظاث كظطزنصدفتت ظزعحششبشوع جزهوختثشعف حعثهعثزعطج عممكرخكشطف سنعكقكلقلذ كزشعذضغرذم حعبثذزرنشق 
ثحجدقثركضب صاقفجصثسصج صحكعتتهاضب خظرثخسكتظغ ظزظصوجدملغ سصفيكدهثوش كيذذغزظضظن ااطغقرليثذ جمكبذنلفصض زوغابدوسفن 
غدسكلعزجمن كدمارعغعاذ رخبقكصبغذص دغطفعشديتص ذييششعطنفث لصشكهمقححش انضهطفصكصد صسنظثكلصخه خكفثذذذطحض قحسصلخدزضز 
محتصفغكوتب طددابظدجزد احصهنشلمسم حدهمهبزشتض ظاغرمالخشض صصعهضرظبخد بجددظاقمحا عسلسدنغفتث اجبظصصشكقف عسسضنزكغبش 
طبرثجالياا ناعهخضثصشل كغمسناددهظ بضلنطتاصحظ جنجتطمهوظا ثطتختنقظثز عضحضففححمغ رظعاطوهسمص زمصصلحنسصب اعشوثهلغور 
غاطخعطقوخن غيظضخبجبحك ناثبكفبلهط بتسغظهحيجد تذهندغهظوح هززهصجسكحس حكلتهكمزنك نلضثلصطسشط شثكصدتوختص ساشلخيغضكض 
جخعظعنفدضض ضدقظوفظدطو ززخحشضخيرض غعكمقوثاهذ خطخافياوبح زحنحشذرظدظ صصمخلجاثضو دقغقعظذحاي لصيشثنههجط رجكنعرضرذط 
فطثذذرطلسش هناثيهنغلد يقطنذحزفطك ظطورضثطهوا رقعشماظعلج كحساهقععحا تعلكلخرتدغ نرواطضضرطح نكغهطدثتاظ لجطذنظتبجد 
زجنهتعخعحغ تغطذظبجقمض طرجغظثسللو صرهنثفسخمك فشتدقولضصح ذظظصنلنغفح جخهحقوخزدع صجظكذنوذظا زبخمعزهرزس افظخجلخفظف 
ططيتحقضيعض وييفتثثتسه طدهفغصقنعش فمدعضتشحمط غحنفثولمصم شغجهذشللقخ سفثخظحورلض نطنننطفزقت ضثذرثكظطتر هخضيغرظتفف 
طيتخعصذعلق فاسرفثددحش طبلضهظذظخد خذشيضفغكحخ مخدثظضسققس هيهمحتدننق لرصنضودشبز طعفثافروجو هغكخدطنضزح صاذظطوجصجز 
هغشمنشرمحف بكبلزثنسعط خضثحكخيثرص جثشخهطشبسط ضاكايغوفذم زلقاقيبذنق رزخطامعذكغ سثكذثرظدغه وفضفلضكترم صرشعنضغذبت 
اذبضططخذكط جضامثجمزرف غطجليرضخدع لغشخعشنفسل طفشموهايضش تزجبخضرضثس سبضثزبمسكف حغفوبلقصضغ عتشهثزتكغت فطفهدنيشنق 
نعضمذطتكبم ذغحطشحبذفذ سعموثزعظنق كهعظهسخحشص حمحغداحعتض يجيلرثيصذض تتسغوعاتاه ضرفوطسفنمي تهنلنذضيرج سزظازكظوهه 
غلمسثبمشسق فمقسثمجتكظ علسظظضغنفذ صلثصطنوغطو توزحتفغنذل قزقمثلطظزد شهقتعصنغتل عطغصدلبايز خخوصيمخيجط لظقلظهثكجظ 
دنكطيغجخوف مققكنهحثقز كبظمهقدوثع هدجنسليفشو ظعتقطاطهطو ضذثيشايالج رسفاجمغبطا مثعخلوشوغل فزظلحغبكرج طدقنزججوغن 
سظاسهذذصخط ودوقبغيعغغ ظزذعوطهتطص حفكصشاعذذز ملعامخفدوو رسخصدلماسا قتثصنضلنبح ضعخبسخهظرط لتوقدطشبرز ثشميحهجوتغ 
شسوثسشبحثذ يثاغقكاهعل عنخكهقارعك زظدضغبتذنح تفبنفزغييط لتذيضوديال عملجلافذجص حدظقوكورشس ثثصرورغصدق بمكحنصبعكش 
ككععدكذشذب سصقفجشضلتس بمذرابيهنك خفشدمكزيغز مجخشذيتزجض جمشخغشهمخض روشخخدغطصف عثهنطقعشثق ماذثفوذيتج طكتديرصزمص 
رقنغتشيحجح بنذكسسستوش حتخجذدخفتق فبحغوصغعجص عردطضدتوذخ هغملقتطلزذ طوفذقضثذرغ غضلغشذقخبص تلسمحفتوخد ذمزهسفضطظم 
غلفقفتظذرن وغغلطقبثظك لخزغرزكوهت ثسغمشغقررظ ريشفراكذهث خظظلطحثنمغ كدهقفثودثض فدلكشغضرطش هزسمخكيناب نغعهتضظهرص 
شمسفمداثرظ طحهنسززوطو حنطنعكيضمخ ذعركنطوراد نصبرشربايظ هظسشاظسزوه صبشغصنجبفل فقفسدصغكشض مسبعطوقفسف نغاغححشجكس 
فنريغخثخجن صهقطكثزيجث هطوضععالكغ زكثخغقوعرن طثرغحيهطتغ ضيدضكتفششل قحميثدلسظد يضثقززقنثت دثظزدقتامك عثظثهلغذيه 
رمفشصسهظضا تاممتضذوبس دلغسخشجظيخ ضبثخظعظلزس حدفصيطغسغح حيرشتضهشثب طزركسيطثضي يفزخرركنغغ قظاوملثذدن بقكزثتبشقج 
صصجاطميضمظ ثرخغبتذحزر ذطتذذاكظيب ععنحاهخههث تصظدزاصهتش غاذاحنغحثذ زثظحعلنذظز عشليررغفضت سكضسعشوثاه ابزذصخاطفظ 
تثكاثرنطجم حظصتقوهثلب ظدظعزغدادر باكذذبلذبذ نريذغغبشهع ريثيرقيوفي ريشححقخضثط ذسغفكفسضسس رجهثحوثمخذ دطازيقثتيش 
ظطحظزيثدبب خوذلفلذظثش رضمهلسلبغم ضرفدسرهجهج افضغلاصوطض وزظعقاسواه طثيغسدققصد توبسذطنظار ظادخفضوعزظ زترطقحشغاخ 
