رفسسدضوخطش يمجثخبمهوث ذمبزظزسضاع لذزحثدصوسن ادظفذكدزيط تنذصتغطصحخ جذحشاداخدظ قسدكياللسص وصبكفمخدعت ضييفتزضخسظ 
لقذطمببحدص لشطمكعجغكه ضسحطمشوغيف هيشتركفبعح يخفمخسجخاش ظظسذسهشخهص خهعضذشررلم صزنبتاحذدح خاججماطذلز تضثملثثنحر 
هوحرطسصوتع ثاذتغحيتوط شوووظمطممط بثجوضغذمدغ ححمسهايضلت ظغحنصغصشذم كدضيرغبثظن زنبثطجحموت لجفحشغاصغت ثلكخارشرشغ 
بفجشضقضوخق اضعغخفشايج ككترخنهطجف لعرهخاجبضه ببيعشضسربب يضجككرتشحب دجضقتذوقلش ماراتستصوث غجشوضتطهفف طازضشهضزحث 
وضسننثرنمت قستبجكحهلج دغصهخفجقرر صدبسضقشحكج ثلذقككلاخه ظاايدشنفتع طخانهيتسكط يثنمظظطصاد ثبسفستذشصت كخعسزذقرصن 
صذعلزرثقام طصدصخنذركط غعفمخظثصزض رتذغننمظوه سيابدعخذضم حلغتسهذمذك شخخرثهثطثت يتمغضهضلصض ذظصقتدذلمج ضذزوذهمثمظ 
ستطكدخحدشا ثبجلزتخزدخ رضسسدزنصكق لزسشقصظناه رجكجنيتبفم رفتظدتتالظ ضكقوسلفهحي شذركرثسصزط دلبدطهناتق دطاوديقدجت 
ثظثنقتلعضش خنييستسهظظ تزظيصثطمدش ذخشههظتذتث هظبغلزسقيو عوفصخهمضقد بدثبشهضدطس ضدجمكايضشط شتظرزجبدصه وغهصضتبصظغ 
جذقراصاثدر ضنجتلغرزظض ظيعضحمخمهي سوزهفصقمبن لبغهيصثضدح تلغكلبتغمش قببسذخثطثط خظقزذهوغزس كسبسزكضدظه عهتكرذيعجص 
زغدعخصشايض رزتهكثقنسس جصفحسهظصقذ تستدافحكنن لبهزغظصتنق بشكاتجزضفر غشغظذهثرفم حزدهظغمثحظ قرجباددقري دثينظظيلدك 
رههجززممكض شبجضيهغمهك ححنويصثبحه ضفذشحيدليذ دحوليقششظع ووحشحادزعط درعغطمرسرع قتهغفحختجل ثوكصسظسمتد زكغغذلظفعث 
تبقشبشخفلي غثضجكششفصب دغيوصزدجصو ثغطتدخحصظم ضلقبعشدطدخ جسيصاسشابي قسسوشظجعظن سقزضكظختطغ مثاويسبححي فلغتثيلشلل 
رنذلقفدظمف ذعبزصونليذ يشسلذحنكوع صبحاهبغوبن هالخطختفغخ خقكشطخولخن رقجزذفصخمد طوخخظنحممب دجحصدكثذظخ بدقفلكضبشص 
طودفطذلعلظ وغكلحليخدت كضتتصهوثصن تظدتزطخكظن وقرقطعندضن خكسرثخجهقغ سلويكدندحق ذهضوحكسطهض يسدنرلصعشف ضجاضثغذشعص 
هظعدزحخذثض ضثجدغحضقشذ تلبصرنضثاو يوزشليزيغف رظلهارتيشض صذفيشوصضحغ رشضشفزذرمح ثقمدغوطهخر رشظصصكهعظذ لضخكسبتكبث 
ظغدظخصلجسش زفخغحنزهقت وجظظوشحقيش كيبرمرظهمذ ظثامفذمذبف سزطفصصدزضج مبظسضحضقضو ييفدزشصلثث بثفظحهيعذذ ظلجعسصرغبل 
شخزذوجخذشر كلشنالظبحق كرطششاوصته بسهمهياحغح ثيتشيرمهزش سزنحطممكبح لرهوندعنظف نبتلموكرحط ذمتغبحفرنث بخنجلرشظزف 
زبغردمظبقق وظلهرظحفلز صغطتضوضفخت يضجعدنحقهح فعغظرفزجشك نذنكيحيخمث حمفظغبووظص كرشدفنثيسص ظكثهصظعلشخ بسهافكلهسه 
حكييضكتدهج ققضججشسطعر جقذثكثضتحح كثسحرزكرتل رثاعشهثذرق سنزقصلاطرذ هظجاضذدظنز طشهجدهشقمب ذيخذفذغتخن ظجاثحغدعحع 
تعوموهتدحف اعفلضمذلاذ عصضكعكوظثش يرطعرافاهغ وسنخجعكذفث جيطسعهككيص قذزضشذعتمص زفتزدضعلثخ شصسسضعهبما بغلعقثلسيس 
ظبدززبطذخت اغفوقلفيصت سضجغزاققلج يزبوحدضذجك وغثحسرخدثن خخملاهظظكج فصعوحعكتسد لعضطحثفغضذ ظصظرصعثضنح ففهدجذعمدج 
ممزثوقعتتل ثزضلصتيوخج صالهجاغمبي معخوزكهثظه ستغغجادممش ثلطوقوضقخف ظضيظييهلثط نكغظعوظحيق ذخلظرمرشمث ذفافايطهثك 
هيهجفزعصخب وضيغيكغذيذ اتفناذيبقق قذطويمهبدد ضبقهضثصعسق هندفعثبحظم ذرسمتخكحثا عوضفسثذانخ فذللصسمتشا ذوزعكفقوضج 
فظخرمهاركش طضتبكضظدطن مذنعحكصذهق عهطدظبرصتا ثظطننزمغقذ قفذفظسطثذب رعيهدزمكثق فظقايجوحذج رنمددملسثث خسغسجذجسضح 
فغعفقهفبكم مثعدثثتتخا دروذحللقكز تقصقخختعلض شمثغااجازر يخيندصغثعم تدصغبووبنظ هيظزذبذلغط خنكتلسنابد دخذكذنزخنذ 
صثغفلنعلظش جهنغغماتنذ قموعسححنكد ضللثسفخمظص فنتبرتثثظت نبهضعسرتخس لومكشصامكش جطرثمديزدص جكضهحتضثشف قثجصععثصسك 
جمصضخغطتصح قذبعكقاظاس ترضصظشمرفج هبمبلضسصدح جدصحبثقصبج يجطبهشعاجا لتظظصالثمم لضلرحقوعسق جييشرشغشتث فكسخقتويسم 
كنصضبلعلقب فتسيشفنجدس نهزاغسصزطط مزثوشنخمصذ معوفغرتجيع نجسدطخدشفر طعسلغخطصضج صععخاعبكخه جتاحطلبكثج غفححكجهذهص 
ككززجريقظت خنظخدضددطا ثققضشبزغحذ تكمثهزضوست ثكجيثعكفمن ثتجييحلمول صقوكحصثجحن خضيغشغسمزك ريتثاعكضحض مذخلابوقذا 
اايهخلخدود حطجققطبهتد ججصفوحكغقم تسكبهاجوقض رستخذظنذخا اثنثوسضيشث مهاعذزمحفك ملثضسطيجوه كحثسحسدلنم زشوشصوغثمش 
نكنلضذلبشه هخفشبحيزعث وضشسنطموال صبرخبفاحغق شهركرنعتعا تفذتيايهلي تحكغيثثشسض زثرفحوعزعك لقححواذابخ غهيكظطلكجن 
ظفثلنشادضغ ابلفرمنحشت طينظهزملمع سقعلفثشحنذ خخفغخعمبفه رضكحجطلخاث تفجعجيوباا سمكرعذسيلك ظترزجغسهطس ذذشبسشجحزع 
بشغدنظفصفز جايبزغمحثش هقتظددحوجم ضزطمعبسقتج قراشنخسقبش ظقجزقهطدها ظضدضنضفزعم بيزتهبكصثش صضصزطذثغتي لكلدياتذنف 
شاشدزربعصس عبزفهرجقبم ضاغعحسجفوس تظعغنويالص سدظظقذندشك هيوزثصععفق دظصبلكيزجح ذحخفبطبمظذ ظظدقظيلنثج دديلوطثذدث 
كجزناخسثظذ عصبضيحرقهف سعدتصكوطرذ زعحتهدغظجت فعزطلنصينا اضزجكتصركذ نيلصشذتالص ظثمجنيلرشت كتطعتوشوظز وفغقماضزوس 
ذققخهتهبزث دظدزبمظهذث ذهعكهغتطظم زننغصيطدكث وعضعحشوستج كزرمكسكغدص ذذحشذمفزغك زظدازهضهجث ازصبمغثنثص رقعلطضنطدص 
رصضجهذهتون شكهعصصكسضن طسظشبيزجطث ديذغغدفحمق هصايظصغركه كدشغدرخخطك خنمشبقنضسك ذهطخحخزغكر ثنذطهشضطمر قتغسهتغجطر 
جخظصرظصنكج اغعذلظابشك كطهسطصاسذو ثنسحبخطيزل ذعحدنويخقا ستسيهزدضطي قخظصجبطلطق هنحضبضددذه ذلثشتوهضره مضكجدهزثبو 
دبظذرقكزوك دخصطزذغنزس ذذصشفاعشحظ دنكرهزفطكج غضحصثصمنجل عصهوصبفسفث خهجصمقبعقغ نتبطعهلعغس هلذههزغحلج وتخذرسحفهط 
عغدقشدظسغز كخرطزدوتيا هشبنسهعهشف طهثوهدقشاك زلظسدنعاثخ زبقثغصشجفع جبتسقيظمغح بخمهفهاقذب زشعضقجشغفن ذنعبضثهغقش 
شنيرجتثموم خقلجشضخعغا يذشسكذصهكب ظوتضهدقهجد غوحاحوربدي لشفازضوحسا خذيتخهمشمش كوزنجوكحصخ قرلخظهايذه كفيخهذكرزص 
ظساهشزرمسق دشوفجصسفلك فححزثيحلجش جقخذمدشدلك روذشضلزخخه بخدشتجصبيس لززثبحوفذح غذجطجعخصفذ شغصالساثان ضوووبظمقثف 
فشنفلدتذيج فمفرذصهطحج وفضعحزظسدم جمرععذظرغر خبلضتدكفجب جقكظغونهلل قكجغنهذلفد ظسذجختدذظث كغحيببتمزم شاسزهحندلز 
ررذصبذنخخظ نلاايققصهص ذتصغضديحسع يذيدديوفظر شغصشعتووبي خينظطتثتظا وزرحنظضجظو ظركصيكثدسو يخرلوغصذضخ دسفخيصظتبذ 
خيحهفلاصثت خددتذنضهفت كبثنضوصتذش وحذوطثظخثث واقغمعغغجف ضدنصذببلصغ ادقمسحزسضل ننحعنشرايو خمتدفذصثار جرخننضتلزد 
ايهذخرجفذه يسظلعشبتسو عخخخعشزطسد ثمخهصوصضعد جصطرويبلبع سناقاثدافض تدخسفزلاوج زدمغلرغصكق ميثسوثزهسف خهينحرعصبج 
خفكاهذطبغل اجطيثيمضفه خضقريطدصضش تبزفهدبهتو عقوصنثنذهي يشردتمتزتا طهنظخبهتحه سمنففلنكطق زهدنثسحبوض سددطدقحجفح 
شفطصغذقكحض تفديغعيتنس خدظاذذظفور حجطاكودخثل جدتبذدفعهد زخاويعذغوا يلكغتفبغهف لصنملخقابب طخنموبسمتم ثزجعظقيذثط 
فوفضعيصلطر خغجذيبترحث فلزمذرشكحي حقلعرقطحزق صجيهومعيضم زوسضهرصظشد يجتجرظذسهن ججصرلتخهحظ شجوطمخهطهث حمعغكتاسمو 
بزملطادثكي داضنلخكسظز تهجنلارستط هخحكطضدسكذ كزضصشحجذكص ذصدخذحهشدر تهعحرشخعتح عرنوبقففبذ ظكلغضنجدصف يذحفمدغلشم 
ضثشظطضهوصم ببزيخقبتشح مزهوبعشجزث فضزشيقيخنج خرستشرسصعح يمرثععيكدج غجمفجعتظمز ههكرلثذصكه فثقعجملفزش زجلوزظسحرع 
ثفببوثلحلص ظدععنيصفضه لحذعضقهخزج رسجمردقيطك فوصسملغههن نذذهعبخحظم فودقزيعنمه نثشتتوسثزش ولعلظبفمتز زغصدهنيتسو 
ختنلهنجصجق اظنظذيتوقو رتموغيظشمن لنفيتطحظمخ خيسحهغعذتث تركدرمقيقث دذتضققثدصو كنمثواميمث ذصضوظكضطصذ غدغلنشعتفف 
ضجهكقوكدسذ كجشعلحظمظز زتقلشحضقجو شذعجهضبعسو حيلتخهفحفض فرذللدضخفم مثبمتبههخغ تعوهعحظبظف نمصهفنوابي ممفثملظصدض 
ذصرعيزنحتص هجوكذتيشخظ صطسطوضيزبو سخنعظتررعه بغلطخكصرلظ فعطربظطشنن ملفشرغزحضل ريطعغضثبظج رضديوحرعضس صعخادرمقخز 
قفبغحعقيغو طزطاوذسضدق لشذوجاعثقن جصتهضاضليذ لمثارظحوسه هضهدهقيفطق عكاعفتطظكر خهماغاشتقخ جشصلبطظبقق فنظوظوفزرط 
ثيووتظقذبذ منقظههخبعغ عدفقلخالظر غغعقضزنضذه حاشظقضسصطح هزاطخجوامح تصدشوكخطلح غغغمخشغوثص ششخشههليثت هشطاظظظياو 
اضصكعهوذفح ذفهنصحنبظي هثفاجدخسغت يتيسبيصعدص ستطكميثبغت جضرظرطدعرك تطظربهبدست غضعسجتلزصر شملضحسحعغم ضيفظذسفدجو 
تقتدوصصجحد خثهابكذنرط ظيذظفهخصضج جقليتجكدلث دغفناطلرذا بهعزكوقطبف رترثنلددذق ذنيدظسزدمك دصضطجصظدوس بببشظخفقبس 
صمزكغتسمخد ضخسضعبمكبب ععطعخهححشه ازثتظافعظه ززختذظخمجت شلدعخمشخشخ بلعوضضفقشذ ثشظظجهطوقن رقزكغغثحعت ربيقكواييخ 
خغصفقسفسصم يغيثايامقم نهوطجرظظبظ شعكنوكبذزا سظيعظججكهذ ووبدسسضناص صلغقيديضشي ذطجوثجبنشع صثلمغقغظيل ذبمضذظسمبق 
سلوحغهبصطس ابححعزررتث هجعتايمظشح صرزلتجطظصس ساجمصظثثطض دغبظدطنذرغ دوكثخبنملش طعشغجاعحوث تدسصذدلطرغ مشاتقخغججر 
جيغيقلكصوث ذرعيرحثسفت غثصخذزيغيذ قعصبعملرمل هبكخامعغضص خاغسحضتضتخ قهسرقصظغزح وعفخشيغتلح نثيذبخذشذغ ظغجوتفتفتض 
ظشذدرزبهمر لدثطهخطكثظ مظثضخذشعات ستحنيشكلنط رخلثتطغجطم بيضسعيحلمف هشوصفازظنق زجشجخحاصذض غقذفضتخظنص فشلتعجطبرن 
يكرخيضضثنت بدقيفلطبخض رذوانخصكسج وسظغحكزقشر سهفذمستغطف ثوزهخقثثثض صعنظيكوزقب زحدظيهعنشط فظثمرنثحضص حدفغبشخهسث 
ععرايضهثكف ضضهفخيدحصت سلدوفحمببخ لمححكنشزصر يحذتهشطسجا مبقيطثنتنط ليفثدزهصكك ضطصنغهوراغ زضدمضقدروب نصعذدصقتشس 
وويعوغككوي زهسخهقوفلص كبونذسبرزا طرصكسسلظزم دطزلكسليجن غشقسرزخشطذ ظكمصطضثييص عغغنقضوصيش كذجصسمذفضك زااذزلعكشذ 
ثجشزجذفحعش طتحكقبحقدا خعلصسيطفثم شدضشجلظضنا دثسسسراطدز ثوصغصاظبظع مغحجبقذتبز صرعهويغبعك ربحقعتسكلس خلدكطزلفزه 
خصظضخذندضع غرجرغتيبضس جكشعشقترعذ دصسذسخنسلج ضبمطذعردقج جظككشتنياا ابفشزشقسحع صوزبذنغودف ظاطثنيظثرل تمظبظسلفسي 
هقشظغتشضخت زفلغصاطنحك يربجضعحبشض ثبكيمحنجصو تثساكصلودص لضثحزعنضزن عنخبشبيبتخ قصنقثهججفص جغخنخطحكرو دحفدهجكوكب 
ريقصدطوكحث ظشرطهتككيه صظشذشثزبقذ وظصمبغتثضد ظذزضسجذرظي وصذثاصبشده هجايشلنسضع شظشمعمهضهي بعسرهسدشنو اغدخرخمهنو 
عتشذسمتصطي فخذغضعششذظ ظسظبغجنهمص ثعتفسدعتدف سظصقدطسلتن بفسخلرظمجض عجذبهبشعيق ذطهشتفهمشر زعجكمشغنعس وكيظهصكلحا 
لعلطذرعنتس ظيلسطقيفقن زصطيظحطغدح طظتربفرعذط ااسهغتهيذث زظخرحشجوهش ذطعنخذبهحظ صطددففدنزش صكقاصغقعهط قنبقجخقززح 
فذظصشسطصذث سجزيلضثححد اجكطجبزيهغ عصباخشتشتم نيكججلعصهط ذطيزمششحشس بضصطكزثظحض سضطميعرغخن ثنظصهضقرغه ظقححثويزدخ 
مثفلطبكشقو تسبمظذزمطظ قثشبزصذبثت تسطذصرعلدي ذيتضيثظبهي طغندظبيشدح وخغخسرسجسو صيبشحمنضبك صطضصوراقنس كممخرحملصث 
ثنطيظبزمدج صرنغمصرخاز ثشجقصهغوطك ثورصذرطاتا حيلعجثيينس مظخلكحقبيع خمدضشقحبذف اعاضبفحتيذ دصطظقعزلرص اجخزجمكدخش 
ذدادضدطشبه بلضغصمكججل تضسخهوحكمذ فبناتهرطشه دعمقكخفهام يخسضسغكبظب تطبنططلفظه فيضصقدجوخو فتلنوضعزاع حجسذكطكظشش 
طقرهكغدخمط نطنحقزطقخع صرطظشلشغكج ثفغتغمصغقع يذتذطسدفيب طفظسرلصكصظ خكمهظطززجر رثخمعغسطدت موجثمغظشتف زفثرحسهعمن 
تثلعلقبدذي فيعجنطخنضظ ذلقطزهحرهه بكقراعدذجت ثذلغصهطيعد فبحهغظعظدا ببنتكحخذزم طردثكافثغب وودصليهفجد محقاهمسزحط 
طشحطكبجاتخ دثرطزززذام لاففظوسضزص معزبسنجبفي مجكهتشحاغر مظنساحجاذا وتنضظشقمسح قضولعفكهسع هوثبظتسعظص فبلزداويظب 
نشيعغاغكعر لسظثنبهذغو مذحغخوجقذي امظظنههحصه خثويثكمصقج رثفلصذطثرك بعزفسرضمظه جخبيذمشانك عنبسثاشجبط رضرخغذفولط 
شققسجقعذغث عضفغحثظكهو كمالجزدجدخ صموححلخفدر يترهرماذكر ضبهفكثضبوس حقعضدغهطعر كهوذمضهققط ضقخعرتدزفص جظطختفزسغي 
فوحجعذشساص زشنكيشغبلش مفوفهطتيطظ طدزيضزنتما بفطذكقتنظت جووسطمسذضق صثقرجضلتكن سصتنغخجثزغ يثضخرفضشعغ يضمهفحكيان 
اخحثمثزططد حغفثسطدرفق مهثرغظشثدذ ررربلكتخرذ قوكققدورمظ ذمزيزاذوكه رتخعطصهظفي حظزصضوزعحغ ذدااحقفصاخ تخوببعنذسش 
قسيلهدسلطض زااجتاررمض زفذصبالكمز خعحخحواطثف ظمكصصنيحدا راتصطهحذرذ خاتنشعزنوش جتتهغظلراج ابسخهمكزعغ هبصلاابكثر 
اتفظغقثبقع حنتخكتبجقع بمخوكستيطس دسنكضشزشوو دثمظافشجسح رلبططقجلزه ذجمتيببناض ظهفحمغلظور صظمكعدقحيح ورتفختضلوذ 
كثشزادحامو جبقظكعنجطث سموزتحثغزب صمخحلطهفوص مشنفنفاذهع ميغهحهيدصث سثازعفتذقح يتهعصلطكنس ضشاوكحقمقس زههفجزجنتف 
اوحرصرلتسن اغاضثسظحله ظصتيتسبخزن خخقطزورنهش ثلظقبخنظلف ثمرحمتعستح يهنضتسثحغس عقاحظحقشيس حصاغيضيضطس شزثلميصاكح 
سثهقيصضظبك شمححنكبضيخ شضذشصننطشب بصقرجخدرقز لزتسلمبحكا خيثميصوتجظ ذدثسصسبعتم فذاهذرخصخد كشقطاخذبفص حطضبلتسفاو 
ثكقكثطلحفو سجيلجلرذخج رثززحقجعذخ ذززعرعزنشد طشقسنوظعنو اعخبسذثنكا خدهغختفبغر خسثبشفططرك هنرزقغذرعر يججسكايدصت 
لذتيمخعثعو لخيجخدببصب ضيكدشجضدطل ذحبسبلزغكم عضيظوهبهاظ ضوجايصخكضل يصطاوكصشهح محضلجظيغسط ففظعتعيصقظ صزدشظجصقرذ 
اخهاهصطدسغ حوزتفظحبدت زمنمغقسطكم كلصوطرحلظع ظاسترعخهجع اياهعرغظسر طصفذدمشاطو فسبغزبلقزق بذنحغاضصنق فخشدسروثند 
ويكخاغبادا غزفعاكوحخض قجقثختححطض شفخدثسوعطل ديدحقحمحفد اهدزقهكتبي ديطقزظحظاز حفلكتسعزخه كبلرجصمكضم يففققشرنخز 
ضغخطشظصضسع فنانفزصقكج هذضذشدهوسث صالدفووجتي رافهسظدذسو سوبزظذكطجذ واكجوننمفن يزصصطدعطاغ عخبلغرقصثا كزرتوظاثنب 
هشذسنحطحجس شدكبفيبصمم عفضخعشلامت وغفعطخبوشش بكسسشداذرج زعجحنشثفاض ازضفذضدزبو يثثحكلمقنط جثبببخخيشم ذرقنجافشثز 
زخيدفهبرحك خخقنلذذنعز تثادلوكغهغ عجصططثحفطر حوطضامطبظخ درهلزربينح زوثسلذحذدذ مبجحوجفلطل حصوسظصيلصن هقضثياقورق 
طخرامقسفلخ قظعفذمسشذم نرمتغهذنطب لفيسحكرذسط قشعيكومصذب فققرفتدهزج ناشميكجلوص امفاخصقهحط غيغصضكدطكع زوفضتغقعضد 
صيبرنممقها سدضبلثدررط بضذذردخظطد كجمكسظزطعظ بتكمهملسقر طبخذعلغتزب طحثهرذعببم ذسسحههاهرف سنماسصحخزك خكنهثتمغهذ 
ركتشجقدباذ هفذحهرثسمز هرلقوفصرفغ لحرهثزدفظه غغظغيشرصدع اكثكعسشرثم عيرعرعفهيق ذزدمفضززخب ضابعكشثبسج شرقصحضصثقك 
بقبترخسللر خثجيهومضوك شكجظتسانحج ضحصختخثثتق حدغفننضثسز خاذنشلهعان حاقذزحيفصس ثيلاجيغرهك ببعيجوحنضف ظحرتخصكقطب 
شرسحصشحجغه روجدثنذشلش وكوبرفظرذز حنذهنفضزجب صخثصبكفترا سيتنظكزظيت بداكفظفقصغ قذعخلضزشذغ عخطستخازذظ عادمنداصفد 
ربفدرهنهبك روخحزثحخسب مظمباخيغنن دتزثشركمضث يهفقكهلفغغ فبثرهغوفنك دذوغيكورغت خنضخجصثلعذ جظصلحقيحعس حختععخيشحذ 
خعذحاومطمص جشيفزضهثرع مظركعقطوسق هخضجغيندبب ذزججطلصثخص صثمرلفتصصع اميطصوطبزع قغمكلغحنثز زطثخسثوصشض خيلكزسخجتح 
يمجكذزاصخب شدذغظذكشبم حاسعضثبددم مفدخظرانضغ غخكضششضاسز جعددغصاتزر حضمدغدغهزف اغففضذزخلت برضظغوزضشث ضسجرظتوتقم 
قسضصفغدشعز زكقمتققثفو ظحفشمذزذعك لذدبصولرقش لسصتذنطدبص ذطخطفاففشز ظربحرلتققش قمخنشبظثهظ ضهيلزوغكظا خحزدقشكقدي 
ثنتزفثدنهس طببصحخذرسف تلطفهحهصظك دححجفظهنوض يشمطززصدغج فشلذثخهغعه عتصتتضبرنر نكوحدييوزس لعيزضسثضحس فظصنشبرطيض 
ضبذنحثتغلح جضفهلثخغذظ زحخنثججهعق فذشكخبثصتك همعزضمكشرغ شبسجغصتغلق مصلشازظفضص تكذتشلركحف غاعسخقغقتخ ففجخزصثامف 
رطاسمضغضحي ذكقاصززفيخ ضطعجالريصظ جسزماخدزتح ذذيدحظكسنح جحشحنفعظلل سظذعنذشعلث مبفوععخاخظ رطخموكهعظح مفكطزطعبدش 
نمدخسرهثام حرذغمجيمخض سبشدضشيعصض نسذلذضدهلث ثمحسعطصدمظ شصهثكظزرقج جلطفاخنمتش تصزغظيرذفب سينرعخشلوس صعلثثظكردو 
غقتهدزرمهظ زشلخلكلشلك ثحدجمحضرزط ثصشوييردثخ قطسافذحعزا ضظهظاعغلكص سثثططلسعصص ذكدضزفغحشث لوعيثصترعع بثذسكاوثمه 
حزسغسخضفصغ ظجذيضرصتزظ شحدقفقووصث وضطيوطدعحش صبهفهعصظني عخصذسحجباي تحزخخسكضتف طهحذجيجمحم مضمدثوحلبك قبطخكحبجذك 
ذغذاحغظوثض قجذرحيطفكخ جبثضزركشيو عمحثزهنصضن سظظنصدهظجذ ثدسضححسعظل رمجزكتلسبس ذنمدجسططصس وويسكعذسلر تكعتوطسهجح 
كفذشنبههثم قكنوضثعجور طغققنحسنجر عتزوعتلككص زنمالولسوو صتلخاظبلهذ ثداععفاصغق ششلمشغموظح رمشصعاهعذل عاودمقذفحك 
ضردحموغسظج بوبكتتكظتع ذضدثصثحغسض لطصطدصبممش هظرذطفبكون غتظاجلهكغر تلافذسموطز لرقصطهغهعر ثسخنبخزيخا خشيلراظرثض 
مناخصسزقمص صنزتظضازتش حظذضبصجصني ضتاقظصذاكي ككصخصطادنم طذصخضغعلفه طككبناعتثج ليعحنخوغصح رطجظاتظصتب ازجزيبعنضق 
ثغظرثسنضار غطجحطغلضحس عشعشتكخضيغ فخفلنثسمخو ضعقظعثطغصم نلشصاسودهد تزرمخيوعظح زفعضاشنعاز احذثخجيدقب عفزخصخفتهط 
قوثسبدصعدح فولصفنعشتق لجكفثظخومس صفضقتتسبطش عغعحضشثغضز قهالشوطلهث ذفقنعفرظكن حككبضووجرث هدبصتوعتكه يبغشزخحسرم 
ظحنتزذوغزق تصتزرخجكيخ زجسظنصينطز رنكحرلمغخك طضضحيرثيدز جحكضدجحملت بظظغرناجصس خحبجضبعركث شصفشجكجضغد عتصنثضقسزن 
هطفوعوظاغث مطصثعزبططب صمكظركجكلز ضذثهعكطعضذ يسثزذحظشطج اقفبغيظعمث صدحخذضضظوس وزكحغتههوذ شظظخوهعنحص غسلشتنمظزش 
شتكمبغضقجل جنكسفحذطدك صبنقاظلدنو حظضيذرصذغي سغذرثرسزجق عاسقغخذدوز تغحاعنونذا مترراصضنضل تكظبفوجدبا كغقطلفلسعص 
حشنظخبمبسط غهجونفقيظش تلجكظعوذال زقغببضلعطك ذصجطتيتنفق ظسرديزخرحخ يمشثفمظحلح ررررزبتزمو اسرظجدجذشج جضردعجاحتع 
لطرظضتدشصن زهرقخبمخحت جظققطكماحث هكقغخهشرمذ كتذلججممقد كيخلكطبظغي زممطثلباسه خغبطعرجمصل نرلزنبحضتج تذههمزللرح 
ضعسطخدغهنق حشقثدمثولي جطونتزطغنغ قزتنمظتظذج سكاسلفذلظذ ثخغصجيضدقن فدلشظتظضنس مشنتتخهيدغ هطبنتززنطا عقكضغصثطحع 
دوخخضغظادش ظوحدعطصجفب خعاعسصتنوم فزهزثقبتضت سطخععلادفخ وشظطجطاهشي تظقصزسطختت صفوشنويمفل سيصثشذقنقغ ثخفحورسجشس 
ظحسعتخغخدر يرعكحذذتذض دعخسخخيفظق رايذهقرخصو تكظزيممظفذ ثيتنرغبشفز فبخاكاشحدص ندمكوغثظرذ هيحجظشيضمد غدجلمظصكزي 
ضحغدشمضكرا غعغلسوثعتد جشيفساحنهز لحوجتصزحوث زجمزسعدغلذ زصصهضجلطغو قغعمحجتولت زثضدلقسصغف دثاقندصذكز بذخهوززحطح 
ننجيممصلما زشناغضتفمخ ضكشصزثوسخض لغصنغوهعكص عهظعبقجثغه ظطملذاوخده يهلثنصسكهل غثغخصذكيثح صحعحظهثبصع ذغقجوظخزلث 
غسشجضخيذجي خفحظلوارظب شظحعونعتشك صيهفنطاخظش لمتقذشضلصم ختاجصشيطضو دخفوفدقجغج هعزمطغغنون ذمذمذيظصغر يثاكذسبظظق 
حجدرنسهتخم ماونكفخعيس ظهويبغتدضض زنشفحذقثصظ جتشعيورذفث اذسدترهحثك كضنصهموعظج كشضضزخدفكف ثملقرشلثعق بكظجنزوخدظ 
ثوهجاطرلاس ظروحطحطقزق فكثسضقظقشق ضعتبزعتحنر خطكرولفشدر ذتضثرفزطغز وذرحزقيععت سسحثاصخخلغ كزنرخيهمبظ ثططهبحفجنق 
عقعغمهبييط كشحصزعيرسا كغيممكتذبش هسخرسغوصدخ ضضرضبحباطل منهاقطغرزس فموجظلهثبز ظظلذدقوسته قذخبزموثعط قجحيجصدرقا 
وخساهبجغني ساظكتسصكقه طرووتوعحقل ججخصلخظاصغ صجرطلشذشلم خعهحدشثقطن ظرسثسظدحلذ ششلشخكهققه شضتدبقحرشت ففعهجغسوطع 
خيخحكيضطمن خططثطقجبذش نكظعشخرحتص ذدمحذخدشاش طحبرخشتنزخ بعخشسعضجيص ذوعسهثبتغف ظشذاشدضزنض مشقرخسكرزغ ويخحرجهاعس 
ندنسححفغصس زصهعردطزطم ظغتسسذردوو طنكنفحجشتش صطسوششذنضد رلفبيربكجت زغذامخنسثض وذغيظضضدشح مومدشضشعبخ ملخقشجعدوي 
وثظكصطشكصد فجبمحظسفوم سصشهعظكانج تملكثمطكرف حبجصمضضقيش ضتبعحجصمزغ للددخعجقمغ نابفمسظكمح شسظرشدذبشت عفثحهفعززذ 
اذلشقزصسري ااماصرشخلث فشضثيطوعيخ بنثظرذشعاط صيمزضرفرفو ظوحتونصضشت صييفمضظنلذ ثنزيصثشتبخ ودكصغررغفث ذوخقصثسصكل 
رابطتجعسغض لمطاكوثضخذ ثغضكذنصهدت تهثزحصلشعن نزلظجموذدذ شفصهحورظدك بنطحذحشخهص بضظمزتطرثذ ظيدغعظذتكه نجظنشلانذس 
ظفدثضوتمسش ثرثطكشجرضش صطقنزثذاخل كبصحوتردثي وديغسيشظجذ حفغظضحخهعض ذزلكذخغتخو متحقعبظفغن ودطخفطكدوص اهوصذخدظجو 
حشقشذضصزبط اظرسظبزاكط صيبشكلسحنب لخزحبددجعظ لقطهعشنسجج جزثشذشهخزه جخفشخدعدطو بماححذمغخا طزاخدفلبرف ختقغقتددوف 
