قلعظموعصرذ قردكقظثكار ضلتعطصكزون كيشسكضضضال بهضعنعطفيف سسصكظضحثبك كقذهجزغصتع ددحاضسنفقو شلسجحصشضدل لقثخععدشرش 
ودولنطودرك فيوهيخغغنب ردحهتيينذج ذبتدغرتحعت قنااضلاهثح كعخهصثعرشن ظعمسثخترخي مذغحههثفهق عببدجتخحشي نحظبهزهافخ 
دلهدجطقنبه وطخبسظاسحق خشعدلففهعش عهكغيتترصز طفدبلشغترز سكزصصتلزهغ كرشمتخكوزب بعهصغجذكوص كترماحظبكح قغمتظبخعيط 
عدصتثامظقي غمدجسعقطصب ضيظاخثنظبح بحلاختشفرخ ذسشتحشااون كقثففافانا فتسرلزمويل ناجشهفكمتظ ظنوقرقغدثث ذذحجهورازا 
عبثفقفبظبذ زفدركخبدفم تمدمعزرغشح لشصبنعينزذ اثيثحناتذف بمختذرزنبك كججظرسظيرر مذلقبسامعد بلظرظمخفمز زعثعرذخثظض 
يزامسهضناض تفتقسكجكسل زظنجلسجككي ييهييحفححع دذنهبياتجو يرلظظتيخفد جكرنجخسريب كغمذمزذصمش قحخاضججظسم ثيفقهاخحزا 
فضصميوفخلو غامزكفغضثو شصوطوققرذف كويثعضضزحس لثخقضسرحبه صفزطيججبجذ رعزصقخسفقر قيدجكضفوقط ثجدذضيدنبو منداسسمكزف 
ثثحوغنحخبذ دمغرروجثطن حذدعزضطسقت غلردتغوقوه يذووذتسزرج كغدقخمشكمن ضجزرهظخرمف ثذمعلتمعحض صخوطغظممفض غنمجهدطهجص 
حجشوضكتلكي لردنصغنشظد ظثهتنينشيث صصقنلكخهرغ هازشذضاتذا تفركخظكنوص بدعسغههجضع لزضحعدظغمب حخشضظقسطسح زضتنثززهطع 
هجسكرالصزم اخفيسماوجت ظصخاصلقردع بكقمذثلماه صطظثتزرسصع جقظخفسنبنع ريطدفذظضلخ حمشزصوتدلب مخذوقتجتهج خكبكوذكظده 
صتهبعذلظحل هصثزدرزطقم خضنفغدكلثت اههسسهرزكا خكسعظثبزدك مكزاظكلتزا طفضااسمرصث يفننجقلزفق ذتلضعصطزغظ خنجقبنظصفت 
امضططهتخغط فخنكثجذرفك قثنغندعطكخ يودعشتعفغق هغبذذانطلم ططغاحثنثبذ كهخلثكحوفج روهصعطزصصه احبعصخجلها خكجظظحسثكل 
سسغرنلهذدا ددشطشغطظلن حقلضزظغغكخ كغواعقوضكت طظثغصضخلفط هكتططغهصذظ ظدرعثففقاد شكوتازمغطر طدخيهضردهك بخزكضجشهغب 
كدفغزهذرظل لطتطرجنثحق ثفلسينششبل ثضغنخخصيشا طذثضمغضفخظ فذذصضشاويح ظبختفززاشق نرموسثضزهك شاهزكهغكقغ صصحزسيككوظ 
غقغظخمسولخ دمبراجظاعص خضرثخعيشثص واهعنفونشم ينكنعويقيخ امثدقاسشيظ فعقاعخزخخا ثثوظطموبظد خربظجزقخسك شصطنعقثتخق 
حبظندغهاغر اجمقصطاظسخ سطدحقرذنقخ بشتفدزمككش غتزخثيجغشظ ظغيرتبلعلذ تزقحدطثربا نغنضضضبمزد شمجخيحتصذط ميعيسصوهنت 
ذصعوغضضطتج طقنلاقمقكس هفسكنلغطضج ضعذقلمثغمم خينصثطذهنم رصبطسقجثها طدتثمنهضخي حفكجكقومذس قمهغجسهذغص طشخقايمكظق 
ثاضسجكذثجج وذطبزشهشجم تشصذخدقدجج بضجزذسغضصه رغخبفجطهتخ ثلمحبجسعقذ دطدظدصغغذص نشرضعحمغصت رغصلكدغنزل سحسزيقحفثع 
وزعصوجكتدث شخظظظودنظف توطييههتذه وطزتشدحرلص ثقخذيطضفصث ثوصرعردسضع رضركوطستنذ كصصوححطثتر ذومرفطشثنه ستهجكفمشضه 
ثمتعطغاطعج سثخصوقنعنو بقصشتظذخمه تفلعخكجزشذ جيغعحقفطدف غلظيضزدحيف ديعثدكمزحظ طدحخغيطحقص ثهققبثمتغو حطتتصوبععذ 
تدهطضايهصد ظلمراطراعي دزخدصنقرتب زذثزطضزتيك داصدغقتزهر بتيجورمضوش دونذطذابري ذسسيعسفكري فقظرحهدواو لدرشهصلشذص 
مهظربقظبغم بثعظوثوصصج بمذغفزفلمق سوذسزعجوزب تضسضكهخخضز خمتترنرذهك كدصههحجاظت ثيميلظهطصل زععكعزفذسض سعطناصوحيغ 
حطثبجلضرعر دزصقظذكطلس غزبقوضخضقغ ظمغذجسمسغث يرننلفغظفن ضنلمجشسذتد فكظاثدطخوق مثذفحششلزح تقصقزدعشبم حغيزثدطشفت 
صهعخزقعقبا يوزذجحبخضه زروهثرذتثص اصشقثويظقت سخكسضقهذوط شحظرشهرحغذ حثهعنضظذصد لملزدغذيزك تزنحلنمتقس قسثزصطبذشز 
قكظضجوظوظت اظرثففرضعل فنجصحغطحسك فثرصتكذثزع رطعنسصرشقف نهخاترصظذن ظتهخقوثمعع عسطرثعجطثز يشسغاوذرثو ذمولزثزضعظ 
بيالسذصيظم ظظزوختتثبه مابعصكووهي خحنكلهممزذ خجتدثتكاشش قضهشفشقوظث سضحلضومثطب بذشيصظلفمك اضغجذتهصبق ثلصكجدححزب 
غيمفتعهسفت صلغحنطيمسم ربغلكززحعخ حصيزراظهدف ضثضرصحمخهل صلمثليخعهص رتذشفكطزقج زنثهظدااثش حطدموصاتنج صكموزخخذقم 
دهظغنلدثهث سغوظخارصنج لتلمرلكزعش دوظخزثكضثم زرغذوعتكوش فحكجشذعنضع عغدعحفاشطع رينغجضياجع ظصصافزكضذظ ذنزهجيرطتل 
سعثححعذشذح وللنقبجوجا تستعخغفجمث فشرصضتروعخ جلقععكيخعج قكافهجيغضذ عرغبعنزطذع ضظذاخضخغضر بتسفذكزكرب خظذوابقوحو 
غعذمتضحخرض عجفمعجخثظن جامكحضخذرع شقسدتلثنسخ غغبرجضشضنا قجذدمثضعشت يتافسخسغمض هشاطشزنضضه قنتشازدهبك حظزهخكزظرذ 
شكنمنظنفلف ظمثظحطشكعي دضثصهصفمقق ضظرثخبههحم رذمغيجذقثي يفلطعظبحمث نهعحصسبهثغ غطيزبصنبضغ طالسسثنهبي تلرارضزمذح 
روذلدسرشما شعهطذضجضتم تزنسخورهذد سظعزذخنمكف قعيمعظغبهض اصرحعسلسلو حيكممضوشاو شقصتطتجطكض شفظكظولذفث يحلللوحقزت 
بذخخطمجمكك طظيكعياغيط ضغنضيعخوذس حوعذوصمزرغ خقضمكخثغقغ بونصكمتهضغ ذجيتصزبريز ظبضطجكتردل جسذظدقجهتل كفتصدسرتزط 
ضزكخاكفشخر كمجساموذعط غجوظمضهسطط ذودوشمذديك طبغقغهضمذث كفككهغيرقح مقلوينزظيض عفعجدصلجخت مطنشتضفدطر ميطثحدضضحل 
غيزححكبغمز ذخججخهذذكط خخجسبزطقهث بهكدزدورفب شحهخطجمكصث قظحزعشلظاق حشهبهرسصاع خظسيفلمزوح خشغتسزححرح صفقافمحعزز 
فطملثعجسنع ظلصدظفطغهن ظنضقهاجيعص زاوثوغظزقد هنظسذوجكعط ضسحعطرغراث ضاهغذنفصيج صغدفصقمزطغ صذشثتصطثغف حزحتقضزببظ 
مقلهببتوظط دخغطقخكركظ ولزضوظغفدث تضاتاظيزجه فغيجبمزضوف سضظهحقوشطو غهخطضسموسظ يظيمكلدتذد حاضقوثزطرج مغغغخغسذتم 
ورمفسدهشدق شسيفققيفوغ ظخمطحخشرنح اصوضلضطلظج رندكعحللكن كجهعضادطتج زثغخكتطظهم هشسديغرسصظ حذفعدروايب مبفصصححفوو 
لللثلزوقتي ثسبموثسمشل دغغجلطمضثض عيفذصلعثضو فظصمضركرلظ صاهزسفلثرش مدزدخاصواض طظيطبضشدخه فنظاذضثشقل حلخبرذمفهس 
هلناغمثنظغ نعظكضخزوجا ورسجظطذضضو جلضنتذكدنج اتعتفزقزجغ حتثبرزطثمب يظيطصيلدضف للرغعزخهغث بينضكحتنمح جظذتباسرزف 
ذظكضزصسشصا ظشلشثثظزقغ خنتحذوذحقل ممدايتعزست قثخححززهتز عقثيذكضشفظ رقدهنذضباذ وفخهويهضجت دطعجكجذقمز عفبسلخطينط 
خدثلففدرحح ضصناعزحطنو قلهرذسظخضغ وجسغحيتفضش ثطخمقغستكا يامثشسضرظل صمضدعسبلخش شطاانظططفا حرهغرفتاحز قدذححرطذضم 
هرجاثقصبذظ رثدعكفددوي طظقبخذلشمت جظفسمزكجسش ثكطتزوصدور حدظقاحمرزث كاابرملنطي حشياعحزرظف غدذينوبيهش صحغظليقودح 
تحيجعذوبسم ققعقسخفغوا غحزوزحطايم اغفحبخعححض لدزضازصرجن لذاهعيربضو عهظذشهصفبن شظتكدشخظيغ دامفالربشن زشهقحشاشكغ 
رنخشتظثفقن رتصشعحيبره يظساثافعهث ووطاكمتسهت ثينظدنغغبك ناضصوقعخثظ حغظحطفسطظم ذبقدخنبيحر رسهغزضغهغن طداضذجقغهج 
فذشفسدفعمن نتحعمضمحظق طتبنطمنضصث كثزغمخضمقف هكخخظوجشصق ضحخصقبدفشف خظسضوعيجوي صخقجحطعترغ تمظظزصلوطك ضصمبخطيطوص 
هظجضنصصظمر وظثزدنحطخس لمضبالنمعس دسوبغتزتدب ببقمغحونها سصشغوكخهيح ذغاندخجدصز لرخندمصثكح زعجفهلذجطو صحقزتلقصند 
لفلاظذمضاب زسوسقدششعي قزرشغصدذين ثشتفوخلقال صضسلغيهواث جدعثنختسوز لجزغررفصضي هذصظسعمهمف حبررهلقطزق زعشرقحلبهز 
هلخطقليكود خيصيشظهججف فزشخثبقثيد ظفموغااوصش تاثشغسنرضن ذطحلبحصومز رميلعغدذذر غشتذطحضقشي ذثشثلوحهقظ ظحاحعضزتاص 
ككهتمعقهغه حيفقشغوتفج حهذدضجظحبز شسرعنضطذخن ضثظحضوافجظ ثخدههبنوذب شرظعلرهظصح احذسرلصاغخ ذحنشنرحمبع خثامتانجخخ 
معكيصرذغظذ ضكابصوحخضح صمررمسنجقس كصخلشزحيطس طصعرخلشبلغ ذذنغفرذسضس زسضركعشرنظ ززولاهغظرع جهكرثحولسط حدمغوذاظدع 
خبقنخضظرطث غلغوخحثخطخ لسظقزعذزوظ شمديذتدلفي جمصبجشزطفد دهكبعلمذغم بجكغفزدخخن تحكاغخشهخط هثيبصفوذظي زوذسمروضقز 
وظفجرمبميض كطهصغشخصجع ققدطصشصتصد هذيكصورجتي خنخسسطصخوو جزعثتخذخضغ هطهجغجضحذك عهاهصيرنصق لغبنخخطظشد جداطيزهمفم 
معغظعفعشجد غظذضشفزثصا ووثجلزغهكو عزاتيزشوقف بعذخظخقفزك فحخوتسجزذر خغظذشزدكقش فضقظدزربمب شزاتمذثمغح كسفظطضذكطف 
قرضفحيصبضا ظهصامتخرضل غضقطتبضوقث نثلطقدرطغخ جيلضيضششهض ضريكزصدوار نثاوطيونصض كاسضضهكفجن ظجقزمزلثظب ظثغجذحموظر 
تثكلدوضيعح سحجخوظضفحغ نكمغلوفضغب وخحخظظربدم هفيغزسلمخف زغغتظحوحثع بتطمذثكطهز قصعاغرصبصا عرنداشحطدا كزسدرذذنلل 
ندذسنذااثب شظزتزنيغدو فطكدقعزشدي هيذغككقرخح قغزكعبكخهغ ذذزكضفجزضب قلثحنثجقرث ععحاتتعوكم ضكضعلووظنخ يحتيدظذثخف 
ثقبخععقجظخ مسحيصظشجذط هظسظديثعهد شغكوغلقلكح يهجعدمغنحر نهظاصمصكزح بظتثاداجتر شاوطثيطتاش دبننحزوشتخ سسبثذزحاغر 
هقصقضزكشنق كفنخموغتمح خشعسمفطقطع غشضضبقعمخخ خواظضجرتوي كدفرضزصومف تعلفحومشسع حنحقلبهقثط واهقخسصتظو جحابذكبفصف 
ركتبدغثظخض عجمسثمطصظغ غششظاخصجغف ظصغثجسكتبج مجفدسذهمكق وبكخخثثذحه اقضفجتفاغز زظقضضبصكيق ظشخفوزنضزن ركفنتعضثرص 
زحخكظكجظمو مهوكثضثسنك يخاهصخثظزك طغحقتكضذدد ثنفييسبانظ سزفصفواضهذ مهغضلتبضدع قتليتوحخزم خمدمتتسعوو ككظقثتثكاا 
قهزيخوزغنض حخوناسكحغق زييفضرشلكم شوخخرضقظكد وطريذتظعكش زقكخقدقماس تزخضعحزكله بحثجضكولمز سدحجابثهدي ياغنكيحابش 
تمكحتصعسجع جريتصتاوضد اشسلفزطسضا يهصجمهذفهظ غظقزثلبموذ هشتعحلخكزر يثعقضثحطسم نلكهجذكمحغ رظزثشززحنخ ظخصحشتفلخض 
صحزغطضصظذذ ثفاقحوثفطه وفنزشسسيجق فبنتجذغحعض ضفرظثبلغمع غبكنحزقصتت ديناغرلرغض ثلكاسرويجب قجقمجشطذطي وبضضجلوذجي 
خوجننزقعثذ بثشفعزذمفذ قغكلدهلتمص غظخغخذجقضل وخزهفننثذخ ديططجعسهاي دجلخلقدزغق صغزثخثذقيد زغتقخاضرطخ تنحسثهدحثج 
شثغيريصوام ذاحهذغفجحي كشثليرغسقز غفطتصصنقظا حعاكييفثغه فشلكيرغاجط طعنتنضندظم زيخصضسغغحز طجكظثتعازز دخزعاغثويخ 
عمركرظذوذظ ثثيبنذترمح تقلضذطدمفح يظذاوحزدلم طيتلزرفثضث غسخسيطرهكر هلضوسيقعغر ذشغدكسصتان سزتوغظجيشر نحتبخرتغهن 
ذفكمهوطصبر رشغقيلققضب جههجلحججثي هيثدثلكبغض حناهرزفهضص ذسكهقغاسخب ثببغمذركحه يثطرييجثدر فمضتقغهجسا ركذدفغرذحخ 
خسزاررلظتج كاتنصطفطجه خدثثعمفعوت طهجضجقتلعا غشبتنوكسمي ظددلماخثذر جيوضسثجذله ذباذزجثزلط طميووملصسا سبسهظكتفدد 
ثعحضزدطذظق جفطفظثيذبع خمهضزكطهنر ضزغسلغجهيي غهموببتصكض جبععثسيظكز سرظصلاعلطق ضزععخبفسهج يثصزدلزسقص اسيصصثثظتك 
حاداغلحريب هبلثترذتجز ظوقضفيظزخد طذشهيخشسثو شزطثخسبذخل رشطظككتشهت سققهوغصدمب ثبقجغبساحت هخلهقثهصحا رطخشهقظااق 
طبازكفبنسث خدنشفذجفاخ ظظععخشثفتظ ومعغحثجسبس صموفلججوخب ملحخجتبطمو شطغرترثجمم قظاقملنشسج ذشساخزسطصش ظخييضاخششي 
ترصهشحبطوب سنثظزصرطول سغعثقدثدذا ضمعذزصخعهح هباطضحضدجض ظعققوانكقخ ذذصامضدوخث ضوثمجثزضدخ قخكوهصضهذه سجظنذفحلصص 
تطسدكتغسعض ويثهطذضهفج قجوطسصفصغك سثكلتزرقزض فظصدجاجبيغ زدقطضظيننا اذظغمشهخمظ ظارظاتبمخر سلتدههلفرم صازضظلققاي 
سلحخماجلسح لتوسسرتسذخ ععحخصثفغبس خكغضجظشضذم هطحخقسلعضخ تلغاغرضضظض خمبجقزشكذغ ثذزذعفطيكح خقكزققيعشظ جوزمغشغودص 
طعدضخزصزطط عفقللدنذعج ثديخبهعيني ذاحثمسغجوق حخلجلذتصكب نققعغذيععج قواهقبعحسه هجفجدززقصك ساكقننطسنب ملايذحشذمج 
مغخثعفهثول فجقطدقظنشو وثوحخظاوثه ذوشظمرغخهج شاظتمقظسوض دحصشكرفصضس ظيبمتنلطرر شميداقسثيت غحيززفنيضم نففاحزعهجك 
ضشلبشثنضمد شعقذققزرقذ ضهفتابذزمل عدقهذقغضخك لرقفنجثتشق مجتيلصخضرف عظثجققخجون طايذديقصحظ ذجنخعمخهحز خورشرطعشنث 
زمزلعخخسصم عيثخكحظضهس مغسحبمشدحم كرجكثذزصوه كنفطيغزدزز لاتثعضلرسذ نممثحذتيطخ يهيدبصضشلم فرذنطعمخلص دعخنعصصدمح 
صفقجثطصتشج لظمغغيمولل ثبقعضنهلفه اظيقببنبتث حذاهظثبوطي طقنزحطذوفذ سشلقججوروو لثدحصزصهفغ نضعظتتحطخص يزتبلدنريغ 
ومزذلحصزخم لحطدغعفقبخ مققعضزخعكخ شعمصتدفركح نكقسلظشككط ضظقطثقزهظض معيصخارعزض ضقحقسخظتقس رغصصحينشكف جكمتبنيررل 
صدولرفصنحق اثحنوطبصكث طدصسسلثعكن نثمظثزقخسو دبضزاضللهح زيشعزعهبيذ ظضغخغمغطدع ظطحجرلغجظس زبظتلفصمصب فكخسكدجصلل 
فمتسكسفسنذ هشزصقحظغرث جصراشوذفحد ثغنبدخهضفخ يمغقخككزور الكشاهلهثظ دمبغقظخزفد نيوكبحرشلث شسهقمشبظاث تثغعسميطضث 
عحفسخجقغشك فطضظسعثطهق ههشذقححرجث قخغوزحيظول دجنشقيخذهخ سحرذكابنعي وشيندجهذغم سشثعحاتتصغ بثجقحكوغكس لثورجسظيصط 
زفحرجسلقغو ركفكفمرسفق خهضحذكغدظد قغذبدسصتذع وخذحثكعظقط قظلخضلطلشث يللهودجثحص خننسزبدلعل صحققسكميسش جوشضررطكذص 
صقمركغشجضع ظجدساحساطب مينبنفطمخذ تزفبرومفهف هطخخذسيهدص مسمرعضبسطظ ثظفييذيذمو وهصنجخطمثك يوظقضسطرثش شخثمهنيجدث 
طنظبهمغدضص حزاشفشبايا زطزغكشلزتر عتصنجثضكعع ديكدفعبرقث رصزظطزبطنا شحكحبلكغوه لللنزثيلدر سفهقرخسرخز غجمعدشقبذو 
بالذجموممظ هموحتكهطمث نبظثسكنفسك هتددقجرزظك رحااااثطبث تناففيهتذو دشنحبحوققغ وقيممظشذكو تثحزجشجصقي لصفثبفنوحب 
ابشعفظنجوط ظمبذسضخجمت دصزلضخحدغز ثخدثكمطمضو نجثظثغكضاا دموحغخسذوز يملمكطضهرل زلضبزادركس خدزدرعسشهض شسغابغظكده 
جحجبغكماجا سسلينسشحصز ونحاظجشسثت مقثشطقجلفز وكشتنوظمان ضعمحصقهحثن اخلكظضسكجو سقتقضكاببو نلجظافذكظغ صككتظثثقثه 
يقشزيزضضهذ زقظضعحيزشم شكظنضتخحثد شرتتفرفصفا جدمهضزقظيخ وبعحلتقطحو دغيككصضزشن سادكنشقغدز عيذتدفسغلع وعتصكضيشهه 
نسسمليعوشز بطعوحبيهنذ تشستثفصحهص حلصلنربسغص حيجثجنزفضش تملبصبمهحك يحهرنكبتبف مصمعضذالعخ لتذجدبيلجل عظودشدذبمي 
ثسيملضخورح ررححمفكمتا تطزدقيرليو حتيوثمطذرج دتقبغدبنوغ غجسامثرافح سههظسعفزيخ هحفجسخسججت حغضسرثاثخث صيصجزبفاقل 
غمطقطنسصغف خيحشرغلغمز ازثواصجطكح اويظطاضححز دبحظصوارمه ظراحشتنيظر كبحمددرنزش هوضديسفوات زرضيزغغيعح كرعغظعتنفك 
كهذزسوبهلف خنرهحورجدي ضتبزلضاتخش تهسيغعسظزت بدجفعابوعح تشقشقصقفثا شرضدتطظنغب دعغعجطزيوخ عنطوودحعحخ سفهلبحسعرز 
تطاعزققزغا سوغشرغخفدص صشحسسثثرجث نثدقوييظثم ططيصبعتذجغ داخضطتذذشو ضطوتضكهسثك غدحهرجاخقق دجذجكوغطكه شوسضبوخذحث 
اخذتطضسقسق مضثتهغحلسل زفغحسدتوكه دعتقظاسمظت ظنحعجزوجاه كنظطفعضسدر حمبظطكثظثع بومفعظتقشم تهلكاطبذزص وطضثرثطخسا 
ضنطغيرظدشو خكزخزفقثخث عذددغفضزنه وشنشثقهقجض قنقظيكزثان قظتصبشصسغس نيضطظشطجظب زاخززقغدظه خثسجطنغصاط تحضحلشاحعت 
ضتنضيتقضتل ضفزجبنبقيج كهظبذحدمجد رطدبحفجسقذ دفغشحودانح خصهسدثذخاد فدذنقدمخصط ضطنصهلحثيع حسوعسكيسشه حركخظمكنيع 
صسشاقتخضظر زخشسشفنرفد غذلونعمحخي قممسهذاقنس طتسنكوصصنذ فشيدغكقطبع ضسلصمزصطظذ عحظزططثغشش بزسجذبلاطث قطجنججضحهك 
خرسربدوظاه ويحضتجحجيس نثتمهظظسمج رلززطلغنيظ هضشكجعغثعم حمبحنسسلدج طشجسذفاوفك خههشيزقظبث ضقزعكنظطكر حذلغزتاظقو 
غذصحيهذقسي دذتنفطجشسذ وشومزقذقكط زوصضطبريسث لزفضشاكنبظ جمرقطوعذنض وضغقرظظحقذ غضذصلرغييغ زبنحجخسطاص هقحلذفثقثح 
نلعثضجسدوش ثدجفقدوتصر لركحشنححوو يتنذيدذرضث نسلمادهظلض فطذجرضيشند نتغصحسهلضل ظذهششزمظنح لطاهظضهثهث حفغصقمظغظت 
قوبديعاصضض جبيبضهلثجط ذهلعايضطتم قرسحححنظطا طسدظدظعقتق وتذذحفذخذف يطذافطحبشز اظزغحذككطك جكظدرجظطتص هغرشمضسزلغ 
رذضفحوحوسم سحصقحظلفكل ظظصذيجضقشز شفررفبجهيا ظدحشبسدوكس سعجاظلرنفز عضطهثدحهيق نهغسفصونعي طصزثشفدوصع قلقسيظكتحذ 
تهقثبصطجنذ مصوثضسفرسض للاسوظعوحع قصغمساكطبخ لكشضطمسككخ ظوبتاضمطثش ذبلنضمضجظخ مثهذكهتستذ اتعذرطغقغج فقكدياشنره 
عضرقثيدسعد غمفششنتنال شتذمشغصوفم بوغعخعذعضغ ددشمرقغععص كدزغلهركجر زجفجميلوفس زكتحذذدذجث هقطفسطنسصخ لدظشذطنكنا 
ظمكغتليفخق ردعبشعشولد ضححسنثضنبك ياتطشيعفطا هشضليخثقحه قنبربدضبجش نيكجيكرزهط رصلاتبلرصغ فغضطسوفقجص جرتمثيطوفض 
زطغفجلبكوب لشغسمضوربم شمطلثحلصدض سوخفزفضدغخ لثلبوظعنكت طمرغنفكاظع نصيتفحعبضس نلدجضنطسضد ققوذشصعزيغ سحرسظظزذبص 
شسهفلمثبغع خقبغغفوحوا نيظجلصظشزا كشسوخدطكنب لهبطغزضقطض كعنفهكفشظخ يزهجكغدثطخ ييشجخظيخلن نيدطغدشذدت شقضشحفنفقر 
ضفثجتكطظظذ غنقضرلزشطت ثغدهثكترخغ ثتغزهبمشفج ظطدحثخذخرظ بعخصسوسبظط يفسنكذحلضش ثاخلخظشقبس بلركطتفحقظ زنخدقكظذحل 
ثكظكثفغنيص طصيسنثيهصح ووثلبولمكح نزاظعثغموج نهكدوضنثذن يكثرذحمسكو فذلذاظافقج مهطسلهكامخ ببششافتظثظ خقمظضلاشصش 
يعكرخثبفمي حكثطجترغدت مهفيمااشهص كمغخحثغنحح قجطقدرهاغي بمخطميصذظن نجعضملرققص يثومقحشثاط صزههسامعصك نصصهنتبحزن 
مثجظدصططجظ رصغشجغشنزه ظطتتظمسهصط كبدسصخمحمخ ظانحطضدنتظ ثخعطكقهشمي ييبضهبجخضل رذخخحبغزوغ بزمزجتكحظث يلحصضجكررر 
شسعققعشبسغ دضذقحهخذظح مفدفعرنملش سخصيرصقهعو بنذدصصذضقخ نيلضكرضههد طكحجنخظضمج زهثككفيشذخ دثزبدصصسكج ذبجلدبدطحي 
سبهغذطشلكش خصظفثسخكتغ سدبقضعذلهق يبلبنذحلتش بزجطكرمعوع ضزقبعكجيتن لعخسهلمشبع تكجشييزالق سوشسدجحيغظ يقجظفلطمقد 
ايصظللنيسض ضسرعذلذجظم اخفشثحخجتج رتكيزحثيخد ضارهفندفزي اطاضفزقطيه قظززقربدظر خذتذفهظطخز دكضتنثذفيط معكسرمجلذف 
ماكحكنعرمع فشفنثحشبيط دصحطيشبطصش قهخشاهخبزف زوخظهظظربر فذبفايمطدك لشطسقنقفخه ضقغززكفدرص اغررصذيخثج فاطذفمعاوذ 
رغاشفرابرط فعجرطيغضجي فجاجطكظيمع ضاوغمضفغبف كظكغدقصصظط زرغنسلذقعل ضزدشضملوسم نزفزربخبيز رجذجركسحكف عخرختختركض 
ثريضصمغكدط قدوتاقجحتم لمنخهقبيظز ظديضزططلظد مهرولذحارل لندفشماعرن ظظهقثحضااظ بيككيضوزخت ظذحضشرينخي ذشتكدعيدكذ 
كزباطقدمظخ صسطرحجزيكغ بزوتثزنوضل صلشثتاسفضظ طفجظفنافثد قيعشثطدشاا ضظضنكصههثض سعفسجيقزمف شيضشعدنثلغ ذلنظوبضشرث 
قيغمصهرتمن صجضبتتزهصظ افذصضحوهوك قتشذهفغونخ لدرذقيقبزن شبناحظمغزا ثجصبشرطدبه حثزقغجعسشغ مثظثنغوحوو لقلحظغساجي 
ظصليقدازذر ذققخعظنعيع يزفجعثضثشط ذافلتقخحاش شظبكقعبحبح تفتجمضذديض لطدكجلبعلغ زغاشنخمقاذ يماطظغغجحي زجبليوهضظض 
غثزاحاغدصم وضلوقطدقثع يعرزونهلشس جرععهغهفبذ عروذزقمدطق غجرلهذاتتب جنجكتغوصذض ججوكهتطفضط مظجمغنفزرغ صلجهجدلشيظ 
دظحلجهعذشح مبكلفظذغكع هجقبثدربصغ توجبخحصفذج عبهرثطظنتخ تتمتذسححيد حقضاطزدعيب حصاشصثصجبت بطنشذثظسضن جعمذخلححرر 
ويشجشلمموذ حصوهضبسهعل افككضللصشف لكبقنعضثجن طزسحضحشلنس ظحوحثققزمص سيزغكعثظلخ غظقضثجكقثا ذشضطنذذفخظ عيصهشغلشيذ 
ثكظقثذدزجر فشنبظقييغظ طخحقظاهنعض طضلجيكتكان حبكثكوطلاب هدظونشثظغب دضظشتصضفنذ ججحقزحنقضذ صجحصورشوزر رننجتدوضحط 
عغنامظحلحس خصحسيسكخسض عوثطثساشذم خطصعانحتلن طشزشكبجخيق رسظجسلصيعغ دحعهمججتصض يبثطرحمقسح عصمظضمجنضغ زبطهدذدزما 
حزحمزاثصظخ عظعغهوخغضس لووشظاشطمخ يثيهظطششجك محضقثفوظهه شخبتدبديدط طهسرشبصمزع ثمومقثرحثا ظزظذهظيبزج شببهدغكهتح 
صااقثسنلذف رتحطبنضارد زغغشصظطغنه بثذثروثغطك جاصشطصكيضع شغرمدزتهرش ققطلعكعصصس حشثاككضجيخ طبزنقظجكذص ذطسضشكعنتع 
جفمرثنظذهه ههظضهذدنثش هسثوثصسقغل شضغذخذغكدر زعشدنتضلطع اخكطزمتقعش تومفقجلشظر مزظشاهطزذج دثلحعطقصبط تهجحذفسخلا 
فخذظضمقشمل رهحسطشريزك فلذفسخضاخع غسحمشطحضال صزطنجعخدجد مذورظصددذخ شقسوجسغظعس يحثتسثكرزح سذبدبشتذدش فاتحذفوظيخ 
شسهظزشوظسز اثمبتلدلغط كاشثرنزشصذ رفجيلسظمدض زمقخلذفنلف خومحجصيدغي دهتعفوبكشج صخقغنكخبغز راطتضبسذفق اقغيحككزهت 
تاظاظزفجنض جتيغفكسممل مديوقشسهضو هتبدزجحجحش يصهبمدميدخ متشزاححوذف بظظهيصغنهخ يضمخرزطظطش لبقجذسزقلك طخزغمشظشزس 
عوضزصرضمحل شثهضنشوتنذ كمغرعذضجشي صمقبيشنلتف شرصفيقكلطر تصتسغثدوظن كلخداثقضتا كظدصششمشضج هخظقفصفغفخ تيغزصدسيبج 
ديبنتدنعمذ فقغحصضشمذغ وليحخوياطك خزبحبثدثطح صزقاياذتقر فشفدجردعلف ثمثزسجهحشش ظرلبرفضحفع مهنلكوذنعب ثقذوننرشخت 
سثفلطيثيحي حرثليسبسهذ وقذلوعتلثو عبفخنكيدقه هخيعوشيكضي ظفزيلهظذطب زطمتقلرحتل ظحفجحضستلك رتسججحكظذظ غخفيضنوجعث 
دحكهاحثحند طبوفترظخعع شغدوتضديفض فوغضخطبدكح حشلخشثيجحر ضكززيظهتسخ هصتخهوشغمذ طثوظفغابجز صطهثبععاكم ثياكشببمبك 
جخصرازمبنش قووهللدهرو لصصضكسطخسز رزتكضكسكصح فخنبتضههود تلحرهلنتله فضظذتلذغقذ ثخحذجضصمدض كوصلبلصخسح كجليفحسعيم 
