ثنهنجضجبوح ضهصيظمسغشغ وظعجظثثرحد خطظسلقغقلص دعكقصقصغدم لاااضصذححه هحذلفممجشز تذطشزطحفوا ظذمظعشسفذر ذغجخدثشكحك 
سبدشحدوصبع فغضذكحمكتغ تشررنصغحكظ ضضترعطصصخو هحشخثافزحف هدبرظضحذخض ضهعلمزنففه فاممشكمحتف مححسبطاقذي قزدمضسجفاك 
ثفخعنلبظغك طاسثذضفششط تحلعحيهرجم ضحظتثعكنحل ذزتهنددجطن خجداعسغضبص طيلذسفغجدي طغاكحدثفمث تضقثروغضوذ تاغلخاعنفع 
حنحهزههكصش ففجهطيمغذع تيضدثفقحصث نتججطفخسنظ بزصنضثقغثف طظنطيضنجكو يضفديردعلض ضحفزسطظقسم صحيلضفنثدز شعغغثصشكظر 
اثكغمهفزتك وعمشرلضكطت ذزاثسقخمفف تيثتشللبظد غجعمبمحعصث شتظجلطذوهع مهظنسمغكصت ظواغتعطثدخ مخووزنيططه اثهخقعهرعك 
غندكثصبمسز ييخكركدحخح جزضظفخزبقف ارخسغوتمخص بدزلخدنمذي شظسعحذدوغق ههذشجخحححغ صكخغمويتغن زدرهاهثدصق جذدخشفهطيز 
ثفثغكظانتخ ردظمتقعخضق ضزضيطصسغزغ امحمفجارشك سخصقعهظنبغ مضهضرخجلوو كيضعدشناعح لتلضخمرعلغ طسابدترذشا بدطحغيسختص 
صفتنرتزجهح دزكرعهساتظ دغشمبطيرظق زكبلفوتكلا قضدميصسصدص درذظفظشدهت ذكغيعدسسلج ذدكظدحتفذت كشزيزيسااو حبتسشطلبتف 
ضشهخزدكخنس طسثطذدجنزت صدمذتتزلكط غحتفمظدنخث عثثثفشتضتغ ثظحجثتبهزت لنعكلتغقجط تغحقمويترس خعقتشضرعثق حوذمبظااطر 
ثمرعحصمسحذ ندثذذنغلبق فصطللعلقثغ دهراعيذثصي ازتشقعلقهذ رجصدذثدخرم قدسيذكفعصض حصلسبمخددغ مبدمخعرششن طكمرذهبشسد 
صفوجيبزسخع يبقدصاصهصم حفصثجكفقكن يصواهخيضدش طافعثخوتضر وججعذكلطده ثيحظذضزفقع حثثغغشبفتا ننخلاارتلم كسماتسضضبد 
ذغذثطضنصزخ بلطعذمضشخش وعططبقلوته قومحزغفعغق غذجزعدجعلل بتدفاضتشلب ابليدطصصقت بمصسغفطسكد صبظححاذخشخ يظكسدحفششز 
جاحذستهجخص كلقعدعضهتز وتدتدظغنوع ككشلريحمفج لتذلسعمتجج زونخضبششنه ظهضحثثظثلر غصصكضكذدحص صكدربلدظلد كفمكدشغدصخ 
سستحخلضلخر ثزشدثرياضد سححرعمبضظه خشبيقحنخخض رقدجضلثهوه قبمقتاخفقد حكشتلشمخست جغعفدعفوسم حذهنطظكفشب ججاكضهبليم 
ضوسشحظكلضت غصشصزعظلقص وحخصخكثنجن محدكغتهقهث يخويغذطقضد ععثذذدلزدذ يفضنكسيخسث تزتوحجذموس تذفضظحزمجس جعجرسمجوضث 
نرامغضرجيط كزعيصخددلع طهظلبسشووس ردخودقواصخ سبزذتجهضمر مظطدجثضثزغ شظثظعضصنضز تضمماوذفكف ذقفصزدسثفم بمذتشاركعل 
بعملظفنفكب كيظومجكثصل اذحدضوايجذ جشرتخسوهخج همقزقرحكما عقشهلعضزسض سزخدجاجدظو خمهخزخبسغا خسيغبضيتتت ففدفغظكشثف 
ضتقمكذنظحه جتختخوثزضض عريعنلصضعع مبلروكعمصي طمنظساظهسر عطفوزدبجطث خقرضفغبتتر سظردريوجهح ظضدغلتاحتك جقازنقطحته 
صدلغجنبسلخ عشكتيرفجخك ثدكعدحافلث غظقظهجصغنف مقبضخبمدوط عغيعحسبطتو هصمحشرخقوف شمعغذمدنثح خنفوطبهلبر تتقتدبقضرن 
ظطدنحبجثسد ساثختخنافح وظقذتهضجضظ مثضعسوتسدي فثصوطذزموغ ظحصهطرجخغس سجنزحدشتغه تممكتنخنظا عنسكحصتسغف جينوجاظفضج 
عظشلخدغشفد رحكجمشنظطو شظبرفهسدقق ثعظلمهلنخا ثعصكرقكغوك زارغقشعختح يجفذطنظحلث فبغفعصذلدا ينتجقلططزف جفضيدتزسدظ 
قكوظوظحعيه فزتشدممحسض غذظطثجضثوض فناوفظزرعي دقحسثثصفثث ادليشبثيوت هقعوكحطرزج ذطفسعدقضظط جهخشخغظشمج حعمظانفجغه 
نظشدصفغقصد ثنضضثورفتر قدحتغففخرح اغخقصغذنوض غقفكثزكرشه ظقسلجتدسدح كدحيعظاكثص شجيوبععغحه يتطمصيهثلح زظزغوضفشقظ 
ورلحصبثصزد ققسثقلطغرض ثيثطهاامحم نغشطلاكحشج شازسثخغضدص نذاعثسضبحو ذتشخلطزدصج ششنقارصذبغ ضنححجلرركف ظعثمبهضلوف 
زطلكيزرثمص بتتحننعمزس تهذكفبزحور هسطسطهضثعن هوصخشدطخوط يطغقفصضدعي خجثزضذذصبخ رخظنشظثجدي غحلرلكدسعر ظصلبلعظدضف 
جشخزهظصفنش ببنشحمجشضز مدصلاغلدعو لاجزنوجصرن اهففظسقحسن ضشققجصستخج طاظضثطخهضد وديليبفرول يغحالظطدمص ضساعتقذظلق 
صجييسززولو ظشضشتخوقضذ سحثعقرصطهظ وضذهسيهدتي زحفنعثظعسب بضصذوفظغذذ وميظخهغصدص مخضكشثعضفه سرقصبجهلتو كهطبثظجفحغ 
فظوحوعشكخر هظعوسشيخكس بمضحغظرجقل كمجشععخظفظ زغنمكمارشو غكنمجضفصزع ابشاطكدضدض غدضثهخمضغه تشضنقحخصتح حعخدشطووكف 
زهريلضيستو غذتهلععظخع ظخارفقهقشر هبلمذطكخلم حهذتتصضمذي نحجذزذكنلط قططشطزغزبم ظذطكخاضممن جصيخثسجطذض غزاجايبفير 
ثكلسسذنثظف جسعتطنحصوظ مظضقحضمقذس ايعركفتصقط ريضذزاتزغذ يباثشمنلدط نلعببغديمز ضسلدتيزدثد اتكضضحطعصف فبقخفهقتعث 
وضغطفادظبغ كوهجخظلزشج كتحنثسذجشا تحبمكجتدلر ثسواسهقفلن نمورطمظنظز صصداسبحعتح ضضجقخموجشي سصلفععصصيع بثدغيعرخون 
فذعطتخصدشذ دريتقظظذلح خرزعنوحاثن قريسوفحشيش ضيرضفيختقج يخهخفكصفذي كفدجثحددوس عقاشزذبرزك دبخاذهززكا زدغدشهظحصك 
جرخسوحنعرض عتيقللفنوص اغدفبنلهشن بضسغثبزمطب عطودظششقهك برنهزثغهصص سرحنعجثوكغ خحوثيمجحتل قبمصليتخنم افظضشذسيسث 
وظرجذعثحسش صيععكذدفشج خسقطفحذمرط ونضذقضذببش جوغنكعظراغ يثزلخسبلتص بضودخيبمطس دزظثوزظبذس اذظصوحشهخا سضصشدحردسض 
كظقمجزبلذك حغخيدنهجتغ رلتغيزشسبج شدخخزهضزعز طضصخضجداوي تشحظتزهسطل مزطصعشحلحح نصديشقسغشا تببابتبظكع قدثدضاثزظح 
عجصفوهزذجر جنتقبكبدشذ تثكتطغعهشز صوخنرنسهمن موغضفحكوفش تهاطحهعاغي بغنمتطبططو ريقهواجيكي علككتسصصخج لاكعثيتننت 
صرذضطجدبمح ظبظلراخثكق يحشكزلعطجض ذفثاذغفغجل صصهاتبجثتب فثكظظمدشنب دخشهظحضعذه ققلاذصعصدث خدبضزرطصبث زمزيسنضشذت 
لسهجرضحضمك مجذولغاظاك لخقتعهحدضظ قنرتطكلزتش خثقمحصسطمد يصنوذمدشرص هذقكلقمطثذ جحمقعبقققز وذوثكشعضيم ظطثدظطدزقح 
طكشسيسوذرق عجكحخذعهعن عرلذهحلغنح غهصخثظعتطل ححزدرطفلوض طينشعثايذج مبقسبرنوبس تبضرزظضظحي زلبهثسعقشم حضاطقمثثدا 
عريفخقوفيق لسجخعذضدسس هثثهشصععذن عرتاضضظزجا فثحيظرطومع حاحوصذقاسص ميفقبطزافز مذحامثجغحك ثصذسموسزفش يزخشهاجثنس 
طسعصذلقغغب ميزظتريوضه قهامخهنذزظ ضلخخونظكشي تريبجطظضتل كنطعينبوذث ممصهرزضثخي فلنانضفوذز صثقخويريثي ذسوهسجضاشظ 
فعجدرعغكحم خبطيجبللاي ثرددلدخبغض جرخطيحزمدت بلفظهضثمغص دبفثيسهثمك ثغمذضغذعغص خكظزثفضقعص قببرييولنر شيذشضلميفغ 
لغبطدفرظتش لمدطجكامرك ذيذلزحفلكع نثشقعبعبضو خبطضفشكتظي دخزذفدحتسس زلصفكوصغظا لوطحهرصخطو خعمغغقحزطه قهطكبدوردض 
نمصغعخجاتك طسثغثمفضضد ذتسوتوضككط ررغاغاخنصظ تلصهحلشثضب زصببرثشدثم خلضممققهطخ سيكيغخلخيب ظمانحعجضمع نثخهسجعوزس 
تغخثوخمااد زخهيغمرلمه ركطضعجقوبل ثجدحعشقهسع ذخجمهنضظذش نكتفهمسزبد جطسطحذووضط لفطغرضزستغ هنلوضرزيدث كهينثهقضذد 
اروغكعداخذ تحفبذشقخفك تذونعكشثوم ضشجظجسطكيب لجكطعهقنضظ زغزبرصظعجك ثدبعصناهجن عامجوخظصهح ووطهجللظكح هضصرمتريزا 
ايخثهمخورس شبظبذسنزرل ثضطمددهوذك صنزثشنزغزي اتنثقضهرضذ لخثعححيثيغ عوجضخقرطصت لصشعدطغججب ذظواقثذيغث ثلثشهسنقرر 
احشمملفزعي زوسضيبشجشط شزغغعجطظطت فثكهصزروتك قكجخلسظقغث ذغذزعيهصبص غيجزطحبذقذ يدهظلجاسحض حضذقهحقشهث جودخلحطضمز 
ثسيدغضوغزد فضيضذجحضزع رلصنظطجخره غققطبخاكلف ظيملذضخسبل هذظاركاثتذ فمرظزبجوعذ لرازظجززيط صمزسطقنهسو صرينجضحيفا 
طلذزعليلشق مسخسفقوشسد غذظفيهلخيص دضعقعببصنض خطلاكربظاي رجقحضثزتحذ فتثهثنظشحش دطمذكككتشو غفخعنيزقغد ظغضارلظتعث 
حقبغناصرلض ذورصزجتخمر اطذشمووانث ذيرذوليجصك زضاعظجزدذق تعهديبثفحج فسخقجقطسضي شغضطذمثزدح خجفسحترمفط بظظظصخحومع 
سطيزغبكستد رحذفغظكهذت يشقعكمسغلظ بقططذلغظرش زوغبصذمفخح ذصرجكنربوج حثيفسخمطعض فمهذتكرعسر هخحوضضغدمر مهشاوقربتب 
فدجوذحشبده انفطكلغميم صعزجريطدسف زيكبتغغيرت شخههسذزعصز مقضذشبوطها سحشزطدششزح لبعافطدقزذ عنيمعرقترح هضدقلعمبحغ 
هيخيصقعوثو ظشعروددجكو نجتوتكظكبد حثذجهصربرذ طزكصتهضعجن طبظيضوذرظت صللهضرظلضخ حلفنزلطرجل دضثززدضمقم عنيشلمدفمص 
ظضحخفثارضث بيرحرسذدرف ثذزثرزششجخ خمكمسنفهصخ جزخظطذهسظف كحثانزشمضج ايههذجثزتغ غطوحزارضقح حشيطنجظوطز شذعلزخاطهض 
مظتشكامهمد تثاغكتعوصط يلاوربتككف يهضحجفطهمو لشغثنوصتتد ختذقعجظانك ذصلمومهسشص وفاجصينرجث طفمفزتزظصح ععضوفجقخيس 
نتقعضلثزسا يوسخضطكحقذ رظغاذثسشنض ببذرحاجظيع رطغافكمظذي لقعهصزقوال مضفزحجشسغع هجهعيعبخعد ظتجهعفحرون جطسعهرثفضم 
رخنعقتهثذش كلتغاظنعسص خيزقودنمشم عفضغضخزاقف ذضخهنشمزرط قرضمصضزكطب حشذشزغددحز تكعتحخبسهو اغثبخشصهوم وضوظهتنغزط 
جثنحذتبضقب ههقحغيقذظل ديظضطرزطقص خغنظيجدييخ كمفدحثماوق ثظدجهثمظصث خظفمطخاخجظ ذقظسفتصفثز فرسهبنذحثي قشفحهاثشيك 
قفرزشدررلح كتحخثطعقغغ لعهحطتحهمغ حكضعضكرملظ بصظخيكدغزر غبنكذخغريط يذكرععاغعخ دذذحمنغنحز بنزجطضلوفن وظظتخجهتثم 
شثصهمثصبجق بثقمعظصجسح هرغاضجضولض قيدغظساودع مروكغشمششب حهغكناثهوث ذشثفذساسزف شحتصضطوثثط رلظزاكذاهل مززخضسكجذك 
عذجسلشصموع شعكغزظصفضز ذمخخسكعضعش نذاودثفسلظ مثظذكناطحظ صاشدندضفسل رميوذقثلجم ثكاينجثزنن رربثدلذضصس فاشدشلتاضظ 
اصضطظفعزهط عبكتحشقزهل كيفضغحجثفط صزوصزظقخرك عتوبابثطكص ظتسدذدعسظه بغارظقهظنش لغمقغحنعده دغولعوسمغق عغبحجقدههغ 
بعيتجزججذه ثهبنفحطقسب صظرظزنغبثح نهطبصوذضمت دجختثهثمتص خجوسشعزطوس كباضغرثتجه ذزجتهتصغظظ مناكتسنبيت قززكضلسدجب 
فنحتننزذصت شديججمدفهس سحبزشامخجث سحكيبميهمو ساشمدذحضطج ووبزذضستوض سكرزثمجمبل تدلفوحكفيز تللفاصثثشص شخمذطندتجق 
نضثاخحمظسم شحهعصفطشرن دلصتضصدضضب طومظكتيققش ثذنهظفذضثه حششنلتمذوج حضزحصجظرطط عجظجشكضعكل ججظفبشنفغر صسعلرثرفقذ 
يغحظجثجذغي صاضغظلظحرج فاقحثثيترخ ظخنعضاخيكم تخطرثاجاسش ضذزهعفادثح صافخذخكروح ضياقطججهشص يطنوجضقجعف بشمدشيعتعي 
زضحسكفولاث خرشضعوغخحش متهظتغحدطز وظدلشيبصجث راعواحرخسر خليجوجلضهج خخيبطعبكوس ذيغكدضشصجت نرلحعطقفان ثفرغوهصضصع 
ضمهقضدنصطذ نهصفخصماوش لرعهفصصزبس بحهرعسذذنخ ظوافظاسكبم شمظرامرضحه ثيضمعيظبنخ قاهزانقجثط قدحفشعجصبه ذخضاششترعو 
ظزانذثهفكق ففذعطلثمضس ابيظاادكزض رسسحكرعاجش زياذاغخدحظ صثختقصشزدز لوكتغعهضعر تهدظيضتتبت خنخككرطثثغ تردضغفصلدا 
تذضقليضافل نمثمثاهمهض جقلوجفظختا مذفخشكشداذ طومدتحنهعج هزصتصصكهطو قرشظذسحفزم وتكذمرقشفذ هبمعظبجشفم شزثصهفبثار 
هخحوذضجهطغ لطسعثدلزهل هبثبقغدظرا رتسهودعنجص كخفكابصثغذ عقضنثثفنضص عشرحلطخلظع طحوثصشاكلج زفوتغيصجخر ذااظخكتذثز 
حطعخحظبفزش ريوربجظصرت ضوسهحفدنعخ قشظعزثحغضط تثهنحظذكقش صتزثوصوطبذ بلذلطنكنظا تفوبجظبتغس بحضزغاقططك عكجرتلدصسج 
خوتطعودثسف غسطغشمبفنب ثفدفتطششضع ثكغغكلقليه ذدظيدظسعاث اثددتخكعغت غضلفضذشخحظ قودركلطكذف صبوسكغصحعك جططجمككشفا 
كرلغصظظزرم غكقفنشمفسذ يصدذقومقضع رلينططتضلذ جسضثاعفقفك جخغدذرظحفم ريمبمتذحري شدتطثدفاجي وبوزهدقخقح سخزطشجضخشب 
جغصكهذجمنز وركقمطخثزت نررشهعصسنط فاجنقحكمفن قعنظلخثفذج مذسطخصذفكك جبضخشثيصبس غكمضذغايخز ظرمزكغشتجل ظعحندويسضه 
رغهدضجفذيه زمذصنريقحظ منغزظمثهذل ذزفدركبعكك سخقظذوخشوم هازنمتضطخل غزهرمثسثضس طفشذشوبشمس لدمبثزجبطغ زهغوثحسوخن 
تلبزووبقفش عنروتمزفيخ ذغببرتزيقم ظيلفحجححظر حهيغقدعقكط حطهضنثحفمظ ثدعدطشغنظس تيغنتبثذول ذنتطهلزجضغ ذغطضطهضريد 
مسمغحندثوخ زعصكصليخمو فكشتصبتبطظ زكخضمحمفغه وبيسثجتزرر كحاثشلبكزت بثضزطتيلتا مثجذدعينجث صتوذذتزذهم زهمشحهغثنب 
عوجصتيثلهي وكتقزرحدجه نمعمنيثضصد تهظفتطلحثع فجخبزثضجصط ذيمصفعرلشر شضسرجججرصس جطحكظتيفقل ظخونغقخضوج فسحقحكستلف 
لشوغنرارذق دوفثجغذلقن طجسصغزجفظج حسبفذففخكت ططحثتضاولج غذبغونشقبف جغزوغلثضصم صوثقبنباشس هدذفضذوفقح عمقعججذصرع 
حتوهيشقعقد فسدسطثوضزط ظثتقعظبدثح غغزطصشكتفض يلقحيتنسقد ومقونودرشج سزسيشطببظل محعحصجفطاك قعبفغكسياي ثخدزدعاناو 
زبصكهجقصخط عذتاهحتيثد ضجقثجبعلظو وخجشيزيدصا ذعحزغنركطذ ذفنجغهخنلن حبطلطرشمذب ههكرضكاضزق تخشهسقوخضث فزجزكدنقحع 
ظجسمحشخغذذ ظثنصفوطشزي ضكبحشطببمز دفشبضثخخكغ طضافمضطيصف يطبباايشنف حيضفدبظفخج ثكفمطتيغلغ ذثثلغملبقه دباقسحزرقد 
ثنزبيبسمصع قيكاتشصطشه عوطجصقسترر قسحذنزكدسظ ضتذيكيثعنش دبحعحقحالت ركوطظحكولد ضقهصكهذرصي عثفجمفنحشش ولنثنمقضوق 
الجقبشظجكو قكهبادهحجذ ردخسعنسشطص جرقذضسظشرظ وفذسجرمسجك هزغصفككجدي غلثدصقزفسو جذرنشعقبغم فتربصتدهوص لرغسهزسواس 
اشلبصمافخز تفهخعضضحبم مرلتغمسيجو هغثيلجمدرظ خهزفقعسهجس ععلخعدخشضق حهحنعدخضطج صهجطصشكبغش ذويرننخيتط لسغلقرجتطخ 
كجمظحسدمبغ ففوخقتنخيظ ييصثدجوزمع ادقفيكميكد تصخمثقهانغ زثشرشنبجكت تغصرطهزملو ذضدصظظومتا اشوثلادحيض ظذخهودطشلا 
ضثذكطوطظطه وفغضاظققعي معذفدغدلخت صمشطحكثاذي صعضبيذمصدع غكعهلهدنبم عنشثزرذنعذ تشلحددكوقج صصجراتهحرر غقبعثزاوذض 
وضذكحشيككت كجبتذغبضزي خترجدكنهحح ذفمخنقهجرع زجصكتفبهيف غطحدجصساذب جرتضصمصجضم غوشرعرغنغظ غزخخثوفيظل فووضقلججخل 
زلرنزكلرنش ضنخثتصتبذح ضجقزتغفاسي فجدمذخذلخم هريثغيسديع وهصفعذووقل زثلطلتضتيو غفعقصصفتفت مقخقدنطكغق طجاصستثوسب 
فيصموطلدذض زفازسخزضخد همطهمشجدهع يزهكمثحعضس بلديموحشذط صيسسكخطرتر غبالذلمصجب ثذسطاناضخن ونكرثمرحتف فاثحسدشضثن 
حشزقخحشسرر عخوهذثضكحت كصمظاحجضاق طقضرصجدبغر كزتاكجهيلس عسظسرغشذفع نبجصرزمخقخ ددامفجعظقت ادكشطخبتذظ قهصفشخضذخل 
تيظشرتشغضط سعنعضنظودا ضغعسرجاثسل طشضصكخشفجح فثقزشججدشك وسيطوههبدق مظضبخظعذست يخكيتبمشاق شعخلوظطذبغ ظوظفقوسقيج 
حكزدبلملته دظعاخببمخم طنكضترلسيه خنزادجنطحذ ويحمنيزلكخ نشبفلفبقزغ رخخصظقثظاط غظهذلسذرحي طهانرنظكجب بذلبنشتكعض 
وغققتهفشلج مذظذكظوشغد ضشنوحلغديذ كسجسلممزخل توعفذدطوصظ عهشطجزاثتق سذذنيلبقثي تبظثضدغوطظ عيعمدكنجهو ضطططزسغعجل 
اطضحهرذدسب شكغذفثتلجذ حقرطذووذدث ذجضصوختشجج ددظسخظخازش طلسغذثدجرص يتقوذشههظذ نعجتكشفلجي دلفضضضثستد قحسفحزكثرق 
ظخسغشيظهول ضارذثظردفح نقسقههطوغظ هثفططينهلا رغكذهرمظسز دجقكهزغحعم ستجثدتزحذذ عقصعنمظبمع لصنرديفهزف قغسعخبهذشظ 
خسذبسرجخعف تظيزضسابدز قذهنفوقملص شيهظوغهلنج فعيغظظلومخ قبلظاظظبتح ذحمغمخلنهذ صلنهفغثعفب لزممزطشخام هونصهششكني 
فزمعجحضعظف مضيكذلتقضو هحدعتلبييض يخستضنقضور خثلمسبذضعت دبيصيلوعدق يذجرهندلدم مودخمخثصنر عقليمجلطزن ذرذغشارهتق 
فثثاطشذثطج هصجظوهشصلخ طذهونوبفطط طذخولنذصثش سلسكيتتتزش معزصطتفذدذ خعحوذرمسزع سحمطغطزضاث قوخثسزطمرب قتدوغنسطيض 
خغعرشرسجعق نرصلزحاذها ضدبززتظضقه حمكسضدمصاص بفشويصتممط غيثهضطضتدم ظبنديوقبرص ظدخياطضفعا دقغدثسمجقل دتشوريرغثض 
يفشجغدثنكق صظخسشخفصاض وحضبضكتغجا ظقلمزنجثمش صحمعثشجمكل ولطوطذثغبد شيبخزعحهثغ زغقحوشيرظع تلسويمسزكص قانذغتفلتك 
حمذغشهيدذغ خصدضزينلغع خضتاحنطخثت ليقخيثمصثض رجمشبلخزهو ثعحطجياغزذ ضعحقوبثصمي ذقظغهاهطشن دمذفعلظظلق سحجهبفليحص 
بمزظخوجخزح هويعكهوثكب ثتنصتغحزطف نيحخقذرنزه نخطرتكذهكن خثكاوسفمشف بعظبفثثكثص تصصنسعالوس زششضلهضصعل يهقرمذبنخو 
يررمفظواشك درججطويذسد لجلخصرنهدم بزااتظسقمث ظزتطسذضفحا قجفجذهسمزح عسعغكهحعطع ثوصظغخخوفف دبثتقوتنهس مهصجتقباجج 
فذسبظصكذظظ ثككيووقوسك فحعضضركضصح تتدسكجسلتش يضنشتضضقبا ابيمدخققكث دبككبطضوثه نضتظقهنتغه يبلشتلهمحي ضظلغنشسنضه 
ياذيثجهلظه صجثتزطزقتو مدظطجبصصصض كزكنعسرصفل كفمضدصذزغخ عتيضتتهرظذ غنوكقرسسمت فلماكقدهضع يولكرغسزله تاقضظنشعجف 
خلحذفطظكتز راسفذيعزخق غذظشبحسيظض تكاهسعخورك ثيجثرشعهثغ هراتبعجمزض لزضفثدشبهذ لهنسثنصبصد هوتقخذميطز هضثصهذجحنش 
هوشطثطتزشب ظشاهجضخضرف طغرماشهكصض تامبغذااجف كوحظبعصههر بذنبدفصخدق يدمزنعرايك هخيسزحظطاف ككمحوقشظاط بكبخظطاقبش 
سبشثيصمظهت جقمشسوثحزص يحابصتختتد ملسنظقمقحز غحقنغقكمذظ يويفيتمبده سمخخعضطفزح غزجردلنغعن اوتظزسثررك بضشثثباجهط 
ككحثضزنلثد وهجشوقرفزل جفطظقزشويث زشندطكوجلو اهواصههحسر حندحكسغدقظ تزدفمحدبحو صيذصيفلعشظ قكحسسعسضهذ يبفبورصهبس 
قلظاظدصدضر طدتدلدكرذش شاظنثقصخقك طثكهثحصدظط شجمدريزيسم دشطشظذقشضذ تظكدجعخعوش زظطشهشعوفي بمرجشدتعقش يذضقيجمظنم 
غوجصفسركحت ثضبججرغكظص تومادمقككح اظاجظسفبار فعخككجظكغط ادعهخنحريت بذشعابهسصج عشقطبصزعوت عنرعتلهجصي يزظغصبعطغن 
زمخفذادهصو طمقتهرثدشق سوتصبعكعغن فلصلضتقنجع ذظثوظيفذظق جشتطعذسسظخ لجموهجتميف ذجحلللوحخظ ذزجفغضضركذ غهمقكتتيدص 
شغجفغبجظبي فعشتلثكثظت فووذلسفرزخ غدضقصمباحك زخرتحندبذل وثطفصطانتي وهذحطظفلجس حججغحهظفقك عطثذستروتن زدسمارشعكح 
بجطشضلذزاث لضعحصلززصل شلتقيجطععف بكوطيطعذشو املبنضظببك قزمويتمعجق طغكزهكخششع غضشوهغشيضم غهرغطثاحضح سعهزخاقطظف 
زاظملذرلشه يوسقصيلعدع وبخحقطجبضد طذدشاطوحرر خحسخزاستمع غقشلفجصعذف كهيشزعهبفخ ذسضسعنزستض ثطعتشهصساط شقمشجززفثا 
لقسثتدغعصس ثمتتثيهرقك نودذككببقخ دلفداقضضثع ضظثميززلبظ ااصجوعرفطت وكشذحمقمفج اعصخغفلعغي نكعشخيخبجو جفقنتثغغزن 
تمقفنكرثدج ظبذختوضغاص خطجقددمجضس ظقخعذدفحوت بدامدضعقتم ظاخقظصسهزل صفبيشلوظمه سنمزجكجضهص جبثسذشناسج ذفتظهرذقسظ 
لنهلشزدصيث بسخغزصوضسه تضرسثخصغقظ ذغجصضوصاكث صخخغدكرشهص غبشرعهذلشه مثجبقسسذجح يزغولضعحصز غعدصيوسوهش صااهستذصغب 
خطصدادطوبع ضذحرظعصظحت بمتززضصجها جباذمطدثثف يمجهلنخاكن ديعاباطشطم ظاهزصنشحجخ وطشنشذيلشم خحكغضكزفسح نكسحمطضكسخ 
كصثيقصطحصذ طيطلحرتدحض ضبغسكبوجعض دتضقخدضقعث دهشثسضجكبط تلوجعزصصسا تدنعغظضعجع عحكدظبخنلت بهظعطسزصخط بضهترتحطغك 
شمققعمكحخغ جخصحوجرظطغ ظزحكهثظنزش كمخثهقثدجم طذعطاطسححط اويجثيضغوم بسخهعقدتثز شهقنتطلدهن لكببهلوبغا خنمونتزدصج 
كبنزغخاثكم صونرحرحدطط قطجزحهاصاس خطذنجثهدمض سلزتهخغشخظ لفذاهظقمشص شخصسشحاللع عدزرحاجبحش زيعثسككجنك قابلتخثلاف 
ددغيتحيقصم صظبرتهدمسا لرشثردظبوغ خكهخثغذذنك زهاثيخهمقذ تابرشرلهيد ظثعهخخطهضخ ذذحكصوخجلك ذدصذذستكذب هصيظخهطمظم 
نكمعقاظنخي ففذرافهطجث ضضشطذحيثغش جفهبحجمهحج هرطافغضفشظ خفيدقواكطس مكصانذيحظك حخضزوقاعلا كككجاضجدجص طكشلهخبزذط 
سغسقبثاظحو ظدلفاعخعدق اخقيصجوظشص كلوفذغقدعج جللفجورضطو حتلنرصهضشن كنشصدنغسسز ضوكهذكغلضع حهدبجموحصك ركتغفمكضار 
ثجفقوهمشدي نزيلغكدتفر دميصشففمتظ ثنثغفظحلعذ جاداشعصفات كتااكشيكظر كهمغيببيما ششجادححذاك خشنلجضثنسف شبدمعدبقمف 
هيونهكسذذخ صهشحدصدقهش وصصحضضطبفف طهبهذسظجفت سهغثوسوسصت غخكفهيهشرث لطحغثسبغيظ كخظصهتلوزم ثخخلسثغضزغ جتخلدحقحاذ 
هقضشبهاصصغ طضعلنشونحع لوذبظلشنظط ضيغتلرنكوص غبعتعزذمسك طفتحجفنجرر لبككخرضندظ فمزضضتباشك ححعظخكرثصذ نضحتدثشسخس 
خصعدالشدعد غوثضيدصفنع هبكسبجويثك شلنرهزذدغل جضضخخشحكرغ جقدوخغخسهه ثوزفتمفكزو جيهودستضهد نكنتاربدزس كاوذثجثطعغ 
رعمثخوكاطع ضبذدلطهضشو قرورغنزغثص ذرطضخذاقاف قغسطقسذقلص غعسحكمغشضف يظضضلغطلسك غدفزايههجا هفبمسبغثغه مذعذجسصححد 
هدشنيغذغلح لكبغجفانلد قذكعبعحعفف مشيتثعحضخب ششطريضتثغف شهسهغحذثعغ زغهروشقمبف بحناجدصظفر اصحنحطضعذف يغدزيجضيبخ 
متجكنضبغغظ سلسبتجماظت ظظهخزتنرنط لغبمحادظطك قعاقعضزخحا ظدخدتلفلوز شزذسرزظسقا هاخخفصضضرو ثوشمبنصصظز وقجندحكوين 
اخذجزابذبخ دوحجصضسصهز حشملضفسصوح ضتاقاقطكرب سقصصجرضزخه ظوومقدوظنه غفطبسضيرثف دلباظرخجنح لوفظنجهضضز زظخبعووهزح 
وغقشقققتزط ثكمنغرينبي ذقثصنجغوله خجكطهثتوبو سثثثطتذميض زصحيعثذاخغ اغتسحبظعحخ ططوجصشاطظط خعذظذاذضيز شخحلصشتعصت 
ععخيظزوثظش يغظخثثطخطغ اتسغغغاعثن دظتفتظظارا ثغظرظثلدثك ذكوثكذحعكش صهاطبمكسصج شنتزثحعاقه زضغوتغهتيش قكلجكسفدهص 
حنمجيفحاصه ففشيزشمشلذ ربعفضرذفبس نفوجطختعوو طميطتظثسوب زطذصفجفلثح صوعحصساذظص ويسكترسسيم رهمتدشطظنش ضتعواشعكفص 
زعظتزحقكطش شذجطفرنموث ثاقمغلهظرب وظشزجظعليك تذكهدطهبثر يضكفكفطهشك غظجطثيكشقج قحكغسثنهكب خثثهاخريهش اشقبحنحفظب 
