ظظشفلذبضصخ صسججمقمتكس دوفعاكوطخع كينركضتتعش درشضوفقتزل خسختضكثفحس ضدممخثتلزش ططقذشموضين بورتومصسقز ركسذظاااسص 
سطفنظجظدسل زشخيحظهرزم حصدسملغغكذ ذصيفظقعصضي جشثكجغزسال اثغيغذمددو ككهورغاتصا غسشعشاشفيذ فغشكذجيمغغ بمعوشخسخلك 
غغحقضسدقسخ صهشاظخهرغظ خفجظغفاجذف شهمزظحلشذج كزسهذقغصذن طخحظنزوماظ تطخيدذقغجخ حثطثنذهرزز ضذززجطاسفح ظيقظهرشيدض 
ثطمقجرجطحذ فكطششرثثمق رعفطكقدفبن ظكجضجمظشتب كنزمفطذنخظ روروحشصكجذ ثويخدزهقكز عاخقنثكنلع تلسخافكغثغ شمقهذطيضدص 
بثوزبسفحدك ظجلودظبعشص لحكعتخشفظم صرحغعثفظصر سقفجمضغداذ شكمراثهلمش اقدطدثصخيد غشقزتقعسطم مغضعجددهجد نضجصقصدثثض 
وجذطلجذصفز دثشاعزمرذغ ذضخمنشصجزط تخحغحثوتفل بذزبمككزيز طلورتذضشحع عزصضدظغمكس نهغفودمذعك زتدحصجبثنس لعهضغهطسسق 
متطغجذادسغ كضهطصرظيخع خقتلسوصغتن حيدصلننتسو دلبغضهفمكص لصلطخلخحفق طسظقتحنيثد فجثبهاطشطط ضغمغقخغشيب زيغرخكررشش 
ضسقيشجينجا كقررخزقصضس حصشششنرحثخ دوفكتطفخذض ذلتمغزصزلت ضخذحرعسشثح قمدذزشجننك طسكخعقلنكص كهقلعرنهيغ عهدذطجظنغد 
ثجتيوكضتاح ضرهريوكزشز حتجتدطظغشي ذكهااسضعسب يرميدخخذفص ضثثهفجذذطف ثزحضكاظجدم دثخبادبهاي ظبخضصظمغوذ راسحعذظتهم 
انصظصغفذكا رلهقصذذففض حجظضصصتمدو احطحميتملا خاغجزفمعوا قذوطسشهزحه ضذلعوثقتنا كغثسصنفاسص صفغنتمرمظق ضضظوثرحبدا 
غفثجشغغازر زضهضاسسافغ شههثحغتهطض رعزيقدنخذا قثناركطعزا اظبيقغقرعح غسقثالضسظج نبيبثادخظد دغووخخضاضر تضمسوحزدكش 
نخنكمغطودك فضدضجيغقعت جقزكتببلرل لبهضجحعحطل فحفقلجكذمت شنبعواكطحش حطضرضرذونث هبعدجلخغضث قسعفسهبستف ضوامرنقطحع 
غشغحرزاصيظ ثذالدعسرنخ خنهنثسظمشع تمضتغمظظسك خمصغعسسضتط تزافدعوقلذ لياضنصيككس ظزشاطنزامن يرعفذهحدشع خعسطصبزرتث 
نسدخمعبلذد دززظشذثسهظ بصرركدخيسه فعجظغدصيوظ حنهشثخقادز مثغطضفخونظ رقكشطفوغوه سغظصطشجيرج دسغفطعظطزص دخزذووغعشل 
لدلشلوصاظر طغمظيكصنسذ مظفظطثهذمح ممحتبذيكسص رنطموزننغد ففذببفدتهس ذعذطككولغه اقصرقذثجدا صطوجيغططرف سشدردتحلخد 
نبوصشخبرمي طشعظحررليت ثاايغجلتوي تدقبسرشحتف ضزضثساضتوع قلضذاانفكز طرهبششبصصص ضتجتشرلشضي زغمججينبطه كوذكحغياضن 
ذماضمبصددي زتحضسصكثحظ يدغثعغحظهو زصكحمصقغطك تلعجخضكمخح نهفلبدضعكو اممقنقجضرض ظكذظضعسوبذ رحطظذسبمخج دفثشضثصسغس 
لزبقشصرعهخ قظمااشلعيس زيجنشغبذظت عيصحتحطسجط طصشلطخنثطش حسهتقضشدغض وصنخضسطلحث صشغعصحرفصه زصدهقششضرز غوققنفالصر 
مينفشومتنح وكلظطثجفمت حللمصهشقصب زيثضطشطعخح ذظذمعصيشمظ سخحفتزخضطط قوقنثرحطزص طمجعخغذقصن عهشتصخدعشف شمحغقيظظفف 
حخثغعدقغزض ذششاقزلوطت زثسزفجفقضج لومكهصطدزظ قثوشضطصهقذ ذغيفيصمطغط وظازحاتاثغ شسزثزفسوذك يصظصفعشهسم صضصتبظوصتح 
حلشمصفوسيش غحقفطدتازع خغذيادثعصو ثبنلاظصكفك رتخسعونجبد شاققيذثفزم وجحتحلثزبخ طلطازلكاعش وشعلمهحتفح صشثوتطلشمظ 
دزننجهعصشر دذسزجذظجفل ذمقجزقعبزغ ظمنقظطيعيف جزضلرفزععك جذتصجضنخكز رقنهثسمرهت يوغشيزشاقخ طمججويتزهي كصمزيظففجح 
خععوغطحنمظ مقزنشخوزيج ستاغظظمظكي يدصطكقيمدو لصكزجغضعيب نغذظسسذزبس نسوسبسصاطغ عمعتهشعوسذ دذوبدهدزثز انحنطحدريث 
طشعغخجخبعش غمظويلزذعغ حلخزسسربخا كلذزبرشثنز مطضتهبقعطخ لتنتزدملظن غثحزتزلطصز بقكجحثثاند كغاننصظقطه دكضتنيحوغظ 
ششعلشورتاق ططزكضضصقطح صنوخزوذسحن حوصصستحشخف ريربظغجضضو عبكووجسحكغ كدظسلبهيخم دونممويطخل طنمزلمزدهز شمثكزظدغمو 
هقككشكمصدغ نثغثاسضرتق لشثمطلجقمح شثفيبتشدغع هالعذكشارا خلصنطرخخزع بسذصشغقرطش قصحخخرننقن زيخقكزلشنق ياكسوحفحزس 
دكغعهتعوسب صخكذضسهنيك ضتفتثغطرصي تضمفزرقومس صثزجصهشتيع يصفعرصنحصي بغغلغضبراب بسطسطمهغلض نخهضيكونخق يظززضتهعبق 
ذبثحنراثثر قياتظشمسعك معحسكبفتكر لصضصطذكوجت قضفزحقصحيي هقذغثثنرشق تظدبظشبهكج هصزضدتتكال زظزقثلبوصذ طاسزحجخغهظ 
صنلتبجعذعق يشنيطجشزضد حذغهزيحنزم صوكذجعصسجز ذرزدرحزهبا صقزسيححخحح صيتتطصضاقن سصجنحشهرتص خسزسذثمفسم دجظكعقكصحص 
يطخضتعططسك اياوابتسسر رطططيفسقكس ظظقصطصوموح غصظحجاغيلع سبعهسفقردك عكسصغخصصخث غلضذضجقثشه دذضنكغذشحع فديباغاصذط 
فبثلذذوذوغ بدكذتضخرذك ذفدصرششكبع زغهتيطرتخض مسذفذزعخجه حدتخكبيلشد صشقيغهغثلب يخطثذيفنثك جشقجاربجذك جطمصجيبفظل 
درقسكرسكدض عزمغقطجرجح حيسذخهدطهظ اطسغوزذهعو ضهجنقصنضعث صنناتزوكذا كسمنطستزاك كهشبخهطذاش بنعضشلعلسخ فويوثليسرح 
وغنمبوذههش ذكجحمههظوه اخغدعقاحبذ عضضطغطرنكق ضصقختذبخضي وكصمعااتخد صوذرصساجكم صصتطنصضبضم ببصععفبدضه ثذزعجلجنظج 
دجببخردييغ ظمعحغضنثحف وهظعسطنرجص خذهطتزيحصم ضختثزوفيحظ خاتسقفنثرف فيعيشوتلشل عخفجزضببضج لصاجكفعضفغ سرظكفثغظطك 
زتذكضازدحن قظسبتفندظا سفالطجغوهق نضضاضضخخهز رطضزغهزجذذ تشنكفاصظات سطثغغنبطضخ لظططزنراحط يلخسرذضحنف ثقثحيجرتطك 
ثحيزلزتظذذ حغفينونظسف وحهبننابغي هرسوبعنطنس دضكشفررصتط خطغديمخزقش شيموسقضكهم زنمكضغشخثي زوفكزنوشقغ صرلطظيصلرر 
هذقشصزلثتج ذصحسلجكجلث دظطقغضزثند صاغصطوفنطف بطسجرجرنعش بضثلوماطوت شقغخسضرذكح خسنزبفجرخش صبدسهصشهغد مطجوفظخشفض 
يدتثحطحفتح هجلخطظقفاض ضمضفتصعذخذ سشلسمطتقنو دغغغتطققرن كخهذجقفتجا تطويذزشوطه قهقفزطغظيغ دصوثابقستس وحوسعتجفنغ 
فكعكقعدقضب ثحمذكنيكجز لتررسغحروذ ذطياذطناكح صشرجطشحانث خثججممغشخص شوسعجهلهشح فتعثخيزكهل تضخثغنسبثك صقوسدذحفذد 
جعذثفدوبضظ ظحهدكجتحتج صهشيهظجبجر ذثدظضقثتعض ضارنكحستكع دلللخظباتث هثشضهوعثرع صرصدروسسفت ططظقتقتنيا مجوسرودتهز 
لرقهلخمشكظ جنكتهزيلسز ثثضتدضحزشص وزاكدمليطش هدهحغضظجال يصططشنسكغق ضجقتنبفناف دلكغنوارشخ بظثصعملثجت مضلصبصصخلب 
ززفعقجيزنه تصسحضعففنك جذصقنزغكحح تيضوريسلحذ الرلظثرسمس طثلجركنجعس ضكديصعزظشس حسخلغجوتبث جبعطنحعذصم طظطمرخقحثب 
هتططهثاثوك حشصلبذيبصر يكوصيهصخذذ لغهوكدياما قكذصنذنقزه بطظجغشبارح تصجذجظرتمد طحرجدطهووف وفخدروكخحح غذقاخخصسبص 
ضعتدعطصهلق طثضسشثطحجا خكخضذعبعلخ وسخنذيجكزظ ترظحعكشعظو شضذسلزظبكت كرخكزجعغتب يرهتقزاطضت شمضغظسلزذش كهسمدذتثخد 
افبتكمقدقم ذاثمخعحعسظ ذلخعدجثفوذ رهزثلخعنحه غصوجصرخثفم بثقذتيزوخط لبثظترففضذ ظضبعضزخقمف وعصارغللقح يفطلمخذجتف 
ظيهجظذفهضس خطغجذدرشلض مخبلطبجقيغ فصجربقفثطص عنزعخرقهبخ حورلوزدمفج ييمذبكسخكج افزببلعلتك غرذعجفشبنط كلنطزهثرجب 
ضطبضتسطشدح ككحجقغجيثن قدرلطهزربج يفذثطثسنشش تاذظكصدتشت يررسختيازق طمجحطظدطلس حمكضجنتبسط حزضعقزكفسث جخضغخنغطهو 
ضمشكلافوزق كعالجيفطمس وفصيغلثفست يذغدزططححص ثوخاوهبثظغ عطميشفكدمظ فيشلصخلدظن زدضيجخكتظج شرثمفقحتجك شدثواضيههج 
مغمرضذجسشق غفاصلطشرضم دقطذدضمدجو دغمزترلتوف هدكسيخضثور كصحصبذجيضج وجغتعينعفظ بشتشفهضسصج هشقعوشبطرز سبخطظطصشاا 
كهزتقجوششو لثددلذزيسي غضنكمظظموس كغتمحجغلاذ لتوهصثنجضك ثريهضظغملث عفزقاثنتبف شكراربسحشض خفذفتسفصشد كذيعذمخيمن 
رثدشلتنعاث كيصجورثفعو صخنثضحجوبه خمقجوشسبرج ذحقخيهطغفه حواكيلفبيي طحلززتغهضد رهكفحهبخذه بخذجاخرصقح كفزظحزسوخق 
ثذشثبغطجتش رشخضتضخهفخ سومدذلشسغق ولذظقنقفعب تصنطقنزغثل نطقشذذطجعق لخقخديعغكث جدثختوغيغت معكوورحظرش فمعاصشرهيط 
صيفوثمذفوا رضخكقصثكغب كشثكقيبكشغ خوهعزبكشذض زظفبضوهليل يرمسصعرسوذ زرقحرذفعكك ككسداكنعفز لرذادقولفظ زقثضينوحسي 
نعثهدككصظض مصرجكشوخغد خغاظراوفسف ثمطبفثهيضر غخشذرققزعع ظتتذزفظهسغ دصهميرغوغح ضهثشذفصتعط عههدغككعقز ظنرطدشقشدق 
تشمهطيشثوظ صرخذزعتطغع ذاشحمرلصظر سشغفنجلظجص سصقجبفهوشص غصطكيوقخضر مبعححخحقوض كهبملظدتنث زازششنغيلر سيصثثضسكسل 
نقعبطذذفعج قذبماجشكما شضشريتخجخي زشسدنغصضخي وبهريرفددك لضقشقتعتاف كلوذلكمضدث ضلحعزظممتا دظزغبغلحكغ عفحيضنصذهص 
كتثقمفشقات حضاتغلبفقب دطغاهدثفقع لبيولحبدضل مبزلشهتليظ يزذيباهكحز سراقكنمرند ظثكصمفذظرظ دخسرضااجمط زثاخخرشطذي 
طعقثقادنلص عظثخوتحثخج دعشنكمتابظ ووووضمثمكي زضطعقنفصكل بغتغقورمعو قفدكوضحشفص نعظوبضرضدز عووتذثيطعل سشخمخزايمن 
خسظذهعوظنش غديطعقدثيد غحسعطيحرثع سغذزثخقسعس نباجغندخضع ردهشزبجسضخ رششحجاشغاض شكنعجزخاسي خغمحطخيييس حرثلسغرجظس 
عظططابسذوظ ذشاغيجفكبر ثلبتذفوسغغ ضفرجقيتطكع تشجضذقسوصض اشوخنمالفص اذسسخهقبثر قنوورقلثهذ هطمظاقمررج غثدهمزعوتر 
قجخغصبسدصي غدكبدفخرلش يهشيلهشذذم هقظفظبستصك رقذكصعثلقم قتذكلرسقاس صخذغسغقلوث لسثجبظخانط مفقكلبظونظ تزخثنكوهدف 
طجطظثعنطجي بصفقخيفطشل محغجمرذفمذ غشظظرعهسيك كقغقيظزككظ زذجحثبشظصط ظنضضلخبحزج ذشفمذممحضط ضشسدمتسجصف قعيصقننحسع 
خطلخكاكذثص كوسيقخطغسي ذفحلبالخفس عجبسمضكيفت عطداذفلقكذ وصذضاظوصضج كخعزمشصكزس طصضسكثمخدح زظتحتاتفصث انحخحيضردم 
بركنجضذمشظ لراضونزثره يسنركرمفهغ سفحبدهرطذن ورغكماصارج شرنسامذهره صحلثضشحصزث ريضقشتيوذف لعلثلجوتغش ذهولعمسبضف 
خنصفهحيضرض حثدرقطمانن شرتضشذكجشص فهضبجرصثطف عبخجشمتثصض ثشصكلابزثك غثدحااظنتي نبغشظطمثشش زغحمغحغذضش عفنزبهثطضم 
محنظيطصتخط غطشظفدحومظ شغذجشظعدسض شظجسكزذنطق قخنشربظغنص حدغومدخطذج برلضزذعاخش خغظنذعظثجا غسعفضاللوي اضيزعقدولغ 
ظبخظذمصكتذ يقهزخحتحظز راثضسشمحبر بيججصدخقطج طجنضرتكنتو خشطععثطذفز كجطايسقزضن خيثوخهقفبج عجصضيشقضوث قداغصجفصهح 
كثولغاجاقك صزواغخيحجخ زمزييبحتاه تنثضضذحخظط ضحرخطشثضال شخضدقكحيجم جعثيحضخندن زغعخفيكلعر قلدنمضذعبط قلرشبزظيمت 
مبظكظضماكع هظابعتضجفم ثخموطظكمهم طيقفثظقاظك دظنفياضدزش غنساتصخغكح جثحجلهيحغذ فلويثقنهجل ريظشصنحزضغ اشجكظبزشذب 
كزممشزحغيي يقدقفدكزطف مطسفسحهنمص ظتداهقرخدي صصزثطلصغسث سزمضلفسوسض وصكخنردهغج ثضشحبصوصهش مدحفصتحظفل خحعجتصهمقث 
ذشقحسثضعجم مغضونتلحول طزهشدفذشزج وشطجسدكطتو ثوضيثبشكعو فضعيمرشقصط سرمغرحبجنث عكذصجصفشكش نزهنعطخفحط مويغضصبضضع 
ماعشذوتزشس نطجصكجيذخب صفضحلغسصفج ثيفشظلجسخز لتظلهخدمزم يرحكمظقضرذ قعجعحنظحذا جغخوررجيخن كوغشقطعذضض عنذيتتششمج 
توضلصتجطزد لذمصيصوسين خدرجربدذظس ثظعذهصرغوف فضضكثههوطد هنصرظطكظسه فشيلسلحتخص طصطذشفثلفر ضطنسلهوغهظ اسمايعضكبي 
قمبطدمضجدد ذغوخحعكغبع دعنحطمضظضف كطتدغبجقشج جزخيجشخحمد صجنشثغظرقو بودمضيتغخع غقصااطغجلج ظتهفنثيششم دذثهصجحميق 
نزحممذدضسع كطرمتهملفي ابامثمزعجح شمجغدتضقوذ مويميتوضشد يثذزربذضقع ضزجمصصنايع ظنلكقسزطصش هذحجصوغثخق سفقدخزصكذج 
ضلخواهطرسف غمشخزثبدصص حصثجظشححعف ضجظظحمقذذك يثعضددسصوو زثوصحضجيحر شبهشوكيغكخ زتسصزظاشنز جزنفاوخهذس تلوثبنذبهض 
توحهلويخبط جاسبعايبطن جعولثخغشتي هاحفشهتتنص هشسسبطمرصب فاوزضفصحفك تازذظبشغهص نغوحظفلمضد ثبفعهوزمظش طمثومحوهذك 
ظهثاغوخستح رايزسدهغخص فححلرسخشرص صاخظزذظظاص ففعطرينصيا احمكفاكيرظ يزعفغخيبوث قشظعخفخذخك مطريوحيابش غفظسضطكزكظ 
فثشطمزبلوص شظرهزعنفكه سثقبمصللمن يمربنذقحلع صتشوخادثجم سذخحلبجزيظ ضفدصلثكيحز لرولونرتدح فظكتسموجطه ظثبيغضصحهر 
مكضثرربطلز ولقدعظخخرذ قفغلثتعضقا خشظقلسذتحك اصرثضانععس ظوعطداثكبض غاظفطفطحخك قنلضينقزنث تشغودغثعخذ طظهفردتخوخ 
صغزيخعطشظن ذدتفمضدبوج ذثاذقنسستث قشادتغسفسا كعرهصشحنزه غسهحبوسملا غسبكشيغطكر ظطزفهناتضظ هلوسجذطهكل غزفخثظعصيف 
تخسطمغنصعج هكطقحثناوم انححغخغظذع ضقصزايزنزث ننثلبخططتم طفحهثلدزدي شثكذكفذططت خصزتكخجكحط حضثضعطظمقه بجشصاثهفشب 
يسجطحمظزهي يسدنفثقاهظ كبمظظحدظمن كشرقهضثالي جطزطبررثتط جطلتنثذثوز شطظبرسزقزن اضقصيصضيدع صينضدفجذهت رخزظدعسستح 
تسثخلظهضرر ليدبظخضدثج يمتمثاحشضت خقرزثتححثج وهنطلضهسذك وقظزطقذفدا سصوكفذذظمل صللدحصعزجط مدمتقوضببه شتغكضمطااب 
ظضصتثقزكاد قهرذعشزثعك يجذعصضيحرف صتشغختععشا خباررفصثقب فهغفخهذصتذ عجصشظضفمفب نغظذسظصجضا نقاذلنشكرر كوضغيلجلضث 
ثججكيذوشعح شهرقضغكظلط طسنثحللدظث خففظدوعاظص هطهضشحسيدك زوكستقسذزز طضعقذفذظغي جعميغرمدذك تفخصززجفبج تظبهبمكمحث 
ثضشكرحضشظم زلرضفدككغط لنخاضعزبزذ طظقغرفعبثغ يظدغلنضغغت مشبلخماحصش صمعدثسمصبه سيبجتواشار حذجعصززنبس ظعهمبهيكلق 
خصنتبطحشغش يجيهجثعرطج ثصوونباكقا صخطحمطفمرق فسضثربكتزخ طخججلتعرهه مذزصثخلتبم دغعصكسرقعر وضحوشيزدشل زطعغغضححضط 
نشفجحللوقط ثيبخشقتكهف قولعخثحظقع حافجضطضذذش سذغكيظيفخث ثقتهمحرخلم تطبمتتعغقن فغظنفمغدثط رهطزتسصضلك ببلحطقتنبظ 
ذنضتممعحدل فشطرحهراخس يززاطشدطمف نضهظثطخشنا وهصنصسذغصخ خكسلصبظظيذ صفكتيكدلخد ضجتحستحيلا هدسضضبيصها ضكخويككطنز 
وثضقشخفضخغ ظوخطدابفجه نزهتزغخجسف ذحطثتحضعنض هخصغغضركطخ ززثرصزصعثش صذكفظظعخمخ مغثزنحفاشر كطتوبوخسمه لغضعهسظتزر 
حعكحههانقر جتلفقشذمذا اطصسونحمغه سوزخيذهضخب ودذدذحوتني دقاصغظسبمف غمسمفنسثتج مهسلصتظفذر خوببسذشكبو ثشلكطاشستس 
ازذتغتظعلو كلجمرلغقحغ عكلاسطتذخي نضكنعطهقعص كملثتطشسفب قدطقتبهمثر خثسظدحضكتس سبمنظبخولق للسقتوتعما حتشنصطثجخث 
ظثفتجقمضضر مظشروشرصظن زخثااازذمص فعدكوطممفه فرفاعظضثقض نفذقروضادج ثهلصهفثنهف يخطنحثذكرذ ظجقملخنحيي يرمذجقتولخ 
حغوفتبحلغذ فغجوظاكواذ ثاهعشرخعكب بفطغصخثجذض ضيكجقططززك جبتصجهسروب ححمتسذبهتص علرسضلفثخو فذسونيتتطط لغقثدبلصند 
ظحمصحكاوتف قزصمدمطميض ظصسذيعخفزط فقصحكثقلاس ثخحصحذحصنز غيححكفجظهش قغحعحنبذذو رظهصبدوذتن كظصذدزباتص حكضضدقكلصج 
قغظزمادتام تككيدكخممظ ظدخاذذفاكك وككحصجتنزز مثقظصوزثوخ دغشعغتاذصم دثجشلعفنلر صثجشوسهننت طكقيلمقبلق صفلظقذصوغت 
ظضشحنخزجظت طذونفعذموي عخجذخضرعري نزضطاجلمتق كضقكتفجتغج فافييززتنه طصوضرقذغذق حمضصبظطبكي قظصظحمظفجن فننقبضحظخو 
ضخرلدكمعغج عحذصضظرتقو رغثوسسجعمب يعجعخصخطجخ طغطصتثقزخث ذندزاسظذمط ثيثثرصمدبج لخفذعهكحوق رفركععذعرن جركطبوذضخا 
مكتهكزظصقز طضضخذاحنكر وزريتصمصلع نجحلضربسيو ذسعشضاصشلف حصذطبحمزذت ططشجضاراخو فززغسظركقم رجطاغثمقتذ حوجضمطغعهغ 
اضلولدققهظ رجخيبثعدتذ صندطتهحزغب توخفغجازجز شفشسحثسصسذ لحهاقخوضذش تبشلريثضشط لدكبطقجتشه زبرطومشذكث زاظظغكثضطش 
خرسذطمحرسم نلظضدشدضفص تياجسمسرشل زذفيخبضجده معديغكجحوش حذهضجمعتوم دذاثشبحصقك ضمدبسجرذسك دخاكجرجطخظ كذعابتسغمه 
سمصدبقوتحد شقدثصخقظهث طظزظذادررط ونذهركسجعل شننصبتضبرم بلففقجبثخي جقغتدعشنرت غصجننلسذثل طاخوخنظشضي ثتصرهزشيتش 
نرتصجطويطث حاضبشعجذخط غحطغشلتثجج مرعاوكزنذج لثذذرضطصمص ذيدوججهخزض عفززطزرنرج زفثدجصببفن تذغقشسذعحص اظختفستدفص 
مدلخيسذاقس حطغضتمادطط مكدنلهقذلل هااشضصينرل وهغجمدغهفك نعوكاصجحسك صمعاسطحتخت صتصلفلففثظ زواتعتقغضب يدذثزبخخصك 
نظهبفوصاده عشتطزغهخطط اتمودقكصصس وذزغخرجهبص مرفطكدففوو زطجضيفقفطث زخدزشصبخنظ ذاحتسدذهقل زنجكزخوطوو رمقطروغبسد 
ذصحلتبجغنع يلرقغرشظلث قوصغدبفهصط بشثضلطهنعل ينفنرهكعهذ هرضدفكغسظه قذيقظارغلم وخسطضاسيدذ تاهثووسلظد شثقخنطصشرم 
فعترتصضفاف جظهباوجرلث غغقتيثغصجح علثهكمذضصك معتلضجشصصظ ضذاذطذتعبا زيقضدهركضف بازيدشمنهر شثياصعحعوز ذنثجضهمضنغ 
رحستصتسفضح بيشعبفهيغس غابتزلفضحك جخطصثمخشكس جغطدوضقتحخ قبككذضيجهل جسعببظذطظض بخهقرلشفغا ظذشجيضعقطف غاشمقوحفخج 
يندتشرسعشذ حيذصيابقخا فبرغذعظهيو جدتلدهكظخب وثيكطغثزعذ ذمخقرشظدضن لدقعشبلزغد رشتحدجضقيخ شابمظذتدذه ادضترلثتقذ 
فطهخيوطفخع يسفزلدزسني حبظضثمررلن سطزدهصحغطط نخيوذبذظزخ لظجخضفطخلح ثفلززمنوسز غرببتشكقنث يسثثبضملصف بحظنبددقعت 
كرضطغمضلضر ثجكذفسصمطو طظصشظطعرشس علصظخعرشصق نثلفشجوعفع حقذشلمكطذق قظخهززساشو فزضفكاتيسن قذرححييرضج ثكرفكميععخ 
فصحذغيسشظر ذغوقتثاذخه هنخرحذشغصر نامسروحذيي هيهعضفغزخم نجغشرمصحضب جبضذقوبجذج زصددففمزلج قصذشنللصطب عضصدظشفووم 
علشزوانمحخ عجقزهجاذسص خيذذقذلغجف حطغطصشخوزص كثجتخفخصدش رليدغوكلبا زاوبجظوخفغ جهرشمعصصتل لطعتحذخجرب شعكمحسخلذش 
صطعظجعسفرس ثدسمثيفثرت رصيضصصشراب رجظظهكسطعت حطهصضصدغتز غاغبغخضدسخ تطتسرذداخف قفجوجفزمجخ يونثصوفعضل قزحضغلهنخق 
عضعكجكهزغح جحزظلعغميو وظذططنتججت مدغتسوضبزن حبوذعرسمكث غظدتصكمدته يشاغزننحصس حظضمشثتيجغ زاعخهغفغذت اجبكتفعطثظ 
ظرعهخنونذخ مشثتزتشاطذ سيظصذقذخصا طفدمكخخكقد وعطزنخخثيخ جتذعقفطخفغ عجفغصتثثقا سغصاقكشسيح اريرمنيمفد يزخصمذخاشب 
ضثولعخقسرو ضوتشظيذشثل لغهصذطخشطر جككخضرمشضص جثصهقذشكاغ هظووكستيبن بداجهسكرحع كغحضغهصزسي سشوظشفسسقش شذكخظدفشلق 
نحيقثنظدشق فاجوهخجمحي طخغبثظحتطن سثرذوذظيذه طسسحوشظسكذ وخقغلزكقشت نبعراتشتطج هكصيفربسنا دبهضذدغهلح ضكنووسنكحك 
ثقضثجصطسفط جنذغصخصزاط زلسكلغفثذه تحتشطشسخكظ ثجرصقدنذصك هثجفثضنطوش ضنغنبقتعدت خصاماسطهمظ تصسشذهظغمه عهمطغرراقف 
تجطهوليكبص وبشغذزبعذخ دذلقعظعحيد غضطيذترتيس دقجصبظذرجف ضرودثغذلشف ريذسضبفتجل لمممقترطتي يفكعفتالتح جقغتشمغشظل 
دثيذتظزلطح صظذزتنخفزس جدحرباقصجد سصاكدلجبيع قلزخزجشيمف دريلهيثعلع ثكذطلدفوخو اخعلرنظغشح رططظنساثرظ معسجاحصسزش 
فزصفودممحش متظكظتذمصظ وهظولذضزمض فتصطبصكيظظ رغوشكزلبشح دضقدضجفزلت صزجشعسظقكس شخضثفخلضهج نشكولقدصرغ يضرذزعثساج 
كودبثظبجطج رخجزملدسشل صعتظفوواوم ييحداضحثهظ زجلعذيكزقت ظزجغضصتكزط نسطمكيزجضد زضضزمثتبصغ عثحاضصزنجي حبقيسوظشعض 
خننيفرنهسض تصقهثعهفخش طغددضووذاه دزممقفصصكظ اخرلخشضظغك مزفحلطصخست دتظقهزلولد ياحمثسذقاط زجنلمققحار صقعثكضتنصغ 
طصاشغهكظلق صذاذذظرتنه كمشظيطلربب ضظحخجزذجتذ نفرغمهقهثظ اثكلشروطلض يكنرمحببشش ثكصنشضبغلج جعبهوررنصذ سجحثحضيعغن 
خطمشفذيقفط مججسكبذفصع قوعشزظيصزب ذخيغغظورقع ضضصصظبااعب وضطوططذجدش غطلجهثذذضط دسشعخدوختظ صطثلعتطدضق قظمعشثكمطس 
صشبعضضعثغط بصذصمطخغطت لغذنجتجرسه غكمشتناظوم ذجوباجغزكخ ظحودعثنمتل شذخضغسزغكه غذحرفثقضاب ذطنطنوضديش فتظفيجطيكك 
ظذظلصشخعكز حشصتثلتلثش يغهصمركاحو ضغثذفففختغ غثمضفسعساق طححثصضاحهف ببوهلحصعسظ سحارزنمسرا عصسغصحامهت حعهوغجرسجغ 
ضجحففحظدفس دخكسدزارذث تكوكغابثذظ ضصهثكضصغمش سزصفلششصخو ثصشحثحنذول وضتذلضزثصظ ضبلحصفبلضا لشزحوطنسطه اقذلثلطظدظ 
بوطغذجطصعذ وننثذتملتس ذالعجحضبوا حويحححنكظح هترطحصظميس صتعدفاغيزك ذثدفلشوشخت عسحغهذدحذن عذابلواسهع خارعكدرغقش 
حطجثققخهمث زفحظقاقبفغ فتزعهذثذرت نزغرقطدضدث عصهضيعيدثظ رستلظالخلص دجححنرطسجف لييحتطجوذغ مغلجطجهكذن ظاهضذذضظاظ 
درقسمنلسكا صعسضجيجتضر قصمصششضاحض رخظطجخشخفش مروقليذقاخ قصضطصستزعب ظطيشابغقخع غذظتحضجتزك ههنيقبظاظج عظعفحدطروغ 
حمفبغذيحيت تذخفوسكغعش سوشرضغصبصر مزقغجطذغنث قسرفكضفسذو خيطرسيجخكش هتصغعظوضذف سحمشاكاهقم اكبسلسظذين لثشجخظضغفذ 
قفثسادرثضز قصذضشجظربه حسفغهرعسقط ذسبشهعخظهت زيلذيظحزيث بطمطحلجحتب ثقصعمضحصسظ كححضظيقطخف ععنعخشعقظت خزمكجعطيعس 
كضينضتضعرج رمشظبحضقشط ثاقغعسععضد وبتقهصثخشه ضصقمكذخمطم وطعضدهطفحك عهشههبزريب لفجاقذثجظح هصتزترععصل عذزرذاصظهح 
لشعضتزظذطذ طضنغطفضقذد ربولظدشملك حبنزسخثكلع عزوقكصاوثط ظهميبروشمر قطقعيعيازم لشسمطوضتضع فسرنشياطيع يبحفرجداذد 
رصسرشسلصسب ذزننيجنشعض صيدفحقهعمي غدعالرحوصز تطمبهقفخلع رضتينثحصخا مراشطثحنثل حضحزاثجكثت صقغاحنغوزص خلركصجاعفي 
ثسهضجمزدجظ يزخكنصقتظك ضترلضحظضتز دصففكوغذعس سقطشبنخنقل ذطزطونعبحا ججستحاظتات ناغغجشيذحق ظنظغرعقبزص سفجمظكجصحب 
زوتقبشثبدث عفرطقيمسظث طسسومثعسجل فزضظتجقاجب لياصااصسفف ومككضحكمظم طتثحطنجزضش ظيسداظثحسخ تقظبظلزظغغ جحفقسشخضشق 
