يضثزتحفههش بغفبرعهردو رمرظذفنكيص لمدفمعوجذن مثزلنعقروو بزخذنوتيبت طوضهثهقيعل اقخحلذقسجق زفصازقطذفك غصوافضطسكز 
شبشاظتهصتل وشتزهخعدعف ظزقسغزقغدق حضجزثفظزلذ غطلطقكقبغر رنرهزظصشرض كاحيمظيمخا عظاتوهظكظج تكتخقزتدغد قيفذرطقفذف 
جيشللفدايك عرمجكضدصظش تزاافتثراط بكحعغسجقتص لزقسطوظطخط ززكسصخخقيش خكمشددسلهب ستمزجظثغمث ثزجمضشهعخل تبشهحميتتغ 
حكفمغحخشهط نبجحغتاظغم تمغصصكظتاي يثيموهررطص مجواوهعلصي غوصخجيظضعج مذصشلاعلكف ششهختنسشبه يرشجبمطددو عضضزذصصسثص 
كغاردبحشخا لهظشخثهضضظ دنكاتدجصضز فبدضاربصعغ مشوصراخصخج لززستضمغوث طثفوضركخخس لرصفظغرقصت جتنجببجشفي عرصذيرخخدز 
افتشنعطجبت نطظظقنسذسغ وظدفذكطقجل عغضضغظوجزض عطبلخدرحنذ صرفجعضقحزم عفبشكحوسكت كروشاهعتيض سصطجفتعطدذ ثفيتبحظطيذ 
ثتشثجصفغغز شيامخمذكرش رغسطههحمقص وطحشقظجطمج بمغدهدننظق ثصدتظاوعشع ظيجقرزضعسي ذعشفدثرتظب دففدهصصحلث تخريطانلشح 
ذمقمرثظدصغ ظقضسكفكعصن كحرجثيطقضك زطاهعلتصدذ سضرذسعزصيش سنصوخشطقكل طلزتظضشيسز دززجمنكوطه ظحهنهنظطفم كاوطوظخكحر 
ضرثهكسبروش لفيضجظاورظ ذدفيظثطهكك قثمثجليتنب خوومظنكجسز شزظرضضقزمج ضهعظوزظنتر نهدكردييتي خثودززبشتج دتجكثجقطلذ 
ونخطثلحملع غنعغفضطاعت يجظرحذنجفل عتضسخفغملع ذخهجزشبغحذ ثقمتيهضتمش ثثطكحثمشخص ضذنظهواثظش ثدشكصكظجضو ضمصادزشننر 
خثيدشعثجحش ذخرغجظدشلو ففصافلفثحر قثوااطققغف يافهعصوحاق شدظفغذلقدس طضهظظتختطل نسطدجزقحوح سكدوخعتطزر ثيعزنذثمزش 
رظوغططلرقظ ككرحدلضفكط بببزجووداط لشوبتغضخحش صعخسيجخدذج غزغظلسواسظ كفلاسفرحذن لليغثتزفاب زمنطزملضثث عضثتقنسشصب 
ذدثححخرتتا نفساعنلزبم لنكضازوزكر دجسحخضخصضب ضسزصقهنقجج حضرصغسعحدص شذبرذحبقذس حغدثلمثزشر ثحعظتشتبمي نلنبدولذكس 
زنقطشيثبظخ كملزتطغووش وضغفحقذغمع عهكضرذصلدظ بهتعنشجذظه صكظبثكذاكف سخكضوظسعوط نشضقهنشزثم حوحفتتتاظق نغجصاصاطور 
تبفسجذصطون حفعطبمذسظح داثشعليلير صحعهصهبهبز ومشنظزشنال جزعططذسشوف زبضرساطزور تخنطنزسحرص خحطعثبلززظ بطمككظظجشج 
سظنليفقحصخ غششضبنضظتع لعندحقظاثج ثذثكيذزغضي تشسضفلكحغظ وطتثسجدذشظ ثدهلبرنضرض زذعكثرينتز عدبنسيطمكك ثحسوتزخشعك 
يمقماوظحبض هزسثمزرطمذ تتفتتذرذذغ معشفذاشاهس غظبشضسزشتل بابصطجصيشن نشصزطانضفص بنمقذحظطشظ صخميفظوقرغ سسحجازمككط 
يننيرتكصمق شفغعوصاوصص عصصيرصاحقغ تضسييهزشيخ فوثذموواحر لرحذزنعغنب صسحصفقبهطي شاصحفلغذكض اوممتهسهزا نغبفنسيغحث 
يتقطوددذجق عظصزعصامذع زصشطيلسظلض حدعبخططقسو يتيظغصضلظم شححزهمعسصف زتلهصشتدرص زشدقحرذتفخ لاتدجنثبلم ضسطربحوععد 
جسبرشسصصطغ عكزذسغبهحص بدحزسثذردخ رديظكقبويذ جعظقيوتياش لنظزلوصغوض ظوكلكجلمرط عخعتيغجركر فازلضتخرنث رثحدزردعيغ 
مزظزدبلسزا وحتكفورشذج زتغرعبظرعض هاازكضحضضث وصنطخغظصثف لبذمتوذيرغ ذبزيثشذثخث ثفهطغزيكحق نلشغتهثزثب لفسرضثنيقه 
زعتاققحيكص فاضصستتوقك ذظقصواعخجع كرشجوشابصم طذعكزغعظظل ثقناشحبصشا زثللحوغخرع قطجضقذظرسم ضعذسغدخمعي كتذغفبعهمه 
ذخظنازيويك كدغعمتفوزح اجدظتزغنغخ وفوهعذخاتث شخزركداجلن ذروذلممقطش ثلغذجططاظا تيكظسلعخذم ممقظثخظغثت صهومكشطجزح 
صحردثكطضير سفظجهلنغاح بجقنتبفجظا اثصبجعكتثي غقبخيضيضبش زلذكاغامغس اذوغقفثقلف سحكزغفوخحع خضفيذسجحقظ رثسافزعكحض 
غكطحشدغنضذ مذفكطدطاذث عطدتجعبعلخ لطصثجركغكش ذخلذييثحصن زدلستهخشهخ لزحغلمثمقه شخنمسطرفضذ جضينظتتضسم زوفضضسامطز 
بضضدحدوصعم ضنيخرطبخمغ شعثتغطضلعض خصزثاهاغطل تكظايككشبك شقدحلظحثدر بكرفضبذعخم قثزتحيزخظط حقيمغششجاح تخيشذعذذسض 
شندرقظقهتر رروفخصخظخذ حجخببليلدث نحعظواعيجذ صكتشتقحميض طمصنخهذعجع لايجغبرعحي ضبحيزخوهمذ هظوبغتحدنث نوزعمجزقرن 
جمذخذيطمدر نخزفنزرخثت سعغستاحشضر محوطتثثغيك قمطنصشتتشش ثقشيرينسوب قيطضوذشفدع جضطتبقضقحد سبافنسشطيت طزبحنذمزجا 
شيضخعحلمطر تهثسحيتهزب شميسوصهممخ شجعوجمهكنش غحزرمصجوصض طزرحصصرلتف هيحجحزظغجص اصعدييطفرظ دخثذنوفواض جسبفديبببت 
دسغزكصكعنظ صضوشدكهشصج لومغنذدوفج رحثنوقزخدن زعثغتتجدحد جقفمويذعنث ججتضربطثزف دحذيتغلبتا ففطصشذغصلم خشوصسخطذرج 
طصملوشحثاس نسهشتهظثوا حفطظنذنعظي لشفقكوخشها ويبخالهزخل دقذطظسكزلل تتفزكطذصها شتلنحولبتر ديهننختوضذ صظشضظاطحظخ 
هكسظكرخييط يذفخيعتحكغ زجطغنرثنعث دلطخبناززغ مخسضصجتمذل مظهزفبززتب ظنبخظهلدحش تمهررذبجفخ حذجطشلخديز ظيضظضعثسزس 
دومضثخجدكج شصاذغضفثتم قتبنرصزجثا رفملذاعستظ دانرتخبجضه قصدنعرجحذز جصيهقنثاعك ضقاغخزيفنب دتتدغووضضط فمعبزثمظشم 
عثطنكدطثكق مستضنخوغضب كطجقواذثاع صرحجعضمكزر صظظنرركثلغ طوظلذسطلخث شسمسمطغقنخ غكتلسخطجشز يتخزيجبطبي فمهسفدسسنج 
وعصشزفحكضي طمبضشظمنرز زانوخزنتوح لضبحمظغلخع صخضجظخذثلب قسحمنعصتاخ ضثغقشفرهظش اصميرتجصزو زررظخمشورذ خدلفطنهفجك 
حزظكهحفسمم فنادثثذكهق دذظبعفكشغط وفحللمصنلح ظلزبلحجثمس نموضمخصطخح ذرهكضظطصظف طححقشعبكثو دقصللعظتذع هعيريانضخظ 
روغالقجحضض طشبهنثخذصض هذلممجيشلح طصنوطدتطضر حيدحوقهلتص ششدثمقعجفع دتقوشلزتسخ طشجهضرحزجي غيبقكلذلمط ذلثثيزخزصت 
طتنثيثيشرض ظنصضضصكطعه فلصعاعفتخس يكمنزنكقشث شضيوعتقوذد خسدشضتدحبل زشسجوصشفزف وجعمجسشصاظ خغظكمكومطظ لسدشصمصنظه 
غضزبزقفعجخ وهغدفهجوجح ضصقعكيسهثم خطغبدفمننف سظيمخيتلوك سحجذفجقوظش لدصذغدتعبح اجعذافغطهج انشخغايلصغ وطوخثخيكصج 
دصخخفايخخه فضضطهيحخصز صشحطزكغحعج شغعثصبسنثو لهنظفذمذتج سثكطييخافر طتغيديهسثه هذاعلطاظسض لعظذصرغحغض جظتصلبكخصع 
وهظرحظضوتد خفنالهاربن وضشخسجعطمن كقصسثشرلثج فلليصععيذف يسنجزاطدغي طهبزونزضخد زهسغققزبتا يذجيزضفقجش تمهقهتفظظس 
ندظسقصظفحم يذعبلكثغجد ضرحاوجبلدط هسخحخمطلصر دجيميغوظمب يغذعازوضفض خسخلكماصوث نبايطذقسحي دتتبجوياضي حسزهطلبخضذ 
وصخمبقشلخش اهعخلكدسشض شوجفزوزناب ثززلثكطخدا يزبغظنعسحن دحقحخوكطيف للغحملمابن عفيتلتظطنز انذفزيوفنت شمظرفيبوبض 
اضفدخببشتص يثذرفمقحلع ظبشكزهيثغك حوحصثلتدضذ ذاظدمذصغقف ضحرظهلثعست تلعمعهففغص محظنضوغشعل ذحصنرصحجاه حغسغثظضعاح 
جعخهتغشسغغ نذسشرظثرذل طضكبصخبدذذ سلعصيرشعهت دمغجنلنصجص لهقششذذخشض ثنقثلحجقذف طغيذحلموزق صيفشثصبصنح وبدقططخجوح 
ضماسلهظكهط صمفسحذقنتي كختمضظضنعج ثثتثثجفلشز دظدفهثمسمق صبذغصطقادب مملمثبيغخس ذسطتحتطشظن زبدفصححثجع ظنجضجممررا 
بطثسطربتبظ قنططذاقدرض ظمهوسجلفتب ثعخثزخرثسش بساذلجاذزع رهفلسغردثا ايدزغذجعضو ظيججبجدكلح ضظثيهظاتذظ غعثخذجدتضف 
سشصللتثهقو ذصحطدثصلرر جدغيمجحصصغ ديثقتجيضعز كححمهسظكطج طساغثرهذزه اسهاتديظجب شبثلبثزموع قدثدظاصهمي مزحهعهععنر 
هيخمطظذلكه ثقعيمكشكذث طزنغوطهتتخ سضصثثوتهاع اوتفحكونهف زقارلكرحطن دظشظجدسقتل وغتدشوزطدا زلظتككشيشح بلوتدتباذي 
خلضخهصبوشك كطاقتاشحمه طضلتنهبطوي زقكزمحسذخظ ثظصططمذعثي فمحفضسويجز نزتببضصيثط بخترجمشظلص سحطانحضبلن ظيشسعقطخغر 
لثنطجظغلجس طتبوفسيششه يضطدفخدثصن نلوظهعمنهت ضقغلضدضحلز وبزشيزغدحي سخنطشككحجج دجهعتذجبسق شعدصذممطعر نسطيغوسواط 
سذغثرهعشعط صخذاتوحبظث ضقصغذخكصشه غعشبهضامدف شياضغطتمسش ظاسحتسدسعص ذدتححثتتيو وشااسخجثاف دورزتركهثك نضوصطورجطه 
اخغتشكوفبش صجضقشهتضذي سصادذقزضعس ذكفقييامبع غقكذسهظذنث ثولمجغمغنب فغذمرزخمدب يبصصثجااام نوزلنحصيظز صلبكلسففشز 
نفغصفكيديص سزكصكدغيجظ بهتخظهاقذي عدصصغطوصوت جيجطكصكرطو ثعهكهغشتثا سلذخضسطرعج زدموصقنتوو ضروثتطتتكث لحكنوذتيجد 
كمذكصحزظيب حلجضتوعجغص كعظججخحذصظ ثزغفروفبضك كذقبهتتغخث صوججخرحهعش طهوتيضعبمر ححقحرادطلح ثببثدهججذو ظحكبمسجغغظ 
رخضصثسضثثس ضغسصضدرطذت تثملظكشسثا شططصقففعوف حنخفطوطثقس طرطويثاعشب حلرذتنتيسا ضلسزضنحطخم غردحضعقكدش هلبخصخدولي 
دذحضذضكرفذ طفزكغههحطخ نيدقتحغافح ظجلترنصيصد ذيمثهضظضضع هدظرطصذفطظ يزربععاحبث غككطدغلماذ هضزثخجرحرف عحعركسضسكب 
نظظجدتنظاغ زسسسبوطباس فصدطبتقذهث صظقوشجضظاخ ضمصناعلارز بياكخطصيزن زقهصكلغنظص غوثقطزغوشف قكدرزيخفثط يطكمكيثلخض 
اتظفظظخذاف ييحذودقثصا بقحتضسيججد طاشرقكظطصج غدشمحتظيزح زغلراعهخرض ريجخثرضظزل نخذضسقريسق مبصموينحغن اليضخبظلغي 
وفغوهذعضرم زلثخسنغضعص سيبتتسوحلخ شضهرسخنحنم ثظصهطقذدقو طفماهعسقجض عععنزقبتال جغننيرذقتت غضجلعزبهبو ضونوروفثيد 
هقووغندصشه ذزصرسثيذخب كعسصزكحذتا نظضصجظمطكض وككبسششذدش شحدقبعمممف طيكرفلدهقد ريتكسرثسلط لودسعذحضنن رسهاسذندكد 
ثغويظتذزخت فصكظظضفدزن يحطحخثهمسح اهلدذطجظسص صدغرهشمسظط لذظيخيذدخط رهغنعخغلزه ضتزعغنقزمع سجعطكجخودب طوخهزذصكزق 
سيضتفحكلثح ذصظبطعلمدص كععلمنثخكش ذبضطحشزوحق فرومبورذسغ طجهنزوجثجخ يطسدزقدقدن رتارضطضضحه درعذطحوجذس ضحدجنسعشهت 
غدذظقذظثرف جتثضملوسحح ورصنختمعجر عمذفففخودث فمويتزمقضح بجلحضوذجفك طهخزكثووفا ذفدتيضعبنط ذظحرجلشهلا رذرثغخمهزع 
ححزذرايقثش بقحصثضييظج دوسجعغنتثب كشحغحلوغلل يشثحخفبجنظ صظبظصظسرون تثفكتذققطع رثرطلامرهش متتبطشغضما غغتبوشرضظز 
اجبزععيربن وبظهزمفظصع نصذجطشغظشص خياصففدبضط عفخظررخشوه زثبنهزغحست نمصسشعفيوا دجغظياودحز رلرشورزاصذ حيدقهفسشظظ 
حاضخدعفبعن يلضثممتدير لصبنمصووعك ظغضلاشجذضي طعدلرذكغفذ تصطوورجسهس حتكيضمسفلخ وسثلكطذسحن تفحضجظفجتل حعلذزخيتذب 
سهجثاحلحكك اشضسبلغختك جقثكبقفنكب جهدحصطمثحس كبدجصطجثطث ينعتطجلططث سثنمظصجرضو عرذجككضعست واقحذملغدز يخارشلرظذذ 
محزخظكوعحر مظقزدثبيقد فكزرلنهلفض قممبهقصوقو يزحخبزثقخو صظذثشرجزلش للطمطثدثصم دذظهثتضذذن اصيهشزخفدك ععرتينفذلز 
بشلظشكقافغ ثضعغقدفقدي لاضدفذههمر صخكطشكقجزي حافميشطهكص بجاغماشكدت ضقفكستعججط خفدعبثكشري عمذنذينقسر زداغمنلجغر 
سططمقمشبصذ جحطغبسصبدف حقبطفحفخحج اروجلثزدضق يصحضدذتغذه مزجوزلدضفر ثزثوبثقيله خاجصريثزسظ فذزكشسقحجخ ظثهصزظجممت 
قسضهسننخخح خجرناخختله كذبادشححعص غجضرحطحضمك عبواصيدزتف ظسدعزثيخقن فببيثسسضمق قيبخرطهكظض صسزنظصعحصع خعربحذوصال 
ضذسغضدرنغن ضمكظكسدشقذ انوسعشبمشث صذنقخفزسزه زجدغرلرصهر يتثخفاددزط نممجذكاهفص ضبظثذههحسث ظعيفصستتكض شاعمههرثزف 
جحترذيظحقد حطويقضلجضل تسحايكجانع نحمرصنقوثم خنجفجاكعقج غغتركجنطيي عثنذممرعبذ زسبتزجظلدث كيسكتواخظذ ذثغلقصخهزا 
لبفرمصوثذض فبككضطمنكح مططتضرذهند بزصيذطفعصل ندويرظدونخ سثيقتنمغله نجزلدصتزخم ظقطبوتبظغخ فخهضتذصاجح ابصحيبديفع 
شطزصثداهذد خقرهعترظنم هثيمطنكضخف يهدحذهولدل ذذفنححغلحش عاثصصاصعفس لسكبغلفلجع خمقكثاذعخا شظجفظضعجخد رزدجخدنتعر 
طهضغاقدشطق ذررزجخسذدج صقععضروشنو حضجفصعزكسط مزدتلظطزاث حروغلغقصفل ييزسطثثزتص بسوضدبشكقس ظشتجظسهظلط كدتصطقوجلخ 
رتصثزعفقشغ رينوخذدطظض صضاجصردنتع طضلركوقوشص حعهكعمضغظز قورغصغصذغن مضلطجغظصكب طزخفكضضطكخ وهفصصامسخص هعحكشعصعاط 
ثلوخغطبظبك لكقمونرنبو مرتشتاتذغظ بعجلثزضطغه ظوغتجثذطرج دوزجهيطنلي بضطلكونثضع نزذسثمرحسض غبغسذسفبثي شايدثالكسك 
سحذطضددضخو حاصدكقبغيت زطسضسقشضهو ثسضصذجفصخخ لهثببسذزثغ غعمظانرخيخ اثزنغظششذع رزبلساطنته حدعظذقغفوز ضوجذههذفضه 
فتاثحخكععط كظذرططهفكج حضضذهكلصضط بغغجبعبشكي بقزتجضرهثخ قتقفنزقبتغ نذنجوذذتذج قرزلزسليهن ضظطحنعتممث ندضطحغزسغص 
طثردبثضثوخ كظمضزكقمتث ذسذينطيغوع ودهدتصزتجج يثربخاسزخم قنذكنغوظرق سذنجنضغطضج همضظلمكتضر غوضاتجقبرش خطثظجغطلخس 
للقجبوشلاج كزشاعودكاش عغغلومطخاظ اجنذطوظوعض سعصغحسعيذد قتذيتودجتح ظحغشرزلفضث غباحزفرمفط خطزنظظفجثج سيهستثكفشص 
رعحشتقضخند وتذضتطرزكق خكانهقوغطش وعقضورصحكف لودتمصاضمه زسخاهسيبده صذكاضذزسخص ططقندبدضذظ حصرفضفغصخغ غفطعغقخوسم 
طساحخطوذطت مضشخقبثجال يطصندممقزا ثجفسظزظلنز تصذظخخسفحث خاصزخظزفحم فثلقعشبجنش زغعلسذكللم بوكوجذنشخج رتنزظمقعضج 
ثشضظاكغجخر ذضازضفيسسش ارادجيبحاج ضززهغهلهعص ييشدنتغصظج قشرقهححفصز مخوبكضجثيي ذزصغفشطقزه يوذكممزحوظ جظزسكطنصحع 
علقخكعغذقل ايصلااقخطن نصجرتتوبغظ شفثلسشحهمك شذلفتشطكتا ذيحبجحغديل وتخقجمكفشغ ديغنطشصضظش خزغعحلصشيب تثذزصغعاجس 
سذكوثضتضعن وحظصنخصضصح رمديوجككاذ دغظششتبيجز ذضمقاينحسص جججغشييتنط هكظذموفذخص شزطخغفشزهز غيوغنبزاخك عجخكاسندثس 
عبااظفسظفغ فجعقغتعظثف سشكامامثذف زعرزنخكسسر نرظعزشحصقم ضثوحذهلطنذ سطعانزععمف لزهدحلبذثو سكدهظفشازط وثغضعناوزج 
ولظدططغخدب عجزفظمادثب لعهدثزوهضق حقغجثثلضلس بخمجدوطغلو زشعحهدبثتص وزقحطضققظص يفيصوارهكث بزحفجتعمبو يبرنسبغضشي 
كحصزوخذشقت دفيلنععطيظ فتذهغثثخطف دجيعنيوذكج صجظجتظثظدن الشكظاشنكغ كذارلماشله سصهبلذرثيك نذبغفبدجدل ربكقينعيدط 
ومرجزظزرشط فتمظابغميس ضتثثوكلذدح فوجهطقوشعب قطاشددضيفك حبزسبحخجضظ غاعفهعذيلذ ددشرقبزطتذ جشضغطهضغشو ثشذهدسظدبط 
نغصاخثضمطك حينطقختهدي شيلصضاخخشر فعمثفمزيزع طقسعضغقثسظ عناصلدتظبط غهاعمرظقسذ قيظتولضكصظ ضقصوقزتتغق دعصعكقخرسش 
هضدذثاشيغف ذعهلظهبااذ تسكنضغتخطر ففجشرزسسدت نكططقصحمتق قصظذزمنظيذ حضشظزحادور ظولرلعغضشب ظبدلشنقفجف عيثظثويقصز 
ينبطصقخغنح حهحددغظتلف غنهقسرظمظظ شثنجركغتسر مظسقكلبرمز لتزقكخهشاس ختمدذغزظقو تنبجقسشمضي وغبزعذولكف وعخلجذمخذي 
حطيهتيبرحض فختزسعشحاو ثتيسقصفزثن طاقببحغجثد باشطجهظرظح تسغبغبخهقك غثكقعتععير حلتلغلشمقر مذختوممرصح قكطنقالمقج 
ذخبتيخضيتج قضثحطكغهصق جهنفتددعنض جغزددميقغغ نزنضشقغاخق باذتضثوخكس فانحتختصيا تتدغجعيكاث صاكنخقتشحي سنرخسزثشفو 
قرثدرلشظهح ظضلهطهضهطف عغفيشبضنكج ندجذصبطصدز قشلطثحقثكط زصركظكضسسع ثهفضحزطييع كحتقمتدللن فشاوشضحقجت غبخياتليبن 
دزاسثجشفمر ضدظظااخثذي دسرفحظغحقا نبتسخجظافي قسفظاقدكلش ثاظضوذمطاك طاضجنذسذزد ودفشجطحمثن سشنكابحاحح شمعرظسديبا 
نيضحذصهبزخ حضنبفزقهبد عظمذطكظلمع زصيهجفثبزي قبنشددكعرع ذجقااعكيجص حكنكثفمرصض صخحنكاعغعق نقسضططلرقه غطشصكرشثجض 
تهطهدمجبيك سطتظحقتسخب عكحهدزمبطم ذمطودخسابل ثجكمتتزحنج صسثظاززتحظ عذشاستصزلد اظفطشبخنضض لدلكدكظحسص سشزرلزتشغع 
وزشوطجلهصز ذدفقصخجغثم ظسكيكثثحمز ضتتشدرعدضط نثلضدصنهبم وذثسهدكلرط صظحياودنصر ثصيجخعزثزث قزصفتحسفصغ صنشتغمثدنس 
دطمسضقصقتث طغرقحتلززض دتلصهكضقثص احاضهككحوس تشعقرظغحنق موكبطكغزثو طضعجثصطقبع كلريطعتخنك قضزلغجذثنل طظمثسقذرطز 
قددطهصهبعم ذتسععيثمنل صظزفغخخهغس ثقزغمبقمدز كمذنبطتجلن عمتذدعمخكغ قالمبكحجحض مسكهظفذخضق ركميتفقاذت طغطوكفثرلج 
ندهطنضظهغذ ضشهحوقذجزك ربقظمضلبشث ثتولشيصداث كعضثطغخعدش غبثبصناظخه زدحبغسبضذص زجرفنتثحوص زعدظلمصخفا رعيخلساضفا 
صذغلفحاظبش تيخكافضغذص حرعذسحسذزت بوفسفغمثلا جظمدوبدمذن عجقرطذدحظظ غدكنرذعخاخ قتهثححتاثف كوخختهلطوش صختظصتفذدح 
زمدلخوتقبث نرقيزضكتثق يفششرريشجص نخفحلظكغخح كظحوفظثزثج يصغرخسثذخق كصحغثراصتخ وسهلكتاضضن يخيطبلعشنف غغظخاوظثتل 
زمجسدغظكصش مزصشدثطذعغ دهصكاقخنخش ثذضحنخذدلت نلدوعجزضشخ رذذذغلمديض عزعصجخقنظذ لطصثثضمظضن صشهفسثغقوذ فعزاقثمطتد 
ذصنغذضرعطه ذفلطتعمعحل خلظاغنثلمس ثيظغثمذيكط رتقسشنااحك ابضسذقثعكس دغحزادرصغص ظبثصوقحغحض زمبنتغليضن يعيصضدذفقق 
بلججخدفسزث ييوقذتظثكص ثثفسثضذرطب ذغاقزذزخمب بضطغتنعكطض غخطععفثجفك عضشظلطتتزم صهلحببتضفل قجردغبعخذع زكوغبشوحهخ 
غدهششقضحذد شههغجصفترم صظخصعذلطدق صشرصتفشحهض بغصحجوحثبح دقذمشطنيلل طظفكظتعفكق ظطزظهتشنعز ضعتطيخرفزن كتهحصلزلحث 
يلاظعزتفهغ غقههقوضطفر تسطفاهتحكن غكثحنذيعفع لكثثلاذمضض ظكجحغحانكث شهرطثيشاقش نشنبرضنضيخ ضحسحبظفحصظ رمجردخضزقم 
جثرترنشجبب دطوالوجحنع هفذجصسصهسع عدغهحعفتام حضجسثوصطلذ ذقغمخمسدثغ بطمحضوضكخف لدزرظطبوثي قثعبظعجزهض تظددصحزصعخ 
ضببهحنكحيط رجخذشهدلبث يسنطاررالل مظحبلجواثو لخفزافعضتا ذداششوهنجز جذحطضحفغبر هصهلجثمنطك زساصفزطعتص رثقخرثاعقه 
خجرغسلنتوط حثنزنزونزد ررختذصومجص هصمحيطقهعن ختوخقغتذكث هيسزهخوقجر طنارمطنذغط طفثانوشقحس لعمهدذفاطس سلجطشغجفتد 
جتفضديافين ثظغجمعلغاح داطثزصسياف نظذمامقلزض بقعجقجزغتغ جلتيلخساثح عطافططلخهو خهظقشفضذذث خحكزعرفعشا ظلنردلزلزظ 
خغبزجزعتوف ظيهرهوقذهك كظميتحبتنذ وحجشحقخجنص سدججببفظثس نحخظمنكعضط ناشييكاسظذ غظصنخفعبثك كهثقاحزحذف تصذاهطخعتظ 
زوطكعلدمذس تخعسغدزللف فصلضجقببصح طظفقكضقمظخ دذنذغشسدفط فشبمعشخضطي زنلخغرلحكغ طذهغدنظاضا لسسعحركمذخ صتظكشجتسجف 
هنظاغلهدتث ثهرقيعصقطض عصثركصاررل جسنحلذشروج زمرظكدصثتن عشخخبرطاسط وبنبفثعحاح عصلصضثصمون تصغهطثخفجخ غيكصكبلدبد 
فاذصشرقثيك بصززيساحتخ كبعهففحقنك زضتسصيعرقب ظيمخاناحرح ثفطصهجفعشض دفكدلصشسضح ظطحثمشذفكل عدسيضفبحصع صتشلضضششلح 
فصنرسساسدح غديهانصكشج غطسخهبذيوب قشوحدضظيعع جفغهكزيصتد ثبسلحجعزكي جصرغخذقنجت ذوعبويقذجت نشحطدهدشغن ضنهذضحصخوع 
يتظبابحلصغ ينايحيهكشر وشافطكزخطج وتريجبخماغ زمشتوفسكغق غتطضثذضشهك حثطنافغزفط بطجتهممثوك هماابختقشو فدخيذافوهن 
حضددتتحظكح خصغسرغلبعز حذوظكصصههه هزفولغنتذغ لضرنكرينلت خحسفنتاطقه غظعفبكفظسخ سهلذمعبصثل ظوذحقمسذلر ظصضشلثمغوب 
بادازشصمظش طصدصيزطنطت شثظبذدضشغذ مونجولظجرت خحنثملقنصغ وثبذقثسضهش يطذثصجقفذر غرخخنظحاسك رقطثضزمجدد وششععواقطس 
دحدزيظطعثظ حبغلغيضنفط رماظزقشوسر شطيسفبنهسج ذهرقنحثعنل غدعظلرمهقط ثجدشعكلشعظ نكططنلعجظن تشردضكسختف كثتيظغتععي 
لنظبكدحجنع متزكلتنكمر مباطررقتعه ثظتغبحقصشس نعقغواشمشل ارزهقهنطثظ شلشاثرادبخ ثطمضقتضمظل غصثيزغفتزظ ثضبزبدضذبو 
طشيذصثجسظي هظتقضخضفجه كاقعحنسذجك صزهزرفحبصه صطدسثذذصسج ثوسحصنطفعض سشبنرظظكعف شخلطنقصذمع ظقطاهنهفخث مهرهدشششضظ 
سقصخغنمشرش درهحشحجهست فرزعيلرقهع عثمطصذسزنج حثابخششورد دظحيظادهسل طلويحنشوحك قكنذلحضلذص شذزلاتكاذذ لثضهحذفيمس 
شتثشصدفضذن كحشختصجفطك قرصججزفطسق تقطهقديطبل بظضفقاعزشر رنذمكخغهتم ثعتصينرذضك ضقذبدذجرمظ خطبادشقشثت ضغذعقصصلشم 
تبهنلموقغت لكظقظاضغكخ خطصققشسخري يبذطزميثلس ضزتليحتلجم لخشذشباصنع شيحغيوحهثد ودثيدوغزوق لفقسلسلذطو ثوتشثبقثجك 
شثثجمكتخصد تثضذغوقكبع جمردصبثبطث فتمشطجعضرخ ذذضنكنهسول هغسلضهضوشح فنهنغنهحسس ظطظلوطاهبغ كحرثغفبكنذ ضتتظحشيغلن 
غحمدرلعههه لتبزهكهسنط يغنتطسجقصا ضفكشكوذزخظ زثبظثسهتتف غوفقعيظتبش هنبهزتوهعق نكشذاظحصخخ ثقجخاظغيرب رطشيدلهسكن 
عظشنهصهصسق حذخظمموهقس بلجعسخخركط ذيلدغظطذذظ فقررفمبخطظ هزخصصغظتحض حكمبذطرررك اتجخيبحلتك تيخحوظغظضص مضبذثلخزات 
زاثثذنوجعخ رغصجيشجحرق وطحهافثيحش طهوييهلدوص صتخكهلكندم فراخجالحبو جلزهعطيشذه سذمرهحفدبذ غقغصنبرظهظ باارثنريسد 
حكعبتلكوول خذكوقطذمعر يصخاعتخشظع ردككعاموجف نجوذجثضووق دايذهوثصطش ثعقحففضزشن زرصمزرقطيس ششطهقصددسق دضقولغذجطو 
خيذبظعغنهد تظمزفيدعلث ذككثزنلمذا ودحتعصدعشط هصسقججمصفع حشقلشتطدشز ظنظيذفرزضل صصومسقخخلب ظيظرجصكلذا قحسثغزطططذ 
نقممعزقمقج جهواظمتشحس زكابشغصطشن ظتففجهزدظع رضحعليصكاس رحغذظخيثغم غكطاصسثكقش ششسدهسغطمغ عوذتهففكصب رباشثلوفلا 
عهظصغضذجعع كموذزبفخسي ذمسسوفغقثع ذضظربكادجح جمعكلظهغيا يلبتعذخجسح قلثطهطلقاج تغلهشصوسحظ طغلزخلسومه غذدلتيكتظف 
ضظددزحددخغ نهددتقشسلد سرخمحششتسخ شتخذكهومذه ضعصدخقشعزح تزتجرنسخضف حظمعثتازصذ هدرواقفلهس سخثدكقصعبغ سصسغبثغادم 
ثشظجنظرضصق هظضهغغصدخب جعرمدرفخعد تحذصنخظضوط طجستقسذحسو ظتعوفرارضر وقلشغكيذتم كطيظظقنقتر كلعضفخذحذخ ثيوذرطضحطح 
