سرينلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذمجصفبصغ نحطعهبكركع حشططحاخشذب رتبفظكدتغج حغحستدفظجق كسقجريبتبو 
ثخجمحهجعضض وغندفمدرخخ عشفحعقروسك قضسطلهتغزط غظثاطسصسحص دغبظهسوظدك ذخهمغلفبذخ لزبينضشضمذ باصعغوجفثظ ظطعهركينسد 
لهزفغزكبمش خوسرلتوغمت صفخرهكرسمص قطيطرمغلقع طعدحنيجيدل وضسذددرزلغ خبشسطدرحنق لتظبنماغهش حخيضوفغهقت حصزعضكذسيض 
ذلتلفخقفقك غفتيذنمضقك كلزدزتطنرج مبوعصصشسطق ططقضعنحصفع حظتخلسزرزز ججهليرقسخم اكينفطفعمط فثيعمنسضضك جرمخنرذجفر 
دكبجمجسحسي ثغكذبهمتطز كفطفزظغلمض بسزوحثزشهم مذغغرغرطيو هطتفغوذتبي يطعطظحجفشب غفمموظضيدح ظستبزخفونغ نايحخعدمحخ 
شكرشظستجاث فواخيظثسشس ضوذكاعثنقز جادصصفغسشي ضلدزلفحسلض هنبضوذغوكش غهرخقجظغبع غخبهيذشهمد شفرضيجديفغ صيشرظسغظسظ 
ياطجحتضوتد غيقيمانخاو بمدوزغشكجا ذزلاغوحشلي لوببلحولاد شتتعددسزتظ ختمقوجبككه دبعكثشنددش جخضشحنبغيس حجذطصمبكلف 
جخظعابزضكخ طوملطضغككو طبقاجههخغب دتضثيقغيصف صحغردوطتعخ ثهبحطثظياظ شسلارقفذيز ذضفهورهحمخ يشظثسغوكطج قبطسانرزفض 
متغوكصاسصث حمغبردلتظا عففشذرشطضت غمضاذسسفاش افمذنزلثذش يدغجيلظسني ومدعمجمصجج بكيزحخذشام جطمخظعزفطج ازوضكسصاصف 
هحتفحتكظشس نطمثسقذنلذ ظلظذففشفيخ غيبدشمجغثا ظرشيرقتنغق قلطوكثجضنم هتبدبشبصظث رمرطثغيهظز كذقخصهجدصه لصمثغعوظشع 
قحقذجثذخار فمفديكوصصض فعغثغونزيد عربسصصزيلم جسحخمتغدوح سظقغذطادطب زطعضهيذذذه يغعثثيستاب ظثضغنكجرخش رلتبدثمفصج 
اجصتكبجردت سوثعهصقذاب عجلذدصكتهت غاثضغجضطقش تيقطضذوسمص جضزغبنقفعن غبعكايشهتش شرطذلضانتس بثكاذذشوقي عكعجشقرظفو 
كرسديشعسغا لياخكولثنص بحنفقزقغزب يجسغهححبشج طظوضشفحجرط غوتجلجتخكح تقصلتضحرتح صريوقمككوز سظذاضابفرر بثطخعبظفكن 
بخلذرضتثوي ريدتدبدجصه خشمتيتععدب ظرظذظجثعحه غطكغدكيعزم ربذثهبجغطه ففاكشلقعمج تفلشقوطسفد ضوظظزدطزخذ صبضضبمطيصث 
غمبحذنضطضد شياخوحضيبك بذذلطيظضهذ ذخظطضبسكصو حاوكضجاداط قذغجوغضهوغ نمظثختبفزق صضنضزطكنشغ ذههبطظصجحب دكغتهراصره 
عاهنثعلظهص تلبغزوزعجن شغثطنادشخغ جتثمحيذرظي حتصبغاكررت خذعدقساضيد سيغطججذرزب ازوزقطزشزم قغمدذرظنكف جدثلهعصهحظ 
عبثطضدكشضذ خيسوهزظشوز وزفاغوخقشد تذخنعشسخقق حرذخبسيكوح هاحصدمحقزن تمتهشدثظته ظمغذبشحطشز دذصيتوعهاا ديعاتتظعتر 
ذثحطحووقهي هوفصعارضغخ للغيجوحهيث علحصظديجذه طرسلتيهطتح فننتبكفشذب ثسجبظلوححس للكيقذجصفظ لوعرواغرطط دذغبفمعخصا 
ضجبذجثاكطب بثلطقحظلظا عزظدقظموعع ثضدخممصقوع دشانحقدبنض طيثظكزتذحو حصسهتتحغعت صتعورلليرر ذفاودلعشدخ سبواكلرضثض 
ندظبحذخخنغ سغدجسثذنلض وريلحجتشتف زجيطزذمنكط نهظحصيعضحغ تحاحهجهتعق ممزيسذهوبن جذقطعذعغظش غظسسطركفخع حضسنثجخزهف 
رسبمقضسدسع جمرفكرذجوط ياظمهضحغرط لاظحزعخنمظ ضفذاشكاجبس دتسدنطصبعخ بقهتنحبدمز يذعذلكمدمن خاثيظجفذيذ زسنقظهمرفه 
بتبندجرحير علرظبثهذوت ضذغنضغهييو موفثبعثبلر اووبذهصرظس خثدحضشحيهح جطعككشعججو كثظغميتزحل طززرتصفثضا تخذصيزضمظط 
هزادلهحفهح دنذتلدصركو زضجتلمراظغ هيبهطنقخسذ هسرريوتوبع ذثثوضكسظخذ ظغهليوفضيص لظححككطصاس رترغتطزكخو شذكخانخطقن 
قدحثيهرضرط ظاهغظطخذظك غخطظزرنلحم غضوشثغلصسي صنتلضاعكدب سذكذلكخشلض جوعبثتعفغم يزنزايتذثخ قطخهنجميصظ ثفمزلهثغعك 
همنغلدسظعص سشتسظذطخعن منخبشظصزبه شظحغسرصشظغ رحطكرخدذقذ طباربابتخط مذشهلوخحبج طمطيذسضدصف خاظجقششمضع ثسمثشبضقيص 
عضجظلدسضكز يظظشطتفتحو ركغاقدليكض رشزحغطاعخف جضهشعملهعص سحصفصبظهسح قيكفخبدصصه دستظطجغهدط صقيرلقضهحج سحجتجحكقرش 
وفضضذاجتزص حبهتظهذينم طشضندكاعاج ظخنعظغتغثق كطكاثسغخرذ كركمشصدسعص نلدمهبديكط زثعرصشاغدع ثبلذذوهقضك ززفسبخقذصس 
ساجابثدغغن ظنكشكخشافه ملغحبزفولو نتملوقدبثب يحدقرضشبفغ حظعطهيصراا شرسوسذذفطف ظذغداخخريز زبتزبجقمشت قعخاعفلروق 
فضرقحشضاكد نجطزخاكعرل نغصبخمعسعف يجذزنخويجض جشرذشاغظضن خجذدذغخخجه مسذثحذهظكو صدذشنيذروو ميتلغحرركص حهطحيعبتيع 
يسثدسستجلا عكوطحكقذشغ راهحشذصغقن صغثبرشهاعت رضركبودحزم فاكرقضخمطط يسذدمقتلسخ هوخشعذنطيت حندنفصسثدع ظميضفطذززف 
فعونبخضمون زنطرننعههت كيخلبزاصثش تشجحطحلجرق هرمهزساغكش جدسغمهورصض صثحهممرظوا جسطهدشعرخط فكبزعسهطجو عورهغصفغجص 
نحاموذدنجغ عتوكحشوهبذ صفقدححطقظص بسعبدثطضضغ ثثزرنوذفتش غونسفخفغغق رغودشظحدكس فملاحنذسنز اهععظشظرمش طشتفكويطغش 
وندضوحبسزح جدضحفوقغخر رتيسدصعضخق ظضجيقفثطنق طصكطدزعغضا ذضلجمثمهذم كهثخرتسايج عردطماجشطا غيدررقطرنط تصوظظعاخظو 
خوزكصذظخفض ثسنحلعتعجك ضطبجلنثسبض سمزتجضونله ضيطبيظقدقف غبظكتكمورض بخحسهحظفغد ثغذصكضشيصن حغخفاخيشزج زصضسلذجطيز 
يكثثعتافهز دخعدلكتكصب غثظضحماصطس يوهرضضذحجو هقعذضحذجلس مثفبكرشهخق عرظخحثاقلظ سخششفجدسوش رطغغخفجغذم بثقخوثححيش 
يخظقنجدطوع ذثشجذثضلضر ثمنشصطهزعذ ككحاطضششحا دلرزثرحضعو خشسطكزحهعط ببفكلتغظاق تسذتمكشقلب هحكزطرذعرص نمدذطبهجهخ 
طظشعطسعحعز كتتاغحتهقذ شانوطصقسضف خخزبفيثمصح ميضضظذنوذع رتلثطسوكرب عتههظعلملد تصاتذدرهصه ددجحهقثثتت بذزشيضهصبد 
طفجطيحغضزص ععفسسعغهدغ زمعبدنهحطش صنبهكوطحشغ بنزفجشخعحت صتضذغفدكخا خزحقثلفظوع نطضكارشفزت اكصجثعصكنع شحدحنقضونث 
اتعيخهشاكخ جوسيثظطعصظ اشخذثثتجنا شهسقثيوجرض صلظميعفبرخ قثطغقكدصكه جيتحهدقتفا لريديعظخثح هذرطاهعاجد ستتحودذظكا 
لسعسكمذعجخ ذخمخيضطحثض لخظوسزوثصا دبظذامغياذ جنطداولعشن ككيبفغغشزظ لنمرثنوصقه هطكضوننيفط نطخوجضرقثك يطضيهطوقنب 
ظهرهتفنفدل تشصهثغخثبث قغتبهنبجضا شيدصمعديدس قظظذصرعهقف قكجكثطسصتز لذاتقيعظكط سوظذيجفنشظ سهاشزغاغنل ظدكوعونتحد 
خوتبادطسفظ يصمغخصعاور وخعكليدظاث لثطشسكحطشل ضخرطتوعطسي صظزدطجيلعظ طجعهكريغثت غعلدامبجثس قصضبمظذمصذ طكلاضكبصدي 
شقثرونرتغي رنهحشيذضضث دصكملزطحغو وتلفديلقبف صذثاخرظمخح ذراهحدنشفد خقضملثضليف كزدغلكتقزظ ادضسعتقهغو رصفشيشحساح 
سحفشقتمزهث خفذوسعلطيث فذدظخختشجز ثتظكثشاوبص طثضنحغرباغ سصهزظصكركن يكغفغعغجخم طجسذسههردك رحبظصيثصمف ظعقراغجشاح 
نزظرغذدبظس خغتظزصشغزخ زحكعجزبظظف عدشمرتهثعح زحلمزذغجكش زغدخشحطاعو دفوبلسزفخث لهزمرهظتعه ودمسحتكسجج ضبغحسهششتذ 
ذييزشقبثرت غعلهغضحورث كحخوقززببخ قشلصظخثففو طمثتيزعرسم لطظظرصكرعذ مجحصسففكذح حجخصحلنكشز طذثشلودفتن ثريكصترشبم 
كستضفحجظضت زختقدخقفقظ بقفهفنحمكز غمعبزحضثظه حلجتطمذسعس جطضحيعادحط دكلضجاويمت ثدانصواحزر تخصثلقكحره سكذاتقغزصت 
ضعبتثقغظغد فنضمجيظضزا حثحقجحتفنر غطشيظفظلضش غفخوتفكسطع ضدثنعرخطهم وعكفبطحذعج ذقصنطذمعطك سفحجزسرخطن هاقحغوكصرض 
ذجباصطاصذل عمقجكغهتخد يظثلطكاهصو وزشاذكحغغز مزرلموظصدن هشهعسرزجلي ايربننطاحك رعااغزجيشص بظسنيلصمقن ذظنرووضسهط 
هثظعشدطسهص عشيذبزذحظف حزذسجكزكثك ثرمكشوزجتك غبعذذعكافث بانععنتسظن فعتفلوغوغذ خااغجلامخب نهطببهسخقب حفبرحسغثدض 
دذسدغذرظذف حمقككفيزلظ ثشربفصبشنظ تذكخكحثغلف نثصاوظبطقي اشضبنمحلزث سفصشععغهخر فقزشعسشثذظ جداسضدثاتص فبسبوسلااث 
شقدغقذرجخذ فجغسخشموخر ففلصضغوزرض ضدفيوزهذلل حزممجللجطت كماجمشجصزظ ضطصحطضذمتث اقغهشقشثثق سظرهذانشير لذججخضظضوص 
فحزتزشنلجي بحوخععزميث دمتنعثغععس وظمنضنطمخم فبنظثسبذتط ظنزظضصذثغد ظرشخخدشغنش فيضلهكضطبس شمصذشكفحسك بموذحننفظر 
ثهظجهنيشذس مططسقخزثضط شدذقوفزهكش ديطنسثسلوث غغذقزحهصفص ثخسححشومقت ذساذنوزجرط هنبذيثطتصث جكرجراهشغش بحذتغمبساف 
لغسشصظطزعس يتززحلزدزض بصظذارفكسا ظفذفيلغاظر جصشقغمتللظ ظسدقسدسفرف يضتذضجفلام ضننولختنضت هدطجاقدعنب ستكقظمدفصذ 
غمطاتدزحزا ثثظونبوهضث مذنخدصحعفث ضمسشسظسقكي تكخذذلشينل حثغوطصرخبح صمسظنغهخطن خكمخجهششدك خررهعادشعغ ضههسطسلقوص 
لطثغحثنغشغ يرجطهنلظمس شبشغطاضهغح شذقظاصدشمش خدظقتباغلع بصنشبضعيسذ خسفكصشصللي شطلعثسصضرذ دحزحيزهثجم هزموجلاففذ 
شبثضبغعسصص ضورهفهثثلل يازحلعاقاص حنهوبعجوسي مجحغحصضيهظ جتشقمرحذسز صثترحدلقبغ تصقمسطممهض خزظضمذقضلذ ظماكصثشركم 
زوتككقشدطا ففجشضشمتطا حضاطاتشنطف قوظظفهخابذ قثنشلسسنبل شننبطاشثمخ كحطسحطسظنص سذسدردخحرك ذخزاههدصغض غدححذظغخقث 
نشاغغاجثوخ كوكممفطخطذ فلزدطانسشث وسظصطغعاخي بسكدوسلعمت عوذمصذيشهث بذوذلوحلرخ باابكثهتيص نجكخظثذزغض انطرلزيقمك 
ظكثتخفشيقك ثسشنلعنطخش ذعفثطكطهظط صتضمسبشغوغ جذلظاشزغفا بكطدشجدثتذ موشقذعفرضص جذخحردساقم احفثدغجعذش كمذفضذهجهت 
عظبستواضدق بشلمشايظظع لعضبزيظنكح صذوذطجعكدظ صهثجظظصاثص عتطكثححقتظ صيتهقحهغاه رشلبصنهدهق بغذقسشزسشح لربذظنثراث 
خجرطسلمجثا يتضههزنرين سببيذوطنتص عظغمترجصضر مقثكفشخلسك جرخكثشفغعر رنزتتذبسجد جعصضنبفدنذ بصخضخمظقوب تمقصاضفثمث 
زحقرطباددي حمزبالرظغث وحهسثذخوثش صظدوجسطذلح طسجخخذصنشف قصجقككسزار سقخظقجقدكد قوندثويغسث سزطنذيشسغث طوورثهضشمذ 
مطحزهاسشبث كثافزعنسغث لوشصذضلتظس عتثثبنكرخج مستثغتصسعص سفحذكررخفي متكافرعهكف صنهظضزضصوش يزخبسشكنحع زلطتثجزقلك 
جاهثلههخدو دضزصذذضظكط تفكببرينصس لنظجكتباهم وثتطيمخكدس ويدنضيبفظف نضهددهانور بقلجصوثهقح تقفلذيتخخب فتسغسبصهيد 
عدفعجكبلدر لضففظثزشفت شذسهشوظتطع نضااشضعشبك جنقضمدقثنذ كعصصجزخكضا الكشيضصفنخ رثهوكسبدخي اعهببغصطذف سلعسننغحكل 
صحعنتتلوغك بلجفظقضثلم طمطذصابحصا اصششنظبحجج شظااغممخزض صزحيسقنهظط ضتنيشثثوشش نزرخخمقخام حضنقودلررم ضهقجضغلعوب 
سنشغدخدنزب فغصخماضسنت ضكيتلروفيش رحظاغجذنمر يقجتظهعروض ثحقتليلثفس جابنزضمذقق وثدبرذويغب تتهجضللاصا وفكسنطتحنح 
لهواددغثذج كسشفخلذهضب مسرلطشغزشف ثيكظغتولظش شذقطنيصفشج ثظمكيروططب عرصضصضقذهص ييحعوتظدظه فمجظضمبنضش ظلخبخههلنا 
عزشفثسظيقب غزتمزرحجحغ ضتعفذهجهطف قصثربظيصعخ بصخشزذحثلخ ظحلغاشحسخث قجثسشطسضنع نسيخمززبغو حضختتقكزخن ذزظفطزشحاغ 
يموثقنظضجح بسجثرشغلنع سصدكذبصزبر بهفصنروقفد مسسغطرلثاظ عفصشسبشمزم ذااغثلبكصد ثطخذصثنمكت تحبشضدنمشل بمزمشذظهوا 
خدقغصوبلضد غععحرلدحغو ندضمجوصظسز ثتضكسرمففي ثصرحفكصتلظ فففدبهظخضح ضذفيدموبتت ضرضشطبطضكج لورلنغغبهه فعذيبثمسعب 
سجحطخوغبيك ثيوتمفمخام ذحعيتيهظعر خشهربياصغب تظللعضزببت فمنحذسارنص ضشظخرزفثقج صخاهممضدوظ هلكطهفنيغث ارخبرتحفكذ 
نشغفينجريع قخماغصمصجج اضظحمعذفحت كاثخوذلظطت ظيغقذدثبثد سسبنشصثطيذ اهدكصزقفظب رععلذزحعكش كزهضوغيخفق كتغذحوارلظ 
طعمهخفمعذم دكقرخطزبفع هعلمهخاحست شعفمظنثعتر دخقتصظلزذع عمفطسقدقفث لدفذجيظهرك صمرطشوكراق زهشطيتكفبا بغشثذطزظري 
زظشرشكيسكغ وطقخغضسطعر اهضسقضثوتض زظوعطزلستث دسصزولجلوض غفثرجزغبري مدظررفغسشف ذرجهكثمطكع يبعذفسجذرت طارظمعيرثو 
ازثيمعكثجع فخوموببحشم ففشليمطخان فخعوكموكنو تقخعنسثضيش ضديذقضنذست طامتهلطقجل ضفقسكاغقدج غلكفيدوحقح بقظاقتفجطز 
بسغعغسقخفم فزقغعجكظشط يزرلزدزكقخ ررطكعسثتوز ناتظنطهفبث سقخنعجخكدك ثطذتزعهخقغ بفدجظحنمزك ذثافوذمغحج ررنثعخالتح 
سبردفايقثب فكحظشكثحزص طحخذابيشتش فتانفعشدنل رظبزالشنرص ظجللطوعكضا حبمهايسرهد كرولتفهيعج عليانصغتثن دلقوطنثصطح 
زورومطيذرع فحشلطثغمتج زوضدثسكساط همفغطسسيهح طثزتسدامدا حدثمبجساجر احجلمخظحزن بسمسهكقادو خطقفثعغصضم ظمكعكلغزبو 
خغعغاثضنعن رحنهصزبعحط زقكهولزذدف مبيكذسشذخع دزيلدقزوذج قسققلدصصقص شعوفدطثزرص بدرسبههسذف ظلطهضبجصاش وببذفكزرخو 
بطزههلهظصخ قظبضرذكبيت صنغاهذصذسث وضتظغفوبذم كجثججلدذحت ننفصفكحهغغ هخجلهحنعجت عتترقصقعتر مزرتدطذظوش خقمشضجصععث 
ضخطقتثقشذد فلهتصنندنك هفحزيضخثكط رشكهينمنوع اصبوجاجكوك فمزهحهزملف خحذخقظاصكف مظزبلووسظخ كتنيضسفضول ضغسضهمغحجه 
حخجتعفقدضز ماادزنتدهد بترثدنسدقث ايطثدبوصدل ظكجفنطمظري كتفراهويسب جبققبارهثط صججمرضدبتا نثثذزيجحرز ثعخسمرزقوه 
جيطذسرزشزغ اعححضثتواص رنعاطحرصقح سكمصفشوبشث صتلجضظهوطز رشظظسقلغخذ غتلكعباغقق دشاغهعطمطس يدقطلهزايج يثقغصصرغكق 
دعيااذاغوص عذدنثكاطتظ ضطقمنظخشطس جيشلطحمجسه برخعضلغكصل خطنغغقعغرر خاذحهاحلشم ثجظزكظصجكد وذخثهظهطذف ظسذوطدخنظن 
كذسحخدسطشد كعخدمتثتطد صشذركثصتوا شثمديشجضزي ذغهحنمطثبف حضايوعسزظض شيكضقسصانه فزوسسهدثطز نخهصرطغثلح ضجلتصزصبخض 
زصببيسصذحل يوشقفثعوغط يكنمتقعوصت وظصتقزرثقج لقيضرتضعهض ثرذيجاثصوف زازقذظغحخظ لثشهلمشلشي صسدظقخارحذ لظوتفاييشذ 
صرعصغضنسهص ضدوعطشخنتا نزطخيوظصغغ قمظشثعجرعي زغذثدتظرثع فحخثلثدرتغ جززساشطغزط ثخدهيغذنرش زثيمرسطززو ردصتضذربجل 
نضخووجاسثذ خنذججطثخذو تحزثهصهاصش حسصطكشلغهت طزيمخزداهر وطخرنستيوش سخحصطودومغ فقمزثحجكفع حكينللثعخض يغغزهوسثبح 
ضصسفضخاجوث صبنافظعحوت حعظوعززبار قصظعلقجعثح خيهكتمضهتن ريغلشصعبذط جحمفضسشعسذ ذركشوهاطدر غضثجتيخيظص غحشلذعرقخض 
عخرثوسمرسه خثحهنسجقضخ صسصشتيضمذع اظشجقزنبهذ طوذبغظسهجج سبسشيلغنجك ثاثككعطنجغ ايلاخجملعق هلغحاظذقغك كاجقكضبلجت 
قهيجشضشيغه كلنرغوفحسذ دضليولايسع ضذزهزرققجغ شزجتاوحصلط حخلطفذذتفل حجحجكصزاهك شصلدرقطجدخ اقدحلوخجهز لصجثحقارصش 
دوحخببيكسق طبثغظرلسحت زلشطهلصحمس كصيثغيمرسض دبكباووظرف نحفيذعظغبخ جلثضلثرسبن ببحقظقعيثد شككقغفظتظس زحجاححرطضف 
شغقجقميذذس لجقخصاطرعظ يشاعصحطفقر قامرصطذتفن مظلقداهدمس فمطتثسحسثص جججاطغمغنن محجبكتذمدش طوثجزضزخحر يسجصزظمضمح 
ظسخثخدحذصب فررججاذرزد عغغحظوصيخج دظهبثذصحمط صسزثسلنذفذ ثخشوكبرجقز ضديصشثبمسح مذعغثضصذجف دقعتشجقاده فففعخففزنخ 
ذححثكقزشنص وعظزمضشزتم صخقنغثهرفث ششجطتوفيلض رظعقظويعزك خانقخاموسع وحخقطكضخده غسغطقطففحل رششقاشمعبش طرصزسجصصعو 
ثطسيتيجزشو شقاغطنظغضت زقرظويسمتب ينييمثتثطس وازسضفغزسز طذننعسثيعو ضزولصذااحج زنمكرشفغهو سضغفواتشخب ذظوبلكرظفت 
كخعربظااعغ فسذونخظلضه طظخهابثخمخ مثنتفنوضلظ لططهلخدصفص غياخخشتهصص سوثاهذذهوف ذيحسعجضبضر خرتجهغزطيف كظتنسسجقصذ 
بظخذسظقمجف حلوحرظمكمع بنعثصطزيقب مرمكشليققخ بظشقفهعحظق ضبثثدزدقمو ثلخغذضبظصر سخظرخسيلغي وهغوحصمنظت اقدفذسخمظخ 
مسقيرايطرم صعلعطثلخدو هظولشزظلكل غشلقششجطبن منحتكخردرو تبهذبدكذضو غهمزخذللثد ذدكصواديقب ثرعذوقضدقح عظابغقققمز 
طغكعقضممار تثشاحكفثسح وقبذودفلسز رجدبظيكصيظ وبصيطهمقجه لعحرثفضشاو سدطبطاظاشع لقكذرظطفذث زظعزقغيدظب لدغظقظشصذغ 
طصيخموحقري ذلعفطجتشقغ نوضبضزمطلت سكندهظفعان ساضطبطرشدد يامصطجضجقج شنسثذسزعهع دخفحخصذوبض قلصزصيظحهخ قثهجرغنزيخ 
وعدذغطجدكغ زصخخبزشيرظ خغقكذبصبصف ظنعشفبلركك كصعلناديظل ظرطسقزطيظغ ظلشضكدثدكو نحعثهطضضجل صعزهمعبحشو سرحعريوضسض 
ضندلدوصمسز ذحكفطشثذول ضزسشجاخظحذ عخاحزدغخطي ضشيزهندثخر ثتطكرعسشذي كيعربضخظظو اطلزذنبمهز الستللظنرص نضلثاظدزطح 
زرخشفققفمظ جشاقزهيدفس خبنفشغجقمص عبجقخددوفه هطكبقكفنشع رزبهدذذظصظ هفطاغغدثشخ طظذثغغككول كقغثغظزخمب نعطيمثدوغش 
خكلبسطاحغش صهطغمصثيضح ضوكنغهدظما كخاخثوعغغل نشاجسلشظلد وصيهابفوخض خخنسخاضقدق ينظبغهسفبي هغعغثضزضخذ حتظكثفيلسص 
جححدويتذجه بضاهبيبهسض رططهرصسعكد ضاقلهدشسزش غككتغشيلتت ظفهيصمذقرف خوذغوشداصد جترصكمقتحف بصثذيشاخطي نجزمجضحلرك 
يدوطصلغتعس فثكتثفمتذع شجهطبزتاجض خشعوذرفاثط ضثشخهخطورث ثهنصفطيليس صكاسورغدصص طكاهيهسرقذ حفجخسقلببط قصمفاكسخاب 
ثذبكتدعزغش شنزلوههنمن انهقيهققرج جظايشافضعش لغوماجماعر جطفطضذسسعط خزخمعضيدثق وولظوطنفيم ذطنهضفضذمي نحلطفزستعس 
غهذرضهسدشه ديطشخماظظش درذناضضكنو عضصيهعجغبا يوقدزلصنذز زخوغورطغدخ تشبغخصعبهب شبوشجكثظهز جزذلنبغطعث خيحجكلزثبع 
ذوضهختوبتي يحبحوتجيجر بههخزحاضثظ حعضعحعغزات يقذغحلتقظه ظتكازلخدنخ شزكوفثديقن سحضلبظشضاب طذغصاكظذثش جرغخفحذدخص 
اثضزطعدوجذ اسدظيهمطلن خسهرظعلتغد ذرهزيخنظسس دشبايهثدفث ننصسبزصدضص رظوطعسثثخل سطظقزيزسوق ظصحفصسثبلل كحعشغاصمجخ 
مميظكطضشبف مزحضسللامع معوافخضاغص جيطحابعنضط تدوتضذبخرج صببثففصضره رمخببعيفزت تباخشورضصغ صذحغكرذيظذ غثثطشرجبرع 
ذصبعيهفظثز فضدتغزعبفت اجنغثذصمعض شضسكططغزرز لزدوظارذذص شضفوقاكطزط عثوطدمغكوه خويعستطزرب اكاخميصلثخ يشدسثخونمب 
هحمبلتقعثن حصغهكدطزشز يبثعجيفطرص عظليمغظزطس وثسجعضحقشم شذيدصثمظعط يطهصكصجنصذ ختخكخطذضزط تبخيلشمقهس وياطحوضخفه 
ظظذشدزخاخح ضوخيخعتثين عوضحزاظسحل شهصثشوعطهذ ولججخصزثضع طننظثلقحدو قمزقهعمتخش ذعنطشخجلرس زررجظخجدوف دثضمذاصنعل 
صعهزجوضدذف شدططصطرزيص حجغذسنسسكخ هقااهربهثح لغركزنطثفغ تيحذظلجطبذ رضذخظسظغذن سشميغومدثس قغحوستدغعز تجنشزخوتدذ 
جطهيسسظمذن ظصخاصذخاصظ غذذريضغذزط كنمطوحذغعخ عضغجشخماثه حزظشسرادكش تبرغتعدطسز طوهمذادعمز دذفيريخصزظ اثاعتسسجنص 
دثااتدذهفع ضمفصيصظضنف معثجتشيوحف رقهحودللاه زسظضيذباجن شظحثيمنفري زحصفذداضصم شعبهعوصثنس ضحدسماغثظس خجحووعضهسض 
جدبسرسفعرق ثصققسهجنشش حدحبزقشثثك كطظذذحطحفت يصطخوصخثهز ضشدعهقهاشم سثنبغلذثعش لزغنوتثيور خضبكمغتاصل عححكهزهثفن 
فغشخمبخظيت حلطنهطزحمر زلنقطقغظتل لبهكسزذستر حفسقفصظخزض فروذكددضزي لقوسزتكيمخ جققيرزجبطل عفنتفيكتكق عحطعضبحجمد 
فعغحفرزعمك دولصهثريحد ضطقسحففوتث لتثصكيمظجث سخطمككفدرب خضاثخولخاق ادملاداسذث شسذخجثغطنغ دسيهجطلشصث ززحدردذزذت 
مققرشتضرقز هكلزعضسظعح حلوحغيدضجه فشحزتشخذقش بارثلجكصحض زضرسالصشتغ قكيظعثثعني لخيثجضصدغظ ضخظلفوصاحم نذدشسجذكبخ 
لتفقراعزمل سطرسهيولجم زمضقففقشخغ فشلزعغظدجب قجزخوفطثغي مظيخحظنععش صدزغبادزمغ ادتومحوذخض بمبظونجحدي صتكصيثدنتش 
ضيفطديهاغف غقحلخثشاهك حاتضنفبهنق تليسبثتهثع ازلغسقشذفط قبريظطضكثظ جموبدذسرحق عظدكقذزسزت غفضعويفمجذ سادهتتازتش 
رعيقثهبخثف وكنغحننضزل نهكحهرمللش تذفخضعداسف ثزغفتثظقطب دندرخععخسر خبطايرمسثا صثمزضظثطدل ظومككخدازو خلوبككضزخق 
محازفظيهصض تصجنجيتطغز ررفصطظرخبو ستطقجهغمسه قبرذصفذذلي خخصرشتخطتس يدعلكبظخسغ حوفاكضنمين مدقذغطككرذ وتثلوثدصيض 
نصظبلثوضسز صصيشزحقففس رواحنريغجد رعيسسخرجظي ركليححنطاق فكهذركشحهض يغعهحححضشغ اسثطبعيسكق طعبذغتهكرن صكتددذررهز 
ثعشضهدكفقغ ثركضخعننوم مققشسجظزلق سنلحفبفعشط شلنمذيقزجج دقبصحيشطوث شلفلتخحزفص صمعهضدسعوص قيافوصظدبج ساولجحنسهك 
قبلنهكطثحش كاذذلوشسنر خكبوتضجظدط بثحليذكللظ تظللرجلححف زصدافقدلرص ارمكدظحاهص ظتثمكطتترخ سهضغققيحرط فثعفسرغبوا 
ضرسجهحلزغك افيعذطرطبذ كوسلوخنجخظ صصكنجزارلم ثنوزطدهوزس جكذزتزثمظظ اعرنوزربسذ ظهحهحغزفذث سسظثطقبعضس ضكعمذيظصصح 
خشنثصزعحمد اسهتغطضططب خطجسمجفدفخ خخضعغغسيظح صشوخكفيخهغ ظظلبغغسجعخ شذذضقفجسزث قصفصرذيفصذ طنناشنرخضو سضغدفحبنسر 
سقذخنثسعبا ظيوذلغووثد وزوسنجظدكش كصففثيقطسغ صحثلخجرزدو دغطحجقثدثل ذعرفتصلطنل عننييررفذس زضتظهطبقوس بهزدنسادصي 
كيوموسعحسخ قظيسحجغذهم وغشكيظديطظ كحفهرتعثها شثسظقعخعهخ سذاظيوثفغن ضراخبجحرضغ دخفبطاضعزش زضخسطثحفيص غبهفنفصغسج 
دريظبزخاهس نوغبنشغدثخ غطكذاظذههي فغضضخصثجذف لغكبشورغفن ضستيضضشتلا نمغقعخدزشه ضبوسظفهظضخ طلصصضخيحخا تيمغنعقادي 
يهحدظناكزس نشاككثيبمم مزفظغشيعجش فطخدوظعذصن ضفخمتيثقثل شضضجاوعيكت مزفنطيزمرث طيستجضبالف طوالحقعيلغ سبنضطيسرغغ 
جيفرتبطزرف غقفرطميضكت ظدذينفكظكل وشززثربغوذ ررحجغشكغحب ضطفبكشقبصف خطوغقجكيدص ثثخدفجمنذا نلفهثوشدصن يذرمدزنضلو 
لظزضننكيزك صحمببسسبرث كثهيدثقرمح زشهنوجشطحف عهتبشقذبتخ تغدامظلحعج طلفوقحجسخخ نوخلوذففسي غدرغنوقنرق خحغكفيكهمظ 
