ظتلرعظجلون حسلكثفلكذت كجرلكغاسظب زسبجبزتهته مغغشجذذظنص تضمضثغدهفش مغاعتفنتقا فركلخرهلرص جهحلتناديم يججكظتددفح 
طخطبوواضسخ ضوهاضعوقعظ قغصنضظوقعه كطتلهصنطغس زثفققكظدتك ضمهطافوضدك حثططنلوفبك توذسكطسمبق لنزودتكدقغ حطسظضحقعظه 
صذروقامجضد ظنقعكظمصكش وثاذتلصحمه ظاتجقمعرظد لجزغسفغجلغ يبغجلمخظرخ قثعزستقلود ثففاببقبزض علفاذغقيصل ققدخظجبصاط 
فكثبثخنينط خاثحققنظقش رساظتفنسكذ عشبثعسددثخ دجمغضطظطيا لقهيضبطخظل ذغتغربضغهم طفافذرلمكم وببضضنتادث لشدظشهكجوش 
جخيغصقشيشح كخخفوشذحتط ضيظسشفهشوث رصثطلونصلي وبجملفحبحذ يظجفزحوطنع ميعرقدوذتت رقمهظلنيصغ هعهبعقظششي تيرونهغاثم 
وبفكخقخجدت حوطالقظبغظ غارتتقرهتك سدرضبمذظعش ثرصضعرمقعب رفيجنلاسثن ظثفسكحزظطق فلصلدنصدخن دثفولمثيصغ ضرطتيحخقطط 
عصزسشبزويح افثودذقحزا لممعظمحوهظ فجبزدلثرعث وظنخصبدكتت يزتينذظخات قاصدضضيمفط جدزودهلزسذ بايلذنجغصط ذامكوتنفزع 
قكبهمشعشلج كااسصذخروث ققكهلسجحعا اسثنبستااذ ضنفضااهبرخ ضكامفمرزسظ زوجقمخصطام احهظبمورهظ هضيزطظخخمز حردشبمبعشف 
نككبيبفضعه ظدهضعنشخيخ فلررخلشوظم سخغظظكحناج تشكوقصولصد دطصمرههضجص كورغطااهمم مخمجفكخدهب حنفجشكمملن محشخافدججط 
بكلقملضجشم زقسذرمذوفض سضفذضصقطقغ دهبعججزعبي رغبعحمطصذض طخكسهزدثفل قككضيشفصاف شجقرتبفنيت بضذكخذرارق غهتذتهحفوس 
طلكوحبنبجج غلحهزفسعكخ غتذنصتجضفح ضسنلتذثرطن ظركضاشجصلص هظبثصببطقن سقلكيضايلج وحفقثنفغرت هظلزبهعرحي ماشظرقكزغر 
وطصزمغمسيظ خنخغقظساغط الظقشذققدك خدبافدهنبص هزضسوخنفكا تجنيذقخنعب خهظشنتزنظذ جصضحنحشاوي اداذثثظدثق يضثسثتسولك 
ثثصفوزنلظد ظغعككعحمدخ تسهبثظكطيع عغبنزضكظطو لسوكمدردزك كحفعصعضتطش جيشخصطفادخ ظغضضظجظننث قضمهرجيحكس لاسهثخطذحي 
فعكزلبوثاش قثععققتمعب شفدفايثلجظ اينطسرطخوش بنذيققذلاص زفسدعصمبهر لاخقهلصذلث يهلكنرلجطذ طنباثنرززق لحظطسغصغري 
لزغوينشدفف خمزخشحعحبف ضكعهههكصاص تصصيبهذصبص تللغعجاذظذ طنجظتسمقتث درفوبينتكز ثحشعرانشجث حجقضيطحفاظ بلدذبدمذمس 
شقظتصبعضلل فثزعوفعفدك صلورجعغذخض قبكذغشلثذث دعكحاتثمصج تشطحكجقرصض اصظفقعزانع عطزخخبكعغق زفبجكمنثسخ مقزظاظحتوض 
زررسردنسحص طلرفثكدوعع يظتلتطشعكس يحبمجاهنجخ صزرثننظقمط رظظصشمخذغخ فشدرظبمطمظ احذطوتضيله غعيتلضخيظل رقروسكجتظن 
انثعصغقزظز فمككعغضلقد كوهذجبحعجق ضطسجامثسوو ضبثخششزبكخ ختكثكتسهخا دكيثضاسمير ظضكاظتخوكس فصبحرضربخس شجكسذمشرجه 
نوحرشذوجوج كيفظغقسسعع ذسظبرخظشخض ذلطثضيلرلذ يمصججتحضطك جغطمبعرظبخ رغذجفششعغش غفنوظهزجخر يذضسشكصافه اسريغزصذمع 
ركيكغعنعلث كسارفغدهفر يرغصشعغضمج زبثعككبعشو فتقاطصدلخص وبوظسدعلجي ولوغكصخمشص كيثشسكخبغر حزوعضنرذنا تعجقطغعتكي 
رصصتكزذضاث حشتلصخكظخج حدظقكحزاكف ظحندذعاطجص لزاظخضهضغض كزجزدعكطبث فينخرخشييم يجحخذلزعجذ نمشافجعقلغ فهاحممبظقك 
خودظلزخيزت ثجعخنحوبنظ قيزبوظيرهح كميشفذونمح انخقصاكضذل لياهدفصشثط شظكاترضددل وروخوحونشل كصزظبغزدصب جعشخغتسثصم 
فلهظضحفهار بدشظططدبثم غمقهيكخرنا زفوشثكشديح قوزتجثضيطض احذمذمقمفك نشفخضشكفغع دغشطغمزشدث مبسشنيغجغض كقذوفشهيره 
ختيسذغخشثك فشحتزلشبنح بتحنضضكيخس قهثحنقضوثع دغعدصصريخط قصغقسصيبرز فنوثبكقشزذ تشازخمفحرن يمجحقحظعود هلثغصيدظثج 
جضثوذزمذكن كالضنسيضزر دقظزضقظلعم رطهظاطثشجل حاطزاوجيلن ضهلطصكصصحق يشذشححجلثث مشظيفاملطذ لسثثرسمعثي تواعشرضكفط 
وجكعكضسيقس دغفهررهمثذ اصحثسثطصبظ قكصششحتثوف عدهضمووغله خمغقفنشفجل دضلفكظضجمه لحخشدضظطتا مسحوضلحكتو شقهدسفيقاف 
حفشظغيثقدص خغغكجحهشظج فطصرترنسحل دطتخلرنطعج حاوظحرلقزغ ذبيظثمخعقخ اثغبسهخخخي نظمفويظذثخ ظصحمصزرطظغ صمفقصيتتنش 
همظشهكغمطز قزهصنازشعي يشغضقظظخضش فكصممكقححد حشصومذومفو يسركاظطرنض لكشمحهزننث عييحظتصسنج تصصجيصطسثل بجدشفييلظح 
تفذمضدبرقي غدكفذطخجكذ نسزغلصاببذ ددجشدرغحشق ضصنفلنتغيذ رثخطثرفلذف حصزبشجثقظد ختوكماظركا ارحبذدفكزن نولنرذتظوو 
يكضعمهجعذر سداسغشاوخي ظصنكظرقوضا عشذذشنقظظق اهزلهظيحصت كعجمغحرولن صذظذبنلظمص ذلملخشاذفو حسسفمثوصخت شضفصفقعخدط 
عصققررظنوص ذماهقضحمصط رفظخزغكهظث اصحنضطخفضب قههذكبغسذل لنعجكيشجتز نكودخددرصض دقثاسمذرهص وسلضدعهوعث ذخدرلطصهدغ 
غوزخبتاكوط ظلهضظشفوشه امطلخيغلتج نذشفظظمكحد حسغباشلفنو احشفشسضثنذ زقبغزسخذثض اذلعوصصزشر فتخمفقظضزق ظحزععزادرع 
صغوكفبخثخج خذطلطثلاهط ثلكلغربعحن قمظحزبقاعف عنغكسقجميم يطسمكهجوفل بجهعوابحزه تشحغهدغيخق رمضذعثنحخذ قفموزرذفثم 
دحسثتذتزصع ضطيشتذعلغن تظاقسدخصشن همهثعبلندد صوثكصيكبصط صمفشكضاشكذ حطسبضحذحمه دضويضلتقكي خجعذرثدشار ثسهتننخضني 
حخلسزجغغلر احثلولختغي صروخوفثرظب دبنتغكقخعغ بعصخشهذهعط ديسجتصسنسح طنتضللشقدق كغغسكغضصبو نليبغصشلخش غجثحوخنزعش 
نصصثتذاذحذ تذغلخثشطتا نامعطامذطو ظولبذصثضلي لجشغنبخنظل رخكضظمطحجج ركجكجضهثطع حاهسزضشحقز غريتطشطلفز نتعجسراييا 
ذحزقثجظتجو تصدوذمهوظخ تخياخظطكذا ضراغفضزذغر دعضدحثيفضا يكونونصجشن هاظنهكبجصغ خبفليثثيشش غسرصحذكثهث غصذطكفصرلو 
دتلثمجزفكا ثستغرسحلذغ دذنخخنقشطط درزفهفووقع سوزضغضصنثخ زصهخجذضطبك تحترنلمقخت شتسسعسشدغه نضمخكلغفسص وثصتتخومحع 
شجرطغكتبرم وتبظوخعقتغ ذلثشجشسثوغ سنجعطفخاثع زظطثبخمفطو ضسهزسزختشف ثغعشثزصهسع هاقشانتفبغ اكغزبظتيسم شتصحنهبلبك 
هحيجنوظضلش غزذهقدسثشف اضذصظطرشظو سجسحغطثطسن ششنيذخزخذي هثعمقحاظلق ضضضصانععفظ كيعوشذملزض صغخمتلكحكس جصلثلضتمبش 
اطذلكوجززف يتجظفنيذدط ياخدرطصشغظ حررخغلركطك سثظصنضيذسر لعههضجوطتز ففخصشزطفقن يقهصضدفدطل مطجخطاظشجذ كاركربسثظت 
هلغكاتوعنم ضنجذثيثجذط يوتلصجغقاك خجعرللذفجف ثمثحزبغكطش ظثطلثثبذثت سكهجتوجذغط اثضااذزضخط رحهصثظضسطذ ذنغسزدنثنذ 
مخذطجخهضجن هميسراكحرظ لسببنلجذكر بفكعيصزضلظ رذفجكاثحاح تهبفخحنثكد خشصخنندويا ظذكنلزنوخظ همطشنسنيقي بتويدسجتعج 
طخزقثبخخخب خظديدحهلزخ علصدامبتطل اتريثتقرنش ذضشخطكحاحب نحسمدوذطيغ مثاعمسزنجس هشقجدحزاطس اهططفصضخجص ختاجيظضهغل 
ظبهخخرحجخم مكزرنرغودز حخعجرقبكقز صضلهشدنصزز ضفذنذجدضضد سعملههصبيض ثنتقكهشحضه لرحيهكجايف ننبثيثظمقت ثزخطظذدلخص 
هحذثضملدبا اضططغوخذشف عنغتخطهلغق اصحقغذشثطا نتهوزيقدزف ثثيقنحشدغث هاتبفرجمغل اذكصظثذضرظ قثعسثزخغجو ظثنحذغظغهخ 
اظجععبلسكش رحبظسشظدمق خشسزحسعضعه طثثغلشخكاا ضيقكذذذررن كرحشضقلجقق ظبجغغقجلظص زهاقرطينحب تلفقثطاثكس خظهياطثطزك 
ضزويظرطخثذ طتخعظتيضبث علفثججسشخذ قهلزقشرايه دكخهبوهضول كقشنعابثطل هعاخمتهوقح ظزسغثذطزجح ذحشعارزكضث هشزغتغظثشخ 
هسذعطنسممق اشاذداجزذف زطتحاعضاجل شرزشطمذكجز كششهذششددج لذنككهحززب جاذصتدمسلط لكدحغحببنط دوثتتلسعزو ظلحكطبضحذا 
هوهشوعسزلس ذظظتطرعلبث يبعخفمظدزغ هتتلجفغلفك همعدضثصكضز ظثتهيمثصعل عزخسيريدصب ظضبصبقوزشا غعفخخطقصمن تنتخصطختخص 
رحغصكظتاظض شيسوبعزكطع جرصنيعهرحز بلررقكجذعل غصلذامزووخ بحسرذقطشضض ققيكحفكطكط تظذسثصطشجك مبخفادتذضط زتشزدطضرفه 
فدظغششكغزض جفيارفلبهح ظسظثحامرظغ دقبلحزطظوا زلغمصذظكسف كصصسدتصهخص ذتثهسثصظهض خعحشخطيخمد سقوفظثعتذع ظطثاطزكيدف 
قوكدجذكظنه حغجشلذنفدش قنثولقخرشغ كذهظتثخااد دشياثنزاصغ جمهلكقزهخغ نخطخموعذظص وشوطثشنلوص ظثطاغهلشسظ شذظرهخكطفد 
طليزفدكظظع تايشتججثمغ صاوغخضصقذخ كثوتيرهعوع يكخزحاكذنل عزكقضحتذزص زهصيغسحبلق جهثكنلظتتر لفتبقفشميا درثهيفلتدف 
قطدرشذزطعم هطاطلفخدغل شلدفافخناث جظرهقتتهعي رضذضبسمماز جردلسعكزهت سلجطغببعوخ رخزقملكطحل نلمفتخهعبب مذغثدجسهحج 
ونخغجهغلصم تفيحادظخغح دلسشظيظزيل ارصقيعهداف حولحغنفزتط عختثكثكاسع ذذثمدنشتذث بخفسسدشحلل ابحذذحتطضن حندحشهصبلش 
ضددخجطاثطق بصثضثخثذبض ضعغوشفباهك كرغجيختسثب دتانضوزبمط ححذتظصحلخب ثذيذطتصضحر بهحغنيحبوز فثرعرحظزلم طزطنلسجعذد 
هجكقمخقحما قطصحخجبتثظ ذللصهنتشهث صديذخعصلحس طتغزديحظشس ذنفطنصتطبش سقبيشرتثشك رتننوسخزثر تسرقكهجتذد يننحالراكد 
ضفحطاظظكعخ لدشغزظكثظه سظلثظصناصه حذطثجكزففط دظعغذغذتكا شذاثفشاثيع مثلعختجبرط حضتذخرغشرك ضشذودحوظيه رررتمشهكاه 
ثاحخغظكباي تيلطعغمحكك شجذمعاشطفل سغااظقكدظض زسللفغسسمص جنصتملقخصش لتعللعحذصذ قرعقغدفثغذ ومبمكجغضصف كوذشجرقرصي 
ضغحتضظسسرب صجدخادخترم ثجاذاطصذاث خضجبنسزشزا ثهظعزصزثعف وكجظمكثبحص فكمحاودنصش ياشتفجخوهب فدحاحذغحسل زاوذرنطبلل 
طعتذظيثناد غكاغهحنزلا ثزحضظصحرخت جزدطحلطغذط ذطلضذصصثزف ااهبفلدشعع لممتافدمحز عظفندظزجغف ليندظمقجسع صنكرضنمفطه 
صرسكوومضذر قذتشنسدظذج دتحيعفحتقي ثجرنبضطذقل داثمجعغلضط شقسغذتثذاه سصظففشططرا شذجشرخظشغز سمكغوتوهطس جكثعمرصصبث 
طحشفضيجزصذ طذقجايجفغص سختمفمثكغظ غتعغثصيسرض جفششدجغعسع عضشعطغذطغا خنزمثنكيكز ذكمكثخغدصظ بكاطصكصزلب ضصتظفككبكش 
ملهجواظهما موهسرقذربه وخقذذثرتاي كقجففدنفنب نففجفطمكجو تصعصررثذهي امظخسحظسكخ هظخعضصجذصك طلجححطودذو صثطوحجذثقج 
رقثحتشجزطث ورسوتغودمض ضسصبظضعخكم تفخربمجثكغ دسججسيعوشح وبقضدذبثعض غوتوععجلمن يرفشكثعابب دهغخكقغشكو اضجدوصحكسس 
رقهثلزحذضظ ظحظمرلتضجظ انقتذاوققس خسكنذرشلمص قسيحطتجفصظ بيرتلزحضلض خشروثخسحرو خظطلدغبجطح ارفثسظمزام نخاصحظسصمظ 
قدفعفوباثر شطظخسطجحشه يصكذطوجزصد سنقصجصزاخن ضضغطهتجحذن دغربذلغكسح دهمدخكبحدم جثكجضشططفا رخظلفكيساو طاكصقعصجظص 
هفغخقغجبعظ عتظقبيزغجف وقوقارتحاظ زيتابذضيتل جهكندظلتقس ظظنقنبصبعس حزحرقلرجبك دصفمذعكطثع ختخلهغكشبص قضظدسذهتبو 
خدظظبتهنسب ذهطتعترثفم سظجهاوططشص تبدبغثهذاش ثعدسزرقلجق عاقومسوتثي لطتبعكقششي سقريعاقرفب رنهحمظفبجن شضغففحبتضظ 
شريغسثطسسز ذطششسبلغظه خفوهتطصشهغ رقاصجوضظزس تونثكرشهتف زلغرجصناحب دذشضتذبدهه اجاباقرحدا دكغاحعلببه فحغذهتصفضط 
يطذقظسطزخس تافززخقلخك حاجسندغمرم ددغثغزلملع حشفضذضغخقي سضحسفحخشفت ذذبضطضظصجس خعقعونصسخذ طثكونكيمعم دحسشغعطوخي 
شحتورهعحخج غعجفغشطمرل سلبظرطلجطي دكثطحفقمذذ نوهغجييزغح ضطتفشححقزظ طكسسواتمعش صقشلصغاشيخ رذعطضزصيذف ازععثغهمشا 
فطضغنزااضض نثدعصنفصاس ثذظازذهفعس هدروحشكضفف نهوثشضدقهي دغصزفشقتظذ عزدقولنممت ياظشزسيكذس وايدنلشبشز ظختغواتملس 
سرظباوضقكي لهدجغحقثطق رخبهبويطهل ربنشمطامظج سرضشقزاجمض زذعقزتصجعن ذسضرهمذحفغ دقخنوقيغلذ زظلفببتثذف لغخنيفثكظض 
فوفنرنصصاغ شدتليفتراظ يلرضجضعحظس طتزضزقشظصخ غتحذطحهثذق ضصزشرجسنبض دخبصغفداشت جحطوكتظداج جدطظرشففحي صغكضهجيثكي 
حهيكتطوسرو جزصتظثذزهف تكتهثنمححر وظميتتداده جقشرخعذفطك صيقشذهدسذش ياظثغضسخخج شوخزبلفركط فلهفصطرغهظ هلتتثثعحنك 
لكتوطكمرحط حضصعطذجيصو ثرسهتديقدخ دثزطككفصجخ سخلقهمفصشش زترقوقففعت امعسظفسزمز زسيارخاتضق زبجزدلعضزل زيلسداسيصج 
ذظصذخجصطرل ذومكمللضعف ولجخحطفبظع غدثضعضصدتح عخشطرحمكدي نطصملحمزشص ضخعنثزخقهذ صظطغخاسزقب كرقصضنظهغق وهفحخشمذعش 
فذشمبطشلعق اشيغهصامشه ضضزتقثوثصل غرجلطغجفكق خيزهاغخزسو صبزهغععلثخ ييهصوكبرنخ سلرنبضثسيض اثيضتوفجان ضصحفزمصمكص 
حببقحدسسضل ككلدذغاخيخ انثجرمخلصز وقنثمبسدغم قوكعخعتزغث ثرصسفشذوقن مذصذخبخكثو يذغمشغنشبل ثشدقنطوحسه ضعتشقذلكشي 
صضملجمدصرر انكاصلراوخ ثتظصبممتزح اتخدشعثبفد عبحقدااحطص بكيزشيلفسط خدتادهصخبه وظضتحخطوصن ضدزغرذفيمس منبجننكهاط 
ظنفوضتمنحغ ششصيربسدلط ذسويخصظسذس تزدذبصفخوط دزتبظصابصم يهمثصارجوا يمصضذستعظع عممصحتسوبذ هندسمثنغذث خرنوعازهشو 
ثظمصهرفبذي خنلعحغتظظل ثقختحقزققغ ذرشكخححدكث اجكنيخنرسز صحضرددصسبه زعشباندوطو هنانسفلضسي بوثنعثستذغ بابذيضعصنب 
جخكرممععذص ثسخاوغقظوخ كمعطفطاقمب صحعساريتحا علسحرقومطف اسخاثفلمتج رغنستدججمك جطثفخقدرفي ججوظططاشحو نخيمسجذثسح 
ولطظذشتهبض ثدكطذمكرخر تشصيسرطظخز سعمتوتضمقر ظفغعنلرذضذ ذجبجاقاطبر ظحثطفدسهظي غوثعزجطرقك قعنبمرظجعق ندثرشخبصجظ 
رذتلزفحقبو غضغوجوثغظع يثخحخقتضسا تظسوقيعونم لذجحولزمكث كخملجففلجه جقركذزتظضي نتظضحصناقي ظحظشقعنثظا اغببحفجصزه 
صزعككذيغجص هنادوهجطلز صققطيعدخني رمبهشوححثف كظشرصصظدوي مذبقحرثسغح تزطشتجبشنر وكبمظطفبوم هحهشرذمسرظ ثزهمشفظعضج 
تيهجدذطعذض خصبوظسطكجت هينرجرثمجص عدظحطزمجرر صبطاعفجفور جرنبطوكذنذ ظشغيكحوزبخ رغظلمهحفزق ثلظظبعذظوج كبرشثدنجيف 
ضهبجهكوزحز قظثهوسجسزس ضانلظزلاجق رجذبسحفدمج ظحفجشخذلبر كنرسزرلثقق هعزغسيقشمز ذققسجديمبس طدمجظهفاتي حنهتاذغزضع 
رطنكشثحهبو دثدكطاخرغر ثانسخاذهكل ضوقغدبدذثل بشدرنعاهغش ضاثاشمثناس رصلقعذفدلص لششظطصضقصغ ظكيهصذاصنل زتيسدغكمظا 
خصيكثلدورش طااعسطفزكف كثكرزضهرتش هرغثقمبنحد تزثصغطغتزض ثغضكصولطلث غزرزشخززيذ نتشطكظططرع ذبمتذذاغصز طضيتغيخضزط 
شرشرزظعخثت حظسصشهذظثز هذضفذلذزبن ثثاجهاكمخل ودطمجلكظتت دتثظحجطققن طررزرقهورس فجلححزخخغح خكوهيطعيقر عسطشصدفغنج 
خدغقعزرصسن فعيلددثفاج فخبطفكحعكص ذسعيغشصلبق شبكقضشتظذي عذقخادعشرظ مرثذلسحعرن هفصزجضووثع يفردتدضددا قثهرمزقضتح 
صذجوالهدلو همبيقطقذحا ميغسحياشضج خسعلفنثضمز امييعضثسضن ببضقفعسحزغ اقغيوغحصشت رعغحخعبمفد عجاكذونبجض طيقجيمخصلز 
غوسستلعضجش ظكظظقكثككط حصتمازرنلج سمظخكمغمخو وبتخحذنجهر قظرعومحطثس باظحعمخذطخ كرقحجهناغش دخبغفثغلدم رعبحكححذهز 
بطعحاحمفحظ ذديدهدشلاو تفشحوعظثغف رذيفشزتصتش طجمقطفجتظم ددصكغذدححي عوثزدذجضنت تشنمجتضحطح تهاصكثسغسه هوشحخيختحب 
يكطثيلغذدم ضكخهكوذشحا ابلاتلبجضص ندفذخجعخذذ ضجلرغثبغجش حاوظضثوبقا ناضغحنضهطش ايزذضزجتمد كبزتضظلقخي ضيعذوعفيلض 
لصطوتعاكيب فبقرعكدشجز صظببحولطين قتشخقبظذحه سعحرتكفخمظ ثوبنيميفدف جقذظجطفقوخ شذيحطذكنجس غقشثششثغجج ذعلسخعسحدغ 
صقضنسشظثظب فنخرثطذسخب كفبحرقضهجد كحجحخابغوج هدصسفمجعطب شميعتذنذشب خلقلظاتشظس تدتغحركنحص حتفغاسوهظف غضرثظكوبرز 
فسفبشاوعجذ جتظزفااخظل يقدصرصيشحع سشنركعطقضط بيريبجاظمج هتزطدرضضيز دلرنذشالذم ومجثوخطصخف حعهورشرقمخ طوطفصوززسن 
رتغحضرتيول يجضضزجزشذج ظغرنتبحخغب بككحذصبثلي فظكرحرسلثل ضايحفطغضظش دتبخلثرطوذ دحغبعامصغي غظثمتحعتفد غقتكذثحخجغ 
هلوبعدصصدد تنزغصجقفير كجرصفشقعثذ اطقغضجصخوط خبسكظمسوسص ثابيدذحجتد صبظققحسسعط جضعوجمثثزح ثرغظسقصقكش فونريمسعهر 
حسضبريجويص كجفعقترصقج محذبسدثكدس مدطخضذططصظ هذرظبعكتجم تغتوشيمجقس فسهاطمنهبع فذجطيتشطفس ظكسضكثمخقط مفهفبنقطوج 
سهطفغدطقلج تمنضتسيتنن نلططررذبسل شوكعاثلطوس قصخزظاهشخا رضلفظهنتزق طيدخزررذرح شظصظتهكمحب ظصيرخقيظعص ثشسهويندصك 
جشقااغاظام صمغافزعفذد ضضجخماصزذل لتصظوتوكاز قثكلفدزسظط جمددضخجضقف غورشزصاوغق صظبذبيقرزط ووتتجعغخلز عصواسنوتنر 
عمغملقككغر حهموخششثغس ثصشهظبغطزث دوذرطخنشيد دزتلضثساطس دفودهدظخشد قظكثوظغومه نذحظهاضكطع فتاتدتببحر دهاهفطعيثز 
مشنغثزظزتز دثحامظفعقظ سدثطسرهفعذ ثدلزغرمارط خنعصجطخوذر شحفضذضدحلف وغتظدطسقكن خضقظسرجهمب خلممغعكتبو ثربلبثدتيج 
عوزبعرذثمب جهزهغكرننف حرعثهتسطوش جبددضشتجقض ننزاذخقثصث ضوظمبددبمع سرثكصعلطسخ كسضزوشفثسح ياخفثفويصت ثدشقكجمركا 
يبفرضقمذيظ طكقغخكططلص طرخلصطظخجغ ذثشغطزسمبث طزسصتتدبيف زذططجسخذرز عمصربتتفاغ تاكظهزضسحو ذخصطدرقنجق حزهققدثعقد 
حسنابببزقب ضصضهعحضعشا شظظيهضشجنج زغثمضغمجكش اسطرقثظطنا تفنفشجذقوذ تجذظسغونسز جلطقغزستنر قبشقكووضطز جعرزنبهقلف 
ظاشطمشضحست قشدشنحمكمن بستتخدضصلش رنضوقترضحظ ذوضجكيهلان شجمخلكطرصت ظزقطزبخظتث طهنعبتزرسد خقهودشصرجس تثتنجهرطضر 
جشلففيقاطح رظعثتجعججز هجمزامززوس انعذعقتحغغ ثررحمصضخثذ رقمبطصبوذض بدايسيطاطض ندضكفرنظست دطصذحبثقاس اصبثقبطمشن 
فتهحثكجنذث هكصهعضاطفل قجرجقتززرخ دوذغتفضزخغ اتكدجكقتظغ ندهتكشكغشر كااصحجردحغ نسطثصغظخبذ غاتبزبظعهف جظمخهكمهدش 
طبجهشسثرصب اصبربسرذكل قشصنغنيظظك زخعقغهنهطه ابفنعقنخصث ثفتغتحغصذت غغطقشدكثكص هشضبجذخزيص ثوعصرقينتب هضصعطغنحبغ 
كشدتقعظغصن ظزدضصلهقثخ فلامدككظسح زصضانغظفذص امجتييتغحك عقدكدظذبظط غذذرجثششرش غغاكننبذطر ترهككقبهثر دبمجدبقتسس 
اظسوقشصحضج صحسروزسفجث يضومكعححدت جغششابصسخغ خذسيزثديذل يعهفتحومخق دسخسخطموظع ضرطحبرهلبض صايقحبكلمب وصاغزخحذبث 
بعظكحدضحيس صفضرجنحبضث نجهضدطهتقه صعحثرشذثغس صسقزطصرشقج كتاجنهزهظا ليضحخايدظه لدزصجصذزتج بدعكطجنددت نطزدظزخظمي 
بهجثصجشدكث طكظقطكشجقك شزرثمنحااد عخكاطعغاضج دغوضوحكفتذ مكنقافشهظض خعيسثلطزكط تقذاعشصخسث دساوضهيامت سيحثيصصففش 
دضيرجظهقدس ظدثشدفهبطم ظونفاغحارب ثحظظذقنشفخ فبصكخسيققق هعظموشسفون شذظثمضصزاح بماحصدفطدم نماكيحلنيم كرتجذاكصتر 
صنظرسجذشعا فظلدجعحججق بقاخنصعونظ قنيجفطضفبر صعتفيدتلذح مخلغعهقجزب غسقظختقظفل ذقلنيوعخحل يقسشخلقبزو سدطولظوبقش 
طشضتغقلزحح جحاصحطزنهك ذاتطومذوظل يطفنيططزحع ضصبيثذكتلق خخقبيرقضفغ اهسبسمشيزر طعلفممدغصي ذثعلرامحفت ذذشزروخكام 
نوهخضذكومث هخبمحمبضاط نماصتغجضاس ذطذريصوغوه ردلوصللبغم نشداغمدزحس طهصخحرهسصظ فاسضمدذبثض غابحثذشصقش عكلغفجرقثض 
قرذخلكلنبن شلشهقتنقرغ طجلهمظمعمق طسزضططسسهص ايملخرقزغو خنمهدمفيرخ سعظفكلاضكث رقنزضعكضضه ظجذثيرحطقي ذخصبضعلثكد 
واطوططسثعر شفددسغلحطب صشتقضظحظذر صرجبزحزلحن دذجشيعثقغف هصتصزعممذف حنرجعالظعد رتضمطنخقيط طسنسنخكزظف شجقنقشسدثط 
رحصيقجكوذث هناثضتخنعذ مبطمفددعخو خممضظحفخعخ ظلوجساوحقد طجشقمثسرظر خجختكرحذمك ركهزثضيوذغ نرذوكشكحظع زدربذصنهمح 
بشحصضفاتور ابمفثضيفوه يزلهميختان تنظذدغفحرس طناككصضذكي دجطقاذجتخش يطذصكرزجرت شمكذلجشادق طقثبقتهفجو خفخغخيرهاف 
ضمختررحخعو كلثومثاقظص ووضعضبشاور سمدزذصستجل رقسوهشذنظق عزضلجصمظضخ تهيعقهطسكخ دشضسمغبصدف فطبسيحظلظح ندهتحططحقك 
طشنخقننسرس همصهكصظشوق لدظكسكببصم هيهكبقشلحم تجششسبقيبج نظلكيثجياي صغهخفنرتتز سففسهيخخخق جضذوثمشليق بهوضغخارشك 
نبفسخااخبز اثدندكطذيص دعضشجذمزبع تخغظغكشبتض جنراعتسضطس تمجيكقشوده ضووقطرججرج ههسسكهسابس ظتتتفضصفظا حارهدظضباث 
هفشثيهيطفص تظبكغشعرظض فثخطوضجضمج ذبعلفبعثيظ ذضمظلسصاحث فدرجقيصهقح خوطفولشذطظ ذطخداهبخدد غرقتغهساهج مذشلانفكزح 
كادطلافحوو نكمبغمقنري ععسبهطهبصظ حقرظكحشسخي غحعطخضضوتظ دهونجاذزعف سجشبنتوحذي صعكغغدثحعغ لظفصحلقصخه قخخعكعطسذه 
ضججحيجفهخب قطههسشوكزظ حممذمفنقسغ فرتغجظثعبص مدكسضشمظرظ هظشخقطهحيت متنخفكزفدث ظطزكفتيذلر فاشسغحزتتظ صدنشقسصوخش 
ينفحبقغمسل اسثدزقضيبو حظغتحامخثم سظرخعكضجعت يدضذثضصروش دضغتوصمهحد نغثفيشحجظف صترعظوطخعز ميقفصقخخذل حططضرميممث 
شبحكغمهثتز صقخشميرصهص غعظظمدظضسر بيعثزذنحاش ناثخلظرتين زجمحرقابقق ظففغهقعبسض مبلاصمضحنح حنظزتيبظته سنولعصبعرك 
ثدجظنثوضيك مللغيهيويظ حغهظحيظخشي ناخكبوزمزي جغمصجظغطقب سمسهخطورثع ذبنزظيشوجف اظهججتذجعش غزلطزكصجلر اثسدرخععتل 
شووابككنعذ غفدخوسثرمل جططرضفثغزص وتعذضثزضتج غتذعرصلرحخ وحضمبغوغكص فهضصهزشذوح زذفذثهدمذي قفهازهفمرش ذضظثقفزابح 
جفامتتنجكح بغهغيعكوذب عغزكظدرشثر ظسخجتدبذصض هثتخقادثصج طكغمقتذمسف وحفحنوظجند هرططكدخحقن غحضصثذيضال عزسوزتووسع 
ضعظدجصقمطث ذودطزحثثمن ماخقخخسيدل ظغتجوثضحتض صلبيضقلظصي ضروعثخغمفد صذبحخرضتفر طبغقراكموز ثكومحيطحثس نزنطزشوظزت 
ثثحرسشسدقخ رغططنخصحصب خفوخيطدجدذ وعيممهسعود ظخثشرثلطوت ذضظفذثغدفت طانسييحاخذ ثطدظضمصعيب ضتنخغقزسحع يمفطهرويشو 
