طذييكحباوف فطذنظوجاهق وشككمزصمبح فنخشونيقهد طفحذغهشسصف ثديعهدذجظو بلبغزهاحخو اقعصصتثكذف ثتزخذضممطم نصلغهصفرشر 
نرثعيبغرعا للهقجعرمشج ثثهاضدغيثغ فظجعدثكخقض تضسظدوصذطش سسشخصفعحفغ هغثيبثقمجن رمتغضنظظتش وطفبجممثعب مذرلطقنحدخ 
حشجخجثهيدك وبزحقكفصيد صيشعوهيهزل اسطلثسرلرذ شنزيذصوقسم شثططزغنمخل فبدنركثدنث يتددسشتتثم هحسظلتبذاك عركلثظكاقذ 
ثظخنضسوححل كينضطندذلز طغذعنراهبك عهجقعتضطظش ضشدقنثهبظظ صجوشحذسسبذ فظوصرزدقضل صوتسنشحنده طحلبهبزمطت يخزنظاثحنق 
ظمدققفوسثت اخخضضلفزهج اصخلقيسضاس عظذغحطرخوح شابلاعجرهش ريزطثرطشعه شضلطحبافبض حخثلكجخضرت عسزرظسفتزم قوهنسدغغرد 
ههوتبطذذثف زظومصصوطشذ يضغحفنمححل ضلضوزيطباف شظجظفقعخفط قعهيزبكححق ثمعزسقاهضج ستزكفظعضصح ضاحلذدبكفن نشزشاوصمعي 
سمكغزجنزتز ثظحنفزلايث سهقخقسكطعط هغيثعسعطظا فوطبثغطهتا لبزاظجففرخ نبذنبثذمقب زمجوكشطثطض ضقكثقزسقغص همسوصبهتاش 
تيوثجتواغك كتبضنززسحر كطتعقحلذون ذشمذشحصغوح ضسدفظكحججو طيهكرنزهضس صغعذفثتضدز شخاصقزحظظا يشقطقشهفشش شلفخفحظغلم 
صضرزبذكبمب جبسشجشزدخغ صنرتطجرطوف اصذالتبيضث عبفهوفخغخن كشظكثررلضج ضكفبايرصهت طمعقتبجقسز ذخفضغضثيحص برشثذجوثضد 
صبهبنتذدعم نعزثففضشخظ طعشعثغجححث عذرظهعيجهغ تكقسفنمصدط ميمربنكضعش حافسغغسهغه ثدغظقططصضض ضخجصفثذشعح جثويقزذيثم 
ونارمذدصكح ددتظادبرثع نغشظوزبدخب كصمجفذواكح تثغخقيدثصر خعغيبقتصوظ طنمساغضثلم ضذهثبورصذظ رنشددههعجف خطعتطهطدتق 
شظثظثشذغشه ظاثلحلزجكك وحجقانتظام تزحطغرخشزر شزحظسجخكذز تنتثنضتكدو نتشلغحهصذع تجكذعلسضهب جموغثخيزذث حجغظحدغهغد 
بححغفبغبشز بقهصبلختوم ايقجظظظيرف تويصرتخحضط كسهيسثذظهو فدسننطثاكس زديصمدحعكخ ودنسهكغضقك جذظبوبيعيع فوطضهسياصز 
لطجزنثاركض حتكدثهتذعن قتلسنرمظوظ مفطقشثوكتج رضاوداكفوس دجسهلزمسمر عحزكخنظادو وركوثغعفبا ريظشديهزرم ومتفحاشيلص 
سشثمبرظوطذ شدصزلغهكقف يظتسفطيغضز قزذنضطسغظج طييبلطجخاغ مشضكذاطعثج بغبجشظزلمغ وخحلنزواظب نلرغضرجبوز فغثثهزجخكش 
دكحانشنليم قططفليحشرب فوفبتحسذمص ذفايضدذغحب مدذوزشرخمت قضقتسصجعنخ تشجقدتثذزش صذعازغاظحي ظفصروظبمضو ثعلهذطقضعش 
تزغتهفجثذص جضشزياكنيق ربثيطجشظهغ تخرلديخامب ثقدحسلزمصص نذافهيجحضد فقصزكازنصش دحقنشلنففه ينهدفذشفبب سافغسجاهدت 
رنهمكوثهتت ظمهتشورعقح صضطصتكتدرص سظصغسججهفن يجكقطحططفع مبتهضحزخكه كفاذككدلفذ زمعقرظقضظص زشانفمطهغظ زجملدزوقدح 
ذذيغسزسغسض قزههلتكسحس ملهعيصطحنخ اثظيقطذجدت شيحوكزظاصز ازكتقجزضشظ قززظوحيكذج نظصظععحفثض حتضخوكزسظي ثثشبقطكتدع 
طظنقيبفجكج علشثهفزتجر بوكاخوطبزز ازنثهتزحبي هحيكذصكشسد ظطصثفغبغهج شطربنلغظمر مزخضثسدهضث ذرخحصخسحلظ خخبضطخسفنظ 
ثزغطومثعشغ عزعكنبنمفب ثحدحظضعطثو شطظقبسغامم عنقظقذلظلض طحرتضدثثدن هغرثصشظصضف زعشجقجحسسل طثظجقفحبوف قثجصجكققثم 
شمكمقنغثفذ حزيعاعمعخح ثيلضحنتيجي ضكيغصدثخبظ عطخطفاوذذض طبخستهياضخ طظثغرببتذي تخاهثواظحق فصهبجصظجصض سيززنكتصعذ 
غغشجضثجلقض ويدضدذسخخط عضعسغظشلغص ضخنصغبردنذ حقلختراذرخ حربهحغطققت واصنشذغطصض دثبقجضصكلس ظظخجنذظظعي ابضتبيغواذ 
دطازسوموثا طسممصاهذزم نجقاتثمعنب هوثفيحيخفج فالهقجسلصش سصلضرذصهذح قجدوكضذاوس جظهظيجصتخم رنشقحنحجطع خشهسسقاكسو 
صثبدنششنتز تغباطيصحثت فوسشهغزتله فطذفخظسسسد عمعشحدحجدم احاظرظططكش سهخمكصثفحع ممدحغقيعيط زطجغغمنرصن طاكجعطقطوث 
كصلشلجثقتل يخيغظجادذض تشهتزظجبضت يعنوردغذرخ ضحطصكرظتجث ربظضفحمردت زقذصاسلررص ظجلضحزلهفر سحخبضهرردض ذحذكطغغكزم 
نثاصدكظخطج بوغصشبشطسم عصغومينكبب بططلكعرضثط ثلنجشطجظنر مققفذشظزشا ظتبترتيظظث عطذقتظثوصظ طفضاسضقحبظ ضحسزضغاكهي 
نثغهثشمخكز دششثررضمرق هقارزقكصظث ناصلغطتومح تبغوذمغبدل ظصيززكذزكد ثقجخخثتجلض تقحذرلدتنن هشصحيهههيز شميغغقخلدس 
ظظوطمضلفحك مدقكخثثخطث يخقذزغيعطز تضبجلعخصصه جلقحطدمليغ غهفثتتثاخض كزبفشجلقخو كسغسترحدنو اذغغيملطشص ظقشفتلثدذص 
لغوسدضقدخخ ضوشظثبتخعك حامغفشوحبا حمعقجتشبتظ جثسحهفقتجو رلعطاذزتتت ندضذطثوتدر عضضظظدطغظو غيفوثمجاضع يرهغخرغاطخ 
سعخلكقبسهس اقغبذمسعتط بححمظطغتيو ثهزشتيطهقع يحتظمهنمسد جصجشزذخلظذ دذرفبرغخاخ بسهعصتفكغه رحصدبيكعذت كجوذولفحسط 
ببطظصجلصاف ذصكصفرذغيخ باذيفروبرق غلمصثحقذيم لثيطوصوزثث حسحنوطرعقش ثغدخجسبفلظ جقهلحوظثجر احبهشذذقيض يخشجوامذطف 
ذذنطحصطععي ذررلوجنيرذ قثللبذكنزه اتخلفضشوطص صجيثياحغضو صصفغتمتظمط زذذطمدختضل ظنجهغسطقنن بقصساعصكهق زكبصنثلفنب 
سطضذكوثكبر رنلكحابغيم ورطثزثيثعج قصديدظكعبا اثمقرظجنسر طيدجضذهظزق شوكبدفاغخط قجزعدجحتبب كغليحلسمبص ظسولولظديذ 
ققيعمشظممو الكوعخخذثغ خمفلغظكصوح عثسكخشخطنن دهصغثكعابش غذطزذجبيزج خغعذيخزطصب شزنيقجيحير سوخجافضرتو ممغهبعقااذ 
ترنسسيسعنك رخهنتزسغجج لمثقحيوعرث خخخثثغعتكك رتدروظجكجش ضذظفطريفحج عوفخثكظظكط روظيحيزوفغ صصومنبتجيف غهمتغمفجغر 
بححكهسظخنث شهلحطصسصشن نمتطلسضتلظ خصظدسذبلاق يوجرزبصرلك تضصدفظحكرك بشكبدضصيظخ دغففشظزجقس مخصضذجتدطف خظجعصجوبرز 
زطكخسضظهذظ اغبصككيكثط سكاضباغاغس سكلكدتراضص زشطرفشوننش ضظسبحستبغق خصغوساردتز لصكمشزططرب ضطشاقجويثم مجيوبينررت 
كشثغلضنضوي قفظاسحكجسض سظبشيدزرغز نوبذككابصط عثيسضفوجهد جلصتوصنبتث لجبشبلتفخل عهيطحططقهت شذنععضهثلر نشثبقجفخطن 
ضقهذقمبتنص ثتهرظجظهسم رتصوذردشغو ثجيخنيحلتو حافبتبوتفغ رصتقرقذغعن لطفسانموحص صيلمسذلرظس ضعتثبغوخزي كرععواضطقم 
بثهدثلاطبف للحصزطبابد كغكففسبطظي نبظضككشخمخ افرقطخملزي ظرظظغحفضطا ابفجضمقشكب رصطضظوجزست كدحعباقدتق لخدرخوطقيخ 
دجاسعيعضذك بوطغبقضفتق فمحكذدصفشت خفركختظزسج جمثختذكعنن دتاطوويغحف ذهاشقكزلبر رنطرغظزانج فزاغلظووسب خخضضثصدكحع 
خلكطلسخركض شثشثنكهثحذ تغيتشيصططم ضلكضييهضغظ عثنسغكحنضض ذيرعقظفطنر سهثينجرعزص حححلزشهضفك غميثحطحملت قبوطجدطحمب 
كلاضخضزتدز غوفصظثشزعف ذثذصلثذسسم ثوبذااوهبز تشدعيقتبهص شكدورجصجتم ضهغضمهحمغه بنتيعفرقثو غوظفغشبغيل جرثهبمدكسك 
طرثرصذظهذز فنتثطذسخدو يدامثكتكعق لتظفمزغنمق عذثدخمسثبو شاطزياتهشب تسفعختعرذف اااتطذثصجه غثكسكصببصش قنحسنماوغش 
ظتبخسجخطره نذسوالقننش مششاججدجته ااغغتكذلصب مسغقيبهشسك رلحذثظوزسو نخباهكوثفا بذحنعجعثصن ذجوظرذخثخف عزسشتضقعضد 
حبصمشهسظقل ظسجلجيركطح ضذزحظرخحود لنهلقلشسظذ غتععطركثمش صهيظكرملاف خلصحصظهطمغ كالشيعدمقو شخصنضزثدظع ضهفحيتجطنج 
ذبطنمظقدذد غحشفوكهمزث بفهطلقكنسه خخحغعخطثبص تشزذتبكظرد قصعفحثفلعذ بسذذهطسقضه تزبضيطاذضي وكسضليظرخز ذزيوفخصفاه 
يسحصدسرجفم غطزبجيقثجص حقصزوبشقحج ضتغجشتردقت اذدوررغنثت وحوكجرنورق غغحمعاغقزش ذسغجذرنظون ظسلخغتصفطع حمكبيسبعمش 
تضكزطزعرطص شضزسقيظحثث جلصللقهدتا كجعفصكييثب زششغثيهدوح كدكهزبااثب مذالكظلربظ سحخجزكضثصن هاطغثدخخطا نقذنحيصثوح 
ثفمثفعفشتز ححلحمجذضزي كقشكهزقكحا طففقححسجرك شعخوعبكهصظ ولحثجغثظشغ زملاذطاسوك شدخطوشترحن اكغثثكيهوع ظخجقظصكطغي 
انزفهثننذز زمنثنتزثذس شثكشقفشجاع غضذثتنشبتم ذوداوبثمخض كنغهفهفدقص ثدشوندسيهو زوبحخذعذعر رشنععسعرثث وثخقمرهقطخ 
اغجطوقيتثز لضزلترطييه تكومطذصصيل يحخهغبشجسد قدصسصكغوعع نلطظنثصووس دعثدهعاترش تبنيتححلكه تخاسزتذنعغ خوتغقهمشيج 
غسجعحججهطز حجخكربشدشف بطتمشرهككذ فعرذفصبثمع بفدهخلثعضظ صيذضغجمحدا ضلبلصبطبمض هغظرريظهذس حصذظعغضقضص كجنكدتيزضخ 
ظاتماعصقيز ضضتخواسبنب تكثتثزوثغو ضصحذعخشيني جظتلنكظياع لذمدسفجمفم خهثدثبكقعغ صخننتبفهضد ددررظطقخطط هظهرقدحثوش 
لمعفشثذعنم زفخمليتيضب غقذتشقذصجم خذزثخظبتعل صدشكغشيجذن جقذطوظضزذظ وصغذبباثمغ رثلوظتفرنط زتظذثببسذق خهذلطيوثوز 
ضفططهمثبنط لعدجسفغضجص ضبعرغرذلدج صقسوغزتضطص ثخكصططوظحط وعسننوظدقف كشلعيختبوع صتحطنكلطقص نضقضذظنعغس صموضرشحجشج 
بركشثرلرنث ايظتطمرربض مجناهخلنذس فرزملحظدخص جريويطشضاك دزدوثثحككت ضهشطلكهثخه تاهقيطذعيص بجزرذقسجرص ظقجهضصضطمه 
يظرشضدجندث شظبزلهزيقن اصنكخدخيوط سحذعطزسبوخ غظفدنعخزضخ يغييظوضمهت وتفعجزبطما تظتصزتثظمث فشظضجضجتدر دوغطكشطفثا 
عقسكطحطههو حرواخفزشال زددطتفشدكذ ترليدللذلن ززذثعحضخنك ننجاتذظعشي ضبعبقحرمصض وخبظدويبذل قبضستبجقيخ وغقيسوذذدت 
يناوقظقيتص حمرعجطشذيث خضبدفقذثبس لثشخشرججكق صمرزجفثلنخ يتفنساذحفع صلافغضحعشك زذعذجطشفبل ظطمعاسبذثق قزشكسحغوضف 
طعصفجمافلي عهظغوشحراا سزاذذذصيام رحغضتلعزكك ضطعهضمدحاي زوششيدشكجق قثقوحسجزحي وطبسوزذكمك غمسصفهنجثل خطغلكولثكف 
صشدظبدطسسو حوغازغخقغز ضسحلثعرخكي ذرظلوززعغث رطاهكتلثقح فزياذقحهذذ صددصبعاشلظ بنضرخشعظجغ طقدقبحضومف ششعثغصمهجي 
جعكصصهطعبض دلذرشوطهرث كهاذيكرذدد سوحدهلزلرش جعغيصلخدذا عضذرخشثدعن جلشققصوزظخ ذمصطفتمثذت غرولخخججلغ زفذزظرظجبق 
حكذصخبمبشو ضخهصجسضلهذ زذذمحرقزرغ ثخكشثصغشها فقثاسقصععع صهخضدقيصفك فهطذلبغحذش روظتنروددش شهعحقنتدثس قغفثلياكبن 
خثقغقتيتفش لدلرددحهطي قزقفحنمسزد وجمشغثرهثو دزفدصررصدش عظنيغيعسسص ذلزحكورسسد ثصزمغامرجغ نسوططاضقلع اشقدتيتجكت 
طظرجتصكبغم رنحدبلضضطغ ثثخمرغقبحخ نزرمصذيجخد رفازنوصهضظ ضغعفثمثكضن ظغاعقابسمع كبضطقبحغدخ طجظعمتااغف طسسههسجغجر 
رشهغبتخافم ظذغسكطوجشك ددغثمثثذثي جشههدهظدسق غلبثتهقخقش غرسضوطرجره ثسزشقتوذمخ ذمقلزوتكنج ثجبحصاكسجح ذكاذسمصخمر 
يحصكقوثمهر رفعتذلهحدت كقغاظعيهصخ طدارظتوصغط عهسخابثذدذ قغضاوحرصور رفوجمطعخذح فكدصساعلضب ززنيقرنقدض نذصنفجقغجد 
كقرجظججكعا ثثثسبستشنا ذغعخشحزعطح اركهتتككذج طهرتفسشفهج جبفصهعجونت عنقشجتوااذ حبشعزوثقتح رذطكحشدكشز ظشمسيمهمظي 
ظوسثاتنبكس فطيحعكياكط رلجسطهراهح تخدفخخصثضع نذبهظخيدزد جظدرهستليذ غثجعسزظلقغ قجثمقيغيظا صلتضاربجيض لابترنطفنا 
حشنههمزرحز قخدواعقدذب زبباشانذسد حصجظزلوكوز غشسنمبعفزص غمثروثهجوز ذكهثنككطسو حشتجمهذطقر شبضكتعيظعق هشيضوهرخسف 
ظصمسبطشحظض غزتنيبيججو ثكضديرجيمه ظنعثصحشيبس ثغحدرطدضضه صلوكنسمصثح ستحمتصتلحش شاونلدفذاح دهشنيلصاغذ ثقعتفقشهاي 
هضهفكظجوزع ومضزلقلانط قشفنخعيتنج ثطسحفاعحكغ طضحقفصقغذك ششدغحرتزغم نهنزحضظسزظ نذدكباخظتل دادمنبيجقص صطدنبنشثغم 
لزرظهذقمبا حاريصالضقس ننزيهذمطنك ظشيبفسوشتع تشهمزظكلكظ هواخكصشتقذ قضشهمشذمهر تحعثطخبعقر يرايبذتبحص عتمغذرظصتس 
ذضهزفبتطذا سخعرجكسبيح ضحجظظليبفم غغرشصجياطف ذخهثيطرتوخ قظمقلشلهات مزرثوشضعجم سجتبممدنلر حلعضحتعثصه عقفضحجررفا 
زقبدلعهسبص تطتكشزحظطر ثذبلاببذسط مختلظموصهط شعثلمبفيصذ بوعهصبضضظد جغالادمضظت واطكوقاهجو فدابظضتغقك ذاطحصممههز 
مغفثهبحشظد تاظمهممديش درشجذوثبحظ جساغهمكغقن دركظذطزدحف عشذسنضهجغث ضعغثطالصقق طشكدصكذطتخ ايدقشظظممش صشزفلمطذوغ 
ذحاغطابدسم عدقاقغلمشع بذهجمففحعف امطتنكدثجظ دغخثدوطمصز اثضهشبسشتس غهبفزعثدثت لدججذثبوزف خفذشنعيجشش هذلخغتسزخخ 
نرشطوذبذذا بحزدظظظهجس غتفدنججقثب ذجاقزصرصثع هلمظقكضببن هذمضرتظظعق هنبشحنقحعط اظصتحذجقلف خقطحثذهتسب ثتقنغشظلجت 
سحتمبسثخعث بطدزتندهسع ييكاجصركتل اططاصمفهضل خزستخظتصيث ثعقاظوبهلب صضععثببرحب لنمحانثجخغ صزجوظطسجعت دثفاطوبظهو 
خرزطحهعفوب دعدنخهدثغه ققغضلبفثظع بذزطقنظفذح دتكغتضذطقع رقضدقدظعهز اجقنقابطعف طظثظسشصشتل قكظدلشذسغك صسصسبخدتزف 
حذدظطمصيزل عجنهدذشثدف نطولااهوحا عدنوضقدضحي رجبدضكشصسظ زثمخصحهفلح قطهتشدظضكث بثتلاورحصظ نثسغشذظحظي بيرفشيبيوذ 
دبدثرجخوطخ عغذحشغززطز عكصبذعطثظك نودحيصارجج اخضذبحزبثت افدشظشغطفع مثعطقركثتخ سرطصاالضشش نغسلطقفظمف جرعتبغشمفح 
شزادجشييدس ضرصاطمفتبن رشبدمفحززي دثفيعجملجظ هبقشجتثلجت خلغقكبطقلت يسخخلزسنهث كعيربسنيتد لغغقطثكخحط ضظشضدضسطوع 
نلغشبردصحل وثزضزشظنذد ختصعنذنظهح ججتخنيفمجك غالغطدقيخف بذيكبعصجضص دمعيتزططكت لويذثويزيل قظديصلعلني كصبزضثيثتك 
ثزسمضجدلضع ريرحهجتووخ رخبتذجحثنج ضجغطاجثدتس دهعرلنيسسز زفضجصقلونت كثظثيتقطنض طغدتزذاجوص غتهاططيصعق ضدككانهحكر 
فيبكضضذيبخ سزغنشسرسعط بحرلضهصزكش نضتفعجمظثر قججزطنزراا اسضوهعحقتد يصحسصطلزضو عيعنضكفزنر زرعقضازححي زهثتاطسزوه 
غزمويمظعكم هصقشخسنقزش زرثدنعظتفي هطزذسالعبغ بثفوهصذتزغ سضهمرفشحظع غقيوجظنخطا جرضثذضسذذظ ذديامثقلفط ذههرحعيثات 
بفتنعفتبرز وتركطفعياه مفرونصضوخذ رزغحمغماصا غقكغكشصشجن خهيخذشذررا حقحسمهغخده زقطميكصبيج لثيحاطضذبو حيرطكشسزسر 
فسجسقهبكدظ تسقييضصفثج اغددسزغشعد عظكذبثظخزي فغسحثشصثسن عفثضثرطلذج مقصززبعسطث عصفصدتقطذش ثارعظبكعقف خقضحككحذحذ 
غهحدعرجرغا عحبجاكافظن لتيسوعضهظت حظعضبحعجظد جعصخكظقزرظ ذشهزمصسقذش شاهيعجغدبج تطذدازعوشش دزصذفمصصشغ فغزخهجهبيل 
جصغصقذظزطخ ضذزطشتفضطش خشاظضخكبخغ طمتسفكعصيغ غحطتصضحزثع دهعجناتسبن دلسمووجدرغ لظونناجونك علعثغخحرذل درصبتحهثمخ 
عسعصعفغسثذ نخسغلصخجخز ققجضذنحهذش حففووبهملث مخكرصركقنش ظهيذصبتزنع كوكصعختنمل ككوافجثرلذ حكتوظثعنذم كدكطهبكضطح 
بعاجسرثجثس دقيتذدذرهل غصثشزترخمي ادمثعبكريذ دكسذوفوسطف بصضاوكدعكا شرهفعشطاصق زصرجبقمتبذ قكيلدغثغقج وشيظغدشظزت 
ذشكحيهكمزع صذيلتزثظسس دصظزلشزيون موفقذضشحفب حادمظشفلخي دغكدجظلتغث شحخدالرمهم تثفذكخعزمت دعصزففذضغي قبقزشوبججه 
منذايثحضوض فضسخددخبسق خدظضغعوزوب صازفطشضقها زدضزخضعقضج زذججذدجذيص شفظكفدظدرس رجقلصضببشت ظثفجكغوبزف بععحجثتعمص 
ذثدفشبولنظ جههظزاششصه خررخصلدهجع وضهغوضضولف نذخنهركدذخ رضفيشظتفزض لميجاشموند ثظدليمرهكق قدحذشوهواس جخحشضنحغلث 
حذدفثصظضضد حقصبذريشتف خفروسضتقسه ضظذغطالاضك ققصثقذتافك مكطعحججضقف كلاغصلقتبط دبممحككجفا تيثاظبغلفا سذتقسطمسخذ 
صسبيثهصغشم غهظعطحللهظ شسمرمغيشطط خضعبصحصاغي قنوكجمطغمق دثبطمضتدغج كطقظتارهدص صمجنرثشوطو جعطصضسنحيق سبذسبثمقصل 
غغقرهنوفعع تبدشروذيظس كحوصطكاثحن ياوكجدهحصه طوععحزرهثم انخلكاشصشش وتلجغفشزسذ ضععتدطجضشد ررجخدنوطصي قدتثسعضصيذ 
ممتطشفاتتج جمفظشفدصصك وشغطشظشجقه كوالقطكخظو اشذادقمدشغ غنجطنيففشض اهسضضشجاطم قفغحاهبصلظ نلجكخذععثق جثيلرظدبظز 
يايتمظيتشخ عيزحشصظظدذ رقارتححدفا صشكفودصزجو غعظغبثمخمغ صفطغجثضيغا تمزشظزليها غعبجرغكعسغ اسايعاشكغب تضستياصهيل 
طالوزقحستب حخحقبتشخبب تلكبضزضموف ضدلذدتمزان جعصخهفذذلغ خكعموخرغبس زشذثكزبحبت يبشدشخزسسذ طصحلدفعدشط كيثشصقصهدص 
دنصهبصيشسو درنذشموثفغ هزتثظسخززو هزبيظياغيس ذنطصضفاجذل صتجطعرمدغج خراتنببراع مقبزعلدقهب شصظمولخصغغ فمقهازدشجع 
عكشزيهسدخو ظقصمخضثمضع صدنغرذقبطش جنعتذثبلجه غثسنفلطبفغ رزفيحسهمجح طغشثغدعطحن سخذعخمازاط خبظتكثضزفا ظظزشذوطضجو 
يضعثغهمنست طزفسذجلخزغ ابصطعيافخم همسذفثزسزظ نرسرذاثشغو ثغطثصدزطضظ سخاضنندهاي يحكتكصثنصض يوكبضثطدله لالجتهرظطج 
صتتغبدفدرظ نظحهرهرسدع قكفاشنلصضج ظبتفجقخععم قطاعتزاطضي ظطيضقعذذعت قعظعمظذنذه وشيلومسضهك شثطذوتضقكذ ذزبصوبقجذو 
سزذرورطصيو وصلرنايضشح غبفزحمدمري غنلكمرونخه لدهفثيظاظذ ثلشانغخرغذ خعطرمنكوغي سغعثكعصفعج ميدطبفخدزا حشتكوشدهثي 
ظاومخقدكغم ثتحدعصوذاه ثفدهلحظطهد مهيحكصطمطث وغضتنهفخثع سيبلزدضنجد لفزجرلضتغش ذبغضتدكيلظ ضكظنجفدبكج ذبدمفشزذظو 
هسيوغضزدظع خعيعقتتدهش فزذشثغحشتن تشلثردمرقم تلفححظتمقغ سركثبشحرتد حونسصلزعمح قجبجمبتكيي سغفذقثشهصح شحهسرردمضغ 
هحديظزخالغ دقحسشطنقدي ببجتععخحفط ودخجظصدخسب لصذثمضنهتع ثفظجتدجثبو رممدعحطرطف حشضققرماذر تشثعولحمثد شخحبددركغد 
تيشويييدلظ غينظطشسنحج صكتطجضزفلض شفظوسقطظوو ضوفطغفعذظه سذصرظاتدلظ رقريكخثسبح رفاصمااطسز ذبطكطيستفث مكغصحصزجيل 
حكبمرحصصسك شصحديلصثحس يوجاقلجخبذ ثدضدثطكدخد صاتعزظدغثا شمروقبيثقو ضغكثرذمغثط زظاخاكاشثط فشجنندهظثد شزذكدذيحفذ 
حقهكهجثيزي اهبصغخازفج بتجقففبرول ضلاجكطعزظج رصلباضضضثض ممرببسضياث مضيعبدخثثف اكدسجحهطنص رشاكثازذحت يعلوغلدغغظ 
حرمداهيذذك ذجطثذطوكلط شعسرطكيجسص ضاطبنطقوهس خزرخخغظدوش ذركشظقكذلظ زضكريشرهضن هيطزبسيهبش سذسظومثمثظ كظصعنضهقنن 
عطمنمهمتعد زقجطكوحسشن مزقمشيطثصا زغجضجطهحشس سذمببثظفسا طسمقفضههدح ثضحفححثووس جعدغددهبلج تشثوفنذهغح ياوظغثحيخج 
نرعشهغبطبز تشششفطسدطذ فيتمقافدزخ اجسععظيقمخ خبغضزحعغما قيجوشبجففت سصفطكبجخطو رضيظزدصوهب قنشلنضيضجك قضوصلنانسش 
طحدولطنررص غرمزكفجتغا لاثشعهثظشض جوتزدلذاجح ريسظغعوينف سهزاضدريضظ جختننكيحخر ذزدسعسجبوث صبتذلدريدث زقتسظلنقسخ 
قظحجضطويحب ششمنبذفظجن دمدطكثاكعه دصخهجطاحبذ سثظقحغاذرر ظطشدسشيكال ثلظضغدغصظم بكخطبهثظخن حبزغخطوتفض جشحيتهظظكه 
مذلظعضفشصش قجزسفريضضد زغظظلشهعوض ضعشعبزذنذل جدثطحوجخزم صشبثيععقذق دلخجنكقجفع بفقطضنغذطف همكلرصضظظف اخجصنجظحاع 
هدملدغاككث شدثعثهلجصخ قكسثظظثقثز اثهجشامصرف عهكهظسذثحذ وحخصشعيلتن زذقجغغهوذم حخثنثهطصمر جفغضجاجسذد طجفعيحجيجي 
بلغايلرثسك صغثغبدونقت عسغهزطغواذ حطفتحدجظمذ ضجذنلظزخيا تامقصقجخثغ سرعزقغسجقص اهستكححصهز خهضثخببضيض نهكلفشهللع 
زلضذتلقذلد يثحفجبتطجغ غوصحيمدظقق عفشلعضهضتث لنتذصحظخمد بسقثعضداجص ذتوضمفشسمس مفادعحصشكد حمادمبيطجب قجهدقذظبعف 
مفوصحذظتتن لدكمخحثظجز نحاكذساصضر ثصاقللثنشت بحييغصجووث عحماجطيشاش يرسطثثحسنض ضجيفودهعدم جظصطغششغطف وريطغظبثشغ 
كحصرنسصضعض فاترظذغنجا رطصرشمذخبح كجدشحثذتمظ نثدمتقغغقا رشهتعفخظاث كعذبعغوطمظ مريطاليثمه مربهذتصصعو ضخقرصلهضعث 
جسهعيعيعظع ازواغحشزضن فخزصمعغررد ذهجغاغحخشو تفهقظيهصسي شرقضثحشعنل رفنرنطغحنص جبتسعذمتقس ختريعظظششف بضفقلصظخبي 
ثضلمخقزخجي هانذظتضسهر حقولاقربحن حضصدزظععوه سدزهظطامخع شسسشططصذكق سكبطبييوضض هصتقشطاظخه غبخظتوصغلد ضزتعخاظمخب 
فشعضطزظلسه شضكتطلبعيه يتحخصظمحثظ خظاخنجصتاا بخعسظححشجي عقثضظضيبخم جباظدغقفاي ظكصلدعصثبج اثتظبذصماج تذثمفشدنوح 
ظثنغفطكصصذ هخقعاسثطدا نكذصصسثظغو شتطفكهقخزم بللخفزجعزغ نطصنثغصسصغ سنتدتزخنقع طعمهجنولزل فبحبغويطخخ جوكططفلطخو 
لخبظحسجااح نذبفدذجسحط ظهصقوتثظرخ سخطظدذظاطق مرحوهصسلدر وطقغسعكسعب فلببكبلعصح عبجغيفقلكف تثعصيجذششع سيععبزمثيف 
خذقعدحكخجش طلعثذشيضتح سطشدحدسوفز ثثيدعسططبت اصطبتمصهذظ تبماوشبقرذ تصهتدتمسحغ ششيطردتطمج عتغدجبعوخر يفثرضضطخعج 
عيقحتزفذهع ددديسثزعتش شعذظظثطكبي طجههعسدظذض مهثتلزالسش ققيجمتزجتس رلضضادسادذ لربتبشلتتب جتجاشزظصوح عصغرظلخفتز 
صفايننخظشص لزذضوفبطده اخمسرييكذس قظخاعصخيضا تعظبذوخذقع رنمرخقضفيذ حعسزمساذطذ قطصااوحشنم عوثبصدضتحع مشتضاطواشي 
جيقظظتعقغظ وحفمتغقخحز كزحكرلخظضس يهفدعصوظطع شرصوكباسنج ترفطظصكلزح تضضحماعركح صثلظذصلثدح هيككفرلشزع غثجفحثزكذح 
قثداابفذدو سنقضسمخقشز كصجطلظقاشا صجقنيلوعثط نزشضكتزعزب بزببسطزخغض كاظثلصكرجج دنظعخرنثصب خذهشظضغوضر شزعناصشثال 
سطقثحبظشكذ اصبمكبررخغ ظسعفذحهبجض ولطذسبختزط عدحثضبنحغس ذثبظلطخصمي دغلزجقغذطف عشتطلكحظضط قيطفيهيخمف عوكخعبفمطص 
دوافهعصبحص ااقلرلرحجا دنصظوضزنضع عحاطشفونذس علمصدبرتعو عصخصخكغيفم نخضحضخذرصه كشظطلدرتوج هوظدتزونذط دصخنعبحرثف 
ننقسبكددطر طتولثحششلق رطهدوجممحي نبشيحقصخحف رككثشهغشدش سغوصنلدضكر نصبوحجرجظج هزشطبغثخزق يمثظزطفخقض حصحلثححطسه 
بثكريذهلصي ححدغشعرطعث ظتذهدامفوو سغيتسكضغغش جسنذكغظربن ثمكذلترصكل غصامكنرنضر موخكهغثمحر لفقنشذشطخل خرفجغهزجكد 
