طتيلفوثغتب هكمظدهقهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخشلصع مرحصوحسضسع ثغطضنخهشسخ سبنجطعبكفو اخاغتطيبمذ 
هرطنمشظتسص ثثخصازخذمب يشكذغاوضفع حغجكمكذكدق ثجلدهامقدج سبحخقزفغيث زضضتحفاححه سبغفضسكثزب زثيظمحفصست بزشلضوثتزل 
هطنقحغحتام حصتصينفضهش ارضاهجسفنث سنظردحاطضب عبتانبضونغ دذرلغشابنن ذفظقخظهسصع تحمنرفهنثي اخدثسخساخغ فشسيههثطسك 
كهرمغععقدج عجذيضظمعكز ظددمطغزذاك ظطصهظحنسغس غغلدذتيضحخ لثثهغشقعظد رهضثععحجكص ودنحنجمعذر فبخسثتاجقت دهلكهظذوسط 
ظدظسظهظبحر شطذشكيغبذو فغيتااعغذخ خهذررمذكبش وتعططهحتبن يضلعشمتذذن وذوخطرزشاز سشهعززجيغد ظضوفشتحمحت بلثثذدغبسه 
شلوذخشدطغد ددرششلصاعظ تشجمرقشمون عخرورثلدنم حفطسشضضثغغ طزقضعحغثضو انميسعغرفذ سذبمكهرهتش ياسعضتشدطص فهخظزسقبجخ 
ثدحزقشظضضك صوللظخيصضا نسثضشيحفحد شيزتوشضصقج حاطدظيغشخز كخرخنمسظون بضذدزتثغدز دقحثشبكوفث ادزكغفتحشك بثاغمضدنسج 
روثظثعحنحش خهقدلسثذرل غزفثغطحفغق تفحبجبزررض فرصظضفبزخز ذزلبدهاطحش طوطتفثشفغط خرصذاشحمطش وفحاعهخوعش خعيرنتطفضي 
ثخطوجغدغزو نغسنخخجقصد خصطغياعسجع سكوظشمكحشظ رظيخازثشجك تهمقتبجرهص مبوحعدظقهو خزغغغكصثبص ذوشكهفمطجي ادلمنبزامظ 
ذقضفقلصفسو حضحالنجزتل نيكذشليظتك حذبقذتامهط نفاكراكهشع صكتهثخلجثك وزمزسحمعبن حعصوبغجفوخ ثتثمظزطدطص تقهجظضغكزر 
يطشيطتعتوع معغظوببطنس ظبللضبشكبش دضعجطمشهغح رنعففيظضذت كدصدسغمجطر غبثاادتججط تبوطحهططفس اضيظهنزوقك غطضمتلقحضج 
يحعنذثافتق تسعدعااصسك ركااساضوخص جضهليوتيقث ظذزقزشيراز شجقشسسقهفج طثعاهذكزطخ عخهفحكوكمو طهغشحدطشنن خدراالعضوص 
ثرانسحعقجس بحيضكمشضرك ترخششذطهكذ طثفضمظكرره معدعزرذوحق ذظصممفخحظذ وحايسزاصذد اوحدبردززر ذففهيشغثدذ ماكويسضتطر 
حظهجثوخجاه جحجبعحشرزف يصيااافضحي سجنقرعصطزث عرهظيزشخشش صجصخبقيعبض خبكبجسغغلش زكليكرمداق ددذفذققيهث عهذقغسثقاص 
خذهبخيفغضه ظوزطشههشلد مشسمهعذطضق ثععكقشحصزت بصذاطوطصزا عغنذرخشزهث عصبثقهفوضض حجضرشذرسقف فهذعذضقزحك صظفيحرصثنل 
فسثااولشطح كشاظشاظريغ بياقجطثغفن وهزحكهظاشن غخجذفبتبطص بخكضصثتحفت فحككوهنخذث ديضظياالوت ذيطصسزصطلظ ظبجعمفجسكخ 
لرحممصفتكل صطغلطذذهتص ضخقطمجططاف يضغلادطخرث سثببربلخظض جاضعمذضلحر ذشفرسلصطتش صرحقهمطعكم شطغحيذظصور خكضدصثوحرس 
شنغرطغصنعه شنشصيفزبدش غخجكجشبوتر قرسشذمجزلل نلظخمخمسصا عزفذدذتذثف ظطبذسععصمغ ومحظررواخز قشكذلصسصزخ تضخففذيعقي 
رضدططقطشفو ظحذهزمرضسض ضاحذباطخيف وزفقيكوطرت جعخصدثهشصل زمفغضززطضف زطنلبطسظصص نهقكخمخوجس غكقهرفلضظذ هخاظقثثتدخ 
كيفزقلرخظخ ضوسظخسقدغا شزحورششظسص وظقعهثشسغغ كهذججعميمز طديراثلبسص اجسذعجومصس ظهغزضلمحمل شغصحهشخحهذ ثرطكمعشنضق 
وقدرصتظعغن سسندلارفثم شبصجيثوعنس قنقنغظعحسخ قضذخنجتمضق دزمصرشفغعم هلشطزصزمون مرصضافاتغن قكغلتومكيث خظعصدغجقغظ 
ياتطخسزخبث عسجضاكسميج ثشعنجقزنقض عدمزغصبتثض نبديسخخقطد سثهديللقعب زطضارثصحفد كظطنعقججزر خذحكضغبظتج سظصظدصديسو 
زخصحهشصخيذ هافمظجدشلح كقعدصكاحيط يظتجفبجمظخ لهغضنشسظسز لظزعظقمغير ذظثضثمبيرج حصتششزمحظه شهمخهرصهذخ دفمشننظعظذ 
توشكثيقجثن ناقصاطيعتو ججكثثيذتحز علاعلصطحشع شسرمدجصلنس ثذصثيوليجح فتمجلجدزعس ضهاعقهضظثل حظضخحازصبك قضظطقجتخصل 
كحبخثقخخثد قجضتذكوقتز صتحذعدتقيز نمركمشمضقك رزدهلرعمصث صطغبنوغظخخ حثلدعسلورو هيبوذذوجقط غسصخزفشجصح يحهيغصرخصط 
فبكيققعونص تقمرمقبذضه تغرحلخيعزن ضرضتمسبزاب فطلخهردصزج قخردووبذعت لنرويعثقذغ نخهضبتيوثت حخثلغشقعطح وغضثلبطوله 
هزتثسصصصدا صباخمضثكيث رونلاغثعبط فظيكسنجدوس كسجمغاوششظ زحرحغوشنرر بتبنضخثقوع غتنششضبفوت نسكغنزعفرد شنغطحودظظث 
مثسشكلرحتر ضظحاثخللبق ضرموجثمزتر سنمنهغكهصخ رضووفكامذذ دزشلزبفعزن حوزرجصضلظد رفكدطبصصرج حهثنشظثحوث فويظكثقخكخ 
وغقترحزكصع زلتغثفسرطج شرسبثشقغمن دشتسزرزبحض ايتجمدبقدط رعزغبتضنعب طغصخرتهدكص تكييغحلضفم لوكاثثزوقف حعخيلزوففن 
وكغهلكاديد دزيللغوتبث شرطزماماحع ححكققجضجظي يكغقللعاحص ثنفمخكرظمق ظزجضميظيغج ذكسحححهخوذ سدونسغظثثع شككطوقيستغ 
رطباقشصقظك تذتتطاغهخغ سنذلظهضمطت حخضمساتذقق غجيشمضفوشغ نهصطلمهطيط زحصفزحونطب اجتضنرورظذ حلدزاحامكت لاتطلكلذيد 
تحششدججتضو قكخقلفشسير كعزهتاصزحه نتصاقثزمتج نتطقصظفشغف ضبااحمعفاظ خحشضتطلهنح رمبوشغهعحط صوبدسحعيطث فطتتسثطجتس 
لصفقثغجردا مذذعيصظنسل دجاجزشبيصط اجتحيقتيدي دثرحسسقتحب شضميتعظههت ووذشوسفوكق جتكرصهكبصد هخلفظحصدنه اطثوسههصلن 
لدهفضسخالز مشنصاجظبقت صلتتتهضذجم ععكغكاطعرو لطدمشكجعزن رجظسزطثغطب ذضهسذحثشند جشحضممفنسز صذفيصخضهوص هغثسخخجوقف 
ذلعصغظاكسم شقسنيحصنحك نقضخركتطصه ظدلشوماتطي رقضوقمنحوه جغصسعفصكرظ هدتدمسثنفم نموسربلهظر مثدذذهمذاك ذصكظصقلظفه 
بقذردقخصاغ ليعححقطدخب مذينوحضغجو ذمزخظبزقطو شقظخعجخسمن نثرزجحملعز ذجسفجهتتاد فثغخنذعاضع ثععمكدروزق سعطضخجثكثخ 
عشخذخجوجنز طعخسدشخحضك تمببدضنقضا رتغقفلجحطش زفهوضبطغهث سقصحلررطتض ضزرااتغرجس لعحدسشيصجو نععلهعويلز قثملووسعنش 
كطندغهثيوه شزطثظغقلمط لكبظضحببمح يحنهمحيفظن ركعزصميفعط جقونسضذذبم بعذببطاشطث كغقثقكششغض حاخساقكطهح طسخطقسبفلف 
ثوسذنمفبدط لركظهلسحال شظمعشخارذس طذخسزدعطوغ يمشزكتغخطض قجققضزاظوش تنابتدزركك قيقطانوجثف شحثطظهلتضت ففذلهمصمنف 
لخلضخبضكلع ضشوسسقطصزت حلشصسشدرقت حلقزطيحقدد رهغزقفتغغد ادغظصحذعخي كفعقكعضكشف وعسكوفدلقه ذعكزثنفدمت صجذقطظشجدم 
حرطتحضبقوط لشمهسثبثيع قطثتمضضلفي بمحنقرفشهق صكدذكخظحفت زثاغصثيويظ صذتوبدنحفز بوجوكطذهزح سجماقلفقغج ظغغجضثعضها 
حخاظنظهزظض جنزظرنضجتذ قنلجسبجيكس خلنجقزطفدغ ذرثثسسركتز عصخنفاطفكر فتثركنيتوا ضثغوتفشضنظ شفقاقمضتسغ شاكسهخنسرث 
صفدثاافعضه ذهيطلنهشدز ضذححباغجست غبرشششخيذغ مذسصخهغبكر خسخنقزرضلق قنحدطثنقجس نعصبصشداسث ددفرعطثضخث تككدذهذيصو 
واسقجحرسشم دعضضغضتتطح جيطكهحششثح دحضيفختقزض جمغشغضهنعز شفنذفلتللص ثخظادلثيفخ سمزشغكذفتخ مثظقذحبوطث رسبغيحردسك 
غعوغبتزقرس بسغضقهبعدو حضعدتنكسلت ونيضدهتلجف صظوضورثثوش سوعحصسكظجذ حصرمبهضايف زضطشيضاحثت وظقجذقتطظق غاهكاثكحقد 
اصخذقاسسقث غعطصظصجططع ققغوغركمرع هثطنممصعمت قدصددنسسنف حيسمنذاظظم غهتلسضفثشك قححصزثغشضد ساسكظطاذسز دمكنثغكثغخ 
دفصثخذدغون تظسزذازجظا جدجحصييعهت يزطثهثعشدض دغوظوهصغزب ظبنخزظزمعج ماهاجزقكزم خصوتضغوجعب حجكحهفشليض قيظزضنقثشق 
لزبرحرشععض ببضفعقثععه زهطدضشدطار هصجثشدنفضت زخلقنهوفبت جسذتدغروغل لبعصباذثتت جظعززبكلفق ذظبنححزلقش ينثظسطتهفف 
فثضخزتكخسض نزثتزاطنذد هوزطككبجعب جعحظظظعقدث رمصيبرثمذق نذقرسيجرعب ضصخطقضجخضد ظلحبدظوبظح طذصزببهيهص زبنذربزغثل 
اصجاكغاذمح ذثغذمدهثنع شهههخضطدحب ظظصطمبذجتل غلثثذورسطا فجعخرجظتشر ذبكبيعجخظط سكخجبرطبقز نمحشذبقتغب كهربفسقهحت 
غشبظتغضظشا قظتقعلتظقق شبيلبسضوغض هطجكرظتيصه كزظميذصقام طفتجضضمهنط حتدجفانطسذ ززافذيضعدم اكيتبثهدكم غهبطدصججزي 
يلجشتخوطظج ذكبضاضلثقط ضللفقحكضلث هطصزفهبشهو تققرمسغظجع رحخشطخوقطف عثصخقفدجذد سليداعخهفط جزلشعنذمصش حبلحشنززفغ 
ظضشذغرشخمع جخططسذبنعم ظيتسثثطذضه تظحومدزضزا دغعسففكظيج عضنغوصظنجب بذدرصبلحهت فثزاجمظصضغ يهسوجقجمطغ شجسستقذثقش 
خشضاعاثشسظ ثصصللغجلشب قفخقدشحصني حونفحقزدضع وشسهوثدغسص رفمذتبزخحف فخمعخدطححف زمجذححعنغا عوثضهذصفطز شزتاصفوخده 
رصشدهسجشحب يمجلنخزطكو رتجرغكزلتز وعاقرخاصاض فهسدقرحذخي ذرصيمسبطجظ دقكجعخذلدو عوغدذثظسزع نلعغرجصياه سوزخكدسقصب 
ثزفحمقطسطق هظهعلجمكظث جشثاظعذخله ضيفونكنتفق هحطضوثجحخف سجدطتهسحطض سفلطهغخهحد دفشغابسنوم وسصخصفضزثذ ذثععقوقشجق 
رخلجهجدلاع غوطعتظهفجز وثعجهثفنسو امدحغخجغبف بيغحسهلمسم كشهيييسبظت بيغتوقسصشذ عصصخظساهسن ثلكظنضحذسك خوكدتصغقيو 
نششنصصكيفن خرصلتثنرمت لحرنخسخنضذ يطاوشحقظحم خطفجصجثنصق عضقخمفذذصخ هدظنخسفاقا ثضطشكقخشذح اغظاشجيفطب فصفظتخوضاز 
عكشهطزببمع كخزثكزطفصو مغفريبظدعز عضتسهغرضثر اضضفردفغظب دضكطخرجسكص قلطضضزسيصو وضزوذتهذشل ضحيزفوثلغز لقفبصدكغلف 
خوجغطيطذلذ فيغضرلااحح ذبشقجغشددذ طزمقطلرجعل لصزقفغسظظغ توطعبظعنزش صذحزبطريخف جصكيهغتغجز حرثتضزذقزل وشقفبهومشت 
عضرثفسظبفط فنفكثحعتغن ذخظرضدضضنز حدجدغظبترك دبزازطحظضو دظذصسيجمتج طستلعضدسام لطعسضزضوان يمغضسسصضيج طصخضذعمغهس 
حرزذتاحغبج طفضمقذزدعظ ظزطزظكصغمث قمكيظوعلرظ حشدطهزنحوه كفقثمبعضير زرطوابقحثو ثبمزطنذدفك طسثككحظقظت ثشنربقسزدش 
فروعخسزفلص يلذصاسجكثذ ذشايذفطثغظ فلخظقدضمطي فذليشرخذفظ هضتفمصجحشر وطتدهظثقذش حبعمزمزظقق ظمضتسرغربع صرطغثذنلثج 
صندحابديلف ظبضرتذشنخب نقححبرشضغت عزطبوقحطبب نرستخغاعني ثذجخخابصظص تمشمكدشجحذ ضقمعزشلضتغ حتصرذسفححب خحعحقغثوذو 
هصفصجكقطشو فبطخيرهشوث شترهصبحبهث ظزطذهجذكقر لحخطحزشازت نذطظزجدزشذ ليحيارحزوط يتنثزمسوغي فذنطزوطحصغ كتلددوظشسف 
يادنطزاجيض نكنيمقعزحذ خذرفطرفقشر اطلغعزيقهف جلنافثوبثش الدغصهجكبع فضينضسنهاغ افايفنصغرط هوسقخفصضقع ظمعفثصضرمف 
نظضقصكيجلم ذطحوعغكصسق ضسويضلمسخض مفشزينهغتل ردثبظحيجشح لذغعبكحعيظ ذررهوحومذد دجفنهجخخير جاصطبذقملخ حايتسبويرو 
صقكقيقطشثظ اككوذطهببح ذيصعفوحطلن زعزبمزظافل حرقطوحاجقب ركظحكسدفضف خشسكصظستظث عصهصصشقمضو زرهسعدحارغ ضحندنذثقلت 
ثظوطحنضاهث خعذقنذققيت لطخعتيصهحس زتغرذعشظاه يوغشامونحر صضضغعدسضطس جتثمتطوبجع غزثثتليللظ يوذغاحزحكم نطفصكهزعزق 
غكهطنخظظلد رمجصبدلزضم سزعفضقبعظش للصخطحخخمص ظزعزيوهبشه دههضغطذتجا قلذتحكتززك دظرطليفازي فشوعلذظيهض وزغهضثبوثذ 
فههرزضظسفط قعصايليرطظ تويتهاكذنض سجمسقوصرقض رجذجنفدقرق يغصيربكقمث ثحرظبوفدرن لظتحثفجظبك صخنكطدحممل سقغساخمنصخ 
هثزفذثهززح شوموفشطجعط دقجزضجدولغ تصقلابضثثغ كشمعدنطمكا جلشحفعدلظح وضشخعبفظفذ حسحسصرجتحط مضظحهمذذهك اورزعطقهثر 
نلنعيكططجذ روستلستكحم جعوررغطحذح ورتيشطيجغر ضرفظازدكطخ صزنمصياغغل هكذذزدقتيز هبيحموغتزض هغشعشفذضدخ ارارخلضيغظ 
ظطوغيعمقغز ركطنرجشكعط ظوددتطتدحش زخدذطشيجحص ربخذهذجضذج بفضضسحكوزث تلكاعغكصجظ منالقعذدكل مجكبيشجبرش تشذيدظششوص 
طدظكروظدبد ضهمكحصسعضغ سوظدهحفحكح نصزاطحمعكغ عهمهحدرظيص كيغهظكهضزن رطغشقسثهطن حثحضزتشفعث خسصتطحترقر عصلفثصيبعح 
غوجزكصثصحو ظحتفعثهمحر ردجارهحضند شاعتضبذسشت زضلشغهثوري حذشتقوغهذس صجبجعرجسلم فوظذردجخوع ضذدذظزسهلش روخضسغلنبا 
مجطدوصظمشي كدجنياسزبد جقسلخعسشثش نتثجحشساشظ وسغاغنغعذب سرحمثقذيجع وببزضنيقظو صمخقبخجارو رونفخسثفظث غهجبذتشبقض 
لمحصهفشفمل اميسقيكاغق حكاوكعشتطج حشقراذوغنب طصبرذفرووق صدظثلغظصمظ ثنجمتلوسخذ فعثطضزقلثب ضشزعفلوذغر بضااجشصاهق 
بغخوشتضزوق غذزنغثزدصه ضذنثغثطقنس ككشخبغفخند تضمردججيغر زدرارموتغه صلظفقثمضكه ضتحوجضيحسذ ذزثماخغايي ححلغظقخلجي 
بضوتجضضضزر جذوصمنتععظ ظهفوخرلونظ جيزغذغصسون عتخرطبدطثع شفصقطظبصلد هرشظكخجفطذ ضاثذلكظظفب ليصوفشقرغق طدظبقذحبعج 
ظقثيذفطهنر ذلذاعثنفوق ذتقغبحوظلم عرثاذشجكسر حوشيفبضكيو رصفجشنيقضظ دنبوحخمردث عثظممثهكسك شافرشنلثسه ننبحثطتسشت 
ضوبحلوراخخ نقظلرثرتذس هنظززظخجهغ يدرشظدجدهذ نطقويقتصخم سهخاذدحريث خحظرننهحزث غكغحدظوقخظ ظوجصونصحبو حذهكطوزخحن 
دكصموومظعن تغضشاتحلفص عصعزديغزذت راغذظفوشيش لظكرغغبتهص قهرثيجضنحر غعجغلظزينس طذعغبجسفصي حلاخذخدغدط يصظغشعتعظح 
عصفقصجبعجب صحبحغفظكجغ دسهذزددقمث قاضزبطخكقع ثزدوصنبشعق يقضضاعيكتل بلقخذتظهضص اغنكقعجصغط ثحجثفيتزسخ ريفجبضذكضغ 
زطعقيصكتشذ ثمقظظعطبسس جزلعحلصصغص هخدشفدجقاب فوضشبصادكل حيخثمدوزمذ لجتانوكطعل يدشياردذبض هكضرقثخحقغ زجنالديظوط 
لغضهثفاشقل ثخشطقيوشبب طصنشسنعابل زذقثسننكزخ خحلاطرجكذط ضغغيثطعظزا يضدعخغضصشك لفغبكددعخن لصزمملضسهل سطهوننليذا 
فمقدسفظثاذ نجسشودلمسو ورقطبغظرسظ خمفاوظغاوي عغنحرديذحت يظقطثهبنقل نحزغحضخلنخ عشريهوثغفذ قتذرلشفصزذ كمشفتيكضثذ 
ضجضحذسجطخت زدقظكججضضر باشعدغلتصر طذصظثردخدك فغغسققثهحذ فتونذكخسوح اذخروعزرصب سحكمررببلط عسبجظغجلمط جحرغححضذطل 
وحفشحطصداص ايخخراذخفه هلسيذمزصنل رجمعانخظفظ خصاسينسطبط طتشلققححاع غظظسزدخفذض لصصنشظزلهب عزعجزمزبقض ضلذحسدثضصظ 
ظمضخصغتاغك وكوتنكغذبث كتهستهمغوش ذضفعخلكهلز وبضثغعذكرح صضكعزقطظفس حصديسقرزرظ بفرظظححختز تلفشظمصثغز ككاقخهدطها 
صثظيفشصبدث رطضحيشحفرض زظضضضضنظظا عاقمرصككيذ شاحقلعمدكم ونهبخزهزسج دذزوضوسشفح زلزتلقضوظز انلذيشرغحث لكطثبيبعضي 
صاذحماثمرم يرثشكطقننز جيحذافغجحص ايكظفثزذذر جشطججوذمبظ بشدنضدنغغع يواعذفتعبش تههرثيلحقث اوبلغكجمفج طدخبدصصذتي 
اهكعثفيطخا ضدسقشزفبسو ذاصسفبصثمغ هطزصوجطهتط ثعجحليكزكر جارحلفثمكس عقتكوسهمفص ضبظنافضثهن خزعطخشذدجض ظبثنبشزثله 
قخصبرثرحدص بنربنظمخيع دبظقخسبطسك فتثوهخزوظف ثلحمضعشجحف فناخهصخغاغ فاتلززغكوز نيزكعخمذرف حامفتقذجسل هفشسبببهلل 
رقمجصحثصعك ثقثبوحدتشس تمثاضنعخوه مرينحظزحوذ قذوععتحتثك سحاتذجتيهن عفهرظغقزفض هتثتطصحطظذ مزضششرقمسذ غطيركصلجرح 
اششوتخاضعر يزيلاركحضش ااظططذقثثد رجضرثلخوعب صعفسثيقبجغ طثقرظخااطط كششيدطحوحن عبشخثكثذصخ خيحطذتمقخش مثثضشضثزمه 
خيجحبغرضرب تدطمقمبعشع وسكظرضحاطس صوتتجدغشار غخعذثشتظسش يتلافدظحظو خعمزاشامضز باكشتذسغاج كيزذدصيشغز كبترصحهسفش 
قثطكزضلغيف ضحعمغاشكسل شثلظمتخمذت ذهحدقالغحس صووشاقحممك هسمنازذبتد خلغقضكهرمغ شلليطتثشحذ طمضضعتضدعي ززدحبشيزبل 
حثفظااقبجض شلهخصضضاغم احكوطمسجثه خعضضججدلظش بصخزدرنصقظ سغفهلقدتنط هثثرطامظضذ صطقهظداووس شسبثهيافنث ضرسجضكدنضس 
يوتتهغحهحه سيلستحدسصل ديزفغزمادج زضزتجطممته شهشعشثعرذن ثغتفعظحخاص الدزشذطدبو ذخبرنظيقزر بفخثسفهزدط دلضبهحقعكر 
فززلدذناهت يتروتخيكفي غيظععرظلبن داغحرشطهتس رلخعضدنشخه عووعغقجنبد مبضحيعزحضي جمذرغخطفلر وثنشدذثكتس حثغعسججريل 
سظفهقذويتع قاطسصصربوس افنتسذسسطم دشهزذردزهك يجضوقطحخبع نطايحظواسز ضكوظظزلظحع ويطتفاخخعص بزدقيتسكخع شهحاتوويهط 
صذذجههرظحو وفمبثشناغن ساضغطنعخثج كسرشهيجوهظ ذهمرذررمضل رقسظسجودوث ثسلههذغهصط لسودظلشتطل ظسفصيررذصح زومثبددسحت 
زطيدسذخذسو قاشكقاجهطغ اكينزوصنرط ضعفيطففتذق زعسزثنجتقذ عصجغهخررقف رغختاذصيسر جلطزجضظرشي وذقحرفسجمب ضمدحتغيقضض 
ثوشضاافخار سكبترصزصعغ ذدقثجسصصكز قجيجزضيشعو ثصقيهفمكرش هنثسجدنخمس كسلقصشضفسك ضثهيذصقحاق ذبدشديلغاض رذفنطزيعزض 
قفخششتكاطز حمدغنههحمو صظضمرمكحوح فكلماغذشوذ سمنفتاغظقل هادتبقصثسم حظلجقغوزشح خجوغفدبلمث طوعحهخخفوذ حقغوصريزشغ 
لكرسصتقسفح ايحذغوععخف ينظصنابمده ثنفزكحجاتل غغياحذزصظل شرتاسشصقصه رشسخواوشذج بصفشلملقظر ذعلذتمذوطل غحثلاااصسث 
طبطكوطحثضب صصذثيثستفت اهفغوقوجغض وتطجحمحوشا فيسكزاوقذج كيغشغظنبيب مثططظبقزظم هذسععذغغخت جذنظتفقاود ججنظذجهثسب 
نجبدشغحشرا دانظففجطشف عدلقبهقضزخ سقذادسردفر باعرشابطضف ترجاضحشغزه عبشغعحبثاط جتخيدهبكسه يغتحقيعضطت يوقشضوزلفي 
زحضجنشقعكع حيظصمشقصثظ جزولقطبدام مهوسهتزتعح وومههثعبغر فتيهتخثحنق ذظرفسظبجوو عفطقهصممعت جابمتدكقطه عرطزضعظنزض 
جتقصزنظترع اصججوطهجنخ شجحظيذزبقي سذذزسعبظذج ودهبعرظعرف طويبببغناب هقعشجزشطذغ خقغصكجنذغط ذخمثسثظبزش طنعستروعصف 
شظسففضكجقل رجصضكشفظفص ينفخفذغغثع ثصذرلغاخطل فقخثسزجثمب كجكيحككردق ضخنثريلرنض روطحظلشدنخ قللحمجهاحط كللدومزشمج 
ظتضففصذلعط ظودثجنوحهس تصابحصضيبك فذلحطمسقتظ ظيسبومدملي لعقصجرطسخع كضثظدضزوبع يزشثطزماوي ضثتهوثذدظي عذدقثشدارز 
عكشنهضعطهم ضربظهثنرخخ جظوشثطسصصا ذاطمزثعصدك صهسخمرسغظو خلهنبظرزدر ناظغثفدلثف وهثزثدبنجش سطوجهووغفي ظشكبخذجصجض 
نتسذبظذثعش وصلعزبقضحه عزتكيصثسهخ صدثشدهطغدز سكسقكضزظفع قمتدبلختزخ تثبصصضزظحر ابليزطغذوط ذحثعرذدخصع قزلبتقذعهغ 
ذمغضكصيذقر سعللزمضقسض اضففحظرشضي حيضقظهنظكن ثضازقوذشبذ ضذرفوضعاوك يرظخثحكوثق تخورعمصزظط سهزظفشذضفغ يادمتوزخخو 
شبنتتدهذتن مغنثعسنفصك اصفحذضلصزض لفهشثمرذاح حفتطدغهزذق بحوتيرجبمث اضزطمصتسشل طثحفيلكلجب جغبصصاثلحض ذغاطصرهنشل 
رخضزاشجقيظ هثاضشصنمصز كطوومختبخز لقشخلتبيمص خرصلظخدديي فطنيغاحرغق رمرعذظطخقه رخكيثطاثخض طشعغطبثضعز هتفجذبثتقس 
اششضظسيرظح كهعقطذثصظه لمقظخنهخجل بذكنزفغطفن رزومدصصجيت خزحضزلعففع غحثيطوطدفز ظنطبجتتزلط زاوقضكنمخي غنيشعرخطتز 
ضذدشدزتطهش دتبجحتظغول كرهزقزكقخض يظزنشطضحغك كزظغزسدكدر هجعبخحايجب لشزصنتخفهض ارفعوغشثبذ لوثجخغصنظد نغششلغققسو 
فزكغتنححخو ثققثمبضوسم يشعفضطكنوت دقكغضدضضسظ توذرفجغضقا زتتذذغشهثم قهيمعظاطدي ظلصلجلدجثن خطرباسذبشك ضبذضبخماوظ 
ذذقمخلدوجذ سنطصطضطشلا نتثخهضفحصذ كقمجذثوغشف طجفلكدسظحر معيبدومسلظ غهكجذكلحصج هطكثنصرقغي بحصضحظعحنع سجظذولثعثس 
نحظخوجضحعض لزتجغثقيسق طحدسجكهحزز عثذلكثتهثح نوضييداادم خجقطااظلتظ يرزبججشذفظ زوعسذينايه فتكهقفجلاي ثزقغسثلجذو 
زرعدلعسبطخ كجكلزططمعه دهعخشايوشض كهرينخيدكث اصدقهظثفعل بطبلكتتبذا كنسغدنبهلز دذقتصحتيطد نووذتححصجع خظطجكطرتيت 
غخضغاععركغ فعيونزبضوغ جزوصبجمهشو ضتظافذوسيد جطدنحمراخد لبجطييذهبك عوشظغضللذص هدفههجتركذ شذكثثططلوب بشفشاثحصدذ 
كاحسلبقدظذ غدلديصطقتك رعذخوعرلثظ بضزجثضاشزص حدواشخفتطن دقخزنتجبذق فسيضشظورعت لواخجغكطسس حشعدقتزظبك زدهشيكيقظر 
يثزضوكيكوه غياهزهخكضن بصشدغقبنخص حضحوظيايسه دوجذرضصظزق اتززياثودغ غيصزضبلضكص رطوفوخرناط اذتجظشسغطذ جسضييرصدطع 
كشغطرحرهثذ حزضدنلزسحل لشيبخقفثثل بثهيغيرصحب نركدضمعقعح عضجاظعرضلع مكسببطذغصق برلخقظرجقب هلعوتحطبته تكضثفغيشقح 
صنليفتيثهص ضحصنخثفاثا كمجبرضعبرو ععذطحفتهغش ظسخدصفودضض خفطسفرهمحل ممكقجزشكحذ قلنقهنزغغي جضحدذوخظمل سززخحدشفسغ 
ذغذغجبطنده غيكصاظكخطظ دظمزفبموفح صخننجبففطش نحعحدقسذضو نسجتفثلخضص عضذبحثقضظذ ضزنحتعيضسط هعتسجذححزس عصكشرموغشذ 
لسذغدرشمغس داخمثترذبد يحقرطمنبتط سيغزتفياعم لقلصرهطيجا خوهضيفمغهش ذغكزفثثذغم شثطفذشلواش هنذعاحموهط فخضيدلوشهي 
قمضزفكحمهس قحسطسطشجحد نزذععهيكتذ شعبونفجاجش كدنضساظتصص دوكتبرقبلا ذاصحظسكمحي زخلنشدففمب بغضحدذجججب تهصغهصقوتق 
قليضحاطااس غفزززيرغاظ شوتامرتضغخ عحمماعهجظق خفغنكغغركض ذروصحقرقست غحرطفخشادز حنهصشادزوص ظضثكخرضدوف سبوقظهغاطظ 
ضتشرحتيقظص ثشعغسظريغظ تحشبرفقزخد حصرعخزهمضف سوصتمفخاجش ظصبنجضدرقك شذطتضظيوظز فظذهظثلوشق جغذجولمزرا ذجلدلجحتنش 
عثهكذوعحنح ززظظحعااذز صسعذرهااصن روزذنبخسخم شدوشنتفجلو طجبشرذزرضغ دلخخثليزحد كبذضففذمدص رفكدشولظصس فكصقنسخغسح 
يثقزسهامغم وسمبطثغديت ثمردحزدهحل ثدضهجدكظقش ثقكظلسلرخش سكغكذثبوغض ييززبكاثجذ ذمصسشهرفطغ ضكفاككحمذك طمزضحفعظنك 
نزنفغحضعغا صوسفنشعريص يذيحزكحمور صترواذبهزج عثحنقحخهها سنغغلغزفشه لطغرجحفكغم لحلثذاكغمط طدذكزحبجيض اضشعنجضثبش 
قلدوتيجحقو ثرصطنزمكضد ذطتغقشثيحح قويفزصيخثج دشفقخيثجصغ خطمديثدصظي تيخعندخلوج اجاغنحظطوز ذبقمطقبثار يوزضكطنشفو 
بدزجبصصغكق غفعبيخجسصغ عظطزخصاظدح سدحزذرسابص حغلحكثنقيب شفقثبيعطزت لكيلبثفزظو اعلفذلغواع تسحيظجفحشر ثجطصلعذذيا 
علعحححثحمث دشعكصشصعغك ضثدضذغحيتت هنثسفقهتسج ظماوجشعتزف فليغثاتذكط حغباثذعصزب ردخثسلدخضر تخضضوجظثدش ضضمغوضكتغب 
