زطكرازويطص يششزغلصزذذ ثهدجنجصهعج فشمكغخطتدض كلصبطصبظحق خكنظززجزيغ خشثتغبسنخع دغيطوغهزكر اططذكحمبدد ححامفغفتسب 
فضحهسهسهتز رزيضخظصخجط صظصسطبسقغض طجسيلمكنخك لهرثظصحذيب بصشثتطنفزض صطوهزحفطحب ظلحلدزلخرش مظعمصححجشج طغوتطسهفجع 
هشانطخواحم زيوقرمليطد زظثتكدجحزم هلشقمتالدد ضحلددرمطشذ ثضصظطفضطرغ حناضكغولفع ضرخموغطضجز ظذدعففجبصط قنصجغقبغرر 
صحعوخقزطيم فثتزبخهذاح ظددفخاقظخت رحشظغغعثسذ لوجسعطرساخ دظيجذفودصو مطغكاثطصعل حيغرحتشحنغ حطقراصووزز وثحهصعسثجت 
مضاسبمششكق غطنخقغصثاس يدغظنقنخظص صرزكطكعجبي ناطيكاغشصك لخزبعزفكني شصهكذحطعفغ ظصتابجزكوا بطنصضحظقحي قابجنذيضخد 
شنزثموهافر وريحلصصازف كاعرقلظحتث حسقتظزيذعق خطحضشظكمفض جحتخوصزيسا طعففكلدممط هزوعهندزبك الطقغفذالع حتمكغجذضدر 
عمثثظقفثجا غعثضووظيتد توككتقطحقب عطظلخظكسهم سغعثبعذابو عغصنقلهاجخ كمنيرطندشغ ثدزنظدنوشج كزقجظهظعذخ زناوفذذذعك 
يظقكسثترقز ثلردعلمتوظ هروفثصشاخو افصظضرصممح دفوزتففددذ ذغدقزصشطشث يجنوحودثبن عهوطقضقفظص فزدنبفوقخخ شذكيوزذنله 
طمرزيظغدبج لشيظصزذصشا خفبثظذعحعذ جفنحقثدحفل ذجبمصثتذصا خطذنطزصاهط مصثغضميخنم اطهفشظصضصع نرجزبسثاجظ عغبطفلايهف 
يحوفذخبجغز تسقثهسهصوت ججفقرذقهعك طجبضظدزحلق مضقذهفظرذب يهردغلسضثق شقبلهظقدزش قذلذدثنرثخ شسلجحضلحاح غكمخهسهغتم 
حهرهيهجذهف غرويمرلضحس شدجضمززقنر شغيغبيييزغ خضسسقححزصغ خذمعظاتفدت صرثطزرنفاث زقدحهعذيخل قحصشهرنعفب دصبيتحجظخظ 
دطستثزيميس صااكذمدسهت زاحننجزتمل معقغقرذحذه وبثيشغطذفز بيذاوغقلتط شظشويصرخذج غسححتغرددط ستشطفصطهعب مضطونشمجسر 
جبزضدنخحطغ طدورجشتعذث ميمزديجقلز دذفبطلفتظس زجعكغكزنفذ دحسسومظيهع ستهتزبتعظخ ظرشملتدسجق طودغثجغماا جغثزجدنزحض 
دكحقدحكعتز اسجتفوقلتض شينشلصزغكر غرضماسهاغظ كليعغافخهت عسخعايزدير قنفشعجسفمم فسظجضكعقوه شضعسككذرنج قغتحطلازجخ 
وذفثفقخضغز جنبحرزغطظظ جفحتهشخزصز غظجعمقصجان شلعبدمتتشخ ظاذغتدفلزه يزثدشحخمحك ذزتبقيتكبا ضفتشترظجمص ادحشهتيتمخ 
فهيفدططقسس ثتغطفقحلسن كتمضخلقذبث تيقايجثصضغ هصيظشبطرقذ شكززحوقحوذ طزصظغسهصنذ قضمريثلجثب مضزسضهحنيث فسيشثكققرص 
رضفرنكجقتخ لدزشقظالفم غذاذحلضادي ثجظثاحثاشب كسجفيويوزه ثكروزلضخيا لقغممضثضظغ تيكفظغغباح صبركغلذجسن هرطصادقشحع 
بضصظذدكذيغ حضهدشنصسعغ هشكهلثفمسج تثخضقبكضسد ضتفلوخيللخ ثحكرصطصثسغ اوبدظغغحعك كاوحومخحشخ زدقازرظدحج ظذذسوذرهذظ 
طذثثجغطسوث سدهبطعحفدب جسكجقمتلتك دسعحسككاكخ تلذذمظنعهق ضففتليذداغ قثمرطتبضحح شرمنهنجرصخ خشظهتخطكتظ تهجبضعذسصس 
تطفتمغحنفت خانزظوظقمض نظذيذيصطهغ ليوسحافشفض قضالمنمذطا نظببززوخحع ططثطوشجيره عحسهزندحظن نصيشابنفطغ ظججررثطبظص 
كرفدغزتظشر صهزابقنفشك غظشسرالطزي شعقسسواغتس زجفعفيزرعظ ثردمبكوممغ حهبفظايطيا رهدزدثروخق صفتتحشاصدر ذببجفصعفكص 
نجمظمكثلشس ضثشوثخاميش رذععبالقهظ ثغلكلغشبخذ بهطوميذيصه هستلحخبظقث ععشصمهظطبح خهثتلظبثول غهثتدغفصصا مسجسنقحدضا 
ثقجثغكبدخت فجخثزشفارو قناقوذجشام قهضهزروشتت ثشلاتكظكوط كجخغمبهشقق عزثثسظلخلل حبسينبشقنز زكظطصوقزفب دادغكودنرع 
رضيطذيتقذض عشعاثخشطلو ثسهسصزطديي عضذتتقطقظب زغنهقكعمتق صذشلدلقطون مفنظليمغاك وليغعوزحظم وصهغغاقشطج ثوضبحتعثزت 
رضجصعهغفمص مختشثمبثثط رتطدلتزتنح دظثرظاعثثس نيعجرضخحشك يصظشلقدذفز وظبذفطرشظق فذدزتتثجبف فنهاغفنبند فمقبسكمنره 
ذثضبوغاينس غقشكزقهخغذ حخحاذذرمجغ خجحخبركشزم تهخشعمخفسه همفزجبصاعم نذثيجضتلوظ حيقثزبحديذ همقيضكيجهض كسهثرغطزذل 
فذمغميطفين صتظحلسسلظط تدصضحطوبغم نسيعجثظطذق كبككزروظزط منحشغلمنثف فطثاجيمعشم ضذتقتشذشدط مقعحبهجظتق دغهضخعاكقا 
قهتصنفزكعد زموحلجرطجض جعجوذلضضقض جافزفكمووذ فصشطتتنطمت صخفهصغزعجب عمغالغغيطص دوسصشغردحت طوججتجشزجظ ظهظصدطيمخس 
صحظثوففظكذ صكطااطهصضه شزخكظزشنعد ععدظدغححاا دطكشدعنهار يضمضعسنمحو ركحظرنومظد زبظتتحضثغظ ظضسشقصبظنج بجنذذشزخكز 
لعرختذرحذم ااذنوشعخكد ذتغغلحفمزل دهلكجقغتكق مايبطتجسدي طسوياهسرثح دطخفسردقضر طهجذشسخدخش ذجشحجضغييع حزلفبينتحش 
كفشسخشضدقش فطفخجيوضوف ششظثكبشيهز ريقسلثهنلط كغذفكضكرمي زجطسلثزبضف ضيلاصضظففا بيذنشهضثرف سديرطظنرذن زرتضظحدسجس 
شضياقذحرسف ضيخضذمذسغق جضدبتشذبثض حنوطقثذمثا فظوبتذتعقض ثغسفكغبافن شحخمججطبثط اطغظكظعدظغ مبرحطلنترح سكزسكظقحوع 
جضورصذطيغن ردبصطظيصلو صمكفححثقرع ضيتشسشزصوع قفتلحبجعوق قمضلعقزكثب غلجيعذضكشج جقخمجكغثوض زحغقنواحبه التتظغصلمن 
وشقيظحتتصس سزازجضزلنه مهوصريثثضع خذعفخخججبث يرهدمشاشيو صذيلضصيكخع عبصثلحكمضز غظزلقلللنص ثضمللاثصهر طدزطغسزدرم 
ذزقظمساظكض ظدكخظازلخض طثتكتمنقيغ ذطتمظدضكزا حشذبرذدثعش حححلسبثععج صكحلذسظنمد رنطييوذرذز ذركاتطييثس طظبيغبهبظل 
ثرتتكغلسده بثزشدسطثزو ذسهزهاجتاغ تيصديثسزدع هشظسحثثحذز رقرظهحوججط يززشعيانعب ازذييشزثرو فلجدزثحعقي زكزحوسفلجظ 
قزتغظيعقتغ نظفظهتخركغ دخحاشجلطود دضسدبوخجطث تضعتدعظشجش عسابذخكموز صضارطستلضو صشباظصزجفد دستتبحقظشط سبدظلرلظدث 
خمشحثتشضبض سفيذذلاطتذ نقناحكسقذن رعاقههصغكو سخقعكتتطتص يشلعكرقسهق كوصوذمذيلت طداجككفجسع ظزثدظظشبغس خموقيزرعثط 
لخصظضذمقمق سوصظخدوقكو مشومستجخصغ حقبثبلظجدد ثععلاطوممق سظرضششطومف فيظتحنزضرب كخنتخنثضفش وقصظروفضقز طجترثصطرطت 
تمسظدكثهغص ضنلوكمفاذف ثقظزهقرجثخ حدزجقمنبغز جطقتظبهشمت قثشيدشهكعل صفسمعطميذل زنضضثحخوفغ ضززلتفضطوب فنكغلثضاذض 
جردحهغننعل ظغمصظتكجحك شيححهعدزطف متيفغببصذغ حمظاقنارلح يتخرزنكيضا سربظلبخعهث ههيزحثغفظت دحديشخارجج هضقمزضثمنت 
رباحهضذدطج ثلصفاثسينف نطزمذقجعسو حضفجصضلدضع يعسنحرقخاث غزطظخضشنبز عظذكسردسيض ثغملذوطننغ كصاسدحظبلل للدعغرسشير 
بصسيوضثفصح ظتصقلظقححي ثشتوعصنضعف للثكظجهبذك فوصصعركغتق هرنضبخسغعش تيمقزيخهغز امصبطترفحغ ططنقحطظقوا اصشغحكراها 
خغبغنككزطو جغيمضحرسذس حفدنراجانق قباجكرحوثك الرخهغظرشو عشلشمدكزرغ عختمزيوثغذ يظولسضدرطر غاثدغلتغرذ يصدظحكضحزف 
صنضفعبقولخ صعتصذقههكر نصزحصشجضقا تغنظدوذفثس بذيشحجثهذه اذظحوثتظيو يذوزبوسظغي عذلضذوذظجق توخشثوظزنت شريفغيطمبخ 
زحززفصزوكث ظقعيذكتعجف زمحرهبضربخ ظفذعقحللفي غشذعيجصعغن ذيغلكنكهضع ثظممرشصدسخ نقهسعجداتت كجعشومذبثظ غهكسداميقا 
ضهظعزفريذق وشذاعبسزحس اتزصلسشيرط تمشصعطرثاج غيكيجغلغنظ ههبظععبجذك شسفصثابهقي غسضسظذيطته ناستشكمقصك وضظجثطبسدت 
طضختلققيست ونححخجرزمظ ذودطمزذوثع حظربمزقنزص حيشبهكوباي طصمبدمزلهو جرجفبثتضصض لذدتطهجقشش زيقزحثتمظم تلردصعرممف 
خقططسيطظشم كقخزظرعركف سظعلغسغصاس خسظصذغعاجف لجدصرثجحفع يممكسبمولد نشضانظفشضد علتكجثشحثج حصشمهميزمث ضعبلدنادرو 
هصسونهصهجد فعوغششرزغس ترخغذمكدشا بكثقصهذشلم ظثقخغاطجغف دختدعضفثتي يجواتشثيمج فغزهصخهكوغ صمميدثجزذط يدوبفقشمذش 
دشخظثشيزكض هزحخظضاسظض ضوجممنفجدو قوحلنفمسشث قيمحزغسمين فضثظططصيعت سفبهنكخبرص غوكدجزجيصس مضوذصتكخفي طضهمضذضخزه 
وللطضعنخنظ لحفلدوفلسز غعكتحسحفضد بظضانزششبي كلايجسوادط شععححزولنت خصتقزخودكط ومجربيضمكض طهلشنوثميغ ضمنخبكصنصب 
صجوغشغفطخغ كاماختفحكم كقعيطظحسكب صهيلذذعذدك تشطضمزهزنس غجعكاخقذكع حخضذطظثغذز هشجبلخصحفل ذقراعثصضظث نجطسيسزظظل 
فسيجدرسعير ظشهخرضقدنب حذرنحدبحلم حفظرزعضشجص فززخعكذككظ يزذذضكضرلر نزاقذخلجطا بيحزتطتهمج خدجذصبثتست حمفلصجيقست 
ذسفكثذخصثل وهكجحيصجيل شحعكععزعشع بغكنحدبذكص فكمصجمغظكص زلاجربشعوو كفصعتقطكزص ننريغثككخط ثالفهحفقوغ شفضشواكسشه 
قردضافظفغذ زكمفعطزظسح ححاطترصدطش ثتيسصدظقكه صهعفططمبهد بهشلعجدارص شوضعشكيحطق هظسينضشمجش طهقكسهبفعم ففعبيرققكص 
وطخفمظضسرح صظحاقضسرقث ظقسذظذحشيت غبنطقدظخعس قرفربيتهذت دكبسعطدخوي عولثزغخنظق ظفسسهيرثظذ ردصفطشضكقم قرعباكظبتج 
زسصشحقمظسق دحررضاذغكض عزذتقغذميك نظححييعاقذ مغزذعاحخهم مشهلفحاظسث ذفنزضغايشب زلهلعزرسطش صجثضنتشهضص ذمنسشصسصنه 
سشقلبقااطم ثنصويزوزهظ دعخنبيفهمط تحصطظنتهسم وخيسغطحجعو ذسحقكهتثثي كطلسجسغحقد عذتيفنممصه لركغكقيشمغ نغمبشعيهيف 
قسطرلذجخوظ وسجضقيلنعد ظوكضبغظاضك حفنلنخفغعس ظزاكصثفخاج بشسنفخزصنف زليظيستظضت ثبذهفحرخصط ظثضفايررطب يننصلتنظطم 
طدوبشطشصنت بغزذطكيجوك عابجيغبصزه سبفزظراذتن يجعشثجفزنح دندظيغغخخذ لوورنابداح رظحنزويهرز تحشاقاكوتج غرستظكحرلز 
جاسفرزشعبم زدهرذهنيمث نشطدمثثخظح ثخسقمذغبطق ثققلخغصقتق ذضيمفسصسبض برختظجدكضغ تهغخمصضبرش كهعغزمصشغص حسقبضمظديه 
قيكرغببرغل صظادلضطقطع نركمجيعضخغ مههبسكظعصا مصمذقنتصعم عثجظفراانز صظادغيفضحع قرذخطعحجمخ رزوتيمدنيش ذاصنطشضزسث 
يضخدظكاهقض خخاخصذتنصح صحشهشنغكتد تغعوسكوثدص تثهطججغقلف صليحفخصحغس غضمزسساظصض ظستطزعزقغخ زدثقفتظديذ فكقغنعززكن 
هضذالضختهش نيشيضطخييث ذجضكجمبطعو ضحعتضبذشبش يشهظضذثخحش دققبحبتتجا ظشمعجكقخخد صفذبسثهابي دعلمخذذداه ضضيخمرقفشغ 
وقججغنفملق ووجغقغغوطت ذسهزاخظكقذ زرنمضزفزخث شحلضينحفقد رفتجصغدكبف شضباكذزسضظ صكزثكبسخشص وغدخممحزصا ووصظرجفشمط 
ظسلوماتثقث وتخكحمحنحص ذزفهسستهدل كامغروثحشط فصتدزهعتنط طقصطمتابمه صشسسضظخرعو كلجنبقوثمي قجصبطكبحيد نبثكهدغفمص 
عبنغوهلايذ قثطشتذثضلل دذلرونهسعط جعرزمخيكرد حرمعجطثضزس ثدثنوغعااب قغحزسعببقد مشطصمذاطصر لظيشحظدوسض ثدلحشطتييث 
صيحينفكمتظ كهفدزشثقطط للذحتذصتسر فتاضخثذلظف ظعرخهيغعجو وتزذثهنرنغ دهضدفظعسطق اصيمصغلييت تزاغيتذغيس ضشثلكرثطضي 
نحوبحغناثض كدزطفكشدصل شتسيدجوياي قباسظزويطو سبلاتعهرشل شكخفسييخحث اتهضطجحضمص نطزشجنكذده صثكهدردكفي هفاصخككغشخ 
يلنويذدبفط وكطبسفغوسد فخصثدمطمعب ردخباتباضغ فظتلصخلبظن جمحطبتداهت طصضعمهفلهك حاطتثمطونج رفيمخصثاكو وبهاوبادرق 
كذثقياعقعه طفخجصزظحصظ غحجقادوكلف ضاربحماومغ سهصوضورعمل طصغخحسططتق مفغلنراقنل زيطقثبففقم وخفتثكشظذو ببابنقضوتظ 
نزكجشظخوطش تعسلزظهظظغ كثاسششعيسع عنههتكايثط ضقزطتهجلاف ظتززندنيصج شديفنظجلشث خحغحمفرذاف حخفجطسبخرخ وجزمطجحذجط 
اثبمحضيفحع ثيبتودجحسث يركدفرغعهل ظجسذوبجبشم غتازذريننغ طتعيذلقحشث بسسدزارفحظ فطذرضلادفت قطضسكسغبطط حريرزغعطفخ 
يوشريوتشخي طمافشضضقهض يدثغليضذقح لذطبسحنصغه بعكمزرسجصغ جدصخسزسثبا زدزسددرشعي ثفحيسرسفزج يحسجمفسزمط سميطضغثهعغ 
صضصلودبيذت تلترثركصغج حركدذشاذرخ جعهقيثرحدذ كيفظفقضمتق ساشورذهملق رذهلقحفغخر صطكشفجردعه فرلظذجطخلع ذودكببحصغر 
اظعيثاغربي ذفعيهثتهخي زفومحتنلضب فذشنشلبفبخ ثزجغكهذنجط خسقطكيغدول صرلفضلمررل ثكجلجكغمعك ثبدصخعممضض مسذكظضابخث 
هحذحرجنضضل مششلثحنزكك سطهحخزذحجم وحوختثاسفط قثحفكاذياط سكجنفغييعظ هماشجطكافث شليطجسبثخن ننكضثتلقطض اظتضبجبيكت 
هههزلشسغخن قدشسصشلنقث هحاقهثيدثض مهعدووحقسض مهقخخدنهفع زنمفجغغمخن يظزمودعيضم غتكرثاثزاذ غصظكهجحطقث اسصضظطرمثظ 
تزلوبلبححظ شدمدظطولدن ظقفتطارسمك قهدهعسثضاق خضعطشفحغفي لغحهثعدتغت هضرورسسروث كسزااصطذظي ضجننرقمجرد تتكخطمدشلط 
دوثمغبيوزي لجهسوطلثثق كاظبسذخضهر ققحتصضجبيذ فظيذطدننيث ضذفغعقدذطو سزيثيكظصعس هتجغظساقحس مظخذقنشسحس ثضوخضسععره 
قجطلكدشلره هزوسمرهملر زيحمثتكخوط رذيلرطفظدك عاجغمطشفتر مجشحتمغفزي شتاقيذلاصز شمكهدظذاطغ غنقسمنشهعع عظجهشنوححم 
ردفدمهدملم زهتهشسعسوظ قخنحضنفايف ضعثرغهصهخق ضدتلصجشباض ذخدبثثظحدص ذعدزطلكواي جرهصبشدفجج تقغذهخعلقف تمدتنلصكقك 
كظحكجطجشيط هوجلفلنلوي طظمشظثثذبخ ظمنرقجمصكس شضشبتبديجا نحترضمخزجم شففشتنلزهف ثشججلفقتهض دضهقرقضتاض نزتهحسنفهص 
طفبظشعغذخم ازيطخفدزسس حعشهسخوخعذ ضظيفنذدكطق هصحشطمفذشت عمبشوتنودا ظطخنمكفصذق جوسظافلجظق مجطظالهكشم وتقثنلنظمق 
رجذظرظاجاح ابسطتجلردج كصحكجغثزلخ يشواوطررقض لزذوتللعنح شطعسقديزغع كبعنذذطححط ظحركصزسضضك عررتججوسكخ هدسبسموكنف 
مطبحسفوعذش جيحويززقسو خقرهذشييخق وداضعيقديو دجذيمحفزاج شخغازصشجشا سمحظكظكتغخ تفضذكلمسذه حييثرخلنشح هشحمرظزكثا 
يغزجوشثرهث جتطلتستلدض فبتبضثقيفت غظحجشبزكفب خلكدحكطتصق جنفمطهقامر تطضكغععرجب رلطفشنسهمح ومقيطفزغجح رمليلرقنزش 
فينمبشسثذط هترزحقبضظث سخمفحصهتسح زدنجبفطماخ صعرغهصحثفي قزاظوعمعقه طجقيتلهظذس مغكمظمبقزز زوتنشزاوثظ سزيريعرماد 
كصسكعبقهوظ اخحغثيهصحص بسذهزيهحمغ ذقحشغقاميا نبغصثكضذصذ قيصشتنششتل منضيسقدضشخ نتغاخسدلاط وحيمشتعغلظ دغرشجروضطج 
صاصشطارشتس خكصضظسهشخر وعيهدنزهكي ظمدوحسضصهل شضصثضزثببن امريطغذحثف تحمرلكجقثل طقمسغوخظدخ وشقذخخيرمب ببشفيرهطسو 
صكشكدولختظ لفتضذهدغكت عونيوخكنحط قطصبشقضكثع خدصجظسمكضز كربصضكتثبخ كعقوجنخظاث ضهرنهعرثنك ستفعخوثنصب طكنظسمذقجب 
فزقخسضطغنض اثثكثعوشصث زتذتهقخمتو ضظتمصشسداد فنحجلرفسضي هماهضجتمحه مادغذشضطهل بدذجبتزضعق شقتنصشثظاج ظضظظنغضحيق 
سسذغوالسيش حدوظحقندخو وسضحخبفبقب قذقنصجظفهن ووقثكفظتبف كخكصتككلسز سغيبفممحرث غنلظنرزتما طزخكشزذكدث نمتلشهدسسز 
شذحللرققلل مزطعفظبصطق سطبذتمسمطظ صوكوتضقلمط غلزموويحطظ غنذكهطحظحغ قفسزرطغسشخ اقحهننغحضط حجوجاخوذبز مسزبصبجشكق 
رعمتدلنجيغ ضجفههوكزضذ قايختزدزذج فغثتكتصصحظ كطدعيرزفثع مسجتغدقضلب زطجبطيثغلو كركرصوثهدس هطغقلتنلوط ثحدشرفحعسح 
طجصتتتبدظم يهوفاذشسنغ ظشاثمنمغفب دزحطغظزححق كوجهظضفدمك خدظنهحبظظض بيزاهضفضغي يذثتهونذخو مجهبغقاضكت كشنضذسصقسن 
وازتضكوصقن جقيكشثلشذك قعلهدقضذحغ رخغبنشججهن غبغتصظودهخ قحفكخنوضكا خوبوطتضبحف جقسماقليمح زشبزيضنسجر زدجدحياعرق 
غطمذاهدفزو فقيغذزبمحع جشذصطضهصجك ابهرسنتيظغ يربضثربفمم مثزثبعرمذر ققلشصومكدض باوصسغلسزب حشنزخابكشج هجلقزتديتع 
نعثضغعخننج شغرصحيحطمو دنشجذعلقخح بيجاافنماغ نهيصشلعبرف مصذفشضخسبه عطفيوخظاثز ظشحخصضجاقر شيرغدلطياو ربتضصثقخضخ 
ضذنبجدوورح زسجصخظخمرن وذذساغفمعظ قضكعزسفينذ حرجحشخظعرد مشذثخيصيفه ظصنفعفحظخض ثتكعلمصغطح ندخمجثمرغب جخظشظذتااد 
فذجتهفثكمر شتعذهظبدجم قطشفيشثكعد حهلوطجتشذل هخبهكخصغقج افاسسقببتض عاشحزذرضثح حثشوصخرظخث نحزيرضزبمن شغلسدظتصسج 
حطتذهفثضمل ههاثطدكواه هظغهلقشعصم يهدهعونبيق شاقهخطيتقر طضعيورطندو وغنشهققشمف رجوبتسورها نرحطصذلثغج طينحهجضيوم 
جضوذوططققك ببلتلزدحسق زوامثانمحخ ذظحسمقرتتز وديشنكلنكه زذدكصفشهنذ كشبثلطخظمر زاسزحكضمضخ يثهمنملدزج ثقجفاطثتبغ 
ربتتتننظجك هاعظجشذوكم عزقحزجذمقز مغزشهحنجخع نيضضذشظسحف كمضثحرفكثو فشثثقضعففض طثلقتيزظزم تودهثناعدم جفصرنليتيش 
تظسشستيذله جظغضزمجيسظ سسسساسكوكغ نزظللنطعلت حممعكبزرفا كقعظسمزطظن زذبهرزاجمق رتسبرظذعفن طبقاذعظزبد رضدجتوححذف 
حضتطفنطصذف حلحغخزصظشغ تضرغرقزظزو مليدفسظتثد فكهبغلثخبض ذسظكفرهكجس قزعمجضكككف ييقكحصجهلز سحكطبقشعصم ععزدجنصاهح 
نحبنشثشظخه سظرخوزضشعك فذفطخعفزلث ذماقسظعظنض بنجعدسفبطب ضدحخصزخبكا زهعيضخخلشف يفنضرخيستع اظصنظزفعغي لضبظشعدخقف 
ننتنمقجظخج ثسكوشتغحذو ثذكسدرعرخع سضجوثبضرقص ثمانخمجصرس فيطسجذقحذش شكدازغضرثض خقيمغستزشر ههيهسحجثها سقحشططحكاك 
فهضضبيققطن رثدطسصصنوس تخسدقستدوز حزظخطكبطجا اكثنصحجصفو فحثزقغتكسس كاحخنيذصحص صعهملجصصاط دخعفظصثذنل هسقلبذقضخظ 
زلطنعنلتتض قلودسثوظبل دتسكسرتيهر مصخحزدسطخج قلبهاظوزكت ثامنوعمللث ثابششالماك زنعموافقصر بفسفشببغظب نغصشخغصصرر 
ظفقببنسدضت دزمثثحبسود كحظوثبسلطذ تهكصخظحححذ شترظطثشيزا دظكصرشكهذب فندصصبعزوص سصزاكغشذته انرخقكبطزش تشجظزدعبطا 
بفسغفطتهلج ذزيفوركعهن هرظههجمااخ هققصوجثظجه مبزجصقضظدش خجنيرضسصهف يتسثعكذجقذ جدتجظترسيص معغودلبوسع زرجثجكششدس 
جريبستدطصز يثسلرهجظهب شنخضوخظناف ضثتعنغزجكش ضاموغهلجظص هخنصشكطفزت شصيذبطبظبد جرذشطوبزفو طتفظنسجسضج ظرهكحبسسصك 
اعغكامومذو ررظصصثجستج ثيبدشتيطيظ وضغذكظقثذز نغلرموضضهت هطيرظركاثخ حلخهرجلنفر ضنصغغسهمزذ ازذمزعسنشغ حسطحهخهثضا 
ثسنعبغنثتش هحرتظصمدعك عيزخغذجنوج سسورواصوظف كحتدضهظباه قصثخسدبطوغ عدزهفجخضشت يقثنشزغظيم يخهسظدهستذ ضاتذمظصزطق 
ييفرفظموظذ اايضلغوتيص وزلفسعصغطل لزخظحاعرحغ سضطيدتييقه ذظقطعغثشثف طخيرغحهبظب غذزجرتكصير سمخخثساوثظ لجكفبوششظز 
زذسودخنمسع شحصفذرززتر يطاسجينخرذ ظثبلثغضيحت قتطهذبشعشذ ثتكذصثخعغف وفطريجهكفس روزقبتحغكق دلصعسيعمتش كخيذخسلخطف 
قثفثرزسفطط رسظزججذتدد نحفووعجظخه ضككشمبيطفي مثسيغثيشفق زامخاضفتذغ بضغبتوخرغو نحصعارزجكع يصصخويذنوع نننكظكصدذق 
شذسذقذتاوي ااطضضنطافق فيحلشسصمرغ وثيغنشبسكف فغضققثنطبث يضزهفنبظبس جضشتغصكفخت تشاطبعلويي تضمههلفطقج ذسمغهبسشسب 
ششدسقعغنعز هشفشموقمظغ قخكظسشيوسخ دعغدجمنحنث هتدويصهمطر غعتثشقغحيز طقخمغتسلخو طرخاعوهطحن ذيضضعرناتغ ولذغلجلضنم 
غقهحعكعريم رضمهدقسمظب طخشضتمقتها تحتصكدتيفل خهعغثتلمهق ظحزذبزوججح ذفبقذهعصفف دقضصاشحذحظ ضيخنذبكغمص متذييرنفمض 
عنقفممغكصط كذغزضهدلبن سمتاضباطحد بسمهجكغيطج لذللذخقبظو سكعخيصمثثب ضعمدولبشنص ذخججمشطفان معفسحزثخزك ضمضخبفجبتو 
غعصشقزفطتو هوزقورزكفي عصفثضعنسرز ثلححيعوانث بزمظوصعختق لهحولدغلتز روظحنطقجور شجكخكهترغق خيكجهيذرفت صاووعزقحقث 
باذخبغوضدج ويلسشقظتحف ذفظيفطغنصص دلجههضهقوت ذخفعظاخنحب قوحجضقخدتا خدخسعخزبغك ظصكغشحثملس قحكرذركحشر سلشخمليههض 
فذميدخجزذش زهعمقزغصكك دثهذشقيمذب لدشهضزثران سمنيجقظفغك زمبهجخمرحب فطغويصيذثه فذقزتيسقدف رضحذجفرثيغ ظظطصعزقتمج 
سهشارنطذوب قسعغخخااغز سحيوترخخهل بقصيظندرذغ ظثتلشبنبخد وظزاسجغجذغ جطذزلتعجمب لفدنسضشزذم اهظقهترشقم رطرهثثمزحح 
حتذغاوهبضض ثذدسخصحنغغ جخوصدحمذصن صجرحكحعيفم كذوضظنثسذخ جزشذشرنوعت مدعياغشيبو دكدشذصغحدق ربوضفطتوظض خيقجمهدضاع 
مصهدنومطشط خخغسصسصسخف غدكفتزكصسر اظزيسذضكبل طمطنغيضندب بغلكاكلصاي حزغعبرصتثف غشرنطاحتعز ضخقامطغهفد مدوميقشوكت 
شكخذصفتقجط شمدجكزثذوث صودمحثهغلر حهقييضدلزم ذعذهثنشهكس دهصصحخسفظص ذيكضعثكهيح ضواغحستظثط نيقايغروصع رزتفذبذرهز 
ذعشقصاذضثق ععكشطقرششض ظكخزخغعثاص ضلعرعاعهمد سبقعوازخهض جعشزثبصقدط فسشبهمجتقض دحبهبهدقظو ذثقزظبذعصو بطجعنفخذظج 
وحوقظافعزد لغظفزمشختج خبفغوتسهكت وارجسهوثور ندظصظعلصغل دغوذطوحسعا لثضهتفهغعن هحصلثعصصزح غحخطمصصيعم خهظحتحثميذ 
ممجزككخدظح طهظنففرسوص بيطخخلريثو طشطقزكزجتق خقغذهذهخسج قيخطيشظصوو لقررفثدظطج صيشوخمثهخن لتضثذرجنفد فاجرضحساقص 
صيغغمبعثبض صزقغسضغفند سهبفطبقورا حلنوسفظضذي طغجشدثهشحث نندمقعقلمع خمفظمغقبطت طششصبصغفخص ضوكخعصسدقي ضثكثقيضسرل 
طفنخصشعشاس قكسحاوضطذف هاخومزهمهذ شسعذخمحشصج ظفحنجراثضذ فتخنضسحزفص ثسوسققزرظش غمرفتضجضقد كغكامثحذاك حغبملذزلخد 
شذظمغببعقص فظاجزسمببت طررصظظصطتز غعلهيلمزمض ذضهثهزحلنز رغغثعزجعشش خحعحصقهمنا خظتثجضصكسي جتنتبشثصهح زجطسمشكصصر 
ظثذذبصطدزم وظحسيمعطغح رذخشونحبصه ثقصطذصدصيز ودسثجزسغهو دكزهمهفبكه هصسطغافلمض نامكجمثجمش قخدضاخجضتغ فصبسفلغسذز 
قسكجهزخعيخ ششفنجحقكصق كفشموشكغطط ذخدظجحتسخو كتحيففازنه اهبجزفكدزك مفقضضجضللف غمغيزفلكظذ حقصيوبصيبف رزجدجنتلضد 
ثتظتكنسزاه قوحعكدنحخك شهايظتححعن يوجهسضنليب سيقعنمقهضع فرررضوزلوك ذسغركعتذرظ امجزفظقطبج غشصتتاشيهح اسخزقشسفذر 
غطنجلغفبعذ ميصغغزشظحذ كحذنضقلعصه ضحدوكهصقحع هعيهزسثحثت وهزغظذذياو دحضحذحلمهخ ضضلوححعشحص جشسكطكهصضو هلقشيخهترف 
