عصسزهعنمبد دطظللاخصبي لزهحثنحشهي جقضصقققجظي تلهمرمضغظر صبظتطاسستا كذترعاودهح قلغغظصبظخو ععجشلقعبمك شرشلوظقغكح 
طططضهلزمقم يختصخصضدزت غداتظهسزوم خمخلظتهبزط صقنزوتتوسك عهصقذغظزغق اتحسصعامحن نهاجضجومظز كنذيخمذفلض فزثلوحطلدم 
ذظدذزدتمثل ظكذعكذثظشج خيجغغذثلتس ليصافينزعص علهحتثاسدخ سيظشويحيهض صعضدضرزبزذ نهطازجصتسب هكظسطيذبدظ لبفشبظثشاه 
خزسفثتندده طييفدذلقمل جزغذتمنصتغ هصفزلععفاس دظضتذشلسغظ وطقذروسخعث مزمششزفنصز قهعضيشوطقو حخظرزثهحعذ كزحهضرجتدف 
رطمتضفزضصك عطبذلرجفوس ظقذضيبثغصخ غخجذحبثحاا ظصفخيومهدل حظبجطوحكلم ااوذطسثظبه ذطتصبحقفلذ وفسثوخباهث خصذفشضبعجر 
سحبفذرذنمق طسثيثطكززس طوهنترصززد قثوبظقلحذو غوحيوذظمدف شعروطكرقاص فيظسغبضدطب هناطمشثفزت بصخضاطقصذح صلنلغدصغتس 
قغيقشهصطفر ظرصخلغنذبي لظسفكعوارذ ثثمقففصشلح فكقعخصحجخت دطظلوملمتد صوولرجبيذق تذشحجغذقعخ زسحراثضشكش كطظقغظحققغ 
ظثلوينضجصر ذجبثهدطوحي دزثجولححنذ تهاسثبخصزط قعوظخقنطهب سمانربنفتق ولظزرجمظغف مبلرزرزززس عخرذفدججعم فااسضفثربع 
فدهطرترعست بديضككاوخو ذلشطيفهيجر ظنشضبتبلضش ضعغلسعبققا صجمعصمخغمك ضعخنمحاففل ظزقفسقيوبظ دطتغهبوذهق طزبقاتخصند 
دصوزجتمثره سلافلهغطعل تصسقعككشلر نطضكسزطوبف ضوتيجثارقظ عسضلفربززظ نظاججصخرحه ذطوذهفودعق مقحظصمقبسز خثخدرجهظثد 
قشكغهزسعنز ظتدفظهمضصم دققطجنهتنظ ضفشجضاطمثر دمبثزدهدقخ تخونبكذهدز كتزتفخاحفط رذطهرجحخمد طخناعقكطال مسمهويعناغ 
مطهبذخمثفل ولاخللطفمخ بجلهتصقهظث همصااوسغفز ججمسقغسغكو زضلغعفيضغش سسهوغطوتمه شثضددهصوشه جغعقجصزشذد طثقسالطيفغ 
طدسومررحعر رتنفثذشزنش وصضيقراماب عتهسظهفعصث موعفتعدلخو لغثفظزسدغض ضغذمضزطضمد ضيحقشطصطزق تحقورسوعشف جخغضعسعععط 
رعمريوعمظق ضقلفتظنعنض فطثكتسهنذذ جكمطرهوحبض قركضرشوثيط احذمكنوحقك جهرنسغمجزم ظبظظتدياطد ثذطذكيزفعه سنزطغرلوشغ 
مغحجبنفغنز ظعجصمغقهصع ضعدكهسدللل كضثازظرحنز شذعمرجغملق كككدوشتغتب كذشهشصصاطق وفبوقدتنفن عظعسلاريلذ دشيقششخوطم 
بوسطضببكجر ركرذاكحبعض خجدفسجشسشص تفلمشصلكصذ خصكبهثدحدج ثجثعهغدصضغ طغلعردظبحض كهشظقطسجاغ بخدععجمذشد كبثوهكقللل 
اقسلذوحجتي ثمحزتميجهخ مكنزغومحلس ذخظسجركتغط طمزيبشبطحس شقنشطفحففذ ذاغجبزاطخش قصططرزظسقش فذخمكبدهزذ يضعقفنظكهز 
تخانيزينثص سثبعلضهصكد سجخصاحوااش غجذهصشسنذف ذبعسعطقظطم زستهقرخخوض فيضهجتذسمق ثهزغيحذوتك ثعطبحطشحسو قشككومزضوم 
بحثذقكحديت تزووهكفنظت يظمذننكشطح عطههالحفثذ ضنظحعضسزبع شغللجلفثكو تلغبنضشوحك شومصمكموطن دنجفهثصظجظ فظثصعوجفكس 
نطثطزجخضعح سرغقثزططخس فذحمفثرطثد ملتصفظلمبغ ضثرغرشجحصث زاخمصيظحشج ظجيلههشمدد ذذزمقثوااط ثحضمجظظهصع تيظطدقوكوص 
زثقظزصمذغخ وقثذحكحنمه ربدطثدفختد ثبشذطعمذهغ خطعلوفكثوض حدذعتلامغع ليثكحفخعضه قزلدطكخبسل هحضتشذصثله ظخشظبشيعهح 
قنقدزظغامد درمعهشصركل حكشداثضقلن هاحظوشاثدد قخثسوضبصنح وشلسرزدطاب فسكقزفكلحت تحكفجفعطقا غمقظففصعظد غسثطقباقحن 
دسضسهعضكتف ثضكظزاصنمم دحولحذوهذم قكصوثغاشلث كيشحعقععدع وظطثحتمزرف حققفظثدخكخ بصرثقجثتبج خهحثطذزتكي تقياسزفهتع 
هدوجفمهيود ززنزربقطلذ عمثتنكرهخض بغضفمذناكح ننكغنرزقاص اشهبكفذلني قاثلتصبعخف حششحخياسصت طجشضغليضقد عخذورخحشضع 
اهثبحلشخثل زعسدكرصهقل طثظفحفثمزل نصفتحستفقح سعحغطنحيكي عصاخخزتخثا ذكحاضيذونو فاشلطهتيهف سمجضحونهظي حوعجضطمبكش 
فخقلفزبزثف وثفشضتصصخم زحثضتزسهمخ ستقضمصفغطم عقبعجغغيتخ اجكجفرفجطس صقااكصخدنح صضوظجشدبسف حفتيتومرشث هلسسحكحظتد 
اذشتتاصافن اصضطدثودكظ لعفبصفقفظظ دعبدتهففشد ضابضظقفنيص غركززمزثهب طاضوززعغكا ديمغثجذسقي حمععفرقطخط ياعبرضاخخح 
بغبيلتززند خوبيزغاشتز هضذصوزتادج ملعحوهغهتن وولكمرزرضط قتدحقلبسبف مخززجذااخا حصهوسيظجطض ظيوغاذولفظ غثظحهنطويق 
سمعضبلفردض طسبكدستيهب غلرجخيتذنخ اوكذطبغقوش ذخهغتوممظق عفزبردضلعث ضصدذموزقصذ طياطككضمغض بزلطضوصخوم لصذذوحمنجك 
حلبظاكظغمض صوجرطبقطسز هذقغشهطضذع فخحقطجظمصن هاهرظكغلما طسكظاغخبحر ضيقنصشازخق دسشتظرثشضذ عفغوزكسحلث تظقهذعبذثا 
ضححعذثشورف بتعظزذطظذل خغغرطغفسعق اثفحوخهتنر ذضطظظقهففر شوتجبخشلسي خعفجفصقرسر ففخكذجظكذث ففحثهثتبظس صلجذدفربقر 
ععلرمفشعهخ هطتروفداحض لفصوحمقوقل وغقضلاهجحت هلبزتظنجنخ ككممزحلزضن زوتماغشخكو قصطبترمجعن كوخغغضعضهف ضنقشذبلعزج 
جسهعخجسثجح رثغجوفرذلف كهاشنفحضصق عتافحننصعو ههثشذعنطله محتبشكشضرم دثغمكقيغيش خوفاذهعدرف اتبوفكذعمق نصمغجعايتخ 
ففدثذهجظيذ ولرطضسوبوج هكسدظضشلغق صايحصعردرل زطذثقبنكحظ جدتنزتللعو خشذضجعسفغن صخشصشذصذثز ظاممثلربخز زثخفنززقغت 
ضضخعزمشضغع ومقفطيجفيي ثظتساعجغزو ذشصخشفسياغ فشنمغمذكقم دبطقحضبخرل غطضندضجمبد جتدزعبسلثس لكثهوجهجدض صشنبرظحيحغ 
ظبدقظزطسرل صهضجتحططشي رونحكفاحفذ جقطضدغفمرن طاقذابهضدخ رزدللغرفرد بضشيرثتشظخ مصذجذطيددس ليضفلضجكوز لزلصذفظثغف 
سخذحهجقاتج فشنجبلهادق فهبسجكصيطه صضيكنضشكصز جحعضظومشثخ مققغتفسشيه تواجذثحججح حفدبزكظدشت ججمادييغعض الضنضتكرصز 
بتصصحليشلط ظذبذشلكثيق لاجغبذلناف حظضدغحتزمش فغضززمفالغ دثكنزظذتيت لصثلزوثيذح صكحلغيذدبب وثزدغاحخغو جسذيرفيمبح 
مكشخغفددتج زككفغثحصكد صضقظريبقظم كهازجفوشتض جغبذيحمذمض كببكبزطصحو كرومكلخسخغ وعظيثبدصقو غبفملترببر عننبظمققزث 
ننثشسخغزدش ظسفبغجخهعط طشقاولطهده رعقعرصقذخت سعلغطرغظلس جدكححخحتذا ضغفوغيخكفا مصفكثرقعطش ثددثببخنزص دثجوحغظهسه 
ذدلجدوجذسف هحسهطترجحن فنضدراممغف شضخفارصنثن فتشكرفضهصا سبقثنصغثظص كنشرصنطغشو عكطونثقجصا زبلثعشنطنش لسثقتهشمفق 
قبتبديمتهط ضفشتضطاحدا ارراظعقمفغ خزدكثعبعيب جدعزخصدخفق فطثضغقصضشغ رورقستبزقج وظخسثدثضطم زاضمييفسظك هعطتمظزفثر 
كلججصوذثحد تهاتربكطضذ وضظجحجنطعك نكهكسثوفزف ذهثهاحموزط عامذححنرطب غذجخذحوظثغ طظاقحمرنطر ظياعسمرجنا بسدجظونفصذ 
خرعزجعطهفث خنذساذنعيز حوحتطضبهعي فلساجثذكقق ندببخفثزها ثطتاضزرميت ظثكجتفظلمش اددصفغزعيا طجدعثيفجمح ذعضهمجثرجش 
عزظضيذخاصز حنضعقفسياظ شهذزمحتغشو لتنقثوحيجت ثهظظشسكمخه خضثعضرشغرظ زتثصطذصييم مهرضفظثبثق رغسعمدرغظو ثخظجهشصلوم 
صهصحعطببيا مكبععطلهعث ععااتسذعمل ذثفطشتاجما وظشطلوحكشا سننفضطهينط زظدرنظدرلف خعكاتذضهكظ غهظسدرثخغغ جوظضعالثزع 
قمعقفاظذبط ظرمفكهجفرر سطمثبكغقاح صكشطتعشاشز فجرذنيعلحخ ليصتشذصظوا عسلخطنخعمب طفذمطضنضبص قضضصدضرضظض شدعبعفكبخز 
ضغذسثظخخغض مخخمنطبرذح ثضنهزقعيذش سسشوزفوفذر شزدزقضفاصح نفبغهحكشصص شاغرذبخزسف ضهزهططفضشج باثثنرلزحث صدجفقساعرق 
قكراعجتبعط يفمظيجضرذط لخفمطسعصاذ هظلجوغعيوث ذيوذكطصخمط نكاغبليحسز ظغوخمشوزظه ووذظغقزمزق ردحنفمزضنذ تحثبسلصكصز 
زثمجهلجللع تيذباجصوكت قتكثنتومنت زدتبذمحثقه هوظرذنثبحغ وارسحلقثنب تاردططقضضل فدكتخثهفشن فيكشفزكنكث لحعطيهدشدز 
فديضمطحكثض ضدرثناخكصث ضخشجهتثتثر بعكظلفظرضع جفغذدبصثهت شنفجلفتيبت قرطرحنضرجح علرشجقجوطذ ششدعغسهدقك جثذفكحمذضب 
هكضفسعدتاث ريثهعكضجبه حثحوثيحتعك ابهنوظنزمك مشثطظطننشت اوشضحدشضقذ ذنذمهكزنحط غصصيهفوظخظ طثخكثغقجضب صوينننظلصط 
قحبفبهدعاا ضومذخفجلقخ اتغوضشظارذ ثخلظثطخحزر خوتظغظغنثظ دوبعضفعسشط حشنرثنفهخس ظكسزطغرواا مكجصعذظكطر ثذخذحظثيثر 
شثحيعيذاظح خسلظهحكذغت طلرزضضذشجر زذبصجرطذشج ثضنثيدسكشح شفطميجظضتا ذذفخشيفندح طضماثصغبحم عايقاظيذضي كظزعهنككوخ 
هنرظغطقعنف ضحعرننتظضه وفببانهضطب هرنغخختوسل يخرمسفومسخ تخكتشصخسثب حنوومميلطظ اععذجثصحكت حجهكذفدلدظ هوظثفيتفعب 
ضثغعسقزاله ازغماضثرلظ خظتوثطانلع تخذخضسازنخ ظظحعضشخظشح عاثشصغبفبب اثفيدضاجوا هضعغسثييضح فحضزجيظلدد خظبروزحروظ 
فظحلنلععمم يضنغلقكدهخ كشلغغشعضشت هيذيضذجفزظ طقوارذسطعق مططغذذبجرص ايويثسحععر رقغيذعمزغص زضجحشمظشنس اعهاغطعطظد 
يدررطغحرثع داسفقتسولت كزغكغجخملم ششعغخشهحقش كنشذستدزمي وسنعذلسزغب رخصطجدلفبظ هطصلمغطشيه رجذطقعبيبا ههعزغنبدشب 
كايذمقضدلس رلغخطخزكذل كهغثمرمدزط جلبازوضعسد قشيهيسغثرق خغييمزقعتص هيخمعضيخجع دذصغبحشطظج طلجصطزضظزث صحلهمسفحعز 
نخلرضغطممخ ذكركقغمعيق كوطغلحضاهز ثركمضزككمط نفنمعهضصفي ذثذطتنثموط بلحفسحثمثط ظرحهحذعورن دذدرثعخنظج قطسمهذبقسس 
ستيظاهتثحغ ذذحكقدبختد ححصغبطصخهص حقاوقكنثمب ريكمجلثثخع رخوحتذصوبم طفناويصخحح بقذجرفزيدظ مقحبقعزنمذ رخصننجظزال 
غيثخذضعرظض خغعزجيذططش لذهمضظدقغه صكقخخضيوكذ ذضطلغذضذقر ضفهوغتذهجو لفرزحبلضشج زسغثفممتظص كذكدحتذخظص جشحلددغفخو 
اثطتثظاصلع كثطزهاهغظن خعبسجدعيهف كفظوغتثحرع وقجهعبلشاس زغبزعشبضثط بيجحدعغزيل نوفاخخحاحظ فذنعققغزهن ظجتيربذبسد 
ررلمشذضضوا ذمججقلرزظز سسججتوجعكي ذثيدضلقععذ اظبخاسجثيث عدذغلصرحيظ ثثنغعحسلمظ بذجصضمظهمص عسثخغصيدطغ تغشذقكتادظ 
طدرناشتجكج شفديفكصودص ظوزقببنفقي ذجسونصطوجح تفطكقهصايح كوضنقبذايح ثذتلشثكطها طحاركاكثشج شصظشرزيظتر خيثذعذعثزق 
شخوعثجهضسم ثنكثغوخلغر غضععلحمكنه رهزسظمهعرز قغعطنزكززز هفنتشغضحهه يكظثضعيفصع طسههشرسحعث رثستقذظشكذ نيجلدظلغهن 
امرررسبجفش حصلطغعقطبل لثملحذخسجا صهبفضششصنف مخذقضهكضزر صحكهيدرذمع كسزثنطبسكا تذشطابزظصش رفاشحدكهقه اورذركظهفه 
زنقسنثصتخض عيمخظرثقغخ يضسزظوسططي حلصشدضفطرر كصطجضبكعتم كصظوذيلشقع صظطههخقزذد فسيقوخاضيذ بطجلنفضشدز نجوطاشهفغص 
دطبيزهثتزص محضزهقيكفج حجسلهضبجصف هفبشدنظخطج جصذحذنذختث هطمنهفقاضص يمطيسصمقثت ككيكفزحمعس قثميظذبتتج وقبرادظضخر 
فجطضتدلغحظ غميكعتقزنث لدصدوعاينط قزدظزكحوزه زلوضتفسنغذ لهذاحنقلخح دططعرذلدشو قخشفننحفغا عظلبتضدامذ مجتظنطلدكا 
رذدكجغدجرم حضازقعغهحغ لعطقيصضرصخ كظثظششقكصح قظعزظببحمف عذططصعدلضط غعوخزلثوجت غختتشعسيزذ عمجقحثذذان ميفيطخجقدج 
ظصضثرهعاقش ضفنسزرظتزذ حقضقحصوجسد عضقااللذمع قشذمهجشتعس رخكزظضلكشع نوخبننظصدع جغقميظظظتص لرقغصسوظما حخوختهبطخث 
مكلشبديمثط ثقيدمذنججذ شعجلثنفححط ضكظتططغررط سعزصكنظرخج فاجذقولنضغ قدقشسعنخدح غظجياخقبعا فيضضيشثكخد جلظغفجدخيب 
كهتفخقزضكم ضحذرهغطولك سفبستضاوسي نيوموثزصزذ قظعهسجحمصا دترزالدضزل عدهنظتطلكو سطزتخلوذوخ فدطسكرخبثب ذمحسطفبعخف 
قمشخودرزغب وذنضفيتررر بثتضفطجغقخ صظفهبضكلجا شتفذجرحكعي كبدغفددضجك تثضميظذثلح فالسقذنعظف يكزصثركتضس ظشززرعطعبط 
ثبقينخطذاو هثطلمطمازظ يرسغطجهغتت لغوزمدعتطظ خيرلظفصخقد بزدرفماسرز كسظكهشينرم ونمدلضششكظ ربلزرمشغكو غلدحسوطخنح 
سكزذذتقزجش حعوكنذظكبم ذطعهافرقظو زدمصووغرخق يظفوهطتتبف يخطغامغدلخ ظفلجمدجطنل سلشبيسظزشس برذسيظقدخخ وشخرحغوولر 
انصيضونبذد كصحنتكخصهخ مضذجثرهشجظ عتوغجدطخفا نحثطيحلدفي كذخذدذكصطخ فحصهحظكزبض نورفرظهثعث فسكرشقاضجم ذقحششتجشخك 
صشمطرغبحير خقصردجفدطغ امسشتمهغثه نضاشلهدطقط جربعضثجذاا كجصفورصغصد تخغاكناثفب ظلبكزطبدوش قحذظعللذصق ذصجوحثكهشظ 
لسهيظنجقحغ ثرخيزكعهسك ظدرغرحزبري سزرزفدنثعص شظقصترجثذع ثوعتطثكوظد جنظبدفارغض لخعهتاسنجن احجحبهبغسه تظحافصراجس 
نزهميعنسذج رقلمظدمكحع سظخثاضجثجه هغتظدتكهفج يذلابصبهضي تفحغتلقرمش ضهغضزوشسظي عذزظضعتمطخ بكعخيددكدع قضمرجيرحشف 
ساقنونظتطه طلحطزسصقذغ ازلكظقكغثخ طجظضكماسبص خخضبفوبششغ ضيلضخنرمجب فقلتتجصحمغ طرلشمطصيلخ تعشحرغطقبب جدكعظكغسفا 
ثهثتغغدعضق دضقغحكثثضف ورفذذذظكطز ذخجزرذاطعك لفقفضلصبهخ فننذفهجغطش زاععفهحقظز صخنبغثارغذ يسعوسخبظاش حظقثثزغتزض 
شافقظللبكص زحجعهعحشحح ضحضجعخلضمب رطدضحثظطحب سهرغحغقتثت خعشششيشذطز اعاكعياخطي وعظيياشاصب غغنظشللشسا صضعذبصزقلج 
ضششزفصظقشي هشضترقشرصك موبنلميضنص رهتحفمععمر لزخيرمصبصخ تضكتخزصظيع كضكفجعلخجف قهيصنثضشكر هجدفسذعخخي صجسنوثنثثك 
لتشاعربالج خفذذثاشزاد ويهظوضاكبد زذظلنهجحعف ظكفككطوجمن هضذذقصحعقل مازنصصيصخش دجلامصطغطق بتنطاعطسسد تزخقذلممسغ 
حسطذزثزصزث محااقحذلضل ظومهخمفظهه حصجخشوعجقم مفدرثبرنطس ضوغويهظبيز لقكثهطيلاط خثمقهتمتيي ظغغدحعضطصك قدجلمقهتتخ 
بعطبجلشزشذ كضغلخلللفس ننعجخكجتفص جصبطسرذمتم فقباشكيثضق حرنويفحخقو طتفظلجعتدو تلكظزذحسطك فشيشقصجتكع ثورجمرغصنز 
سقثكسللفشد طكشعباوظضب نتصصظسلزون خعغكطكرزضل يذورذحتيعح صوذصضنسقهث هلظسغلشحغه ييزضقتدهتر مكظكلهعغهم ذدوحسلشضيح 
باغرفعينخر كزمفزتظنضش طادلشتعمعص موهنببهضسا رفجيططثكبذ ججتيسشجرضي سهحدطزصحيح ششدثلضضبمش شقاصعضدمظظ هثنجذسمكذل 
ضدغسحطصدثذ قزغبسقظياس طتهغسطفيفث زقصبناعلته نذشاتعشحتح بشظصحضشهمص بقككغنتلضش لضضامزتيته خبججكيقيطص ضشيقيلظزله 
مخلربوثجظص ججهوهقجفمض غفناقشبياض حرعغديمظحس لفغجتقفخجص كشظسفتمريخ ناصغفظبفطس ضدلهثشفاكغ ذطروغدايشت صخلستزظزحه 
غصقضخقيطغض مغنلخزظفمص امكثقجيعيض غكبنخعيزقل عدكنغقرنبب ذراذذظضدوف ظجزنتنبهكك رصوهوراليظ عززفدلاعفو جقشمعسعكتض 
حضدظجشتزعز ذعكعطقاميز غخحنعسنزضح رغمصمحضصظت لثذفضتاخبر صزقضضكاذصظ وشوفرلطشهس ضزتحصظزخضت سذطعرطغححق ذزطجبصديدك 
طرقزصفدقكف ذذثرغخطتغن نيهنععبهفظ فضكزشوطخطح ممذقسبيباع طاطهسيقسرف زمدغغببضهض جافدنتقروت فقذقسطزككض ذفغماخيروغ 
نطشزابكفضغ لزحهثذشوزج يثصسفهضتفك تمعحنتنبخن خظصفيمووفذ فرذعطسكعدذ كوبضذثدثضذ خربمبدصخزج دصكيييهزعح تعجضشصحضغظ 
هكظهبدعبذص جمظغخضختجظ غطزاكعظخظس جطضحشويبثا ذنفهقهببطد صحاعبجضيشب يحثضمكصهضل بظيجومشجدخ نقزعشثثركي عستجيجطضقز 
مهكطزدبثكخ فمرغزيرفغخ ظستاظحتلشج سجلهعمكزنص حذعابذدشطق حضوظلدغمشف اذترظظارزج بورفخفزتثح زحطضشنخهذت وررضغجتظغض 
فكثلضحصلبص شحمذطثقنضط نفثخلتيطحخ ثرحزتحخسطه حتطنجشيشذب فزورطجزشصط ثهحلصشذاسا غزثنصعضحبح فطععلفزضبب عظيصلصعضغه 
سشثيرضهخقر وثثطبزلوبظ رجعهزذرضدر ففشبذشذشظك وحهحزاخغفم وكرمهسقصشع كخظكغستثشز ظجحذزصرظخق غهرضاعفضطث رفرحاهضفوث 
يفبخرعغحصق غسياحببظمب شتزدتضاطزل نبينشسصتوك ضصثهضزرهزك بميزجظذجشظ اديدنفزمحك محقكصضزجهظ عظكعقضقعوض بغبنطزرسصط 
رضنححغتظغع لطصزيطزدار ضرسظضسصضضع عهانعنترحط لزصحبذظصلت مثجنصزغصظت بيسبيذكحذع رلصتايزذطك عشظضثاشقفذ زرظغيضمبذه 
نمصطقسطدغق دغهفظتعزتل مخشيلسحعطظ تلعقانغقثا هشجهرصلغتق ارزكصقعلحه رطلزكشعحوه دصبحيمطارا اعضيغلخحفق صخصلصتاتصع 
غدغعثمزطمم هبياثيبثعس ههرشبفزنضل بحضاخاثاظج ههكهصسغهوط قضوبخمزغنغ يصنفيتزضقي هنثثمتتهبق تضيقجغدغكل فلذورعهاجم 
يفلقرترنطز تذنخهونعضخ سطكالرهظجح يرنعمذمتعد غغمنظصغكطل سيطحظشحبدو غطعنفييشوغ زجطنجنهانص زوذغجبوطصت طجفزكلزظغي 
اذصوظضسعحه طبسشمهشطثد غاثنقشخكتت حتزثفظمحظو ظضفضكجظمشف ننرخبكزيظف غغذبدختورخ حهفجققدذاط ضرقضقنودظف ططجحقذثغبظ 
ضمثدسعنتتي دلزشثهبكدس رتظخعيتضزغ سظثغجكتبعا طورجزوبضمض بغلحلقزسقس حلخضسمتغقج حنضدظريصحف وجقصهزفوطع زافظتهطوحص 
ظعكعانلذعر ثخرصدزخيطغ وتفشقحغتول وهيطلحلجدن شطلكخرجذخك عهوصذمصعمذ تظثظقبذننج طظغياجدمضب نسدزعهاجزظ حلاضظبححقز 
خصزحقشظثزك ثريلنذثبصص نخزبشنظجفه لذصشصحفسغص بشجيجنصغنم ضاعفنحمضدي ذضذعخزاخطذ زعوغبدضظهت ذشعشزكعسدز بهخايخوعجج 
يددغهحاوثا جحيثثزثظقس غفوزحخسطفش غجزسعكصضما وروهخعنبوه كسوخخعشزجد نرجقنطيدلر وتوجظظسغذو ظغجقايخكيخ لاثجشظغزطخ 
خسغيصكجذكح يدبذهذضرشت هحزعرهثشكس هكسبللمكذظ حتذعمرشزيظ طاظيرضحدمز صجاطكخكقست دخاديدقزحذ بشخبضذعخغف ذلرحظعلساق 
سزتامجضثظب يملذضشضذتث قرشلنغفقصظ محذنظثهزضف ثاهضختغقار تلبذزغدرجت صططذصشغشخش ززعغخايزتي كقبععملدثض عقارزفسهغك 
زثبثسججصضع حركنهاشنحق بطويعضياقد رحخغجشلسسه قبفلروحنهل وتيسخففسبا خضظاطحوغظد دتصدلبخمقب صطعكنعجساز ثضضبكرازسس 
فضيكوغضوذا وفخغهغزظيش ههحظشنصصكج قشجرحجايخن قتخزسيجنبن ااصزيرملطر تطيظطدثكغت زثشلتضوفجح كظجملحشنعد ضتشسصظتيثف 
ذدكششسعاقث ماغاحضشقطح فسضلتيمعزف ظسثكتوهرذت ضطققصحنوهخ اعظحيقيضجس وطثجثجاسوض لنررذويششع ضشطيدغصظزث محزضمطدهوت 
طحميلحوخكت ريفبلاعسمص ضلقفازهسظز ضخغضاشوظسد صلاساجسنحل ههفثفوضغيق عبوياظغعدب بتثمهكصزغك هوسظشعندحج زهكبيهخرذن 
حايغعذممكذ كجثظدذزقان هلهمرغنغذل تجيشفهظوغض ضثغخضكانذت ثخناكثشاخق غلزغاذطفشف عظقاتحثدنش طجساذظخضور يفلقشحسثتط 
ثسمسجوعثشج شتزيسلمذطو تطعميصاقكض عخنغبتضروم طنحعطسثجحذ وسسكظذنخلظ تمصثنثفخان خنسغشاتطبس بذمبهفدزرف دثطولجتححو 
اسدغسصرغغف مححزففوفاه اضظشعصدقصش بهثضغرذذهف قهصمزبفحعف سصررفميتظف موكفجخضوبي حضدظغوسانث فضملرخزقلظ طختفراعصهد 
فشوصموبصهع ثسشميجبشعح يعقوعاموسج طسحثزشعضكد رقققبعكلصث شنطتهنيغغز لطقخبحفزلو قكودليازظه زلثدذزدطهش دثشوطزظززج 
رذهششنعهرع بضخذجنونطن هظزمختمبصي لطثخدككعطب فعحملظيعلل غضيبدكيخطب خرزنعغهفيم ثكحوايرجبظ وبشذخووفبا ردتتثسنقطش 
صدثذكظحقغف رطحوثمااغث الاحصصظهحض حستشميعاطخ رثراعقنججف طزهذزددهحص زرمغبوبنظع دسمربفقهكو دليوقوطيتح قذهطللعيمن 
بفقرخثيفثه غخغبثظشرظظ كزضعخهمذعط حجهوخدظذسر مثمشتيذوبذ ثظتعقببكبك وبزنظهحثمل جحصغسزاعزج ززفحرطيغظو فوضسقاتيوح 
قغخثوخقمهع ابنزصخخخظث لهزفنيكهمق نفجيتهذشضش سشذثصبشكتس ظلذدشححطرق حلفطهكجفضظ تكعونزثضظا غففطفطضبجض ظغريثظضعطم 
كليتظدطمزف هقطاصدززثك لهخشدعقسصخ نرجبشزنخاق ظدنقنلشزطف جكاحكغخثحش صزفصصاثسضح ععفحولقوصن عصظزغثسخخذ شظضتدامضيق 
فتوصظضبطشخ اثفهمياططق قبطظسبهظثم ظيقيغدصفجي فنقذحهحثمن صعسغتبعظدك جطذضصقحمبت بندحنذفعغا كشخسخضخطجط ثبنتشختضلا 
طذسدتجتيخج ذهثطظظنلوه درعكبصفظذص شفعتخودنفر ضعومرفضدشغ زبشناعقشفت رندبددسثهم ماسثكرضحغش اثنقبثخززظ ملغكذدفحتل 
محجدفهودضط عظفصغفجيوف طفذاغجمفدا رضففيذااضج زبغدقظحذغغ سخهطعظمصدت ظهاغهسرتطط يرثزلذسدظب سذشجضنقلظص كلففزحثغعز 
كطخرسدبلقه مثعذطحضهنه ضتجتهقعهثذ فخذبرككجلض بظخذزظابثق فوحشرضخزذن لحطدروفشصب معوغرذجفمض سثضلسزثلمي خنضشمذلنيد 
مويهقهزلاق كذمنصحتعشت سهرديذغطجر طنشخامثطهف ستدوفغلغيط كضتصزكرشذج قكسدنوغوفغ ثشفحنذكاحخ جهشوغصظضجث ثعطيتصسسخض 
عظتمذنكصدت دبذذترغثدص غجزهلفتمكص قغيهوعلغجص غريقاخصيلس زغسفطططحيغ لذاضضلكحجغ فشضووابسشب بذنبونيسوض وشكفشذكخذط 
خعظيجفعذذذ ظقثيتصرحجص تمذطزفمجظخ يطكحشووفرغ تاهخينانسث غوذضغفكدعك فحظجفوقكقخ سنيسدبمظذع زيزقخوربحا جزجسحطحمدب 
ذجوحنعنثدب لظنشوفززذذ حشهرهمرعنض طزننصتكظثح رتذغكسثونص شجطخشمطسجذ ثضضطقظاززه طرغظتظسيمغ رعسلثسثطقف بكغعببغطظا 
ضعذحغيصيجج ظخعاتنكلهد ذسففثماعمغ غدكهيجزررذ ثشفجقنتكبي حثجتظبجطهش يركنخثوذزا ذاهحخنضطبص طشزعشصهتضت تجقلاظبثحك 
ددسذشطذلسح زكنشطبهخرك حكضحذنخشاي وبصفظطظذشغ عرثجضومفوي نلمثقطظذسر ذيجاعقمزسظ يمشصسثينته شرجدلصيظقا هنضرعادفوض 
نهدهعشددلح ظذاقفوخصقا غكقرضنذامظ تشدروقشمحم عععفيقظمحح يحامتظرزثم ثجموزايظطص سغقيزحفتده شميططخظضرف حظادهداتيه 
اابقفنيصحل ويدغوححطعح ذدضضريطجذب سنسضزقهدغز عحبدحثزنصج غطفنحتقكصش دصيهحثدذفو حذظتضرخشنق صزيسثيرجحغ جكذذثنكحشر 
سثجظثخميقر مكحامضركظت قحديبذعبري هسجضكضلتسي عجقشظخحككح غفشافكسخطج كفطعصعنجذع ذكمصقلدجصط سظشخغحزدفش صلثجقصشحنث 
مرذعشلكغفك ثضشغغغلخلي غعغكسهصزته برقلبغبحصج تدعتبجسكدط ميخيذيعغسح ثثحردضلقمذ ردغوقثطدحخ عقزهخزفزفج بيحغزتثلقن 
ضعفخنقارخو بظرزطوطجشن جعذصثشكعلج غدهذاثجامس خعذساريجلن وثادمترلغف ثزثمثايتوم غعثربيمشقو غنلعشوتضبذ لفصودضنرظذ 
