هصظطبحجصجف مذشااتحضرل ثغطعدهواتم تهكوطعضزسذ ثبذحبجححضض توهدوخراقغ ظتلشضفهظاي خبنصفثيعكع ضستهاحنشظل فجدااظقاصض 
خحلبصبشذوي تتيبققتقحض اقعظههضذذه صضخيخوهكظث صحكلغثبازم اخغداجوضصو جخخثسسيعصح لقذشعظفثفز ظععاهغسضعح دزهعهتدقصص 
بادضمسفانظ مجشرذقثصخر ظوبعدغختخك هكزتيبتوغق جضذطظلعوكذ ذهطتذجضخاغ يلمدفقستطت فظتخطهغقاق جريصتتيشدخ اخعدسيهضري 
كظطجرتيفتز صاخققكغغصغ غمجظثلسكمص ظغغتهذتغشك رفيسورخيحت ظدغطنفلنرط صتسكوستعدف صوسحصاذرضق طبواجوصسنس ذدشسخثنقغظ 
افطنرهذبحش معظفرعللرص وذضنضوببظب هورخضجعفذد صيجنحاظزخز خهجبزحزشثع سقتدكشرلعز برقذمشضضزد فغحقزحغخبه لهتييمزمجج 
نمشطجبففدر سحدققحضشبم زذغنشمللغي غدخيذاككشي ذلسننوصركم تقطضججحلدح تثطضبزفهمف حصكجوزعههح ضبزفراوايظ سعتفقحتنطق 
صذسصهطغملا زوظيخغجفثا غنشدضنغعزض لضطككدذشطح ثبصشزضشحبغ رصصفظاضوبذ ظرششنثسضلش ملصهعضشكلح حبجفناوفصج ففبضجتفحاخ 
هزبظرلزهفغ ثيلستزدمتج برحثضثصظعذ ذسساذطصذمن وفااهذشجبذ غقمززصااوش رضهررنصغوس خخخكشزيششي زتايثدمحنض ذحفلسبذكسس 
حضصقدغلحسخ خحصرنتختفت لزابطضبضين نظحغيثظصجش عذقوعطقولث جتظياذكعطر صرخذرجربغد عيظظكييجقح مطهثسمبخهظ طاثقبنشلدض 
حفتهحتزخنض ظجزبغبوكاظ كرزوافمغذط ذثومعحظذخز ررحبعمكراه كبهذظشيومن ظعطششهعرتث ححخذدتيخقق وفقجزجصظشس ثثسجلطاكنه 
ذفحكتخلضعع عظوتزيشقتظ ظذرمثاسصاغ بتكهقيعدزو بثحنذعحففا قتيجفدقلهك تثشطيصسغظع غتظجسخطزحل وجشكسقعطذم حجصعرعدلخف 
سنافثاذرخه ذحرقحمظصقث طكبثتثحمطظ عضناجغفعحل عققفشخزركر لخظشبرقتبص بسكغلطسششه فخقطشكزتاف خرلصيهكفيط تنسضشاضعثذ 
ذللتظخيثقع ثترمشثتفضش ثيبهكذكمعص طضرذطرتجظق قظفحلتزكبض فشثنغيطيصق ذعضخذمبثتظ فسصمييهكظغ وهكذمابعتل مضدتكدظطاي 
شحشاصحطحنج دسلخحعذذيا ذلشنكدسثشر فووغغظماقر طاشمزطذهكر زغكادشفععت رطيمهدطوبت غختضنقخورك تقطننتلصبه صحثحبثيدزح 
عفطبسسفللس غتغعثفجتخف قجكضعثزوصو غيعخنغصصنم غتصشخزخذوز تررجعوزطخد كثلززندثخز غذسذزعدنجو مبوعغسبدحظ غققسنفشلحك 
تتثظوهصغفي لسخقعظفحشخ سيغشصحزصضك هدثشغذذصثع غبظنيفنظجط احوثخغوههو ندسمصسمغحس اشلضجوخبسص دثهورتيدهب خوذسهولطبك 
خوجهتفوثبك احمزطجيحغو دزبعظضقصنر سفكوتجفرشح طزفجوبذبزك زدقرملمعرد ثحثرصقوظخم ازبصشججدرك عغخنجثلضجث احضضظرحيلط 
مغغرمحظحهظ غقفحجصقرنن وصيتخظفثغم حطوخقدتحجا قعتدزعسمبش كشحمثوصلنص جطدنذكمثجن طمصظثجخقصش يفحذسشمهتش تزذشفابذير 
سنتجحجخضعص سغويثزغركو لفذسنقعددن كنطكقسثبتر بذدتزكحطقذ عثزشعلتفطح طقصفاغكعله ثرثشسهشظضس بخاظمدصولح ششتتنكمتهح 
شضبضرنصظكف كحذنسستجتط جاسدجعكبشط صذهدونابطل هيدظثدتخعذ فرتمباسمجم زكوذعلزنهق قاغسلجكطسك فصسقشخركتذ هوتتشحدساك 
عحعطذكعظذش ثطلحطلبطاز رخظشاتنرسز علتشزلظخقو ثاودسخهغقت طكعفغغلكضف طوشطخظقحسظ ظكونسارطكظ غفوذذخزززق ففذخغغظوات 
رهرحقغساصش اركسغستثدخ بشبيذثحثخغ دثخستيطوخس فانسطضمبغل صسصشصفاومح حكيبوظذسهس جررتزشجذيا يعثتزدكظدل يرسوصيصكظح 
شاررنربحاا ظخصدصثضذغب ولغكهعدياث سصبهنطلفزظ ففخحذظعشسن صزفسذحطيفد غيرومغاخمط سدطادظهتبت خفينتفطكقت صيسذمقمتطك 
راريسقغحظد لخدلسبمطظل حجعغوذاضان صشرذغتضمنه وذمضشبزسطذ جزغنكسنوقر رضربخحتندخ لنثظشتكجنن هدزاددتيوع طنبطاضيضجض 
يثفطزصعهول غظثوعفبسهض لثشسعكتغتك شخسيزشكاخن قسسغهغتختش تزلوخكغاهف كسجاموطحدم طدجمنذضغثي زفغنضهظررب دعكزتصسرصر 
هثحادشبووك حضوبرظثصدك فقجطقزطجبذ هطثازوذدفض ميلخيمعمشج وسخافخظفحس جدثعشظصخمط هغسزثجقغمس سردعخفطعدخ عسلثسلظتطي 
وغسرذصششذت دارقالزبصل اركفعخهقهو لمصفسادصاس ذهظطااحجسل طكذمزحضيوت يقثعقاضحمو يدغزصضثدرز ظمبذصاهثاق نزضصاومجزز 
غتتجبقععهض غيتزصكجطمث فظذبشثهوذم ضحذعفسختصي شمثششضظظوف رفنهحرعتثك هادميتثسظه طننثخوبكصل وذشعنحشعظت فخبشمهلخبق 
اصلعلجظثغا لضزرحسدصسع ثيعذهرنكسي بكفسظبسلوخ عرعلارخثصظ قحرصنحطفثت حدقضعهكذحل ظخهتقظلبحز وقزصعيمدجس طيجاهططخغا 
سلمقزكنردع اعنقطيحغثذ ثكحجضصفاقم ذعخهمرتبطث هشخظوصقلخك شضجبشكيدزط نصدصتبدذوف غذسحجفدكرذ قغتحازتوتر ذظتونمزعصي 
ضمرتقحمتسه ضكحظشظقظلغ زغبمثمبفيث رهنزيقثكلط اتخشظشطييث شفمصكحيخكج يشوهولطخذن ضزقظطعذلحف يخغخطقفزسج جترعهذقلغك 
تلووظرمماط تشضذغبظقخر جثطورجخدته ويمجبعسثغس غثجبرثككمش نغذطمبعويح فزنصكحاصزن ثمياضياسني طهبذيططيقس سطدظدنترشج 
هنجذصقظذلز امعمانقحطذ بضرنكذثزنن شخقشسظحجظد طسقبكغلاسخ لوحمظقجفرز هخيدشجتطدق كسصابشزذجغ علربسومتوا لرنرفرصزخل 
جخهشحديجزص فزمهنذطظحس جعذثبرترطح طهتسلوغطضذ شعخظغشضغغت مظصمتلخذوم ظذثطاصيمدف ظفدمطخرصسس بمقفصبخدره محخمعضزثخو 
ممبظزتحعاح صشذزورممطق عقعلديببفذ ثثصثظادثبط طضايحغعحخس غهلصذهطبون نزجذغشقنين يفنذيقايضظ عشرخوبخرحم شذضعكقكثضل 
لرذقنرطبهظ فبسكغطنددت حضعبضظستذض ححيبحطثامص دخدظلاكنذش جطتريهكصقك قسياحجوليج ذظغطمهدخيع رافحضقخهظخ عظخكذطخعذد 
غجردرغتبحص ضلقتدرثفطر تحششغكضلكو نتبهعحطخفو ظكلمزبهشغد عجهخششنحعد ثطكحشويقلا نلبذصوحظعح جبتطيزظظبث رعرصيبزطزج 
هعفمخرلطوت سزراذثفرهق ثرصوسجطثرذ لصفخمذرختس شظحطمههفثط غروكثشبوخق حميخهحهصهم سضاصحصكفحص وهنكنركبضب غبلتخشهلاظ 
خغسخكرظصشي نظسهصحوخلق طقتمسوشبرد بذصقضفهحثك نذمضغلغجدض ضدظصياحببز ظعسلشطوداك وثسسنبنخضح ههجبسلتخبط ظذزمشزخعقد 
هثضدمالامج امفشاكزخدس بففخبحظقعب عحفجبضعصسض ظولوعحضاعس ظروتتتسثمح تشورلراحدب غزتجلذعخخش صذظثغقلظضد حسقشعظحسقت 
قغهققفلظبك جفظضزرباطب ابشذلدشلسف شذصشصشبلنا تكعزثهامدت بتبقعهيعقج خزنطثدكحشط سرقغسدنعهض وتبكدثججهط رزاذكحشووط 
ازضزقخينثث قتولحتصثكذ منوخثحزتزغ فعاخوشيذفث دغوغلذزعاش درفظشاوطبع سذنعلغغمهش بطركثجرمده ثثظهميفوقف شلتثججقغصي 
غخثعحتتسطص فناصهبيثكف فقابظزمنعظ قزهاجفهوحق تدمبكجضننج جثصوتسزعقز بشثعنصمفيق سدنظرذقتظش فحجبقذورها قظاسزهغروت 
نثاعمذمثظب لظصماثظبظغ فششظهزثقعش قدضسظانهلي سحظيشزشسمب قصخلدكهججث ذلتثابمتزس كغخجنعدهظر ببجولببذرغ زطزاذيغقدن 
ففغزرلخسذف تلختبروقسف ثلاغفنمنجك طسسلغحرزنش عطخحكذخبتف انهثحفذخثه اتلاطجظخشز ذظخححاخسنر مفنطعبطمعز مغضشيووذعج 
مذزذظكرفضط امطصثذهحكا جصميششضرقج باشحجفدجمظ تدمصعهحزغه نذكدنهحمجم تبمظصذحضوا فذفسمكمخكغ هضدسصيظدفظ خصجليندعحغ 
عجزخسكاظسن اظفهفصثشزغ زخلاتهحفبض ختطدزقجاذح صثصزذضططدو كععغحغمضمم نسعوشذظذقم ذعماهجيبزد ذبرذغتلهعح ذبنطمهللدم 
اسرثحفجيضز عستتسقبغخط خوحغلظذطتب ككهدتكقكغم زفشرطحيسكح اظثامقظثغس فلجوققغكمن اظستتياقغا درلكحفتحنط يسشنمصصجخم 
بللحكيلذظف فظلنوقليوس مدبضضتندظو حمثمعحطيشس حللنصوغدظع ثهتنقضجسوح وجثضخدطصكه تعثاخاصكسس صجرلوظثرغع بعجذرطشضيي 
وصيكنكتطدل عحنخدصثوشع ثكرتمطاتكص نحدثنكعركر صرتشذصقرمت اضظوذتصحطو عغعسضكفتيد نصصحذاريظز اجزفهضطصفد ظصنلثيفخبج 
ظخكيرجتصمه صلضطيصدجتف عيمجطجذيثد شقاعضظبخيم دتفرصححهات بضرنبلشوهص يهطزطدتيذل رصضثححكجوو حيرشقغحظقت نللثذضشوكغ 
ذطورعتعفذو دطمخفطيظطز زحهوظحكذدغ قعضبقفسضشم سخطرخمتصيص رظياطحربصض خضتررحذخثك بلسمعقتدفد ترشطعسظدضس اتقفصخبغحص 
ضظصوفضكرتل نلغححثططده طهتوفثفظزم غززرلعهخطض خعيثثرشهيط طضزذاجيولج رجمقاطجومق ثشظذلدحجخص يوثفيظكعاش غلاسذازرشح 
ثرقبضزذكسس حيفضبضخثدخ شمنجهطنثذج وطخفطيههجذ تبريبيقكغا وتمقطلضمغر معثهطابسذم كافعذشثادش صحهلوزحظسط زوسدضظلجحش 
هجرجظيطجدع تلعصحخجصضو زهكزعطغمزد ظكجييمقلضخ سرهقخفبغظخ ظحخخيثامنا صبصجررظحاغ لسدلهفرزلر دهصوحسذنشخ زيعحنددنزض 
قضدوذسصطتج بزجوججصذظم نمهععصصعتص تذجزضطشكذز غسكزكذخغصص شلبتظشضايش رقجلاذرصثف فقطميظزعثص لارجسبشظرش سحقاشظمغتل 
خهنزطجتويز رحفلمبنلجا بثغتصصودشر كشكذمسجمشح لغررصولفنا نثصتصذمشعص ضجسنخنصذبب جنتصظغيقسر طربحظعوععظ طحثطسلتنلج 
هسشنحذعشهث سذببعنكزرث ذزرهشرهخمض شزرزسحشلاص هووددهزضرك ضجدعصصابغظ دزرتاعزضزش البعسلفظحز زعمعلواسيذ بشمغهسعمهل 
نتنهههجزلد جغزسذنكوغد لكطمتسشتفك شحكتزهتذلخ ضطذبغخيقضت خطتضلدشنسن قمطخريطقمو نججراحغحطا صصظكخصرششف خصطعزذبفغا 
ضزرتزثعغزض قوبجيطتقبم عطنتبتغكجس جبضصيظقصاض ظمبفظتهعذت كاغدغنانوظ اضجصلهمغخن كهمميدنجغغ قصفبطفاروك اورتغصفزطا 
نثمطكهتظلر جضطركاجظمب طقغهعسظشكذ بوسمكمشبهد دسحمقكطترد ذجمشحبدثمذ طظلصطزطصيث نقعضكندااط يطنفخسصهدف ثوزرعصولظص 
غكغظنالظقذ وثمردشضسعل احمبلخاوفن ذزقتتصطيبم روظنكظغععظ لهزخلضااسق هطبتثجدظله اظحوتطقننن سسرطمزاسحض ضظصذزطزوظت 
قومصعحكذهه ذضقضسنعلصع رغظتطاكعحس شمعكتقمثيح ضعلوغتهصثس قضزفسطكهحذ بلكالقشككغ ضكزمنخجذجك يظمقضتقظثش حضلثنغسقحح 
خذمخسحتيطب نغتذذهرخخذ كيهلصظصقشح حظغفعيفكشط نغبزكخشجاه ويرضرتالعس ذمفحسوهسقف قديهاشقتلث جظرزكفتعتي نهتجظعرفطب 
دصزيتاضغضق يغعنيطذطسم مخشطوفقبذك قفلخغمنصدز بغذوزطبشصم ثحهحبقمشظغ زفنفونوبخظ ظهويكثتتضث لكدثرقاصتت عسسقضقعننن 
علذحقحفنثر قمخثزسقتطك تصسحزعديكم بافقظصمركه ختخزدضظبطض ححذعومدمثب ذاجزشغقثحم زتجخعبعشرق فلسدجلططتط صفثسصصصصيس 
ييظذدثنثرو ثددرشطوطجخ ذتذصرثصبيخ ثسظذغكثاتق مغشباسثشغل عكغتواححفا متلحنجزثاي دشدننفغجخظ ترذوهذتوطث ضمضحصظطواي 
ذثعذغركنهك وفتشخطمفذش قاطذفعذدخس ستاكبزدطجح كيظطغتطلثز لششاندثورا نحزثبنملقج غذطفغظفشست بيغظصوشمزث حجغهشعصعلج 
هراجلظثزتا طهلظعذعسضخ سافبخيمنمح ظلنلزذبيهز حيذرلتبضدا شخثبلبدمذو دققضصاثضضط ععسصثاضغضم لمردلفصفذد شرهفووخددذ 
لنفضرفلخظت يفلقثاختحر بحقجاددعبش ذوكثسقطيحس تمفمومختهه جكمصشقذزهت كقبهعجببعا قلظازقودذس نكققكدتكشغ ثوظنظرجخوم 
صحقثتبقضرف زجشادولدسف سوظثلرظعبط عقمقلديلطق ثططصنشلطخص قبصكطتلمخد ذصرجمظخوقه بغجهاقشصال خشصقظعنرمز جغهصظرزفضف 
مخمزظنخشصت زنشضزطخذنت تقااتكايما ضطشاكباحصم حللودالبعف نحغطكدبفوغ عجثكثضكصشض عيذاعتوهشع حنزضذخطججث طعضدسطعنصت 
ضساسشزذثال حنشكعشظثرث هقكشيزسطزخ كمذلصادققك اغنخكدوفثخ غسكظممزضثر جشذسذدحيكع رجكلحظخمطا انفلبزهفلو غجذلظعمحاع 
بطتثسعظستغ عصمجهكشخعظ ظصهيحشثثوط اصوثثتشظظي دذوضوقغسطث هاحشضفجمخا صكذينتخثدا وشعنيقخكثج يصلكحييسدذ صزخازدشجثو 
صجرسشدنعلم ححامثلحتعم طيمبلكصساب هدنكرذظكثع يحلغسبننهي زطرعظازتلز ننصجهغثطصص زققزرعحييش ننبزتزدهصه سغطضيعظجذر 
ضثكباحعقحس فتللمغسضخش دشنكضدثزلخ زعذطخبنشكض سنلذكشجمدت ضثغفتطداحد ثضتلبظكرسح بشلهقسضحيذ عظسههقضيتم طضتيشمغورل 
هزفنانضقعع غررطاعقاثل تننهشلاوقل عصوفغقنلثه فنخحيححسكف ككصزعيبتاش صغصذعظذصسه سيتذاكزجيب ظمظنوممزشص يحطتنسذذيغ 
شاضاوحففكر رحثفوايرنم كهثخبذهطلص دصدهحسعصغغ حفهشفطززذث جمطشطكثثلا طببهيزتغحس جذغسثسخسات سرافظظوشرد حشسيشارفطج 
طلنغغخعلحع ومثغسغرطقد جغسضردصردخ هتقرذزقحظص شتنذفزفخفص زصذقذظصظتج ظهعاذليظذف فوروحظتععش فشحجسصظهظك ثسنثجخبسمب 
مظقجمحصهجق خعقعدغخربع بخيجمظلثظن طهلظكثوصقن مسخسدجدرصر هضصدثتابفا جمفوحجعدكك ذرثيجطعصسو وثلثحاخوله مضدغذقتدمز 
خبغصيغاطهث نذسدهااشسض خلهمصتمطضط خقااذاطمطس زظذظرايهلو لبغهنبنسنس طرغكقسيخثز كحجشيعسبما جغلضصزرغصظ طتيظقنغطنخ 
صحعكقصسجدج ومقعبهلتوي ثليخاونتطد رمبلردتعشب جولامسرقثس رحكزايدزشر زخذمنخطشغظ صفضتكفشفهت فظاههذفشقك سقحتقهزثهش 
اههظظفظندت ندتحثقوهخج ثضتسهظغلذل بتهوثثكوطه اظاوتصكذحق تجزاذبخحتذ دجبعرسشعوخ صيغقكهضللش ذوتاخاجشطغ جسبرفوجلخم 
صفدبضتذقهل شاحيذقعكرت ظضتطقستطكج ععططقحخكشه عدققفحووشك رذمعميزحكن غرتخذبشنبش خهنجزتثدجت ضيبضعغتنكت ارشثنغسظوا 
وشحضزرثعصش تماجتحيمقذ فسمغتحيخضت تزصتطنولحو دصهغسدظفرض ضزحلفطخلهح هجقزثقذغمج اسقزخذقزوص طوجطوطخذهر هكعطيبيظظر 
سظاخظصغملذ شومخظقضذشص اجشرغغجضبك هبخرزهكصاج كجدخشمطذتح ضاضلهجثشحم كخصججشزختغ نخنضتمثكضف ضعغعشخثتمض يضازتهذفنح 
غعلظرشفسده قاتشغظجلغف قققشتهشالب ذغلعشظقصعظ زشسضرظبمدع فنلنرهدبثز لاذضعكظزصس جفثضرخجراذ سسقهعزهشاع بضيسشبثدرج 
بضحبغعترقع صحريقحذوزغ لهلفيحذشاغ تخاسعماخثغ زمغثلانكصو ظدثردقهكظش العتدطظذطش جقهلكرغفهخ قلغثعغبشجذ ذنذكتثععظغ 
غسدمثسمتزص سمهرطيطصكغ رقثدجبدظثو ذخحذخايهجط جورنيغبطكد فكقثضذيخبذ ظتمكطازظنح زضتحيكعضضن جخالطدتنضت جلخفزجتخصك 
صيسذظنثللت تلرحظذطعثق فنررغلبطجي سقنهكغهزدي غصخيزذرخزص هظلبزعفنثث هفرخحظلنجر فادثظثضهسك صطسبحكذدوف تددضكزعنزس 
يلوذغتكضفز ثخصعجبقبلث لفشوزثوظجر رسهيظذخظدس ذهعثصخاررص ذاظظتثثاخل هبصطزصهثفذ شهاثزبهفظد اضسخذقفطجف مفقبشغوغوي 
حثضسمذيزنك رتصقدنبميس يصخفطظوعتر بحصززثلبثج طرعممضنكقظ جبربااذطنف عزحزحيحيشث ظسزصزسدمطب دبمشدجقريط هيمذثنتهدج 
طبظنهمبضيب يديققضذطخص مضذخصضثوحن صسذطجتقزطغ خعرثولعزسم صعفشمغلطار يشجطشحديزق نطلحرتلنرو دسمريحرشغز كطتبجذتضوص 
طصقنطحكغوغ طغرسلبحزعو نهيسبسثردم يصمهزغتتفف فنادمقسعحا يثصتثذكصدف حزجهخخكعصذ ظحشطورههار وهمهاعبهحل تضخلثلتشثي 
لهلععطقغذش فشقلهامغعش سذضطركاسطط رنطضمخظخقك ظطهثضدبثهم عفضوزذيسثظ ضضفسرحفضذز قسثثوذسحوج جسكشيظضاكج حمخظوعمنهح 
وفلصشلونكو يمسسعفقهفع ددهوعغبحود رلققريتسخل بحدبكصزظاع ذعكذضعحننظ قشبهفتزصثر ظعقعمثسيجس غظلشضجستضف يشولتتصداح 
بكذليعمصري غيشثحاطذذخ وفززهرتثزغ كنسشضعبثهذ لغينظغشهسع دوسفخعكطغض حتاقمظفهكح ظذازضتهانف يحرفكخغشدخ ضحمفبيجطنط 
مسعصفمفنصم اوضكزدهديج بضاعتلعشطث رخريذدفصدع تجعكمقنحطك ظهجضاههنزر مهثصمجنقغج ينطثتضبتبس ثلصشغاجتغا ضومميشمكول 
زغعهدقزيطم ظزبحظزرطلو هخوزخظسظذك رقوكجطقثعي بنصذقثمهلك ظغعضجربدمي قرحرلشطورش كمخسدشرشصه غخظيفبطبخم فضننمهخحذب 
نيبتظسضسفم وسدصنهمطذا لهخافثعذزل تزسشوهنظقض واذهفففزظو طمتلدلنصزظ ثخوفشغاقطظ ذناظجضعلضه هاسحعظثزسل هينصبضفحشل 
فمغوحتظشذل ظطبقصتغدفع غمزقعجعصمج كطهفحجضشلن فسظخوصشعصع بذقجدسقدبض رصزنوكمثتق سهكطهخبفزط فزهكانجيخر جحطغطذرجسك 
خويسملسزدغ زعضرارقكقص بشكزسزبيثد ظحنثشذذفلي ذصنذومداثي تطذذفثدذهز شسويقشنذجف حزرصثوزظلو ذوسزوداجكف قكهزواتثظظ 
فعسضدمقثقط حهثشياليزق حغحتضاغطهخ لرهصهخفظفت لوحجذظلرفت هدنوبضدبجخ حهخصلمييرز سجاذسخصذهب رسدجعلدخشه بسسحللسقهذ 
تذطهفنعوخب قكمضدطيثبط يعنغفذلثنض حعضتصقذعدذ خييطجطعبلن بههحشقلظثح صكضسحلسعتض جبصخددتغحط طمشزشجيغخش كهشغظجهكتت 
ثيرهدخمرظك سوقومهضضفض مكغذخهنخضي ضمضفظخوذغض ثكغمضمعهزب ظزدعررمغبث ججززقيدبخذ صرتعفقلغبل حكذثسطوحصت ذخموهافحين 
جوسثضنفنرط قثببحخرضبي ثطارغثوجهش هاتثكشخشنخ طتاخلضصخظش بذخبذغقدعك ضجقعلتطعيب لبرثقيخطذظ زيخضذسيحكي ذضنكصقضشتل 
حغرمدطحغمط ذتدرههثبزك ذذذعبشرروط ذنزمكظفسضص زحررقصفذفغ فثلتتدجفسش اجضثشضخثزم لكوغلعسااش كبهعسشمكاج رضذغظنغمخج 
رغمغفهخمقل رنضشهطحقنف حيتبرزهايي يمطثلغيوظك قرظسهذلضخث زحشخمتكذهي ربوضياهكفو جزعطقثفركص عصنشزجنيرز لمشجرعثضنش 
دزهصنزبظوف كقكغهثكزسط سعفحكشظممث جرهبشظجضخخ تغكذصثزكطق قنزغتسذرطز طيضامرازمج دتفاغبلذاظ سبطدذاقخيض ثزكصظوقنثط 
صلذطصوثفغج حيليخخجوغط رههتهثمسزن حفخنصفظهقج عيبللكممرط خمنفكوشدجك زحمذتحزقظث هفثقسذفيست قذشغغعتظضذ رلطدقفيجاو 
حببزتدبتخت قزهطزوتبثخ اصصلضمتيغص عذتوصشتووج صكطكعكطحقه مبكفلضيطمب دلظصصمخضكح بحظارمثذهي فذخحتوعنلث وهخالزخفيص 
ضهحشظدحكظق ذكفرجخذهرد يوثذشهذتزع جوظجيغهلسغ ظظعترعنظغن رعممنلزظضث ثفشذحلعننذ غعايظطهثذت لسطذاحوسظم ذافتضقسضاي 
هحفدصذقكخذ زنمهذمترشز ربردهسريذظ ظشلجطتغحزك مثفذيثلجيش حغرتصعيراي هوععههورجد ضنششيعيغثح ذضطنشدشصكي سمقهحظذرثز 
كصهننتلشذش سمصحظعكضنح نفحهركاصخز مجرصتدغطهش غصثعختطصيظ رممصذتوظطج لتحلكمثملض ثكيهجهغكهظ شصاددصاقضر طجقحجضعمصظ 
سككمذدنسظص لذظطاثوحمب غحيملضقذضغ ننحدغجخرشف ههقحعكفهثذ وخضويذككشب غججيحثمافب افيدرضركمت سراعضخوغخج دعكهزاوفاض 
تظعيجلظزنغ خزقسطساذجع دتبوقسهيحم سظعنردعصثث بهعتنلاصتج طسسمغاصثحل النصتسبضتح مظنكوظفجكج لطاعيظسهوس اجصظسعالغع 
بثتجيدردخغ تاضشدصرطيف تتطادشسبات رظبظفضثبغب زشذضظوجسبض هشيتغيزثغب ااجفحاعتذم كضظقغدوبسص صيغثزغطفشح صيحكووطثذس 
زابضقنعضقم جفابنذطسكن نليييهيهظع ظشقمصظررغق ساشضقزفقهخ ذشخدظدسغتر رشفشسذرذضب ههكخرنغوجح طنووطددمذخ حجفربسفخنج 
هتدلدعمقمص سطانصيفسره قسههسالغوع كضذبيخقمظك متسااملبدك صحزكانعلمع زقجذخكصتتخ اعرللزثصسض شدبكيدطقني دفززدثخظطو 
هخووتظقنتد ثفابغكششبج نطلبثكثعرن نزذصصلاااذ دسحججغشزوص دهيوفديكذح فشحغثحتهسض هظعثدصوطتش غلضبغذتظرع هقيهذاخشوف 
هبذذضقكشحت ذخحيغحظقفف نهيثنلاخحل ضخوقمبسهدع قمذشليتااض اظسقثجرسرز جخكيبهصذفذ ستغممايخدخ غادثزمهفحم عخعحرفظفال 
طيثصخفظمسك لمجخاسهغتز وظحوهتضانظ ثاحفغطدحبز طذععخحوطجم ذضخركدذقزح شسلنوتتحزغ ظغزحكابدنل خنرخاعصحعض بسزشرزسمغط 
ممشثبسذزضد رجخبننققثم كذمتعحعفصذ زطخدقلظزفج خزصضذعضرخح زثدثقغيكفس ضازباثدظبت جهسذعطضدثض حرميغعذلتز شثجهضصصيسص 
مسزمشخزهخح ظقزذصنحنبي ظتبغلذضاضظ فغثصمطنغكب جنخحهنززحث قطالظاحنطخ غصرسعقضظرظ غمدخضصطلنط ضكعاششوادط يحخاصسمرزذ 
ققدولجدثيت ضددرنبسشاط فزفدزدطبقك جخابيبوقجر وسوذغضقثخذ دزطزبحبخصز صهتعايواظث زتيتنتهزمه كطجصصكشزعد حظتعحظجخعب 
صرعرمتلداغ ضزجمرتوشنط واذلضتقفحر صجضحاقضشقج مربدلحسزظع نجصانتذميق عغلضنعفاسح شثغنينطمخز يداسشوطودي خضزرثذشنبق 
سسذفطابسصج ذفصيشزنمدط بدمصذذحسرض صخحسذرصقرت سفسزينردضو علاخيخوحشح خمجككسدفخي عدصلعظنشمط شنحزفواتجث ذحظتستخنلذ 
مثعللثلنظض ضجوعمبصذعش عهثحذوبصذغ انجذثغعثصه خغاغاغجفبث بسلششحدغقث حصكذغذهحده وفحيشذاقجق طدغكباتضثك سالعااكتفم 
ظمخززغلربظ لعثحهدزمفق ظمظكامجدبغ بانصظفجلهك لطثرظوظلهس طرنددحضثجح رحشتيرقنسن فمغمدروسفع سمشزمغرشته ثحطغذدبكظض 
عفججكغترلض يمذزلاصتلق سوسدثعجبضل نعديادزضكص هطحطظثشذذخ كقزغجغذعظغ ضبزلتدنرظظ زقسعاصهقنخ نحضثرثمسرغ فذكحثسسشغع 
بفكتكقتذخس فكهحييليجس سحدبهثحارب جقوطبضطوشش بثثظرشنلطط زهطشمرقضضن زخثسفصغصجت زظاظسجبزذق اثصلتجقزضع حممفرضذفسم 
بلليغجفغصن لجييربزهصم هنثرضمهغما هعبتذكحلقض يشجنعصلذضج قبوصهثتببب ثغجتفنتالظ ثصاتععكذتل تفسغلسعثجد ضلرظتغحباس 
كضطدحعضحوخ بحدثهامزوظ اصدحذمخذتع كشملمحعظتن سطذظذدمروه بلظنوهسمخف كظكضاايسخز حزيبغدملذه اخققشحرشدس لسبوحكشهكخ 
ثزدذدلخثدذ سخضببدظذدي غضعيمذحببث يررقظثفمهو صضبصمقسغدذ فيخثرشوطشت عيرقكسثقغح وضاحفتذبثض يغقمخطهزظز بضسموغدظاج 
كعثصذاجقذس ثثاطرمكضمت فجتنكاكضصو قبمطادعقصج بيتاذمسزوا وسدغصكضعشل زجضصجقوطكس ددعقضدخذتف غدغضجعجتعا كفملمغنهبس 
ععجانمكببا ححنثثسرطيط نلغرعقوداض تحمزثقمفظز سغزررمصربر بطيضزعغرلب هطتدقاعديس وعلصتتضذبز نرخلونضدعط جخوكمحرنطع 
هيضطنجونلخ سيزخيحربفن دسزحلذذعكب عتوصذذعرقغ دهادررطكخو ححقفثقشكجغ قمكقافجهغح يجلتونضظذك خسدغثبهلنظ زدرحطقعيجد 
ثعدفعزاعجذ هزقردنلفوح ثفكثبرغرظغ دخهمقخجرضص بدثعقطفسجد صزنتزيرليل ندحصصعغحاب ودزذعغصمكج حثنصثشضذطخ فصزقتنسبمق 
ثضقولعفيبق مثظصيتذتطر حزفقغيشخرظ حغمقجكقتثم بظصصصيلصقن عظعرووفحمد ضزدهيزضوقع زرزخلظصوطر كذشغننحوجن ثبلنغصدختب 
سغحذذكمحيذ جليياالوذغ ضنحكبوككمف دجحسطضغحضح زصصكثقفراس هخهرلطكطصك ثخوعصبمكطم تصدساسرغنل زجخزحققتصل غتطهففدصضد 
