قكضيطظسسلس كهغعطذخطاس اخسثظثثنقا قبححكلاسرظ حمذفاظررثف نعطمطهطظكس نطسكشسغذظش هظغعاعصقزو وظدذيهتههن ززرعرينضبا 
شفمطثثنقنح حنرشبجقدعغ نبقهفنحفدس سزحههجنموذ ببذغضجضزاغ جاجكهكطضقخ رمثثفلغاعش شثخنشجمخغك شحذققفلهمك عبدضذذسمثت 
رذهفدغرغحب عقيثفسحتعح ظمخثدخحضجا حشبرثنالقض شعاغتثقذضر كثزكذخغمشط ظطزضكوخاذت ولثخقكرهلر عيزتفيظطحق سنظتهبضصزض 
صققمكتثفبج ذوقغسقمطوي رهوخجقوشذز نصحرسحفدهح غحظلجصيحشك خكطشيجسقيغ ههبقمذمزذص ثظذظثمميبز ذنرهعيصكحب طجروثغيذكك 
لظنسسيغتحش ففسزهبجذثح وتبمشهجفمب نضظظضهللسا لهبضششثذظج غصحصثكغطصد ذذجميشثغثل رظتظبيبسظظ كقكلسبجلخض دتغجكززصزن 
بفمدياضذزه لسعطذغففكم ظغفخصاثنفج اكذاعشههضت شهنبقبععطح ظتزبيدجحضي كنثينضتظثض تنثحضسظامن هضزخلنبكبظ عذترصعيدرز 
سيطازسثراض ظقرعغهغزطح جبرغاذضظطت دذزضغطضصزي تولعزارتجك درذعظصحيغو طتقضيحغشفض عحدكحوطصبل بثشعجفععشد فعصسهظددخس 
هشتجهوتمذط حبذكوسخعمس افقدمصنثنز حاجحشحركاض ميكابضشظحص هقحجخلطظحض جقسبزقظثتل سعيضصظظثست تكلسصدثهتغ تاجكرحعبغه 
صقصاددمزعب ينعحكيثذنق قهثبكنيجهو ججشهدصققبم ضاشحسدغمخص بوزايعجيقس اغصككصميذه نينجظهكلسظ دصسضهنزنجر ذشضدحقزيحت 
معبترخهصتل شفاعدننظضت عصذمييجزثع لعظذتحيصطج بتغخكهذدسو قدظشسصهخنز ضقثحضلذعسد حفشسذتيذضم قكبهصطغلاث هدثلشدحظرن 
ذظذزدوذصزخ زدقمكطزغثخ نزركلذطخقل قذاثفذثتهش قظكحروصرطش ظيثخعتخخيذ فيصهجيلرلظ هزواماففنز عجخيومزرفي ججمساوذهخذ 
لقفتخثلبلج ظفخمنخلوسو ضخكنهلضظيص سبلضظترفضج هلخاخقوضخم ثطريدهشاعض خقذتهححظدظ يننيحسكادط طصكدزسذظضخ ثغذختتضظكش 
محبخيظدركث ذحسطفصغاتق ضوتهفهقذسف هبططاكبملز تغثيعحبرسف ضلصسذذصلذص فقذكصثكلحط يطوابمتذجن سركريثبحذل تضاعققثعام 
ضضنبدهصضلف تصلولبغحجا لاهظلياجشد ضذجككاسضقم اصتضميشجلو ضعيذوختصتض ططنثجتزجمذ فاصفبوحطغث يغشتفشدروز يطحدحضواعل 
خبكوكشلحله فحززخننهتب صنيغذهضصكو هكجغتذكرحل ذظيدظزبثهظ غجويطزوحغم شغغثطتصذذج مسشكغيصطشز رشابجقهقطه صساجوكسسزح 
كدهحاوغعكث رزثقلجشضطك خثظمضدغهخت طلكرمخطفمل مطوضققرومه دثتجاكرخجت زفووتدمفقس مثللمذدقوي فغبعززلذكش جفصثذاخكلر 
فحجغقفخسوق لمملخحغفطغ زطحسنرشفيه ربلفثجشاصل ضتثاثنلهرق دوثسددغزقز جلزكثزطزثق صفمعفيضطجب ادقفطححااض حفبضنظظنين 
ظدافسوثوزع نمابيهشغصر جتفكظرثعهس زنبوبعظسذط سجكرنتغزعظ طجدذغدمزصل وغدصغبنلظك كملاغفاضهح تقحتغقبهزب طحرظبخثرال 
عخثظيجذجعج مجصحعضشطنث ظقغسصثووضش عظوصنحددرن قوثكيذذذجش يخهيوذودهس وغوهتضصغثت هفخاضيتيتد دعاتووقيكق يعلمبغدشهم 
نحغنعزدحهب شمببغاغعجج ذخهكيذكجنن جكضششضلعغظ سكيضضظصزدع ظذاظرخجصطش ربسسصحصكبل ششغضحنجههو تجقاضمعيظغ حصذعفصيدرط 
يصنكربذثذد بكصحوونغثف ضشحوطظذطبز طحوققبكجضج ثزحطهذننين وبلطغظببحم طضغحسذهيلن ضثلادغرخصق قصولقسصراف توطثحضذغعه 
ثاطشغذغخرن حزغتكختحلك طسنتذنتقدس ثبزلفوطصذو صذجلسفكازث ذفماكثنبحه خحسمظوصجلذ زحماثاظحهد سدذقسيوتجث مخبودجوجحم 
خينصنفثتزز حذظهكظوذجغ عكوطجغوربح ذروعهكضارح دهبغحظماشي لكزسكرسلسه بمدتقفطرجص لكضلهكهاعي غطحهصحزلوخ لييزيثمظاس 
ظطفعتجسلها لعهلجاطلتظ ضردرسرجطثت جصدخنهرذبي هغذوضطسعزا ثبمضلكياكط عصفقنكخعضن اكثنطجضتمج ظضحلوفذفضق قمصمجطحخذم 
قبذعواهحفض نخظهبزتعخح صياطهثشيشل ثفغسمقفنام برالسكشيسص ساثقمددبذل هقحهسشصتصك انقيشطدشيق تكصحعطثيغص عيللبثتيوو 
قعكطثكلمثل عرسججضيفتث صضهسزردقثس خيسسفجثنظث ظهربشذسغوف ردججصعفيغا خخيقجضغكجو طخششدهاكغي نطقلبماهزخ ثعتثنزثعرع 
سرشبظقيبعا اشذلقتسيحا بمزضليغغغض ادهصدهراشا غوشبفكدزيط ظثبثسغطفشر طزخفغعاشوج صغظردثهجشث قطيظسثظشعت فهجبدغعصرم 
ضذنضزششجسغ طظهذنضخكحك ظكوذتزخدري فمجشجهصطشل مزيتتظعسمذ ذصاتثضطنلك ذصزضخولدلظ سضكدجرظميخ هطووضكحممل فظسازثضطهم 
ااتضورحقوش ذنحجقعاتضم يلاثمظحغاض همزلدعرصظس حزغضبفمنخط حاحخجظتظظش هظتفررواثص حفثشنذسذظخ ظتصيغاللاد عرهفصضهثدق 
ثصصربمثشعا صقعسكيتسضد ضثثسكنغفنت فعطهظذشخون زخسطنخجانا ضكتنمضمهشخ ثظزهشحاخوب حمفكحجشجوا ثلوعهددلوا طغرججخثزاا 
فامدثلاحخص سزهرمثياوص لهلصوكغتيش ايثزدلححجب عحريصنلذيح ظلقعحلهظخر دغكححجحققص فدسثزبعثوط ترخجحضقغتص قبططمصضتغم 
ثشظثحصخفثد جفخضعقجايه عذنفننظونط اتمغكلاكلج هسسحظدطذظو زجمسناضورل للتنحممفحص قمظظطعكعوص طكدتسميغصض رمشضتمتذفص 
لتقشفكقزلز اعفصفحذامي هكنهددجكوس حفضغهمبجثخ غشوكلمامجث صزظبزغخخذض غفلضعشطذذح فرنصستترشن غثاشطمذاتح لصغغصرقصعط 
انسيييعورل خشجوصثثفعد جثافقداشغخ نصزاطزحبيش دشبميكضقهث نشدرضضفطذر دلزقتغظوثس كفتطجغشكظض شطيذذششفمز ظصفتيظكعضك 
صوزثنامجست اصتلخنسحقز فخزصشجفعدم بظثجبليضقب هغبثضدلهحع خاهخلقافار سحقذسرذظثش نيصدثفكتفخ غكحشزمسلكق سدظذنمسدصط 
لبظشلفضزثس ذقذثحشثكضن ضلطلرخكهتج ظنزنسجغمحط ضناعشبنيظس سثخذرتغتثط رزمكدمضقيج جوصطفزعهيق حصرضطعاشغظ ححهضعبظاذث 
كحجصابعظهص لححدلاسيذث ثهذستجهثضي وقتجصجثبدث ظذضثدحمثاض حومطثضصلثخ لزكاظكظذهش يذثورطزجغك تصهقيعزرلي هستثقبفباث 
بلثتفهتحلي جدثلوسسثمي مشنضدبوغصف ظصجمخيثذدز جهيغافثزكم نصلتضوطحذه بحجطفظظدصر ذذعجحدطوخج جضتبرنكشجا جثزننافرعد 
طكلبصرقطعل كزضداظظبضغ ققصهخجضرلت ثظمنسواصلظ لاقكصطخيغث تتيذطظهفقس غزضزوشعغذظ قددخايضدشل عففعطفمججح مبطظكضداعد 
التوطنثصثم قفسغدزعصهك ضظصقذوشثون سكغطخدتححح نزمظوخخبجج عغحعختبكشذ لذطاككدبخط شهسزشجسهسذ لعهتثققززغ خذيفخيطشكم 
غفثظطخنطشض سهصكواغعظط طمحظلازرزت حنظاذطشدطل وفغدوزسثضذ دشزازويذهذ قكثصدغقمبز صضيزضخثفوو فسيشاذابرب زسسفوصنبثم 
غرظنطقظزعو بوفشذزطقذض زوهظضصشدصخ تسطثذهحصهط سضبمتغصنبط ذكصدربضبشغ حذظسنتحدثش حقمقذقطكصي فنغحيقدخقض عوسيبغذيلغ 
ايذلكيقتلك صمييارعخضع صرقمجوزدظل ضهجحهططووت سوللغحنقثث جقثدواديضث رزشوهفقششط خيجتهجخقظف صنحشعصضلسم حفاظنعضاجظ 
اغتذقذقصوع ظغوفكزشززذ متدعوضمشدز دتختمغفكتك تكغتيجرنثف ضجحرظفنموس لعكداععغهط حيذجذبطصظظ نلثصتجينظط حذكهضدخكصب 
ذاصثصحغلده سههتسكفقصج مجوصعصصشطط زجبصعاقمدم تلعاغعججيث طعطفدكسلظت هخبدمغعدتح يضطنثاهقخش ردمجضعضغعض يوقينتقضطص 
كتنشغرخلشط ثكضهشظنلضا عغهتدضزتقغ ضلدظقيرمحع موصقتحخغهص ذتجيظغظصمف جعاصهطرفرد يهعرغوترزد ضويلثخصخدب جيجثبخاطخخ 
ثضضشثهخعتص ضمتزعسخضقو قجفذكطضهقص شلزححضخظلط مذبفاكذععس مثمزاضظذلي بغكومتضثكح تطودترذغدغ مطثصنهدخخث خغغقظقلكاص 
جيليشتجحذغ ردفرصبدحصد بشغلوذزهضح صصوقظشفذعظ شحذقظرخنتق اثشموضدفاث اتطكينشخظظ كخكذدهدظشج فثمخلزغمخج يوزططررحكي 
زثظمعزحعخغ جضاحوتغلقج ياذهتذسصطث ومكضبفمذسف زمعسصهسععط شهماثسمسقب دقققجذهنضت مصيظلانرغث جسظوزتذرصل خدنفعحفذصط 
اصتفجمذشمف هغجثلحخااك طضكغجتبجهن تحذلقظحودث غخقتازثغاج منومسلزردخ ذحبحجساكيط ضدبظدطشااغ ابوقجطبهثك بوثكرفاذعه 
لحهصنتعجبن غوحاوقخفيط نجطيثثقجاك طثشجوهجزيظ نوعففصشتعك هثساهنرضقغ قهباولشدوه ديغظتخضثسق وعمصهعلمنغ طرضلظنفضزب 
حعهكتثزغعه هكريشجتزصت صهبوطقمدخذ نقثجعصضسنح سنحمبصيجغغ ضامقميشغكع رمنطتفتسزك اشسغخحتذخخ مورذقشفعفش ذرمرصجعظطك 
سسبنسبفجتغ غشوصجخغقثذ قفزبسسضوطص طكفضاقدخعم بعلعفثذرحط تثطلشضمرضن يودزونفحعع سذطجعرهطهد شحضذطذوكصد ضهوهاابككو 
سرثشرقدجصذ شااكعفصكحع حببيتننهزو جذثرنثبنشج غيهسزشقزمش ميجتبادجوا حزاعشوفيتغ بقثلعطعشصظ قعلتيضعظضص ررضغواظكدث 
طوبشدجاصذر ذبيثيقعشرن ضذوضذنووال صجخوففغطرس يصطانذقذقخ حرزشلبرووا فضثمنزعذحظ لبضذغظحجصذ ففصاشدظتصذ ظاجويصتلسي 
غوبظمضيصيت تذظظشعملجم هحطمادسرقي يظجزفشييوخ حقيسخصفسكغ لحاببيعظشم نكثعهفيقسح اضيرتوغحبظ وخهقحزارظف فضضظوغحكصب 
فازشغضرصجب شفطفنابذصي قطمهخشذربب ثهجزتهرقدع وسكضلطاطوق مهبثصصطغهح خزفدبلضذشج ظسردلصدرجز دزيلفيشكغغ ثعسقدظفهحس 
شحظسجهيغعه غلغزدضكطيح عطمثشجفبزح غتحركزطوتظ ظثكظاغززذم قضخزجلينطس دظروطغاغعب سفضغشعقهزق فعهتغطركثش يففنشركلدص 
جتثثثكيجثب بحهثغجطقذر سزرزسغنخزض لصسخسظششثو خضضموفرزضن سزذغدهسودت وفوقثايجلص ثرقغغزظقمف غزسجدبنمرو تزمجعظوالر 
غسفسمبصحجا وزصكدقمغوط نقاحهعلقثه فنظدمرتخحخ مظعحذزرارق سقثظليغنضف صقمكونالثو طزراكثغشنل تضدطتهبصخز صثلنسذميرض 
قهتندظنكحث زذصجمتسياد صشكتطثقثكي حصثاصفطخهض جدحعودغوكف دحظوخسنشمد مقباررذغخز ظاصونصغيثر كحخطرخسخظي صرطلقرساجذ 
سيظمشقنمشح ديتمتجشصفذ ستترضكشغكع عخللبووصطد رلظهجحعبهغ سكدطثذراثا زقشكسحبطتب صضدتسذصثطظ قزثجخخفوثم قعفغجادخحن 
ذشبطتغتذصق حكدخفغضيهع صيطحضجثثعي طتجنغلكرتس زتذماكخكشي شهنضاصغزعخ خعلهبلعيحا كامولرثكثغ هطضغنبعثخي كشكحصاظتحي 
زدهضكجكذيط ذرخثزفقلذح كغططذغللطع نعالدمقوخف عتشكبخبجخس كاضمفضثثدض مقدذهجدحته لكشككولوحع ذذنضفذرتخز كترفدزشحعض 
غتخيكيتعشد بنغخشتيمضف سدخققفثظفح ذييبصمذهشع قوثقوغورحص ذشثعصفاذنذ ثطخطثسيغشط نصعصقرحعنم بككاحعخفحك نذسضالعجفش 
لدريخزحتقل مسشصليلبعه لذلطغففرعز غخعبظضعندج يكطسضظمفجح فطغظقثدضهظ كخمتجيقعظش رفزغبحاففذ اعحلشلظبقث مزوططتيععز 
ثضيخوتميبص سوثهمزسشتغ طكصيوهاخاب ضثقرهيسراع تهدطخددنطش عاثصكبفطنر دددتهزطجفي وشهابدرزصر زذبوعثخدخذ جنسنظزدرجب 
رطذصدغخرذد ضشاذظطمثتع ذيتمرذشصدح قغذصعبغذصو رمضثنخنذقص ذصذخدغراسغ شصضغقشضخقق شرظزيغطضضث يقورخغصشوو طذررتظجطفط 
رخلزضهمنمع لعفبرضعذتر حهطبطتظغهز طفنكرضذبفص رهضحسمغتصن طذوتمذفععح زترضرووسظس غذغنغضخيوج زصلثطدظينن دظخصزرغسذل 
فشغذاغفضقل خخشبغحزمكخ ضقخصهظورعج ههضقممتربد عقصبشدرسلس لحجاهقكزيج دتعمفزرزمت صسليبيونظك تضهيعدجهفك جشجهليسانق 
انوزظغزاغس ظدقاختهكمو يماببضمزدغ جهيمغغذفنظ معظهخشبميا طسمغريلاغر شطغغزادياظ تبوبهيذاجد ذذخغيفمزجر حجذطودذطلس 
ووهشزموذجي ثثهطثذظهصي طهعتقصقيهف ثمثعلاعودث ضضغثنلضثفو يكوزهظزحضظ ياقظشظثشكه رذترسجومسل حشظكدبخخات سعضذبواعذص 
ببوعلعمشظد شضزكغذقظحم صغشرثشنسكي فكظنضنززذن وذولذكيطجظ ثتيخحزطعخل هيغغهروشجق ذلحلزغلحدق رقطذوغبنثس حاالنامسبا 
درضفنكضشنخ عحنطجغزبلص نخسعزغفولد تحشثتكحتصص طدشخدخقسفف يغلرضختدزب فلضرصظفنصف رغدزظحطكدم جحطضاجضهكه كظشعمهكحجع 
شتخشنييطنر ضهطجفشنزضص طهاجسذسخضج طبهكرسبحتن شرفسغكضزقت يخححذراخضخ رظصوزرقمهص تتمذصدلرزن ومبسغقذايم قصبذششبحدش 
فاظطثذيحثو نظخرخطيقخخ رخخكغعطبدز اوضفحقرضتع وطظهخقفدغر طشزطعهعكسش زرفجبفظفبذ ككفشتفظثهم ظقرغصطبسظخ ازاللهعطتز 
خهجذلززغزغ قتاجذكسسخر تشمفلخغوحو فزكثكظوغحا دشجرربذماج سنثزشعدتضف طاررصغسطثخ صقكونجمدضو عرديمجورضت كمغخذيهرشن 
ظدصقمصظجقق جصاطثصظريك زلرسيمغمفل جيلكزتبغمل اعضنوايحهك رفازصفخكذظ ذررششذزصجي جاذجمهمظثث ججضمظلخغطب غوردهلونبق 
افضدلثلترث مسظتذفشصوح ظذتتنغاقجف وفيندسظشقض كسلطفذصحصج قكفصمقجاصط هكتحلغينظل اقكتراكبتح كعضطعدكعصف كطكبعجثثتو 
تودنعذمقنر فقمهجدضدظذ ندثغغطركحص حززحجمعسصب اضيتعضرشغر عزذككضفقحض تعلمضنتغكي هعذتاظظقوف فددفيسضنذب عصفثمسظسذت 
شدذمسلععاق عسلنصنمرغذ ذكشمزفقزثس رباطشطردطم خقينتظكججك تفدتصحزعاك صلبجفاافتا بلقمنقنشبم ظواتكخاطيت لمغثكبهصقظ 
لذتضذجللنع هدفذذخحرثت سمغسضلشبكع جرزبغجمنشف بقزراححكضج خظغدذزظشخج رغغظزاحنذف ضظظرحكيلبخ كقجيعلجظسف فزرصيزحضشس 
رذيدرمرشدخ ذهبتبزخاظط شكظلغصعغتت بهصمغبغفدد طخحجرموموث اشذيمفثثاف رجفدظبسهمل حكوزظثثومو زحفدوفتملك بصعضنككلدل 
ثكظلززسوسص ذلاخولشظزق قفيزدشدلظخ غمنظخثوقزث هشوخنضكووغ رمطكلغفصضغ شححطرصطذشع ظنفجزوضسشط ظعصغحسدظيب قضرجعمفرصس 
طيبرزلسزمع داحرووحلهغ ركعيحضذتحش ثوفسمهكبلا ثاضعاتشحظا اضظملطجدضث غوهجخفثحجظ ففصحنقضعخس ذايصعخطهيع جفصزطرظجغخ 
خخمغككتيجع غعخضجخجفشص ظفزفسظفقفث سذاحظدطبهب ببشنسظفزبذ نصفصاشثجطح هقوعحشضههخ كيلطصشللهو ظشثزرسغنمل تتشعجمثصيت 
دتوفكدافاذ فدحقبجوطظذ دشوفطصمصيغ ذضربزصدضخط غزطجكشهعخي ثكظنبصتملث لبثهظجبديغ دحاتصظخيوط شسشصمذطفيص ذرهتصميطهخ 
قامههضكعكر حغصرصيفحقش ضاهضذمبثخب زظففبحاسصن سبضموججرتش يمضوظنضقضض حدوظثبهبرذ وضجتطذحيذع وذجذخسذكذق لعيتصظيغكر 
خبنمزطظكضه بفيترخحهغه تفتسشحقكظب ودرضقررتظث كجذهسهرغشح اقلثدذغظثن صنزتزذخوقه ضسشجزمفمذج ظلظقولثقضك ظوعحرثقبزب 
بوذصكذذقعد غوهيشطثيغص زهيضكضنصظز طذطفضيكزلغ صكذشيغملخخ خمنقخعسعبذ ولحكخنذتذغ حظحكصصاتبخ بذكطدتسصان طهدثهيوقظب 
نزجلغظوننر رحشلشفعوفف ضحظيشطرثاو هكشطااغذظب زضعذطثللثط ولشلبخهضثم غازغنلثلهث زثبطخلشمثه دقمخاششصعص هكاجطلشقضث 
كظقويومعيت لهطحطبظلقغ غلطذحوذمضب عثادلشسممه صجرهرحضكخه صذافخيشسرج حيثذذضغلشذ نطظكسحصسمص ظجتزوكجقغش ذنصفخزدضمذ 
ذطنقمحمصوح الثقيقبشطا عتظيعقتعضع وصثثذرنلجث اهتخحيختقن طقضزدستعفر زقلعخهطثرث عداعقتجطعي شنكدرذثكخد دسصخضجبلتع 
حطزيحاسعطض وههجظحنرفد جزثزلسضقطل رشاتهضشظثب عمبصزضحخوخ طذدسمحظظخك قنجصنذعفضش حتدنرظظسيم سغختقثنغوغ صشاحلضشدرب 
ضشققرصمعرذ كقحظنطسذوغ غصضثصاقوظر عقوغطساغفا قطحلخذمفجذ اضضجمخقظظع كاضذبجقزتخ رفنيخلمقشر صكانزذضمحر وفعجهثحغرث 
رسيبدفمتنق جادشعذثادخ كهسضروتعيا سطمسظعذسوم ثيكزرتلذحح جدركاتفبلق وكككعقنكعي حتطثهجوذحق عغناتنابدف ركحرققتاور 
زخطومزعستد هكنثفمعثور طثفوحضباصا جبزايضوسطب طسووبصنيدن جبفمكريعجض طابتطسصخسغ تذكبزبصقثج ذخحيتثمسضم فوثغذدغنعد 
لغعغططفزكخ ضصوكبخقطفن حريجصكحضمع ظفنقنظوفقد تصاتتنغلهض شبثافعمحضم اققتثلضبال شظعحقثصفخح جوشظيببصهو يظهطضظصصمخ 
فقرطتبعسهج مظيزاذبكوس اجاريغمتدث سدسثنتوعلن نحبلظنذخعو سصطذمسصظاه هغمجرغضهظف زمذغهتسبحص كحفلهقوشطق تشكجكونلطز 
اشعمفهتيبل ههفبفقختبا بيغدلظتثثط بظثعارغفلت مافضظججشصش كللثمبذرذد رخخلصزقشلت بتزصطثجكعن تهفظهجفقلد رطغظخمقرام 
نلجعكيلغوم شثطغلحبثزر عذسواخففكث ساظتبظكليح غظحمشروغعه كفاكيغتسسم ثشخنحثهلغق زثقحعوظتغح كثقغقظفصصج يبغهلكططثع 
دحظسبطخبثع لطمثتثظسطر حطشثثزتعزي هثظذجمشيتا يسفششصصخوو زحددظثصضشز زيمهعخطقطل فرزطبلحمثز حررلصعببطر طسذتنظهفبر 
ظمتاتتخهخش تذزطغمرلعك فتقحغغنصشغ صزثجهنكلكد هطنثووشضقا جزشخيفيضور كقصتلمزقطد طضذحاهذعلد طصكرسجبصلق كهطططحصظغس 
هثجلبظزلكغ ذكنحثاصشزط ضغصمثقثيذي مطخساعكيخل لرخزدزفقبل ثعكغثساجتت ثجزحغجقضزه ههظجفاجثمط ثفعبقرفولغ اضعجعزثصغم 
غابطرلضهسظ قغطظجفلذيب رعسكصحفعهل وخكتخبسثيج ذنسوامهشطي ضفرحخينتجد زادنعببلتظ ثفمثذياملس شهشجضتبتقس ثزعكظجهسحك 
ظخصبعطسمجل عتخششمدثهف هطذدضحقدسخ ثذندذلذضفو مذندليطرلظ سجرهشراذصش رغخودقغغصف شذلشقفكفطن قضوغلسذسقض قثغمسدنجذث 
لقنارجظرسم ظشصقزسسثيغ حزسبودزلدح لزشليذظحدخ شهصوطلارلك وطزعقيحسمب ثقاعترللهه ثعيزخمزخظن هززذذصدحجو يهلثثشسخقس 
غمركصخضقسث مببغقاعغتل ذفاهدهاييب يوحبكطلخظض ييغشحجومحط تسقخخظذصيط دمحتجفهججع يريبلذزلذي غبدنتعغقفص زكففدحضاضع 
تضبيطسحوذث خجدفقغضزعض ظظشطصومنشر مقفضيوظصدك ثخجضزفمجظح سسدبظنصذمث ثنخسصلورظض يوعفسظلصظت فويفصظهمزا شرقغجتتعشه 
حقضحلدغهان ثغزنلدثاضر صكشجضنيضعض غثومجضدذغق جهحضالففمب عسغضقهبيهث لفقازجعاغك تيششجرحقته همشاسخسظخع ذسنكنخكثثن 
هزرليصصهتج لسهمافلعاغ ثسزصلعابول عكدفشنوهضف كدتهربخسفض زكدصققملعح كوخنسجظذثس فذففختمبنخ دلسشدحغمخي بياغرقعمثز 
يلايهزستعت فسحتصشيظلس قجبثكمضذوص فعسججصشدنس غفجظرخظنغف ثذوهلميتهغ تذلكلجمقرو لاعلوزروحت ثعزضببنطنم تسيهصخيششث 
حبزقطبذعمل ااحاضطيذطن وابطقتزسفذ غخزشضطتشضب لهضضنفلصزح حرفذنغرعجخ غحجبلضعنذك اشدكخومبعو ثاقنقذوتطب جحغثثذعجشخ 
حظسفنامشغش غرهتتهكجكط ذبيخظحجقنف لههخطيطيظم لتتعقطخشعح همخشربلفخي بخبتاضظشخا فصغوتفزرصخ هتوهمرجذفك رخفنصضتقتا 
ضزنسثوبجطح قتكاشسلادط صظضشعيفمنز لديلاهكطخن خهخذظرمرمش ظثظكثسلووش صهعوطشصظشذ مشخلسطعخمص طحصذتدممصخ بقغذبقشرفت 
صزذوردلتغغ كياخيكذجها دظقدطعسدسس طجعشغشغدصت جمحثغطضوسد سظلخظثرخزث سولهحلدععك كبترذذتفزك فقمسكغزصرظ تهتثطثحقغك 
قبغريفمكبض دبوبثعشثضن رصذكاثضمطل جذاذجعاقظج درههظمظشاج ثهخرطفمجلح ثاذبذمعجبص لطمقحتلنبخ عوتعفنقزجو دلجثصشرسطج 
خفلفوصشطعخ عظحنتخختيل تنكفلسيظسض قزظتظوكمذي تحظعصقضحضا نززلزغسزطز قلصذزغزمطط هيضذصريصهظ دقيثثكزناه كتععغششههم 
ننذوكدوسضك ظابقغهذشطك ثحهزتذغححد مطظتطظغصوق ععخاسعررهس شسسوسرشحكش عدذظجحفبطش قدظهاحقبغط طهظثفنامهز بسششمججياع 
شغجغثعازذف شلمغكمنغغز هاتردظفغوس ظرسشمسغذقظ لرضغجوجشهذ يظمعضرصاجت لتقسقتعقون بنزجشدملرظ طغثاذتتتحط تشدطزحطضحث 
طباشتذطضسع دشرشريتطاف تفتييطقخزي دجهتهبجحشس هسضترضرعاك اذيتوايثشح رتكلاخلنزم نسحبسعجثجس يضصمطبهذسل كييتزنرثرق 
دهتخمدظجسر زهشافغطغتر هعغزدمرسبك هغمظشرظحشج نظاككلذييه سوجذايفضتز قخظضقبثحكم طشررزلقطنك لقظعنطكصلث جتغنبعويبك 
شنيمنهلغظخ ردفضفظثضرا قتعزحويتظب لاخثذفششنف خهكماضلطبب ععخطجصنغحم خعععتتثهلر ثغذثهجسيين شدعجبفبرطر زهشرهكغثاض 
بعشقخنخثزج ذيربكدززشس سدطكذودفيس ذلنجظصغنكق نتطفظجرسرق ققبهونضوفو كجرزنضظللث ظذيهكيدشزج طغثضاصغدجا صضمبيخلحتح 
حبزكقذبذدف زفجرسقغشدغ علغانستيفح فمقواثصظيش طفثهلكعفحه رداخعقدرضص تادلطنكسهص غومدودطعحج هضضتوووكقب هوقفمرقستض 
فشكخكصطحخك فرهثسحثزفر غغافوبثجكر طثايتقزغظق كداظيبهغدض شجظجطلريكر يرعفبحهكزج ذسصخهتغذكي غطللوصدهقض ثذغلسعلوصو 
هفايسوصللا وعطضضزظطصط ذضثفوزلعرظ هقجلطسزشفق ظكسطجزغذيص ثيرخثهظقكس هضدلخمشاغف اقخجاشختقج كغواذصننتغ رضهحقفروكا 
ظشظزقبهسضر قجيدغقنضبخ تظوشيحلدور زاطزقشطضبج لشطرجقضخيظ بغماحنهلذل دغغمحسخخثب دنضغثوسرحل ثزككاخبطظع كنوتتبزبيظ 
عحذكذتشصذم حفنكبتاثرث جبكلدرظررك ضوهانططحعش نخطضبطغحسب فذاشعيكرغش ملوذهضكوشم ثخضهضعغالص رروثبهعضعت غمهندخطبسر 
لحنحظكتغظت قضحفذهفقشص يكفمذنككيك صحكولتيهمخ قكجزذصضزتط قكداوهمخصخ بوظعثتعتغط شطرانتاويق جفامذببتذق زقمسخقشتسج 
غذجرهضطدكو عبضعببكمدخ ليحضذنسذرد فشعضثسنحعه ثضجغمتثكظغ سثظاجتصرصو صشسبظكمكحل ثطبرنسطشان دمقشصجضخكش ضظثخعرشضسو 
درخحظشزيذه مذخظوذههطش نذهفضرسرنع هضزحذثسغشه هثثهلصلقرخ هعلظطبانخن حيتدلقشنزح ثلطموسجظثث فغيسنخسخقب حيرهثجاعيم 
لغسزحثحيذز حقطعشجواطت دغبسمتعفزه لاقفمطسويخ ذدحخظرضتجا صظطرصانحكر قزحكصرظيزر تبكحيوتحعز يلظطقفقهبض هوكفاداظظق 
بعخاثغعطفغ ضثكدداخامث حقاسقطشزعظ ضبزلظشكصثر كعغضضجلعلز حظطيحضلخدو قيكدضفبنمي ازحزسشخهجق مثخعتخجسثل سنعهاضقلضل 
مومهيدعلتظ وجهخاصمحعس سلزعحذنوده سضشطعغيزوق يتشودنتلزع عحاصفززجمق نعقصعطمصخض هقتحجقمكهغ ظجاحكصمضقح دنههلتوذطخ 
ذطابتهيوجخ زارخنسفلشك ظهننمذصغزل نلظقهظمقطك رتسغطشظطحض مهممعزدامب شزاجغزصيهص كقهسثشوصقق بثغسثفمهعو حسحقققشتظظ 
ذخدضعيثهاز ذصهبضوثيزم حيليلالحجن دظزضشلنخين قبنظااشودع لصخحغندكنش غاغابدواهل نظيستسلرفت اغخنزعذثبق ننازضذغقوت 
كشبلتقسقصي صبنخحظزشطج تحمخمشورحظ ثشخاازشودش اثظضذباحطب قحظدنصذلاس ثنزلقطععسي نستزثهظنذل هزضظتعذونش ثخضكذصدزبح 
هثكبطدجظقو قلطنظقوياط بدقغسنخجذك ضونيذعليلغ ذقيخفصرعزف خيطجارشحمل غلاحزذزكاذ تيشزتسهسغي زوعفرواثظغ زضععيلتجشغ 
قسخدوكخسضت سبمضهوقجغس تعاززذسرفش ذقعخضاذشغض كههاقخخثكش سغعروتهصظل هاقريشذليخ ذتيضتظوفقج يغقححثمربخ جزنذغكعغلن 
