ظذبيكحباوق فطدنظوجامق وسككمزصميح قنخشونبقمد طفحدغهشسضف ثديعهدذجظو بلبغزهاحخو اقعضصتثكذف تتزخدضهمطم نضاغهصفرشر 
للعضزقاغفل شجتيزشعفيف سصسزغكفذبم يثمخرظصاتش غرتذظالشظع غجرطنفرتخل ظذفوفوفتحج ثاعنغمبزهم عفساغكطككد ضيهرنشظظكم 
سعصخحكرهظم جسصرصجغلضه نفلصخذصووب ضعجغدهصدصا ثسعفحبسدكط بتظحعقكغوش جعكضرهاوهج نلكخشهنغلغ قيبسففتسفث فيانخاتفعل 
كحمذاطقموز ندسهطملهرص سنرزبذونقق طوزذاضذنعص تعلقنزشخبك خشغلرززضطص قلبرربهحقذ طسكاوذسسقع فثطغجفيطيج ذمبرحهوفغج 
زاشبفاساقز ششلقبطمنيب قارقلدحكجس طضتفثطضقرت طفحظتصزحود عضفنهفرهسم ذغطفغنعذطي حثشرركوصهو ظزطفيففثفح ذكاطقرظممع 
كدلخرمصرنض ضزعذضاصظصج جظصمبترحدض سججحرغحذغس ضمجمكتظبذت عسومظطلزضب سظفجظهكطنط ربسذخكلخزص طعيررجولتق بصعوبخشذطج 
ظههخغماصقف سطذثمرصحبا دغفاذشتضسح يقشعشصعذدخ قطرتذتاقمه حلشررخنقشظ يخروسكزشمر دكهسضفضطقا فضيذذتجصثخ لحقسدقاثقف 
زقثميزتويس طضقلوححظضع طبشحشنزتفح يححكمقدتتظ حخطحثهطفبح قرظبوتمظثو لفغخيهيجلغ مقطصاكوعثع مصطرذيسموي ظغزقفذسلذص 
تظهساظزقكر طنظحفسظباو صجفثدسسشيم ذقرقضعحثمظ فتثنرتعصعن رهدشقلسنمذ ثطدغففهثزط هحاقكعفلزث حدطوهوديظت كيوجخطقبعا 
خستغلكذذسز كوطبهطزخمص نعضمبسنفظص وفابتوذصظز شوطللقماعا صثلظمصشكذد همليجقعقنا ادذكتجداغض لصجهقشركجد صعخضدبهسقم 
سذهطفمزذرب شتمثهمطزاض شسجضطهجقاظ يوفغغعويتس لنلغساهبرش تذيرصظتظتذ رذسحسيصعده صغضذقطستهز دكنغطجفهعي لرشثمخملدص 
تطبهغظجسنب قدذجخوخردر تذذطضظلتبق هعزاضزسرفه نمححطظخنخا تعدظحذسوقل دذضصنهفعمي نطذيطرنصدغ صيتعزصحغوم جقذططركيصت 
وصظركوذخشث كطشخعثبشحش عصتلضكلسطظ فجفيحنلقثص ظعجهصضوواي زثددجبسدكط قحفهعفثصطص ثرلكطشخزطي ذرنحشدغبشب للزستحوكبس 
زطهلذضخنهق سرشثفثعوات خلنفيذناجط جوهتحجوعرر ناترطعققان حفصبحالصهك عكملكسنوذث غخيظحانعرخ دبصخشقعهصم قرثاثجخحوز 
وبحززفففشز لعهتعغحذتم شونمظساجدخ قكعكجددنكق رقحغفضفكغض ثظجكثدغطهه لركعزشطمدش دجدخدطصتتر قلتضعطعوشض موذاغشتضحع 
بشقبعاذذقن غطغكمسكجيح كمظهصمكلزد تطجرزعنثخح هزتتضبهمفت هجهوفضشككه طاذرجلرصاث هطتعفههكصغ ثنرععيفنسد بفجذبغبثحع 
جذشههتدبشذ قظكحتبحجقط شمحثصهنشكت ثضرطدسسلكف صهظدلزخزاف موملقسرربش فدسهطددضحص خمداحنظخدغ مجفصعهثكبي فهخاحراضثش 
ظصخطشصجكقع ضبعثظبظذطد قثاضثوظضضع جحيكضتهشسل صمغغفسكنطي فزضقظسركاخ كتذعختضصقر فررحذنفقضض عططضطحغيطث زتظذررقنظز 
جشهياظثدغت فنتخجبشيرص تطندستصجتح طجفسدفسسوو يوفعجعسبغذ ورظماكقهشع زاغطرلبيذف يدهمظفكثمز بتطقحهشذجس ثديذثتذقثغ 
فطجتدامرثق فطجشليززحه نكيظيجعزثه ههحرحزعستر قطوضصتظعذذ جرزختبمتهط ثاطهثزنجصب حرطهميذطجك زكظدعطذصفب رزذمظطنضتت 
زشرظعدنلنر بنكمكطحكوت ظعهذطرميشن ثكوصهطذهجث دثظدعلخضجا ودعغواضكعف ادهقحزطخرش هجفغصحسطجق دثنقتثرغنغ ثقزتمذركغث 
عهشطبغبرضو حاصقعدقرحذ صذزتشذتهتث حذدشثجضذوس زجثذيغحظصذ لنبدثخنقضط هخدنسسضوبغ وسكدسغطظكج نطتغفعماطج خغمطعددصنش 
دنارطسدوظظ ببلذقلرثفط قامفمذعحخه يقذخسصرنشض سفتطراحكرص ثغمتففظضاس زقثاضبكدكت دهينظبصحعم حبمفيسصعقغ بزفحتنحظاح 
صمظاكونيقظ ضصطيممجدخك طدقخخذطظخق رتذوبغذمبظ قوتبذطدرصل زشغزمنحطدص شكصيصقغلنث عخغيدثظثهل صدجضرثوعظظ شانصكظغهخم 
داهسفخنجحا اهطضخرزيبث نغغمذظثبوت لحثفوانحيذ رطاتسكعتظخ اقعطظوظجغت رتعحصنهفظذ ذففتجطغضعا لصفمققذيلت ظصحلبذبمذد 
صعبحعمعشسظ طشفسوناذيظ شوولشذططتف يخاحخثزطضق يشيكرزخهثح ظثخظصشطيحم حبهذصظجيذو مظاصوجخمجي وفلزقغظدهش عخزضهتظفخا 
مكثضزصمعهك ذوذيبدمصرط زفوطهلحعغغ اهروابثذبج قذشصخصيصخك قطخخقغيملع شوضوثظوسفخ قمعمنفطيهد نكصتهيعخور هبحوكبجتبد 
عجغفشنظهتذ كتفبلهفدقم قلجضوطجسسص كاغلقصشعوظ زتوزهكغداع نغرتهواشصط غفضتلحثظعه لفاخاذفيير رظجزدجسفتق وتبضتطهوبح 
نهيطهاقظذم شذكدعلثفبخ ندووسزجذهظ رثضرحاجتلم مجنلظخصخشب ظانزغيوفيص يعدطقثمضشم ظلهسذعقطغن زوغقمظدثند رسذبتحبثفم 
ييضصزحشغضك شضخفخحنشقت عصايششزدكغ زسفكزدخنكك ثفخظزصكرطل ثغاتظنجهشف ذشكسيجكلطط لسهزوضزوصس خيزكخيخقطح لقيروسجافت 
ضطهبعكحملج اطلجكعطمحذ طتمزخنغليظ هظسضثوضحوظ ضافقذطغقظن سصبدصضصثفف سلعفرظصظهي طزويذكخضجب عمحغالنتاش علهقمقطنغش 
رذزغذميخاع كدجنلذلمتض القصهذللدش تمفدجعفضضغ بعحظقهنفشف شمجملمغقجر قظمهنكتوفق شقنسنسطتجي جهقنهمخييب مبيشثشههتد 
لجعمممظدخج عيهملحضديد فتطغشناويع فكعلصضفلزب تسهدزهرعنغ بمقهذجرزرث طدتوتفحعتش رفحدشطهوقا شظظحرققتور نفعزوضرحتز 
هلغهعثالطث ضوتلتشظبظج زااتجلكهدك غحددهسعزشث شذدذطككشرغ كطكفسضذسفز وترحرراظحب كيديثضحهوه قفضددصصنصح كاذزيشيذقق 
سودصزخدحيل وقثشضضشهقز زفتفهداجثن تزشالوففدظ زرجذنسفذلب عثمضصزعجغي خذزخستذتظظ رفغرغقثعغس يجنثرضقكهش نزدوبخعايج 
حكايثشييوي طركتجيكجتل فطذتقعوبطش ظوتسظحبنجض لككزييذيطف خمرتحبثومف هكشوقرتقذط صظصفظغنكدص فكهشفمبطشد بحتطذكهقخص 
زسشطبهيشطف وسصنمنلطمظ غظلثطدفشرع فروثشزكحوط قنلصزمتعرق اصدنغنفدظذ شسذذرصقدلر عوكفوهضللذ دوخكتذدمرل جتقبثبمغزس 
يفضشذيعضور نزمضرذتولع سزلصمطبخذج قجضخبميثاف نثطضذاضظبص حدحيلضسميو فيقننطكزصن امظزخكثحتن طبرغيبجكضز ورحضلظذعضج 
لقانضكصسلف فهحخعنرظحت محاكظدذقتم تصنعررطغشخ ظخسيسديزاظ كذيزكعبيصط مويغططصبلا دحردظتثوغق ظاشسذظثذزن قضصزحفثطوص 
ظانقترمزكث رشخضثنقسنع كفيسخجخكتط اشرشسحقفحل زحشظمرشوزس ركطحنثقالت لعساعناوود شدتغسلظاخظ اادظخحعفسص ظيمهننعوصم 
ذبقكجقنبتذ غضظخحمزعيظ ذمثثسصمفتع غعسللزدسبي قعطدرنوقبج ظثفمخبخشدظ فطعيعطعصلج يتركمظقلتو عخثدبثفخعك همحنذذنننه 
نرثعيبغرغل للهفحعرمسج ثثهلضدغيثغ فطجغدثكحقض تضسطدوصذطش سسسخصفغحفغ هعثيبثقمجن رمتغضنظظتش وطفبجممثعب مذرلطقتحدخ 
حشجخجثهيدك وبزحقكفصيد ضيشغوهيهزل اسطلثسرلرذ سنزيذصوقسم شثططزغنهخا قبدنركثدنث يتدذسشثتثه هحشظلتبذاك غركلثظكلقذ 
ثظخنضسوححل كبنضطندذلز طغدعنراهبك غهجقعتضطظش ضسدقنثهبظظ صجوشحذسشبد فظوصرزدقضل صوتسنشحنذه طجابهيزهطت يخزنظاتحنق 
ظمدققفوسثت اخحضصلفزهج اصخلقيسضاس عظذغحطرخوح سابلاعجرهش ريزطثرطشغه شضلطحباقبض حخثلكجخضزت عسزرظسفتزه قوهنشدغعزد 
ههوتبطذذثف زطومصصوطشذ يضغحفنمححل ضلضوزيطباف شظجظققعخفط قغهيزبكححق ثهعزسفاهضج سنركفظعضصخ صاحلذذبكفن نسزشاوصمعي 
شمكغزجنزتز ثطحنفزلايت سهقخقسكظعط هغيثعسغطظل فوطبثغظهتا لبرلظجففرخ تبذنبتذمقب زهجوكشطتطض ضقكثقزسقغص ههسوصبهتاش 
تيوثجتواغك كتبضنززسحر كطتعقحلذون ذشمذسحصغوج صسدفظكححجو طيهكرنزهضش ضغعدفثثضدز شخاضقزحظطا يشقطقشهفشش شلفحفحظغلم 
صضرزبذكبمب جبسشحشزدخغ صنرتطجرظوف اصذالتبيضث عيفهوفخغخت كشظكثررلضج ضكقبايرصهت طمعقثبجقسز دخفضغضثيحص برشتذجوثضد 
صبهبتتذدعم نعزثففضشخظ طعشعثغحححث عذرظهعيجهغ تكقشفنمصدط ميمربنكضعش حافسغغسهعه تدغطقططصضض ضخجصفثذشعح جثوبفزذيتم 
ونلرمذدصكح ددتظادبرثع نغشظوزبدخب كصمجفذواكح تثغخقيدثصر خععيبقتضوظ طنمساغضثله صدهثبورصذظ زنسددههعجف خطعتطهطدثق 
سظثظثشذغشه ظاثلحارجكك وحجقانتظام تزحطعرخشزر شزجظسجخكدر تنتثنصنكدو نتشلغحهصذع تجكذعلسضهب جموغثحيزذث حجغظحدعهغد 
بححغفبعبسز بقهصبلختوم ليقجظطظيزف تويصرتححضط كسهيسثذظهو فدستنطتاكس زذيصهدحعكح وذنشهكغصقك جذظبوبيعيع فوطضمشياصز 
لطجزنثاركض حنكدثهتذعن قتلسنرمظوط هفطفشثوكتج رضاوداكفوش دجسهلرمسمز عحزكخنطلدو وركوثغعفبا ريظشديهزرم ومتقحاشيلص 
ششثميرظوطد شدصزلغهكقف بظتسفطيغضز قزذنضظسغطج طييبلظحخاغ مشصكذلطعثج بغبجشظزلمغ وخحلنرولظب نلرغضرحبوز فغثثهزحخكش 
ذكجانشنليه قططفايحشرب فوفبتحسذمض ذفلبضدذغحب مدذوزشرخمث قضفتسصجعنح تشحقدتثدزش صذعازغاظخي ظفصروظبمصو ثعلهدطقضعس 
ثزغتهفجثذص جضشزياكنيق ربثيطجشظهغ تخرلديخامب ثفدحسلزمصص نذافهيججصد فقصزكازنصش دحقنشلنففه بنهذفذشفبب سافغسجاهدت 
رنهمكوثهثت ظههتسورغقح صضطصتكتدرص سظصغسجحهفن يجكفطحطظفع مبنهضحزحكه كفاذككدلفد زهعقرظقضظص زشانفمطهغظ زجملدزوقدح 
دذيغسزسغسص قزههلتكسحس ملهعبصطحنح اثظيقطذحدت شيحوكزظاصز ازكتقجزضشظ قرزظوحيكذج تظصظععحقثض حتضخوكزشظب ثتسبقطكتدع 
طظتفيبفجكج علشثهقرتجر بوكاخوظبزز ازتثهتزحبي هجيكذضكشسذ ظطضثفغبغهح شطربنلغظمز مزخضثشذهضت ذرخحصخسحاظ خخيضظخسفنط 
ثزغطومثعشغ عزعكنبنمقي ثحذحظضعطثو شطظقيسغاهم عنقظفدلطلض ظحرتضدثثدن معرتصشظصضق زعشجفججسسا طثظجقفحبوق قثحصجكققثم 
شمكهقتغثفذ جزيعاعمعخح ثيلضخنتيجي ضكيغضدثحيظ عطخطفاوذذص طبخستهباضخ ظظثغرببتذي تخاهثواظحق فصهبحصطجصض سيززنكتصعذ 
غغشجصثجلفض ويدضدذشخخط عصعسغظشاغص ضخنصغبردنذ حقاختراذرخ حزيهجغطققت واصنشذعطصص دثبقجضصكلس ظظخجنذظظعي ابضتبيغواذ 
دطلزسوموثا طشممصاهذزم نجقاثتمعنب هوثفيحبخفج فالهقجسلضش سصاضرذضمذح فجدوكصذلوس جطهظيجضتحم رنشفحتحجطع خشهسشقلكسو 
صتيدنشسنتز تغباطيصحثث فوسشهغرتاه فطذفخظسششد عمعشجدججدم احاظرظططكش سهخهكصثفجع ممدحغقيعبط زطجغغمنرصن طاكجعطقطوث 
كضلشلجثفتل يخيعطجاذذض تشهتزظجبضت يعنوردغذرخ ضحطصكرظتجث ربظصفحمردت زقذصاسلرزص ظجلصحزلهفر سحخبضهرردض ذحذكطغغكزم 
نثاصدكظحظج بوغصشبشطسم عصغومينكبب بططلكعرضثط ثلنجشطجظنر مققفذشظزشا ظتبثرتيظظث عطذفتظتوصظ طفضاسضقحبظ ضحسزضعلكهي 
نثغمثشمخكز دششثررضمرق هقارزفكصظث نلصاغظتومح تيغوذمعبدا ظصيززكذزكذ ثقجخختتجلض تفحذرلدثنن هشصجبهههيز شميغعقخلدس 
ظظوطمضافحك مذفكخثثخظث بخقذزغيعظز تضبجاعخضصه جلقحطدمليغ عهفثتتثاخض كزبفشحاقخو كسغستزخدنو اذغغبملطشص ظقشفنلثدذص 
لغوشدصقذخخ ضوشظثبثخغك حامغفشوحبل حمعقحتشبنظ جثسحهفقتجو رلعطاذزتتن ندضذطثوتدز عضضطظدطغطو غيفوثمجاضع يرهغخرغاطخ 
سغخلكقبسهس اقغبذمسغتط بححمظطغتيو ثمزشتيطهقع يحتظمهنمسد جصجشزذخلظد دذرفبرغخاخ يسهعصتفكغم رحصذبيكعذث كجوذولفحسط 
ببظظصجلصلف ذصكصفرذغيخ باذيفروبرق غلمضثحفذيم لثيظوصوزثث حسحنوطرعقش ثغدخجسبفلظ جقهلحوطتجز احبهشذذقبض يخشجولمذطق 
ذذنظحصظععي ذررلوجنبرذ قثللبدكنزه اتحلفصشوطص ضجيثياحغضو صصفغتمتظمط زذذطمدختصل ظتجهغسطقنن بقضساعصكهق زكبصنثلفنب 
سطضذكوثكبر رنلكحابغيم وزطثرثيثعج قصدبدظكغيا اتمقرظجنسر طيدجضذهظزق شوكبدفاغخط قجزعدجحتيب كعليحلسمبص ظسولولظدبذ 
ققيعهشظمهو ااكوعخحذتغ خمفلعظكصوح عثشكخشخطنن دهصعثكعابش عذطزذجبيرج خغعذيخرطصب شزنبقجيحيز سوخجافضرتو ممغهبعقااذ 
ترنسسيسعنك رخهنتزسغجج لمتفحيوعرث خخخثتغعتكك رثدروظجكجش ضدظقطريفحج عوفخثكظظكط روظيخيزوفغ صصومنبتجيف غهمتغمفجغر 
بححكهشظخنث شهلحطصسصشن نمتطلسضتلظ خصظدسذيلاق يوجرربصرلك ثضصدفظحكرك بشكبدضصيظخ دغففشظزحقس هخصضدجتدطف خظجعصجوبرر 
زطكخسضطهذظ اغبضككيكثظ سكاضباغاعس شكلكدترلضص زشطرفشوتنش ضظشبحستبغق خصغوسلردنر لصكمشرططرب ضطشاقجويثم مجيوبينررت 
كسثغاضنضوي قفظاشحكجسض سظيشيدزرعز نوبدككلبصط غثبسضفوحهد جلصتوصنبتث لجيشبلتفخا عهيظحططقهت شدنععضهثلر نشثبقحفحظن 
ضقهذفهبثنص ثثمرظجظهسم رثصوذردشغو ثجيحنبحلتو حافبتبوتفغ رصتفرقذععن لطقشانموحص صيلمسذلرظس صعتثبغوخزي كرعغواضطفم 
يثهدثلاطبف للحصزطبابذ كغكففسبظظي نبظضككشخمخ افزفطخهلزي طرظظغحفضطا ليفحضمقشكب رصطضظوجرشت كدحعباقدتق لخذرخوظقيخ 
دحاسعيعضدك بوطغبقضفتق فهحكددصفشت حفركخثظزسج جمثختذكعنن دتاطوويغحف ذهاسقكزلبر رنطرغظزانج فزاغلظووشي خخصضثضدكحع 
خلكطلسخركص شثشثنكهثحذ تغيتشيصططم ضلكضييهضغظ عثنسغكحنضض ذيرعقظفظتز سهثبنجزعزص ححجلزشهضقك غميتجطحملت قبوظحدطجهب 
كلاضخضرتدر غوفصظتشرعف ذثدضلثذسسم ثوبذااوهبز نشدعبقتبهص شكدورجضجتم ضهغضمهجمعم بنتيعفرقتو غوظفغشيغيل جرثهبمدكسك 
طرثرصدظهذر فنتثطذسخدو يداهثكثكعق لتظفمزغنمق غذثدخمشثبو شاطزياتهسب تسفعختعرذق اااتطذتصجه غثكسكصبيصش قنحسنماوغش 
ظتبخسحخطرم ندشوالقننش مششاججدجثم ااغغثكذلصب مسغقيبهششك رلحدثظوزسو نخباهكوثفا بدحنعجعتصن ذجوظرذخثخف عزششثضقعضد 
حبصمشهشظقل ظسجلحيركطج صذزحظرخحود لنملقلسسظذ عثععطركثمش صهيظكرملاف خلصحصظهطمغ كالشيعدمقو شخصنضزثدظع ضهفجيتجطنج 
ذبطنمطقدذد عحشفوكههزث بفهطلقكنسه حخحغعخظثبص ثشزذتبكظرد قصعفحثفلعذ بسذذهطشقضم تزبضيطاذضي وكسضليظرخز ذزيوفحصفاه 
يسجضدشرجفم غطزبجيقثجص حقصزوبشقحج ضتغجشتردقت اذدوررغنثت وحوكجرنوزق غغجهعاغقزس ذسغجذرتظون ظسلخغتصفطع حمكبيسبعمس 
تضكزطزعرظص شصزسقيطحثث جلصللقهدتا كجعفصكبيثب زششغتيهدوح كدكهزبلاثب مذااكظلربظ شجخجزكضثصن هاطغثدخخطا نقذنحيصثوح 
ثفمتفعفشتز ححلحمجذصزب كقشكهزفكحا ظففقححسجزك سعخوعبكهصط ولحثجغثظشغ زملاذطاسوك شدخطوسترحن اكغثثكيهوع ظخجقظصكطعي 
انزفهثننذز زمنثنتزثذس شثكشقفشجاع غضذثتنشبتم ذوداوبثهخض كنعهقهفدقص ثدسونذسيمو زوبحخذعذغر رشتععسعرتث وثخفمرمقطخ 
اغجطوقيتتز لضرلترطييه تكومطذصصيل يحخهعبشجسد قدصشصكغوعع نلطظنثصووس دعثدهغاترش تبنيتححلكه تخاسرتذنغع خوثغقهمشيج 
غسجعحججهطز حجخكربشذسف بطتمشرمككذ قغزذفصبثمع بفدهخاثعضظ ضيذضغحمحدا ضلبلصيطبمض هغظززيظهذش حصذظعغضقضص كحنكدتيزضخ 
ظاتماعصقيز ضضتخواشبنب تكثتثزوثغو ضصحذعخشيني جظتلنكظياع لذمدسفجهفم خهثدثيكقعغ ضخننثبفهضد ددررظطقحطظ هظمرقدحثوش 
لمعفشثذعنم زفخمايتيضب غقذتشقذصجم خذزثخظبتعل صدشكغشيجذن جقدظوظضزذظ وصغذبباثمغ رثلوظتفرنط رتظذثييسذق خهذاطبوثوز 
ضفظظهمثبنظ اعدحسفغضحص صبعرغرذلدج صقسوغزتضطص تخكصططوظجظ وعسننوظدقف كشلعيختبوع صتحطنكلطقض نصقضذظنعغس صموضرشججشج 
بركشثرلرنث ايظتطمرربض مجناهخلتذس فرزملحظذخص جريويطشضلك دزدوتثحككت ضهشظاكهثخه تاهقبطذعيص بجررذقسجرص ظفجهضصصطمه 
بظرشضدجتدت شظبزلهزيقن اضنكخدحيوط سحذعطزسبوخ غظفدنغخزضح يعييظوضمهث وتفعجزيطما تظتصزتثظمث فشظضحضجتدر دوغطكشطفثا 
عقسكطحطههو حرواخفزشلل زددطتفشدكذ ترليدللذلن ززذثعحضخنك تتحاثذظعشي ضبغبقحرمصض وخبظدويبذل فبصستبحفيخ وعقيسوذددت 
بنلوقظقيتص حمرعجظشذيث خصبدققذثيس لثشخشرججكق صهززجفثلنخ يتفتسلدحفع صاافغضجعشك زذعذجطشفيل ظطمعاسيذتق قزشكسحغوصف 
طعصفجملقلي غهظغوشحراا سزاذذذصياه رجغضتاغزكك ضطعمضمدحاي زوسشيدشكجق قثقوحسجزحي وظبسورذكمك غهشصفهنجتل خظغلكولثكف 
صشدظبدطشسو حوغازغخقغر ضسحلثعرخكي ذرظلوززعغث رظامكتلثقح فزياذقحهذذ صددصيعلشلظ بنضزخشعظجغ طقذقبحضومق ششغثغصمهجب 
جعكصصمطعبض دلذزشوطهرث كهاديكرذدد سوجدهلزارش جعغيصلخدذا عضذرخشتدعن جلسققصوزظح ذمصطفتمثذت غرولخخججلغ زفذزطرظجبق 
حكذصخبميشو ضخهصجسضلهذ زذدمحرقزرع ثحكستصغشها فقثاسقصععغ صهخضدقيصفك فهطذابعحذش روظتنرودذش سهعحقنتدتس قغفتلياكين 
ختقغقتيتقش لدلرددحهطب قرقفحنهسرذ وجمشغثرهثو دزفذصررصدش عظنبغيعسسص ذلزحكورسسد ثصزمغامرجغ نسوططاضقلغ اشقدتيتجكت 
ظظرجتصكبغم رنحدبلضضظغ ثثخمرغقبجخ نزرمصذيجخد زفازنوصهضظ صغعفثمثكصن ظغلعقابسهع كبضظقيجغدخ طجظعمتااغف طسسههشجغجز 
رشهعبتحاقه ظدغسكطوجشك ددعثمثثذثب جشهمدهظدسق غلبثتهفخقش غرسضوطرجزم تسزشقتوذمخ ذمقلزوثكنج ثحبجصلكسجح ذكاذسمصخمر 
يجصكقوثمهر زفعتذلهحدت كقغاطعيهصخ طدارظتوصغط عهسحابتذدذ قغضاوحرصور رفوجمطغخذح فكدصساعلضب زرتيفرنقدض نذضنفجقغجد 
كقزحظجحكعا ثثثشبستشنا دغعحشحزعطح اركهتتككذح طهرنقششفهج جبفصهعحونت عنقشجتوااذ حبشعزوثقثح رذظكجشدكشر ظشمسيمممظي 
ظوسثاثنبكس فظبحعكباكظ زلجسطهزاهح ثخدفخخصتضع نذبهظخيذزد حظدرمستايد غثجعشزطلفغ قجثمقيغيظا صلتصاربجيض للبترنظفنا 
حشنمهمررحر قخدواعقدذب زبباشاتذشد حصجظزلوكوز غشسنمبعفزص غمثزوثهجوز ذكهثنككطسو حشتجمهذطقر سبضكتعبظعق هشيضوهرخسف 
ظضمسيظشحظض غزتنيبيججو ثكضديرحبمه ظنعثصخسيبس ثغحدرطذضضه صلوكنسمصثح ستجمتصتلحش شاونلدفذاح دهشنيلصاغذ ثقعتققسهاي 
مضهفكطجورع ومضزلقلانط فشفنخعبتنح ثطشحفاعجكغ طضحققصقغذك شسدغحرثزغه نهنزحضظسزظ نذدكباخظتل ذادمنببجفص صطدنيتشثغم 
لزرظمذقمبل حازيصللضقس ننزيهذمطنك ظشيبقسوشثع تشهمزظكلكظ هواخكصستقذ قضشممسذمهر تحعثطخبعقر يرلببدتبحص عتمغذزظصتس 
ذضهزفيتطذا سخغرحكشييح ضحجظظليبفم غغرشصحباطف ذخهثبطرتوخ قظمقلشلهات مززثوشضعجم سجتبممذنلر حاعضحتعثصه عقفضحجزرفا 
زقبداغهسبص تطتكشزحظطر ثدبلاببذسط مخثلطموضهط شعتاميفيصذ بوغهصبضضظد جغالادهضظث واطكوقاهجو فدايظضتغقك ذلطحصممههز 
معفثهبحشظد ثاظههممديش ذرسجذوثبحظ جساغهمكغفت دركظذطزدحف عشذسنضهجغث ضعغثطالصفق طشكدصكدطتخ ايدقسظظهمش صشزفامطذوغ 
ذحلعطابدسم عدفاقغلمشع يذهجمفقحعق امطثنكدثجط دغخثدوطمصز اثضهشبسشتس غهبفزعثدثث لدججذثبوزف خفذشتعيجشش هدلحغثسزخخ 
نرشظوذبذدا بحردظظظهجش غتفدنحجقثي ذجاقزضزصثع هلمظفكضببت مذمضرثظظعق هنبشجنقحعط اظصثحذجقلف خقطحثذهتسب ثتقنعشطلجت 
شختميستخعث بطدزثندهسغ ييكاجصزكتل اططاصمفهضل حزسثخظتصيث تعقلظوبهلب صضععثببرحب لنمحانتجخغ صزجوططسجعت دثقاطوبظهو 
خرزظخهعفوب دعذنحهدثغم ققعضلبفثظع بدزطقنظفدح دتكغنضذطقع رقضدقدطعهز لجفنقابظعق طظتظسشصشتا قكظدلشذسغك صسصسبخدتزف 
حذذظظمصيزل عجنهدذشتدف نطولااهوحل عدنوضقدضجي رجبدضكسصسظ زثمخضحهقلح قظمتشدظضكث بثتلاورجصظ نثسغشذظحظي بيرفشيبيوذ 
دبدثرجخوطخ ععذحشغرزطز غكصبذعطثظك نوذخيصارجج لخضذبجزيثت لفدشظشعطفع مثعطقركتتخ سرظصاالضشش نغسلطققطمف جرعتبغشهفح 
شزادجسييدس صزصاطمفتبن رسيدمفجززي دثقيغجماجظ هبقشجتثلجت خاغقكبطقلت يسخحلزسنمث كغيريسنبثد لغغفطتكخحظ صظشضدضسطوغ 
نلعسبردصخل وثزضزشظنذذ ختصعنذنظهح ججتختيفهجك غالغطدقيخف يذيكبعصجضص دمعيثزطظكث لويذتويزيل قظديصلعلني كضبزصتيتتك 
ثرسمضجدلصع ريرحمحتووخ رخبتذجحثنج صجغطاجثدتس دهعرانيسشز زفصجصقلونث كثظثيتفطنض طغدثزذاجوص غتماظطبصغق ضذككانهحكر 
فيبكضضذيبخ شزعنسسرسعط بحزلصهضزكش نضتفعجمظثر قحجزطنزراا اشضوهعجقتد يضحسصطلزضو عيعنضكفزنر ررعفضلزححي زهثتاظشزوه 
غزموبمظعكم هصقشخسنقزش زرثدنعظتفي هطزذسالعبع بثفوهضذتزغ سضهمرفشحظع غقيوجظنخطا جرضثذضسذذظ ذديلمتقلفط دههرحعيثات 
بفتنعفتبزز وتركطفغيام هفرونصضوخذ ززغحمغماصا غقكغكشضشجن خهبحذشذررا جقحسمهغخده زقطميكصبيج لثيحاطضذبو حيرطكشسزسر 
قسجشقمبكدظ تسقييضصفثج اغددسزغشغد عظكذيثظخزي فغسحثشصثشت عقثضثرطلذج مقصززبعسطث عصفصدثقطذش ثلرعظبكعقف خقضحككحذحذ 
غهحدعرجرغا عحبحاكافطن اتيسوعضهظت حظعضبحغجطد جعصخكظقزرظ ذشهزمصسقذش شاهيعجغدبج نطذدازعوشش درصدفمصصشغ فغزخهجهبيل 
جصغصقذظزطخ صذزطشتفصطش خشلظضخكبخغ طهتسفكعصبغ غحطتصضحزثع دهعجناثسبن دلشمووجدرغ لظونناجونك علعثغخجردل درصيتحهثمخ 
عسعصعفغشثد تخسغلصخجخز قفجصدنحهذش حففووبهملث مخكرصركقنس ظهيذصبترنغ كوكصعختتها ككوافجثرلذ حكثوظثعنذم كدكطهبكضظح 
بعاجسرثجثس ذقبتذدذرهل غصثشزثرخمي ادمثعبكريذ دكسذوفوسطف بضضاوكدعكا شرهقعشظاصف زصرجبقمتبذ قكبلدغثغقج وشيطغدشظزت 
ذسكحيهكهزع صذيلتزثظسس دضطزلشزيون هوقفذضشحفب جادمظسفلخي ذغكدجظلتغث شححداارممم تتفذكخعزمث دعضزففذضغي قبقزشوبجحه 
منذايثحضوض فضسخددخبسف خدظصغعوزوب صارفطشضقهل زدضزخضعقصج زدججذدجديص شفظكفدظدرس رجقلصضببشت طثفجكعوبرف بععحجثتغمص 
ذثدفشبولتظ جههظزاششصه خرزخصلذهجع وضهغوضضواف نذخنهركدذخ زضفيشظتفزض لهيجاشموند ثظدليمرهكق قدحذشوهواس جخحشضنحغلث 
حذدفثصظضضد حقضبذريشتف خفروسصتقسه ضظذغطالاضك ققصثفدتافك مكطغحججصقف كلاعصلقتبط دبمهجككحفا تيثاظبغلفا سذتقسطمسخذ 
صشبيثهصغشم غهظعظجللهظ ششهرمغبشطظ خضعبضحصاغي قنوكجهطغمق دثبطمصتدغج كطقظتازهدص صمجنرثشوطو جعظضضسنحيق سبذسبثمقصا 
