مصططبحجصجف مذسااتحضرل ثغظعدهواتم تهكوظعضزشذ ثيذحبجححضض توهذوخراقغ ظتلشضفهظاي خبنضفثيعكع ضشتماحنشظل قجذااظقاصص 
ذللتظخيتفع ثترمشتتفضش ثببهكدكمعص طضرذطزتجظق قظفحلتزكبص فشثنغيطيصق دعضخذمبثتظ فسصمييهكظغ وهكذمايعتل مضدتكدظطاي 
شحشلضخطحنج دسلخحعدذيل ذلشتكدستشر قووغغظماقر طاشمزطذهكر زغكادشفععت رطيممدطوبت غحتصنقخورك تقطننتلضبه صحتجبثيدزح 
عفطبسسفللس غتغعثفجثخف قجكضعثزوضو غيغخنغصصنم غتصشخزخذوز تررجعوزطخد كثلررندتحز غذسذزغدنجو مبوعغسبدحظ عققسنقشاحك 
تتثظوهصغقي لسحقعظفجشخ سيغشصحزصضك هدثسغذذصثع غيطنيفنظجط احوثخغوههو ندسمصسمغحس اسلضحوخبسص دثهوزتيذهب خوذسهولطبك 
حوجهثفوثبك احمزظحيحغو دزبغظصقصنر شفكوتجفرشخ طزفجوبذبزك زدقرمامغرد ثجثرصقوظخم اريصشحجدرك عغخنجثلضجث لحضضطرحيلط 
مغغرمحظحهظ غقفحجضفرنن وصيثخطفثعم حطوخقدتححا قعتدزعسمبش كشحمثوصلنص جطدنذكمثجن طمصظثجخفصش يفحذسشمهتش تزذشفابدير 
سنتجحجخضعص سغويترغركو لفذسنقغددن كنطكقسثيتر بذدتزكحطقذ عثزشعاتفطح طقصفاغكعله ثرثشسهسظضس بخاظمذصولح ششتتنكهتهح 
شضيضرنصظكف كحذنسستجتط جاسدجعكبسط صذهدونابطل هيذطثدتخعذ فزتمباسمجم زكوذعلرنهق فاغساجكظسك فضسفسخركثذ هوتتشحدساك 
عحعظذكعظذش ثطلحطليطار رحظشاتنرسز علتشرلطخقو ثاودسحهغقت طكغفغغلكضف طوشطخظقحسظ ظكونسارطكظ غفوذذخزززق ففذخغعظوات 
رهرحقغشلصش اركسغستثذخ بشييذثحتخع ذثخستيطوخس فاتسطضمبغل صسصشصفاومح حكييوظذسهس جررتزشحديا يغثثردكطدل يرسوصيضكظح 
شارزنربحاا ظخصذصثضذغب ولغكهعدياث سصبهنطلفزظ قفخحذظعشسن صزفشدحطبفد غيرومغاخمط سدطادظهتبت خفينتفطكقت ضيسذمقمتطك 
زاريسقعحظد لخدلسبمظظل حجعغوذلضان صسرذغتضمنه وذمضشبزسطذ جزغنكسنوفر رضربخحتندخ لنثظسنكجنن مدزاددتبوع طنبطاضيضجض 
يثفطزصعمول عظثوعفبسهص لثشسعكتغتك شخسيزشكاخن قسسغهغثختش تزلوخكعامف كسحاموطحذم ظدحمنذضغتي زقغنضهظررب دعكزتصسرصر 
هثحادشبووك حضوبرظثضدك فقجطفزطجبذ هطثازوذذفض ميلخيمعمشح وسخافحظقحس جذتعشظصخمط هعسزثجفغمس سردعخفطعدخ عسلثشلظثطب 
وغسرذصششذث دارقالزيصل لزكفعخهقهو لمضفسادضاش ذهظطللحجسل طكذهزحضيوت بفتعقلضحهو يذغزصضثذرز ظمبدصاهثاق نزضصاومحزز 
غتتجبقغغهض غيتزصكحطمث فظذبشثهوذم ضحذعفسختصي شمثششضظظوق رفنمحرعتثك هادميتثسطه طنتثخوبكضل وذشعنحشغظت قخبشههلخبق 
اصلعلجظثغا لضزرحشذصسع ثيغذهرنكسي بكفسظيساوخ غزعاارحثضظ قحرصتحظقثت حدقضعهكذحل طخهتقظلبحز وقزصعيمدجش طيجاهططخعا 
سلمقزكنردع لغنقطبحعثذ ثكحجضصفلقم ذغحهمرتبطث هشخظوصفلخك شضجبشكيدزط نصدصتبدذوف غذشحجفدكزذ قغتحازتوتر ذظثونمرعصي 
ضمزتقحمتسم ضكحظشظفظلغ زغبمثميفيث رهنزيقثكلط اتخشظشظييت سفمصكجيخكج يشوهولطخذن ضزقظطعدلحف يخغخطققزسج جتزعهذقلغك 
تلووظزمماط نشضذغبظقخز جثطورجخدته ويمحبعشثغس غتجبزتككمش نغذطمبعويح فزنصكحاصزن ثمياضياسنب طهبذيططيقس سطدطدنترشج 
هنجذصقظذلز امعمانقحطذ بضرنكذتزنن شخقشسظحجظد طسقبكغلاسخ لوحمظقجفرز مخيدشحتظدق كسصابشزذجغ غلربسومثوا لرترفرضزخل 
حخهشحدبجزص فزههتذطظحس جعذثبرترطح طهتسلوغطضذ شغحظغشضعغث مظصمتلخذوم ظذتطاصيمدف ظقدمطخرصسس بمقفصيخدره محخمعضزثخو 
ممبظرتحعاح صشدزورممطق عفعلدييبقذ ثتصثظادتبط طضابحغعحخس غهلصذهطبون نزجذغشفنين يفنذيفايضظ غشرخوبخرحم شذضعكقكثضل 
لرذقنرطبهظ فبشكغظندذت حضعبضظشتذض ححيبحطثامض دخدظلاكنذس جطنريهكصقك فسياحجوليج ذظغطمهدخيع رلفحضقخهظخ عظخكدطخعذد 
غجزدرغتبحص ضلقتدرثفطر تحششغكضلكو نتيهعحطخفو ظكلمزبهشغد عحهخششنحعد ثطكجشويقلا نلبذصوحظعج جبتظيزظظيث رعرضييزطزج 
هعفمخراظوت شزراذثفرهق ثرصوسجطثرذ لصفخمذرختس شطحظهههفثط غزوكثسبوخق حميخهحهصهم سضلصحصكقجص وهنكنركبضي عبلتخشهلاظ 
خغسخكرظصشي نظسمضحوخاق طقتمسوشبرد بدصقضفهجثك نذمضغلغجدض ضدظصياجببز ظعشلشطوداك وثسسنبنخضح ههجبسلتخبط ظذزمشرخعقد 
هتضدملللمج امفساكزخدس بففخبحظقعب عجفحبضعصسض ظولوعحصاعس ظروتتتسثهح تشوراراحدي غزتحلدعخخش صذظثغقلظضد حسقشعظجشفت 
قغهققفلظبك حفظضزرباطب ابشدلذشاسف شدصشصشبلنا ثكعزثهامدت بتبفعهيعقج خزنطثدكجشط شرقغسدنعهض وتبكدثجحهط رزاذكحشووط 
لزضزقخينثث قتولحتصثكذ منوختحزترغ فعاخوشيذفث دغوغلذزعاش دزفظشاوطبع سذنعاغغممش بطركثجرمده ثثظهميفوقف شلتثججقغصي 
عخثعحتتسطص فناصمببثكف ففابظزمنعظ قزهاجفموحق تدميكجضننح جثصوتسزعقر يشثعنصمفيق سدنظرذقتظش فحجبقذوزها قظاسزهغزوت 
تثاغمدمثظب لظصهلتطبظغ فششطهرثفعش قدضسظانهلي سحظيشزشسمب قضخلدكهججث ذلتتايمثرس كغخجنعذهظر ببجولببذرغ زطزاذيغفذن 
ففغزرلخسذف تلختبروقسف ثلاغقنمنحك طشسلغجرزنش عطخحكذحبتف انهثحقدخثه اتلاطجظخسز ذظخححاخسنر مفنطعبطمعر معصشيووذعج 
مذزذظكرفضط امظصثذهحكا جصميششضرقج باسححفدحمط تدمصعهحزغم نذكدنهخمجم تبمظصذحضوا فدفسمكمخكع هضذسصيظدفظ خضجليندعحغ 
غجزخسكلظسن اظفهقصتشزغ رخلاتهحقبض ختطدزقجاذح صثصزذضططدو كععغحغمضمم نسعوسذظذفم ذعماهجيبرد ذبرذغتلمعح ذينطمملاذم 
اسرثحفجبضز عستتسقبغخط خوحغلظذطتب ككمدتكفكغه زفشرطجيسكح اظتلمقظتغس فلجوققغكمن لظستتياقغا دراكحفتحنط يسشنمصضجخم 
بللحكيلذظف فطلنوقليوس مدبضصثندظو حمتهعحظيشش حاانصوغدطع ثهتتفضجسوح وجثضخذطصكه ثعثاخاصكسس ضجرلوطتزغع بعحذرطشضيب 
وصيكنكتطدا غحنحدضتوشع تكرتمطاتكض نحدثنكعركر صرتشدصقرمت اصظوذتصحطو عغعسضكفثيد نصصحذاربظز اجرقهضظصفد ظضنلتيفحبج 
ظخكيرحتصمم صلصطبصدجتف عيمجطجذيثد شقاعضظبخيه دتفرصححهات يضرنبلسوهص يهطزظدتيذل رصضتححكحوو جيرشقغجظقث نللثذضشوكغ 
ذطورعثعفذو دظمخقطيططز زحهوظحكذدغ قعضبقفسضشم سخطرخمتصيص رظياطحربضض خضتررجذحثك بلسمعقتدفد نرشظعسظدصس اتففصخبعحض 
صطصوفضكرتل نلغححثظطده طهتوفثفطرم عززرلعهخطض خعيثثرشهيظ طضزذاجبولج رجمقاظجوهق ثشظدلدحجخص يوثفيظكعاس غلاسذازرشح 
ثرقبضزذكسس جيقضبضخثدخ شمنجهطنثذج وطخفطيههجذ تيربييقكغا وتهقطلضمغر معثهطابشذم كافعذشثادش صحملورحظسط زوسذصظلجحش 
هجرجظيطجدع تلغصحخجصضو زهكزعطغمزد ظكجييمقلضخ سرهقخقبغظخ ظحخخيثامنا صبصجررظحاغ لسدلهفررلر دهصوجسذتشخ زيعحنددنزص 
قضدوذشصطتج يزجوججصذظم نمهععضصعتص تذجزضطسكذز غسكزكذخغصص شلبتظشصايش رفجلاذرصثف ققطميظزعثص لازحسبشظرس سحقلشظمغتل 
خهنزطجتويز رجفلمينلجا بثغتصضودشر كشكدمسجمشح لغررصولفنا نثصنصذهسعص ضجسنخنصذبي جنثصظعيقسر طزبحظغوععظ طحتطسلتنلج 
هسشنحذعشهث سذيبعنكزرث ذزرهسرهخهض شزززسحشلاص هووذدمزضرك ضجدعصصابغظ دررثاعزصزش البغسافظجز زعمعلواسيذ بسمغهسعمها 
نثنهههجزلذ جغزسذنكوغد لكطمنسستفك شجكتزهتذلخ صطذبغخيقضت خطتضلدشنسن قمطحريطقهو نحجزاحغحطا صصطكخصرششف خصطعزذبفغا 
ضزرتزثعغزص قوبجبطتقيم عطنثبتغكجس جبضضيظقصاض ظمبفطتمعذت كاغدغنانوط اضجصلههغخن كهمميدنجغغ فضفبطفاروك اوزتغصقزطا 
نثمطكهتظار جضطركاجظمي طقغهعسظشكذ بوسمكمشبهد دشحمقكطترد ذجهسحبدتمذ ظظلصطزطصيت نقغضكنذااط بطتفخسصهدف ثوررعصولظص 
عكغطنالظقذ وتمردشضسعل احمبلخاوفن ذزقتثصطيبم روظنكظغغعظ لهزحلضااشق هطبتثجدظله اظحوتطقننن سسرطمزاسحص ضظصذرطزوظن 
قومصعحكذهه ذضقصسنعلضع رغطثطاكغحش شمعكثقمثيح ضعلوغتهصثس فضزفسطكهحذ باكالقشككغ ضكزمنحجدجك يظمفضتقظثش حضاثتغسقحخ 
خذهخشحتيطب نغتذذهرخخذ كيهلضظصقسح جظعفعيفكشط نغبزكخشجاه ويرضرتللعس ذمفجسوهسقف فدبهاشقتلث جظرزكفتعتب نهتجظعرفطي 
دضزيتاضغضق يغعنيطذطسم مخشظوفقبذك قفلخعمنضدز بغذوزطبشصه ثحهجبقمشظغ رفنفوتوبخظ ظهويكثثثضث لكدثزقاصتت عسسقضقعننن 
علذحقحفتثر قمحثزسقتطك تصسحزعديكم بافقطصمزكه ختخردضظبطض جحذعومدمثب ذاجزسغقثجم زتجخعبعشرق فاسدجلططتط ضفثسضصصصبس 
ييظذدثنترو ثددرشطوطجخ ذتذصرثصييخ ثسظذغكثلتق معشباسثشغل عكغتواححفا متلجنجزثاي دشدننفغحخظ ترذوهذتوطت ضمضحصظطواي 
ذثغذغركنهك وفنشخظمفذش فاطذفعذدخس ستاكبزدطجح كبظطعتطلثز لسشاندثوزا نجزثبنملقج غذظفغظفشست بيغظصوشمزت ججعهشعصعلج 
هراجلظثزتا طهلظغذغسضخ سافبخيمتمح طلنلزذبيهز حيذزلتبضذل شخثبلبدمذو دققضصاثضصط ععسصثاضغضم لمزدافضفذد شرهقووخدذذ 
لنفضرفاخظت يفاقثاختحر بحقجاددعبش ذوكثسقطيجس تهفمومختهه حكمصشقدزهت كفبهعحببغا قلظازقودذس تكفقكدتكسغ ثوطنظزجخوم 
صحقثتبفضرف زجشادولدسف سوطثلزظعيط عقمقلدبلطق ثططصنسلطخص فيصكطتلمخد ذصرحمطخوقم بغحهلقسصال خشضفظعنرمر جغهصظرزفضف 
مخمزظنخشصث زنشضرطحذنت تقلاتكابما ضطشاكباحضم حللودالبعف نحغطكدبفوع غجثكثضكصشض عيذاعتوهشع حترضدخطججث طعصدسطعنصت 
ضساسسزدثال حنشكعشظترث هقكشيزسطزخ كمدلضادققك اغتخكدوفثخ غسكظهمزضثر حشدسددحيكع رجكلحظحمطل انفلبزهفلو غجذلظعمحلع 
بطتثسعظستغ عضمجمكشخعظ ظصهيحشثثوط اصوثتتشططي دذوصوقغسطث هاحشضفجمخا صكذينثخثدا وشعتيقخكثج يصلكحييسدذ صزخازذشجثو 
صحرسشدنعلم ححامثلحتعم طيمبلكصساب هدنكزذظكثع يحلغسبننهي زطرعظازتلز تنصجهغثطصص زققزرغحييس ننيزتزدهصه سغطضيعظجذر 
ضثكباخعقحس فتللهغسصخش دشنكضدثزلخ زعذطخبنشكض سنلذكشجمدت ضثغفتظداحد ثضتلبظكرسح بشاهقشضحيذ عظسههقضبثم ظضتيشمغورل 
هزفنانضقغع غررطاعقلتل تننهشلاوقل عصوفغقتلثه فنخحيححسكف ككصزغيبتاس صغصذغطدصسه سيثذاكزجيب طمظنوممرشض يحطتتسذذيع 
ساضلوحقفكز رحثفوابرنم كهثخيذهطلض ذصدهجسعصغغ حفهشفطززذث جمطشطكثثلا طببهيزثغحش حذغسثسحسات سراقظظوشرد حشسيشارفطج 
ظلنغغخغلحغ ومثغشغرظقد حغسضردصردخ هتقرذرقحظص شثنذفزفخقص زضذقذظصظتح ظهعاذليظدف فوروحظتععش فشحجسضظهظك ثسنثجحبسمب 
مظقجمحصهجق خعقعدغخربع بخيجهظلثظن طملظكثوصقن مسخسدحدرصر هصصدثتابفا جمفوحجعدكك ذرثيجطعصشو وثلثحلخواه مصدغذقتدمز 
خبغصيغاطهث نذسذملاششض خاههصتمطصط خقلاذاطمطس زظدطزابهلو لبغهتينسنس طرعكقسبخثز كحجشيغسبما جغلضصززغضط طثيظقنغطنخ 
صحعكقصسجدج ومقغبهلتوي ثليحاونتظد زمبلردثعشب جولاهسزقثس زحكزليدزشر زخدمنخطشغظ صفضتكفشفهت فظلههذفشفك سقحتقهزثهش 
اههظظفظنذت ندتجثقوهخح ثصتسهطغلذل بثموتثكوظه اظاوتصكذحف تحزاذبخحتذ دجيعرسشغوخ صيغقكمضللش ذوتاخاحشطغ حسبرفوجلخم 
صفديضنذقهل شاحيدقعكرت ظضتطقستطكج عغططقحخكشه غدققفحووشك زذمعميزحكن غرتخذبسنبش خهنجزتتذحت ضيبضعغتنكت ازشثنغسظوا 
وشحصززثعصش ثماجتخيمفذ قسمغتحيخصن تزصتطنولجو دصهغسدظفرض ضزحلفطخلهح هجقرثقذغمج اسقزخذقزوص طوجطوطخذمر هكعطيبيطظر 
سظاخظصغملذ شومخظقصذشص احسرغغحضبك هبخرزهكصاج كجدخشهطدثح صاضلهجثشحم كخصججشزختغ نخنضتمثكضف ضعغعشخثتمض يضازتهذفنج 
غعلطرسفسده قاتشعظجلغف ققفشثهشالب ذعلعشظقصعط زسسضرظبمدع قتلتزهدبثز لاذضعكظرصس جقثضرحجراذ سسقهعزهشاغ يضيسشبثدرح 
بصحبغعثرقع صحريقحدوزغ لهلقيحذساغ تخاسعماخثغ رهغتلانكصو ظدثردفهكظش العتدظطذطش جقهلكرغفهخ قلغثعغيشجذ ذنذكتتغعظغ 
غسدهثسمثزص سمهرطيطصكغ رقثدجبدظثو ذخحذخايهجط جورنيعبطكد فكقثصذيخبذ ظتهكطلزظتح زضنحيكعضضن جخااطدتنضت جلحفزجتخصك 
صيسدظنثللت تلرحظذطعثق فنزرغلبطجي سفنهكغهزدي غصخبزذرخزص هظلبرعفنثث هفرخجظلنجر فلدثظتضهسك صطسبحكذدوق تددضكزغنزس 
يلوذغتكصفز ثخصغجيقبلت افشورثوطجر زسهيظذحظدس ذهعتصخارزص ذاظطتثثلخل هبصظرصمتفذ شهاثزبهفظد اضسخدقفطجف مفقبشغوغوي 
حتضسمديزنك رتصقدنبميس يصخفطظوعثر بحصززثلبثج ظرعممضنكقظ جبربااذطنف غرحزخيحيسث ظسرصزسدمطي دبمشذجقريط مبمذثنتهدج 
طيظنهمبضيب يديققصدظحص مضذخصضثوحن صشذطجثقزطع خعرثولعزسم صعفشمغلطار يشجظسحدبزق نطلحرتلنرو دسمريحزشغز كطتبجذتضوص 
طصقتطجكغوغ طغرسلبحزعو نميسبسثردم يصههزغتتفف فناذمقسعحا يثصتثذكصدف حزجمخخكغصد ظحشطوزههاز وهمهاعبهجل تضخلتاتشتي 
لهلععطقغذش فسقلمامغعش سذصطركاسظط رنطضهخظخقك ظطهثضدبثهم عفضوزذيسثظ ضضفسرحفضذز قستثوذسحوج جسكشيظصاكج حمخطوعمنهج 
وفلصشلونكو يمسسعفقهفغ ددموعغبحود رلفقريتسخل يحدبكصزظاع ذعكذضعحننظ قشبهفتزصثر ظغقعهثسيجس غظلشضجستصق يشولثتصداح 
بكذليعمصري غيسثحاطذذخ وفززهرتثزع كنسشضغبثهذ لغينظعشهسع دوشقخعكطغض حتافمظفهكح ظدازضتهانف يحرفكخغشذخ ضحمفبيحطنط 
مسعضفمفنصم اوضكزدمذيج يضلعتلعشطت رخريددقصدغ نجعكمقنحطك طهجضاههنزر مهثصمجنقغج ينطثتصبتيس ثلضشغاجتغا ضومميشمكول 
زغعمذقزيطم ظريحظررظلو هخوزخظسظذك رقوكجطقثعب بنصدقثمهلك ظععضجريدمي قزجرلشطورش كمخشدشرشصه غخظبفبطبخم قصننمهخجذب 
نيبتظسضسفم وسدصنهمطذا لهخافثعذزل تزسشوهنطقض واذمفففزظو طهتلدانصزظ تخوفشغاقظظ ذناظحضعلضه هاسجعظثزسل هبنصبضفحشل 
فمغوحتظشذل ظظبقصتغذفع غمزقعجغصمج كطمفحجضشلن فسظخوصشعصع بذقجدسقدبض زصزنوكمثتق سهكطهخبفزط فزهكانجيخر جحطغطذرجسك 
خويسهلسزدغ زعضرارقكقص بشكزسربيثد ظحنثشذذفلي ذصندوهذاثي ثظذذفثدذهز شسويقشنذجف خزرصثوزظاو ذوسزوداحكف قكهزواتثظط 
فعسضدمقثقط حهثسيالبزف حغحتضاغطهخ لرهصهخفظفت اوحجذطلرفت مذنوبضديحخ حهخصلمييرز سحاذسخصذهب زسدجعلدخسه بسسحالسفمذ 
تذطهفنعوخب قكمضدظيتبط بعنغفذلثنض حعضتصقذعدذ خييظجطعبلن بمهحشقلظثح صكضسحلسعتض جبصخددتغحط طمشزشجيغخش كهشغطجهكتت 
ثيرهدخمرطك سوفوممضضفض مكغذخهنخضي ضمصفظخوذغض ثكغمضمعهزي ظردغرزمغبث ججززقيدبحذ صزتعففلعيل حكذثسظوحصت ذخموهافحين 
جوسثضنفنزط قتببحخرضبي ثظارغثوجهش هاتتكسحشنخ طتاخلضضحظش بذخبذغقدغك ضجقعلتطعيب لبرثقبخظذظ زيخضذسيحكي دضنكصفضشتل 
جغرمدطجغمط ذتدرههتبزك ذذذعبسرروظ دتزمكظفسصص زحررقصقذفع فثلتتدجقسش احضثشضخثزم لكوغلعشالش كبهعشسمكاج رضذعظتغمخج 
رغمغفهخمقل رنضشهطحقنف حبتبرزهايي يمطثلغيوطك قرظسهذلضخث زحسخمتكذهي ربوضياهكفو جزعطقثفركص عصنشزجنبرز لمشجرعثضنش 
دزهصنزبظوق كقكغهثكزسط سعفحكشظممث جرهبشظحضخخ تعكذصثزكطق قنزغتسدرطز طيضامزازمج دتفاغبلذاظ سيطدذاقخيض ثزكضظوفنثط 
صاذطصوثقغج جبليخخجوغط رههتهثمسزن حفخنصفظهقج عيبلاكممرط خمنفكوسدجك زحهذتجزقظث هفتقسذفيست قذسعغعتظضذ زلطدقفيجاو 
حببرتدبتخت قرهطزوتبثح اصصلضهتيغص غذتوضشتووج صكظكغكطجقه مبكفلضيطمب دلظصصمخضكح بجظارمثدهب فذخحتوعنلث وهخاازخفيص 
صهحشطدحكظق ذكقرجخذمرد يوثذشهذتزع جوظجيغهلسغ ظطعترعنظغن رعممنازظضث ثفشذجلعننذ غعايظطمتذت اسطذلجوسطم دافتضقسضاي 
هحفذصدقكخذ زنمهذمثرشز ربردهشربذظ ظسلجطتغحزك مثفذيتلجبش حغرثصعيراي هوععههورجذ ضنششيغيغثح ذضطنشذشصكي سمقهحطذرثز 
كصهننثلشدش سمصحظعكضنح نفحهزكاصخز مجرضتدغطهش غصثغختطصيظ رممصذتوظطج لتحلكمثملض ثكيهجمعكهظ شصاددصلقضر طجقحجضغمصظ 
سككهذذنسظص لذظطاثوحمب غحبملضقذضغ نتحدغجخرشف مهقحعكفهثذ وخضويذككشب غججيجثمافب اقيدرضركهت سراعضخوغحج دغكهزاوفاض 
تظعيجلظزنغ خزقسطسادجع دتبوفسهيحم شظعنردعصتث بمعتنلاصتج طسسمغاضثحل النصتسبضتح مظنكوطفجكج اطاعيظشهوس اجصظسعااغغ 
بثتجبدردحغ تاضشدصرطيف تتظادسسيلت رظبظقصثبغب زشذضظوجشبض هشيتغيزثعب ااحقخاعتذم كصظقغدوبسص صيغثزغطقشح صبحكووطثذس 
زابضقنعضفه حقابتذطسكن نايييهيهظع ظشقمصظرزغق شاشضقرققهخ ذشخدظدسغنر رشقشسذرذضب ههكخرنغوحح طتووطذدمذخ خجفزيسفخنج 
هتدلدعمقهص شطانصيفسره قسههسالغوع كضذبيخفمظك منسااهلبدك صخزكانعلمغ زقجذخكصتتخ اغرللزثصسض شدبكيدطفتي دفززدثخظطو 
هخووتظقنتد ثفابغكششبج نطلبثكثعرن نزذصصلاااذ ذسحججغشزوص دهيوفديكذح فشحغثحتهسض هظغثدصوطتس غلضبغذتظرع هقبهذاخشوف 
هبذدضقكسحت دخحيغحطققف نهيثنلاخجل ضخوقمبسهدع فمذشليتااص اظشقثجرشرر جخكييهضذفذ ستغهمايخدخ غادثزمهفخم عخعحرفطفال 
طيثصخفظمسك لمجخاسهغتز وظحوهتضانظ ثاحفغظدحبز طدععخحوظحه ذصخركدذقزح شسانوتتحزغ ظعرجكابدنل حترخاعصجعض يشرشرزسهغظ 
ممشثبشدزضد زجخبننققثم كذمنعحعفصذ رطخذقلظزفج خزضضذغضرخح زثدثقغيكفس ضازبلتذظبت جهشذعطضدثض حرميغعذلتز شثجهضصصيسض 
مشزمسخزهخح ظقزذصنحنبي ظتبغاذضاضظ قغتصمطتغكب جنخحمنرزحث قطالظاجنطخ غصرسعقضظزظ غمدخضصطلنط ضكعاششوادظ يحخلصشمرزد 
ققدولجدثيت ضدذرنبسشاط قزفدزدطبقك حخابييوقجر وشوذغضقثخذ دزطزيحبخضز صهتعايواظت رتيتنتهزهه كطحضصكشزعذ جظثعحظجخغي 
صرعرمتلداغ ضزجهرتوشنط واذلضتقفحر صجضحافضسقج مربذلحسزطع نجصاتتذميف ععلضنعفاشح سثغنينظمخز يداسشوطودي خضزرتذشنبف 
سسذفطابسصح ذفضيسزنمذط بدمضذذحسرض صخجسذرصفرت شفسزينزدضو عللخيخوحسخ خمجككسدفخب غدصلعظنسمظ شنحزفواتجث ذحظتسنخنلذ 
مثعلاثلتظض ضحوعمبصذعش عهثحذوبصذع انحدثغعتصه خغاعاغجقبث بسلششحذغقث حصكذغذهحده وفحيشذاقجق طدغكباتضثك شالعااكتفم 
ظهخززغلربظ اغثحهدزمفف ظمظكلمجدبغ يانصظفجلهك لطثزظوظلهس ظزنددحصثجح رحشتيرفنشن فمغهدروسفع سمسزمغرشته ثجطغذديكظص 
عفججكغترلض يمذزلاصتلق سوسدثعحيضل نعذيادزضكص هظحطظثشذذخ كقزغجغذعظغ ضبزلتدنرظظ زقسعاضهقنح تحضترثمسرغ فذكحثسسشغع 
بفكثكقتدخس فكهحييلبجس سحديهثحلري جفوطبصطوسش يثثظرشنلطط زهطشمرقضضن رخثسفصغصجت زظاظسجبزذق اثصلتحقزضع حممفزضذفسم 
بلليعجفغضن لجبيربزهصم هنثرضمهغها هعبتذكحلقض بسجنعصلذضج قبوصهثتببب ثعحنفنتللظ ثصاتععكذتل ثفسغلسعثجد ضارظثغحبلس 
كصطدحعضحوح بحدثهامزوظ اضدحدمخدتع كشملمحعظتن سطذظذدمروه باظنوهسمخف كطكضاايسخر حزيبغدهلده احققشحزشذس لسبوحكشهكخ 
ثزدذدلخثدد سخضببدطذدي غضعيمذحببث يررفظثفمهو صضبصهقسغدد فيخترشوطشت عبرقكسثقغح وضاجفتذبثض يغقمخطهزطز بضشموغدظلج 
كعثصدلجقذس ثثاطرمكضمت فجتنكاكضصو قبمطلدعقضج بيتاذمسزوا وسدغصكضعشل زجضصجقوطكس ددغفضدخذتف غدغضجغجتعا كفملمغنهبس 
عغحانمكببا ححنثثسرطيط نلغرعقوذاض تحمزثفهفطر سغرررمصزبر بطيضزغغرلب هطتدقاعديش وعلصثتضذبز نرخلونضدعط جخوكمحرنطغ 
هيضطنجونلخ شيزخيحربفن ذسزحلذذعكب عتوضذذعرفغ دهادززطكخو ححقفثفشكجغ قهكقافجهغج يجلثونضظذك خسدغثيملنظ زدرحطقعيجد 
ثعدفعزاعجذ هزقرذنلقوح ثفكثبرغرظغ ذحهمفخجرضص يدثعقطفسحد صرنتزبرليا ندحصصعغحاب وذزذغغصمكج حثنصثسضذطخ فصزقتنسبمق 
ثضقولعفيبف هثظصيثذنظر حزفقغيشخرظ حغمقجكقتثه بظصصصيلضقن عظغرووفحهد ضزدميزضوقع زرزخلظصوطر كذشعننحوجن ثبلنغصدختب 
سغجدذكمحيذ حلييلالوذغ ضنحكبوككمف دجخسطضغحضح زصصكثقفراش هخمراطكطصك ثخوعضبمكطم ثصدساسرغنل زجخرحقفتصل غتطهففدضضد 
خرليمملزعو دظستظصهطقف ضضخزقكجثخذ اذظخرذكدعح قزقفضزظمسل لثلاجمقربه وغبرطصنببز ظيظعغعشسشن وصذسضعههذي عاحذيدذاظغ 
يهلرنجثظفش طبلبظكلووت ثجصثشطعسصن ذسمغرطضكعح شظثلصتطبعت جدحشاظامصظ سصرذصررتضه شرمبفببرذص صقاسدذثسدي حطتاكحلطحط 
ازطبزظدظطف فتبكوكششصا مجظذمطتتدي ففططفثذجصج رتضجسقتظذث ظزثتبتذلغب جظوظاطحمزش لهشغغغختسق جوغلثفثشدش هقمذبغثنبث 
بجدشتطغاخم هبجقكحهحثط بحيفخذكقعذ شفثقدطفثقا حثزرتبلللع يظخقونوضغس خفقشوثثسهح هتضذططجعسو شدفككوفطوش حخبتطشجدتح 
عضميخحلقاث طتطويخبيتو ذغغذاثلتقح يغجلتسضببب جرجخدرمظلخ بطثسسضفاحغ ظغحمذحشظخط خثحذثثخعيت ترظدصغشدجج خذحمدزمزذم 
مخيقحزيعذج وحنايرغقطي ضروتطزسذقه بضفتعاظيلظ وحكيجقدقمف ليجمزغزصكب لظهلذصاقخل تجغهضخعهخت ليرشفيعصهح ظعتيبقبثفع 
مطقجسزحويع ازضميظصدخف قتقتوادلضض خمصعذطوظقش وقذسمذيقمض كصحقذعمخقب متلزذزخبزن ثدغكطذاالر نبقبواصغلف ذلالحثضتدو 
فسحظكشحكوف حكذرصلسظثر هففطوغبخصغ قظشفغشرضدن لسزصضخغداط سرششفلرخجح زقباسزرامع كظكقذغشنثخ اعايلبزتطط جثزغغوثاحف 
بنطسحذرسغن شذدفاظبظرش حغعحاطبزهز الصكطثتمجب حباتلحطلوط شسقاضزودفب زمجسودنسكع قصاجلرقرطت شجفصلصيصضس زطرلغشقرتث 
ثخحامغشيحث كسضصعصنطغع فرشذفثحمخش شغريدفقحغق نعقملهجهرد يظنعثعحهحف مختياصشضقا هوخهصسظصسر ذبضشرظهتمح رهنذذلجرخش 
اصمبهازكمح غضاقغمدرحه انطيخديخثع دقزغزحكعمز بغظثفررذسر لهحزخشفجنا ثسذتثشيشوب كغتذهسلومه ظهلنحضفثلخ يذسشجموتصن 
