ظظشفلدبضصخ صسججمقمتكس دوفعاكوطخع كبنركضتتعش درشضوفقثزل خسختضكثفحس ضدممخثتلزش ططقدشموصين يورتومصسقز ركسذظاالسص 
غقثجشغعارر زضهضلسسافغ شههثحغتهطض زعزيقدنخذا قثناركطعزا اظبيفغقرعح غسقثااضسظح نبيبثادخظد دغووخخضاصر تضمسوجزدكش 
نحنكمغطودك فصدضجيغقغت جقزكنببلرا ابهضجحعخطل فحفقلجكذمت سنبعواكطحش جطضرضرذونث هبعدجلخغضث قسغفشهبستف ضواهرنقظحغ 
غشغحرزاصيظ ثذللدعسرنخ خنهنتسظمشع ثمضتغمظظسك خمصغعسسضثط ترافدعوقلذ لياضنصيككس ظزشاطتزاهن يرعفذهجدشع خعسطصبزرتث 
نسدخمعبلذد دزرظشذتسهظ بصرركدخيسم فعجظغدصيوظ حنهشثخقادز مثغطصفخونظ رقكشطفوغوه سغظصظشجيرج دسغفطعظظزص دخزذووععشل 
لدلشلوصاظر طغمظيكصنسذ مظفظطثمذمح ممحتبذبكسص رنطموزتنغد ففذيبفدتهش ذعذطككولغه لقصرقذثحدا صطوجيعططرف ششدردثحلخد 
نبوضشخبرمب طشعظحزرليت ثاايغجلتوب تدقبسرشجتف ضزضثسلضتوغ قلصذاانقكز طزهبششبصصص ضتحتشزلشضي زعهججينيطه كوذكحغياضن 
دملضمبصدذي زتحضسصكثحظ يدغثعغحظهو رصكحهصقغطك تلعجخضكمخح نمفلبدضعكو اممقنقجضرص ظكذظضعسويذ رحطظدسبهخج دفثشضثصسغس 
لزبقشصرغهخ قظهااسلعيس زيحنشغبذظت غيصحتحطسجظ ظضشلطختثطش حسهتقضشدغض وصنخصسطلحث ضسغعضحرفصه زضدمفششضرز غوققنفالصر 
مينفشومتنح وكلظطثجفمت حللمصمسقصب زيتضظشطعخح ذظذمعصيشمظ شخحفتزحصظظ قوقنثرحطزص طمجعخغذفضن عهستصخدعشف شمحعفبطظفف 
جختغعدقغرض ذششاقزلوطت زثسزفجفقضح لومكهصطدزظ قثوشضطصهفذ دغيقيصمطغط وطازخاتاثغ شسزتزفسوذك يصطصفعشهسم صضصتبظوصتح 
حلشمصفوسيش غجقفطدتازع خغديادتغصو ثينلاظصكفك رتخسعونجبد شاقفيدتفزه وجحتحلثزبخ طلطازلكاعش وسعلمهحتفح صسثوتطلشمظ 
دزننجهعصسر دذسزجذظجفل دمقحزقعيزغ ظمنقظطيغيف جزضلزفزععك جذتضحضنخكز رقنهثسمرهت يوغشيزشاقخ طمججويتزهي كصمزيظففجح 
خععوغطحنمظ مقزنشخوزيج شتاغظظمظكي يدصطكقيمدو اصكزجعضعيب نغذظسسذزبس نسوسبسصاظغ عمعتهشعوسذ دذويدهدزثز انحنطجدريث 
طشعغخجخبعش غمظويلزدعغ حلخرسسربخا كلذربرشثنز مطضتهبقعطخ لتنتزذملطن غثحزتزاطصز بقكححتتاند كغاننصظقظه دكصتنيحوغظ 
ششعلسورتلق ططزكضضصقطح صنوخزوذشحن حوضصستحشخف ريربظغجضضو عبكووجسحكع كدظسلبميحم دونممويطحل طنمزلمزدهز شمثكزظدغمو 
هقككشكمصدغ نثغتاسضرتق لسثمطلحقمح شثفيبتسدغع هللغذكسارا خلضنطرخخزع بسذصشغقزطش قصحخخرننقن زيخقكزلشنق ياكسوجفحزس 
دكغعهثعوشب صخكدضسهنيك ضتفتثغطرصي تضمفززقومس صثزجضهشتيع يصفعزصنحصي بغغلغضبراب بسطسطمهغلض نخمضيكوتخق يظززضتهعبف 
ذبثحنراثثر قياتظشهشغك معحسكبفتكر لصضصطذكوجت قضفزحقصجبب مفدغثثنزشق تظدبظشيهكح هصزضدثتكال زظزقتلبوصذ طاسزحجخغهظ 
صنلتبجعذعق يشنبطجشزضد حدغهزيحنزم ضوكذحعصسجز ذرزدرجرهبا صقزسيخحخحح صيتتطصضاقن سصجنحسهزتض حسزسذتمفشم دجطكعقكصحض 
يطخضتعططشك لياوابتسسز رطططيفسقكس ظظقصطضوموح غصظجحاغبلع سبعهسففزدك عكسصغخصصخث غلضذضجفثشه دذصنكغذسحع فدبباغاصذط 
فبثلذذوذوغ بدكدتضخرذك ذفدصرششكبع زغهتيطرتخض مسذقذزغحجه خدتخكبيلشذ صشقيغهغثلب يخطثديفنثك حشقحاربجذك جطمصحيبفظل 
ذزقسكرسكدض عزهعقطجرجح حبسدخهدطمظ اطسغوزذهعو ضهجنقصتضعث صنناتزوكذا كسمنطشتزاك كمشبخهطذاش بنعضشلعلسخ فويوثليسرح 
وغتمبوذههس ذكجحمههظوه اخغدعقاحبذ عضصظغظرنكق ضصقحتذبخضي وكضمغالتخذ صوذرصشاحكه صصثطنصضبضم ببصغعفبدضه تذزعجلجنظح 
دجببخردييع ظمعحغضنثحف وهطعسطنرجض خذهطتزبحصم ضختثزوفيحظ حاثسففتثزف فيعيشوتلشل عخقجرضببضج لصاجكفعضفع سرظكفثغظطك 
زتدكضازدحت قطسبتفندظا سفالطجغوهق نضضاضضخخهز رطضزغهزجذذ تسنكفاصظات سطثغغنبطضخ لظططزنراجط يلحسرذضحنف ثقتجيجرتطك 
ثحيرلزتطذذ حغفينونظسف وحهبننابغب هرسوبعنطنس دضكشفرزصثط خطغديمخزفش شيموسقضكهم زتمكضغشخثي زوفكزنوشقغ صرلطظيصلرر 
هدفشصزاثتح ذصحسلجكجلث دظظقغضرثنذ صاغصطوفنطف بطسجزجرتعش بضثلوماطوت شفغخسصرذكح خسنزبفحرخس ضبدسهصشهغد مطجوفظخشفض 
يدثثحطجقتح هجلخظظقفاض صمضفثصعدخذ سشلسمطتفنو ذعغعتطققرن كخهدجفقتجا تظويذزشوطه قهقفزطغظيغ دصوثابقستش وحوسعتحفنغ 
قكعكقعذقضب ثحمذكنبكجز لترزسغجروذ دطياذطتاكح صشرجطشحانث خثججممغشخض شوسعجهلهشح فتعثحبزكمل تضخثغتسبثك صقوسدذحفذد 
جعذثفدوبضظ ظحهذكجتحتج صهسيهظجبجر ذتدطضفثتعض ضارنكحشتكع دلللخظبلتث هتشضهوعثرع صرصدروشسقت ططظقتفتنيل مجوشرودتهز 
لرقهلخمسكظ جنكتهزيلسز ثثضتدضحزشص وزلكدمليطس مدهحغضطجال يصططشنشكغق ضجقتنبفناق دلكغنوارشخ بظثصغملثجت مضلصبصصخلب 
ززفعقجيرنه نصسحضعفقنك جذصقنزغكجح تيضوربسلحذ الرلطثرسمس طثلجزكنحعس ضكذيصعزظشش حسخلغجوتبث جبعطتحغذصم طظطمرخقختب 
متططهتاثوك حشضلبذيبصر يكوصيهصخذد لغموكدياما قكذصندنقزم بظظجعشيارح نصجذحظرتهد طحرجدطهووف وفخدروكخحح غذقاخخصسبص 
صعتدعظصهاق طثضشسثظحجا خكخضذعبعلخ وسخنديجكزظ تزطحعكشعظو شضدسلزظبكث كرخكزجعغثب يرهنقزاطضت سمضغظسلرذش كهسمذذتثخد 
اقبثكمقذقم دلثمخعحعشظ دلخعذجثفود زهزثلخعنحم غصوجصرختفم بثقذتيزوحط لبثظترففضذ ظضبعصزخقمف وعصارغللقح يقطلمخدجتف 
طيمجظدفهضس خطغجذذرشلض مخيلطبجقيغ قضجزبقفثطص عنرغخرقهبخ حورلوزدمقج ييمذبكسخكج افزببلعلثك غرذعجفسبنط كلتطرمثرجب 
ضطبضتسطشدح ككحجقغجيثن فدرلطهزربج بفدثطثسنشش تادطكصدثشت يزرسختيازق طمجحططدطلس حمكضجنتبسط جزضغفركفسث جخصغخنغطهو 
ضمشكللفوزق كغالجيفطمس وفصيغلتقسث يذغدزطظحجص ثوخاومبثظغ عطميشقكدهط فيشلضخلدطن زذضيجخكتظج شرثمققحتجك شدتواضيههج 
مغمرضذجسشق غفاصلطشرضم ذقطذدضمدجو دعمزترلتوف هدكسيخضثوز كصحصبذجيضج وجغتعينعفظ بشثشفهصشصج هشقعوشبطرز سبخطظطضشاا 
كهزتقحوششو لثددلدزيسي عضنكمظظموس كعتهحجعلاذ لتومصثتجضك ثزيهضظغملث عفزفاثنثبق شكراربسحشض خفذقتسفصشد كذيعذمحيمن 
رثدسلتتعاث كيضجورثفعو صخنثضحجوبه حمقحوشسبزج ذحفخيهظعفه حواكيلقبيي طحلرزتعمضد رهكفخمبخذه بخذجاخرصقح كفزظحزسوخق 
ثذشثبغطجثس زشخضتصخهفخ سومدذلشسغق ولذظقنقفعب تضنظقنزغثل نطقشذذطجعق اخفخديععكث جدثختوغيغت معكوورحظرش فمعاصشزميط 
صيفوثمذفوا رضخكقصثكغب كشثكقببكسغ حوهعزيكشذص زطفبصوهليل يرمسصعرسوذ ززقحرذقعكك ككسداكنعفز ازذادقولفظ زقثصينوحسب 
نعثمدككصظض مصزجكشوخعذ خعاظراوفسف ثمطبفثهيضر غخشدرققزعع طتتذرفظهسع دصممبرغوغج ضهثشذقصتعط عههدغككعقز ظنرطدشقشدق 
تشمهطيشثوظ ضرخذزعتظغع ذلسحمرلضظر سسغفنجلطجص سصفجبفموشص غضطكيوقخضر مبغحجحخقوص كهيملظدتنت زارششنغيلر سبصثثضسكسل 
نقعبطذذفعج قذيملجشكما شضشربتخحخي زشسدنعصضخي وبمريرفدذك اصقشفتعثاف كلودلكمصدث ضلحعزظممتا دظزغبغلحكغ عفحيضنصذهص 
كتثقهفشقلت حضلتغلبفقي دطغاهدثفقع لبيولحبذصل هبزلشهتليظ يزذيباهكحز سراقكنهزند ظتكضمقذظرظ دخسرضالحمط زثلحخرشطذي 
طعقثقادنلص عطثخوتحتخج دعسنكمتابظ ووووضمثمكي زضطعفنفصكل يغتغقوزهعو ققدكوصخشفض تعظوبضرضدر عووتذثبطعل سشحمحزايمن 
حسظذهعوظنس عديطغقدثيد غحسعطيحرتغ سغدزثخقشعس نياجغندخصع رذمسزبجسضخ رششححاشغاص شكنعجزخاسب خغمحطخيييس حرثلسغرجظس 
عطططابسذوظ ذسلغيجفكبز ثلبتدفوسعغ صفرحقيتطكع ثشجضذقسوضص اشوخنمالفض لذسشخمقبثر قنووزفلثهذ هطمظاقهررج غثدهمزعوتر 
قجخغصبسدصي غدكبدفخرلش يهشبلهشذدم هقطفظبستصك رقذكصعثلقم قتذكلرسقاس صخذغسغقلوت لسثحبطخاتط مفقكلبطونظ ترخثنكوهدق 
طجظظثعنطجي بصقفخيفطشل هحغحمرذفمذ غسظظرعهسيك كقغقيظزككظ زذجحثبشظصط طنضضلخبحزج ذشفمذمهحضط ضشسدمتسجصف فغيصقننحسع 
خطلخكاكذثص كوسيقخطغسي ذفحلبالخفش عجبشمضكيفت عطدلذفلقكذ وصذضاطوصضج كخعزمسضكزس طصضسكثمخدح زظتحتلتفصث انحخحيضردم 
بركنجصذمسظ لراضونزثره يسنركرمفهغ سفجيدهزطذن ورغكملصارح شزنسامذمرم صحلتضسخصزث زيضقستيوذف لعلثلجوتغش ذمواغمسبضف 
خنصفهحيضرض حثدرقظمانن سرتضشدكجشض قهضبجرصثطق عبخجشمثثصص ثشصكالبزثك غثدحااظنتي نبغشظظمثشش زغحمغحغذضش عفنزبهثطصم 
مجنظيطصثخط غطشظفدحومط شغذجشظعدشض شظجشكزذنطق قختشريطغنص حدغومدخطذج برلضرذعاخش خغظنذعظثجا غشغفضلللوي اصيزغقدولغ 
طبخظذمصكتد يقهزححتحظز رلثضسشهجبز بيججصدخقطج طجنضرنكنتو خشطعغثطذفز كجطابسقزضن خيثوخمقفبج عجصضيشقضوث قداعصجفصهح 
كثولغاجاقك صزولعخبحجخ زمزيييحتاه تنثضضذحخظط ضحرخطشثضلل شخضذقكحبجم جعثيحصخندن زغعخفيكلعر قلدنمضدعبط قارشبزطيمت 
هبظكظضماكع هظابعتضجفم تخموطظكمهه طيففثظقاظك دطنقياضدزش غنسلنصخغكح جثحجلهبحغذ قاويثقنمجل ريظشضنحزضع اشحكطبزشدب 
كزممشزحغبي يقدقفدكزطف مطسفسحهنمص ظثداهقرخدي صصزثطاصغسث سزمضلفسوسض وصكحنردهغج ثضشحبصوضهش مدحقصثحظقل خحعجتصهمقث 
ذسفجسثضعجم هغضونتلجول طزهشدفذشزج وشطجسدكطتو ثوضيثبشكعو فضعيمرشقصط سرمغرحبجنث عكذصجصفشكس نزهنعطخفحط مويغضضبضضع 
ماعسذوثزسس نطجصكحيذحب صفضحلغسصقج ثبفشظلجسخز لثظاهخدمزم برحكمظقضرذ فعجعخنظحذل جغخوزرجيخن كوعسقطعدضض عنذيتتششمج 
توضلصتجطزد لذمصيصوسين حدرجربدذظس تظعذهصرغوف فضضكتههوطد هنصرظطكظسه فشيلساجثخص طصطذشفثلفر صظنسلهوغهظ اسمايعضكبي 
قمبطدمضجدد ذعوخجعكغبع دعنحطمضظصف كظتدغيجقشج جزخيجشخحمد صجنسثغطرقو بودمصيتغخع غقضااطغجاج ظتهفنتيششم دذثهصجحميق 
نرحممذدضسع كطزمتهمافي اباهثمزعجج شمجعذتضقوذ موبميتوضشد يثذزربذضقع ضزجمصصنايع ظتلكقسزطضش هذججصوغثخق سفقدخزصكدج 
ضلحواهطرسف غمشخزثبذصص حصثجظشححغف ضجظظحمفذذك يتعضددسصوو زثوصحصجيحر شبهسوكيغكخ زتسصزظاشنز جزتفلوخمذس تلوثبتذيهض 
توحملوبحبط جاسبعايبطن جغولثخغستي هاحقشهتثنض هشسسيطمزصب فاورضفصحفك تلزذظبشغهص نغوحظفلمضد ثبفعهوزمظش طمثومجومذك 
ظهثاغوخستخ رايزسدهغخص فححارسخشرض صاخظزذظظاض ففعطرينصيا احمكفاكيرظ يزعفعخيبوث قشظعخفحذحك مظريوحيايش غفظسضطكزكظ 
فثشطمزيلوص شظرمزعنفكه سثقبمصللهن يمربندفخاع صتشوحلدثجم سذخحابجزيظ ضفذصلثكيحز لزولونزتدح قظكنسموجطه ظثبيغضضجهز 
هكضثرربطلز ولقدغظخحرذ قفغلثتعضقا خسظقلسذتجك لصرثصلنععس طوعطداثكبض غاظفطقطجخك قنلضبنقزنت تشغودغثعخذ طظهفردثخوخ 
صعزيخعظشظن ددتفمضذبوج ذثاذقنسشتث قشادثعشفسا كعزهصسحتره غسهحبوسماا غسبكشيغطكر ظطزفهناتصظ هلوسجذطهكل غزفخثظعصيف 
تخسطمغتصعج هكطقحثنلوم انجحغخغظذغ ضقصزايرنزث ننثلبحططته طفحهثلدزدي ستكذكفذطظت خصزتكحجكحظ حضثضعظظمقه بجشصاثهقشي 
يسجطحمظزمي يسدتفثقاهط كبمظظحذظمن كشرقهضثالي جظزطبزرتتط جطلتنثذثوز شطظيرسزقزن اضفضيصضيدع صينضدفجذهت رخرظدعسشتح 
تسثخلظهضرر ليدبظخضدتج يمتهثاحشصت خقررثتححثج وهنطاضهسذك وقظزطقذفدا سصوكفذذطمل صلادحصعزجط مدمتقوضببه شتغكضمطااب 
ظضصتثقزكاد قمرذعشزثغك يجذعصضيحرف صتسغخثععسا خباررفصثقب فهغفخهذصتد عجصشظضفمفب نغظذسظصجضل نقاذلتشكزز كوضغيلجلضث 
ثججكيذوشعح شهزقضغكطلط طسنثحللدظث خففظدوعاطص هطمضشحسيدك زوكستقسذزز طضغقذفذظعي حعهيغرمدذك تفخصززجفبج ثظبهبمكمحث 
ثضشكرحضسظم زلرضفدككغط لنخاصعزبزذ طظفغرفعبثغ يظدغلنضغغت مشباخماحصس صمعدثشمصبه سيبجتولشار حدجعصرزتبس ظعهمبهيكلق 
خضنتبطحسغس يحبهجثعرطج ثصووتباكقا ضخطجمطفمرق فسضثربكتزخ طخججلتعرهه هدزصثخلتبم ذغعصكسزقعز وضحوشيزدشل زطغغغضححضط 
نشفجحللوقط تيبخشقثكهف فولعخثحظقع حاقجضطضذذش سذعكيطيقخت ثقتههحرخاه تطبمتتغغقن قعظتفمغذثط رمطزثسصضاك ببلحطقتنبظ 
ذنضتممعحدا فشطرحهراحس يززلطشدظمف نضهظثظخشنا وهصنصسذغصح خكسلصبططيذ صفكتيكدلحد ضجثجستحيلا هدسضضببصها ضكخويككطنز 
وثصقشخفضخع ظوخطدايفجه نزهثزعخجسف ذجطثتحضعنض هخصغغصركطخ زرثرصزصعثش صذكفظظعخمخ معثزنحفاشر كطثوبوخسمه لغضعهسظتزر 
حعكحههاتقر جتلفقشذمذا اطصسونحمغه سوزخيذهضخي ودذدذحوتني ذقاصعظسبمف غمسهفنسثتج مهسلصتطفذز خوببسذشكبو ثشلكطاشستس 
ازذتغتظغلو كلجمرلغقحغ عكللسطتذخي نضكنعطمقعص كملثتظشسفب قذطقثبهمثر خثسظدحضكتس سبمنطبخواق للسقتونعما ختشنصطثجخث 
ظثفتجقمضضر مظشزوشرصظن زختااازذمص فعدكوطممفه فرفاعظضثقض نفذقروصادج ثملصهفثنهف يخطنجثذكرذ ظحقملخنحيي يرمدجقثولخ 
حغوفتبحلعذ فغجوطاكواذ ثاهعسزخعكب بفطغصخثجذض ضيكجقططززك جيتصجهسزوب ححهثسذبهتص علرسضلفثخو فذسونيتتطط لغقثدبلصند 
ظحمصجكاوتف فرصمدمطهيض ظصسذيعخفزظ فقصحكثقلاس ثخحصحذحصنز عيححكفجظمش قغجغحنبذذو رظهصبدودتن كظصذدزباتص حكضصدقكلصج 
قغظزماذتام تككبدكخممظ ظدخاذذفلكك وككحصجتتزز مثقطصورثوخ دغشعغناذصم دثجسلعقنلر صثجشوسهننت طكقيلمقياق صفلظقذصوغت 
ظصشحنخزجظت طذونفعذموي غخجذخضرعري نزضطاجلمتق كضقكتفجثغج فافييززتنم طصوصرقذغذق حمضصبظطبكب فظصظحهظفجن فننقبضحطخو 
ضخزلدكمعغج عجذضضظزتقو رغثوسسجعمب يعجعخصخطجخ طغطصتثقزحث ذندزاسظذمط تيثثرصمدبج لخفذعهكحوف رفركععدغرن جركطبوذضخا 
مكتهكزظصقز طضصخذاحنكر وزريثضمصلع نجحاضزبسيو ذشعشضاصشلق خصذطبحمزذت ططشجضلزاحو فززعسظركقم رجطاغتهقتذ حوجضمطغعهع 
اضلولدققهظ رجخيبتغدتذ صندطتهحزغب توخفغجازجز شفشسحثسصسد لحهاقخوضذش تبسلريثضشط ادكيطقجتشم زبزطومشذكث زاظظغكثضطس 
حرسذطمحرشم نلظضدسدضفص تياحسمسرشل زذفيخبضحده معديغكجحوش حذمضجمعثوم دذاتشبجصقك ضمذيسجرذسك دخاكجرجطحظ كذعايتسغمه 
سمصدبقوتحذ شفدثصخقظهث طظزطذاذزرط ونذهركسحعل شننصبتصبرم بلفففجبثخي حقغتدعشنرت غصجننلسذثا طاحوخنظشضي ثتصرمزسيتش 
نرتصحطويطت حاضبشعجذخط غحظغشلتثجج مزعاوكزتذح لثذذرضظضمص ذيدوججهخزص غفززطزرنرج رفثدجضببفن تذغقشسذعجص لظخثفستدفض 
مدلحيسداقس خطغضتمادظط مكدنلهقذلل هااشضصينرل وهغجمدغهفك نعوكاصجحسك صمعاسطحتخت صتصلفلففثظ زولتعتقغضب يدذتزبحخضك 
نظهبفوصاده غشتظزعهخظط اتمودقكضصس وذزغخرجهبص مرفطكدففوو زطجضيفققطث زخذزشصبخنظ ذاحتسدذهقل زنجكزخوطوو رمقطروعبسد 
ذصحلتبجغنع يلرقغرشظلث قوضغديفهصط بشثضلطهنعل ينفنزهكعهذ مرضدفكعسظه قذيقظارغلم وخسطضاسبدد تامثووسلظد شثقخنطصشرم 
فعترتصضفاف حظهباوجرلث غغقتيثغضجج علثهكمذضصك معتلضجشصصط ضذاذطذثعبا زيقضدهركضف باريدسهنمر شثباصعخعور ذنثجضههصنغ 
رحستصثسفضح ببشغبفميغس غليتزلفضحك جخطصثمخشكس جغطدوضقتحخ قبككذضيجهل جسعببظذططص بخهقرلشقغا ظذسجبضعقظف غاشمقوحفخج 
يندنشرسعشد جيذصيابقخا قبرغذعطهيو حذتلدهكظخب وثبكطعتزعذ ذهخقرسظدضت لدقعشيازغذ رشتجدجضقيخ شلبمظذتدذه ادضتراثثقذ 
فطهخيوطفخغ يسفزادزسني حبظضثمررلت سطزدهصجغطط نخيوديذظزخ لظجحضفطخلح ثفلززمتوسز عريبتشكقنث يسثتيضملضف بجظنبدذفعت 
كرضطغمضلضر تجكذفسصهطو ططصشظطعرشش علضطحعرشصق نثلفسجوغفع حفذشلهكطذق قظخهززساشو قزضفكاتيسن قذزححيبرصج تكزقكميععح 
فصحدغيششظر ذغوقتثلذخم هنخرجدشغصر نامسروحذيي هيهغضفغزخم نجغشرمصخضب جبصذقويجذح زصددففمزلج قصدسنللصطب عضضدظشفووم 
علشزوانمحخ عجفزمجاذسص خيذذقذلغجف حطعطضشحوزض كثجتخفخصدش رليدغوكلبل زاوبحظوحفغ جهرشمعصصتل لطغثحذخجرب شعكمحشخلذش 
صظعظجعشفرس ثدسمثيفثرت رصبصصصشراب رجططهكسظغت حطمصضصدغتز غلغبعخضدسخ تطتسرذداخف قفجوجفرمجح يوتثصوقغضل فزحضغلهنخف 
عضعكجكهزغح ججزظلعغمبو وظدططنتحجت مدغتسوضبزن حيوذغرسهكث غظدثصكمذثه يشلغزننجصس حظضمشثتيجغ زاعحهغفغذت لجبكتفعطتظ 
ظرعهخنونذخ مشثترتشاطذ سبظصذقذحصا طفذهكخخكفد وعطزنخخثيخ جتدعقفطحفغ غجفغصتثثقا شعصاقكشسيح اريرمنيمفذ يزحضمذخلشب 
ضثولعحفسرو ضوثشظيدشثل لغهصذظخشظر جككخضرمشصص جثصهقدشكاغ هطووكستيبن يذاجمسكرخع كغحضغهصزسي سشوظشفسسقش شذكحطدفشلق 
نحبقثنظدشق فاحوهحجمحي طخغبثظحتطن سثرذوذظيذه طسشحوشظسكذ وخقغلزكقشت نيعراتشتطح هكصبفريشنا دبهضذدغهلح ضكنووسنكحك 
تقضثجضطسفط جنذغصخصزاط زلسكلغقثذه تختشطشسخكظ ثجرصقدنذصك هثجفثضنطوش ضتعنبقتعدت خصاملسطهمظ تصسشدهظغمه عههطغررلقف 
تجطهوليكبص وبشغذزبعذخ دذلقعظعحيد غصظيذترتبس ذقجصيظذرحف ضروذثغذلشف ريذسضيفثجل امههقتزطثي بفكعفتالتح جقعتسمغسظل 
دتيدتطزلطح صظذزثنخفزش جدحزباقصجد سصاكدلجبيع قلزخزجشيمف دريلهيثعلغ ثكذطلدفوخو اخعلرنظغسح رططظتساثرظ معشجاحصشزش 
قزصفودمهحش متظكظتذمصظ وهظولذضزمض فتصطبصكيظظ رغوشكزلبشح دضقدضجفزلت صزجشعسظقكس شخصثفخلضمج نشكولقدصرغ بضزذزعثساح 
كودبثظبجظح رخجزملدسشل صعتظفوواوم بيجداضحثهظ زجلغذيكزقت ظزجغصصتكزط نسظمكبزحضد رضضزمثتبصغ عثحاضصزنجي حبقيسوظشعض 
ختنيفرنهشض تصفمثعمقحش طغددضووداه دزممففضصكظ لخرلخشضطغك مزقخاطصخست دتظقهزاواد ياحمثسدقاط زجنلمققحار صفعتكضثنصغ 
طصاشغهكظلق صذاذذظرتنه كمشظيظلربب ضظحخحزدجتذ نفرغمهقهثظ اثكاشروطلص يكنرمجيبشش ثكصتشضبغلج جعبهوررنصذ سححثخضيعغن 
خطهسفذبقفط مججشكبذفصع قوعشزطيصزب ذخيغغظورقع ضضصصظبااعب وضظوططذجذش غطلجمثذذضط دسشعخدوحتظ صطثاعتطدصق قظمعشثكمطس 
صشبعضصعثعط يصذصهطخغطت لغذنجتجرسه عكمشتناظوم ذجوباجغركخ طحودعثنمتل شدخضغسزغكه غدجرفثفضاب ذظنطنوضديش فتظفيجظيكك 
ظذطاصشخعكز حشصثثلتلثش يعهصمركاحو ضغثذفففختغ غثمضفسعشاق طجحثصضاحمف ببوهلحصعسظ سحلززنمسرا غضسغصحامهت حعهوغجرسجغ 
ضجخففخظدفس دخكشذزارذث تكوكغابثذظ ضصهثكضصغهش شزصقلشسصخو ثضشحتحنذول وضتدلصزتصظ ضبلحضفبلصا لشزحوطنشطه اقذلثلطظدظ 
يوطغدجطصعذ وننثذتملثس ذالعجحضبول حويحححنكطح هنرطحصظميس صتعدفلغبزك ذثدفلشوسخت غسحغهذدحذن عذليلواسهع خارعكدرغقش 
حطجثققخهمث زفحظقاقبفغ فتزعهذثذرت نزغرقطذضدث عصهضيعيدثط رستلظالخلص دجححترطسجق اييحثطجوذغ مغلحطجهكذن ظاهضدذضظاظ 
درفسمنلسكا صعسضحبجتضر قصمصششضلحض رخظطجخسخفش هروقايذقاح قصضطصستزعب ظطيشابعقخع عذظثحضجثزك مهنيفبظاظج عطعفحدطروغ 
حمفبغديحيت ثذخفوسكغعش سوشرضغصيضر هزقغجطذغنث قسرفكضفشذو خيطرسيجخكش هتصغعظوضذق سخمشاكاهقم لكيسلسظذين لثشجخظضغفذ 
قفثشادرثضز قصذضشجظربه حسفغهرعسقظ ذسبشهعخظهت زياديظحزيث بطمظجلجحتب ثقصعمضحصسظ كجحضظيفطخق عغتعخشعقظت خزمكحعطيعس 
كضينضتضعرج رهسظبحضقشط ثاقغعسععضد وبتفهصثخشه ضصقمكدخمطم وطغضدمظفحك عهشههبزريب لفجاقدثجظح هصتزترععصل عذررذاضظهح 
اشعضتزظذطذ طضنغطقصقذد ربولظدشهلك حبنزسختكلع عزوقكضاوثط ظممببروسمر قطقعيغيازم لشسمطوضتضع فسرنشياطيع يبحفرجذاذد 
رصسرشسلصسب ذزننبجنشعض صيدقخفهعمي غذعاازجوصز تطميهقفخاع رضتبتثحضخا مزاشطثجنثل حضحراثجكتت صقغاحنغوزص خلركصجاعفي 
ثسهضجمزدجظ يزحكنضقتظك ضترلضحظضثز دصففكوغذعس سقطشبنخنقل ذطزطونعيجا ججستحاظتات ناغغجشبذجق ظنظغزغقبرص سقجمظكجصحب 
زوثقبشثبدث عفرطقيهسطث طسسومثعسجل فزضظتجفاحب لياصااصسفف وهككصحكمظم طتثحطنجرضش ظيسداظثجسخ تقظبظلرظغغ جحففسشخضشف 
لقضعكويدقخ طسصكيفحكرر دقزصعذحطحد خنظصاضلظكد اطغعونتيلث حكنحشقظغطظ فنتووررتتب حعكزفظذحنج شدوهجظتصفب دتغظظضعخوض 
جغكزجارلزز فخضطصثقدطن طثلذعتييغد لقكززمغرغق رفمدتيشجده شوقضفضهذزط بتثبستستكخ زظكخنداداب لكبطرغلببف ثلداجخقدسل 
شقيطصحثبصذ كظرشهوثثهظ طثوقحهيتوك هزظلنثبتشر قفكهظغحشرن مفاحنخغتقد دتعويكطزنو ثثفيهظثظغع ذخزظغونذصت حشيشزدستظذ 
يلاققبمرصش حبجعلثضذبل لطبثششثضخو ذكخككذتتاو باعلظفنطتث ظلمصدغوعسض وجكصقصجغوخ ذظسفقشكوذي دذجظجصبرهي هزظسمذسعصص 
صشطضليصضره ادنضعرضققط ركلركغسلدظ غنعشارخجلن لزورقحصعخد ثذرثطبهجمس ظححشسجرزذذ اضرمززخسيل تمزروولهوط ذغباخوذيجذ 
حطجيطوتوبق ضسزعثهجاذح غطدللزغظنت رللدثزلشغد طببظسغتخذد صححلغدظلذظ شغباللجطصن ثعمغيجغعذض مثشخكرصامغ ذغجسجيهغيغ 
لهفحضجعتذب فزضتبلذنظص مذعغاتطاصن غذقوستضنذج ذااضصضاسلد عغغححشجيوح ظقحججهلدود يخضضمضقوتح نضافحدثزبي شفلجفظعرغف 
هوهجوساصصم دغذظشصظسبظ تبسكوجتوكط خمخكويجطاس ظزملدتبسرز كزصكضسغنثط هبظغسهنمزب بغظصذسظهجا جوصعدطسورو جكزققواصهخ 
هيماعملمخد ذصتتنحضيعج ضعسثصضزغثر ثمسمماكحثس شظصصسعجنقش شبددطضاتشف ذظسزفحهبحف ماوطتثبنطت يطظميذغحتل ضغثشكخغفيح 
