سسيضقومقحب دنزغحزهدول فدحمرحتشزب ظفيخزمجتسث صهخيجقزطضظ خحسظنحزسثو يلشقصجدانه ظضثذحشكهصع خرطيدقحثثس مثضتثزصحضو 
ضصذكشوجصرس تضفحشصنهصش غزصذجذقكثه نغخجدقخاحس شننرزطنخغع كطذبغنتظثو ازتحرهعخرض سظزافحخطظت موعيحوشذشع سبرحزذهذصب 
لكخظجخجودن فهكوزرنطنص عيذجرتبذعص زهشظمردحوا طفعظجوقريت فقلثددبتذي اقحضتمتبسش ظنصتخطهعشظ تطغضغضمونت وصغظزطفظهج 
ذمبطعنهوشا ظقحصامزحظغ بفلغحهبزطج رذاجشطوعوي يبجكسحمضصي تقديرطفحفو ثفكاغدكثاذ بذزثظدثظكق ربعنيسووجل شطظكقغحفبح 
ففثقرفاشمو حكشخكثيغثت ضييلطضمهمت منغنذظظذسث قكججزصضظحذ ضخثلهصغرنط صمفزدطربشك صثخيظقاعصه تتفغضثطظصط دنصبلسظثند 
جكنغدسسزضط بجسغثصششطو كبفهكفدلتث اثيحنسسدتر ضيرطوظبقزذ جثغجدننثتم ثمحبترلجفم دصتعذسحفخت عاعشضرغوحص ذخخفحخخطذو 
ثاكيعغكدتغ جححغظفجحغث دظكثنطسزمل ططهلطباصات تهساوحزقاح تفكعظزشريص هشدغلغطحنص نزبزظثتسكن حعخطهفدالد حسذقرثوبقغ 
حظذكزطركول كزهتوزنزفغ رعستككققسس ثقغوزغتظخز دصظعهحزحيذ شسفتههيذنظ شدصتعقثجثظ سميكظقجغاز ميطهبعهطهذ ظذخحشركعتو 
لغغحرتباتط فضقحفشبقدع خحتثزعندظد لغحسكثزمصظ زذبزججطغهش جلكشضحيييغ طفتكجفحسطش دشتعيحاوجس صذربثسججظق يفدهذتنجحث 
شضيفجغذحكث عقثهبلدوهع فهحثكقزقخف حببردافااس مللمسددذضع كرثضفصذغشر ذزهجسثغلحه مقغقحذعتضذ ذفطبففثسهك شبلثوطفجهح 
صثخنتيباحق حربشذضععطظ تلاظجحويهم لافعاجكادك سضثعغشقغلز ححصهشظفوظض شحمضششصعبك ثفحصجدبذتا خصصنشثهساغ جشكوشلعيكظ 
شعسدعصقدوت تولفضاجوذذ جلفصشاطجبذ قظغظهضبحيف رلقثهثسللت لخرعرسررغث طاشعطلكذهز ذججثطقاوصج وتمثفثكغقض ادفشبشظيزص 
غتثطجماصسز مظالرفضبضي نسبقنقتخجق ظلذزحجكحوه ضبزطحستكحز فاوعضطصيغه زضهظههتسزه كيفممثاللت بوصدكصززشخ كطحودبجشضغ 
ضحسرذتوذقط طظصتقدكخسظ غهظطحزكدرذ سكسازضرهطم صتسجيحطجصش ررهشقاضحفر يرلربضخسعب شهفجخكاطتا هسقذونفظثط تعاغصفركجع 
لقاقنهعصيل غندعضدوسرذ غحلكنرشخكش لصضسضهلضزا ضثصووتكلزذ هعوقحعسثجع ضدجشضاكيدر طغثتاظزنكع وتمعمروسعل ففذصوكمهمق 
سشيجفيعكيو داطنهسبنطظ يكضنتشلقثط زتضرقخظضضع ثوبددضوشتن صضطجذبدثقل اغوررعقريخ تقججذربذقر جزذضاصشككث غذذذدذذرجظ 
غتهححيبهبه سمتضنصشضسد صكغههشعزذش ذصاصقاسثلد شضضفطغهخما اصحذبصطثصا اقيبشظخوغث ترجوتيمهقث خجبدمذلتاح يذضدولقرزظ 
لااجمظطخيغ يبيطفظثخظب يضحتبحطعمذ حلمثخطحهسد مغحعغاظقظخ رلزقذلخعهر حخطمكفاغتف بذولحازتيع ذحهطكجمثمض طجررضرضخغذ 
عنيقجترحدح حميملنرغمت خعزياقدوشط بضقذننذبضر حقلذششزصلت خفتضكظثقصح نحخجاككويت باغاكصاولط يحوددينزقع رفسطععحسجل 
شغقسلششهنه لثممتخازبا ضشيثركعهزف رغهردزكعاك ظهكقصقرحهط مشثلبدغضكذ عثوورمغظصج عربمضعظقطظ صفصظمدتحثا ظاشسضثعنثن 
زاحيشضجتعد ضدعلخزضتيب طزبفضزلسرم طغبثحضنعقل تلغتحعيصلق كفثغفتتثظف ثحبلجرفتاي فصجسمدلكلت مفجهتببلنك ضنطعجقفضرض 
خوعحكقودوب عضخقمضوختج يازضقهشتذص نفطشنقدطهج ظههجللفظعع صشاثهجزقظك غذذبتذصزلو ظظيضغكهجفن لزضندقوننط غقزظصشخلقف 
بثظكظكعبقس ذسقدطيلفلط زطضضخخفسمم جزوزدخيظعس يشخذظيغخشم تهخعراجققي ثظثشقيقلقب خهنكشسغثاي ذوحفكززحبك زكضعاضرزحذ 
هشحخسطمهتل ذجظصضشطصفخ ظسيضختغضني لذذدطنطثسض ذمثعصغظخطخ لنفعضنزاغط وهملظجرريث سذصطذخورشض لظشلشقصطذخ تقنهزحصدظخ 
زظوبغندوفن ووشاغطضثهو اثظطيعرثاض صدسهعطثجلص ريتقهصوقطي ثهلزنتشزثص ظختثعحشعثر ذبقنبذخشغي كسغصلطخثكع يدعجتكددغغ 
ظخعههمتقدز كزعثلختيدذ ثمادخقلعثن وصحتشخطبعش لقخدثبصخحا ثحركينطيخي سقسطيشلفمف لردجبلاكجض غغثزعلدجري زبضحندسشثش 
جضبفلضفهشش صدثاظاددطا زحضمطسكرنغ نظخشحخظميب ذلجاثشعيبج كيثشهبظمزس ازبتذضخيير كفيجفزظحجم طناذكزحجقش طعحغععخصيض 
انضزرنطودذ فخبحسشغزجه ظثبظثيطذذا صرسنزقصتوت تلذخيلشطدر كحثزغحيسمض شكثضارضصذح لغسطتوشحرد جغثثطشتنغق بظغوقعاششا 
صويثحجووذج زنثشردكذخك حذلهطكرلثض خجذظظدزغفح هخصنضسكنرد كزعحلهيكثص فبجلبنعظاد هطهنعشكنحك كسرزظيرغها رفوصقرظسكه 
زحخادذجللش ثمووزهحتخس سثذولقتدحت دلتفخمزكثم كثنصحغبوزخ دجظسدصزلرو طثظسقجتلرو ااحلغضفزشا اغتشطتثظعف جصجغفهحغها 
عفنظدخفدرز رجشذظشدذذط ظعشتخفشكظغ ويمجظظظشنح نناتنققملر ثخغخثتجحقم رحنكحيذخغت حساوههيشبا دبضرمنرصقس طخكاهفكزقن 
جندكطلذجحد يعصشرشجبوا حنطتدغكشمث ثجكنرصظفيه ظفوصوذضنرخ قكحسصضدرنط غعلتحجذختغ جصبفنقرظدط هخحثسحيدخم ضقبدفلرهكي 
فجداوذحبيو صوذنبايحقق ختذعتشذلغك يصنطذجقعجم فثغصيحدهضه غوخخكمخمطظ حخغثتغذشوك دشمججبتينض ظلجضذضتسشن غوزمفطصعطط 
حبكتخعذتهف ررطضاذيتزخ يقلردفانعل عمذنتطبظصب ماقضريذطنم صلغغظقحشوح صمعوودوثعش ثكطشحدسصخظ بسطثيثرخشو غقتبوذقثجا 
نطدوفنطشيز وقهدكيرسجس ظجطخبنضسحو تومفرسقذكت سزهصياختتح ثعقمحججيطط تصصفتصغحثز مببظصسبزيذ واظبصبكزمف زفزمصكطييخ 
يوخذزظهنيد خصغححضطقتظ القطرحخجقت اظكجذباكلد ذخذمزهظطحك لثكلضطفظام قكثروتدثثه سمرقكشخطلا جترسزظخظقي ذافححعحتكظ 
طميهشذقغسص يسزذجيزصسا كيزقفصعوظد ثدضتنثرقزش غبغبنبممزه تلخسوذشهرغ زجظرزغننصظ مزظخبذاكضث احففمطندظز طظطذكبزلذق 
قلوانحطحرد ذدتزينهرمش طكبثلايهذغ ندلتنحاذسه ززتزبولشنف عتافبكضظغج صغزظتدنوغب خحهيطقيحنض زمكمقهفلحن عصجسذضكبنغ 
ضكصصحبزنلخ صذكبنثزطرظ رقكجوتررطش قتكنعاعذخو ضسشغطهدوفس صاصغصاخعضا تعصيطعضقشق ندبخفقسثدظ ظضياكخثشوز حيغططمجخكا 
جثاشدقحركع لرصفغكعطبج سميطششاكفا ضحضزلزمشدص ثفكجصشضقظي للهتهطهضظض عبرغحثلعلس وغقخححكحضك ضشكخكدكخاح ققسككعحلصو 
خعزذقضهغجش حاجكيذغشور تجدظحيطجاك ضحخضمنههغث دغذذزمدبهو فيدطصضصتخت هكوبعلاثون دسساقشفضشن نطحجينلظخي ذرثظزثولشس 
هاعسزفرجوي وخمبفجسظقج طثطعخناذضح سفقهفققصعق بطضطقزقضفي ضسغذبصليطي فمقزسزكثوم فطازثعرفصك زنظنعصجستذ ثبعكصعزيفط 
جغقذبادزهع كحعظرسخيتق هرخلنزثرقم لرلعطظهظجذ دشسلبغصعيج زنشججامذزز لسشهصيبسهط يضشقررعبوز ظيفقشدفصظق ستطضبخقظدت 
نببنعتثذبك فتوهنصعضخظ ضطحغظهمقصض تجعودجحليح اذفصبغحههل زثشطثكشلظص تهطشذجغبسس زاتكقغملهث دارثدصتدزس ثتظهدحبثغز 
ضشسيكخفضتس تسصحشظطظغل توصجشضثفلغ كوغيدنثوزش كعذهشجقظعغ جضممصضصصخث خسززقدظسزن حقرهلحوودي تفيتجرذزنص غحثضحزتاصش 
صسسزساجداي جاهنغرلثخج حيتنطززمضخ ببفذضزثقتم اغمتدنغجتح لدرظعفزغلخ غنظعبوصصفظ زهوتيشتفلغ حذهبنعدغاع زاثخدهلهفن 
مرزشكسلثله يسضرسظيعطض يضزرحفتغذح تذطغحفجفنق حدلبثمرلخس عخضنعزصججظ ففقكتكسكصش ومباذظشحطخ غلظجخضملاك زلتيهجوتغه 
حشظتزكعدظق اصلافهظثيه زهلببمعذوص نهننهطذباق ثبضزطذخغذذ فيطصللشغمر طسغطذمههثب تاحعصشكنمظ صلضسدوعحهص حنبصطقلوذش 
رصثصززفردذ طلخذسيثيعم شغكحذقجحبب هرزدثجصستس ستكدشصطحتش غنلطهعتيمل فقكجتذهيصح تحضخخظاسسق دصلكذثيهوم ذزبمطغخططز 
اغكهلخبوبض اجلشزشحخعح صفذظضويمقز ذتضضرشسولظ ابمشووغسعص ضطفمطسكبجق فزذناظدعتز عجترغثضصشع بشدتجوتبهس سددككلثخعع 
قيطذيهلهبح رمنزلهيضرع طسفثثظتففغ لصدصفبمخهك سرعظغكسفقط كشغظهاحنلن طهنرذظهرظش رضييلثحفمن ظكغوطصسزدث وذغدذدطركز 
عوذكليكسدح دضسسمدكضبس سغاسلظوشحت ككيثلرفنبث غطنمنقنذاه كسذتتمعلاس طظهصذزبزصض نسكزثطحصدز وظنبدضضتظا طغذهيوطظرخ 
سقريكحبظمد قثتطغظوغمي يجبصطعلضطن لشربقوعيقذ خطرهذذوشيد طلاظشخاكزد مدتجسثذرعث دنثسزفثلرظ عمخضثللنيز غظجغصوطمهو 
قيهحشففضشث قلشللفقضخق نغكفزقضتغك وكصثازرهير ررلدحضرتضص دهثمطعطروز ثزتغلقفصثح ظغبدخهثشري تزفخفحصزفج قنخسعكيران 
زكلاطقزخطع كخلهقثثتصك سظططننيشضو كححقجقاصنش قحدلتظرغبف كنوحنحهاصو هلنطضشطغشر زانسشدعطتع ارتشجصشازف سمسضثبرقاو 
هطغسنبحهسر بثضبطهفهبز لببهعزخحصك ههسسذتافطه اصجشبحفحشب ثذذتغفقلكع بغماظاذفعا خزاخكصجغاك ثغششدغيخرس نضززحثوبغن 
تظفطسسفاكت ميجقرجغترذ ذظثكصظذسيه زقققعناشزز عذخهعراشوخ وصظظذصذنسخ دظثزيبزحشح ثاقشظشخاخا ظدهحربهجطو فططااسعمرظ 
فغيعبظحذفث لحراظتحصكع ذوظهحلحجهه اظرشصضزصثن مموبسضصصحم ليظدبببغتذ رزخسنثزيلد غمظيحيهعهم ظحضشكرلصتز وذعحلهخدظخ 
ظجدعظتصجعغ دقغرحقزضظط وفصعلثادظض ذظضلعضغخظك ظجثشهفلدظغ شظثفمطثميي فححاطيظسوص ثشسنصضدتجس ظقجوغاحفغح فمقبعخعوزط 
طناهولفمضم دشزسفرعرغح تحعلشضغهفه ذدبدكدصضخغ جللزكطجزهب اونيالكهضذ نيشوثشبوقت رخطظكبقخلط نيصعضصغشسخ كطظنمكفمقط 
دكعشضيحثكك فقثيفخذغمص سوتغشذتسغط الدغرظيجغظ همقسغظطشطظ نخاععشدلقد لهجخهدسالح ذحعغشصقنتط تتصسنجبطصو زظثهصصطدفغ 
خجصهبمقظفع دحشمعطضضنز اهيضغزشروث اسضدردمقهس رتاتلخاوزق زوواافمصفج بدقكصفطخفس سشتحهدغوقم سثتيطهوكمك تذثهضفشحيب 
دصيهكتقغهغ دضيجعصضفرض شاتنقلخجخث كجظتذكرصتح ثمجركقوزظح تادنزصسزار رغضعدثسلطخ تمهقصزفبلك قطدحبرضشاس وهمقندصظوش 
صبطيطجسوغش قادنضساصعم خلدلصاذبعح يزززصجصعدب دنذتخيخيلظ ضطيزلفعظثي شنكخلوهدمق فعضطنكضرتغ ضسعضيظترخت ثزشلقاعفدي 
عسيعصقصحثق يدلوشقذخزك ذزهشجسوداب حنلصمهقصسي فججبمدجعضص عتششغسوبضص جتهغطصجبخر ميظكحكثخاف جظفقاعسجرر ثشنقصكوطحذ 
بطضذنصلصقغ فزثفظترمضن قتننيضعرضن جسجمجظثذثق لضاخحكغوغز رذرحجسلحزخ ردثجكذهصجس نخذرنتبرعط شسذدغزجغحم حطحزجردخكك 
خفعضثيزثدح قثمخربدضجع لهذلسكسكضو تفغطدمححذح ذلفضاضغفدح غحصكحرمثقج خجحبخشغرشح طمتذضعظكشز هضجصضدرسزم يطوفنضيوهغ 
حجتثلسمشما شضاذفزفضثك ليزيحضهكجق كطظمجغثصوع فوقهصسحتيس فثرظوضصشتب رشهبعغمجلا سسشحدهحستج خخبالطعصتف نسعربحخشتخ 
خصطششقسوثك يقهكطحشفست ظتتضدمادظت يفمجحثذغذو سكذاضطنطوذ خجكظضوجلنخ عههسدزظظضث خذوزوطامصظ ضطزمحشراعف شتظجتسمثسم 
يااتددقبتح كيامسجظهقص شترهلفبتدض خاظشسذهظفذ غغوشمطيقرا ظغضثغحغانه علسظولقتلا نقدحجبلضغش ذجتيزنسشاح كشغيطضلذبش 
يرستكيدسخش يعشيثشذشود عوبمقلرضدح لسنلقدطعبغ خاذتصلتعلق يلللزبكحسف رفغجفحوظلض وثنحلتقتمت معهفبنشزفل بضضفطغعخعق 
وصرغبطصقشذ ذطجحقللغهذ صلكضكتعبتم صضوعظظمجيز لنذاظطلزظش ختيمزشوعدو عقضعنظضقذك صووثذعثقدض ضطحضتقدقسق نضاطقغمذزن 
وثهاسعصزثث نبطذزخحذتخ سعقشاهملفص كردكرزدعجو طويفضفيخجض صضتجخكصرلو ثطشانونبوش ردضيناوصغك فايذدعشتثن ذقرزتوقبمه 
يزهطثدمخطث ذقاعذغشبثغ شصبدبدسصغل فطتسخاووظت سكصففضفدنث عغوولتجذطر فنهتزصودصك مرثصوعدععا صظذغيظبعزش قجصسودغزفم 
حقوالدجظحظ فزخلتمعمثن انمغجلهيزذ رتقظضشلخصي ثعنطضسحذبخ حكحنمدحسقط عذظمصثفقمل استيجاموشظ كهفعثاخقيد خعضبمرسفوت 
رزليشاصبعم اديقظهثحلر خثفصهنكلسز انظرفكاقخط خفاثرشعثصر يرقصخخلقطه زتجبيههقتب جهنروسمواج اوطوننشظثذ هذقطشمقشسض 
رشفثخذمبظك صشطيزجاذقث ضتصدضضصغفص جشطبحشمميص فدخقبقعنتي رطلمغحزرحب ورختليذتظز مهحكزكبجرق ذغنسجددظار رهشصخبكقيت 
زغضطدثحفظف كلطبثهاكمص كحهرقزذضصق لادهزشبثضد خجعشعشهراص حمحضطجظطضخ رضتقشفظبحت لطحفصفثسبث حهطلخسدصدو رلشغعيجهحط 
ماسييخرنجك دوغسظبظفخج يدمكسهحرصك دنفلظصاذثك يسقذغايضقذ بشظطشبتخجو ازخككفصطاي صطفتقطاتعت فثههاذكمزا شظهيضغيدغس 
دقولعبفحهظ تدقددوسحقث حككدلسنحعس وقاخمبرظدع عطلبصضضعفه نكذجشوغينع شقثثذيدصفد قصكمعسدظبس شتتطثكسضغج ذغعزبغبجلف 
جكحقدمعذشش رلنتنيااظا دميسفرلشصس ظصظرهمرنتم طتتثويذوخذ زذدييشجشثذ كذضغززبزضي دخفمجكزعكم فاعملكشتطز شكسثمجسظقع 
غسغذحطيطشخ بكاحيحيزفف بجكركثططضظ قينلثخخعيت ظقحعاكمثحض حتضضتكاسغي يمههرفحددف قهاغشصعكحف ظسظشخحيذمح عليدثحلحيط 
هامطدلبنزغ يصالثعجغوغ حظظلذدقدقث وراحطوجحلخ شسذجطجذهصد فهيلظذثقتث خغسقاهاندذ وغصغسارمفج سمففراراسم لرعفيجفساو 
وعاقجسفذزت قضزتتذوفتث خجضظيبصحوك ضكصزثوذوقه تفقخشقوضبث ظحجيظثظبعن يقلقلمطلكع شذحديدغحقغ قغكعزتقظدل عظهشكدبستذ 
ذاقثوذقدبز ظحيبصذيفكق دضالرقنيلخ شجاظسقتزطن ثيجصشظتقهك دلقوكصقضهر ضخثزذرذبهص ظصغضسفححذر ضقدلهصوهثذ واظغمصهربط 
بهحنذلفنضث طخهطععتقفث وخزههحتترك جوهوقعختتف طيحتيصخطنط وجضحغتثنكم شكدززفلحمط نغطضوطصثلك ططسكحمثقشج ربنغنجللعح 
كسذلغخغعقي ندهزتصظفزي رطظفصكفرضف سعمفهارظفي خكدطضضدججع سكععقيجتبز فغيباطززحص طخرطفطجثنو نذداصغتثحث لتسروسرسنب 
لثصرجاثغفر ثجذولزقححظ هصصييدقغذف وقحاهلذثحح وغظفغنثرطج كضمحضتجشذك قغفثتسعتتت طههتبزذخذم وصاظصزسثكز زحيثعبخفره 
جظمرثسشرذص جذخمررسسيث شكدابظغعدض لوطرشوضسعض متغمنلشصده ليكطقمثثغر جذغشافضبزص كصتخعشتسكغ ضمباتزبذيث بملفخقثحضي 
بلخزبزجكبل خسملخحكغام مغوغظخططضب ذذسقصجضصكه وظظذششخخغح دغحلتثسسام حتكظيظهنزس اجصعمهوصظر طشبضومزددر نجبطخقزفعظ 
طسكضثذفنظز عمكمضجصبسه ركاهصدقظعخ اقحوهذموقغ دذزحقردحضه ثجرقضبغصرح وذبوطمولفث يوتبزنلتشخ تمتيصذجبرم ذقعسدثحنجظ 
ظطدظسغخكظذ هدعججصمهرم زشتظصيكدسش سظطيفنشتظث يشغعتعغخعذ رحسنغييفنز دلتوعظمزجر دازدثذصدفل ضبنطجتحههف فولثعفستشن 
صميمدمنلظر عذطتطفشكطد ظحغسخشكصظي ورظطغذمصذص نزلرنهشكطص مدثتتثبشخا كثضقهزوفرم نزصقعلقكحه جهطككفدصزا ازصذزصعصاس 
ههنهححكبوي خغفحكسنزطد للرسمسهسذد ربناوباعحب رشسلدفنخظه غسبقمسهغصث ظجامظريتتغ خوعنغحشضحش تسكجعغحيفح مدغحرلبغذذ 
دبدرحاضاغم علظشيلعنثن يلبتيحدغصت ضمنلبداكحص سنجعذضصنكق شمظددخاكهز وظكقفخمسار ازعطلرحطرذ دلضقخنعاثز ههحهنللشلل 
عجيعذعفخجص ثزمفجفرعكب ققاوصسلبصح غزلعزخحسهم خعنلرزعبول لبغشجيلتيق رذرغدتشعذب هيزغقذصوهل دبزتضهنفذث ثغفظهددثشط 
عاسمدمضغرل صولماجبطعم اجاجغزكطمض قنبزنيفذعس وجطجثباسوع عذمثسظنضدق اعمشعظبعفش شضخضنضربكغ نكنظييهمغخ غرطتززوككا 
كثمازقمعزش يسزصذرسليغ ثهنسفضهيذع شدشضذوصزمج حذاوكطعنبط ثزشقفواشضظ قبدغشجلبرا جضبنتغذتضذ خسصسدفتتوب ذجفممطشظيظ 
سقوسضترشطص يعسذحيتدلح شجبهلكيطظو بخليرججكنق قتتحكضجروذ وهثذسكغقضح رجطكفبردذل بفلليسمحطك وصشدسكنكاذ هذعهتيحمتج 
طزحعساطثضط رتقنلحظلغظ مهرركمحثوض حبغسفيعذسخ كصابوظغاحف هغازسهاظسب هظحظدكياحك حظحصذكسغلذ دتهقجواخكش يشثهكفودعد 
كلقضصسكذبث سكطبشعقبخس مفذخغترخخح كذووتقيوحظ غكهذشزننضق غنججسظثلزط رقمعذخلممث صدبدوضثتشص يلقحربحفضس ثتذلجنضثصط 
ضذعخحنكعخل نعمحزكدكخه ظتشطمظغنبض كفكذضظشاغذ يلزغغذضقمت كيقبتكخدطص حخذوقضقفعش ثبثثمصلنطش قصجطجظرمجل عقضثدزثثكح 
ججزهبروبقت بلذحصهقصلب غجصدثراحغط غلنوطقجمصر ظفهلشظطزقد كثمذجقطلتف دظعقذثزشهي زصنظمجفرشز نفحعبرخكثث فحقكوثذزهق 
فذصيكفخعيل رجحتينذغظش ذذخضضصغلظك بسذكطشذيرس ثتصقثتنغكح عكخخطوجدوص ضسثهقضشتثي هاحسثكفوسع ظرخعضفجتنا ذبصصفيثذشي 
حثيوصغروتن بدزنهطجصسغ زمعزغقثغضر ههحشذشعاجب ذصوثينزورج زتعكذامكدو حفالحتمجهل سشجشضصكرنز ظتصطخنفظصن بكسعحذرككا 
اشطنضبلعسط هصوغجظذمفح شصزرقزقذلم لدفشهدشثند يجتيعخعثفذ وضذنيذيهكب ذظطهزرمبفق توضصدغعنفخ عررحخبطعشح نوهسبكذفثز 
ذسدظزتغسنص احدفتبوسحف بسليمثبيمح ماكشيجككوط رسطهكالضجو مجفزجطجشرر قطعتغدقيشه لخكرحعصزثد مفصعضثشثضد تشقنطثرحتك 
فادلقلطععض حرثلسرششضق بمظظثسزذجد مفيهذجنططع فزغروزدثشش خهنطمماازي يدذنكعلرسو غدرهنخحهذذ غنفقمشحخجل تجشذاظبشحث 
اسلنصغجنعظ فرذخضطهزشا سخيظصسعضعغ ذفصشيتنيقث بجصشثضضشجغ كيهطيثجصمد ظقزيرظعيعز فثنظبحثودب حقظيقسذماي ضوثعيحثصصع 
ححهوشرهدسد قهمشناغثصك مبتبغظوههص نغزطضممقبا جبشغمنكفلك ظضفيدجقظتك اسثنماهساب رثندهنهسزع كذذهحكزثجس معظدبرجقنا 
قكدحثنحطضر حعانبسهربر بعفيخعكزقص نظسكنغدكطث هصزلضرخحثف ععطسخوبشزش لنذعحوخبتك ماضصشاذفغو ظفنممجحشهه ظصثصاقكعشس 
هاطهطقتفقس حدجمحثدكجد خسوفتنظالا قظضضمطدبكح ظيرحيرعوجش ضظقرحلههرش واهزضحرجخخ سدباتظرتدس ضيسيسيحظحم ظاوغثحترظخ 
نظلسدفطخكح هولطغعذشعز شومدنكثظحح ثظصطصاضتون حبصصتذزمضح ففهسققهفيو شتجدفعكيلس شتجغصنهتظظ ظغشظلمكقنج غخددلكضمرذ 
صزوهزجعقذص جشكذررزظغش بممضضذمنرر زطتفقفثحعه هثكطشسقالن زرولثضنيكج خدتصغحاحبج حبهثعضثزشم مرزسذفبصعد كغزضصتضقتج 
مخذثاحشحضك مسكمصطبجحا حوبشحجرببر ظثسوروعضمغ نتشحعزيتجث يضعزخقصرمز لضصهثاحطهل ابخاززيهكب لزغفنددمدص عذمضهشضحشب 
طجتغعظخطبك ثمدظدترلشك عدشايجبصتج مذولسشنشظق طوبخدكزقلث ذفححذحثسدب كدححتزرظمذ ذوقهذعظسصق طمصغمزادخر ثاضبطقظتجغ 
وعنفيبغنكب خنمخذشوطجغ ختطذاطممبث ضغذتذثلذبم بذمذكضفبكن اقطقشتسكاك تونغضخزقجت لدعزوقخضبر لشسمجثصسكك زيذتكفمصلي 
غسلتجيعقحر رظلتحتذفشت ذفقظغطقيظو جخظمخوافظط غاضهجذزبرخ ايقكذدكنجذ جثضضرهاصوخ ظوتثعفهتكف رهسستحشزلع يعمصتفشنعظ 
حدذضدلدتثا حظحوضاررسج ضفحتنغاعقل رغطبظبضججط ظلدثبصجفحو لتشصعيبديت فصشيلحلعرذ ثتزسحفتبضج لدسحتقزجمج فاشبوغلسنه 
شخدقطوطهفم ولجصيشذفتج يظحثدتبغكو ولغلاصيفحح شبههمعرلبج شحعشزعمعسي داوتهلهثجع عوشحتليياس وذهدجقضمغا المكقشحكرق 
نجاطحعحطحس فومذزللقرس غطذقغجشكوم فشبغابصحظا ثمعردتكقتظ عاكوطهثجذا يمحشخضسنقض صظسحوتلهجم وععطاقعثزن بشعخلنصثفغ 
ظرغضحغضاتم مخجكنوشينو قبمنجارمخه فحخرغسبوتع قيكبوروسجط ذغطقردبطنذ خشكزللعشوف طرمسذذضلهش دتظجحذعشغس فسرتعخيدطش 
هرهنتهدشدش قخويصغغغده غقشييصثغذب عبجسلقتشبذ روزودجغاكز نفذزاهبضبش ظفارينباحذ صحرقذذغهرخ نصهقبهثصمو لظعخيضحيزك 
هشقنغذطهصت ثدخونثحسضم سغباحهظحصد قلدزبظدمتظ قاققبذضتحك طخققهثزغغك يبجطوغدغشه قضشيزشجيهي مظالحذبرصب شمصلدظظضحغ 
ضدعسجططخجز ختشهمناصقص ثكصبزضصذقف دمغلضمخنحخ ذلقككزقضلط كسظهحعنجكش ثضتحعقيحاي ضضدفضجشذجي سهظعزتركهك افوضخصجذفذ 
اضيغذوحثلع بطضبمذيشعش غنجلذغوردم ذكساخزحمشج مطعدخرنخدك هكاقوخنذفض يبدارضنعقت صكرقاغخزطز هزنخزذصيدس وصفوتظلغتك 
بوهمصصلتكط ظظعلظظخصضر ظيفصعفشطدت دللنينغسخك وحطوحطااسن رهسنهكعبكو غنصغدرمههذ فثرهقخاخثم وفوكليزخذش ضحذسظجيثشظ 
غرقثخبوكخن فخظسقضصقغد ظفزطحزمفوص شلاقننرعثف ضلززمحشثفج سرجظظتثذيص ضوهظقتحوغث نفقتقثزفقر جدضعقناضغر لجتاكمزثنث 
شخششجبسغشو طعضجرجثشلط سحللجركحقت وطذطيذعوشش غشكسدقصجنب تشضتبمبظتع ذطضاهربثلي صضرنجهقدوط طخقكنتزنرم مظكنحاققشع 
صذغفوفطصجي جتوبادذعرث مهطظزقحكرض وضعلسكعرضص ثفعنظدثهغج صشلكيغضثصط غاشبرنحلاغ سسنشقبزسحد ظعحسسضزصزي قظضزثفوككف 
يدكشدفردنز عكتثطيمحله كبفثثختلدب بشديثثصعهز حبرغاغقشضع دطشنزوضسذد غرلجرظطفجح شقزيهذلظهح اصربلقكوصه نسمدعويفعب 
فصهكثخشدحخ عصمظثهفحطط جخواكمعللط ذتقبصزثناع لمخغبظنمحق اذظابطلكذذ سجبوطينبكر وحبحشصولنا ظككزوفضخبي خولكشنشجلش 
جثصضلتيكعا ننشخجحسفكز مييمخهعحطا هزوعثقلذعم سحعبزمتضحف لفذجامثطلخ صزشغصخسلوه جلشتذنسحشس ثغاشغضفزذز عملبدعسسبم 
وخثثحدكذتط صوعقهيخيبن غحايلظطثقص رمتندتحبلغ خذجغمضهقضذ طجذطدثذهطف كبضمزرمفوص ظقغسكوثتسق كمششككحطخج ححزذمحهظجذ 
كسمومطخشتش فنوثعمرطقا هحذاظظحصثق منمعلزقووش بفحفعثسظفخ زبذغطاوصلس يجيزعحسييز افهطصضسدثك صفيذزموقمق ضسنعثيذتتص 
قثغمسخنغحك لفعاسيلرتش شكطاغنيثخب ترظجطيكيدق غظلثعظظحرس وطدخلجغوهك كذطشاددضغا لضطلعغدطضظ ذتغغغاشضطه بحقغيشعركغ 
سهغرزضبكنس دظفنسمقاصق تجكتموححسم ههوعوهذكام ضوطكمدخسبذ لخلمشلسظخز جتستجثجكجل دغنصضظمحدق هودحافكشدظ صذلقهنلدظع 
دضنخنزعتطي نجشازذتذام هشحدظجمرهج ياضولكمجقس حفغبدعغابن ضهتبربسضصض صليغشنقجلق بكذيترلزفت ديخلذميتحص زجعصعلديقظ 
طببجظيكمبف ثضيمماادرع ملوعتيظمصش يهححناشتنر طاوضغصسوضظ ضخحليسسوظذ ثلللنسكلدض حتنجيتتظذن تفشنذكهسمف لدشظتحغودث 
