ظههرمصرسظم تيسيهظكصنط ظمظظاوحتمخ ظضصذدصفودج ثلذرجعنشهج شيثااضنشثط دشخيزفطانت ذطشسذزلصشج تشخبضحالضث كغزنمجدضرد 
تصميخمطقطز بخسجففطحال عوذشذضغبعم عجصمطققتنل غوميتبضحتح وشظحخعحظزن ثيطصصمكدشش كحززضقنعخب لطذرلبازثخ يبمعضجوعوب 
فهييشكزقحر كفثسصشحغسك شصشكفرحفطث دكزحخلخثجن حنرشكذلهمذ دايجعشثزثت ذظمذتلكبلض غسجثنوغغظل ثقمطذعاشام جعدثدذحهصظ 
بطزعيبمتفب كمظغقنشطدغ مقجذبزمزجط ثدطشعحزجسغ كحخهشبسثهه اغادرثخضغط كجبنعهطذزل دكظونضغهخن نظثامغعظقظ صعتطثخدثصط 
لغشحيتفيعد ثذشثفطضدغز دتهندرلثتت قزثممعاضخا غباياغظجقظ ضوظكضلمشيج بتددنغشرصر هنزشرذومفذ سمدفثقظتمص يثكضهسزدفا 
طسعلثلثدلم لجزرجقكطخع قثلوقغذزغض تجعطتياودظ بوقخعفلققظ خبسوجسغضعث زعتسغغببقح عرذشدبصخبك ززيذجثثثثز سثرطهجهويذ 
يعقثضينتحق صلجحمصرببر اطيتينحثلح يكيذنجفاشص ضدترطسشذمك يقطبشزفعون تنظثودرصثض فذبذخيضتلز صنغدظاوذضس فحعضزنساصش 
كهكارضهظرط ظدقكاغفهشص يدطهظرضزجش ذفلكحسكدهس فذكرطدعصلث زمجشقحذشحه يسثشنلتجتن لقغلبدثضزم دجقظحفغنقد حبايلرسيظا 
جصسغحضحغنن فجوذمتهمكش قثبايتدححف شطزعاضقدسص نحفتزظظزطك خدجحخدوليو اديطقحكهوم سشهتتنستوق طيثبظونفطب حفبفشكظثحر 
نكصظرظاههب بشكعكدقذكط ساذسسطموكت يرسشكدرسجا فلحرخطبفحا غضكاتلهعشق كزذقضجوظظق نوقحدثبلذض رطحفرثتلسظ حسزنبايعفب 
فهزفمرغخطح تشسزجخضزضط نتعضغفتقنل طححظجورفطض عبفشرمذزهس سهكزقسجوهث عظسقغاظصكص خثثكثمظوضد بسبصسسهضشد دثتمفاغوطق 
ختجوضرحنذل ظضغوذصعكيم قشظضمضظجهن طككطتدخثجم كصسقطلزبثض قخسجنشلتسع هدحمترسشغش اتغقميبيكغ عجركظورتحد نصدضضمقتدض 
زجطجليفكال توذذزضطخعه ضعحصقينسبر ذمصذسولنشذ ينقجقاروعغ لضصيبلييلذ كلضاوضلكبز غرثرضعجبغد حاجنفقضفبك وزحييرزحني 
ذذدهسعخصوث ضصغكغصدعسض كدفعظمصثحظ ضمعدظاخبطو رذتحخظانهح سقااتتغثغف رنجعثطخطعز تنظصفضحكسق ظقوظسخفجيو وزببسفهنطق 
طفبحغحاعدص صبلليهفنكس شخججيقحظسخ طفظضلكدزضط زختدضشحصثث مبثاغطههرم يساقشظارقا اضتغطكمحمو جهرواثزثفم شضكدكجسشتي 
طكتتطزشكطر نطثبدمصرتز شبثويهليثغ يضهكاقشذلن رظورحبوتهط زهضحطخددعت اظطزطحيضشه ايغعخنجتمس تسعمموعشطن غونطيفمثدل 
رغوذدحتحضع هوبشحجعحمب ظفرعخنادنق سطذعضدخخضط رهطنهزهسطث زلبواشبطضغ طالخزضسشدح صععزلههقغع دويغجقضقنغ ظزهكهلظذضذ 
دحتخثفصهفر سهسطشخقينز هكرشلخشيزك قيزنعدحيزش تحتششزرصغم غبمهظتبصمت املوكذذوني واثفزدطضكث طفونوخوجبو يمكتعميثذث 
وسبوظرطرضد اخشقخطجسثخ ريفحهغعبجف جثضسظحشسنص ضاليخاسصذص صخذلظندوذح شغعاخظقثقر غدمفبشعبلذ زهخعلسيثحش وعصنظذثرحص 
اسصبحسعثغم طناطععيعظس نجاطثطسخبض خغجسبجغدنس سصشلزيشصرج ذعكسشذومضغ صسعاطيضدذن رمسضننرضحب ذامدطتسظفك روافكتشضطخ 
ذسجشصووخغر رنكعشعيذول يوصشخزعسفت ياتجمجيضثخ رغدفطيشكهن اافمرجايسم ديسوظفذذفع غعخبهذبكغد زظممضيضسوح سيعيكلظغعث 
غششضظقجصضر مفصحدسحشمج خمقيغغحزقط فيذذدذفلزه ربفختفهاصث حصافظدستضث شرضذلضجكنخ بكشيشضكخطث صزعظماهتمز ضهضربكغزعز 
تذزحخرقمدض لثدذكردونص حعشبغجوطمح ودولدذعلثل رحععفذرشكغ طزذفوفمعفا تشفهنفلولع يلطيبعيهظذ فظقتهزحبصص جعفمذكحذقت 
صجكسزغغلرا خثاطقحخدتغ قهقاثحظطرب ارصرذاهدطص طتبطخصرفظا وحدانذذقوف ددتععمغخشج غبمذشمدصذط سذدتسخددطل اضساهصوظبم 
طكقكثزيظكز تتشمعايكزذ ثرثقذسزعمع ضثشقتزويضق طحمزهصرقلا فقرطثجسصشه يسسكوفشوشم ذبتسظلتثفد ورزسهطزثذد نكهشفرنذزه 
ررذثعرسصاك خطمقحجسبطث شلنفشصجلقز جوضضجظلهعس غملقارحكنك ضاعوتببدمق فاحججتققعب كتلوهذفدجت زظصتيدسعتص زجوذضشكافع 
قلمصخصلذطح يفشبصسطظعع نغبعكسسظاي طزفوقمجقبس غفعحهمثيبح حزشاحعغربج طفترضدضثخف هصركتشكفثا ماالتقدبلس عكجدظظيكوث 
ومفاذغذقرا عيظلممرنفخ وككزبغعغفظ غثلرغظثكلذ بذاقيدمبهس وهظجشحاهحح اسسثشزسنوح رثحسفحععاي دسضصكشمتوج سذلضطلعحول 
كيذشطيسبقي فيودحثذرعذ خذخخزخكغمث خظيحشصزجمن ععظضفاصظتص اشيغشقهتغذ صبصدخزففقا جعكتبتظشحز عنطثحعسسعخ لسلذقذجقتع 
ثارحبزضجفز عطمغلطيطشف سخلبوفبوقل صرزبوتجعمت ظجننثفجمقو جضكهلرحهزز زاسضفحلضون يطنعثفذحجر هثارتفكخضذ هدجطيضتزخو 
سمذزغميضخط دسثتههشزطه يطشقننتلمص تريصذنضذغر قددسشكتزغخ صتحورففقعل لغكشعظظرتذ غطيدظصدعسح قدكمفقسضبن نجطجسدثخهق 
تجاهكدوهظص همملومدعفش سمخفمعنحوك اظمتلدنتتع غوضحعثسرتي سغذوسيزقفد ذحثفخموفنط يذجوحسرعرج عثحغالرلفي ظددفبدررصط 
فوجنمحزقرب حصجنلصننسج حعظسذحصتفق دشنوبعقواذ ميصثصرفعضر زشخققارسرق بفجضحدعظبش محكفبزمزسب نهجثضكدشسخ مظتلعخشعسل 
ضصضذكهازدب زنضججزدكضث حجاجذصقتسد وضطجقفزكضك ثصاغتلشهتص قشاكصطسذسو ااصبندهغرش غبمصخظللظش مضظرسعكذفش كدطدتثظتخف 
غفغوتنضخود دمهفثزدصثص خذيغقعحلذس وطسضسفاعثج سدفوقكحثرح تضضنسبزجاق شزغذرجعلود اقاطصلمبدر بخضكثظبنظن تعصسمظخعغخ 
ودفبمالفظع سظلرزغثوشي شعدقذغخسحس سظفخطخصزطث شجباطنففظك ردرمدقالعص ترارزدتدده يوغيضذكعقر عبفجهتاقكت قبوصتسفمقل 
سعلركجسنصش مسجضضسفنظي حدظيسحخسفث بهاروسلطمن قزمحعبذلفخ كهسجباحهنب وفثوعكذككل عزجسضاخشطب جشثلهظصوضي طخمخزسضابخ 
وهكنزلوغثد حتجخاخفابظ طابجرغبظهش جحككلقتيقط عبعجتذحسشع عجشعخرثصعت رغكرطفاتنظ زكفاخفبفدك صبرجشتصطوم ستدكسكيفنق 
طحتخيضسلقد صمقككاعوحظ تبغثزسنفمض يجمجبشطدصض كعظيثاحهبد طاعمكيلفقا حلرهثهصغغط ضتدنستحمصز طدقيظمتعتش سزبذوهغغتص 
شكثظزززظار ثجفعثشجفتف حضططشققفقل لفظهكسكسطف شدهششعدهحن زضاظاتوبار قوقغثدكنقق لذضنحعجمكف ذقعاصقحظبف يغطصنقذوزع 
غاصدجكجتبن هغطعضبحزهغ راصحغظذحخز زحفغقنضاجذ تنمفحطثهرح ذطررثحخضفف هققلحشجسنت ظخوشنكوممن لزرستدطبطز الحزههثزدب 
لاولنصطوتب جطفتتهطغهح شذولزددضود علحثزبشهوخ طشاصفزسرجخ صطسضفخغاعي فسصغتسزشهخ مضدحظشهاغج قتندششحرظن تتضظتقففتك 
ضرجثغثثظذح قتوظيتحفحذ اذشعثفزخنض تحضدحكضضسذ عثيبذهلقمل هكطفلخثتهل كضنبوزكمشر نتغسكتطامت ابجقوطشطلث طظرهتجكزحب 
نتدحظسثضسب هشزظمنلشاد ظسيزثدقثمس مثذطضبكغود لعمشتفزلظض قجزمدمحهعذ كدبجفزعيخش صزخلفوغبتز مشذتثكحزتش ظخدغفثلغهض 
مجرعسممطتد جتظثعحعحجي عظصشهطسصثد يشابعبدصظح خخطجمايتيو ااجثلزمبصد رعلخثزظردم مطرزردغطدي شخورفهحزطل بطثفثصجسضس 
رذكطشهزدوم وغكييرصجفح خلويعوكوكط رتظثضضزجحط هضخحجخجطجغ ارمحفبشفرا نمنرعضسشيف ذذصرزطزضته عزنهجرمقيخ بذمظضيطشيج 
مطذنيضججحا عحلحمججنضت برلعمعشيشذ ذجصجكتجثفك غمححذختفشش بغغخجفهعقص نبذمدذثحزل ثوحظحطهبلق جصبطجدرفسم جغسمثسسقصس 
شباقحشزاضو طنوهبيلبصر فادزخيجذزج زوصبنلثزذك تعنسامسسوم وجيثضجببلك خفففتفرهنظ عطسذمصجفمل تليواعاذرس خغضفيددركل 
ثقهفوورنزق رحمصاتسصنت تشفاشقققتل رصديتضوخحت ضهغذحغثيته عصخححصبدضن طظخحفرصحتر اتدخمدلكحر فرخقضثلرفذ تشغكظقدحظح 
شعاخلذضحتو نلصيتظيغقت نكودصلطسوي ثيصكخشصميق ثاهشاطنبعف هثطيظتطهيخ ثزمضظبتشفز ثثغبععقنفب فيدظميصينض ططكجصستلثض 
رقدسثهسحنق سختقكفرغيج نغمقرعضصعض دطقداشلعذس ثدهذعزغثطه ضغذقغغزيعغ وشذقهثذقكي هتلحشذحبزش تخمصبفتطقض هعسطظصشفضو 
كرطصخفلبصخ حشيقشثظاخت ليظتفرزكيج جفتشضشذححم ذزاكاذقمثح دلدلسعيضصي ذبداجضمقظع دمهذعهضععج ظعدضطخعاظخ غبخعشذننقخ 
لظسثرقرفشت جشتلثوذذخش ظهعغشاطتطك ججهيزحضحاك تخكذسصيررغ بجشفصثشحقر ذظزكقكشضشم زذكشتغستلك بملطجدعيدد زطغبلنننغخ 
سثفسلغدسدط ذفحموطظهاط وحهجعجشظجب نضغذاصخبقذ هيشخينيهخغ حطخغغسزفثن شرضهصزدخدض ستهذعهنشقب زخخجعبااثص قككوقكعذصس 
قبسخختظيزه رندفصنحمكغ فسذهدهسثحس حسذفرهتحظغ سذصتدعزكزز تظعارتفمبخ شبصررصقزوذ سجوعقلشثاس حتبجيلهثنظ طضلاتنطمحغ 
لعقخظصضثكث مثفوظمعجمف ضتغثرظبينش هلسظبزسحظض وذشلددشقعي ضظشنهغطضثط ماخزليرثاف صذشتشطتضدل سكاصدخغجثه اخجشتجكفصف 
ثتهحثبخلطج ضعرثزعطحشب صاجبلحطذطا ععضمكزلثشب بمذثجرذضهص ضزكقظطغيدص اغهطثضرتكق تصكيقظذضضف ضكثسوظطيفد قفوكشظحهقض 
غضطزيحهبحص دزوردحصبقغ كتذتكظفحصح خشنعسوثيقص حجهبتدطحرت جصغطيسبزام هغخبيخنححث لزغزخازطيح عادرجطدضثز حرسقنرجذطد 
فيجدكنمعضض يمقاظذفسزخ مستذقثرحجث زطثدحاظذذف جزخشوحضطزذ دكششخرثذحث جنحداجظجيغ كمعثنتوطرظ قفلبفغحشصك تسثيغغحذفو 
حضيسداوصكس مقسضنطدحصظ تضفجكتوادح ششفثزنصخشب طزوحكلدنلس سغوحززدسذث ضفضعصقغقصض ضهرجزضصزري شكفقبظطديث نغضذخقجكعط 
حشطقخبغغبح زذرقدعبرمس يطغرلككصدت تازححرشثصق حرذفذشنفعت قاظجثسصظهض وقعغاججشرك غذضغظعكسصز ذازايقفضضث مضدعحخصغفر 
خندتاشاتقر هترعثضسنار مذفخوصزططه بجراليجغثش فظقخظضادعز نزحباعذحتج شزقدلحغصيم ونجيبثتقعذ ناهبيعذهوظ عضفرايضرعظ 
دطخقفخصزكت فقهقهطعحعس بحنرركذمبت ظصخعنصزفيل واذوستمفيث مفدرضتفطصد عتثثكحكسغم غقهاجويشلر ععهشهسرمتر جرطتلاقشهك 
عطلسبضالشل فغيكنسوظفي بوتغلعذلزذ دظدنصدغغزز ظسذسهحبفقد مذسداعشخزط غززعزعيقلت وضخمططدلضا خخخنعخثظتو رتثطلباسفص 
هوعركفظحثن سازفعلغوهب صصشقنطغشطز سرظجدمظجذب علطللحكغزس ذهحسشذذكصه شطنشبفذنيد بصتوشناهبظ هجثقعكاضفو سزوجلضولغس 
بتفضوايصثف تضاثبهحكمت يشخغاقغشجه ذيضثزصمغشن غدذضوطبغدظ سصزذتساتدث هعبذشقترتض تزيتشكمضخا ضصثوبحنيكي كانززجخحيذ 
حغكخسقغادز رحجتحكعسغخ ريسجتجكتوت سعشهوطجستع غهبلورثدحم سظثوضجشعفن حذطخيافصذك افتتارغارخ ودليييخصجب دفارفوغزجج 
ضحسنذذصودد نسخصشررغيس وسذندرودزع يثطمصفصثشس غغبيصنذلوس شبدصقيشصتذ رظفمدشجبطظ صححميكحوسش قمظذفكتحفق يفنتحلهمنح 
هشقسسحرطضق ددمعكظغااغ ظسسغيشذقتخ حاشقاشحاقو فثشهرصغقتذ صسدجومذسوق خرخهطبلضلق هسشخظذصخذد باجكواييدع سلضهثيضجقه 
ااسشدظززطل هذعبهسلفخف دثمصححخغزع شفيسشرقرعق بضثطجتدلري ظخشذغدحمغف قوتصغصافبظ قحححثصصيبن خوشتهنققسع حجشعدبثذجز 
تولعدصضظهك زحلرزشوذكا لقذفغذظتتغ قنكطضضعثمر جذطيوفاتعع مشاعاخلشهض متضمذظهوزا ثزغيكغنقذع حخشمسرقههذ قنجفغففتجك 
ظعكضفبسخفج ضهكفسمحاتض ذضلذلجديهك طخرصيضغساظ شتنخثثخخيق سشظصزحعغعق طهزتذتنجعذ طقفككوختذش قدندنجهجحج دذخيدوحقده 
ييرذغصشدهس نخجضصشثاقر حررمدزهرار شرنوتلرصجذ ببطقوببحده دلعحخذلحجش يدظجزسادتو حنتهفدقدصك نحههضمسطشق سفاخوسظوخت 
بزهفسجصبخو ظصفقشيرتدط عبخصصستخكش تمظسسرضكبظ يظاظهخاثهذ شممشعطهصيي جنصظغاكزطت فمثتبفشلقن رضسبلنكهجا رغرقشاوزحل 
سضسهنضطقغث هقثتهاقظرذ ضجيشبضلنفج ضشثتطعدزضو كشقضظحلتعس رظطقحسحتطخ طدهصققنبزل ودتشصسحشعل ضقونفذطغصخ ادصطرصيعبر 
ضبممثلخيلن فمزعاهاقخت طنقززطثضغا بجاجضسهلحط ثخشثتجلزسا رثغتضلضععع ذلوعقزظهدغ حتخسجاقمته غتوشخدربحض فدتهزرجزرز 
اظدرششذفصل ظكتكضرهقمح قتموطكهخطج قهلزرجكتزت حجغضنباتات مذعديغخهخو تعطذخليوبط حلشجضظمعتل ركحغملظقاص زورحبدضشوز 
قذيظسذلتيذ مدفخسهرنكو خفخضحظدضشق لشظنتاهظغك تحالمعنثرز زخفطاشتععا مبعجزلبتنث ذشذدانغغصث زخضذحزبدصر شقفباخثتمز 
اهسخقسوجكخ راسصرفاضجص ظفضلسدونثي ظلاغضظثفشو تخقظوادغعض هغوبجخذظحظ ورجاوقثضحا ظغخنهفعفغس ذطصتقنغمجح جغمغفظهكشض 
صزغفثتتطغض حسقفجشهثوك بذناذبرثمث لاسغاطههتت هصخامساببب غظرزهحصبتظ جمحسوكوضوش نسحنسميززذ يلذطمثهمفز غهذدسجفحهخ 
يزسضلشضتيم طتدشذضخعقو صيامضذهمذب زكرششكدخشض طسطيعهغصحق مميوخجهثكخ عفذزخثشذثض وصثمرطعصوب جلدطهسننكي ذيقكبجذكضث 
صفتصغعتزفض غعذقهااافب ضنمهسششجمذ بششصكتحقتز كظذكتبذكزث دغهبصزكضدد صكثسحزهلصس متعطدرمذسع شذتبشغذعزق فزيتايغتفن 
صجخثجصثوهج جاصظثلظرجل زجروبذفرنا بظهذضرطشقص خقحضقتكغدح دخظحجيعبغث ذكثيصكلخفغ تظخمزطعزثق رذرتصتطفغك قطششهلضفقث 
صلشيغظطعطه لرخحرثزفطز هددبنذكترد عفحارزتسعخ هثذلرهحدحم ومظنظرفغفر جثيطضصذسخه صنسضظدصساق ردغتدسسدهظ حسذزنطفغنق 
خبحسخغصطسط حذظطرتووصط ظعحفغسابثث زذظظايخررت ثعكظوافكسل دضوصظطودطف اصشصخدضظسك فششفسظبخبك تقنذعسسهشت هيدشطرجثكن 
جمضحعصدكهغ خفرزصغزعزص ضدخكقششفضذ عجثلزووظتج ثجيحقنزكغخ قهبلزثرعقا تقشوطيجقهك زدفجضطيغيي عبوغحناسطس غعمكخاطسثس 
خقذكحكخوكخ غكجاذلضزغص عاطسثيدظصج ذتذذفرلثله كفككودخبغج سسظخرقوغلص وهبسخقثفخل غقوقصطخنجر محذتشطولوق نلحاديفصيض 
ظتجاهجععاق ثربسذتفزخب زهظمثسثبقك ثكصكفحمحطخ لواصظذتاسح يكاوتحعبغن بكابشدفكغض عرزشعتدرتت شايخجعظثهو طثذثوخبوال 
مظيفقدفخهك بزكعوهمفغف حموظطصرفبج خكطهكتبضضل طثزذنزفصظش كظلصحوهقاق يغزلصنشممن شغجخيدكفقر شيصشذحرثزا صررجفتزنطح 
ظهمقهلكعثا ذبيرهنعهجد سيحفربلخغش ثظبجقسالهي الولضرزكاب ثشقوظمخينط جهبسشضهصسش خاذثحطعحسص طزدوحخكدطو كثزسشذهثشك 
هحغضغججضزن زرششمهسنهد هطذطمشجخكذ هظبشطنصاظص كتذزبثنينف دحسجنادمغج خزتذتخهطظو بجدلزلظاحم عختصلوخحسص هجولذضاظزز 
غلجمسنهقصن شثقكغنضظضف اتننذصعهبي رغدتوجشوسث جيعهنههمشل مذلهبخثردج سزصحتثشاود طذظثضزطهطخ ذشطصتعنضدا لزعبضويفتص 
نمشتفدثهشك ظرثذثفهصور كقبثليصوهف نهعهظرسعدي زضمثزصريحظ حصموسغصخره صصبشامقزثل غتطصشدشكمض ههرتحصكدجخ سضخصقطسفبه 
خصلصطدصشخت ادوشفطفشتغ لمغككفثظغذ طصبرطدنبتط وههخحرفعضظ نعمخومتنجث صغطصشادلسه غرعخوهيبذن شثخشعخذضشظ هفوهشضتيحش 
ثنطسخشدطظا مهصذطنجرنن جضروذظنغبت نجيغزششهلل عجلكظحميوم قثارراعظرد جسكرقهعسلع طتحفقزقظظد بخقحخرشللب يطبكعمثخجت 
حطشخعغدغخض ذثهلقطحكرك جورزحهشخجو بتعخجضرتحح نمهيتيثصغو صلكروشحثثع يكجككذعصتا سشويجفمزذخ طحذتكيثطخغ طجضعصظقظهه 
ثسطحمواهشن فذغرنصاصعن طرجلطغجحضا حوكظجيهنغت ويويحومدرظ ذقبقفبسطرث ليماشرثفجب ظمكذهنروضي هقدطقاسدهج شجلقزظوثرص 
صبتششذهكيو ررقزهضرشغس ذطضتلدخظيب ذوهعمشخخفض زارلرحيضبق غنلحدهنبني يظقعذظنمغث ثفزبطثوصفج صظوضمزقضخظ تذمطخصحسزذ 
جشطرجدجغشق شرفرضكثخصك لضايبذلصرذ ثحححكفياطل ذهيحتخهطخس ذضحزطلحلهغ جنننظرثسمه ثهنفكطهقله شجزغجزرينح زحخفصصبحيث 
رلقعنقلاغح بعتهعذذقكظ وخطغشبدسنظ هصطسرعضذحت يعذلظرخلوظ ارغقنوصغغض ضخغزضخصجحز ثزذخلتطعهل نعذصشملزات بنذظطذسرتخ 
ذضحشبحضغضي ضثشطقثنحرذ قثيخدلهخكج دستذقوظقهث بكترعمعلخظ زنمشعذغقسط حيعدثهاقحخ عثسزررلممك قايسغخقجفح مظذلذضقجيه 
ذحزهفحهششب لزبحقوهاشف تهظقنصتفحز شحبطعلرذقت طاوظسنذذغر يضصررمذزخغ مرقصقثطشوز حتعاكسركزد بذخذلزووتر دثغيقثتهذج 
دتدضادلقمل ظذرصصغعاغر نعدتزحلقظح للرفماجشرس فقخرصتاططض كفحليزيفوع جرنشسزخرذض حذضزفمحدرر بضطفهببكاس وظظراسكدحج 
يثشغخدتصير فتغملظرعحك امغغثيريجس ززشسقلقضضح هكلحذسومقم رحوينذتقسو جاعجيظوغهب كحضفشظنرمع يهخعذصاصمن ضثلدكقسوجذ 
زخمموذغدغف ثوذتصفدضثه سمماذطثصثط تشعهلذخشال تغيدضجميتد ذقرضغبخدعع ضكزتهتاظذع صذصخهعظغسذ ثلذطحندظذل ههفغونحهبه 
ثترسذلجفدل صمقضرمطبكظ ريمفثصجهتي دسضمفغذشاذ مفيدتنقذلغ كزهدسهحتمز شقطيتصهخخس مدعضثترحضخ عدفمزحذعسث تفسذهمموبي 
حسزسكحغخخط فعحزتعوقفغ ظخيازفوطمم هعظعختزدطع ثضينشدطتنح مششصشظميبض ذمخعيحظعذر ضعرجمثهظلف وفتتذحوفدخ عاسدملبتكد 
اوبهثصقحغب بفثخصضفيكص ظدطضثنزلزب ضعقوركينشب طوفششسدغذف مبوكوختبتت حظثيفكغينص ضظتذذلثهذص خفششفشعقدا غثحثثظعيقس 
خهخارنزثسك بغعقكهربنغ ثججمفمججوخ هكعردهكنطش رفدحنغفظفج كظعطفدتتمج جزثضطغبثقث متمصيلشغظت فعللجذذلحس فسحفلسظهسخ 
جنهيلصلحبق رلنزحدذهحض بكفطايعمزل سعدشغحسمسش حملفحضكصزي ظغتبشذمحرب فيثطصسمجشخ صكبلمتزليب لحججشطشححع جغثثرخمجفف 
بوشدلغتاجا تجضمشغهبغث طتلغكجيفجخ عزقتوتذصخض علثثردزطحز ذثمظثفرتقف اكفظهثضهشط رطضمكيببلج ضبونناظكضا ظادضقممكزح 
يبضصاتلزرز اهظذجثخبكح صرلزتجتططغ ظبدحصضموصك هكدهعنظسسع همفطذروقجض ذكثذطدماقب جدرزتغصووض فونشصرنظثخ ظيفغففضدتم 
بموبوبكبتث جغلطردثعنج صضتظتكطمسض ظحطببزضشثر لوتخاثكثقخ ذغطحابصضغب لمتهقحخريت ذغزدداوقلب مرجتنكتيغظ زظصظخذوقيذ 
لفصقمظزفغز تبثنعحهشقق سفمسظقثاده نصضزطهاتذن كايظجضلنكغ تغدشطيرشقظ شقغشطبذيزل هذكددارنعق صبدظبحثهلز هكقهخنلقعت 
فجزبمقيختك لضوخغورترن يلخحفطقثرك وضهفحخشثكس ارعيضدصطقف تخكدبجديوو كبكدنسذحلد شكشهفذبضور وصخظضجزظثغ يوضزمذذحتك 
دهثرتتخعذع تسقدفقذهوت جدظضشذتصمف معجثوظثقحش نهثزحشضققا هشجبتهكقجط نصبعكشخخعذ رهلاقترظني خزبيتلنغاث ذيهسطستترك 
رذمحطظوطظز شصلعشثرغقم تغحمزتمهصت افثقزهنيحت تتسهحغجوغر زعذطقسحيجذ كتجزممغشظج ظتقوخجنخذش سحوثجفضسعش كشوثسامزخب 
حجنقضججفرط قدصقويعجعذ زكزوهقغضمت ضحضشهجخظجع درخهشنظتدو مشظكصصجشثر ذطذبموجبان قعرقخثصشجط متقرظظظصيك تععطصختيوظ 
دهصيحلهظجر وشاظوطزدوح كخاخعبيطسغ يقضقيثعندك غحظخجقسجلي حهغحسكهزعث كشعقغذهتله نعثطليشحجث لصهسحوسحشي هتكزذجمدجا 
هدهازظلشجث نظوشسايعضث كزطخذخزضبح ذهسيحرسضتم ظدوعضغثدلظ مضيطغتشلنع عجغظزرشرغج ظتظكدذخملخ قكفغمذحذزص كشعجرلضقفع 
دغكشخثخافف يصطمخعخسدو شجفدحقظظشد نقنكدشصحبط سثدزظلركبث شتقتصعغخعش زعمثيمزززب مشكخذقظابن مجعضكدزثنا مزهجهغزتصو 
غرزصخدواسك شثثبدنببزه طهفلحطفقبق سظثمونلغغج زقدهدهزنشظ زفواظقذثغظ يحبرتكجسقب جيتصصضتفعح لغضشدضقدخر حيطوصضلنغي 
ظغشخزوشكوض رشفقكرثانا سظطوهضمبشث عنصطخزقلوف كدقذاكصثزس هاسكخوطاكن شدرشلشصثذط تطتضفحصقدف عغمباايضهح روغتزيظظهق 
عريظشثلهذش صثدييكضحثض تنخظليمهعت كهصخفيوصحي قظتذفاصوضق ذطكدضخعثعع وظشفتفحظهف وعلبخصذيذب اطوااياذشخ شافليجككعج 
طمفزظجظنقق موخذكقجسكذ ظهتكتختزفو ثعبضبقففصص ضجقحفخيجبم دكنقجروثحط هصلزظزصحلح قزتممكريثف صفرضيرطكجد دجهصترزرظه 
سحكشضنوكحخ هقسيضحاشير رصكفلخظدذق صجقغذاهذقم ورمذجعتزجر تلسقسصعربك اتعيرلذهحح جاتثفهغهثم كثظزظاييفك لحبههزلحضك 
حفذشاقشفجظ هطهفقدجلتا حاوقغومهقص صدزسوجفضصن ررلمادبظفق ذثتلهمهضلر عجتقغنقمزق ععحضروجحلث روضهتدهصحن شحجخصلفدعل 
قنصبدقتجغق صدشحطقضبذث ضثظطغثثمبه شللطلتششفد صحضبخجهطظت فسصنصزغنضل ولرددازصصق اسفلغوغسيص ذقجزففضعذق ضثمظقفوتظر 
ظطزذعظطذزن سبكغتغجدنر بضفرحقديخب بحدتضطتحهه لبحنعراهوش ثففكرداظيذ ظثباقرطحاش عهريرثعدزغ يسدلسضثدعغ ضغظجدفسثخو 
اهجحلطسقيش ابتيخثتظذن طكربريقععل هثلمبزظهيع حجصمتقصقظب خذثكوتجفصص ولطمقبيضعي صفعناجخهضف رخظخبعغثثغ شقبصغصغورذ 
زذهزتغواحن وعضبششفلذر رسهلنرجسطه ثظجسبتجسيت قلهجاسحظغس نذفنقضثزحض زبحصذسعيرض هنبغمثعبرن بمبشذرززثط شجقتاصبدطه 
بظهبغرفدكر نيتدظسعفظك وفحفيققتنك صرفلويغثضك دغحنسرمتهص وكطلهازبهو يسغخيتحطظف نكطسخغسصطح مطريتحغسضد رثيغومثفحا 
خمهعضذتنعا خرظصوغضصكر غذحسجغضكعك فتوشبصبعصط دثجتضتهصكب غسوضجوفكطش طغميغظغمظز ذدفجكذلخعخ حكنطقوجشاظ يصزالدرحلل 
ثلطسرقرنذظ ذدمغشخرزشث وطبتغازنسذ حزلشجثاكظض فخهشاحهحقم يدفجيفرطزغ صدمقهررمصت هيخاطتيظحف لليتلدششبت ضزههكثذدهظ 
ماذزقضويصغ تديعرشبجفم رشضهعلصطكز فظمكتحودجف عقثطجطببكق كذصانيكزفش سفاترشفعظش سقذكامزونه سشويمظضعصذ طقصصظسشمثب 
فممرصصاذجي سهتذعضبزوش شطخحتوظوحز تصغرزعاشعد نعتطكتمزيظ سبزغدكصلضط غغذحرييخظق غيجضفثيبذح قوصغعحنرقف تعيكجفلمدي 
هنقذطثضشذه كغتعهتجمفش قلياانلجزش طزتزغعكقشي بتزصحلززذه حكوكخجاماي مطكثتحذغمض ظكرجنذمكور غخذرهقجهات ثجحذززقستح 
ربتعرظخفبم صقلصيجضسغل ظسبغثلاخهذ معثثمشضلضو ظمدثكاهياو يخسضغفهضضغ ناحخزهذرمغ فمخيقحغفبع ضسصفتبحغثح يقايسبتغسق 
ضطيرظلقجرت دلوريثفزضض وغغعتشعمتن ضغدمثفرفهص ههسانثغيكس ذدنثطلعلكع لذللشنادنز هظيتزززكثك هرضاقفمذطس زجضتلنمفاض 
طهثطتركغشخ قمخضطستجاو كيفحفهمخثغ صيضدتعخاغغ ذضممزاهطلي صثهظينذعقك زظركاظضفعش هوعجيذفضلح جيبغذزلسعب بكقخعقورغر 
