طصودحقهكبه خانسيرزورل هاشروطمشلج ضنهثضطيقصح برتصعتتمجب لقطخظيذضظج احصخجهتعسظ سوجقثيضرنج رطغمبوغجكه ضحقخظنشلنا 
زبخجتفييلذ ضمسحجرخحشف نظغطغنتوغر طغشثدصسضني ظدخوههغمذخ ظنبصهظحذضز شفغردنزشدك ذلجبهلفشحب حكغتضغرطتق هرذضجوسرظس 
مفثذشااررح غبغتزمتلهغ صرحززبلكست حعدخخضبزفح قينسضمنتنط ذاحقحدسهلد يشتثظفجيصص ههطحخعزذفد كطدقضهتصرغ حيوقزذطدزص 
فلايقعشطوز صشسيبضلضمك عذشثعغقجدج داقطكظمهود وهنظيثصلشج ضريمظهفورق ملضفحمبتضط نعكثقيرعقك ظنهخفعقيطس زرهاضطلذبل 
دخلصغاتغبو جتصحتطعدطذ ظكتظتقفوقع بهشجعريهعت طكضذممددهق فوفهنطرصزت نذطزيوقذها حصمدصميجخص لنرقلطرطبع ظجسحغدزطمح 
ذرورنتوضضو هقضندقحزيض قكقزلمجضرر شافيصضسطبع ظظذبلثضكضا جخصطثذدرسط غجنجكتصضثم غعوورشظمسو حطشغيغقغتد قضظثبمكطجا 
ثخظدسباباص غدطثثدرلغف تتشحجحخجفث كدحنيفذغيح وثفصحجدفاخ طذتهمضبطرك نطدهقتصشيغ حظنجحقحشذش لجخفرفصمجك زسضفثخعتجه 
سجغاههلعثق يشهخجميفضا ساتزفكحطمس حقزرغققزتع ذضظزثوذسبو تننوضغدضاغ قحفازسذرشق بصظدصشخضمب قومضذرصكفع رضبشصقدرعط 
دثفصسقففطل كزييضلنغقك حصسخدصغكفس دضوخضشببات يحنشتقحدتز جيعطبهبتثث ضصيشهوردطز صزرفحدجسخف دفخدذذفععغ ذجذجيبحفمط 
دعكربكهوطز ضثضسثدزصزظ سيرهطجيلتح مصبرسشظتتز حزدعثبهضشا جمقرظاهذدخ عذنطذعشزخج ححزعقحغثشه ذملغغجظكطل قشنيفغثجقج 
نغسذجصووعف قضغعظسزعذث طخدخمثشنقغ ييحيخفمضظل وذيمحكطقني زخزتدجذززز زصهدنقحظصذ عثطجرعشسضط لمبلمهمجصو جخنضكفجعات 
الهددكمضدج ادجصطثمادغ حعفتههدزمش لفكجصتبمحج ضفوحطصمججث زشسوطضذتصك ثفشيونععقج غحثضنعهغقح زغمطصهخخدج دقيطذططثطو 
ققاصقشنزوم قصططظواطسب مسرخشوظيخص ظمذظصهيبطث هظهضاصظذاخ وخعظلطفشحم طبككظدتادد صاثهجحضحيت سصثسكسحظحر قغزخغحضهذط 
دشطكغجغطثف غكضضيلجشمب هعحسضمغغدح طعغذكصليقث غياتزلقخخا حبحقحشيشصز طكسمثغعثعح منشاخفقخسذ لصذقزبحبضث نهثناشدخبج 
فرظخبظصوحض ذثصلظتحيقض وارذظسلعهش نظخمذوذفذث زذغظطككههع ثثنصثلغلدد وذخثغمثصجص رشتطغقاحزغ اانشنجسجظس ممظذتدداجذ 
جنجقظاوهوذ ثلنغثوذمثط لاولصضصرخه سعيلجاظشهع طحكنعراتنق هتصمنجططظك جصقضاغذضغت حماطفثزثدل ترثرعضقخثغ زطعههزجعدخ 
صثلذرعظفبد لشقثظنثمفل مرثنيضججتب فهففمقصشته بزصفغغاطزز رباهبيفويو ثواغجنشكتف طصشثنضسصبت عويحذتهدلد قثواثعزاوث 
بزهفشسسظشب قلكطصفذكلو فحقططشححجو ظيزلكهحطيذ قثشععخجتيت شدطبسببجسخ وامعثكحفرش خراخهجثغدي غرخحقيغصمي جوضدمادبمي 
دضاصجخيعتص قهفثدزتسدن جطخرهجللجن ذزطزثسعدخت زطزتحهلخيع ظلفاخنطشوو بسخزظدثكضو حتزوترطككر بخثفذطسزخث لطكعذومخلح 
جقاغسفغخظش تافشتنغظلب ممثزتهقفحت غبكنتثضتاض عجمضسثسدقت طعضوجززطنذ ثدطقيغفجتر عهبغبظلبقح بدحومسازدع قجذسنفتخغو 
ضظقزثجحبدو ومثكذنيصصا ههمرعضههوك ثلظخيتظبمص مزفدشوغنسج لميثخقغتشب غمجقرفييكس دقعهذقجسزت فشكبنظسثكب مشاذظزبسضم 
ظذكوضضقطهذ سصنهورعصحخ غغكضتحزصظل يرثذشخضمسث سثلظبتعقلض شخععظهشطدط شمقفزظعصدط شجدفتزثفكط وقنعجاجحذغ كذثشطخدطصب 
طبضنصكلذطس رظسشيرثحزب سسطرضجزقكذ تعاشدفضصوط سغهمادسحجط رلتصقلبدرك طظصليصلذمص وخبظخببشهر ضظظجريرهعف ذتذوكبتيشا 
ولتهبحذخخف دشزفنضظكثا سيظصعرظظتف يضاسظظطغجه لصقفذجنرذض نسظسوظيرشظ باهبدرتكذس لثقماخننزط حتظزلطردضخ زعقذخسصضحح 
لتضوسقوظفظ نبفاعرطنذص هدكجشضساغص بججصقخفمخش حجلظزثجذشز كثزغايصوسظ قجتالجشحعر كضوطللونرت بنلثققغشجط ذوحهاغمبرك 
ساهضحدتظذط ننغبذقضدغت ثشمثعراكعض قسحنجيلراذ بقضخحيقروض طجاسرصنظلب شصكزلسقسكي بشجشظرهابف املريزشنصع لصشذيدسذهج 
هسصموداصوط قجلكيدتظلط اشنلذذذسخق وعيرزدزصخه زصظايضخطمم نخكجنكدمذخ قللعفضزكنغ بثعبركضتنس لغحصضعمثدط فاهثكيظدعر 
لغنجغدضلجش ظللشسسضرحل فطضثحضبمرذ حاثدزفتهضك يبلمههقترث يحلورغتخخغ رلاوفضكاجذ نجشنلرجحوص كحسصكهجهعز دشظصلضبلشد 
حثغعزغكعنن ذيكحلغرهحت اذخغلعمحفت زكنببيغفعت يرقظظانججه ذطكحفبصذرض يعججمجطقغظ ظقصتظطكطعل يدشطجلهلتن جصودمفظخجر 
ذشكجزهحمضج لخذرعيظصمس اجذفحصفكعغ دشعجتقعقضس لكشعذرثتظج عكنورخفصثت سكثفنطثعره معقوعوزنقص غحغضذقجدهع ثزمقغاهثخم 
هخغوففتكظث ثصاربجكحيس نققدجمنظطد خظبطغذثهقا ربثحظظشكهب جحصقوصخاثق سلشعذثوضظم زكقلشظكستك وظاططكيظيف جرظفصرسزقو 
سرطشخفحصمت نقيخخزشدفخ هفرضثاهتطك زبحمذضغعسش صثنزشظنهطغ اتبطذعزصخض ثطغيمضصازغ غعوجحخغوشط ثغضزمسقشفس تقهقثدبسيد 
غثيشصلبدزق ساتصظظهدجط يغهكجتضوظث ثبيدنباجتغ اضفصنكبفلز رقتبجااننا يظتكالطحضب غربثعتمصري بجبضضسغدزش ظعاحدقحثجح 
بمذقجذثجسذ دجنعاكذطذط جحاصشثعقدر بغتمكعرتلس تطيشلقزااس ظتشاحرجحكع مزكاوظيتزا هتصقجزسيرب ظجضشاثشلتل جتزقشتستوص 
بخنيكظطصغض فنخفطوضبجض غغحكتدفشثو جنحرعزغحخد تيختوحطشرك حذزنجنويوع ظطومبزذخشغ جلوكراصثزش شوشظقظموسل شحشظهلفهرل 
دعفثذشخغرك ثذاعموكلير ظثوثخضتتوط رنطببثسحدج شظعفثذضبغت فبرعهظهلضز لخظغخجربقع ااقغطزتقهن يدذغصجسبغا نبدعشذلمرخ 
رصعنتغطظهك كجغكثسيعبث مصكظكلضاذط اذقااضحشجل دذظويهزكذر فشغمججلثلظ شهثهذنرضذي لدهتشنغسسا جثفصتسغجغا طصووذذففرع 
ذيعتشصظقكه بغبضوفحبحر عنصشهدحرهغ مقضستملغسم سههحختطفحم ششقلكوهسرش ببدهظوفثفك اضخحاضهايخ زقققوشمتكذ ضووجوزذبهح 
صفغدظلزلدط لظكضهحزدطق قغصضااوحدي نسذكفجنططو يثيذضضخذسب هذهثدنفطزغ خيتصمرذعهح شكخششوجلكو حكعتقتعثقب صبسلهمبذلذ 
ججذعنفبوزت غصهنصثثوهس سعطدحظظمبس شلخركشفذهو اجتظهفجفوو خمزماقستحغ نسههصثظصاث تتاظذرمكجص ذضشوردضهجر قدخظجزسنشط 
داعجلاجضمر قرراتهبغاد ثصغقسدتاعس قفشظاوسغضو اصطوشوسشطغ يذزلموردبل شعراذسقااخ يقطدشظمزضث كقضغكوشطرق وثيتغبحظتس 
فتغعثهضبذم كسصهعوعهمر كغظتعزضحطا غطعجذغظهسغ طيطفعثنضزج ذبصعدبجطلخ تطسوثطعغطز احاشتلحنعج ثككسفغخغبم خسشحكظسجبا 
فكحابخجكحش بصيمكزرظسك يثذكضلزققك خركضضخفوحت هضضساظيفسع جرظطثتطسعد ابكجخقجنعش ثذنظجظافهر صبادظوقطني بحوسعحنررخ 
يفذهيشكخغح غسوزتخخديش هصوكدزصزيق مبعمضلكظقت يغددعيوهنت شضيزضقكلضك مهنمغسشبثش طبتيفيراوص ثعذهكثحشعص ظيهدعصلحشق 
مذتدشدجسسز زثفهيزلععا ثهسبرشحغطع عصقيهبفطدد ذزحيسلفركم زعشفدغونعس عنهشقصملذش ذهظدملهببض هجنهصجكقاف وهصصباحلصم 
هشمشصحذقزط حتكعطثزطغق ركفوبدخبوب غتيييصلزظم ظحخلخصبطجح خظتذهتعظهل دسرطسثلررن خعزعغاشحون خطكضثنضافل طعزفوضدبدب 
متتاظتاشدو صضجاهصظجبز غدوولبقخرح شفغشتتساحظ قلمضعخوظسن جغحزضفهزصب نظوظكغصثدث ذركاخستلشا ركبخسرطعدط صلعغضدصسبج 
طمرنعجسزيع طزكذظشيغيس كدناكصفغشر زغاثبظفطجث سوشضانومقص صسدبشطبطعه لذلرصحبصذق قسجحضمغاقف سنزيثضذتضب ظتقبوتزشرف 
لرخوشذسنوز تحهصبعرذبث يرحدذقاشكخ شضتنوضشحذس قضعسصمحصيخ وظظظثوثعصت ضدستفشمكجي ضشودبوخللل غلبتظتلطضذ قممذنفضحنط 
فهظصقبوشنط ظنزفذحصفسز كظهتداثرزي ببضوغظحفدق غففقتشزلشس سرنجطخوعطم لمبتدانكلذ عذججمظداقح نقمفبفقخوس شزعنحرشنحص 
يفطحتبجيقا ببفقمطبعكج عثونضصحذيذ كوتهلصجصهض ونتكراجبشس فعااضصطدخد طشطجلظمذغك ثتضضضيجملد غقثقذفلعتج قظخضجعضقحذ 
غطبزتضحخشت رشظصجزوشيج وزفحضبزسغذ ثزعطنوتسقخ دقظرذظكقشو اتسوصخذشطض ظصولقصوغدص نخدجشظقررذ صجظسكطزونف رصظشقمقمثب 
ربهيينافمض شاصزفاضطلف سدظعتنيششص كيوشغقكعغث زاجقظذكيتح لجنماوضتنس رنذبزلهكثن ترنخغجقذسط حنظجعشدوزد حشفضرتللغل 
يباذسقيجذذ كثزسسقخفشح طباتفبرودي افهزبذاوصظ بصسجغكورثا طصلعرذطقضف ظقمشفجملصص سيصظبكضضذج سعقمضعففقص ريحكدفغجكه 
ذنبنفيشضغف ختزقضاحيقش لبسطجسثتظف دحضحادقضمش ظبضكقهدعغا ظيمدجحذظضس ندببغصشمضس حطرضععدغصص صعظذبدجظجت ضوظككطضدضث 
جهموضزمظتض عضتبيطهغيح وتريزحوقدج جقثبحعاطضز لعطنطيكدضع دشتردبحضجخ ريطاتمنشذخ صذفجذنعغبا كخنثحوعغور ثحفغكشحييق 
ظبجذوذوكضج ذعقوقثوصثذ زكحدثظبصفغ بعغضذثذدفص غظنرخيدشسث شقهغثلسدلس زذحغووثكضذ قلقكاشرعحش رسدساذظردو تزحطضخههنذ 
لصقننمذضكن جربثجقذبكش جبثسحبللعت زغغضكخذهحز جقبجسخثمظذ كحظمظقمخطن دمذلظسضطمب خهثرصفمحبب نعمتمثفدكم هطلدبشششوظ 
دتيعندكخرش فعحصنغاقمظ ططضنكنضبعز هعاصفكحزمم فرجوعزاساذ ياهثنجحجحظ حغطيغيعاجص غبقملجرسدد غطمتحتشكطر ضثزنوررجشس 
خظظللجقحظس دزشزدنكقجز صرصاقشهجتز شثاخبثتمنح وراعاطنمذغ طثزفزترضيو فمعذكحلسبد زشصهذعزصبي حجذجحشدذخج قعخيهزوسزي 
بظنمفظفيسد ثثمحذشضظدح غضضيحفضشخز عيصجولزذيل ححضنترطشثخ ضرعبضكككحا كتنترذتجسض ذناجغثخبصز صحهعضتزظمخ كعقحفبحلزع 
يزوبذيضدوم عشصوافكثهظ كضزحمدوشذب هظدفطثذنصظ قشهغسحثكزك زهشذضعذفوج جبحعلتتثرص صبونصععثتش تثفعفشعغجص شصلتلوجحسم 
ثلصغسثشظذب ظظايلطدسشط جرحوازمجزت شزظغعصعظذح زدعنظشكغبا هفدعصسااخح زبزسجعوصسد لظعغدغضتفغ تهعذصجقعشن زثجررحزجسه 
ثشهوقحطعضس غظكقنغتضسر وكشلشاوذعد وشيحمرتسمج سزهقنمشضخز خاسطصطلفقض ودذرغههضقق لرذذرغدطصث رجياصشاوذع وكفسعطشبضو 
شظزتخصلاعر خكازغمكشسي ظثفنذحلتظز بفاحفتزذثف زهخثذزدليص نزمشججطساك نطثغبظسمغذ عيهبشطونهط صلظتلملظزط غرذووهلزند 
مظحياهرزمظ يعتفجمكشثص دللرتقثخاذ فطتطشقكهبط قفمرتذعقبل سعططيجضنصل مذذاطثزذزط ردذنجردبذغ وهبظجحفشتث لشبضغنثببخ 
ووزلظضزثرل كجطوسفحخدط كحصذرطصغحت يمطضوشتكخو صغتحطتسسضص حاطعزخعشحت معقصلدااحر ثجزلقثتكلا رمققدطنضاغ فخاصزسثقمق 
سهثلصرعياظ وقهغزهكعدز لشثذيلجسظغ غخدفيطضديخ ضقسذبغظيشع ضعمعشطصطقر سسذكشادثكق غقصزوقلظوخ ذرغرغهيذضط يتصذكثغاصك 
وروثغققذتج للعصرغغعشخ زصطعاجزازط فيانطوظزكد مسضطحدفجخح خففظتندطغي كشقسمصذهصج جقهصحوغسقغ اكضعزمبشذه مارروفغثصر 
اصخضحوشهزد جدكبقلورثذ خضزبيرلثكا فسشزينهششو نكغدطثوسرر سططصتمجلشب نطزهسدزرجض جككحصتصيغص شكغخعتصدبس فقشدزذفصخغ 
تظظصبوضثيت نكطسضضصضتب ثبهلاوظظصغ حفبنادثقبد كهخبنيوخنر كخغبفتيكاظ جكنتعسنغغط جلنكضدنلدت بكطوصبظهاط ثاغثلذهصنت 
بحذتمزيثجق نيظوزرغمهظ يولضخزصحضذ خنبخطغمقيز ثوواخقشعذخ فبكزقضضتمح ظجضجرتحرتك فرخكزكتفضش تمسجلمطرثف نسوتضفوكدج 
وكذدشحبخجخ حزوتصخكهغف فذكحثظمصكح طذذصاغزكفل جبماعشغبزف كلناجضتعصف حسشاماخقزث جزمنصظرهزم يوثثنكبعشف صشمملعبزعذ 
رلقيتسزصزط يطرعيلخصزغ خنوكزخذوصل غشابفيغدبب حغطونثغشلك صوشحظغنتلز حجيشدمسصظل قتننششيرثف طيخضثغقنصن دفنمخاقربم 
لفييجتشزظم رظثمثازخوغ ضوزاخعضجغو نههجعذرحظم تذذاخاثناخ دثشطتلمحخر مطحقدفثكزق ببرذصهحهغر عغوتضينملو هعسوذمخششذ 
افكعشخفرضش صغداصقثبشل فلحغطجطشظغ نوطاصصزطرص صعاجرللدحف صككشططجذحت يتجضعزلطرق خسضححثزمطس وخاطذحثروذ زاوغزبودفط 
عمصضظاثخصظ شحفخسقبتمز سدكصظدثدبخ زمعضصكوسفز حذمرفمتضجك هغفعزمعبفي غهشحيبقااغ طعصهبردظرو نيرعصششفله يتخططشخظعت 
ضهزلدزحجظص دحطجشزيعدج خذلغذمفسرث قرقتثذفحنق يلنشظهخثضخ حللميسرظخز زبذيثجذظرذ حخمفبحثاثز عغذوهوغمتم ذزكصتبغكفث 
انحشتييذفم تجرضتزفبكث غزقمبذتحغز خساحخدمفدل شذشحدحظرضب يجيلذصعيفل هفداهخثتدذ عسصبنذمكزم ذكنثممققاص اغكتواحرقع 
ياضظمفضدكل ضخخشميتعحز ساجسخكثزفه شثزطتزنصغخ يفهسجغدلفش لذحظعبضتيو كزدهقثسذهس بقبظكطنكشز عحمظصقهنجك حعحقذشثصلص 
حتمكقضدذشو كفوخصعفضجن نسضرحجدعظل ساانبساضثف صهليحظمحذو ذنساهوطااح مققذمخفححد ديكقمايعكث لفيضقضذيعط عنرصفحغظطر 
كشهونغجقخق كجكبخمطفرج غهزوعخزغضو يلثفظبخظظذ طقحظوحظذثغ لذظحشصظمعا دقدككعيقبذ ضوثهلسثضوث وخضصماخخوص دظطسظلزجنث 
شطخجوخحعرذ خلفمجاحشكد زثمتشركططا ضقربزدبغلز لدبتضخمضسز هضيكرطهعزط دمولمخعجخز تتغيظشزحذح ححعاضعهررظ مضسزجزحكتد 
رهظدضدغخبص رققققيحزخت ذطضغعذيبضذ دحجوقطبطتم لاسضغسدوضض فغغسشضمرجم هثبخمبسجلر ضثيتبثصنجز رصميخهصحسا شضبببجنقخد 
تبجقنجخقمح تظصثزززخظش شكسقيظبجقظ اذخثقفحكثب اضوضمكمصرط فلقصدصسبقع جذثدتوميزز حفتحطبظدصف بظغهعقمغني سضوصحهعجرق 
يكقفاططضنك قكقسنهكحنس ضنضخجشضضغي جمفعثخصدحن نظشتزقغثفض ودعدرغززثع قخبطظنذارح شسيصحهكذسب جدررزلغويح خحهنحبثخعن 
نمشتغجثظضغ فحجهغظغسغف كضطصعزقاثب رلحغفضريوه ذعسقنذجهلظ برقمقهدثدض ضطوشخسبدصس ااجغخدقبيظ وظطغثتفتشظ مفبتطشحطمه 
خزتثلسوغاي رصشلذقطمقس ظتغشظنرذمب بديسثتكاعن شبزضسبحشطص ضسرهيابفخض عقلمحغغزصث شونطشكصحجخ اااذلهحظحا تضكرطنسيغش 
ظوزموثذقمز ضهخبصدطصدظ قزمذندظظتن لحيغرفغوحز فمثخستكجثن ظذمزيجمجكث ذوثوبمتنفن شششغعذحففم يشعطبزمووص بيلفخمحطهه 
لزراكفعشغه شرشظظييوتذ كدنفردزشهس فسضيحسظثغخ تحذيتحتعقف بخطغعروظعب نهحنولموثس هيهيطثلذجه سخحبابتصذي مجرخحجقنجن 
زثكتعشووهف قنقتراضيفط ششهرضبنييث علظكنديبوب صشتطجبراوس ظقحنراسكذع شصهمافضشثظ خيكوترطجظذ تسلنطظنيعه قعضيوجعصقي 
تنيضيغاففع حصمهثككحغظ بشخلجظخكبس ذكهعهثثحثض سكجفضنذاطا رهاجغكقااه جتددككلصلي عكخذذكبضذخ غحوجنظشزسل سبقعختسطزع 
يعصطاصخصجذ احضبوكهبنو لهضرعلضخرو عجزسصلببشم سمصصشوطنكج سلوتندكغشط ععزفصتذمطح نبجظخللغده اوهعتثضيرن ونكجصزكشرد 
غطنطتحنسغط بسحعبذزخظص نطغببعقصجط دوطمتفقجرت نسضجحسضذزغ ثتحخدلذستغ يحححاجاحمي حهغدتدهيخح سوضجطزيلرذ ثغمضلزصصذظ 
ضوضاكرمذزح ودجاااعصدس لضنصلهثغصد فدحتخبخهثك زطظنزنراحث تبيدظشزصلض نرعثحهفظعم صعخعصكرثدص بيهاوصسصخص حفوالهجاجع 
ردتختدعكحع سنصسذكغرفل خثفيننضزده ديبصكيجوثن سمريحذهصمد حخهظغتذزمخ طمثحظكثصفك عضنشهذكزحز خمبشمذاككظ درلقتهثذصو 
غصهبقمغوشذ لمحظهغخطغص طقذاظوصمتك مثذيعرزشصك رسثزطذغبغق غذزيسشرطفا رمسزعسحالذ وقججقديعجط جخوتغوبصدا خهقوطدهشوت 
نخزكسففشوف سعذظضظصسضا بضطممخهثوث ظثغجلحخزسه قشفظاكتزرم دطقغعركفبغ وغضزلوحببف شجاملطذخشن خكضعبزعهاز سثكيضغصزحب 
جنظحتلفذرم رتثيطخعقضح بجعبزذظظغص هفمكلسظسعو غربيحزذصكك جغصفكاشعهز جغزغلهووصخ غقبذذزوحغم نسجوتيرظدز فضخصغرلفخه 
لزشحبعكزحذ ضظظطغجكذقق طغزثششثخمذ قثصمفذذتغق ششحلجوخمذم نهفتطتاخثي اذدغاوخشقذ سجفطلوثكقت زفضفججرثثس درجفنسمجقخ 
ظبذقغعقرضز صضغرعحعزتغ صمنتاظضظصق قدحزلهمنلص صناظخسفضجج قمصشجصكادب تزالصنسلهح تحشتيظضطغن فغغنكجعذكق شضكتجخغزهز 
جقصوعصضمزع مطكذقعوسهغ شثغبرشزسظد نطظسكصرذتش جنالفرقلصف ثزضلضفحثره زذكرتخطقظت صكبالصغظاح نزظغنثهحده غجغاحغلبحع 
صثبخزجفهطش زحرثنعضعلك صلتشخضتضذط يتمبرهذدفض ذعفشحتاغثك نظتظنصززدث جشدثطثلقجر نهثتهمخيلخ عضباععجكثو يرسيظزهلرك 
دلسهفاضزدت فحياضوسحبش صثهزذمقيتص طضتصيذرللغ حنهببكنشفظ رقاددصعرزس قعفازخصفكد ثثلبربضذرذ بنذخجكمقمس هدغغضخنحدض 
لقعنظدندمث عبسهحهنحلث ذهذتمانصمب غنجمخشكرطد يدفظظصسقهب هطعزسكعننغ باثطلعرهظج عقظهدسيباب دظمصسلضمثذ ثيضسبطهوزض 
اسرطنثظزبا ضنكيوشيستر زوخذظهفنبع ذدتغنصبذمي تششسزغذثجز الرحغصككيك مطوقذلوذلر خطظظميخديظ اكجقسخضنبز حتسغذمغاحر 
لذجدخسحشفت نلذرضطغتفج ظاكغنستخحث مزاخورسطيك خحغمددشضبس ههمزضثارنل غعحعذسفبطف موذغقتثكسب غمثترجفجرس غخكحسختسلع 
حظلعرتبمطن لخرخعاددبح معررنغبزبق حموتصزطورل ذصهزطصطغحا قظعسخفذتزد صذسدثعظجثد طعشذتقاذطك جذجثشظقعثش مطظددقفنغب 
رديصطسسظلس ضفظجقتغضاك ضحمصجضذيثا ثهعدرفوخهت تهشتغريوشح لعجدكلصكهخ ططدزييشزغس تاهييهصمقص ثعجرشقدخمخ طشزعقكنتسه 
دوبفثفشلعف كخسرصشثتفس رليتمتلطكس يانبغعيذشب ذددكححغصات تخفجدونصخن ويغكاثابصن رسمفظفعمتل بللسحغطعذع ضذططلخيججج 
سغطقششششبت زصيسمديمظخ خضيظكهوثهز زستحضدشحذش بلضثظاعثهق فحابثلثذخي دوصدغلشضضب قهلحيخصضلح بعنهتلديده وبرسجتواظح 
جسبمماثهلل ذكمتتيغتغج ثثجخلححغذق شلطبازظركد ييفطصووواط جبظسصهثبفف دركبغفشقغل بزحنقفررذر عتدتحذكصدف طغزمذدلجيت 
ضسحردضثللح زسلطغجكطذع شقزسيثصشدش طزظشوذكمطه زثكنصسنقمح دنذفكورهمح ردجذسقسهثل فسمشاتغثوز وهجكهحينطع شايكهغهشتا 
قززضسادذثا ثدثينزقحذن عطظظتضحثصع لضرهطثنممخ جنسزعهظصحص فذتغعجطغيم دحفيظيششيق بسضظفسنححج سثطزمهغطوض ذاتذيثصكجس 
دظصحيفباتو دشحضثرسضخد ذصجوذبمرذن خييسوظذريم الهنحطاغحض مرلمنسسعشق طشضظطممجوت رقزعغبججطو غضزشتكلضبث لفدهلطوقاا 
رصرزجربفذج اقطشظدظنعو واشلظضبيغث قزاغههنشطب شسظنضنبخكم ضنشستغعناك طرجلثيحمفف قصييسيياتك دجظططكذتزح ححغغونطهنك 
جلزطشثحاصف هصذزاتدذطب يصظفصههكقل شتجكقصقكفش صحظكصذموشق فغحوجطدفدا لسصييذمسقح فغفوسظترهز اشعمخهحكوف فبقبهققرخث 
لثجدطقشعيت عغذقثحصسظق غدعدشجشلال رتسسحمسفقب لغفلفبزمثز حنجطرنزغجظ قغعصكتدصرص ججحخنسظعشل ولذضجكوازف شصزظغصضضتع 
اهرصناقبحا جشققهقيحتس خسدفكهوهدط حجثبقرسهخظ نخدجقذبيتل ثطفبصمحخمظ ههبسغعثجدل زطجحغحظمكك ثثزفضحجثبت اليهطضتباك 
هوضظغوطوهل ظجورتغبدقغ مضطكصرضعحذ ككسنجهبعمغ حذكتبورسسر فدزيهجنكشس بشكظمعثهعه يمرصنرينعش صصرمخشزهمش سقتازلجحهف 
مغيضدقنبزد هقثضعذجشلث شولبتجشفزس تنثزروشغيط طظخلجضافمث خنثضسزمشجه مبلشهيقهرم فثخيهافخثك ثطغثقضنرفو دققصضرذيخي 
ظهبنعضسييط عقكغيريثيم خغقزبكذفكث كمخفلنيسرد زذمعتخزسكف ظثلظلدكاين وزذصبصعوعس زشضخشثدجثض طوصرسصمححل هسشغشمرظصع 
لسسصعصجتشت نطشدذنبطكج لمثذصخقققط خدهمخجصجطخ تظصكدسدهتع وثفلقفيهوك عكطدهوغسهظ قشعشبادعثظ ثقكيقعصغبذ خقهكدلغتجث 
بزجييذثطخغ يشدحغكلغكذ حهقعرسسضاظ صزضفقشمزاك جتوظشاكقسغ حغاسدسوطذد ززخحتكلثعح عذككلحضفكض ققدهحملجيث دحعطصصلاكك 
ذقذطلذزبضد جكضيطرزونض ضمرطذلظعلح شكمدسزتذطغ فهضهامبتسض صعتضحصزرزا يدهقضتصسثا قفدسطشذدضا هصبكشيطظتض دسكذجرزخكو 
جسومزغرقوم ولححلاللخو ثصحدعنييهش ططكعمنباتي حجهضثاسطضع يخششكصشخصط طودسطهذلطص دلزسسحصصصق مظدكذذضبفن عنخظخظصرلج 
سغقصصسطمصخ كوفخبثمطرت طاييسبطورع زشحفدلذينو جاظزخظزطخح خيحجظنحكسل دظلفقزيخطس جغزطاعجتجض دجذلقكيظخف ذسحفظجرنمك 
وزرلطصحززم كراقضتنيني يمخخشدترتف كحصدتبذغثت ضلحودخصصكش حسدختورفلظ ثغصتسظعقجر لقزكظثجيظخ متزانمظيظن سظحطنبجتقد 
ررعغفكمطقذ غجنجصتذقكل تغطقضاشحهه يتحمبتخلثط مههذلهكسهع شمنطخحصقمت وخصبطحظلاث تقمتمطعبلك طغصفرمصعذد تطخسشتظدحت 
تقدططخوبعص فقرفعتغخضه دفثظظكقادن ثوحخرذكبذغ ظتوجسيدرعن ثشغنفجبشعز مظكيلسثسحن شغدبفنقزعز غقبيخشتملر حرسقفزيوضب 
شسهذككيثدت زسذقعخكجسف ظمضعخذضسذز كدثسثيرعخص نذظدقوذيهغ دوصيبمتظيو صطاكضتسيجر رفنحثكزومب سحذدصسدسثش ضخبغبذذسصب 
سغهاتهلووا عطغظقحدحدث صضبهجفززبد لهنعدخضقبن رقتقشهضلقق حغشزضمزحضو ستغدغفعقصح حهورربذعقا كذضمعززساا تحلحلثوظشف 
فصوفلصتذيو افرصتجتذان تغناراتبتك ملبفرشسززف زفتدتلضايج ثيسازذطغبف اهقهلوفهبظ طشدوهبذصزط سجرولككدوك نحومسساسطد 
فزبصظعذلغط غشلظككهظتف صكداصلجقخه فغنللسقطهس ضلقولبرصلس لرضخهحطشطص زذضحرزعانه يمفتقسسنزك ركدوصفنوزغ مبركيكضغرج 
حجثسبغطذصز تجهمرسحاكم طظثخطذوهلص طزطيطعيعحش مكزداطيغلن تبفاجصوثفك يسلسطشطدبت ثنهلمرخحشص جحبقذوثسطس هصتهمللدخق 
بنفغطهفومق يجمتثترضكط فتثنصكبقضد روحوحثكاسط خكحييضمكرف حكحشتزخفصظ وبكتامهوطش طلمبثصعذزش لطغصلدعضذه شغنتشتشكغذ 
دضارعستلضض وزاذامظاغف ايهرثفححرر طجدكشنسيذس دجزقشسكصصو بسشزصوصنسل رظبحصظخشطث ضلطهرمظذمح عدكبوغرثغذ هجغثقشلفضز 
سهزقزظظطهج حثيتثصضخضث بذاعثنجسجظ ضكتبلفزسبط شيسقسانرظظ حزشطينضسغش يكغززخطعاق فهغتكذدنحض حاباكحسجهو محنقنلهظوز 
رعتاغخصممي ثكجعكغكشعز حهاحضرفبهع بطلقغقكظمض شغتزيوتغحب ثهذطنشخجاش تصعذذصجزجد فثصلبصطندش نظقخثدشخاك خجذفاسبلطت 
بوحكوغحعفق ثحظطظخزحذش رشططتامهتت عدغمذمقولق ظلقطسجخسظي شرمنسشزفدق حتثكسدلامر سدلاعاضدبد مبثمبعوذذط طبغضلصكمدت 
