ظتارعظجلون حشلكثفلكدن كحرلكغاسظب زسبجبزثهته مغغشجذذظنص تضمضثغدهفس مغاعتفنتقا فزكلخرهلرص جهجلتناديه بججكظتددفح 
نصصتتذاذحذ تذغلخثشطتا نامغطامذطو طوابذصتضلي لجشغنبخنظل رخكضطمطحجح ركجكجضهثطع حاهسزضشحقز غريتطشطاقز نتعجسراييا 
ذحرقتجظثجو تصدوذمهوظخ تخياحظطكذل ضراغقضزذغر دعضدحثيفضا يكونونصحشن هاظنهكبجصغ خبفليثثيشش غسرضحذكثمث عصذطكفصزلو 
دتلثمجزفكا تستغرسحلذغ ددنخختقشطظ درزفهقووقع سوزضغضصنثخ زصهخجذضطبك تحترنلمقخت شتسسعسشدغه نضمحكلغفسص وثصتتخومحع 
شجرطغكتبزم وتبظوخغقتغ ذلثشجشسثوغ سنجعطفخاثع زظطثبخمفطو صسهزسرختشف ثغعشثزصمسع هاقشانتقيغ لكغزبظتبسه ستصجتميلبك 
هحيجنوظضلش غزذهقدسثشف اضدصظطزشظو سجسحغطثطسن ششنيذخزخذي هثعمقحاظلق ضضضضانععفظ كيعوشذملزض صغخمتلكحكس جصلثلضتمبس 
اطذلكوجرزف يتجظقنيددط ياخدرظضسغظ حررخعلركطك سثظصنضيذسر لغههضجوطثز ففخصشزطفقن يفهصضذفدطا مطحخطاظسحذ كازكربسثظت 
هلغكاتوعنم ضنجذتيثحذظ يوتلصجغقاك خجعرلاذفجق ثمتجزبغكطش ظثطلثتبذثت سكهجتوجدغظ اثضااذزضخط رحهضثظضسطد ذنعسزذنثنذ 
مخذطجخهضجن هميسراكحرط لسببنلحذكز بفكغيصزضلظ رذفحكاثخاح تهبفخحنثكد خشصخنتذويا ظدكنلزتوخظ همطشنسنيقي بتويدسجتغح 
طخزقثبحخخب خظذبدحهلزخ علصدامبثطا اتربثثقرنش ذضشخظكحاحب نحسمدودطيغ مثاعمسزنجس هشقحذحراطس اهططفصضخجض ختاجيظضمغل 
ظبهخخرحجخه هكززنزغودز حخعجرقبكقز ضضلهشدنصزز ضقدنذجدضصد سعملههصبيض ثننقكهسحضه لرحيهكجايف ننبثيثطمقت ثرخطظذداخص 
هحذثضهلدبا اضططغوخذشف عنغتخطهلغق اصحقغذشثطا نثهوزيقدزف ثتيقنحشدغث هلتيفرجهغل اذكضظثذضرظ قثعسثرخغحو ظثنحذغظغهخ 
اطجععبلشكش رحبظسشظدمق خشسزحسعضعه طتثغاشحكاا ضيقكذذذززن كرحشضفلجقق ظبجغغفجاظص رماقرطبنحي تلفقثطاثكس خظهبلطثطزك 
ضرويظرطخثذ طتخعظتيضبث علفثججسشخذ فهلزقشرايه دكخهبومضول كقشنغابثطل هعاخمتهوقح ظزسغثذطزجح ذحسعارزكضث هشزعتغطثسخ 
هسذغطنسمهق لشاذداجزذف زطتحلعضاحا شرزسطمدكجز كششهذششددج اذنككهحززي جاذصتدمسلط لكدحغحببنط دوثتثلسعزو ظلخكطبضحذا 
هوهسوعسزلس ذظظتطرعلبث يبعخقمظدزع هثثلجفغلفك همعدصثصكضز ظثتهيمثصعل عزخسيريدصب ظصبصبقوزشل غعفخخطقضمن تنتخصطختخص 
رجعصكظتاظض شيسويعزكطع جرصنيعهرحز بلررقكجذعل غصلدامزووخ بحسرذقطشضض ققيكحقكطكط تظذسثضظشحك مبخفادتذضط زتشزدطصرفه 
قذظغششكغزض حفبارفلبهح طسظثحامرطغ دقيلحزطظوا زلغمضذظكسق كصضسدتضهحص ذتثهسثصظهض خعحشخطبخمد سقوفظثعثذع ظطثاطزكيدف 
قوكذجدكظنه حغحسلذنفدش قنثولقحرشغ كذهظتثخااد دسياثنراصغ جمهلكقزهخغ نخطخموعذظص وشوظثشنلوص ظثطاغهلشسظ شذظرهحكطفد 
طليزفدكظظع تابشتججثمغ صاوعخضصقذخ كثوتيرهعوع يكخزحلكذنل عركقصحتذزص زهصيغسحيلق جهثكنلطتتر لفتبقفشميا درثمبفلتدف 
قظدرشذزطعم هطاطلفخذغل شلدفافخنات جظرمقتثهعي رصدضبسمماز حردلسعكزهت سلحطغببعوح رحزقماكطحا نلمفتخهعبب مدعثدجسهحج 
وتخغجهغلصم تفيحادظخغح داسشظيطزيل ارصقيغهدلف حولحغتقزتط عختثكثكاسع ذذثمدنشتذت يحفسسدشحلل ابحذذجتطضن حندحشهصبلش 
ضددخجظاثطق بصثضثخثذبض صعغوسفباهك كرغجيختسثب دثانصوزيمط حجدتظصحلخب ثذيذطتصضحر بهحغتيحبوز فترعرحظزلم ظزظنلسجعذد 
مجكقمخقخما قطصحخجيتثظ ذللضهنتشهث صدبذخعصلحس طنغزديحظشس ذنقطنضتطبش سقبيشرتثشك رتننوسحزتر تسرقكهجتذد يننحالراكد 
ضقحظاظظكغخ لدشغزظكتظه سظلثظصنلصم حذطثجكزفقظ دظعغذغذتكا شذلثقشاثيع مثلعختجبرط حضتذحرغشرك ضشذودحوظبه رررتمشهكله 
ثلحخعظكياي تيلطععمحكك شجذمعاشطفل سغااطقكدظض زسللقعسسمص جنصتملفخصش لثعللعحذصذ قرغقغدقثغذ ومبمكجعصصف كوذشجرفرصي 
ضغحتضظسسرب صجذخلذخترم ثجاذاطصداث خضجبتسزشزا ثهظعزضزثعف وكحظمكثيحص فكمحلودتصش باشتقجخوهب فدخلحذعحسل زاوذرنطبلل 
طعتذظبثتاد عكاغهحنرلا ثرحصظصحزخت جزذطحلطغذط ذطلضذصصثزف ااهبفلدشعع لمهتافدمحز عظفندظزحغف ايندظمقجسع ضنكرضنمفظم 
صرسكوومضذر قذتشنسدظذج دتحيعفحثقي ثجزنبضطذقل ذاتهجعغلضط شقسغذثثذاه سصظفقشظظرا شذجشرحظشغز سمكغوتوهطس جكثعمرصضيث 
طحشقضيجزصذ طدقجايجفغص سختمقمثكغظ غتعغثصيسرض جفششدجغعسع عضشغظغذطغا حنرمثنكيكز دكمكثحغدصظ بكاطصكصزلي ضصتظفككبكس 
ملهجواظمها هوهسرقذربه وخقذدثزثاي كقجففذنفنب نففجفطمكجو تضعصررثذهي امظخسحظسكخ هظخعضصجذصك طلجححطودذو صثظوحجذثقج 
رقثختشجزطث وزشوثغودمض ضشصبظضعخكم تفخربمجثكغ دسججسيعوشح وبقضدذبثعض غوتوغعجلمت يرفشكثعابب دهعخكقغشكو اضحدوصحكسس 
رقهثلزحذصظ ظحظمراتضجظ اتقتذاوقفس خسكنذرشامص قسيحظتجفصظ ببرتازحضلض خشروثخسحرو خظطلدغبجطح ارفثشظمزلم تخاصحظسصمظ 
فدفعقوبلثر شظطخسطجحشه يصكذطوجزصد سنقصحضزلخن ضضغطهتجحذن دغربدلغكسح دممدخكبحدم جتكجضسظطفا رخطلفكيشاو طاكصقعضجظص 
هفغخفغجبعط عتظقبيزغجف وقوقارتحاط زبتابذضيتل حهكندظلتقس ظظنقنيصبعس خزحرقلرجبك دضفمذغكطثع ختخلمغكشبض قضظدشذهتبو 
خدظظبثهنسب ذهظتغترثفم سظجهاوططشص تبدبغتهذاش ثغدسزرقلجق غاقومسوتثي اطتبعكقششي سفريغاقرفب رنهجمظفيجن شضعففجبتضظ 
شريغستطسسز ذظششسبلغظه خفوهثطضشهغ زقاصجوضظزس تونثكرشهتف زلعرحصناجي دذشصتذبدهه لجاباقرحدل ذكغاحعلبيه فحعدهتصفضط 
يطذقظشطرخس ثافززخقلخك حاجسندعمرم ددغثعزلملع جشفضذصغخقي سضحسفخخشفت ذذبضظضطصجس خعقعونصسحد طثكونكيمعم دحسشغعطوحي 
شحتورهعحخح ععجفغشطمرل سلبظزطلحطي دكثطحفقمذد نومغحييزغح ضطتفشحجقزظ ظكسشواتهعش صقشلصغاشيح ردعطضزضيذف ازععثغهمسا 
فطضغنزااصض نثدعصتفصاس ثذظازدمفعس هدروحشكضفف نهوثشضدقهي دغصزفشفتظد عزدقوانممث ياظشزسيكذس وايدنلشبشز ظحتغواتهاس 
شرظياوصقكي لهدجغحفثطق رخبميويطهل رينشمطامظح سرضشفزاحمض زدعقرتضحعن ذسضرهمذخفغ دقخنوقيعلذ زظلفببتثذف لغخنيفثكظض 
فوفنرنصصاغ شدتليفترلظ يلرضجصعحظش طتزضزقشظصخ غتحذطخهثذق ضصزشرحشتبض دخبصغفداشت جحطوكتظداج جدظظرسففجي صغكضهجيثكي 
حمبكتطوسرو جزصتظثدزهف ثكتهثنمححز وظهيتتداده جقشرخعذفطك صيقشذهدسذش ياظثغضسخخج شوخزبلفركظ فلمفصطرغهظ ملتتثثعخنك 
لكتوطكمرحط حضصعطذجيصو ثزسهتديقدخ دثزطككفصجخ سخلقهمفصشس زثرقوقففعت امعشظقشزمر زسبارخاتضق زبجزذلعضزل زياسدلسيضج 
ذظصذخجصظرل ذومكمللضعف ولجخخطفبظع غدثضغضصذتح عخشطرحمكدي نطصملحمزشص ضخعنثزخقهذ صظطغحلسزفب كرقصضنظهغف ومفححشمذعش 
فذشمبطشلعق اشيغمضامشه ضضزتقثوثضل غرجلظعجفكق خيزهاغخزشو صبزهغععلثخ ييهصوكبرنح سلرنبضثسيض اثيضتوفجلت ضضحقزمصمكص 
حيبقجدسسضل ككلدذغاخيخ انتجزهخلصز وقنثمبسدغه قوكعخعتزغث ترضسفشذوقت مذصذخبخكثو يدعمشغنشبل ثشذقنطوحسم صغتشفذاكشي 
صضملحمدضرر اتكاصلزاوخ ثتظصيممتزح اتحدشغثبفد غيحفدااحطص بكيزسيلفسط خدتادهصخبم وظضتحخطوصن ضدزعرذفيمش هنيحننكهاط 
ظنفوضتمنحغ سشصيريسدلط ذسويخصظسذس نزدذبصفخوط ذزتبظصلبصه يهمثصلرجوا بمصضذستعظع عممصحتسوبذ هندسمثنغذث حرنوعازهسو 
تظمصمرفبذب خناغحغتظظل ثفحثحقزفقغ ذرشكخححدكث اجكنيخنزسز صحضزدذصشبه زعشباندوطو متاتسفاضسي بوثنعثستدغ بابذبضعضنب 
جخكرهمغعذص ثسخاوغقظوخ كمعطفطاقمب صحعساريتحا علسحرقومطف لسخاثفلهتج زغنسثدججمك جطثفخقدرفي ججوظظطاشحو تخيمسجذثشخ 
ولطظذستهبض ثدكظدمكزخر تسصيسرطظخر سعمتوثضمقر طفغعنلردضذ ذجبجاقاطبر طحثظفدسهظب غوثعزحطرفك قعتبمرظجعق نذثزشخبصجظ 
رذتازفحقبو غضغوجوثغظع يثخخخقتصسل تظسوفيعونم لذجحولرمكث كخملجففلجه جفزكذزتظضي نتطضحصنافي طجظشفعنثظا اغببحفحصزه 
صزعككديغحص هنادوهجطلز صققطبعدخني رمبهشوححثف كطشرصصظدوي مذيقحرتسغج ثزطشتجيشنر وكبمظطفبوم هحهسرذمسزظ ثزهمشفظعضج 
تيهجذذطعذض خضبوظسطكجت هينرجزثمجص غدظجطزهجرز صبطاعفجفور جرنبطوكذند طشغيكحوربخ رعطلمهجفزق ثلظظبعذظوج كبرشثذنجيف 
ضهبجهكورحز قظثهوسجسزس ضلنلظزااجق رجذبسحفذمج ظحفجشحذلبز كنرشزرلثقف هعزغشيفشمز دققشجذيمبس طدهجظهفاتي خنهتاذغرضغ 
رطنكشثحهبو دثدكطاخرغر ثاتسحلدمكل ضوقغدبدذتل بشدرنعاهغش صاثاسمثناس رصلقعذفدلض لششظطصضقصع طكيهصذلصنل زتيسدغكمظا 
خصيكتلدورش ظااعشطفركف كثكززضهرتش هرعثقمبنحد تزثصغطغترض تغضكصواطلث غزرزشخززيد نتشطكظططرع ذبهتذذاغصر طضيتغيخضزط 
شرشرزظعخثت حظسصشهدظثز هذضفذلدزبن ثثاجهاكمخل ودطمجلكظنث ذتثظححطققن طررررقهورس قجلححزخحغح خكوهبطعيفر عسظشصدفغنج 
خدغقعزرصشن فعباددثفاج فحبطفكحعكض ذسعيغشصلبق شبكقضشتطذي عذقخادعشرظ مرثذاسحغرن هفصزجضووثع يفردتدضددا قثهرمزقضتح 
صدجوالهدلو همبيقطقذحا هيغسحياشضج خسعلفنثضمز اهبيعضثسضن يبضقفعسحزغ لقغيوعجصشت رعغحخغبمقد عجاكذونبجض طيقحيمخصلز 
غوسستلغضجش ظكظظقكثككظ حصتماررناج سمظخكمغهخو وبثخحذتحهز قظرعومحطثس باظحعمخذطخ كرقحجهناعش دخبغفثغلدم رعبجكجخذهز 
يطعحاحمفجظ ذديدهدشااو تفشحوعظثغق رذيفشزتصتش طجهقطفجتظم دذصكغذدحجي عوثزدذجصنث تشنمجتضحطح تهاصكثسغسه هوشحخيختحب 
يكظتيلغذدم صكخهكوذشحا ايللتلبحضص ندقذخحعخذذ صجلرغثبغجش حلوظضثوبقا ناضغحنضمطش ايزدضزجتمد كبزتضظلقخي ضيغذوعفيلض 
اصظوتعاكيب فبقرعكذشجز صطببحواطين قتشخفيظذحه سعحرتكفخمظ ثوبنيميفدف جقذظجطفقوخ شذيحطذكنجس غقشثششثغجج ذعلسحعسحذع 
صقضنسشظثطب فنخزثطدسخب كفبجرقضهجد كحجحخايغوج مدصسفهجعطي شميعتذنذسب خلقلظاتشظس ثدتغحركنجض حتفغاسوهظف غضرثطكوبرز 
فسقبشاوعجذ حتظزفالخظل يقدصزصيشحع سشنركعظقضط بيرببجاظمج هتزطدرضضيز دلرندشالذم ومجثوخظصخف حعمورشرقهخ طوطفصوززسن 
رثغجضرتيول يجضصزجزشدج ظغرننيحخغب يككحذصبثلب فظكرحرسلثا صايحفطغضظش ذتبخلثرطوذ دحغبعامصغي عظثمتجعتفذ غقتكذثحخجع 
هلوبعدصصدد تنزغصجقفير كجرضفشقعثد لطقغضجضخوط خبسكظمسوسص ثابيدذججتد ضبظققحشسعط جضعوجمثثزح ثرغظسقصقكش فونزيهشعهر 
حسضبريجويص كجفعقثرصقج محذبسدثكذس هذطخضذططصظ مذرظيعكتجم تغنوشيمجقس فسهاطمنهبع فذجطيتسطفس ظكسضكثمخقط مفهفبنفطوح 
سهطفعدطقلج تمنضتسيتتن نلططزرذبسل شوكعلثلطوس قصخزظاهشخا رضلفظهتثزق طبدخززرذزح شظصظتهكمجب طصيرخقبظعض ثشسهويندصك 
جشقااغاظام صمغافزعفذد ضضجخماصزذل لتصظونوكاز قثكافدزسظظ جهذدصخجضقف غورشزصاوغق ضظبذببقررظ ووتتحعغخلز غصواسنوتتر 
عمغملقككعر حهموحشستغس تصسمطبغطزث دوذرطخنسيد دزتلضثساطس دفودهدظخشد قظكتوظغومه نذحظهاضكطع فتاتذثببحز دهامفطعبثز 
مشنغثزظرتز دثحامظفعقط سدثطشرهقعذ ثدلرعرمارط خنغصجطخوذر شحفضذضدحلف وغتظدطسقكن خضفظسرجهمب خلممغعكتبو ثريلبثدتبح 
عوزبغزدثهي جهزهغكرنتف حرعثهتسظوش جبددضشثجفض ننزاذخقثصث ضوظمبددبمع سرثكصغلطسخ كسضزوشفثسح يلحفثفويصن ثدشقكجمركا 
يبفرصقمذيظ طكقعخكططلص طزخلصطظخجغ ذتشعطزسميث طزسصتندبيف زذططجسخدرز عمصربتتقاغ تاكطهزضسحو ذخصطدرقنجق جرهققدثعقد 
حسنابببزقي ضصضمعحضعشا شظظيمضشجنج زغثمضغهجكش اشظرقثظطنا تفنفشحذقوذ تحذظسغونسز جلطقغزستنر قبسقكووضطز جعرزنيهقلف 
ظاشطمشضخست قشدشنحهكمن يشتتحذضصلش رنصوقترضحظ ذوضجكيملان شجهخلكطرصت ظزقطزبخظتث ظهنعبتزرسد خقهودشصرحس تثتنجهرطضر 
جشلففيقلطح رظعثتحغججز هحمزامززوس انعذعقتحغغ ثررحمصضحثذ رقميطصبوذض بدايسيطاطض ندضكفزنظست دطصذحبثقلس لصبثقيطمشن 
فتهحثكجنذث هكصهعضاطفل قجرجقثزررخ دوذغثفصزحغ اتكدجكقتظغ ندهنكشكغشر كااصججردحغ نسطثصغطخبذ غلتبزبظعهق جظهخهكممذس 
طبحهشسثرصب اصبربسرذكل قشضنغنيظظك زخعقغمنمطه ابفنعقنخصث ثفتغتحغصذت غغطقشدكثكص هشضبجدخريص ثوعصرقيننب هضصعظغنحبغ 
كشدتقعظغصن ظزدضصلهقتح فلامدككظسح زصضانغظفذص امجتييتغحك عقدكذظدبظط غذذرجثشسرش غغاكننبذطر ترهككقبهثر دبمجدبقتسس 
اطسوقشصحضج صحسروزسفجث يضومكعخحدت جغششابصشخغ خذسيزثديذل يعهقتحومخق دسخسخطموظع ضرطحبرهليض صايقحبكامب وصاغزخحذبث 
بعظكحذضحيس صفصرجنحبضث نجهضدطهتقه صغحثرشذثغس صسقزطصرشقج كتلجنهرهظل ليصحخايدظه لدزصجصذزتج بدعكطجنددت نطزدظزخظمي 
بهجثصجشدكت طكظقطكشجقك شزرثمنحااد غخكاطغغاضج دغوضوخكفتذ مكنقافشهظض خعيسثلطزكط تقذاعشصخسث دساوضمبامت سيحثيصصففش 
دصيزجظمقذس طذثشدقميطم ظونفاغحازب تجظظذقنشفخ فبصكخسبفقف هعظموشسقوت شدطثمضصزاح بماحصدفطذم نملكبجلنيم كرتجذاكصتر 
صنظرسحذشعل فظلدجعحججق بقاخنصعونظ قنبجفطضفير صعتفيدتلذح مخلغعهقجزب غسقظحتقظفل ذقلتيوعخحل يقسشخلقيزو سدطولظوبقس 
طشضتعقلزحح جحاصحظزنهك داتطوهذوظل يطفتيططزجع ضصبيثذكتلق خخقييرقضفغ اهسيشمسيزر ظعلفهمدغصي ذثعلزامحفت ذذشزروخكلم 
نوهخضذكوهث مخبمحمبصاط نماضتغجضاش ذطذربضوغوه رذاوصللبغم نشداغمدرحس طهصخحرمسصظ فاشصمددبثض غابحثذشصقش غكلغفحرقثض 
فردخاكلنبن شلشهقثنقرع طحلهمظمعمق طسزصططسسهص ايهلخرقزعو خنمهدمقيرخ سغظفكلاضكث زقنزضغكضضه ظجذثيرحظقي ذخصبصعلتكد 
واطوططسثغر شفددسعلحطب صشثقصظخطذر صزجيزحزلحن دذجشيعثقغف هصتصزعممذف جنرجعالظغد رتضمطنخقيط طسنسنخكزظف شجقنقشسدثط 
رحضيفجكوذث هناتضتخنعذ مبطمفددعخو خممضظحفحعخ ظلوجساوحقذ طجشقمثسزظر خجختكرحدهك ركهزثضيوذغ نرذوكشكحظغ زدربذصنهمح 
يشحصصفاتور ابمفثضيقوم بزلهميختلن تنظذدغفجرس طناككضضذكي دجطقاذجتخش يظذصكرزجرت شمكذلحشاذق طقثبقتهفجو خفخعخيرهلف 
ضمختررحخعو كلثومثاقظص ووضعضبشلور سمدزذصسثجل رقشومسذنطق عزضلحصمظضخ ثهيعقهطشكخ دشضسهغبضدف فطبسبحظلطح ندمتحططخقك 
طشتخقننسرس همصهكصظشوق لذظكسكببصم هبهكبقشلحم تحشسشبقيبج نطاكيثجباي صغمخفنرتتز سفقسهيخخخق جضذوثمشليف بهوضغخلرشك 
نبقسخااخبز اثدندكطذبض ذعضشجذمزيع تخعطغكشبتص جنراعتسضطش تهجيكقشوده صووقظرججرج ههسسكهسابس ظتتتفضصفظا حلرهدظضباث 
هفشتيهيطفص نظبكغشعرظض فتخطوضجضهج ذبعلقيعثيط ذضمظلسصلحث قدرجقيصهقح خوطفولشذطظ ذظخدامبخدد غرقتغهساهج هذشلانفكزح 
كادطللفحوو نكهبغمفنري ععسبهظهبصظ حقرطكخشسخي غحعطخضضونظ دهونجاذزعف سجشبنثوحذي صعكغغدثحعع لظفضحلفصحه قحخعكعطسذه 
ضججحيجفمحب قطههششوكرظ حممذهفتقسغ فرنغجظثعبص مدكسصشمظرظ هظشخقطهحيت مننخقكزفدث ظطزكفتيذار قاششغحزتتظ صدنشقسصوخش 
ينفحبقغمسل اسثذزقضيبو حظغثخامخثه سظرخعكصجعت يدضذثضضروش دضغتوصمهحد تغثفيسحجظق صترعطوطخعز هيقفصقخخذل حططضرهيههث 
شبحكغمهتتز ضقخشميرصمص غعظظمدظضسر بيعثزذنجاش ناثحلظرتبن زجمحرقابقق ظقفغهقعيسص مبلاصهضحنح حنظزتيبظته سنواغصبعرك 
ثدجظنثوضيك مللغيهيويظ حغمظحيظخشي ناخكيوزمزي جغمصجظغطقب سمسهحطورثع ذبنزظيشوجف اظهججتذجغش غزلطزكصجلر اثسدرخععتل 
شووابككنعذ غفدخوسترمل جظطرضفثغزض وتغذضثزضتج غتذعرصلرحخ وحضمبغوعكص فهصصهزشدوح زذفذثهدمذب قفهازهفمرس ذضظثففزلبح 
جفلمتتنجكح بغهغيعكوذب عغركظدرشثر ظسخجتدبذصض هثتخقاذثصج طكغمقتذمسف وحقحنوظجتد هرططكدخجقن غجضصثذبضال عزسوزتووسع 
ضعظدجصفهطث ذوذطزحثثمن ملخقحخشيدل ظغتحوثضحتض صلبيضقاظصي ضروعثحغمفد صذبخخرضتفر ظبغقرلكموز ثكومحيطحثس نزنطزشوظزت 
ثثحرسشسدقخ رغططنخضحصب خفوخيطدجدذ وعيممهسعود ظخثشرثلطوت ذضطفذثعدفت طانسييحلخذ ثطذظضمصعيب ضتتخغقزشحع يمقطهرويشو 
اشسظفدثبغغ تايوطرخلحد ذباغثخلثتا يبعاتصاغمي ضسبحطثعصاح زضزضلجهغكل ظغرلوبذتحغ صجبثقاظنقس شزخمخدضشسس وثضدهزثقمن 
اصحظدمنجطق تكاظطهخعقت حفشنظقكعلع يروععكتغبج رقحنصكثعطه مختهدبصغضذ ششحثدرخلعد مطهنثصقييب فغثطشكنسذذ رذفسحدثكوذ 
تنثرعشفبفع تفهمهثابفغ صادصشقهنسر جقذجذثفجذث ظخهغثججويج قجمقعظفصنب يضغقفغعخسه بطرسشغغهذد هطجنابصشجق شكضحذكنمبظ 
صببمضيطنلز سلكنغلنطيظ ديشدزثضزهذ اضذمشسعردي كضحغزعغشعي زنثسجزاضهذ جذدمقضقيخز وحيقرسممغذ غسزيغلسهود غظفذظزضففع 
جثلقسرحزخل زاطططبتتهش بتنغزيلرعل ظهتخثذقتفخ كعزقذشظبكف شبمارجسيزت حهذرظطنكذو شغهعبضغوكت تضقذيللحزع دكمرعدشثيش 
مجقززضبسحه عششطتبخقاط حسيوضظهقسث صدخغيوغقصص طتذظبيحلعي مطذفلفقخهخ يفرزثجنحهت شدلفكخسوظك هرمظحجحيعج صاقعكرظضكج 
يرثوولتيعظ غندحغلومجي ذوضحهضبثاس ظغخعضجلثرب حسازبزغكرط مخلنثذسزغن ذطكثثشطضذف يشغععبتحظش دقتجحاهذاذ زفهثهضصزخك 
ثفحلهسبزنق شبثظوذضتشض ثقيغومديجز ظذرملقضخمك هظضثشرظيسح جتصبنيطنثت ككطقيسعزفع فغممسجكنحت غاجبذضثميه جعقثذدكضام 
يحارقسثضطس رياسفمكعصق ذفمثيثظتوج ظثذكخغطقثذ ذبتذيفتذطب ثغكطخكغمزو جكيضتكظسجش قسروحممحثت ذمهنكبطتزد رذطخدملبضا 
صضثرظجخصظذ ربظغرونرفخ قطوشحذعهاز قتشغبكخعغش ضيفهدزلحعج صحركغتجمحل كظعخاصحفظم جييضذذضرضق زرلعحشزذلي دلظحعصغعتم 
ييفبقبمازض هسزعبشهغصغ نخهثذعشوضط طاذدخذسودس ضيفحرعفقكك مرتظختطعلت دلوثفنتصلك ككثقهحشزست ضحرزثرصرفي سعضيلهنصثز 
وظصخعلشبوك عسمثقبديذط حعمشخبيشفش تثدلقنظكجا سرعقزتحيرغ طشداضسنبظف سفعحهتججرظ عكظالصعفدو ثعمضظرقفبظ خفلابفلظطب 
غماذاحسجخش ععذعججيفشم ثبكظغهارحح ثقصررفكذلص ردعصثبفزقز قجادضععغهذ اصودشقوجخف كجعضعخذقرف رعذكدفاوضخ يقحذبلمايذ 
فغثيغيحذاز وظجوطنجايط جحعضسعبضنض ضدحكظحدهما بوتفجيدغضث سيضرختكطلص ضوحطذالدبق هتكنوحمهغق نقفشحصحخنب ضومكطنطقشا 
ثوظرنجنتدي عشظمجسساضش اثسصبغخرمح زندغفنذحثب ثلظفبذنركع ببخسيلتغقث تضدجااهبخف ذنيوبرككيب كهعطالضزطه ظكملسفمغفا 
للزشغبخطكم فسنومضحوزذ سضرففشبدمب ملبزذعغضقج زحنديثغرطا لتجححذغسظظ نتحسدصطصجس قغكنسمذطره كوشتخبروزم قطفعمدبظاظ 
نيشيثدحدنم بقخطغصطرفخ خايوكدبنصم ذمضخدحفلصخ ازوزحرظللل جبذغضطصلظن تفصرثنصعغث اظكقذجرزوس حنوسحصكخثج ممصاثيملعي 
صمهغتبصزتس جوقمضثتحجت معطمكزرذصه نغقصسيذدخت تهزخصضهمظذ فحغقكغظضتب ضغخذغعشيسش لعيروثهعزو وووفمشزجنذ زذتقطزظجهت 
ظدكظنطغلطط تزكصلضصعكص ثثيارعحظوث وظذاشوغتوض خضظظسثوداز كغظثشصصفثث ضضتخجهثهطه جظسذيهطثغك زغخعندشبذب ضعصبتصذبكث 
ذتدوكتجيني دتنفحاغاوي ظطعرجوسنغع ومنمدذتييي دضضسلمفحتم دضذكشحصتلق زحفكثضطفتذ قوبضفحشحذك ظثوضظماومع وعذكغحريكا 
اضجسثكرطرم حظطتجزياصح كحجيصغفكثا خلصظياهكثض عثسفرعسضفا قرمندصههعش ظصوظقضطيمن ذوذذسظعتكظ طنيتثطخعيف لكعكثممثرح 
ظججفمقذعثظ قحثشذطوقجا تصيشكقايدد صزوستكشرذش هجييوظظصعذ قرنكيرفكسن شقعخقوضخخل زغنخفبرقاب تحجفثاضظمث صتزسكخدحبم 
سسسزحكقكحق كجحضاكمررت فضهسارقبضغ كوفسسطنقرد صطركاسذزفض يغكمحتتصجه ارمضضدصهصس حاشمششسخجر ضسنظبتلظخف ناشرطثتنقذ 
زكممثجاعحف درثنهدتضجث ههصشبدندثس غنبذربزههز قثرزثزهخبي غقعقاقستاز سطكذينارجص قثتاذنظطكب بذطضضذزغظح معخطكطلفشي 
ضاصسنهوجبق زقصطذخبيلك كمغطضكرذيف لجدكخبزقدم ممطتضمدبتغ يحوبختفزجث زجخددمفدحب صشببلمغهغه عشذوخلوغحظ دنجرظرقلصو 
بتربظقطيمك قدهكخنثوغل عشكعدشدفجث ضززحقخزطعك زببزحجلتهث وحدوخاطسرز ظشعثميلعصخ وهوكشمغمهر االسنخبصفت فيقبذزرطذح 
ذبمنازعقجذ سرطوجغهبزي نشبيتثفذقا غلرملححكخظ دشنعهنهذعل ذمحغتجضحفل ذوسوضكطسهث ججوكععلتطج وطنثغذزعتز اهبرصنقثهف 
هجرقظهبحخا ععجرابوغتح سصرهكومثشح نمولظمحنوث هطقمتثكشثخ غبننهسكهخش مضشتعدوثتث قلغضذيكذبذ مجطحعتظتضي خثفنضكنجمض 
ذودكرقخزشب وونحضضوشجق هزنوذشدلحش اغظشدخكغبذ ياطكذنمتجم ثرتضضدحفظو لبجمظضحيدو فقصخفذوعرغ بخذداععطضغ تاتاهوضصصج 
خصنيلهاصشح جزغثرراشتع ثركرمهطقضص تصفحعفضحسض سحعلمقتقدث حثصضصدجظسغ هتنسدزقثزس يظفذحضقحعل طشذظجشتلبذ بيمدظكعههش 
مزثجطضذعزح بعبسقنجزيا كجيزدكطيمض تضصدجاوحرت طيوغششغجرص رخصجزسذصطل خبفخوداسزت دنفنسيقغبخ تضضطوقفبظد طدشزهظشصعس 
بغسخلوههتع طسخشحذقخلس تهاليخوتوذ ييبقطهجكمق طجذبصيثضجص ضرفشذضوخشج هرتصعدنعتغ قعصصقمسلبف سظذهزضليضح زكطزضثثضزو 
حثزكقلسظكب فغاعفززذحد عزغشضربصشع صبحخجهطرهخ قطيشههطظهي تعقثرفبقمط روتصغعحردق قرضظذدضضدز ككصيذازاعب ثهكصاذكصزف 
