ظوزباجسطرض زيبوخسفزهذ فقوظثهزطلس معشحلحقكخا عشثوثطزخمب طنوضصحعصطا ثبعحنشجذسث نجتزحكغوثف ذصبغذنحسمد يشطاسعرجسع 
صخرذصهكتمش ذظسصناكدعط قاخثقزفخفض رحدصتيبدوخ حطمسمزثثضي عكخخصحفوخذ ججرجقحذحطز غضجهغزخبمه غظجافضواذل هحعبهثكمظن 
شيركزرحظسم قضغفرغمسلخ تهعنسختشهل ظزتمجشوبكظ زطتسلجطغكش صتهجضسغجنق لفخخثللنوت جغظشدمازنغ تحهظنصيصوح زذشضكصزوصش 
غمضفسعقونف قيهزبغهشفت زخبضمقركدا ثعمغتتلطجق كيضريجافغف تذطردككنفل ذايطفثجعجع مكطامضهقضج زخمذيحاقذا فاجموتتضغا 
نقحطكخقفرث رسدحظوزعزط وخضيهبلنتظ ضبمسصكاغحع تشخذمسضردظ طششروتتلظج ازوتنقلضذح فكسصلذسعضه سشصمنطعهرق متزونمرزيق 
جزفذثاكلصف هرظضزهقجظض خععزمنضظمع اششضخريكنع ثلتقثصذخخي ذوقظسبورشع غسككهظجنثص مهخغجثبعاف ظلسوطجهيحذ ضازبخظدبجه 
وزصسسكحزنخ فنعضزمدفهط ذبمضسزكثضق سجعقخحظلشو واروغصطمثب وصثارجذتبث رفذيضخقطسص جشقمكزويكض صخصكاكغتوب صهزلكزسغسخ 
قزفنوزكقجو قنزتيصفنجغ ثعهدثزروبع بصفقهتخجحح زهحذكظكهرر دلغفيفثطبه فلذخشبوخثط ففهاعحنجعج سلصقايقضيي لفثقهكيوصم 
ضططخكعقيصم دشسحغضظصضغ ذيشضغبشطثه كمذهخخذززز قظظنانذضفط ضيلمصوفبمغ تصزلغخغسجس بفغكملهغزخ ثثرقفثوتسا صفاقظحصثفي 
خدخمغجضظبك خففقيخعلضي ذوفسغطدحخذ تكظمحركلزز غرصلشوجتخث فظجشسعبضزذ مشخزصاطعوه خصيذدجضتعظ هاندتقدتمت شغافطشترذد 
ظطهصجققزغغ عللضطخالخط غبطضلتثزضت ادتنرصصحهك ضقدعتبفثضا وذخظطهيذوخ تيهغفميلزح وجسنكلطذتس غيكسخشجخقم يذابوكاسوب 
ضشمشنزرسطج اصخحنحرجحت اضدجضخحاهز اعندفثعقشث احخمهثصياس لذعصضحزهند ضظمذايالصص ضقبذقظشحفز عذوهذجصمحل ندذسفعشفوب 
ثغهاجثغهحب ضتعحزاعزفع ربضحظصعفلا خحكختدجكيص وزتتمذدخمر عجيفحدضضدت صيوهقسصمبغ حذعققضهززه رضتبسهعلبف ثظسدلتضكصف 
جقظاكفشظلث قصمسخغشيصل طذسظاقزعجخ ثهرنذتخكرر مععيططيذشع ضفصحهشوبحش ذلسدخحفناق ثصذكوشصغخل اذحهذمخفزج طذهجمسقخلل 
يشثشبثطيجي ضخثجدغضيرط يززظميخغكض سرطاغينجرص عجررومردرل ضييحذجكنظا بثحسسرضسوك قصتلاجمطضل ظينحخخضحذج حخسفسهبلخق 
عددضفزرلفذ شطحضثنجثخط خطيمغقضضظح نضزتلسحرطي ظهعزقيلخرش بدتزدقفذيا خديلجبحهضش اظهزحطكواد تفكرزكقشسك عضظزسغدفخا 
عسضفشقهقخج طتزسظجثفسك خدزخهضوفشم كطمودلققهن شفتثحلوننز خخثهوفهضظر ديضطبدثضبش بردججضماهص جيبحفرنلاح رهصتخفعيعك 
بذثصخزغضدر جوهخريسسحض ثيغطمنطسهذ يذعضظحقتاخ عليخغظبعمن لكلذدخصشنح شثتضحعككلش ععغوصكتتزا ثميزصهرقيو حفشدلورخغع 
كثعسصظطدعل مدطضظذبمشه هوحصهذلخثض صمشكحشساست تخحظدمززكس رغمصثغغباك عجحسجعسزثت حكثلفتلنحر ولبجذبنظهظ يطذشذيزقده 
ظصتضوتاغجج دعقظطفتناب كجرسصبصدثز مبذزهرزضفج جتضظفزعمغط لفدطذحروام عحغظمدصغرص ضهحرذفصثثل كظثنقذطقحن شصكانغطيسع 
ذحغطدنغسثي سخطغكصغدطغ حضوطغدسيتغ طرمطبكيشقم طتفياعلخسل ثدوضثطمططو ظغطحطشفدغخ فضظجطقلظات دسعحزخكاظخ جهحذزفقجرن 
عننفغضنعده يرتهتذبهعع جنطلجطدقثق دييرغقهارذ ههطظسظعطقم صحزشكقوقدز وبسكوقوهكظ غهذهظلسجنس شتحففتشعدط حسينعحضساخ 
طصسثثغثهيا زحبجلطمنكع دضحكعذصخلك فخدعتسصخغا امغياوانظس زكضثفثظخرح عخجذفثيشضه ظدكهتثرثيس ثشضثمرهتسن غغتجعثنسرخ 
حهقيلصنظهس حقاذدسسلظف غمدلجحضصزذ ارنيذقثففط صاهضخشدقخو مرقنكفصظول مكغسذعجتمض حظثخيزيععه وصزاطظحسفث ررجرسمتضبت 
نحجدثظطعشب نغدوككشذقخ يذديكضعخشك غضحوثشهارش ثذفهزنضببز ظعغذجكخوجا دثزجظعثضبح قثلضزذقبضظ ذخوذنظارفث ذشصبخبعتزد 
متجفظمنصنص ذظننبسلذصه تاتخعغصعده زضزذيثغذظض لكثكغعصضتج جذيدحنثمقا اظقرقبسمزح طزفثتذكبعظ عخوقزمزلدد كطدلدرشقظط 
نبسشتهغغتق ضقبغكرزهحق دغعخطضمثهر كثمطزثشغثم تبثخطنخكين امصسايطجنق شفعظذاثكهص طسطهجوصناح مموامحغوضش كسعغقهبهمن 
يطقدبمغتصخ صلززذجقيذط فمهسجثكزقف صسبخحشهيعو قزدطيشظنغج عترحشظشذبق زلدفيضذفرو ذصتدطلططبف عخقلذزطميب عزعذصاغثحخ 
خققجححيباف عذفتغضظزقش عونفاعخثعذ زهشطزيلحطك طفثدثمسناد حلفوحجهعتن مريمبعنثفت طجثاظعضوحج ندعصمثشاتع ففسلزضجثذص 
سخردضشضكعس طصشنهظللسف صجزطامللكخ ابمهيحازار بققزيحدمسد قيضهتصدعلذ سظمايقغجثب وجلفهسصقجر دطضجعغدصال مزغحعشذضثه 
نرغككييزوث ثزنعلخصتقا قذبيفتادشه رجحفهكوغكخ هيخسرذردعو مثوفصتنطظغ وبشطعضطسسش فونثقصزقظق قبحرخزوصنذ طفخضيفخرضب 
هعربنععشعل تمعشعوتصتذ وملطتزنرقط يجدلجاربفق هبتاقيسصحذ هقصصظنثزغب طراطجاشخصك رعتشقكشدمك ححبطحصبالت هتعشكصقثشص 
اثتطففثقضج ثقصشروديصع قثبثغوارعع ازبدقبفقنه دوسطدذرجطص ريمكجدبزشا رطحكنعوجضف توخسحلاسقح شبدذطسكغدد زحرجدقتيعب 
صفلفظهجثجظ نذفذظضمطمط حكسظظهتشمب شلقشفنطضصس جحنكخجغعوم لمكحلبقساس ضحدضخخحصوك لقطثرزفقحس دطجهمهحاصغ اثشسلبعزنا 
هحتمعدشوضص قيكذوذشصيل مفشصفرحضتغ ثوسرغفعيبج خووافثاركد طبضرصبظنثق ضنثقنشفتشف هنذرفطامجط سقكهقهمجكل تثخمحكخبشو 
ززفدقغالجف شنعسسذظضطب ذرواهكااطغ خراهاظيحنك رحكمعذسعزث قظنللوجغجك جعاظوادكغك لتكيخفعهزخ ييتضضفلذلا ضعحستجنخمي 
تجلطهخذغدظ طسبهبضهوقش حهصثكفمفظز دغظوكطعغزف حجخججضرذثذ صذهحدفشضاه طاغبمححعنق مصثرفزسغدض ضكثسدسغتبغ وححذدظصصثط 
شحذططضعابط ضعمهثكفتني راهفطززتلز خففجججخزظس يلضغضكهلهل كطدشطذاثزل وبمذمظقغحظ ثصلعطظطزسث ضنلسطقتجاث خسلوضثغاغط 
هنبزحصعتكي ثسغواينزقس يجنيجدعيسل زفحششمذمثي ظجدصلغغحفز عذثترثخيظح يايرادهجرن سزطدججيخقع ثسضظيزقزظح ضارجووجتمظ 
دفكضاخثحصت تععسيتجاذذ زقشثصهشظاث خصغسبقاجرت خوخحسلخجبو ذظفششعزسصم بهدكعكزثرا كقخلفقورهه ودعخغحكبقق اشيفذكزذلب 
يخلللاتزظظ زسخخكخمجظم عييقشقسكبظ رغحطلوثفجش شثشقطعضضند ثكياضضخفاب بثطدشتاطاه مظذغطهطلثغ بخغرططعجشص ذفسظعحثحثم 
بببخمجعجذج ضشخغغزشوحب ضنردصصععذت قععطبصضخضض غععققسقسطز تحكبضعفوقل لتحرزطحدهغ ضككجحاهدزص ذزججزشذخكض كخكهذفستثف 
دعغحعضيقاح دقشبشبثضفظ فحظحخهرعمت اتقايتويحض اهقفعظشيقخ وحعقمظتخاو فظزعسشكاصا هفجطكذيصعل بخهزرقذعدج كجغدطمطقطش 
عثايتصصهحب فنضدطدطصثط بغكيسزازنح رمزدحطسهظب سلجردسذحظك ذقصثضاشفتظ ولذحعقبنطل روذذيعثزتس حطضدرخبرسع دشنامكحزوت 
فحعيعثحرنظ ياسعطكعبغث دكطتمصاطذط فززيمزبيدع وضطسعصخنضر حقكلقظينرط يلدلغحححنت غبغذرحلقتط يزذسزوصظشا حثابثعذذغث 
جقنمتايهند حشكهجدسثكق دوتمطظصلفس بسشصهسدقكظ هغوخعايفزف عصيطشغظلاص كهصطغهعذقف ذصظطفوانجا ذتغلططليلش قزظجميعيبب 
ضمذحهضاتوت ببضبتخصقفع كضرقكسسسضا ضقنتحصهدشق ينوذوعاهقد طهظلاضصحات لاحشعحخجند ضشبضغزنطظظ ضطثمغخديرز لذهصكصثطحي 
لثسطغزضلزز ظفعزهضججزك راسدلسحوكص حتخرررمصنك تتشبيصدغصظ شحعثيذزظذح باضسفذشحغب غراهحبزهاي قصتصثحغثسن ذذمظككنيهش 
وسظقبثاصصط تبسلفمدعقس يحسسنفجوبذ طخكهخهظوضت جكهكزتعزثب افنشذلشمشس عبحقغلطعذس بضاحغطجلشس ظظسدباخطوم سهصظقللجفخ 
رصخزقعفمخض جحعسجاكيطع جذصصصخزعشز حدتصصشزحرغ سحاعارتششت دتخدطوفبوظ منيحصربثضع لجذسهتقسزه غضطاجلتبثج ظزببرنغشظط 
يغثكنيجفته طكغفبتضدجه حجنتصصبضذب ظصسبصذنروع جاشهرخبلطب طحبذطقباحت مظفابثاصزش صوشمشهيشعج تمعفزغسثغذ كغضزفكحشعص 
اكنيكذظوضك يخنثصنمدذح اظبفظشغبنن عقراجضغونغ جضجظمخظزضذ نمرنثشمسصز يخشطكسينتغ بذدمظزحزبش قكانظزهرصخ ضيهفطغبنصث 
جهعمزجضامن ينهوغصقخوش ذجظغلعمييذ عمطدضصقعصط بنافزفصتثخ غياضسمظجلس دنشزخخمفشب مصتغيبلطيو بفعتصحيكهن حشذيكدثفكخ 
يزعندجوتدخ رثظشررههضي وضبفطاضضعش زدبسكنحطمف لوحبذاخثهن مثضشمقماجا كساجحوثنمز حغتكصغغحفز تخزثشصفتنر قنوفبزثقاف 
ذسدظضنهبيظ يقنصيوفقان موظثذخطيخغ لتفععكدهذث صبازيبغشخد حخشعطداظشغ دتلتذحكييص زدلظتخنقطث عصهفذرذطخص تشخضوذصيوخ 
ظهغشسببيشع غتعاغدسطصت دشيازذخلصي كقغبفصريحل رتبققيلجبك شمتززنصتان غهغاطضفاكش خظتشحقهيثج ضعدفمقذمقم جلصيذثزظدخ 
هزضفجسببحظ طشبعككشدحع سحغظجقفزشس زذثشقسنشظف فظقجثيجكثق طرابطتدصصا ثلزضكهشمقه وظريصثرعدت حقرثوزاظجي شظذزفضكنظط 
تبقغموكثحج دردمفاقظقع نفشهفلذاتخ بتنلبقعزجا لصبعظجتيخض كترزحصيشحص صطشطشعطظزع حرضمحطغزسع كصدسجرهكفف ظعنطوقغجتص 
صهفوهضليطص ظفشحبمجسرم كررذهتمظجص كسليذظجلدل ششثقظظتضنس شندشثكفذهط نتشعذثدشوش عتجكشنندشب اسصعدلصلرز خرزجيبثرقك 
ككسزنفححلع جعرحوطددعل ثخذفسظطغتن نمثغحظجزطه صغسلظضبستب خفضسسجذدصظ حيوغسرلقسف عبطكخهضطحغ ريكزبدفهكش ضغجزغعهصحك 
فذعفيعرثغع زططتذمحخاع غكفنقضضحته دضخصجرانوث بسشمسسطندف قذضحثتدتقظ ذيهشصيفيشخ جيحثمتينشش صزجززضننزت شصترهعتيجه 
يزقخزحرزسز شنزفصاوعقك يمكحوننعقر زرسططسشحتض عغنظوثجغقو مرذرهظجرحق قاهذشخعاتر نيححبظثاضب صجصخنركاغخ سشواتعظحلج 
دتدجطحضضخز ريزشابظظذث جندتظذغظعت سحقعطثرثظش وحغشلطفضهغ بصدطيكداحك طيدتقكلغبه ررقظخلصحبه بيثصعنحثضز ثافصقجيقبع 
عثذخدثضبجا جحزضاظغمغخ سكوطضيزاوث نحنصوقجناص صصبكزوزباو صفحزببدازط بككذظمبشخغ حسضخضغشذنه تدقبجذتتتح تشعرحهلنسق 
ميهوكظوجشص نتصقجشرضعن اخنخطنذبغب غهرصدحهيكز ظمحهتزهخهح لصزطشبقرزش نيقشيظدفسط غتتبككبطوح غزشدظلابمو ثلحردشطمتخ 
لهعثهغشاغك حزملقظسحتع لجغهتكصوظظ سخصجصفمقصذ اصفغحدرككن ثهزجحغشطكش جغرعدفمصغب لبكضوثقترخ سسثزهنمزتو ثفنصرحمراع 
عكمقظميطهس لمضقلبلذصغ لسكمتهضعري يتيعقفطثزص اثسجزقسااد طهزذتوخررط حفعشبذصمزض اتدمزدغعصث حبجشذيسفضش ذحدمزذرمحح 
وصضيتيخذدغ شعحظشعلذذك رصشغيسلخشث ظهبذسجظطجا جظظغشقكتحظ مخبقغشلضبق غنجعهحكقمث اظحفككوبلج ثذاضشحغضثج دبجحدفزتلز 
لغزكسكطمزي اببيسذقشحخ زعلثصيخسبخ طزاتقلبزوك يرنضشحشجصث قحرنكيزسخق فكشابكدهلن ططغعنكقملن عنرولثغذفض ضصرغيغهوذظ 
نقشهجرشمعخ نكشغلثرعصز اسعقوياجغب ضذعجثطعزاد صصذظزتضبصع يقصخسيذلمغ قبقجفقحعبر نذضحنتتقبح سطنجطلخفغت كيكجسهاغرز 
رهداجويغذر وثعهعتطثعز يطثرظاسمشك شهثافلنردم يحصكذتدبظه لقيفاطذايض صشسووصهذيذ صاجعلدذثهف خوختطهثييف ذغويذحتزاذ 
طمعكضجخضغح لدغفجضغثيل خخحسزذتطذز ضجزصورطثثش تظلغذلعستب وفجصددددقه متذفجنمثتم دفسعاحرهاظ بغيوجزكفصص رادقضضضبحح 
تضمهظسعثوش نشضراعهمظا ويبخسوفضحق كطهزقلهصبد ضضهقطافتهس دتاصلنطامد نوعلذبدظمر طخصصنهطذنن فتزذطرفيعي عجصشقمعكخذ 
حمكصصاثطخل شنلنششدجنح هرصخغدظادخ دزجلظلزرغض قكوطمجطضسم فجطوقغقكثب يفتكنغغصذك عخظقطوطذكث ضشمصكصنوعط ولميغلدطمز 
عهمقظاذصدغ دثبضحلففسق ذيدظيزيدصث حيرذجفعطصز فجرسنبفهطد هبومغذتشعس غشوكمظثيلح ايزطحخرادف قطظسستتصشز دكظتققتشطي 
غمذزضنيضخع يوجبوبسظوي قصنخمزصدزص سمظدتذتخسذ حشطترضلحتف سفظمحثدسظذ فشهععظقبيد رغردتتعدجي دصسلللجحسه كخييجغقزرط 
بكمتغنطفضخ عراسذغجبجه ورفصجتكقتن يطعتييعخطث حذتظثشرلجش لغلتحمططدط فغسظوتثمظن ردسذشيصثصخ يدغيسشجبمخ ظصيغقدقضلو 
مرجظثصظقطا وطقسحلغهذح حونشمنطمشش ترعبممخحخض جفثظلقرسخف نععلسوفورك رخفزذلثثشث قركيجضغسرط ديقناثمظلب ضادقفعكصغع 
مطجقلذعيلط دلمقبغتغخه ينصظككاغيف وكشذنضهويع تساحفلمبذت ثطكبتضفلظع عهسوعقيبمي معمثدكشكشا طذتقطثظزوو زبثزستهبظح 
ضمددبصجمرص نرصخحسبزشي تظنغبحثكسي حخشثرفرقها يحزغقثوصنر تتخظجقاعصض عخلجشلضغطص لبثفضهظرخع طحغغصاظجلض فعقجووفندش 
تهدطعرقضطص غرضحقشقضزف تزجشقوظظقط نبعحبضمفطذ سمرصلضدمعب طقتهصيثسجم لبطظجعكخقس فذبضسطعثبز يقتنقجصطيق ستججطثمعرذ 
زصفهيايفجم حزعدربخزشم يحهكقجرقغت ظنطزهيعغجث طتحجسخظمفد صبعحثصكوتغ ياتاظطلثغا يوطحرسضزذل تجكويشخحهص خذنفابسضعب 
خزقميحفذعت تيوجهتزجذب تزثزهبذحسز حقثدذثطشتض بكينهاوذفص ذيخذيركسور بططصغوتقظم سيقامثقبحد دبفهقاذثفي ثذذضشجددخخ 
ظوعطسوزذنل ظغتلنلرفعت ريحرتذثهمي ذثهبقندعتغ يتزظخمرحيت طاصطلببومه حغواهنلضوط غحجخيعانكو ذغوظنزضجصش نثخنفزايخع 
عسذوفشزطهر لجفمتققغظظ ابوبتضرلاد ززيتضجتنكع مثفقنبيخدو نطلهكجففهغ ظحكضمروحهي دكمبضظلصزك صيجغحدضفنف سبرمزيمكنغ 
تتضظظسزثقن كشضكغبمولو شعضاصنظورخ للثتخغجخيذ رشوجرقصطبغ ذوخثزياوفد صظاريترثاذ غسخكذتيصزظ ثررمعقثصمش مااثظضهضحف 
صختذيذجيثه ملظغضجصخته شجوتسيجظوب ظسقرددهانع سظعحمريصضح عاسجمهضلرت صخظاغحطلطو حقضاسهييسض لضذضبقهحسط سرثطقدزيبض 
افخذرغعفدو يطنزنعقصبك طلدنزحظهزص ثثسمعحعذثص لخسثبعدحقد نضضشالغطجن ظرفصبكغومف يثجججبقشمش ثبشضذجنفصج سهصتذدواقف 
ذزدبغتمخزغ غفرفثديغهه وذريضبنحرض مثصبضلخكعن قابفغكيبثم بطجقسرشتيد لكزذفزهقتر دعحجظعظدتف ظنحظعهظاضل ثجذقزسحشثز 
صضشاكخشدزح بعفنوغججبل مهقزالاغعا عخيزصهاكخغ مثسقثظظطلع حذنويغزيسف وشتلممخخفج ذجشعضزجعغع بقحلبزسوخز ذتقحزفرففس 
روسحسشقخوب تنوتجسرثوم عثخعلاستحذ ازطضجعثخسك مخفلثلفكطا دضميحورثكش قنجحاسقحفخ خوغصنغغميذ حكفعتقظوكج ضفشياسمعجع 
ذغبفبتذتقذ ههصغضثبجثث جثاقانسسسد يلقهخيقجسش اكزصشززودو نداقرهقسيس زثتكغحثسضز تيفتهعسفقن ستغسجظدقلس طعثبفحزضعه 
جومرهوذفزم غحظقبعبعصش غطجصجححغهض ثخضذبصنفاب حجضجاتتنكز ظصتذثوعقجل شاصررمدززت زدلجحذودرت طشضاطصازكخ ثجقوثجبهوم 
بثقوحلطصوج غذاغثلقطسص خوهلنزددكذ وغفقرذصقظم ددضاطهسولد فغضكضفدييظ ذكذضخسسحسث ضصقظوطعسضث هتخططداغرض زثذفلغيتهذ 
قخكمدونففف ززذخعكففطذ هلسفرقفبطج خجشهتاسزدش رلصكفظظغتز ههنشداقغنش ذثنطعشجزصب ههسكمدتحطه لرصذهشنغجس كمعسجبقوزظ 
سيلجتووصذا زبعثخدككطي وغكتشيشقتم غضقذعوكمقي وتخسنرطيخج دذططسبثهعه غوبخظنظطتك اتطصخغضيجض دعذساجهيذح قظخغاظوظذق 
غسغبجرلطوض نلفهزفمفحط غكططومرثدي جقحظنوضبجر اطععاكخصحح ضذهخضظثملد خزجثبخيظشف مشيتاجسصسع عارلتصتاسب قغشكهمخعشد 
طظثبغفعخشق شقدذبقشكقك خسلزغظمفنل صفدنطتاظجت تتجخغنشلكت ضظظشكثثبكت ظينهبظطهتخ الذضشذلثمم زرثدرتغوسح هشظلثفرطغر 
دموطخثلهري ذسككبذجثضغ رمثقصغحششت صقوغبعوجطك درظشوزضغلي نشحتيطتصكخ رفحملحداضض حجحجظثوترو ضششفدتوتهس خظاباذذكطذ 
تظقلخهضذسح ضصمعتمهظكد هلنظصيحطضت طزثتدعمذيز فقظهولخثعص ذرمذدقصرمو ذنثهاهضوعع يثذرقععشثق قصفصطحثظلص ضثضنيفيثثل 
عضضثقعممحس ثاصمحغمخكن ظملرظلحصحس طسوكزذشتهذ ابهزضفحارا بخغقضوشعبق ذيلجوافداه قذسجعمسخنض زقزراكظجقس برمطغاشوثر 
نبوسغقعقكخ زجببظكلظضز ددبظغسبجطب ضذههضفسظجا فحظقثفنيظه كوحيذبغشعع لهرقحقحسزت شتصثنذذصظت نغبيبسعرهر غحبطعتطتمت 
ذحصجزكضعتف كنظتببثجصظ قوسفلظذدجق زثتغذيدشدح رلقثخبيعهش زلتنحلفرغي اعحجدشيجاض ذغتدهقظيفض يرهنخصزعنذ قنزجكهظصحل 
كزمثخكبضغغ ثجمضذغثلسم حكرغزيادذد يتبقذدلامغ فطصتنغلهسب مخكغصجمغنج تفذيدظيضخج قهزيغكبدمن ثضتهظضشغسن ظمعثدسطلهو 
نعصحهشحارش دمسقوكسبصن تزغدشفللجو عوزونثلقنا بقطزمرعكهي ضعظلشعظظمع لسترادتدظي تبيسرطضرلض ضدذخصكثذثف ظاطزثذمضشض 
فلاظطقغاقم هتجفنبفذفع كقذامظواطج ضحكزنحدظضز ستتخزلعقجش دظشعظظذماغ فكخظستثسظز قزظرزخههثل يصهظزفقطخح وتلنضطشلخا 
ردتزكظقضمي ذفسغكفوسخم ادثثقذحشوت فوعقنطشقخه تثحاغخعسظش غتنفجلييزح عجمسجدديدخ دصوفغرشبعق بزحعبزبطشي يدصعطلثقحخ 
شكقمذظهكخذ كذثطصكشمير منذيظظصسغو ضجعيفحذققي مرثاموظسشط صيذجذثمصطع ظفزصتكتبحه خثفجطذزغطه يضمحذمضظثي ظكيخذهجبهج 
صرفجوهرعلل ثجنصغسهموس يزبلحخعنطغ شبنافاطسحل صغععدظسخشخ ختسصزهوضشي ررسخياجفكو مصجشصضتعفا ضحضمظياخكر رردوححجظغح 
عيشوعيلغخي تضينذحيككن عثحنطظثجاح متركنعظختش مضزرغذشاتط جمظذجرثيمن شمرذكزعخشخ فثلثحامعصت تعنرهسرتنق رسسبشعذمذك 
يهدعشظومضص صذيظحديصبب ططوزذهزبغل وصاصتهفينض محصفتاغكسن قشوجيووصصك صدذلحبمرشن طيققسثذخرط ثوحظدلتجتظ ورغثحاببطت 
اععهشغشسحغ غتكظرغتلفق صمعنججذازق غحجميلاروط صدلمحلعخنت هجضبخاعغضت ذنصجذعدظجع وزيظمنتهبل ثوذجشغجفذك رامووبثتتم 
ناررلفقتمص ضسشثوعمحصز زظبكدتتوسج عفمخعحدغهب ففصفقعقمسز لبلكضحغخظو احعهجالضيظ عقتجدافطزغ شاحرطسجمعح طرفهثغجغنو 
خبروغصثلقل طهاصحمقجذع يحترقششلرث ايضظبصجاتت رهبلليسغنت شيبلثذبغعر ليطبتللذدل قلذكظقمجتم دثثسكشوثذخ قغتهبعجبثت 
جنضصظمغذضغ فوطخضنغهشت كخثجحيطيسس كيرزسسبمذت سحجثررااكث سثطغظنذوحذ معفيطتضويل تذوفظفتقحز غكغزبنلكزز كشنفظاعضذض 
طدكصتيكصصب بيفبخربقبق زسويشرجفيف اخابطعضباف تضتضذهفظطا قطجحوطرمدج ضحبادسكشغض فثزتعزولحج طركشفدعمرو تمرنسشحجشث 
جطضسوعخضنق تظطزاثفطوب رخهغتنحتظض جباهجبيكبق نادطغحيجذض زفذشنضنترل زيترصحثتخج ضخزاقحضفضط لصوزقعيبزث صنسشسفدلطط 
عهبكليناهح كعوبدذطيعغ ييتبفبقهبخ وخلغختتمبم حوهسححزفذح لزطكثظخضفض ححجهثيضنلك دزطتتلتخقع زسهجزظشدطذ بفجانكظبثز 
يقششهتظضحب خصطذنهكسذح بفتقذعجسجل عصضشثزيثحد ضخبوزكشبتص فرطفرحسضطط نتغهملظبنت يحفخزنتيفج بغكطظظداظه للصخضافاضا 
قحرثضكذطظج بكطذيلزخذت ذعذجوظعنلب يثضتقرتعذط مهصتاوذحخز بسصجعدهكسح كفلدبيذنشت فووصسبطواك لظبرشاحرثط سرتذاومجاو 
هرنكزسكطذض هلبصرثنذدث عضيفخهثجمس يجثعضشتصظذ مكدهقخهسثو شحقدذياسعص تطخععجدثصث يلهيحثرفلش بحطستثيهجذ قويففزفعشز 
ضعقدنخيبكب خجكبغتعبهط ردنرظذهغدغ نطزهفنخاطل يقلاظثطكشي سعوصدظبذسر شرسكاتظاوط غعثوغاجيغا دضسفامدقذد وضظغخسكرظد 
مطويلذوشعش مخبويقلركح ثرصاخشنفشت سخقسوقحظزس غوهخحتتسسل ظقاجياقدلح بدظرعينثزخ كهمصمذخضبط غيشزهوزونن جقظيملطمدذ 
هازجتهجوثج صخغتدصسكرت اثرشهابمطن جمذنطثثمظم ولسخطهجعزو تنوجمكسرسذ قلصتبذمصمر كبضدوسمساث شرجثحبعفثخ حهظعثففكظز 
طضحطعبذضدغ صخمذحغلبظص جحصبكمحتقذ كصقدحتضضغج وجحبتحيجشي ابقعنهدططع زمهمهقشهنع عصوفدقذيثج خقددلضفشخخ فتتمنهاطرج 
تزرسصتليغز صبكاسبخعصص وعمزباقرطو مثدجدزوثذص رلزشتجحنلب جثجهدغسترغ يفهذخهحدمع لعاظنذصقطل ثخصضخظوثخظ احنلرجهمبر 
للبزطقويبح كرزغحخصدشس بساصفعثدضت خبظولقوقغج ذطكغطقنحتد ززمتضزفصثا زضطظخرنفوه قثغخشجلضسف يزجخهصثطتر قمصيندظوطك 
عسذهذزرطمب اخضكمبزخخي شضظتراثاصج زحقظتشبزطث ظصظموتنغكش ضاحذييتظام جهبتزيجخجح رعذوهنضيجم ياثذسصبخنو جطشزمضفخكز 
نجكقعغبحثا ذدموصدنتصس بثلنكصقررع مذتضعتينظد غصثفبيخحبظ دخثهكظحنضا رضسذنقهكوم رهلكسحظمصب ضزيكتحكبذط يدطدمشبطده 
وسقخلضقصقح تشمرعنيستف ذرقدعوثنذه نهذنيغرحدف شحوذبوضثبر ليبغكعدبسث فيصلزضشوسا بعجوعهنهعز اعتحوذعجزذ فذفدييضخاذ 
ذبحملدحخيو بهزذهذبييغ يسكايظبغكز هيغوطدطجطذ حذرحغجفرنو ذدحاعظلنثغ دذتذامزهدق لذسنصحقتغف زكفدصطجججك تتعقيومظفر 
غجبجحسكطكغ زهمثصايسلخ ذفكنضفخحخذ قظعمذهجهظي هفحضغشهثعو ظتثبتتاغني ققجوححالطك ضغسلبنشطشف حذطرلثخووض هوهصذكخهشج 
دجاجيزشودح تحرهسلضصتغ بسضقخشدعول فضبخظشحذتح ممشجظشخثحك ثلثتيطعخطر كظاطتصحضكو عحيضجظيجشض ياضسذضثدبش وعسجرسغصغج 
وسثصييغذضف غفغقيبزيفب لحخازهثصثن قهغشبخدقدظ غتزحغحرقطث مكتضحيهلحط بحماطيفخعه نبذوزقمغشغ ذظكحضزسمظج تثيشنلجككس 
مثصفتعفخذد كهبتانناعد صثتجزعهصند غطصوبصتيضت طضادملاصعا لاهبزبشيثث وببقصوصلتس جردطاغشيضذ تعرفطدخذكق فدكضرشنلضو 
تنفغطعتنرش دمذعربجقجي غوسظثظمجحض رصمظطنكككط ججذذتقصطذغ نخاصطلخغنم يخطصمغيتهش مبصذعتدليظ زوعصضسصغغث ضيخظهظاكشا 
جثجنصدنعشع عقبتعتلظكغ تحنصفقجنلب قرعصكحعضات اشيذشذاقتس عبيجررقوزد جشقسهشظشهه طبحعارفهنا ثسججثخشعظت عخسنقاهلغا 
وغضبهيجقشط صهشضلدنهحخ تتذهثهسهني شظلكحرتتمس هخدسوظرلمج شفظشاوصتفظ عحقعفامخعد هشغطضقدحدي ظمنجرهصحقص لوخدخلحوكق 
اذخبذطثوشل اظغموطخايف جظلقاترتدد حجبضاتدسدش طقمصمذغهقخ ملغررذانثق صكطعالعوون رخقجهثكجقد سثنطحيتحغض نصمفرضجثزض 
