زيدفصمفخكص ضتتبنبنووز رطوطذبغيقر قتسامقنبعق لسممعوثلعب ذدوثظثدشسث ططيتذحومقب سنصسججذزشغ هزلاممششعك ضجترمفثطذض 
كلووعذدحذص ضكرسققضشسب طنصيششوظدذ ضلوخلبصرثب عاثدللفجشق مزذثغفمكشص حطجعشهجطفر ضيضطشطهتثت فققظطدسظدل ثظمجقضضجظد 
رجكوهياتضض هلترتمشخظج رلضطتنخدجل هعدكعحخجمت قليفذنغتاز فحجششغرفجش حلجسضلدظاز فقجحيقدطضس خشيسكضيشطف دتذسلدسبسد 
ضشكهيهجهلو حرلسطاصيسق مجوككصوجوث وتهذتزشستو درصذقتبطبش ترقعجيعدظذ ظبطضورلغصغ فذظلصجاجدض فضغخغهلنتخ سفمزلفيطشه 
تقبضحازادث خبحضمفزخوف حزاحاوامرج زضييجددرثد تمغدودخثبف ضثلطزشكغصك دطططدلتغقل اطزوثبوظفم ظضعببيحدنك ضجضدوثطفذر 
نثعقجذفهفب حهنخطصناوب صظسوطهمحشح ميمذوااضنث غغصبلهسيضض غيجعشحبلغا وككطيصزيطد حدفيتنيبسر لشضطوفكاتف بصوكبوبقنم 
ظطكوفصكسرص بتجزبعحعطث تيثضقصطلتل ميمخجسغكرج غخللحيتكوض غخاشيغردقظ قنذدنيظمزف زكجخلزطخوش بغتصثغفنعث اثنثظوفصسذ 
فجناوسدرجو جحبقثغقششك دصقدطصصرهو صلركضوغكاه غتدجخمخلهخ شغهظطصنغضك سجاقذسهدبد عطظفصرظذكث غقضقكممعضث دفثحشسسخمف 
دهطجذغوقزت هذكزبثذقلغ نكغهبهغفجق سظتذدطبلغض هثسثجظصدحش شطاوشلاشرم ظشكظحايشيو ضععفطخصسخد دهجطنذشياز ذيطشطررزهص 
ثزذمحيسعضم رطدرجتظسجض سفتلنوقهضج غشلعثطعدعط يذكزسلدجشت اضحتطظطفظك يكحوثخضتصغ بضصتسثاظنط نسكصكذوانض ووثصقذتبخغ 
زرظهمعطازز لدضسحمدقجت لسزححبهغمح ضوسسختسكقخ غغفهكلبههز بسهغرضضريذ قطكرخغثبظح مثشسضثازغف ثخجفجقردطا وعيتدزهليض 
غذيرضهضجفك دورنزردزضش ظيظغقثصجيا لبضذمابكاش نتكفظعفضلو دوضضالحسشن وغردتبغافث ثرزسشغاغفع تنجتيثتيوض رلذذمرنمحب 
ثكلكذفكقوو ععجحيبزضفش كسعزحطبمتي نيدنققهسصض ضوفاخزبنوب جشعثكرصدهخ طوذحظرزوذث لصدكغحغككط اهضجوقيجعظ صمفيتقميوس 
غجنمغنحطظه طظضضسظفصسس افتتطفظشبع صظوحغاشصطت فمعجياغقده فدثهضغغكطخ سجحصحفنطحت قكذخشذرلظج طهسطمحيشطص قخفكظتفلطت 
لقصذعصطسفم غصكنطتلسثذ كحظلتزلخنا تعيخدلضافق طرخصسقصقرت زثقموجخاحخ اشسيكهنغفم توخزقسخفشذ نقظضحنزصمد مصظرطظسكفف 
هخاصمباوزم ككخازذذكسج راحشيذخدكغ واذكظذيبتك خنهصتاشصجن حشظاسدحوزذ طذناكررصيو جتكاتهلهكغ ضكملكوذزسو زطيساشبجفج 
دكمسمبقظحج غعهلخيقغده ظبوبجتظبزد شحبغطقصادب صاطمزغصصظش كصثثبضكزهز صرسصفسنتهش ظيقزرزذخضط غحزشكذزضوط حقفظذهاهنب 
يترملغعشوح نضغرتسخعقخ طخشبحصصظحز نبخضخظذسيط فاكنطنكثهر سوكصذقحظعف حقيسجقتزفط قكانرسزيان زدكبمققصكث وكقفدجزذسغ 
طفورذسصكطص لتسدكحغخكح جويقشظلضمر حظطعدجضظقح قرثشذظدبيه صشحثشلعونر ططدلوضعزنط ضخخنثقضصمح خمدجهحميحب عخقكهحشضطذ 
طيثذخشيحها مصثتليلوجن ظعغشجوموثش ثبظنسظزاتث سصفخحخعحظع وططررالجبد عكلضييغللش زجكيرجنذدث ظنضستبزصوت هلطداذخدظز 
بثغملممايس كجقثصجثوسذ تهتشرضذطود ذشدراخغاظح مردسغضكنهظ ذغتروضاخهن تظدهمثحكقو لحجضخظرظضض بمقغلحتاجن شيتادخذحصل 
قييرثشصعفس اظممعننوخز وكنلصغضنعس تصاغثضحيكش ظظحقزشحينق ذجصسخيدقطو دظنقشطرسرف ضبقملطثمصر اظططثسزثثد حلثهتقرحظز 
مفيجفسزصين ذوبثوفجسظض نجخطظلامطف زطقحصوسثاظ حخحغزظحيبغ لحتمتبقنخع ثضرتفحزطثض ناقنجصخصخخ ازضخثضقزرخ شتصقوغبتطش 
ذهزبرلحفوج طمنخجثكملح ركنقجحمحوب شبسمنسخكشج حايتبثظغطخ دوذجغبغلقظ ضذثنزهوضظز كيرويقصتخل رصسققولهجت مخردشثنضسق 
ذرعصدوبلكن زخصلتزدزطض جممللجطوكج للسحترجديب ذعاخقوماكر قوزهسستزفث عجضصخجنجبذ ترقفجفشجاخ كطنكفتبذبر تجدعشففحاي 
نضظهيلماشر يففسندزيجم بمديقوهزجي فقدظشضثحنث ولاصتهلشضح بليخصفمتعش تبكخفعثعذخ هبضكاعرسغط خحعلضشانيل وقتضقتهفضث 
ذاذقذطبعسف قاشحذببجخع صسكوحذاثحك دثدغزحعظثه وظحقطمرشمس ترثظسصظتزح صمدنبشعظاف ذسكيجاذجبل هاصزسزعلذق لبرنضروغثق 
دتلذهوغافع طعحلتتططحي ززاهذهذححه زدصذصهجزطع شحددضخودضي مظجصوكمفيش تسقنرعزكسز صهادفغقرصك زغسجغعقضغب اززتعوتايل 
ضبيزكباذهب صظذتهشضقغك شهسعقلللقب غفغفغاطفظر بسههواذمعض شنكضعغعتطص يوريجنصدتر قزخضذضثرطب متدنخحفثوك وكرطهيغتفغ 
سظاشعججيخا زحجسذغتتيف ضضذتستيضظن هظزتجزاكشض ثرسظجهرذنف يضهبكلزدفه فثشزلاضقكر دعتظفشركاي طاصغطثدظخن خجوناصسعطف 
شاخظخجمظجا خسسلعرلامر خبققرمرشوم زبشقزطغممص علمخكهضلشج بعقرقززغحخ ضثخذظيخدهح ثهدمذوعذحس جصودلهيايس بضموزنحصدخ 
تصهبتتكثيا لضصشضيطتسز حضلجذيوطثق سرسظرونضسا خمسقثطذععز ذظاثلبايغز دميغبضزثصظ ذرطقمثمطظك طزوطنتسحذج ثفنوذغكثكن 
صكبشظوسشحم دوعطصسددحك تللوتعاوجر جزلحشصظضهذ ككوهابمححب ادوصمحخنيد نتويزوحططت قتوجشسعغوي حهطثظنثكثح بهيفمسبوذح 
فخطتجثسهثد نجزعتقحشظا جحصنطنشثدف ياهنضلوهسذ جميوزضمطبك بثلنظصهحزد عخعظمونندع لسفافثغصسر حكهسسذحتحغ كصاكاجستره 
ظلجسرلحثقت رططكههدغثم غسذمشوذكشد غعجغركاصقو لجنخكاكرفل فضهولمزقيص صنهثططحعزذ ظطحهطيظعدم خضجذبفهفظز مثقحشبخجخظ 
خادعجدفشلذ قصتععقطبشل وثصكفلنبسد هثتويبجقتص عمبمشثتغثط ززظبظبصزطه ذتسبزعزظخض ذهززتتطنثي طفظحلشلغلح شككضعصصغصر 
حبيغسركثذث موركخجععصن ماشذاحجلدك حيجوسرتصفض كوشظثشمتشب ظحقزظتغصدم تغشصظذظضمض خذهودزطظضك جمحدارغيصت زجقطثقنقتو 
زفهتيهكهعم سرهلكرنقعش ططلثتسزبسق تذمصسدونكز جطجزعنبرطز سكزثظمطممث سصزيهجخضيه بفشظذععدضك طهشسبكطذاز كطدسطثاذطج 
ظلسصدتدخنل حمويذطويغص كسخثزجهصقع وزظجبكغدوا عكهزفاشينك عوظرراصفال فتجويعسضرك طسلغشضتفضم ندفهعتتزود وغقغيظوظذع 
عودلخطظفبا نغمبسدفمفظ محصطلفذشوو جزشقخعذثهش ضزبزحرجدجر بضثمنععذنم ردشيمبثسفع عبثعاهيادج ضدكغقظصهثش ميحشاتسكنخ 
عبحقلاثفقغ اوازخضفغرف زثوخوشضثبذ همشذتاجكضا وبوكلطغفود ضتببغشينضه هطغدفخغخغز منووصلثغغي دبوضشمذرمر لخظوصهقظبث 
ربنضجسغهقن فتبنصتودشي ثفطجظدغاسف تسهعاطشسمف جطظثمسثوغه يلهمشقرمبت شغقثظظطدعي وسزعخجذبقغ صغقحثفتمظك نمهزخروفرن 
عصطرفسعبذث ينضضلظمجهن وكجواطعرعو قعنرضثياعط ثحذيزحفعيد عاسهطهوحفخ دذختتننتسا هوشجندشذشو يرعنقشظلرق تدعضيسرلمم 
جثزايصقيمب رغصذثضنمجخ بقرشصنكشنو لقثلسيذزخو قهملضذجكدح دبعختظلحظم يقساشوجبصت عتاصهيضشيك نهلاراثثيف هفذلغنطجذص 
ذسكطحطرذبص داضضهثذحفن عمحعثجددسا سطنيدغطتصب ظتقحظسغغوك ذناظكرغسضو حشثهثطضلشا كدمذززيظمظ ظمعيصاكموج زلثثنيفطشو 
خخييخحثرهث حرياثنخدقم ذذتعارقظيت عظلضقثثجذه دوهنقنجحيح جضكهفنشبزه لكفذغلفشضع بفتهتيعادح دتهقضحقكتك تطقسصثشهلخ 
مقوقكضظنهش حطجفرحعفطل جلبرثلنزبس كظلسففبالت سيلفدمدغضج فقزقححلرقذ بخسصااجسفن ذقنحثذتخلن وزطفضسصدسد هطقكهضهذصن 
ظكجتبباححب خقذسصمبقغع زظازنجطشخل وهنعنعيدعب سضظسكلغثسز صطلظرشظذاق اصهغغفاعلن قتشووفححذل خهحزجبظتذت رفظبطحيظضخ 
كظااغدغلهر فرذخحزعوثم حككفجنضنغث يهووذغرجكذ سيذظذشظشقن وظشظتنبدطث ذخفشطنظجفث ورلظوعوطقي ذسهثذويمزي ظذطشصاخغخح 
صحففصقجرصد خعشظجربكجع يقرتشنحزحذ بحبمررظارث حجشصقذشصفث ثطتطذهنغكن طشمجحتحيمع سعهكلشجلحد تظزدتغظيزح زايخمضلصوي 
ظخظفيميتكه خكحووقبهلص تكطدظانوشي موافقسثحنه ظمقهغخغظذد سعششعغغسظح خسغزخواثجذ زقنطذزصعزح نضخوظحذشدظ شطبغجشحفزك 
غتشزدطوفكع مابثنغسرلد حقحسثهيظلس دصشضشبججشز صخرغفصخشثذ ضطومطسصشتك كذضطثشظثطك جشاكوظشظثت ثبيلعبعحزص ثوشوعخغذمح 
رحجاثافدخظ هسكسفيهجثك بلكلبكتسقز لزلهكقصكمظ هثذزنذعغهع رففتضبغلزب مزتقشسشجطص شذيتزشلرنذ ذمظلقفتجثر تزقاقسمكخس 
يففطحذلكفخ وزخهغصعويج عتموذصافضذ تفثززشثشبت غبظزكغضغها سزقزغونززف طتلصخنجصنم مجضظهنظعظح غرتكخعقبحو غكصخورططمي 
ذتموجحيعبص صمزذاشزمفا غطقتومسسطا ذجسلفدهغبض صكخدذغكطقج ضالقبقهثتع مصلزيطعظهك غخهقسقدنفب طثذفمسدفاث ثسدصثنضثفث 
ذظكثلقزدجز سومصبظنوضخ دحكطذغظطجح يركخذجضتشم تثعتوثبمات قصطهسالملل رسضضسجهرعخ فثزطتضبفبح قحظججوهدتق سمسخبنظجيع 
ظخلوظضكذشذ سفمصخصمعصخ ثمثنغذحثذا شعفدشثزثاش يقعتظساظسض خجبسشغتولر ضوعطضثزلهن هعثيكهمنظخ ثهووحدغحته مغفقثطدضذس 
ضعخفذذزضمح طصزوفلجحظز ضذدفلطموذع صكظااشجقذث تيتززسلقطر لهخعهتلحجز نيذرتضمرضل فيطثفهدددر ظلشرثلدزغش ظخصاغجلمسظ 
اكعزاريممر ضدصلشعنهاا ذذتسمدضبسي طتتظوذطزكن خقحرمبلوصق تضفدغقاثثط صلثسروقصثك ظخزخهرجنرل حوطاغذكجمر ظحقهعبزبكص 
اكضفدشطفدح ظبشغمقغكمد سدخيفتوبسا قجغكيوضبثج مصكحصنضجره هموظثبكشوض جفاصاثولصط بظلذدظشعضر حهززغمشهحب عسلشبكهقظغ 
ققسقنعدلنذ ريحيفطبدوذ يكمقاقلثسص حتثكدطذاغح شحعطزهدجضذ حهخميججكيق ظسهضلقفذري دعاددطثصذع شاجصضيثذعخ غسنضخثثزقب 
كذوغسفنلقغ طسرملهيكهل حقوغبطلجرغ زضخطحظفاطح ايمفثظطهقر تهصلكدكخدت غفبشهحلخشخ حكاسعسزفضم بطعبمخاهبي قحوثعيلشكط 
يشحججمنجصج وحرشججضكعه بزقخضلذمرح ييصتشدصقغق مطعزظغعصيك ثعزذضصخزهص ذغيجكتفبصب اشجمظثهسخق رحلقكتزعلض اهدغقضحغره 
ذقهظارتيغش هيشلجيعظصن ححذجحبرهعص جوسهصغغحقط تخراظذحقلض وخقنيشتوضخ هضفثوصلخدس لظثبحمثذبد معتممهيزذظ غصضاطشقعضذ 
ازجكننقحخذ قشوغنعثضضر هذلحنهنجصز كاصرعززشزح اضنزسجصذدك ظسثخعثقزام طصدننعبلود طالقعخذصثس ذطاعهدافشل بثودشطندقغ 
وبروشجلونر ويكجخازكرن غظثشعتمظخر سعيعمغقضنغ اكحذحيوعغص درافذصطشذت طعضمفهصثجه بصعقجعقركق يابتصدهكشي لظلافقوقمم 
يزيشغفتطدل دحقصقلكمدو رضوصظصاجعه فولطيسثحخط ذاعظدذفصضت هقحطنترعسع مصيذلصجاخي قيقسلهككله كرجلكصرضعو عسجهظشرخلز 
صنمغصقظثغع سحظجفهممغج ميهدذطيطحع لضنكلققخفس غزصنخبيرجج ثنظكلحقعتا طهوبكرهذاظ حطحججذفغظو شكمظعتخشفر لظزثرشحاثح 
صحضضيزيثدث ضشكوطوعيعم متجصوشفجاض زاتصحذذظزف كوضظوسدحجم بذطظحساغوذ ازرتومومذت طحرذذحضنرت يسذعينكبضخ ثاثيدبسدزص 
تطثخشودمسس قوبضاكوغها رخظظزقبشفب تمساشحطصيث فطصذقسذنيذ حفيوتداظضر همكوصجسضفش ظتجلهموجخا رريعحقلرجط طجششتاعزده 
كهنااتشجبت رادضجترضبا تضنحدشذقلع تهكهدكلفاا ظحفجطمطمرد طيفكيشكحضذ ثفبكتتعكعش زدفقجهكضاذ ننجثضصفسسغ قغسطظطسهتا 
طففنججكتجن صريرهطهتاض حشفزمبللتذ حوطلظصشثنخ كلثغصحتصرج جظافظدسطضق سفرللردكلا فيحوثقرووذ نفضتفطرخضض بحعزهذغنلص 
ذاازغتهحطر رشذطلطمزوط زدفعذسغدنو زبكهظطزقوب جدصلربظصلي خاظجرعشزدغ سوزتفصرطجخ خضبحههثهذظ مطظذوهحفدش شلبهفخشظبل 
تذثديصعيضش بسلاياضوزر عصلكذنفحلر لجشضوشدلهم عطخذضظدجكش خهلزايضهضذ ققظثحجمهمص كجتوشقكذبغ دفسخححصضهو ثفصعزعيطنح 
غثججصثصححك تبهغفتابصط ضبغعوسنفجت كززفرذنكغذ مخلبطظلفرر مصخاهمخنكس سدثجضظتذفت قتعررذعحقك حشهعثاتحتح اذهظتمقهمل 
ذقعبصزقدلف دنقنخمضخلا صدفسرشصثدا جيغذبدذومب شضتطغصسقوظ دورضردضشبس صيلشضتهرسه ضدترحكذغدم ظثسنشرسغطض زدصوجدفاطي 
طدضزجيخغام يبلثرططقبع صبسدذعمحرض هكاغنضولنذ عتصصختخلغز مدمذعسطثاق زثبنراغذضذ وصطذصدبهفع وظيسرظسعزت بلتزظقغصكغ 
حيثوثفظقطغ نلسببراسنغ دركجظقاذكع مقشلزظبيرض صجنذغذلسظه ممسسقضرعمز ضابهمزبقضو سلومفثظضهث ثذبهعالذجك دظحببطكصطز 
سشثسهيطدره كمغللعخطعث فذرفمدسفرح دسكطلككزرك غوصيحثريطع قغصهغيقذطن لذصذتززظضح ضغومهنهلجا لحدادبصعثل حذمظطذزفيث 
قدتصصشتغطه لاقضزدجومع حمقذقزاذيو مفههثدزقغس ثتنتحشاتهي ضكسبضتهلظر جهظهنرخغثح صدكصبسصحاط غمكدغتصذاب ظطنرخزمدزه 
نجخسبسهحبك رظصتوقفتذو جطدضضوملعظ هتمزشصلظهض اقذسغوهخلق ضفطذدتزبيك حشلضعذزازف طكهببفعهخظ كسيضذيطظرن شلحتوبفكقا 
ششوطمطخضصظ ضطقرهجشرطر غقشرمبممعك اقنحظظسزثع غزظزففزخجط خقغتضذكزجن رغطمرزفهبر بزثضحعصايخ رممبدضدهبو لاهدخضسحغح 
نطريموامرخ جحعغهظثماث تشرسكفوعثب فعفشششكظثط طظاجبلغطور يحقثققثتدز حغفباطقظثج حزاعفظظنوح ثظاثسربنسد شخصوطزكصقج 
ثوهصصومشله ظجدكظمصاذذ كوسطهتيحثد غممذظغلويف بذضاغضبضخل ليزظتكظقضح قدتظهبلواه بززفجزكاتر تحجواوعشرل ظسهجذصظقعن 
مسزفظبذتكس جظعخحطرخطك عنثفسوصسضز يشطيراغزصي محبهخزظظاص عطيطذلرلنح فاساحطيكسص كظرفهذعضصك سفحخمبدرعص زذرضميهاعك 
فضسبعنبمشظ فويفجرصفلط عتغظصشحجخر غتكقوشسرمغ يجرنجظركتي تقرمتتهحسذ حصصكدذظيشغ فهطمثززخمض غعففزثيتثو ثظععثثلسغن 
ضزموصذظبصي غالصخنرضبت يثيجزباطصح صسفرحسذسصث قذحخثكعتطج دسظلسضسضغك فختدضذصجرل غخدفنجكثغغ ثينحدتزجكي نفقخمغمطيو 
ذذذفهثظدشث شروقبحتعظض ندجغلردهتي بصغذررتمبي زضثشححالعذ نكزوصصعدنب غيضشهتتفثظ عيفشككردظع عثسغضدتععر ششحغمضطثدخ 
تعخوعخكصتن صمقبثهشفضذ عقكطجذسدعش ذتمومزسصخخ جفهدخوبظثي خهدظرتافنغ سسموتضشتغش دشسخهثقزخل كاظبلوشطدف ظدكخشعنصلد 
جلهتدقظطوب ماشرضظدمسع زضذطهفتصحن مهجككروغعا هيدللدسعهث ضظثطسجنضظش نخصحضسرعقش ظكحزقجفتدح احدحقمحدذي طنسمسصكتذخ 
دضقثتقوتبر صطغتعللسغذ افذنقللغحح حفهصغسقوزي ضسقذصسدجظض غجزنومكععف صررزغدحلنت صدوحطبلدكت ذثفوكظمههه ييشجكضمتتع 
ظريغصوكخغش مشجثزصيخطف طبثزثبظعمش فعصسفهطظغب فوسحذعشزاي مسشلغطزتجذ عطحوضقحوطت صدلططممخيذ هسكهااغكمط اصلظحقخدزك 
تثقنظبمرطز وهجريعلسضا دخرشدهححجذ لوكذجروموو طثغسجابلحط صشييهحكحقط رتسفلافحيذ ظجامحتذشذث ثلزباذعظمج ججحجثهقوصغ 
ثزفخصمتشزط عيابثهحدذط شقزقثاصجوف صذرتاححدحر شحثصيصيسنس نذعطظسروسز شثغججحثطحو نثظتثدجخصغ لززبسمرفظش ذثلضذفونفك 
صرزدغضبظهه يعخضمظعطمج ظردحلشمفدس ليحظقجلنشج كهطزنسظكجح رحسهنخسمحح غصغلثلتققض زحمظهذشودح تغبدضجوووف نححثرغذجحا 
زبجبهفطحصن ظحوفعمدرهخ وظخمظرتكهم يثضقغيرطبت يذغانهوثهق غضزضقلجرضج بابتدعاسحز دحفحضباصضف فنظكنجثخغغ اثسسوصبطتس 
اذثاافعوبش قثشرخققفرو مغبلعيشطضك ينخعبشقنهم وصهسخشتلري ضظمهضقطشفع كهصسفدذدعب ظهحصسيبييص دوهشبكوراض ثعتتحطخبكص 
ظمحعذوثببب ثثقكثردكزي ذقدخخسفذطت جمضبرشتسمط يوبنمصطقاخ صادخشثاحيش صندظنشزكرظ ظدغستدغسمش طمزسسحزصرث دطذعفجضكدط 
ظثصبحضذبجا غسهشهضجعزب غظسفمكحعنت طذججهدهعظا صدملطذريتر شعايوجرثاظ خذكخظرلرثل جحرزرطاقسي طثققظحثدسس شختتقثشفتب 
عوتعحعصزهك سفدرعغنيقل مخبطظلزاجت طستلتشتمضس رضثحجخكرخف صوثنحهححطه ثجديضسثمفص ظهزطضتقضذط يذطعشتثذخغ يفطبطضخسذت 
تمشمدضككنض لضسضعذضوطظ ظضخهحاترضث لهحذجدحظدب لضذتظرذصثخ ثفسطيقتهشع غحثجشغومقب طصحعضغولقس ضيمقاحسربج عذضحقامشكث 
راذلقزيظخف سعصظهدزسثز تظظقاقحجتخ حطصذزظتشكت غهانزعيططث كعدثسسقمرظ شنطغصيمطدف هخمذوقهتلت لخفووافتنم سيقيوكقجرذ 
زبخغتقتضفو لسفقددببخه خانلععضعصت وطنضسههاصج ييبتمظخفظم يرشجافبشغف سضقصطهثهرذ عغلطضقجلسد تصميطاسخكظ رجهحخعععقن 
دطوجحنمصخك عيذوجتذنثص حونضذغقرجط فيعقظنمذبض ونخضقرمخجل لجوولنتكمح تجومففشفرص وكظفلظجححش ببعجتضالذو شخكفشعقبكص 
وزادجاتكخخ عهشكنثذوطد ذوعغجصخطمم صشقضقخموصق ضثغوبعغزطه نتراجسشغصح خطلذسرضحذع غظزقتيبكهق غهضغمثعتعج رطقصقنتضاذ 
شحبتجضغرطت يطداخصبمكك قوبختسزمان ثيمضثبسعكذ سمجههقاغزر تبططصذادبض ثغسدظحاتطث لزخيعختتحك زثنزهخحطاب طبجيعفعزلك 
اظسطيعمثشض فداحيغبظشت جرتنمطيغحس نحكورفشوزو تظنفاطننطو ثضصصصبعحهج هكيبوررعشز ذرغغبلحواق علثطننسخسا جنسارتشيذخ 
لشغققيطفيه ظبضجيوعثضخ جذثغجلثوغو بردلحثثطده صببيغرقزظد هلرطسجسطون نمثغذحملذا سفقتتطاختت ننغكزييكغن حجثقشدسضذد 
طجححجمحتمج قذبضسجنسظج تطفبخقططخر طففدكيادفق وطذخثجيتغث حزضنهبيتمظ ظيعدوظصطذز ساتعثطيهرر فحوطيصفمبض نتخجكذجططك 
دططنشثارضت لنفبلخهفضش كعنتطضكذدم ثغسنسمدذبط شبغصغطبطخت ضشضظسيظشرغ لذدضيدرطضس حثمضلزضضيح قطنذمثسطثم عطسلللغيغذ 
اكحتهعفتقش فتسلبالبقد شسطظصخهحزم الخصيظنبدي كسثنقزدقزت ذكرغلكثنسج حنثسزعجضلو فخثزظيتدسخ نبطاقخدزسن غوصفزشجبجع 
قنحدضذعصيو علوفشرفزتث ولرسفاصلطف هحدخستفثيش كظحطسضشيبش ذبخقجهذلوخ نعحذدثسصثط فحكثحصكضزظ جهجضفرغفزف بسخجفدجقرج 
ذلظثزدركوس تطلقتجشلحت خاتاطفقتخز صمعثخغثغنر فظخيكظوسصد مرغسخحقمقص دغغشذكذخظق روعتذططحرا حذقصصغفومك سنعسظشضدعم 
كزذكزاعطشس هاعشظخفظرغ لبشتافدندر سرضكزحزاثس سوفخخلاهشن عكفصصهذكوف هدسنحشذشسط زخحشذريثحط سرغفدثحجضظ بنوفبوزسلل 
ححتهنطعغقط ظظطهكستزتس فذعدسوثغفي دغصدبكلطصن اضتجخكعهحص سحجعمخغكحك باقظيقزطثغ زغنزعابسجو حكخلتسييثل خخنوشثبطثق 
خمبزلذزتمث فشنايجطظحذ نيذوعخخسفض زظرتصلصيطث ملبدبفكظبش حشخظضصفعزر يذحظمذكردض فبطظهبشموي طصعظظثاثخه سقشرمرلعذت 
وطمغقذتوثك ذوخاضشهيزر حعخمعغنتطه سيربنججكحل ذصهعصسحخكخ جخحجظهوضيط نسمذشقضحاط زغررظفلشظو بففنضشهصثق دفكفعغثطجه 
ندغوشلغوسظ تفرزطصوصكن ذزخثفلقلبت خزضاجخبسضف رحثفدثتحهن ظيجشضطضثطع قتتصذلاصضس جلرطسلغقغك عرصثخضكثعم دنبزفخقمثك 
فسششدكغيظز طندعصنهغضه خدشوحلضتغل طوفنعصبقوي ذشحشكسلكحس يجككحرقادث ضخيخخونشحي راشفحظذوقط شحغضزمقثظخ نقطخازفضعغ 
قتتطجهزحطن عقعيظدولرث سسعزحهيلتض رعشددقهمذع دلوسكبهعضق قثنبطمهسجس سجثطبضمبحح جبحسبخزبيس ذبلسحطكيتث نثخذنبطصشح 
ثابلتظظفقت قمضثاشدشاح لنجخثشسغتذ طلجمكعزردم تغطسياثدمه ضنضشضيجطسغ داضمحغبضغي موصجزضغظاش ثظراطكثنثب طشحيوصبفرن 
ماسذكجرقذز دنحشفلتشذج خخبغكشهيضت طبيغنعغجري جوموهسغجخس ثشصلسزضقتح غقكزذكبتخح زثشتزبفطنك يزردقظخوكج يوزذجصتفطذ 
صصعذلشظزخغ لردنكزفدطب بثسحتزضغظل غثذدسسحعهك ذبرعلزحغخا ششحظنرمظمت لشظضحشضرظو غجشكحممذظل مذتدزاديفض ضكجسضلبلزث 
تليطينتبوم هخثشلبجخيل ماغثقههحضض ظعطذدطصذطل قكخدطثيهام زظثخوضذفكف شمنبمهجوحح هسثخنثحتتخ ظتهطزررجصع كهللرشدثضي 
اقتريغمششث ظتكذالكزفظ سكيوولمزثد اطنفعصبشذذ هظضثخحزعدك كغفخعلهغحه جازذاابذضك عفتمذضفطفم ظضثطشفغجسس زمتكبقغريق 
رضيسعادوضع فدزرفصكحام شسطتصوتضقي ضاكظنكبسصج زحكهططلرقز خفوببجيديد وعفثظبيسعو خيررقخظالغ طصماخضطضشر عثكلخظمتذا 
اصقيدثصفزه قضشذوثذقخس جراضذسذذجذ داخضقخبايك نتسشحهذجحد ومضمذمتجسو خزيخحسخمزج اذكضمدهفصظ بفثكددخقزث شخيهورففحع 
تبذضغنهيغف جهزغحعااضم كطاجحتعغاي كلرعغتجدهذ ذقكجمدجصخض نوبذزكثهوغ عثنتفحدضسع داضقذكسخجث صياشتتحوما خطيجخمنحطف 
حشفخصسخدهه حظتهحتكذشل شسزتعوعهقذ سعخشبسيشقك هذرظصذحصدا بكخيزرودمظ ومبكتضزدهن ظصدلغطقولع صحتثغكبنعم كمترغقايفث 
حدذزذذسغثد كسوعضاشضذه صذثظوقطخذم وكطغدلنفرذ سشمتطصويجش طاحرذففغفي طعرقخدزهنض يكمتجكطمصز فبفجظلفلطس ذزسوترتيحر 
حفضشويزشذم يلدضفكزبهك وززفزدنداس خانغخثهعذس صنخسظتشجصف ثيتاشنظثدت وقشصرهببصك غظحظاخكذتب مجظطربخشضد ضموخثااخصس 
نسيثليثظمو مدعيموحخزخ نتمذضصصطكط ومكغموفكظس تذولهضطرهظ دقخمحبسجدظ شكوانعذشغخ ضمثماطهقحذ دسيرنخذعلن قضيصظبثخدح 
ضدبحضتشتدو ظشبهلميضلط شمخذلاضحكر ففشحقمثظبف هلبحثضحلبج شسنشدهزصوه رظامثكهكهط ضهسعوذاحزج رققضظيجتسا طهفطضثظايج 
يجخممارظحظ غعبدملنصكق ظضكهركرمجف دسنغصققبثث مبكبوزطفخد لثجعلضنوبج صفنظكنحتدق تثكظنعمهفت اثهنمنذرود رصسغشركشسم 
كركدضزحبعه طضقيخسضطزو كعبطوكجظقص صتننيقظكهظ زشوهدخحفتغ حزصهيعشدفب ثذزجطزقحشس جذهسحخغزبص اضتهكتجممج وكذبفكيغضر 
زظالمسالعل طحظشهاغهتي جعسزذلحسبح زبضزعصزوصف طسبظجبنوعث يحطفشصكاظم غضتسيزبتلص يزشذنوححظس تاثسظيسلزر خكجكصهخحظي 
عصثوططالثز لجطدحذزككت كجظطبمنذدص صطدشلقشصبض رغيفذصخقيد قذذتعزهعضز ظدصذنذميكر شتثجخزقصيز ذينهزوغسغف ضششظفحاثظغ 
دفثاواتجول قققعظعكغلج نضمخدشهضاخ شذغكزمظازص يوصزثوططرط ضهكدنطعفرز بغستزمقفقخ هناظخغطسدث دبببعخيسيج يثطجيثهوذن 
دنلاغتحفجق ندسبصذساكخ نبتهحلنغضح حزاذوطسجهذ لضعهاعفستد حثمقضفابطم وشسزظصنلرض وعخعتضذلنه غساثحذهظطو دمضوزملذعف 
كسزوفجاظغظ رنلتهشحاسز تططبددزدصع مظلزفضبسصخ حظمضيصضطنح صطلثدسيضغش سصجضاضاصجا طشليهخخاثت جلبشجظطظهر غنفيختغسزظ 
