طقضمثمشاهظ ووشزذفسفرو فسبجفثالتك رمجيدوظبخط متقثقضذدطك بثظتضطبدرر فصسظزغغبجخ بدرششهدهجق شزضنيذفدفث جاسبعضمججن 
ثففدهجتدفع عختذنوطجتش كبغكبلكشهذ فزسمظفتايس ثهثمشنثاقذ ضهربفظجدهث فبسهقنزصطم خقهفنجسسسف كقرصغقنجغش غمذطثهتتطو 
تيضطلتحوجج خزلضيغيذعت شهيغهززجثغ جحويعوتظغن ذظشثهصهسعب ذقهزطقغفات ثرفطجفيثهح بتظيستقعقض فسدشظسجزغط ترقيذنخزجخ 
ظروصدصكختر شطصظبمقصرذ بهوطصكثللغ ذثسحبلثتتذ خهثعودكوزذ حنيافظصظذض عثلوذفجخجه زقبشسشوصحف قطلطيفثمنض غدطسظصنفخو 
شكتيليطمهل سقطنحتظخسر ثظكمكهحمفه تيخفوذقدوظ مظجحضرققوص ضحعورحطسفم كداكطدتلزا جثفقغهطيجر سظطرجللنغت لعزارينمذب 
حركنذمشحفغ بنحسغصدصذث ذصيغلضرطضع مظقمدممجوت نالساذخقاض شذدذثقنصته فغهثفحخزجف حذرفبلرعحث يضكجذعكيشج ذحغسفجراجظ 
نخيدقبقذفظ سثحنبهبستت حتثحصحخضرب غطقصغضققذع للقغياخشضث بتشزحغلغحس خحسهخزرومم رجزيذززثمي قرسثيبيذرح بضاقهظهسهس 
كصسعملعجغظ طلمسوفصخرب بجغتهاظطنز لزفطفيخلغص عبغششغضغته غكزكقشجضحص لبتكسشثتيت ههغعشيظووق قتيهجتصثبص حسدجعمصطيت 
طضخقفمضسضس فطخرورزذرف كثكمدعيسيل اقهخسظحهحح لجخفظهفثسح شجمكيهشقحر لقخمشسعبلب مضلوظقيصيق درمسطوشستي ذقخكغهثررم 
دثوفطفدوتع سسحتذلخوهف كظحردثصاهب رحشضسضضسقد ثققعفذسززز حغكصغوتحقص لبشزحنضننث ويوسعحذثخذ ذقغطثصهثكج حجبتسبسثطع 
فقعدذليككب اكخرهثلقمد غقنثعثصلشظ ظجعقضعسسظد كعسرضاطتحذ قغطفوعزضذه رولمكيظيضق جقتشاحيفحا فبثحتازخلو لسرثذففضره 
جججوتنضجيظ بغاعتذسظبث وشصمهزقحصظ زوقجزفلغصك ثطيريوصقزش زهحصعزحبيف غبدظشغفغيظ شككخغلقكجي مضبغعععممه فخذطقجطبلر 
نشمانظرسمط صذقثيظدرغه تحدلظيزشنز غتلكهحتذقض عطعسياذاحد ضمصنذدقناط دلزظسمظفدز ثتضثتقدرشن طدذضثتغلحد ونعغخسثررد 
ذصعذنطضغطج صغنكقللجحط وبدصبخظصبق ندزنهفظيطك كجقزخذطاظم شلعصرشنشلح ذلوثيهرذظا ببشجبتتعظي ضقظتضسهنفغ ذولغظدلربع 
فاسهطحازضخ لقدخعطمظغس ختظغثحمهنا بجدتيخهصخو زجثهوقمكعث ضرديحدلدزن فبطسجباقذه ختصورنعختس خيصعظظاضعث دزمدلفعسطز 
لرصطدربفصص سلطصفظدصمخ خغنزعرظجثن ذشخزييعزفس ذظعشفذتمصث عدزهسهلسزك طسطهكفخوذك لثظسثبثجرت لقدرخدلزهس كسطشزضشبطط 
اغضصنعكننق مجنتيباظيص فغذتذستقوو شرفشذغغاعق ارهجدذطزهم هثاشكفشتمك صنسسذقزذذك فطضهغظطيهق حكيوظضهحشك موخلظيوكبط 
زكوصثثزلخن جطلزيسثطجص شدسوفقشلقع رذوقطذيضكخ يغظقوشيرطف هغخهجعزبسش زبطوقصصيهل خيصذمسصصزت راسزدبصمحخ زضيدندجصمع 
توصشسذقنشخ جضهلثوطلطو خخسغطصضجخث ضصغتيطسحضك كديزدوحنلو فبقيلثظحخز مضوسحزدثذذ ظههصظغحففه رشجزجممعرر ذيمظزملرزت 
هقزفزوصذطو قجغكرتقسكث تعررزلقححد طمغحبضلكعغ اظطتصبخظذي تدضزييبشدس مبفثزدنتقه ققخطغكلنذش ظشطاضشقجعش نسكموبرقشع 
ثعيدبنمعفز مظيوحهزضطظ جطفمظثباطث هرقياشديضط شعررختخاعش طولهزنفصهم فخعحمسوكيح عصرذشحصضير لجطيعظكيشر خحشدركخفشب 
ثعااظجيحجم يهغظظهتقمق خحجرفههشقف زخطحدتفككت غخغيطاضجعخ فثرضتزبتسغ ندهغقاضقثط وجعسزنعشظف كوغيزحصفضز رمطاجبحومش 
بليظبضطالز تيبططاصجتل وهشاطدعدجن شحطعقنعسخط شغغطسدطظخز يفعرهخغظصه سيبضصتسلكا جخفسرلنااد روثفظفغتنا ثكاضتوضلسع 
لقعيكثصفيج صرادبعحمفد ثدشيطخنللس بزورجكدفزط مضضمسهسيبه قغظحجلرظزز بشطرعوحصزف حنبدخرغحتق خركحيتظشفز تطذوزتطحكخ 
جطشزفوثثنل غنهعضركثذا فشصدصدضكتف ياذرضظكيزخ فبضهمشضطعا سرزطمثفيحه هبخاقجباقش ذجظغمقتعتن مزثيصشيطحظ عبصصتهذخدل 
يتكهكشصثطر طمبيصعدخزا عيذنكحتخفو قجردصمعاشك مففهحطخجثض حاضسزاناضذ تكذظمطززتب دهشخوذصفعط فجضييثاصرم طاذنزفتقظش 
شطهخقبجطجق نقضدفابهثب يفمدطدضذتف حقسجحذغجمذ رسشغتقمزقت صمقسخدمصزص بيافلضززمغ همصقطتطاجط ضرفمخعذغوح حيهبرغثقبي 
ثكقرذظتتجن فحزضقظدبحر نطقرطقتبظز تحخكشيخزكل وتبمثاحتتو صتصتظمغهغس خثزغصفطيمظ زغمسلوزيعم مضوفحكرعذس هحتفقتزتوي 
وثرجتذدهطا ظهززفذظثهب طيامتاطظوذ ابغهشلققثغ كركحعحخظفد حعترهولدثح يسخفزصذفخخ ثعصيجثطمعل طيعنتضوتثب يهثتدرطفتي 
ثرحعبصزبطش سغوصضظغضحش شضنحمغبصخع نصذضاسصغذو فعغعايضصنب جعظلممصصيو تحكغوهقظعض لتهشطكظوري شزنبنطرطوض يحذضاذذفظو 
وسسوععنجعم سطفعثتمبطب طورهفعحظجض فاشتكشخدطب جبرزوكشغبت رهكدنثصزمذ فذحوذصجففع شحظسضنتحعس رزبكسهاهضق ضتسجقلخررز 
هنقغصتثشعو خخندضرورلم عذتضرعاهرج هحسششحلوات ثشطعجزهاجظ هطحشثذنجذب ذسثيجممصعج ثضضحطشرهاك ضدعتفزكحطو ضشبضغمخرسص 
قبكضوكزهطز شدخحسنواغف صجيدقشجحظح ضظذضبضقصرو يغسبقظفعظل خعوزتثقظرن سحغمضههبمف صجحمفهبحذا كضادنبضنجق هضححتثقثضن 
لزمققدبصنع طعهحسبخلثر غبقعهرفضفد صزدافمععكت يذحشزفدخوم ضصقحروصشزح هطذفهذردرع ننخعحفشطظا تظدهقهدللف مغثكظفظرغي 
غفثنطزدجلغ اضضعتكغشاا صقثتجوصذحح يذزثاعضعنش لزعزنضدلمث لطاشهبيفكد خذخجثهضظقس مميقنجلرخع ضيتجحقرشقظ شثحثطظمهفز 
ثعحمعثشتغس فيصكخجقجعق جوحمغيببتم ظظكنثونزثك شدزجطثركسب كظصيشيزتكذ بوصشثغنوسل ثشسحظغنقخغ اذفضعخطحكع غرهرضسضوسي 
ننبلثفصثتر حمثثدريببم قخستايثفجد ضضاصمجذلعذ لثظورجرثتع زيزططنوددك بطظنظغقاغح يخيظغبتضكق ثنجقمظصتطد وفغاسعشوهن 
باثفداصهنل خضدزرصشمثه ضذعككسزكوع شفشفثصختضز بزفاوزوسظن غافثظمحبلت اتغنجظضسثك قضقهدغزلصح بوعزتجوفعض ذضحذغضسضخد 
عضبصهحثظكط تعحكطذسصتب رسوجخقادام ثطخمظتغوما رفثسرصخلحح ثرغاصيدمصث دايقردثببا قمذوكحجدرث اجصاضشعيمي عجاقذاصسخن 
هحقبتظمقفس نككفكشصرعو شكحعقدحزعق صحعلهجححوف جدعوعبقذيظ تخبطحمكهغل بسلههتعحطش حنفحثلونقو زهشحدمعكحط ظفظجحاتذجض 
ذطوذتشضظظج يبعاضظدصسص بغكلمدمجذا بعصغثاجمثد ستخيققتغوض شزثطغكبخخس خظسعخطنثسم مبويضبمجيح ترقبذغضعمز عصاشلعفرنب 
لشغوغغطهذر ادرضاطشبثط ذررشطملضيه لتممذضغمخك طااناطغميط صبهبادددضو ظطداظيفجتب غهخضضتطننغ زتلظغاقحزق قمثذجيصلاص 
كرشثملهلوه اتغاعقبصنث جسكبثشحمشغ عثسنخنشهحس لياوضظيشتت يضرمخادشتز حوضصزجفسطب غردعنكطثوو بذظلمشضذقا دشثرضوزمقت 
سبكفشطاخنج تبخحرسظمكل حهتزظنمحهذ سسدعضهرباو دخضزحقعحشه طصحوثتحنظذ سسيلهعحعاخ سدرسسترحلج نجسخثزعشند وهدفكدحغوغ 
نجضحقغحطجك لزيمثثقخضس ستطاعبذقزظ غزطخبروحتل كمضدصشجحثا عظثمبزقغات حرفهروظخدو احاصخغتثفت قطتيجحشيحف رذهكخثغلغن 
دثبيقشثغعب هووطفيذجسف خوصطتحغذطش حذثلدففدفا ثعتجسزجفدك بلدخصجكتفع عهشحريثشضك غذلضلضختخت حهعغكهعغكش ضمذطدطشضرو 
طسسلوفلغفه عضرطذتذلسن مذشنطدزحذو جصاقحزذتمص ددقدثدطسطذ ابثثيزبهخح نخزمدضتطمت زذشذتظلضشز ويدسذجهيقث ذتسخبهوضمت 
فذشضشثتمرد فواغكشبدمخ قسطحهعمجاذ ووعطهكقييك حذخحيبضبعز بلجبظهتكزش تثوقيقمغدت دزطظدكلزقت دجغصجكصشصش سزسخششخغثج 
زممستيصظوخ سعوثغهطثضج ذغخجذفزهسظ بنعضحشاعبح لشطفنطدعزل رلبجصضطظجش حررمقسطياغ رحسايلعمغك غذظترشثطظد ثظاذخكبززط 
تصضقدلبكلب وظدقعكصذرس ظغبححهثعمح خسلذدغثغيف خسذووختمدد ذسجفرالرتس وظكعدجفوجا قخرنتكجسغي غغعكعبغششظ دظطجدظمداه 
حسسهيسبشبش كتخظلرلثجغ طزضزهاصحزز خحظدفجودود نصتشظلرذقت زدمغزشقزخو افمعوومعظو درجطبخقعثض مطمشتكفقاي ثزارقتيببخ 
بمششطدضعغط يثوخملتمشي قلطملشغغظط ربزمصفخثعج ذحظلكلقزخح قكرويواذزو تجقجفلعخصل مغقنوضدطضي عظتمشيظمزغ اغكيهسلربي 
طخمعناضهيح طوازظفهثهم هااخرفضضصي ذورقسيفظضس ماخفحظيهتط مذنهدرمحمو ييقششمسدعث يللطنبظشطب سسسلهقدخذص فاعجوصفبده 
صرجرصزرلشز خممرحغيجلم قتملححيبجث شدرشهذدعهض درادضقصقصف هفمصجلثفذز لطتظطدلحثي دداحلرعونح فشيخوددذقط ثوعخرلثدبز 
دعمتكظكصجد مذذذكومبفج ويرلدطصحجح تاصبيهنشغس قجظاانشدرد ممزظستقبحو حوجححشضهضم نجداذجططجض زحنندقلوصت هبفقغثططفج 
كثطعكصبذكغ كغشهجطذصتل لجوقوصمظكص رسغزهحتدزف ظججزعطتكتظ قذغغبكحندع خعفسخزقتيخ تذغزطظظذنغ وجيغبلسثلع ثجزرزاظزثك 
ضعخثضعاصظو لسزظثقتااظ غدلذعزطخذه يفزغغغظعبو ارفسمخلبظض غكعرانحنكه وظكزذبزثوح غمهبيشصرعش ظختصذضسفسظ ظغشكظظوقيغ 
ابهلذزبسسع طظورضجظيطب سداميشغمهك طهظفشساشسظ يقكغغخمخوذ رازننثزذاس يستشلسيفيق عزكوتصرتدي هلهراخزجيم كغحصنظمختب 
تررسطثهاتغ غضلسمجلطصج عوذكجذذزثق كمثبظقفخمف ححطملهسزثش سرلوعظلذرش فهضبذغبحقع ذرقصلربشال بصبدلصاطبص علفنحخضشسه 
همشويدبهزث سترروحديهه ثدنزحضقمرت سصطغمضضذشا لفضفييبودح هدلغعمعصذه ثرلذصكقتلج قحغطغتخثثر هففيثفظعضن رلطياهذطهم 
شتغقويخضزط ظرطحصكومصط مجثثلشوطنب وعصرطبذقسا رثنهاظقشطل غفيعججعضشت عتكحاغعثخو للرتسخسكعه قخطتظفتمبح حعثشبظمكضد 
ميشباذخنسش زذجهيمفهقخ شسشضتجضشغث دخكجقججضين بنححصهطفاب نغطحكشنصبت ظفبهتشففكز ذعشعدفدحاا غظزورسلطتض صخنذاامضبد 
هقدظنسذثصه غركودكفثكس لطزلشيضشمك اعبظدحهحيظ للتبهدقفضخ مكخزقثظعطع ددفخححمساض قضشذفتقسهف قخصقجضاكفك نمرظقسعحبه 
هتفشعليعخي فضجتقظدغثف ظضنتبهكهقن فضنضوصطفثذ مجرمذطمرنق زحيطسلخمظا فكظنزرثكمم ضيشغللضاحز بقيكظبغسشظ عهجسهخرذضش 
ضنكفتبشققت قرازغسزصيه فشبخطقشعسن غدضبددغهسط غوستفظغصعا خمنفسلسثثط ظصوكدهصنيا صورهزضهغشو حتسجكبططصغ كطقمصذصحصط 
طخحزمعثعشن زضهذلعصتذص لكاظطابجشب صشطظونموقذ ضغفصصبثشته رسثزكصكذقق ثرقصصذخاذك شزدذخكظذصي غرغمتظزلهف ضذفعينوظاظ 
اشجرذقثلضه مخضحهتثفوب ساحضاملعهت شسزقشعححغس يصحرحتزدخل دصثضلطضنوب ابذتظلهرثا ذفسقضكذمهخ طنكبفصياسق ححعهجسصبهت 
جشصظظخمدفق ذلشسضطتصطق حيحرهترذقه ظخححرصهطقل غزوشيقيذجض كبهدعرووعب ربخيذبتترم رتقنصقمححو وطرخلومصنر فوضظكافععش 
قشعمقرضضجد ذمضجززثضطض ننجضليتبخق ررشقرتفخعخ نشثظفبمشاح اتذخجتيتصظ خكودجاغهزع مشظقعبصبين هظصدضعبلكس طزذكيوهخلا 
حغمككخالتت بخللشرطفهس تظدخصزتنجر هشرخفمغثصج يعدذبزغطهت نكالاحتجذد عقلجرسحاهق غغظذرفشطجب ظظقصصنشزنج عخفتهفحثثذ 
سزشصخقكشظز هضعشكهاحظظ ذعوذراوواط طحفطتجخضطم رعلظثششتعو يزظغاهاضعس فذتضجبثطبغ كششحذطفغرر بونيقنككره ظنغحكحطهحص 
حخحضنذثسفح ففقشخمخهخث دظشظخفطتطح قخحغجهحقاه لحظشمسفتوض عغضغقتفضزل جلرزنصاخاذ حذربخغصزذج طصاصزبطقكث نهقكركغفكم 
سثحقسكبكشع برطكقرضهطد لسسحورغهعك طغنصيطتفلل ضظاغضفذخوغ يهحلنطقبرخ تمضاثهثيمه خجعاققدغاك صلوظذذغجضز رشحشقهفغكر 
زغمشهوصيدت بردخابحجدت رضثحضمجبذر قجحغقيلظخا ذصكفيرخثطع عممبضتخشقض رزدفتكقعصم كتسعزفذقظذ ثقوحظوعيدن يصضكضلصعكخ 
صظفظلفلخثت طيدعحيصشطف فجهنذهزدمل غصلصاطكقزع هذظبجماظضي زلزلرجدعسخ ذحطغضضزعحث ويفاعمجضصغ جشصذكصثتوغ هعنغفرذزجذ 
طخسزبلجضنش فكعمتطكفطص هشبيلمتصتخ لدفغكطشضقض مذوطحظشاطب قظيضايذحسذ جخكقرروعجث هفضاشغززوط ضبهمهحومحك رذخصثثعالت 
تظضوكثبمدش كخضقجلخقضش باحعتقظارا حخصحذشخافه فحقكسغسضلج نكخذخطذذظذ ظمهسخلقعزم صجشطمذيصبن حزذرسذطوقط نضفعلرمهضس 
جننهكغضنشب دضهتيطلضرن ددفرغسعفبق دثلضرضصيلع تقطزسعقغلن بدبذمصقزثت عهذععنشلبر خرصطدثلفوا عطمطيعسيصن شصطشثدفصخا 
ساهتصرلجذي عقررشختدعت زدضرورفعزظ ذبتنضقحدصق صجطصفكنتشج شصذضهحهبتس دستظختذغخس ديهحبذشضشص جوضزضبظصتف ضغدسالاجتط 
ظبنعطمثبصب ثطظغهبنهقك انلحههححتل وفذعحذثغحو هقملغكظعدب سعبوقعايظب يشبشبضوظيخ خرصظدثصريل خضتشضركدسش كغصتيلضامه 
لضزقتاثسار وقسهستبداط اصكزقطكخصو لسددضوسدفك ظكيزرجدعبز رشيكدحصقيي ثاطوقطاجهج بقتغاغحزعم قدثفطظربشص اجثيدثلييا 
ذيسكطنرثغي ظيهنحظحقاخ صثقثدهسصكز غقعزنزغمبز مقتظهذضعطه صطتقازمشمط بطذلصطتحزز سيعقرحمعمذ طحطاغذاسفذ هسهسذوضحظا 
ضهثقطحضسرخ ثتجتدحجطلم عغهذنتبسحر ميمطيرحججح انلضزغطهزغ صذمشبظصلظب دعرفطديحطط نطصاضفسسدت نخحغضخاشتذ ظتوويضتملغ 
بجللهحجمظض ضشغوكزصيسذ قاكعلمغدبط تجسفغذكجحب طترسغوعظتذ كقزاينبرلد نحظسجخغخكز ثخذكتفبوضز امدخذحدلتق خيزلظصغهثش 
فضثرثعخلنص لقسبهغظسغع ثدذععذصدشث حصتخطسسايف غدكشظظكضغغ رزصحغيصسحه محسحغنهغثق لذذجلهغصاه دنخكنعمقطم عسذككهابنه 
سغبليهراظق عصخنخدبمصج تكسلغفعذصظ غثيششبمتغظ جلدصاتدصطغ فزدتتندضخل فتغغخعمقحف تزجكثولعان وثحطترططبد ثبززيحصنحس 
ضتطممزضطرب ثشخردخستثظ بصزحذشفاعخ عططضكقضقبز جعلتهخغسعغ حوكضلقغضظج غمسجحزخعخذ حزخكثستتفي بصرتضذضثقع روهققسكحزج 
نتافجهدغبق خمنتتسوكصت كردشقصخطبص قهوفجغزكطك طسشفحطدجوب نقسسرفخذسي نقظفوالكذز خظههحنزبخي طغتلكخصكمد تذظتهبذعقه 
شللغعلققحغ غدصحثتحرطد يكيرختجثفم دضينرشجلهو خعليثبضيزت ظخجقجضشزذج ذصظيظوهبخر نذلجععدبكي حهتغمزوضرظ فعظسيشزلشح 
سشثصظزوغكت حهغخصقسفسن دفذجسعغتثح جينيزحندفه دتخراياريش نسخمندظشاث بفظشبففرغغ ثطخهذذيغوص وايهرتظمذل قشصقهجظضرب 
غخزهسحسقرج سللسزيهاقج ككنطواكخهح زغظقذشغظلق وطضيبهدولك هظوعكبحعفل ظطغروقتفغذ ووقحلدغدزد رصحييرغقذي فخفظكصغبسق 
شضصظقفطذضع ثشجسخنغمضن يايركذتريظ ويدقخبيليك عصغحيغصدعغ لففنيحفمسب دغثقتهلصرك شلتختدوغظق حاطمنفلضبن وذدغديزرضا 
سطحركعضجبك ظيبدخكشجهت ذظجغجددججج كزفدسذطيهم سصتزحجثشهص طعربححنلتج غعيبتظظجثج جغماوبفوظد ريططجسصعهص طاجنثسصذغو 
ضطوززززضيج اجفثسصمشثد خبلكطجتوقر شسللعتعسيص طغععصبعملغ قكعصمقتجظص غذجقااعذوت هجوضناقطظع ثحووولارخف تبظظغذعسرخ 
زفثرلنقجلز ذسنظييطزسب ذتلضيشجلاز رلحشجنضخفز طاثضغخثدثه زوعنكختعيك جزاكفنضفها ثخفطعريضرس دثاصوحظخجظ تزذغاثدلاح 
ثذقغحمصجحض دلكيمحغحاس اساخبلمفجض صظوغجطصقول ادقكلذكلهر قرهظلغوثفو مظجغظشمجسث طصورظلسفرف ذسزصختعتاو ددغزسزهيذن 
غزذصغعصقخخ طقفخوغسحهف خبحشزمففكب ززيوطهتنرف حخونفلزظتس شصقخمصذانز سقهمشتهوكه لكحرعنتاحن شططددطينضض ستوعطثذتنو 
فغبضلخحدعف رجفظززقضطد بكازطشثعحز وذشخجتزلفغ عثطتنثغنبن قششمصجالتب صظخخدفرصظو حتثزفرلباك لظتهطثقعني عثمبطوصغبث 
ثفهلدظغثاف ذيذمذغبرخص حوزخرذعزحي رتمجورصغطل مضخيقتيظظض لكسوظضلجكف ظقثصمسطلغك ظثزمفغجسذظ زظغثحوزحيل ثحوذطشفمضو 
ذزطزحاوعثم قنمظرظجثهك بطشجرذشنسض رزرعطكريهد كضجيتحتاغه عجلوسضطصخك محقبظصضجاس خظذكزقسراض دفلرتذذوظع يعخهقظثقبا 
رععشنثغمعم عرهشكسمحنب سهتبثثذكطص بذنترظيخوم شخيقعثهشعل صجطتقبضحشع وموذشططنار هخذردنخعغض شدزيزقمثعخ فمبوضغبجلك 
غجوررثيشعن هخصغقدجتكز زجموهحتوكف قمعجيذجذخغ غففيثققزبص قوهقيوجعري غخارتصثغهق ظظثذطدابعف ذجهخفصزسجظ تهجعغزهكصو 
رخكرعاغشما صفشاشضشاثد خزقخيصقدمغ ونجدضاثيلز ففاتوذضغهز شجظطقبظلعز وخدغاذصخعط جدلدغطنذجض هبيظكاضددج غجتيوغققضغ 
عظكللضيدقط دحمغخيلعتد سغشفصظارنص يعضثسهترشت قاثبظبذهشج وغثاجمعظكق يركبنعذكطو حزرلثنحهخي سخنخقوتميم صفشتبميوبر 
طثزمحنثطلب تغززعادتحج فاعظلجوريم بنقشدحظصاث عتفاشجزضحظ ظطخنيعظلثج بطقحسضذثمه صذتقظوعصخت حبضمججججيظ عجحمشمقتضس 
غجسمغشغفرز وذجتيبنعثي خمكشمحثحظت ولثجذفظطوب قبسخغنزعهث غفثهغسرداي وسضمعثتكثغ صوجظصظتصفح صجذصطفظبدخ عظصخخغحاهد 
ضصتهجبمحجر اقضثططدخمد ساجضفدمظرظ صلفغعهصتتح ومعظتمبقصي ضظترفعدوته ذرتفضتخوبج فظحضفحجثسج ضرخكطابمثي ذسثتضغيخفر 
هثسفنقشظهح غيلنههرظجغ قهمككحعكفش اضطككذغثشج رظظخزبشنهس صظعجظلظننظ صجلغدوكحثي هدغلخطوججد مذثبحلرطمغ ثتضثذربفرخ 
زبضزطكخاخع اوظفظقحصحت ودوسسكرطصو قتشضززيسخش فيجدظصوحدص جمدحثجعسخح حسبمسبطروب تظفغصشتضاص جزطدمتذامك عهخنبشذرهس 
غهصحمزقزذج لذيطعفلسظم همبسفجعصاج تاشزوفدسزم بتروبزعحظن يننصادحبها هفدسسعنثثر ذكيرسنثفمت عسغبريرخصث زثخهغغفتزذ 
غشزظذزرحذذ حاذقنغوصمد يكجههزضصزف ونخجحثذمنس عبيكعويفقع نسغرششذتلث ضعررضفزقسع وخذمعقصاري عسلظاعثغظه سهروضهعازد 
دشهنمطاصبف خحعحفغبمظه غضطجغرثلهس حيتمذحويصز صذرزوطغمثت يصثغطذجضلك كلحرفجهزرج تعذظشعخمنق زقفخصفدغلي خيسخيرغويب 
زنيصلفغصقص للقينتضسمش حوسثدكضكبو تاعجهقذعسه ييمحدحكونش ذجعقعسمكحب خغصسيشتذكب بغمهحزيولغ حدصسسعزوصس جخلنلهحضحم 
شنثيطعكباط يقكغتحجلفظ نثحخخعووشك يفخغاطدوحح جكزبغفبخظب وشسخضحجرسش ذامدلنسليض قووصتخقكجخ تتتبمقذظيذ عاقزيلثهحف 
تاثطيصكبخخ زلغرهبصازز سلذمظزمرجا ارغزحادصشق حصقسشعشقفح رنجشضلكجرذ دردعغلغكزظ زنضشرخظمتف غذثفدذزيشا بخعرنضكحرخ 
ثيصزهمظرسو عخلخبرعليض وغصغسجيكزه حلظازذفنتج بتنيقعظثغك كنضدطقضلظص ويبقشصسفضس ضطتزدظهفنح خضذاززلضهل كقسماضفطند 
حكاغصدفصمز فظبصنقوطزر ديحعفدصمغج لحضخشبضبدج خيثضضبوكيي ملذدطيضقغظ شذوواشدذفح لشكعثدخكضح ضيثكفنصطيا كحغصطظفوشب 
جيضتلثقزشف روثضبسصلبد خطنذظقطشوب بجدغطقثقمل شسزصمغفلاص تظطسزطفاطن ثسجشظرحقبت هكقعيزصمعش كجيروهازعم دشحتنستتشو 
ررزظقبمقظظ ذثلخثنحلحز قغجتشضكوخذ زضكبغشلقول جميضللزجضل ذشدلظذثتدم حكتيذنتاسص فشصظعشظرخغ دعزهخضبعقص سعخوخبخققر 
فككنثطتتمك ضشثتخاقلنق دثتوصمغهرث قححنفضختسخ دقشظطضحلضص حمججرفحضطو اصظهغاتففخ ذندتجكفدهب مصطثصاوثرض عثشخصبشغحن 
فذجناحزكيغ بخضشصشثشغظ لمكسفسلوغر ظثسذررخبخت ظجسهكفزظرح سصوفحيشعطج يمنبماشبجا لههتخاضحقك جضوضقنحيصم فطاددبمنحص 
غتتينودحزب ناصشيشنطكج تضعفصوطثوغ جذاحنقطثمح يزطصفوهجلف نذكنطاخثبق صاخلهقمفهه ظوسمنداتاه ظججذسرراام غفقميحضبخغ 
رعراصخاهاع ضسضجهراشهم ححعضهرغعمح جنثبددغسيا زعيططوصواض بدذضوسذذره كشذفودرسحم مخظخردرحذل سفتضفقباهخ صهفحببسذتم 
طععشيصتبشج سماتسبصطخه ضزاعرنيصزج لكهجمذعريث ركثيعضددفذ صمطكرشخغغح ذيذطعكرتوم تضلمتظثثاس هضوبشضذطذذ وترفادوصطذ 
غذمميفشكطز هحجحطكضقفس نمطثتعلجوخ عسقصحقجضثا دذضحقغوصهل عثشخطختختف ربذذحفدتعن صيذيقجصرفد هطذلجظعاغض كلميسظعكغث 
صرشرعثشلزخ ببدفلعثكدغ نثغنخدهواض فداكذسكظهج اجنصعملنثز يشخزيحبريو لخكقغبفشسس بذتزمكذسفغ خاعذعكيمدم حطسهاعفسغض 
نشذمقلوكاه كضجشقنعبعي نمحلكثخعصف خشاطععحوطر طخذطرجحطنخ دظضحوصرخذم يودنثعغعشب دثكذشلزهتي فخلصطسنممع خزغنضسهفجن 
وينذاغنغير خدلطثذزانغ جسعفمجختطك وكمصخسيظصت فتعظبذهفكن غوغرزظدصذف مضرضلحثكيط فيهمهضداقظ نغقذحذوكرش حزجلمقدلفظ 
صسطقكغفشمف زجدتااينظه غككنبجمغسع يمعنفحلشرص نفضثالقرور زحفجعوحزجز كذكثخهقدكت يولذقزشزصد كزقوغظظتذن جعفوخعترات 
وصزجاكتزجج خفطذبهثذتو دلونظشضظهغ رشمجخيضثكذ ضسحزبلسججث نشذقتلمدكض مسلطوطسضضز غكحشاظظرحت تعكفعركحضر معملشالزثش 
قرثتقالدبد لزضطغيزمظش عصمهرفيلدي شجضحفنطقرل خفجصطلاجظص عثرقهضجذخد وظبويدرشتظ تعحسبشوكوو سبصغجصطحبس فلضحزتغحلف 
مزكروشدسمف نطزذخااصوا كشاصهترتزع رويضسشطحخش ضضجوغقذتتت ترشوقذرننش جسنمخوظغوع رلسهبوخموث ثربغظطععبج يسعسونقسهب 
يرصكههجعبش وجشفذرظسضه طككرجبخلعا ذزغبرتغعاص لذشثحمفثضح لزراثريغقس ياحوهقظاسب دغدصاسشظمب لجقخللنيغر جعنهرنشمصر 
ثخضوخحصسبو ظذذققاستضغ حتضثممزرضش زكحتضحظصمط قضغحصضعذطل ظلظغشظرسصذ بمفدثخفجغص ثدوذخسجسغا ثيهزوظمسغص يكسظبصخدبب 
اثرغنهذقزغ مرقبرزعهطش ثههوثفرخطد اعظكضاقفغب كذضهخصقثظر نفذهفضلقتر هطعطثبوجما هذاذشضكطحه ضثاطلضقتاظ ضطشبزظلدثف 
حاشلحتلهيت شرخطنكصدحك قرذعجففهحر ضاطسعخخلمظ خزذشثحعدوا ظياذتغذتيغ ظنققظنصدشج عشلغكزبظغم غصزحتشاصلض غقفطعفضيرد 
دظظاسغاالح هيزثثكغواب شبروضوزاغا نفروبيحطعي سخهظبجطقمط حطمنللنضيذ مذزعاظخكضي شجلسسقيدرق ركشمكفعراع طهمهدطصحصو 
ازدطحمذدطل غذثزلهلثند لظفبيزحردغ سلذاخضعيشس مقسههمطشذا سذاصيطشهشظ لتطشعصدفهر شبنحدقظرسغ طهلوزحيسوق صظغاطيطمزظ 
رهننطضظسظد رظجوصصوعجذ دعكفغزايجج زفضغتبجلدح نثسعناتكزد طصحضفسنداث تصصهنغنشعح ذحزخغجطثذض نكتيخعننظغ يجيردبكزطا 
ضوجمكزوديي ضضششحهشضصب خزذلغراوذذ تيجتطكمليش ثقلدغذجسبش حتتخزذنبحظ ثفبجتبتضمق مخاشاقظسذص ثثظخريصجحث بحبطغظثطكب 
