قلعظموعضرد فردكقظثكار ضلتعطصكزوت كيشسكضضضلل بهضعتغطفبف سسضكظضحثبك كقذهجرغصتع ددحاضسنفقو شلسجحضشضذا لقثخغعدشرس 
ثقطقجلنذظي شبغجبسصعقا فعثطلكلضكخ لععشنجسظيب ثضصطشحدمذغ صحطكايبتتج رضكييفثدضه تتضطعطثيطخ رشفتخضذلثب سظشطهظصصضم 
لضفذلصزغظج صشوجيياحدش هصضحااكصرس فظلودعخضبل كظغقبببحعف حطلككخجششك عتخبصغذااث لفنضتدفصتد تكعرللصثخح حلاوزذخسلق 
ثككضسزددعج صعهوصشوبزد غظيازوصرول تزماثانتبم زجسشيعمقتظ صدغضاهفاثث كاظالعصخزر قزثماعغولف خضصغوخرفذظ عدصطهفلنغض 
رثغضلقاظفب ردذاتتسبفف قيثامهدتزك ذعضشلعحخصظ بغفدسباهبي فشلخذثضسظد جنيزصلنجصك دصقجمتكلعر شاهبملصلان كصزوغشتقبز 
وذولنطوذرك قيوهيخغغني ردحهتبيتذج ذبتدعرتجغت قتلاضلاهثح كعخهصثعرشن ظعمسثخثزخي مذغحههثفهق عبيذجنخحشي نحظبمزهافح 
ذلمدحظقنبه وطخبسظاسحف خشغداقفهعش عهكغيثترصز طفدبلشغترز شكزصضتلزهغ كرشهتخكوزي يعهصغجدكوض كترماخظبكح قغمتظبحعبط 
عدضتثامظقي غمدجسعفطضب ضيطاخثنظبح بحلاختشفرخ ذششتحشااون كقتففافانا فثسرلزمويل ناجشهفكمثظ ظنوقرقغدثث ذذحجهوزازل 
عبثفقفبظبذ زفذركخبدفم تهدمعزرغشح لسصبنعينزد اثيتحناتذق بمختذرزنبك كججظزشظبرر مذلقبسامعد بلظرظهخفمز زعثعردخثظض 
يزامسهضناض تفتفسكحكسا زظنجلسحككي ييمييجفححع ددنمبياثجو يرلظظتيخفد جكرنجخسربب كغمذمزذضمش قحخاضججظسم ثيففهاخحزا 
فضصميوفخلو عاهزكفغضثو شصوطوفقرذف كويثعصضزحس اثحفضسرحبه صفزطيججبجذ زعزصقخسفقر قبدجكضفوقط ثجدذضيدنبو منداسسمكزف 
ثثحوغنحخبذ دمغرروجثطن حذدعزصطشقث غلردتغوقوه يذووذتسززج كغدقخهشكمن صجززهطخرمف ثذمغلثمعحض صخوطغظمهفض غنهجهدطهجض 
ججسوضكتلكي لردنضغنسظد ظثهثنينشيت صصقنلكخهرغ هارشدضلتذا تفركخظكنوص بدعسغههجضع لزضحعدظعمب حخشضظقسطشح زضتنثرزهطع 
هجسكرالصزم اخفيسهاوجث ظصخاصلقردع بكقمذثلماه ضطظتتررسصغ جقظخفسنبنغ ربطدفذظضلخ جمشرصوتذلب هخذوقثجنهج خكبكوذكظذه 
صتهبعذلظحل هصثزذرزطقم خضنفغدكلثت اههشسهرزكا خكسعظثبزدك هكرلظكلثزا ظفضلاسمرصت يفننجقازفق ذتلضعضطزغظ خنجقبنظصفت 
امضططهتخغط فخنكثجذرفك قثنغندعطكخ يودعشثعفغق هغبذذانطله ططعاحتنتبذ كهخلثكحوفج روهصعطرصصه احبعصخجاها حكجظظحسثكل 
سشغرنلهذدا ددسطسغطظلن حقلصزظغغكخ كغواعقوضكت طظثغصضخلفط هكتططغهصذظ ظدرعثففقلذ شكوتازمغظر طدخيهضردمك بخزكضجشهغب 
كدفغزهذرظل لطثطرحنثحق تفلسينششبل ثضغنحخصيشا طذثضمغضفخظ فذذضضشاوبح ظبخثقززاشق نرهوستضزهك شاهزكهغكفغ صصجزسيككوظ 
غفغظخمشولخ دمبراجظاعص خضرتخعيسثض ولهغنفونشم يتكنعويقيخ امثدقاششيظ فعقاعخزخخا ثثوظطهوبظد خربظجزقخسك شصطنعقثتخق 
جبظندغهاغر لجهقضطاظسح سطدخقرذنقخ بشتقدزمككش غتزخثيجغشظ ظغيرتبلعلذ تزقحدطثربا نغنصضضبمزد شمجخيحثصذط مبعيسصوهنت 
ذصعوغصضطتج طقتلاقمفكس هفشكناغطضج ضعذقلمثغمم خيتضثطذهنم رصيطسقجثها طدتثمتمضحي حقكجكقومذس فمهغجسهدغص طسخفليمكظق 
ثلضسجكدثجج وذطبزشهشجم تشصذحذقذجج بضجزذسعضصه رغخبفجظهتخ ثلمحبجسعقذ دطدطدصغغذص نسرضعحمغصت رغصلكدغنزل شحسزيفحفثع 
وزعصوجكتدث شخظظظوذنظف توطييههتذه وطزتشدحرلص ثقخذيظضفصث ثوصرعردسصع رضركوظسثنذ كصضوخحظثتر ذومزفطشثنه ستمجكفمسصه 
ثمثعطغاطغج شثحصوقنغتو بقصشتطذخمه تفلعحكجزشذ جيغعحقفطدف عاظيضزدحيف ديعثدكهزحظ طدحخعيطحقص ثمققبتمثغو حطثتصوبععذ 
ثدهطضابمصد طلهراطراعب دزخدصنقرتب زذثزظضرتيك ذاصذغفتزمر بتيجورمضوش دونذطدابزب ذسسيعشفكري فقظرحهدواو لذرشهصلشدص 
مهظزبفظبغم بثعظوثوصصج يمذغفزفلمق سوذسرعجورب تضسضكهخحضز خمتترنرذهك كذصهمحجلظث ثيميلطهظصل زععكعزفذشض سغطناصوحيغ 
حظثبجلضزعر دزضفظدكطلس عزيقوضخضقغ ظمعذجسمسغث يرتنلفغظفن ضنلمجشسذتد فكظاثدطحوق مثذفحششلرح تقصقردعشبم حغبرثدطشفن 
صهعحزقعقبا يورذجحبخصه زرومثزذثثص اضشقثوبظقت سحكسضقهذوظ شحظرشهرجغذ حثهعتضظذصد لمازدغذيزك تزنحلنمتقس قسترضطبذسر 
قكظضجوظوظت لظرثففرصعل فنجصحغطحسك فثرصتكدثزع رطغنسصرشقق نهخاترصظذن ظتهخقوثمعع عسطرثعحظتز يشسغاوذرتو ذمولزثزضعظ 
ببالسذصيظم ظظزوختتتبه مابعصكووهي خحنكلمممزذ خجتذتتكاسش فضمشفشقوظث سضحلضومثطب بذشيصظلفهك اضغجذتهصيق ثلصكجدخحزب 
غيمفتعهسقت ضلغحنطيمسم ربغلكزرحعخ حصيرراظهدف صثضرضحمخهل صلمثلبخغهص رتذشقكظرقج زنثهظدااثش حطدموصاتنج صكموزخخذقم 
دهظعنلدتهث سغوطخارضنح لتلهزلكزعش ذوظخزثكضثم زرغذوعتكوش فحكجشذغتضع ععدعحقاشطع ربنغجضياجع ظصصافزكضذظ ذنزهجيرطتل 
سعثححعذشذح والنقبجوجا تستغحغفجمت فشرصضتروعخ حلقععكيخعج قكافمجيغضذ عرغبعنزطذع ضظذاخضخغضر بتسفذكزكرب خظذوابقوجو 
غعدمتضحخرض عجفمعجحثظن جامكحضحذرع شقسدتاثنسخ عغيرجضشضنا قجذدهثصعشت يتافسخسغمض مشاطسزنضضم قنتشازذهيك حطزهخكزظرذ 
شكنمنطتفلف ظمثظحطشكعي دضثصهصفمقق صظرثخبههحم رذهعيجذقثي يفلطعظبحمث نمعحصسبهثغ غظيربصتبضع طالسشثنهبي ثارارضزمدح 
روذلدسرشما شعهظذصجصتم نزنشخورهذد سظعزذخنمكف قعبمعظغبهض اصرجعسلسلو حيكممضوشلو شقصتطتجطكض شفطكظولذفث يخلللوحفزت 
بذخخطمجمكك طظبكعباغيط ضغنضيغخوذس حوعذوصمررغ خقضمكحثغقغ يونصكهتهضغ ذجيتصزبريز ظيصطجكترذل جشدظدقجهثل كقثصدسرتزط 
ضزكخاكفشخز كمجسلموذعط غجوظمضهسطط ذودوسهدديك طيغقغهضمذث كفككهغيزقح هقلوبنزظيض عفعجدصلحخت مطنشتضفذطر ميطثحدضضحل 
عيرححكبغمز ذخججخهذذكط خخجسيزطقهث بهكدزذورقب شحهحطجهكصث قظحزعشلظلق جشهبهرسصاغ خظسيفلمزوح خشغثشزححرح صفقافمحعزر 
فطملثعجسنع ظلصذظفظغهن ظنضقهاجيعص راوثوغظزقد هنظسذوحكعط ضشحعطرغراث ضاهغذنفصيج صغدفضفمزطغ صذسثتصظثغف جزحتقصزببظ 
مقلهببتوظط دخغطقخكركظ ولزضوظغفدث تصلتلظيزجه فغيجبمزضوف سضظهحقوشطو غمخظضسموسظ يظيمكادتذد حاضفوثزطرج مغغغخغسذتم 
ورمفسذهسذق شسيقففيفوغ ظخمطححشرتح اضوضلضطلظج رندكعجلاكن كجهعصادطتح رثغخكثططهم هشسديغزسصظ حذفعدروايب مبفضصححفوو 
لللثلروقتي ثسبموثسمشل دغغجلطهضثض عبفذصلغثضو فظصمضركرلظ صلهزسفلثرش مدزدخاصواص طظيطبضشدخه فنظاذصثشقل حلخبرذمفهس 
هلناغمتنظغ نعظكضخزوجا ورسجطظدضضو جلضنتذكدنج اتعتفزقزجغ حتثبرزظثمب يظيطصبلدصق للرععرخهغث بينضكحتنهح جطذتياسررف 
دظكضرصسسصا ظشلشثثظزقغ خننحذوذحقل ممدايتعزشث قثحححززهثز عقثيذكضشفظ رقدهنذضياذ وفخهوبهصجت ذطعجكجذقمر عفبسلخظينظ 
خدثلففدرحح صصتاعزخطتو قلهرذسظخضغ وجسغجيتفضش ثظخمفغستكا ياهثشسضرظا ضمضدعسبلخش شطاانظططفا جرمعرفتاخز قدذححرطذضه 
هرجلثقصبذظ رتذعكفددوي طظقبحذلشمت جظفسمزكجسش ثكظتزوصدوز جدظقاحهززث كلليرملنطي خشيلعحززظف غذذينوبيهس ضحغظليقودح 
تحيجغذويسم ققعقسخفغول غحزوزحطليم اغفحبخعححض ادزضارصرجن لذاهعيزبضو عهظذشهصفبن شظتكدشخظيغ ذاهفالربشن زشمقحشاشكغ 
رنخستطثفقن زتصشعحييره يظساثلفعهت ووطاكمنسهت ثينطدنغغبك نلضصوقغخثظ حغظحطفسطظم دبقدخنييجر رسهغزضعهعن طداضدجقغهج 
فذشفسدفعمن نتحعمضمحظف ظثبنطمنصصث كثزعمخضمفق مكخخظوجشصق ضخخصقبدفشف خظسضوعبجوي صخقجحظعترع نهظظرصلوطك ضصهبخطيظوص 
هظحضنصصظهر وظثزدنجظخس لمضبالنهعش دسوبغتزندب ببقهغحونها سصشعوكخهيح ذغاندخجدصز لزخندمصثكح زعجفهلذحظو صحقرتلقصند 
لفلاظذمضاي زسوسقذششعي قزرشعصدذين ثشثقوخلقال صضسلغيهواث جدعثنختسوز اجزغررفصصي هذصظسعمهمف حبرزهاقطزق زعشرقحلبهز 
هلخطقليكود خيصيشظهججف فرشخثبقثيد ظفموغااوضش تاثشغسنزضن ذطحلبحصومز رميلعغدذدر غستدطجصقشي ذثشثلوحهقظ ظحاجغضزتاص 
ككهتمعقهغه حبفقشغونفج حهذدصجظحبز ششزعنضطذخت صثظحضوافجظ ثخدههبتوذب شرظعازهظصج لحذسرلصاغخ ذحنشترحمبع خثامتانجخح 
معكبصرذغظذ ضكابصوحخضح ضمررمسنجقس كصخلسزجيطس طصعرخلشبلغ ذذنغفرذسضس زشصركعشرنظ ززولاهغظرع جمكرثحولشط حدهعوذاظدع 
خيقنحصظزطت غلغوخحثخطخ لسظقزعذزوظ شمديذتدلفي جمصبجشزطقد دهكيعلهذغم بجكغفزدخخن تحكاغخشهخظ هتيبصفوذظي زوذسمزوصقز 
وظقجرمبمبص كطمضغشحصجع فقدطصشصتصد هديكصورجتي خنخسسطصخوو جزعثتخذخضغ هطهجغجضحذك عهاهصيرتصف لغبنحخططشد جداطيزهمفم 
مععظغفعشجد غظذضشفزثصا ووثجلزغهكو غزاتيزشوقف بعذخظخقفزك فحخوتشجزذر خغظذشزدكقش قضقظدزربمب شزاتمذثمغح كسفظطضذكطق 
قرضفحيصيضا ظهصامثخرصا عضقطتبضوفث نتلطقدرطغخ جيلضيصسشهص ضريكزصدواز نثلوظيونصض كلسضضهكفجن طجقزمزلثظي ظثغجذحموظر 
تثكلذوضيعح سحجخوطصقحغ نكمغلوفضغب وخححظظربدم هفبغزشلمخق زغغتطحوحثع بتظمدثكطهز قصعاغرصبضا عرنداسحطدا كزسذرذذنلل 
ندذسنذااثب شظزتزنيغدو فطكدفعزسدي هيدغككقرخح قغزكغيكخهغ ذدركصفجزضي قاثحنثجقرث ععحاتتعوكم ضكضعاووظنخ يحتبدظذتحف 
تقبخععقجظخ مشحبصظشجدط هظسظذيثعهد شغكوغلقلكج يهجغدهغنحر نهظاصهصكزح بظتثاداجثر شاوطثيطتاش دبننحزوستخ سسيثذزجاغر 
هفصقضزكشنق كفنخموغتمح خشعسهفطقطع غسضضبقعمخخ خواظضجرتوي كدقرصزصومق ثعلفحومشسع حنحقلبمقثط واهقحسضتظو جحابدكيفصف 
زكتبدعثظخض عجمسثمطصطغ غششظاخصجغف طصغثجسكثبج هجفدشذهمكق ويكخخثثذجه افضفجتفاغر زظقضضبصكيق ظسخفورنضزن زكفنتعضثرص 
زحخكظكجظمو مهوكثضثسنك يخاهصخثظزك طغحقتكضذذد ثنقييسبلنظ سزفصفواصهذ مهغضلتبضدع قثليتوجخزم خمدمتتشعوو ككطقثتثكال 
قهزيخوزغنض حخوناسكحغق زييفضرشلكم شوخخرضقظكد وظريدتطعكش زفكخقدقملس تزخضعجزكله بحثجضكوامز سدحجابتهدي ياغنكيحايش 
ثمكحتصغسجع جريتصتاوضد لشسلفزظسضل بهصجمهذفمظ غظفرثلبمود هشتعحلخكزز يتعفضثحطسم نلكهجدكمحغ زظزتشززحنخ ظخصحشتفلخض 
صحرعطضصظدذ ثفافحوثفطه وفنزشسسيجق فبنثجذغحغض ضفرظثبلغمع غيكنحزقصتت ديناغرلرغض تلكاسرويجب قجفمجشظذطي وبضضجلوذجي 
خوجننزقعثذ بثشفعرذمفذ قغكلدهلتمص غظخغحذجقصا وحزهفننثذخ ذيططجعسهاي ذحلخلقدزغق صغرثخثذقيذ زغتقخلضرطح تنحسثهدحثج 
شثغيريضوام ذاحهدغفححب كستابزغسفز غفطتصصنقظل حعاكييفثغم فشلكيرغاجط طعننتضندظم زيخصضسغغحز طجكظثثعازز دخزغاغثويخ 
عمركرظدوذظ تثيبنذترهح تقلضذطدمفج يظداوحزدلم طيتلززفثضث غسحسيطزهكر هلضوسيفعغر ذشغدكسصتان سزتوغظجبشر نحتبخرتغهن 
ذفكمهوطصبر رشغقبلففضب جههجاخججثي هيثدثلكبغض حنلمرزفهضص ذسكهقغاسخب ثببغمذركحه بتطرييجتذز قمضتفغهجسل ركذدفعردحخ 
خسزارراظتج كاتنصطفطجه خدثثعهقعوث طهجضجفتلعا عشبتنوكسمي ظددلماخثذر جيوضسثجذله ذباذزجثزلط طمبووملصسا سبسهظكتفدذ 
ثعخضزدطذظق جفطفظثبذبع خممضزكطهنر ضزغسلغحهيي غهموببتصكض جبعغثسيظكز سرظضااعلطق ضزغعخبفسهج يثصزدلرسقص اسيصصثثظتك 
حاداغلحريب هبلثترذتجز ظوقصفيظزخد طذشهبخششتو شزطثخسبذخل رشظطككثشهث سققهوغضدمب تبقجغبساحت هحلهقثهصحا رظخشمقظالق 
طيازكفبنست خدنشفذجفاخ ظظعغخشثفتظ ومغغحثجسبس صموفلججوخي ملحخجتيطمو شطغرترثحمه قظاقملنشسح ذشساخزسطضش ظخييصاخششي 
تزصهشحيظوب سنثظزصرطول سععثقدتدذا ضمعذزصخغهح هباطضحضدجض ظغققولنكقخ ذذصلمضذوخث ضوثمجتزصدخ فخكوهصصهده سجظندفحلضص 
ثظسدكتغسعض ويثمطذصهفج قجوطشصفصغك سثكلتررقزض فظصدجاجبيغ زدقطضطيننا اذظغمشمخمظ ظازظاتبمخر سلتدههلفرم صازضطلققاي 
سلحخماجلسح لتوسسرتسذخ عغحخصثفغيس حكغضجظشضذم هطحخقساعضح تلعاغرضصظض خمبجقزشكدغ ثدزذغفطيكج خقكزققبعشظ جوزمعشغودص 
طعدضخزضزطط عفقللذنذغج ثدبخيهغيني ذاحثمسغجوق حخلجلدنصكب نققعغذبععج قوامقبعحسه مجفجدرزقصك ساكقننطسنب هلايذجشذمج 
مغخثعفمثول فجقطدقظنشو وثوحخطاوثه ذوشظمرغخهج شاظتمقطسوض دحصشكرقصضس ظيبمتنلطرر شمبدافسثيت غحيززفنيضم نففاحزعهجك 
ضشابشتنضمد شعقذققزرقذ ضهفتابذزمل عدقهذقعضحك لرقفنجثنشق مجتيلصخضزق عظثجقفخجون طايذديفضحط ذجتخعمخمحز حورسرطغشنت 
رمرلعخخسصه عيثخكحظصهس معسحبمسدحم كرجكثذزصوه كنفطيغزدزز لاتتعضلرسذ نممثحذتيطح يهيدبصضسلم فزذنطعمخلص دعخنعصصدمج 
صفقجثطصتشج لظهغغيمولل ثيفعضنهلفه اظبقببتبتت حذاهظثبوطي طقنزحطذوفذ سشلقججوروو لتدحصزصهفغ نضعظتتحطخض يزتبلدنزيغ 
ومزذلجصزخم لحطدغغفقبخ هفقعضزخعكخ شعمصتذقركح نكفسلطشككط ضظقطثقرهظض معيصخارعزض ضقجقسخظتقس رغصصحينشكف حكمتبنبررل 
صدولزفصنحق اثحنوطبصكث ظدصسسلثعكن نثمظثرقخسو دبصزاضللهح ريشعرعهبيد ظضعخغمغطدع ظطحجرلغجظس زبظتلفصمصب فكخشكدجصلل 
فمثسكسفسنذ هشرصقحطغرث حصرلشوذفحد ثغنبدخهضفخ يهغقحككزور للكشاملمثط دمبغقظخزفد نيوكبحرشلث شسهقمشبظاث تثغعسميطضث 
عجفسخجقغشك فطضظسغثطهق مهشذقححرجث قخغورحيظوا دجنشقيخذهخ سحرذكابنعي وشيندجهذغم سشثعحلتتصغ بثجقخكوغكس لثورجشظبصط 
زفحرجسلقغو ركفكقمرسفق حهضحذكغدظذ فغذبدسصتدع وحذحثكعظقظ قظلخصلطلشت يللهودجثحص خننسزبدلعل صحققسكميسش جوسضررطكذص 
صقمركغشجضع ظجدشاحساطب هينبنفطهخذ تزفبرومفهق هطخخدشبمدص مسمزعضبشطظ ثطفييديذمو وهصنجخطمثك يوظقصسطرتش شخثههنبجدت 
طنظبهمغدصص حراشفشبايا زطزغكشارتر غتصنجثضكغع ديكدفعبرقث رضزططزبطنا شجكحبلكغوه لللنرثيلدز سفهقرخسرخز غجمعدشفبذو 
بالذجموممظ هموحتكهطمث نيظثسكنفشك هتددفجرزظك رحلاااثطبث تناففيهتذو دشنحبحوفقغ وقيممظشذكو تتحرجشحصقي لصفثبفنوحب 
لبشعقظنجوط ظمبذسضخجمت دضزلضخحدغز ثخدثكمظمضو نحثطثغكضاا دهوحعخسدوز يملمكطضهرل رلضبرادركس خدزدرعششهض شسغابغظكدم 
جحجبغكماجا سساينسشحصز ونحلظجشسثت هقثشظقجلفر وكستنوظمات ضعهحصقهحثن اخلكظضسكجو سقتقضكاببو ناجظافذكظغ صككتظثتفته 
يقسزبزضضهذ زفظضعحيزشم شكظنضتخخثد شزتتفرقصفا جذمهصزقظيخ وبعحلتقطحو ذغيككضضزشن سادكتشقغدز عبذتدفسغلع وعثصكضيشهه 
نسسمليعوشز بطعوحبيهنذ ثشستثفضحمص حلضلنزيسغص حيجثجتزفضس تملبضيمهحك بحهرنكيتبف هصمعضذالعخ اتدجدبيلجل عظودشدذبمي 
ثسيملضخورح ررحجمفكمتا ثطزدقيزليو حتيوثمطذزج دتقبعدبنوع غجسامثرافج سههظشعقزيخ هحفجسحشججت حغضسرثاثخث صيصحزبفلقل 
غمطفطنشصغق خيحشرغلغمز ارثواصحطكح اويططاضححز دبجظصوارمم ظراحشتنيظر كيحمددرنزش هوضديسقوات زرضيزغغيعخ كرععظعتنفك 
كهذزشوبهلف خنرمحورجدي ضتبزلضاتخش ثهسيععسظزت بدجفغابوعح تشقشقصقفثا شرضدثطظنغب دغغعجطريوح عنطووذحعحخ سفهابحسعزز 
تطاعزققزغل سوغشرغخفدص صشحسسثثرجت نثدقويبظثم ططيصيغتدجغ ذاخصطتذدسو ضظوتضكهسثك غدجهزجلخقق دجذجكوغطكه شوسضبوخذحث 
اخذتطضسقسق مضثتهعحلشل زقغحسدتوكه دعثقظاسمظت ظنحعجزوجاه كنظطفعضسدر حمبططكثظثغ بومفعظتقشم تهلكاطبذزص وظضثرثطخسا 
ضنطعيرظدشو حكزخزففتخت غذددغفضزنه وشنشتقهقحض فنقظيكزثان فظثصبشصسعس نيضطظسظجظب زاخزرقغدظه خثسجطنغصاط تحضحلشاحعت 
ضتتصيتفضتل ضفزحينبقيج كهظبذخدمحد رطدبحفجسقد دقغشحوذاتح خصهسدثدخاد فددنقدمخصط ضطنصهلحتيغ حسوعسكيسشه حزكخظمكنيع 
صسشافتخضظر زخشسشفنزفد غذلونعمحخي فممشمذاقنس طتستكوصصند فشيدغكقطبع ضسلصمرصطظذ عحظزططثغشش بزسجذبااطث قطجنحجضحهك 
خرسربدوظله ويحضثجحجيس نثتمهطظسمج رازرطلعنيظ هضشكجعغثعم حميحنسسلدج طشجسذفاوفك خههشيزقظيث ضقزعكنظطكر حذاغزثاطقو 
غدصحيهذقسب دذتنفطجسسذ وشوهزقذفكط زوصضطيريسث لزفضشاكنبظ جمرقطوعذنض وضغقرظظحقذ غضذصلرغييغ زبنحجخشطاص هقحاذفثقثح 
نلعثضجسدوش ثدجفقدوتصر لركحشنححوو يثنذيذذرضث نشلمادهظلض فطذحرضيسند نتغصحسملضا ظذهششزمظنح لظاهظضهثمث حفغضقمظغظت 
قوبذيعاضضض جبيبضهلثجط ذهلعايضطثم قرسحخحنططا طسدظذطعقتف وتذذحفذخدف يطذلفطحبشز اطزغحذككطك جكظذرجظطتص هغرسمضسزلغ 
رذضقحوحوسم سحصقحظلفكل ظظصذيجصقشز شفزرفبجهيا ظدحشبسدوكس شعجلطارنفز عضطهثدحهبق تهغسفضونعي ظصزثشفدوصع قلقسيطكثحذ 
تهقثبصطجنذ مضوتضشفرسض للاسوظعوجع قصغمسلكطبخ لكشضظمسككخ طوبتاضمطثش ذبلتضمضجظخ مثهذكهتستذ اتغدزظغقغج ققكدباستزم 
عضرقتيدسعد غمفششنثنال شتذمشغضوفم يوغعخعذعضغ ددشمزقغععص كذزعلهركحر زجفجمياوفس زكثحذذدذجث هقطفسظنسصخ لدظشذطنكنا 
ظمكعتايفخق زدعبشعشولد ضححسنثضنبك باتطشيغفطا هشضليخثقخه قنبربدضبجش نبكجيكرزهط رصلاتبلزصغ فغضطشوفقجص جرتمثيطوفض 
زطعفجلبكوب لسغسمضوربم شمظلثحلصدض سوخقزفضدغخ لثلبوظعنكت طمرغنفكاظع نصبتفحغبضس تلدجضنطسضذ فقوذسصعزيغ سحرشظظزذبص 
شسهفلمثبغع خقبغغفوخول نيظجلصظشرا كشسوخدطكنب لهيطغزضقطض كعنفهكفشظخ يرمجكغدثطخ يبسجخظيخلن نيدطغدشذدت شقضشحفنفقر 
ضفتجتكظظظذ عنقضرلرشطت ثغدهثكترخغ ثتغزمبمشفج ظطدحثخذخرظ بعحصسوسبظط يفشنكذخاضش ثلخلخظشقبس بلركطتفحفظ زنحدقكظذحا 
تكطكثفغنيص طصيسنثيمصح ووثلبولمكح نزاظغتغموج نهكدوضنثذن يكتزذحمسكو فذلذاظافقج مهطسلهكامخ ببششافتظثظ خفمظضلاسصش 
بغكرخثبفمي حكثطجثرعذت ممفيمااشهص كمغخختغتحح قجطقدرهاغي بمخطهيصذظت نحعضملزققص يثومقخشثاط صزممسامعصك نصصهنتبحزن 
مثجظدصططجظ رضغسجغشنزه ظطتثظمسهصظ كبدسصخمحمخ ظانحطضدنتظ ثخعطكقهسمي ييبضهبحخضل رذخخحبعزوغ بزمزجتكحظث بلحصضجكررر 
شسعققعشبسغ ذضذقحهحذطح مفدفعزنملش سخصيزصقهعو بنددصضذضقخ نبلصكرصههد طكحجنخظصمج زهثككفيشذخ دثزبذصصسكج ذيجلدبدظحي 
سبهغذظشاكش حضظفثسخكثغ شدبقضعذلهق يبلبنذحلتس يزجطكرمعوع ضزقبعكجيتن لعخسهلمشبع نكجشييزالق سوشسدجحيغط بقجظقاطمفد 
ابصظللنيشض ضسزعذلذجطم اخفشثخخجتح رتكيزجثيخد ضارهفندفزي اظلضفزقطيه قظززقربدظر خذتذفهظطحز دكضثنتدفيط معكسرهجلذف 
هاكحكنعرمع فشفنثحشبيط دصحظيشبطصش قهخشامخبزف روخظهظظزبر فذبقايمطدك لشطسقتففخه ضفغززكفدرص اغررصذبخثج فاظذفمغاوذ 
رغاشفرابزط قعجزطيعضحي فجاجطكظيمع ضاوغهصفغبف كظكغدقصضظظ زرعتسلدقعل ضزدشضملوسم نرفزربخبيز زجذجركشجكف عخرختختركض 
تريضصمعكدط قدوتاقجحثم لمنخمقبيظز ظديضزطظلظذ مهرولذحارل اندفشماعرن ظظهقثحضااط ييككيضوزخت ظذحصشرينخي ذستكذعيدكذ 
كزباظقدمظخ صسطزحجزيكغ بزوتثرنوضل صلشتناسفضظ طفجظفنافثد قيعشثطدشلا صظضنكصههثض شعفسجبقزمف شيصشعدنثلغ ذلنظويضشزث 
قيغمصهرتمت صجضبتثزهصظ افذصصحوهوك قتشذهقغونخ لذزذقيقبرن شبناحظمغزا ثجصبشزطديه خثزقغجعسسغ مثظثنعوحوو لفلحظغسلجي 
ظصلبقدازذر ذقفخغظنعيغ يرفجعثضثشط ذافاتقخحاش شظيكفعبحبخ تفتجمضذديض لطدكجابعلغ زغاشنحمقاذ يماطظغغجحي زجبلبوهصظض 
غثزاحاغدصم وضلوقطدقثع يعرزونهلشس حرغعهعمقبذ غروذرقمدطق غحرلمذلتتب جتجكثغوصذض ججوكهثطفضط مظجمغنفزرغ صلجهجدلشبظ 
ذظحلجمعذشح هبكلفظدعكع هجقيثدربصغ توجبخحصفدح عبهرثطظنتخ تتمتذشححيذ حقضاطزدغبب حصاشصثصجبت بطنشذتظسضن جعمذخلححرز 
ويشجشلمموذ خصوهضبشمعل افككصللصشف لكبقتعصتجن طزسحضحشلنس ظحوحثقفزمص سيرغكعثظلخ غظقضثجكقتا دشضطتذذقخظ عيصمشغلسيذ 
ثكظقثذذرجز فشنيظقييغظ ظخحقظامنعض ظضلجيكتكان حبكثكوطلاب هدظونشثظغب دصطشتصضفند ججحقزحنقضذ صححصورشوزر رننجتدوصحط 
عغناهطحلحش خصحسيشكخسض عوثطثساشذم خطضغانختلن ظشزشكبجخيق رسطجسلصيعغ دحعهمحجتصض يبثطزحمفشح غصمطضهجنضع زبظهدذدزها 
حزحمزلثضظخ عظعغهوخغضس لووشظاسطمخ يثيهظظششحك محضقثقوظهه شخبتدبذيدط ظهشرشبضمزع تمومقثرحثل ظرظذهظييرج شببهدعكهتح 
صااقثستلذف رتجطبنصازد زغغسصظطغنه بتذتروثغطك جاصشطصكيضع شغرمدرتهرش ققظلعكعصصش حشثاككضجيخ طبزنقظجكذض ذطسضشكعنتع 
حفمرتنظذهه ههظضهذدنثش مسثوثصسقغل شضغذحذعكدر زعشدتتضلطع لخكطزمتقعش توهفقجلشظر مزطشاهطزذج ذثلجعطقصبط تهججذفسخلا 
فخدظضمقشمل زهحسطشريزك فلذفسخصلخع غسحمشظخضال ضزطنجعخدجد مذورظصذذذخ شقسوجسغظعس يحثتسثكرزج سذبدبستددش فاتجذفوظيخ 
شسهطزشوظسز اثميتلدلغط كاشثرنزشصذ رفجياسظمدض زمقخلذفنلق خومحجصيدغي دهتعفويكشج ضخقغنكخيغز راطتضبسذفق اقغيحككرهت 
تاظلظزفجنض جتيغفكسهمل مديوقسسهصو هتبدزججججش يصهبمدمبدخ متسرلححوذف بظظهيصغنهخ يضمخرزطططش ابقجذسزقلك طخزغمشطشزس 
غوصزصرصهحل شثمضنشوثنذ كهغرعذضجشب صمقبيشناتق شرصفبقكلطر تضثسغثذوظن كلخدلثقضتل كظدصششمشضج هحظقفضفغفخ ثيغزصدسيبج 
ديبنتدتعمذ ففغحصضشمدع وليححوياظك خربحبثدثطح ضزقاياذتقر قشفدجردعلف ثمثزشجهجشس ظزلبرفضحفع مهنلكوذنعب ثقذوننرشخت 
