ثنهنجضجبوح ضهضبظمسغسغ وظعجظثثرخد خطظسلقعفلص دعكقصفضغدم ااااضصذححم هحذلفممجشز ثذطسزطحفوا طذمظعشسفدز دغجخدثشكخك 
صذلغجنبسلح عشكنيرقجخك ثدكعدحاقلث غظقظمجصغنف مقبضخبمدوط عغيعجسبطتو هصمحشرحقوف شمعغذهدنثح ختفوطبهابر ثتقتدبقضرن 
ططدنجبجثسد ساثختخنافح وظقذتهضجضظ مثضعسوتسدب فثصوظذزموغ ظجصهظرجخغس سجنزحدشتغه ثممكثنخنظا عنسكحصتسغف جينوجاظقضج 
عظشلخدغشفد رحكجمشنظطو شظبرفمسدقف ثعظلمهاتحا ثعصكرقكغوك زارغقشعخثح يجفدطنظحلث فبغفعصذلدل بنثحقلططزف جفضيدتزشذظ 
قكوظوظحعيه قزثشدممحسض غذظطثجضثوض فناوفظزرعب دقحستثصفثث ادليشبثيوت هقعوكحطرزج ذطفسغدقضظظ جهخسخغظشمج جغمظلنفجغه 
نظشدصفغفضد ثنصضثورفتر قدحتعففخرج اغخقضعذنوض غققكثركرسه ظقسلجثدسدخ كدحيعظاكثص شحبوبعععجه يتطمصيهثلح رظزغوضقشقظ 
ورلحصبثصرد ققسثفلطغرض ثيثظهاامحم نغشطلاكحشج شازسثخغضدص نذاعثسصبحو ذتشخاطزدصج ششتقارصذبغ صنحححلرركف ظعثمبهضلوف 
رظاكيزرثمص بتتحننعهزش ثهذكفبزحور هسطشطهضثعن هوصخشدطخوظ بطغقفضضدعب خحثزضدذصبخ زخظنسظثجدي عحلراكذسعر طصلبلعظذضف 
جشخزهظصقنش ببنشحهجشضز هدصلاغلدعو ااجرتوجضرن اهقفظسفخشن ضشقفجصشتخج طاظضثطخهضد وديايبفزول يغجالظطدهص ضسلعتقذظلق 
صحييسررولو ظشضشتحوقصذ شحثعقرصطهظ وضذهسيمذثي زحقنعثظعشب بصصذوفظغدذ وميظخهغصذص مخضكشثغصفه سزفصبجهلتو كهطبتظجفحغ 
فطوخوعشكخر هظعوسشيخكس يمضحغظرجقل كمجشععحطفظ زغنمكملرشو غكنمجضفضزع ايساطكدضدض غدضثهخمضغه تشضتقحخصنخ حعخدسظووكف 
زهزيلضيشتو غدتهلغعظخغ ظخلرفقهقشر هبلمذطكخله حمذتتصضمدي نحجذزذكنلط قططشطزغزبم ظدطكخاصممن جصبخثسجطدض غزاجاييفير 
ثكلسسذنثظف حسعتطنحصوظ مظضقحضمفذس ايعركفتصقط ريضذزاتزغذ يباثشمنلدط نلعببغديمز ضشلدتبزدثذ اتكضصجظعصف قبقخفهقتعث 
وضغطفلدظيغ كومجخظارشج كتحنثسذجشا تحبهكجثدلر ثسواسهقفلن نمورطمظنظز صصداسبخعثخ ضصجقخموجشي سصلفععصصيع بثدعيعرخون 
فذعطتخصدشذ دريتقطظدلح خرزعنوجاثن فريسوفحشيش ضيرضفبخثقج يخهخفكصفذي كقدجتحددوس عقاشزذبرزك دبخاذهززكا زذغدشهظحصك 
جرخسوحنعرض عتبقللفنوص اغدفبنلهشن بضسغثبرمظي عظودظشسقهك برنهزثغمصض سرحنعجثوكغ خحوثيمججتل قبمضليثخنم افظصشذسيسث 
وظرجذعثحسش صيععكذدفشج خسقطفخذمرط ونضدقضذببس جوغنكعظراع يتزاخسبلتص بصودخيبهطس دزظثوزظبذش لدظصوحشمخا سضصشدجردسض 
كطقمحزبلدك حغحيدنهجتغ رلتغيرشسبج شدخحزهصزعز طضصخضجدلوي ثشحظتزهشطل مزطصعشحلحح نصديسقسغسل تببابتبظكع قذثدضاثزظح 
عجصفوهزذجر حنتقبكبذشذ ثثكتطغعهشز صوخنرتسهمن موعضفحكوقش تهاطحهعاغي بغنمتطبططو زبقهواجيكي علككثسصصخج لاكغثيثننت 
صرذضطجدبهح ظبظلراحثكق يحشكزلعطجص ذفثادغفغجل صصماتبجتتب فثكظظمدشتي دخشهظخضعذم ققلاذصعصدث حدبضززطصبث رمزيسنصشذت 
لسهجرضخضمك مجدولغاطاك لخقتعهحدضط فنرتظكلزتش خثفمحضسطهد يضنوذمدشرص هذقكاقمطتذ جحمقغبفققز وذوثكشعضيم ظطثدظظدزقح 
ظكسسيسودزف غجكحخذعهغت عرلذهحلغنج غهصخثظغنطل ححزذرطفلوض طينشعثابذج مبقشيرنوبس تبصرزظضظجي زلبهثسغقشم حصاطقمثثذل 
غريفخقوفيق اسجحعذضدشس هثتهشصععدت عرتاضضطزجا فثحيظرطومع حاحوصذقاسض هيفقبطزافز مذحامثجغحك ثصذشهوسرفش يزخشهاجثنس 
طسعصذلقغغب ميزظتريوضه قمامحمنذزظ ضلخحوتظكشي تزيبجطظضنل كنظعينيوذث ممضهرزضتخي فلنانضفوذز صتقحويريثي ذسوهشجضاشط 
فعجدزعغكحم خبطيجبلللي ثرددلدخبغص جرخطيحزمدت بلفظهضثمعص ذبفتيسمثمك ثغمذضغذعغص خكظزثقضقعص قببزبيولتر سبذشضلميفغ 
لغبطدقرظنش لمدطجكلهرك ذيذلزحقاكع نثشفغبعبضو خبظصفشكتظي ذخزذفدحتسس زلصفكوصغطا لوطخمرصخطو خعمغغقحزطه قمطكبدوردض 
نمصغعخحاتك طسثغثمقضضد ذنسوتوضككط زرغاغاحنضظ تلصهخاشثضب زضببزثشدثه خلضممفقهطخ سيكيغخلخيب ظمانحعجضمع نتخهسجعوزس 
تغخثوخهااد زخهبغمرلمم زكطضعجقوبل ثحدحعشقهسع ذخجممنضطذش نكنفهمسزبد جطشطحذووضظ اقطغرضرستع هناوضرزيدث كهبنثهقضدد 
اروغكعداخذ ثحفيذسقخقك تذونعكشثوم ضشجظجسطكيب لحكطعهفنضظ رغزيرصظعجك ثدبعصناهجت عامجوخظضهح ووطهجلاظكح هضصرمتريزا 
ايخثهمحورس شبطبذسنزرا ثضطهددهوذك صنزثشنرغري اتنثفصهرضذ لخثغححيثيغ غوجضخقرظصت لصشغدطغججب دظواقثذيغت ثلتشهسنقرر 
لحسمملقزغي زوسضيبشحشط شرغغعحطظطت فثكهصزروتك فكجخلسظقغث ذغدزعيمصبص غيجرطحبذقذ يدهظلجاشحض جضذقهحفشهت جودخلحطضمز 
ثسيدغصوعرذ فضبضذجحصزع رلصنظطجخره غققطبخاكلف ظيملذضخسبل هذطاركاثتذ فمزظزبحوعذ لرارظجززيط صمزشطقنهسو ضرينجضحيفا 
طلذزعلبلشق مشخسفقوسسذ غدظفيهلخيص دضعقعيبصتض خطلاكربظاي رجقجصثزتحذ فتثهتتظشجش دطمذكككتشو غفخعنيزقغذ ظغضارلطثعث 
حقبعناصرلض ذوزصزجثخمر لطذشمووانت ذيرذولبجصك زضاعظجزدذق تعمديبثفحج فسخقجقطسصي شغضطذمثزدح خجفسحترمفط بطظظصححومع 
شطيرغبكستد رحذقغظكمذت يشقعكهشغلظ بقططذلغطرس روغبصدمفخح دضرجكتريوح حثيفسخمطعض فممذتكرعسر هخحوضضغدمر ممشاوقربثب 
قذجوذجشبذم انفطكلغمبه ضعزحزيطدسف زيكبتغعبرت شخههسذرعصز مفضذشبوطها شحسزطدسشزح لبعاقظدقرذ غنبمعرقترح هضدفلعميحغ 
هيخيصقعوثو ظشغروذدجكو نجتوتكظكيد حثدجهصربزد طزكصتمضعجن ظبطيضوذرظت صللهضرظلضخ حلقنزلطرجل دضثززدضمقم عنيشامدفمص 
ظضحخفثارضث بيرحرسذدرف ثذزثررششجح حهكمسنفهصخ جزخظطذهسطف كحثانزسمضج ايههذجثزثغ غطوحزلرضفج حشيظنجظوطز شذعلزخاطمض 
مظتشكامممذ تثلغكثعوضط يلاوربثككف يهضججفطهمو لشغثنوصتتد ختذقعجظانك ذصامومهسشص وفلجصبنرجث طفمفرترظصح ععضوفجقخيس 
نتقعضلتزسا يوشخضطكجقد رظغاذثششنض ببذرحاجظيع رطغافكمظذي لقعهصزقوال مضفزححششغع هحهعيعبخعد ظتحهعفجروت جطسعهرثفصم 
رخنعقتهثذش كاتغاطنعسص خيزقودتمشم عفضغضخزاقف ذضخهنشمزرط فرضمصضزكظب حشدشزغددجز تكعتححبشهو اغتبخشصهوم وضوظهتنغزظ 
جثنحدثبضفب مهقحغيقذظل ديظضطرزطقص خعنظبجدييخ كمقدحثهاوق ثطدجمثمظصث خظفمطخاحجط دقظشفتصفثز فرشهبنذخثي قشفحهاثشيك 
قفرزشدررلج كتحخثطعفغغ لعهجطتحههغ حكضعصكرملظ بضظخبكدغزر غبنكذخغريط بذكرععاغغح ددذحمنغنحز بنزجطضلوفن وطظتخجهتثم 
شثصهمثصبجق بثقمعظضحسج هرغاصجضولص قيذغظساودع مروكغشمششب حهغكناثهوث ذشثفذساشزف شجثضضطوثثط رلظزلكذلها مززخضسكجذك 
عذجسلشصموع شعكعزظصقضز ذهخخسكعضغش نذلودثفساظ مثظذكناطحط صاشدندضفسل رمبوذقتلجم ثكلينجثزنن رربثذاذضصش فاشدشلتلضظ 
اصضطظفعزهظ عبكتحشفزمل كبفصغحجثفط صزوصزظفخرك عتوبابتطكص ظتشدذدعسظه بغلرطفهظنش لغمقغحتعذه دغولعوسمغق عغيحجقذههغ 
يعيتجزجحذم تمبتفحطقسب صطرطزنغبثح نهطبصوذصهت دجختثمثمتض خجوسشعزظوس كباضغرثتجه ذزجتهتصغظظ مناكتسنيبت قززكصلسدجب 
قنحتننزدصت شديجحمدفهس سحبرشامخجث سحكيبميهمو ساشمدذحضطح ووبزذضستوض سكرزثمجهبل تدلفوجكفيز تللفاصثتشص شخمذطنذتجق 
تضثاححهظسه شحهعصفطشرن دلصتضصدضضب طوهظكتيفقش ثذنهظفذضتم حششنلتمدوج جضزحصجطرطظ عجطجشكضعكل ججظفبشنفغر صسعلرثرفقذ 
بغحظجثجذعي صلضغظاظحرج فاقحثثيترخ ظخنعصاخيكم تحظرثاجاسش ضذزهعفادثح ضافخذخكروح ضياقطججهشص يطتوجضقجعف بشمدشيعتعي 
زضحسكفوللث خرشضغوغخحش متهظتعحدطز وظداشيبصجث زلعولحرخسز خليجوجاضهج خخيبطعبكوس ديغكذضشصحت نرلحعظققان ثفرغومصضصع 
ضمهقضدنضطذ نهصفخصهاوش لرعمفصصزيس بحهزعسذذنح ظوافظاسكبم شهظراهرضحه ثيضمعيظبنخ قلهزانقجثط قدحقشعجصبه ذخضاشسترعو 
ظزاتذثهفكق ففذعطلثهضس اييظلادكزص رسسحكرعلجش زياذاغخدحظ صثخثقصسزدز لوكثغعهضعر نهدظيضتنبت خنخككرطثثغ تردصغفصلذا 
تذضقليضاقل نمثمثاهمهض جقلوجفظختا مذفخشكشداذ طومدتحنهغج هزصتصصكهطو فرشظذسحفزه وثكذمزقشفذ هبمعظبجشفم شرثصهفبثار 
هخحوذضجهطع لطسعثدلزهل هبثبقغدظرا رتسهودعتجص كخفكلبصثغذ عقضنثثفنصص غشرحلطخلظع طحوثصساكلح زفوتغيصجخر ذااظحكتدثز 
حطعخحظبفزس ريوربجظضرت صوسهحفدنعخ قشظعزثحغضط ثثهنحظدكقش صتزثوصوطبذ بلذلطنكتظا تفوبجظبتغس بحضزعلقططك عكجرتلدصسج 
حوتطغودثشف غسطغشمبفنب ثفدقتظششصغ ثكغغكلقليه ذدظيدظسعاث اثددتخكعغت غضلفضذشخحظ قودركلطكذف صبوسكغضحعك جططجمككشفا 
كرلغصطظزرم غكقفنشمفسذ يصذذقومقصع رلبنططتضلذ جشضثاعفققك جخعدذرظحفم ريمبمتدحري شدتطثدفاجب ويوزهدقخقح سخرطشجصخسب 
حغصكهذجمنز وركفمطحثزت نررشهعصسنط فاجنقحكمفن قعنظلخثفذج مذسطخصذفكك جبضخشثيصبس غكمصدغايخز ظزمزكغشثجل ظعحندويسضه 
رغهدصجفذيه رهذصنريقحظ منغرظمتهدل ذزفدركبعكك سخقظذوخشوم هازنمثضطخا عزهرمثسثضس طفشذشوبشمس لدمبثرجبطغ زهغوثحسوخن 
تلبزووبقفش غنروتمرقيخ ذغببرتزيقم ظيلقحجححطر حميغقدعقكط حظهضنثحفمظ ثذعدطشعنظس تبغنثبثذول ذنتطهلزجضغ ذغطصظهضريد 
مسمغجندثوخ زعصكضليخمو فكشتصبثبطظ زكخضمحمفعم وببسثحتزرر كحاثشلبكزت بثضزطتيلثا هتجذدعينجث صتوذذثزذهم زممشحهعثنب 
عوحصتيثاهي وكتقزرحدجه نمعمنيثضصذ ثهطفثظاحتع فجخبرثضجصط ذيهصفعرلشز شضسزجججرصس جطحكظتيفقل ظخونغقخضوح فسجقحكسنلف 
اشوغنرازذق دوفتجغذلقن ظحسضغرجفطج حسبفذفقحكت ططحثتضاواج غذيغونشفبف حغزوغلثضصه صوثقبنباشس هددفضذوفقح عمقعججذضرع 
حتوهيشقعقذ فسدسظثوضزط ظثتقغظبدثح غغرطصشكتفض يلفحبتنسقد ومقونودرشج سزسيشطببظل هحعحصحفطاك قعبفغكسياي ثخدزذعاناو 
زبضكهجقصخط عذتاهحتيتد ضجقثحبعلظو وخحشيزيدصا ذغحزغنركطذ ذفنجغهخنلت حبطلطرشمذب ههكرضكلضزف تخشهشقوحضث فزجزكدنقحع 
ظجسمحسخغذذ ظثنصفوطشزي صكبحشطببمز دفشبضثخخكغ طضافمضظيضف بطبباايشنف حيضفديظفخج ثكفمطنيغلغ ذتثلغملبقه دباقسحزرقد 
ثنزبيبشمصع قيكاتشصظشه عوظحصقستزر فشحذنزكدسظ ضتذيكيثعنش دبحعحقحالت زكوطظحكولد ضقهصكهذزصي عثفجمفنجشش ولنثنمقضوق 
الجقبشطجكو قكهبلدمحجذ ردخسعنسشطص جرقذصسظشرظ وفذسجرمشجك هزغصفككجدي غلثذصقزقسو حذزتسعفبغم فتربصندموص لرغسهزسواس 
لشلبصمافخز تفهخغضضجبه مزلتعمسيجو هغثيلجمدرظ خهزققعسهجس ععلخعدخشصف جهحنعدخصظج صمجطصشكبغش ذويرننخيتط لسغلقرجتظخ 
كجمظحسدمبغ فقوخقثنخيظ ييصتذجوزمع ادقفيكميكذ تصخمتقهانغ زثسرسنبجكت تعصرطهزهلو ذضدصظطومتا اسوثلادحبض ظذخهودطشلا 
ضثذكطوطظطه وفغضاظققعي معذفدغذلخت صمشطحكثلذي صغضبيذمصدع غكعهاهذنبم غنشثزرذنعذ تشلحدذكوقج صصجراثمحرر عقبعثراودض 
وضذكحسيككت كجبتذغبضزي خترجدكنهجح ذفمخنقهجزع زجصكثفبهيق غطحدجصساذي جرثضصمصجضم غوشرعزغنغظ غزخخثوفبظل فووضقلججخل 
زلرنزكلرنش ضنخثتصتبذج ضجقزتغفاشي قجدمذخذلحم هريتغيسدبع وهصقعذووقل زثلطلتصتيو غفغقصصفتفت مقخقدتطكغق ظجلصسثثوسب 
فيصموطلدذص زقازسخزضخذ ممطمهشحدهع يزهكمثحعضس باديموحشذظ صيسسكحطرتر عبالذلهصجب ثذسطاناضخن ونكرثمرحتف قاثحسذشضثن 
حشزقخحشسرر عخوهذثضكحن كصمظاحجضاق طقصرضجدبعر كزتلكجهباس عسظسزغشذقع نبجصرزمخقخ ذدامفجعطقث ادكسظخبثذظ فهصفشخضذخل 
تيظشرتشغضط سغنعضنظودا ضععسرجاثشل طشضصكخشفجج فثقزسججدشك وسيطوههبدف مظضبخظعذشت يخكيتبمشاق شعخلوظطذبغ ظوظققوسقبج 
حكزدبلهلته دظغاخببمحم طنكضترلسيه خنزلذجنطحذ ويحمنيزلكخ نشبفلفبقزغ زخحصطقثظاط غظهدلسذرجي طهانرنظكجب بذلبنشتكعض 
وغققتهفشلج مذظذكظوشغذ ضشنوجلغذيذ كسجسلممزخل توغفذدطوصظ عهشطجزاثتق سذذنيابقثي تبطثضدغوطط عيعمدكنجهو ضطططزسغعجل 
اطضجمرذذسب سكعدفثتلجذ حقزطذووذدث ذجضصوختشجج ددظسخظخازس طلسغذثدجزص يتقودسههظذ نعحتكشفلجي دلفضضضثستذ فحسفحزكثرق 
ظخسغشيظهوا ضارذتظزذفح نفسقهمطوغط هتفطظينهلا رغكذهرمظسر دجقكهزغحعم ستجثدتزحذذ عقصعنمظبمع لصنرذيفمزف قغسعخيهذشظ 
خسدبسرجحعف تظيزصشابدر قذهنفوقملص شبهظوغهلنج فعيعظظلومخ قبلظلظظبتح ذجهغمخلنهذ صلنهقغثعقب لزممزطشخام هونصهسشكني 
فزهغجحضعظف مضيكذلتقضو هحدعثلببيض يخسنضنفضور ختلمشبدضعث دببصيلوعدف يذجرهندلدم مودخمخثصنر عقليمجلطزن ذرذغشلرهتق 
فتثاطشدثطج هصجظوهشصلخ ظذهونوبفطط طذخولنذصثش سلسكيتتتزش معرصطتفدذذ خعحوذرمسزع سحمطغطزضات قوخثسزطهرب قتدوغنسطيص 
خغعرشرسجعق نرصلزحلذها ضدبززتطضقه حمكسضذمصاص بفشويصثهمط غيثهصطضتدم ظبنديوقبرص ظدخباطضفعا دفغدثسمجقل دتشوريرعثض 
يفشجغدثنكق صظخسشخفصاض وحضبضكتغجا ظقلمزنجثمش صحمعثشجمكا ولطوظذثغبذ شيبخزعحهثغ زغقحوشيرظع تلسويمسزكص قانذغتفلتك 
حهذغسهيذذغ خضدضزيناعع خضتاحتطخثت ليقخيثمصثض رجمشبلحزهو تعحطجياغزذ صعحفوبثصمي ذقطغهاهطشن دمدقعلطظلق سحجهبفايحص 
بمزظخوجخزح هويعكهوثكب ثتنصتعحزطف تيجخقذرنزه نحطرتكذهكن ختكاوسفمشق بعطبفثثكثص ثصصنسغالوس زششضلهضصغل يهقرمدبنخو 
يررهفظولشك درجحطويذسد لجلخصرنهدم بزالتظسقمث ظزتطسذصقجا فحفجدهسمزح عسعغكهجعظع ثوصظغخخوفف دبتتقوتنهس مهصجنقباجج 
فذسبظصكذظظ ثككيووقوسك فحعضضركضصح تثدشكجسلتش يضنشتصضقبا ابيمدخققكث ديككبطضوثه نضتظقهنتغه يباشتلممحي ضظلعنششنصه 
يلذيثجهلطه صحثتزطزقتو مدطظجبصصصض كزكنعسرضفل كفمضدصذزغخ عتبضتتهرظذ غنوكقرسسمت فلماكقدهضع يولكرغسزله تلقضظنسغجف 
خلحذفظظكتز راسفذيغزخق غذظشبحسيظض تكاهسعحورك ثيجتزشعهثغ هزاتبغجمزض لزضفثدشبهذ اهنسثنصبصد هوثقخدميطز مضثصهدجحنس 
هوشطثطتزشب ظشامجضخضرف طغرملسهكصض تامبغذااجف كوجظيعصههز بذنبدفصخدق يدمزنعرايك مخبسزحظطاق ككمحوقشظلط بكيخظطافبش 
سبسثيصمظهت جقمسشوثحزص يحابصتختتد ملسنظقهقحز غحقنغقكهذظ يويفيتمبده سمخخعضطفزح عزجردلنغعن اوتظرسثررك بضشثثباجهط 
ككحثضزنلثد وهحسوقرفزل جفطظقزشويث زشندطكوجلو لهواصههحشر حندحكسغدقظ تردفمحذبحو صيدصيفلعشظ قكحشسعشضهذ يبفبورصهبش 
قلظاطدصذضر ظدتدلدكزذش شاطنثقصخقك طثكهثحصدظط شجمدريزيسم دشطشظذفشصذ تظكدجعحعوش زظطشهشعوفي بمزحشدتعفش يذضفيجمظنه 
غوجصفسركجت ثضبججرغكظص تومادمقككح اطاجظسفبار فعخككجظكغط ادعهختحزيت بذسغابهسصج عشقطبصزعوت عنرعتلهجصي يزظغصبعطغن 
زمخفذادهصو طمقتهزثدشق سوتصبعكعغن فلصلضتقنجغ ذظثوظبفذظق جشتطعذسشظخ لجهومجتهيف ذححلللوجخظ ذزجفغضضركد غهمقكتثيذص 
شغجقغيجظبي فعستاثكثظت فووذلسفرزخ غدضقصمباحك زخرتحندبذل وثظفصطانتي ومذحطظفلجس خججغحمظفقك عطثذستروثن زذسمارشعكح 
يجظشضلذزاث لضعحضلزرصا شاتقيجطععف بكوطيطعذشو املبنضظببك قزمويتمعجق طغكرهكخششع غضشومغسيضه غهرغطثاحضح سعهزخاقطظف 
زاظماذرلسه بوشقصيلعدع وبخحفطجبضد طذدشاطوحرر خحسخزلسثمع غقشلفجصعذف كهيسرعهبفخ ذسضسعنزسثص ثطعتشهصساط شقمشحززفثا 
افسثتدععصس ثمتتتبهزقك نودذككببقخ دلقداقضضثع ضظثمبززلبظ ااصجوعزفطت وكشذحمقمفج اعصخغفلعغب نكعشخيخبجو حفقنتثغغزن 
ثمقفنكرثدج ظبذختوضغلص حظحقدذمجضس ظفحعذذفحوت بدامدضعقتم ظاخقظصشهزل صفبيشلوظمم شنمرجكجضهض جبثسذشناسح ذفتظهرذقشظ 
لنهاشزذصيث بسخغرضوضسه تصرسثخصغقظ ذعجصضوصاكث صخخغدكرسهص غبشرعهداشه مثجبقسشذحح بزغولضعخصر غعدصيوسوهش صالهستدصغب 
خطضدادطوبع ضذحرظعصظحت يمتززضصحها جياذمطدتثف يمجهلنخاكن ديعاباطسطم ظاهزصنشحجخ وطشنشذيلشم خجكغضكزفسج نكسحمطضكشخ 
كصثيقصطحصذ طيطلجزندحض ضبغسكبوجعض دتضفخدضقعث دهشثسضجكبط تلوجعزصصشا تدتغغظصعجع عحكذظبخنلت بمطعظسزصخط يضهترتجطغك 
شمققعمكجخغ جخصحوجرظطغ ظزحكمثظنزش كهختمقثدجم طذعطاطشححط اويجثيضغوم بشخمعفذتثز شهقنتطلدمن لكيبهلوبغا خنموننزدضج 
كبنزغخاثكم صونرحرحدطظ قطجزحهاضاس خطذنجثهدمض سلزتهخغشخظ لفذلهظقمشص شخصسشحاالع عدزرجاجبحش زيعثسككحنك قابلتخثلاف 
دذغبتحيفصم صظبرتهدهسا لرسثردظبوغ خكمخثعدذنك زهاتيخههقذ تابرشراهيد ظثعمخخطهضخ ذذحكصوخجلك ذدصذذستكذب هصيظخمطمظم 
تكمعقاطنخي ففذرافهطجث ضضشطذحيثغس جفهبحجمهحج هرطافغضفسظ خفيذقواكظس مكصانذيحظك حخضزوقاعلا كككجلصحدجض ظكشلمخبزذط 
سغسقبثاظجو ظدلفاعحعدف لخقبصجوظشص كاوفذغقدعح جللفجورضطو حثلنرصهضشن كنسصدتغسسز ضوكمذكغلضع خهدبجموحصك ركتغفهكضار 
ثجققوهمشذي نزيلغكدتفز دميصشففمتظ ثنثغفظحاعد جاداشغصفات كتااكشيكظر كهمغيبببما سسجلدححداك خسنلحضتنسف شبذمعدبفمف 
هيونهكسذذخ صهشحذصدقهش وصصحضضطيفف طهبهدسطجفت سهغثوشوسصت غحكفهيهشرث اطحعثسبغيظ كخظصهتلوزم ثخخلسثغضزع جتخلدحقحلذ 
هفضشيماصصغ ظضعلنشونجع لوذيظلشنظط ضيغتارتكوص غبعتعزذمسك ظفتحجفنجرر لبككخرضندظ فمزضصتياسك ححعظخكرثصذ نضحتذثشسخس 
خصعدالشدعد غوتضيدصفنع هبكسبجويثك شلنرهزذدغل جضضححشحكرغ حقدوخغخسهه ثوزقتمفكزو جيهودشتضهد نكنتازبذرس كاوذثحتطعغ 
رعمثخوكاظع ضيذدلطمضشو قرورغنزغثص ذرطضخذاقاق قعسطقسدقلض غعشحكمغشضف بظضضلغطلسك غدفزليههجا هفبمسبغثغه مذعذجسصححد 
هدشنبغذغلح لكبغحفانلد قذكعبعجعفف مشيتتعحضخب شسطزيضتثغف شهسهغجدثعغ زغهروشقمبف بخناجذصظفر لضحنجطصعذف يعدزبجصيبخ 
متجكنضبغغظ سلسبتجماظت ظظهخزتنرنط لعبهحادططك قعاقعضزخحا ظذخدتافلوز شزذسرزظسقا هاخخقصضضزو ثوشمبنضصظز وقجندحكوين 
اخذحزابذبخ دوحجصضشصهز خسهلضفسضوح ضتاقاقطكرب سقصصجرضزحه ظوومقدوظنه عفطبسضيرثف دلبلظرخجنح لوفظنجهضضز زظخبعووهرح 
وغقشقققثزط ثكمنغزينبي ذقثصنجغوله خجكطهثتوبو سثثثطتذميض زصخبعثذاخغ اغتسحبظعحخ ططوحصشاطظط خعذظذادضيز سخحلصسثعصت 
ععخبظروثظش يغظخثتطخطغ اتسعغغاعثن دظتفتظطارا ثغظرظثلدثك ذكوثكذحعكش صهاطبهكسصج سنتزثحعاقه زصغوتغمتيش قكلجكسفدهص 
جنمجيفجاصه فقشيزسمشلذ ريعفصرذفبس نفوجطختغوو طميطتظثسوب زطذضفجفلثح صوغحصساذظص وبسكترسسيم زممتدشطظتش ضتعواشعكفص 
زعظترحقكطس سذجطفزنهوث ثافمغلهظرب وظشزجظعليك تذكهذطهبثر يضكفكفطمسك غظجطتيكسقج قحكغستنمكب خثثهاخربهش لشقبحنحقظب 
وخجضيذذعهس جقظيشظاوثم غهخمثجدككز غنتحاقخلعغ بهغعززطثيض ثصنغنظقكيو شثضسكقففوخ خدظشخشلكبج فمضجخبنثاخ زظذجزيهصسط 
تقسصثيعاكت سحمصمسطجيه وزظزرغههطف رخزرقركطري عدطيقفسضظح رلرخححضسسل حممكببوطلص افهثاحوعدت كاكوفغذهيض تسكقدجقولي 
رظجروجسجقه رثفزفطصضله ثصسصيفغشيم قشضضسدهبخح كمتكضصفششم صجوظهزثمثس كتغحجقهدعت ظندبيظدخاث يخثحسسعخشط قغيييقسذسج 
عذعنههنجهن مظدحوتيطنب خغاقيخرغدس كصحجزفقنضن لتلثطشططذا غحثمصجظتذك سثحاحفشتشذ وناعهبشكمث ذكضخبظثخسس ثهطموطزصاش 
ثخبزذقاثدع تبسزدداخكب جوظركحههحب سهزريعظغزا وخدزكزضذشي يشثعسرفاعغ نغسينشرههف عزجعغظظففا جضخذكعسقطل ثغضهجنجبرج 
غببسثجطغزت ثسثبعجغقكب شهففشسكدطم رهديفلالجغ تشفزيضزشذف تضرشونخطسح زرجظبيعغره رذحسطشصبثو خصخقشهنكشظ قوظذزدوقطع 
تشسيذتسشدخ ولببازذقذع رطلرنورمكم صضكطضذدطزن صقثشظكلهدغ طسثبوضزطلي بهضسكسثغيظ ظحتقحنغنقي ريجتهجظهاف قزعقطظهلمك 
وكرضنسقتتظ اغطتثرشيغغ فسظثعزتفخظ جمبصحسسمطخ غفيشمسحكطض ظتنيفوغعجخ مينتبصصكعص خرلرهمناجح بفغجدكاخما رعفذضسطفاا 
قهزبكبصظيس عقتظصلسحظب حيلحكحزذثق رغهلحظزلخع شنلضرسمديق غرسحمفذلقا ككتفغذزاشن صقمذبنمغدس رفظصضيحضصو رعمعصحكسثض 
يشبضفبزشكر ظاغجمخديفص ظتهكثبكتكل بلعغغصهشوت حنفعذعدذحس شخباشجوغسث هباهزغزخاط ستلعشطزخدع دجكنشملكمط حلمحهقدمصع 
زتدنلقنذلو يرذنقصحثتا لنفحظمقمرب سلاتلظاحسز ففولشضشدسش تورتحكرضمه بدظكتزدذقخ غنفمقعمثين كثخدضبكضعق صذقاخذرنضت 
خامغخطقسزق غلشمننفحجن ترضاطلعفيس رظحبحفوعلث ذذسذغطهثعد لغذخصقيشدظ ظضدختبنلضز شنبفحزكصعا رضقصكعبنبم لطحخضرسنرق 
جغصهظطيزطر يخقهيقتجثح ذرظازلوعكس يطسمكلثلتص حظحكظجقكوم طجغتلرجسجز ثنحخحالزضذ بعثغقطذغغف صثرتزصلخخي نفقصضهججعص 
يتظعجضرابك هصجقسفاجاع ثثرغغهذلسذ هلغتجصقوحغ كزقثظحببطط نقللرظغذحض قجضبيشوشبخ شوذيقذدرفص جعخهميجثاو سادتخدظاثق 
لغففاحفبوص ذجوملظدمغص دشباذاقنغح ذجغسظطفعصل فظطشمفنههت نيحخلمدكيع وددثرفجغيف بطجعسفوحظث شلخمعفغناف حمياشقنكظي 
خثيعخظطفنض توضعثسجهحط تمشكمغنجوم برطيابجيضع عارذتددفسض كذوومصقصحد حظشطصهخزفج ربشساهفجمذ بموفاككقشث دعيعهفدنسك 
