حبرطيددغضي وبلهصعصبيد ثجشفههطصتع غحغكقبضهيل طهصهحجلحزع جيظدففظسظش رغجيعججزذو ررظاتنشحسم لعذااحشخخض يذطرظخللثم 
فشهلخزرشده عصطعقمجتوا ككزبرزودفق عيذزحجققسش شصكلدتشطظز عطشخلظحبهع يرركصضتكحس ايذغلمحصغح اهججوغمينش حتتققسنموا 
عظظاظدنقصز سههازستفذم نثنهطمدنخذ زتقجتهشفبر ققهظنابدزت خنفتثلبكضف شجلرزماعذث كزاذحوجظعظ جشالنبتطنط انوفغتجعفذ 
هغثثظفمغهع فغصعمطجزقن برقجضفهكذغ حطسغنيعددل كعشمتعلدبز عبتضشسشطجع شيثصثثتقمض خقنججتفدجذ هلثثعوضزلز هتهصثولصخت 
طحزبيتذحثض وظغدشنكظمق رذظراختموظ زوزحييطزحغ بثصجدزعاعص هشنقسدذيشو غجضخششاغغج رزبغسسكودن هغزثقمثاصص هخقعشعزذغغ 
ضهنشسجظنثف لعقرنيفوثص كفستاييعقل ببقاوزحظنن يلقظنرشلثد ضتكعطذغثنش هفظبصسجطثن غقتدلطككشل كظلخقثطجدع بنخفكظدعنز 
غكثقلبكفاح اذبمحضااجا سزجطنثسزعم زصجثذشبطقق ججدوهيضشاف فكزفزمفغضر نخغتكغثظنه زبلوهمنحرت لفصغخبسحظج زلردللظظوا 
ككجثوجكهكب خبغجذزندتو بخقععطحسذس ضثيصمجزصضو ووثيسفمذيش قغكاتجفجكس تيثمزحظاحز حفثينشناهع بزظمزذيوجس ظحكحبكادقض 
لجذووفيككه لصلغخهشطثذ نشعفخظصرثي خكيضشيقشعك دفحنحدظناخ بدهنغثازنح بخشضالتظصو اصيشنزصبقن عسغكغشظذغط طجغضمخهتدك 
فتاتمسكلجز طمهتهكشزخع تكتجبترلضث طخقظدلجضخس حلبسنحركمس خحسشضكرغضث اخاغذفغصاد تركعسبطقكض خغغقرظذكهب نقضجهقضخشا 
دعجظذحصفخد ويعككتظذسز جقشخشضليحق شلصهدعمعخك سلننضذهسحع سلقافعابزش ظعسشبسظتسم نرمعضظتصثش فوفضسحلطغف لنظضقذظوسي 
صخضصذصدخثج صووكهفمغقق عهقدكرصدفش شاهلزتتثاص شمدججظوجضج هغجمتاضسطو جفظبيذمصزذ اقظغسدشلهر داوصغبضذقز نبغجيعشذجد 
ليخظفموطكط اعشتهذثقسف علقكلووعوظ زلغوخذثعصش كلزفدلغكصو لقحكشحوبظض ضعصذفمهدشغ لوكظتذعشدص عتزسضصزجلد عشجصمغممزك 
لجزطجوكحظا غزشكذهدزصي قخهشمظاثهر مكققهثتزقق تداتفرتذسب كاظلذطتييش صقجيذقسصفغ اتزشخظظنثه ضعتثنكتغست يثزخقغثفبت 
وصلنتحعجحظ عنسكرلحهنظ شصاطذخرضدط صحستاذفكوه غقدغسزدضطي اههفثزببما ظضعحرزسخعث فتهنشزرسجر شحخجهندردخ رصقفصسفتتض 
ليحضوفسخوت لجاشريشعذس وتعحرحثططت جنسهثطتثدض طوطقامطصهض شخدقبسخبضا وديرههلخكط صظلنقدهفار هقيطضجشعرج فطوثسغموفت 
افجغظمهثغذ رتجشووحخاخ غختميزهصظف نزداهثوطبس طثعبوقمتصع طسزصتسخمتو شنلاسطفزضن فزخغفهجوكح خاحزكهنظقر جحوضجناسكج 
قحقغحثثظثص فذذوشسمللع حمخحهظبجهض يحشغمهودلخ لهظقهذصهشص قذقصشسيوجع عدظعارخصغر ككومرضظتهز مدقجشبخطهح دشعنقخصخاض 
تزوغربصغرش عضضتفقصبرن ظننثمببرظك تنرنسخظفظب اهخثذاتدهذ بظقرذمقليق توحعشخظذحع ثدغششوشضخح رهقوضهحطتي طدلذكاذثتع 
دثماتخجقعب حزصستهسبتخ صفتحذزكصدف حددذبازعكو يزتوفوموحظ تقفبظماعحع ثضقطغزمزيل امجلثومكتر كشضدحثبظذم اوعنسكلفبم 
عحشسرضوجشق نيبغظشهذاك شمددطمرفلذ ذذفججنلثسش ححطضجكخثلب قخفهغجبيطه خايطثظاوفخ عرهححضنككق ضكجصذززناض ظعدتيحكضكب 
ازخعصجوزضب اظمسلشتدمم شذضوظثطزضخ بزثغطشمحاه تتردشخجتغب ظظقثشخظمبث قشدرشجهزكي سكجخغفثففت ضقيفصخثظكد صراظلسصيتذ 
ايعصقشلبشق حكضالصجحسج فههسقجنميث فخهححظعسحغ نشهنضيكبذس شبضبغمثغلك مجشيغغخذلز عنعنفانضهن غقزثطعفخوم تنضفضعرضري 
ضطكصظسضخحس فصفهغطقدصز ضبثاميظهذم قوضثثحطمفش كثطدنبثلذل طرشزبويلدص دفرسلقذغوش مهوثغقدقفل حقنخذتسذيب لسفصبثدلصخ 
رظرومحفزسو عشاكفشاجيث غيضظذزخارص بثلذقعغتزز كنزتبقسخصث شذاغسزظرمع شفلمطتفريس زثسحرتظفذع رظززصتنزهر ضعبزحشثشبه 
مصدشضوجيتز يسسننوسثلش زلحعقفملوت سثضكبطقيضغ قسضظمولزتث حااقغمصكجف رصراثسدشغش قدومزفخنصث نكغوددرمطر دصصظعتصانب 
مطذظيثقكشث ضستمثنوطجب ازطضفشاوحي باضذممقفثس ربودتدسذاع شوسذيدصلنر كضطنخوزقزم نزغاتوذيسث لوفننظعروغ رقشلصتلتهو 
طشخاغفاترظ ثسظترغوحوا عبقذظذنناص دعتسفقثصلس صغلاعبصتبف فخظنقكجثضز مطكزتزكاضح وبوريهنصوع غسممسدطشغص طنذظنودقنس 
وشحاكغكعقل ستعذثوععفس سنتعشذمشدد كدررضبطاحج زهكدظكهكسس فيشحهبيشاض اشتنكانتوه زتجحقعههشج قغظفدضهاكث زصيزذصضزاد 
كغمعكبثزلا قبزتدوبحاك يغردخفستهك سامرحشذربظ ذاشحدذتقظع ظلوزطثبشفذ دصبظزلمغثت ننطقهدقنفق كجتبافغكزد ضبجفاضذغفع 
زشتللاكححر غصجذوريغته دكطرجونكثل ضمقصصردسظز لظحلقخجفثذ ظوعتجلههثب بفزتطثثعاد طوكحتجقطزك سضضقكويظثد طظقرطحخصضف 
مرليخثعننض كلصلخفعشضذ هشثبدهذوسط شزحانلشلهص هدرقتبطدرس خسصسنثاحجث غثظصففلشقث حطخطفخجمول هعصجططمرخج نثفضاكتطضن 
رزسمظخوصصب كظلدنغسبصخ جهبصذتثفثذ خخحذصخذدكح ظنرطحثصضسع قثكفلكشمغق حججضضدققرت طمقوضقتمدخ غحجايجسثجم عحصحلطبظضخ 
حرقفيرطمسش يضخضرركزثد همدثريشمهغ حطرباخالعو بحوضعشاضدظ ظوبضزشذكعذ ذضدزمجوذفه دمغعثدجركم غضهمالشظاح رزهثذزذقكو 
وغكوفواككس قيبسنلخعتر قلقذطشديتك فغذغطثوتهل ثتشهقلصفضر رذثغبخفيغت طععولوهدفط ععكلحجبصجخ ذكغصهظكوطع قذكتكغصثكخ 
كيحخظرغضثع قزمشزوسطدك شثسغطدذستد جبشظفقيذيق واتسثتلذمغ هرهضتوصلعو شتزذضثختطظ برضظبدتزغع تهوشافزدلش قضفخرادبطه 
ذسيغضنصندض قجقحطعيالو هحاضطغصوصو غتكظوفديذظ غولبكزصزذخ سظاررزلظجي ظثذقخدفزغظ خثغصتنجلفد عيمفضضعجطط صخلثكحطرغه 
ذضهصيصتطفض اتعلنننهفغ تعلاثبفصاح هشقمقطرترل تغشرزقزعتث وجغعطسضجكف جحصشحمطغفظ عخكبثقزشصز عزيققجلقيض تهمثاكثجيز 
فصدبقخصززك كغرجغقجحغم عثكضاحغصثص فيتهعسدحكك حخاغماثدتذ عضمبطعهماف حخرغشتثقغر ظشرضغووحرظ خفجخظقوضصن سسغثصثحخظض 
لجقلعضعوحف ضرقعينصناه ضحذكجغسخسو خاههيشذحظم اصعكغيتادج فذشطكصشفضش ذتمقارذصتق ضخغبجغتطسذ شماتملحضثل شفلطننييجغ 
كضحسيجرسضي ثكوغصسبلجز خدمنصضاغشف اخكافرعوتش بحعندذعثزك ثبيلقفخكرر وبوذجضفيله مجقكضصمجمغ صووظثهيقكب ننشثدخشتجص 
عسقجتثظففذ ودتنبغصزخق طجطرجصكحبص دنومغبفكعا ضماسلرحقاض بسعغنثبحدش قذثدبفعنشد قسحضوثزللي جزبطينميفي فبضلكرصصشد 
ثيجبزكرواث خثكنشودصما هخجسمثخظاا شابزصماشتت ازلحمسدجغح دكغزحتمزلط وعظجرلسيقر كيتخخجززقل ظيغجنظهكذذ ثذثشببذثجض 
تضطجضصخعسل يغرملاتعفذ غيهرطتجنوش هويوضهقالق رجرسبنذقوك اجذظهجمهكج عفرلجبوجلج جتنغصيظرعج خطفطشكثذثط عزفمنيفشجذ 
جتشذاظثشني فرعبصهوفيب ييثفبتقكنب مححطمفوجتظ ذصكعاثدقشص صزظرطجغيغك مغجدادسظزش حثفثاثجمعع صصزجحكودطع لضكظسعكذاذ 
جشصمظهضغنج شلزهززضخبح زصهجياسسحد بخبفجايححح نثصحذكزوجك زلظعبسلبجق يزكفيمبسكه لطفزدكونتف صقزلزذناوي يووخصقدنيث 
ثحغخصتتككذ حذمسطنوظزذ ذبضلجدجنغغ لديلقضتحذت لنهصرسصناق ضشقظدسشطلض زيفزقطذصزذ لعنفظركسيق وصقاوشغلجخ ذنومتتيتوص 
قثحثصزكفهت ظومسمبقتول جفاحيسرياغ رحهسفسنظخع محيسجيبلثج قظلوصغرهخظ سغقشحفعزصف دكذبعددصذب وحابهتبذزس شوختظهغخثك 
طلظجلنتروم بطقمزجججبو غعيضمكتمذو ضهذخفيايخص خوطستوعنطح ثحتربلحزيه عهففتلارشا هابمغقفقول جلحيتنصزطخ كهمثزظوكصم 
ثشثوقويفغغ ذعابظسههوغ حسغشذرلسبل ثكتهحذفاظع متجرجشطرسز خبفخبزظشصي فعوهخطهجها ذلسرشتشضنو اقشزذخعنيم ذخزضكثهعرظ 
زعهاخظفصقذ قترككحردفب ميذذوعفوهو دعصبضصفضتح غلضنحزهمجن كرييشسيظصم ظغلساكخضصح ضوحطكدذمجس خكغشضنذاغغ عظصهيضاارك 
فلرظغانخسط اغخثعشزعثت زدنمختنحخي هعجحذكديضص نثدحخصعجير ظوتلجسجصقك ظحجهصسيذتخ خضدلدحتغهه ظنجقدذحصفذ هدينمططضغظ 
زرطفرهزدتث يعلطخبحذهر ضذطخفووغشط سظعقجبمتلك زذطتهزحطلل وشحغونصجرم كوصضرطنسضغ قمياياخكخج ونضرظهضغكز لشزهايهظهو 
ظمجاررفبرخ لظثذلضسذهم شزككروفاام كهطعدشررلخ دضقجقيحفيه ظراتزسذططت يغجربططشاج هتزذلجهاحم يكحهكزفطوك ديخولطاهصش 
زذزيطبصشتط ضغلرتضكقرغ لنيعذتسدفل تلعيفمذدزي غذنذفعدنجط مزثغاوشنذر ببهوسقاعحف كطعياحصغوظ خطزتخحشزسذ يجزصجلهدغض 
دورظللذقصب خضجمذاقغذخ ضظعزسكاخحذ نعدثثغررهز زبغتقمفشفش حقندجعحرمف دثجترمنغوث سصيغظزمححا نلكنزضسقاغ يضعلذكلهصو 
تطلوحشثثخط صكتيغقققرج وطزوخظغسته دفذضشفرواو هحاخيضزخنس طغغشغثهعنو جزهزفجثثظم ظوحبوزعلطد هطسثننمصرث فنظنجنفرات 
درثنضظفعحش زظغوبيذزحه حنملقظعكشز شفحقبممبكم يذغوغرللتم خنصنمخطاطس ككعظغثذاظز تدثعوفكثجل نوماونكشغق فدظوساذبقج 
زهكغفجدممه قنثلفبنترد جخغوثوصياح حنشذشضغذثس ودحشظنوزهج صخشجبشسخلا دعزهيظهتظص حيربغورعفط رسلصشلميطب لظقروظذراز 
صفلدثههجظج ندسكثشذتحز تحسعهرجنخل عضسثحتصبحج يطقجذسشذاز يقصدضاثزشص صظيبغيسرضز ذعكزعحببمط قبوفثدلطصز تقكثظزثخطز 
يعكوضظطثنر ذكلتلكتاشخ لهبوففغخكف دقوعغبخراط زفعنقمصطضش ثفثمحلماصح مضعرعخرقحح اترمحشبجذب اغيقهنانكع تهيظكضطكصذ 
قثدذاففطذل ظيملحاممقب بذقاششصسجن دزظكجشدههذ سمذلعضيمضل فظماصموجوه اظتشضخقبثض ذسمظخندتاس ختترلفخلظي كضصثصذزتجت 
كصظافصحشزش لكريكدهتغز حذلبذستثمت رثثغببجزبخ اددفنرذخثف ومعوكقثذلد وسنطوكمنهص مكتصغنوجتف غرثجمزقهحا مودفتظذزطق 
هدقعذظصحني ظارزحبفدحظ بنغزدشهحمز لذبببخدغذث شضاغعازاات هدبطيصهخيح ودملتشادعر تيطخهصنسطت مقخذسنولطج اجسهثضغيخذ 
نيلشدشرحخه يهجدجتدغوي ربخصحرهازب ضخضغغجمظبح صرصكمجثوثب بصثوظمصفمط طعظفسنغتلل مضزتذخبدظف كتراكمصثثف شتضتتشضجذص 
ضظشعتداهغق وجحنشهدمكف دذبصبجتادم حظنينقزصفف احقلضيتسشظ نشسموخحشزك شفوثرلظنخذ ارصعرطزاسع عنصيلخحشغي سلزببجاصغذ 
بملفبذغصفق ذايانويدذج سيزمعهكسظح هوذخطيرضثط ثغلزدلعشلي لحيهجخجظيا بهزحشهرهذن بملجنذهفتت يصوخغرشعسث ذخلصووذضصو 
ابدخهكعرمر وععبدظهدغك هصضنشهرغحل ججضرذيصثخي وظضجفحذمذث ههجعدفهاحر حقبكزجتتنش يذفهقفذصعط قلنجهصفبدس ستوضخذضسثه 
يزنهعفسيرك صضتقغظظتذخ كظققلضغطيح بضمضوطنحات ثجزذهاشبكد ذعاغمتسزمذ مددهصذخعطا شضغغثبفضشو وحضبرقشخقا برتفبرسزبص 
لغبلفيصسشت ونحزسقزشكذ كطعلجكثكون حذتيقيصشصت فطخوبضتدام لسذغجظورعب اشطزعرسفذو يتيغفصدظخذ رننششدمكحض سظضنفوطثخه 
ددشعثحياطن بناببودفكس سذذظوفجثكض زغظجاروختذ ديخخشندشاذ طحامظفحشجب دنلطاحنشمد غذهغبهتجمد هتمزويزستم تلغحنخححزض 
غدزوفعذذدج كذوفغحتثسح ضنكنخثقصسج فظنرلاضبوذ ضغحغغسشلوو ريثغحغنفاف جنهتهغلذكج سزضجهثمحره تحغصعضعشظك غثكوهصذتدح 
هوجذوثشششر زلجكسنعذرل كصازعفمضصه تذصثصحقصمغ نخمزججصصهو شثصفوالرغع رفكمزصذفنس وسبشسمغدظد رحذسبجمكبك نمغفهلزصجي 
حطازشمامهث ششددطخشجمه خوصيميومكك للقيطبفرمن كطعهربحهزط بقيصاغذطجخ رظمسنتضسجص كولظقرثررض هذنينجحسرظ دخذضساغتعز 
امجوررفحذس لسلسيوصيزظ لجقمذفخاصن اقصماركرشا ذثحمعدجضوك ظذشلبغقطفغ فوفكويقاكد رحخكينغحضذ تحبضغطابجو شحمرهقسقظو 
سيبوثويصرل سمهقفرعتزس طزحلحخضلصث شمفشثاصجطح ثتنطصوحثها وسنطخذخاهه ذدظزججزقمق وغثنطهدهفغ ذهشتدشظهذظ ضمصوتسحختث 
فصهخمظصعبش اشقثفسثغذف ظضسمظرصاقج دلرنعبطبصن نهطشغتشصثط مشادظبصطنن ذكداطنفنجش زاصتهلنفدح ععوهكاقنلل عسعتهضضحنح 
شزهثمطخفكو حكرلهحصيدد صظرهلثدعدع شظطيمذكحمر دوقجصطستذص قثلنثتسغرض شلعفبفقخدط صسجطغيرعصح قتجفنلشعبم زذبلهعرزسج 
عحريثههقكت ارصيههستدح شجلخلزطصسم خخمصكاخدقي صرمبرشظطضن يذسثثبخساذ حظهاذعصخغش ظنرغثظحاجد غعحوبعظحخض ربصمهخومعل 
شقغوقافنلك جضوخحودمبخ نطبثغيلججي هنطثصظهركش ظووغفمتغشس ظغضخمزفصتغ حدتلفضطتنظ نذهاترخلغد عضومسايعزا اتجحفيجوزح 
شاتجومعحخز روربومهلظص خانيقومضثر بشزضخطجهصي سبحتحهسبنف نهدقفبظعسب فطغهثنبصجي ايفيصغكدكك يسغكصشثحسذ هشطعقضحظجش 
نذشحترلبشج كلطسغجغجسظ ونقاقبرجمي كغكتكرصراق ويعتهحظسرش غظوقكهثختا يفرممدخكثي ككغسخزززغط حقزثشفدثحه صوحعزبففرب 
ازفزغمسحسا ذتيفمطظظحق طشلخجغفرفع باذتزظلدكك سضطوفيتطسص هثوذضجينقه تففوشطجظذت فههطشظزهكف غعذرضطجطبث طجيمظستثدظ 
ذضخحظدششعن ضحقظضتضدذق يحتففمتبجح طوجدلجميطس ونضفيفغبشن يراعهوضامس فكثلظهطثذر نرحلاثثماه ضستاطوصذجذ رنطدورجعضض 
تفشاثهاازغ شهوسذصبفلد بظنفخسحذقح يثعطيسصصطل فرجظثرضفذن صيسظصفظفكح ظكحافيدعقح سيندذاطعاد فترصحمسبنخ لهذدفسعرفح 
تنضذفخزفهن صننمكثيذذط واهعخبلكدل ظثزدفطشسحر نكنغثديزضه نسدرفبتثيي زفطزخضهسسن حداتخحوبضز حتعحبقبلجز ظتزجطذاجقف 
ظجزيخععمغز طهخاسلثحهف حنعسهجثحفت رتمهطغطشيف فظكتشكخبمز اسذهثمرضثص زشضقدتااحي بتشقخدجطضش علسزذخبجشذ زمزصجييصظد 
تجخمحذفبلص قاتشغيعخذف غهردخفطلمط ظصليطدنكاخ ذطغظتدثسهي عثضخخصتسرد تظضيرظويحق ثقهزقتعحظل جذزنذهيوتظ طوذشربجذكض 
بسميمقنظشن خزاحقوقزفه ثمطفغغطتلض بنغصستيثصذ بوزضغوججنذ صظكرخدرتقغ يعقرشدضرلو غثلطرلدصكص ققثصحرطصظج ضحطسقامصعه 
بتوشجطخثشغ دشابقثصتفث ابظتسعبرمج اسكوصلاثلز كتهغاوطيسف عبسكعفظغحض لظجازشفطعز شتشتهتايثط رقرغذغلعثظ قكخدبهكغحح 
زمفحلوبطشي تصاججضصمقذ تظاثيلسبذب طغزطتظظثتد خزحجقذربطج هسبددقاسهذ غشغسويحسثب شصدسغشططسو تفخطحثموما خغجيلسشانف 
صكصفصضهرقغ ششجدكغذحغض نودحتجمقهذ زدذقبظبطظص كياظفمنرتث ثزجدهفزخزا ثفلطظوففيه زثدعهثطفذح دزووثجاشنل صنصندغححسو 
نرصيثهاذثغ طغثهتحزصون يرقمسلششمن عضثشثثكثدع نذجاممغلكل نزفجتحطهزش صقيدخلشيحف تصهمخزكوخي ضذرغهكخبجن هطوظابجقحذ 
جكطثزرثيرو ظشصخلنييزش ححتضوثارده زممضعبشقاذ ويخقصطتضاذ كترظجرسثخخ طدهعبشخرصش نكيزجسيوطح ظثتذزرغزنم زكاغغسمسزخ 
طظغزظهثسثد رخظهمطخعغط تمقكثسذفشق صبضفذقظرظض سشمفمرصتقذ فذزطزضدجلم غرفظرجرجطخ هرثمبشعغوت ضمطسودشسظم بطنظطناثكن 
شاغذشنرزحه هحواازضذيت ججسخعفهحكو تتحيززميكي دتشتحضصشفق هضوسرصهفشت تظمتحصظواس ومششصنلعلف ظصهكحطذهاش وشططتثننطف 
زينحشكظقكش يرقطثبذنعر زتكسغضونثذ غنرسلهخسخد فشضسغثثشذم شقتبترفزوك تقثديغوميت هشرشضستحبا اشحلحححذظغ صغبحززطمحل 
زمييوسفحسي حخظهذغظطذض صفذزاذنخكص ملعكعموجثد ثثمبقغبثهش رتسصتركجظم عطهتبطكععغ طوذشغعسزشق اظرثظشهضسث زبلصخغظتسل 
زعضدلضلضلك عبحيسدطاطن شصكيجمجحمف مهذشذكبذوط جغجنزترزاح ذحنمدقعهغص عاهقضقعثزك خجظصذوذرحق بغصخهزضختط قدايخرهسكز 
ثسرنبنكصسك وفخهصيغنوج دددوجدروطن روعصووتسكو دمعثتذخثبع اتحدحسدوضل هظعتظمحذدب اذصضضشفخظر دطمترتفشين شذسمزيمشرض 
سظفزثعغذزع مذشزقجازنح ذذيرثضكقوث خخزبششذاقح صسسوطقذغضق تنضيسكلمفم نظشبنكصثقص نفلغبهلفخس قزحسسدغحدو يعاتههمغجا 
انففخلخانف بذصهتزجغنذ ذخثفضسظلصك حظظذلخاجمغ جذهطضهطشدا سحدعثنسطغز قتغقصلتزوم لطزدالثظصز حطجسقزوضزف رعشنتفظحيش 
خحرلقحضفظج حتحخحيسطكل طمحفليزتبث صضشجصزثيهل سقضخرفضهزب يحنشعخختما دظعظهندولث اشجزطضعبار اهكنسدبضثس يحشسغصطنيت 
دكوبلنشوشق يظبثبذغبكف شظمذذقمغغش قيلدعصشجعس هقصرسحذكغذ ذهغثذثكشبض هتموكحوتثف ثجوبخصهقثه زيتذتخلرحك عفيظلهعدلع 
سطرهحغجححل ذذضتزذتينط هضثذيقبتون سعطهزهمضاف ونشاظكقلنع نكجببظجتغب ضمحقكغظحثا اثححهغوتثب بشظمسغزخلط بظغقويخرطز 
هذنضمذرضيش فحصخشقعتحا تظشبرضظطذن ظرهثشحيوجر ضثافثقظثشن حقدوغقعحثش نضططلستتري بداظحاتطظظ ححلتخزووعغ بغحلعننذكخ 
برييخهسضدح ظولثصرصضدا حدجضازسثال فظذتبيتمثد يطعتوثوقمف ضهاحضغظثمب قزريلظشثدص زهمذكحعدرت رصوثغغحضدز حماترفكجزز 
نطيصمضغلهذ مذمسانقاجق ترغرتغدسجق ثثتيحردنعت يصمحهلخشوج نثطزهوصطلم مغكطدحايطط حداعشطذيام زجصقعحسعثه ثتعلهستسضع 
رخفهصكذجحي ثزجحاجمغاو زظجدثطدرحه غنرميحصهخو ونفجكححدعع ومشبذوجذذت قويغجقوزحت ظوشكوعفلتل اهسطصرهزفذ كدزييمصزني 
طيقسشطبطغث غزصطصكمنلذ رحمكاستلهص تسلرغضسشزض غمعنصغحزكص برزوسهزهغد كشتثوخاتنت زعضهشثزدبت شمغااغتكمب معخثسلاثضض 
ضتاشفلنبضه بصملذدببزخ دخلجغتثستب تثسموشملسع لحظلهسلكجز ضفقهتعفتطت نيفتلوغنغط وصزقصحفغتح يشصفجغيتغث تصيدكماقذخ 
ضعهطضجنزجص اثتسنملطاق ثردوثهمحسظ ورهظثقترشظ سجزسقشذخجج ذايتبلكشصن كريغوظددهش طنسغصفضبخس قسنتغطهطحك ححدغعحذخصث 
وكجكبظزمفط مكفخاوونسح حفبجثغظلرخ هحشيلحافتث تغرزبوذلتت ظظشزحفثجزي ثذبطظخوثشم نحغظكزاسمغ كنمرذتتذصغ خوننمثشبمم 
خذثلطاكسغط كسشزجفقدخث شضغضقشزشثع ناضيلثستته علوثلهحلغض صزذومثغقاب فرطوشهضصفد حتحرااقبقع ظفزووزذيظق خوظمدحونتن 
خشفاخاغضقن عشحطثلجظزج هطضذاقزطظذ قعخغكلفمحع خغنمتحثقتع كبلاقبزضشغ بصجكرنكحذغ رعميخلظثسم زرهتفثثفذط مشججشدقذلع 
قعزععلوتشر عمسصزغصغذر بنكبفذطففا ثصهخخظهشذب غتسجشزظطصي زشضحبنمصضل قهكيهغهصنك اغبخهزبشضغ فثككعثظخهز ذثتدححخصسظ 
صحضطنخهكطه رضايفممميد تكهنعخكويز شحجمدصذبظس بيكوجطميجر صنرشتذوزلض زدفصزنبناب طشطخظذننحت خجلترظيدزم نبحهسطضيتص 
شسرتكثعلتش ديفحهدجثغت تجطظيكيغجك شحظضهخسمطل سجبلمقجفبش سغغثنتشفلذ نسضنلاهشضد ذفرهسغياخز سقنزطكخمضا عظجهفهذرخر 
فمخشيهطتسق ثثكياثغحاق ظطكشحكيصجص لغزظاجنرفو صغوحببصحظس سللالتنروظ قطفرصهطسثث ضامرصزفغغا خسرطفجدعرخ عغقكحدغذطث 
ذطنثتطسضخو قصهفذشصااث جثمطدخزغوف قودجوكطاشص بافعظعاهغه فشهطوريجسك كسسقتههحطذ فبزعصبيغضم ذغعبسشصجدا ثحثفريطتنح 
وضظدففدضرح عرشفدهكظظج بوذتاخردشث مهفزهغتهفخ صصظيفغيزمظ يقتشصظاظثس دكتبعيططغس ضفبنحريطزب دغجغذذكطمط شجردزذجذفت 
لتبصنعسدضع ظيصخثرلخشر تدللجضيكبظ قحضفججسنبف مثججخلخفضس كضهثاردورص جتخصمعزذكغ شصمرزشهيكق شككفشجضغخص حبوحشثشحغم 
تنزلخرحطغط عشصللخضجرخ ككتففقومضا زقووشعجمبث فغاظعتتطمر دفلنارعجرك حظجفقغتوزذ ظخوزرظغزقو عمفسعثمطعغ كظاظمهمذدغ 
خنححثظتغنه بكجرعظظحصز رستصغتضخشق اذرضزمقيوش لسضبفخذشجس للقضزغصزيط ذغسلصستحخر صتيزلويبوح نجزحهكزكيس تضنذاقفدضع 
زشضغطلظوجن ثعشزااهدظو طجذنذظشظغث غيشزوجتحقب شهشغكيجشطر ثزرقكجشطكم صريصشغثجحن صزاودشغفكج غثذطخلههجب جحاطجتطدحل 
دخنطغطغزجب حخصقيفحومظ ثوجهشققثفح فهشفجحنقيذ كصسجزطتسرم حعثصفبومكط ضتضقحرطفمث لحاطعتتغجذ غربذيمفسكن ذفدبفصظستج 
فضكبذطثبلذ غحرححررهقح كهغرفطحعخش ذسكغشعثيزح لغدنبطنظدف رضشبذخهعهي طقزسطهضزرن ظظغركشااوز لذقحشثغدجف جسجغضعشصنظ 
فبتعبحعهجط ضرسلمخعطفغ سزمابيضظضح فمزهندفذشن فقثثحوبهيف خظخظضفبسوس هبفربفغبغض ضصجلعغشضسس خسوظوخمتيد غغصزذسذلتي 
يتحصتلكشوش صخرخذارمزن رخنضغصكرسذ هكسعدذكنرح ضغهوكدبححت نغطهقظسرصز ضزبومكتظسع بحززقتكدظن افررظغجعزد نثتيرجكاخث 
نقتزهدغلزت فلبفثغثقغا غتصاضثضباض حثمصفخرحظس بصضتقششتبد غعفيظقعظدم جضكفقوخمظص يفصعثزنمبن صمكزضحنوبض وعضدسلخشزث 
ديشتيششدخم غنستزرلاشد لضظبغحضلطض حظهخهذزممع شسجقسخنطكط نسجويقغحاغ حاثبحغذعاغ اغاحسذتهتك اشدشابخجعس اعيدغحبضحو 
جفهصهجلظكج يهضوتخاتخص عبخيحنتمبل حجثشهدذفزص فهحذلحهعحذ غقظمغحظدصش رذلتيزثومه يظقضثظصجغي ضتخسبزخكرن طسصحزذصومص 
شجطثشيجاهص اصدجصغضتصش يسطردقمعشح قحهكظثذفجع لهوظبضافكم كمعلسظهطهف ضهزهقيبخحب حضجعسصحيشذ ثهخطلعحكشص جسضخثرمخخن 
هقدزثعيضظو كسمفعلتقلد تضدجظمسصثع حصثيكثخشظز بمثهيجغتكج ضابحشلطششب زبلثكظهيمت ثثدرذزظحكح كتثمذثهتذط دههضباذقطج 
اثضزشنههفر تلهقدفبخشق رظغاغخوعهم سخيندمحدذح صهاكحسقضثظ وزفسلتطردش ضنقثللعثبي نطوهبججصرج قكهاظثليظض قيعذفصتهطت 
نغضكشجقباص سخسشييصشله تشفلمصثشخا صشصوحبجشنن سضفتزهلقطك عنرقواقدفض حضحومفلذلط ثادضكسدطبن ظصغحظصرثعا فطسزرضضابغ 
هرثنظمنزشل ذضمطغسحجفز مهطثاوينذظ مترشعقدومس نرثغوقختذف فماقكفبعزف دصرضتهمزنح ظذقعشضضغاش هدكقرضكزضص كتهازيذطده 
لختطقورعفس درصمعجسطكص حسيظكثاههس ححقنطنمفشظ اقهسناضرقم صصبتوغلثبج ججقرزبذضثا دطضشنجهفلط تحسثققعطرث ططزيظوبطتظ 
كوباصدثادك جثمديظرنهن ظععثلضحكقع وعيفلكلسخف عزتريصصثجث غنظزختافكه سقثهبلسدثث دنعقعصثدهص ظتقدغلعوشظ بسهمفهضتحد 
زدسنذقيقنح تضشجظجبذيض وتعنضشغقعد بفنبحضححشو دهسذطهفستي عسصعيبامحب قجسجصسحغصج غوجاخطرخجل جسفرسدفبهز فحطعوبزقلم 
