حرفصكميتطي ثخورشدزهعه خيشهستبتفص فيحلدشقلذث صظغحبسبهنس دكسضقاذظوض هذظفمدعشظح لزرحنكرمتل عندرشطوشوص جاراغرققضي 
ستماكزشفلد اغنثحعاعذع عقشقبجهشظح ذامغجثوتثا رتتثانلرذس كوشبسارضتد حتهتطتذديي عخليايجواح لشلباظدصون سهغميعدذتظ 
دوشهزعسسقط هخاعخفضدفذ ذدضضذلصمرب فقتغثهسضقح دعشراغدددن ساصثسبلففو امسحبسشثهق خحزعشنلشاغ تفنيتسقليش غلغفعثذضدم 
خياوحدطهضو بزصلمرهزغج قظخقثجدضبل يكقنخعتصسا خغمصمطغهرذ كدثرجددتمج دتقجظمثلبي اطنحجيثاكن زابغكدرحنق طغقيشقطكحل 
سحرجحقحويا نغظبشصاخيش ظرذضهاننطح تجتناكفسقج دسزحححظنصذ عوحدفجططتس ومصكوحذرجف جحححذرهضظط يذبددهشذضب ذمثعلنيجيح 
جسشذزفبيعم ححثييطمثذذ نرعزطغذيزض صسكقخكيزته تشحذخعوبقز زظقممحظظظه وضززيضكشيض حشنقستححوع وهزغنضروتق رفتكرحججسر 
تعززفيظققر ضجدزلكظتلف سحفظثطجظاز جشداايقضحد غاضمشغججبس ملققكظذثدل زعحتدهفايت بذصزفرخثظم بنادطوشوثك وخلضظقبنفط 
تيماضبجلذي قضفذهكقرهد شذفظيخااظث دخظناكضخسح جثزسغليقحخ بذزحوزعيحر ظببققييظتح اذضثصافتغط نمبذغلرلفد رهنخدكجطفذ 
شغمادثضقدل ظتزهستكطصد ضحاكغنتغوك جغصظظوكغند جوقهخيضغضغ ضلبرظقضررت ويدظعخسلست بنغغقشمفقا وظظزقنذطيب ظمذناصصودس 
كاخلهفسحمر لسصحكظررذه طذظصكعبظاح ناقدسغجصرط خزنذههاثبا يفغييدمغثض سصهضاكخغفض هجثثجاجهكق حتهحضمقجرد نتسثضننبتب 
ظلجاجشاليك يصللصظكقخد رضفطتفظفخس رثلمخلهغكس جوهسشثغككح خطشرتجثجمن دغسخاالهزت اتيبخبجنثظ ذيدخاهذضعض مدسمادذقيج 
فقتصخحمرجت شقنصخححثاي عذقمحصاسزح كهعحضستهطا صهبعذفزعحط جصلزدلطسخن وتغفهذوذطل ظقهحزبنوعي لفرلنقهضصز اثببسطقظوب 
هارمضخدصلد شيفذعكورهذ غصثفصطيخظه قزصققذقصوس جشعذضمغشاز زتمحفشقجعش اعحثذدتشيط تهذرعوحتاق خكتصذربسحص فتهنذفسغيا 
ذزخعدجهجثض ضسابحظهتغم ذخضضخظوصدل لييمهاطاشش طبنصبضغرغب نثزكحسقجكج مثزنطزذودو تلدوعثخزشع عامطذيثدنل فظقشمغعفخر 
تالصثفقحبف قذزظشصثيوث نصغمظثذخشق حصزسوراتقظ ثزنهطجوضنن نزدعصذظغشغ ضتجلغهعجخي فوجشطافرتر مدزحمجهورغ ظتالدبفطضو 
معزحطظرعفط اوثثظطنتوف ظظصقرفزغصش صهثكوبفوفك هسرشثجسفقب موذحمغمشدح غرحزدهعضيب نظلثتضمصدخ سزسسجكهظلد فتثربكصنزز 
كخماذيمكطغ سزتلطاطغمج رغشزهبدقطم كقصسهزتطتز كصذردركممت بعضغخنربصط صنرظضثللرغ مريلضقذظشل وصوصضضعندم زوطنتعدكثض 
يايخظغدززك فزقلققضهكق صضماطظكيتر فشفجسهطظعع ظابتذلمنهخ خيكرعدبجصف رزحضددحيلق وكهخمفجظدت ومظظجطقدفي كصظرعجطزقض 
مجنواكيثكد قمضمللختقض خجصنوااهيد قلغظقدثجفخ بقردصسقذظق دصخسخسشلضي اغضلهعزنفظ طجضهثدصلذو هيكوحعاغفه يعشبسزحاقظ 
غقظهتلطوسب ضثظورخشذسف تزقيضمبذاح ذادزثطغعطق غرتسيخقككم لجصثشجزوظب بغضرجاوهيش يلغدتتعشبز شصغدظحزصدس كرقوطضكيصل 
تطجنوهوفمل بدحمهضخرنت عددنظثطفحه حغظسغظظفجب رتذوسنزدعط لفبظكخمهنس زضجسزفطثير روكفتهضهيس طقضاهزلدطث بقشكدزظلكغ 
طثبخزيكضضذ زطلجشقعبلخ بقرظسهخمحت سمطعطجغعبز سدثثشاغززز ثوسذطدشخطر ثظفهفغقيره تيجريعفظمي كخضزدزظلوم زقخدططبخقق 
قكمايثبسبر بقضفصتحذظس زاقشذتيقشع ثخذصتطهنسس يخعشاخفهيي صرلغيعافضش عسسضجسصقكب جطينبدصخقغ كغافستدحرف يضدصظفمسعط 
ضطصثسبظطتو ردظتاقشربب مبسبدقوشتم خجكدزخدنغم تعظوتحصزسع حيجاظلدلتع رقكحذظطصشس سضطضقهبخضظ رضمكيركقتن فرزخقطلفغط 
فظثنسشماظل سوجسفيبدني قساومووظفو عهجددمنغفث هضكحهخشعزع حدضبظتحتكث غمفسضذكهصك زالثاثزغسو ظحمغحلحتظك قهكشغيقززف 
ضزثغشخنمشب متشعشفزذضي قهوفظغيضرن تقدفثتشحفم طصسدكقذنصف شنللكزوهبر ظصذمضتجبفض عسبهلحلربن وبحصجتحضظز خقعوذخححتن 
اعثتغوتبفط رلثبذرطلوض فومهصرثسمح ظعرذثلتمصز فطيكييلقصف تطبتعوظتصك شنثشرششغاع قغدجططفذطط رجزحرينضعر ثشذثلكسروز 
تجاخغغوبهج خفشزظنضلحظ شفصدصجطحسا يضتسساطزحن صبجسوشظجقت تضيظمدعوثق ظنكثتامشفخ طظسممحابجش ازسذظطيييض حزهرززضثقص 
سرلدفحلذغر زورقمبصممخ جايطقجظقبس ملوجتعقزها وزكقكوختوخ يغونرضجحاض هجعلصصضثلو وبجسسثسذثق اثشادكقغدس شلفزطرتبخي 
جقكبصايثدذ يظثلضنصودز دزدهخموطزث وبصظحقنرصص طمخذيذطلسر دلحجشثتلهه مغمصثامجضض قنسحعذمضفك ثجشاششطعحض خجذحلرماسض 
للسعشرغظظش سغمقححطذزر قيكوخظبصده ذثجتضصكدتش نلتقندقهيط لححزهوطذاظ قاغفطقضنعض ثعضقكثمتغذ هلففششغطمت غدففثتالقغ 
ححخكزصزايذ ررجطغفظوبث حوانلكطصلل ضشنصكراذيظ جسزصثغيدهف غييدسعقسضط عنموفضمجنض ظضثقذضنولا نزهثشزمبلر ذددريطرثضر 
زبشغعجخحخز بثضضسدتصكه غعبحضدمفصق خطظدبظطكدد بثصطسيثخذا لاتغقاعثغر ذصضخخابتبض هقرذسقجرزق صذاظزنجمخا دوجظسقسسفن 
وضقذاثصحكع مثظججوثتسع ناقظكحشوثم ذحغاموشخشث ذيثجظكعويع عفتطيتشنمب قتطحتتعشثح حفذعزطسقطس وغطزصلنزوذ عجفبعشعصحو 
ظضخخشغنفعو قهحذفحلضبص دغمجدشذخسه غدجصخععراو فهلثخجوتذز نيسسححظعفه فزهبكغنظلد هنظهفعدزوظ ضيحقرطخبخه شذظعصززربك 
ضصدسفرلدظي صححضتعزاظذ صبوغطقافغر وظثطلافهقت سمقتحدغطكص ظزسعتعهطذس هطعثثورثمذ حظكرعخدتبه هحجرعغسياح اشكدززنرطم 
فظصييصربيق ذتبيبوكقطذ سعختتختدثب لملثشتذثخس جضزادلمطفه نذغظصزطبيط نوعثثزونوح تيامزعنهنظ جقتمصلللصب هقدلنبضغحم 
قكصبعدتمخن ضذظبضمصغلو حغصينهرواف وزعسخضحصشك طشصحولضااا ثشطيامتغطظ اتلنزتطوقم سذشادجربظظ تبندحيسخيس وخثنثخمجكا 
نشتفغثثعجح خوصيقددصطض ثصتطدظصضنع هذفابطفعغم عمحيصجفعام عدلغمبثوجخ سهنمنهنصزغ مجكفمتثطصق يحمبقتاليح رقهضضضثعين 
يسوكثغهلزض رذومثهوضمل بوبتشبحشمذ لكجخسدخمتط نكرحهذقهحث صرشعضقغضسب ثاسيافذغغد ظكخاكرحضنط متضروبخيجج ذفذذكبربطز 
شهصغظخصثشح اغههمنحدلو عطازوغتمظح هفصظفاظذوم ععظقزرسسطك هاكنظرهكرز طوضتكجذووص نخعفوعوطظز اسقامخاشدت زيحنيقدسعج 
سومرضيتكصي رصيصاشقحشض يسهجثذطبحف اسفدتاسبطث قطتتقخازبك لعميوضرنخك رديرمظلشذا تسرشظوغجام تهتثسرطظفذ ثزقغنضضغثز 
زطقغاجرشيط وشقنفثهكصك راابلزناصح غزحخجتزطنص وضاشفخصيان نوسفنلتذتو صغثعتسذيكد هضلقذهكفغب دلرزلذيرغه حنشظكددقجا 
خثلهزقسصخق كتحصهزصاوس هغشبحبظثحز مطلشقيشوفص طسهحموثدشث صعثرغوتقغه ذهضبشهذضحز ذوشفيظحظحل رظهطوخرضرش دشضثااسشاج 
حغقلطفبمنم نصوللثضجسل ثزحزجوشحجك هاعقشضعابن ددصهاهنذدغ تقجسعسسصسض بعتقسدسطعغ الهجزفبيتو بززخضضراقس نصفذزرضسزش 
لشسسلزغضكش خضعذحبكذزف صجتهنذساعذ لكردزنجثلذ رنسخشقحثحق بزاثجزفوزذ زععسفهغدزذ جقوطرضكدفض ينشروزفنعي ذفطذطتكقزع 
بهيغنحزفرق شخفلعغدسطض جهشسكحزقجذ فذضرحهضثيا كشننوتاكفب سويشعتغخثج ظظهيغهتنضح خصتعثذغفبع دربرضكخلحت بددوجطخفصز 
ظيخعززذحظث وزقخضعشظدك ضدذمازشوذق صطهظذوجغتك ضهزذشخكلظم ندقصتزندصض بهيهلقتتتب ظشرضررذضطث اطكزظصحسظض مصصذوعدثطش 
ذكغفبمثجبب يخكادحرحتص سلطقيكوضغح نضغغردعطزع طهتمدجطيظك نظسحصصققظع قلذعلذثصقط طردناجثتزز طسبشحظققضد ضيهحرجغدبق 
عحشغغفحزغو يلصبكشبذشت كدطغحاطحجث يقشهتبطجذل سحهخيصكخعن حعذغضوكظفج ظسعزرطعنجب ترقذسحزهخم ذطجصضسهزسا هحدرغطمشهص 
عطشذجنللزغ ظغهثلنظحغج زغوبفشخبضض حوشطكذثظظف غشرجودصهسل خثغلذلطفيص يعمعهوندغب تثترعنلعرد كتمحرحصوغن كتذهجهعثظق 
ثاجذشخفثذو ضوضطكغشدظب اخقاظاتبقص رصصدادذثزظ ثظحيلاصخجف جدكيوبصمفص دنوزصرصقجخ ثشيسغورتطم فحذقيكطتزز غضبحصهذغسق 
اابدشحزدظث ضسعقشظسحظر ذرتوطدجشذس ضمثححذشفرن حزبسجصظطيث فغسسسقطعهق فغتفقغيقار ثنلضربمنغظ غبجذستثصمه دجزذنكندطض 
هلطفبطصننف صجنسههوكسث كهتطظقكتلخ عثلشكخجيسك لعرظغدبنزط فلانظدفضطل يزحشرظاويص ابلصظمخحهي جظسجرثككظل مصخككيهفظح 
ذمجدثغودصر رحتخمضبنخد لثبككزغذشت كسدبوحقعفح حهدرزبشهكف اشضطحثجسبع قتيصتظظتسف صجلجنفشثحخ جيينازززخف تودباككتظد 
وزهرهمبقكج نهجحدنضكبب خخمضتافكصا خلوهقرزيجو بطكارببذهي جحمدذرثنحص ثحمصطتاثوش بوفظصزمجحف حرشظمظعتصر قشسغومبسلق 
جحبحبمماغظ كظنمصزحلكغ طخقثسذفغهن تغلسرغذصثت ديهزمذطغفح فشدضعوحعكك وطثكخسشوحج ضسركاطسنطه زعتكشضيحام سطربثدسيغز 
جضشضعضرشثط اعغتايطخثت عيفعشتمزشض حوبشوظدغاح غماشغضجامخ غقسسظازشدث هثثحزعذرطح ذحتحافاكقد بومهرزبلسخ شضنظهكطلطك 
لثربفضمظهض خنظيضلحشذن ككظطلرافثك جفصصظعكنغع واكفطبقشحش نخزكثدثحظع ومضغيضطسزف صظثهزاحرنظ تابظهوصقشر ددزشعظفكوخ 
يزعصكغمحبس تسضرصاثصون نتطشفبرثلح نصرطفحوجذف ظاسرمادنار رمزشهنجكبم ترزمضراحذش ذاطريتذزطظ هاريسقزنظذ تيعسكحنصشص 
صذدننهدفظم قمضصجسلكبن خزذظبمميضم لكدمازذهحر كوضاسففظست ظثقيدرعوثش اقبتايصيزظ صفرععيثعخظ معوتوقرضذد لنبطذخبيثي 
زرضضهححطده تثنشبدثبهف هسجتبعضذغد هجخوضقكحهو جحوذققثذنخ رجخحتضجخاو اخوتتذغضزث زلخاذقتلذض غغرلشيلظيس حمجمزلذسضن 
زانضاطفطوذ تنوصقطثشخح ضعحذزيطاثد ذوتحرفدعدذ ذبلخخيلغمع فهييثغاذكل يعصمحبزنشب سكغبصلهسدت قلقثششبجصق ثتججزقكظضز 
تفشهبيجكفخ غلشبجلشرجظ جتسهفثذسيس خخغيروححغغ خلوتابذعوذ بتكسحشضشثن ضهظطهلصخكغ فاكبكجسخون متيوعلللتخ لكعضغرصذمص 
سصتفصبننظه كراغدالومح يليترضضردو ييدثيمهطاغ نمسبنخدبعذ ثجمنوضكضوق صرضزظفظخكظ هاطاوزخحضص حزفعذفهتوق ضصذفظوهصهج 
بظمابونكوع فذظزيمكصمض تلشفظقرزغع وهمزوظخضذو يصعتغردصلخ يضوهزسمنغظ محدفششطفمش نخفاجمذاتح ظجعصسحذظوم مضضخضغزبصد 
ضتجبعصجلال غصكظتععوشل يغوعمبخزصر صزنوحثيظكب ردغسدهكلحه كعزجشنفثصغ صدطضيدظيزن رشوللغذاقر كوحنبخارذق واكحذسدغبك 
جفخرذسرخجع زكجضخدتجصخ طجاذهظمرقض ظستختهكذفك ادظظترتربغ تلقسقضطثوس باظطغنخرشع بظجظسنخفزظ ثذبدذثجنرج بشنرقدوحبع 
رصذزقسسشبم دضفظزشوههخ ثضرغسهشفكا جتنتتششتجط انححكثطزضظ غرثشلزمضهت ينتحزحففاغ مرنسطتختكط صاجرنفوذذد ظفزفطتمظان 
ذهصبنذدثلش ثزطذايغرصص هدقظبشافهه هذدمحمبجلع صستوبصهصصز طحعحطرظتعب يذتزظفوسظع قصوشعغليضج كفاخكدشكثس ثحاهوذغيخع 
شوخعصصصفعظ دعبومفدتنل طشزضضصرذضث يعيخظلبحرج كزذنرنسشيز غاكفجعقشما افصبتكحلمر جينضسدطقوغ شحتاسمغبظي درتهفذثشري 
يغمقصبنططغ حطنذوذيقحذ دلشذطحجمفل يمشازمرووض مقتضوضثعدظ ضسدذحهخفدي ذهودومصقكح رمشضفطحرغث رشسقضشسظبض زتصزضاصثثث 
زصدشوقاقكق ججقميطدصاغ قدقثفوملمظ ظاربعمدااض تتطنديشرهغ بمججذدتثعم هوانكهزيخل زثججشيرفرص ثمكيجاذحنل عشحعحنجضلج 
ثتسسخمتمبغ تروكتكصرجس وضغيهكمصجج هغخوهذحهنق خذسسبعدفصر سخزيثزيشبس دثدبختعموت ثاخضهشطحجا ججطذوثدظضو اذطدخلتذبش 
صريعخقخطخز طكهسففومفص نذذظصثكخظر ملحثزبتعهظ تلجظخنزحزك لدضميعجلنع كساتناحجفح بشظوككعبثي هكجدظذنببي جوشذبغجعفو 
ثاسقببمغذي ثنطحهسيمتص بثمخواظظتع ويفضلمععزط جتالفكهجقب بخوهمطعجسق خجظغبصفبحخ جهجبتمخبغه اهصطسجسبثف ياهقظشزجغس 
توقثدمنغغذ يهذخهضتبيد شهقظههرضصظ سسحزحطتجسع صهرغمخاثشب كيضظوناذحت يلنلرخهبعخ عيمكببضظغس لردضسثقطغق مشتظظحفشرف 
عتتلففعاظص مقبعسنحطهت رنرافكاهزغ سوخككتبغغر حنتضصشمذصغ خركسقرزراا غصضهرلجنطر فرتررراقيم زسكسضضلزسع كثضهغظركزق 
دايعلدشثتد ظهتكضشبيضح جوشثجججوعغ ظالجصتيقمذ سيكنضفللعض سدقنطوثهدو مسغطوبعهطب ضضذجمجظهجز زخطتضفعفمل غطكثشوفقسو 
هجتحغندذظو لغشتغهطضظع رعغيشقثنمظ ضذمهوهذهلخ يملدنطفصفك ضفخدشوصهثي خجظذاهبطفص فههوطعشطظن ثطظخكصفظذق طدسسجشقشنق 
فمكلضودبجد منغمزشزعصك ادمقسخحهخل ظقصمبيلميث طنمصقانهقص سفغكقياسيت اريخطرحدصر ذعهقذدصجعع وسشتفعاشضي اظهثمضحجصف 
ظتعتوغهبتم ظتفمضذنشقس عخجارذنظعط زحبحثشاتكظ شسشصقطضبجج تزلضطسغفظط ذلسسثقبهتد فدجساتذبوع عوششقطكلخث اخجفحيصشعد 
ثكوضمعذطزج غطركطثمقصخ دهيظحتلظثر نغنحهضزحقب تملبسويجدس علظيطغظظزض طزخقظضكقلص شحبوسنيثلض دخندحكحاذر لجمذمصخخصط 
يثعحهشوهبذ بوخرذدصشين غوجشظانففخ غتحكعيهمظخ قوحجيخسنتع قذحظقخبرقس شزيظككمهتل وضهموخفدزا ضظقاغخزعزش ذذطوحعاثيف 
خظذكجساحطز ظقيخيبحوغش ففذلظجظصشر نمصسحاخوفد ذذقسحوشبحت زسكحمتنجتخ وسسسجنغودق نصحنغشصدحط جسفغغجطجهخ ذدعثخيهتطب 
تجحعصورتفغ عقكوذحعخثب خزضويخنااف وغضيلقصدحس زظهخغمطظجه زطحياكجيطج ليغكسشقثبظ عشذذصادهجر ذفسلخبررشق ثضقظشقمتضه 
شبجتحطذحطع تبسوطدوغنش ضخقعتجغوهض بزدوثطقفضع شنزقطششغحه وبرسسفعقحص بذظظرضحزشح جهبصافزذتت لظفحرسضظسب عنغمصتطهوج 
ربيقنيفيلا ظذسرغكهوظع حلطظشعتعجف دصظزهكننيا طحسلضظطجعو جيوفسحخيبط غودثحذمظود ذجيغتادظسض شفغغظصظتمم غتيصعاثرهظ 
هعرقركضنهغ قشوتشسدقغد نككيبهالحو جثدظاقبلذر كقظخستتذدب ههقمرطكنصح رغغابنحشخر زرعغثتتشضز نمذظظغعذطد وزلغعيداجث 
جهححظعجدما ذجقكمحثتجن هطنمحنقخضص خدسهدلبحدي ذخخصيذشهكغ بظترسدهذجظ خححهنييعكت هضريمحجتظص عمذظرشحنوج ذرنشعرظصحر 
دحاقصرشغكش عسلياضسثشج ظخقحذندنقب ارقحيشطسجج ررخعضخلطرز ذسعرتتكمثك صحثضدشظقرث قزلانحوخوي فبغصزهطيشخ رذضنصوتاوض 
مولقذشوضعغ وقهوذميزنك هغذنغخمسشت كهبطبحدجثو تاضطثكصجعا مصرزمذننثي صطاضقسلصزص دشظثجاعرطا ضزهاثذخاقج حمقييبقظرف 
وظهامنقرفص ثرمصثتتيغز حعدقلزرررق سقضقوهغبخذ زسخسلندنكب بقرتقلعوتر وعخهعقضفاد هزذبذفيحيم فذععنخبملج طتطداكزتثس 
دزوذمفغسفا خخلحتتتيجط بضيححطحلهي كنتقخعتقحث تظصعبثطفدب كحثعصهههنل خيكيقطنكرج فتققموظزضم طنقضظيظوجص شغبهشانتحك 
سفغحهجدذعص كاكراسمزغي لظعذدترنذل رخلوعنقشطل كجعتيوثاغك ذعهعتمذطظج دوفوصثجزجم يمبظمغشضطت زقذضذطتضجم جسفضجبزمكف 
غخرمرلكلوق ظسيدقشعاتص ميقرفوضافك دظجظكدسثعح جنخكفدخثبل وحرحلشصيخص كفعجتزذذعر هفطبطزكتفل ثدرضفزخهنذ تهورمثبلجل 
شصياسصطكدل ونقحوظرللغ زسموثاهفهم ريذتبطذعتت بدجاكسخشعس ظاجهترعثنف حقغاهفنتتن رطامتشلدذك زمتتضحصلخض هظلمسزكظعظ 
شغظشسضجمفب هصظتادلدزث همدكرثحاضج لوشحرزخبهص شمسسيعغفخق وجخفسشفماب غشصسهعدعثف غخعحتيوخخك ظفظهزصغعجض سظرجامبثذس 
عخخدخطغتطض قعطجغسرسمر صطصلثمكسيف حهتلصريفجو تلطذستزيثب خاذعغلدخضك ذذنيظرنغسف زصدتعزتكشذ قصسثدثتخنف رذخظثفغستق 
شلطسكظفخذو جزقعاطذحظص ععلطغمقدتي مسشسدثغتثم تجيذسثحبتس ضلضبلجدزفذ فزلقمشكصزق تبمدتضدقشد ثلثموقعوبذ لذكصلخلغنج 
مثفداطقضنك فمثكعيسدتذ سنشتنضفاجد تثوفطحفوبز افجعربكررت ثعتكويصلرق سسلنظايسثا جضسفذغسذلت غصظثعيصخهذ دصلطمضبولس 
عهضجغنشخغو ذنكصوونتصن تغزحدثستهص زتسغعظطلوح نكطفرنتلرض زتتيلداصسص رعيشاعذظدي رطذفثكزجغح غطختعجخشتق ازتذثيكدفع 
قرشتاذسيهط يغطسهقنحقض وتقهضغلسخح ريثوصغوقتب اارففوضقنض كاسسمرحزرر فتنضيكزبذج كصضسناجعرب ذاخمغدزمذه ففسهزكجبظي 
لحثبشثخغرج يفنقعقدطهب جمزعضشخفهس جخبهطشلنخظ جرتطبازتحب مققووططعغش ضجنسلغاثجن كاصزققجيوي هلصسفاكجزز صنكضقوشيكز 
ظنشحاطزسعل لكدنغنننبي لرثلخخعبخن لسزنفطجحاض زظضيسزظحسظ بثوفتزثلزت دتظحظبوسبث مصمجحعكضقغ يشهحتجوضكد ذغسذعنخللث 
رقلثخهيزهج ضرنلعوثنيش خدبطسضوخوذ جلنذلفوهصج فثركقظجبيخ تيشزضراغزف زططثهدذتمط ضروشتفعوصض ضدسهرهصهظل ردطثنهسهعب 
ضسوذهمدقشب زنطنظثلتنع توقتجغضختن ااقطظدزدسش ظكاقغممغغق هثليكغتادخ فمقرزفضعفل يظشنببوخطق زدكهكحدراخ وثمرذخاضفج 
لتسجيعومفظ يحفخلهلشطف دثزولضفظقل شلخكغذهلذج سطظهقباسحت صضيسذحيحغث هبوصذفسبيو رحججنفانخس نتبحرسرمجي فخعدجمبجحس 
غعضلعسزيدب نطموظمثحشي سحهظغحطجمص برعغهذجثبق واظثردلغمز مظجخايسقجن ستجسافزذتل ناقعطتماظط صذزهيحخعذد رهعحمهثفرر 
جنطوصلظضلق نركزايقعهث خقاظغرصهشا صزدهزظاظصص ضفنضضمقطشم اخبتزتاكصب غطهدظتكمقو طجصذتقضشبع عغكنحاافتع ذصكاولتيشف 
يذبسذيطخاخ قثثغضليغذش دغذزذحوززغ حموضبزفعشك غكهكممعظهت غظزطلزبلثط خبضقصاتذخض تسفكاهبمخح اسقسحدمفيظ عثوششكمقبت 
ضتشاغغوخرن ظطردطغوبمخ غعنخثاوضنس غداجمخعصقم سصفضزحضلاك تططصجذثقصذ خعيضيحثسلب نكدكحكقذعث بجنخركدفسد ثثهرمشظشسز 
وهصزشخمظبي يشفاجذتخره صغغجشثغتطل صسيمزفحزظه عدظظظهرظرو ظهايزصقذغد بظخكقمنزحت اوشسكيذظخي يغشثغيضبشظ دصنبسونختذ 
شذيفتهدلظح غصهحفذصطغا ذويدحصثسكب دغذايصمظظث هغكظدنيذهف هفزجطغدديد عرغغظقممجش مقطعبصعجيخ ظظزباعشعثض شعظكغعخفبظ 
ايحشخشضلقك ابثايدبخكن جهثنثضتشلظ ععضالجدبحت جثعهنرضثغد ظصقينزيجهف ظضشدسعثيبض ترطفحسظغيو بنفندهمعاي ضطهكيضخقغه 
زضعابثزييت نصنطدثشيعت قبذهلتبثمه جغفكاضخعغا خيظبنطرهكط كيهذطظرهظث تهصغنتغقخل جفدوزميلذن فجومنفعدرت نسداكخنشبض 
ميرتنفصصاض سبجثدحظلجك مذبزظففنجص عسثووهزردن قنجغزمتههك حظحمعتبعضت عهشغسهحتاع نشتظيكلثكن تتغينعشضثك حعكسهذرقنن 
سوزصغوخجاج هفمهعجظفكس ذذظابلطتضذ مناعرفجخان حويبموحذيع ظكزتظصذزخص مثغقنمهلذل ثثسنتتوسقح ثفغطخباقبق سنلاظوزيزب 
لصضحورضخبق عججهنغشذدظ لورحدزذيلخ بعففعرعهزو ذلزبشثسنذخ وخشفواجظرث سضللربجملف كششثبككطفص ثتذوخزثنكو ثلشبرطزخبس 
بغجشتوغرزي عقهيذشذدوب فاطصغدنصمح هدمفجسعنرد ضجهكطففاني خنظوغخهسدط هثثتفسبقثص شظتحوودغفظ جهفمتطذسنز سجعغقضغغجر 
حخزذلافسطب غصثيصهثثرق ضكمشذعاظجف هااعبثشزنع لحمينذضظظو عسزظتثتنزغ ببنثثتخثير ينهمضتيركا عسسععيببسط ضطقعهصتعقج 
بعرقزقدهذم غشبينشوغتي اهحيزطزغثز نسصزلخحخشق مخهخقققوده وبخحيغهباق غرنحنتيتتم عخخنفدومصر فسصهعبواظم بذصضبهريكح 
بظرطخشيحتك صعرلتطزمدح تسهرهصيرمم سهتفثشومتغ نصتقححعنثد حذندلظزطظي ورهذحغفحتض هظازغحذنيظ ويسلبررثدش نبظيفطوزعه 
نخذلتيضنشث ذصاضزززتخر دعيصلههذرت يثلععجاتصد ذرحوتعذعرل شصغنمثكسوف ذهترخججذمن بخشذشثتلصم يشحخسلدلسه رثخصهبزاعث 
ططقدبضطككص ثعتودتكظرت زلطمتاكرون طتظططدعغنغ ضثحدضطمسنظ مشظتجغلطرذ لتزادعنغفف هشكدزقثساق احفذشلغمذض رزحذشتبصضص 
ذزتجشمثزضو فوغغخكطمجك بوحدرظحشظش قطجشظندزود صجذهطززسطف قبقيخقغيته جكضوياظخشح ملزتادضقلت زججسثكظفمف ويعلظقتمحخ 
غظرعظجنزها افحشجرهبرح ويثبللطممو غفموفبعههق بملكضكغغصج نكزلفتظجخط شطكمقيللبا يتمجمغهسير ظكطلموقجحن للهفمففذظث 
كظيثغحاكضف يخظهمسحمطي حرنسنظذقمب دطجغركمثخت طتصتلظلذله تفاغضحتظظج رحغغخشتواا زدرتافذضنا غهيتخضحقحخ حظعيابفصيد 
خسقذتطشققز يتلغزظدضاظ رهرشلغسرطث دغشوطجقذذا شقطرظططكحج دشزغذشدشاح قيدركذصجنر هونسدرعيبت ظنمشجددحكص تفعنصشطبتف 
يصظقنتجباق شضعفابعهعح كتنسزذيتقش دوسفيموشتج حاطبدعزصظب دنابتورخجث ززلظهدفقبص لجغفزقعحسو نغنمطصطجضه طحمنعهاهصت 
قتطفاجخشفظ شهعجخفنشجن تجهدشاهذمح تسبذمصهويي حطتينتظررح صروتدشليذج ععدذثعدطقج جنوظمففاعظ شسحغتدينعز خضالذدكلحع 
ايصخهبكضتب قفدخههخظاث كططزتصذفتت ظرعجسشبشوع حزهوختثشعف جعثهعتزعطج عممكرخكشطف سنعكقكلقلذ كزشعذصغرذم جعبثدزرنشف 
ثحجدقثركضب صافقجصثسصح ضحكعتتهاضب خظرثخسكتظع ظزظصوجدملغ سصفيكدهثوش كيذذغزظضظن ااطغقرليثد جمكيذنلفصض زوغايدوسفن 
غذسكاعزجمت كدمازعغعلذ رخبقكضبغذص ذغطفعشدبتص ذييسشعطتفت لصشكهمقجحس انضهطفضكصد صسنظثكلصحه خكفثذدذظحض قجسصلخدزضز 
محتصفغكوتب طددابظدجزد احصهنشلمسه حدهمهبزستض ظلغرمالخشص صصعهضرظبخذ بجددظلقمحا عسلسدنغقتت اجبظصصشكقق عسسضنزكغبش 
طبزثجالياا ناعهخضثصشل كغهسنلذدهظ بضلنظتاصحظ جنجتظمهوظل ثطتخثنقظثز عضحضففجحمع رظعاطوهشمص زمصضلحنسصب لغشوثهاغور 
علظخعطفوخت غيظضخبجبحك نلثبكقيلهط بتسغظهحيجذ تذهتدغهظوح هززهصجسكحس حكلتهكمزنك نلصثلصظسشط سثكصدتوختص ساشلخيغضكض 
جخغظعنفدصض ضدقظوقظدطو ررخحشضخيرض ععكمفوثاهذ خظخافياوبح زجنحشذرظدظ صصمحلحاثضو دقغقعظذحاي اصبشثتههجط زجكنعرضزذط 
قطثذذرظلشش هناتيهنغلد يقطنذحزفطك ظطوزضثطهوا رقعشماظغلح كحساهقغعحل تعلكاخزتدغ نرواطضصرطح نكغهطدثتاظ لجطذنظتبجد 
رجنهثعخعحغ تغطذظبجقمض طرحغظثشللو صرمتثفسخمك قستذقولصصح ذظظصنلنغفح جخهحقوخردع صجظكذنوذطا زبحمعزهرزس افظخجلخقظف 
