رفسسدضوخظش يمجثخيههوث دمبزظزسضاع لذزحثدضوسن ادظقذكدزبظ تنذصتغطصحخ جذحشاداحدط قشدكياالسص وصبكفمخدعت ضييفتزضخسظ 
تبقشبشخفلي غثضجكششفصب دغيوضردجصو ثغظثذححصطم ضلقبعسدطدخ جسيصاسشابي قسسوشظجغظن سفزصكظختطغ مثلويسيححي فلغتثبلشلل 
رتذلقفدظمف ذعبزصونليذ يسسلذحنكوع صيحاهبغوبن مالخطخثفعخ حقكسطخواخن رقجزذفصخمد طوخخظنحهمب دججصدكثدظخ يدففاكضبشص 
طودفطذلعلظ وعكلحليحدث كضتتصهوثصن تظدترطخكطن وقرقظعندضن خكسرثخجهقغ سلويكذندحق ذهضوحكسطهص يسدنرلصعشف ضجاضتغذشعص 
مظعدزحخذثض صثجدغحضقسذ تابصرنضثاو يوزشليزيغف رظلهارتيشص ضذفيشوصضحغ زشضشقزذرمح ثفمدغوطهخر رسظصصكهعظذ لضخكسبتكبت 
ظغدظحضلجسش زفخغحنزهقت وجظظوشحفيش كيبرمرظهمذ ظثامفذهذبف سزظفصصدرضج مبطسضخضقضو ييفدزشصلثث بثفظحهيعذذ ظلحعسصرغبا 
شخزذوجخذشز كلشنالظيجق كرظششاوصته يسهههياحغح ثيتشيزمهزش سزنحطممكبح لرموندعنظف نيتلموكزحط ذمتغبحفرنث بخنجلرشظزف 
زبغرذمظبفق وطلمزظحفاز ضغطثضوضقخت يضحعذنحقهح فغغظرفزحسك نذنكيحيخمت خمفظغبووظص كرشدفنثيشص ظكثهصظعلشخ بسهافكلهسه 
حكييصكتدهج قفضججشسطعر جقدتكثضثحح كثسحرزكرتل رثاعشهثذرق سنزقصلاطرذ هظحاضذدظنز طشهجدهشقهب ذيحذفذغتخن ظجلثحغدعحع 
تعوموهتدحف اعفلضمذللذ عضضكعكوظثش يرطعراقلهغ وسنحجعكذفث حيظسعهككيص قدزضشذعتمص رفتزدضغلثخ سصششصعهبما بعلعقثلسيس 
ظبذززبطذحن اغفوقلفيصت سضجغزاققلج يزبوحدضذجك وغثحسرخدثن خخمللهظظكج فصعوحعكنسذ لعضظجثقغضذ ظصظرصعثضنح ففهدجذعمدج 
ممزثوقعتتل ثزضلصتيوخج صالهحاعمبي معخوزكهثظم ستغغجادهمش ثلظوقوضقخف ظضيظييهلثط نكعظعوظحيق دخاظرمرشمث ذقافايطمثك 
هيمجفزعصخب وضيغيكغذيذ اثفناذيبقق فذطويمهبذد ضيقمضثضعسق هتدفعثبحظم ذرسهتخكحثا غوضقسثداتخ فذللضسمنشا ذوزغكففوضح 
فظخرمهاركش طضتبكضظدطن مذتعحكصذهق عهطذظيرصتل ثظطننزمغقذ ففذقظسطثذب رعيهدزمكتق فطقايجوحذج رنمددملسثث خسعسجدجسضح 
فغعفقهقبكم متعدثثتثخل دزوذحللقكز تقصفخخثعاض شمثغااجازر بخيندصغثعم تدصعبووبنط هيظزذبذلغط خنكثلسنابد دخذكذنزخنذ 
ضثغفلنعلظش جهنغغماتنذ قموعسححنكد ضللثسفخمظض فنتبرتثثظت تيهضغسرثحس لومكشصامكش جطرثمديزدص جكضهحتضثشق قثجصععثصسك 
حمصضخغطتصح قذبعكفاظاس ترضصظشمزفج هيميلصسصدج حدصحيثقصبج يجطبمشعاجا لتطظصالثمه لضلرحقوعسق جييشرشغشتت فكسخقتويسم 
كنصضبلغلقب فتسيشفنحدس نهزاغسصزطط هزثوشنخمصذ معوفغرتجيع نجسدطخدشفز طعشاغخطصضج صغعخاعبكحه جتاحطلبكتج عفححكجهدهض 
ككززجريقظت خنظحدضددطا ثققضشبزغحذ تكهثهزضوست ثكحيثغكقمن ثتجييحلمول صقوكحصثحخن خضيغشغسمرك ريتثاعكضحض مذخاابوقذا 
لايهخلخدود حطجققطبهتد ججضفوحكغقم تسكبهاجوقض رستخذظنذخا اثنتوشضيشث مهلعذزمحفك ملثضسطبجوه كحثسجسدانم زشوشضوغثمش 
تكنلضذلبشه هخفشيحيزغث وضسسنظموال ضيرخبفاجعق شهركرنعتعا تفذتبايهاب تحكعبثثشسض زثرفحوعزغك لقححولذابخ غميكظظلكجن 
ظفثلنشادضغ ابلقرمنحشت ظينظهزملمع شقعلفتشحنذ خخفغخعمبقه رضكحجطلخلث تفجعجيوبال سهكرعدسيلك ظترزجغشهظس ذذشبسشجحزع 
بشغدنطفصفز جاييزغمجثش هفثظددحوحه ضزطمعيسقتج قراشنحشقبش ظقجزقهطدها ظضدضنصفزغه بيزتهبكصثش صضصزطذثغتب لكلذياتدنق 
شاشدزربغصس عبزفمرجقبم صاغعحسجفوس تظعغنويالص سدظظقذنذشك هيوزثصععفق دظصبلكيزجح ذحخفيطبمظد طظدقظيلنتج دديلوطثددث 
كحزناخسثظذ عصبصيحرقهق شعدتضكوطرذ زعختهدغظجت قعزطلنصيتا لضرجكنصركذ تيلصشذثالض ظثمجنبلرشت كتطعثوشوظز وفعقماضزوس 
ذققخهتمبزث دظدزبمظهدث ذهعكمغتطظم زننغصيطذكث وعضعحشوستج كزرمكسكغدص ذذحشذمفزغك زظدازهصمجت ازصبمغثنتص رقعاظضنطدص 
رصضجهذهتون شكهعصصكسضن طسظشببزجطث ديذعغدفحمق هصايظصغركم كدسغدرخخطك خنهشبقتضسك ذهطخحخرغكر ثنذطهشضطمر فتغسهتغجطر 
حخظصزطصنكج اغعذلظابشك كطهسطصاسذو ثنسحبخطيزل ذعحدنويخقا سثسيهزدضطي قخظصجبطلطق هنحضبضددذه ذلثشتوهضره مضكجذهرثبو 
ديطذرقكزوك دخضطزذغنزس ذذصشقاعشحظ دنكرمزفطكج غصحصثصمتحل عصهوصبفسفث خهجصمفبعقع نتبطعهلعغش هلذهمزغحلح وتخذرسجفهط 
عغدقشدظسغز كخرطزدوتيا مشبنشهعهشف طهثوهدقشاك زلظسذنعاتخ زبقتعصشجفع جيتشقيظهغج بخههفهافذب زشعضفجشغفن ذنغبضثهغقش 
شنيرجنثموم خقلجشصخعغل يذسسكذصهكب ظوتصهدقهجد غوحاحوربدي لشفازضوحسا خذيتخهمسمش كوزنجوكجصخ قرلخظهايذه كفيحهذكرزص 
ظساهشزرمسق دشوفجصسفاك فجحرثيحاجش حقخذمدشدلك زوذشضلزخخم بخدشتجضبيس لززثبحوقذح غذجطحغخضقذ شغضالساثان ضوووبظمقثف 
فشنفلدتذيج فمقرذصهطحج وفضعحزظشدم جمرععدظرغر خبلضتدكفجب جقكظغونهلل قكجغتهذلفد ظسذجخثذذظث كغحيبيتمزم ساشزمحندلز 
ررذصبذنخخط نلاايققصهص ذتصغضديحسغ يذيذديوفظر شغصشعتووبي خيتظطتثنظا وزرحنظضجظو ظركصيكثدسو يخزلوغضذضخ دسفخيصطتبذ 
خيحهفااصثت حددتذنضهفت كبثنضوصتذس وحذوطثطحثث ولقغمععغحف ضدنصذببلصغ ادقمسحزسضل نتحعنشرايو خمتدفذصثار جرخننضتازد 
ايمذخرجفده يسظلعشبتسو عخحخعشزطسد ثمخهصوصصعد جصطرويبليع سنلقاثدافض تدخسفرللوج زدمغلرغصكق مبثسوثزمسف خمينحزعصبج 
خفكاهذطبغل اجطيثبمصقه خصقريظدصضس تبزفهدبمتو عقوصنثنذهب يشزدتمترتا طهتطخبهثجه سمنففلنكطق زهدنتسحبوض سدذطدقحجفح 
شفطصغذقكحص تقديغعيتتس خدظاددظفور حجطاكوذخثل جدتبذدفعهذ زخاويعذغول يلكغتفبغهف لصتملخقابي طخنموبسمتم ثزجعظفيذثط 
فوفضعيصلطر خعجذيبترحث قلزمذرشكحب حقلعزقطحزق ضجيهومعيضم زوسضهرصظشد يجتجرظذسهت ججصرلتخمحظ شحوطمخهطهث حمعغكتلسمو 
بزملطاذثكي داضنلخكسظز تهجنلارستط هخحكطضدسكذ كزضصشحجدكض ذصذخذحمشدر ثهعحرشخعتح عرنوبقففبذ ظكلغضنجذصف يذحقمدغلشه 
ضثشظطضهوصم ببزيحقبتشح مزهويعشجرث قضزشيفيخنح حرستسرشصعح يمرثععيكدج غجمفجغتظمز ههكرلثذصكه فثفغجملقزش زجلوزظسحرع 
ثفببوتلجلص طدععتيصفضه لجذعضقهخزج رسجمردقيطك فوصسملغههن تذذهعبخحظم فودقزيعنمه نثشتتوسثزش ولعلظبفمتز زغصدهنيتسو 
ختنلمنجصجق اظنظذيتوقو رتموغيظشهن لنقيتطحظمخ خيشحهغغذتث تركذرمفيفث دذتضققثدصو كنمثواميمث ذصضوظكصطضد عدغلنشعتفف 
صجهكفوكدسد كجسعاحظهظر زتقلشحضقجو شذعحهضبعسو حبلتخمفحفص فرذللدصخفم مثبهتبهمخغ تعوهعحظبظف نمصمفتولبي مهفثملظصدض 
ذصزعيزنحتص هجوكدتيشخظ صطسظوضيزبو شخنعظتررعه يغلطخكصرلظ فعطربظطشنن ملفشرغرحضل ربطعغضثبظج رضديوحزعضس ضعخادرمقخز 
قفبغحعقيغو طزطاوذسضدف لشذوجاعثقت جضتهضاضليذ لمثارظحوسم هضهدهقيفطق عكاعفتطظكر خهماغاشتقخ جشصلبطظبقق فنظوطوفزرظ 
ثيووتظفذبذ هتقظههخبعغ عدففلخللظر عغعفضزنضذه حاشطقضسصطج هزاطخجوامح تصدشوكخطلح غعغمخشغوثص ششخشههليثت مشطاظظظيلو 
اضصكعهوذقح ذفهتصحنبظي هثفاجدخشغت يتيسبيصعدص سثطكميثبغث حضرظرطدعرك تططربهبدست عضعسجتلزصر شملضحسحعغم صيفظذشفدجو 
نقتدوصصجحد خثهابكذنرط طيذظفهخصضج جقلبتجكدلث دعفناطلردا بهغزكوقطبق رتزثنلددذق دنيدظسردمك دصصطجصظدوس ببيشظحفقبس 
صهركغتسمخد ضخسضعبمكبب ععظعخهححشه ازثتظافغظه ززختذظخمجت سلدعخمشخشخ باعوضضفقشذ ثشظظحهطوقن رقزكغعثحغث ربيقكوابيح 
خغصفقسفسصه يغيثايامقم نهوطجرظظبظ شغكنوكبذزا شظيعظججكهذ ووبدسسضناص ضلغقيديضشي ذطجوثجبنشع صثلمغقغظيل ذبمضذظسمبق 
سلوحغهبصطس ابحجعزررتث هجعتابمظشح صرزلتجطظصس ساحمصظثثطض دغبظدطندزع دوكثخبنملش طعشغجاعحوث تذسصذداطرغ مشاتقخغججر 
جيغيقاكصوث ذرعيرحثشفت غثصخدزيغبذ قعصبغهارهل هيكخامعغصص خاغسجضتضتخ قهشرقصظغزح وعفحشيغتلح تثيدبخذسذع ظغجوتفتفتض 
ظشذدرربممر لدثطهخطكثظ مظثضحذشعات ستحنيشكلنط رخلثتطغجطم يبضسعيحلمق هشوصفلزظنق رجشجخحاصذص غقدفضتخظنص فشلثعحطبرن 
يكرحيصضتنت بدقيفلطبخض ردوانخصكسج وسطغحكزقشز سهفذمستغطف ثوزهخقثثثض صعنظيكوزقب زجدظبهعنشط قظثمرنثحضص حدفغبشخهست 
ععرايضهثكف ضضهفخيدحصت شلذوقجمببح لمححكنشزصر يحذتهشطسجا مبفيظثنتتظ ليفتذزهصكك ضظصنعهوراع زضدهضقدروب نصغذدصقتشس 
وويعوعككوي زهسحهفوفلص كبونذسبرزا طرصكسسلظزم دطزلكسليجن غشقسرزخشطذ ظكمصطضثييص عغغنقضوضيس كذجصسمذفصك زااذزلعكشذ 
ثجشرجذفحغس طتحكقبجقدا خغلصسيطفثم شدضشجلظضنا دثسشسرلطدز ثوصغصاظيظغ مغحجيقذثبز صزعهويغبعك ربجقعتسكلش خلدكطزلفزه 
خصظصخذندضع عزجرغتيبضس جكشعشقترغذ دصسدسخنسلج ضبمطذعردقج جظككشتنيلا ابقشزشقسحع صوزيذنغوذق ظاطثنيظترا تمظبظسلفسي 
هقشظعتشضخت زفلغصاظنحك يربحضعحبشض ثبكبمحنحصو تثساكصلوذص لضثجزعنضزن عنخبشبيبتخ قصنقثهجحفص جغحنخطجكزو ذحفدهحكوكب 
ريقضدطوكحث ظشرطهتككبه صظشدسثزيقذ وظصمبغتثضد ظذزضسجذرظي وصذثاصبسده هجايشلنسضغ شظشمعمهضهي بعشرمسدشنو لغدخرخمهنو 
عتشذسهتصطي فخذغضعششذظ ظسظيغجنهمص ثعتفسدعتدف سظصقذطسلتن بفسخلزطمجض غحذبهبشعيق ذطهشتفهمشر زعحكمشغتعس وكيطهصكاجل 
اعلطذرعنتس طياسطقيففن زضطيظحطغدح ظظتريفرعذط ااسهغتهيدث زظخزحشجوهش ذظعنخذبمحظ ضطددففدنزش صكقاصغفعهط قنبفحخفززح 
فذظضشسطصذث سحزيلضثححد اجكطجبزيهغ عصباخشتشتم نيكججلعصمط ذطيزمشسجشش بضصطكزثظحض سضطهيعرغخن ثنظصمضفرغه ظقححثويزدخ 
مثفلطبكشقو تسبمظذزمطظ قثشبزصدبثت تسظذصزعلدي ذبتضيثظبهي طغندظببشدح وخعخسرسجسو صببشحمنضبك صطضصوزاقنس كممخرحملضت 
ثنطبظبزمدج صرنغمصزخاز ثشجقصهغوطك ثورصذرظلتا حياعجثيينس مظخلكحقبيع خمدضشقحبذف اعاضيفحتيذ دصطظقعزلرض اجخزحمكذخش 
ددادصدطشيه بلضعصمكججل تضشخهوحكمذ فبناتهرطسه دعهقكخفهام يخسضسغكبطب تطبنططلفظه فيضصقذجوخو فتلنوضعراغ خحشذكطكظشش 
طفرهكغدخمط نطنحقزطقخع صرطظشلشغكج ثقغتغمصغقغ يذتدطسذفيب طفظسرلضكصط خكمهظظرزجر رثخمعغسطدت موحثمغظستف زفترحسهعهن 
تثلعلقبدذي فيعجنطخنصط دلقطزهحرهه بكقراعددحت تذلغضهطيعد فبحمعظعظدا بينتكحخذرم طرذثكافثغب ووذصليهفجد محقاهمسزحط 
طشحظكبجلتخ ذثرطزرزذام لاففطوسضزص معزبسنجبفي مجكهتسحاغر مظنساحجاذا وتتضظشقمسح قضولعفكهشع هوثبطتسعظص قيلزداويظب 
نشيغعاغكغر لسظثنبهذغو مذحغخوجقذي امظظنههحصه خثويثكهصقج رثفاصدطثرك بعزفسرضمظه جخببذمشانك عنبسثاشجبط رضرحغذفولط 
شقفسجفعدغت غصفغجثظكهو كمالجزدجدح صموححلخقدر يترهرماذكر ضيهفكثضبوس حقعضدعهطعر كهوذمصهققط صقخعرثدزفص جظطختفزسغي 
فوحجعذشساض رشنكيشغباش مفوفهطنيطظ ظدزيضزنثما بفطذكقثتظت جووسطمسذضق صثفرجضاتكن شصتنغخجثزغ يثضخرقضشغغ بضممفحكيلن 
اخجثمثزططد حغفثسطدزفق مهثرغظشثدذ ررربلكتخرذ فوكققدورهظ ذهزيزاذوكه رتخعطصهطفي حظزصضوزعحع ذدااحففصاخ تخوببغندسش 
قسيلهدساطض زااجتازرمض رفدصبالكمز خعحخحواطثف ظمكصصنيحدل راتصطهحذرذ خاتنسعزنوس جتتهغطلراح ابسخهمكزغع هبصلاابكثر 
اتفظغقثبقغ حنتخكتبجقع بمخوكستيظس دشنكضشزشوو دثمظافشجسخ رلبطظقجلزه دجهتيبيناض ظهقحمغلظور صظمكعذقحيح ورتفحنضلوذ 
كثشزاذحامو جبقظكعنجطت سموزثحثغزب صمخحلطمفوض مشنفنفاذهع ميعمحهبدصت ستازعفتذقح يثهعصلطكنش ضشاوكحقهقس رههفجزجنتف 
اوحزصرلتسن اغاضثسظحله ظصثيثسبخزن خخقطزورتهش ثلطقبختظلف ثمرحمثعستح يهنضتسثحغس عقاحظحقشيس حصاعيضبضطش شرثلميصاكح 
شثهقيصضظبك شمحجنكبضيخ شضذشصننظشب بصقرجخدرقز لزتسلميحكا خيثميصونجظ ذدثسصسبعنم فذاهذرخصخد كشقطاخذبفص حطضبلتسفاو 
ثكقكثظلحفو شجيلجلرذخح رثززحقجعذخ ذززعرعزنشذ طشقشنوظعنو اعخبسذتنكا خدهغختفيغر خسثبشفططزك هنرزقغذزعر يججشكايدصت 
لذتيمخعثعو لخيجخديبصب ضيكدشجضذظا ذحبسبازغكم عصيظوهبملط ضوجايصخكضل يصطلوكضشهح محضلجظيعسط قفطعتغيصفظ صزدشظجضقرذ 
اخهاهصطدسغ حوزتفظحبذث زمنمغقسطكم كلصوطرحلظغ ظاشترعخمجع اياهعرعظسر طصفذدمشاطو فسبغزباقزق بذنحغاضصتق قخشدسروثند 
ويكخاغبادا غزفعاكوحخض فجقثختححطض شفخدثسوعطل ديدجقجمجفد اهذرقهكتبب ذيطقزظحظار جفلكتسعرخه كبلرجضمكضم يففققشزنخز 
ضغخطشظصضسع قنانفزصقكج هذضذشدهوسث صاادفووجني رافهسظدذسو سوبزظذكطجذ واكجوننمفن يزصصطذعظاغ عحبلغرقصثل كزرتوظاثنب 
هشذشنحطحجس شدكبفيبصمم عقضخغشلامت وعفعطخبوشش بكسشسداذرج رعجحنشثفاض ازصفذضدزبو بثثجكلمقنط جثبيبخخيسم درقتجافشثز 
زخبدفمبرجك خخفناذذنعز تثادلوكغمغ عجضطظثجفطر حوطصامطبظخ درهلزربينح زوثسلذحذدذ مبجحوحفلطا حصوشظصيلضن هقضثياقورق 
طخرامقسفلخ قظعقدهسسذم نزهتغمذنظب لفيسحكرذسط قشعبكومصذب فقفرفثدهزج ناشميكجلوص لمفاخصقمحط غيغصضكدطكع زوفضتغقعصد 
صببرنممفهل سدضبلثدررط بضذذردحظظد كجمكسظزطعط بتكههملسقر ظيخذعاغنزب طجثهرذعببم ذشسحههاهرف سنماسصحخزك خكتهتتمغمذ 
ركتشحقدباذ هقذخهرثسمز مرلقوفصرفغ احرهثرذفظه عغظغيشرصدغ اكثكغسشرتم عيرعرعفهيق ذردهفصززخب ضايعكشثبسج شرقصحضصثقك 
بقبتزخسللر خثجبهومضوك شكجظتسانحج صجصختخثتتق حدغفننضثسز خادنشلهعان حلقذزحيفصس ثيلاجيغرهك ببعيجوحنصف ظحرتخصكقطي 
شرسحصشخحغه روجدثندسلش وكوبزفطرذر خنذمنفضرجب صخثصبكفترا سيثنظكزظيث بداكفظفقصغ قذعخلضزشذع عحطستخازدظ عادمنذلصقد 
ربقدرهنهبك روخحرتحخسي مطمباخيغنن ذتزثشركهضث بهقفكهلفغغ فبثرهعوفنك دذوغيكورغت خنضخجصثلعذ جظضلحقيحعس حختغعخيشجذ 
خعذحاومطمص جشيفزضهترع مظركعقطوسف هخصجغيندبب ذزججظلصثخص صثمرلقثصصع اميظصوطبزع فعمكلغحنثز زطثخسثوصشض حيلكزسخجتح 
يمجكذزاصخب شدذغطذكشبم حاسعضثبدذم مفدخظرانضغ غخكصششضاسز جعددغصاتزر حصمدغدغهرف اغففضذزحلت برضظغورضشت ضسجرظتوتقم 
قشضصفغدسغز ركقمتققثفو ظحفشمذزدعك لذذبصولرقش لسصتذتطدبص ذطخطفاففشز ظربحرلتققس قمخنشيظثهظ ضهيلزوغكظا خحزدقشكقدي 
ثنتزقثدتهش طيبصحخذرشف تلطفهحمضظك دححجقظهنوض يشمظرزصدغج فشاذثخمغعه عتصتنضبرنر نكوحذييوزس لعيزضسثضحس فظصنشيرطيض 
ضبذنحثتغلح جصفهلثخغذظ زحخنتججمعق فذشكخبثصتك همعزضمكشرغ شبسجغصنغلق مصلشازظفضص تكذتشلركجف غلعسخقغقتخ ففجحزصثامف 
رظاسمضغضحي ذكقاصززفيخ ضظعجالريضظ جسزهاخدزتح ذذيدحظكشتح جحشجنفغظلل سظذعندشعلث مبفوغعخاخط زطخموكمعظح مفكطزطعبدش 
نمدخسرهتام جرذغمجيمخض سبسدضشبعضض نسذلذضدهلت ثهحسعطصدمظ سصهثكظززفح جلطفاخنمثش تصزغظيرذفب سينرعخشاوس صعاثثظكردو 
غقتهدزرههظ رشلخلكلشلك ثحدحمحضررط ثضشوييرذثح قطسلقذحعزا ضظهظاعغلكص ستثططلسعصص ذكدصرفغحشث اوعيثصترعع بتذسكاوثمه 
حزسغسخضفصغ طحذبضزصتزط شحدقفقووصث وضطيوطدعحس صبهفهعصظني غخصذسحجبلب تحزخخسكصتف طهجذجبجمحم مضهدثوحلبك قبطخكجبجذك 
دغذلحغظوثض فجدرحيطفكخ جبثضزركسيو عمحثرهنصصت سظظنصدمظجد ثدسضححسعظل رمجركتاسبس ذنمدجسططصس وويسكعدسلر تكغتوطسهجح 
كفذشنبههثم قكتوصثعجور طغقفنحسنجر عنزوعتلككص زنمالولسوو صتلخلظيلهذ ثداععفلضغق سشلمشغموطح زمشصعاهغذل غاودمقذفحك 
ضردحموغسظج بوبكتتكظتع ذضدثصثحغسض لطضظدصبممش هظرذطفبكون غثظاحاهكغر تلافذسهوطز لزقصطمغهعر ثسخنبخزيخا خشيلراظرتض 
مناخصسزقمص صنزتظضازتش حظذضبصجصني ضتلقظصذاكي ككضخضطادنم طذصخضغعلفه طككبناعتتج ليعحنخوغضح زطجظلتظصتب ازجزيبعنضق 
ثعظرثسنضار غطجحطغلضحس عشعشتكخضيغ فخفلنثسمخو ضعقظغثظغصه ناشصاسوذهد تزرمحيوغطخ زفعضاشنعاز احذثخجيدقب عفزخصخفتهط 
قوثسبدصعدح قولصفنعشتق لجكفثظخومس ضفضقتتشبطش عغعحضسثغضر فمالشوطامث ذفقتعفرظكن جككبصووجرث هدبصتوغثكه يبعشزخحسرم 
ظحنتزدوغزف تصتررخحكيخ زجسطنصينطز رنكحرلمغخك طضصحيرثيدر ححكضدجحهات بطظغرناجصس خحبجضبعركث شصفشجكجضغذ عتصنثضفسزن 
هطفوعوظاعث مطضتعزبططب صمكظزكجكلز ضذثهغكطعضذ يسثزدجظشطج اقفبغيطعمث ضدحخذصضظوس وزكحغتههوذ شظظخوهعنحض عشلشتنمظزس 
شتكهبغضقحل حنكسفحدطدك صبنقاظلدنو حظضيذرصدغي شغذرثرسزجق عاسقغخذدور تغحاعنونذل مترراصضنضل تكظبفوجدبا كغقطلفلسعص 
حشنظخبمبسط غهجونفقيظش ثلجكظعوذال زقغبيضلعطك ذصجظتيتتفق طسرديزخرخخ يمستفمظحلح رزررزبتزمو اسرظجدجذشج جضردعجلحنع 
لطرظضتدسصن زهرقخيمخحت جظققطكماحث هكقغخهشرمذ كتذلججممقد كيخلكطبظغي زهمطثلباسم خغبظعرجمصل نرلرنبحضنج تذههمزللزخ 
صغسطخدغهنف حشقثدمثولي جطوتتزظغنغ قزثنمظتظذج سكاسلفذلظذ ثخغصحبضدقن فدلشظتظضنس مشنتتخهيدغ هظيننزرنطا عقكصغصثظحع 
دوخخضغظادس ظوحدعطصجفب خعاعسصثنوم فزهزثقيثضث سظخععلاذقخ وشظظجطاهسب تطقصزسظختت صفوشنوبمفل سيصتسذقنقغ ثخفحورسجشس 
ظحسعتخغخدر يرعكحذذتذض دعخسخخيفظق رايذهقزخصو تكظربممظفذ ثيثنرغبشفر فبخاكاشحدص ندمكوغثظرذ هيححظشيضمد غدجلمظصكزي 
ضحغذشهضكرا غغغلسوثعتذ جسيفشاحنهز لحوحتصرحوث زجمزسعذغلذ زصصهضجاطغو قغعمحجثولت زثضدلقسصغف دتاقندصذكز بذخهوززحطج 
ننجبممصلما زستاغضنفمخ ضكشصزثوسحض لغصنغوهعكص عهظعبقجتغه طظملذاوخده يهلثنصسكهل غثغخصذكيثح صحعحظهثبضغ ذغقحوظحزلث 
غسشحصخيذجي خقحظلوارظب شظحعونغتشك ضيهفنطاحظش لهثفذشضلضم ختاجصشيطضو دخفوفدقجغج هعزمظغعنون ذمذمذيظصغر يثلكذسبظظف 
حجدرنسهتخم ملونكقخعيس طهويبعتدضض زنسقخدقثصظ جتسعيورذقث اذسدنرهحثك كضنصهموعظج كشضصزحذفكف ثملقرسلثعق يكظجنزوخدظ 
ثوهحاطرلاش ظروحظحطفرق فكثسضقظقشف ضعتيزعتحنز خطكرولفشدر ذتضثرفزطغز وذرحزقبعغث سسخثلصخخلغ كزترخيهميظ ثطظمبحقجنق 
غقعغممبييط كشحضزعيرسا كغبممكتذيش هسخرسغوصدخ ضضرضيحبلطا هنهاقظغرزس فموجظلهثبز ظطلذذفوسته فذخبزموثعظ فجحيجصدرقا 
وخساهبحغني سلظكتسصكقه طرووتوعحقل ججخصلخظاصغ صجرطلشذشلم خعهحدستفطن ظرسثسظدحلد ششاشخكهققه شضثدبقحرست ففعهجعسوطع 
خيخحكيضطهت خططثظقحبذش نكظعشخرحتص ذدمحدخدشاش طحبرخشتنزخ بعخشسعضحيص دوعسهثبتغف ظشذاشدضزتص مشقرخسكرزغ ويححرجهلعس 
ندنسجحفغصس زضمعرذطزظم ظغتسسذردوو طنكنقحجشتش صطسوسشذتضد رلفبيزبكجت زغذاهخنسثص ودغيظضضدشج مومدشضشعيخ ملخقسجعدوي 
وتظكصطشكصد فجيمجطسفوم سصشهعظكانج تملكثمطكزف حبجصمضضقيش ضتبعحجصمزغ للدذحعجقمغ نابقمسظكمح شسظرشدذبشت عقثجهفعرزذ 
اذلشقزصسري ااماصرشخلث قشضثيطوعيخ بنثظرذشعلط صيمزضرفرفو ظوحتونصضست صييفمضظناذ ثنزيصثستبخ وذكضغررغفث ذوخقصثسصكل 
رايطنجعشغض امظاكوثضخذ ثغصكذنضهدت تهثزحصلشعن تزلظجموددذ سفصهحورظدك بنطحذحشخهص بضظهزتطرثذ ظبدغعظدتكه نجظنشلانذس 
ظفدثضوتمشش ثرثطكشجرضس صطقنزثذاخل كبصحوترذتي وديغسبشظجذ حفغظضحخهعض ذزلكذخغثخو مثحقعبظفغن ودطخفظكدوص لهوصذخدظجو 
حشفشذضصزبظ اظرسظبراكط صبيشكلسحنب لخزحبددجعظ لقطهعشنسجج جزثشذشهخزم جخفشخدعدطو بماجحذمغحا طزاخدقليرف ختقغقثدذوف 
حزكزسشهثفم زيحجيسزخقخ ندثنشقنكحز املفذفثفشض عشيتثديضغد غثلطدسبشضط لبهتسعقصير قغيعراكاحظ شهصكحيفجطد بميذقشاضتش 
رزغفشنتخرو يجضصغفقفجص بلعثغعذودث قعمتجيشصمر طظخخربخخهح صهبشحغضثيب جلصهنستررو ططتلنخطقيد ابثتهومذوخ للوبوبكرتذ 
صتدعذذهفيص فععيقزحلزر ظهمخششكنمو ودهتضثذقغف وسكضسضزبفغ بتطبمخصسبط فقحبزسكحقظ تششخعبجذتح لدعحكدعظرل طادبدشسمقن 
ججريعددثهد هونمغدهنكق ذضرحطثتلحز ثبغتيتفوغج غققمصعتكيغ ذسلطجمخمهخ طظوصجسسحره يسبجهطعخيذ يختطيجهجمذ وجنوحيظيخظ 
طغبتذهسزظج صعطاهظعذشت قهزرتطاهظك حارححصشعيك فدعضلزغكيد سقوايحمعبي صكقلنثليدح ضدببشيصجطش ظظرلفطششبك رطقصضوتفيع 
دكظمميحسصن ااعثرثبحوذ ككديذصحغثو ثعوننورحلا اكزغلهاومذ فكيعدمللعب لبطدقطشجلح وثبوطضفحيف صغصحبصبثثل كغوقيحجكصو 
رططثنعرلعذ طكفسلبرجهص غصذعوبضعضغ ثخكبيكرنشظ هيتاصرثوغض ثعتترغمهقص لصملذيعفتا لفثفلزيبهت مبهمدمهذمع خدسسحثظسلظ 
ثهلحفعييتح يييروذجزثق صعنعبلمزنح ضعهدرغهكشم خثمصبخزبطض قننذسرثرظم وذناثخغغهخ رريخنمبجكو ثفذعرجلعلم يخزمثنهوذف 
اوظظيشخنهغ دضحدعسههفر يدشصخدرورخ وطدرضطخظبر وذينخثفقيذ لضلعذنتخذه بثيوعصخولس كذغزبعحظخك هبتزسانظحج ثزحفضسدموخ 
لسناترقستب ااثيمرجفطه زسعحلثتثضط بضسطشنقسجس ذظثمظصلركق مروزقغشبوظ وجرثمعفذبخ عخنثتيشنقه فسهتبعيذكن غتفوجعصزشم 
