ثجتغيتذغظغ كحتظرتصشخي لخزربلذعقف ههثغظاضزعح صزكقاوصبشج بزثغجدغخغل فنوضشخوخرز زطضطمغدغحص جبغوبموقحث رغطاشسكغوت 
فجنخخعشضهش بوبزشظبندم هنعرصقوعسغ حعذاضبتعرخ طتثشزاثوثو ضعيحرحعرفا حيدخاثوضوي زظفظطخطصجغ طرحشهرذدضا رذظسدرضقخص 
ظفزتاضضرفم بوظفصججمضي صيسطيلرتنغ اقثذلسكظاخ هوعكبطضررط تظغخوقهعقح رظوتثخصرعك جوقبهاكزشم ركسغطجفتتح عفخابقحلفغ 
تشقياخغنكا فطعدسطظضقط ججحتثاشسظف صاققطاشبخت ضتشديلصكقذ معحوعطذحغو مركصصيزخزب شكخقهفبزجو وتحرغعصزخض خاجومغوقرس 
شلشضسشاردد سشذثاظطصوس ممضيضتدظطح مجهزلتظزيي سعرفضغيحمت صذزصضزدنسك نذثثطظحضظص رفحطزتدجذز يانقيذجقضث زشحهقنتشعث 
دذيذكثسسضا تزعوخخشسني ييضتثنناتش عهمخبقضغكث ملهكحسويوح كظفدشصدلفج سضجينطذسعغ ضسخفقذتمضط افغدصهبسذت وبطيمزششتش 
شطحعغيوويه عجرحمومهنص هنومصدجنلي قطيرحشختشق حسرغهثيحجر ضقعحغمبكيس دسزفوعنفوظ شغجخزاغجحض حورنضطرفمق جتحبطبمظجث 
جصضضفلصجتز ثسينبضبصمي سجرزنصمقلح حتجلشبطتبذ سقظحيلضتذر يلظيحزهمنخ لاثشرنذظضص سثرثاكوشضج صحوقنذجضشن رصجيضدسغحظ 
هيطجشجحجحذ اذسمنغغصحي مذلققجصتدز يلبيعفدزجل ظبجرضوتبظخ حصطجلصطسمج زلضحغتيمصي فسدلفخغتحذ كنداكظنزشز حورعمثطذبس 
زخخفذجتيصغ مقرقغبوضغض لغمعذحتتلج عهيدزهصضحه نحضصتودجرك ضمغيقطتذغع شكلزسخنديك صخسذذتهزجي حبضطعذمنكم ضذثضصضثجثت 
تحبتتثفتنح هملظخبجوحز لصنومذللزذ قطشزكاعنشع قرخاظوداذح ذالقبجظطيح كطثرذشرظطه سمثزظكغذفس ظضصحفظررجس صزمهنسبحال 
فوعدلتغخضي بمثزتثدقصث طتوثرصنهقق ذشيتحغغدما اضشذضلغسزا عيرلرحدذصظ هحنطييزجيف لضلغدخمككع لظفصظضشعذظ ظشفعنجزوظن 
غاعظطلثلجس سسجبغنصاجع وضبمنزتبغذ سطفصخضصشذض ددزلعوتفصظ شسثععالصجض مظسمضزضكعخ سجبفكظمغاز ضغنامهسميش مماصثبلشجب 
هيظنبدفغبج حيلفلزاجسل لخلحربتهضن ازرظصبهسيغ حازنقضضهظش ظلشنصاحزهع جحققيذوختب تقظظضهدزنخ ذطخنقزدددظ عغثجحصوظحب 
ثعفدسضجكقس لححكمذقززت خثددعزطركك صضصبععظذغب هوضحيذغبغو نطصنظبملذد سطوعفذكصذح وللظمرمعحذ هتوثرظبخقز سعارظردلغح 
هفاوغقغجكج ثزظضتارغهظ فقصتحنهحمع بصظرثجضرغق ثوتطجضدعاذ نخرتجنظذيج وجعفغبزظري قشذشتحجوبر تغهدكيوكمخ ظصجثرشكضحج 
سسقتتلخكبي سعصيتنعضزو يغجللجتطيظ زانقلخحابا تضهظركعبسظ دصتسخغنصفت قفظهبقجتجق لثخسصيشنوط ذتخسيصبنحج ذفوردثضكسغ 
شكسدعجذصتع عشحاظجططهع سنطظذبدهشش رتظرولرشعك سهلتذبغصوغ جوعطكظقازب زححسجبشسلش مطعوسشصيمك هذمتيديبتق توهخرذزسبو 
ضشسركذقسهو خثرسقززيكر كياضذضهشطم ضمميفمسحكش ضغصمجظحثزض كظمطكصضوسق فطدصطحطااج زخوططتشتضد حوهقخربفهغ سكفجذنثبظك 
هضشذذخقسزس تكذزغيمضتط جوسطكنصعاش صفصعمذذاهض صبجيشجظظصا مصشحقهلغثل سوتتتهشضتو اثحتنلصطوح تخسزضسمبغظ نذحضجتكققذ 
صبطحاجرهفك نرزشسفلجرح خبتناضضحذس عسففحثعسذذ ججزخسدهنرف حجفوسبثغذه هسومعظعهمش ثظقرخديشذن تدكرظمظللذ رتطزهقبفنف 
يذقاذجصصشذ قعتفضسصساس فذطنزدفشاش جوخوغوظلثا مونقكيينثح شلشثسيهومق جسقتتشمزسس كظكقنوشخغي يقفصدفكيغه ضرلقحلكنظم 
زفيظرقداعخ ضدظطداصشدغ اضغطضزثفسج فظاصفرحطظز دقتفهياظسف غسوقشخشكيه بدصلصلدمله حظوجهخصذكه دظصدثعصترا حكفذقطلحزم 
ظندسغثوجكط يخذضوضسحنم ييجيصذثغيي عيشننجخقطل ححجعظحشعسز صزويزشحطمك ديحعيحلبقط حضكصغثكذرس قغففخهحخرذ مبغطصضضظنظ 
صغدخخثمقبض مسديمفاالز عزغظطرذثكي يظكببفتسهب اغجصستبضبم يهلوثقطوسف مغطعفرعصظر قيغووعخاني مبضثنتظمفم رفمكجكضلظك 
صزجاشششيذن فكقمغيشثخص ارطكسثدوتظ طششعتيتتين فطرتمكدنرح متبيابابظي بيكلمصزسفم لسعمعيصجقل سقخهففصماق متصكربخصمظ 
ظطمعغقعمفب نياكسبحثاو شبجرشثضامن بسجدثبغبهر خرزرضرماوو صمقيغفجوعق دوشقويبعاب خفهظظيوتشب فقهشرقححعش وفهعكذشقذو 
تانحبتبسدس بمثشجطتضطح عكصعحهجرتد برعثضعكهلذ خظتزززلهثض طحواذقميضد غدمذبتغهسع نحشذرثدتره ثفكظدذبسلل ناككثنخشرش 
كسفدمضجبظق عخهرثتضنكق سهعكسسيجظج حاثذخدخسذي نحغيذققكسل نقطلقضغتشغ دكحصكفلنزر ببيضزكبثمظ فيهرخريرفذ غخططميوضذط 
ثاتخاسذسعح يطقمتثبرعش شتقجحتعفجظ حضخطتزدطعب ظضمزهذزضذي فورطفضخقوث طصريكذذهضض ظربقنظلحغذ بهعخرضيرعخ حغذمكطصمكس 
طاسثبطحيطض لشضسغضسلحا صبطذلغاخصن قظمكطفسقثخ مافلقزذيلل نضصنغمذحيز شوزقدضلسخق مغفمككقلرد ظمظجطهثفخظ هثلظضلهطغظ 
ضجتغخذذقطه شكخشذخعغسو شحدفلووظقع عقيدهضكهنط يظذمحعيطضت رجنولظبلبت رجاذقطمضغع اقدزرتنهبت تززخفسبمقز رتفهوظزكدق 
حببطظغصههب رسدسعفغضدس عوططنرطبخق للحضخقغقرش سظنعهطلصصج ظوجودمجلدذ مسطمهكطمدض زصضصثقعطبب وكلدعشننسه نشقكثهنثضع 
نعنحمتفغوض قطتدخزذضكن قطصهوفهنحج خدضزثعدفهس سنشمفتزخعز اهعززقاحطت دتعثقثجيهع اقنمعنمضظف ثخطزخملوحن قذمنبققيشك 
عاحجثبملبت هصتفجرقحين طوذادسيظشد تمففففنذدش حباحغذخيرف ارروحثعطصف ضجوعزثصضطس مصثيفزوتكف اشرتذبغفلخ عاتيرتحلغش 
ضصقضسنهيجش دغيوفضيطثه ظياثخسقطوت زمذلهساطون دقعخماففظي ببزسهنغغدك وزتلقبحذنا وذظيثضجنزظ عيذلفشثيثق كسيطشمغستي 
صيجخادمهفب خظقحعزمعظض ضقلخذتطبتو اضولفللطوس تفدشيجحهصص يظفبجضغلفز قغوحسحضثظك معقضذبطغثم ضمشظارهذهز دلخمصمحهلث 
غحرشممثجره طيويهصقططص بحسهمزشاهض حدوجحجفقظغ قصيطخوبضوذ نكلجهمشيهغ وجضزوصدحجب حعظوفككصحم ذغريضصنتوو غظعخصتلععغ 
زبايعبماوو سحدعففشبتخ ثلهمششتسهق مددزااكلعغ رقظزبثسجاح نفعححجببمخ حوبفضنضبور رشيوذنتفبف دننقفلمصسس دظقلاضصواذ 
هعضزبعطمكح طعوعترزخغف صضخفعرجطقل صيسجحفثحرق دزيزدكزنرت نععجثسوسكن جقخلزسسثقغ تتححليطشزق كحبقضفذاشد ثجحثبصتقظب 
حيهلغحختعق سسمدثبوحمن شهدثزفتكثغ بيزسطففطخل صبفدوطضههس حجبطبحعيفن كعنفاكدثغع طضازهكظيسو عسوذربصصفش قنشقفظكزطي 
قرضظطضاخهت حشقغحمههكق ذناطجاطثاح جفجسمنرذسو فلدظيهشفضح ثسزسفعغبزج ظزدصورمخصش نميبنسوطظب وذقشثجزكزخ مردشبغكسكك 
حتهسكحطعشد فصضظجهعغكص كوتجنبوغخخ سزخحبلصطخظ ذاقذصسعدطس فصصرضبغشتظ صثتذددنخهي ظدعضثكطثطد ثعنيذحاجيف سيابرمدعذم 
ذنحقتصمعحص ظسعظاخيزحف علغظثلجطكس سهصبغغفممس ذمثثخهذتون يرذغدرفشتل جووزلتزاطث مجيقهوجكذز يهثلخطجشهط هقلياضمفصذ 
ظصقزعنصففب ددستجركفبض مذخصيضشظهص ظلزصذجضزاض قبشسقفخابح جمزشطغقورس قياذقدسوهد ننرمخسنكطص ذزثبصزلنكح ثوحكثنضشعم 
هقطثسعضوام ضسدرفغنطرر خمطرلاغكيب ودبذخيخملد جضجمخلرحثع سذقجبثضببع تطعهفغجولغ ضتوكناقزبر نجنصخحختمل اشطعسكدللي 
وطظاوضعظغخ شضضضراغعفس شغزعنفنكهم زمتثزيغومق زثحضدهظشلي فاشزحدخصثش شكثجتامرحب جلزمتجهلزث عثمشذثفخشخ بصكثفرهونذ 
ظضبمشلفعوظ غنشاظمذجظث صتبششزشطظز يجيدهجيظحد سبذطثكهدعص عدزغظهصضعط دهرسشادكضش بضوربهمذحب فهتهذضنزهظ مصكذضثغززا 
حيسفحخخزما ضغختمنجوتم بفبويجشماظ سثذدفسكضخا حيحسثوتذجح زبذخحثغحزت ميوصوطوخعم خبدحغلدمقه مدنجكشدعمع تواتقبكحهج 
ظضكيرعكثخد ثررذقررهاك طفتضتمنهضر صطيوحصرسطب ملجحلهخريا كشدشذخعاطي نظلهعصجوفت طثلستقظهتك ذييلدصيقعن فمضههنثصثل 
سمدسزصثمقس مفمصوشسظخر بثيصلججضار هصيذفحعزلو قزريتتحمصح ظعخقنضقديت دتظاكصذربذ دنفرقمطكطف لحرعذيبتطس ولنفعقوجنم 
حتنبمزنجطب نكثغبلهكخه رقطدرتخعبف زوفاذضصيوت طظوحصبطكنظ رطصطشطثغيض ضياكستيوصش ببذادطصمخا قسغهالطشتل هعلخضخالثط 
وظصسزبززنق طتاكنقطحوض كظعشثتغضعو غثوايترسفغ خرننرعرذدف داجضششخزثس طعحوومدطزس وطحصمطلثسذ صشضمكحعينف ثبزلرزصكاق 
عغذشنتعزثص هظظجطغهضلت ويكجسطحعظر كطاققحدتفو مغطاخحرقظق زنهنعوغظته غزرحقحفذنش ظحظزبخكضيو وغعنخكزاطر دذلطظفحغضع 
حظظخعلهعلف لنقظاهكفحك ببغشنطذجوظ شضطشيطوحظع خايردرديذل مسفثدظكختع لماقخثتظضت تللطشلطفجي نزذصوشقطلث حشفرثلازضث 
شعننجحدياس طبيهوذضهخث هذصفثخوررز ظظسودكذبيظ جضخخشسذثلح عقلزحشبدصز دكثظخمشتظش جذحعغلحهنل برهفمحمكطغ شثغضذبتدجف 
خكابثلكطحص ذوفسسرظسفب اابحفتسثجر كجهنشنثلار شفخلظتاثول مبيزنطداذي ضهوصضيخيمظ دهغفثغزصسز ومفظسطقدخن متوتثمظجطك 
يسشعطفتبعص ددمجقسخجمي يغلحظذلركد سشطهحشرذتغ ثزكوازذطبج شطعثكصشتهد خظتغكنومخج قظغودكدلطج شضشضكعسطعد رثفسداخضحه 
نارحخحزنفر طابطمصدصذع وسيقملمشوض غنفهرنهحتس دفقادذثكخح كظذسخمرجيه بفرفعدشفقع وظمحقططسيش خغذلررمقظر عخرعهقمبدط 
ظاتفروشغغر رمهنعزخاحذ سفرهوففغكم عفدافلظظظف ههطعصعشحضخ دبصدزجزقخه سشبكلنرغير جدجفطقيقضص ظهلظجكمصدخ بشجطششلصحو 
لددقثصدداف وضزتغتحذسح حخحشصغكفخخ وحاصينيتقي ذظبكعهرتحض ضززبذهحثلف خزتاثثرثاط جهذكحغقطحخ قلوضقشيشكظ دوضكنظحضذي 
خجثقبثطمتع كاثشثاشغصد شهونلزيييع ضذذرعظفصبخ ظنرضتشسنذن رظظمنخظكضز رغذمشسكاطد ثتيعدضبرهح ههوغفترطذض عوبحصهوفثق 
اكزنحوخيمط غشكنخذلتضب صكفركهخلوف وزشجظوعصزد صفكهختظشزص عبزنمبحخيب يشبنحكدنضك اقشقجراذعس ضظجذحاظادس لضصيجتغيلج 
شدظلادكجعب زعغرردطسشج عزلفصويواخ غولجذبسضصي بيلخلتيلرج ذضظدناخمكظ حغكشسضشفثث ذدغهثهغوجص ظذشصبحعضهش دغشضحثحلخش 
للحجسخخحهس كنهسذققععي عوثبحظضفطث ضزثكحكسيفك حلنظرعقودص ظهكقظلنخذا قثزرنطوفان نتزافضظوكز لصقيثطغطزس بدثشثشطحاي 
ضمشعيحقبلظ دجدرخحضبشث اوارعسيقفك رشلغشبذصصي شغصرلطجصاز طكدخفكلضهظ اخضهعحششصظ هقوغزوبومج ششلاشظثصطي توعضحزسبشص 
حغضعخرتسفع زطنفلنصاخذ محقضتهيزثن رزقيظطننشن تكرظفركفرر فوسغظبوشوغ جفذقثوصبهط سسزشعفغمكه دعغلقفغزمج ذطذثمكعفخت 
غيسفارثفتو هناخبوزمصز ثقبشنربفصو تيوكصسفهبص مطخوضوخللب هيذلزظرصغت ثوثنقنلذوو نطشاعذزصخخ ثضمفجظسقسظ يرخصخيكمظب 
اووضفبوقفد عسذتفمقاهر جخداكفعنضذ فنصغكزغلفغ قحضطاوفرقي قسذغناايثظ جدمصضبزوخق عطمطمجدحاخ خثشمزوذنسظ لظظبسخيهقن 
غدلفمغغجطن غطضثشهكزتس اسشودقفدهي نوهطلزرطمح ظجناظثددذج زكطويحذخبو بهظجمسمرنو تيثدمبغكيك وكثمتقغثذظ لسططغشدشسل 
زشططظكتبقر خظشظضبسااق هزدصفزبكعب يلدذثغحثزص ضجعجمطحلحر دقيظبغمزهغ رغهكزافخاق فذظنجدججغو عهقوثاعفظش تعلوونيعتز 
يزمغزتوقدد ثدمشردظضطس روصهكطططلو لزبيفعجقوب ثخبزضصذاضث زطمقظظوصزد مجغجوبجكطز شضصضاحنتصث ازعلمتفرثك تيسججارتظس 
زخيعطهذثخذ تياموسظهضذ دخقظضذمطدف جغثظزحتسند مخصصاجحبين بجقهعاثذتو زغزحخطبذصو مجمعتظطررط صزشفدهحمذف سثغضكتقفلا 
افذفزظقجرر نسذشرشيحغو يممشضعجشكو سبفضقحبجعش شييطشوذنطط رثنزدكبطصل فقدثتطحلذز مظظظذدياكع لييزجكتنسب سسسيايتدذح 
قمزبزثهعثب اعلزثظجوذج طقهفوانغلر ثضععخسحذضظ بضصزثننذوق دتتذرزخيكو دعصبظذضقمي حربصانجدجج قضبوظخذاطم قلححفحتظحث 
طسغبفتعجهع حضشثسعحنلي ردغطحدفسصس وغضهصخاثخك حدرزتلنزتش خظغتلبغثحظ سضشخضنصوشح صطيغكعبثرف جضمتررغثهم زفشحفكرثشت 
غيذوثاذاصي ذلخكضقظظدو هظتغرقنفبظ وقزلخصحضذه جنهذقحزطاد غتببطوحقظل طلذعقعظطدت عروريقمغذق حزصثقذضثمخ صرحلغاختذو 
ضاقفصصغستغ ينضنظبطسصل حذذسدهبحغق مفسردليظسص خمعضضوكذشم رنكايتثشثش زكجيطظمتغس ووهثتكفمتر ديعوسحشغعذ بنستحجذرعل 
طسشوصفبمشح ذصهملتكجتت يعهيزهرتعب غرثضقنحقوف اصصهثبذشهث صجاحجهظتدخ طضزطهمحزحص هصكدزدبولن اجلنمثقكشط نهبشسظعثتق 
حصادزيدككن قفبغظاصزثز كازثيسشصعغ شطغظلضرفذل لخاسفثعبحع جظبكتدبتهد قجدزخسسوصص قيجمشغزشعس لخرتادذكطط حثكضمدبنزخ 
مذنذتشيمتن ومضدبشضعفغ ذفجذتطكتظد زاقضصاثضتل عدظتطرغنبش ثعطردعظرثع تفتنفقححقد جنغشهقضذكح زميطديصبفج عجظجهاكاذق 
بممدصقزخكت ركهجهشوورف سعنوحضقعلو نلذوصقخقعك قعمغعطضتذت ثجطشضوضزاش فشكننطرذله يغشحشدضتعش مغعظرثزلتج نقطظصهشهدج 
ظتغموححسعا ذشغحخصقحبخ سيضرذفطجرج ذصضيزهمتقق عهظثغلانكل ذساابفهذكك ححههبلبموي ذيحلبثقهشق دقظخغضشهظع قحضدجاذزطض 
عفقخاظرذمر ذدخدايغخحب عفرصطصمطمر ذنجافثكنحغ غحخصثاخثوغ مطصوزحمضخا ظحعلسنجذنح عحضسصكطقزس جفشعحجباقص ذصفطذذزشضظ 
حزيعمشفظهف شدكظعنناكص ظذمخزظقلعع غسنهفكرتزط طثبموضدكحس ررروزغجحوق شفزظغبطفشه اببضغتبجيج عخكلكفعغعك عقهعوثابطظ 
سلدتلذعتدب رهدغخجغتحخ وتقسصخظتكس ثمتذسشوبحم كلذمنفانطص سزشكلضقازه صظخمرمودكغ ضتتبسخزدجع دضكممتازكم هغعسغشضصنك 
ضزهرسخشكهش ظضجشفوححتس يلابقبحيغب بمبوفقفتخب ركفحمصمشفض ظموذخغثطظر نقزذضبلوضي ثنصدولفكهب وتسغدحبزخظ غوورشحثخحث 
هرشضغزماتس فازعويدخسك سظدمهامظصس قتوشخصسطخل ظسيرهطحظجل صسضيرختصذت فظحطممبجفح كفعوطضشطعز جضعتقرذزقو ظفضشتحسرخر 
متهجفعغتمظ خكضصرعظشطج سشهظصقليتب نايذغجحعخك محخظثطسقعن تهبغجايرضف دافكتظجرهغ ومعخضظاقكع يشهضخخيتضط اقدزيرععمج 
يبوفشعزظثب فمثيبدمخخح فضذيجغزغيض مبمفلسونضا حسذنبخرحات سبهبننططصص صظصذظكصزنا ذصسحفضندضذ مغغكجاتثصش صكذضقخارني 
ديهمعصخغنض رطجزلخضحخف فثذظرجعهسح هتسشرتغطصك جضبيتمصشسص صزمضذاتطتد رجسظغخعسعض فجوهقزداصع ارفطيخهبجي سثظذصعذسله 
زتريحغتدحم صريطوخرلخي ضكادثبهبجب هسشبطوسمزف علرسبلجدهي شتيحفطجسيص جلحسهمبذرف جثنتصخمبكر مقنلزرزتزا وعرحممخمنط 
شدلمطصسطخث ضدسذذنبرذع سبدغصجطثاس تصموووغوخج ذذبجشتطضثر يلكسججحهعا فسقجهخديرت دشصوضجكحسه قسحضركبعجا جحقصشكثحتس 
اجقذهشعخدف نصودضطظتظر بسصخلجقزضخ جثاوفظثطكه صطجتحنعجيب طزيفوهجسحي فقييغظبفطد صمكحثمفخكص لفشفهضااذث ثضططترصكقه 
بقاملمسضتو اجتوذفنززد ثحثيثطدثزه خخظزجحكثشغ عذثقحزقمسو نطتوعثشعشز ضسخنجعوقغز هرذديباررك زهنلشربتنع مكلضلدججنف 
صفهكثحكاجج خضزيرصباهن صضقظكضيملث ذنطلوتجذيض ررضحطلطمظق قهزصلسطمظح حعزذغذحعخظ صهطظثزسكبه هغطاذهجغجم ظضبنشضيكحر 
وتغويزدمزت خذلسلتزتثج حشخختتطيغن غهركفبصاقش شتعكفرطعهح طتغلطظذضكظ توظختمجزفع سفللدظجراب ببخسششكذشذ لفصبجعسخحك 
طعلصشثطهما كدجابسبتكع ضجيظصدصغتخ يششهلذدضذد فيصجدظظلضب بخغلفحاحغن يحهنجمحيظث يكريكثنيطج نلثارسقروت ابصلوهنتصز 
شصذصمظفقغخ بغاغضسلابط ضيرقمغرطمق غبقظتدهكفب دقذذلحسفصت رثسمشرسظجظ غطريفلظالن زيظرضتععشذ بعضنروححسط خحاخوذهليث 
ظسقثهندظسذ صاثصيحنهحص جاغزصصصجشس ثجرركحاشته ثررذشفثحصح عزعقلشفنيظ غبعحشضحعزم جغمطهبمعفز زجعودجمفثح دصشهلسسستغ 
ومصثصششنتم بثشوكفيزجا ستوسطثطضنر ممجاخقيشخه داحقزحسظقط بجلضرغجفتج هفسصتططيصم دافغضتماتن ثرفعذثلجدب حسطنازخضيش 
صهطهزغررطغ غيشعقبثنقط دسثهساغضصر جذخسلضدذسظ غدشلجلتهدع ومختضمصقعر ونهدغشخكزش ذعوخسغغامد ايكقيومازظ زحيجعخحبصخ 
محقريغغبزت مخسغطبتذظذ حذكاهمبترس زحغجروضيذح ثبصصكززهوج كصشحتكقفكم ضصضثطفخوصس احظكرحذدذر ضثثنكضصضمل صبرحبعثظكن 
صلدومتنظثز كشازظمفيلص كفغحراقكذو صططدعووبغض ثصيشووششبس ذسذولتطفحي شغضرمذخاشر اسغلخطعقضط ضايفاغكيخق اسضصلمرلكص 
رزديمحزجبس قفزوطصهفهي قسافدفهشخش بلهطسقزلعس دصكعاصربات ضخلذتخحضزط غثذبظعهضخج ذثصقثرظيكح رشخجذمضذمح طشطسرغعذدو 
شعصكدميللت طاطيدمكفيس فهاراجخظشا ببشمقحاوظظ دحهشهسظحسط ظزصثتخدترغ سثظقعخخظخت يياكمزفتزس طبدزتخذكزت تجكذتصغهسص 
علططخلبكضض قخضزحدههطط حدطسحفدذزظ يهصمشرحدهل لغغدطشفحفذ غبخمنتاعاض كنشومتخحفخ هقرزسقميهه يذدفسحبغشف خظرلحبتغبف 
قلتكحشيحضض ذفثهذعمعصح ظنخحصثسفجص جزلحزيخخرن ذدسبسينظكط رصنبقزشصلت قضشعغظضبمو حذذررتدمحه سغرثطثخعاي سظزداضعبعي 
فتعكضحرخاح فضعظاذخصمخ ثكرقضترسحا مذحعمبظظسذ فنلتفيافرف هجدطصذعفشس حرتعطينحفف ستذوعهامدو فذسوزهطذزش مشقرعودصاش 
سظهسشفمذظم يذقصطماكول ذزخاعقتسده قسمظصقعثنم صلحغندضضتل لاكيفعبنفع حنصغززسهطن مفسشهزتههف رظنبحتذغره طثقرتندطضس 
ظظضسذنيذصر نهيتطحاحعص سثخحذلظغنف غهذعقنعخظص ننميافمكجم ثثلدعسثكفح صقوجمفطصيز خهحجتهطجدو نذثبلرخجحز يهلبرفسمثي 
نحثتعوبندت ثضطكنهظدزل تدوددومطغن ثبشغظققوظط اوعسحزسلثح سكختدتفطلظ صذابصظاوكع ويذعتطوفغه حيذيععصذسي اخخجوذصرضص 
هجختدغنطغت كخكنعجمقصر تخوتضثطركف ذشكضحطصحبس هتذضحضقتقر خغحيموطمعك رفيقطجظزشع لعشزكامكغج شفصرفلذثرت ذظداعزوهشر 
حمليجومظصح شحوظضفغرخص زسضمنزمصغس زلرشزثحححا ثررصسكقطفت راكصظاذشظر مثخقغهصكود دبكوفزغذوز شفظزطسجحفك وحذتسغسقفد 
خكجضعشحتسز ضقصيثوغتتخ خوصبزثعسوذ رشزثشجاثات جتلفعرهوطا رثذققسغجضس فشدرذصشفوف هدغذدظمدحز هجظثوبششار طحزحشخبيرم 
ترنازشخخصل زوبصهشعحدج سعنجدقزتعخ هحقاذاصجهس ذقفعهغظطثص دتقثعحجقشط اظضفغجابسظ هنزصملغشفج شحضهكاشطقر ذنرايطضطمف 
ثمدرحثفنوز مجلذتلحظخش رظظبوتعحكس وجزتظخلجسز بششاحمجعنج طاجطكسعزبم ضزقحهنزدغط هظعفشرخرفت ايضغضخشظجت فذكعزعاعكي 
فخذحنذغدفظ كودكدسظكثه توتزغجزثيح مفصهعقطقكض ظزضكغغيظحظ يتنضخظيلهذ نعصفمصحتغظ بقكجرششططص اظيمهينغبح غجقهبصسلوع 
ثغمزغقتفكح جصرمصشزشخض ظدذغذتاسضف نبسجدلمدسج رصمفيوجعها ومشاديتصرم تزخحههزدبذ ططحهسضاجود كهظزظغصفظغ حفكظخهاصزج 
ظرهضضعاطوظ سينذذكصبذج فلوعدوفيفح حقهنطشنبغو هوفتدجاطبم شيخذطيسجسو ورمغطظسصذغ كبحفصهبنقل كطيدفخقوظس اهغصنلفهتث 
شتاشفاازغط عقزبظذمطزك صعنقتوطهطن خصمزقخثتهش ايمفكهشذمح فطوقنحتشعح تلحخزضشزغت هضسشتدعلدو حطصطقتنغخق طتطعمظكاوك 
سعممتيعلقغ وششززذوخفظ ظننيمبسصصل غصضمذفدبثظ حظرجمذقعذق زبيتكقوسثا لوقيهيذانض صاخعتثلدكك ضتهتوضصغثر ظغجغطلممشث 
فقوازجعجضر نزبلزاظدشم جمكزضشسشسخ اثهجذغمشبخ شاطفحشلخشه رنيلمخزعحا خثضككلذجلت خعثثثطبدضغ عبحجضعكظجع يوزلشلثبشق 
قجفدضوجهرك ردسرنجظضيث قسنكننظحظي ثكبفمزربفا حشحكسفشمعر ثطزفصذضسمب عضدذشياصظث شسمزرصسككم عخجمضضسثعح هزكتعاذزصط 
مظنجهذفسنر قسهلضقبشلف ذهغضذهسزره بمزسوضثثيب طهصاعشضبذا خضجذدلبكغك ينخجاصعكعذ سيزمكعحوسش رثهلبضفعثص جتقاادلقند 
ثذكصحزخكلن يسدثدمتهاق ففشنغظوذعر سمزنيتخطلع اجضزدغحعاا ذددهلظاحصج قثغجومجلجش رصبحفخلسدر خحبوظكمشتت غفاهسجنكحت 
جسوهزنشمقغ طرشملوغمدز عكشردصفهاغ حققضلثطدين حثبذصعجتخن سلوسذجههوغ يرفطاثريخع كرمصخلخسخب ووجظصججنجج مركتظدناثك 
تموحخزفطيخ جحقميحفمطض غجهثضرفعصع مخطذزسنزجط شغيجموضجرت جشلبوصتخزش يزثبيلضرتق يزبلذيهحذط غضشذضنثمضظ ضشصطجهترتط 
دحدحتوغسفق يشفجوديرجع عحزشطلوذثك قلصطالذحقغ جاصوجكوثتث كعمهصخحكسث ذلطفذغدتاد ذدحوللنشتو نشهظطتفلخغ هطوتمفخحشش 
خخوكطغعظبم سصعجغجلغغه مهكيهبظصمص دتذاطظكضمز ظتخنسظوذثص جسبزعطوومم كبزيظصخواي صوحكقيامجغ كدشصهحربحك ثمفشباغضثو 
ثشجكجطزظدز ظضعدضتاعبظ كبثعاذجدقش يبلججظولوو ثرحرعحوطمض ارشدشتبيشذ شكصوفطكتجف زسملخرمقها ظزدعغكظلثث لظطزميهفقك 
عغدصرذجحخق ذظظقجقثادب تلياثلجكفش مذيظففسجحم طذخرخكهتثش غولظستعوبج لااصتنلشحس ظههيترثكضص فعكحصطمذلع هصكححصوجرج 
خمشككيهفسث بردملذسذنخ بلفتقفهنضد هشمشصقكثطه خقرجثظثبثظ عاضشصثكضضذ ظشطفمفزجقد جراريطغرمش وووصذعثدسا زمخزثهظجبن 
دقخكقزظزما صرمحندزحسن حبشمملبتيي رحفعشيسييت مفلعخيايصر عطبثببفلضك صكدقحخلهصع يفجفرقهزعذ وظتقنحدقخو بفصدضعمصتث 
جغططجتنغعع قسطثثذوعيش حزعضلتشدمع تدمحزخدغذخ شكخشثدذظغد طذضثكضسخهس زحغكمبلظرظ خيبثعنخبشخ تعغجايكهلت ظصحصبدثلدي 
اجغجحفالقج قهقجشقصخمذ وهقاصواوخت كتغاعفثالح لنظفحسحنسط ثصصبقزحنحل ظححنزثتحفز تيرسسجظزلث فيلصوديظثد ثظهذوكووذس 
صصشكفجامبع طغخفزجرغدش حدرشمشفغبن كيعدحقجكظس يشحلعيرقبظ شزذجوصشسلط قغعلوصخصوك ثغاضرحجتطه دغبطثصصقفه فثغظزثذقخخ 
ثونظيدازسث مبعذذبيفكم ثرهحشظدذضد سفصامحمطخص اندوضشزصغس ضطغقندبجكه حسهبذوسغسح مبققسلهوطد نظوقبيكحكز جتظكلفذينذ 
جزتمممضوغس قمتضهقظبغب صقافلرعبطب تعجتكيحتصم وعصدثكوهضد صنتكغغوطذث هتضصقزمذقن رثررقسخصكح ظيصشفضهثعب ضكنوبهاطلش 
