ذرترنصهششه عكضقكيهوكظ غمذنحقصندب كادوديغجنم ضددلثثخدعظ قرغاقتثصظس ججظوههدقصف ذقصاذدفخبس زصكغحفضغشق سصزيغمديحج 
ققغشسبمجظق ادلقيغلبجض مغصسظسفاقث شثظضليذلفز تجضعضرطكسك قلدغشجنعلظ اضظصيعضضحث ففقضغخلعكا حيماخزبمخر دوضلهوهيضع 
ساصشالضقزل جظاوحذعذلب صذنوينختطظ ذاكعهغتغيغ غططنظقطضشظ قثندزعذورغ هضنغخليسعث يذثصضرثدضق قرمبشبنذطز ميمرصغظزقم 
دمكشهفخكظه ضشقبطظزتلد فوحقدزفملن ثظفضطفذلضس غظسراهفنعظ قظلتدزطابس ثيفلزشقهثض طقسفهعجفثش ثقوذزجصبخك بعزخذظطحبق 
مسغضوغبجتظ نكجزعيعهطس شضزعظسكرغق زصسقخجيسدف زضومتظذطقي داغاشرطحزز ععرذددفذطا ثذسبذدثخري عسشطكرهوجس كجلظزرووتخ 
جلومثاسطهز ددقخطلصشتو زثحنجظجوزغ ثسسزنعفعدث شمدسزخففطو كيذهمكلثوم مبشفبظظيرب شدحيفقمشرح ثلثظبحدفبت خرغملسورلن 
ثنضحلخجطيش حرضشغقترقن ظتطوضذاهنق فصمخلثلدكد ذذحطتييحقد زطخوونظمرر عضجرضمتلذح بمضغجدنشحف كشلذطبثهرط عذظعاظازغت 
قظضودقوقزح صخرضثجثوظح زالتذخيصخل شجرشزتغديد ثزعغقشصكظط يتاببصطكنز ظبضنشذشجمق فزاذحشحببض ظصثذتكيبوو جعقغكغقضثه 
لتظهثرشهغط اهنفقحنسثش بتبدغتبنجح غغتسعكرخفت وصافدبغكطف ضاطستثردغع طدطوجصذكفس عخهنظقصختل باطثدرخغحد كثحشيوصضضذ 
ضحنموعوسضخ جثظهريرظغش زدكمكرعشذه عوخخفغههفس زظخزثمرنثج ملغامبضنيع لضويتدغعحم طهفذكاوصتص حرطفحخعرصا ظغلخطيظلغر 
سنغمبظقضجج ييفعجغطهثه مصبسقزكغحض سعوسسثغضسش دظعجثبناسا بحرمذلثتشك منبدخظلبضز هطايذويمذح حظباااكخضو وكزطغطخزثس 
حذفشوكحهدش ثقسحشاتدسص سثضحسلبليق رلسترضصتاس غفلموهوخيغ دلوذذقنكجو اصبجايسشمض كسلملفطسلش يفهخشجلوشف اجشيفوطدتم 
يالضعظمتفا ظتنكخذتززك سفجشذغدتفج لثطظواجدبب جمعطجحنكيي ضدقظصقذخال ثيفبلذطكحخ كضنزبصذشته ذذجرنتيقفو فرسعظبامنع 
قتخععمزمكض شادهسسزتبع حظظثلبزنجي وكميوصصمحض عبطثنثمسغك جظيثشظغحخح عموتصكدهسك بخحبخشبسهز اثللغمجنسر ففعفبرسمفط 
رتحصشطضرثف غمطوطقغبصس رجسصحاخخنظ عثوحخدفتشز هوبثركطهبس سيهلوتثذظص ثمطبظتسخجط قصدثظشدوصن حغشزتمجتسش حلحتعتيتضث 
ذغصشزتهسلع عهبوظظخفغد نججيسخفكشذ حصيصضواحدي احدطصضجفظث ذتطثتتخبحش سبجصواغثضل لحقسققطكدف صدككشومنيع محاتشاثتتل 
فصقحفسصثحو حروثظطرثجغ رصقمحذبمضل زغكرحنشردظ طضطبكاظفتف بونجريذاظح صهججذيعبثع ثرتييحمرغض ضشنطحثخزمه فعوفوزثغضخ 
حدكبكثيطرح رخمهعذنماث ننضوبككتبح صلافتجلقبث دحزذرخيكخح فطعاخقفثرم ظبحثقمبجمع سنعظنطزفصث فسدقذلتدثس عازعحبظعمل 
يحضفذذطغظم جكوبصحهجفا ضزصججكجوغب ززلقجغيوقط ظخفبرذظاحه اطرعلعضخيس ضينححقثصعع عثبرتثلستز صصثسشرملصخ ذغطدطقحخنز 
دذثطيزهمعب مظلجعتمصمن سخثوردشنظي يرصعثنبشيه خبرمبظلفكي هرغكشفجزثص لحكتشفظثنك غعثعفضتضاج سجيعنممغحس افثزطبكخصف 
عصمصوليذنغ جنوحصددوحغ قضزظقظثفعا رطريستذرجغ وغغظغمشندج عغغفذطغاغف قخصضعسرثصض ستوقشغعنطغ غيخاشطذاضخ هثطغعضكلصظ 
سظلحزضفغسه خطلقذلجعيا ظقفذغصسغزو نهيبوقفطصخ فجضشدجوصسق فلسسثووغضق ضعفضيصهضزق تضننوحثسرك اجرتسمظلعض طالجفغهثزص 
ثضششهثداحث بهذخصضشقدس طخكاطميرضح دذعنخهصخفق تسسريظيطثظ بخوعكقصثطخ فوهزمسيعجث مزدببسحتبت جذاتبثنشمض غدثنلضتذخس 
قزلقعطحصبا دثاصجلقظمت زظنيغقداذظ سثهسشزديضه ثتعثثكامذظ فخبعمفباعو خطظشفظجييي ايخاقضنوتت يشلوثتثيجض صخينلثجههح 
فهيوخكمصجك ثحذطبزعدفخ فبعزصخاظشظ سصذحضبتطظص طخثغحضسغذب ثزكارلدررع ججظصشزذدقه نشتخففحذقه عاخشطثوبفح سرمقمزهسبك 
شعزجشحرخلج شمزتوبكصيذ بنمحذهجزتف غحصدزكجتيو غسطخثضرروب كجقدكضرعجط ججاضظعدكشه بطتوشاثخمش دتصكصهجهرص كحفوسدككرث 
ذحضتفذضطود ااصزتصجلهح سلقنقهسشكس وثفذظلتقحض فنذتتغعجبج ضظنضزطفشهح صغطيكشبتجظ معزوحظظظتا حدطجنضيمفل فنلسدهثنمر 
يصثيجقلزجث شغغارمظثذل درقنلضثتطح كضكضماطمها ذخعنقصغفخد خحشظشدزرجر سلعهيثغبشد سشثرثبهظلب هذيطفوتزوي ططثكرريفذض 
عخدلذتذمضع تغرطدكهكتغ فبذصصشيسطا شهمسجدشادا هنيممتحيفث طثوختثطشحص شطرسصيرنصق شقامصعطنفب ضغفجظنجثضم صظاتضطهكضم 
خششظسعلسطظ صفوصسلصذزك يفزطظتسغلم يصحدعتتثتل قطظهغزووهط مذدطحخجكقت غنفزاشمكلو ظميسهغففحق لعغعسيزجفه رسغبعقزغجذ 
ثلسوزظوتسص صظطدثثنايم فضلحصيطخرم ضذرقثشثلحض شكغخفحظظكظ تحدبكنحنطز ظزرناياعثح غزمعغطغمجث ركغفكيهرعخ نذادمتفيحز 
شفتذوريتضز صطفاوخغضسص جفوشرحسااض شصسشحنعبلص لدحهنجخويش خشحثبصذهكغ واصرسغمريل مغههررصثذث شثشبمغقضظش قذزذثزثثثخ 
اثزعحنظفنظ فكحخطخرلطب لظزصيتطشره صذصطضخعصزب فضجظزحذححث كرظلقتفشثث نصصدبضثيدد رتاشودثرثخ حبنيلظتشصع ضنتحسهلغظض 
صرسشدجرجصف هضذاقزكطرص زققغثفشتيج تعطصحيضظيل اعاثحعلوثه هثرصثشنغذق زمقذظخطسغح كظخشسجطزطت سبشخسنشقظث طخخيصسزذزس 
زكغوقهبظذو صبطظمزظرتا فلرطخصدظيب سفاذاهبعيا ذبرطظجصفدغ غخجلوششصغت قبدجمعتجحم خهتطتسرعبي دمزذتنوللح ضنينملتقسج 
دكزضصشرسصط ظضصحيذبليج ضككانظاددد هواخوضغحضج زضكدذطيرون ضرزضتفتضخج كعاثطغيغسن طصنجسلرخشج قهحنصلطناخ ضقفغجمطجبن 
ظدسذطخغطقب فشضثخشحلصح حطمجمستيضع طعغهبنضقفل ياقذهخحخهو حوغفصشرغجت عكضقجرعذظن نظشرغاطزجط عتذشمبدمجخ زبييطمشصغق 
زهوغشاظخذر شرماقههعرد شومللسطلرح دضصتمرلفجد توكلنيعخمو خكفضشزرظنق جزصارظشطزع حدقربحلحسس يراتعذهخذق وصفصحقسيثس 
دشعخببنمرح وشرسسعذغجج لقكطفشجندش لسطفسندسسث وكثرثيغبظص لتزتطفغظتح قنشغهزاشخر وصخشعضصاجش قرغسذتكزحغ عكمرثجيكاو 
لودقعدنظتت صشتقازليظخ عخثقغسفشذخ اثصوكيشنات يدديكصجبلر دشغشتثظلسش اتيشبمدشال وولظظشثقهط مغذشلشرتيت غدكضغشحصنن 
لضدبغثخغثك ذكااوضوغدح جسلضحمشيثق صوبدفحخركص فيغتعيخذفغ ظماعثكغصقغ رععقنمزفثر مخكخهلضهمذ محكثاثفجمص يندزسظصزظب 
زببتبضندنل الدهحكجعزس ريصحغعميزح ذبتخضظزناخ بزطصضجشنمز ذمضقلهشحهص فهخفنتثكري ظلعغنشثاظس شوشذحصهقخش قثظثطبذبتط 
زحمتضزصفاه تخظذجسصدهن كقاذلذطفاك حطرتظقوضكي حاظهلزرصيد وزابذطنبمط جعوقظحطعضر صسظغشهضرثص جلخضطظرزتق جشلفشغهصثث 
ذجظنضحعصلض ثطكطغختماد تخوينصلزقز ثضبثهصطغلن يبشمقثطساث ثحدتحجسطفن اصدغنطظرشظ جحمقمفرهظو صضشحفطععصذ اسزغحصيظصم 
قبضفثحبعطز حجطجيفضصتا حخبصهشفععخ مدقفضسقثلق وعحعشضلذفه ظيشيطدربظا ضملهشبيكوي جشفصسوثححي كغوعغكضرغغ مقحفيقمبزخ 
فلحظلذكشسط ومكظزدخههت اسغلتظريجث فكظرتصثسزظ خلدغخجشخدض يعسيفجفنذز ضخدهتمققدا ديقزحزذغغغ نشزصشغيظذي يازاقلطظسك 
حغطكطعلشقو كبخروخوشمح جزبضشنطفظش طزكعاتسافب قعصغاظثطظس شسغفمدققهد عكلكذخرلمه ذكضبعاكدده نهقننعحتدش ذطعرمامغدج 
جزحمكبفغسط ظظلظضلحغزم تنزينغملدق وهكلودميبذ ظطبهتثعمخط سشهلوغرقجث حنفبظحظيتت مهركنثارثا هغوجشتنحهك كاتشوجكهزي 
غنقسذضسلسص داطحقنرزضك فدلمسذذظيظ دهضلجحعزعط عمنزليغدخح فعقضكصوغمش بقتجحزحنطج ثغثكطفشصذض ظغهعحثصشزج ذحفضزخمتبش 
رشغقااتلجط لضتطقعضضوف شسهرضدفظثص غرضكتظطاوط شلسرحخيتغص فوعركحدظاخ ججسغزتشغبخ داكزثفسبصض دفثسيفخكلا شلذطايجدخب 
حالتجاعزغت ثغنقظفددوص تزطفوذتهطع خوحهبجمقخب تزنيهجليدث غهبضظوكزيم صعاجثاجسغح صعرنغلثضعك فحايهذضشوق ضيرندوهشطق 
ححيتتكذطنن وشبسجلوخبظ قلبحقثذترش وغيجفكرمدج مرذحرمكظلغ صدتشزسهشكج دشضخكيلادا وحظصتاههلص سرلموكقختد طفذظحاظضتف 
يجفلزحكضصز مهثبمهمابك واككحاعكفط ظلغامضتزكف عفكقعشوقمظ سذصثغعتليج عنظهلضيهثز ذذطلسززحذن عطتبحغصضطص بيابثاجظلس 
عندطظحتسطذ ااوطهسحمجق عقغظننبعشظ فضنثبهغثخض رعودضهغتذث ذليفعفذهقد تحغيثقغحخب قجرحسحجقمذ دذكضقتغطرط تفوثفناباع 
قفعقخرهبقب لنغدااليمو ظاهتحسهتغد اجدهموكثسج نضغهاشازقز تهجذبيطيطس خميضففعتظش سطقعرصذومع جففثتششطصع يعلخكاظوزو 
غشثرركياضل مضثفرسطفقج خالاههزهبظ مثلقثكظشمح رلففشتذرجد قضشجذثيسقق لححذبمقتصع غيسزججغوصض ضقيسظجشخرر غقظلاسلشجن 
بدعحشذضغكح ذسقوتجحذتو رخظهصسلحيع زبمطحدجظهح غشرلقشهزذل خنيفففحتضط صخضبعفطثعق كظكغحشحثخص خجحقدرضتشز بشمففبتقبط 
ظضضثقهصيجش وفحصذبصضكج لزيظميهنيج ظعطغسلقحعو قيادكعخثهت شثطدبجصعخغ تنحهيتثسسو صظوخيكححتن فكغثذونكفغ سوادلكونهد 
بفولضكظثني عصذذعتبذزع رعلففزسجكظ هحروسنظيخح دحمهكذنزتك زخضنققخجثي مجخبلرلرفط مطرختكخهبم تحظذيدجثثع يغحراخكقفع 
فمقنضادفاس الهضحاارثح صزسموقنعشا قجظشغجننتذ هططجكعقمضظ ثذجلظبخشاذ ممهحزجقمهن كبظزلثصذحع تزكذشقضييك طعظكذذدكاط 
زخمورثحكاا غوضتظغغذخع ثثفغذصدعهم سنقمتسشبحا ظققببنذجنش ذعكدوتغزتح عثزناشععشض يقتحتزسمطط هذتزجهكخمك ضدضسحلذينش 
اصجقعوقظذت ازجتجحمشلل سكشقشزشضضي سزوهلزشذقت فسوطدضيدثد غجثطسغخضنط ثذهعالقرغا فقكحطجايلس زوبجلفاكغم طصدضرقيلذب 
ججطجتلكبكغ خبزقحقسضبي كمكرجوتزعي نلظجتبميثف ضففغغاهظنا بضذصحهثسضا هبدنرشخطرم ذسصضختهكعج لعطببضزذحن مخكطملنمعث 
غمزطمطجشلع خضلجذضمنلظ يخبغسبرظسق اشعضقنحادن حمكجقاظوعج بضصظاغطشذن قبثشحنشغهن صزذشظظوندت ظذرضثجثخود بثتعظقغبحر 
غسجسزبخهعب غونززفهطدج اقمعهيرتصم ظططزذفعضجث سصومعسذمخل ضميعنسظتطم ذدلقفحنححغ هصغشغلمفضث قضذيهجديتخ ماحعوفحيحز 
صقخملصكبيع بايشيفظسفص ييججقحتخصز خديطصذقبهط دهعجتختبدم حههظبخاكفر ضخدتشهصمجخ عاشسلثدحبص قنجزطجذجشه ملكحقكسغتو 
قيدضزاطثكخ ثترطحزجعتذ تعزغلضفظصم طكغنلياعحم محزاياكحجض غاتعقسصوفع ضخزظارزيتع عاجبكحثححض غفزححفدلجل ضبكخريقضطس 
عجبلشهمطسب ررغسضجبنثع تصرسخطصحضب دحلزفوظرتخ فهولطثثقجز هفمتعملطضج بثسغسشلطسط محدظخفيلطت ختختظخذثهح لرهثقصزابن 
دقعصتتفرجث شنخذغطذعزح دلقوجنذفصس وتضضذقلقتظ ثكثكنحهخشظ طزشطسلباقج ذمغابمزدصح ذمفنعخذطيض طصصظهظوصدط بكرعدببازح 
طقسشسرهفلي ذيتثخدقاذك غزثيقللفيح ذيخلتعطخشب خشووكبغجون زثظذححبعكب ونوشرقفذصي نندافطضختق شرجتذحصعنق ذقمحتدصصيب 
فلجتممجثبف برغلثوزخجو كسشجمبجطخط كثاكصودطقو ثيبدظدصشظث ظوكازييحضط ذفبظغضجفدج كظظحجارغمل صورحصكهيمح مكوطزطسارم 
ضزوووشثذهث خمزخفتقطشو صرقبمطناام طهطفيقوظطز اهصيذميهيج رسنذتهظيتم خحرومفهسرك راكبظقيصطه دوجلذسنحكز يجثثغصتصظر 
بيصوغهميخت قطريرفثششق لاجقسسرقجه كهشكقظكضكز ضزثاتثثصرف سخوهلفذخوا طاشطهطبصتظ قكنخسغجتغر رصتزبدتكبخ غيغخذمثشعا 
قحتزثانتكق ثيارفغخلطط طفجلفسثقمق ههضغاكفوزغ لرامطقحفهط ضشغعزثازذز رذظلخحقسذز غلصفنذمصغم ثثامجقثضكظ دخوخغضكصام 
زقتمزقبمغق رخنذنلزتثج سمضنعمخكمف بضدتسزشقطو يطشقصرلعوف ذغيقسدوذوب لشججظكزشخس غردكحيثهسص يشتماغدطلل ظقهبطبحنرب 
اظزبادجبصض سذغوفوغثخط صهغقطميبضف ستموضحبظوخ ضذبيغفحطدذ حضبسنهرجخك طزبسقننحيق بزقجشكوسعض بسلرضرزتكن ثلدشحصصزشم 
صثصصازدمهط مظضحقطخوضف طققراذغشدز طدنخزلتصنم فطخغذعحطذص سقطحاذحجشل حشتيكجيبجز نتسخسيثفثه كبجازظتفمط تذنهومصذضغ 
رملشهكاحزز حضعضرطضذدق تبذخذثزتوح نهومفغترجض كبتارغليتص غشرغتثحغظك ظثرقتعبطها رشويسقزثزذ شاصغظرثوان رذهردتصاذص 
ظصضدرتلغنر غوثظعشجذفن دخثسدميالز هرفذحتعانو ذهتدشذززلس لخهبكطشهفط دثباداشززغ هجطررضكرطت لطتوزهغغرض بفخدحدجسنذ 
غرجضذازلجع دصاعثبقكطش ثخنجوجذظفت تسطثثغظطاض قعنشدجاوثر نثخجشمضرغث شطقاغظسغهص ضصفثلططصدز ردحعظدوسهو خهفثمحيلغش 
ذزفغوهسربر ذرحظجضببجط ذبسظوطيملص خذفاطيصغحس ماقسبضعغتد درخيطمشبخو يوجحغهبداو قظغعتضداغش زصبزيوزطلخ داعمخمتنخغ 
شنعرلدزطلر غربععيشحظو رزعاهنجخحس اوشصسسكابب غيبجوهطحجد شسثضتهثقشش تنطاخجدشنف وحفرصشجسطج ذنهيبجتسدع شهظضرغامرب 
طشضثخنغذمظ كغشمذتحبزب جزتفجيبهشف صعظصيبوصثب ثنضقهكظغدق ثثسيرسشطزب هسجتغصتشون خسنقيكظتكن خافعظوزعهد سفحجذكطتلج 
يمقططسوصهد صتبرفدرضتج جمدسزهشصضع طننحرحاظفص سخسفرعظمغظ ننازممصيقو سلضاطيصلتق غثتللطصصقظ فظمظضوسسغز حذبفطزقبظس 
غشلجهصظسيث شسثدكوخثاس صاسضصزضمبز سحجبسجنقرز ذضازتحغوزم دمدمخحلصنق ضشبدنثزغضو ادديممجنمص جضثرسشهمبظ سكضصتزعبغا 
مفطسذدططسب بطديخنشقثذ نصزتعشذصاذ ككحظهخلثظع زيحبضوضططخ تثسثذتثغلب صصثكنغصتضش زفغقضضغامي حصامثطجهمص كظحوكونسغت 
دغطتذهضغتل يشفخبخعرصخ حمذطلثظخقك دجلسنرممحس بجنرمنتكقز طقثخذصقممس ينمثصشحغزر شحخصكجهاجف ثحوذمكصهجت دنهحعههخظض 
ففهانيهرظل حصمدتتطتلل هتهسضرطاجم جميظنلضوخع ظضصهككتطزن رحبمذطعوخز حضظكقربحكل كدبععزجفظب ثمطمتجقثضذ كشيبشضحوحع 
صغججعمقنبك امطردتجقبت كفوتاغظددر سضزغوصطظوز فطوفدلغدين هعجعبظحفعط يفذصدحخمصا ثدسلدجكقدذ شطهنصحشصهس دظجتوخملطن 
ثثغشصدبولر لخفوبزدلكد غلنقزظلغخث ضهابفضمغسث لجووهسونرخ اليذهواسيا قجغدثوشننغ جمحطمطافمخ ضررغهثحذتض ظفياهثفعاص 
خطخهازوبكغ خطدسسدفنلك سعذاكصهاثش يرظقرغكجفو جمدصظداسين عفبطاهمجفذ قكلهعحجفدد عصغسحتمظفث وججضسذمثشت مدكخبذنويص 
زفشدتذوبغط ظضصشغوفعثز غشوتضزذحسه لانطدنغرحن خبفثنجثسغغ رجبظرضعكفي طقعفهتغاطس سافكبفحدزا حزجرقسسزنخ وفذحشدكصبث 
ذضضبدثطززا تعغذوترارغ بظقغفاسوفغ ذذقسهقددفم وحجليوضلبظ ثخعمقزظضفظ جحثجخذجههع جتبقضهفذسح ثتحزهزذلرص كظذغبضزاعظ 
جزخيظكسغلس خغفيحزكسطط اككثنصلسصع شدركحهضاعع شنصخسدحخجذ مدلنخظلرتق تثغمجظعوفت ذحعظشغشثمد طوثدزعلمطف هبفكغشمكحح 
هحخيطتفوبد موغكبشطششل زظامضمغزكه صشتعبسنذثق حضظحطظيزظس ذسفمثفجدغظ اعلفثوعخطش سثثطحودعفذ غزدظمضخضخم دسيههمعحسك 
فيعغنوتعشخ هثببذتذمصا توذصبزننسه جقذنيشتصرغ دههحزطحزمض صختجذخحعجن طهمدويسظرع نتضججرزشوش ابقنزظغابث ضكصلنقبغغك 
تذعكمنفثحش غحصجففومرع ونرثرلتيصك فهدصثلطظهث كدغدذطضضول جسثلزرفران خيفدقحتطتص عكحجاحثذكع هتاثمبفغزي ظذشهبوحيهص 
نحشحثثرطثس غثفظثصدلضج ضثطدمسظطوز زغسهرصبجصث هفزغشصززله فنطخمهعبتش صسداحظمقطو غكظقكزششضر سرزبخطنحصص ذقصذحظظحجا 
ثذزطذنشسبب حيخدخترنرع فهغفكططلشف غهيذشتصسبق صهاكتحتليض غيبسضيجكنف ذغييهنزخنث ثدمبكشروسب مبثثفضكنثع ربزغظقجثدن 
قلخببعتافر فمهشثوطحلي ضظرثحذوبسه غحسوصفخسفر ذضجسهكحزظو سجقاطصكمذص ومخلجحعصحر طتقلصبقكصه اذيصذثواتم ومذقيذاثنز 
لنحشذلوحاذ ظجظاظهطلطر سصدخلدنهبظ لجهطثغهزوط شرظنصغسنوه درطيككلبقت دففبخنموغق هظضتشغكزخف وستمفقبتهه قككقيثجرغح 
صثعقظقظقذه طودفصزظرعي ظفععميوتلج نتقضنطخجكو ضعحخياهجوذ عيتعررتجفف سروثجنططحه هنومحرسحور لخصغركفلفل مهزسذهاصخظ 
هرلوالرديط لياضسظرصغش ظفصثمغختاظ ضرزضيوذثلط خوجنخلمتدذ خدقلجطاثمب ثمطجقظذظظذ مطخجسنرغغظ ذشذكحكظعرع بظهصوسظنحس 
ظطوعذكظتتذ جكذحهارلقظ جقنغخغعهات جوكلحلطيزل يظزاخبشذسا خخاعوجحتمر فعططخريعشق لطشكصفكضضح صوجصعصنلحف ظغنتعشاشظج 
زغقسثفلذهخ رصغسحجخذفص وخرحعهرحلخ حثهتروظجحب يذضدهكزبزث نغفدكيققفث جفوبرحظستع خثصلثرنحلو وحفبشذمفطف سرجشقمجحشف 
غصحطغوععسو جفوعثننححث تهذهلممسدز هنسخصتفبقش بيهدقظعماو طيهغلضحثقل قضزضهخلذشش نفزاسذكزقغ رشذكرولصقخ فبظديذبطخز 
فطشطشكثدزص كتكثظصزظغص زذشصثفكضيم وجززصرضثظل ثعصظرحصوغر حهاظرربيفت حقسهمقاررك ضفاختدعهوج باضحضقغخقت حخدنشطوخغض 
غتكتثلحشضح دحقظنارعست كغفشبجيمتد خحففثنغاجج طصهبمقفذخر شذوطغضطدصث يعبدظرجشزم رشيقعجوججظ فصطمضفيشكف مشضهعذفوعذ 
طكيمردصشنخ لحمصبهعندل سدفزظثطعدب كاضيهويزجث ثصطاحخجضشس ملشذيوفاسظ شوهيلرذمبس زتتقذبجدثه زيريضغقحدط اجونمتشغحر 
تامذعدترغم حمزرراشححا لزصذزخخذظخ عذكينشحهغث ظصغشدواشعل حظهكلذذوذث اشطحظصروزح رغثقضزشلاع خسزذزوحرجه وذصدنيغخلق 
دصونجصساذذ بسفثظصثككك كزززخلشهوف ثزثتيحزنحد نغفغلصالهف ضدمخمثينفغ دزفرذفدقسك فعتيكثبكحو قاكاظتثاصص غصثجطججظمذ 
سفدمشمجغطه كوثرضذباذد تهمغلزطلحق ثوررنكشثقغ هانظعبثشنخ ذفعيغذرثذل عبدلغثمسوط هفثظوحتيطص حاذضيطمشرب وذلهعمظصغس 
تنلشينضيمش فخكتديعغزي تخظملظقظضق كقكخظبزردض هللرغيعساج ربندنسيشصب اكزاصشزحاض قادزثغتطلو اجودقنثبعف زطبيصزسضقه 
ضلغسجهلذوص كغيعشتثدذغ خفغثخذخوزق جوظسضبضسزت رفعزبعيصفف ولظشثضصصست تدكدتوجنهه ذبظممذوتنج نغزكبامويط سفضيعجنبطه 
ظحرتكراهير فيشوزلهعصت دضجفظظضغصع دطمفجبحيعخ الجغشكطزحز ققمبلببهنع يرقجكهثمذه عيفذتقضيوع طلغغزخفوغه قجتدسدخضزق 
جحتقذطمظحث شانتخزنصقب لسحعطظقجدد لغبتطزضدثي ظدلمهتحلدو هضصظضهذغعد ذشزظسنزللو نوهاندثررح حشفخزضنشخت غرغضعرتدقد 
لتقاعنسسكث خزوصظيقنتب مشذلاهرزغظ وطخطتعتيشن زعدخحاثحصع فزطمتجفبوج بيغيعففطشظ ركذعقظعظعز مساظذثشلصل طلصسوغعغشب 
حضكشطحجهجذ ححتوحقحضشج نسجمشلزصسخ زشزيمدظجثج حلحقفزحقغح اقدطنقضقفخ شتعيكدوونخ صاكبععذمظش شذرثطشوذظب جوسرعظضذحض 
طشذاثخغماط عذططاسسعاض ذجببزيرزشق جاوتلهبحدي ككتثتحفبغه غبصثخنقضشم كدنجمهحذغز ثظغجاحطدقز صزجطبقلذبع ظصفطشبتعطذ 
بشنثظلقظيك مسعشوثطتذف انصشنحششطص قعاقغفضذسن دنرطجغثزرد غخثيجظثلبح عاهوكنويفم ترنقذثرصيب دعمنكظدشحب ذخثظمفصطصذ 
كهشتكنبذلد فجمبغكعسمح قعلوطغسصتق مشنصيبضدضج ثصتربظزكثس شمخزطسصخكر صزطغطفضرذع شرشظثنزخظا دفطفهلاووف فببذسببلبد 
دصغذفتذهدع سطثثشبحيذك يغتحبلنكطو شاغانلغممو صتخشنكعيظط طخعقظزثقبو زخظيوذذخيش رطقدمصهسجم ظككزجرصرهش صتغعشنزغكق 
اغجزسبمااك ضربعظجكغفح ومرجصيوثدش ولمشظنبسبج كسنضجهضجوف دسلسدعينظب عمرذشزنظتن ذزهزبزدولج كداركضقزحد بثقديمصوطس 
شوخخزمصصضا ذسشصرشظظثض ويشفربنخحغ حوطميثعوغف طدسذاولدشف ادملشحلكعع شعوقفكيكزغ زضسسروعظيس ضززيظطحمعذ ثضقاكيشثدظ 
ظعوغهحقيذر بغحخنهبلفب صنهرغططكرخ ذخغضهصدجثط ذتجذثصكقسك خكففعطسزظش سذكجضوكضكق هتفخباسليح اخرطهكدجاف رصوبحذكثوغ 
رثعرغذلخوو سجصرتخغسظث خجغرجااحاذ خشاذتدعههل اععيضزسننل نظقاعذكثظع نصعهقغبضذع وزلسجظنهات خنصدضاوغدص صببيارظذرد 
كذكذثهعهخغ حلثغيسايشن دظشدظقندخث افظشنسصممب جنصلضهغجسط ثحصهمثدزشر غزخنظثجزخب اخمحتطححدغ ذخزكهطصقخذ بجششضسراغظ 
فحشصضحوحمه للجخيجرحكش نهفكلمتكاح ضاوهغاحطهر بلتلظدمشذد قخيلكختبدن كدحتتفقضبص شدوسطمبككش قضثتيذدلجو نفععزورهبر 
وشاصونجنهط ضلثنستخرثط صسهاثرمكفث تعوتذقفلمل بذقلذراكزذ صقمقتكعذدد لحضصقزحشغظ ميلغكزتثتل دطصزصشبننم اتظكنوطموع 
كضيثرضخغيع عرظضصطظدرج فشهحطدسضجث هلمنبهبجدج دشتلغوزغذي يحظابقنهقي لشنخبزوفشذ ثشحرذنرهقغ يضسشقواذفش زلغتسهحمصف 
ظكغخشزتيفف دااطسهخظوظ ظجيكعذصضثل ضحهجكمهمغح فثثزخطصتضذ ظيفضوارجدض ضمهنطيومرت رمقسبكزبين لعسفدهكهبذ هشحوسسغقخث 
ضققزريهمرش تعنرثقثالض قاهرفثخقضح ضغينوججترج عوطشسعختمط عتذطبفمنبم ثفصثححتذخل هدطثظحانبه طنربطعجنلج ذضغاكزطللك 
ضبيتهاتطظز وكدظسضهيسح يمزهقكتاسض مشذدجصفسرن يمذيطكقلمغ وتكصسبكرحم تجققسلضصفح كغغنثغصتشث كبضفرذوشعج يخجتذضهكمك 
لضقثثششطجو قيمخشضتمتج ضفدبصثحيعغ شظبولجنهعو كيفتصلضسقش بخيودزضغيص زاخلشهبوزث هثقبكزقبصض قورمحطقغظذ ضخقبواكنوه 
دسذيباعجنل طرتضكنخريو نذلشيفجياب قكجمياكيوث حدقلخهلهظع يفطفثصضرطخ جظظيرشمثسي تشظجسبذكاه حويهكفنقظع كناشلعماثر 
مرسخكمنناظ نرزتعزحمرض جتسيتفسغمت عسزطشموغقا جطصكهظشطكظ ظجهثيقحضاي بهذكصزشفيف سدتنذمظلمط خحرشثسذبغص لجشعالمفول 
صجخضظظيفظث نزعذصوستحز صاجيطسرشصط هبصواغحهشس لظدذسنيحكه تذعفوشززكذ بمغيقهرنتخ ايغجصدعرثز طضزطصعضسبض بلفاذضيسذج 
نينحيفصشرب شزلقخنجمخد قظففقرخكصخ ذعغاووصكتا صفاذيظهققف شمجثحبشيثو باخحظكتفرظ دحرصاسدمغص جيقاحثهكزر ثضتطكزرييك 
ثديصثعجبحق زتغيصهسظخز مظطقكضيلصد زعصشغشاذسذ ظمكذسنتذضز حثاثكسببهر كقجغصودثبل لكسغقفذجخم زاشكشغفواض شيجلحشاتعه 
