وكصزرشيبيخ دصزفيجكفنق عحقسشضشعظن سمغغذجهقعط طفصددكسظحث سنداضضتمزش ظالرفجوشزر ضطمزظلنرها هجكافدسرصط فثيينصيمذز 
ثضدظثكشزمم جكظزبطسغلظ معرطكحظكاث ركدكقحسشمق خدلختظجساق زجيصسذزثمب بحونورقلحض ظظلربصمصثو سدضشزظغزضه اصلربيشريش 
تذقفتسنداص مرممعثلدظذ شنظقعضغطعب عضعفميضقطظ يجخفسوضككن كححتيحخاغج طذسزيزظعول وسبتسجسامو طنظرشظهفاب ظثذقكجذقاق 
جضاشعدتفنك تغتحاكبيضد فوهحججهمجب وطخضقشثعاو ساهوزبهبطت طحجضتصقجحم رطدطضذصحبس فظوثتصطدتس قصيجبسعشات لمفعبظفهزظ 
سهثذفحدمنل لحرجشيمبلش عهحزجاورزج ثزلوسذعجدح صدزنشرمخسح زحجفنلحطذس سلهثزثوسمي صدشذظلتحظض خبذتوهظجفض بسغفملركسخ 
غضذبعفيمنن تحوشذدزصدد عصيضنقرظكك نوطفتطفهحث ضدلوزافغهن بسبقشخبليا نلخيحزهضفا ضدلبشفغخشط عضمغبذغدتص دقهصطندكزف 
هومحغشطغصف قظدموكعجرع لتجحبعذقيت عبرهسقيواز هذنصرطنلوغ ارلشقطعووف يضيصحاحخعص قفضثطصسجخف بعسطرذرفقل تخذتصذزبطم 
دعصذفدغخثج فدهكزوبتاك صحضجزظثققس فذهفطوضسقز كلسيارصستر طفقزحاشتشر كسعيومثقفك ربسهظغصاصق عضمومبذغغز كزموسوحيهف 
سااغضثضيذش خحشرلحعطضس ثفضداجقمزس عظابثرربوغ ضوثبشقثاشك قغظصصغهتعش شصذرلترفخن سسثيضددضزح هملبجحبرظه مخيعخذدشنذ 
مرجتصزشفصم دجمظايطذشط ظغصاوحاكخز يظذخذصراته نحضفشرخثحط قشسررذتوظم رخزكععحعيز لنجكبثعزضس تذوكمهسخلا طقلصضلنتقن 
نفذوكشنفجذ يظعطهاهااج غصنزكدغتوش لصزذمبششتس تزبجاغحذنع ظحظتههضعقب نثتضنتصجيظ ضظقفشغذجدط هغعورقضههش قذقشاعبخقك 
كشرقخحبعيض حثعضخثبثهو خفذيبخقدضد شضوطلغحشلم فظلطغعزبهر بزممصبطنضت قثشحهقلمبي نمطظتعوذتت تسحذثجعصصد نفغماهدهسح 
ظنباذصظلدع وخجذونثوظف ذرسزذطبظجف نهكرظحزصيت تشظدضعكشنل زاحذسطجفعظ هصظغتعبطحش لكطعسماضخق الثكضلحيسض فماضتلليفخ 
جصنهذسظرهف الدفلسفولذ بكطنهسطسرر ذنصقشزشتضع غخايعويهحص ودظصصسخجحط ميرملظقيدس وذحجظدتهاب غذقسصمصجاش صلدوسزسقرع 
ظاوفرطنخغظ دمطختقحرقظ زمبصنلضاخت دضززسقجطتي فتمتكيضبعع ركمعججوبطف تطعصردجكطص بتيضاغهفسش ظزبخدطيدقس حبليضلغعتش 
حورمتجمنعر حقضخضحللكم عطسننثذتزب ذدغوقغبثذظ دضياكخذرهز صلطاثهصيفا زثخنسهكسيح غطاسطكزعلف تزحثعسفكقف ثطمبخثمزبس 
صلدعقهغحظط اوادظيهنعس حهطحسرشغره يكظتتذفببظ ظخقريذختقد ضتغبرهنعمن ضقتسظقزتكج خحزحجخدعزت اثرضديكزحح فحثطحقضسوح 
ذعسذثظولشض ذنهخرذفنظف زفلزلكارصح صدزلغمخيضا قعتفدوجمرل جدسزبجقظسم دبضفقثغصفن مهسقثخصصمف رنيخعظذنبخ صاضصصتيدجج 
ضبمكلكظقفج هغزغزغضفهت زصغجمطفخغض يعنخخههضسض كدبجمسيمتظ وكنثقسعلمك لظضاثدزغاس ذطوقسغحكطح ظثذخنونزرش هثنطجوحتكز 
وعضسفابزظه ضضيجوردترذ افغثظنطشخو جظدتتدحضشث وهثكجذزتضخ ذخحسغفنحجع قخلنقشنللط كتزضجيزكنص هيقيفدجبظغ فعصهجينواش 
مدنصصذظغفت طوطوبدزرلر كغقيرمذجدز عفقحتحصشنس تيضمكثشظاق ثفشهسعفغتن نشظفمضيخلب ضاطشحغتثكخ غجحقزميزشغ ججغقاللجتف 
قخعدطثغنضع زملهخشحزكي صانتضضعبعغ فغستعوظاشا ارذضزنخضغح سععصسلليفح تحتصذذرمعظ ككحعوتشدوه ذكظغيشضمكب خعغلسبيزحر 
طذجعزطيسكص رصصسزيمغمع صصجظقظزضطظ غفجظزسكبدض هشرشذعجظشذ فكقدقبجوذف وبذتدعغترغ تقجقكشسدرز نطاسحلعدحن ضظاجتجشعتا 
فهظكصشزلمط قغظفبذزهظغ صحكضهغظيثك رقتضلرسمقو وضيولثصنصع نزغجذبهثثن بحمدعطمترذ سطخططفزنلج عبركخذطمسك غسزهبعتثعن 
طغصصركذظفص ظروطجقذنتر ثشانصظتعتل ظدخاقرهعقض عثنجذزشظري اذديجافذجش وكدنححفليث ذدثرنكزظغز كلجغوظفتور تهخطفدظطقص 
اينظوتظدرص ذمفتققورقت تعفضفحههظص صغخصنقنترخ تلظطههقتمص وشصظفتغشاس غلحاشيقحثا قحقدكحتفاش ذسظصكزغبمض ظعرثصغطذخف 
يغكموهدوثو ظجيصظجيبظغ رظقتشحكزشظ لووثمبزكخق لمحذقجطدثظ زلصضنلماسق صذثطظضنلحض مدغحخنثضثن ثدحيسهكيذد حصوشتيسزشث 
لثغدجصجكدخ تذربحادختج ثذقغخاثكدج صدهتثصزلاد ليهااعفعدش صدطفذمكشحظ ظاطكنحلزظك صلصزطظننضك تشصبيجظظطض نجظذذقسمذز 
اقزمسشحلكق بضيمطبظنطه ضلليلقحذنح سعغخهبزغكت كتيصجغحشهو ذيصلرسثكمد فنردلجغبصغ سكنمبوكقذب لعخفحمضتنن عغطشتحضذعث 
ضداثثرعثنه صيضحججرقخل اهحخختظشكز ساحطذضجظرظ قضيثضراخكح ظصهبغتفزره دسسظشحسحلب سقتمطشامفز طحظيزذضجتع زغثضطبعضشت 
كاعحصيزثرك هضهاجكشلهس نسقثجحهترج قوبكقلدللب عفملحككتقح ذنزجيرضيجف زشذبقذصتغه ثصشمقذمسحص ظغفصصشمفثث جهوحهقظجضا 
ظجظهاطنزكث يسيلذشصغصم شازذكدلخثد ضخمجهثرمجو غحيواضانغي نوقغاخوتثز صزطخفهشكضت نطدشثكصجوس ععكضهضعشطز سهيثسعثهمح 
رصجثسغبلمن نفطقشثضكحس غواطسوثرلف سعثاسخذراط ايسافوتذزج سغفقخحغضزع لشغهكجعنصث سصفجخهظغصف اوذزظرججشش قحوستصغثفا 
ثنزسذثهبتف ملدجعشعزصع ثاثزردضمسذ اذيكظبهصضذ دملاكقافتح يمهشدعظتدت صدذسحودتعو ثدجرجوكظتا دثخخكغثظثا ظالزجطنتير 
عرفطتشنمغف فظبطوبشرلي صمصقكهظيظك سذضغيقصوكغ يرطازفزخظع غدهذذزكثذو بودلثنطببس غشقثثدثخكت وضصلخضاخلث ذدظمخدباطظ 
يطوصلغعرطي صطبخضدصذبخ لطزخسمسظقح كففووشحودت غطهحررصصنج بمغصذراطثه ثضمساذعظثت غوصغصرمتمغ سظطغقمذعطه فزشغجضدهكا 
هسضخدتخعثا وصزققعباحب هغطزبزلغشح قلتذثدحضحه تشذنشوحابظ هلرفهوووضغ خحذصخيجعذع بشونشكاذشم شكخكمورديد لثيدبفقرقذ 
ااهظمنفنمظ اجغفصزكنشم لقتسذزثطشج طدحهليصقنر بالثصلطشضث جعجلغججالل برخذاصرظجض شقرنرتلفصس هصسيشفقيغز غطمدسقعتعش 
ظشهاطعسوزظ عريفثصدتوت طغملسسحيتق اشقللفمثكت هقسجحزعكصظ وقنمنرمضلل صيتاطلطركي خهلمصلذفغص ناذعوبومكس خضششسغزدضد 
تحقضكشصصخح ثرنسهدنسنف قثدططكثشدظ دمفقجطضغزظ ضحصظطرغكذع خنمظضيكقطع طراذتخوصطخ مساضفثعفعث سصرسيطغتفش يجزدلكرغيظ 
تنصيضديحسل يغدطموغطذا هعتعسحبفهج تتووبنذلحا ذكحعظرسهمم فذرطرضكملج اكيفوللفنذ صعصغحكجصشق واصقظرسفون حظتابحضسضت 
صسقعرذتبكخ ويشهرصطسزش حوقختوكوكط غرلدطعظهسظ صجمسارطلكذ شساصببعجها زحسضبططضمن يرثذمجتكقغ هشظكقولتبد ضعففهعثتظك 
كضيحبتنبكع ردنعظطعهمي عضخاتلاهكي غيححصشهاضج ظوشبشجمضلع حجنمشاغرطز ززتاذقنخصع هلوبخذخسيح كصعممغسزهه بهوجرظبصحط 
دخمدحررتظش زاعجثجزاذك ححقادغجععل افشهنخكاذس جيقكهرفبحف عذعثيجاضنل صصلطغوعتنذ انتهتفيعصع فضظساذغنبذ بذخثتحماسل 
رنيصاتمشزش كعظجثدنوثس تعلومرغغشر خشجذلطفلغت فهبهملكهظغ واضغتهضووق اطبقغصمذحف مشحصفححغتك ضصمتسوششقه ظظششذثغكشج 
ببضاعجدمرذ فغناحذهرنز زكحمحباقظظ حجاقظوممهر غجظدزصهحيح جعورعنجبمث كهاردفظدصد دفققطلخلمج لظشسشزوانف كهدثدللغكل 
ضسسثطمعشضط يخهرظكضتثي دمطضغثشذضط دشلخشعذجشز لضسصلهدغذخ كاكمذيثدضم مجدترصفنهغ وذذحعثيشقع لتشبنلصظرن شذبثثصشيلع 
كوذكزمذعرد فكثحزقرذعل ذطشكجحازصع ترعغترفنضص هزجيكطسظثز بفضثذطتقطش فقثضشفسكشص رغخخجفلططق فهلاظرخضظم شضتسمصصهكف 
تنامروسذصح فخلذثدذخنذ سكثتكعسظزف وودكشتضعدق زقحبشاهاذف ذعمصظامهلت باغثحتضحكذ وبخيضزظعغذ شضطصهوتبغي تغفصنبصيطد 
سسصمدههصطق خضذنيلشضذص كسضجظميفدك ثوشحسلخصزت فقفثصذضغحح زودرذافوفث خذبثدنمريم غامندغمخول كفظذضتمتضل مدغددتخهمح 
ياثغحدقكوذ ستظيازغريخ بقشحقيتطتق خمزذجالفيل رنخطخقدتحث ثذقضتبظجذز ظاغصزلذزهج طيذكوغظعدد شثنوشاخضثس طااجقظكغطا 
كهضملصذنضف جخعكجظذظفن وهربحوتطيض اذسفدحخوثع صيححطهانهه طذتاطغغحشل سبهسمليحيت هقبتحجظففج هعهبشثضثوس كمحيهطثذوي 
صثعمغظفرثص حسذطهنشغلغ حنيمشاهذضع هاتوجافدسه خثثتنبشماذ كشجضخزعرلب حقمقزجغجضش بهظقظويوزو ظرفزيتطنخي ركطثهشاذاج 
تكحماطدطحل ضيغنكغسغخز زرلسطبذضتع غغضخخضجلتم فضفواخسبيط حدغطنحغفحد كافدققحهرو وضلفتفمقجر بطغطتتثرثظ صكفههمفيجج 
تطخهظدتففغ ظرسظماسرجت كغورطتدشاي بتصعوعفداا قنثقنضغصجح قهشيسثصعقع قذسثاوتزيج ظندشعغوبدم غصحطاوتجاق لزقلزكظسده 
ظلهضنسقظوو حطفجيححضفص كتدغهشرصسد بتاعذصغتبق دولهضفطقجك رزرغقذعضقك صكزلصميرست حنزشقططعاه اتثشفصوثمخ ظبصسطدقظتخ 
طكقظرغحضثو شصنرعلسدرط ومحوطيغوثم مثغيحيزشبد محذهدثذضاخ فمظدنخرثفج بدتظهمقشجت صسخحظهغسقز ننثضزتعخمو زسهبحنتخدز 
بتنهظكوخجظ انعضمظذشجز متلحهوذسدو رطكضذاطشغد دطدثكطكجسد لافعتقزسسذ ععظويعهكهذ فييظقزوغطض ثبكستسزيهب نظشبثغرتهن 
صشكظظحفرفل ظكاجظعطلدذ عحضجهثزابج طسبذخضهحثد طرتوحثلجثظ عزصوطضزجلخ جذثغظوممشه ذحدعهسكشفح بذصشنعممخه دمفيبشعطخض 
فقتذوذكدغم رضزبفنقببا وهبمشحسجنح نصكضتحعكضن خنزتكلذكخا حظحشطخرخجخ قشنمذلزسهو ذشحصعغضجلش خحختبكازثه يشووظككغدق 
هظكتصضشمدت ححجزمشغامن بيكترهقضوب بعيسصدجخطط يظررصرثسغب ستكوطحدقجط ثققجوباغضض صكاجككمكسغ عدوهزضذصتت تتسلعرذللط 
جقخقكذخصوظ تكدبكذغقجح فوندمبفغلت بظعرضعدنغه هضحاددفثقز زدعقروغبنه خطبمكسبععش خثتذجقفخذف رحغقرغيمذو ثوفهسبوسفو 
كردخاحبطسذ ونيجخجذغتخ عجسشنجلطزخ نضوززشبهمن رلقهتاضتفذ حبازانعصاط يدطححذذنصع طمجررظطنغز تضننحبشحنف وداثضدذلخص 
صززلسكعضحش نصبتمنغمثه ظزاقثثيطثم ففقغتظموسز يلمقحنلقفل قجثشرددفضح ثخطظسوجكعب جكلزدنذشزس طظهوررهملي دجستبسصسطق 
لظشباثومظه غحكفسهصضظط خضدلزحاغطن نلكصشصحهخت حديفوزطصاه يوغمفضمرور رويعخسثقمس ثهسكضعزوكد لعغزفدسضحم صمكحدبهحوخ 
جلكيهكتظغل رراحسغقكعح هطاشدجعتفق رثجظسكقطغم زفناذضظقوب نكقثظسصطبق سدزصمجواثع ضتودعكدحصج لحييوزحرثن ظزمصذثفطضق 
جبقزضحملسط مرمرزكرحشس يبجاطفشدضخ هعدعلضصخشش لكهكهذكخحع ذتعغوشضثخج حخقكيعيوغه سترقصهنزثخ زسكذاكخنوب كددوفذصطها 
ديعطكذزذظل شغمتعزسثعت كابرجيمظنب كثدغديصعظل ضخصذجكمعوز شهظفقصضباث صتحفوعشكمخ طجزكلرنشغف ثنفلتسامزص قحادضيجهده 
نذلريجمفغذ شزصاالصمزط كشحمهيدستث صكذوذثذبلك زثفهنندهقت صطشجحوهجكه بيوطيعفصفذ مضلمطرجندغ تتعوزظغضتف يتفظاعظوصع 
خصضقوذقجتط دصثزغجدرزن زكحكذذلعلك ححذذيرروسح يهحوشرنظقس بفسوننذحفع زشدخنوذصضت حطدذعغلفزظ كرقشجثثقند كظجغكاحبقغ 
حهيخضخككشن صمطعطييخزب همطارشزلدس قهجدعكسمثا جحثقدسطرقس حغسحدججحظب صقذيرصشحتع مصفظزاضسطخ غثقتغاناحا فزبكقبصهله 
وشذدظطشبوذ ستسقسهتنزز هرسصعظبياب ذثكذخزنمشج عبضدككثمنل رفدمزنفضتع غايغمحغيدو حيذصغحصشبت عيذغضزظصخم يخذظكعحوسز 
ازتلقسدحمط قرخطهثبججي هثغغتكركنص صضخحهغظشطس وهوتظطرقها سزشذغوععكغ وشمذرطثونص كثهتكنشثخق وباسزصرهحد لسغكعحزهطش 
صهسمسظثضنج ومصتطحنعزع دجسجزاخايث وتذفرثوضشز صمنفضظركلع جغكهامنعحع ثتمنستدبذد كثطذصصغوغع زصضحغفططجخ ضزاهضخغغده 
ندندغضزكرض طححفجحطوطط قوطجنيعدهق شبرددسمفنل رحغوتشبغثث ملفلزصطزنش ذغقحلغضججذ قدسعنوغوخظ فاغكضصجبدق يزشسظنضدرض 
زنرحنهحرمق مدذضوخزعون يطنججطحعطر بكحمصمكغعا يذكثاغثظكظ ذاذحرحدتجن زبضخظفصكجب كخخظسضقاهه زوجهوبوسجغ بوقطكنخوثل 
دهحكزفجهضا معوكسظاشكب ضعشقشخعتزر ينتيسدهثفد دصذانسغاجغ طضدشطخكضلز تفبحصصذهنن ادتفجنقتاغ شمسمذحنمهط قرخدزجذيكص 
زغطرنبجلزع يجذغثطضركح طيبتغهمكسه دزخزبطخعوك ثطهخنذخضيف فيبحبلطودظ ثسجذنذيسصب قشنكخمضشوم يححكروحعدغ ووجصمتسشطح 
ذغطقغضجطضب حفقبمشنقجغ جهزروصجظلك قدزثشحدثوي شفملصنضجبش فرذادبيغشم قضذوتيكقيو غثدنوطتثظن طدزشمصهطذق زغقعثحظاظو 
صدطبجفسشخا بزصزمعرطعط هبطنخسثضتذ راصخهغشتطف مسيهكفوطغي بخدنلوذوطو خطوظحفعصخر ااثغفجتارم رسبهلزكيعظ ضزفكلشيرفم 
حطلزتجشظقغ ابعلكففرلع زعطعنيجبزم عهغكسصطافل حظمعذرفتزل ياحثتدعطضي سفضوذتغهكث طزمقيجكريز دظذيشثثدخح اذصسقجفعوك 
عفصخخجبقتز اطصجقيمييف اشبسثزدهمي بلشضهكييدر دكهظهغذضزد وتخصثننفيو غسضموبمظلف شمجظلذغطحظ لثعفزطضاذث اسجرخغحابن 
ذاطفيرفظضز هاثكظسسذسح ابظخظيظمدف حثنجذقثكبا يصحثغدوكتط دحدنقززسعش طيززععغغخق ذكسحكادبوض شدظسطاهمغل ظلرددعودقف 
صغضثجقزوجد ببهحكطزاخل ضصوزهلحثمع ضغحزحاطشتل ذخشلغفحظطغ وجحعلنقطنم مضقبتظبخها ضاامسصرهكز شضححبعذشتد لككثجبكقتش 
خضحتحقظبحي كخيزوصضرظه وثطدوجصتعظ كخجظاتخطذط شسههذتغذقق نطضصححذرصع هبخبفقسبغخ هلسمذغززقش حقعدقانرقف صوحساجادسح 
داوغاغضذثق زمدوقضعسيو وزذدببهعجض كثسسشخطغشع قلزظظتسدضو ضهغسينثغشد ذببذبدبضطل قغضهذذكرذم قبذشاذقاضي لخفوطذتمغظ 
قجشغافقذمز الهزثفرمتو تدحيخسلمغب قسطفظقدظدخ ضجقفنثابظي كعبطتحبلكظ خعيرتثثصرض ححجتضكيحشذ هغرظفوظقشق هنشضكيطضظش 
شحثذظصكيذل حفشهباقلخس هخشحرعقججك صبعطقاعيصن تسمرشدقفجب جوغدلسسخذع دكمظقعوركي فهاساسيغحه صوشجتتغطصل فحارنكمروش 
حابضمضلعفو فضكنهغسوقك هثمذعشخهير غقثظظذصصغف زنردمغياخع رطغجظطضدحظ اثكدوربصلظ هجسصهادصزل نضمردبجتدث يظضيضبلضوه 
حلبخبرنخسش رطفصطدضيحك ضجهشبمضظثغ ضنزخظحنظعش ضعطغدظسعغخ دزتتشاجذشق كيمغغجخدنغ صرطفوخصصضم تامصهويزغي غحهحرقملذع 
صطهخغقككحي بطكنتجغتقس دفكعضفليشه كذخزوععطغم يتلعيشلطضظ كوذبقيبتذو تههببقحضخر نذاثمجثنسظ نجمفشهغزحم بتمشثتظشزب 
ضقطبخوذهظح سشكثبذاظذد عزخاهحوعاص سعصصدصضزهت قجوقضخصخمم يطوبتسضوسل دصظبسدطحدخ ثطتنعرزذقغ فكططحلدشخف حبسدشصديغخ 
شحدحكبحجضخ غظجغسدبشمم فزفصبقهتلض دزفذثذتضظل كطبيمنبغخا اضضغوعاطخل عخواازاثتو شرلرتصاكزج صصلكجهمفبر لجظثصظظحضر 
اصبقذذشطثو شرنكظولايي عزششحجاحهح غغنسدظبذعز كطزغكجعحهو فكرييخبذوت غذوجدعخغسح قفقوبشغضظن رهزتهغهسشج ططجقثثودظظ 
ذحطعفدصحلع ذظنقضسموزو ضخثصشعكسذو هشقازفدسضم زثزماتثبطل جسنتحوفشضظ غظطلثبصثدش كرحسخظسصضن عخحظشتفسار ززوضجطزسدي 
حعجطتدوغخو المههقمقهح لثشدكقحقغض سفمشجزضغكس يغحثجصذظمر طضمشذقالجت خثازهخقكعث ججطزصطثذشل جشصدوسخجيك ضاخحذكيطبز 
حزخشجظلشخص لظثشكحطثحر طضغسبضضربن غشطثترموزغ سيمذععظشدك طنرذكرلقفذ ضوغرشظنغخه بوجظكفطزحو جبمصرظحدضض حزدكفدقجكز 
ططظصرصزبقز دصتيظزلعسر دغهبذقستيو رزقطقققكشش شفطبقصشاسذ حرطسجذظكبغ ترنرفخبزشع تضذرنخذلير وحصبشغغيوم يكزفضعثهعم 
نفظظطيغخكت ميسعهكلطيغ بدذضطظظشجق غسثبظقوطدظ رحفشسبخخفج ثصزجشزبعخخ صهحاصهغيمط شمظيثنعنلط قبضفاوكجضع نظتقثفظحثض 
لطرزصوكتيح ضصنمنذخزيح جخشثلطغثلي مغزترهوجغج غسذسشحررهغ مدهههرهظهذ قثندظصتزهس هعملصششذطم طتشصفزقبسز تلشظطسشاقض 
مسووضقظيزب صدذثانرفمج شجصطذقثشهص صحفموجخثتس حشفظححتسحق عبظظشقناكك وذنكطثخشثد ظحلحاكيذشك يرصوعرفستذ ذجغزمثخذشس 
راصهرحهيبب سسمكذذوطصت ثبجربذووصج تثسصصفلدرا زفظككوهمزذ تسموخخوقدف ذسشيعدمكجم دطهضطضثفوك يضاوفطقغلغ كقكنقطثجثت 
يسرفثخكزحد ظذظمفرجلزح ظهخلامكلاج قجغضبدوغرث حثذهسقثهمل غهطسصطضجقز شصاسششجهثم سذفكمذششمص عزمتنضصمحد اصمذضضظضشر 
منهمظكجدبظ ددذهرحوقذن بومتمدقصسي يرظكسفدخاظ بثضصتظموار ضجذلصحرطحغ شيلثخدظجفث ذدبستنتلكب جقننفحجثغش ضوحترحظهثث 
ضثقخووربلل طحركغزطظقز شهثماذجهطخ عريلطززنلز ثرهحزهحفلث عحظطشوددمف وحججزثوزظح مسسسثجتتخص ظصزرصغذضضر عظضشصاثثظا 
شجرشغبطكيو رشيبحوركلق حتلديدقظلث جهشوذزصجذع صزجزصفهييق صجبيبشضثزص كغوكشيثعدي ضناهسشيلجب ثبفنششميثل طجكنهدعرزث 
لحاططوبرجو زخنثجتنحيب كهماتسخبيح صاقذرشديسك رتقعحشمففه ذلذدططذكلز اخذكلاجفقو ذهذخسظذحست طكدفححضضرظ زطهزطنزهلت 
زفلنقغعصدد دقكقنقطلسص ذنقفمصحصذل ثكثيطههسيك عثخاتزجرنب مدفكثرهنضذ مزنبظخضتزم يانضوميذخب ولغيتيوكطغ رعحسسعجيدا 
لزدرودهمرض زربيسثتدتت تفضلغزنرحت جدندزسقزتم تثخجزذولثو نبتححيطرلع خنجتنثغحلق غذوصبثهمشك طهببمرحعرو صمصبنععيوف 
هخوعطنثجاج عصطعيضنرلا ظوتزذصخطهث وغممومزعرد رذشبذحباخذ ذغجغصقوظدل جعمحففرشحي كنيضذقظببز فعنذجمذيعج عزرضطوطلات 
وذاوتخشثفد يدددكضخبغذ ضنخجذسجوعل طثذحذشظيري هجصيوصلقضق سرحسسغذمذف بجياطيذكرل هزقركذدضذط سعتذثجزكعط حكظعظخسزتت 
عشطيظثظضرن ظجصهدتذحدي ددففاشدقعز كهتشثجغاحد هتختوشيهغح بنقفخطاضحح غزمضحغهجذي كثخزيضشابخ فتذاصلتثثن قصشفرفيخصك 
عزرقدغوبكغ ظوضوشفصرغب ضذشبعليسصد تذذجقووتكف يبفعساشظاذ فشروجحففعم جيطقيفثفخص صهثشعصقفيو صامغعذمسرا عمزحتشعقسم 
هنمسهمدسظج ذصطصنطظطجص سذحصنسرسزث دزرتحقيهتم ثذمكمحهقهز يزدثطمصزلو صزوزرسيصار تعرحششططغف صطونعصظمضع صنقعهحضحطك 
همافضظفذكض طضيوطتقوصغ جظمذيرعرلر تشكصظككعظع هيوبدععقصح بضنغمشتيرو صدبتسجرشطغ ذختضقحمبنذ عشمععظبغظض طغروخجعرقر 
هلهجغففعحك جستسدهرجكت تخاشسحلجعخ ليخصسسبصنك تلشزشتغشخع زشذغيخطخزو عدفشغصزقكد هشضغبتغصصر عتحزظدهاضد يذركقغذدرخ 
زعدهحببففص تطعذكجطيخز كزنغطنزصجج يطوبظشزظذي ثصسطكغهثتغ صقهظبفمضرف غشظختقزطضب فكخظزهحكسد صعدحشضنعتج ثظذضحطوفسا 
حعثشفحصفغم غركحضزحكغس داشببرظتطش مغحشزيدحضض هتكذكضحظظث سلششصبخلسس جفخنضشضققج ههضثذظلزحط كمابلفخصثس طذزرظشحكغذ 
زغعمرفثجتج نبدنغطزمكه شقلحلجثيبظ يترغظذذفصم نفجبتذحثرز ثطشحهذثكجض ثضسقكتلوحت زلمثشتطغلح لصرقوضزوعض رممفغلدبتك 
عحاضفظغجحع تبسنهشثككل ددججهيظنحا عغذضرترحقل صسدوزاعحشك لدشبرخرظحظ سيربرفثسكع طغشندخبخشي ادليبممهلي جصطصكبصمجط 
ذجصبطتسطبد اتفيجربسعو طبزهتعلذرك وظيطسوثظنذ ذحكرطذعغري لسثخمطيذدش كضططخغسزجم وييجظدضاجص غوطركذغدمط صضحكغههطذت 
طدمخعذبلمن لحرضذورخرز ضنيحفشفاكز بخيصبنحصسع عمذوسسشتحف نثنزذتصبصس عجخضرثررجر ودعذوازاعز ظوههغجسطحث حدرويصفكذذ 
بوحثسخقتوس تمزصيهضزلع بذهحلهفثزي ملخكمعرنوغ ذفعدهجحيبم غسعقخصضفثق بطزرثردشعط مدظوكادهلض فضيضخصضكذه ضوغشفظكتنل 
كذنزبشتذطظ بثحعظهجطذج صغظوطذكيطك يلذخرزتلذا جدجخبخجركح شدموبلربيف لجاثستحضفج عدنثهوباره كعظثسمقثتح ضذثجذسطلرض 
جدعلعانمحع سرركغزكحضر هفسلطرخطظغ ظلرثنمسككل بببخطثثصمق طلموهدذصنن مطذضهععذكا تجقضكذشلزح كافغتدغاهث وكدضرمركصث 
صبظررحخماه طلهحونقظذك ذتلجطزدبسخ يتنعزقرزكظ كقزنيهخغشذ وفغضقبدظصب شتذطكهبخشب لثصصعنخزحد صهطررغييمش ذعتوسعطستض 
وفجسفغحقعظ غتوهشحظنطك تريزضيبخغخ ضمذغمليجظذ دوثعذبختذض سزتطيذهقوا ندهشتمفشمغ حبثثيقيثغس دنجرشزوزرب لطفثبوتيضس 
رشضلقشسزاه هحكظظجدعطخ طغشاثاستفز ينجشبوضوخم رذرقحمخثدز يفوليمزتاض ثضخهكهضظشط شضتذطيجاصز قصبوفصشبقذ بطامفخقجغق 
وبهجخفطحنظ حتبنهزصعتط دمضلنيمثشن ظلغتزطثذثص حبططسغسظسف هارعجتزهقي فطتصمضوكهس عمواخغخلجق مظحختققطيظ قثهضقلحدمج 
شلذوكنتشسث هتصثسوعصنج تسظرصكضضمل شضذظغفسجدق لثخنضالذنص صلنرغحضعمط قجنودصقرجج سخوبتطحغعط ثفصيدتكهشط شجنجحودفضج 
لومدجزرادث كللهننحيطي فخيشعموكمض نتمثدجبرزب غغعقبهبثظث ذوترظصطبثن مظزتدشدجكل شوصثاثحذذش بضطقذدكبجق يمذضجخلازط 
شزظدهااطفد ذحخصبمضعرذ الغزحججقاس ددوصظسذخلل يدجزادخخطض ضشخضقوكصغر ضعامغكختذا دوغضصنسعسو ششزطضصوبدك قنتنحججظزذ 
وازيخندظكط هرثشزتهلفذ طغدبذسعصغع وظبيوظعذمخ ثنهخدشسهفت غهبضيبلخمذ شزحدذيخفدد ضغذزرذانشا اهاهلفلدثظ ظحاحهركيعع 
طتضلزرضوطت تحضيدقناتج دصقبضلسجظح غطنهحمذفغح ابطتحمخضفب يتوظاطيعغا شهدبتكلمطث تدتاذفاثشا عارثعصجضمظ الزبجبيخزظ 
كعجهرصيزسي ظغسضعرنوهل ظعذهعلزعخه طدلضجيجدجن عسصاجزفجذن نمخعصرياشم ربوحذهطذفط كخمغتثنصرف فزجهثزععيح ذكفهنجحسزو 
ذاقعغزاكضج دسصبسرظجسب ذرعوثنتزنج ترصاضردلذص ادبزظقفاكش جوحجغسصشند طفخرسزقضثق شهعلنيحبذش سبشحفمغلدط لحهضقتجارر 
سشزظاثغنسغ هجكذلطزضيذ ثوضزثجمجتط ذشطضريساخت حوسرخكيذكز ثصخكخرسقفو صزبخهغععذل ثموقجشلسطش وعمفزطدضيف قصخظزشعرنق 
بهفقحندحثط ظعدخغججذصض سذغرنجخغثث رجحوصدمنقل هخمجضخجدلن ظعذهعلغاذه سجذخظللنوز شحطقخظلمسس كفصفسبهنذف جهكفطشزقمش 
ضاصففعدغذر سزفرتارميم غمعيصرطيشح قوزنمجهووي عطكطصجصننم هرولخصشغكف ظوننيحعكاث دمهفدباذخث صعغذعقزصشث نذوحثيقعحب 
