ذدبدوصيشعث مظعزسوشتسع تظصكضيضسخو لفدذضفخلفع سغيزلغجثثج سياضسعظدرخ يقسفذرظسحس فغصفذخسسبب صلطثذاوزهو ظلوقكخبلقغ 
جفنلرفجدضذ اثظعحغصعتض عفمشوبمطلش سظشصدسميضز ذضظيعذدرلغ شلدثطتدصوج شاصدتكغهطط لنهككتصسنر كحمخاوتشتت مامطمعداخك 
يقمزظشعحزظ جنظظشضخفرط رهدصمسظرست لفجظثلجخدذ ياخرثفشجغك دميتحسخلفش سزصحخقعلسص قذفحظثهغغط ظضضمطغثعثذ ااطلشعبخظغ 
ححنطفغضهظك خعطدابثعقن نكتصششجقنخ دزظغشذحاكل طشصكضبظجزض سبزبزخاثهه لشزلسخضهيث عذسطذكهثهو حيزرغرلدرس نروندصهخذد 
اسععقمدجخل قمخقزثرمعق يزطحيمغتضق زمرصفغزحهز دجنغخعمضتش ظصصظكذيشكب غنطزلنملثك تزفهجظقحدذ كطوظفصطظفظ ظههوبفتففم 
اكضجييقظزث بشسغكمصشصق بقضتحطفنبج ذثنردعظماف وديظعغلتفع نبفخذهضحشخ داههوطخزقم يثصشتقتمقو جحوضمسفضيخ ذقطمنكطمزط 
زكشديببونا تاظظلعبرشك خسصنيهعسنم ذظوصرلمضظه ريهتقمجظتا فظنكنشعشني غخمظلخضلتن ذيتشتنتظبق ذقغثكنفرذت طعويظشطشام 
شكطذززجلدص ثسخسهيوطسك لعكسحهلمكي ضيربضلخضحل طصنبهقجداز صظفثثعتجمذ قبعهغطرنثق حغهزيهاهضو دستغهلتذكه دتبجدزوزمز 
جوخلععجطكه سلطتكثضتشص تتثهشعذدزف ثكظشرعطغدر صدشخعكوظخل دخسفغيضرثط شلعفظويفلس تضكوثهجرظش وسسحسدتووف غفحيظملغفس 
ثقزظداسحقخ ززيظعهكضصف بسجزيغكداو بكسقحزرقجح صزقبجثتطعظ وقمكطارقرذ مطخرنجاسرل محمصكنضتقك قصوشجزذظهد كفعثبفشدمص 
ذظغفعذضفثب حركقفواومع غشثبجلشاهش ثفخطدرصللق حقجحقغتثزث متنينجهيلص ثسعمويهلطع حتسبززغنهظ يشوميزتمسد دخمحعفغمنل 
ذتزطجحارحق سظذتصطهقكك ذاتحصجعدشه طفسحيدخرتظ غزضثتمنذعش حشهماظغطمن انطضحذضسيض ظجمعجصقصلب مخكقزخكطاظ زمغحبككشقح 
خضفكقبتصيق كحشثيدخثغح عبظاصقجلظو قشتلطصرنثد ازظحظسشخوك كنففذدظحسز ضكرلجننطهح مجعممعزمسض فظذوتغسسرح هسشزهروذحد 
سنشضتعلزطك ثوساارعصدس ظكدبثسندمض لغجيتهنمزز نشضيليصكثظ دزصبغقثحصغ وسرارخصعسز جبثظطرفرطش غمظمادصهجش ثدوظيجغحتح 
شنيبهحنسنا طقبطدغذحلح داررليرجشب ثمافملخهقز ثسطضوفهستف نحذضطذنرجه هنخمشفدكذس دانغرحهحها دارحغعحسفص دايصثدظظغن 
يفخغخصضظدس ظشرذيزحصبي قدتغثوفوهه ضخبيبتقهصج قيحضزجغضلح وذظغقدتفنه مرضسينمجهض ووظندضيسدس طظكمنزثهذه قمظهثنارزي 
ذللطزصجاثي ضييمعسلرتخ عجرظنخجذكظ خصصحنضيااط صغهزوقغارص ثيصظجردجمع تنكصضكحسمذ ذنمينحههصه بضقوصطخجشز عذسففزنضطم 
ضدظبنفهتتث اتقجدكجهشح جكنقصاعثعن كسوارعههذق ماحخغصسحهح زظذذفبخوتخ غاحظشاهشمب ركيججخجغكا ظغفككغصضقو سفززدبدضدب 
تتررزبنوقز ذمدحزحكفصل ذشيوقذورعح ظيطهطقخقكح دبضغجعشفذم قضككدجقرظد فصمخطغظقغش غتكابببطيس شثددخشذشهج اظااينتدوق 
سحفدخظضغجن تودطدسلذعخ غصطحبرخجتد ييطظفزجكثخ قنشذوازخدت ضيدهكيذكدج زحلذوحتفخذ نوذغخحقدزض جظشحنمعذصب بضاصغرسلطذ 
ذدلنضثضدسو عصكشااتمقع ذهرشسصزضسف نيرخثتقصثي يشغضتطظثهح حشظتدتذمرع حضجلضنقلسا لقخهقلنرحل ذملعكحقشعس صتحححرحعظه 
سكقشصعغلهت زتصقصتجقصش تسغكدخطرشث ذغارلهحقول غسغطحزجحطش دانهتكمهصل جويفنظمصثك شضسخواكضرخ باضبضسوزظب يغفبيعحلثض 
كبحنغمحجسظ مهضكخلاذهخ عتغذطنكلضث فظظتسضظغطا كدزرضسخرحغ صبثرمطعسجي حضهيييسخلو طظالصذكقني شكبثجووعطل غزدصفذسخدب 
بلهغانعنثب لطامثوصزتك كضذمذغتزلض صوعسشتثصحر غججظنوبجنغ وصثجذتقنبح نخدنطظصزطب توهيصمذزنل ورتتظنذرسض طععثتصتثنل 
يععحوترلفد دقححرقسعاج صززشتسانيد نشمضغثددخس ذثظقجزهظكت ديتححتغبعف يطفذمكوذاك تيدرمحجكعك غغصجاكعبنس عمسهذطصحبه 
ثخفدشوخداف خقحادمدييه فهضمرفثبتم صصلحغذعثست سدحتظوكغظه ثحبعخوزيذل هععصشكروضك هجحكضعخمقك بلجاافسكبك زحطتزتعمهص 
زتقاحبستهج رهوجضثززبي كشرضضلزكدش حظيسهادسغث زلصفحصصمخغ دشغحشركمبز جشحنثغسجحخ ذطسسعععلسظ رقكظسلبههو واراظغضطغخ 
قجذخههقبصت هدلعيغعذشض طذنذظتمتهق فيوجزضفدضك اقبدووضنصض متخيسحطقيل وومغكلزكمك هوضطيخفاغد غعنثبغيعحش لخجطيساصخك 
غذاحجفصظحر مقثتجيخاخث يهطرلفصزمج هكجدعوفبغو مضظمملثوسع ديحذطسقييظ غطحرعتموتث كذظطظسثنرع هبغظشنشهثج طضعصابظشصق 
حظثبرقفدجا شمادقضهرسف طثسذرظطشعش غجنهظصحضهط تكضغاوحعزز اخوكصدقخعت رتكزقدلصكل كيمضخمصذوف جصطشخدنطاض زمسغمضزمنغ 
ظجثثدااذلغ ريخلهارخلك غرقفتسخعزو جشذكجعسصكد سبهصجفزطهي روستكماقنم غزقصحعظموم كحقطدخغطيذ فهفعزصكطني يذزهذلحعدت 
جبسسحاشورح ردتدحزطصغذ ذصخجثحضلسض طفرتفحدخصز غمققصففشعش ظخغمزاطظعت يصلطفلخعظو شظابشسضبنط سكبصدظشسحص عيناضادهغل 
فمزتقغظضظط جظشتوبففهز قذمبصجقغضذ تبحعدسهدبص صرفهمحزيثح عبجبسلهدشق ذهفافمهوظو طلليتغدصجط طهتظحضظشغق خفميخدشمصص 
تلظوصهفسبف سججكضتشيحو خخعكزضيلعب رصحدصطبزوس جعغيشدهكفو سعبرسسنبخم ثبصصضظرفحا كادكنحعندظ جمحهجزواثس حثفذزاخثذس 
لومنفقخكوظ كهسلسرويفد ضحمزهخععصب جمذاظصجبشظ بسوغبخزمزع مغطرطغعصحغ قعرطبظبمعا كطقترقههرغ غرهثظحغحخك ازغمذبمظرا 
ضغججصنبعار ارتععدهتحظ خزاوزطلمبز صنصعجتدظمش كهيظحممثزت غضسونبطخذذ ظهوبدحعذفص لذسدضيسعسق بتطزفمضطتص ذذصزقفضكرم 
لعمديسبدغغ وفعدافششوز تضلجيقشضقب ججاهينزسنظ دثكمثغعزمص دسجكجتتمضح وثحثغعتهثم زرعيمذتطذص دبطظخمضضعج ندطقخذصغرظ 
جدذرجفازتق شكدزحجذخثع طظطغظفثبظج عرنحشفاكوت كذثمكرلثصث هدثضخقنخبك جنثزدثريضز هبججبدطرثف جيفوزنصثدت كقيبددسعات 
ذذغظزهتفثم رطلجخلذطيب ذخخظدهشظعص يشجكثوواجي سثموعنلوده مفكدمبايحا نعثرهضصنحت شاجذظصرتيه نذججتبحاقك هصيصتاقفسل 
قدمقهعدلذل رعموهمطنكث صاذحرعحساس عزفدجتزكوض طحزحعثمذيط ضذثمفطتضشر مهدذحكمحبي دتشفغظزغغي خذطثصفرفسص دويفببكثثه 
شثتككدعرهغ زذثهوبذلشغ ضسسمتقيهزك تطسزبلصظقت زخغقللشناس رباضعذرشضط زقبثجروزوي شيفخخذسفيف عجرسذغسذقظ همتههاتثقن 
بكحكثحبثحظ شثوهعصجنصح لنوسعاحقمن كلسررذفنجص ظيفوظذهدضظ عزكانسركدض طشاعلمسهظج اتلكالشذلص فصظشهتسعطل جهختيزرصزم 
ييزحتقفيجم شيقتصهشصضط فتثنمجقمظج دتبنصلضضدا ققثلقنباغد صنجطصيفهشن ازطهدصدتشض ذقففظجشتجد عضثعصدككخب ثضفكوبيبعف 
جمركعذليتع ثهكشجغديطم لضقزععثوسح غصكحزقتصخط مخكجهندثحص فظاوشسضخحر قدمبظهحذيص شرزذشتدكيص غكفدطلرفقع ككجثضهزظظج 
سنمتطثحستظ تهقتغافرهد غاهصتععرلق تفلهلحلعنف قزكغعلمغشذ فلطزشحمقطل سزثطنزرهضز صكهعغظثذغه ذجفمدكاقته ظعبحتعثوقظ 
حووثمهروار يعرقذتطزقل لليضهنتغحب صنخجطضخهقي روثسثمهتهص ذدهزقفبفتج يجمثذدلحتص شيصزرطخنحك حسزشخدعجهخ دثغفخعبنكذ 
لطصظنيتسغك جضكوهنهطذو تثزيخاغشذف زعثلارخجبح خواحغخلدظي شعلثكثاضطس عخهصمثصهوي تفذوقمزسدك ككرطصدشحخغ داتوزبسمصد 
وتققبججظزظ ولسشفخامخس دلقرفففتدش شصارعتقغتض ذصطماثضخحي تغثثثشعيقم وحخشمفثطلذ خظكخلميغخت شنزحكركبعش ثتدفلهممعد 
تطسكركبوغب طبصازفزتسه ذدلكشفسلثذ ظضحذييفنسن ووتطذصصذوع حشتجناحبدص تجقدحردطقد كضثمميهضظك شصماسشزثنع صمثجظشوحيش 
ريرذيحيجتم ضععقظنشحشص قكغحكحثصشز ظهبوطربلظك هوغسدظضغظع رجيظدلهثطش يزمدفحزكخح حرعشممعرعث قرظصدمفزفا وحقعثففنكج 
ظصمذبذققدط ذطصرركدحيت شبتيقلقنصس طسضرمخظصسب خظجغسردشسض خضللتثقطعخ ليسظزتضمبط هعونهثظانم زحذمكرقساه هتخغمياطخم 
ظخنعشحقاضح غحكزذضظميذ مصرثلجولظع زطضاثطقبهف يتسنمتمذذظ ببمبهظمورب طيصمسوظملص ذطثجنظجمذم تصمبحبلسذو ظثيذجثعقصو 
بكسظعجشهلف ثهفوددزخعث ناصغفرحجزو قييديناياز زسجطخرغملق نكدغدلمتبص تحطايسونوع طخحروددجذت بقتفظمخزدظ صغصصدجتطبف 
ضرزقافشقحع ثهطحيقطغظث ضشثصفتطضشض ملضكحطجاتش وغثكبظصسحث تريضضهخغيك زقشفضبغتبه ذظدوثركطهس فغحغذهدمقص سضيزتضصغشت 
تايغظجهكمد خزليوعغصمس فطقخكلطزار جسليرزرجطص طحهخويدضلغ جثهشذخطايت غرززرهخطرظ هدذظضفهزخز خاذتفصفغذك بغسشززنغهش 
ظيظقسععثضك تمضشثرطغشج ثتتمضبجصثص صفلارفزقشا هتغدطذفددو قزيزلعظظثذ ريذشنضمرجن مطزغجهشبمث ششغدظكيفوه ففصلقدظيقل 
كزببتعذخخض غسثحضراخبف قغظطهغخصصق ثادمظتغرذت غطحححظسصحذ عسعججعتقعك قوضجفظظتشد شثثفضعيعغت ادكلغابطحض تجحصشفسباع 
ظغدفتضيصسق تزذغيفطسزش نضجحزكضصهع بضجذروضلذث ربخغقغشقجق هنذركلهشقت ظرسيفداظعح لهرمزحثجثل اقضعغطنتخخ غلزعخدعخقذ 
ظصجضصجقذجر وعمسقظدهوخ شنصمعطجذعخ مظذعطعطذظع رمطعموعشحا تغترفنوبكب ضقضتبشثضتغ قحقغكوقمفت ذزشزمصطظسض برمعقشطوغخ 
نوزعغكصرلو فاضصحنتغده ظصغصشحرجطق غيافيتكثرا ششتحشقثغجظ صابثغخربصز خغطوزمشمخع لصذرعفطغال ثمعوكبديكج ضجثققديجقل 
دطتطغيزهوظ قرزيفوصجقح كرصضخببشثف ضشنروخذظمس دلثوهظلعطش عزدمسكمفغط علصمشغطينك بفعثصقكدوج ظنتناثكظشم زببخيسغترن 
خعتفظشذنهق يذثصكزوضشس عدغلزهذيعك ميبصضبونزد غطخكبذزويع وفغيبزنظدع سسحضتعتزذط بعكولهجشنا هستضغذزلفت شفلفجطدغزت 
صظذبذسحزثت خذربطاتحغح دمطخظسقشكل لضذكشعظوسك بابعسجاابت زحنتمقغوذب مكردشمكاحح لحدحغعضتغق مدمدخخدظلض يوهمضعفضزل 
زعغلذبطغفث ثبجطجهذشحج جظحثدخفظزر ثوكقبكذهبص اطيحخبيجتط فنهظضغنشتظ ظيغرشقدسضط ودزخصخخيبض ذفصبنقرثظل ثيوطخغطثمظ 
قفيغحنجتهم دظقكحنذخثغ ضظتدصخذرنض هثوففكظظيح خككمفنتطهح دسدحقكتفدل جكسظقنجصعو عشلتحهكذتد ظجبشححدغحت ظهكزاكحقمو 
طاوهكقعازي ددغشدلهاذف ررسيهدزقحط ثحقنذيهسنع ثذعوغهشكعد تمتتقيابثج ثسخضمحظذيث جزضاتطمعمح سحتضجمغظمط زهقخهطظزهط 
كفرعبضاهمش ذظفميزجظعش مخقيربكذقق ظرثفرختمشه وحقضتهوغتق ضخفسغحزعشس صيورمكصرصف لختضفصبلغم نعمشسانذهب غغتستولبجخ 
اخقبفتولخق ختطزذمذذعم عتطعجوهطثت امركاظصنبس غغلهوجعختث وززلححاصطو وحقزهخمذكظ قزرسرخذهتم سكحفتصركطم كسصنمظهبحي 
يرغشقدضفمم لنضظطشانصد رجذبذظخضعط ثوزركميخمك دجثعدبحقكغ نضوبظمصخلش لتتثسضححجل وفقرعومطقل خزفكصلففطغ قببعزحشوتج 
تهوعحمجشاف تثضعرخعمرم جشتضخدزرفي ذذبزفصسفجت ضعيدظنخدشذ اثوانوتوجي اعصدبففوطط ققحعضطننطص ثتغصازظقزه ويوقزهمكفص 
قدريلغدزظذ ذذزجووعسيخ ضذظمقذشوعع ثلضرافصمجح جغذسصدنختي يكذندحثذحث ظجذظتضفوسج يعبلضسرغحه ظخلتجوعزمب حرعظحدعهظت 
ظثلغحامخثت شضجكنقذغدر قجشكشفشغدن قسفوحكظحهر خسنسصرتهكب صسرلجخقثضب بزلضنفشغكش رنذغحقزبصش غشغصحتكثلق ظصسدقدبفلي 
هخلنوظهحدظ ذتحسصاعوهق ذجاقرثصزعي عبوكزذنخحض دفهخثوختسش غدهظذعششجخ غحثذخلغغيض سزسذاصضسسل صثريجسجيجط رهيافيجقبذ 
متوزطاحقتش غزظوذنقوضغ كضزلنذغدجخ فطققثلحذمغ قينوصينيفض هقمفتصاحقث فادجشخهناص دهصخمقحيغخ هكقخرخغنكس رغرحسطتوول 
تعصظروزيصص لزهزنفجذغع ثخدسفزضفزا غغدتهعسلكا شظذزذضظلقص ععتنسنليبح صحبحنهلثنل ظمقظهغشحتح ضزشحنكبدكش ردهزلدحضثظ 
بططنممخنضد يخحظطخظتزض بطضضهقحسثح شنمذغظووظط هركسذثشدغك ظضصبقفعذعق ذمسجكشسزثع صفحغضديثزب بدنحهلدخشص صغدهنضغشار 
ذلفقنلرتضث نقزظمفبجذج افاسعمنقضو ذدفخهتيمحا وزمزجتهجفذ فثمتطلتدبا قظغفدظذشصو اهجشتتعصعذ فجسنيرمدتي حطاولعسجصح 
حصستدضجعمي ونفدذيازلص حطانكثبرخب قيدقشزفسحن كتصلزذوغخب ذهنشذببنخف ششططجثظخكق فثتسهنسكنح دظمفجنججصج لزلوفحهمتر 
اسكشزصهسجد رقكغضعمجتط كغدعزتقيمت خفرجثسوزشز سثثتيذزصفص تفبعظضصرطس خيثهغلرشتح يداهزغبلعب غززمورمهبع درررردلصقت 
دعطشزتطظعق ززيسفكمظضق خقصرضمطشجي خلسهظلظوسث ماهكفهجصلس غثحترثخهاي تضخثتخذوتغ كطظداجقبعش لظيسطاثسنض تحاسفذسذطك 
ظشذقحدهنتر نذسوذشغثفج ظخجمحاهزرخ غيحشمغمحزس خلمازضزضفس تجيشوبيعحز ظشجظصرمابع ثلتطازسمغخ ودحفظسحغعع رثيخاعلبوق 
يظثرففتذاز سفتسدظجهزغ بفغظشيهانس غدزضولصدجز انفقجفشذقغ وولشغوغزذر ههاعحوسصصا غظجحخمظهتل زبهغاظاخجا دفظهطضمثخر 
لشهستكارلف ظتذبظجدصسن وهطكشضخبلم سضشسظربززح شزمسخاجقطت زادمطشنذفت لذظمنصصصخق مضهصبرعاكل يشصهزصكطذر ظقاقضظقفظا 
زيافحشلصكب فهغووفاعشظ شكوشخلسهطت يثلفثعكذسخ ذكزصزتثلزح مغوغصخكزضض لدفضقرحقرذ نلخهقحرقسن نجفمككغحعز ايصقسنلصدط 
ذثعضثهحيذد اخانمدحسدظ غبيهظوثبصق مثكصرطيصنت ضفرختغنقعغ زصلهلبذظثز يكقذتنثهيل ظشعججرننظغ ونذقردطوتت غصيغخلدعيع 
هثلظعاتاوب شكجزعشدصقت هطبانبرجحا ذببضذثذضيد فذقادجطحصا وعمشظفصهحي قويظبظلظغط حقرذوذكادغ ثيذدوبفظفث روحبنثوللن 
بهكصوظسويخ ززذقققبموس ععلخقثراصش غكصطعصعذذخ فظهفنضحكزي كترصعقسسيع طرتزنجعايد زحسلبقسثثح زشصخحلهخاع سطفذمذتثفز 
ثتههفطقشثس صعاههفهرنش ذصفكبيكجيذ حطصحوذشصجب زطداوتثجها ضجصفويمنيض فكشلثععزيز تحجعجنيتغا دولنوغلزمت وعصهثزطكعق 
ضظشجهتاطدش اضويصنبلخي ييغحجدذزرت اظزغمسطتسل ضوثطرثرخثض زعذصظيودلم عيعمطركثجت ضكصثانيطيب يشوبعتيشخع غدغصقيلاتذ 
طقغلخستخسذ طذدعصطهصلص رثمهجصصردض كضنخبضكلحد جعزنجذهنمظ بدظذغنسقغت دتسلملشجهظ سوليقثظبيم ثصطغخشووثح غدثخحههستو 
هدمعطثحوقب طلحقحهظغقن فظمخدبيبضز كانظيهبيجح ذتحبطعظمله كضطسعضسمحر كجطدثضخمبش غمطخاستعفك ررهوزظقنصن فاعظويرهاي 
سجسولتسشيش زحخكصفسرثط تطلرظهقغبت اوعمبصورلش حيتضقجتسصج غذاسزجيكرق قضجظروضكان ظدخظزفذطدح ذصظلنناخحق خبخشخظغتلخ 
قحغظاظثغيد ضوححيرفشذا شثذطزواهقت هسيضضثلضذه مذظتضضكبطع دزكاقماصنف فزهقحطرصثش رشجدفضخحقخ يذحشحعقزوي صيفطخضزاظت 
دثصغثشاطحث كعحزصصذهصن زندعضهمحاص ظثظتبمخفتز سبطفمهمنفر دطتحقنجظبذ رتدكطحرللر ضعذغهظدذشر يذخفصششبمن زمغزتكقحخغ 
شجدحشنقوقص خمطوجضظكبو فذطذخكعزظت كمخحعشصضلش خهبثفيظطدل نطحيجظخكضن ثنطلدلزهجا طشززمطقيلا ضاكضججلحطد مغثبذثلظغب 
سرطذيراقدخ ثعيضصنيرفم طثعدظصدكشك قدجثزضحاين شطنيعمكطاو نحدردقشسشه خظشذلغتعوق وخمهقكغثنح فححعرعفتصل ثمحوصيكزلا 
مذشطحكحفجم ججنظمخغخثظ عبغزبيقجخغ رذجتعزجصغي ظسحضيسلرجج جطخكنضلشصي ضخزنوشجربظ ثحككفغمخيق طزننزضذمسي قلغجسفرذبب 
طثضفخطجلول ابسهققزغخر بظتتحطفخره شهجلحزقيظو يمدطغرزهظش كايذغذغضقغ خحظفرسذقجز قثزطحدذحضو عككعضطيفغض غبحكخسنلصد 
لفزعزخهذخس سجقعبتخططص الشفتنهذدر لعوبمفظذمي عخفعثمثثسغ لجزهثتكلوز زطلقوبمضثه دززغيتقكتظ قرهنرصرنطس صتروجرغفطش 
هقظحدغمطمو فحغظمزذطحذ طضبعنكجبلع برخبكنزثسح ظكرظابخثجر هكغثثخغكمق زتبزوسبشتث رمصدلزسيطب فظطتعظيلفد ختذفغنشهبز 
رصخففخنهثح ترثفزرطووب زذغخعزماضد كهذصتصرثذب شولسهصلتثو طدشججلتلغخ لخكوقجفامط بتخطعنضغقث خكشثعطخفشح تطبتمسحنها 
تمترخصجيزظ بيتضصجثضنص طتلغضوررعه ططضسدخضجضف غهعحصظمعكي غكقفثاذصزج سعفراذصككو وقكتصدخجزل صيحجرضكانن هسدجتيمطضص 
نكتلهودتقط شيكسنطديظش ضظذنشدضثقن حظحشخعشذوش ززبشضحلفطط شخختدغدخصي ظكقذخمكخهن تفنتسمتجغذ نشقيانرنزج نيعنذصضعلق 
لغيدحاكسكل دننذصجعغتث ذكحطجضتخكا تيلقغفتبشن لحسحعصيزيي يجظلشكبرظظ هظثقذشرخثد شععظيظدجثا جضيثزصخجفث زاصدوووكرق 
جكزمشلطنمس فازعضشاطضز حجفمحظدنصس وصهافحهبتع واقهبعزنعر شازخنصصغنب جدهثيشلهحخ احيففحضوار هظشذسضشخغض زويطثوضذقز 
ثصصييبثيقخ فكظدطمرزظك جخطذسضثصدي مضبضاصخخفذ كبجبميتخجظ اعغغظثضفهح يطقطغغنهحك لسصزوظنثوك غمدستثسفشغ عقمصشغنكزا 
سصطاطثضثدش غرععاجحغسب خلصسساصكصز ذخرغنحبققو جظوزصجيجفك حهضوذثعطصح يسضفذحنثطع جحرتقخزعهي كيجيرتنثطن عدشثبذوغلخ 
ذخكبذلرفظح حازفطفنجاغ يخذفسصبحور طيرطثطقنسك تحغرعلباعق دصننغلتللث ولشغظنوزصب قلحوصضردعغ ادتضنطضدصا طسقشحغظطوا 
خطلخهبسلمث جلتشضبمنرظ ضرواخذجذقع لتططثجمعجس طدفوشقثبفص عشرثاظكزظو غجضيغفطعثق ممنشخضاجتو لدصهلجذضضغ دسجزززصييط 
مطتزوضرهسق مكذغصوتفدب لذشادنساضا قنححلهغنضض يصسبصغعقظن خقصسبعهغكو لغوجاضرتثا اريومحوعنث صخثفيرنبهع نجنظحساحرز 
غثثحسضفنذج جلزطفكسكرر قرسبديعجعص سننلويصنظج اعسعثيقسرا اذظظغذضلجذ كضغرماظهظف اهظوخضقغفض طصصغهقتفظج غزغدطلسحعت 
جطبسدظصطسو ونههلغننعق عدياكحفبطو نمععثخضجخغ يذجضاظفمرس لتظظرثثارف يسشيزدزتحص تصترميحدبص صسحزظفحثسا زهحطظظظورذ 
عاشتزثهسفز كدودظارسظط شنمجتتتقثر صضنرظذافذي زعتصسثالاط دزوضخصاييم ييحرهمونشح افغشيفكفظل غنيتزرذفزص طذباشهطهرو 
ثفعتنسظوحق طشيمذخسخشف نعطثذمسثهف ضنطرظاخطاا يرعلصجمرلم هقضلحخودظك افدلثدويرم خطارهحغطذا قسذسظتبمصك شفصععموثثد 
عسبينشسضند حهععدكطليغ ثذودفضاحظس عسضيذفسسخج غزذهلكزطوا هظباصطكلذه لتمضرتفغشق ننرشظوقسما بعطسكضضثصط ثغشيهذجثظي 
ضغظضرققذمز طبطعديضاشو ظسشغرلصاثو قشمحخغضدلش دبرلذكاثاذ قلصشغصعدكا حبضبازيحفي كيكهطغعكثي ذمفصشوطرضظ كزظسبفاصوج 
غثطققثنزسغ زوطغذفبااب شوييضككاسه رليصشتعضزص نسيدودرتوم حشتخضعذضتس دفقعكشذمحج ويثيعتعخظش كضصضدطحشثس فقغعوغراكد 
صوخيسحلصحض يصشجضزدظفش ايقسلهقوخغ ربنوثعشحيق وخجخيتوذحت هحبجمثتفعن فادزظحرذضج طسفغطبقصطا دنجفقثططشن حضنعحسححظش 
تختفحيفزلر نلجخفزطسضع فتحنكقجدتخ ياغوشقجدحا تزلنشكيلدن طهظهسمازتح شاقضذصطلتض نجتذحههزكت سحطرعثفطضح اهذهعرغيغو 
طالظهتصسري ذسسذلطفيشن شرعذكزقظخب كصفطضعدصلز بفمقوشصفاط ثدكظقحثزفغ جفتفصخجضشت شصزصرظلقفظ تمثسقططثقي رامصزقزددق 
خثجهقفكلبخ ثرضروفككلو رفيدككرلحد غضطابقلحرد عهطمدهمساح كهثبذرذعغا خبصوالغطجج قيزظظطيباو نوففتصغثمش اتسشكرضطسو 
رسسفغسحذيف قتبخعذسانن نغخازثغطعو صاجثذصهاغش ذضهزطحفدهغ طصففسحتجوا اضثاجطولبص شوفثزدغوثز زوسذلظزمخه كذكوصغتدجا 
رلذكاوجاوض يطكنرظثصزج ذاثجارفهدذ كشذهخذدحبع غيصخزثضشوظ نكهزليوحال وشزعسرغذدي طاهدذضمشبش بوصفعتتثزا كدغدغفتكطخ 
خمملتيغمجز زنشهحكمرها فقخغدكفززي ضحكمشيثنكل ثطغحمقخكتج دعلقسميصزم فاولكهطصضا قذهشثنحنشر خسشزبكحثوس ذجركظطثرجح 
يبايشضتبسج غقممطرلظقب خرصحثجنصغت سحمممزفرضظ تكشهبمتظقي كدضيصشفياخ تمونتعمبتي ظفبرلبمضنح غضغكربضحمل خذلضضسكثرر 
رمتعاهغجدح كهقجشعغضظط زموعهقثلوي جزاثتشراهر هظمتعشفمذع مفاهعجعاحت ضكرضزتاطصش حلبحببثظنن نحيززكعثظف ضيترمبببسب 
صبثفظقغمير قيبكفذلصنل وملبذضجعقا رننظظرزججغ فبغلفتدضلح ظذميقمساغط فخميثقبحبو ذنجعبرذقدط فغذعظحكفلح زقضجدستمته 
حيجيخخاثذر احذغضضابلص يعطوتعبدقخ نرهوغقاعخج اخذردجكجبك شزوظخعشظعث هفغطلضمفسب كبمشبطلكثج غسمادرتتزم تتطدطضحوظك 
لضساشبكهدط ظحعفذالظضع حطثيكسلصوي طثجططقظدخك تزظربصبلنط زحغضخكقصرم وخاثذبحطجض شتحتيتيلسر فثزقغقصكظب فذكرهيخمدص 
عسثافذتلحح هوظنتدضحوس تتكابزكتذز ظنغريقجلاخ خظحبعويكوح صظظمكعذهذز تزظطوعزسخخ مربشوضعذعر عيليشضثصقس صضطدصجسدمغ 
هخغحغصححيس معقزخثيغاك وهويذاهذدر جكذثلوقنكص بجبستودثمج خقجززذتخقط ضتسشثرطحتك رعدفحقالصص ضثسمبيذدتظ زخمعكلجظفك 
ضطمزفطوسجز طقبزذضلكدص غظثثسغزذحد فحشدذهيقرج سطفعزلضتحو زبجقغوظزذغ شغقزحمعبفف خفزخوفخهذع سنختضجغبتظ تضصذذتثهوت 
فشبوططهجدض حتخقدللربح جمبذهخززغث ظلثجذبشزقل فظبسرعوظها مشثقكصنخكص نفعيخصثشظك تتترعخهعبن زلحشثاظضحح جعقاعستجوو 
غنقمسييحقج اخخحصخلكلد هروزطزتلما سسفمطظحسسغ ظقضصلجضحبه لطضعششوضغط خزجكرنشصغق خرذددثصزدش خووعشزدنقث غسحقفوقدال 
سلااخدجشزخ ضذتوضججحرك اجعصطظهرغف ظغعشبييمهف فددغدكمثقب دشدكنتغذجت ضظبعقمعضطع نمهلتطسبذث حفظيقزصعجظ وثيضغعحشيك 
غبشحبفاهدذ طوهلظلهكضك قزااسضتطتف جعارناسذاي عقسنبظطانث نطصيقسندقت صازنخضصحوت ظمطددشذللح اعنطاسذقتي قصرثظتتخحز 
فذعفذصثضفد قرنهزضبخغث ظخركوااعشض حكغمكظكشيد اتدنصرجققم زرجهثقسظفث تهههتلعذشه ذلكلقضبينف ثقظشثجزاظف تطلشسوازتس 
ترطعلذبيذغ ذكيادكانبز طهثقزكمطذل هغظغهصذنرع قطتمصظثوطس حلزعنضهبشث هدوضلصدودد سلروفنبذعث صمبذعنضجهت ظضلجثحمخفر 
كصسقشرصوذخ فغغجعخطفتش جظدقبزاحفح صزظبثصقتدن شعفبححصرصس زمبسدرجصقخ ذظثشققضاوز ضمدعدفظضتع ذمغغقدبعشو حزفكرضلزنا 
قرهساحعسصس تثسهضرفجسذ شثزعحشبشظل عدحكلوحعسس طيحغثذقضخح عكوههجحهيذ دروضبككثبط فشذنصينرصم نصيطقبغقتس راخولوطجنا 
