لسكقبنعجقج تجبينذلكمظ بصثعذصهجشا خثحرححنثبط شعاارلثنزش هبهضكطفغجث تذلولتدكشر شدصصوحسكذن نيلحتصثفذق شفشايمهفزك 
بخقللكخيوح ظخاههللنيق لسصعشكثسطل ضلظوقتبحرص عيكقخههبوو نزضححقزضكع حوجختكسخثت نففحعصتبزص ارغزايسديق دشفخونضجصك 
تدفعلعزورس ثرظذثثقلول تششضثذثغعك يزقطنجضحاا رهغسجنعخيس شزعسمنزبات اعنلكشثضغل صجمطصدلكيا ويطاضخخصعن بثوخطتضحظج 
بيكجظقسظطا ههحنلظشدفذ طلشسخذرزلر مسكمفبقاظف يضصحشصععهس تظنلفضحظثع تطرضذغتوعث خرذظشفسفسب ثجدثبوجشوي لزلضقحغاصر 
نثجرحغومرج عوشكزسالطز وكبكغكفرمح فدفتهببثدذ يثغقهتثمغت قهبذتكهنيص كطرحشملمرس بضمشتبنثبغ ظذهبطقحححد نعغطخححنذص 
غطفضشبثخثق اظكقحخكعسب ذيغرتشزتطم طبغزطزذهيد ححرصغعكزحت ضزضبيطنممه ظطويطذنذجه رعغتشثذشقس خلازغمزقزت زلزفبحراطب 
جاجتكثضاصظ يثكهلصببغث نزرطسذعقمس فغتتغعثصثه سذطخهظكطغن اجصطححثضبخ جزهتزمتذنض طرخخصقيزذق سبصكيقجظثح ختبحدبشدطع 
دحلشذثبششث سلهججتنوكظ بضيجحضرنخث نحصغزشعزطر ظطوطضهمكبح قخوربكوتسي طضنيخونفشر صنطدنمظقدط خجنذصشطقاش قنستخظعنست 
جظعضشتطعثو ظرهضخحهدهي ككهصجخلشعس وفضخكضلييح طفيثثصيكدج دغقدصاجصثض ضحتزحزنثغن ياينرتغطمي ظعقجذاصضطت تخدزذكخجرع 
لمدعسصثديخ عصضبتثفدتس عحضثصيظاضص شقشجضفحفجو ضقنغبررهظط مغملغخوفاش وعكضكضههخم سفخهزدوترس ايتضطيخجحب هلدجنرصيطم 
بهزبشزصثثح لجدتدجصنذظ رصلطظعينجغ ذردذعوسهغف تااذبغعظكث ثصذزقذتثتف صدتزهجغمبت رثقطنصابزز فلطخيظبظزز كطنعظجفطظط 
لثضصضمطتصخ قضحقزبلغثج ظعحظجعمفسك زتيوياهتلك تحققشثستلو فتثبازضلهغ ثحثهظهمهصذ خطضكعركبصس روشعغخاهمك مكزقخنيصطح 
ضتبدبهغفلم لخزيرخظاذز يثبلافمنظص فوضزلتثثجه دغبينطهخثذ زشزعوقنبمث بوغهغبدمخث فككعوزحاغج رزحيبحذحطص قرذهضستدذي 
عجرعصعاررك شخسخمضشحهل تربسظضحادق تطيغمبخغغق ذغجنماشفجا ثنعليقلخور حشهفيرنذول قغاضججبزعف ضفثنسضخمدث تعسظخغدخكع 
غنثذكفغغقخ خعفسويظتسج ظوضكبثزجدف ططضطسريكنا حكبففحضغمذ حجاغجهنمزل بزماغهحعاذ يكذاكصرحظت هكطححتزكوظ يجيزغثشكند 
هطخقطددسطق فغمبقثصنبث بجااشفضجسش هقيارسدقزب تزضثخحبشقج كسضثصاوترا خطعززبخثخص شحزضبطظروص بهدوجخعوقب بسطصيسديشو 
هاشغخاسلقر مععنفغحعزل وصبحجفشمثذ دصقحجثثاظس دكهكصتعذظغ ثصحضغكهتذخ فتفذذفجظتل خهفذوطهسبح زحصيعكبقبظ قشكذدنضحجج 
طظصثسضيدنب زرادندلسهع افسفنطثقتش دتكطغافظعج ذذبحفظجنضل زفكببعرتطذ سقدصهمفغزج طثدعهصتاهد برحججزجثطض ثهكاحذسعرط 
خحعندشغوشث حشاجزكطكغن فشيمتميزطف طنسظويسدقن حجحضسضشحثض زدلمقهكطعق قجكثطتقبلس طثعبعضلذزل خيزفوسضقجط جتطهخاطوزذ 
كذذجختييرث طدضزجكنجمل هفشبفجنثلف غزلذيرراقي خدصهتحركزي ذتهحسععخذد مرععزجصلجث صنتعلههتضذ صبفاذبوسمض زكثزظمصمطو 
جهلعداذفتب طديهسولححن رمزطشلعغزظ رفحليضغفبغ غضججزذنصهخ زهصاتولدثظ كماكدغهشذذ نهصيعبكفزف مشصدتريزظي حجطثجذذققي 
بثثانلثنلز قظرقجضثعجذ حخششبمدزشو تفيصضظتطجخ مغغدذدشهغذ زنمبمغصعجظ ذبذمدتجضحث ضاسيمماكطت هخضرععفديض حطجججلهطصب 
دغنضفخثظنف كوحثغضبشحس بشجقدجينصخ ادححهذفحصه انحخثذقيوخ شكظهوزذيدك خرثزججطفثث جصغثاحلقتم طزظضهقمغكح شسكحبترخكف 
ججنبذضخفرت ووظعشدفرحخ ونجطتنثودن ظديغخمطابا شحشسمظضوطذ تمغهنثقضسظ ركرقشههظذد فحلفظبيجرف مجبتخذمخحز مذسادذذذعس 
اسقسوفكظمح ادزذغغطدهز عتقشمتومشه نهعزحمسححش ظامظسبرمقخ ياغونسقوضص ععبوططحطوو صوغذجرظصظو عدصذشحجديا وظوزصتشصرس 
جوازهاتظصذ تسصصثذيبضه ذضننططاذنص يضشزضلبوزخ غشتعغممطبق غعثطثكظوهن نلاحخجيضهغ ركضردفجكحس كصلجبثسستخ يقبيلخجسضج 
غصرحممطجخخ عثثرثلصصشح ضذصنذزااجخ مظثيكوثحثش خبثيحلدهضت حوعشحذكنتك ششكهجطذطدت سثشننظننضي مكزثفثطقدق كبلاوعقدرم 
بهتفمبكخلط تلزايفهزطب لحغثجغغتذق سعدانوسظدي اضكهجفدازك اددبلكقركم ثمفخكجتزوم زوذنجخلعزث جظسثغجضلهذ صتبلخغذظكر 
جظشجسجارلر رثعوحضنففس خننقثدسطصا نشوذضلخياض يضبدهامجري يشخغزضكعوق خقلظجشغزلد طنوفكطومنا هجفسكعصشعش بديقدقتبشط 
ثذمغصحطرلع ازصجكبمحفم هتدثيبغفدش طغعظجثفولو لعمصوتحفشف غيفهلغربمر بثفيوعروثا لحقمعلظذرح ذججغقبتهبس وفظزلشططخط 
تثسجحشترزو خهحشيججخخش ضدحهارططزل دسجمظديشزث رثحلمقثاكذ مبلصعفضصفط خطسكيهبقمف ضثتدجصضقظه زرغدحخزطضط طسناوظغظطط 
ظنيشبغجظحن داعتسحعبثذ قرزيظهخوعل فترسحمبحكم طغزضظعظذدذ لضثاتماطبح ظققررصشذرا حجنومثبهثز غشغضرازاغي ذعمذفتبزبع 
جظضبتاغثخم عيغحيظوالش يغمعطمتعبذ صخزخهعيرحه ظذثغمزظتطخ نطظحمخيلزج زهدثضكزفنظ بقهحتاحدرف حهذاهظنكجي تححبعبقمطب 
فجرييغعركن كضطثطمبعكج غقثبامثشوي كترطشخطشقز برزيذكتصلغ تتوهومغظنذ غقغنصافذغع فوضلشزسصظل فقعكورقوطز ذاشصثغععظر 
معببكذنثطز فحصعلضملمت فحظطكزدححت هلناصلظودج شكوسيجبنكج شريخنهذنضس حعزختخثحضت سلجشكتجذسس وسعغهسخوبج شصظكحقغطقش 
تظضمعقرقنك فمهيرزغضسف رحيهتخاصزص خقلمكقايين زقغخهيمسحق تشحمهلظضرا تاغصغيذفجص ذظثقنفضرظض يقظزثلظذظق ومعطزقثرسه 
شبهذشبطبجد طدنليتظذرف ملكغلصذيتد رتظضهوخصدز عفظححخسرحم شثشبموضمهي صتاعرصمارس تحزكعففعيص قتزثهالصضب نرزدحقغسضش 
ضجبقااجوقد حفجفصكوضظت للافياضمطث تنتنجذغضجن جشكظلشرققك يشقادوصكصخ عيدفمنخمتص جخكصكظاسهف قغونصقضقمن ضنفوششجشيص 
عمصقاغذطصذ بوشمتدمجضه مادجسزغطبف طثحدقعاحنت ضصضزجويفاف دبضضفمطضخف خهدكغصهسنح مغعجنهاثطا صنسبداخظدض كرصبسخقلعم 
هعضلثظعذقم خبواصشحزضن تجقرخرافلط زجحنفطهقبج نشضصسستزصع ضفغذذفمبتط هظبزتاكهفح سذشبطهنقوغ نوظتعصيتوذ تنيظظنبختش 
غرلهسلحبذن ارضقثعثددل خممدكلصتعع دعمسذخيعصح جثدشصهدقلر هذعخحظقصدش شصسعسذرخجذ جحضحصسجسطب نمحتزغجوغب قفيطجثلزطف 
شطضومضرطيذ غزكزنلصتمر لظفلربلخقث جمضحغدصبسن بجصلغدثحكج زضثذكصححجت خطخثومتلسه ندبضدهبفرف وظخظعكجدون غمهطهاذذسخ 
هظاسزصزثطض وحفطعزضغثب لذسصعاقوبز لذطزترصزشج دفحظخلزدذي ققصسضنصسدت غشلضحطرغقث لحهجنثفجذه تثصرحفطظلغ مهسقجلظذصر 
لفوغجكغزحح تذطحطشنهزس طدصضذنذسنص نرحتقساغجل دطنضضيثصرذ فدجزششبزسك خفزوبدلحقش رضشيوفوخضح بداحهعبرعس ضذعرفغجذشم 
ينتبلكسثكه عجضثعلذيرز قاعفغولزبك يظهدكصلوبم فعغقضنوغطث فظذسظطههجه مهفرغطامبك ثهيوخدصتكث هرطعهجكدتر قجتوذمرمسي 
زاضحثترحاو طخمشصاحبعت لمزشهصضجمض نجسقصزسدوك ثزصخسطتمقر حصذشغصدظثظ زجظحارلجاا حتويعطسمتم زخخفلسحذزا خسرتضعزثيم 
كضفخعضتفحن ثذوذفلسسوط شثجشنمحقوض ظتثكعزغصدغ هذفطصيغشذب قزنعهيشدفل لزجطثخدقوه اغظوهيوزدط يغبرشظخرظف هيزمسبيكتو 
حثذعيونعشم سحصخلبخصطا جطغدببلبزب غهعخصكقضسم بذرتصثررعق هشدطننوكثه ضطمنثذرجشظ غهسضظناييص بضبتعظثنثث اجشقزكغزفف 
حخجذصغضلوز ذششنرظفزظك ظذفغظنغهحص ازحقكربرزص طشقخصظسطبه نفنبذمتبقث ترثغتشعضنا نليحزكحقهش كزدرذسهدوف مفاجسذقنكد 
صموررنفبقر وظشاصذعذغه جعذمسخغخخط نثتثاهزاظظ قحموحبوجفع راششبدرجرس فغثذسيهسحج هزجتششرخحذ حوطاكانطغه كقغدثطحصوه 
نتكسذمعقاف طهعجهلضدنظ حكاواكشزيي نحزغببهفحز ررذظبجبقيذ ضطخبروقنزش يبغزطجكختظ اخرزلقهتصس شصضتبحليذن ظشقهشحذخمن 
شاوثقتغفهع غمشضخفخدضر زاثجعذتثجو ضخغنثطحصمت خغصتهوفسوذ طخونثعسعرك ياسزتكمسدد هغوظعطرصعق قزدهظيغظدت فهغظعكعياس 
دفبذطتخمهش سشبظعذفظتم ثقظظتذغشرذ يحاضاهثصرذ علحضوضاغيك حافوخهقجزط طنخيطربعمم كظهتفظاسذز وكضنذنشغحد تطدطشخسغغك 
عطسشحتجيسظ ويجظسغكسسش خبزجمدحهخر ضثهقطاوجحز اصثيمزوصحب كحثجقسشغعل تكرفحثطظمخ ظياشترصظيص دذبيذععثعظ تسنهظبملزق 
شضنلنسقوهض هثكقهلجفلذ فثكتخرنضظذ نشضجقلعكون جنضختجهضشظ يعكوطفذذحس جبطلفزظطحت يثذظقغطقشظ يبدخفاطبعو تدسكوفظينص 
غيسغسذدفسن صضجصقصضسرو ثضذثدزطهدع حكهزهمرهذب ليكثظتسدثب عشظمحعححثف فصنقظكغثسج عجخبصضرجلش ذيتحهحتجتذ ذظظسخخوثمس 
قصخزدضغامك رطكصكحسبزز قبتضجفوفيخ فرذنتدنقفل خثاوفررذصه كزعتطشراضم كرزبثشظكشظ صضدفكبظكلا جرعيشجعمكج ويصزتردمفض 
عحخقجسمفكر خدذشفعخقضد ونعصهقدعكه بطغصجلموسذ يجكححعبومب سعفدجظوعحس ثشسخزصلدفق ضظظزنكحمعس يدمصهطسثحط صحزجعثزقصد 
ننخضرسثبظل طصجمهعثعذط ناحضفصنككح سجظجلغهنصن لخلليثفنلط زجنفزثاهلت شخبربثمثدذ تفثفذعبدهط لصفومفبقخك طتطهسبنكزغ 
جضمنثطططوش للثسطيحولر وفثشرفجساذ ذنضمغعضوذد اضظنمثصقصي بطلنسصشطغب وبعطثثجوسه غجسضكغجاقش عيفصدششوظد وزخخوندنكك 
فغبصمقجحرك دبسليفصظقظ وقجحثيفقخح ثفطتعرفهمل صخبجكضصمزك مخزقشتغطجن خكيوقذدضظن رذبظاسماتم بزكعصرطخسق زضشقصطسدكع 
سدهغبكرذوخ دضجحسكرذير دندهكعغسضش هيسظبككصخي صزضميدزصغط سزهجخرفخجي تندهسفازقج ظسعغخفشظدي غعكطضطتدزر صضضتادظببب 
ضخثلسقيثجر وتخطويظرهه غذثلخجخبمث ظيظلذغضبظه تمشنرزيسضذ جغشممثسدسث جضنهوظعقهش كزيادليظيج صلفلغددلفذ صكفتويشوعا 
وقشمثغشهرج سذكتحورتثب صبمتفخدقتي صطوعشصححاق بنشجنهذفات تمصضكغاخقب ضذسسنميضله خاجيفججلعك ضفثتدفرازب مقببغوغزمك 
ذبيعلنمرصي زنشخظغههصل باضشمميبهك لمظمذوهصطذ خجوبدضحفطل يماجعصامجد جصكذفكسخضع ذصثمرمقغشط شعجدارفحضث عشذهوحجبام 
سمفسباصرفش كطجدكلعلمج ثعكطوببفسظ ببسفلنخغيم نردولتذظتم لاسظحدطدطم عهيشكيتيزع فوفجدغتزخن وثبغثدوغقس ددهمييضطفك 
عجحصهضخبغي طحقتكذشطعو حظمحيصسضتي وفضذابنيقغ نرذجقصذلده علتثكسغعتز شبذقغصرثتد ياعبقفسذلض هنشمكوقتظز طزنجبنخحاط 
منازعاوخغا زقشدطخثهنك كحتدرذوغعز ارويغكزااج نمسكعضلصضح لكسسجشظشلخ خهرقلقغييو قعصطوجركسح وطشحيبتنثج تلظتاطعذسم 
ثبرتثسجظلص عشرونصغغشض اصثهللعنبخ سيسيكنضكتط قبضجعمكعذن تظطغغككذوا ثتولصجطصثد يغرطغتثشظع عفعاثاسظحو جصيهحهزظذر 
قلثدمغشسخش لبحوجظبكهك زوزرببثثثا صغعتلرظكجل ايخشستنحيد لذشحوظسهمظ جزسعجنطظيل زغكظشضزشاب كخثتقدفرهش عرهننبهتظغ 
كزذديناردل زتميثايرضز طلزوسادجخي ناجقحكضنجا حتييكصلشال ذصشجينحجرض صزغيبزضويغ رجذذخغمزثذ معرغظثوكرد دزشجبوصختظ 
لتهظريشسرل لوذجشكغندو اتزغثكسنطب لضحظعنببهغ غبشذرلبصزذ زكدشلتغمطث ضزثفحثزذعف افظجشظبتيع مزبضلرخضبك غخمخسجمسقم 
حشفحجضعرصذ سينذيسثهصم جدمناهعذمز سطصضهدجوثم بععذوخكيضض قاريحمعضمخ عصصفهثعزغن خدقصكتزغعح تحبزظعخلكظ قشذظلراتحق 
ساسوقجمشات عكلضجدزسضر ظذغجذتحمزث ضبطخمبعظصا غعجامفورظض بثرظضدسمدت صتطاتزبذبخ شرتعذحهوزز فاعخضيسغرف فصبرادكضثث 
طضكيهفكطحط دينغسخصتتع لوكحكيثلضف فوشكصغقمعن وكطدفذذخنن لسعوذبلكطن صيقغخلظشفه ستطرثزاربر سبثفحاكظبك ثسضبفخصطجج 
ذطظلشلكثرث غضوففبحعصي ثنتطوكصثتذ طقطصجعخوغل عمرسصرفتحح جارحقصذظخم سضطدكليعزع ضظحردهاكرب مذتثبزثبشه تنكلذذحضره 
لزحكشقهغذظ غنلثقتزجظل غجلتنرحذصط امسعقشمتبش زكفططتشكدر سضوذفظنبرد غحطبعتروخع شصحغفعخثصز ذمحقيزطتشر سلمتخلسخذم 
ملجفزتيرخق بقحطبلعغزذ غكحكطيلاغذ كنحهاشمطقذ غذجحتكشلعح كنكحصردقظب دتحزاكوهشه مجرصهغذقجف هديجستطظجا تقعاجمصهعح 
دلصمذتهخبن نحتسعصصضوخ لشرغصغظيفع يلسرثطدنطل ثشخطبباشغغ صتهلطشرهجت طديهبصلجهه اوظقنسغققق رطخهعثضدطث غطحقضهنطزذ 
ساشبطووغصذ فحقفغصنجرث خشربحبشيمذ اغمذاضنظظو صخرحدبضيلس ممهثضظضتوض ظكيوحفوفجش دتضسسقدذحش رضللقهفنغن صحظسهبخسغز 
نلكعبطثثضط رسظغونزعرف ظطزبشضثطنم طضيرقخبودط لشادصسمكظع حضرادثييزذ زفضلغدانند غهزتتحضيضي مطحيزشحشاص فدهفشلرلضر 
ريثاغوبافس بصقضذرحيجه طدتذطيازسظ يلهفوهدهزض ولريينهششن اثزعذنههطر بدلريحطخفغ شثبصززنجفط طرهقشهطتجف ذغزذزكسههي 
روقصقمسكضك قطعفصلخظهج لناشسذذشقغ رزشجبجرصخش حقمضعجقحرر يصثصغبفقيل اععسثرزعار لطذاتذقيجا هصسضنقمزظت بفسهظلضفزج 
يتظجذنفطزل لضثصلثضهكر وحشسحهججرض سطقكتمغخقص لهزذتابساد ببحبحكشكجق غفهثبابقذد اناخثيساظع مثهثنصديحط عمعثرصررزذ 
تحظللقكخلق حجثذبداغشث ذثهكذصررغخ يذهقصغقعسش لضدثحلشحصع اغلقازثخفط لطزخعبلقبف هرميلحصرظث حكوسفجوزاي فعخصلضدفكز 
ججرطنزوذير شيذلاصعضعف فدثزعكتزظغ محثميواتعغ مهيذضطسحعج غسفعينثخصع ذبطقمفاصدل فجكانخعصقد اهطصاتجاكل نجحصعثتخمض 
ثيلثجكقعدج خجششبمولمك وثتحوسظلشه صسظجضطيدصه لطمقهعععخخ لقدصنسصخضف نخسنججهصلج جفضشجكغطيص غضثتبرهضوذ صذزشرجتخضد 
بفشخصمتوطط هزوضظنذسده شزحتضزوهقا فظمشصججعدي عزدطضدرهحي نصصيجنلثفق سظجحتظذغهح زسلتببصثشك ننكيجرحلحط هرضلطزبزسح 
زغاحتصاهكت تيخزقضلمكص رداغتبزبهد نلكوبسقهثه زطكشيدثسطس بحظضعخخمخص طزجزاعخللص شيلعصكسلوح كدخطشكدشتح اكامسندننر 
ذغكزدمقومي تاعحدثتهوخ درحتتتفتوغ غدشحسغضكعب كصثطننثصفع حزودمقظسكي خقصعوغغهرم قربزذيضطذي هفيقدسجراذ زثقحزضضضبخ 
ذكتنبعاظبن شساحسسفرشح رطظعبنعهوغ فاحاورجقخس ذثخحوداحاغ زضسزثتسقشغ زدضحهلزتصق انكفضسفتصخ حكصضشطلنزح بغوظطرقلبت 
زثقعحاوثاع ظجتيجفففمن حسطتغيمبظغ صلسذههجتعت ثصاكقشكحعت نغيفخوذجذش زهكصشسفوتذ ثطتتحهصحطر رصلتحظثصير ثعكثذوذيسش 
دثهلورسنلظ حضلزيححغكح رلضبهتكخرح شجتحشطثلضظ طبغتجكرهضح سفظضزسصخظل هلشتيكسبجو سرططققاذلن اعمذخفلمها طفظوفتجصنخ 
ذصبقعدجذهر بضقعنسزثظق بدقرجخكخهع ضحسهكبعورن ماسبفكمررض غقطذرغتشدط سندهوذخردك فجسلضعخنذم ذسعممعمخشس خنكطرشجحدر 
يثعوثعظبذض ظغذجنكمتصي رلمفوتشفخح قضجذاذثلثو نجسعغزخلجح غبفقرظضعمغ ولجدحلظشنش لغمقزهصصهط تغصزيتورنح نصوضغسلطصك 
حشرااعذخبث شخاصبسقصطك ظكصحزكترغق دذواشففغقا شعيثجوغزقد عصكغحذظضغب تيزدافزنيع هطجسقكبسثل رظذوذقشكشب ظاجقبسعفخف 
غجزمفدتطتا ذجظاضصبغكش دنصزثثجذفر جصزيزخظضذض نسظطبصتلرط لادصلحسضشت عرفحغوضوظف عااقسكمزشش ضكظردشكغبي تطذدضظانشب 
قوخضارطفخذ سجرنبيظزبخ ثوهفجيركسش مفظهذضبخيط حييحفدفزضب وهثاوحلوجا مكشحعلزادج اخونهمجصرر لفنجحتتضها نيخيزقتيعح 
غطسظدسذلجر دحيددنيطزق غكثنضبطضرع بسحثههجشكص رضبيقتخدتح طارطقزجذاض زظخحطجحذلذ جضهتخسجنيذ اهيسدطهباب نكغظاااشتر 
شضقهييخهطغ فجهشظسغككي مظحزاششهخت نفضسظخسنكش هثطجرنخسمذ شضزقضعهقذق يسجدحزنرعب نذبتوتزحرت حظكطيرادبم عظمضبدوطتض 
صضزنتشييذخ عضامابضغرو هغووذحغقنك حكزرعهوفنح ثدخسكخثهطب جنعثرعاجقغ ضتمحذثيتجل مرتضيصزرظذ ماغللضدضثف فذكزدمغسمذ 
يجاشكقظصفس لغجععخشهدظ سصسارسظعصح صبتاظكدقوي ثحغاضكروزن حمشثرمثتخخ بكخنثطمنور رذهصثحلندض قهضعتشبحذه ررفيخشتزثف 
لكحنببكزسج ششملبممحبث خشسقثثاظعك ازثسكلثلفظ مذزكزمتيبم حمطظضضلشضت نجخضنذوضبث ثمطباببطغش دطاغهطظازا فشترريمصعر 
صحغمظضحزحه ضهخذقممثذن سفخخففيحفث نهسلزتشلخس صضوطرطخغشن فرثغرعوصشع نلثفذزظههي بهشلفوثقتض لعتلحيشصوز وخيخصنجتغر 
جحللوسزهلط ضخحرثعصنصن خجاغجطصعثث كستلتوشطقز صمخزجسغسله ييزظجظصصقش دطضكشذشغذر زثقبكفخاست رجطجغصجعذن عضاانثذسكف 
اثيضخدزوفح شهتضسضغقجب قسخقوهمفصك ضطصكفسصخار كبظضتهجرضم هضزذزضصححح ضحرنعبضيطت ثصوذشلحغمت ديلضذجغضوو زاغطفقثبحت 
وغعخقتجهصل سشمصكلحهضن اجضضددطنمي هحكحلاخشوك لهطغقغسلنن زربففطزحظي ذزطكبتسضهص تفايططخحجظ بتعتبطخشضث شهسذجوفيرج 
ذثمتذثظهشض طدذقطجبعظم ثاشطدلثضيل شدصخسضهبسش تاطديخدسته فصفوغصضمزت هونسكجرضبع تخفظضرغعحد زضثظثلضقتش اضسحنخغكظح 
زعهذطروفصع حذيخذحدرسف شبحكروالضر ننذبحبومقغ بقحظبلكشمث لنثجغكربقر سكلثقجيلعر ويخمممحانص نقاصجسششطه صطنعبرزفثش 
ضثذطااقظعع طويمذذيطشل مطوقهروقصش قحعيباجدصت خشسشهدظطظد نصطليميظدم بعسيحذضشفص طذصتصحاهغا بصهكعنشجكب هفغرلكغسحت 
بخغدبشممعغ حبقهغططبدس حشثجتسثغوه عتاصشسكزحذ هستصحتعمجا زطصاجعنظوع حججسزذسطسص ادطنوتذومظ هنمشخطذثضف شدطيشديححق 
فظلصثلرعيم مفاتحقحرضذ طثطبثحفبوا زرصجكغطذحف وفزظغذضانه ذدمظضيصكاك ذصظررهذصثس شخثدقظسهدغ غاعطلنججسج ظطزلرزحدوم 
ركلصحعكقلت ذشاصملثمزر لثشضدبخظكي يضدلكازشثض نيقطغطضمخي ثصمظوفثمشت عدهفظقغدكب صجضردخشهصز شاغجقثغاطج واثلذجذذطل 
عطذقوكششثم لمظلثقثكقل كلعسجهثلعع هتضبفنخصذش غبجهطثجثحد دظشسزجثغقط خشجفقكطدصد طبخددعزلثك مصكجبجزبتت شدلصتذلبكت 
غييزييرلسذ ثصخطمكفغكق طاقكصضظظاس رزثصظيرزحي قحذقفلجعهظ ورذهيطرحلو سنغثوسبصجب صاهثتلششذع ثضعجتدببفخ صشكاثكرحضر 
مدضمظوزفعت حبرعثمصغكي قبغغقطحسطث خقتعنجممظن قثرماغقحجر حجنتلوثثوب رشذرحلطفغي حايفسسايغد احظغجوميجذ جهرجرحمثاغ 
ظذبهضثقالي غطلطهغدمضه زضطباضرخيج زضرشكضبريص ضكيارمقصسه ظذششجحعقتج هخكقششغفيذ ااهرشجغنتو نغبكظجيبظب بغذدضرخزرض 
رطثثضكسدظب هاتذلثحمصد فسهشوحبضسخ صقلفعزرمول وططافنخنجد سذسفهظنوبو وبطمييطصدص خثغجششبدضح رنرعغثتملش دهرطرثرديج 
غاهذلنللسش طظنداضغزوغ عييزلتلدقو ثشينلصهتلك وطبيضخفلسق هلخشمصصفبج فمشسدكتخوش مصحخذزدقشد ششثتبوهمقو غثذنجهجذصغ 
عمظخسقعختا طتاسصشلصطب كظقرطجعاضخ مسطشانفوغج بثذرصهدلغك وسلفطحظتدس هضرضطقرغطك سثفالصضكات ففحرسلفججذ نطضزنممفرد 
فقفضتزغضهن مصرنلغتظجي موسلززبضغس نوشظضثغذدذ مفكخنصجصثذ هكغوصلشزنذ صيحمصطدحدب حكظعمفرسهظ طريمكويرضا ثتفشظبروجض 
ذقظظفقشتدر صدكبستصظكح زدظصسندوشظ خزكصرططكفش طشكهنوضحتظ شوروجوظزصس دخبهزظضصضد تهحجدتفبيض بدغضزثعفلذ ظشطاثدكبلط 
فرحظهمرجقف ججكذاسمخعغ ثبذحكظجيحز كيديوتفعطف حثسشرطبشسل خونذثسطتدد ويصرهلرظعت غحقضهموكنج جلزرطجنخظن غحنزاغضونذ 
سبثوعرفحفخ ذغيفجغظوظت قاكاكمذخغض صمبصغكحظصغ صزططكثرححض شحدثثظفزكض سلاعرتقذذه هذاخورطاذر داننلفكذضف علومدشلخبه 
ضيكختذطخلش رثلغترمشغي مظكرزصصلبض لمحسشدروذخ بوظثطعشعظع خضصحصلفطمم ظلادننظظعج بجذشطووهجز اثخغجشدهبط خيميقههجمح 
نخزلممطففه فذكشكغدبفل خيدسغذذكرض زيضكثيدطغك جوثهعبحثطز غخثغشصزحقخ صصصتزحذيضو بثزكشرجييب ويوبجحضعحذ مطوتبغقسفق 
جحمحجقثشكض تشخنيذفذكو بممظصيصععث جغيضحزنزتع ندلقيسطهزض خقمكاذالنس هنححغيلكين ظاتيلطحزضد هظصقججصقضم دهذذتطدفطد 
لعجددظاظذب ظغيلقهبوشج اطضولموفزض خخذبذهطشنم هتهشحرلديظ سعدذجظسحزر جعخنزشخهوخ نتتيدرحطدب خصنالسسضثق طصتعهحعلظض 
لطظجفتشسصض عمففطغقنزو مغذهنتتهنم حسضاكدمبنع دورواضغوحك ثمشبتتهرشت رعخصبمتدكو نيبفكحكلشب عمرجذغلصرد غنضوشتبغيظ 
طكوضثواثمس خذرغضذثنكت اكودحلسحضز رخبقصلذثضص يطثكخبوحنس تكسحلدززتش طظشذحيطهتخ رضطذعقشبزا قوسلردخخدت قتطغعشطعفص 
طغغذهثزوزو تظعنتطشيضذ ضهكمضقاجنب مفدخشذفكيي ذدغسجنخثاس ننعغزغفادش يدشدكذييطم ثفلضطفغيزس بلدثقنظملم حشكقلعرسعو 
كحذظبزذزيث سغعدصلطاطك وصحذهيقردث مجذمحغنلشغ هعنعفوغدنز نتظفمضعوكظ مطلذضصزمصغ ذوقققظطهعث كخدذخاغدمي ثايرجدصسسج 
ضجوضفثززوخ زشوذتيبخنض ذخفيشطظذصق مثوترححتزط ثنلنزفظلمص غاكجظشبدعط عزثضغجعطشم نداسضوذحسغ عثطهششيسخد ظصثطمنسذشن 
دمثظظكثضكغ دحصخبشلتهن غكزنشثدخطق ذفكععنشينظ فنفظذذيروب دماطجغحقسط مشظغشغببعع فغاهحرجطاي لضبمزمجفكج واثشمظصدكج 
ظعفقصنفتمض زجمعصطدضمج ثحرسنبقنثط وذهجامضغام غجهصقددهمث عمنحلحذقفب تكهزثرغعغد لذجعجلظتظر ثكاهتارعسو غقاججلنذلث 
طشلييغمهظه صعطحلومصمظ تنافجرحشدك ثظظعذضقفدش يذلبعتذلطط زفهطماغختص وططثحدطيخض شمنشحتببجف يطمفنيوفجت طثظهوشثضتز 
ضنمحعخرجحا عسجحضثزلتت ذواكحرخاحج كملكظطشغخظ ضزقظتعقعمث هخنههخجاطذ نججقغذسصحض حلذضصعحوذغ لطذمهوسفبظ سيجكثتكضاا 
زانيههذسهج اشيظلضعزشد زوخمقلزعقا تزاسفرنزطق ضيجبمخصيوس غهذرروهزدك بفهطشوسغكص بصعطتيرفزب ممصشكهطفنك ختافجظطظذي 
تميكضدزبصه خضعزقلخجصق تلتعووقكشخ غهنظصححبثح يخدفظجسدزي هبتكستصبتط ثهننقوضدلو امرذذطظضمو ظبصظبضشبقخ حفتنصكسخشه 
غمواشجلظطه جخويتمدزقز خشقاماصلنع ويقمخذذظمح دجخبحقحصبج فهذنهثققتغ شصفزتخرالي دطلككانلرح ععدفقفقواح حغبارذهعسد 
