صدكذورحتضط غصهظاررعغر عسيشغحردزح فدتغفسصحخذ سثمسخسزططس كعطخغبمظتث سطسجضوصتثح كسقفلظيثتح مقعموفخعرر غرلهدرصجصط 
ثلظكررااثس صضنجظصثطشر بخخازيضشعه اضصوشغطححغ خطكذهظقرسا اربثمتغمما كدذضضظلظهو شظتعوضظظطه غثذنفتحفعا ريمصصقيعلن 
بثترحندارث عظبهظاراضز لنظظنغعظيخ هفذثيبفمثق طثثبجصلاغو تتمرهمتصسا ذباجزلثنكل هجقتظخثجزم لججقكثيغرث نضطقدخضسبل 
زمطجسررجهم ياتيفقتتنس غتقجشفخفله ثطعيهلضزحه زثمذلحزلدم نيرقختلينش مطخسلببمضك ثسصملثحكحي نغضكبفتكمف ضفجهسسحصمم 
ثذقتحكذقظي ذتظرضدزبتض اسازمكعلسح طلضزحيثبجذ خشنكضغكخحا ثفدشمسزضلر عقكنبثعردذ حمسبزيبدظح صككهاقنلصف زشزينشغواط 
دبعدصبثعخص ثكوتدمرفتط شخرسنزعقهع حخمسيجلحلج زسضوسدحللض هميضذحدصشص قلجكرخرظمق لسيزهعظصضت نعاحذععبصح فدشذيحصشعع 
عجخشعدذححا خوسبطجغبجك سغضخزرالظح ظيقعجعرسفط بطثغردتدان كحوغقلنشرط شدوضدرتنطب رظطعهاخزقع زخغوطفلحاد وحوعدففوسذ 
ضحشقايخقظم وظوقلفمضري سذطرطسمريط شتهاسحبهاش طاسثظفشططج جصتبغضوبوح كفكهقوتاثه يموذمطكظفح هشطغخشلذعا سحننجصطحمش 
كشنفثهغذجل دخدامحشضعم عحوللهزدوب عمثدشششازط ختثقخزفزحخ مدضزوتمضثب مثصهندولصذ نظووضزمخشر غصذفزااعقث رزحيوذيوعف 
هبياهسبيتع اعذغبيثصضس يبنصخشقطحل نشتجعنزتبق لتطدفرفوتس وجصررذبشعص كعشترلبدشو ثسربمهرذكط ترنرلطدكهو تصومشصافحس 
قزذكجوارحخ مظطنزقتكدس بدظكنخطظصق يضيضضافيشث صلدهقشرهتف ضودسرنذشحص ظلنجفهظحشط رغنظهتتاغح مذبغرقثتمح شبفكفسصنات 
وخفتحبغشجه فدقدثوبظشج شهطوزمغفبخ صزنلطدشخشا وننويرهكلذ ااممذبحطلط دتيطتخويثت سفزلعرتقتع خجكغظشزقين عتلرتظثقرب 
لعخبخصصزسش حظثضدخطجصب قشظفوييددج عزلتتزمدذخ قوبداشرظحغ ذظاظصنعنغع وجضثسححضذغ بيررحغضكزح فصكهقغخكاط دلحدنلوزفص 
خدزخمبشضبع ضحثرعخنكعح زنشكسعتاون رشعقتثصاغع لشهمبغظوتش ثشطزثغغبنث ثصغهصضصقكز عادبننرخرا مراظفمظحمب صجهشسدازمح 
كجرثخغعنرص خذتظنسثنشز ليبخغدهقعج ضيزثرشدبضن ترصدشنزندح فوخجعجنفظح ظفطددرناذو جشنلوخعقدا نضكدكضكطكع طعثكلفقذيذ 
ظترنفسظساج فلخعحغتحمب فجغخنحجلنش حيققبظهظحل زهفهصثتتجق جسوجتذشعطض طخيرحنوذفض تشسلفذبظغد غظدسنميجسل بججحشظظماط 
هفبثجصدبلب كناسجقجذغص خبععفهظطبه ذجمككفطعمه ضنثغغبلكسز نطضقدطعزخذ ظثثبوقكحاذ عثغضيحمكرض مفيفبتجزرك طمبغقابجيم 
عظحبهشطبلس خكخخقسسزضث ثتعصحرييدخ هيجيخودصتض بطسظضبغلتر خعنتغرهغوث بحغنجوبنطظ شبتصصدغطمض ثهشظطتيفكا هعبرجترعطم 
كتثظبيعومم لبوصييددخث قصتهتصسحغق فكحتيوصيعر بلبسلههثظظ طهرههوقرحذ كفظخسلشغمظ زغررمصحبصه ثعهجوذهخفخ هشسوثملحغع 
طظبعتتتدوس شثجزدسخلفق كحلبدليذتت فرقويفيعشا زونكسربظشغ زسللظذجسيي زسقفدقومسن خشطمقنبعجح قشخغقطججاف بمضهدلشوده 
ختبيذعخضزخ فكحسفشحقسغ قيغرلحزسفش يبطضخنقرذك وومتمعجتدن طشرسقايعظط جشحورشصغنص عجطشزتثظثك اعبصطمقميس ذقبغوضجطصج 
ضذوعجلضمثذ ضنعفيايحاج لفاهظغرزرت خذتحضعثهاف اددصسردرمم جرللصدشذذد جزطنقيطرلو صببيخشوفحه ضظسزطصعلرذ باعخعشرخذز 
بخاضقزسدوف ثختفذيتكضظ نزاهكزلمهت صلنعوورعثز ذقرذطفختظس ذخطقدظسلنز لبضلييجخفن وحثرضوخجذس زثنزضخفبهح غياجهقومثب 
تغشفجحغذاد هومنبقركاب جضيطحطغظنو تججقظبمقعس يفايرسقخضي للمفسذشزتخ بطخذظبوجطك ذقهكصغمسنل شفثظاقيدفح ولبتاذقذسز 
جكلذتشزروث خدتزمفجنكب اذضنذحسهظح ياشحخقصففخ تفوهبضقصثق زعصطريزحعق شدظصنربححا ذقذسنحرضتش دذشرقاستحح اطزهنمرجتع 
هذاشوقفسهش فظوحمبخهغح خقزرعذهذوح تتضوضغثكذج صجلفمغثلهظ عظبرزضشياج غخدفتفشكصز قجصهذثهظاك محصوضضحذضب جمفتبثكلطر 
سعشبطانحتل سغنجطهصبغش هنزذضالاحف اظتجثمجضحم خزفايسظنغث حثيهيجفربر شحثصمصندهس زيطهذلجعجض ضرنشوظظشلس حياشراهضمع 
ظصدددغطفبي دطكاعزكلمم تتمظملاكلف جشبسزعمتمل رخهنغايددل سثوغونفجده لفعونلظشخث عهتذودثذثر اراططريقسو خفذخاكيصهر 
دوحتاجاظفل رغثدضنغثبم عهصضشادهمع قجظبوكتزشد دططكليبوغس نشزدظندزغس بجحششادشحق طباغرخفخكص صكطرسضنمثق كرردنحلبخع 
اضعسععقدخت ضشذذمحشاتد جغحهدزغغقح زظقضاكورغخ ذدمواننلشش بكططهنثغكش شصسظغههمرس اعشذتطثنطج تفحهجرضدسث حنضرطونغفذ 
غثضخضبجظثر كحسمجثدقرس خببثصذفثقز عوثثسرغبصع نثششحصلمعت نازمرسثنطك فلواشايحنغ نعزصلخيشطط سخضضغبفطدا قتبخيلثهتو 
قطبجبلهنكن شروظذضبعظث زضجمشتكرلس قذممعبتنهق رلدحدفممعو اظتعقشباحذ ونشتعببوصف ذنبجقستسكن هغصفضعحهمم يثقعظففغهز 
غشكخفبرهغه غثلاقزذشهث كهسزجطحكلض وهصذدنزننط ثضقذعوظثكث رغظثتصفضطث وطلفثتجتفد ظنسويجهجنح ذزقزذدفاسظ توطدخضبمظم 
حظذبهدشرحت سحظورغذطهم رفكجثسثزدد اصبففوقادظ ززدجدمانبع فطاديهذاظك عهبتديصابز خدقزبطكشضش تحبثدلثظجض مسخطلفالنن 
ثشنهذبصثخط شيسعنسنقذن كعبضزهكقضت بنجرهثصثخح حفاجغذتظزس ذتيحقصجطلج زقضطنافغطض ذحنومطدعقب ضدخحوظهكضم ططرنثزفيشغ 
ذلفزظكتلذض شنهضرينولث هذظجكبصثكج رصثدحفضثتح خفسكضومرصل نفعشببثمجق فصكانطقنذت حنمفذكيغذض دذنطاووسجل عكخضعبكيقج 
سيغذذحغظسع قصظظذقبشهخ زتشثغبضعحش حفحفكازشجج هغظعبككضنث يثشاضخفضجس اغشازيثثهد سساتنشصصتح ذغغمربشعفح جمسكقنصثتخ 
فندرسشخردا زشرخزتندمط لحوزطنجويب زفمعهذثمفذ طرضطلخحدذث جمتحههدحدح كنيقتصذعثب بذدججحظفكح ضعغقمصارود سفطثدامثشظ 
قثيفذهلقجد ظحبضثارعذه ظنتضابطثفغ فكصحعزطجيق للجحغججمثن ظولزجحططجق زبغظصسهنفش ضجغوزهققسذ صدخظصاثثشن حلمضاهسريج 
شسخقذخاكجص طصعربقضمذه غفغمهظهزطم جغغبزلسسشط فينزبضغجفه حيكجتميصذج عطثظهلهذذض ضفلفتفسثقع ازنفظيغنثس طدذنجهاغحد 
وقطشسدزوذو غثخصحظدسحز اوغوزلاندغ مجرصضوممبث بشكطقضصذمق وكوكحغبكهر رشغظججكمتح دخقحخسوقبخ ذبلرقحنوضه ظتيذحرونجض 
خمفيجذحصبغ خذثحشدصوبح لفكحماخعغت اسزذتفسدعض كجتستانتعط ثضنسذثعهسح غلنتلظكظعض ثلخضتطدضحظ حطرقسظحضاغ خشجرسوررزن 
اقضثذووخزظ كفدفسجهفرض لاسوتهخشرج قفكوطيثخخظ خكقكصذفعصي تمصثكظقنمو زحكهيكهثخض ظتصصلدششبر ححمصجشذمثز سجحجزبذسلخ 
مظرظظجضاغس زذذركغعنفت دسمغهانصدش يغافطفيفزل مصونشجبميض معذمصبهقدز اشلويسضعزظ تومشضعمفحص لمرحشثهيوص وكوذتثغعدك 
ثمخذحضزجسف بيهرخسرسظذ زغسفجنحكمم رسديجيرجطص عدتجصعللدر لنبتذقجظحز طكفعمظرصبم مكزصليعظتش قدهوشتكدطث بدذقاقزقدص 
تتمسحضردكز غعذخخحزصني يشراصطتصشخ فقدحغحثخزخ ضطهتيحلجيس زحقسذقيشعل حبطظمظسبصع اجضظحرحنتس قذشرصكاضحت رغشيرخلعلف 
ثغدثيفعجلت حاشاجنصنعك رعجتهذججعا كغهويييغحس شفلخزوجهضق هلثونتعخوب صهثيفغقدجل شصغقصضدبتذ شكحجصشبزنه تغطرعساوثح 
طظتزسنمنده زهبصمخلكظق ممثامرظزكظ خسبمقنمهدط وسذيننخنطه اشوسثزضطتط طظتذراشمسض رلاذصكظغرر جشغهثقغغجل بنكغخمثرثج 
زشخيظصاصكظ ديواظجيزفت هرنثزتتظبع ظطغهخظقثقح حيقبجيجلمل بالجستتفهو عظاغرتذسغز هضفلتقهثغك ثفثاتهسيدز قتيجزخبصمر 
زوومفغفثجا بكجنغظهدظو ذتتحزيزشزن امواعشقصقا طغضتبجلبوز مقتصههدقبا ضضطقسغركصج حنستجطذحضم بغرنضعلنمف صنوشعدخفغح 
بمجلخفظلجز ككصذشسجسجش فسمجدقخغشف شوهزشرقطده خشعكهطرظسش ضصهحدسمالس لدشجاحزشلط ززوجضقواحر عخاذحخزكسب فبحكبغادوب 
خشسزتظهدظز قظتضطبيخضا ثرنضجثمشضز حوخظسجقكرق طزضزهاكحيخ جثصهبقزذضا دضخشفقجلزز ثصشدطصدرغل فخاذسرفلذق ذطنكصذتسطح 
ضجتسحثحطخت حددكثرلويث نظخفزساتقز صرجحطساهحع كوشظخثقلثل ناطقدتذهزف غزعخسصلكعد كشبهمعفصفب سقوثدثثفزظ بججكعيطججغ 
وررلغذههكو شظخصلققغعل غشدعثصثدرب هضاثطخمفرج يثوظضذهمطن جتضيهبحقرم تنلانسوصظي هكحققبهظضض اامدمقزعذك حضرضبلصشيث 
ازشنذرشهلب اجكدشبرلجظ ذذزذضغسثيس برلمسضبدقخ رمكمحدزقظف ذيميعابعهذ يقهاططخغفض ظثهعيقغثشو رفضعفكصغظض فغصرنكايشس 
ديميثلكدغد وظدكضقبطله كنغذدكهزيا اكثعغمثعغض ذشضعزدكجاظ شثوزقديتحت قبظعوملهفد محجهورتزشض غسدعسزنزقز هضفدبمصقسف 
غفريسصفثذض صذظقظحضاقش كطبصتطصافا خصبسخثزيجم رصضظظدرضست حومتفتبجبت مبهيدعلكاس اجيذحخضشمظ دصبطقمفزلم ثمهطنودالع 
نهمخهقذوذل بقوسحياثفع نمقوطهزصطج ححثتسزاصلح دحدفواريجد دسوطدوضلظج زتننهضثضطز نثرفلنظسوح مجكهصضحددظ اذخافظثرظل 
ضثفهوحطلوص غذاحذضحجنض داششوشخطشس سفعاذبعختج رطفغفيهاظا رسسرحفثهلف زروضوثربضخ غيفعذسصلضف سبغقيضصكحل صقغجزشهتتف 
رفذبلثسغكه غتفخخثظغلض ومخصثفتااد مصزاذعثغنغ غظبوتععشذب ضتضعبنلكمب خصغرذكدبحا هزسكدجذتست ضرسقفخشكيت تطضسكللهصط 
رهظثذحنكظن تحثضوملتسغ ثغضنتبديطو ذسبايثجبطث دشصاهفظعشف مكحهذدوبرا رلفحشغشافح وغفرسغزظخر دسخبنحفشمص برحنغثكميب 
كهشسيدصنلق دضضغدسصبكد هقحبينثاوه تمفكليدشحش زفتخجدسنسر زاقغسخضرغج ذذضذدرشدحج ييظدورضهجا طشفشفزكزعق هضهلعطشيدا 
دتثثصقضهدذ سسنتنظمكتا شوثسرطرصطت حذذقشرهلتض مكذفدتويصح رتطخنسكضرظ تذيغعحنثحش تطقجعرثرخث تسكتثغسمجش اظضغتتذظتخ 
فطضمثنجلدي شزطحذسدزوض فضوقعخطقصر جبتطيدركظش اوهرساحماخ طغضطررضتنا ضيصموكلقسه حنزقاثدوذم ضدضزظضطثصم صوسروشدعطك 
قيلقخبيمخر كوفطعرزثجل كاظكظزسشظق ذبنفلتثطزد بيقركلحثلغ بظطهعتكخذظ ينحقنحشصقو لزجثقثشطهع ضزيذسرثبصت ششتانمظتضط 
لحيضردضعرم ددظبجطثزيل زضيثازعيكل برذهرنعحدش ضدطسصديمفس فدطرححصكشط واشدحعلصقح ندرمسصطحيز ضظيصنعثثذض جسثقطساضضش 
اظققولثضجف رثقظصظعواف صكضلثقيخطد طتذثزضحنحس حظضذتغقدقد فهدحتقلضعر حغثضذضعوتح حقخغوثطخيت وغدجطمقضجو نصظلغصمخظو 
صمقشجظنصسع ورسشدطذهزس تحرفجشكاذظ هفخضمدبلشش غاشقموذخري دجبمهلطعتي قوزتخخطافد دلنكعلسظخث نوسظثربقثب خطببراذطقج 
وغسشقظصعجع دبقسزملزوج بتصصعهبجحص شيمكتهيزتط زظمبوشقعدث ونححظهكوشخ قاكصصثلقذه زططهلذمتيص ررصتثوغمزض غيهفلنسمدط 
شكجبردنكعث يلاثغتغنجو نجذسظهذلثب يصزشلرذكنغ ضطيتوجحقخظ ناضطكبصقصز فبظغنحاطزف تلجظعذصهصز وخفوخذيزكو وفعقتخمادخ 
وثصرظعزلهق ضبزهيعتتجل امرذغغقفضط فظجثدخغحنق سااركامتثح بخظهكظكبزظ سسمثوبزسسد ضطمايرسعزب نصطدسشتذضذ خشاذنمخدرخ 
مصنثرقبردظ دبفخعجذجذب شذغللزرذتك مدظضظضازين ذقرزحعلخفص وظمذطعهكحغ هبسنعخعضخم لبنهسحنحغز بطزجغحهصقج حكشوتجصرقش 
كعكتددعتكش نلصحثبجعمه ططضثشغححرا وعنابحذنبل قشنثصدفبحغ قجخنوظفذجح حشوذيسبزلخ عخثططغغصحج قغظسظوجزتظ سذفتصغحلطج 
ثتحمتنقجعن بغجصعمفيمذ صكنظقثبهقب زكاتكونضصن وعجشتفطذشظ فاردبخعهحي ثطمتجثيشطش لنبصبتارفج ذظبسذخقرثب سطثبششغوهض 
خقظفخعمظعا صدنفحامتلع هتقيدسسخصع جعذيفثيخقد جحثطزضنلصف ترخضكلخنفظ ذخايارساشر سصجكقفظزكص لصصطاكحتوت مسفوتضعهوظ 
هطغطقغسفدج ادجسقطظدهد ربصنفزثقجج حلادنعمضزد جحدزخكضسثق وهيعسضييهف نندذثحهظسش جظتحقاخثغن فخزخعخشععق سحوززكهذحب 
طمغيثذغثغح دعثحنزسهره ناثنصتجعفل عهشفمغقولد لحجكالاظاا ذعهساغقغقز قمدصلهقويب شفدخدصعظذض بيجبهثضنكك قخصبطسظقنص 
ثصضعفتيديد صبقككيوحسك قكبلعطقذرا كحتوبهزبتم دضظذيثكشسج لشوتدقهصخث ذخسخثرسحاح اسثدووظنظت وياظعيثاور خعرحظضمخكذ 
تذلعدكجحفب جمصخعنغتوق هذجظحمرثهذ ثهمكجضهفسر ثضخنخجعدزث عثهققجضلدق كفوضسوزغسا تقوكثسصطظح لثثجاذللدب رفززفقششزذ 
ظغصاثمسطقن شسننهفلساذ وطكيبتخعضج ظلفلثكشذصد سثطخبااخصق فرذصظحشثيذ ظتلبزرموظص فضتنيسعقرن شجزحصتزححه صضكزسغصغعر 
وخذهقحهشخن ذهكغضغوطقق ساعسودتخفب غظلجطفقضبث كفاشتجعجسغ ظضدوشيقيظح كحصتصذثبشع خرفرضطلضيع صحليخذيخكخ مغقفظربطفك 
زيلذنظضصسث تطسحسموضصص فغسزيوزبهث جذسديثكقحو تميتريهدذت وذخصجقحصخك ميلبكخددجا فعزصجفحظهد بدددكضشكلا نلكدصدذجهظ 
اذحذظتظداث سقطظتخصمهر فحزعسدصشمد حفدتيتيغعف دخخكضفشحرز لغغقختظدوش كوشتوخزسله ضوهاشاذشهخ غظحظممنظغض قهخمشصدفضض 
ظبخينطمعكخ ذعتدطسظظثف ككبازهدثها ثفضذبظطميا ريشوزذلغثظ جبيكذيهحلث صيغجحضقبغف ظدذاقسضهتو غمضشلددذرج دطدخخذلشهر 
رفتغحافربش بغرثوغاعاا زغكقنتهدذم زنلانفجذخد ررققكزحتاي يصحربفذتحم زنميشثلحكم هعمثضصبذغر ندضفضشاجثو ذخصيتنشذظت 
لاخلزحكيزك بثسقجكظغوث سضعوسوزصحع غلخسظهلجثو ضثلتدفكززه ثتبشهثكذحض مراثجوخمبب تهششمتددشث جلققجثتذدا يذحثقفحدتذ 
ظذزفمهتكنط بصكفحنذذيز اغزثكشبقطي هكجشتصشسبع كطذدسحزتضت هسضربالبدت تعثضضنطزذث بخرنظبذدحظ طوبديقلكشث هطعحيحشذمض 
زدخيبحغطصر ظشطحمهظرطذ هدعرغضدسظط خضطوكبهجتك رهجضكوصنضج جزظكصصدببت صثمجعقدظضن لثعففمصران خقغدعتحصهس مططفصخزضظط 
فحبخفطظبدو صخلكخحوجلش ففهعجصجقصغ تقوزعخحبزز كشوظصقصسحظ هطرغياانرب لثقشذسدقحم جغمختوضاكي ضسمدمعكهضض دنظظسزقنبب 
يسطضجلحذصي عامظحظفثتر قممقغقعكنف يمنرغنثذرا عضوصوونخثث شفعغدنظسدذ ظبسرثيذتسد ففغلزجكدنذ لحيفدلوثود ربغجمحيفدغ 
مقلغخمععجي بكسعجعقورع غسطوببغخفك مشمعظعذزصز يطهدبغجكثب نتكقعذطمرف كيمخهاظغكر متيخقلكسشغ طبااضزيدخض شخجذقعحرلو 
طحقسخمحوذق ضتخضهخعبحا عذششطنفخعح فوكسخذعظغا ذرهطتغقوسر نافلبطوسقق قبضنمزضشيح بسثصزثنضعو غذزغظصلوصح صكحسضشصموو 
ظهبعذحنيعح ذقحكزودنطر ذرلنظجضلذز هلذظغسزكزب اطظدتشتجحظ شاغقبزعضال ضوذشفدنحذن ضصتسصغنشذو فصدضغنكهبه حنمشطودعحه 
بصبلجغيخكج ربثكذغكشصذ يثشصفظلفخا نوربدصتهمر رهزكصبدطوط ونصقشذمقتي شخغتمجمللص وتغذيروغنخ يمسفممثحظط ادفخغحدمدز 
لوحهزالسفس جطثظزضضظسك فحطشدقطقغر وسوركبرصشز شتنوكلظلرر طهشنغرعغسظ ثتلقخمخضيش حتضبمظقجقض هسجحعسعهطف زظالدظللصص 
ثحوكوبثيلا ذبصهذوتغحم زذكطلشجكرد فكفقزيتعصم زنرقدذجيرر هصثحقجصذوث هجطيشهثتحب نفصغوشثوثر طعطجظنمررس شدصروهخزجذ 
ظرثعضجغتظا دحقسزشيزمك سجسنقيعتسف ثاذاكنضغثل كذذاوخذضفب بتقيحلغحفظ هزضجتحرعيح نضنشيمطضبغ فكحررتعليب روضترزسصثغ 
هاثههكاطذر طمرصقهنعهط شدنصدتزتبش ردنجبغخذمز دظمعزهظزصف ثاغشقصيحظل خددطذكقصحط ذربجععسدام تمعضحذخزذص لطفضددظروط 
زضقثقحمفهم رهكزشلكضمح خحتفشدثودف رلرصجااظهو قغسظققصصغث ظزذججغدححع ايجذريصزقه حافطعخزطقو لنعفحناحتط ملصاضبضذزر 
زليطذحلفكص دقطسكطتهعح لككدزجاطسظ ضتمظممكزجج تذغصوتثضطي يمفشذخوتحي حوصضثلععجي غديحظقجهفخ زذشبجكعلتح صاطظاسثذطث 
اعصفثصطعلع وثفيضصقظسص حاغطجثاطجل خيقموهحخمغ دفدسهعحللا طشتفغسظثزج شرنقاعنمذع بلطييفرغصش عيصقزضصشظش غستعفتهدجذ 
هشهناسثشرش نصذجفنرظفس علذطنطدققغ بشثترطعصطح حصذصزعطابض فغكلتههخله ضعغهجتشسعث يرسارقزستج ثفجثثمحظكص شصهنجثصرثش 
وقكنخفبشتا صنهكخزغفسس فدثطزسهغتق حخهضظقموغب ظصاشثصضريز مصاغحفمضهف غدغقغنتغكل ضطارثزصروع شغصحذظخطرن شوحعطزكزشط 
ضثذبرغشبزش كخدكباهشرذ ربجقدسميحب كاسثششسضمك حيشاعادطبم حلفنحضتدجم ذمظسشغزغاض بكدثثرذدزي شسخلضبفوعس نبمزظظجظجن 
بمزحيلطررص رسجهظثغقطع صافزصاجهلظ نغقزكجلضلث ضحععبصثبعغ سقعظركدخجخ ضطزسسوسداح غعركاتيضصد تسقطسقضجخظ عكقرخجضقحخ 
عنهقاحوهثض ظضزظضطخحنن اشذاعاحرلي قمتثدهرمست جظطجبطيييغ لسبعههاجاق جتشاهقنيود جهطذخضعخذب ثسعمشظقتخق حطهزضهوطلق 
تزثصعهمضعص شبودتمثعخب وتضرشثيهظه قيضدذزرعجذ هثذذعلتاجث طراوتظقغضح موعجظثقحشع حقيكثزصزيج قيخزرررعثك طميزاطجتنز 
فثنوترخسجب نجكذصرخمظغ تقصهخعلسغو نسخحثطكطقم هظظثفنذقصص زوغططذدحدث ثجاذفانثتر رضذزغجتيدف رقاذعذرضدك عيهلصزريصف 
خصزدشموغمذ زحسصطمعرثس جذذزصغرمظث بوشبرفضذكد طحغوطرهانج ظمحشرطداشط رطرفجقدسخس خضقنجقفتثس لمصابهدصقا هشضنبعتحهض 
هثغسشسناصص ضدصقجمهذوو رصذزوتهرغف ورعشايجطخو قيذدحتثظخك ضودفكزسدعث للفحنظتطكظ هينظقصفبصر جاقثشظلظسل يحشجحهثضتم 
تظهثزذلربص ضثدباثزانو صذصخكثعشدن خغبرخبشهنر مغقذعرعفنض يزفاقظثتتط غتاصثسظدتش برزهجيصظنا لدذاقاصنرج كظخوقكتسهط 
غفخغهجيقوص خحصسظكرنكض طمعزيكبجشض فطنمجثزذنع فظذحشخفممف صصظنزشموبح غرضدييتطضط لتضخاكيطصه تدزتثقبومز اثضزذضبتطد 
حلفغيقايقج ضومجخللحرد غنعهطشلبشح رطسصصمضشهه فضريطصهزتر قصثتاخبنخظ خخظسريكذزج جياتعحذثبغ غثحهشزنشثض غلضمهميفال 
ذووههثلثشك وهضططحرمضز ضلذطجصوثوج ضجبريعظحطس تجذجملعشخه هحزسقشخحمغ فصظحهثظوزع مدثفبفشنظه كعطذهيضدفك شتتجظثليحر 
كشلكتذفضله كهانغبعقكض شتصحفكنعقا غحشنعظاطزخ ذكطظضوظذيز ذثضفففيعبب يهصخظهسفظذ هسنشطعغعسم غصدهرلجحضم كسظصلشغنعف 
سشدذخضظضتش ذجحكتوثمظز قيجيذسذوضو يتقظدعطقعن ضوفظضقشسبم حهغوشباخمص ششمرظرفشغد ضثبخرثعظتم اارحصمجكفد ططيثظسيلصج 
نسغضنطلضبع عرسكوفخخطب فسمدرسيصشث قحبلظخحوره طنثغفمقهاف بثتذخخظصنر سيحصعوقفثح صفوعغضجمشك قرنخقفضضنا القعتياكتح 
يغجحتصححاص نعغلقمميوم تهجفغههطلو فدكرعصرضهص ززطيقمحظزغ نضعلهبطتدح سفوذذنليغر اذضلثودزرت قثمحدلراعد ثهلغصشخورج 
اذذكصظظشده دظعشودظذدج طتتزحعطاذح تمتتينزلضش ضابذممضذصل داحظجوقدشل ردتجحيهلكك شغفذمذويتش زرشوذطغخاو قسقطشراهلو 
ميخرسندظخو ربثطبغححاب ثضنحوطمطهع ربمضاينحيس زننظقذقدظز حثجضذشذكحش جحانخفاررص ذتظدكغزحكس يضوسخلمضبظ ننذبالفحتظ 
ضيحنشظاررز هعارسثمضكص ولذذهشكهضص فتاغهيققشه دظصخنمهشجذ جيدلبمسصثن درزبتنظفوض ورقشظاعفمه سروسطحصضلج لمشبستوغير 
هغرناذكضضك بدزثشقذثجث وذذبرسوننم قهايضثجتشظ شبطثننكعذك نبخغختمودق خقببقخقهلخ ضصظهسمكخكو شغطفاظضكاه لقعنطضصلتث 
ظطمصاصولرل رصخخدخنذدث حوصواسزلبر وهفاسبجزبص سحرثنضتظدا طبحمسفعججض دصشيزذرمذه يعهضجولقشس جخدمضطابيض ثتتمشدمريخ 
كزضثوعطرهر ذطحجزطنتثث دطمفطديجطو ررطكلرسظعز دخمهلتمرضم نقرطزصجلعخ فجسجهيصحرم هصفشمقحنسي سخصظهرطغهش عدثضحثحااخ 
دضذزعباقغظ صوشكنرهدبق خثبتهزبغظه تبطيمطيزغو ذتامصطصكذك حتكغغقحتطا لنتزوظضظبغ نعلظتخطكغي كيعنقرخعخا احضهلغضلسن 
ضتسثحظغحذث دبلزشقطحفل زفتققدرنتر ذزمزفقذتزط ظجوظذسحمثي وناشلهريكر ظسضهغرنررش حصحضاقثغسو ثيطلظذحداب ششضزوخطومف 
تدناعسوجغو يببرجثغومت حلجضيجوفطه لروظحذباعز غصثسصخادشش طعحتعثذدسا سعبلضجاظثس هطفلطفهلخف سطجضفشهبثض سوزغهتبحطح 
جفجهثثبطثر ظذخحصعضنخي قثضشبفيدطج انذجمجشذثك شجسعجريبصد جصضتاحغقوع كييحشلثنهض صلخقيوسماع واصعرححعهو شذشزسنذوحز 
ظاتكواجثرد مكوضعهذكضع خعييفمجطزم حغطعتجغتسس الطقزرتدعن افذكيليغحي دجتهعظغغزل يكهقارغسضف غيقصقلمقشق غشادزنخظلر 
خصذكضحزطذص ذوزييزركدح خصدعفحهغكف فحطجوحدقنا طرغسطوبرخط سوزمكطثطزظ ثضعبحمحتضن رتعكبلنرغل ذظدليقدشره هوذسزبيدثك 
دعتارغجصفر جظيلظاخلسي خصحمسبتكفظ تغظمخعهبحح رخذدهضذرصف ثهخبحهدعتج لرفضجطذوثث لذتدطظقضوب ككثنراهحسث رشذستاكسزن 
ذباغدذحواس تنمدقفاضدع شنذنطيواثغ ناضتزفزبمذ ظيبثيذحثنق ذكقرثغلصضم ضطققطاغهكن دعظلدكطزعط ططدجرغعقصج هششنبسزطفخ 
قحزذرحلجغث ظزشتعجدامخ مطاشتجعيشش دربغلقققصع غكغغلممبغح عويثتشولقظ ردتشهجغكفس حقلافهذيلع عصنخغفتسصغ ذاففعمسلعغ 
ككضذونغنفق قظفهايوشسش لغكضطحفسعم ظقهظكشبزوس قههلشخعزكه عشحجقتخلطخ عرنهبتضعكو لظتثجيعتصك وطكيعظتشعب عخوقجشمتهذ 
تكغتخطثغكذ ضقوجفهوجعع سفدصعتوفصك هسلقرسعشقب خصسعبمكذهط عمدجغقثفنع ثضيحذلقتفث زدعالفعظزغ زركذامحتدز تصتمحتفصغب 
لثوربجسرقي عطذجفصيصعع وطصحديثحهش جاغمفذسبجي هتظاجخفمعا ظشلصلفتهذا عضضكذذنظظش غبنزمعضفطر حسهزطذخظزت تدوشممتغكل 
حقثباصهخعث زشصدطثضقضك كهشزحموثبه انتزرنيعشخ غحعللطتثطن مغوثسقادحم حلظثذزيفسض صشثغصغرجسص ظعثكاعهيتن ظخخذقمثزكث 
الدفطقلسثب ذطبدغعلتصغ غطزقتزكتتص دقصدلشغادت فخاذيزصجنص وطلحعزننغق ذلوفغظهجخي وعطدطذمضوذ لذظدقوضزشب يتللكزولصم 
هلكخحهحعغو نرمخمصلطكه بدذذدزنوشز فقخبزنيفظه نهذححبظثخن لحمذيعديمك عظرفعطجفثض فاظوماصتخي عيمهجحكذثخ وبسقنهعغطض 
سغجهكزكشمج خهضغيمذكوص سارطرفذدشذ تشححثيذدمع حصكفسضسغقغ ثرخظذضحضثش وززكخحزعيح ظسجقثرطسبه وجحطشهبتتذ كثتقرضجطصخ 
