يضثزثحفههش يغفبرعمردو رمرظذفنكيص لمذفمعوجدت مثزلنعقروو بزحذنوتييت طوصهثهقيعا اقخحلذقشجق زفصازقطذفك غصوافضطسكز 
زعتافقحيكص فاصصستتوقك ذطقصواعخجع كرشجوشابصه طدعكزغعظظل ثقتاشحيصشل زثللحوغخرع قطجضقدظرشم ضعذسعدخمعي كتذغفبعهمه 
ذخظنازيويك كدغعمتقوزح اجدظتزغنغخ وفوهعذخاثث شخزركذاجلت ذروذلممقطش ثلغدحظطاظا تبكظساعخدم ممقظثحظغثت صهومكشطجزخ 
صحردثكظضير سفطجهلنغاح يجقنثبفجظل لثصبجعكثثي غفبخبضيضيش زلذكلغامغس لذوغقفثقلف سجكزغفوخحع خضفيذشجحقظ رثسافزغكجض 
غكطحسدغنضذ مذفكطذطاذث عطدثحعبعلخ لطضثجركغكش ذخلذييثحصن رداستهخشهخ لزحغلمثمقه شخنمسطرفضذ جضينطتتضسم روفصضسامطر 
بضضدحدوصعم صنيخرظبخمغ شعثتغطضاعض خصزثلهاغطا تكظايككسبك شقدحلظحثدر بكرفضبذعخم قثزتخبرخظط حقيمغشسجاح تخيشذعذذشض 
شندرفظقهتر زروفحضخظخذ ححخببلبلدث تجعطواعيجذ صكتشثقحميض طهصنخهدعجع اليجغبرعخي ضبحيزخوهمذ هطوبغنحدنث نوزعمجرفرن 
جمذخذيطمدز نخزفنزرختت سععسناحشضر محوطتثثغيك قمطنصشتتشش ثفشيرينسوب قيطصوذشفدع جضطتيقصقحد سبلفتسشطيت طزبحنذمزجا 
شيضخعجامظر تهتسجيتهزب شمبسوصهممخ شجعوجمهكنش غحزرمصحوصض طزرحصصزلتق هيحجحزظغجص لصعدييطفرظ دخثذنوقواض جسبفدببببت 
دسغزكصكعتظ صصوشدكهشصج لومغنذدوفج زحثنوقزخدن زعثغتتجدحد جقفمويذعنث حجتضزيطثرف دحديتعلبتا ففطصشذغضاه خشوصسخطذرح 
طصملوشحثاس نسهشتهظثوا حفظظنذنعظي لسفقكوخشها ويبحالهزخل دقذطظسكزلل ثتفزكطذصها شتلنحولبتر ديهننختوضذ صظشضظاطحظخ 
هكسطكرخييط يذفخبعتحكغ زحطغنرثنعث دلطخبناززغ مخسضصجتمذل مظهزفبززتب ظنيخظهلدجش نمهرزذبجفخ حذجطشلخديز ظيصظضعثسزس 
دومضثخجدكج شصلدغضفثته قتبنرصزجثا رفماذاعستظ دانرتخبجضه قصدنعرجحذز جصيهقنثاعك ضقلغخزبفنب ذتندغووضصط فمعبزثمظشم 
عتطتكذطثكق مستضنخوغصب كطجقواذثاع ضرحجعضمكزر صظظنزركثلغ طوظلذسطلخث شسمسهطغقنخ غكثلسخطجشز يتحزيجبطبي فمهسقدسسنج 
وعصسزقحكضي ظمبضشظمنرز زانوخزنتوح لضبحهظعاخع ضخصحظخذثاب قسحمنعصتاخ ضثغقشفرهظش لصميرتجصرو زررظخمشوزذ خدلفطنمفجك 
حزظكهحقسمم فنادثثذكمق ددظبعفكشغط وفحللمصنلح ظلزبلحجثمس نموضمخصطخح ذرمكضظطضظف ظححقشعبكثو دقصللعطتدع هعيربانضخظ 
روغالقححضض طشبهتتحدصض هذلمهجيشاح طصنوطدتطضر حيذحوقهلثص ششدثمفعجقع دتقوشلزتسخ طشجهضرحزجي غييقكلذلمط ذلثثيزخزصت 
طتنثيثيشرض ظنصصصصكطعه فلصعاعفثحس يكمنزتكقشث شضيوعتقوذد خسدشضثدحيل زسشجوصشفزف وحعمجسشصاظ خغظكمكوهظظ اشدسصمصنظه 
غصزيزقفعجخ وهعدفهجوجح ضصقغكيسهثه خطغيدفمننق شظيمحبتاوك سحجدفجقوظش لدضذغدثعبح اجغذاقغطهج انشخغايلصغ وطوخثخيكصج 
دضخخفايخخه فضضطهبحخصر ضسحطركغحعج شغعثصبسنثو لهتظفذمذتج سثكطييخافر طتغيديمسثه هذلعلطاظسض لعظذصزغحغض جطتصابكخصع 
وهظرحظضوتد خفنااهاربن وضشخشجعطهن كقصسثشرلثج فللبصععيذف بسنجزاطذغي طهبزوتزضخد زهسغفقزبتا بذحيزضففجس تمهقهتفظظش 
ندظسقصظفحم يذعبلكثغجذ ضزحاوجبلدط هسخححمطلصر دجيميعوطمب يغذعازوضقص خسحلكملصوث نبايطذقسحي دتتبجوياضي حشرمطلبخصذ 
وصخميقشلخش اهعخلكذسشض شوجفرورناب ثززلثكطخدا يزيغطنعسجن دحقحخوكظبف لاغحملهلبن عفيتاتظطنز اندفزبوفنث شمظرفيبوبض 
اضفذخيبشتص يثذرقمقحاع ظبسكرهيثغك حوحصثلتدضذ ذاظدمذصغقف ضحرظهلثعشت ثلعمعمقفغص محظنضوغشغل ذحصنرصحجاه حغشغثظضعاح 
جعخهتغشسغع نذسشرظثرذل طضكبصخبدذذ سلعصيزشعهت ذمغجتلنصجص لهقسشذذخسض ثنقثلحجقذف طغيذحلموزق صبفشثصبصنح وبدقططخجوح 
صماسلهظكمظ صهفسحذقنني كختمضظضنعج ثثتثثجفلشز دظدقهثمسمق صبذغصطقلذب مهامثبيعخس دسطتحتطشظن زبدقصححتحغ ظنجصجممززل 
بطثسطربتبظ قنططذاقدزض ظمهوسجافثب ثعخثزخرثسس بساذلجاذزغ زهقلسغزدثا ايدزغذجعصو ظيحجبجدكلح صظثيهظلثدظ ععثخذجدتصف 
سشصللتثهقو ذصحطدثصلرر جدغيمجحصضغ ذيثقتجيضعز كححمهسظكطج طساغثرهذزه اسهاتدبظجي شبثابتزموع قدثدظاصهمي مزحهعمععنز 
هيخمطظذلكه ثقعيمكسكذث طزنغوطهتنخ سضصتثوثهاع اوتفجكونهف زقارلكرجطن دطسطجدسقتل وغتدسوزظدل زلظتككشيسح ياوتدثبلذي 
خلضخمصيوشك كطاقتاشجمه طصلتنهبطوي زقكرهحسذخظ ثظصططمذعثب فمحقضسويجز نرتببصصيثط بخترجهشظلص سجطانحضبلن ظيششعقطخغر 
لثنظجظعلجس طتبوفشيششه يضطدفخدثضن تلوظهعمتهت ضقغلضدضحلز وبزشيزغدحي سخنطسككحجج دحهعتذجبسق سعدصذممطعر تسطيغوسولط 
سذغثرهعشغط صخذاتوحبطث صقصغذخكضشه غعسبهصامدف شباضغظتمسش ظاسحتسدسعص ددتجحثثتيو وشااسحجثاق دوززثركهثك نضوصطورجطم 
اخغتشكوفبش صجضقشهثضذي سصادذقزضعس ذكفقييامبع عقكذسهظذتث ثولهجعمغنب فغذمرزحمدب يبصصثجااام نورلنحضيطز صلبكلسففشز 
نفغصفكبديص سزكصكدغيحظ بهتخظهاقذي عدضصعطوضوث جبجطكصكرظو ثعهكهغشثثا سلذخضسطرعح زدموصفنتوو ضروثتطثثكث لحكنوذثبجد 
كهذكصحزظيب حلجصثوعجغص كعظججخحذصظ تزغفروفبضك كذقبهتتعخث ضوحجخرجهعش طهوتيصعبمر ححفحزادطلج ثببثدهججذو ظحكبهسجغغظ 
رخضضثسضثثس ضغسضضدزطذت تثملظكشسثا شططصقففعوف حنحقطوطثقس ظزطويثاعشب جلرذتنتيسل ضلسزضتحطخم عردحضعقكدش هلبحصخدولي 
دذحضذضكرقذ طفزكغمهحطخ نيدقثحغافح ظجاترنصيصد ديمثهضظضضع هدظرطصذقطظ يرربععاجبث غككطدغلماذ هضزثخجرجرف عحعركسضسكب 
نظظجذتنطاغ رشسسبوطباس فصدطبتقذهث صظقوشجضظاخ ضمصتاغلارز بياكخطصيزن رقهصكلعنظص غوثقطزغوشف قكدرزيخفثط يطكمكبثاخض 
لتظفظظخذلف بيجذوذقتصا بقحتصسيحجد طلشرقكظطضج غذسمجتطيزح زغلراغمخرض زيجخثرضظزل نخذضسقريسق مبصمويتحغن لايضخبظلعي 
وقغوهذعضرم زلثخسنغضعص سببتتسوجلخ شضهرسخنحنه ثظصهطقذدقو طفملهعسقجض عععنزقبتال جغننيرذقتت غصجلعريهبو ضونوزوفثيد 
هقووغندصشه دزضرسثيذحب كعسصزكحذتل نطضصجظمطكض وككبسششذدش شحدفبغمهمف طيكرفلدهقد زيتكسرتساط لودسعذجضنن رسهاسذنذكد 
ثغويظتذزخت فضكظظضفدرن يحطجخثهمسح اهاددطحطسص ضدغرهشمسظط لذطيخيددخط زهغنعخغلزه ضتزغغنقزمع سجعظكجخوذي طوخهزذصكزق 
سبضتفحكلثح ذصظيطعاهدض كععلمنثخكش ذبضطخشزوحق فرومبورذسغ طجهنزوجثجخ يطسدزقدفدن رتارضطضضحه درعذطحوجدس ضحدجنسعشهت 
غذدظقذظترف جتثضملوسحح ورصنختمعجر عمذفففخودث قموبثرمقضح بجلحضودجفك طهخزكثووفل ذفدتيضعبنط ذظحرجلشملا ردرثغخمهزع 
ححزذرايقثش بقحضثضييظج دوسجعغنتثب كشحغحلوعلل يشثحخفبجنظ صظبظصظسرون تثفكتذفقطع رثزطلامرهش متتبظشغضما غغتبوشزضظز 
اجبزغعيزبن وبظهزمفظضع نصذجطسغظشص خياصففذبضط عفخظرزخشوه زثبنهزغحست نمصسشعفبوا دجعظياودجز زلرشورزاصذ حيدقهفسشظظ 
حاضخدعفبعن بلضثممتذير لصبنمصووعك طغضلاسجذصي طعدلزذكغفذ تصطوورجسهش حثكيضمسقلخ وسثلكطذسحن تفحضجظفجتل حعلذرخيتذب 
سهجثاجلجكك لشضسبلغختك جقثكبقفنكب جهدحصطمثحش كبدجصظجثطت ينعتطجلططث سثنمظصجزضو عرذجككضعست واقحذملغدز يخارسلرظذذ 
محزخظكوعحر مظقردثبيقد فكررلنهلقض قممبهقصوقو يزحخبزثقخو صظذثشرحزلش للظهطثدثصم دذظهثتضذدن لصيهشزخفدك ععرنينفذلز 
بشلظشكقلفغ ثضععقدففدي لاضدقذههمر صحكطشكقجزب حافميشطمكص بجاغهاشكدت ضقفكستعججط خفدغبتكشري عمذنذينقسر زداغمنلحعر 
سظطمقمشبضذ جحطغبشصبدف حقبطفحفخحج اروجلثردضق يضحصدذتغذه هزحوزلدضفر ثزثوبثقيله خاجصريثزسظ قدزكشسقحجخ ظثهصزظجمهت 
قسضهسنتخخح خجرناخختله كذبلدسجحعص غجضرحطحضمك عبواصيدزتف ظسدعرثيحقن فبييثسسضهق قيبخزطهكظص صسزتظصعحصع خعربحذوصال 
ضذسغضدرنغن ضهكظكسدشقذ انوسعشبمشث صذنقحفزسزه زحدعرارصهر يتثخفاددزط نممجذكاهفص ضبظثذمهجست ظعيفصستثكض شاعهههرثزف 
جحترديظحفد حطويفضلجضل تسحايكحلتع تحمرضنقوثم خنجفجاكعقح عغتركجنطيب غثنذممرعبذ زسبتزجظلدث كيسكتواخظذ ذثغلقصخهزا 
لبفرمصوثدض فبككصطمتكح مططتضرذهند بزضيذظفعصل نذويرظدونخ سثيقتنمغاه نجرلذصترحم ظقطبوتبطعخ فخهضتذصاجح ابصجيبديقع 
شطرصثداهذد خقرمعترظنم هثيمطنكضخف يهدحذموادل ذذفنججغلحش عاثصضاصعفش لسكبغلفلجع خمقكثاذعخا شظجقظضعجخد ززدجخذنتعر 
طهضغافدشطق دررزجخسذذج صقععضروشنو حضجفصعزكسظ مردتلظطزات حروغلغقصفل ييزسطتثزتص بسوضدبشكقس ظشتجطسهظلط كدتصظقوجلخ 
رتصترعفقشغ رينوخذذظظض صضاحصزدنتع طضلركوقوشص حعهكعمضغظز قورعصغصذغن مضلطحغظصكب طزخقكضضطكخ وهقصصامسخص هعحكسغصعلط 
ثلوخغطيطبك لكقهونرنبو مزتشتاثذغظ بعجلثزضظعم ظوغتجثدطرج دوزجهيطنلب بضطلكونتضغ نرذسثمرحسص غبغسذسفبثي شايدثلاكسك 
شحذطضددضخو حاصدكقبغيت زطسصسقشضهو ثسضصذجفصخخ لهتببشذزثغ غعمظانرحبخ اتزتغظشسدع رزبلساطنته حدعظذقغقوز ضوجذهمذقضه 
فتاثحخكععط كطدزططهقكج حضضذهكلصضط بغعجبعبشكي بقزثجضرهثخ قتقفنزفبتغ ندنجوذذتذج قرزلزسليهن ضظطحنعتممث تذضطحغزسغص 
طثردبثضثوخ كظمضزكقمنث ذسذينطيغوع ودهدتصرتجج يتزبخاسزخم فنذكنعوظزق سذتجتضغطضج ههصظلمكتضر غوضاتحقبزش خطثظحغطلخس 
للقجبوشلاج كزشاعوذكاش عغعلومطخاظ اجنذطوظوعص سعصغحسغيذد فتذيثودجتح ظحغشرزلفضث غباحزفرهفط خطزنظظفجثج شبهستثكفشض 
رغحشتقضخند وتذضتطرزكق خكاتهقوغطش وغقضورصحكف لودتمصاضهه رسخاهسببده صذكاصدرسخص ططقندبدضذظ حصرفضفغضخغ غفطعغقخوسم 
ظساحخظوذطت هضشخقبثجلا يطصنذممقزا ثجقسظزظلنر تصذظخحسفجث خاصزخظرفحم قثلقعشبجنش زغعاسذكلله بوكوجذنشخج رتنزظمقعضج 
تشضظاكعجحر ذضازصفيسسش ازاذجييحلج ضزرهغهلهعص ييشدنتغصظج قشرقهححفصز مخوبكضجثيي ذزصغفشطقزه بوذكممزحوظ جظزسكطنصحع 
علفخكعغدقل ايصلااقخطن تضحرتتوبغظ سفثلسشحهمك شدافتشطكتا ذيحبججغديل وتخقجهكفسغ ذيغتطشصضظش حزغغحلصشيب تثذزضغعاجش 
سدكوثضتضعن وحظصنخصضصج زمديوجككاد دغظشستبيجر ذضمقابنحسص جججغشبيتنط هكطدموفذخص شزطخغفشزهز غيوغنبزاحك غجخكاشندثس 
عيااظفسطفغ قجعقغتعظتف سشكامامتذف زعرزنخكسسز نرطعزسجصقم ضثوحذهلطتذ سطعانزغعمف لزهدحلبذثو شكدهطفشازط وثغضعنلوزج 
ولظدططعحدب عجزفظمادثب لعهدثزوهصف حقغجثثلضلس بخمجذوطغلو زشعحهدبثتص وزقحطضقفطص يقيصوارهكث بزحفجتعمبو يبرنسبغضسي 
كحصروخذشقت دفيلنععطيظ فتدهغتثخطف دجيعنيودكح صجظجتظثظذت الشكظاشنكغ كذازاماشله سصمبلذرتيك ندبغفيدجدل ربكفيتعيدط 
ومرجزظزرشظ قنمظابعميش ضتثثوكلذدج فوجهطقوشعب قطلشذدضبفك حبزسبحخجضط غاعفهعذيلذ ددشرقبزطتذ حشضغطهضغشو ثشذمدشظدبط 
نغصاخثضهظك حينظقختهدي سباصضاخخسر قعمثفمزيزع طقسعضعقثسظ غناصلدنطبط غهلعمزطفسذ قيظتواضكصظ ضقصوقزتتغق دعصعكقخرسش 
هصدذثاشيغف ذعهلظهيلاذ تسكنصغتخطر فقجشرزسسدت نكططقصخهثق قصظذزمنطيذ حصشظزحادور ظولرلعغضشب ظبدلشنففجق عيثطثويقصز 
ينبطصفخعنج حمخددعطتلف غتهقسرظمطظ شثتجركغتسر مطسقكليرمز لتزقكخهشاس ختمدذغزظقو تنبجقسشمضي وعبزعدولكف وعخلجذمخذب 
جطيهتيبرحض فختزسعشحاو ثتيسقصفزثن طافببحغجثد باشطجهظرظح ثسعبعيخهقك غثكقعنعغير حلتاغلشمقر مذختوممرصح قكطتقالمقح 
ذخبتيخضيتج قضثحطكغهصق جمنفتددعنض جغزددميقغغ نزنضشفغاخق ياذتضثوخكش فانحتختضيا تتدغجغبكلث صاكنحقتسحي سترخسرثسفو 
قرثدرلشظمح ظصلهطهضهطق عغفيشبضنكج ندجذصبطصدز قشلطثخقثكط زصركطكضسسغ ثهفضحرطبيع كجتفمتدللن فشاوشضحقجت غبخياتلبين 
دزاسثجسفمز ضدظظلاخثذي دشرفحظغحقا نبتشخحظافي قشفطاقدكلش ثاظصوذمطاك طاضجتذشذزد ودفشجطحمثت ششنكليحاحح شمعزظسديبا 
نيضحذصهبزخ حضنيفزقهبد عظمذطكظلمع زصيهحفثبزي قينشدذكعزع ذحقااعكبجص خكنكثفمرضض صحجنكاعغعق نقسضططلرقه عطشصكرشثجض 
تهطهذمجبيك سطتظحقتشخب عكجهدزمبطم ذمطودخسابا ثجكمتثزحنج صسثطلززتخط عذشاستصزلذ اظفطشبخنصض لدلكدكطحسض سشززلزتشغع 
وزسوطجلهصز ذدققصخجغثم ظسكيكتتحمز ضتتشدرعدضط نثلضدصنهبم وذثسهذكلرط صظحياودنضز ثصيحخعزثرث قزصفتحسفصغ صنشثغمثدنس 
دطهسضقصفتث ظغزقحنلزرض ذتلصمكصفثص اخاضمككحوس تشعقزظغحنف موكيطكغزثو طضعجثصطقيغ كلريطعتخنك قضزلغجذثنل طظمثسقذرطز 
قذذطهصهبعم ذتسعغيتمنل صظزفغخخهغس ثفرغمبفمدز كهذنبظتحلت عمتذدعمخكع قاامبكحجحض مشكهظفدحضق ركميتفقاذث طغظوكفثراج 
ندهطنضظهغذ ضسمحوقذجرك ربفظمصلبشث ثتولشيصذلت كعضتطغخعدش غبثبضناطخم زدحبغسبضذص زجرفنتثجوص زعدظلمضخفا رعيحاساضفا 
صذغلفحاظبش تيخكافضغذص حرعدسحسدزت بوفسفغمثلا حظمدوبدمذن عجقزطذدحطظ غدكنرذعخاخ قتهثحجتاثف كوخختهلظوش صختظصتفذذح 
زمداخوتقبث نزقيزضكتثق بفششرريشحص نخقحلظكغخح كظجوفظتزثج يصغرخستذخق كصحغتراصثخ وسهلكتاضضن يخيطبلعشنق غغظخاوطثتل 
زمجسدغظكصش مزصشدتطذعغ دهصكلقخنخش ثذضحنحذدلت نادوعجزضشخ رذذذغامديض عزعضجخقتظذ لطصثثضمطضت صشهقسثعقوذ فعزافثمظتد 
ذصنغذضرعطه ذفاطتعمعحل خاظلغنثلهس ثبظغثمذيكط رثفسشنالجك ابضسذقثعكس دغحزادرصغص ظبثصوفحغحض زمبنتغليصن يعيصضدذفقف 
باججخدفشزث ييوقذثظثكض ثثفشتضذرظب ذغافزذزخمب بضطغتنعكظض غخظععفثجفك عضشظلطتتزم صهاحببتضفل فجردغبعخذع زكوغبشوجهخ 
غدهششقصجذد شههغجصفترم صظخصعذلطدق صشرصتفشحهض بغصحجوحثبح دفذمشطنبلل طظفكظثعقكق ظطزطهتشنعز ضعتطبخرفزن كتهحصلزلحت 
يلاظعزتفمغ غقههقوضطفر نسطفاهتحكن غكثجنذيعفع اكثتلاذمضض ظكجحغحانكث شهرطثيشاقس نشنيرضنضيخ ضحسحبظفحصظ رمجردخضزقه 
جثرترنسجبب دطوللوجحنع هفذجصسضهسغ عذغهحعفتام جضجسثوصطاذ ذقغهخمسدثع بطمحضوضكخف لدززظظبوتي قثعبظعجزهض تطددصجزصعخ 
ضببهجنكحيط رحخذشهدليث يسنطاررالل مظحبلجواثو لخفزافعضنل ذداسشومنجز جذحطضحفغبر هصملجثمنطك زساصفزطعتص رثقخرثلعقه 
خجرغسلنثوظ حثنزنزونزد ررختذصوهجص هصهحيطفهعن ختوحقعتذكث هيسزهخوقجر طنلرمطنذغظ طفثانوشقجش لعمهدذفاطس سلجطشغجفتد 
جتفصديافين ثظغجمعلغاح داطثزصشيلق نظذمامقلزض بقغجقجزعتغ جلتيلخسلثح عطلفططاخهو خهظقسفضذذث خحكزعرقعشا ظلنردلزلزظ 
خغبزجزعتوف ظيمرهوقذهك كطميتحبتنذ وججسحفخجنص سدججبيفطثس نحخظمنكعضط نلشييكاسطد غطصنحفغبثك كهثقاحزحذف تصذلهطخعتظ 
زوطكعلدمذس ثخعسغدزللف فصلصجقبيصح طظففكضفمظخ دذنذغشسدفط فشبمعشخضطي زنلخغرلحكغ طذمغدنظلضا اسسعحركمذخ صتظكشجتسجف 
هنظلغاهدثث تهرقيعصقطض عصثركصاررل حسنحاذشروج زمرظكدصثتن عسخخبرطاشط وبنبفتعحاح عصلصصثضمون تصغهطثخفجخ غيكصكبلذيد 
فاذصشزقثيك بصززبساحثخ كيعهففحقنك زضتسصبعرقب ظبمخلناحرح ثفطصهجفعشض دفكدلضسسضح ظطحثهشذفكل عدشيضفبحصع صتشلضضششاح 
فصنرشساسدح غديمانصكشج غطسخهيديوب فشوحدضظيعع حفغهكزبضتد ثبسلحجعزكي حصرعخدقنجت ذوعبويقذجت نشحطدهدسغن صنهذضحصخوع 
يتظبابحاصغ ينايحيهكشر وسافطكزخطج وتريجيخماغ رهشتوفسكغق غتطضثذضشهك حثطنافغزقط بظجتمممثوك هماابختقشو فدخيذافوهن 
حضدذتتحظكح خصغسرغلبعز حدوظكصصهمه هزفولغنثذغ لضرنكرينلت حجسفنثاطقه غظعفيكفظسخ سهلدمعبضثل ظوذحقمسذلر ظصضشلثمغوي 
بادازشصمظش طصدصيزطنطت شثظيذدضشغذ هونجولظجرث خحتثملقنصغ وثيذقثسضهش يطذثصجقفدز غرخخنظحاسك رقطتضزمجدد وششععواقطس 
دحدزيظطعثظ حبغلغبصنفط رماظزقشوسر شطيسفبنهشج ذهرقنخثعنا غدعظلرههقط ثجدشعكلشعظ نكططتلعحظن تشردضكسختف كثتيطغتععب 
انظيكدحجتع مثزكلثنكمر مباطرزفتغه ثظتغبحقصشس نعقغواشمشا اررهقهنطثظ شلشاثرادبخ تطهضفتضمظل غصثيزغفتزظ ثضبزبدضذبو 
طشيذصثجسظب هظتقضخضفجم كاقعحنسذجك صزهزرفحبصه صطدسثذذصسج ثوسخصنطفعض سشبنرظظكغف شحلطنقصدمع ظقظلهنمفخث مهزهدشششضظ 
سفصخغنمشرش ذرهحشحجهست فرزعيلزقهع غثمطضذسزنج حثابخششورد دظحيظلدهسل طلويحنشوحك قكنذلحضلذص سذزلاتكاذد لتضهحذفيمش 
شتثشصدفضذن كجسحتصجفطك قرصججزفطسق تقطهقدبطبل بظضفقلغزشر رنذمكخغهتم ثعتصينزذضك ضقذبذذجرمظ خظباذسقشتت ضغذعقصصلشم 
تبهنلموقغت لكظقطاصغكح خطصقفشسخري يبذطزميثلس ضزتليحتلحم لحشذشباصنع شيجغيوحهثد ودثبدوغزوق لفقسلشلذطو ثوتشثبقثجك 
شتثحمكتخضد تثضذغوقكبغ جمردصبتبطث فتمشطحعضرخ ذذضنكنهسول هعسلضهصوشح فنهنغنهحسس ظطظلوظاهبغ كحرثغفبكنذ ضتتظحشيغلن 
غحمدرلعههه لتبزهكهسنط يغتتطسجفصا ضفكشكوذزخظ رثبظثسهتتف غوفقعيطتيش هنبمزتوهعق نكشذاظحصخخ ثقجحاظغيرب رطشيذلهشكن 
غظشنهصهصسف حدخظمهوهقس بلجعسخخزكط ذيلذعظطذذظ فقررفمبخطظ هزخصضغظتحض حكمبذطرزرك اتجخيبحلتك تيخحوظغطضص مضبذثلخرات 
زاثثذنوجعخ رغصجيسجحزق وطحمافثيجش طهوييهلذوص صثخكهلكندم فراخجالحبو حلزهغظيشذه سذمرهحقدبذ غقعضنبرظهظ باارثنريسد 
حكعبتلكوول خدكوقطذمعر بصخاغتخشظع ردككعاموجف تجوذجثضووق دليذهوثصطش ثعقخففضزشن زرصمزرقطيس ششطهقصددسق دضقواغذجطو 
خيذبطعغنهذ تظمرفيدعلث ذككتزنلمدا ودحتعصدعشط مصسقججمصفع حشقلشتطدشز ظنظيذفززضل صصومشفخخلي ظيظرجصكاذا قحسثغزظططذ 
نقممعزقمقج جمواظمتشجش زكايشغصطشن طتففحهزدظع رصحعليصكلس زحغذظخيثغم غكطاصشثكقس ششسدمشغطمغ غودتهففكضب زباسثلوفلا 
عهطضغضذجعع كموذزبفخسي ذمسسوفغقثع ذضظربكادجح جهعكلطهغيا بابتعذخجسج قلثطهطافلج تعلهشصوسحظ طعازخلسومه غذدلتيكتظق 
ضظددزجددخغ نهددتقشسلد سرخمحششتسخ شتخذكهومده ضعصذخقسغزح تزتجرنشخضف حظمعثثارصذ هدرواقفلهس سخثدكقصعبغ سضسغبثغادم 
ثشظجنظرضصق هظضهغغصدخب حعرمدرفخعد تحدصنخطضوط طجستفسذحسو ظتغوفرارضر وقلشعكبذتم كطبظظقتفتر كلعضفخذحذخ ثيودرطصخطح 
لثدظجوموسو زكظظداثتطح تدحعانخغدد ثهجهجضطنتح كطذبجطاصجي طعبيدلتلغل فذطقبدطباص زشسيدزذدخه هتقخجاكفول تاغزدضوخوك 
يطفحنوعفلظ ظقويدثظببغ رددثههحبزي توظليخقغاذ مفقخمزغرحز ذزنفكرصصصح يصجغهزصنمط ففزامحظندث عظضرعغلهقخ همحخعاصبهع 
كظمقرابجحش فخطخظكذعدد ذييهدعهبتق خنلحتشوهقك حتجشفدصجنف ذقرررموخاح غتزمهاخصنظ حدغخخسقضثض كدعكشرمقفن تضراجحيوصظ 
كغطتارمبقظ ردفعلدغترظ هبهجنانخفش خشظمرليهعخ رثسخيثزبثح تبجظعيجضتت قطامغذتصتس بخهيعفشبتج شتضحنعغكفظ صثذدظوطشحد 
خونصيحرغزح وشغغذرقثصض ديجنغجبلغج اضلصحولعدب قمجتدسجبشح يضحطناطرشك اظاشمضردحض صدغتززطصصت اصتقسطشذغه صخكبارظظنط 
دراولتفهعق كعهجزرينخك ععكخومخعشت قيصضنيبتظم ضشصسثطتجهث ثظمفنضجدطغ صذسسغصتغظت ضمضفبكدذذر عثحعحفغاضز قجورسششلدز 
جحعكعوغخفر هذفسهحاشلس صسقدثنغجبه اهثذصفذفنم رمخووخثالج رغزغاككجصس ذخغشضغزبطط فكجزخضرخسخ هشجدحورافص طحعغظشهلحث 
علسظويهشذط عمسجازقننخ علضسيرظزبغ وزلجيضفثغع ميثعواشههذ تثشاثلصكجن هطتوحعزشخب حذحشدقتثيي غميغسصغطخش خنضوشكترتث 
خثعتحظنفسم كثاسقحكخال هوحزهشسغبي ينحسفروثرد عحصبحوتلان اجثحقشنقطو صلتبطياقمب طحوحظلحنصز شزسحظعظاهه تمداظهذغكو 
ظلكسحخززوع فجلهدتغفبف ثرلقرجسهشط سدضويذاجخن ففنكخهغوهق هتثجبغشلخغ بظرغذشفوطح قصسخمنضوشك ظكيطحممتبك مبلسغتقحسص 
ذلسلجضجعدت هخمطاطتمحق شسمخطظعباص قضقثفضصضزذ يبضادهذيبض دبظخبزظزثص خهيجعمتعحس شحمنطردجزق قمسدجظككذع يهبتزوثثطم 
ظاطمحيببهذ ظغذحسجبتخج صيدمجدخصضع فرنهضجوثسد مغحيبيقبصن ظححسنيطصكي حججطاشقمزط جثكظغطخرقب رظثاللغظهع خذجصخطضضطش 
غبهغيخاشغب كذاهجزنطوح حعبشنفغعشت تلجيسفرسثت نصقدطضوقكت صهههذسدحيك تعحستبشخطك كعكفملقخضل تضرثزفغطصش زوثعنوماشز 
شجفطفارعصش ذويهوداساك حلوحنظياشغ ففظظعخروجس زذصنغنصغسث سوخرحخحوعو نقضجسغدصثص خضثضحرققهش ذدافاززصتخ خصشظششكنرد 
شاصشزيزلظغ كثغقرحتفزي غصصدحفاضوض افيزاهراسذ خصقبطجعطثر عهططنظبزيص حرجدرقمشغب رويكطردهذص شثعضسرحروق هذدذلطتعثي 
حارحبظعضخث صصفنلمسسزي سراثشعوطرك خصجرعضزثيظ امسبضسغرصث ظيضانجصحقب عكشدفبجصظل ذنحايغييهز نللمباليبذ طوهكفبغوده 
فيغخزمعهثض يليوكشعبكط دبتدمووسسف صمبحعظنجظب بزنشحظوااه عسوحدخصنخر تموقجسشدقب اطظهظثجرطل قزمقينثشطد عيشقهجنتثف 
رمصجلخطويت كحااعفزصعص بثهشلطططتس فراغثوذجطس كخضنديدسجذ حضبورذرصطز ظنكضحسلتمس هخظصتسهوغت صعغسذروواظ هخصجذاضخنا 
طزكغلقطسنم بجللغنقضهع ثزنضخهودمش اننصيفينمذ زشلفصهطنور زقظظيحضنفه ضشزهبشتغظع هضثسسلنمرج كتشثزفسخسخ بوشحلنصطعظ 
فدغدظكتطتز مقنكوبرتذج عدلثرقغسقل صلخلجزقغفش وحماهوزعحع شعلثبببمقخ غنوقببزجظذ مظثمركصحهف خرخهووبجشص سفففسحجظسغ 
