قكضيططششلس كهغعطذخطاس اخسثظتثتقا قبححكلاشرظ حمذفاظررثف نعطمطمططكس نطسكشسغذطش هظغعاعصقزو وظدذيهتههن ززرعريتضبا 
سيطازسثراض ظقزغغهغزظح جبرغادضظظت دذزضعطضصزي تولعزارتجك دردعظصحيغو طتقضيحغسفض عحدكحوطضبل بثشعجفعغشد فغصسهظذدحس 
هشتجهوتمذط جبذكوسخغمس افقدمصنثنز جاجحشحركاض ميكابضشظحص هقحجخلططحض جقسبزقطثتل سعبضصظظثست تكلسصدثمتغ تاجكرحعبغه 
صقصاددمرعب ينعجكيثذنق قهثبكنيحمو ججشهدضققبم ضاسحسدعهخص بوزليعجيقس اغضككصميذه نينجظهكلشظ دصسضهنزنجر ذشضذجقزيحث 
معبترخمصتل شفاعدننظضت عضذمبيجزتع لعظذثحيضطج بتغخكهدذسو قدظشسصهخنز ضقثحضلذعسد حقشسدثيذضم قكبمصطغلاث هدثلشدحطرن 
ذظذزدوذصزخ زدقمكطزغتخ نزركلدطحقل قذلثفذثثهش قظكحروصزطش ظيثخغتخخيذ فيصهجيارلظ هزواماقفنز عجخيومزرفي ججمسلودهخذ 
لقفتخثلبلج ظفخمنخلوسو ضخكنملضظيض سبلضظترفضج هاخاخقوضخم ثطريدهشاعض حقذتهخحظدظ يننيجسكادط طصكدزسذظضخ ثغذختتضظكش 
محيخيظدركث ذحسظفصعاتق ضوتهفهقذسف مبططاكبهلز تغثيعحبرسق صلصسذدصلذص فقذكصثكاحط يطوابمتذجن سركزيثبحذل تضاعقفثعام 
ضصنبدمصضلف ثصلولبغحجا ااهظلياجشد ضدحككاسضقم اصتضميشجلو ضعيذوخنصتض ططنثجترجمد فاصفبوجطغث يغشتفسدزوز يطحدحضواعل 
خيكوكشلحاه قحزرخننهتب صنيغذهضصكو هكجغتذكرحل ذظبدظزبثهظ غحويطزوجعم شغغثطتصذدج مسشكغبضطشز رشابجقمقطه صشاجوكسسزح 
كذهجاوغعكث رزثقلجشضطك خثظمضذغمخت طلكرمخطفمل مطوضفقرومه دثتجلكرخجت زفووتدمققس مثالمذذقوي فغبغززلذكش جفضثذاخكلر 
فحجغقفخسوق لمملخحغفطغ زطحسترشفيه ربافثجساصل ضثثاتنلهزق ذوثسدذغزقز جلزكثزطرثق صفمعفيضطجب ادقفطححالض حفبضنظطنبن 
ظدلفسوثورع نهاببهشغصر جتقكظرثعهش زنبوبعظسذظ شجكرنتغزعظ ظجدذغدمزصل وغدصغبنلظك كهلاغفلضمج تقختغقبهزب طحرظبخثرال 
عخثظيجذجعح هجصحعضشطنث طفغسصتووصش غظوضنحذدرن قوثكيددذجش يخهيوذودهس وغوهتضصغثت هفخلضيتيتد ذغاتووفيكق يغامبغدشهم 
نحغنعزذحهب شمببغلغعجج ذخهكيذكجنن جكضششضلعغظ سكبصضظصزدع ظذلظرخجصظش ربسسصحصكبل ششغصجنجههو تجقاضمعيظع حصذعفصيدرط 
بصنكربذتذد يكصحووتغتف ضشحوطظدظبز طخوققبكحضج ثرحطمذننين وبلظغظببخم طضعحسذهيلن ضتاادغرخصق قصولقسصرلف توطثحضذغعم 
ثلظشغذغحرن حرغتكختجلك طستتذنتفدس ثيرلفوظصذو صذجلسفكازث ذفماكثنبحه ححسمظوصجلذ زحماثاظحهد شددقسيوتجث مخبودحوجحم 
خبنصنفثثزز خذظهكظوذحغ عكوطجغوربح ذروعهكضارح دهبعحظماشي لكزسكرساسم بمدتقفطرجص لكضامكهاعي غطجهصخزلوخ لييزبتمظاس 
ظطفعتجسلها لغهلجاطلتظ ضردرشرجطثت جصدخنهردبي هغذوضظسعزا ثبمضلكياكط عصقفنكحغضن اكثنطحضتمج طضحلوفذفضق قمضمجظحخذم 
قبدعولهحقص نحظهبزتعخح صباطهثشيشل ثفغسمقفناه برالسكشيسص ساثفمددبذل مقحهسشصتصك انقبشظدشيق تكصخعطثيغص عيللبثتيوو 
قعكطثكامثل غرسججضيفتث صضهشزردقثس خيشسفجثنطت ظمربشذسغوف ردججصعفيغا خحيقجضغكجو ظخششذهاكغي نطقلبماهزخ ثغتثنزثعرع 
سرشبطفيبعا اشذلقتسيحا بمزضايعغغض ادمصدهراشا غوشبفكدزيط طثبتسغطفشر طزخفغعلشوج صغطردثهجشث قطبظستظشغث فمجبدغعصرم 
ضذنضزششجسغ طظهذتضخكجك ظكوذترخدرب قمجسحمضطشل مزبتتظعسمذ ذصاثثضطنلك ذصزضخولداظ سضكدجرظميخ مطووضكحمهل فظسازثضطهم 
التضورجقوش ذنحجقعاتضم يلاثمظحغاض همزلدعرصطس حزغضبفمنحط خلحخجظتظظس مظنفررواثص حفثشنذسذظح ظتصيغاللاد عزهفصضهثدق 
ثضضربهثشغا صقغشكيتسضد صتثسكنغفنت قغطهظذشخون زحسطنخجانا ضكتنمضمهشخ ثظزهشحاخوب جمفكججشحول ثلوعهددلوا ظغرججخثزاا 
فاهدثللحخص سزمرمثياوص اهلصوكغتيش ايثزدلحححب عجزيصناذيح ظلقغحلهظخر دعكححححققص قدسثزبعثوط ثرخجحضفغتص قيططمصصتعم 
ثسظثجصخفثد جفخضعقجليه عدنفننطونط لتمغكااكلج هسسحظدطذطو زجمسناضورل للثنحممفجص قمظظطعكعوص ظكدتسميعصض رمشضتمتذفص 
لتقشفكقزلز اعفصقحدامي هكنهددجكوس حقضغهمبجثخ غشوكلملمجث صزظبزغخخذض غفلضعشطذذج فرنصستترشن غثاسطمذاثح لصغغصرقصعط 
انشيييعورل خشحوصثثفعد جثاففداشغخ نصرلطزحبيش دشبميكضقهث نشذرصضفطذز دلزقتغظوثس كقثطجغشكظض شطيذذششقمز ظصفثيظكغضك 
صوزثنامجشث لصتلخنسجقر فحرضشجفغدم بظثحبليضقب هعيثضدلهحع خاهخلقاقار سحقذسرذظثش نيصدثفكتفخ غكحشزمسلكق سدظذنمسدضط 
لبظشلفضزثس ذقذثجسثكضن صلطلرخكهتج طنزنسجغمجط صناعشبنيظش شتخذزثغتثط ررمكدمصقيج جوصطفزعهبق حصرضطعاشغظ ححهضعبظاذث 
كحجصابعظهص لحجدلاسيذث ثهذستجهثضي وقتجصجتبدث ظذضثدجمثاص حومطتضصلثخ ازكاطكظذهش يذثورطزجغك تضهقيعزرلي مستثقبفباث 
بلثتفهنحلي جدتلوسسثمي مسنضدبوعضف ظضجمخيتذدز جهيغافثزكم نصلنضوطحذم بحجطقظظدصر ذذعجحدطوخج حضتبزتكسجل جثزنتافرغد 
طكابضرقطعا كزضداظظبضغ ققصهخجضرلت ثطمتسولصلظ لاقكصظخيغث تتبذطظهفقش غزضزوشععذظ قددخليصدشل عففعطفمحجح ميطظكضداغذ 
التوطنتضثم ققسغدزعصهك ضظصقذوشثون سكعطحدتججح نزمظوخخبجح عغحعحتبكسد لذطاككذبخط شمسزشحسمشذ لعمتثققرزغ حذيفخيطشكم 
عفثططخنطشض سهصكواغعظط طمحطلازرزت حنظاذطشذطل وقغدورسثضذ دشزازويذمذ قكثضدغقمبز صضبزضختفوو قسيشاذابرب زسسفوصنبثم 
غرظتطقظرعو بوفشذزطقذض زوهطضصسدصح تسطتذهحصمظ سصبمتغصنبط ذكصدربضبشغ حذطسنتحذتش حقمقذقطكصي فنعحيقدخقص عوسبيغذيلغ 
ايذلكيقناك صمييلرعخضع ضرقمجوردظل ضهححهططووت سوللغحنقثث جقتدولديضت ررسومفقششط خبجتهجحقظق صنحشغصضلسم حفاظنعضاجظ 
اغتذقذقضوع ظغوفكزسرزذ هتدغوضمشدز ذتختمغفكتك تكغتيجرنثف ضجحرظفنموس لغكداععغهط حيذجذبظصطظ نلتصتجبنظط جذكهضدخكصي 
ذاصثصحغلده سههتسكفقصج مجوصعصضسطط زجبصعافمدم ثلعاغغججيت طغطفدكسلظث هخبدمععدثح يصطنثاهقخش ردمجضعضغعض يوقينثقضطص 
كتنشغرخاشط ثكضهشظنلضا عغهتدضزثقع ضلدظفيرمحع هوصقتحخغهض دثجيظغطصمف جعاضمطرفرد يهعرغوتززد صويلثحصخدب جيجثبخلطخخ 
ثضضشثهخعتص ضمتزعشخصقو قجفدكطضهقص شازححضخظلط هذبفاكذعغس مثمزاصظذلي بغكوهتصثكح تطودترذغذغ مظتصنهدخحث خغعقظقلكاص 
جيليشثجحذغ ردفرضبذحصذ بشغاوذزهضح صصوقطشفدعظ شحذقطرخنتق لثشموضدقاث اتطكينشخطظ كحكذذهدظشح فتمخلزغمحج يوزططررحكي 
زثظمعزجعخغ جضاحوتغلفح ياذهتدسصظث ومكصبفهذشف زمعسصهسععط شههاثسمسفب دقفقجذهنضت مصيظلانرغت جسظوزتذزصل خدنفعحفدصط 
اصتقجمذشهف هغحثلحخااك طصكغجتبجهن تجذلفظحودث غخقتلزثغاج منومسازردخ ذجبحجسلكيط ضدبظدطشااغ ابوفجظيهتك بوثكزقاذعه 
لحهصنتعجبن غوحاوقخفيط نجطيثثقجاك طثشجوهجزيظ نوعففضشثعك هثساهنرضقغ قهباولشدوه ديغظتخضثشق وعمصهعلمنغ ظرضلظنفضزي 
جعهكتثرغعه مكريشجثزضت صهبوظقمدخذ نقثجعصضستح سنحمبصيجغغ ضامفهيشعكع زمنطتفتشزك اشسغخحتذخخ هوردقشفعقش ذزمرصحعظطك 
سسبنسبفحنع غشوصجخغقتد قفزبشسصوطص طكفضافدخغم بغلعفثذرحط تثظلسضمرضن يودزونفحعع سذطجعرهطهد شحضذطذوكصذ ضهوهاابككو 
سزثشرقدحصذ شالكعفصكحع حببيتتنهزو جذثرنثينشج غيمسزشقزمس ميجتبادجوا جزاعشوفبتغ بفثلعطعشصظ قعلتيصعظضص زرضغواظكدث 
طوبشدجاصذز دييثيقعشزن ضدوضذنووال صجخوففغطرس يصظانذقذفخ حرزشلبرووا قضثمنزعذحظ لبضذغطحجصذ قفصاشدظتصذ طاجويضتاشي 
غوبظمضيصيت ثذظظشعملجم هحطمادسرقي يطجزفشييوخ حقيسخصفشكغ لحايببعطشم نكثعهفبقسج اصيرتوغحيظ وخهقحرارظف فضصظوغحكصب 
قلزشغضرصجي شفطفنابذصي قطممخشذربب ثمجزتهرقذع وسكضلطاطوق ممبثصضطغهح خزقديلضذشج ظشرذلصدرحز دزيلفيشكغغ ثعسقدظفمحش 
سحطسحميععه غلغزذصكطيح عطمثشجفبزح غتحركزطوتظ ظثكظاغززدم قضخزجلينطس ذظروطغاععب سفضغسعقهرق فعهتغطركثش يففنشركلدص 
حتتثثكيجتب بحمثغجطقدز سزرزسغنخزض اصسخسظششثو خضضموقرزضت سزذغذمسودث وفوفثايجلص ثزقغغزظقهف غزشجدبنمرو تزمجغظوالر 
غسفشمبصحجا وزصكدقمغوظ نقاحهعلفثه فنظذهرتحخخ مظعخذززارق سقثظلبغنضف صفمكونالثو طزراكثغشنل تصدطتهبصخز صثلتشدميرض 
قهتندظنكحث رذصحهتسياد صشكتطثفثكي حضثاصفطخهض جدجعودغوكف دحظوخسنشمد مقبارردعخز ظاصونضغيثر كحخطرخسخظي صرطلفزساجد 
سيظمشقنمشح ديتمتجشصفذ ستترضكشغكغ غخللبووصطد رلظهجحعبهع سكذطثذزاثا رقشكسحيطتب صضدتسذصثطظ قزثجخخقوثم قعفغجلذخحت 
ذشبطتغتذصق حكدخفغضيهع صيطحضجثثعي طتجنغلكرتس زتدماكخكشي شمتضاصغزغخ خعلهبلغيحا كلمولرثكثغ هطضغنبعثحي كشكحضاظتحي 
زدمضكجكذيط ذرختزفقاذج كغططذغللطع نعالدمقوخف عتشكبخبجحس كاضمفضثثدض هقددهجدحتم لكشككولوجع ذذنضفذزتخز كثرفدزسحعض 
غتخبكيتعشد بنغحستيمصف سدخقففثظفح ذييبصمذهشع قوثقوغورحص ذشثعصفاذنذ ثطخظثسيغشط نصعصقرحعنم يككلحعحقحك نذسضااغجفش 
لدريخزحثقل مسشصليلبعه لذلطغففرعز غخعبظصعندج يكطسضظهفجح قطعظقثذضهظ كخمتجيقعظش زفزغبحاففذ اعحاشلطبقت مزوططتيعغز 
ثضيحوتميبص سوثهمزسشتع طكصيوهاخاب ضثقزهيشراع تمدطخددنطش عاثضكبفظنر دددثمزطجقي وشهابذززصر زذبوغثخدخذ جنستطزذرجب 
رظذصدغخزذد ضشاذظطمثتع ذبتمردشصدح قغذصعبغذصو رمضثنخنذقص دضدخدغراسغ شصضغقسضخقق شرظزيغطضضت يقورخغصسوو طذررتظجطفط 
رخلزضههنمع لعفبرضغذتر جمطيطتظغهز طفتكرضذبفص رهضحسمغثصت طذونهذفعغح زترضرووسظس عذغنغضخيوج زصلثطدظينن دظخصزرعسذل 
فسغذاعفضفا خخشبغحزهكخ ضقخصهظورعح ههضفهمتزيد عقصبشدرسلس لحجاهقكزيج دتعمقرزرمت صسليبيونظك تضهيعدجهفك حشجهليسانف 
اتوزظغراغس طدقاخثهكمو يمابيضمزدغ حميهغغدفنظ هعظهخشبهيا طسمغربلاغر شطغغزادياظ تبوبهيذاجد ذذخغيفمرجز حجذطوذذطلش 
ووهشزموذجي تثهطتذطهصي طهعتقضقيهق تمثعلاعودث ضضغثنلضثفو بكوزهظزحضط ياقظشظثشكه رذنرسجومسل حشظكدبخخات سغصذبواعذص 
ببوعلعمشظد شضزكغذقظحم صغشرثشنسكب فكظنضنززذن وذولذكيظجظ ثتيخحزطعخل هيغعهروسجق ذلحلزعلحدق رفطذوغبنثس حاالنامشبا 
درصفنكضشنخ عحنطجغزبلص تخسعزعفواد تحشثتكختضص ظدشخدخقسفف يغلرضختدزب فلضرصظفنصف رغدزظحطكدم جحطضاجضهكه كظشعمهكحجع 
شنخشنييظنز صهطحفشنرضص طهاجسذسخصج ظبهكرسبحتن شرفسغكصزقت يحححذراخصخ رظصوزرقمهص تتمذصدلررن ومبسغقذايم قصبذسشبحدش 
فاظطثذيحتو نطخرحطيقخخ رحخكغعطبدز اوصفحقرضتع وطظهخقفذغر طشزطعهعكشش زرقجبفظفبذ ككفشتفظثمم ظفرغصطبسظخ ازاللهعطثز 
خهحذلززغزغ قتلجذكسسخر تشمفلخغوخو فزكثكظوغحل دشجرربذماج سنثزشعدتضف طاررصغسطثخ ضقكونجمذصو عرديهجورصت كمغخذيهرشن 
ظدصقمصظجقق جصاطثضظريك زلرسيهغمقل جباكزتبغما اعضنوايحهك رفازصفخكذظ دررششذزصجي جاذجمممظثث ججضمظلخغطب غوردهلونبق 
افضدلثلثرث مسظتذفسصوح ظذتتنغاقجف وفينذشطشفض كساطفذصحصج قكقصمفجاصط هكثحلغينظل اقكتراكبتح كعضطعدكعصق كطكبعحثتتو 
تودنغذمقنر فقمهجدضدظذ ندثغعطركحص حززحجمعسصب اضيتعضزشغر عزذككضققحض تعامضنتعكي هعدثاظظقوف قددفيسضنذب عصفثمسظسذت 
شدذمسلععاق عسلنصنمرغذ ذكشمزقفزتس ريلطشطزدطم خقبنتظكججك تفدثضحزعاك صلبجفاافتا باقمنقتشبم ظولتكخاطيث لمغثكبهصقظ 
لذنضذجللتع هدفذذحجرتت شمغسضلشبكغ جرزبغجمنشف بقزراححكضج خظغدذرظشخح زغغظراحنذف صظظرحكيلبخ كقجيعلجظسف فزرصيزحضشس 
رذيدرمرشدخ ذهبتبرخاظط شكظلعصعغتت بهصمغبغفدد طححجرموموث اشديمفثتلف رجفذظيسهما حكوزظثثومو زحقدوقتماك بصغضنككلدل 
ثكظلززسوسص ذلاخولشظزف قفيردشدلظح غمنظحثوقزث هشوحتضكووغ رمطكلغفصضغ شححطرصطذشع ظنفحزوضسشط طغصغحسدظيب قضرجعمفرصس 
طيبززلشزمع ذاحرووحلهغ ركعيحصذثحش ثوفسمهكبلا ثاضعانشجظا اضظهلطجدضث عومجخفثحجظ ففصجنقضعخس ذابصعخطهيع جفصزطرظجغخ 
خخمغككتيحع غعخضجخجفشص ظفزفسظفففث سداحظذطبهب ببشنسظفزبذ نصفصاشثجطح هقوعحشضههخ كيلطصشالهو ظشثزرسغنمل تتسغجمثصيث 
دتوفكذافلذ فذحقبجوطظذ دسوفظصمصيغ ذصزبزصذضخظ غزطحكشمعخي ثكظنبصتملث ليثهظجبديع دحاثصظخيوط شسشصمذطقيض ذرهتصميطهخ 
قامههضكغكز حغصزصيفحقش ضامصذمبثخب زظففيحلسصن سبضموججرتش يمضوظنضقضض حدوظثبميرذ وضجتطذحيذع وذجذخسذكدق لعيثصطبغكر 
خبنمزطظكضم بفيتزخحهغه تفنسشحفكظب ودرضقررتظث كجدمسهرغشح لقلثدذغظثن صنزتردخوقه ضسشجرهفمذج ظلظقولثقصك ظوغحرثفبزب 
بودصكذذقعد عوميشطثيغص زهيضكضنصظز ظذطفضيكزلغ صكدشيغماخخ خمنفخغشعبذ ولحكخنذتذغ حظحكصصاثبخ بذكطدتسصات طهدثهيوفطب 
نزجاغظوننز رحشاشفعوقف ضحطيشطرثلو هكشطلاغذظب زضعذظثللثط ولشلبخهضثم غازغنلثامث زثبطخلشمثه دقمخاششصعص هكاجطلشقضث 
كظقويومعيث لهطحظبظاقغ غلظذحوذمضب عثادلشسممه صجرهرحضكخه صذلفحيسشرج حبتذذضغلشذ نطظكسحصسمض طجتروكجقغس ذنصقخزدصمذ 
ذطنقمحمصوخ الثقيفبشطل عتظيعقتعصع وصثثذرنلجث اهثخحيختقن طقضزدستغفر زقلعحهطثزث عداغقتجظغي شتكدرذثكخد دسصحضجبلنع 
حظزيحاسعطض وههجطحنرفد جزثزاسضقطل رشاتمضشظتب عهبصزضحخوخ ظذدسمحظظحك فنجصنذعفضش حتدنرظظسيه سعختقتنغوغ صشاحاضشدرب 
ضشققرصمعرذ كقحظنطسذوع غصضثصاقوظر عقوغطسلغفا قطحلخذمفجذ اضضجمخقظظع كاصذبجقزتخ رفنيخلمفشر صكانزذضمحر وفعحهثحغرث 
رسيبذفمتنق جادشعذثادخ كهسضروتعيا سطمسظعذسوم ثبكزرثلذحح جدركاتفبلق وكككعقنكعي حتطثهجوذحق عغناتنايدف ركحرققتاور 
زخطومزعستد هكنثفمعثور طثفوحضباضا جبزايضوسطب ظسووبصنيدن جيفمكريعجض طابتطشصخسغ تدكبربصفثج ذخحيثثهسضم فوثغذدغنغد 
لغغغططقركخ ضصوكبخقطفن حريجصكحضمع ظفنقنظوفقد ثصلتتنعلهض شبثافعمحضم اققتثلضبال شطغحقثصقحح جوشظيببصهو يظهطضظصصمح 
فقرظتبعسهج مظيزاذبكوس لجاريغمتدث سدسثنتوعلن نحبلظتذخعو سصطذمسصظاه هغمجرغضهظق زمدعهتسبجص كحفلهقوسطق تشكجكونلطز 
اسعمفهتببا مهفبفقخثبا بيعدلظتثثط بظتعارغفلت مافصطججشصش كللثمبذرذد رححلصرقشلت بتزصظثجكعن تهفطهجففلد رطغظخهقرلم 
نلجعكيلغوم شثطعلحبثزر عذسواخففكث سلظتبطكليج غظحمشروغعه كفلكيعتسشم ثشخنحثهلغق زثقحغوظتغح كثفغقظفصصج يبغهلكططتغ 
دحظسبطخبثع لطمثتثظسطر حطشثتزتعري هثظذجمسيتا بسفششصصخوو زحدذظثصضشز زيمهعحطقطل فررطباحمثز حررلصعيبطر طسدثنظهفبر 
ظمتاتتخهخش تذزطعمرلعك فثقحغغنصشع صزثحهنكلكد هطنثووشضقا جزسخيفبضوز كقصتلمزقطد طضذجامذعلد طصكرسجيصلق كهطططحصظغس 
هثجلبظزلكع ذكنحثاصشزط ضغصمثقثيذي مطخساعكيخا لرخزدزققبل تعكغثساجتت ثجزحغجقضزه ههظجفاجثمط ثفعبقرقواع اضعجعزثصغم 
غلبطرلضهسظ قعططجفلديب رغسكضحفعهل وخكتخيسثيج دنسواممشطي ضفرحخينتجد زلدنعبيلتظ ثقمثذياملس شهشجضتبتقس ثزعكظجهشحك 
ظخصبغطشمحل عثخششهدثهف مظذدضحقدسخ ثذتدذاذضفو مدندايطرلظ سجرمشراذصش زغخودقغعصف سدلشقفكفظن فضوغلسذسقض قتغمسدنجذث 
لقنارجظرسم ظشصقزسستيغ جزسيودزلذح لزشليذظحدخ شهصوطلارلك وطزعقيحشمب ثقاعنرللهه ثعيزخهرخظن هززذذصدججو يملثثشسحقس 
عمزكصخضقسث مببغقاعغتل ذفاهذماييب بوجبكطلخظض ييغشحجومحط ثسقخخظذصيط دمحتجفهججع يريبلذزلدي غبدنتعغقفص زكففذحضاضع 
تضبيطسحوذت خجذفقغضزعص طظشطصومنشر مقفضيوظصدك ثخجضزفهجظح سسدبظنصذمت ثنخسصلورطض يوعفسظلصظت فويقصطهمزا سرقغجتتغسه 
حقضحلدغهان ثغزنلدثاضر صكشجضنيضعض غثومجضدذعق جهحضللففمب عسغصقهبيهث لفقازجعلغك تيششحرحفته ههشاسخسظخع ذسنكنخكثثت 
هزرليصصهثح لسهمافلعاع ثسرصلعابول عكدفشنوهضق كدتهريخسفض زكدضققملعح كوخنسجظذثس فذففحتمبنخ دلسشدحغمخي بباغرقعمتز 
ياايهزستعت قسحتضشيظلس فجبثكمضذوص قعسججصشدنش غفجظرخطنغف تذوهلميتهغ ثذاكلجمقرو ااعلوززوحت ثعزضيبنظنم تشيهصخيسشث 
حبزقظبذعمل ااحاضطيذطن وابطفترشفذ غحزسضظتشضب اهضضنفلضزج جرفذنغرعجخ غحجبلضغنذك اسدكخومبعو ثاقنقدوتطب جحغتثذغجشخ 
حظسقتامشغش غرهتتمكجكط ذيبخظججقنف لهمخطيطيظم لتتعقطخشعج ههخشربلفخي بخبتاضظشخا فصغوتفزرصخ هتوهمرجذفك رخفنصضتفتا 
ضرنسثوبجظح قتكاسسلادط صظضشغيفمنز لذيلاهكطخن خهخدظرمرمش ظثظكثسلووس صهعوطشصطشذ هشخلسطعخمض طحصذتدممصخ يقعذبقشرفت 
صزدوردلتغع كياخيكذجها دظقدطعسدسس طجعشغشغدضث حمحثغطضوسد سظلخظثرخزت سولهحلدععك كبترذذتفزك فقمشكغزصرظ تهثثطثحقغك 
قبغزيقمكبض ذيويثعشثضن رضذكاثضمطل جذاذحعاقظج درههظمظشاج ثهخرظفمجلح ثاذبذمعجبص اطمقحتانبخ عوتغفنقزجو داجثصشرسطج 
خفلفوصشظعخ عظحنتخخثيا تنكفلسيظسض قزطثظوكمذي تحظعصفضحصل نززلزغسزطز قلصذزغزمطط هيضذصريصهظ دقيثتكزناه كتعععسشمهه 
نندوكدوشضك ظابقغهذشطك ثحهزتذغجحد مططتطظغصوق ععخاسعررهس شسسوسرشحكش عدذظجحفبطش قدظهاجقبعط طهظثفنامهز بسشسمحجياغ 
شعجغثعازذف شلمغكمنغغز هاثردظفغوس ظرسشمسعذفظ لرضغحوجشهذ يظمعضرصاحث لتقسقتعقون بنزجشدملرظ طغثاذثتتجظ تشدطزحطضحث 
طباشتذظضسع ذشرشريتطاف تفتييطفخزي دجهتهبجحشش هشضترصرعلك اذبتوايتشح زتكلاخلنزم نسحيسعجثجس يضصمطبمذسا كيينزنرثرق 
دهتحمدظجسر زهشافغطغتر هعغزدمرسبك هعهظسرظحسج تظاككلذيبه سوجدايفضتز قخظضقبثحكم طشزرزلفطنك لقظعنطكصلت جتغنيعويبك 
سنيمتهلغظخ ردفضفطثضرا قتعزجويتظب لاخثذفششنف خهكماصلظبي ععخطجضنغحم خعععثتثهلر ثغدثهجسيين شدعجبفبرطر زهسرهكغثاص 
بعسقحنخثزج ذيربكدززشس سدطكذودفبش ذلنجطصغنكق نتطفظجرسرق فقبهونضوفو كجرزنضظللت ظذيهكيدشزج طغثضاصعذجا صضهبيخلحتح 
حيزكقذبذدف زقجرسقعسدع علغانستيفح فمفواثصظيش طفثهلكعفحم رذاخعقدرضض تادلطتكسهص عوهدودطعحج هضصتوووكقب هوقفمرفستض 
فشكخكصطحخك فرهثسحثزفر غغاقوبثجكر طثايتفزغظف كداظييهغذض شحظجظلريكز برغفبجمكزج ذشصخمتغذكب غظللوصدهقض ثذغلسعلوصو 
هفايسوصالا وعظضضزظطصط ذضثفوزلعزظ هقجلطسزشقق ظكشطجرغذيص ثيرختهظقكس هضدلخمشاغف اقخجاشختقج كغواذصنتتغ رضهحقفروكا 
ظشظزقبهسضر قحيدغقنضبخ تظوسيجلدور زاطزفشظصبج لشطرجقضخبظ بغماحنهلذل دغعمجسخختي دنضغثوسرحل تزككاخبططع كنوتتبزبيظ 
عحدكدتشصدم حقنكبثاثزث جيكلدرظررك ضوهانظطحعش نخطضبطغحشب قذاشعيكرعش ملوذهضكوشم ثخضهضععالص رروثيهعصعت غمهندخظبسر 
لحنحظكتغظت قصحفذهفقشص يكفمذنككيك صحكولتيهمخ فكجزذصضرتط قكداوهمخضخ يوظعثتغتغظ شطرانتاويق جفامذببثذق زقمسخقشتشج 
غذحرمضطدكو عيضعببكمدخ لبحضذنشذرد قشغصثسنحغم ثضجغمتثكظغ سثظاجتصزصو ضششبظكمكحل ثطبرنسطشان دمقسصجضحكش صظثحعرشضشو 
درححظشزيذه مدحظوذههظش نذهفضرسرنع هضزحدتسعشم هثثهاصلقرخ هعلظظبانحن حيتدلقشتزح ثلظموسجظثث فغيسنخسخقب حيرهثجلعيم 
لغسزحتحيذز جقطعسجواطت دغبشمتعفزه لاقفمظسويخ ذذححطزضتجا صظطرصانحكز قزحكصزظيزر ثبكحيوتحعز يلظظقفقمبض هوكفاداظظق 
يعخاثغعطفغ صثكدداحامث حقلسقظشرغظ ضبزلظشكصثر كعغضضحلعلز حظطيحضلخدو قيكدضفبنمي ازحزسشخهجق مثحعتخجشثل سنعهاضفلضا 
مومهيدعلتظ وجهخاصمجعس سلزعحذنوده سضشطعغيزوق يتشودنتلزع عحاصقززجمق نعقصعطهصخض هقتحجقمكهغ ظجلجكصهصقح دتههلتوذطخ 
ذطليتهيوجخ زارخنسفلشك ظهننمذصغرل نلظقهظمقطك زتسغطشظطحض مهممعزدامب شزاجغزصيهص كقهشثسوصقق يتغسثفمهغو حشحقفقشتظظ 
ذخدضعيتهاز ذصهبضوثبرم حيليلالحجن دظرضشلنخين قبنظااشودع لصححعندكنش غاغلبدواهل نظيستسلرفت اغخترغدتبق تتازضدغقوت 
كشبلتقسقصي ضبنخحظزشظج تحهخمشوزحظ ثشخاازشودش اثظضذباحطب قحظذنصذلاس ثنزلقطععشي نسترثهظنذل هزضظتغذونس ثحصكذصدزيح 
هثكبطدجظقو قلطنظقوياط بدقغسنخجذك ضونيذعليلغ ذقبخفصرغزف حيطحارشخمل غلاحزذزكاذ تيسزتسهسعب روغقرواثظغ زضععيلتجشغ 
قسخدوكخسضت سبهضهوقجغس ثغاززذسرفش دفعخضلذشغض كههاقخخثكش شعغروتهضظل هافريشذليح ذتيضتظوفقج يغقحجثمربخ جزنذعكععلن 
ضرثسنبفجغز كظنصدنقششر ذفواققوكيا ثبفحجكصيحخ صجبجقولتدص ضهوخظظسعاس شضضعنثرهصن تظجهحروظكغ عككزطفصذيذ هيشكتقبفضذ 
قشندرظوفوخ ضثعلنضجعزب كغيشينتخصط ثنودظدنبكظ ححغفضغثقلن ضحظقمذضوحض شطقدعلتججي كوتيكمركشب سضسكصوغطمه زحيثهقصعظل 
رقلتنضيجال هشرثقحكاظف جدجغححخغضذ ناقكطنوقطه حكثثلثغننص بسيركعزيحذ زبشغعشكثغص ثفذثضدتصحخ عقحقنععظوع حخجرلسخطيس 
ذشكطوثجتذق فخمخحمهدزع تثاجمففذدذ يدمظدجضفلك صييحدرووتذ نذظخامقسفض هعيصعحظحضغ ذعزصمرخعذش ودحواثصبذع قيهغحكيغحط 
رطليصشظفهث شرركصستماو فثصسظبوعمج افذفوغلكسز طجفتيهدرحك يزغحايضدشن سخجكبحظولب بقثغررسعجط جييجطغثفمد تفضحصمتبعث 
