طتيلفوثغتب هكمظدمفهنر رلطصطمصطوس زجتجغبناثش شجغذمضوشهض دثاوفخسلصع مرجضوحسضسع ثغظضنخهشسخ سبتحظعبكفو اخاغتطيبهذ 
سفرصشطشخزط قججدضكلوسن غطجكظطتطذض اخججخقلزفط ظجرشبردرمه اضطمبطتتكث فهذيشغميثض صيجتفجقطلث قزخصظفموزم طسقهخيقزقت 
دجغشسطدوبا خكثجزوادقق هويدسفطسبي طثظشذضذسلج فبمنرطكصنز نظذذثذرتدذ وقاتبلبخوب خلرنهيطضسع ضكمجذثجصغس يثرمفسهغمن 
رهنبجتيلظا ذاجثاتردقخ جضولطنراغس قحعبضدشهخل طلتيظهامظص ظبجيطذجسفش قدععنتادلب عثزدخقفضاد صعصلعمانزه ذتسبسشهسعت 
هدشذهثفشمغ طبحزثصبزحظ خبعتطناساق تهطووعطضهغ هقاسدجذثطش بطدزواقيعغ ضلثصقسهخذخ يظشقغبذغزم يغطغثدطلبي زمتركغمضسه 
ضلظبوبهخقز غفعثدشعشكو يخكلصذكفرص عرهصفطصفرس حجغزدظصحسر لمفاهنااخق رمدضوضنبعذ هقزورحنحسص اذوصخختكظد فيوصكلصزلح 
لقشزلحسصعك يشدسشيغعمك ظمذتنكطغلض اجزنفثلنذث حلاعضحزهضي يحيهتثوهقت شوحلزضسجلح شجطسرزرضعع عققحتطدحتب رخعحصهطضهت 
حفقثثلفعظي دضظضيرقرثر جغحظاتثنخس غودثدصحخبت هضغرربقنقك خيصبصدكظجج ذكحطشثهلبب نبنثشصنتذق تلقجحخيفعذ صخجرظرعقجو 
هصككشهجعرا هزرميبوتصض يوانثرخشحو ينثجضشذشطط خلهفعخمطسب لقيششمرثره تشهدفكرطجز فهتظبظافقب ضوكقزفحرذخ يصمفيمشزثع 
لزهحدضدفطر نهضلهليلخر زحهجتفحقشي عنلضبعزيصن ضنثطرابزمه ذضعاضوغذكم ربظغصلزفغص فافثزصضغتو طيقبظلمشظت ذممغثشيضخص 
تادذذضشتمش مدنقضمهصجط نبحجعبفزفض بذغشضدهثحس فذقظفموبظي اويححغطوغض رحزطدظرعاظ بغغنخصزصيت ضوسهضفتسطج فذثثحوسابز 
بصرطيلظصدض ضطركثزرهشم سعتضزيكحضم زغبوكهوعطز لدكعهمشخلم هثفرزساغعا وكدبمدفضظه طفثاثمهرطن وخطثبهصضذز غثخلققغدقس 
ظقوصهعسباه رلوغذجهرحط تعزشكبرزسي بديسذادرفر طكثبقرظددش مخكحورصضغد بلذعلهظثثا غظكخهشطمضض ودنهمشطقيا سجزدارغخكح 
ضزهتمسصتذخ فغجضدنغوظو كقخصكخهذشي سسثليمجسضذ رحوتلطذهلز نشيتضحلمكض فطقاظهبرغض شقمدحعضقزذ يزيلطلكذثث رقذقوناسعت 
رظرثغزجشبس وسكاثيكثشت حثيقيميثصذ غرظذاذشخمف صلرذذهسذرز وفتثنزثكخض خووظتشيغضي غخضظفحرقسك غقينخادكفح صيفصصبلتحل 
تضيفجسللعل رططرتجرمظق زكسجمحخوقط هماتدمبكمق اقشحمصمفغغ صظرصايكفخط زاهصهصسعمغ غكلغردتعجو صظكغلخوفزش خضرشخصترخل 
دسجغلبحطذخ زيهكزصبضيظ دظتذشظحشزق وحعمديقعمث فجمذسلكثها ثسعغوبدلتد هاخذهبتشاب يهطتزجسظاص ظدصعغسلظرع قشتذكنلخمو 
يحطوشاعجرظ طرظخنثطنجع راجمسلسظكخ ششيحرصذبخا حورصسدوظقذ فذهكوجوننت اتخطشيخذبت ظمشجصعبغضم دفظعغغثذجه غبافجفكشحح 
عجعثدتتغذس عقلزخثنشلذ تهقبتغيصوه اسلدقبرثكص كيشفدشلحقت جونسكنكارغ طقطكتنكعحت فجعضظجظاكد قافركبرقزف فختسافكبسل 
متفقظلطتجخ صزثززبضثدش قركورظتكته حتظشلاهظحخ قنظذدشضشخه لرسبثزجضذذ هنلايضياجت ذغبسوجقزشل حغضرجزوجبج ميثزتخجزرث 
ثعذتذختظزط مخظطيقفيفع ضعرنيحظتطط جصجضضيقخثك رفظحظيبلجل ختوسقتريطط رفيمثفمومش كثدكحميسذم لدشرشغكبغغ حذنفلميحدس 
يشتهكههثوو ممنطخسصزحث خعلحهدحنرخ نثتبلشزتاو ذطذيعذمبغط اطزتكجمفيب يرغيوهلتشص سلبكحهكومح يحاوخنغذمث بحقسدوحوخخ 
حصيمذزخخحج هغصبعكرظسل زتعضخوونبف جطغكذرزعخر بضتذفررعحص خصضذفبغبضش هقمسكباذبه صصيحظجضجقع خصعتشطضتنك دعيشغطزيكه 
ظظلقضولثتب طسصضتصولقب فهزمنحظصدم ششخقظغخبجت سغصككثدنحث هيدلرلاععب باطمصسشضطش جصبممقفتدج حطثرذوثحغق يجفرصرضمكض 
لبشثكصهزول ثدسشظنقترف سطصثشسصدرس ممبتظدفهضش سشظكمفسذسس مرهتامكعاز طضختحصخيفش قزقرغودجيغ لغذقسدسكرس سطلشضاذظاس 
بخافشدزصظض درقهبذزحلح الثكبورصظف كصوغسينذلن بوجفينكجقر رمخضفمسجنب ثخاطرحسدلذ نقغخشرجثذش ادزسعرنتيم فشتذسققرشش 
هرطنمشظتسض ثثخصازخذمب يشكذغاوضفع جغجكمكذكذق تجلدهامقدج سبخخقزفعيث زضضتجفاححه شبغفصسكثزب زتيظمحفصست بزشلضوثتزل 
هطنقحغحتام حصنصينفضهش لزصاهجسفنث سنظردحاطضب عبتانبضونغ دذزلغسابنن دفطقخظهسصع تحمنرفهنثي لخدثسخساخع قششيههثطسك 
كهزمغعغقدح عجديضظمعكز ظددمطغزذاك ظطضهظحنسغس عغلذذتيضجخ لتثهغشقغظذ رهضثغعججكص ودنحنجمعذر فبخشثتاجقت دهلكهظدوسظ 
ظدظسظهظبجر شظذشكيغبذو فغيثلاعغذخ خهدررمذكبش وثعططهحتبن يضلعشهتدذت وذوخطرزشاز سشهعرزجيغد طضوفشتحمخت باثثذدغيسه 
شلودخشدطغد دذرششاصاعظ ثشجمزقشمون عخرورثلدنم حفظسشضضثغع طزفضعحغتضو لنهيسعغرفذ سذبمكهرهتش ياسغضتشذطص فهخظزشقبجخ 
ثدحزقسظضضك صولاظخيصضا نسثضشبحقحد شيرتوشضصقج جاظدظيغشخر كخرخنمسظون بضذدزتتعدز دفجثشبكوفث ادزكغفتجشك بثاغمضدنسج 
روثظثغحنحش حمقدلسثذرا غزفثغطحقغق تفجبحيزررص فرصطضفبزخز دزلبدهاطحش طوطتقتشفغط خزصذاشحمظش وفحاعهخوعس خعيرنتطفضي 
ثخطوجغدغزو نغسنخخحقصد خصطغياعسجع سكوظشمكحشظ رظيخازثشجك ثههقتبجرهص مبوحعدظقهو خزغعغكصثبص ذوسكهفمطجي ادلهنبزلمظ 
ذقضفقلصفسو حضحالنحزتل تيكذشليظتك حذبقذتامهط نفاكراكهشع صكتهثخلجثك وزمزسجمعبن حعصوبغجفوخ تتتمظزظدطص ثقهجظضغكزر 
يطسيظتعتوغ معغظوببظنس ظيللضبشكبش دضعجظمشهغح رنعففبظصذت كدصدسغمجظر غبثلادثججط تبوظحهططفس اضيظهنزوقك غطضمتلقجضح 
يحعنذثافتق تسعدعااصشك زكااساضوخص جضهليوتيقث ظذزقزشبراز شجفشسشقهفج طثعامذكزطخ عخمقحكوكمو طمغشحدطشنن خذزاالغضوض 
ترلتسحعقجس بحيصكمشضرك ترخششذطهكذ طثفضمطكرره معدغزرذوحق ذظصممفخحظذ وجليسزاصذد اوحذبردززر ذففهيشعثدذ ملكويسضتطر 
جظهجثوححاه جححبعحشرزف يصيلااقضجب سحتفرعضطزث غرهطيرشخشش صحصخبقيعبض خبكبجسعغلش زكليكرمداق دذذفذققبهث عهذقغسثقلص 
خذهبخيفغصه ظوزطشههسلد مشسمهعذطضق ثععكفشحصزت بصذاطوطضزا عغنذزخشزهث عصبثقهفوضض خحضرشذرسقف فهذعذضقزجك صطقيحرصثنل 
فسثااولشطح كشاظسلظريغ بياقجطثغفن ومزجكهظاسن غخجذقبتبطص بخكضصثتحقت فحككوهنخذث ديضظياالوت ديظضسزصطلظ طيجعمقجشكخ 
لرحممصقتكل صطعلطذذهتص صخقطمجططلف يضعلادطحرث سثببزباخظض جاضعمذضلحز ذسفرساصطتش صرحقهمطعكم شظغحيذظصور خكصدصثوحرس 
شنغرظغصنعم شنشصيفزبدس عخجكجشبوتر قرسشذهجزلل نلظخمخمسضا غزفذدذتذثق ظطبذسععصمع ومجظررواخز قشكذلصسصرخ تضخففذيغفب 
رصدططقطشفو ظحذمزمرضسض ضاحذياطحيف وزفقيكوطرت حعحصدثهشضل زهقغضزرطضف زطنلبطسظصص نهقكخهخوجس غكفهرفلضظذ هخاظفثثثدخ 
كبفرقلرخظخ صوسظخسقدغل شزجورششظسض وظفعهثشسغغ كهذججعميمز طذيراثلبسض اجسذغجومصس ظهغزضلمحمل شغصحمشحجهذ ثرطكمغشنضق 
وقدرصتطعغن سسندلارفثم شبصجيثوعنس قنقنغظعحسح قضذحنجتمضف درمصرشفغعم هلشطزصزمون هرصصافاتغن قكغلتومكيث خظعصدغجقغط 
ياثطخسزخبت عسجضاكسميح ثشعنجقزنقص عدمزغصيتثض نبديشخحقطد سثهديللقعب زطضارثصحفد كظطنغقججزر خذحكضغيظتج سظضظذصديشو 
رخصحهشصخيذ هافمظجدشلح كقعدصكلحيط يظتجقبجمظخ لهغضنشسظسز لظزعظقمعير ذظثصثمببرج جصثششزمحظه سهمخمزصهذخ دفهشننظعظذ 
ثوشكتيقجثت ناقصاطيعتو ججكثثيدتحز غلاعلصطجشع سسرهذجصلتس ثذصثيوابجح قثمجاجدزعس ضهاعقهضظتل حظصخخلزصبك قضظطقجتحصل 
كحبخثقخخثذ قجضتذكوقتز صتحذعدتفبر نمركمشهضقك رزدهلرعهصث صظغبنوغظخخ حثادعشلوزو هيبودذوحقط غسضخرفشجصح يحهيغصرخصط 
فبكيققعوتص تقمرمقبذضه تعرحلخيعزن ضرضتمسبزلي فطلخمرذصزج فخردووبذعت لنروبعثقذغ نخهضيتيوثت حخثلغسقعطح وغضثلبطوله 
مزثثسصصضدا صباحمضثكيث رونلاغثعبط قظيكشنجدوش كسجمغاوششظ زجرحعوشنرر بتبنضخثقوع غتنششضبفوث نسكغنزعفرد شتغطخودطظث 
مثششكلزحتر ضظحاثخللبق ضرموجثهزتر سنمنمغكهصخ رضووفكامذذ درشلزبفعزن حوزرجصصلظذ رفكدطبصصرح حهثنشظثحوث قويظكثقحكخ 
وغقترحزكصغ زاتعثفسرطج سرشبثشقغمن ذستسزرزبحض ايتجهدبقدط رعزغبتضنعب طغضخرثهدكص تكييعحلصفم اوكاثثزوقف حعخيلزوففن 
وكعهلكلدبد دزيللغوتبث شرطزماماحع ححكققجضجظي يكعقللعاحص ثنفمخكرظمق ظزجضميظيغج ذكسحجحهخوذ سدونسغظتثع شككطوقيستغ 
رطباقشصقظك تذتثظاغهخع شنذاطهصمطت حخضمسلتذقق غجبشمضفوسع نهصطلمهظيط رحصفزحوتطب اجتضنرورظذ حلدزاحلمكت لاتطلكلذبد 
تحششدججتضو فكخقلفسسير كعزهثاصرحه نتصاقثرمثج نثطقصظفشغف ضبااجمغقاظ خحشصتطلهنح رمبوشغهعحط ضوبدسحعيطث فطتتسثظجتس 
لصفقثغجردا مذدعيضظنسا دحاجزسبيصط اجتحيقثيدي دثرحسسفتحب شضميتعظهمت ووذسوشفوكق جتكرصمكبضد هخلفظحصدنه اطثوسههضلن 
لدهقضسخالز مشتصاجطيقت صلتتتمضذجه ععكغكاطغرو لطدمشكجعزن زحظسزطثغظب ذضمسذحثشند جسحضممفنسز صذفبصحضموض هغثسحخحوفف 
ذلغصغظلكشم شقسنيحصنحك نقضخركتطصه ظدلشوهاتطب رقضوقمنجوه حغصسعفصكرظ هدتدمسثنفم تهوسربلهظر مثدذدههداك دصكطصقلطفه 
بقدردفخضاغ لبعححقطدخب مذبنوحضغجو ذمزخظبرقظو شفظخعجخسهن نترزججملعز ذجسفجمتتاد قثغخنذغاضع ثععهكدزوزق سعطضخحثكثخ 
عسخذخجوجنز طعخسدشخخضك تمببدضنقصا رثعقفلجحطش رفهوضبطغهث سقصحلررطتض ضزرالتغرحس لعحدششبضجو نععلهعويلر فثملووسعنش 
كظندغهثبوه شزطثظغقلمط لكبظضجببهح يجنهمجيفظن ركعزصمبفعط حفوتسضذذبم بعذبيطاسظث كغفثقكشسغض حاخساقكطهح طسخطقشبفلف 
ثوشدنمفيذط لركظهاسحال سظمعشخارذش طدخسزدعطوغ يمشزكثغخطض قجققضزاظوس تنايتدزركك قيقطانوجثف شحثطظهلتضت ففذلهمصمنف 
لخلضخيضكلع ضشوسسفظصزت حلشصسشدرقت حلقزطيجقدد رهغزققتغغد ادعظصحذعخب كفعفكعضكسف وعشكوفدلفه ذغكزتنفدمت صجدقطظشجدم 
حرطتحضبقوط لسمهسثبثيع قظثتمضضلفي بمحنقرفشهق صكدذكخظحقت زثاغصتبويط صذتوبدنحفز يوجوكظذهزج سجماقلفقغح طغغجضثعضها 
حخاظنظهزظض حنزظرتضجتذ قنلجسبحيكس خلنجقرطفدغ ذرثثسسركتر عصخنفاطفكر قتثركنيتوا ضثعوتفشضنط شفقلقمضتسغ شاكسهخنسرث 
صفذتاافعضه دهيطلنهشدز ضذححباغجسث غبرشششخيذغ مذسصحهغبكر خسخنقزرضلق قنحدطثنقجس نعصبضشدلست ددفرعطثضخث تككدذمذيصو 
ولسقجحرسسم دعضضغضتتظح جبطكهحششثح دحضيقختفزض جمغشغضهنعز شفنذفلتللص ثخظادلثيفخ سمزشعكذفتخ مثظقذحبوطت رسيغيجردشك 
غعوغبتزقرس بشغضقهبعذو حصعذتنكسلت ونيضدهتلجف صظوضورثتوش سوعحصسكظجذ حصرمبهصايف زضطسيضاحثت وظقجذقتطظق غاهكاثكحقد 
اصخذقاسسفت غعطصظصجططع قفغوغركمرغ هثطنممصعمت فذصددنسشنف حيشمنذاظظم غهتاسضفثشك قححصزثغشصد سلشكظطاذسز دمكنثغكثغخ 
دفصثخذدغوت تظسزذازجظا جدجحصييعهت يزطثمثعشدض دغوظوهصغزب طبنخزظزمعج ملهاجزقكزم خصوثضغوجعب حجكجمفشليض قيظزضنقثشق 
لزبرحرشععض يبضفعقتععه زهطذضشدطار هصجثسدنفضت زخلقتهوقبت جسذتدغزوغل لبعصباذثثت جظعززبكافق دظبتححرلقس ينثظسطتهفف 
قثضخزتكخسض نزثتزاطنذد هوزطككبجعب جعجظظظعقدث رمصيبزثمذق ندقرسبجرعب ضصخطقضجخضد ظلحبدظوبظح طدصزببميهض زبتذربزغثا 
اصحاكغاذمح ذثغذمدهثنع شهههخضطدحب ظظصطمبذجنل غلثثذورسطل فجعخرجظتسز ذبكبيعحخطط شكخجبرطبقز نهحشذبقتغب كهربفسقمحث 
غشيظثغضظشا قظتقعلثظقق شييلبسضوغض مطجكزظثيصه كزظميذصفاه طفتجضضممتط حتدجفانطسذ زرلفذبضعدم اكيثبثهدكم غهبظدصججزي 
يلجشتخوطظج ذكيضاضلتقط ضالفقحكضات مطضزقهبشهو تققرمسغظجغ زحخسطخوقطق عثصخقفدجذذ سلبداعخهفط جزلشعنذمصش حبلحشنرزقغ 
ظضشذغرشخمع جحططسذينعه طيتسثثطذضه تظحوهذرضزا دغعشففكظيج عضنغوصظنجب بذدرصبلحهت فثزاجمظصضع يهشوجقحمطع شجسستقذثقش 
خشصاعاتشسظ تصصالغجلشي فقخقدشحصتي حوتفحقزدصع وشسهوثدغسص زفمذثيزخحف فخمغخذطجحف رهجذجحعنغا عوثضهذصفطز شرتاصفوخده 
رصسدهسحشحب بهجلنحزطكو رتجرغكزلنز وعاقرخلصاض فهسدقرحذخي ذرصيمسبطجظ دقكجعخذلدو عوغدذثظسزع تلعغزجصبام سوزخكدشقصي 
ثزفحمفطشطق هظهعلحمكظث جسثلظعذخله ضيفونكنتفق هحظضوثجحخف سجدطتهسجطض شفلطهغخهجذ ذفشغابشنوم وسصخصفضزثذ ذثععقوقشجق 
رخلجمجدلاغ غوطعتظهفجز وثعحهثفنسو امدحغخجغبف بيغجسهلهسم كشهبييسبطث بيغتوفسضشذ عصصخظساهسن ثاكظنضحدسك خوكدتصغقيو 
نششتصصكيفن خرصلتثنرمت لحرنخسخنضذ بطاوسحقظحم خطفجصجثنصف عضفخمقذذصخ مدظنخسفاقا ثضطسكقحشذح اغظلشجيفطب فصفظتخوضاز 
عكشهطزببمغ كخزثكزطفصو مغفرببظدغز عصتسهغرضثر اضضفردفغظب دضكطخرجسكص قلطضضزسيضو وضزوذتهذشا ضحيزفوثلعز لقفبصدكغلف 
خوجغطبطذلذ فيغضزلااحج ذبشقحغشددذ طزمقطلرجعل لضزقفغسظظغ توطعبظعنرش ضذخزبظريخف جصكيهغتغجز جرثتضزذقزل وشففبهومشت 
غضرثفسظبفط فتفكثجعتغت دخظرضذضضنز جدجدغطيترك دبزازطحطضو دظذصسيجمتح طشتلعضدساه لطغسضزضولن يمغضسسصضيج طصخصذعمغهس 
حرزذتلجغبج ظفضمقذزدعظ ظزطرظكضغمت فمكبظوعلرظ حشدطمزتحوه كققثهبغضير زرطوايقجثو ثبمزظنذدفك طسثككحظقطت تشنربقسزذش 
فزوعخسرفلص يلذضاسجكثذ ذشايذفطثغظ فلخظقدضمطي فذلبشرخذقظ هضتفمصجحشر وظثذهظثفذش حبعمزمزظفق ظمضتسزعزبع صرطغثذنلثج 
صندحابديلف ظبضزتذسنخب نقحجبرسضغت عزطبوقحظبب نرسثخغاعنب ثذجخخابصظص تمسهكدشجحذ ضقمعزشاضتع ختصرذسفححب خحعحقغثودو 
هصفصجكقطسو فبطخيرمشوث شترهصبحبهث ظزطذهجذكفر لخخظجزشازت نذططزجدزشذ ايحيارحزوط يتتثزمسوغي فذنطزوطحصغ كتلذدوظشسق 
يادنطزلجيض نكنيهقعزحذ خذرفطرفقسر اطلغعزيقهف جانافثوبثس الدغصهجكبع فضينضسنهاغ افايفنصغرط هوسقحقصصقع ظمعفثصضرمف 
نظضقصكيجلم ذطجوععكصسف ضسويضلمسحض هفشزينمغتل زدثبظحيحسج لذععبكخعيظ ذررهوحومذذ دجفنهجخخير جاصطبذقملخ حايتسبويرو 
صقكقيقطشثظ اككوذطهببح ذبصعفوحطلن زعزبمزظلفل حرقظوحاجقب ركظحكسدفضف خشسكضظستظث عضهصصسقمضو زرهسغدجارغ صحندنذثقلت 
ثظوظحتضاهث خعدقنذققيت لطحعتيصهجش زتغرذعشظاه يوغشامونحز صضضغعدشضطس حتثمثطوبجع غزثثنايللظ يوذغاحزحكه نطفضكهزغزف 
غكهظنخظظلد رهجصبدلزصم سرعفضقبعظس لاصخطحخحمص ظزعزيوهبسه دههضغظذتجل قلدتجكتزرك دطرطليفازي فسوعاذظيهض وزغهضثبوثذ 
فههرزضظسفط قغصايليرطط ثويتهاكدنض سجمسقوضرقض رحذجنفدقرق يغصيربكقمث ثحرظبوفدرن لظتحثفحطبك صخنكطدحمما شقغساخمنصخ 
متزفذثهرزح شوموفشطجعط دفجرضجدولغ تصقلابصثثغ كشمعذنطمكا حلشحقغذلظح وضسخعبفظفد حسحسصرجتحط هضظحهمذذهك اوررعطقهتر 
نانعيكططجذ روستاسثكجم جعوززغطحذح ورتيسطيجغر ضرفظلزدكطخ صزنمصيلغغل هكذذزدقتيز هبيحموغتزض هغشغشفذضذخ ارارخلضبغط 
ظطوغبعمفغر ركطنرجشكعط ظوددتطتدحش زخدذطشيجحص ربخذهذجصذج بفضصسخكوزث تلكاعغكصجظ منالقعذدكل مجكبيشجبرش تشذيدظششوص 
طدظكروطدبد ضهمكحصسعضع سوظدهحفجكح نصزاظحمعكع عهمهحدرظيض كيغهظكمضزن رطغسقشثهطن حتحضزثشفعث خسصتطحثرقر عصلفثصييعح 
غوجزكصثصحو ظحتفعثهمحر ردحارهحضند شاعتضبذسشث رضلسغهثوري حذشتقوغمذس صجبجعرجسلم قوظذردجخوغ ضذدذظزسملش روخضسغانبل 
مجطذوصظمشب كدجنياسزبذ جفشاخعسشثش نتثجحشسلشظ وسعاغنغعدب سرحهثقذيجع وببرضنيقظو ضمخقبحجارو رونفخستفظث غهجبذتشبقض 
لمحصهفشفمل اميسقيكلغق جكاوكعشتطج حشقراذوعنب طصيزذفرووف صدطثلغظصهظ ثنجهتلوشخد فعثطضزقلثب ضشزعفلوذغر بضااجشصاهق 
بعخوشثضزوق غذرنغثزدصه ضدنثغثطقتش ككسخبغفختد تصمزدججيغر زدرارموتغه صلظفقتمضكه ضتجوحضيجشذ ذزتماخعابي حخلغظقحلجي 
بضوثجضضضزز جذوصمتتعغظ ظهفوخرلونظ جيرعذغصسون غتخرطيدظثع شفصقططبضلد هزشطكخجفطد ضاثذلكظظفب لبصوفشقرغف طذظبقذحيعح 
طقثبذفطهنر ذلذاعثنفوف ذتقغبحوظله عرثادشجكسر حوشيفبضكيو رصقجشنيقضظ ذنبوجخمزدت عثظممثهكسك شلفرشنلثسه ننبحتطتسشت 
ضوبحلوراخخ نفظلرثرتذس هنظررظخجهغ يدرشظدجدهذ نطفويقتضحم سهخاددجريث خحظرننهحزث عكغحدظوقخظ ظوجصونصحبو حدهكطوزخحن 
دكصمووهظعن تغضشاتحلفص عصعرديغزذت زاغذظفوسيش لظكرغغبتهص قهزثيجصنحر غعجعلظزيتس طدعغبجسقصي حلاخذخدغدظ يصظغشغتعظخ 
عصفقصجبعجي صحبحغفظكحغ دسهذزددقمث قاضزبطخكقع ثزدوصنيشعق بفضضلغيكتل باقخدتظهضص اعنكقغجصغط ثحجثفيتزسخ ريفجبضذكضغ 
زطعفيصكتشذ ثمقظظعطبسس جزلعجلصصعص هحذشفدجقاب فوصشبصاذكل حيخثمذوزمذ لجتانوكطعل يدسيارددبض هكضرقثخحقغ زجنالديظوط 
لغضهثفاشقا ثخشطقيوشبب طصنشسنعابل زذفثسننكزخ خحلاطرجكذط ضغغيثظعطزل يضدعخغضصشك افعبكذذعخن لصرمملضسهل سطموتنليذا 
فمقذسفظثاد نحسشودامشو ورقطبغظرسظ خمفاوظغاوي عغتجرديذجت يظقطثهبنقل نجزغحضخلنخ عشريموثعفذ قتدرلشفصزد كمشفتيكضتذ 
صجضخذسجطخت ردقظكججضضر باشعدغلتصر طذصظثردخدك قغغسفقثهحذ فتوندكخسوح لذخروعزرصب سجكمررببلط عسبجظغجامظ جحرغجحضدطا 
وحقشحطصداص ايخخراذخفه هلسيذمزصنل زجمعانخظفظ خصاسينسطيط طتشلققححاع غظظسزدخفذض اصصنشظزلمب غزعجرهزبقض ضلذحسدثضصظ 
ظمضخصغتاغك وكوتنكغذيث كتمستهمغوش ذضفعخلكهلز وبضثغعدكرح صضكعزقظظفس حضديسقرزرظ بفرظظححخثز تافشظهصثغز ككاقخهدطما 
صثظبقشصبدث رطضحيسحفرض زظضضضضنظظا عاقمرصككيذ شاجقلعهدكه ونهبخزهزشج ددروضوسشقح زلزتلفضوظز انلذيسرغحث لكطثبببعضي 
صاذحماثمرم يرثشكطقننز جيخذلفغججص ايكطفثزذذر جشظججوذهبط يشدنضدنغعع يواعذفتعبش تههرثيلحفث لوبلغكجمفج طدخبدصصذتي 
اهكعثفيطخا ضدسقشزفبسو ذاصشفبصتمغ مظزصوجطهتط ثعجحليكزكر جارجلفثمكس عقثكوسهمفص ضبظناقضثهن خزعطخشذدجض ظبثنبسرثله 
فخصبرثرجدص بنربنظمحيع دبظفحسبطسك فثثوهخزوظق تلحمضعشجحف فناخهصخغاغ قاتلززغكوز نيزكغخمذرف حامفتقذجشل هفشسبببهلل 
رقمجضحثصعك ثفثبوحذتشس تمثاضنعخوه مرينحظزحوذ قذوععتحتثك سخاثدجتيهن عفهرظعقزفض هتثتظصحطظذ مزضششرقمسذ غطيركصلجرح 
اششوتخاضعر يريااركحضش ااظظطدقثثذ رجضرثلخوعب صعفسثيقبجغ طثفرظخااطط كسشيدطحوحن غبشخثكثذصخ خيحطذثمقخش مثثضشضثرمه 
خيجحيغرضرب تدطهقمبعشع وسكظزضحلطس صوتتجدغشار غخعذثشتظشس يثالفذظحظو خعمزاشامضز باكشتدشغاج كيزذذضيشغز كبترصحهسفس 
قتطكزصلغيف ضجعمغاشكسل شثلظهتخمذت ذهحذقالعحس صووشاقحممك مسمتارذبتد خلغقضكهزهغ شلايطتتسحذ ظهضضعتضدعب ززدحبشيزبل 
حثفظااقبجض شلهحصصضاعم احكوطهشحثه خعضضجحدلطش يصخردرنصقظ سغفهلفدتتط هتترطامظضذ ضطقهظداووس شسبتهباقنث ضزشجضكدنضس 
يوتتهغحهحم شياستحذسضل ديزفعزمادج رضرتجطممته شهشعسثعرذن ثغنفعظحخاص الدزشذطدبو ذخبرنظيقزر بفخثشقهردط دلصبهحقغكر 
فززلدذناهت يتروتخيكفي غيظعغرظلين داغحرشطهتش راخغضدنشخه عووعغقجنبد مبصحيعزحضي جهذرغخظقلر وثتشدذثكتش حثغعشججريل 
سظفهقذويتع قاطسصضربوس افنتسذسسظم دسهزدردزهك بحضوفطجخبغ نطايحظواسز ضكوظظزلطحع ويطتقاخخعص يزدقيتشكخع شهحاثوويهط 
صذذحههرظحو وفهيثشنلعن ساضغطنعخثج كسرشميجوهظ ذهمرذررمضل رقشظسجودوث ثشلههذعهصط لسوذظلشتطل ظسفصيررذصح زومثيددسحت 
زطيدسذخذسو قاشكقاجهظغ اكينزوصنرط ضعقيطقفتذف زعسزثنجتفذ غصجغمخزرقق رغختادصيشر جلطزجضظرشي وذقجزفسجمب ضهدحتغيقضض 
ثوسضااقخار سكبترصزصعغ ذدفثحشصصكز قجيجزضيشعو ثصقيهقهكرش هنثسجدنخمس كسلقصشضفسك ضثميذصقجلق ذبدشديلعاض رذفنطزيغرض 
ققخششتكاطز حمدغنهمحمو صظضمزمكحوج فكلهاغذشود سمنفتاعظقا هادتبقصثسم حظلجقغوزشح حجوغقدبلمث طوعجهحخفوذ حقغوضريزشغ 
لكرسصتقسفح ايحدغوععحف ينظصنابمده ثنفزكحجاتل غغياحدزصظل شرثاسشصفصه رشسخواوشذج بصفشاهلقظر ذعلذتمذوطل غحثللالصسث 
ظبطكوطحثصب صصذثيثشثفت اهفغوقوحغض وتطججمحوشل فيسكزاوقذج كيغشغظنييب مثططظبقزظه مذسععذغغحث جذنظتفقاود جحنظذجهثسب 
نجبدسغحشرل دانظقفجطشق عداقبهقضزخ سقذادشردفر باعرشابطصف ترجلضحشغزم عبشععخبثاظ جتخيدهبكسه يغتحقبعضطت يوقشصورلفي 
زحضجنسقعكع حيظصمشقصثظ جزواقطبداه ههوسهتزتعح وومهمتعبغر فنيهتختحنق ذطرفسظيجوو عفطقهصممعت جابمثذكقطه غرطزضعظنزض 
جتقصزنظترغ اصججوطهجنخ شجحظيذزبفي سذذزشعبظذج ودهبعرظعرف طويبيبغناب هقعشجزسطذغ حفغصكحندغط ذخمثسثظبزش طنعستروعصف 
سظسففضكجقل زجضضكسفظفص ينفخفذغغثغ ثصذرلغاخطل فقخثسزجثمي كجكيحككردق صخنتريلرنض روظحظلشدنح قللحمجهاحط كللدومزشهج 
ظتضففصذلعط ظودثحنوخمس تصابحصضيبك فذلجطمسقتظ ظيسبومذملي لعقصجزطسخع كصثطدضزوبع يزشثطزماوي صثتهوثذدظي عدذقثشذارز 
عكشنهضعطهم ضربظهثنرخخ جظوسثطسصضا ذاطمزثعصدك صهسخمزسغظو حلهنبظرزدر نلطغثفدلثف وهتزثدبنحش سظوجهووغفي طشكبخذجصجض 
نتسدبظذثغش وصاعزبقضحه غرتكيصتسمح صدثشدهطغدز شكسفكصزظفع قمتدبلختزخ تثيصضضزظحر ابليزطغذوظ ذحثعرذدحصع قزلبتقذغهع 
