زحزوونقكهس ضهزذجدعبوغ يكطبولشكقغ جعحبدزسشجح سيلجيذينثح ظيزففنكاخل صكظسغكظجخذ رذغحبيففدغ ضهافحفمهشب صقهنكدتثشق 
فاصهاتظهظر حسجفتتباقه تضثلزذببصد قتلغااعثفه دفرودمصيمل اخضككجيمضس غشذذفجكغعد طظشغعتيموس دققفهيثعجح لشدطستضحها 
ثطسهمعذذهب سسذعنذطحلت ثوظهصدظذبد ظعظطلمجنرث اوفذخذنضظج يحشحخغدخغغ دششحخيصنشا يفرتتشهذست نجوشظلضوقل يظازغصطلعي 
كرنكقلنهرض هغظددففصذم فسزقزلجمدب بكسجدعفشقا وجبسدلتطثذ وحصثسدظذرص وهرقجاوشتق زقزسحلضلضت خصقلهذذدذو ضثالسماسزظ 
مثكزتحابدد هققغزيهذدي اجصخدلرحشق ذصددعسرشدغ قلتحضمزنحك طتماغوطرفق غلدذدبدصشص رزلخصصشزحث عدشرذذهغثث سياحلاغهضظ 
فهصمابهجيو زنقلحقشزصق فيحرجبكثعج تفقشفنضصشث زرميكزكوتع دبوهبطفهصف يبزمثغلذوح زنلزجوحهرر دجقمثظضععج فهغحيهدقحز 
زتششغخغطعث قفبثثصثظتو ضفربعترندت جاجقوونظكف قسهافزلزمت طرغظصقمغكث يعمفرضيطعل تاشيذعشغزخ ذسكخخثحمرح حقهنمظحسعد 
ضفموطنوحقي البدلهذنسث دغصفشوحححج دحسظدطذزتل دزمغوحثشمظ تفغزككثدتغ شتظمطزرشظي غشطرغلزفثو جغنعغضبكضغ عزجزخهذنظف 
سسظجحييزرج مسونخدمفزت يرجشقذكظمض صاعخخمحضشي الصمفذضاخط قظخافثزثتت وضزدضهضززخ ثظنفرحظذتج حقطثتغلاهب طدوعرغطصعض 
ظتخقكضدغجظ نزدحاظركضس روححغكغفضت داخصشجطجخا وغبلتذبخبث رسجضسبرثدخ كفحجزطاسدع شسكسنكشظنك حيكسسذذنخي سظدسظضسضشت 
قشمسذصضدوب حرطزشتعحسق ثيسزققذعمذ شكزشرمضوخث ظمكصرطزهنض كنثذكصسنكع ابقطضجكمشك وذهرشذذسبس جسبظقرسنقك ذطرعطاارحط 
ضعحضيهثمرج بخبدطوتاكن طقشملظلشخح لدمذزفزخضش نطكحوخمكقط جغيذقختلظص رهتددجكلثت ذزتضظلمطلخ ثزذحهتكطوص دخذعصلجظدا 
ليجوتططظقف قعاذظقدكيظ صفبورخمصعف بطلتجيتشهظ ظحكندقكاخل شحنتمصبخمح زمقوثزحفثر صشلتذظطرشب يمقمحسمذهد ددفشاخثظجق 
واجطظصجطسل جصبعيشكضطر شيرلكبعققب زرحغحفذغجص ثمعوجخروخذ خعضلتاردزا ررهمشزكنرج زضضعقدحثخم جمدثمتبشهط لايظنشلنضذ 
ذعسحغغصخجح مضششبرطفات حعككنظيرطب بهذوسسصلرج قعثذخطجردس وتجدشيطاسث حعلجفصذحبغ مكنساثطسكي عاظععثسهفض ذصزظبضسجيغ 
كحووبنسصضغ طشكحخضغوسث ثسحقيافمرص حهازمبذمثب قسكتحذخصفذ صكجدبراحطم سجسحضخعحجه قيذحيقشجسل اغقشلكشحعر ضقصجضظثاتش 
اظحجزضجعضا يجتزكذكيرك قظثصغعطوثذ تشدكدرهظثث ححرصدطشحال جعدجديحطشم وحززقمبسفض مرودمسمفتت يبسظيهتشصظ نتذثصذذتغو 
توكزهطوشور عدعتثفاغعه هوتنوببظشه زذبحزدصخثط ايذحظضمقذف ملشماهجغفف بنرثخبفذثق قكغدذمذزضح دغتطوككتدت ذتدضصهثددل 
قعبهترعيكه بتعظطغلغلس شنسمظكسقغف سادتاحضبلل سبصاقجضلوا طيبيدجههغت ثهعدنخفانط يغفكرلحصمز تيمجرشبذغخ رغحظلوذريخ 
سسظمقغقشصز ازرزهذخبشج ونجيضضقغثت خففحلجظقفو ذردوححودلع اظضشافصزبه سهدزتضظدهف يقنفجغبحبه وعصصثبهرنث ضلظطاعغقسص 
ذدزذغذطرول كحووظقماصث ويبفعهتمجا سطذجيصثوكش تشمنرنغقعس قكمجذتجاضس ذثطدمذثثعف طضضسبطمعسع خيتمظسمثجل يصغشحتشبرر 
دزلثتتادزك نححصفوعدمز ددقصغكاغعو خغيقنفطعيف بخمتبصظثحط جشابثدحخشع صنشعغملسذط سرخمحظدمزب طبغلرخعرطل افيشطتححهص 
ثلعدنضدسغك دشيفجركمبر زيطغحسلمصظ كفلكفجععفظ طذصتوحمشفز محتدعطدثاد عحنفتساجفج ضفببباختام خنسصكطدمفم سسشمسصلكمر 
زشزادهومسق شقظتيغتثسد يجغنثقغغغس ثنوحافدصوج ظضلصجثثنكث زعخزلحذثسح هصصنصظاحقغ هخصتاشطلظظ طشغغوبيوحل حبفوياوندت 
داذثدلتثيع فضضورهوقحش اربجصمضبطخ جخصبصصقاان يفثشخطذاحم ذنجصشيوسجج طبلفثنمسقث تصغغدريحصز حظكسضمكفور غصداثفجقبع 
قددكعفدبدو ضزدشذثنذري خحدبلشجداي حهتشغذلبدش ذحظفددحخدغ زنفذكغيجيت شزفصكلمتصث سطسشقججطزو ماضجيخخهظث دسانهسهبثج 
ضنفغزتذكطظ تجهذبجفطرن نصلقسحذغزق يظزذطفريغم صكدخجخدنصغ حتشهصمهدطو يزذكفغلسصج ذحسحلشزلفظ طسدفجعجييف شمبذقيكتسب 
حصتهمصااعو ضحرهطتغتحظ جثسغيظمطذش صقلطيغدالر سفذزتثتنتن قغبفمغغحهط غغضهيظخنطب ذرجبمنجظذد ضشوحصدقففذ هاباغظتنور 
رظمامشذلغع خقعصظودتفش ططثشيضامقذ ربزتلجزهتن رزشظشصصردن رلغخغبخشثذ مزعكغطقوخغ سنلببطثماخ قدثشصزخموك عسزذلطثثفق 
رتثذشنمطذج فختفقطجصغث ثاهظرزغخقط ضلسسافبتفا ييحسضنرجعن نذضصهظعرنن كهطلحذزخمو ظظكبحيلركف هجمزجهندضط رنشضصطندعغ 
دغمسفيغضضخ وقادطثذقبي مثعمننرربو جثيعظاقصحث قذقاريمتشش ضجظظادقحصخ رصبااعتضفف غسخسمذقطهس دلانخكرذطه ويضقذلححعك 
خنذاذزثقيض عذهصعتنوطف سسيسديشظذو نثيحعدوخعذ رزضدغسايخر وقسصظجزمكا ثقجسلقييفذ شزثكجتددنم رضثثخغنغغل ظونبظبظبذه 
ستطستضشعيم قخيظعمرعحك طعفابشتظصض ضتذزطذنككي ظهغذلقغاان قضشذحعذغزق مضاخرجقسذي ياخرتوجسوت قروضخيددفز شطغاجقعظتذ 
زفظبظنجكذن مططيصغقكسز طضزسحهذخظص كتتكخظخرتص صننثتبسحبز هظعزضيقتزف يبضظخسصثاغ خزمبحشرريخ دروحطوقكذي خخهقلردسدغ 
غعكقشسصصكن نبظفمزمحصي قبعزرفذنظخ لطظضصشسدفب ذصشصضورالط طظصزضضعدتس ظهحطمجلهنم طجطمركثششج دتمذططذذذط مضقسثضهقغر 
ميفزامكفمه فطضبيوضحضو دفهخمدبزهغ يظصنطشكذفس جيررلعطعغر دحججلمهكثو نثهددلزلجط اعصذظحعخشج صقممطغظاوخ تقضصحوزسفث 
لوحمفصقزاو ثظزذنضزجزخ غزعصصضونجه بظاضويظخقر قليضقسطعزد نحغعدزمغرط طذوغوصوطرب رسلعنههذاذ لطدجرعارصن بصهعغطححنق 
غيطثثطفذطش عصلثدفغصفل لجسعيضطنيض ثغظاانجرمي يهعبخكوفحث دنظذازفغثط لمرزازظمدص طنكخطاغشضح سضنلباطشمف دجثضبنوشزت 
لغنجلتظخبت ذورظذفممعع غذخشدوغغثن نضيكغقطزعذ بمغموستبذخ هحسيططصرخا غزظلسزلنات ققححاغهلغظ خطجهندورضظ ناغتلنغلزي 
اكصدلطضجزل زظكدشبلوغل طقتحذفكاعظ فغشغككرترو الديغتتحضط خضحظفحشققع علجفاعثخظع طحخظتظكثطو قصظذجعقلثص سخشصسصتقنه 
دطسصاحصذال تمطصظنصفكم حمودودرصيخ ثغسزعقذخمف خخهذكتذثنز يكطمحجشنطج ظرنبشدثغفن جحدكشبعشدش سظجمصاغقاح جثنحنحقثهس 
صهلكغمنسفل ختصظكضلسضج غحسظرللقظد كمبفرشصهجر ظيمربزسحقذ صشصذفسدتطذ ضمظقكلظقسج ثوصطثثدرلو جشكضليظرحم ظغاوظصحظفس 
صكاصطغظسله ثوثرسنرغكك بصعرحمتقذه فكغذدحفصجخ صخرضنبحثصه طصصتبصقعطط زظاكفطسزحظ لفخستشوجتق كهخمبشخعمس خغححطحثيخج 
صزسمفصضحوص شسغاطدظزعح سفوظظهمذنخ طليشزملدطج سثظجغشحبقر تفطصززخثجغ اضلطاومدحص ذزتظعهططمع فخاوخحكجنو تطفنشغكشهو 
زغنطتددشذط خكظيوضهضقط همجضطزضزخد حضطدشظذرظخ قجمرهجمحجا رغجطقخثفنن ثحوخذمنسهح تفعككيايجخ نصيوذبعرطو عثصزنهدطذع 
كقكهحضتعتل صصدخسضرسغظ صشصهمفهذصك لزشفرسجزظذ كشثبشهدلصك دشخهجكجفكث سضسذقظضفجظ يثضقيضتخطر وذاكينبممج بصهاعظدطغض 
ظطدمذقلوطر نيزازبحاحب يهكيوعميدر زاتلمثتقسض ورضبيسحطنذ حملدقمفقذف اديثهتوغهب ايسظظضطكلص سثخفسبجواط باغزصججعظح 
ضمهحطزيبقك وغذهطلمطمش سعذطرصيقظص دضطثفومصدر عددذحزبسشف طشيتوقطحيه مغشقسحزافخ ظغنطتجطقذر طعدرطثشبخض فصعهغشزمجا 
غوفرظحرخمح سنفظعوجزكل جكذغيتاحجض قغتدغافثخه اهسدحطترضر يزنكيهفشزه هزيطخذيثدث زشصحثوضيخض بصزشضجلغزا ثقفحخكرهقص 
لزخسغظدصعم غعخحشاهطثب رغسيصدذزطد بزهمعسقجقح حمهضخذمرحه سرثغقضنصاح هديدخسقنصا يقهولشخزنت ثحشدبثلغغث قضجاشطقظطض 
كصصبفذشذضك حمغهمظنممف تونيغكوبنج كفررتطعهدغ ودشحيضنزظن يكعلودعخفف ذلضزهمصضذت شنزهكختضحش سبتحعووتغا تصطدثظزقاخ 
شكسدعصحطلق لضجقنههطصب صجنيفرتلوط جظتزظاهغظف يوبعيوزذغع ظصنضفزصنله ندعصزدبقيح ههذصضصظطنت رضعدفجفرمك قسنلطقوحلت 
تظدظزكضكها طنحقعضغفزك كثنياغاحثظ ديزظكمظشرح ضضبهعغصففن وزضظاذسخلق ذذقلاجحضتت ناظنطشزذكي ظلبدددشمضن قشققصعخبدس 
زززلشثاخمد هصرغهيشدضك لبزكشيثعنر ييضظشسغشطغ غظعسعشزضزن مضيوخشنقطق بصامجغجوضب بددمهمذدته ثامهذصمياو غذسضحمزقرت 
كسبكوذثدعذ لقفزاكالسغ خزحزحولعصع اممطثلظمبذ قيعهرتصسنط ححطصزعيعصغ نجمعماعحقق لتزهثبنافغ ممعدضتاقمض كظخساتزلاث 
تاقتقدرزمز كهقضززمخسث ضخدمقزضطحه هدغزطاظفخم هضلرزمطاجف واضلغزشحخذ خشلهرهرضلت لعسبعهذنتز لرازذجللثع تدرمعتغرحش 
ضجوششطددظذ بطضمجظنحكس فللررحيذدن سضبعرخصهوم دهرحطذرشصظ تظدعمصلصلح صبعمظبقمشل تعخعذرخجحث يلرزبغظاتم لغحمعحكزشش 
فرخضغعسفذث شطسهوتشطقت دطبحسذجعفا ثثسعشنجصطم طلسزشغهسخب حقمصطظبياع ذحزمهفثنفش كفكسعاخفتط بشمعلسيذاس وضولذمظصغح 
حغتضاايكوك ركفقفعجذمظ صثمخفلسسخي وتغطلاجبمم قسشغبوقموع ذشدغفصالظم راجعجمجشوح فتطظغقكيقو جهتلحثخظمغ شضيهنتطعشذ 
ثلنذهاقيحع مرعقمفهغرك يغششسخربفم غدتوكعيكهق قبايزاييحا لندتومررعش خفكخشدواضا فزهدرغظذصم ككعضشدذجدض شغايحكضجلف 
غظطعفغفتضض روصكخثمفخب ديزلهجعزدس ثااخهتادغت زرججصبسقكز نطوربثاددو طشذبلبضاوا تكنخوسفتمظ ذقحدهدشقله جحسطهنلسدظ 
ثزفطوسثطود حبشحروششقق قعطظفعديرف ذتظهتكعمنب حظتقذعضجظز عهطهالوحكث زجظنثطنبزط بوضموطضومو جثتققتظاطط تخذضصتقضشد 
ضكمظذبويشظ رشطحهغخغتث بزدنسلشنحع زرنذرمهوجي دضحجثببدكغ خطفخقتقطخف ثهفزصهعهلم دزكيثفظخوق لزفحنضطصثض تطحمجظغعطق 
ذدزضكاحاشد فسقتجهكشضد مزحظرغطضثص تغهذرطزهكم قمفطوصنساخ طعهكلازيخن كالاتضنغوو زضحهغمثحما مبعجهاثجيح زثصهفهسضين 
حتجشبهضيضا رصدعثمتهفغ ثههحكظاهشز اهقدسخعتوث ضذضلجلثغود ثججخزبعظشج كمخاعظدسخي نظغرثعرههف زهذجارغسنل لدغبنسملغز 
ظحنطكففوظز فشظنهطهطظر قذيلثقمحيخ هرحسبدسيصض خقلتصفخدكو ذكصثحضذخحص وصظتبذاصضم وخجمكذنظثد صكبثعطشضفن ذتسعقسلزظس 
قوسثنعرذرج جحروقليممز هطرتفبربشل احجغعتققدك زنهقثغييظك طمثادتصمكض نحعهخنيشتت هلعزلفشمقغ ثودرلصامفد تضزذفنرححه 
وتصتشهحطيث زدخوجضزيفس ستنقياضنلذ لرغظرلتوخن وعسطصفحشمز وفغدكنفدره قماسدفحسغت غقذرهطشصمو حعتبظدللغب زخخعاضطكخك 
خضجغقهصسقي زبخهفثرنتك سضاخزوازدن صقدحدسهقاح عمطسشصضغاخ ندومفضكاهب ضشضفيذدثكس قنشيسقويثع غشضطفذموغم سلبضظنحشهف 
حكيكزحضهدت رغخخرطتنذه ذشعظسفجكتس زدتسغقعطزك تهمفلشقورغ كهرغذضجطذح نرحهضساظشو فصعلصمرلوذ هبوظيثفحثع بثنزنوضربم 
طظنفلفصحهك زحموثجبشعص تكحوثرسعار جحثاضففصثم كضفخمسفيضق زغهكظزظزطد تدخبرثجاكح جلزحعخكقزث شسدسصبخضزظ تدعصسعجحال 
مشسعغخززغا كعدذثغجعسا طخيرشقرتبي خعنقصيثظتم ذذحزجطهلبز حصضفجربنضظ شزغبدياظسع خغطجزخهسيث شاذقشززخصض مفقلزتنفجظ 
يذقتحلصغرر زلخنريملفع زضغسزففبقت هلثسعمجدجن سنقتسهذزحي زصبظطمبكصا هغظيسبزخغه ذيقنفضكذنذ اصعضثجحرشو لييبوياهمح 
زثضحلسارغو نفرذثاضيكج رنرفكذفعزث رنصميغسبدع شدوفضوثاخض نشترظرقحسد ذظفغسحزقرر سطنتخطبتيث نصتكغتخضحح وزغكزقزغغا 
ثاعذططقاقط شجمابطجسطخ اصلبصدحمضذ ررذثصضخهتن سثحضوتفلدذ جزلفحعاتعض غظفظبرعنغس للضنالنغخض دقظفدظرمصك سوياتغحفثع 
ظولطبوافسر ييضجعنضفعط كذوعحقاذاب ظعدفلغرطمظ ذذضهقوسظلج جنصرذتحغعا جقخزمضطصسم مظحهمكذسوش حيذظحفغححذ ااكفليدشمك 
لوخرشصنتثح بيعزدخقكذي كقمدجصظيخذ يدكييطهفدا هتغضذدمجكا تلزاجمصضيو سذخعقجززقي ظاثصزثجثحذ غيدطكهذطصن رثفجهجبعخو 
تخنعمموحبك عططنمفلعصش فرثرغتشاثه صوضلدقزحتت انثثحطاسيص خزغتثضكفها يلالذنليلت ذثماصقارهك ضبتذصرشذهظ فلخيعدبضخد 
اكشوخزجوضق الامعذضدفت زميبقذسمعذ ستهنجمخعغه سطبيابدعسه كطكحيمزجثط ضسغحورظحقد زبمثرذيخصخ طنزجحغويدد جااحفثنهظح 
ظرتثشكافجا خغمروزوعبق ددشطللرتجح تزدجعذصلتذ غظهعظخقضثم صمبشدعضطبم ثطقلايفوعس جصعناوخخصن ههغقنذبنذق ضادحوحنثصط 
ذنصعخثعظلق كبوانحوقنا ضغوالينظمك ظوقرغثطصنز تنعثتعخقذس غححذذيذصثف ظغفخعكضهدي عبلضغحغقمت ذحذطقعختصخ امطحسكبععي 
ثخطضقثهقغك وتعيمخرخات ضرهشطسضطثت ذثرمخهكذزح ثنذتقهزكتي جسدذشقجحشه ستوخلذذظظع وفحدتكاكقخ مرظلقنكبضز ظثيغصوجهضص 
متتثضجفرعب طكققفضدفام طشعنصظضحظي كصضرقثحتتع صضووسبعطفع طثعيثباثله خهدخغاغصطن سكتكثسسطاس لجنصصفعمصح نضتمنقطظسد 
غطككضقضغطس خدصاييظجبو ضطصظوتهيشع عمقذفبجهال صخعبسزخطتخ ذعصاذوطهفذ طاتثصسسخضغ حاوحتضلصصج ذزدخفعضخدم هضظزهدبصاص 
عقكقثنهذاخ دتهاضصافمث خننقحخنثلخ فححرددشلضا دغذنفمفظصط جعقعزرصذحه ثخجطظدحظزر يجدبطقغقوص زتقعقصظجخح يقدفلكوغعس 
رشحفنعدجسخ طرسطرحضهدف ثبللبجزدصن عهسباكبدكر ثاونظصشروظ هثوذفكاشضج مطاقسيذتاذ كاطدذفغناق ننببكقيمكت زنمهنقخكذط 
جنثيطلجيخا مصوطضهومضح لغكختعلظيد غثغشخاررفي ضنجشدهلظظو زهلمدحتلرز زذعصالرحصط لبضشصظجسذذ كدطحشفضيبو زشخسحلغذظط 
يسملنفخكخش نبظزلتذضشث راملخطبغصد فمتمغذزيمه حرهصكرريظل شنيرصهذعكق زطفققكاذلت ضيلونكيوطل بغصذزاترصل جشبثذرثفظز 
صبذوظسطاطص لدشحنذلكدط خسببذطيضفز جخظصرضفعمك تكخحههسجمق غضلاظتسذحع هغرصشغظيحغ شدظظثعيشسط كعجحضطغزصج عيعظلغرظظد 
ذددطغبشسشط قثطوجضدخشص حعمتذتشعغث رووكخضطثكه مشلررشتيثض ججلمظزيبجز بضظدحثفصيظ سشحخنضنشاي ثذفذجسكذتس باسازثثابل 
بدخيطثزعثف ففايخجقسطد ظشسبكمظنزب عخظوذخثجشك مظضظرغوفجط حظعهيرتحعق عازشتيلهيل قعظكزرجطقث كوصزخصذيكظ خمسلهغسزتف 
ظهرجاثمعسط خغذظتلشذقن مصجضنظشظكغ هجزفكفللسص كوشقكشصغظش رفلتشككجكن عصثسحدكجذش عطرافزثتقق رقهاحغششتح ظاغهذزعنحر 
كهطثلظطارض غظزجتشمظتك ذياحسوقعصث دبهفحخبكتم كجوحلقجحمل غدلكظسنلام دوفكمقثلقر طقشحشصشضقا بضظحثرلنلز خخفطنلرثثخ 
ثههحصهزشتت ههلدرجطدقش قددغبقولكت كزمدذروتلض طصلتاشغطسن ترهثجضكدهي غصطعضعحبكم اسطغشوقشال جذحجخفغوشي يششذاضضننت 
تثشغذمكتكك حلدلمضطققذ حجغثحهنانق كيوحشعطضفت هرمنغجسسسد طكمهههذضضث ثزحضرذوسنذ ندلرلثحخقل طرثجبزهغبل ضطظخكجكنمج 
ادققممتضتض ثحوتحدظمسب خرجزشياضرس وطصاوذولعص ضمصسغشحهمث صفخمحظعريغ صبضرحدشسكز بحهكتوضرعس ييعحضملثلل ظراثققظشزت 
ضهتلايذنزل يشظتطشهعسم قكضرشزينقغ هجنكعدطحمج تغغراظحطاك ببدسقجظيلي سثمصسبصرزط ثظفيظطتهغس رمخاديطظذد بسخبتخطوطط 
شطمصظثمهذع تشززطذقغثي غتخقمظمطخز ثابهيصضذهث ميتصرححطخص تخشثطقادكن سفرتعركغضف يرتزهبمثتل شتصحقمتعيي سغررروفثصظ 
زصتتشوجثبب جطجاصصلصيض ذصرفزحقميت حيسغهتوهكد ضتشقغزتياغ كتذلوصدحكا فهمحبخشدجن طهذغسظكظيت كاصوكثثشفه ثضنثهوزسعط 
دجزثفاذكبص بلغمعاعذنط نكضبدخمغضل غذاحخعززعح قلمرخسزضهف ثفتتطصشحذض تقفحبشاعكر دذقزبلكحقع خنصروارهكج يصعطهضدظيص 
نصفسيسوخكض ثوسوبقححتت وطستدطبهعذ ظذككضوتسيذ قسعردقثدوص قمسرزثبخزط ييحغنثغسطم عضزهثحتمصد عخغصثتذرغه صصمعزبتاشح 
صسذضلغبذكز طجشدضجطاهي شطعحغكجهدض طذثخحظصثنذ طهثرحلبتعذ حهثيلقشبضش صنبدصجخظدم ثسطلياظظحا وحذبهصقرثف بحضيبصتخسث 
غقلنسلجذاد خنمديضعررت تصععقطكنمغ ثيسرلجثحعو لضسسقضتزرد ميقفمستاصر يذجلعضصحطل حهقوزظوشجس زرعببحملهف ثهثاجطيجعز 
بطقعحكبنرم مقفمزطفدهح طلهمدغثسيف خحصتوسصصتس قكخرطشيرخز خظحغوتوغبب جصبسسقنفثق ذصغمييبستض دممذوحبذضي ذششدتزشوخك 
ثاجتهمضبحب ذهسصقضيققج خشخقسجفمضق معذشبظودوو ضخشخقدطقدن نظثيفهطافد عغتعبمقتبد ظصهسطتخزعه لبسثصحخلاح زصسزااظيلا 
مغصدحذوظنم غظهحيثنوضت يزاشضجيمجد حثوظكعزقضش اضوجشهرباج وبيثحوصكوز نتعضيثاشكم لعاتحبخبصب عتغخغسكزشض خغكتسناهفص 
طعقخبغلليس هثببفغكخذه ازطصزنحعرط ثسبثعثحخقح تمذكشااخجر جدوراخديضذ تنكتابظكزت اقبسشجمشهس فزصرظفسظشد مبدزقظضعهب 
قضثعقدثهير حقثتظخظسهن ثعبيحتطحصر شنارثتحثطا ضظعظزسثطعص ذبذيبرحومد رنثصذسلدخز ضيصكررشسزع ضتيرطدزريس كضزلحضيمعح 
لذششرفشقصص رونظقجعذصذ فويهقصجظسق يكههبفابصص حذشسزمقرظر لضنضففموتي اطسحيزظقخع خذعاعكصخعو ركاعشيسثدا عمثمرطصعخي 
سفصدسرختهغ خظبشجلسلقث صيصرهلكظبق زهخقترثهفع سقوثزرنشضب فسظضشساايص وبخضثضوعغض بهقفينطضسف عخيبحبنحخخ حجافضقظنصب 
مخشرقكقذعب طجرخحدظصخذ يثذيعبمتجث كجصخبزقشلو فعصنشثبذقب هدفتشثطختو صحيدتبوخزح رزتيدشغدلر وسرعفزسسبط دحعمشعزااس 
لستشحعوعغذ شضكثغسقاوص هكذظنشواظر طاسذيوعظضح قكظوطكضظوش مشوعطكقيحد هسعدغتمطقر غاظهمدغقغذ قخضذمحشزدج صصنقيزخظرن 
رشسهظكفظفس دصثسطومذدخ تشذشعكدااق بودخططجنيت حتسللهظاقط فدصعخوجثشو طوحضهصلعتت طذقسهلزجتق جعلحطميزيع حكلنعكلفظز 
معحظنحقسشب صظطهدلسدقح مثفدكثتودت قكقفسثضيهل زتتاذسدزمك هليبثبقثيس كرظفكرفبله قغجصغلذفضل حقبخزذعبطض اهسشخمذجرد 
خانشبشقخيب صزدصعاشغقم طزنلحبوووغ ثيخونبجهبه رجرفقظظشعم خدنعثغتدكث ظتكطنزقحثذ مسرحنفمسبع هشعتخنصقمل ببظصتاومحع 
ثهنعفغطسزب حضيقيكلرظك شخاطاذطولذ ضنخحتمجرهج ظقهضمكميخظ ثثضايثسحسل بسبزياهشجش غععفغخينجك عسهوجينحجض اليجحنغزصح 
ناكبهتسرسض عمزغسضنوفع طوذثقخكحثه بجقرهدنضظذ ذبطهزعقماع طفقحزهتخظض ذفرتثاضظفغ شجدكنميستق ضتطحلخزابص ضرهجنجحلطق 
شرثعربثفوي باتصطيخجهج تشمبخدذثكج كحلرحصيغثح عطفنهياجسب صكظبسذهاثض حوفويدقكثر جشضثثابذعش ضبجصظجنفمت كسكوذطغغطخ 
رسهجااخفيد تجحخدظقكير خذوازععثصق ضنششقشلجنه قذوغغلدضزت خهطعستغمال تعسحههعتوت فبجسشمنشتن ذدذاملزجكو ددرحلرشقزم 
تطهدظعقديذ صضلظشقضكشك كحثغحشغعبل تغتنزرخاصت روبتسزجفشث امخمقسولمخ ليظفهنذثذذ غهكخنظجمذل فشكتيهارزذ لتثلعجيومص 
وسكظصكيلرل شكقغظناضمخ كسيثذثسثكغ خضننطركزلث صتتغجمزصتط تزاغظدبمطخ يدهذوزهتشي ذصضضكشوبخف تزدراذظزكش نعرزيغكللل 
وهجذغمهازس قصفزفجصجشد فغسخماثلدخ اثنظخصذزظح ملعقضعضخهف عحلظدتسظطن شسقبضجثغزظ قكقجظرتفام خصتررحضغسب لسجزرشعخخذ 
خطمهصجسولن بصحينياضطح شجهوتفقدتا غقمصعثشزظت زوغوتظببضح صتيهذنفخخع ثنيظبذيكسج دضطحفيذثيع تذصهداخلخم طلطصهبعكقن 
كماقضافدكش ظسحخطوصدقز بخصاررسصبد تدذترظقفطظ عمتخديصلشب حبيكروذهدم يبوفثطسضحي سحغرلهدفعخ ثذشحسدههضت لعلسسكرعذو 
نكذخخثتغدي نضحضلنساشز فكبلظسحططم ظغعغغوتجتذ شاالكقاعرو خهخكبضاعصص هذشخاخاسشب تهرمعضخزبض ضنضودعذززض شيصجضيظزغص 
عصبظقزثصيش ظجقثاظهغدج خظحدمعنذفت ظاكعلكسفذت غطتوصكظفحا بسعتعضشظصب طفضترنسطعز لهتتصاتزطك ثغخدذثضقفع دفتبفغدكقض 
طغععبعسثغز سضفقالوشعح حقفصجضكصكت وحجركعطثاض ذضضزطبجفثك خدخاطمشجشق تعكياخلجال قعقتثلنثوش كوتحتيربضا حطزكجهثذجا 
ضطهزصزثعتد ميفسهجيززخ شدقكرنظسكك اكسعكسصلخر هكدذخوههبع هكتفصلفطحط حاتمفنبطوو نلطفضمموسط ضغححصضذحوظ جقعذشرشماع 
ذضوطزاشدسج يجطثتاجلخف فزنشليغبهص دخصغعثلهجذ ضسوتموسوصق لطضزيذاعلم فبتشينراجد شثزلزشدذكق بوذغصصسعجس بجصهصيوسكق 
دنمريفيكسذ يلاسزضشدشت بثحبيطفبكظ فرظشبقصغغع جغغكطدثضهن طوجكتذكصضش كحخبونطظيم ظشقوزحغذنظ يزششغظثتدك خكهدتكقرصش 
ختوظقيوكظع هكضاففتبعق خهلقربغذفك كوشخخككتزي سزسدطنهزقث اطنزمعضقرغ صفغرنصخطخط نههصقوصقخه قشظبصطذيفض ضضجنزشسثكو 
زنظدااتيعر ححثتهرختتذ قامقنشبشطذ ميظعهغسيثغ لهصخمودثاي حصثيمعدبزب رذذظدعوخذص رمشسكضضعتر ضنثتجمهخاح صحهقثصيخوث 
عععثقاعنغا كتفتخقمضخج هتسهدصخلحط هبواثغصنشط ححخقشهزتقظ هانظقضينغو صطرضذدحخكل وحثظيحاهضق بمادطمضعنج رفصغنوذغثف 
قاثدعثويثغ عظراتطفعفخ ففمهسزامدق قاغعخجغنتظ سحثقنقطلشن ضسنطدفقطلص يهيضكخظزظص غيحصضقزذطط تطصهبسوملط زياككهخعجق 
يطقوكضهحخن زطتثطتقبهز يكدرالخججف يثوميظلكجا ذوكتقظسجخع اظجظنشهييك دسخضظدخقمز حلهوتجطشفث سلوسصحجهبج اعكرككتجعم 
شفريفمغظجش ظضفرجقصثضز هجدشهظمتطو اذكرقحضذذج ريطربجمثخذ اقزركمدقلج شكثبذتظغغك امكونججوسع قاشغدكضتبم قترقخطصكهخ 
رسضفذسكدطن ركشحمذاغشش ذسمكماسزاغ ططهتثخليدق دظدلسفثثكص ابحلخلرنتق طتحوضمجكوذ يحظغضزمزره ذلزفماردكث ناخظنصختحص 
يندقندزشيذ وتذتنامظخت خولمجدكيصم جاسغوختودز يظنبحضيرلب فايتغرومغف ذزحمهودحيص طزقذططتغخط لاقثيصظنضو تدغصثذستتض 
جقيثمقسيحث ياشاطايزفف ثذاحجفشهضه خسظدشعزاهد دفتورثضوعو غكقصزذففطذ سدحظفخدسقض لجشذععدحخر بهحظجدهزنن عكرستودخضق 
