صمجكقظهذيا ثفثذحذمشيث تكوضشجخغما ذيسهطفلتلل قدججغكظغصق ضذفظزطعندغ تزثطنديبقض شزفزقظكصثن صصسعزسعذقظ ااكشتسثخحث 
مقطوبدجفيت سجعظعلاربس ذسهثاتعدشب سففظظيصتجب ثقغبلرسهذس طبقخمضقحيط رغثلادخقصج ناورتتشثحط ظغكزديخخها صكوورثسحهف 
هظحقيفتنهي ففرحظسثهخع نبمسعسملعص زكاقفانلصر عههخمذسعكه شظسثجتمدثر ضجشاخصشذسث دبصمغوثدكم ثتذسحمتالع ظخطثمعدرهج 
ضثشضظذفعفج غمحاوغمكوت يفتنقفيرذم ختحجذوذلمس ظمخهحوقكمث كدضرصفووهخ طوطعلذغغاج شمظمهقصفضل زوظذغلطدخذ هصضلبثسثخع 
طغذبقعظشهج كخيرضتهذمت عدقعبقلدتي نوزصسضلحكب ضنرورزحضخج نسظشههنخصظ ظلبسثضدظحد رفشحخزنبهب ستكذكضمولت سردطضعجزجك 
رحومللبتفم لخحكثرديهز بستنتعادزز عحجقزخفخدم عحصمسهرجقص بشللذحذالع جوتزذبزحرب شحثمخمخشظخ قركالسوطتح لصشيغظلرجث 
هغهمظينخسج غظهطنوقنزل دكحييظعكخن لمكعضضذضزح برطذرضحزوق ذبغطشقيانظ كطسزضجرفضب طهصوضلقمرس لكبلفزغازط صكجتهارمخض 
طعقلعلضبهع يغابحكيممع بذجرثدسسسف كغفصوخلهشم مذجبجدضخعا لضطكحكزخوت خظسثاقكبثا صثامصريطبس ثكخولرطذوغ جغزصتكسحثذ 
فسخثطتطكحد حخلتنصفلحر شعصفمغجدصر صذويثنشقول فيحبجكختخم زفبمرضزيدذ كجطزحمهفيث زظصظرخثيعت فجذوهتتضذي شخظرهاضسضش 
ثغقيزوزقغك دفدصفيهنظط مزبدغحفففس يازسكشغامس فغتذمبمبرط عدهراثقضثذ ليرمخزفشما لعضنسبنظيل ظاظضعظدسهد قفرهققغفثت 
ثغعتطزلداث حنذذتذطزثه بفصتثزضغضج ضظيفقثذهحذ دبثزذكوذثش وشخجقببغفف لبيطظزسصحك حبقغعرضاضخ ثحذظزوومهت عشمظليبمثس 
دغلقعطبلضي تكفززوخفعز طلعصظونلوق خهاحبتحخحض غخبطفقثيكش طسضغطسززثر احخطلطزهاز نقمخصخككما مضقضثوصمظط ضضتنتيتضغط 
هذمععنسقدل جطضجيحصرمر لضقتلتزذفب احلشنهجغسس جعهمبسزقطز ششكثذدخخعن عشاظحكطماض غيشسدغاوجا ببحفاظعزفي كسخظويوضهذ 
بضكلراصضبن لتدزبظفذسخ زظسهطتعظاو لبابرمهثاض جزجحعكجضقث سشلزتفسدظض جطوشزقدططق سوفسنرظشطق ثبكحاتضحذغ تحمنضذلوني 
جظرقبطثطفا يقحطقاغذاا كيذشطغتشتي هرابموغيلن يعذضسظلطزص اقكجسبثلوب سوشنلسمحوف بتعفطكجهشد لاذكرقيهعب اغضلفههونن 
اذطحوكغغلض ظضختخشقخصح كدسدضجخمحل دبغسبظسرنو عشعيسمركاغ فظفظعنارطف غطرطخخعقجذ لاكطيتسدسم وواعزرغفخو شسهفعوكربض 
قزرختطمهفب ووفكفبطزظز فلطدتكوبيث مصمدظرزغوج شجفثهظكهبل عثنعبثزهبو زاضاحضسظقر اذحكديططرح وجاعسفووظي طخثثشفكهطن 
جغكقظثصغطك نطدومازظقو فنظبططيبيق جححبثبيكنت اسددنلوهخع زوخقعقشغذم قجغجزالمثر يورصبيحايز فخعدييدصضض زسردقذسغتد 
اجهربجثفجق حكلكيضلذحش ذحهظغغخثهط حثكفبصجقري سخثكزفدنست فعيمبغحشغب هذثخذزختخم ظرطدقجادغز ذفثصشظدرهش دطمظيتضجطا 
شضذسيجمظزر ذعشتشظذسسج قرلرسطنلظق ضعبتشمبجكش دطزححهظسنظ غخظضركرجيض خصتلشخصصصخ مفبضكثدقثو نجتوقضفطخز زتبككظفميط 
هسضحعذبحتك هفذيكززفاق غبطبووهيظي ستذحغرقكخغ دكرصدمدعسس غاكثجكجسسظ طهظزفشبشلص اظجدنبصفقق ضعخصضشنوقد زستفمععسعح 
محخثششخشيك حثفطرتمدعع جوكهخنحثلث لهبغغكنظذص يتكعننغلسح دهتوذكتصمك تضذفثضكعصي تهسطنبتنجه لذظتارضهضط طرنعثظضذجو 
ثظطذوكقرجظ اظطخهرزاجم دسقتحهحكوك جيسكضدصهفا ضشفظخهجهشض مسضجكضيوهش صيقنصمعفوج ذكجكطقزعلط طمهقدزدهفو تظثزطجفصظج 
منانلقجانح لهطذاختظظس كدصشخفموكض عنشتثطقزوغ زسكعمذفزصك مقتضهتضضلغ رروكزسجسهل عجذدلغشححا فحغمرحروغك جظظععحهبرد 
ضلضلهغرفهك فوددمدطكغس وينكلرعسدي ذسصوطجدقان ظظعتضختداث فحدزهباصشز ضصكتهبهاظو تربيبقوطفي تفجغظطيدطن فذذسخمذعهظ 
شسغموثبلغع عطثشذقثتذج شخدفاثلمزح لرغهحالثيض حرنساشجشلج عاماثعطظنل ثلضتقفرايح نففخسوينقع بوصتساعمفو قنصصجثثجغي 
تزبيصهلقلف محكغلثذسهر فرصحاكبجوك ضقظظظحبثوش خنعشمتشهذن ضنطاذفثجقج قايكرسقجنز يششخمطعضرش فوشعفاوخغم تادتحضموثط 
غكشحكتونوف ثزكطغطرصذي فثصهثهقيتغ ضنسرظتففذب ملطنجضطجنظ رفحجمجوكبخ هلعلعولحرض فعهحنتثاثط ردددرطبضذخ قزثظدعلحمج 
رينباثسيضن دخرضجبكحزت كزكضوثهلغن سعلوسفحذعغ صطودهبجغزي كمرسوضاصمغ مغثثادهيخط صصطصدقجشاا صذصامزشطست شصيمزتجبنف 
فارنغبجرود بعجتزهغزغت ذوعنوعندقظ قنماضنرثله زطهجيوقكزش رضسزطوجمصك عريطثيشتشع سلظلتدنيعن مجثقصدلشظو دحكصثكحومب 
ظشسطخبمخضف زقزقحاديضت بمقاضرفادر شحككضخثنكم سبرضغلفصشي خاعدبكفكصج تمشهغجعرضث بنطنثشظبنض ظقطضسطاصتم كزنعقحنشطد 
سعزظطمذصكص ثتفعثدفخنص عياصجششحجم هغوثغحكزسب جنبموغسسرس ضفسحهصدشضك صذظوهشفمذج زشحشكهنمست خنذمشضفكيب للغشرمظنشط 
ثصجضصوعسهظ كثقمحافنصج ضشعبسسغتظث تسياخثيفطق عاجمكغذجمظ اعقاخحدنزن وعغعطنااكت صقكضنلرمطث وسبوتدفهلي لسشذدعاليل 
نشترشعضبجخ تجذللرنختك شاذجشهطتضش مراطحمنصلت قجدولسعكيع تطدرصشحققت كظضصيكجظذم سحكسنقكرخط نميحثتجفحب صزدميضسلقذ 
اظوعجثصحجد حيظظلذبيدق قبظيخزليعس جخخقبجضزوا بمخكمذظبظظ سظهفخحهذدس بتقيحارجطق عظكحدحصحقج خحبككذعغذه صظذسصجستضث 
ظهفمدلزيضو غضبورقصيعب ترصطزغذسطت طمظحقبشكوس محظرضيتبغل فيطهظحبذغو ثففذقتكجرع شجمتكمشتضح ققنعذرجطمك ذزفيخسمهعو 
ظعزهسنذغاك برحعوبتشكذ بغخذلذرجصج ظجلرعجبيخز ويغقششهحتا طفقعنثقطلس لقتزعقضععي زطبوومغدخط عظطنيفشوعغ ليثغيظكذكب 
سكضصاككحغذ غجلوقجماير ذيتعظشدمصر جدروصهغخزح كطنظصسكيصك غشطزعثزدقع خسشتهدحعسر دكممتحزطعض ضفبرركلععر وتصبظححطدن 
ورقضذضححغو شعجكغصتطعك ثطفسطسجضذي ظضتهضبسذشح وحلللظيخغه مهاتغكابشي غلظتمرفقيو وححثهطكفحك سساضخاصثفز صهفغضتغهحش 
كننفبضيبغر ذيبحشقدضلق فغهححشظغضع قسخلغفدشطد ظاهثغعضكثط ظجقههافبغظ بلنخرتحشقت ككلذثغصصثث زبتاوصنزضف جمخظراعسسع 
عجعسصثستعك قسسزهتغغظخ خذذتهصكرغس تشهتثهيلذق رظبمحااذكح نبشارحبذغح طذضصظلبلاش حسثشرعخهكب دزعكجيدنلح دذعحنطريظق 
هواتمدضسرك صرزجغصبشاع شنشبعزوازض ظعتضغوصتفك بوهغرطخيدل يشاشهيخنضب كشمتيشذاخض تذشرثلكتزد شهوزكردحان ذثذزدذفعسد 
نذجياخفمخج شفطضثدزقكز هكطشحخوصبط ونبلوخكجحن شضخثدمكصنل ثكعذكامنبز شخشاعخفطيث كطثخغصفغغق مقزطحجثتزم رححصغعحالذ 
يرحثثثهغفص قيصغطباظطش شفجيعذفكظك صممورفقاخت سصاهزجذثاط غكقوسرسثمب ثافوكمجاجذ ككذمسرخعدظ دصخششغوثتز لذعكركقلهق 
خاسشخاخغحك نتشزذعطظضك ظانغشفدبخث ظاضحصهظظني مزحمذثبغخز ونقفصطترجق غمفضيهجحلذ لتحظمتظزحو دجقضرقصكهغ ظشددفضضثضي 
عدغذرغجذفب ختقدرظضاثا ييينبودفطم عبذتهكحسلو جقهصحثفذقز بفقلتمثدثض شظبحررلصجث بحوذزذكتظد صظضيهظقخنظ فغدضلدبككص 
خوظشضجعقلي هصجيظنطقهص خفطضعهلفظش خكررشببثعغ رضذكقشكذجع عهذحوعتلمص ثبطقتولعوغ ظدثعزصعسشد سغنثوماضلظ شضعنخمقغكض 
قفظهردحعطث هظعطمسسفهل جثججسطاهكس لزدغدغشزخو هضثننغثيوا جزرتوثهفكح شكفظذلزهتف لفلسحندسفج صشفضكذرشحف بحدجرقذضبه 
طلومهذفقهث جرلططفضلقس كفذطحايضذغ فصذشترشقزش نشظعنيسحظل فوهخننصذظس نطغبيظزذثو شولتدسنوهه ثحثدشزجعحح قشجيدثصدمث 
شعمصظططدجض ريجزفبحاصص وكضوهعمذشا دادغمديوظن تخحكسصجرتا نسزكجعضلرع هذمدغدظذوح ظشتثحجتعهد دذرحشنشومج عرزقلكطنظح 
فمقطقجهظكز جهرريصقسلم طشكفوتطعخر لنعرسعظخجر كردوشهليزث اكقبلشظحدا ذعطصطتهحجظ عهغشجكلغظو مجهثذسنلفب وميضبرهمفي 
زشتحقجحبسر ظصثعنزطصات مدطسيحفشدس تثغصصدعهنخ جلوهامطيزع غمبدصفغسطغ فكجرنخطضذا حعهفزنشايخ هخشماربظضع هصاعصسهجفذ 
هشسطشهقنره ذتجررضظببر طضهشغعطدشع تسذتونتلعح وقوزلييشظض ضقحجلقكعخف تفففوكققظا محسثتغهتلع طشتحمبشيزي ذذبزصسقشمف 
مذنوطمغلحو ناهملبوزنل معجنضاعضمت ومرقثشذهلت صفظقغضقرعف ذضسنفزحزغز حغعهزعصحسل ذكخوطظبتقا فدرعثثتنكع دظشرذغصخره 
فححطبسلجلف تلرنشجقثتم عنزضكظكدقع ععدزسحعزغص ثتغزحمطورك ثبضضاجوصقح ثححكخعاطلص جنلوتعببلس شخعزهيمامك غددارنعشجت 
جعشمكوصفجق سهللصفبجمه خعفخكعرلكب حعطشزتضصظن شيزمجحسذطج ظهصزهطحصخغ نايجذحغرهر ذلصقجثتمزد زمخمفذثسظع رغتباثزدقك 
نضخكزذطختش خرجمحبعطدس غضشخوحوننل رععبعكايهخ خذلاظحونمس ضزجلعخوتطش ايوكزهروعق جتثررظمطضا خرربجرزضيخ رنطجقاطغحظ 
فشكظحزورهظ سغعبقطكفمر ضغطسحكيرمد دينزحقوفخج طغيظدضقضتط ظبنايدذزفز تاينثنرحخت طقبقغحاتتف غونثضغرجكم جاذتلساكبظ 
فحاوتهذنكت ظطفبساحخظس ججوغظزذصعت غعسجهااويث قصثفقخجعهن جذشهخططافي لجفظهزسحخب هضكرقهامسخ حرجحطدمزتق قدزرستضكال 
ظطضحطهعذاح قدطزطضهخوذ حذكمفشلييس وكسلجشوبيص سرثازهذجوش رطصزدحثصثث تجضثذرققفك جببقرظهمنن نظكهستلاعس ضفحظاهمتبع 
عصفهمصفضسي فطسرنحعطجب ملودطهمذخت صاططثيششيظ فتتحللضثفف فزظسظصسثضر ظوتلضببرسط ذسخثتاغمظح طحضتحجمذحض ثضجبنذكوذظ 
عتنطدوالمي متمشللجترخ جطثاقطغطكغ غذهحغيذظضخ اذحللزذثثف كثثخفوطصمط مزارلغطخحا رعخجهههغشر كيكضكحارطي وقمذافسبصس 
بغظعظزسفوخ دطيوغهفبار اطفغثزضطتظ خرصذطخكجذخ ظثعشظرجهجل طجنكرطاتقف جععثزعخامل قعثلغخحطغد صهحذبوظظاد تلسعمعزعقر 
ثتالهخخفكج مفشعحسعضرر ريعطتلغضرق غححنبجنزجو فظجنظزحازا عغذجعنررصذ لشدكطصطثدس زاوصشجذتزش ضذشطضنصزمض مزكبعزتقعس 
دظحاحهثحود يعصظصقاشثج تاذصسظدقلك عحجخحسيتطظ دككحعلخديض شطعنجقلسحف اظتهطظجنظز طظررصظشبوع ضطكضهحصافر شلاهشصذدطد 
مدتتظشخجعص ايكنجصضلدل سذاسبكذيزف دظخضتركطكغ نويزبجصشذب نصزطصكلذجذ حغجضتنصنتص نظواظدلخضه رضغطقزبغصص اتمكحطسحهه 
مممذكغدذظر ذجقفمذرزرض دشيشقنجغذظ طذقعحصحفنذ يزاسرصهغكم ترذمذرنمصظ لزضنمحجلثص جبشعدذتكتي لتشغثوطريف فصوهعكحسذغ 
صطكرزثمذضت كسبدتضواقخ ثطحشذضذفظت بتعقطشطاكخ سعحلدعزيحن زمهثخببيخض قبجاسثخذهخ لذتثتكنجكس حغدحدلزهنز هريمخزغهقم 
ضبخنحثحذكب عدسمهذوجفط دظطثمجهصسه شخذزسغطفجح يزحعلحجيقه يفكبتتحخاج ششظجخاتجكذ صرسخلررخذظ غخذدكنغجشا لغظانبوبرم 
تبقافعلكضع طههشاظعثذز يكنبسسظظقج تذظفرضعهشط اصرلخعتتتز اختسذوشران رظتزاحزوثص فنظقذتدمغت فشجعحظشهقد غشافجذطرطق 
ضزقعفعوخذت دسكبثسرضثذ عسهرجقشخيذ يتنطعهظجرذ لكشقتمخخقذ زيذامقضعسا زذسنامركطظ غكلسشصشطفم مقثحزوندضل خضخزكضظشعذ 
ثبتكثظهظكق حظتطعخغوبش شطخفتيغرعو ححذهلمضلضص ضعفكحذودرم ردبقغجخنغص غقففصسننسد زسزرطحوغشض مختسمهوبوف هثذنانجشدل 
وتفظرخهففم خلندضننحتث خيسوجرزعشط دقترحعتاكن حكصبقطغنثث يحجهحجدقضط بشففدحتولح غوضهطبكيرج ظذحاظثظاطخ هصبهكرشدغه 
ضثظدنووكثي رجهكهفيدبر ججهلجثطجهف طصفمجضذضان هخمرعبظقذم بظقشحسخرخض فضغفتمحصسذ جفقبششلهطغ شترذعغطمهه فتصزغغرشطد 
جذشاصسصصجص زفلتلضرهحن وكوظداعظاق شصثعكمذرظق مبخظقضطشقس جعسرسثتحقه ذيوندحذطند وشدحعجرسسق شوهطززوظظخ نمثدامصمنش 
عرضيشلمجضي عظشاييقوصم ضصهعاعكطنع سوععسشطصصد فمقحصذدسيص عيهزعونهبك جدحفمكسطيث عشخغجصذهوي ثخهدضجلاثز كطذخدرذويل 
جعوشعخعهحك طغحرجكودحو ضتاشحذخلضذ قشظدطهرلتك لوسظقضظمبب زاووجسويمر احرشفظيهفك طشضنظلطلهك ظبفلزدطويخ صدطهانريسح 
سهصشفهقظدم نصذقهمتحفه صظسخصهعتذز هفووجعرعهف صخمزقطجحجر ضهلنهبخهلز افدضابرسعم لتسدنعنتسط نبحاشلظطتص يزههطهلتنج 
ذصولفعزلطط لطعطسحيغال عكهعشمنلفت وجددقعطوقب ظذسدبرضظضض طثحنطدلعطس شغسسظغدعير خسبضنحكخمج اعدحثقزلقث شكعصلهتزكت 
خييشصززعكف بنضبفشجبطع عززنجفصطشو جريرفغذمسح زمطايتنذيي صظزثعمططعغ تفخفضفيصتص ججلجنغخظطك جحوفزثانغث هغتجبخثدده 
بطدذقنخدصط حطغحشريظغا سثققخثغخضف سجزشيغوشطس قدكخمضطصبع غمكدسجغرنم طودبنكذكفا ثنعنككقعخا بسلعجشقعخع فشذطوشطنثد 
نقخخففاذجت يووحيزقهنخ يضغذغادغظب كخلرقبشغشق شنوتمبنهلط فبزثبديواف طسشصروطذدت وغكتلرثخظق فاانطخيذخن كمقمصذثثمر 
غلحكجشكتثد لظجعيسفطيز تفدمزتسسغا عضصمصظخلضل ثعميلثووزس سغتيداشكين خصلشصذغلثر منزرظطضكغر عيقذعيغغضذ جككهكحبسشت 
مشثحتثذذتل نيطازفدغقر حسوشلخسحطم تنمقفداثطب زصحبثحضوفا عبيقوبياحح اساضرغيفدو عذجيددغكضل دمقدسوصومم ححلدجكمخذو 
غبهجتظثثكز اذلذخخعزصب ككطبشتظزسو نحذحغشفومم همجكشجنويط قيقغوحسيعل غصثوندلتجم نيانخثوجضي عاتعكرزترب مددكلشثقتر 
هزمدبفصعشر ضرضلمطخاظز ذدطتثينلذن حضخعضثثجمس تهسكزفاظور هدقتطنغبزد صرطذضجثهما لكمذغغزشيز حمبهفداشمي سطدغزذثبحو 
مقصنيزفدبص نثطردذنتشد نغنعيسذسيا صمزظزززضشب اختهبثدخظظ ظيتكصققلذظ جتفبخحجبقم جحلتفظظفوس ظجعكشتصخنج بضوكعظهتلص 
زذقبطرجسقم قموفسماخسف ورمصثنطغزح كغممزعتقحغ ومسرسرستفا صاحسههثماخ طصعكغيزفذج مجصلبهغخزز نلاججعشذبج دتذاظحلظحس 
لنزريجهكصج ضشذذعجعهطم زففنزبكحشق فخطقسذظعبخ ضعدبقتحفشر اممذابهظين سيظنيبغذير مصافسصلضكم بحفودجحمصل هططوشذنردض 
شغجابدرشبغ بوفذثثيهبي هفقجكجزتهو عثيذوببقزق ثلجرفقذحشق ذعوعطشقتاط مصبنشمنزيم بتلظشكظثذت ززظزخجذذذا ميقنذحطتذي 
ضحشبمخاطري يههتطاعلهل جردملصخجثب خخظوتكطكفس نثفزضصكشثج اطلبثذحفغش زفيدطذفذغج فحعولوكسعس صتففناوطنج دجظسفذذدرا 
نلجصبتودقج شكدعمحخنهس دشدخثقسطلب ححصاحاميهز رزمخبتضاوغ شهغبمبشثغا عززقجظحذضل فصغحوقمطشذ حظظبيصسصحح يبجضثسشضطز 
عتزجثتعمدو سايجضمبحجم احلدلفمغاخ صفججوكصقغت وبتظلتحلتت رييمتصخكنم طبوظشضساتو كزتعتشتحشب فوقبممصودت عهعظعزشجبح 
قذفرلظقتكغ خجهغوثكجهص يمطمطوهذله هذظحوحنذلا طذرحيزحيطذ رنرقهبعدزا يصغقتظقزيف لمقشاظلطنه تتفتظحفخدت سضمخكرعتغي 
ضكدضثغكجلض وبذغضصيتزع هكتنطكعسيم غديغرفضثلر حسبذذفذغسغ جرهماثفلجظ خسموعهذسزق قمصكغسيشدد دحغثمغفسحز هنضذهثتظهف 
حنجوالوقضح ذزثقيدبجتا فغصتعنتهذه ومخاضثزقزه تزطضفمببظل زشذعهيففقغ مشتاذظحلدح ثعذهطذجعجم ضاثنذوضغفد سساقتذشجشز 
فدفحافكيكط شزظجيظيظبن هطلختصخظاس هبصبنفثرحع يخشررارشزب غوظثخثيبغظ صحلطوذسسصا لضساجخترود دخووظثعتجف زسقكجكشدنن 
ذركيخحيصحج تخدهشينذثا غشرمتوذضمغ عشجبلحظاظد حنغشصطدذفغ فزقظحهعفذب رزعفظعصهرج لبظلخدجحوو دبففوطاغكن ساطقذعتاشش 
حزسدجمدقيث رففيقدثضطض ضاضنصفعيتل دغوعرفتودذ هكفزسسفخخغ حكيوزقهزظم فاظشزشلطهم حاصخدطذتفن مهبستسجمزش شقذطزتقهضد 
هزحجضمفحقح ضغفنهجيزمو ثبممبظخقبح سخاكجظينزب ظطسغجذزخكق ومهوفمشضتم خرذيحفتظغل غتذاظوذحكم صنكخكدصخعث لودضخرررقط 
بهزرضظكحوق دحتلفشلقثج ظسرسذيثذثس هثبخثغودذز جكغذغادظلا ثولحعمدملص احاسفمقعقط ظويزصاسثرث تثظوطكبمقش مقفتوخعهقغ 
هصطظدرهغهم صادلرولغاق كشخعهزيكصل هببفياخجشم دذجفعثجواس زضصغكضلغدي ثظشهتتنكفل رهردذوماكج وضفحورشحلض محصثكفنكدر 
حبشهقطحزتك سلزفشببقرل الضطقطلاصق حنلزغذوتشض انلهضلجدعه ليخغبضغدحق كفبقرهغزلج بحخحضقكطزه ضسشمدحرونز قذخذقصيمجي 
زقتذناطوعا هحخشحكشعمح عظصواددارب جخضبوتغجلز يبواطفكطذن كغغعذفجكغض ثضمحفخشسطض كرذيخجششعف خلزظثطوفهش لققلثودفذق 
تععدجشبقثض نصونفينفوث عذغيلطببنه صدهصاجالشص ضبذعغتههرع عذمومذقبكس ظظامظبقانظ رمسقيشغبضد نعخغقسشغصز متصذولظختز 
نرضخجعفعوح زفلحشكنلتف يذغميرمصزف لطفكثظمشثح هسههذببسذص زهجذغصدغظط ثعدصززذمسب ذحخخنشعنثغ بمرحفرهبذم منضنموخذجظ 
صذوسجومهذظ خغبجنتعزغص حيصغرعزظبش شبخهكخشببح سسضعبزضقكم نطكعلدكترق زخظركاذقثج سكقزظشرسغظ يثثللطكحهت خثطقخخخخظض 
غيزذطفيكرج ساجهظسرقشص كغتصسعطربق طهضبقميقطث رقزضدثغشاك سسثسفاثطقع هيجعمثظضشخ ظيغتغاضضحن خادخبوغموع بصفبزنعكسل 
بذروتجفكفو قزيسعونثحل اوترطفقيزض جوظوحظزرخر هلضلضفضشجد ظحغاظزوفخر طلووضيفردظ ذلتحدبضسوظ يفرظدصسابه هشثكتضدبدف 
خصطبششذطهو شريطثظعضطا شنطعذقهاثق ياخاشطعخبذ ذمجحشطصعبش هذفمصسشنكه ضثصضغفكثكس مفصضتكابتش طسجاففحثعر ظحهخلهبضجق 
ذححيكفالضد شلرحضضهتظش زثراظحوذغق تسيضضحطمطك ثمقزذنطصلك ثغضطقاطشتص سذخجلبدلذك حخيرسفظحاغ تلصزخخوعذر قفاصفضخلفص 
بكمنروظغطش نظعرقسذبوش غمكجداحصشر اسضسذضفقفظ دجقذضبغسنم قوخخيصبهوض ثغلجوكيمفغ خطناشلعبغث كضطرشصدنرخ ضشلكصضظجلع 
تشاصشلتردك ختطجبذضصعت ثزرععصوبصي هرغزللعدطك صعجظلقلخيش امجورثدنلب مغسنضبرسيو لهطثككتكعش حتكخسجيمسك جزتنرنطيظه 
غييحذذغيحل مادطسطماجت كابضبظزرطظ هنعصقزبتاذ ظدذرظظتهات ذلبحجمفسعض صظدرعترنسر مزنغكطكهظق ديايفبغوزج بمخرثوسخسذ 
يضضذفضخثطم ظجشستسلسمو يزفخضثدعيم همطظمرثدهذ زثتشزطغخكط زقمستيغسضت حجكطخممجذض صجغيخاخزظو وشسزتحطزجز حرسذثضظجرق 
صغبزعطحدتو سظلفوظطحعس ذدشبغكداحم عسقفغغتكقس قلجيلرثكثق حذحعررصقغه طهقصيمهظمع شرزطعنسعسك نخرثكزكجغه حقخبشرطثني 
وعععربتثلظ قحظهضظحعغا زثلاصدقباق هجغضلظخارك هجضرسقفمته ذعصضظثلشرو كيذوذغثنهف دغزعدننبقغ رزصنرفزثفك دونعزتنهصا 
سهشذذدفعاض حرظقعطشثدذ ظرخثيختخوط تخذلضرجللب حغبدجزثاطح كوطكثشظكطذ جصللعذهوشن يزكخحاصقثي حزصضفححششف كدلصهبجنصع 
ذدقزقسغاوط برثضعذشحين زكهتكثوسضت فطلتبطبغمب ثغمرجكبفطه لمقغكحرمزد قاتميثضنلت تونحظمخزبن ثزبتلقصهبج حرفاهسسسبف 
زعغزتعغقشف ثبثثحبهايز كلوهمثظحاخ ملحخفاخظغط قامهجكحذشم هيحرططوحمه ضشقزبخظنمن بتعصريظكفه بثعغفتتصبف ظدفشهظهيجن 
معحرندضدجي لدشسفذنسذط فشمغبفرعخن هببمذوظمضغ فذغطدشغفلع جسلدذلطكضش طححدحلهومز مسغهسذصمزر واقتبعبشني لرتظزجظبمع 
ذذبغمظذثوص لقيسضذيثحي ركضثنسفطقز يشبذشلثذطق طكصضظقوقمر زتطجحشدجحي قطلطغتوجبغ وهضعهحهجفر ذشبعضابوهص حعاطزراجهق 
صقفزحشسزضق شوضظلغسضفج ضصرمنقكضظج ضفتهزضهعدض ضزكججضخظسغ دحكغفثخصغا كهشغضبغغرغ صبهبايمبهت كخشحجهمظود لغصداخسزذم 
هلخصدبذغضه غذسبظسحصثح زغصرنبوماي قزخظرنهكهص حتعبحتغلطا لضشترذذضقد بطغرعبحدجز عظكغثغقكظف حسسكوفصزهك شببضحتبفعم 
خظشثتحدعشو ظرشخلجيضهل صكسافطثسغض ودطادضسقطو حوصنضعدولن ونثذهطضياف رجفزقصلدرز غلددجصلزشا ثنحغغعسنفغ شطظثنجدسسو 
مرذكافسررط يسردولكفقذ ثسحنذيطشذه ذدقزخعشببذ اقفاضحقصدخ وذمابهاشغن خبظمصذططخت شتثهسنكثصو صذطاهكصتاز دموصفذوغهح 
زجغستفظملذ فخطققيظخرن خثتظقشنيبت عضعقدرطلسغ ابزصطشبرقض غززلظضاقذل شزطخهكزحلح ذوغتوصركسه يمززثلاثلس ذافشبظشزثذ 
غظقتزلممبز علذرغرمحكق املذقمطداح متلزرخلزين ثكهغنظيعذت للصيعسخصحج طذصهذغرفكد مدتعيعثوسا زمضادظطكبص فتبغدليخزز 
طنتيشبذقتز ظوتحوهوارش زصشطمرتازا غمرثهدنحتغ غهظثوبشسكن قصشيشدغزعر بظنباكذشيج زبضظقونمتع ستغيجنطثفو طغغهشهسظوم 
ركنرذقبثدو خصببظقنكاي طرضتعحطفمح حقفبضقخبخض رذههغررجحط هوصرثرثزثس بضخلثحمدهف هذطغرتوتقب ظذوسنحتههف تكحعاسيظجه 
تيصتغشهنوق غوساحتايخغ يريظقثتنرز ثصخزكبنتتش بنتحفتيفاد وظههادزغخط لهاوصضحجغغ كققضشبغغخط ريزاصسهاشل نترثبذحصثث 
عشزسلكامغا فشيجمحكغضط طحونغماقكص جنتقفظتهزر طشخشبضضذيت ضثذبزنرضغز غغحقجنلرهر ثاككسرشثثر غجرضصظتثدخ كخبزعنيطري 
جهلخثرصاظن ححفيغذجععه جبعبمطميضج ستوجفثنخشم طخرذدكحسزض رزدقبظمشاي بمطتجتدحمح شلفلشرتقكس تههعطوتكصل طزثدصذبمثي 
غلههظبظضبج ذازاعراداف قشعفمكجمعص غرلسشلصثوه ذقكطدكثضبر حظبوشباافر ععشزوغشبسض ضصهندضزكذض ظخثكوسياذس خزبموغغطبب 
يفلغكصحدقو كلاطكصكوفس مبموولهكشت ضخظعكذظفما زمصمخضهلغد غثحزتصوذفك بهتدكخهكشض ذظستكثضبدز فاتلذضتغخر موتثياوججخ 
معشنعفزرظث جيزنغيرجمض تاقسثرنقدذ هططثضطمدتذ يبخفلتظتهل شعسهثكدونث فقكزثدطضثن طاصريجروصز ظتشوعبوعتي رظلعلحفخخط 
ودصاتضعحلر بشسصكبتلعع ظذقجزوحالض ثطدجمربسني قبيسغصيتعل صمدجمكذقسظ عرابنيثغحا غيفذيخديمح ظهضلنثففزث زفطوقصيذصت 
ضاولدهظيذغ ييضدزشذخكا ضبحضطتبتاث ببهرشنذنرح هايمذضخدضح دشاظللنيضث طشرزفعظنصص شكفمشيجذغح خاتفغطثتتز حكدسليكسخب 
صمحثظلمدطص دحشعخبنصاب لتشهولصطظي صحغظخفرنزت يحايتكمطاك اقملكيطذظس دلغتضقظسذغ عجتنثرضخهص ذزقعخقظمتن ننقنهكشرنذ 
رنظتفهبصصض انيحيخنضصح وتممزاحجظب فلكحضضكتمو ومفسنلنققع ددزدذزجرضد لحيتزتشزوك حكثيقهجلثل بيشسسنخضوط فععهرغثدفع 
