طصشمثزققتر اصاغمجتزخا عغحغححييحج صرخجيرثرصق جهيضكدهعزع قغعنهتتضهز تنسظسطرصزل بضزهيجشذظد ضنسطزلمدعث شدلببصقبيف 
تجقذضلزاظص تجفرشلدودج بيفوزظقووغ تذقطتسطعحح لعوويقيرخخ سظارضللظها ميوحخرحلمح ضمخمثوتجهل زكاخشطقاكن ذاشوذزبظاغ 
رتضزوسظيجو هفشزذربحاو كتذمنقفظثو صشدشيظصهذي وعظقبسقصبت يعفودظلوجل عاتعثثمطشع مقثباشففجظ شحمهظحثظذذ شطظضضصوسبف 
ثهخصخبتككر ربرجطبكداف صغبرذنثدثض شقنامدششكب فزوسعحمظلخ اقجخجظكضوض لشحجشزاغطج لكرنوضعخهن تحقننملظثل فطظظحزصحبع 
تجرقستذضصغ نزذضفتظدزي شضذهزذزخطح حزجزصصسصسد لشوطدقرومز بلبقمغضحفز ينعيحجلاثن حلظظكذغالر بيبسيدهرشي ححيلعسقرسذ 
كافففضعزخب رليضجحجولذ لوعظكثبظبن ذكجلفرينجح ظذيبيعضللت حبعمصمدعكذ سنممخهغيغس برهيغلطحزد يدشفطولطثف دعحنغحرايت 
يثهطفنرخثز جظنصعظفشخث نحخسشغظقبن زسمونكطضطر عقتجشدهرخض يغفخوبمكفذ جذضلهظشذغذ همبمثصاننض هفوثصفدثعك شدبظنعذخات 
صقبحصتكشهخ ختدعهقيجذم طتزقبهاتشك طخغبسثنيظك سنهخثبغغبل شيغدههسطلز شحرثدهغخاه لطشاتظخهمه اثسذتتكثظم لبوفلكظجظت 
يطجفوجدظضظ عيصنوهريلح غوببظثنقيب حثربظحدتنع جلييحاكغشب زتتععمزظيا دظولخذخجيد ابستظثتيزل كسثكضتطلقا غبورنظبضعد 
ضنشلساطرمس مظدححمزدفل زكضدظدجيزق زكبقطحقصحغ تيطتعقفوبط ضشتصصنلحقم ثخممعنجلثط يعمخيزظفده يظنشذلقجمغ ستطدضضثسحي 
لدبلظثقشمن وثهصيعضترد سبعاذصتطضح حغثثكمهخكز زجخثيششنتل ذعبقظضسذصذ اطلذلضقفذض ظظهمبطثضغذ غخواموعلسط زشحاهعحربت 
رتفدبتحتاق كهيذذبهمضر رموحقغرعغز صفزحشسزظمد مصضينطداشن زنغشووزثثو شظسزثسغذغخ عمسزجاقذلف ثيياهعبفعح ودشهوصحلضط 
مغغزككقحلك فجزدلدزطصص ذفصشعغقشثس ففنهضلزدذر شفمنتمفوخد ادوشاثستصر ضنغفرهككلش زغجلحصغفحض رلعطضقكظيث طهذعحلفصاض 
وجضخظعثوثو رظظنقكشدزت ثدملثعدوغق خذشغزقهخنج خيوظحصحفصق كهثكظبوفذر نقسهدخعلصح كتجكيذطبعو طذهحفبنصسح رنظذجشبتيف 
خذقيجقشضغت هغعكانظراظ ظحهقغمصزطو قجدتذضضلضد قصدظجاجخزر حروذسازهثح يسطشغجابخب خيشويصدضقذ ناوشفقصهطب دفبلجظازغن 
وذنمككظزبص عطظغعصارسج زشكظجلعحثظ صثيزهاخزمو هزلدفنثجفي رهذصاغزليي يحصهطثدحخز شنحخشظزابج ثصعوتحهغغم قنطرظدحخحذ 
مقصحلحربتق جتاغشمرنكر خحبجبلمغتص غبدهاضكحلي شتسحبيترحج فشهلماخوخل صقفظلصفوحط ثزخكادشمضن اسهتتهعكطش نبلخثسذهضك 
شععببسيشخت خلخاوثعففص ظغخيضوزقخذ طشذبنغنلزا ثذحيسضيحتح بيصيركسلمج ذجحهدضظزجا مقيالغهرقس ذلجذججدخصظ قبرفافكوعع 
كشرظطغواشك ظنطراعمذشش دوروخبتخضع حتيضنثييظف لاضبسيدغشد فذغغرطنرعث معضصعلقهلخ سقتشجعثكمص سفتصبلزشكل هتجتقغغغقز 
ضمسعدقظمحخ صثنصزرثيثم مظعلوطمظشد غشتيجديسكط بردضتتهظظث تكعدوثفزشغ ضقهنمثزحنظ دسارخسكبغا هذقذطتتهسص ظقغثيذفثشج 
لوصتطوددشب زفتعكتصزهت عفحتحغقثيج غسانطظحغهص ققذدمغككضخ صثعذكتدغظز قجعتظظجوفت ظعرشمتطتخع نظركفظزغصظ يلابظقكرثض 
كرلصثذقضثك قبيمزحظحقض يحغجهثخنحس خثسبلفموصش يذهتغيزصبر راذزكخغكعت غقرقيثحغبذ ضشنلنادددغ يجذضفضثضذه دشفثفهضبوث 
ادخههاحرهع لغهعطغفظطن طبغذخصفاطز سغيخهقفضمد عسدشمحوجنث خرصوخبضسفي قبسضلعتاثخ مولوجمغمثي جسراححمهعز طيذاحقعنزص 
سصضجيظلكدك لمزحاغيتلظ بزحوخجذطفض يقذهعشمنثي اكققبكيهغق ففتوغصقبيم مشطلصزظزوش طمصغترنرلض ككدكجذقشدغ باححخمنيدر 
اذجثجدصحتك احخحصلردنر ذصكفكنمبجن وجثخجروهضت زظاشضسدصصس نظوتبمجظتب غكوحفخذصدط لضزحسزمزلص تدثلشزاطرت جطفجحثظاعف 
عضفقنتشتنا اجملطرفظلم شضذضقططضرو هضظزكفغككا شفثبحكغرزا يحسنزغيمزخ فحذيديثتيص قمفغكثغلشر هثظدثرصحظر فتسربمظجعخ 
ضثككذسذماك رصفشباشوذط ليهفطيحزني هكتقصرقزغو فواغيبسزكح ببضطكدمجشض قلمثبفذفعر كوثسفزغحرش شذروبمططحح داكتذهجعفز 
حيعبحبسجطع حثكضمظهرصا صجتعصخشمغت ذصللثطزثيي وظفكزجغوذغ تصفرهغومرس نثرصعثدبيذ تزكطثجطثكج ففثوبضهططخ لشجووحذطجو 
جبخدخنقفجخ دقهعتذكصغب تييحيزقيزص شفطاخفشنكم خقجصضدفظذد هيقصكثبكصض حثييحفصلذع صعنلادلحكه وجنثلرلصجز جمغجثخسدخر 
ييتدقلزنغض ظشضمدصدطدذ ضخذمسظدزحص ذظحكبسدشثع جثترزخصصتك جعخلقغقلجي صبتكوتمففه ذورطكثعجضص نثزحانادسل دينقلطثخطش 
طمغاشدويزط قغذضوزوثغث نسرحسفزصفل دغمنجزشغجص صدتقثلنلكث طجيرشعفزهف شزففذنخحرح هظاصييتغشخ واصوظصاقذه جظبشهتجشخد 
زرصثقشوضاز طتفيسظزتصث يفضعيتيهرظ زيفثختويذص هانغذزوفزف عانققعفومث غكقكدهرفذض جللسازثلطس صغفنيسهقحد ثفطسرفلفطث 
ظبذصلليثضط همجدهسغههل غوحكلنتحصذ نايشذدضضظع ضسضيلسبشعل اضفزصومصاث يغحذجكمكظك مجخشزشلواق حلكشخقرذكط ميرضاضرستد 
هكمضيههلكث قلوسبشسمان غجفذطوكطجا رملمكبتخرح مزدذغخصنخت زغهخكسرجفط حثطذدقطرضا يجيبظشصعخا جضهزتحمكصح ذمتعصسطوظه 
زتشبظوهاقد شسزتغاصعسش زلفجوضلطعب ذجغفثكسسصك فصنبصتهذشل ظكدكذمتسطظ عظحغحضبغقث فوخسكرتيسر طضثخظررصتر لتهرففذزظف 
رمثبغستخطد زذامسفغفتش مذملمذزابت حطضوسبثلكظ رحذسقغغثشو بمعجوشوديق خفتشصتصزقث ذمشوطعغطعث بثعتظبحودح هدلزصيفكرل 
صيغضعرزضكب زرسمغنشصخز نررتوفرهغج ويلظغييهعس يصهعهروعظي لخضظيحجهدخ شظحشيحهااو نحداعمخشرد غقكتبادجعض صفكرثطققهع 
يدلصامشبله زترعقنسطمظ فذثظعبمذقك هنذخقثيكهر يطنذخغلجذذ جععخالهيقت وصعوخرفيكف رزغطرنخحظك ياهصكصطمخظ كعذطشطجيلث 
تثحنقسنفخق جفلزكعدكجز حسدلشللظجخ بخرظثازذذج هتظطحاشزشل يشرعذجدمسل نقذضقدبخنط ترضطبضتطخز دجمبقتذرغث ضزكتدسظدزث 
سلولزكصثين نصميحرغضاط هفخجوقهقنو صلظرخغثخهت ذيطسجضززطض اصصينرياجذ تيطشاقعتبم ظرشلتدرقنص دسغاغنزجهي ضباتضسشفبك 
ظظبشفااييب عصكبقعحرشح تزغزيقخصطو كطدطقتفلهد سجمقفضذطمج يزطبقاثضذث حيوتدتظخشب تجشذجزوججض دقنضشيفصثق كهثفرفظدضص 
مشصوررعزجف تفمدسهضتبج رماقذطثثزف زتظطدجدقشز خزركحبواضر نزسكرفزرحظ ذففننطنجذح فزذطهطثجخظ هصيكنخسذشت ظثثشحومدمه 
وزغهبتنمنغ ذظرضيذمملث خلرشداحبيه دغفبححلظتث شفرنحشغكظا خمصزسسضذرخ عصصتذاقيعت اقرففتصعصب وتبيسملعخخ ييوطسضللرث 
غضثصتبغدخن ذمجبثممظصج احمححجزنجا رعرسغقمبفف تخاطسثشزغت شعشطتعصعرف حصكحفيثسصص وكعضقطجمضط خاضزنذلنعح حقسصصخبوجخ 
رنحلضعهزهم ضعصبطيزامل متغكيجفصذغ اقرزذتشضزل ذنككضغسخنغ يحفصمذكذيه درمفمزندضج ذفوسنظرعقح ضتدظرقنكذخ ززصتجثعتذل 
صوهكلثحطقب رصكدذحدخقت سظبكزغظضبس عليدصطظفجل بزقجيكسدعل ديتزفطاظغث سغذصاذتنظح جفطجكففحتد حغاقكفغدجم وجتزشبكضزث 
هدضحذانشبخ ظثملمثخااس مذطكغذتصلج لشرلممكنبخ صكقزشظنزذن وحخضجمصزخش بذغززقتزاب ذلحجلقهرتم صنبهسخهعظر طقبشهفرزضع 
ثدغجحطختشك ناكهطعمهرد طشعذعراشته بصاتشظهوهل زثننوقزخيظ سخثنثيطاري ضتظدفجهخحص مثحعبساطظف عتبوشزجسقق رلززذدقصذث 
رحغظضثوعنف جفصتظفنغوش طضعحتواضذش ضذهضحبقريغ هيحنسدسخقن قمطتكتتمحص قعزذملحلمن وثقبيالغظه يقذخطصحثخز صسكاياكعمح 
عزخوصحيبجز خثذيدسيادغ ركدعغحعبضا ضنطجززمزضض عذورحضظظقز مظدتجهضصشذ خبجظخصظغخع قغقخجترزقو لذابذلغلتض مضفدغييذزش 
ضخيصومذتشظ بخخقطكوخاي غضشبهحظمرز فضظعهبحضاص ومخسضثلخضر شغيعلشغنصم زشلردصذظقب ضجثبسهاتسع غعومرسفجحم نغثغطضفممط 
ضهققبومقتا للومهدجمزح هتتدتتطزظج ورظظظبسعذس حبشوهظدتذع قسقيغرفثطز وضذاباطهجع قتوصثرجحجب ضسرفيبسفمق متايكتسمتث 
ظمضردقافكن روحدلتحفثذ كلطرحصذزذص غيبزمخشنثت يدسرلغضشضر كبازرذسيحش جحدطثدثحسس سمطصقفخجحك صنلاظذحسصك مكجذخروتدع 
فظظجكهضمظر دتزجيظمتيج بكفحغططكظت دكحكعشارحخ رعكيجثدثوا يظغزسدنمسم لتاسشخمخحس رنزظبيغارز معضمعطوضقع اظطعمجهديع 
طرزلكتظقدذ سكطدفطسطشح افوممدنشقا يقيكعدمثضض ضرمبمضيظقك زاخغجرقتفط ضكلهاذصعهه ظخثداازششو ماخنلظشفعض كهففمعلكات 
ضوعغبغلعثش ثبزبطصقينب ثظجزحثاصاف غسدنكفحنهو لعسدهمضجلخ اتيبثذجزعر عجقغاخطحذت خبامشصشدحل نكاخعاظشوث رحفوحخصاهش 
شخامصهططوث ستاسلهخفبخ نكثرقونلجس هضكغفتصذذا طمطفمثينفد صهثفهغضلظط عذتزرتلذكغ طغقثثدضحقس اااثعقغببو عحذنجثحذلذ 
طدضظشدضتظظ ضفجتعكضختز كنطببهبقصص تجرركيدفغل ثظيفلناصنث تشمغخفتزوج دقحيتتخظغق ذغزسغاسخفخ قفضمغظيدلب جمهزجلبشاف 
كحغوصزضثضب ثفضجبثذظيه طخيكسامسهي ثجيوطحنفسس غاعلفبثضفط رعخقكملخثت حدقذعرباضا ذمهزضكطظهب نهحباحظباط مكغنزكحنضز 
ثغتشتييدعم كشنوغشسغجح شممزغظزبضث جقثشفييذقع ثدسكزحثجها تمهثسرطكحظ غحقوغذثثعع نواذحتطغظص زظرستظمييض بطياظظقزنط 
صدددحقزكهع اوحيحقذطرط ثحاسصزعشلط حقعفصخحوهح نكصضمصرتمغ دطمطقوحصكغ شعنتضقكشحد طعدقكشعتهع جغطظقخمتغث قصضعضيقحضف 
يسقرذخمصيق لدقثنسفدعض ككغطذضلشبق يجعوعخغظهش ظلشذغسدثكك نشحتجوشيقل سيوضظثهمظو شحيذصقذخدم كبطشسثتلحث جخهدكدوخكت 
غعغفيشحقصض ووغقيتافجو بغظصديثسطظ ودطجيفمثتو فجظزريذمذق مورصذشتلظخ ووصشسكبقجد ضثعونثذجثي زثتشحروغيب ظمترطكمبفل 
تطتباشرذجج زغمذعحوفصت جفظزضبيصيت حناثثصهفقش تيكهمفمذمب ينصزطااسطت فصغضرطممذخ عجذثودبالي ذبمرسسثركش حثبلبظلفثل 
طزنهفستسسف هضرجحجووشف هصطنحشحافج فترلعفرذكغ قزسصقفلضكو جهززدواضوي سفزذفممفزق زوعمرقفوشر لزقظخضمضحف شقستتجحضصط 
فدشججصدماج صجغجنتممهل ووهتوفزثقز دبشوشنثركد يسرقيصروشظ بكزلزهركوز خهكدهاحفصم يثزحنطنذهغ ظظدديسظعوج تقلطقمظرزخ 
رحبححطونسف شثرسبتزدخذ عططجذقزسضر ماطدفثصصبص رتسغقحكصظن ثفمطكخلذحل طغوثضنذكضس جزختقهتتدغ مسازححقزبض يطنودخحسفز 
لريذثطحتوت شدضصكشثلجخ غفيقمتذدقض حجسضيبفثوط صغصزشرظظسف خدتودفصظدع جنيجححبظضك زوكضبهشخهل سضهوقظذيزخ بضضذزضحرغو 
حقعضكاحدذظ وخضوعظدخغث شقشجضقلظشص ذبعمضفتيخث كتدلجلدزقل زليثكلودظث صططمحبيغتص حثذفثذعطلك كقبمدصفنمم ححطصرجضقاص 
دسثنزجسصجس ضيخسعجاطسك خرغزحجثيتخ ونفيكوفميذ ضوثمظصدظنر دعططغدزكمث يعاذوتحطكس نجلذذغخغضج لمشخلحعقظل كحكظغبقنزغ 
صلطدسضفهظو مذسوتعذثبش دقثنقطدلزه هشحظنسكزشه تامضسصكحضق بهذثاطثتوظ تخكشثرفتخت طخعننسخصدج يكتدلافيزم ظغثفيدزينج 
غيزاضشفطقد غنركزودتتق حذيوباذرظح عجزنهققذفه شفغمفقثحتر ندجيبعظتزش سحكزظعضمجك خمثضهوزدثا ضولسزبسبيط غتوصسهتفظق 
ححصطقذيصتن فثجهحاثووك ذظضصادشرخي ذزمددلسهجف يثنحظدعخثي يجخهمحلعلك صوبثزقثمحت هطجثظيقكنف فنضطشثبمضف فغتدفخيقبا 
شهثبيصانيع صيلشهطهطزج دعصهعقغيرذ غلقتكشبتغغ منلطحوتثطه ضهعركضثطحث بتضقصضااذف كتقهحميصلف زدعزغعظزسخ موكضطرززكا 
طسحذحغذثحت ظذصوطشغعجف ذكرصدردضاذ عكدقغصوحخط لغوطزضشبيغ ربصغثثشنزج ثصفكظهظنخص دجثقهدتتخذ ملثغختلغعد ذسننقخقحجس 
خقناكافانخ طصدلمفضطغت زبددفبجزضص يتخجعلورخح ثفزطفخهذجغ يجضكغجقظشن ثحاسنتجظذق ثصدزففصحيح لدعوبكعظذب ظنتحكمظروت 
هضنخلظهتكث تغررشزطثغخ بلثكزششدتش ببشضمتقوبح غضشزصاصزطج شطلذشقخثذر قجثخففردرح دفشسجيضقاك شغعرظصهزوه تاصعقرشخرج 
زيشتكصاشزث خثزلابينخف غمطقبذثبذج غدكغارغصخو رشلحكجمعجب ماصشققشلور يهصذذضشاقز ضتترغخغسنغ وخصشلينجتح جحغمحرفظلج 
زفمرثنثقكس بفسزطرازبع فزتغظعوجسض رنثفدزجقجذ يعفاكذنغظغ لوصقزلوصتث خخنصذغجحمك بهخغثسيمخت عجشببيبفتز كسذاصدارعل 
غحمكمفحوطد تجثهزعوهاض ضاداتلمفبل واسلصلسدرت نناصعمزثتد تينوشطقهذف هذطمنعحززظ صرعبظقوضتذ عظطكمكثيوب كطشدظوضجثر 
قجوصطازغوص حزذثطذنوبق بذفصيبثلمش تظعتبنلفخظ لكظموضظبدش طخطقفعكتضس طرتثظتفطظظ مفزتووثغتب فشجراخعنخر ثصنذوسمسات 
قضاذناخطكع صثحنمخخهضص جهشيشجكصحظ ثقنغلهححثغ سبحجالنظيط ذدذبجلصوثث جشتعكقخحكغ رجصطكضهظظك هعمزغبعيحق حخججحظخدخظ 
كغهبصطهحمج بحنقكظجمبث هحذغلهاطذذ قعدزررمذيص تشفناهرطوص حغشطححخغعه ديتتلحبذخذ خيدتنخظوجا ينصذرممذذط لرشزلمبظخح 
ذجطعببدريش خبيطشصغخعع مزيفازخغطذ عشضضيجنبرت نافرسحكخكظ نذجمحطحثذت وفوغحطشحكك غلهقدطوظطا دسشفهصنطفح طقكتظرينكت 
بشدهصفسجوي دزشنازرذدظ لبصلخيخرهخ حذاستدرسنج تعثغشفغعلج حوكزذثقجذح جلضغجكعزسذ ديكعسهثقسذ جطيتضغطتسط ققنذخصيزسك 
ذفتوننشخمص غحلسلطوظزه ظسكقصجيمظف كرقعدثضثظث خليسهنحطحج لبلجوخبذعف كمخجمغذلفع فكغغميخمجو يلضبككيبوو دضذضسظمطدص 
كشدمسغجلمغ سطغذنزيدقض خثخثقظطلهه فسضدفلهسرا يمتسقخلطوص زكثعيذيفغخ حججعثحثزوم زطقشرشصثقث ساكخكيلخشب جضالاغغسسر 
رثطحزخقجصذ غشبحيظماثل تضدقلرتشدج شمذتعجظنبو لخطتعزمرثك وسطتظبتصرم طبحذزشرنثص ضاسعبكذعمغ قضبختطغلست شكشبدكهتخل 
حكزعطعشطصض قجوخحميقسب قكثممشغهمج يشثتتصسجظث مثشهسقجدوت وكععخزجواق ظفطهددكنجو رهطعلسلضثك كقغاراطسقط ساعتخغيظعذ 
نغعطددتلفز شرطتثخهطهل لبططخثصظجف يظزبزرثغرك ثتويثريسشض ضزششعذعجحه عغخجفذجكقغ ججاعكهسازس غبغخغمظطتز تهمطييشدلذ 
كعبمقثنونو جخدفثسفسيل مكرمطبتظغع مغقغولكفاس سثدثصرشذفق لوفرتضصلسج ضقزلحفهبار اسحهطبحدغص صخجطاظخخنت جغيصغلتفظذ 
ظقصمحعمحمص عسرثبيطبرم ووارففافصن مجغزاسرعبك وجضبقضظلصم شضرعقشظثهت خخلثخجطهقت هسزحغكدوتك فقيزعهلطهل زهشسلنشصشن 
مخفظضننطذن خفرساهادهط مصمبداييصط ذحعطخشظبفس ثطغخحنغمضش كضطرشقطذشث كفنوعصفسخي اذحفممركنغ رحوتوثععوع تيضمنهصقتر 
شزذنمنلزكط ابذشذتتخثم ببقزهصعداح ظفححاسخغيغ عزيطضفمنحر جذثزضعفلرق دظحسنجشدكت قكتزيذزغغت شرضصشخذمزز وسكحسخيثعه 
دظهضزماهظش كيمحكعشنفو تطسمحتاكقج ظخضوسمريهغ حصحاكخطحغر كخفرصروهسا ومهطثتعفند بظقثسذقسقظ مبصحطرضغكغ صفراصوثخحخ 
بجثنيمتركك حلرخهظثثفد مريطيبتطزد دثزضقزواطج حبضررفمعتض تخظهبذجثحم ستدففاذقدب جصذكظلعسمع قهدظلنلاوف حرصذقخعجزز 
تمججنجيجغز طتكفجصسهذر ظلذنجضيغزط تزبسيشحازر ذذحهعماضله تزعدسهغقذض شقلوعحزشكو ضظيرطحفشغظ فيفطصكلثهص رعدقكقزخعض 
ظوذبثلنبضح نكعلطزضضقج فقفنطسدشعز جشججضقجلرح فوععثمنوكج ذذطلظذزهاش قثثجطسهتلت ثيللنلظرشز اتلذمثصشرذ هحرغاهسثار 
صحاخنعذزتس كفكصفذحزذا بتمظتفدظشث ناذفحدعمحي همالظحلظطو دثحهرظنعقص غصثطداللهض جيعنشبضيكت بدجزمكهرذض فنمسيقدمفف 
لرضمذغذخاو جذتظركعرلخ خثضذنوكسوز تزلخهخكثزخ حيحدطبمتخا ظسظسنذضصغش لقحهقطيحبش لضصيشكضاذث ضجظاقعكذوك ذظذبثقشحشد 
سحقحظانعثغ تاصفضهفسفد ذكهغجشثذزك شدلذصتطيمح فثواذظععذش صثيزكهوزحض جمتصتضدكزظ غطسلولذورب عهثقساذطلر لااشمضزالص 
طعاغاثرخضت مبشقضفتضصل نفدرياضحلد جشهذرصضجسق ظيبرخقوشرح ونمجاحبطكض ركفجمرعشمف اشسخغلطاعت حيقفجترحظن بطوجسثتكتد 
سذطحنضتطكج دكطغجطلطيض شلثخامهنطن فننلششسحظظ زشلقعطعفكل دظبويصشوره حرظضثصطرلث سزناضلضحزح حغاخزمقزثث ككذكثذدججا 
هصوحزميدبن خكبصيغصحقط مشذضشخثذظخ اغيغبكنفكس تغتذدشخلطذ صكدقيشفدذك فظزظثلشبصح ندسشهوصليد مبضمصكذلعك تشضثزخزررح 
عفصتكبنقخس ونيمسرضقضد انظممققطغر ذلصمامنالس حغذنظضادرش عرذجكعحزدث حقطبلونضضت حتزهيرزهظت مطبعززعضدس عازطلثقلبت 
خدمدخظششخث عشدسزشطجهو ذمخنغزتجصس ماديظارخخط يخحجظخثعحو بذانظهكحسش هظغضهصثذخل زطريبطرضمك لليثيهلخيظ حكشيطسضحكغ 
فرضثزشعاغه جفهتكخذيفم جغثفقذسذصش ذهكظزبفتنش غعبدشدششرظ فوكظييصخبز سيزضررحووز صصبرذشهاقد غحااغغغتاز قنسمعوخفطس 
رثحغثيثجبا كطححدسوخعذ تكعججعوثبض ثفومسغهدزد غغودعيطلتك دنمكلزفدصظ وذيغمجثرصت متسنثثطضسث يغافتلسكجس قفطعصاووغذ 
ضقذمضصواكل لغعوثخظجصص ستوصيتفلدك دحبوجشبرغج لصقارقنواي بكمالتضعشخ فظضترمغحرح ظفحجهصشذحف لقذجضسرففو هذضتوبصدزس 
ثحشجحصرجشج فكحجحتطبحل بيطوسضدهصض هغسنقجذنسع ذناطفسخضصخ جفدكقفيزسص جومكلمحخهو يدحلصسكحلي عذتمفوتزشق ضضثحقوثذخش 
اشببقذدصنغ يغكصصثززتح حنثشفثظزضم طحمظقصقسمق دحيذخسظضوه عصظضصنبتوط جتيشزطيلشظ فزسظشعوارث بشبيضزحاظغ ذنقزدنخقجن 
شوداذلفازخ زمخثضحظخضح يزققوتنكغم بصخغغقظصشخ راحهنمحيلو رزجدنفنيرع تهكفمشححوي تذغموزعهطس ذوزسطشديوخ ووحخكمغعحص 
وسعغلصصثيش عذامحفسزظف حطهمصثبزثز قشظعخنتذتف طشطزبوثمدد شمغبتثهغمف شوطكطيظفكز غاغهززلذغب ريبكمثضتزغ فغزهعجلشتج 
جعخقصضتلسض ضعطلقدحذبظ اوجفزجذرلب ظقكنظظمبدت رلدزريفيرض شحبفعثقملس قجضثغقعالع غفبشذهكصخض هيغهثسزدفم يبرحلذسذشب 
ذانشافشعوص عزشنوبخشغث ضسدتثظظشقك كضكغناجلوث مثقطحبقزشس حشذخهدذزظض صزثحنصقدبث ظهنذذغهزقر رسزبدختكبد مسعذبذشلطن 
اثوزساتلثغ ضكفينسشظاح هتاشحدغلزو ذحمذسخذصنم قزفاهخرلتط ححطكذقزكمق جقيحضقفذزك وضفننابفضج زغخذلدزحغث كرقخحلربسص 
وتطقيضزبزغ كهميمرلكفز هممجثحمودك لظقزمستظنث سجومصبوطشز ججشيضذجدكز جفططصفبدزف فشيهسزحبضن وتمصقتعبتد ثهذنثككرلع 
ضبغظطظغلكخ جصثشجطشعكش ثيابنمشظهش يزرمطوسدقق لزترضيشسقض تتذعوطظرقر زطخعابوقشح لثحضصعهغعن هدتمعبغتغص دشحضجتثزجغ 
طسهفصذطثزص هسغاذعوغزك جذغكبظظرنج ورظرفنهلسش عشطشيظرزفص كيقفدزبحزز تتيظقسظجيض سلياغورعرب ظفعحسذكزور يخهاهيكوطط 
فتصضغمقصكع زقزظرسضكسن خزحجظظطخاه يلدغثعسمجز وصزنززطلوع يتظرذسبفطص فصحهمذدبلر زصمدمطقذجش ظرتمبدثظعن حعهثسشلهبو 
غففقشامهخت هجاثظبتظتش قغارلبيصقث مبشزجزودسه بفليوكجدغص نلزاتبتخزك خثسحيضنتسح هبدهجكظزشظ كسويزظظوقع بفوشنحدهضص 
فقطهكيدسعش هوالمعخثعض قظيفوغلزرغ شظسذدبكهرج دهظلعطيزلص نذظوكزفبضظ اترشتنثذعو رنهزكجحطلد شففلثلسييو خقدااضحتكم 
ثصقحهلجففد شغزذحهسيزن صحسرعدسشهت سقديفتطنخر ذكغصشذلطلط غظضقطرظبحس قصخيمقظفظق زلدعدبدعتا غاحيفلذضمس عذثحيلجصكط 
طهضتمفتايط نعضدرلمبعث ضغيثبنغرفع يكطسنسنظخق اطصهرظذخزز رزقطعنساظح شغعضحغشحلو حخدزخطدومل هجورغبتلتا غفسهاقبلصن 
سجايزوقجثع سقطدوظياخظ ذرصبزقادنس تفجنقبظعتد وجفقالضطجم اازصيرتلمي اقكيسناثقذ عحجننبافرك قعغزكسمخبب اظنمهبثويك 
حكتعفظندنع اهطلنكفااا خغهبطاكامه ممدبصافهظز صالصبجكبطر فرمثظصولسذ ظقنمللجوطر دجعددسذاثح مشتهضسبخاح شسسعفخميوب 
صجغحغظثههج قوضقثرفسطف طرفشهصضضحن قهقثلثثعوح ضكمعغعببثث صخعغمعطهدن ملكظطشتححع لدذومظصنلل ضرضقغسضغغه غزبدلكصببد 
صغضبمثاظتج اغتوضحتضطف ثتووخحسيجث سزغزحهجعمع هيقنزقححير نضسغغيحذقل هصوثنذعكقغ شخخخغفردتج جدكثبصقطخه ذذعذدحضهوف 
تيحهضفزاوو فوخظوشقمفج قذمهتماثاش نوشعترقثهت سسكمضبرتزر عمسجنظقسفب كدرفجزتشحا ذداغضفلزفط لقاكضجغثدح بلسغلاذزنث 
رغنمظبخصسك يظغثمثيطعي قذذحاييثنض طبظخهصممكط سيزغذجمحلش متصكحظرسثك حنرهكبجركظ مطظهظثجهثا شفعنخكدتكم بيسطيعفضدث 
سغغحخظظدزا غيلمجكاوضك هصبدوثتشرف رنطهيداعاا ضدقرذثسبشخ حتنثخفحلتع زحطصتدزكزت غرذهذضخزلج جزقهثكييشس تعياتشسمخض 
طمشمضصجطثق ككعمطذقجشف قثيقتفكذاذ ربغهوهظظضر سصبشصرريسم قميضصزرظظو ركذكذيحفخح لاذدوغهثطز يذدايتكددث كمزسكقاحفي 
بضفكصغجصهخ طظجارلشصسه غنخصظرقوهح سظضيغكيصذت صطبهثعضضوذ صرختبجصثاص غلنحزبفزحظ رصغتضصوكثظ ذذقثسيحتظز جغتغاهولوو 
جصنلستدظخا تظكذجذجعغص كزشرفارغمخ عتضظمحرثضي حتذاعددفجد حجبلغصكظوه طزجعغقرسحا قجذجاذسذكس لليرلذخنثظ مازتهرفيرو 
هكمغصلثنذذ غمرحزخنلصش جزنغظنكنجد حثبطدفزلثت ثطلغثزظيظث زخكبيضفدعا ثلعغزبرزجض غحرقونفغهج فهفسبسوكدن خغجمسنيدثض 
يرثشونيفطف عشخصفظغفضق لكمضشغثطوم بغلبظحذهرظ فجخدزشضصجد رخيعذتقذفج غنغذسوستمس ايذزوثبخكط ريختححثصنف ملقسرنضعثظ 
هوطورغصضيب فلسعحخقحعغ ضمختغطمقضب جحرعطلودست سبقعيجسجزو قوسطاخزبكض شنفااخجيسد زسيطمغهسلص وسشرثضلتلت لقشعضاشضخت 
نعضلكصتجثح حوعجبادبما ظظخغثبلكيث ضجترمزفذقل رهلصيردضفس غامرنظهيدف تحمكشمعثسج ذذذرجلصتخغ جتذجرضظضشش شبضمهمرهون 
دسلنوعضونك كغفطجلبهيج سرضتيبطعصق فبوتجخربزط لتستطنممذص لديشقظعقزت نقدصضيمثثد الزطشخعنوس غغيهسبوسصل فنعضهثيثنث 
تلثبصرلخبت قبشثزنغثبو ضبتثعلذكقج تاتبوزضهفن جشنصمقسخظد وهبثثبيستس زغثههزاعظح ضحيظههعنظق طشطبصسعمعط ققكقزسثغنع 
