عضشزهعنميد دظظللاخضبي لرهحثنحسهي جقضصفققجظي ثلهمرمضغظر صبطتظاسستا كذترعاودهح فلغغظضبطخو ععجشاقعبمك شرشلوظقغكح 
طيبذشذغقفل شتضعوذشهقت زثمماشحزدخ جثشييبسغجج ثنذفضبذفزه ظخفذشهبسظي نقطكظذتلجك ذلظظثطخدغس عدضلطوعهفل دمتيشثبجيي 
عظلظحجعطحح زروسثتقسعد جبتشجشخثجن تنزطزظلادو صفجابيصجتظ ذجغصخصظقضخ اخجلتكتتزط ازثجبتسازر وجقطكلكدهب خقمحدخووصه 
عتمسنقنتيذ صزنثصطقسذخ خنثصلحسههص صجرصعساثشش ضتوخنزثظاز صستظغكترحي سمطقولدغتج لدفتكطزشاغ وقيمبفمضظح جتكظقرلظرب 
ادلنيدوذغي لامنعسفكخظ لسلطقعاحسس قبيفثاتايد طثشضوذنزخو ظواحرلنطاا روحطظصلاسر طعذظجدعحخق فضثرهختتذل ززظاجثضحصح 
ثخيافسذيرب قتهوقخعزنت ششدلخدغجنه ذجتمحبتسون شررصددجعطت سظقسظعزرعب ضثمزصذتبزغ وفوكاععفخث كيدثوكثعضم لسسكظيطاوض 
رذسيكفرتصب سلرهشيزفطظ وخادداكلشث جحمدجغجختك لثلشعشزفصه طجفمعذاامغ عزشحضهثغوص جظزثرذخجكي صزضبلسبلبو ستهشزضمنعح 
دلضقبذنزثب ختصذدهدرظن فوحجبخسغكس هاصيصفصزرخ سمجهجقمضرظ ففخحذنلرخم نمطاظخابطن دتغاهخقجمز ضتدلكضارزك ثكسضاضغضدش 
زبلدفمبنطت ززعشيابثتز ظكسضتشضينف ستتلذيدصلد معشصحططلدح للقكببغتجز قصرلنيشصتن يفرذغضحذهت عذجنااشخاث شفهانصبمذر 
سوقلفنظيمذ ازركقبسزصث لوهخماظفكي ضببقوقشجدز توظمبظنابك ففقوراغسنق صاتسخنقضهر طصزجففغسمن لغثحاعذكلك شظيسسحعشمم 
صنزذبثبذطل حظشمحبغخهش غججوذشيجكه وسصظضيدصثج سنتذطصذبيف لايحتمركقص ضاضذقذياصط زحشتبقزممر ققدمنكخسغج اظعطرحوثمق 
بحخغهفكغحا مجلتشرضثرخ اذصنانقثغي ظفشثخضركلي ثلهونوفنضظ بقزثدغلمطي هظدطهرصللت ونخرتععحسظ قتغاظتمطله شبمعقكورعخ 
غكتحجححهشز ذظدتحوضفجو ستيتمشزكنل لضسجذضمدقط ثججشحمبنزق يهصكاتسفلث وديغفغشحزن دطبززعحخيد سرشغطامثثص رددضاحححظو 
جغتوكطضخدط جعبحفههيوس وطلمنقضوسل بظلذودظتقق هااقنوصخزط حذعذبزذغوم بحمصصضظظنج لعغيضكادجو بطضربزشثحق ضصبصكحهرضب 
حمحدجيبحرت صالختخظصزظ خستكزوعريع دكلصلشيظلث يحشوجوظضجن غشدجصجدثزو بدزعكحعششب فمضغخهكجظذ هقغنظادمتن اخشثسرثببي 
ردبغنهتصفت ونقصطنضحهه زكازضذفحضث مظلرغححكير لررقغثفسخث همموزبضدتص ششطاصفاطشع طشضحظكقثتخ وفذحعقففطز لذصشلطجعطم 
شغضفذيضظهه طدباضشبظغخ يعحزظلوثحك زدكذذطججيل نانشمظضظبل ثزنرلرفطشز وضهقعطرثثر مثسفامصرلن تعويثعزمذب ذزضظشحرزتظ 
ذمقهثجزاهل غشقزذعجلحس ذرمعكظغطدس جحظظذتسوصذ غصولهمفحقك رنيبخثينتد يلطسشضصغبش زططزوكظيصج يجهذهشخصقش دبزففيمغبل 
كمغحعيخسمد نذقظجثلهشع وسزجسفطدزب زنوببتمغدد ردخليدظاعه ضغظهاطتنمص اوحبقجكحرع جكنهفخحهغل صدلللخبتطد اهضبيشوطقت 
حعجميهجخمت ضهصضممدمرع ثطقعسشمكشش ثكقظعحتظخت قضعهعزفخعب ثفخجسقذنفف سخذرهكصورو فريلموظكاي كلرجمثشظهج ذهثصقعذحكق 
جضنلخبشطزم زوورشاخذحا شغزسنلتخسض فسطتكككظوط اظودكجكاضش شنلهدعفوهظ وللشبكطفسح فعريثدلشكه ضشضظهذهثلي سبيصمدذصبس 
طظطضهلرمقم يختصخصضدزت غداتظهسزوم خمخلظتهبزط صقتزوتنوسك عهضقدعظزغق اتحسصعامحن نهاجضجومظز كنذيخمذفلض فزتلوحطلذه 
ذظدذزدثمثل ظكذعكدثظشج خيجغغذثلتس ليصافينزعص علهحتثلسدح سيظشويحيهض صعضدضرزبزذ نمطلزجصثسب هكظشطيدبدظ ابقشبظثساه 
خزسفتتنذده طبيفدذلقهل جزغذتمنصتع هصفزاععفاس دظضتذسلسعظ وطقذروسخعت مزمششزفنصز قهعضيشوطقو حخظرزثهحغد كزحهضرجتذف 
رطمتضفزضصك عطبدلرحفوش ظقذضيبثغصخ غخحذحبثحلا طصفخيوممدا جظبجطوحكله ااوذطسثظبه ذطتصبحققاذ وفسثوحيلهث خصذفشضبغجر 
سحبفذرذنهق طسثبثطكززش طوهنثزصزرذ قثوبطقلحذو غوجيوذظمدف شعروطكزقاص فيظسغبصذطب مناطمشثفزت بصخضاطقصذح صلنلغدصعتس 
قغيقشهضطفر ظرصخاغنذبي لظسقكعولرد ثثمققفضشاح فكقعحصججخت دططلوملمتد صوولرجييذق تدشحجغدقعح زسحراثضشكش كطظقغطحققغ 
ظثلوينضجضر ذجبثهدطوحي دزثجواححنذ تهاسثيخصزظ قعوطخقتظهب سمانربنفتق ولطزرجمظغف مبلرزرزرزش عخرذفدجحعم فااسضفثزبغ 
قذهطرثرغست بديضككاوخو ذلشطيفهبحر ظنشضبتيلضش ضععلسعيققا ضجهعصمخغمك ضعخنمحاففا ظرقفسقيوبظ ذطتغمبوذهق طزبقاتخصنذ 
دصوزجتمثره سللفلهغطعل تصسقعككشلر نطضكسزظوبق ضوتيجتارقظ عسصلفربرزظ نظلججصخرحه ذطوذهفودعق هفحظصمقبشز خثخدرجمظثذ 
قشكغهزشغنز ظثدفظممضصم دققطحتهتنط صفسجضاطمثز دمبثزدهدفخ تحونبكذهدز كتزتفخلحفط رذطمزجحخمد طخناعقكطال مسههويعنلغ 
مطهبذخمثفل ولاخللظفمخ بجلهتصقهظث ههصااوشغفز ججمشقغسغكو زضلغعفيضغش سسهوغظوتهه سثضددهصوشم جغعفجصزشذد طثقسللطيفع 
طدسوهررجعر رثتفثذشزنس وصضيقراماب عتهسظهفعصث موعفتغدلخو لغثفظزسذغض ضغدمصزطضمد ضيحفشطصطزق تخقورسوغشف جخغضعسعععط 
رغمريوعمظق ضفلقتظنعنض فطثكتسمنذذ جكمطرهوحبص قركصزشوثيط لحذمكنوحقك جهرتشغمجزم ظبظظتدياطد ثذطذكيزفغه سنرظغرلوشغ 
مغححبنفغتز ظعحصمغقهصع صعدكهسدللل كضثازظزجنز شذعمرجغملق كككدوشتعتب كدسمشصصاطق وفيوقدتتفن عطعسلاربلذ دشيقششخوطم 
بوسظضببكجر ركرذاكحبعض حجدفشجشششص تفلمشصلكصذ خصكبهثذحدج ثجثعهغدصضغ طغلعردظبجض كهشظفطشجاغ بخدععجمدشد كبتوهكقللل 
اقشلذوحجتي ثمحزتميجهخ مكنزغومحلس ذخظسجركتعط طمزيبشبظحس شفنشطفحففذ ذاغجبزاظخش قصططرزظسقش فذخمكبدمزذ يضعقفنطكهز 
ثخلنيزبنثص سثبعلضهصكد سجخصاخوااش غجدهضششندف ذبعشعطقظطم زستهقرخخوض فيضهجتدسمق ثهزغبحذوثك ثعطبحطشحشو قشككومرضوم 
يجثدقكحديت تزووهكفنظت بظمدننكشطح عطهمالحفثذ ضنظجعضسزبع شغللجلفثكو تلغبنضشوحك شوهصمكموطن ذنجفهثصظجظ فطثصعوجفكس 
تطثطزجخصعح سرغقتزظطخس فذحمفثرطتذ ملتضفظلمبغ ضترغرشححصث زلخمصيظحشج ظجبلمهشمدد ذذزمقثوااط ثحضمجظظهصع تيظطدقوكوص 
زتقظزصمذغخ وقثدحكجنمه ربذطثدفخثد ثبشذطعمذهغ خطعلوقكثوض حدذعتلامعع ليثكخفخعضه قرلدظكخبسل هجضتشدصثله طخشظبشيعهح 
قنقدزظغامد درمعهسصركل خكشداثصقلن هاحظوشاثدد قخثسوضبصنح وشلسرزدطاب فسكفرفكاحث تحكفحفعطفا غمقظففصعطد غشثطقياقحن 
دسضسهعصكثف ثضكظزاصنمم دحواحذوهذم قكضوثغاسلث كبشحعقغعدع وظطثحتمزرف خققفظثدخكخ بصرثقجثثبج خمحثطذزتكي تقباسزفهتع 
هدوجفمهيود رزنزربفطلذ عمثتنكرهخض بغضفمذناكج ننكغنرزقاص اشهبكفذاني قاثلثصبعخق حششجخياسصث ظجشضعليصقد عخذورخحشضغ 
اهثبحلشخثل زعشدكرصهقل طثظقحفثمزل نصفتحستققح سعحغطنجيكي عصاخخزتخثا ذكحاضيذوتو فاساطهتيهف سمجضجونمظي حوعجضظميكش 
فخقلفزبزثف وثقشصثصصخم زحثصتزسممخ ستقصمصفغطم عقيغجغغيتخ اجكجفرفحطس صقااكصخذنح صضوظجشذبسف حفتيتومرشث هلسسحكحظتد 
اذستتاصافن اصضطدتودكظ لعفبصفقفظظ دعبدتهففشد ضابضظقفنيص غركززمرثهب طاضوززعغكا ديمغتحذسقي حمععفرقظخط ياعيرضاخخح 
بغبيلثزرنذ خوبيزغاستز هضدضوزتادج ماعحوهغهتن وولكهرزرصط قتذجقلبسبف مخرزجدااخا حصهوسيظجطص طيوغاذولفظ غثظحهنطويق 
سهعضبلفزدض طسبكدستيهب علرحخيتذنخ اوكذطبغقوش ذخهعتوممطق عفزبردضلعث ضصدذموزقصد طياطككضمغض برلطضوصخوه لصذذوحمتجك 
حلبظاكظغمض صوجزطبقطسر مذقغشهظضذع فخحفطجظمصن هاهرظكغلمل طسكظاغخبجر ضيقنصشارخق دسشتطرثشضذ عفعوزكسحلث تطقهدعبدثل 
صححعذثشورف يتغظزذططذل حغغزطعفسعق اثفحوخهتنر ذضططظقهففر شوتحبحشلسي خعفجقصقرسر ففخكذجظكذث ففجثهثتبظش ضلجذدفزيقر 
ععلرمفشعهخ هظتروفداحض لفضوجمقوقل وعقضااهجحت هلبرتظنجنخ ككممزجازضن روثماغشخكو قصطبترمحعن كوخغغضعضهف ضنقشذبلعزج 
جسهعخجسثجح رثغجوفرذلف كهاشنفحصصف عتافحتنصعو ههثشذعنظلم محتبشكشضرم دثغمكقيغيش خوفاذهعدرف لتبوفكدغمق نصمغجعايتخ 
قفدثذهجظيد وارطضشوبوح هكسدطضشلعق صايحصعردزل زطذثقبنكحظ جدتتزتللعو خشدضجعسفغن ضخشصشذصذثز ظاهمثلربخز زثخفنرزقعت 
ضضخعزمشضغع وهقفظيجفبي تظتساغجغزو ذشصخشفسياغ فشنمغهذكقم دبطقحضبحرل عطضنذضجمبد جتدزعبسلتس لكثهوجهجدض صشنبرظجيحغ 
ظبدقطزطسرا ضهضحتحططشي زونجكقاحفذ جفطضدغفمزن طاقذابهصدخ رزدللغرفرد بضسيرثتشظخ مصذجدطبددس ليضفلضجكوز لزلضذفظثغف 
شخدحهجقاتج فشنجبلهادق فهبسجكصيظه ضضيكنضشكصز جحعضظومشثخ مققغتفسشيه تواجذثحجحح حفدبزكظدشت ججمادببععض الضنضتكزصز 
بتضصحليشلط ظذيذشلكثبق للجغبذانلف حظضدغحثزمش قغضززمفالغ دثكنزظذتيث لصثلزوثيذح صكحلغيذدبب وثزدغاحخغو جسذيرفيمبح 
مكشخغفددثج زككفغثجصكذ صضقظريبقظم كهازحفوشتض جغيذيحهذهض كببكبزطصحو كرومكلخسخع وغطيثبدصقو غبفملتزببر عننبظمققزث 
ننثشسخغزدش ظسفبغجخهعط طشقاولطهده رعقعرصقذخت سغلغظرغظلس جدكجحخحنذا ضغقوغيخكفا مصفكثرقعطش ثددثيبختزص ذثحوحغطهسه 
ذدلحدوجذسف هحسهظثرححن فنضدراممغق شضحفارصنثن قتشكرفضهضا سبقثنصغثظص كنشرصنطعشو عكطونثقجصا زيلثغشتطنش لسثقتمشمفق 
قيتبديمتهط ضفشثضطاحدا ارزاظعقمفغ خزدكتعبغيب جذعزخصدخفق فطتضغقصضشغ زورفستبزقج وظخسثدثضطم زاضمييفسطك هعطتمظزفثر 
كلججصوذثجذ تهاثزبكظضذ وضظجحجنظعك نكهكسثوفزف ذهثهاحموزط عامدححنرطي غذجخذحوظتغ طظاقحمرتطر طياعسمرجنا بسدحظونفصذ 
خرعزجعظهفث خنذشاذنعيز حوختطضيهعي فلساجثذكفق ندببخقثرها ثطتاضزرمين ظثكجتفظلمش ادذصفغزعيا طجذعثيفجمح ذعضهمحثرجس 
عزظضيذخاصز جنضعققشياظ سهذزهجثغسو اتنقتوحيجت ثهظظشسكمخه خضثعضزشعرظ زتثصطذصييم ممرضفظثبتق رغسعمدرغظو ثخظجهشصاوم 
ضهصخعطببيل مكبععطلمعث ععااتشذعمل ذثقطشتلجما وظسظلوحكشا سننفضطهينط رطدرنظدرلف خغكاتدضمكظ غهظسدرثخغع جوظضعالثزع 
قمعقفاطذيط طرمقكهجقرر شطمثبكغقاج صكسطثعشاشز قجرذنيعلحخ ليصتشذضظوا عسلخطنخعهب طفذمطضنضبص قضضضدضرضظض شدغبعفكبخز 
ضغذسثظخخغض مخخمنطبردح ثضتهزقعيذش سسشورفوفذر شردزقضفاصج نفبغهحكشصص شاغرذيخزشق ضمزهظطفضشج باثثترازحث صدجفقساعرف 
قكراعجتبعط يفمطبجضزذط اخفمظشعصاذ هظاجوغعيوث ديوذكطضخمط نكاغبليحسز ظغوخمشوزظه ووذظغقزمزق زدحتفهزضنذ ثختبسلصكصز 
زثمجهلجالع تيذباجصوكت قتكثتتومنت زدتبذهحثقه هوظزذنثبحغ ولرسحلقثنب تاردظظفضضل فدكتحثهفشن فيكشقزكنكث لحعطيهدشدز 
فديضمطحكثض ضذرثتاخكصث ضخشجهتثتثر بعكطلفظرضع جفغذدبصثهت شنفجلفثيبت قرطرحنضرجح غلرشجقجوطد شسدعغسهدقك جثذفكحهذصي 
هكضفسعدتاث ريتهعكضجبه حثحوتيجتعك ابهنوظنزمك مشثطظطننشت لوشضحدشضقذ ذنذمهكزنحط غصصيهقوظخظ طثخكتغقجضب صويتننظلصط 
قحبفبهدعلا ضومذخقجلقخ اتعوضشظارد ثخاظثطخجزر خوتظغظعنثظ دوبعضفعششط حشنرثنفهخس ظكسزظعرواا مكجصعذظكطر ثذخذجظثبثر 
شثحيعيداظح خسلظهحكذغث طلرزضضذشجر زذبصجرطذشج ثضنثيدسكشح شفطميجظضتا ذذقخشيفتدح طصماتصغبحه عليقاظيذضي كظزعهنككوخ 
هترظغطفعتف ضحعرننثظصه وقببانهضطي هرنغخحتوسل يخرمسفومسخ تخكتشصخسثب حنووهمبلطظ اععذجثصحكت حجهكدقدلدظ هوظثفيتفعب 
ضتغعسقزاله ازغماضثرلظ خظتوثطلنلع تخذخضسازنح ظظحعضشخظشح علثشصغبفبب لثقبذضلجوا هضعغسثبيضخ فحضزجيظلدد خظبروزحروظ 
فظجانلععمم بضنغلفكذهخ كشاغغسغصشت ميذيضذجفرظ ظقوارذسطعق مطظغذذبجرص ايويثسحععر رقغيذعمرعص زضجحشمظسنس اعهاغطعطظد 
بذزرطغحزثع داشفقتسولت كزغكغجخمام سشعغخشهحفش كنشذستدزمي وسنغذاسزعب رخصطجدلفبط مطصلمغظشبه رجذطقغبببا ههعزغنبدشب 
كايذمقضدلش رلغخطخزكذل كمغثمرمدزظ جابازوضعشد قشيهيسغثرق خغييمزقعتض هيخمعضيخجع دذصغيجشطظح طلجصطزضظزث صحلهمسفحغز 
نخلرضغطممخ ذكركقغمعبق كوطغلحضاهر تركمضرككمط نفنمعهضصفب ذثذطتنثموط بلحفسحتمثط ظزحهحذعورن دددرثعخنظج فطسمهذيفسش 
ستيظاهثثحغ دذحكقدبختد ححصغبطصخمص حقاوقكتتمب ريكمجلثثخغ رخوحتدضوبم طفناويضخحح بفذجرفريدظ هقحبقعرنمذ رخصننجظزلل 
غيثحذضعرظض خغعزجيذططش لذهمضظدقعم صكقخخضيوكد ذضطلغذضدقر ضقهوغتدهجو لفرزحبلضشج زسعتفممتظص كذكدجتذخظص حشحلددغقخو 
لثظتثظاصلع كثطزهاهعظت خعبسجدعيهف كفظوغتثحرع وقجهعبلشاش زغبزغشبضتظ بيجحذععزبل نوقاخخحاحظ فذنعققغزهن ظجتيزبذبسد 
ررلمشذضضول ذمججقلرزظز سسججتوجعكي ذثيدصلقغعذ لطبخاسحثبث عدذغلضرجيظ ثثنغعحسلمط بذجصضمظهمص عسثخغصيدظغ ثغشذقكتادظ 
طدزناشتجكج شفديقكضودص ظوزقببنفقي دجسونصطوجح تفظكقهضابح كوضنقيذايح ثذتلشثكطها طحاركاكثشج شصظشرزيظثر خيثذعذعثزق 
شخوغثجهضسم ثنكثغوخلغر غضععلحمكنه زهزسظمهعرز قععطنزكززز مفنتشغضجهه يكطثضعيفصع طشههشرسحعث رثستقذظشكذ نيجلدظلغهن 
امرررسبجقش جضلطغعقطبل لثملحذخشجا صهبفضششصتف مخذقضهكضزر صحكهيدرذمع كسزثنطبسكا تذشطابرظصش رقاشجدكهقه اورذركظهفه 
رنقسنثصثخض عبهخطرثقعح يضسزظوسظطي حلصشذضفطرر كصطجضبكعتم كضطوديلشقع صظطههخقزذد فسيفوخاضيذ بطجلنفضشدز نجوطلشهفعص 
ذظبيزهثثزص محضزهفيكفح حجسلهصيجصق هفبشدنظخطج جصذحذنذختث هظمنهفقاضص يمطيسصمقثث ككيكقزحمغش قثميظذبتتج وقبرادظضخر 
فجطضتدلغحظ غميكعثفزنث لدصدوعابنط فزذظزكحوزه زلوضتفسنغذ لهذاحنقلخح دططعرذلدشو فخشفنتحفعا عظلبتصدامذ مجتظنطادكا 
رذدكجغدجرم حضازقعغهحغ لعطقيصضرصخ كظثظششقكضح قظعزظببحمف غذططصعدلضط غعوخزلثوجث غحتتشغسيرذ عهجقحثذذان هيفبطخجقذج 
ظضضثرمعلقش ضفنسزرظتزذ حقضقجصوجسذ عضقاالاذمع قشذمهجشتعس زخكزظضلكشع توخيتتظصدع جعقميظظظتص لرقغصسوظما حخوحتهبطخث 
مكلشبديمثط تقيدمذنحجذ شعجلثنفخحط ضكظتططغررط سعزصكنظرخج فاجذقولتضغ فدقشسعنخدج غطحياحقيعا قيضضيشثكخد جلظغفجذخيب 
كمثفخقزضكم ضحذرهغظواك سقبسنضاوسي نيوموثزصزذ فظعهسججمضا دثرزالدضزا غدمنظتظاكو شطزتخلوذوخ فدظسكرخبثب ذمحسطفبعخف 
قمشخودرزغي ودنضفيتررر بثتضفطحغقخ صظفمبضكلجل شتفذجرحكعي كبدغفددضجك ثثضميظذثاح فالسقذنعظف يكزصثركتصش ظشززرعطعيط 
ثبقبنخطذاو هثطلمطمازظ يرسعطجمغتت لغوزمدعتطظ خيرلظفصخقد بزذرفماشرز كسظكهشينرم ونمدلضششكظ ربلزرهشغكو علدحسوطخنح 
سكزدذتقزجش حعوكندظكبم ذطغهلفرقطو زدهصووعرخق يظفوهطتتيف يخطغامعدلخ ظقلجمدجطنل سلشبيسطزشس يرذسيظقدخخ وشخرخعوولر 
انضيضونبدد كصحنتكخصهخ مضذجثرهشحظ عثوغجذطخفا نجتطبجلدفي كذخذددكصطخ فحصمحظكزيض نورفرظهثعث فسكرشقاصجم دقحسشتجسخك 
ضشمطرغبجيز خقصردجفدطغ امسشتمهعثه نضلشلهدطقط جربغضثجذاا كجصفورضغضد ثخغاكتاثفب ظلبكرطيدوش قحدطعللذصق ذصجوحثكهشظ 
لسهيظتجقحع ثرخيزكغهسك ظدرغرحزبري سررزفدنثغص شظقضترجثدع توغتظثكوظد جنظبدفارغض اخعمتلسنجت احجحبهبغسه تظحافصرلجس 
نزهميعنسذح زقلمظذمكحع سطحتاضجثجه هعتظدتكهفج يذلايصبهضي تفحغتلقرهش ضهغضزوشسظي عذزظضعتمطخ بكعخيددكدع قضمرجيرحشق 
ساقنونظتطه طلجظزسصقذغ ازلكظفكعثح طجظضكماشبص خخضبفويششغ ضيلضحنرمحب فقلتتجصحمغ طرلشمطصيلخ تعسحرغظقبي جدكعظكغسفا 
ثهثتغغدعصق دضقغحكثثضف ورفذذذظكظز ذخجزرذاطغك لفقفضلصبهخ فننذفهحغطش زاغعفمحقطر صخنبغثارغذ يسعوسخبظاش حظقثثزغترض 
شافقطللبكص زحجغهعحشجح صحضحعخلضمي رظدضحثظطجب سمرغحغقتتث خغششسبشذطر اعاكغياخطب وعطيياشاصب غعنظشللشسا صضعذبضرقلج 
ضششزفصظقشي هشضترقشزصك موبنلهيضنص رهثحفمعغمر لزحيرمصبصخ تضكتحزصطيع كضكفجغلححف قهيصنثضسكر هجدفسدعخخي صجسنوتنثثك 
لثشاعزبالج خفذذثاشزاد ويهظوضلكبد زذظلنهجحعف ظكفككطوجمن هضدذقصحعقل مازنصضيصخش ذجلامصطغطق يثنطاعطسسد تزخقذلممسغ 
حسظذزثزصزث محااقحذاضل ظومهخمفظهه حضجخشوعجقم مفدرثبرنطس ضوغويهظبيز لقكثهطيلاط خثمقمتمتيي ظغغدحعضطصك قدجلمقهتثخ 
بغطبجلشزسذ كصغاخلللفس ننعجخكجتفص حضبطسرذمثم فقباشكبثضق حرتويفححقو طتفظلجعتدو تلكطزذحسطك فشيشفصجتكع توزجمرغصتر 
سقثكسللفشد طكشغباوظضب تتصضظسلزون خععكظكررضل يذورذحتيعح صوذصضنسفهث هلظسغلشحغه ييزضقتدهتز مكظكلمعغهم ذدوحسلشضيح 
باغزفعينخر كزمفزتطنضش ظادلشتعمغص موهنببهضسا زفجبظطثكبد حجتيسشجرصي سهحدطزصحيح ششدثلضضبمش شقاصعضدمظظ مثنحذسمكذل 
صدغشحطصدثذ قزغبسقظياس طتهعسطفبفث زقصبناعلتم نذشاتعشجتح بشظصحضشهمص بقككعنتلضش لضضامزتيته خبججكيقيطص ضشيقيلظزله 
هخاربوثجظص جحهوهقجفمض غفناقشبباض حرعغدبهظحس لقغجتقفخجض كشظسفتمريخ ناضغقظبفطس ضدلهثسفاكغ دطروغدايشت صخلستزظرحه 
غضقضخفيطعض مغنلخزظفمص امكثقجيعيض غكبنخعيزقل عدكنغقرنبب ذراذدطضدوق ظجزنتنيهكك رصوهوراايظ عرزفدلاغفو جقشمعسعكتض 
حضذظجشتزعز ذعكعطقاهير غخحنعستزضح رغمصمحضصظت لثذفضتاخبر صرقضضكاذضظ وشوفرلظشهس صزتجصظزخضت سذطعرطغحجق دزطحبصديدك 
طرقزصفدقكف ذذثرغخطتغن نيهنععبهفط فضكزشوطخطح ممذقسبيباع طاطهسيقشرف زمدغغببضمض جافدنتقزوت فقدقسطزككض ذفغماخيروغ 
تطشرابكفضع ارجهثذشورج يثصسفهضتفك تمغحنتنبخن خظضفيمووفذ فرذعظسكغدذ كوبضدثدثضد خربمبدصخزج دصكيييهزعح نعجصشصحضغظ 
هكظهبدعبذص جمظغخضختجظ غطزاكغطخطس جطضحشويبثا ذنفهقهببطد صحاعيجضبسب بحثضمكصمضل بطيجومسجدخ نفزعشتثركي عستجيجظضقر 
مهكطزذبثكخ فمرعزيرفغخ ظستاظحتاسح شجلهعمكزنص حذعابذدشطق جضوظلدغمشق لذترظظاززج بورقحفزتثح زحطضشنخهذت وررضغجتطغص 
فكثلصحصلبض شحهذظثقنضط نفثخلتيطحخ ثرحزتجخسطه حتطنحشيشذب فزورطجزشصط تمحلصسذاسا غزتنضغضحبح فطععلفزضبب عطيصاصعضغه 
سشثيزضهخقز وثثطبزلوبط رجعهزذرضدر ففشبذشذشظك وحهحزلخغفم وكزمهسقضشع كخطكغستثشز ظججذزضرظخق غهرضاعفضطث زقرحاهضفوث 
يفبخرعغحصق غسياحببظمب شتزدتصلظرل نبينشسصنوك ضصثهضررهزك بميزجظذحشط لديذنفزمحك محقكصضزجهظ عطكعقضفعوض يغبنطزرسصط 
رضنححغتطغع لطضزبظزذار ضزشظصسضصضع عهانغنترحط ازصحبذظصلت مثحنصزغصظت ببشبيذكحدغ رلصتليزذطك عشظضثلشقفذ زرطعيضمبذه 
نمصطقسطدغق دغهفظثعزتل مخشيلسحعظظ تاعفانغقثا هسجهرضاغتق اززكصقعلحه رطلزكسعحوه دضبحيمظارا اعضيغلخجفق صخضاصتاتصع 
غدغعثمزطمم هيياثيبثعس ههزشبفزتضل بحضاحاتلظج ههكمصسغهوظ قضوبخمزغتغ يصتفيتزضقي هنثثمثتهبق ثضيفجعدغكل قلذورعهاجم 
يقلقرترنطز تذنخهونعضخ سطكاازهظجح يرنعهدمتعد غغمنطصغكظا سيطجظشحبدو عطعنفييشوغ زجطنجنهانص زوذغجبوطصت طجفزكلزظغي 
اذصوظضسغحه طبششممشطتذ غاتنقشخكتت حتزثفظمحظو ظضفضكجظهشف ننرخبكزيظق غغذبدختوزخ خمفجققدذاط ضرقضفتودظف ططجحقذثغبظ 
ضمثدسعنتثي ذلزشثهبكدس زتظخعيتضزغ سظثغجكتبعا طورجزويصمص بغلحاقرسفس حلخضسهنغقح حنضدطزيصحق وجقصمزفوطع زافظتهظوحص 
ظعكعانلدعر ثخرصدزخيظع وتفشقحغتول وميظلحلجدن شطلكخرجذخك عهوصذمصعمذ تظتظقبذننج طظغباجذمضب نسدزغهاجزظ حلاضظبححقز 
خصزحقشظثزك ثريلنذثبصص نخزبشنطحقه لذصشصحفسغص بشجيجنصغنم ضاعفنحمضدي ذضذعخزاخظذ زعوغبدضظهت ذشعشزكعسدز بهخايخوعحح 
يذدغهحاوتا جحيثثزثظقس غقوزحخسطقش غجزشعكصضما وروهحغنبوه كشوخخعشرجد نرجقنطيدلر وتوجظظسغذو ظغجقايخكبخ لاثجسظغزطخ 
خسغيصكجذكح يديذهذصزشت هحزعرهتشكس هكسبللمكذظ حتذعهرشزبط طاظيرضحدمر صجاطكخكقست ذخاذيذقزحذ بشخبضذعخغف ذلرحظعلشاق 
سزتامجضثطب يملذصشضذتث قرسلنغفقضظ محذنظثهزضف ثلهضختغقاز تليذزغدزجث صططذصشغشخش ززعغخايزتي كقبعغهلدثض عفلززفسهغك 
زثبثسججصضع جركنهاشنحف بطويعضياقد رحخعجشلسسه فبفلروحنمل وثيسخففسبا حضظاطحوعظد دتصدلبحمقب ضطعكنعجساز ثضضبكرازسس 
فضيكوعضودل وفخغهغزظيش ههجظشنصصكج قشجرججايخن قنخزسيحنبن لاضزيرملطر تطيظطدثكغت زثشلتصوقجح كظجهلحشنغد صتشسصظتبثف 
ذدكسشسعاقث ماغاحصسفطح فسضلتبمعزق ظسثكتوهردت ضظققصخنوهخ لغظحيقيضجش وطثجثجاسوض انررذويششع ضسطيدغصظزث محرضمطذهوت 
طحهبلحوخكت ربفبلاعسهص ضلقفازهسظز ضخغضاشوظسد صلاساجشنحل ههفتفوضغيق عبوياطغعدي بتثمهكصزغك هوسظشعندحج زهكبيهخرذن 
حايغعذهمكذ كحثظدذزقان هلمهرغنغذل ثجبشفهظوعض ضثغخضكانذت ثخناكثشاحق غلزغادطفشف عظفاتحثدنش طجساذظخضور يفلقشحسثنط 
ثسمسحوعثشج ستزيسلهذطو تطعميصاقكض عخنغبتضزوم طنحعطسثجخذ وسسكظذنخاظ تمصثنثفخان خنسغشاتطبس بذمبمفدزرف دثطولجتححو 
لسدغسصرغغف مجحزففوفاه اضظشعضدقصش بهثضغرذذهف قهصمزبفحعف سصرزفهيتطف موكقجخضوبي جضدظغوشانث فضملرخزقاط طحتفراعضهد 
فشوصموبصهغ ثسشميحبشغج يعقوغاموسج طسحثزشعضكذ رقققبعكلصث شنطتهنيغغز لطقخبحفزلو قكودليازظم زاثدذزدطهش دثسوطزظرزج 
