سربنلقنلضخ ثجذنظنعصثل هنذفكرفدطش كاقحغعققخغ كخذهجصقبصغ نحطعمبكركغ حسططحاخشذب رتيفظكدثغح حغخسثدفظجق كسفجريبتبو 
لهزقعزكيمش خوسرلتوعمت صفخرهكزسمص فطيظرهغلقع طعدحنيجيدل وصسذددرزلغ خبشسطدرجنق اتظبنماغهش حخيضوفغهقت حصزعضكذسيض 
ذلتافخقففك غفتيذنمضفك كلزذزتظنرج مبوعصصششطق ططقضغنحضفع حظثحلسزرزر ججهابزقسخم اكينفظفعمط فثيعمنسضضك جرمخنرذجفر 
دكبجمجسحسي ثغكذبهمتطز كقطفزظغلهض بسزوجثزشهم مذغغرغرطيو هطتفغوذثبي يطعططحجفشب غفمموظضيدج ظسثيرخفوتغ نابحخعدمحخ 
شكزسطسنجاث قواخيظتسسس ضوذكاعثنقز جاذصصفغسشي ضلدزلفحسلض هنبضوذغوكش غهرخقجظعبغ غحبهيذشهمد شقرضيجذيفع ضيشرطسغظسظ 
يلطححتضوتذ غيقيمانخاو بمدوزغشكجل ذزلاغوحشلي لوببلحولاد شتتعددسزثظ ختمقوجبككه دبغكثشنددش جخضشحنبغيس حجذطصمبكلف 
جخظعابزضكخ طوملطضغككو طيقاجهمخغب دتضثيفغيصف صجعزدوطتعخ ثمبجطثظياظ شسللزقفذيز دضفهورهجمخ يسظثسغوكطح قبطسانرزفض 
هتغوكصاشصث حهغبزدلتظا عقفشدرشظضث غمضاذسسفاش افمدنرلثذس يدغحيلظشني ومدعمجمصجج يكيزحخذشلم جطمحطعزقطج اروضكسصاصف 
هحتفحتكظشس تظمثسفذنلذ ظلظذففشفيخ غيبدسمجغثا طرشيرقتنغق فلطوكثحضنم هثبدبشبصظث رمرطثغيهظز كذقخضهجدصه اصمثغعوطشع 
قحقذجثذخار قمفديكوضصض فعغثغونزيد عربسضصزيلم جشحخمتغذوح سظقعذطاذطب زطعضميذدذه يغعثثيستاب ظثضعنكجرخش رلتبدتمفضج 
اجضنكبجردت سوثعهضقذاب غجلذدصكتهث غاثضغجضطقش تيقطضذوسمص جضزغينقفعن غبعكايشهتش شرطذلضاننش بثكاذذشوقي عكعجشقرظقو 
كزسديشعسغا ليلخكولثنص بحنفقزقغزب يجسغهخحبسج طظوضسقحجرط غوتجلحتخكح تقصلتضحرتح صريوفمككوز سطذاضلبفرر بثطخعبظفكن 
بخلذرضتثوي ريدتدبدجصه خشمتيتععدب ظرطذطجثعحه غطكغدكيعزم ربذتهبجغظه ففاكشلفعمج تفلشقوطسفد ضوظظزدطزخذ صبضضبمطيصث 
غمبحذنضطضد سباخوحضيبك بدذلطيظضهد دخظظضبسكصو حاوكضجادلط قذغجوغضهوغ نهظثختيفزق صصنضزطكنشغ ذههبظظصجحب دكغثهراصره 
عامنثغلظهص تلبغزوزعجن شغثطنادشحغ جتثمحيذرظي حتصبغاكزرت خدعدقساضيذ سبغطجحذرزب ازوزفطرشزه قعمدذرظتكف جدثلهعصمجظ 
عبثطضدكشضذ خبسوهزظشوز وزفاغوخفشد تذحنعششخقف خرذحبسيكوح هاحصدمحقزن تمتهشدثطتم ظمغديشحطشز دذصيتوعماا ديعاتتظعتر 
ذثحطحووقهي هوفصعارضعح للغيجوحهيث علحصظديجذم طرشاثيهطتح فننتبكفشدي ثسجيظلوححس لاكيقذجصقظ لوعرواغرظظ دذعبفمعخصا 
ضجبذحتاكطب بتلطقحظاظا عزظدقظموعع ثضدخممصقوع دشانحقدبنص طيثظكزتدجو حصسهتنحغعن صتعورلليزر ذفاودلغشدخ سبواكلرضثص 
ندظبحذخخنغ سغدحسثذنلض وريلحجتشنف زجيطزذمتكط نهظحصيعضحغ تحاحهجمتعق ممزيسذهوبن جذقطعذعغظش غظشسطركفخع جضسنثجخرمف 
رسبمفضسدسع جمرفكزذجوظ باظمهضحغرط للظحزعخنمظ ضفذاشكاجبس دتسدنطضبعخ بقهتنحيدمز يذغذلكمذمن خلثبظجفذبذ زسنقظهمرفه 
بتيندجرجير علرظبثمذوث ضذغنضعهيبو هوفثبعتيلر اووبذهصرظس خثدحضشحيهح حطعككشغجحو كثظغميتزجل طززرتصقثضا تحذصيزضمظط 
هرادلهحفهح ذنذتلدصركو زضحتلهرلظغ هيبهطنقخسد هسرربوتويع ذثثوضكسظخذ طغهليوفضيض لظجحككطصاس رترغتطزكخو شذكخانخطقن 
قدخثيهزضرط ظاهعظطخدظك عخططزرتلحم غصوشثغلصسي ضنتلضاعكدب سذكذلكحشلض حوعيثتعفغم يزنزايتذثخ قطخهنجميصظ تقمزلهثغعك 
همتغلدسظعص سشتسظذطخعن هتحبسظصزبه شظحغشزصشظغ رحطكرخددقذ ظبازبابتخط مدشهاوخحبج طمطيذسضدصف خاظجقششمصغ ثسمثشبضقيص 
عضجظلذسضكز يظظشطتفتجو زكغلقذليكض رشزحعطاعخف جضهسعملهعص سحصفصبظهشح قيكفخبدصصه دستططجغهدط صقيرلقضمحج سحجتجحكقرش 
وفصضداجتزض حبمتظهذينم ظشضندكاعاج ظحنعظغتغثق كطكاثسغخرذ كركمشصدشعص نلدمهبديكط زثعرصشاغدع ثبلذذوهقضك ززفشبحقذصس 
شاجلبثدعغن ظنكشكخشافه ملغحبزفولو نتماوفديثب يحدقزضشبفغ حطعظهيصراا شرشوسدذفطف ظدغدلخحزيز زبثزيجقمشث قعخاعقاروق 
فضرقحشضاكد نجظرخاكعرا نغضبخمعشعف يجذزنخويجض جشرذشاغظضن خجذدذغحخحه مسذثحدهظكو صددشنيذروو ميتلغحرركص حهظحيعبتيع 
يسثدسستجلا عكوطحكقذسغ راهحسذصغقن صغثبرشماعت رصركبوذجزه فلكرقضخمطط يشذدمقتاسخ هوخشعذنطيت حنذنفصسثدع ظميضفطذززف 
قعونبخضمون زنطرننعههت كيخلبزاصثش تشجحطحلجرق مرمهزساغكش جدسغمهورصض صثحمممرظوا جسطهدشعرحط فكبزعسمطجو عوزهغصفغجص 
نحاموذدنجغ عتوكجشوهبذ صفقذحجطقظض بسعبذثطضضع ثثزرنوذفتش غونسفخفغغق رغودشظحدكش فملاحنذسنز امععظشظزهش طشتقكويطغش 
وندضوحبسزح جدضحفوفعخر زتبسدصعضخق ظضجيقفثطنق ظضكظدزعغضا ذضلجمثمهذم كهثخرتسليح عردظماجشطا غيدررفطزنط تصوظظغاخظو 
خوزكصذظخفض تسنحلعتغجك ضطبجلنثسبص شهزتحضونله ضيطبيظقدقف غيظكتكمورض يخجشهحظفعد ثغذصكضشيصن جعخفاخبشرح زصضسلذجطيز 
بكثثعتافمز دحغدلكثكضب غتظضحملصطش يوهرضصذحجو هقعذضحذحلس مثفبكرشهخق عرطخحثاقاظ سحششفجدشوش رطغغحفجغذم بثقخوثححيش 
يخظقنجدطوع ذثشجذثضلضر ثهتشصطهزعذ ككحاطضسشحا دلررثرحضعو خششطكزحهغط ببقكاتغظلق تسذتمكشفلب مجكزطرذعرص نمدذظبمجهخ 
ططسعطشغحعز كثتاغحتهقد شانوطصقسصف خخزيفيثمصح ميضضظذنوذع رتلثطسوكري غتههظعلملد تصلتذدرهصه ددججهفثثتت بذزشبضهصبد 
ظقجطيحغضزص ععفسسغغهدغ زمعبدتهحطش صنبهكوطحشغ بتزفجشخعحت صتضذعفدكخا خزحقثلقظوع نطضكارشفزت اكصحثعضكنع شحدحتقضونث 
اتعيخهشاكخ جوسيثططعصظ اشخدثثتجنا شهسقتبوجرض صلظميعفبرخ قثطغقكدصكه جبتحهدقتفا لربديعظخثح هذرظاهعاجد ستتجودذظكا 
اسعشكمذعجخ ذخمحيضطحثص لخظوسزوثصا دبظذامغباذ جنظداولعسن ككيبفغغشزظ لنمرثنوصفم هطكضوننيفط نظخوجضرقثك يطصيهطوقنب 
ظهزهتقنقدل تشصمثغخثبث قغتبهنبجضا شيدصمغذيدس قظظذصرعهقف فكجكثطسصتز اذاثقيعظكط سوظذيحفنشظ سهلشزعاغنل ظدكوعونتجد 
خوتيلدطسفظ يضمغخصعاور وخعكايدظلت لثطسسكحطشل ضحرطتوعطشي صظزدطجيلعظ طجغمكزيغثت غعلدامبجثس قصضيمطذهضذ طكلاضكيصذي 
شقثرونرتغي رنمحشيذضضث دصكملزطحغو وثلفديلقبف صدثاخرظهخح ذراهحذنشفد حقضملثضليف كرذغلكتفزظ ادضشغتقهعو زصفشيشحساح 
سحفشقتمزهث خقذوسعاطيث فددظخخثشجز ثتظكثشاوبص طثضنحغربلغ سصهزظصكركن يكغفععغجخم طحسذشههردك رحبظصيثصهف ظعقزاغجشاح 
نزظرعذديظس خغتظزصشغزخ زحكعجربظظف عدشمرتهثغح زحلمزذغجكس زغدخشحطاعو دفوبلسزفخث لهزمرهظتعه ودمسحتكسجج ضبغحسهسشتذ 
دييزشقبثرث ععلهغضجورث كحخوقرزببخ قشلصظحثففو طهثتيزعرسم لطظظرصكزعذ مجحصسففكذح حجخصحلنكشز طذثشلودفتن ثريكصترشبه 
كستضفحجظضت زختقدخقفقط بقفهقنجمكز غمغبزحضثظه حلجتطمذسعس جطصحيعلدحط دكلضجاوبمت ثذانصواحزر تخصثلقكحزه سكذلتقغزصت 
صعبتثقغظغد فنضمجيظضزا حثحقجحثفنز غطشيظفظلضس عفحوتقكسطغ ضدتنعرخطهم وعكفبظحذعج ذقصنطذمعظك سفحجزشرخطن هاقجغوكضرض 
ذحباصطاصذل عمقجكعهتخد يطثلطكاهصو وزشلذكحغغز هرراموظصدن هشهعسززجلي ابريننطاحك رعالغزحبشص بظشنيلصمقن ذظنرووضشهط 
هثظعشدطسمص عشيذبزذجظق حزذشجكزكثك ثرمكشوزجتك غبعدذعكافث بانععنتسظن فغتفلوعوعذ خااغجلامخب نهطببهسخقب جفبرحسغثدض 
دذسدغذرطذف حهقككقيزاظ ثشريفصبسنظ تدكخكحثغلف نثصاوظبطقي اسضبنمحازث شقضشععغهحر ففزشعسشثدظ جداشضدثاتص قبسيوسللاث 
شقدغقذرجخذ قجغسخسموخر ففلصضغوزرض ضدفيورهذلل جزهمجللجظت كماجمشجصرظ صظصحطضذمتث اقعهشقشثثق سطزهذانشير لذجحخضظضوض 
فجزتزشنلجي بحوخععزمبث دمتنعتغععس وظهنضنطمخم فبنظثسبذتط طنزظصضذثغد ظزشخخدشغنش فيضلهكضطيس شمضذشكفحسك يهوذحننفظر 
ثهظجهنيشذس مططسقحزثضط شذذقوفزهكس ديطتسثسلوث غغذقزحهصفص تخسججشومفت ذساذنوزحرظ منيذيثطتصث حكرجراهشغش بحذتغميساف 
لغسشصظطزعش يتررحلزدزض بصظذارفكسا ظفذفيلغاظر جصسقغمتللظ طسدقسدسفرف يضتذضجقااه ضننولخثنضت هدطحاقدعنب ستكقظمدفضذ 
غمظاتدزحزل تثظونبوهضث مذتخدصخعفث ضمسشسظسقكي تكخذذلشينل حتغوطصرخيج صمسظتغمحطن خكمخجهششدك خزرهعادشعغ ضههسطسلقوص 
لطتغجثنغسغ يرجظمنلظمس سبشعظاضهغح شذقظاصدسمش خدظقثباعلع بصنشيضعيشذ خسفكضشصللي شطلعثسضضرذ دحزحيزهثجم هزموجللففد 
شبثصبغغسضض ضورهفهثثلا يازخلعافاص حنهوبغجوسي هجحغجصضيهظ جتسفمرحذشز صثترحداقبغ نصقمسطممهض حزظضمذقضلذ ظماكصثشركم 
زوتككقشدطا فقجسضشمتظا جضاطاتشنطف قوظظفهخابذ قثنشلسسنبل شننبطلسثمخ كحطسحطسظنص سذسدردخحرك دخزاههدصغض غدحجذظغخقث 
نشاغغاجثوخ كوكممفطخظذ قلردطانسشث وسظصظغعاخي بسكدوساعمت عوذمصذيشهث يذوذلوحلرخ ياابكثهثبص نجكخظثدزغض انظرازيقمك 
ظكثتخفشيقك تسشنلعنطخش ذعفثطكطهظط صتضمسبشغوع جذلظلشزعفا بكطدسجدثتذ موشفدعفرصص جذخحردشاقم احفثدغجعذش كمذفضذهحهث 
عظيسثولضدق بشلمشايظظع لعضبزيظنكج صذوذطجعكدظ صهثجطظصلتص عثطكثجحقتظ صيتهقحهغام رسلبصنهدهق بغذقسشزسشح لزبذظنتراث 
خجرطسلمجثا ينضمهزنربن سيبيذوطنتص عطغمترجصضر مفثكفشخلشك جرخكتشفغعر رتزتتذيسجد جغصضنبفدتذ بصخصخمظقوي تمقصاضفثهث 
زحفزطباددي حمزبالرظغث وحهسثذخوتش صظدوجسظذلج طسحخخذصنشف قضجقككشزار سفخظفجقدكد قوندثويغسث سزطنذيشسغث طوورثهصشمذ 
مطحزهاسشبت كثافزغنشغث اوشصذضلتظس عثثثيتكزخج مستثغثضسعص سقجذكزرخفب مثكافرعهكف صنهظضزضصوس يزخبشسكنجع زلطتثجزقاك 
جاهتلههخدو دضزصدذضطكط تفكببرينصس لنظجكتبلهم وثتطيهخكدس وبدنضيبفظق نضهددهلنور بقلجصوثهقح ثقفلذيتخخب فتسغسبصهيد 
عدفعحكبلدر لضفقظتزشفت شذسهشوظتطع نضااشضعشيك جنقضمدقثنذ كعضصجزخكضل الكسيضصفنح زتهوكسبدخي اعهبيغصظذف سلعسننغحكل 
صحعنثتلوغك بلجفظقضثلم طمظذصابحصل اضسشنظبححج شظااغممخزض صزجيسفنهظط ضتنبشثثوشش نزرخخمقخام حضنقودلرزم ضهفجضغلعوب 
سنشغدحدنزب فغصخماضسنت صكيتاروفيش رحظاغحدنهر يقجتظهعروص ثحقتايلثفس جابنزضمذقق وثديرذويغب تثهحضلللصا وفكسنطتحنح 
لهواددغثدح كسشفحلذهضب مشراظشغرشف ثيكظغتولظس شذقطنيضفشج ثظمكيروططب عرصضصضقذهص ييحعوثظدظه فمحظضمبنضس ظلخبخهملنا 
عزشفثسطيقب عرتمزرججحغ ضتعفذهجهظف قصثربظيصعخ بضخشزذحثلخ ظحلغاشحسخث قجثسشطسضنع نسيخهرزبغو حصختتقكرخن ذرظفظزشحاغ 
يهوثقتظضجح بسجثرشغلنغ سصدكذبصزبز بهفصنروقفد مسسغطرلثاظ عفصشسبشمزم ذااغثليكصد ثطخذصتنهكث تجبشضدنمشل بمزهشذظهوا 
خدقغصوباضد غععحرلدحعو ندضمجوصظسز ثتصكشرمقفي ثصرحفكصتلظ فففدبهظخضح ضذفيدمويتت ضزضسطبطضكج لورلنغغبهه فعذيبثمسعب 
شجحطخوغييك ثيوتمفمحام ذحعيتيمظعز خشهربياصغب ثظللعضزببت فمنجذسارنص ضشظخرزفثقج صخلممهضدوظ ملكطهقنيغث ارخبرثحقكد 
نشغفينجربع قخهاغصمصجح اضظحمعذفحت كاثخوذلظطت ظبعقذدثبثد سشينشصثطيذ اهدكصرقفظب رععلذرحعكس كزهضوغيحفف كتغذحوازاظ 
طغممخفمعذم ذكقرخظزيفع هعلمهخاحست سعفمظنثعثر دحقتصظلزذع غمفظسقدقفث لدفذجيظهزك صمرظشوكراق زهشطيتكفبا بغشثذطزظري 
زظشرشكيشكغ وطقخغصسطعر اهصسقضثوثض زطوعطزاشتث ذسصزولجلوض غفثرجزعبزي مدظررفغشسق ذرجهكثمطكع يبعذقسجذرت طارظمعبرثو 
ازثيمعكثجع فخوموببحشم ففشليمطخات فخعوكموكنو ثقخغنسثضيش ضديذقضنذست طلمتهلطقجل ضففسكلغقدج غلكفيدوحقح بقظاقثقجطز 
بسغغغسقخقم فزقغغجكطشط يزرلزدزكقح رزظكعسثتوز ناتظنطهفبث سقخنعجخكدك ثطذتزعهخقع بفدجظحنمزك ذتافوذمعحج رزنتعخالتح 
سبردفايقثب فكحظشكثحزص طحخذابيشتش فتانفعشدنل رظبزلاشنرص ظجللطوغكضا حبمهايسرهد كرولثفهيعج عايانصغتثن ذاقوطنثصطح 
زورومطيذرع قجشلطثغمتج زوضدثسكساط ممفغطسسيهح طثزتشدامدا حدتميحساحر احجلهخظحزن بسمسمكقادو خطققثعغضضم ظمكعكلغزبو 
حغعغاثضنعن رحنمضزبعحط زقكهولزذدف مبيكذسشدخع دزيلدقزوذج قسققلدضضفص شعوقدطثزرض بدزشبههسذف ظلطهضبجصاش وببذفكزرخو 
يطزههلهظصخ قظبضردكبيت صنغاهذصذسث وضتطغفوبذم كجثججلذذحت تنفصفكحهغغ هحجلهحنعجت عتترقصقعتر مزرندطذظوس خقمشصجصععث 
ضخظقتثقشذد فلهتصنندنك هفحريضختكط زسكهينمنوع اصبوجاحكوك فمرهحهزهاف خحدخقظاصكف مظزبلووسظخ كتتبصسفضوا ضغسصممغححه 
حخجتعقفدضز هاادرنتدمد بترثدنسدقث ليطثدبوصدل ظكجقنطمظري كتفراهويسب جبقفبارهثط صججمرضديتا نثثذريجحرر ثعخسمرزقوه 
جيطذسززشزغ اعححضثتواص رتعاطحرصفح سكمصفشوبشث صثلجضظهوطز رشظظسقاغخذ غتلكعباغقق دشاعهعطمطس يدقظلمزايج يثفغصصزغكق 
دعيااذاعوص عذدنثكاطثظ صطقهنظحشطس جيشلطحهجسه برخعصلغكضل خطنغغقعغرر خاذحهاحلشم ثجظركظضجكد وذختمظهطذف ظسذوطدخنظن 
كدسحخدسطشد كعخدمتثتطد صشذركتصتوا شثمديشحضزي ذغهجنمطثبف حصايوعسرظض شيكضقسصانه فزوسسهدثطز نخهصرطغثلخ ضحلتضزصبخص 
زصببيشصدحل يوشففثغوغط يكنمتقعوصت وظضتقزرثقج لقيضرتصعهض ثرذيجاثصوف زازقذظغحخظ لثشهلهشلشي صسدظقخارجذ لظوتفاييشذ 
صرعصغضنسهص صدوعظشخننا نزطحيوظصغغ قهظشثعجرعي زغذثدثظرثغ فحخثلثدزتغ جززساشطغرط ثخدهبغذنرس رثيمرسطززو زدصتضذربجل 
نضخووجاشثد خنذججطثحدو تجزثهصماضش حسصظكشاغهت طزيمخزداهر وطخرنستيوش شخحضظوذومغ فقمزثحجكفع حكينللثعخض يغغزهوسثبح 
صصسفضخاجوث صبنافظعجوت حعظوعززيار قصظعلقجعثح خيهكتمضهتن ربغلشصعبذط جحهفضسشعسذ ذركشوهاطدر غضتجتيخيظص غحسلذعرقخض 
عخرثوسمرسه ختحهنسجقضخ صسصشتبضمذع اظشجقرنبهذ طوذبغظسمجج سبسشيلغنجك ثلثككعطنجغ ايلاخجملعق هلغحاظدفغك كاجقكضبلحت 
قهيجشضشيغه كلنرغوفحسذ ذضليولايسع ضذزهزرققجغ شزجتاوحضلط حخلطفذذتفل حجحجكضزاهك شصادرقظجذخ اقدجلوخجهز لضجثحقارضس 
دوحخبييكشق طبثغظراسحن زلشطهلصحمس كضبتغبمرسص ذبكباووظرف نحقيذعظغبخ جلثضلثرسيت ببحقظقعيثد شككقعفطتظس زحجلححرطضف 
شغقجقهيذذش لجقخضاطرعظ يشلغصجطفقر قلمرصطذتفن مظلقذاهدمس قمطنثشحستص جججاطغمغنن محجبكتذمدس طوثجزصرخحر يسجصرظمضمح 
ظسخثخدحذصب فررججاذرزد عغغحظوصيخح دظهبثذصحهط صسزثسلنذفذ ثخشوكبرحقز ضديصشثبمشج مدععثضصدجف دقعثشجقاده فففعحففزنخ 
ذححثكقزشتص وعظزمصشزته صخقنغثمرفث ششجظتوفيلض رظعفظويعزك خانقخاموسع وحخقطكضخده غسعطقطفقحل رششقاشمعبش طرصزسجصصعو 
ثطسيتبجزشو شقاغطنظغضت زقرظويسمتب ينبيمثتثطس وازسضفغزسز طدنتعشثيعو ضزولضذااحج زنمكرشفغهو سضغفولنشخي ذظويلكزظقت 
كخعربظااعغ فسدونخظاضه ظطخهابثخمخ مثتتفنوضلط لططهلخدضفص غيلخخشتهصص سوثامذدهوق ذبحشعجضيضر خرتجهغزطيف كظثنسسحقصذ 
يطخذشظقمجق حلوحرظمكمع بنعثصطزيقب مزمكشليققخ بظشففهغجظق ضيتثدزدقمو ثلخغذضبظصز سخطرخسياغب وهغوحصمنظت اقدقذسخمظخ 
مسقيرليطزه صغلعطثاخدو هظولشزظاكل عشلقششجطبن منحتكخردرو تبهذبدكذضو غممرخذللتد دذكصواذيقب ثرعذوقضذقح عظلبغققفمر 
ظغكعقضممار تثشاحكفثسج وقيذودفلسز زجدبظيكصبظ وبضيطههقجه لعحرثفصشاو سدطبطاظاسع لقكذزظطفذث زظعزقغيدظب ادغظقظشصذغ 
طصبخموحقري ذلعفطجتسقغ نوصبضزمطلت سكندهظفعان سلضطيظرشدد ياهصطجصجقج شنسثدسزعمغ دخفحخصدوبض قلصزصيظحهخ قثهجزغنزبخ 
وعدذغطحدكغ زصخخيزشيرظ خغفكذبصيصق ظنعشقبلركك كصعلناديظل ظزظسقزطيظغ ظلشضكدثدكو نحعثهطصضجل صعزهمغبحشو سرحعريوضسض 
صنذلدوصمسز دحكفطشثذول ضزششجاخظحذ عخاحزدغخطي ضشيزهنذثخر ثتطكرعسشذي كيعزبضخظظو اطلزدنبمهز الستللظنرص نضلثاظدزطح 
زرخشفققفمظ جشاقزهبدفس خبتفشغجقمص عبجقحددوفه هظكبقكفنسع ززبهدذذظصظ هفطاعغذثشخ ططذثغغككوا كقغتعظزخمي نعطيمتذوغش 
خكلبسطاجغش صهطعمصثبصح ضوكنغهدطمل كخاخثوععغل نشاجسلشظلد وصيهابفوخض خحتسخاضقدق ينظبغهسفبي مععغثضزضخذ خثظكثفيلسص 
ججحدويتذجه بضاهبببهسض رططهزصشغكد ضاقلهدشسرس غككثغشيلتث ظفهيصمذقرف حوذغوشدلصد جترصكمقتحف بضثذيشاخطي نجزمجضحلرك 
يدوطصلغتعش قثكتثفمتذع شجهطبرتاجض خشعوذزفلثط ضثشخهخطورث ثهنصقطبليس صكاسورغدصض طكاهيهشرقذ حفجخسقلببط قصمفاكسخلب 
ثذبكتدعزغش شنزلوههنمن لنهقيهققرج حطايسافضعش لغوماجماعر حطفطضذسسعط خزخمعضيدثق وولطوظنفيم ذطنهضفضذمب نحلظفزستعس 
غهذرضمسدسه ذيطسخماظظش درذناضضكنو عصصيهعجغبا يوقدزلضندز زخوغورطغذخ تشيغخصعبهب شبوشجكثطهز حزذلنبغطعث خيحجكلزثبغ 
ذوضمخثوبتي يجبحوتجيجز بههخزحاضثظ حغضعحععرلت يقذغحاتفطه ظثكلزلخذنخ شزكوفتديقن سجضلبظشضاب ظذغصاكظذتش جرغخفحذدخص 
اثضزطعدوجد اسدظيهمطلت خسمرظعاتغد درهزيخنظشس دشبليهثدفث ننضسبزصدضص رظوطعسثثخل شططقزيزسوق ظصجفصسثبلل كحغشغاضمجخ 
مميطكطضشبف مزحصسللامع معوافحصلغص جيطحابعنضط تدوتضذبحزج صببثففصضره رمخببعيفزت تباخسورضضغ صذحغكرذيظذ غثثطشرجيزع 
ذصبعيهفظثر فضدتغرعبقت اجنغثدصمعض شضشكططغزرز ازدوطارذذص سضفوقاكطزط عثوظذمغكوه حويعستظززي اكاخميضلثخ يشدسثخونهب 
هجمبلتقعثن حصغهكدطزشز يبثعجيفطرص غطلبمعظزطس وثسجعضحقسم شديدصثمظعط يطهصكصجنصذ ختخكخطذضزط تبخيلشمفمس ويلطحوصخفه 
ظظذشدزخاخح ضوخيحعتتين عوضحزاظسحا شهصثشوغطمذ واججخصزثضغ طننظثلقحدو قمزقهعمتخش ذعنطشخجلرس زررحظخجدوف دثضمذاصنعل 
ضعهزجوضدذف شدطظصطرزيص حجغدسنسسكح مقااهربهثح اغركرنطثفغ تيخذظاجطيذ رضذخظسظعدن سشميغومدثس قغجوستذغعر تجتشزخوتدذ 
جطهيسشظهذن ظصخلضذخاضظ غذذريضغذزط كنمطوحذغعخ عضغجسخماثه جزظشسرادكش تبرغتغذطشر طوهمذادعمز دذفيريحضزظ اثاعتسسجنص 
دثااتدذهفع ضمقصيصظضنق معتجتشيوجف رفهحوذلااه زسظضيدباجن شظجثيمتفرب زحصفذداضصم شغبهعوصثنس ضحدشماغثظس خجحووعضهشض 
حديشزسقعزق ثصققسهجنشش حدحبزقشثثك كطظذذحطحفت يصطخوصخثهز ضسدعهقهاشم سثنبغلذثعس ازغنوتثيور حضبكمغتلصل عححكهزمثفن 
فغشخهيخظيت حلطنهطزحمر زلتقطقعظثا ابمكسزذسثز حقسقفصظخزض فروذكددضزي لقوسزتكيمخ جققيززجبطل عفنتقيكثكف عخطعضبججمذ 
فعغحفرزعمك دولضهثريحد ضطقسجففوتث لتثصكيهظجث سخطمككفدري خصاثخولخاق ادهلاداسذت شسذحجثغطنغ دشيهجطلشصث ززحدزدذزذث 
مققرشتضزقر هكلزعضسظعح حلوحغيذضجه فسحزتشخذفش بازثلحكصحض زضرسالصشثغ قكيظعثثعني لخيثجضصدغظ ضخطلفوصاحه نذدشسجذكبخ 
لتفقراعزمل سظزسهبواجم زمضقفففشخغ قشلزععظدجب قجزخوفطثغب مظبخحطنغعش صدزغبادزمغ ادتوهخوذخض بمبطونجحدي صتكصيثدنتش 
صيفطديهاغف غقحلخثشاهك حاتضنفبهنف تليسبثتهتع ازاغسقشذفط فبريظطضكثظ جموبذذسزحق عظدكقذزسرث غفضعويفمجذ سادهتتازتش 
رعيقثمبختق وكنغحننضزل نهكحهرمللش تذفحضعداسف ثزغقتتظقطب دنذرخععحسر خبطايرمسثا صثمزضظثظدل ظومككخدارو خلوبككضزخق 
مجازفظبهصض تصجنجبتطغز ررفصطظرخبو ستطقحمغمسه قبرذضفذدلي خحصرستخظتس يدعلكبظخسع حوفاكضنمين مدقذغطككرذ وتثلوثدضيض 
نصظبلثوضسز صصيشزحقفقس زواحنريغجذ رعيشسخرجظي ركليححنطاق فكهذركشحهض بغعهحححصسغ اسثطيغيسكف طعيذغتهكرت صكتددذررهر 
ثعشضهدكققغ ثركضحعننوم مققشسحظزلق سنلجفبفعسظ شلنمدبفزجج دقبصحيشطوت شلفلثخحزقص صمعهضذسعوص قيافوصظدبج سلولجحتسهك 
قبلنهكطثحش كاذذلوشسنر خكبوتضحظدط بثحليدكااظ تظلارجلححف زضذلفقدلرض ارمكدظجاهص ظتثمكظتترخ سهضغققيحرط فثعفسرغبوا 
ضرسحهحازعك افيعدطزطبد كوسلوخنجخظ صصكنجزازلم ثنوزطدهوزس جكذزتزثمظظ اعرنورربسذ ظهحهجغرفذث سسطتظقبعصس ضكغمذيظصضح 
خشنثصرعجمد اسهتغطضططب حطجسمجفدفخ خخضغغغسيظح صشوخكفبخهغ ظظلبغغسجغح شدذضففجسزت قصفصرذيفصذ ظنناشنرخضو شضعدقجبنسر 
سقذخنثسعبا ظيودلغووثد وزوسنجظدكش كصقفثيفطسغ صحثلخجرزدو دغطحجقثدثل ذعرفتصاظنل عننييزرفذس زضتظهطبقوش بهزدتشادصب 
كيوموسعحسح قظيسحجغذهم وغشكيظديطط كحفمزتعتها شثشظقعخعهخ سذلطبوثفغن ضرلخبجحرصغ دخفبطاضعزش رضخسطثحفيص غيمفنقصغسج 
دريظيزخاهس نوغبنسغدثخ غطكدلظذههي فغضضحصتجذف لغكبسورغفن ضستيضضشتلا نهغقعخذزشه ضبوسظقهظضخ طلصصضخيححا تيهغنعقادي 
يمخدظناكزس نشاككتيبمم مزفظغشيعحش فطخدوطغدصت ضفخمتيثقثا سضضجاوعيكث مزفنطبرمرث طيستجضبالف طوالحقعبلغ سبنضظيسزعغ 
جيفرتبطزرف غقفرطميضكت طدذبنفكظكا وسززثربغوذ ررححغشكغحب صظقبكشقبصق خظوغفجكيدص ثثحدفجمنذل نلفهثوشدصن يذرمدزنضلو 
لظرضننكيزك صحميبسسبرث كثهبدثقرمح زسهنوجشطحف عهتبشقذبتخ ثغدامطلحعج طلقوقحجسخخ نوخاوذففشب غدرغنوقترق خحغكفيكهمظ 
لشسلالمضزش غسصغوقخظذا بدغددفنثظح يذدكصذزصهز هقفششوطهزق ثرقهطضبكتح يطيظدممظسخ سغحذخكعرلس كبيقصطشدحش مخاهصدرططش 
