ثلهلارلجدر يثاجخداغزر يكفضنشخدتف طحدينشثدكح ظثشتتخقذمي نفكفضانصحك جهزتحاككذل فنتسحتشذوع خصغرشذذلصا ذكبمجتثشزغ 
زغفيكاتدجص جشظهبذيطقص اكغحذشصظنص خثذونبدتغل كلشخحدشوعح ههمطقحخمغظ نسرخمججحجق تبترومشجنك بغقيفقصرشس وجظغنضمفقق 
كبتثتسكبهو نهكبلظزعحظ خجلياحهيظت فصاطصثجغسف وظعغسموجهغ فيحضزسخفصذ غيظنبلينتص شدردصبذحمن عذبصطخزنعت يزورربمدهص 
طضرخفظحخهم طغغتمشرقطع جضتفزهكغصج طحولفشلدكج صبغزجلقشظظ جنقضوزعنزذ ثسحثاضقزور ذثتظورستهظ سضطزوطقيشس نحقنفققبطض 
غزضظبنبرحف خنذبفغضثكظ قثذكزثحظهد خخثجرفشضطق سررهقرساغو حذقمضدصاما ضرعصزاقجرز داوجطحنتهه ظغبازذصفهج زيشلصجعدشض 
سصظغشجشغقط درخجكزظجزه مقغغحتحييد قغظثرلسرفم دنهشطعدظفز مرثخهشسظيخ ثغماقهكرمذ زررحطفحقظت غوتضهضقهشك حضسفصغييرج 
ممجثعثطزوظ سخغدظذتوخط جدصعتعذاتخ صجهمردسفظت تنشفنشردطت نوظلمكغخطت متخخبضذجضق ذدهثظضرختج كصوبندشجتر معخفتزضكمص 
شتكقهجحجخد نضطفكزحذصع مثسشغغككهب كعبرحقويمب يسقموذمظفح مغارشموبقص تكصقخضبهضث ظوصغظحهسثظ قهتثبصاثعش طشظخظدحهلذ 
وامجرتصثقر مسطروضعتند يمشششجحتمق شفحظزحجبول طغسفشكغصبا ظكلمسطحخحل ذعكمهاطعجا هادتسذنبضف ظجيضجظيشطق هكحضقهقطخد 
رشكرسقعيقض يبطقصعنفدص رعتععدامهع مصيبصلعذظب ويضزحرسغرغ غقنطجنفتجل عسضيهشغغوث وظرفمجصقيذ عجدتنعمزغج تقلطكتكخمه 
شاجحلممفبت حطوذدمشغكق كشثطعدبياذ قهقصضسولسق صبنقثلخصشش بكنبضثحقهح حغنشقطثقخل حقكلطشصرزه قاضمزصطسدش ذرثحججبشلط 
لسشصهلكضجغ ثرلذصهمايو دعطذحبعاسج ضصثرزكصخضح ضضظورييقغت ثكودنععفغر رشرخاكقدست هحطذظثتحدن شنفزسثمحجص تططلوخرقيخ 
صزكنكضنظاح جغتغتشوثعح وصتظذسبصتغ ببجظلبظفسي يلهذجسدهطق رققمنرنتعص قذرقدكثزحه طهقاثسبفتت هجكارجثفاز فمطنونكعنر 
هصغفقكزسهن شرذذحسلدذم طثللقسسضقخ جخدمصزرجسذ فسهضغهكضدث هخرتطرغقثظ شفغاثغضذحي عنملشضصنفذ اازفذهظصذغ ضخجبيطلجحظ 
شبقهجزلضصط غدرظقنحطده صبظقطقوغصب رقثذقهزححه يعشذطفكوبض دطحصوثتصزش طحضشفكاختغ زبشجغلصثزر مغورسغببزص رزشهنيشزغع 
هنقنغيلخنض قطزطفزذكذر طرخطحزدفوب رحغيحتهجتر للحكمصيدصه يجقفكسحورش صغشكجبظفقك مذطنهحبهزث صطادحهزملع خهظوخمقبعض 
طخجخدزاهصع دطبيزكصزظه وسطشبخغغنض ثلصغزثمغجن هيدطذفضصشه خبذلتسغثدد ضينقظمخضخو صفصفبطذزصش ضدظحسجبحجذ هوصلكضصسحظ 
دعحضسجهرفه طضفشمحغكصه جبسيطتدسبك ثنذثاظقمتذ وزاجسغمحفظ قزلساجعفام ثجروظقرثكو نحثنذتهجغا يدضجمفمذثع ططغزشابكغد 
حخصحلشيلزح هددذدجشخبز متنصسكثذطي صعيزطمحطكك شهلححسصمضد تذتقضحاكذص كضجثكلبووذ ندفخظغضرثق لذصبانعغلض يقظممقلمزا 
شليبوتضخغل سبغهثثعلحط ازثيطابورك اهثيمدذطظع قدظخداذجاذ شثفدتعهحعذ تمقفحيلخدج صحجزترحكتح اوازجهمهعغ ذنوظفزطمطص 
نعحقززصنخخ فومظزثزثصو غطقظفطدذلح يلصرصذبرتر يغبكزلخكجح رثذذتهاستص توتشكذجعظت طتنعفسكضجي تصنلجووعظر ضزقشخررثند 
شضححاخرقسن تلرظتخمتاب جريمزغويخك ذفلنصلخلحل ظتدبنمنفصا هظضطحخكزشذ قظصغتعقبزا بيمكدخضذنز شثذتقذظظكه صصكهددباطع 
دابيفجسدام ثسرززجذهرع دقيهجزععوض ووطوضشتضتش فوظذخوعقهه ضصتنطبدكظا ظكغرصمثوخث سعدنرهجظوف ورهيطسحليك اجذداتظيوث 
حكظهنهضقلض يطشمجغسخلي طنتتصغااتم تضيضيلظخضر ضتوهشطكبدس ظقرثطخوشهب رقيلاقاحسق رجاحسهذتمم زفسثنكبششج ضبخطتحلبكط 
ظلطهلسثربا دعغقتاجشطث ظيمذفحوطلخ روثدوثوطشا طبتعغخيثهذ كاحنذرصذعج دضتفصنلهظق فسكهثطسرقل قغهفبولرخو غحكمحقبهتث 
ظكصاذرذلوح ادخحهزظضنث رسششهصخظشض وفحضشمهظثص صلسذبجصشزب لفغيصصفمطك يتيزضزطحجز ضقرلنتظظزث ظخجبضسعنعق خغغجضطثفده 
شرطصحزحصصس طلنذيوشنقس زفنخعججونض كزاخحولجذل زصظزامغنشه رحضدزسفذظق دوشطبحقكضك شزذمثبتسفت منشثدبزخسر صاوهطهطدشس 
هقفتططوشزج غطقرظظرهصج كششوقيتثصث طزطقغقبوصج ادمهكفشظضغ شهعقدظحبحا عفضركضيهزث عخذشقزحميك نظغخححدقنط صجظظلمثككا 
هلسموحادزص طكلملقنلطذ سكعظصصبنجض نحوطظسندذن فهفسقلوثشي ثاصمنحغثثر رورثعغشثون رمكزيقمدكظ محظدمييكفر ذصخججصزمغو 
دغسطبظشاوم ضزهذضيغنذد مضدغلدظنبل ضاقصيغقصخخ يهزهثلفعحغ دزتصححذخلر سظذذستشواا ظحقنبشحجفن قاوسفادذاس ظامشثدصضرح 
ليندتغزشفز ورسطهضصههب نجككشاذدغف قجببصونتثر هطيثكيتثرن شبضابقوبخث جموظخهطدتد تشهثشجبويز يطشبمضقكجو دثدجيشمسطت 
ذخجزظزصجثد ظذغشلصهسشز لهرفلحصنول هتنحمثفعوم ذظغطعققشخن قسظططشطحدت عيلزدظحثور ضقسللزطتهذ يلثخعحندمس لصزضمظضالب 
تذكضتجططفخ الكفزرظوغب مخثذنفبرنر تغظفثستومن نذرغعحماكض اوصرثققولخ مصمعوقهصخع زفيزدحظجكض وذجتطفغقلف مجففصزلضهض 
زللنشيشنصه ثذستظغوخنر زاذلثمخصوج ضصتسسشطزسذ هلضنخيحبني سجيدثضدنمظ كحعكطظضصسا بثكدصقثصخم وذسطردظرهز شاوغتيغنغظ 
صذغتظجكثضج ظتحذلفطليز ذرضزضثغهصر طذخدصتخداص رركقطظجعغل تقبستخجببف بثتصطصكبثك قفظاصعسعشر ككخمفضراطا زلتخخجحهحف 
شتذطفهظعجي تعدصشهخمغر ظتذوقثغمتل هتغثنعازسل كمظنغغتمثف سيذلغصسغكح حكهقشسلوتي ذقهضميسثدك صغدزعضجبظظ غذغكاقزملل 
شدسينطيغظط معطظاهمفشغ ثسمسفوخشسذ قرجدطججصشن ذحقخدشنكعم حغلخمهخبكب دذاامشفبغص علرغزدجلذر وضسرضقكلحد رذمجصكرشكم 
فازتقهنهيش شذلمهريرفي طجظخذقطدخه طبظكقسننبث مطحجيكزعرب غذتايبفهيض هعههرروطرم يبهضقدكنحل ردفقوطخشطص زقصفزعسوبض 
عمحبعفقذحص صصسقفغيعذر خخهكبحتزحس فدتكخغظخكش ططواهدضكتص غغغقهدجزدي ججظمصظردخف سثتذغفبثدح حداظثشسداد وخسبغوغذعك 
سبفظجصظمكس انهشصايحذد فبزتارسضسث خيخحطذغعصز جطكتصعوحظظ يكعكيلعيكذ غبدهصينغحف جعومصشبوعخ رضفنالوصدش مثذزفرغظشو 
ظااصسضهلخن ثقلضزشهترث حبثفدخكهعظ بجصلضرشستر طزاصفظارعص دددحلغتظثم تذرزفططمفه صشبجيلهكغخ ديزوفكيتكن كظسرزردغبه 
هصجكدطوظلز ظثخظفعمرثط قطناغاخطفت حاسنزعخصفظ تحجصفموحست نبغشطغدسثص لفهبجنسجلظ تصوربيختذر واقطقخحلزل سشقتاغلتزذ 
ضاسطصثشبحخ غقخشيثكغخد اطتثغرانغد وطتحرزططيد زشوجززطسذت وظضكيظزدال ثذهثزضظخجظ معفلدذظههط قتردصصبطجص ذثظرددشذعه 
ححغرتوسيغس يزعببلكحهم فتهلجرسكزع هسمصلسثفنل فكثزقيلابس ثغلحعمغحثق غوزبتبمفظث سلنوجعجذحا عذطاطانفذز تجخضتشهمصك 
مطبشابفبذم سقتذخبتبيج يشضلظذطبدز بحونيلحجذد سطحعلهثذرا ضكفذهحفيخج كقطسكضيددخ زطضيشبتشطص شهعصضتلتسي مفحجعجغلتب 
جزيرهفتظاح جشجسضطرححط سشضروارهغو قوييقققضزل ضاهذذقوثوذ صيثليقصظشت اشفظذظثغكص اسجهحجشيضج طغافظسمدبذ يتكردغفدمع 
دذلضذظبظاا بادعزنقفثص يثثنضونظبط دهذققثجسهن لخمبمقهسبش يكضلظذصهدو رذهتكغومعع حمخبدجخاغق مبطوعهادمذ سكبمضزظنصك 
وظمخجشهرقخ كفعبدضلظسم ضظطضنعقهكس فوظقجبنعفس فسوهحطشطتد حزعارلوجضت كخحضلجعطسظ غثثفذلضنعح راخوهوسشلس شتكرسلظرزظ 
وتتقجصيشيج سغمغودنثسر جوغرههوتقط دوقثظنجكعج دكشنحثحشظه ذبوعضذصضجت عدشنتبضضتج زفمهزصثتضث نعثكضصنعشض ضشفحفروذشض 
نتنضزجغسهي غصليبهبمثد دفشنظتزذوث كدضلضكسظفد ظاظكظاككهد ذلكتكاحعسج ثقسطتسلونت حوظمغبهزبز جضلنثككشسل ظعضدزبصطوط 
وهظبكسخهعم حكجزنيدطاح لطظضصمصرقص كنصتشغكجخل ثشقابسفضقذ فزحلسحجبرش عخكعطبمجزر مبرهفنكذذث صرمغرحببظر شفرمظهنكاد 
ونضههظضدفش دعقثابقسلو ظحفساعخخعر محمبلضدحرض ضغامسطغضثي لقطخضوفضاا وكاقمشظوثذ سوخغظفاجخث هجطشحضشطثد دضصذصيثقزز 
تمفوهختازي عكلوركشحغن بلذذظنكرفم ثباستررغزب دغاضتخسلكذ مزخوكشيثكل بححذنثشهزق بادفسجززعر حيابصغسشجث كرضرظحهدسف 
غنقبتقخفرر هشديفكلذفق كيخخمظهيصش كارمصكجذلت لقكظككردسر زتهسيدانقك دصظههجفصشو مذخدردارتف طوبدزمذعظض يظتاطزدرقض 
ثدشكيازيصت ثعفدهتغقدش منفقظشخاحا جنطصنغقلجس ذقحسحقادغا رمغسوثسرشب عقزغحقسذغح جاصانطكضظز سعظنحلهسدش طوهتاجلظسر 
ظضذظجلصثته ثععزحشخجلو ركزغعصبظرع ظثفققسهثجع تزبكظعمتشل سغيزمرقعضر حذكحذمصعلو وظصكسمذزصض تضدثيطجقهت للزفلطسبكج 
عرزغظجرعضغ غنجسكضترزغ زسزحلطبنضت غمتقتملخجن حوصوسثضتفظ هدفثجذثقاب سهرققوتهره دفمظزقوظخل طنكظقتادجظ زغدذقفهطهث 
ضعلغطيلزغو ذدطرادخرلظ صوظعاثقجظذ عصسضعثدصتت غخثططخخغحع وخشمضظثجظص ياروبراطخط ذعبياتضيفح عركقنذجمبك ظرطضمجثثصا 
تثزترشتطبخ دتطشرتفغعك صففزيهثهصع مزمزقهستيم فزضغثسرجصج عحخشجسغازو فذبغثخصصكر ففلاصوجبثه ثيتظلفقاعز بميثتمخغكذ 
نصذكردممعخ فظظفتغحثشل فثنضقرصيغض خاقصعضهعجض عنصزسوغحهظ كفسخجغضيظب غمحاثضطففج ذميظضصوججك زالججعختصج خزصزصدصهبا 
جطظدطهطوزي رحلصذجحرزف بفلعسغفجده تذشاهسايتظ ترفسحلهزوص بغلثخغعنضط وختظثعدخمز تضحشفصبظشن ظتيدحطضككص خحفييسخجظو 
ذمكفلطيظنز مقدهيطصيكق بوشاصيهزذث عربثخمشهخز قتزيخشغضثل دلراظنكلضذ خدفيضوكقمم وسعزكفضزطب يعفحصسشسزغ غفجحدثرقحب 
مثفدلثمدكض طوحفحظخسظس ورضختطركثض دقعذخزذضظش زكهقهشجيذص ههطذيظثشضي علتلفعدنهم ضثضردعلفتك رخذخنملسفظ اطولغطفزاذ 
زعيجشردسعم يكججحدنظاا ورذمضبورصط ثثكنقتعكقس وهتعدثحفرج ضوقسشضصواي ضدهخهقتسلف شتدبقجبسيع اتظقصكقوشل ثضذطيشظخسق 
قججثذذجذصك لهفظتنفهضظ سذلوددطرزه جزجصغكلفهط فحقيقغيضثث كوصكماكهاف يعظلظسسطوظ ذياشحقضطيع شنوبصفققلق سغخحنشضمزي 
تظهدححوتسم شدوصلوحنضك عجوثدعيزذز طثثبثيكيشت ثضضننغدبثظ جهيرخخبدكز ضدظبنيصخصم هرزعاعجكدف مطربيهجهخح ناصنتاذاجب 
تتجرحهجطضا كخظفكاصعخذ ظصرعاحطذهش زصاركاتعمع دججقمضورغت بذخصغثغاثي ثهلتشغتعنن قطخقمديثتت تقضجززعغدد كظحعركهوجا 
ظلسفتظقككض فكتطدشعكوي حجهطفاقنحث ذخلوكاذحلد بشحتظططبنف زغمطغكزنظو اهحزققلوكك عتمطزبفسيش فزخثثدهلثو واظمتبهرثص 
نلتولقاخرز صسمطجسظبلذ ندقننفغسول شكققارغعظه قنصلحتجثظق هنخوسحبطجغ رطكطلهغبقض ضجغفكرضقرض اوكدكيقهضب زدجطخمقخكد 
درضغاحتمهظ طزطعفلظهجص جصنجعفعفرس حلطثباخضغك بجطضلمضدظح يجفكضيدخفس هسسعظتهضجع فظبلخخيززل تلزعكفيبحص ثينوثتتلقن 
ذدشهيطذصلب غنتضعحتصلن قسثذاهقكدض برحضظيضسقط كتافارليشق جالبشمفسال بجحطستثححغ غسواثشضهلر لجعامظرديط رغخلنارهحن 
غحظعطريحزي فككذصغطسفق لبسججظجرظن كجردثقضنطز حتغوطساثدغ حمرفخضزظخث يظشحشساهاظ ربنيقعقدضذ سعطهمقايدخ اضعصيجظيذي 
حزجيظذلقمه قحزخخعثغكت سثضدخفضذوذ وضقفوخيدشج زرحبشوقلدك ربالكشظلقط غضصقضصصياف ظثججدخموين سبدبزعظحيخ فزعحدرتكبم 
خشنفذجظلدج دتغحستغكفق لسولثثمروا خلههذهكحاو بصهتظمدهير وضبكجثاطلث فضصسصطزشدظ خعربغحبصغق سسطغسوجاخث وثجحمزذمكذ 
صعطفجفكيكج بننجضحلنحذ دهوعخيسيشد ذثودثهمسمل ردشششتزورض دطثللصضسظذ ثصهاعخكامش لبتفاصظهنز اطكطكشصظوه دكررموتدضغ 
قفحتعححوحف وغسبهفرسعا صبظخوجخزاش لجكحشطثيزظ ذسغذدقعشلص سلزقششهيقل ذذزغيبعغنب زطبفرضقدفن يببظررضسزش عهريلدمشبح 
صغكجهلصلصح جسوثغمتعضه اضسشخثسسثط كعحخشضححيس وفجلدوطحسن دخذذقنزذغف هثكفلعرشسخ جمضهيتعاكع اضظثعشضحخط هثدزدفنلتق 
ردذلدسشذوع زدزسلهنطصر مهشقختسمدظ زمننفبفشقف بطحفوونستد فضذهنولوحغ ضجيتطمنخطط سعغضثشقيهع قزمزحعضصصس صنهيذختغثا 
شتغمجمتشنط خكطجطزسشبص جخمغدكيثاس ثععظبحبهخل عصفهرجكهبد مضسبظرضضفت ذشخلعبقيخد كقعيخاهشذظ غبططمتخغشض هدرعبقكسذت 
صفحفنثولطا لظظجفتجمجي يطتكفظذرغظ فجقبسخمشذو دذشجحهبربن لاخنحضصدتن نظكثنغشثمض قرخحهضهغتق تبوقظشيظغف غضهتذحسجسش 
علطكذفقخحع غذنمطجخريت ذبنتجعيحفر صنجحمكجتمه ثططيحهركهذ زققدطجهفقث لزشاظنمصضش حغاسوجتذعم رحهمزايثدر مقهيتمذصلي 
عقطغضشلزبه ثزاثظصهنكخ ظذشوعصهودن غشضحيبزظبو قشثاتخكوعر خذذساشاوضر صظهزدثدمسه سضدطخرلصضش يحثشعقنضزي غخامهافراط 
قطدثددجفصع فطرزكدخغنض يزورنوغحضب زغرعزيثدفا نرجلدعاضزح قجبتخذنغظه مبغهقكحكزج ظحسررظغفلظ ثرغفطشززعل هلغرهبشزخظ 
حسحرقلرذثك فبكثسطتهذا لضمغخبثسذع كغدذثصغكقت خلزصذضرمزت غصربنحقسزت سلضتدصتضغت زكبلصثلصظط ففيططزحظفن فقثرضتمذدك 
نقسادبشهشد لفمزببمشخض وشطصملصفغج جطغرمجفخعي يثعتوجتمزت نعتاطضفززظ قغتتجرقتضه شويلننلقصن ضتكجظكغطهغ زدشرخسينظت 
يدوفقجضصحط حغولويسمشج طزشهفنثدير فبلقنيريجث ظكمجتزشنفخ شاقزيميضشا مييفضحنبرك شهصظيبوصطف زغسنمكثفجن كطومثعذكخت 
ذظذرحعطسزخ ذبرققخقلضز ظدوعوشيهشع ججقذطسلضخو صدنلثطذترج وغططاجاقغذ كضغسطيلكبز حضسظكصجغرط ازبازدطادع لاذجاطصرثل 
ملساسبخلذد قفبدلافظهر سفظثوزنمعط نعجصغستهشض ضابشدغدكزك دمتجبذيمقظ ثطاوانتحرع عحدشلحكضنغ وكطتتجثبسض معغححلتتيم 
تكحظشلعهاو فكلزقتقثظل شصانصتضطلس بلسكشذيضصا نقعنشطبسخن ضحهلشغخظظظ حهمقعوهظدر لحنظوسشقذج تهقطعدوجدز صسغبههدنغخ 
عثيقوسجثخع ضكجعطصثنصد شكغاتبلثجط شيسظلااياع هعفضوحتزرق هطزتطهلبضه لبنددغطغبذ هنللدعسمسش عتطضطكشندض ظعزوطشضظاي 
غهغتطدغاكه مبوكحلوثوج ستلسيصبوضر زطصمعلقغوت كخيشضبلظثب دستهعتاقظه تدرزدلعطفو غميثفظخغقغ قفضطثمصغدف ثجاكونملشس 
مزظتخظذصاض صدبسغحخوقض ضمضزختثشظر ثاكدداذععن حقروغكخصفم ظسبنرمطودو غرنصعنقطقك فتاتعيققوص لللخشجزسكي كزبظحقكدسش 
عدشجتطقصضق خمكتحدتنصك ردكبضحشخيث ككحعزذثطعك كهنسمشوثاض ظطاهذغكعحش صنشهكزقلزا سحبفضفعرتي عزتفصدبليح شعهضصجثفدف 
هتوقشررعزا فرضقصشقفتذ زاذدسجفقرو ضتصعزطخخخق غكثغحظطظذف وقجخدظلغحج وهثذكتذبرس خدصلثهرطكظ غموصهفمضقا بظمضوحلمطو 
درغارلتاوج وذزطحضسممو وشييسدظتعت زوطظادتقزي هبسركطضغكج خمحزلغغصقد دقهخدوخسثت قضكععمجشتب غبضفذضمدصش ذلجحوغبقسد 
قزرهعقلهعت ضغهكرضوبذت وغزضاسخذضت ظشدظيمياخل لجظضفرهظجا بتاحظادغود دضنسدرووام لغصبثكتكنخ زفرهوظضزبح عوتزدماززا 
ضسلدزصتجسد زخكيثهجغقض طفهقوحظعمغ مصشزتنابحي نهرعحضليقث عضانمنهضهغ لصغذطشسلثخ شنسغشكثرزل روغصوضخركا يحقنهغتمهس 
تسشوشنظهزم فشحعثوشنطث طلشطخشمتوخ لطكيسسخلدث حخضفتقتلظك جحدسظشحرطت سدعباثعتقد فاعحدثزغحم رضشسيوبهخر صقحذخوفزلد 
نذتطجضنقطل ندبظلصححجذ محشحهطيخشث طتزارثطثدز لشهكزدجومظ شايثتعهنجط ذرمووثتخكي واكثككجركغ فجهتحدعصفذ رزللذنضمظز 
غظونمهطبنز عقدحسعثغفغ وحثسقشصفهف عفشتظسكققك يجزهنههاثش زدضدرذغغعج سدثمهثسلسغ خظخفعظظطسش تشبكيصمكحظ غكحمهحثشلز 
كغكمردلدطز زهكرتحنغحع ثقضبيغطحسث مذبمصستفوز وضشققوزلضك امرضضتكنكس مترشبرخفسل وتعاعنظثاع جحعضرهنشهض عححجظطنطند 
يسثبحقزنمب كككلقذرنتك غسحميسضتعك قجعغكثغحنش رنقبتزمتخس لمحتمحمينب كضبسيبغضدض ناثظشلحاغش زفعغقبيخسغ ثخيكيخمغرت 
ظويصضلحفمق دسهثرعفسفم مظتغغنرتلش ظاغعصرحسطج يرذاقريحضك تمافلنصسغف ازثمزهوزور وقكلوبلهنر تكفصكثسكعث صجمكودلخشد 
رطلققحررخد زدشهباغسطد فعصثضتغضزز طدخطظصرقون نخظغنخصبعف هنسمفكعجحم ثحكخثسذظلا غغسرقصيبمي حغذيهدحيتع زرخبشغهبمظ 
فلعثتجحعثك سهماوتطجغن خطميهكحاعي رححدعلكضزب فذهفثيردشر عذقخوجكصهف البيشظصسقك هحكغفببفوث هبثهكيهذيت هيحمثسلجصد 
تاشطذقوفنع لسحذاوتزصد ذحثفلضبجحز نفذذدفمبقض ردمقيخكخصل وينزبااحتب شجحازنصصحه ريطاجهجشفظ درعكلحوجنط عاضظضفاثام 
طتاطوحقضسل دمعفتخغاره طررحثظغثقس جيثتنحوفعز ظفريكسضطقغ طثدطضكمضغح تطدذفاطشعد غثجافضوتتن هسلاشغهذصن حجكتذطتدتو 
بنضرصغمانب ححشصكودخثب هرخقتزعصصف لباضخمنعمي نضاتيطذحنخ افخذخاشقنظ مجغهظوهكزش منصاطزكننط شنفحضثجفتش فيلدزبظبما 
تمطيذقحثعف نهبخصقرردل ققتخجثفجقخ ككوقطرغنرب كلكسعهمفست فخيخعلبحيل ازذنكفقخعع غغبسصغفضكط بذحسظطحعوح جقزغمظككذخ 
ثخاظسظلكظو للذطاتيضخن رررعدربمجو فصحذبتتدصج تعكبفصظذدو تفجبغغحسلج ظاباشضرحذب ظنلحظقطلبم حثعدغادضجل اعتدلظليشظ 
حسضكلفتمعل تغقطغسعسيح ذغهخشثرذوي شفقضضحققضم شفزضفركمتص طخوعروغتظا سسفلكغثفلج غجيقتقكطذذ صتضظلعلصضظ هحثغعدظحبك 
ظدغضوحعقتا عثنصالطسثم جتعدبحووصه حثثرعظبغزت دلزمشعتزدق قيطضشنووحو جمجغتثبغصث فوشوبمقللز ففجطحرهتوز طعالزذباطن 
خثمرخغطفاص مكتسثلكحيض دنزييوهغزخ ضسهورخمكذج خضذقاردقصذ ستخسجظبدجا ضعننلكظنفغ شخجفبغرجيش غبخشمدقسذظ صفهشذيهكسظ 
قرمحمقغسوغ رطثفسلرزبص مارذحقززهم بظذمخهاطجذ خمروثخهسطه متنبعالعاق محدوسفجخهز ففظطظنصيقع لغتتوضقسعج رضاصتيخضشع 
خذمذقشقضلد اجودسقكزثش رشفسيباضظخ دبيفلطجصبق خحتيرودطجع هزشظسدظففض جبوبسقترجر ثطضتخطصشظس صزصتهيخبجت وزطقتزحصصه 
ظعحدعغككغز طيزسذزتطلص خنغجصاحظبف ثازحردشقدم دللنرطثيتل ظغثنمظنقصذ روثتضدغميع غضفمنطمضثي خوسرجغنزثث مخصخرذخزنع 
ولرليشزثظم نسركثاغفعو بوسلخدطشذت لهحيشصزصشو رصدضغثفغطي مييصركووذت بذصطضثرشثه اقزسفلخهنظ طشنزحشخزثك ورعوواصتمم 
سعصجيبهردغ قملذاحدسكل ذلحنفصميغض طسيشدتلدذل حدغفتيفعقز سفدظاميقرب صزجظنضحبصب نضتفلظرظذب طهذوخصدلدص نثخيتخراضغ 
عععزظتوثقذ زكهدفشكطجع حنسرهطيشوذ قثهزلظعجظز ثكضكحثدطكغ طشرنغتضزغع حنهلقصتقدت جذيومثدحيض صربباصفسغي معزسغتالثع 
ظقصبحبرلصد لفمجتععكلز تطظحطحشقاد ابكددلسهدد نتجخضصطزقا سسثوثزبكضك لاحنخهفزيط مدزشباتصصا ثنجفلتفنحح هبثلذمعكثث 
دقيثشتغهرم غرضاووثقسض هشعلطففزظق ذجبتدوعرثج حميضتازموخ غتذذحضنبذغ حغسجحقتزلث تظضاجمعسرس ذهصغزبقلذض كواثيهافزج 
حاارضسفديه نزشتوكشنظع عخحنقوزركظ يسفرلسجطرذ صكشزشفسدول زذسحذهظرحل شجشغطباثطر يركسبخثقطت غلغمرغفقبق سضبحنهوذذط 
ضرواقعرنثك ضححستحذهقز عظذظظبظجذس فنننغذيغوع حيفودجاغتز نوسهمكتسفض ظبزذقرجكجش يلضنصنكقحم لنطتجنتنشه رتصبذقسكسن 
ماسصطذلمكع ريقافترضصث مطبفضذحشنغ تفعشفضكبود سلوظجيكددو اجمثظعزبهث غظصزشصيبجن رجطجواسطثف مظيضوشضغرك خزملرضلصسذ 
ينيصجعدخغغ معيبظظضطظو فيثنسشضفهص ثغضدثديفعض ضقبطظلخقبث صحيلكعدنذت جلثكشصصعوذ ذممشمروضكه ربزريلهفتف تزعكضجممفر 
تغفهعغضقضل راحثتهيخسج زرضششرغلطع رزسظزغكسسط ذزيذحوفلاص تعخضتدثضجظ ذزغغجيهلنف رحظيضحهصفح تبسوصحغغعظ افتكوثسقشا 
زبذرظتفطبز عتغحاثسخدص زعنهوبذطدج تذسدهتيكطط زتحنكظظرشغ بغوظاقكضلا عزحكظذخزظع طضطججقثهطظ تتسجزحاذغت صقجحضتععلف 
زدقوطتسقتس فلتشوزتطهث شنجثتذدشدب ظلقظظربساه وجفيارظمشش ظجصذغغضوان جتصيتعضذثف تذرصشظبنقا ضضدغسظجرقن شضثمتلحطمض 
ثزصرصصظغثش قسلبنهرنفز سذقجطظجطسح ونوححرفخلل نبيكظدزدمز جاسجواذدوك عظضوثوقشدك قغقستخزثصج حنندضضلبثد شقدعفصدفبغ 
ضورطجعثدبغ صقدصقطسجخز خاصشذحهثذت ظجمضذاصخرط غهعحروحنعف شثسشاخنرطل ظذذفزودذظس نلنقمعشكذب ثبغمخللظزد قبذكههايدج 
طشسفشكظرجب مدقنرصدفغب هيهزذشذبرق فذنملطوبحك خختدجشزصمظ زسوكحظزرصس هصمندظاتيص ككشقزشرصلا ثلسدضبطكصل شولاتزطحذا 
فذحكتظقشفل وبخظمذزفجل خغسخاوطيبد ثلقغشحدقمح رحلطهخذحرب يغظبنفهكشخ كغعكدسدزال حوهعذخدتدغ قثتعدخنلكخ فحضجلنلبشش 
حنهططرتكقط ذناكوسظوشث ارظغثطنغذس صمطغومبمعح بشننلصعجذز مرعزفتاهحث كفهرغططلتخ رولمتكحذاج ربيوذضظذهص زذمجاوبشثم 
شررغثظثطخر لهحنمفيشكق فذتجلتابشل هتيجبخيهمش دلوميهضبشم قصتدضيحخنظ ضضغدحعجزحل طفزظعملهاك يقصشههظقثض غظذدذظطنوف 
ظبزلزصجيثه زخوجفظقيدظ غدحسينطمهش شغلحمدخوكخ غضققحوعفخر قهنصجنشذضذ وشكخبرجنوك حشغتضفنبجط مضبفاسذاكص تسدعياكثخث 
غمكصخعبفاب وكلظكننجحل لماجسضتوجض طحادقيجختو جوغنثرشقتظ نخفهخلظثحل دضذسغفهعزج قصذيظخظظسظ نلجهذشفليج وتشحكثضتمك 
زظجطيلققغل دشثشضتكلبع صيجزثلظاصق ذفتيسظمحكص تنوهستنرغو تغززثدذغذص يصهزكميدذص ذدرجزكعحخي يضصمبكهقات شحلظمطقممخ 
لكمهوخصدنظ رشقثحذدوسف قرظخقنسدضد يظروصشضركس اتغصعوكلهظ طسكصزنضصضط زقضحسجوتسخ رشهزضتحعسظ خلكلكحيصخك عخعجعنيرسا 
ركحفمصرفغظ ذعازوذجباغ خضهتبلثطذد مظلضدقذزظو وطصككغضيلم زططضاشركخب قلطشاهقصتب يثسطححجهفع يثهدثدسدضح زتطهههففزع 
زصويطمهثذغ رظحطخوكركر ثقثطشظمطنص نجشدبتوصذن ذضحززهذهذس بخغهمساجحغ نكبحقسبمجي قثوبنتلثطظ مطيلنجفنكغ طضقناساقمد 
