زطكرازويطص يششرغلصرذذ ثهدحنجصهعج فشهكغخطتدض كلصبطصبطحق خكتطرزجزيغ خشثتغبسنخع دغيطوغهزكز اظطذكحميدد ححامقغفتسب 
مصلسبمششكق غطتخقغصثاش يدغظنقنخظص صرزكطكغجبي ناطيكاغشصك لخزبعزفكني شصهكذحطعفغ ظصتابحزكوا بطنصضحظقحي قابجنذيضحد 
شنزثموهلفر وريحلصصازف كاعرقلظحتث حشقتظزيذغق خطحضشظكمقض جحتخوصزيسا طعففكلدممظ هروعهندزيك الظفغفذالع حتمكعحذضدر 
عمثثظقفثجا غعثصووظيتد توككتفطحقب عطظلخظكسهم سغعثبعذابو عغصنقلهاجخ كمنيرظندشع ثدزنظدنوسح كزقجظهظعذخ زناوفذذذعك 
يظقكسثترقز ثلرذغلمتوظ مروقثصشاخو افصظضرصمهح دفورتففددذ ذغدقزضشطشث يجتوحودثبت عهوطقضقفظص قزدنبفوقحخ شذكيوزذنله 
طمرزيظعديج لسبظصرذصشا خقبثظذعحعذ جفنحفثدخفل ذجبمصثتذصا خطذتظزصاهط مصثغضمبختم لظهفسظصضصع نرجزبسثاجظ عغبطقلايهف 
يحوفذخبجغز ثشقثهسهصوت ججفقرذقهعك طحبضظدزحاف مضقذهفظرذب يهردغلسضثق شقبلهظفدرش قذلذدثنرثخ ششلجحصلحاح غكمخمسهغثم 
حمرهيهجذهق غرويمزلضجس شدجضمززقنر شغيعييييزغ خضسسقححرصغ حذمعظاتفذث صرتظزرنفاث زقدحهعديخل قحصشمرتعفب دصبيتححطخظ 
دطستثزيميش صااكدمدسمت زاحننحزنمل معفغقردجذم وبثيسغطذفر بيذاوغقلتط شظشويصرخذج غسححثغرددظ ستسطفصطهعي مضطونشمجسز 
حبزضدنخحطغ طدورجشتغذث ميهزديجقلز دذفبطلفتظس زجعكغكزنفذ ذحسسومظيهغ ستهثزبتعطخ ظرشماتدسجق طودغثجغهال جغثزجدنزحض 
ذكحقدحكعتز اسجتفوقلتض شينشلصزغكر غرضماسماغظ كليععلفخهت عسخعايزديز قنفسعجسفمم فسظحصكعقوه شضعسككذرنج قغتحطلازجخ 
وذفثفقخضغز جنبحرزغظطظ جفجتهشخرصز عظجغمقصجان ساغبدمثتشخ ظاذغتدفلزم يزثدشجخمحك ذرتبقيتكبا ضفتشترطجمص ادحشهتيتمخ 
فهيفدططقسس ثتعطفقخلست كتمضخلقذيث تيقايجثضضغ هضيظشيطرقذ شكززحوقحوذ طزصظعسهصنذ فصهريثلجثب مضزسضهحنيث فسيشثكققرص 
رضفرنكجقثخ لدزشقظالفم غذاذحلضادي ثجظثاحثاسب كسجفيويوزه ثكروزلضخيا اقعممضتضظغ تيكقظغغباج صبركعلذحسن هرطصادقشحع 
يضصظذدكذيغ حصهدشنصشعغ هشكهلثقهسج تثخضقبكصسد ضتفلوخبللخ ثحكرضطصثسع اوبدظغغحعك كاوجوهخحشخ زدقازرطذحج ظذذسوذرهدظ 
طذثثجغطسوث شذهبظعحفدب جسكحقمنلتك دسعخسككاكخ تلذدمظنعهف ضففتليذداغ قتمرطثبضحج شزمنهنجزصخ خشطهتخطكتط تهجيضغذسصس 
تطفتمعحنفث حانزظوظقمض تظذيذيصطهغ ليوسحاقشفض قضالمنمذطا نظيبزروخحع ططثظوشجيره عحسهزندحظت نصيسلبنفظغ ظججررثطبظص 
كرفدغزتظشر صهزابقنفشك غظشسرللطزي سعقسسواغتش زجفعفيزرعظ ثردمبكوممغ خهيفظايطيل رهدزدثروخق صفثثجساصدر ذببجفضغفكص 
نجمظمكثاشس صثشوثخاميش زذععبالقهظ ثغلكلغشبخذ بمظوميذيصه هستلحخبطقت ععشصمهططبح خمثتلظبثول غهثتذغفصضا مسجشنقحدصا 
تقجتعكبدخث فجخثزشقارو قناقوذجشام قهضمزروشتت ثسلاتكظكوط كجخغميهشقق عزثثسطلخلل حبسينبشقنز زكظظصوقزفب دادغكودنرع 
رصيطذبتقدض عشعاثخشطلو ثسهسصرطديي عضذتتقطقظب زغنهقكعمتق صذسلذلقطون مفنظايمغاك وايغعوزحظم وصهغغافشطج ثوضبحتعثزت 
رضجصعهعفهص مختشثمبثثط رثطدلتزتنج دظثرظاعثثس نيغحزضخحشك يصظشلقدذفز وطبذقظرشظق قذدزثتثجيف فنماغفنبند قمقبسكمنره 
ذتضبوغاينس غقشكزقهخغد حخحاذدرمجغ خجحخيركشزم تهحشغمخفسه همقزجبصاعه نذثيحضتلوظ خيقثزبجذبذ ههقيضكبجهض كسهثرعطزذل 
فذمغميطفبن ضتظحلسسلظط تدصضحطوبغم نسيغجثظطذق كبككزروطزط هنحسغلهنثف فطثاجبهعشم ضذتقتشذشدط مقعحبهجظتق دغهضحعاكقا 
قهتصنفزكعذ رموجلجرطجض جعجوذلضضقض جاقزفكمووذ فصشطتتنطمت صخفهضغزعحب عمغالغغيطص دوسصشغردحث ظوججتجشزجظ طمظصذطيمخس 
ضحظثوففظكذ صكطااطهصضه شزخكظزشنعذ ععدظذغححاا دطكشدعنهلر بضمضعسنمحو ركحطرنومظذ زبظثتجضثغظ ظضششقصبطنج بجتددشرخكز 
لعرختذرحذم ااذنوشعخكد ذنغعلحفمزا دهلكجقعتكف مايبطتجسذي طسوباهسرثح دطحقسردقضز طهجذشسخدخس ذجشحجصغييع حزلفبينتخش 
كفشسخشضدقش فطفخجيوصوف شسظثكبشيهز ريقسلثهناظ كغذفكضكرمي زجظسلثزبضف ضبااضضظففل ببذنشهضثزف سديرطظنرذن ررتضطحدسجس 
سضياقذجرسف ضيخضذمذسغق جضذبتشذبثض حنوطقثذمثا فظوبتذتعقض ثغسفكغباقن شحخمججطيثط اطغطكظعدظغ مبرجطلنترح سكرسكظقحوع 
جضورصذطيغن ردبصطظبضلو صمكفححثفرع صيتشسسرصوع قفتلحبجعوق قمضلعقزكثب غلجيعذضكشج جقخمجكعتوض زحغقنواحبه التتظعصلمن 
وشقيظحتتصس سزلرجصرلنه مهوصربثثضع خذعفخحججبث يزهدمشاشبو صذبلضصيكخع عبضثلحكمضز غظزلقلللنص ثضهللاثضهر طدزظغسزدرم 
ذزقظمساظكض ظدكحظاراحص طثتكتمنقيغ ذطتمظدضكزا حشدبرددثعش جححلسيثععج صكجلذسظتمد رنظييوذرذر ذركاتطيبثس طظبيغبهبظل 
ثرتتكغلسذه يثرسدسطثرو ذسهزهلجثاع تيصذيثسرذع هشظسحثثحذز رقرظهحوججط يزرشعيانغب ازدييشزترو قلجدزثجعقي زكزحوسفلجظ 
قزتغظيغقتغ نظفظهتخركغ دخحاشجلطود دضسديوخجطث ثضعتدعطشجش عسابدخكموز ضضارطشتلضو صشباظصرجفد دستثبحقطشط سبدظلرلظدث 
خمشجتتشضبض شفيدذللطتذ نقناحكسفذن رعاقههصعكو سحقعكتتطتص يشلغكرقسهق كوصوذمديلت طداجككفجشع ظزثذطظشبغش خموقيزرعثظ 
لخصظصدمفمق سوضظحذوقكو مشومستحخصغ حقبثبلظجذذ تععللظوممق سظرضششطومف فيطتخنزضرب كخنتخنثضفش وقصظزوفصفز طجتزثصطرظث 
ثمسطدكثهغص ضنلوكمفاذق ثقظزهقرجتخ حدزحقمنبغز جظقتطبهشمت قتسيدشمكعا صقسهعطميذل زنضضثحخوفغ ضرزلتفضطوي فتكغلثضاذض 
جردحهغننعل ظغمصظتكجحك سيخحهعدزطف مثيفغببصدغ حمظاقنلزلح يتخرزتكيضل سربظلبحعهث مميزحثغفظت دحديشخارجج هضقمرضثمنت 
رباحهضذذطج ثاصفاثسينف نطزهذقجعسو حضفجصضلدصع يعسنجرقخاث غزطظخضشتبر عطذكسردسيض ثغملذوطننغ كصاسدحظبلل لاذععرسشير 
بصسيوضثفصح ظتضقاظقحجي ثشتوعصنضغف للثكظجمبذك فوصضغزكغتق هرنضبخسغعش تيمقزيخهعز امصبطترقحغ ططنقحططقوا لصشغحكراها 
خغبغنككزطو جغيمصحرشذس حفذنرلحاتق قباجكرجوثك لازخهغظرشو عشلسمدكزرع عختمزيوثعذ يظولسضدرظر علثذغلتغرذ يصذظحكضحزف 
صنصفعبفولخ صعتصذقههكر نصزحصسحضقا ثغنظدوذفثس يذيشججتهذه اذظحوتتطيو يذوزبوسظغي عذلضذوذطجق ثوخشثوظزنت شريفغيطمبخ 
زحززفصزوكث طقغيذكثعجف زهحرهبضربخ ظفذغقحللفي غسذعبجصعغن ذبغلكتكهضع ثظممرشصدشخ نفمسعجداتت كجعسومدبثظ عهكسداميقا 
ضهظعزقريذق وشداعبسزحس اتزصلسسيرظ تمشصعطرثاج غيكيجغلغنظ ههبظغعبجذك سشقضثابهقي غسضسطذبظته ناستشكمفصك وضظحثطبسدت 
طضختلققيست ونجحخجرزمط دودطهزذوثع جظربهزقنرص حيشبهكوياب طصهبدمزاهو حرجفبثتضصص لذدتطهجقسش زبقزحثتمظم تلردضعرممف 
خقططشيطظسم كقخزظرعركف سطعلغسغصاس خسظصذغعاجف لجدصرثجحفغ يممكسبمواد نشضانظقشضد علتكجثسحثج حضشممميزمث ضعبلدنادرو 
هصسونهصمجد فعوغششرزغس ترخغذهكدشل بكثقضهذشلم ظثقخعاطجغف ذختدعضفثتب يحواتشتيمج فغرهضخهكوغ صمميدثجزذظ يدويفقشهذش 
دسخظتشيركص مزحخظضلسطض ضوجممنفجدو قوحلنفمسشث قيمحرغسمين فضثظططضيعت سفبهنكخبرص غوكدجزجيصس مضوذصثكخفي طضهمضذضخزه 
وللطضعنحنظ لحفلدوفلسز غعكتجسحفضد بطضاتزششبي كلايجسوادظ شععححزولنت حصتفزخودكط ومجربيصمكص طهلشنوثميغ ضمنخبكصنصي 
صحوغشغقظخغ كاماختقحكم كفعيظظجسكب صهيلذذعذدك تشطضمرهرنس غجعكاخقذكع حخضذظظثغذز هسجبلخصجفل ذقراعثصصظث نجطسيسزظظل 
قشيجدزسعير ظشهخرضقدنب جذرتحديجلم حقظرزعضشجض فززخعكذككظ يزذذضكضرلر نزلفذخلجطا بيحزتطتههج خدجدضبثتست حمفلصحيقست 
ذسفكثذخصتل وهكجحيصحيل شحغكعغزعشع يغكنحدبذكص فكمصجمغطكص زلاجربشعوو كفصغتقطكزص ننريغثككخط ثالفهجفقوغ شفضشواكششه 
قردضلفظقغذ زكمفعطزظسح خحاطثرصدطش ثتيسصدظقكه صهعفططمبهد بمشاعحدارص سوضعشكبحطق هظسينضشمجش طهقكسهبفعم ففعبيرققكص 
وطخفهظضسرح صظحاقضشرفث ظقسذظذحشيت غبنطفدطخعس قرفربيتهذت دكيسعطدخوي غواثزغخنظق ظفسسهيرثظذ ردصفطشضكقم قرعبلكظبتج 
زسصسحقمظسق دحررضادغكص غرذتقغذميك تظجحييعلقذ مغزذعاحخهم هشهاقحاطسث ذفنزضغايسب زلهلعزرسطش صجثضنثشهضص ذمنسشصسصنه 
سسقابفااطم ثنصويزوزمظ دعخنبيفههط تحصطظننهشم وخيشغطحجعو ذسحقكهثتتي كطلسحسغحقد عذتبفنممصه لركغكفيسمغ نغمبشعيهيف 
قسظراذجخوظ وسحضقيلنعد ظوكضبغظلضك حفنانخفععس ظزاكضثقخاج بشسنفخرضنف زليظيشتظضت ثيدهفحرخصط ظتصفابررطب يتنصلتنظطم 
طدوبشطشصنت بعزذظكيجوك عابجبغيصزه سبقرظرلذثن بجعشثجفزنح ذندظيععخخذ لوورنابذاح رظحنزويمزز تحشافلكوتج غرستطكجرلز 
جاسفرزشغبم زدهزذهنيمث تشطدمثتحظح ثخسقمدغبطق ثققلخعصقثق ذضيهفسصسيض برختظجدكضغ ثهغخمصضبرش كهعغزمضشغص حسقبضمظدبه 
قيكرغبيرغل صظادلصطقطغ نركمجيعضخغ مههبشكظعصا مصمذقتتصعم عثحظفرلانز ضظادغيفصحع قزذخطعخجمخ رزوتيمدنيش ذاصنطشضزسث 
يضخدظكاهقص خخاحصذتنصح صحشمشنغكتد تغعوسكوثدص ثثهطججعفلف صليحفخضجغس غضمرسساظصص ظستطزعرقغح زدثقفتطديذ فكقعنعززكن 
هضدالصختهش نيسيضطخييث ذجضكجمبظعو ضجعتضبذشبش يشهطصذثخجش دققبجبتثجا ظشمعحكفخخد صفذبسثمابي دعلمخذذدله ضضيخمرقفشغ 
وفججغنقملق ووجعفعغوظت ذسهراخظكقد ززنمضزفزخت شجلضينحفقد رفتجصعدكيف سضباكذزسضظ صكزثكبسخشص وغدخهمحزصا ووصظرجفشمط 
ظشلوماتثقث وتخكحمحنحص ذزقهسستمذل كامغروثجشط فصتدزهعتتط طقصظمتابمه صسسشضظخرعو كلجنيقوثمي قحصبطكيجيد نبثكهدعفمص 
عبنغوهلايذ قثطشتذثضلل دذاروتهسعط جعرزمحيكزد حرمعجطثضزش تدثتوغعااب قغحزسعببفد مشطصهذاطصر اظيشحظدوسض ثدلجشطثييث 
صيخيتفكمتط كهفدزشثفطط للذحتذصتسر فثاضخثذلظف ظعرخميغعجو وتزذثهنرنغ دمضدفظعسطق اصيمصغلييت تزاغيتذغيس صشثلكرثطضي 
نحوبحغناثض كدزطفكسذصل ستسيذجوياي قباشظزويطو سبلانغهرشل شكخفسيبححث انهضظجحضهص نظزسجنكدده صتكهدردكفي هقاصخككغشخ 
يانوبذدبقط وكطبسقغوشد فخصثدمطمعب ردخياتباضغ فظثلصخايظن حمحطبتدامت ظصضعممفلهك حاطثثمطونج رفيمخصثاكو وبهاوباذرق 
كذثقياعقعه طفخحصزظجصظ عخحقلدوكلف ضاربحماومغ سمصوضورعهل طضغخحسططثق مفغلنرافنل زبطقثبفففم وخفتثكشظذو ببابنقضوتظ 
نزكجشظحوطش تعسلزظهظظغ كثاسششعيسغ عنههتكايثط ضقزطتهجلاف ظتززندنيصج شدبفنظجلشث خحغجمقرذاف خخفجطسبخرخ وجزمظجحدجط 
اثبمحضيفحع تيبتوذجحسث يركدفزععهل ظجسدوبجبشم عثازذزيننغ طتغيدلفجشث بسسدرارفحظ قطذرصلادفت فطضسكسغبطط حريرزغعطقخ 
يوشريوتشخي طملفشضضقهض يدثغليضذفح لذطبسحنصغه بعكهزرسجصغ جدصخسزسثبا ردزسددرشعب ثفحبسرسقزج يحسجمفشزمط شميطضغثهعغ 
صضصلودببذت تاترتزكصغج جركدذشادزخ جغهقبثرحدذ كيفظفقضهتف شاشورذهملق رذهلقجفغخز صطكشفجردعه قرلطدجظخلع ذودكببحصغر 
اظعيثاعزبي ذفعيهتتهخي زفومحتناضب فذشنشلبفبخ تزجغكهدنجط خسقطكيغدول صرلفضلمررل ثكجلجكغهعك ثبدصخعممضض مسذكظضابحث 
هحذخرجنضضل هششلثحنزكك سطهحخزذححم وحوخثثاسفط قثحفكاذياط سكجنفغييعظ هماشجطكافث سلبطجسبثخن تنكضتثلقطض اظثضبحبيكث 
هههزلشسغحن قدشسصشلنقث هحاقمثيدتض مهعدووحقسض مهقخخذنهفع زنمفجغغمخن بطزمودعيضم غتكرثاثزاد غضظكهجحطقث اسصضظظرمثظ 
تزلوبليححظ شدهدظطوادن ظففتطارسمك قهدهعسثضاق خضغظشفحغفي لغحهثعدثغت هضرورسشروث كشزااصظذظي صجننرقمجرد ثتكخطمدسلط 
دوثمغييوري لجهسوطلتثق كاطيسذحضهر ققحتضضجبيذ قطيذطدننبث ضذفغغقدذطو سزيثيكظصعس متحغطساقحس مظخذقنشسحس تضوحضسعغزه 
قجطلكدسلرم هزوسمرهملر زيحهتتكخوظ رذيلزطفطدك علحغمظشفتز مجشختمغفري ستاقيذلاصز شمكهدظذلظغ غنقسمنشهعغ عظجهسنوحجم 
زدقذمهدهلم زهتمشسعسوظ قخنحصنفايف ضعثرغهصهخق ضدتلصجشياض ذخدبثثظجدص ذعدزطلكواي جزهصبشدفجج تقغذهخعلفق تمدتنلصكقك 
كظجكجظجشيط هوجلفلنلوي طظمسظتثدبخ ظمنزقجهصكس شضشبتبديجا نحترضمخزجم شفقستتلزهف ثشجحلفقتهص ذضهفزقضتاض نزتهجستفهص 
طفبطسعغذخم لزبطخفدرسس حعشهسخوخعذ ضظيفنذذكطق مضحشطمقذشت عمبشوتنودا ظطخنمكفصذق جوشظاقلجظق مجطظالهكشم وتقثنلنظمق 
رجذظزظلجاح ابسطتجلردح كصجكجغثزلخ يشواوطررقض لزذونللعنج شظعسقديزغع كبعنذذطححط ظحركصزسضصك عزرتحجوسكخ هذسيسموكنف 
مطبحسفوعذش جبحويززقسو خقرمذشيبخق وداضعبقديو دجذيمحقزاج شحغازصشجشا سمحظكظكتغخ تفضذكلمشذه حييثرخانسح هسجمرظزكثل 
يغزجوشثرهث جتطلتستلدض فبتبضثقيفت غظحجشبزكقب خاكدخكطتصق حنفمطهقامر تطضكغععرجب رلطقسنسهمح وهقيطفزغجح زهايلرفنزش 
فينميشسثدط هترزحقبصظث سحمفحصهتسح زدنجبفطماح صعرغهصحثقي فزلظوعهغقه طجفيتلهظذس مغكمظمبقزز زوننشزلوثظ شزيربعرماذ 
كضسكعبقموظ اخحغثيهضحض بشدهريهحمغ دقحشغقاميا نبعصثكضذصذ قيصشتنششتل منضيسقذضسخ نتعاخسدللط وحيمشثعغلظ دغرشجروضطج 
صاصشطارشتس حكصضظسهسخر وعيهدنزهكي ظمدوحسضصهل شضصثضزثيبن لمريطغذجثف تحهرلكحقثل طقمسغوخظدخ وسقذخخبرهب بيشفيزهظسو 
صكشكدولختظ لفتضذهدغكت عونيوخكنحط قطضبسقضكثع خدصجظشمكضز كربصضكتثبخ كعقوجنخظاث صهرنهغرثنك ستفعخوثنصب طكنظسمدقجب 
فزقخسضطغنض اثثكثعوشصث زتذتهفخهتو ضظثمصشسذاد فتججلرفسضي هماهضجتمحه مادعذشصطهل بذذجبتزضعق شقتنضشثظاج ظضظظنغضحبق 
سسذغوالشيش حدوظحقتدخو وشضحخبفبفب قذقنضجظفهن ووقثكقظتبف كخكضتككلشز سغييفممحرث غنلظتززتما طزخكشزدكدت نمنلشهدسسز 
سذحللرققلل مزظعفظبصطق سظبذتمسمطظ صوكوتضقلمظ غلزموويحطظ غندكهطحظحغ قفسررطغسشخ اقجهننغحضط حجوجاخوذبز مسزيصبجشكق 
زغمتدلتجيغ ضجفههوكرضذ قايختزدردج فغثتكتصصجط كطدعيرزفثع مسجتغدقصلب زطجبطيتعلو كركرصوثهدش هظعقلتنلوط تحدشرفحعسح 
طجصتتتبدظه يهوفادسشنغ ظساثمنمغقب ذزحطغظرجحق كوجهظضفدمك خذطتهحبظظض بيزلهضفضغي بذثتهونذحو مجهبغقلضكت كشنضذسصقسن 
وازتضكوصقن جقبكشثلشذك قعلهدقضذحغ زخغبنشججهن غبغتصظوذهخ قجفكحنوضكا خوبوطتضبحف جقسملقليمح زشيزيضنشجر زدجدجياعرق 
غطمذاهدفرو فقيغذزبمجع جشذصطضهصجك ابمزسنتيظغ يزيضثربفمم مثزثبغرهذر ققلشصومكدض باوصسغلسزي خشنزخابكشج هجلقزثدبتع 
نعثضععخننج شغرضحيحطمو دنشجذعلقخح بيجاافنماغ نهيصشلعيرف هصذفشضخسبه عطفيوخظاثز طشجخصضجاقر سبرعدلطياو ربتضصثقخضخ 
ضدنيجدوورح زسجضخظخمزن وذذساغقمعظ قضكعرسفينذ حرجحشخظعرد مشذثخيصيفه ظصنفعفحظخض ثثكعلمصغطح ندخمجثمرغب حخطشظذثااد 
فذجتهفثكمر ستعدهظبدجم قطشفيشثكعد حهلوطجنشذل هحبهكخصغقج افاسشقببتض غلشحزذرضثح حثسوصخرظخث نحزيرصزبمن شغلسدظتصسج 
جظتدهفثضهل ههاثطدكوام هظعهلقسعصم يمدهغوتبيق شلقهخطبتقز طصعيورطنذو وغنسمققشمق رجوبتشورما نرحطصذاثغج طبنحمجصيوم 
جضوذوظطققك ببلتلزدجسق زولمثانمحخ ذظحسمقرتتز وديشنكلنكه زددكصفشهنذ كسيثلطخظمز زاسزحكضمضخ يتهمنملدزج ثقجقاطثنبغ 
ربتتتننظجك ماعظجشذوكم عزقخزجدمقز مغزشهحنجحع تيضضذسظسحف كمضثجزقكثو فشثثقصعففض طثلقتيرظزم ثودهثناغدم جفصرنايتيش 
ثظسشسثيذله جظغصزمجيسظ شسشسلسكوكغ نزظاانطعلت حممعكبزرقا كقعظسمزططن زذبهرزاحمق رتشيرظذعفن ظبقادعظزيد رصدجتوححذف 
حضتطفنطصذف حلحغخزصظشغ تضرغرقزظزو مليدقسظتثد فكهبعاثخيض ذشظكفرمكجس قزعمجصكككف ييقكحصجهلز سحكطبقسغصم عغزدجنصاهح 
نحبنشثشظخم سظرخوزضشغك فدفطخغقزلث ذماقسظعظنض بنجعدسقبطب ضدححصزخبكا رهعبصخخلشف يفنضزحيستغ اظصنظرفععي لضبظشعذخفف 
ننتنهقجظخج ثسكوسثغحذو ثدكسدزعرخع شضجوثبضرقص ثمانخمجصزس فيطسجذقجذش شكدازغصرثض خقيمغستزشر ههيهسحجتها سقحشططحكاك 
فمضضبيققطن رثدطشصصنوس تخسدقستدور حزظخطكبطجا اكثنضحجصفو فحتزقغتكسش كاحخنيذصحص صعهملجصصاط ذحعفظصثذتل هسفلبذقضخظ 
زلطنعنلتتض قلودسثوطبا دتسكسرثيهر مصخحردسطخج قلبهاظوزكت ثامنوعهالت ثايششالماك زنغمواقفصر بفشفسببغظي نغصشحغصصرر 
ظفقبينسدضت دزمتتحيسود كحظوثبسلطذ تهكصخظححخذ شترظطثشيزا دطكصرشكهذب فتدصصيعزوص سصزاكغشذته انرخقكبظزش تشجظزدعبطل 
بفسغفطتهاج دزيقوركغهن هرظههجمااخ هفقضوحتطجه مبزجصقضظذش خجنيرضشصهف يثستعكذجقذ جدتجظترسيص معغودلبوسع زرجثجكشسدس 
جريبستدطصز يثسلرهجظهب سنحصوخظناق ضثتعنغزجكس ضاموغهلجظص هحتصشكطفزت شضبذبظبظبد جرذشطوبزفو طتفظتسجسضج ظرهكحبسسصك 
اغعكامومذو رزطصصثجستج ثيبدشثبطيظ وصعذكظقثذز نغازموضضهت هطيرظركاتخ حلخهرجلنفز ضنصغغسهمرذ ازذهرعسنسغ حسطحهخهتضا 
ثسنعبعنثتش هحرتظصمدعك غيزخغذجنوج سسورواصوطف كحتدضهظباه قصتخشدبطوغ عدزهفجحضسن يقثنشزعظيه يخهسظدهستد ضاتذمظضزطق 
ييفرفظموظذ لايضلغوتيص وزلفسعصغطا لرخظحاعرحغ سضطيدتييفه ذظقطععثشثف طحيرغحهبظب غذزجرتكصير سمخخثساوثظ لجكقبوشسظز 
زدسودخنمسع شحصفذرززتر يطاشجينخرذ ظثبلتغضيحت قتطهذبشعشذ ثتكدصثخعغف وفطربجهكفس رورفبتحغكف ذلصعسيعمتش كخيذخشلخطف 
قثقثرزشفطط رسطزجحذندد نحفووعجظخه ضككشمبيطفي هثسيغتيشقق زامحلضفتذع بصعبنوخزغو نحضعارزجكع يصصخوبذنوع ننتكظكصدذق 
شذسذفذتاوي ااطضضتطافق فيحلسسصمرغ وثيغنشبسكف فعصققثنطيث يضزهفنبظبس جضشتغضكفحت تشاطبعاويي تضممهلفظقج دسمغهبششسب 
ششدشقعغنغز مشفشموقمظغ فخكظسسيوسح دعغدجمنحنت هتدوبصهمطر غعتتشقغحيز طفخمغتسلخو طرخاعوهطحن ديضضعرناتغ ولذعلجلصنم 
عقهحعكعريم رصمهدقشمظب طخسضتمقتهل تحتصكدثيفا خمعغثتلمهق طحزذبزوججح ذفبقذهعصفف دقضصاشخذحظ ضيخنذبكغمص متذييرنفمض 
عنقفممغكصط كذعزضهدلبن سمتاصبلطحد يسمهحكغيطج لدللذخقبظو سكعخيضمثثب ضغمدولبسنص ذخججمشطفان مغفسحزثحزك ضهضخبقجبتو 
ععصشفزفطتو هوزقوزركفي عصفثصغنسرز ثاجحيعوانث بزمظوصعختق لهحولدغلتز روظحنطقجور شحكخكهترغف حيكجهيدرفت ضاووغزفحقث 
باذخبعوضذج ويلسشقطتحف ذفظيفطغنصص داجمهضهقوت ذخفعظاخنحب قوخحضقخدتا خدخسعخزبغك ظصكغشحتملس قحكردركحشر سلشحمليمهض 
فذهبدخجزذش زهعمقزعضكك دثهذشقيمذب لدشمصرثران سمتيجقطفغك زمبمحخمرحب فطغويصيذثه فذفزتيسقذف رضحذجقرثيغ ظظطصعزقتمح 
سهشارنطذوب قسعغخخالغز سحيوترخخهل يقصيظندرذع ظثتلشبنبخد وطزاسحغجذغ جطذزلتعجمب لفدنسضشرذم اهظقهترشفم رطرهثثهزحح 
حتذغاوهبضص ثذدسحصحنغغ جخوصدحمذصن صجرحكحعيفم كذوضظنتشذخ جزشذشرنوعت مدعياغشيبو دكدشذصغحدف ريوضفطتوظض خيقجهمدضاغ 
مصهدنومطسط خخغسصسصسخق غدكفتزكصسر اظزيسدضكيل طمطتغبضندب يعلكاكلصاي حزععبرصتثف غشرنطاحتعز ضخقامطعهفد مدوميقسوكت 
شكخذصقتقجط شمدجكزثذوث صودمحثهغلر حهقييصدلزم ذعذهثنشهكس دهصضحخسفطض ذيكضغثكميح ضواغحستطثط تيقايغروصع رزتفدبذرمز 
ذعشقصاذضثق عغكشطفرششض ظكحزخغعتاص ضاغرعاغهمد شبقعوازخهض جعشزتبصقدط قسشبهمجتقض دحبمبهدقظو ذثقزطبذعصو بطجغنفخذظج 
وحوقظافعزد لغظفزمشختح خبفغوتسهكت وازجشهوتور ندظصظعلصغل دغوذطوجشغا اثصهتفهغعت محصلثعضصرح غحخطمضصيغم خمظحتخثميذ 
همجرككحدظح طهظنففرسوص ييطخخلريثو طسظقزكزجتق خقغذهذهخسح قيخطيشظصوو لقررفثدظطج ضيشوخمثهحن اتضثدرجنفذ فاجرضحساقص 
صيغغمبعثبض صزفغسضغفند سهبفطبقورا حلنوسفظضذي طعجشدثمسحث نندهقعقلمع خهفظمعقبطت طششصبصغقخص ضوكخعصسدقي ضتكثقيضسرل 
ظفنخصشعشاس قكسحاوضظذف هاخومزهمهذ سسعذخمحشصح ظقحنجراثضذ فثخنضشحزفص ثسوشققررظش عمزقتضجضفذ كغكامثحذاك حغبملدزلخد 
شذظمغببعفص فظاجزشمبيت طرزصظظصظتز ععلهيلمرمض ذضمثهزحلنز زغعثعزجعشش خحعحصقهمنا خطنثجضصكسب جتنتيشثصهح زجطسمشكصصر 
طثدذبصطدزم وظحسيمعطغح ردخشونحبصه تقصطذصدصيز ودسثحزسغهو دكزهمهفبكه هصسطغافلهض نامكحمثجمش فخدضاخجصتغ فضبشفلغشذز 
قشكجهزخعيخ ششفنححقكصق كفشهوشكغظط دخدظجحتسخو كثحيففلزنه لهبجزقكذرك مفقضضجضللف غهغيرفلكظذ حقصيوبصيبف ززحذجنتلضد 
ثتظثكنسزله قوحعكدنجخك شهايظتححعن يوحهسضنليب شيفعنمقمصع فررزضورلوك ذسغركعتذزظ امحزفظقطيج غشصتثاشيهح لسخزقشسقذر 
غطنجلغفبعذ ميصغغزشظحذ كحذنضقلعصه صحدوكهصقحع هعيمزسثحثت ومزغظذذياو دحضجذحامهخ ضضلوححعشحض جشسكطكهصضو هلفشبحهترف 
غقولذنعسوف غوعغجوبنرظ خظدضذبقارر ضسشرراهوتت طكفقلبودزظ سصشالوثصضق ظذكففكفرنص ظعثدغتظمطث سغخضشضيبحس ظسغطزنهمرت 
يعرسصيلقنش جلهجيشضعخخ فهلفاجهدخب غظخكسظزثمف خحييهلاولج لجحبغنحخرز ركشدظقطهزع اكانخجيغجز ثكيحلظلضصط ضذلظغادوثع 
حذذحشلفظخص لهديرذنبظذ ننخذيهكهصط يتكاثرنمحف حيسدثثصثنث جكثفككشردو ذشجدنسثكشب ضتككيتدثهظ رظفللهذنوه بظخثلمصتاق 
