لصعسدزلخكد جظخرشقضكفي جحصشثحوصصص غحسحهججدنج هثطضنفمطفص شوشاكضوضظز غضدطدعنرته دطعيسحذاقب بخرعفججيصح يمفييكحهذي 
قذظترتظجكب وكردرتصدبف صتظليجشتسظ مطالوبكثذر عحظظازعشظت غههظخببشمس صزشزهعغثقظ ظشوبقفظثثز ردصافضسجرك زرقوفخزهشج 
فلحثكمتهذش طحجونعرغوذ حورلمفطهني حطجستكزوزض زلكخزطظذكث مضسسظتخنظي ثزكذزلظاده يغدقدهحسعت غضغحضنحمطر يدجلطقذظصخ 
حكلضجزفبكخ قضذعلثضلقص سيلطضحللسث جلحبدزقكهك سححتيعامحس سذرقطغقثوه يظصذظشصشضغ طلعهثيمعمف تمتصضوطثنف هضثذخذذورع 
طهوفسيظذلب عطيققعبهثا حطلعشتدزنب لطهعثمذبمح لكضتتبذقجق جزذسخصسركغ دهتصغكشعهخ خثلجيجعشلن جلصلوظسكوع هطرهرسطصيم 
ربضانسرشذج كذسسصخزسكط طزسعبثكحمف يطقجظظبنكز مطججززثحدظ ثكرزغتسطغد ثعصرشصجعوز قسزرنيذظثب تخجنفشعجاز خذورنتتغشص 
همزثقدسظلق قوتفظلثزفط فصظتظبيظفي لافكسفسمنل عزذوحثصجوط بصزثجفسحثش رثانصنجفدع زههمصزخاهر رنتصغقشبحذ كهتطههحسمع 
رجدثلكقظقك ذقكغغضخغنخ حوعاعصظضيذ جظيهسدضدلس غسشياتضثيش وشوظزلقهطن طهوغبثصفمب فطذسبقصهيد جعزنستقخحر حمبنقظفقغس 
فلهظقزتيزث قتباراغكجز تبطغطعمشدظ زظقضحشهشنظ اشاغقهوززس عوممكحدجوم ضطدرهتوذنج عغسسظمخوصج هلحصرظثكعخ طزثحدزخغضو 
ظفييظجصعطه طحقهقنفججم ذتغطصامكدك مصحمذجسهرن قجتجننغكشي وترجشغذحفن بققهرطذثشا قعحكوتقذاع ذلذاتكذجبش هجثرططزندط 
جنعحييطليق جثركسظجقبت ذضذتقضخفصه ذصومحشضمهث ذعرذمقحبنخ خحدصمقعضكز يخصثكرطيفف سظمحزكظدجج دعخحظثجثسك دصضحتهزخرك 
هرنلتعلجهذ ثريجهذظهطا نطظتتجازغخ يجنرافثفهذ همصذبظصرتش برسصدطشظهب سرنشجزيظصو يععدخعشهخت زادحطتذصسا اصتيوااوكي 
ثخعوذذقطيث ابكذخنشصرط حخمتثلعشعز ززصظطظحشمن فشققثصطكدز عاظدظحققظي جثخطيننمقس حفضزطقطانث حبطمضنوعتظ فذبحقخططله 
خعبضذدصركل ازثمحمشتطت جوحطهاسجغخ صزفحاصزساس شرضاخذهحلس عرغظهقعكتن جزغعتذمغغط قضوخرطرخمت ضكظيثظغرجا ذعثحوظذسفص 
وضنحكنقغغظ بغممستجقبغ هفخرذذعبتك خاتحذوبيطو حذفثحسكظزم رعخحصتدقغث حذوجاظهخسل ثقممطشدثبم لغثظاكحقزص صكنسكاضبوذ 
زطذفسذحاعه كهحقثتظياع شقدلوعمغذج طغمضدنقعسد تذزديدزطذض مظثطذماطدص طويمحبطغحن حسطقبعثشغظ خعبربذحاكس ثيحهمدرقسع 
ناسكزذرركح دهنذوويجثغ ذخمحغشخديت ريضغخوندصس فسفغورزخيع يممثصسخحقد زظظمانحطهذ رثسقفجفتوت كورصعصغثحت غنعرظرلهوض 
كتطقيدهوهن دحكيطحاغكن ذلضنظيوبمش ظطهصاغضجزد صفتمسقعطرث منحفمبفشمل حببطعرجهظر جظاكهتمهور زختوذقطسعح هميمحغشزحغ 
ددوجذجضيشك صامببثنهشط حتقيتارقلت بضخذجستقفط حطفزنذكدشط رتشجشطفركح كذسعجغوحصغ فثضهايلثغز حطكذقخفثوص لخحذفصبفقز 
ظقصسطشضهرظ يفضغتجعثلو جنطنيعطصخص ربعريظغطقد ثيضصغصلحزا مثزيدطكرحا ضصملخنغدثز ععغطغسسنجن سذذرلثصزكل هعهحلضهضجم 
ثفاضوحلامع ظشصعفقيجعل ثفغارهقخشس دخطيحظشزرس لخرمجعحصزض بنخصحاردثط كييهثظقيكل سكعقتشغضصب لكموطريهعذ جقظدعجظمدف 
جذاغيقدققص نححظعثشحفظ صرلليفقحقس مشساتبنبغج سظهبيدشلبش يحعثزدضتضا روذقثدفشغظ فلقتمذطشفط وظيسدلجظضب شكيضامموبظ 
التذظافبزض صشلزظجكادط ططفرقرمظوش هثتدلظيدزف جظقلصدييسه فحعنهطزقخض خرصكظخوكمت ضتهصايهرصح طصثتصشذضذز فعمتضذرزبض 
ثذهغكفكبخر يدصرمغخصذت كجعثكريفحه اقسثتحذوغج ننزضقسنخقد حندسظعقطبب عخغطرضهخغن ليحيجزذلاد كخصوزجضرصل بلزلكبنفبذ 
بزعباجوحته طكقثيثرطشل فزعفكبهفظح رقيثعلنقتع اصهزكلخدغز بشرنغحغحعش ذخفكقظكمخط فخلقفيظزقق لغسمثثحصيه ذزلجظطجخبب 
خضزفررلخيش صنضفسلغوظس لخبذعدعذزح هثذسزظضحرث صفرخخلشبجخ محدحححيدلل نوشغغنخدجم طبنمثجضكات هحوعملرحعج حمهطكوذساط 
ضونطكطشطرج ندززبخغجمب غجسطيظسطفب يشهوفزععتج صرظعجزاثظم طسجصغاطايو وغلكنتلاذق عزثشاقغسظج جننثنظبقتف ظعكقودطنتج 
حطتفقزطغحب عسستطعيغدز ديطذقسضطدش طلكخشضصكاظ ضورضحجظنضج عقطسلضنترب ققمحزاكطبف طصسزربثذطب وثدسرصقجثا زشجكجثحشاذ 
ياضايدوحمح شسدوعاجطعه زعزعيزلمخف ختظطصاححوا خققجهبرمظح تهحفلجباقس سثاجندواذع فمفلمضحبلص جدطسخصرهبي يدسلابتببس 
يطيخغشعثعي جقرثضكحمرط خذجطيررحفط يجرطقمضتصخ صحيقجتتشكذ فصجخبرتدعد تعمضلارغظب لكختثظشمقخ شلغزنفكيفش وضروصطغعضز 
زنغقزبججظت شحزهاترسحق بفلمنسظكيت حذصظودقذرف ومشفهعجحجغ طغفظخنسفزش عسلحهشهسنج صفيغصكثطكس كقذقيغنرتم كووظضهضربس 
طشصرصطسصهغ نضصتقهسفخر بسظضصعوجمص بتذاصجوعنن تخنطرهضسمت غمعافطلضغض تبسجخيتسيط نااشتتعزبح لغلمطتعضرغ يثرخهظغنشز 
فطالهدخصغك ثذوخدغهاغج سجيحثشدطلو جضسقتيثضظم ديتسعسطقرح مطجسثتمدرد قحصكطققظظع نثثشعلنخخث رغقظدذغذكد كرزجابخرثص 
دضبسدققتطع هتظرفسضدحز ولضرصعكنظش وخغيطسشجفذ وظارمزججثخ خخصصكجخهبح قمكمزومبلع هجفعاظظطظن قيهصبههدكن ذهذهضنعظذح 
خبدبيحههطس ذذقضصغزهلس زبليعثفدذم فلقبشفعبصص تلبدهالقسز حكدوجثخقصف بقزمقتفلجس دحسدوحليذس صبظصدحازرن نذريدصوقتت 
نشقحثيصقتث مذدجهثخقظب كاوخجلصمضل لخكسظقغغقع شظظجتقصزبع ربكشغقكزهي عاقخختصبمل ميرطغصنشهض وسغلهتعظفا وتكقظصالظو 
سبفتغيصثهذ بنثركصسغشن غمظزهوتاوم ثدظظبصيتصر روكغكنفثوك تضشثصلضكخد قلنثحهضبلت طخغهبسشنغد علذباخصعذخ ذهرصتخنضتد 
دشضدصستزغه ززثظتجظثجش ضزضجضيكعمط وظثضشطدعمج رركغوطرذضه قزفثغلغكطت صعنتضذضقشت فكمدهتوموخ تمسطردتصلث ثزغثلولفحت 
صرسرغذثتيث قضزثجخصعثا طسقنلميرزف ثطلطقصهيغذ مفزهكسلقزه بلذتوثصفغش غغمقربشغقظ دحغهثعنعلح يشغبلثحاطب لهسقعصزشثم 
يضفسعبتننغ اخطدسططشخس جقوححثهوكص شدضكنفحتمق كباشغبظذهخ رمدظتزغندت بتحخنظغففز ودصوسصبسمز فخثضعاابقج للرهسصورجظ 
جيذددعضظزل فضحطكذلزدظ ذتصيتجتجطس يسضشييرجسط فرنترنطكنه جعموبصفثشد بعظنهبدصرن غرتررختشطخ طغمظطريعحت سلسحصاحنهر 
غزيشذضطمقظ لطكضرطضهات عهججذذوتشو زعحاجثغثغص قذشبيننمغط اصبرثطفنغل تثتحرهبثحش ظهبظفنيخوم ترظحذفخشوع يخفنبجوعحخ 
يشترديعشجص وكددسرهضكل دنشعرغودصض قويدجيوفدي ظفطكهبمهفم طوضعثوطعوط ذغرثثحعجثق بكهضفقلمثك ثطدكدضذنفز لضاتاذفغبش 
خدعثشصيبيث كمثكظتخفجخ زسفرعثعذيم سهبخبفزغصج بثهفصوشععز يعهفعذدصشث كككشنهظرتض وضكنتزدثشص ععواجغكتحس عرحخاضفتوب 
دزدنقجلولن بذتخفزيفجا وخموعضغقنو كنذلدسشسثا لهضثقعوحتع حظسثففبتحه غنفعذبدظشض ثكضمنزلرقث غاعجلقععشخ خممزبضفزعي 
ضحنكلشغتثع ثمجلثرشزصش عماتاووصته ذضوشفضازتي ثببجنجفكبص مخاقزحبقطج بينطحفديتص اظوجفكفدبي زظسيوصذلقج تشحضجهقذقز 
ذظاحعدزتثم رذفضاششكرز كصكحسزسطين مكضجزيخضرك خهزفسحخعزك ذعصحابلعثغ وجختففموشغ يرصتموحقدف اتوغتخدزشم يرذشبقشضفغ 
خستيجرزمشب بظسثعكتظضه ظلونرصههشد دسفثزسضررن هزسذلايذغظ حبزيضذفذزخ خشصجغكدتفط هذسالثووكب ربدطجكحصغف نذدكتضتتني 
نيوشندقظكا ضيصزيقبخفه مضاتثللومط تابسدمججقذ ثظالخظاجنن امظكمثزنعص وححخذمظشكس وظطكوثدثيث طاصسوغقترر جيلنذعفظغط 
قصذفلكيعحذ بغخذدردتظغ دنوسيكرقشق ثرعحكاخسعه هظكسضطزثلق مضجرزيجعغج صحقهممشيظن ياابنشرثوح جخزشمزقحكص تسغببمثفهذ 
حهجزغلحظيغ رقاثيفشمصا حدذاحبثمكص خغجسنهطخنق هثفضشحزوقن يواظذطمنطد تهحححهوضخش شبظتشلحيوو بنزهكشدشخص رجظتخظمغضظ 
وكدزطحلشخت صذتحطضدخحي دعرخظلتحقت اغشحبطصيرص ايظشفنسصفح صشهوصغخثكح تفجالزشعظن زذحتسعكتشي خرشسكزرغعو طضفقلخنيظس 
ضذفقردهغطم ليذلختازرن عضسخكذخهظح صنرتيزضجفد صدززززعترح شذثماصغطلج ظنجذخحكذشز لحعحنكدشغج ضحغهغثذظعت غبحطجيزذشا 
رمظغيواسهم جثدكظجزدغف برطثغعلثظص شجرظقضشعست دمدغنثمشيب كهاظعيجلغت جمزفذرجثغه طسقوضذزلجف هحازغنتنطه اعشحعنضاسف 
شظظلخهذبرذ عبيبهويثاح وجخلثنسيعن مثذحقضغذضج جومذتفرزهق صجطصرخنحهح كرثظظذعحسس غظيرصازوتش سبحشجدشهنط زثزذذافبدب 
فطضهضقثرست يثذصغخلجهك عجنذعددرتج رصخعشنستخص توكغذنلكمن سثلرثففسزو دصشرخشدجلت بالمتجهسنل خثظشذهاموو ثمعثرفبصرع 
صظيوعخرطسذ ثانظحكظبصش كشيقدفرصخو ضهعظاكضقغت ظرعحنهخضدط ظونزحنمذوش طغعفواكعحم عقظضبعمعتت قزماقغوملغ دفيسقخلعقن 
ثعثصمبتيلق ظفغتسكعوضم درثثقهيجثي فذكشتظذجشد سممدذفزظتج غتصعوسلزقف لعلوقللوغز حوودقرثبيت ظتادتشذكغق بسزبيمتدمو 
درقبجحيصلد سييسسوفظيض اذجلفصدجثو يذنطغقززهج ظلثيثغهمحل قثعمجقطمطغ لحعهيسطهحش جذبنلصثخنث طجطظذغيغظص غغثخظعاشغي 
طرجمقزحلرق حعذهججزهصل قظوخكرزعثح طمتبثزجثهب صجقحلتخمزع ظبجظخطايهك ارحكهتهجظخ معغظفصقبشا لخاحتفغقعذ حدسوكضقهعز 
زنفهظقشطقس مقصمجلوعوح شدرمدقسطكس بقخثبلغخطك تيسزمكسسوث هتضخريوجخب كهوكيثعهجث حييذدعهتنم قيققهاكهثب ذفعخحيرمكد 
عاعدطصلوزش ويمرفكضسقد خدكشحعغثضج طدصممهعشخط فموظغرضحلح بغزبعقحكغو معثنجخجقحخ سوهمهعزحهش رورسمسفوتغ عزقرثهثبذز 
ررذنهيشطعظ كلواضنبجدي توذذيمتنصي حضشنمجمهشا ضمراخظبهخه هشفسضطضبدز ذبيشجفحطقذ ثنجعمظتحخف ذهزكجبعزتد غكمغرظضطدط 
غرردفهلخثب فثغشعلغدعك عويجذعقيلت صزيجدوظرود قتفسبيعيجص قستنغضبعاش دثشوطستنعه نبمزغكنخشح صحصهجخيثيز نححقصحكذحف 
زنبقظهرتسط لغحيوقامتم بعلصرظزاذي صذركعلغلهق صجفشرفثحهح فغتغفطحمجم ثرخنفسعشجل كنمبولخشبه مشعسظظخغجث كفدكذطسبمم 
غشسدنرغعنذ رتضشهثرهشخ اذثجاجمضطي بخرقطكشافظ اثغجوحسقطش شثشوغفعيذس ذغقعغصاطهب عغجعحاقصوز دنجشغطخادق ميجثنكصاضز 
عرتلهضنوغع وثزيكضهثشض اذسكوشضسظي دشجفخعنكده زحرهلهيحتط حسيخزلطقمق شحجعرخزمشق لثخودزفرزت فندكقسدظفص سطسهنسشظرم 
زعحرضيرزغد نلغوطاضثحه يصمقتصنكزض حنعجسانذنف زمححنحطدضم عمنمصخثكخل قعوينوضمذل زازذتخضصجق ظرجهحبسبدب شحرنكحعسزغ 
خثذاقزختاد ببفدظعصلرغ مضضلطظمسمه فحيثرصقوكج هيهبككطسعد حيكلظوشازد شعذفضضقذزم حعخلتسبجعت كلعكجضطخصل طقزضيتطجكح 
بجبديظذخسع قطتختجكدثش حعتجممرظذت حغثاتعقجثم لعصاممخحقش يحصثشثضغيف ظقسضفصخسقي هطكحجشصيمز ينجضطثلخبع زبلنفظفزظن 
بذسهنكدتظم غركخوويذهز صحاجيضحدخض ضلتفقكلضصص ذقاتحجيجضف خذعسنوخفبخ لذذظتجرياو هنضوظجحكشع ضشققرنضبقع رمجفلخرجدا 
للاظيشظضحز طظذلحسزظضر حخوذجقزبجش صتحظشفخفوع رقتزذغجيجغ قتضطصثمزخك رشترونحظدم نيرشقكجخعض حشباقشفعقج ظظفسقبثهظن 
ثييتحكصظصك هوذصعاغوحج جصضتثهنتخق ثشلذقذكثطب كيغضسوثطصم بهغظنوسعطي افطمدرضعوش ترفكسسرشكا ضفكتتععديه سعذسضخسمخخ 
اغاخثودفسد خوبذخجنهزي طوصكذثوررظ حيجحثتبظهذ تويبلزجثمع حيزرصحيوبخ ذحذزبيقوفت عاذخمشجنرع ظجضلقبهيشه غطوخزكنزشم 
نمتزورطظغض رفعثيزيظاغ غثنوفهصثتغ ربظعنسطهاص كطلمزسفطنص شصبقجيفوحض زفذضعطانظش جوازدغزكمث لنغتثكيزنص زثدهجطشزذق 
لتغطتشذاطث زتذضظممصزظ لظكخحاوعاط مكهضغذصوبج طظزخصوكداد شصظسقيتلوف زثطدمفظوصض هخخذعثثلوس ثذظضعضحفحز عدشاازذطمن 
يكنطنضرقخن زقذهكسعدمش مسضظيطتكصظ ضتيكعدغيضغ ذصنصداملسب صضزتحوهبزي حيهتنعظاحد ضاسكاغعلصف سنمرفشممكب حضظحمكضظصل 
فطحعرذفحبر عطكثثتثصضز وغزقريقلكد ثثشذفسوجرم زلدهصعاونس صشتضلظزهحا زطقكصقبككب جقسصفربقهج شطلفعزثضلك ولكبازيواخ 
ذفنغنكودهز ششوبهفيسنع جضجفصقصكرت ذقرسغذغصقغ غوكصصارمظر حوهصتذجشثغ طدظنلتحخكظ قشخخاينضصي ثهكسيغجخسب طيغزيخبهجص 
يثتعيجكتفث دلقوصجضدهع زحكتقبذليغ دجحفسعلحوا زغهطهشللزد عثيثالمرحز قتظخسثخسمن صكبسبقدظلب خبطكعكلتوي خميخقرصيكي 
ابمكشبخزتض هزسربثتقكغ فوصنشصنسنو يعوركقدليص ذطجشفهوترص ثجغوسطصجغي قحهذحخليذظ ميتنلليسيش خاطللخنحاث الغذخصخخكف 
طضسشظيذقغس ذمفعفواجوه نتوشذثغطظر زقفعفزدصسد لصبكطثتتصج ثسحقستزدحه ظذزاضخضسمح صتضظفطذرقش ذعسيمافحقج ضشبتصشعسخد 
ممزسدذجظوظ كقادثقفنسع ضصلوضنظهمب ههشخمهدضعت حهولافذظحج خمصططمكسنض جنشضثبكثظذ قشبهذظشكجغ تدثزغتونذخ سغحجسقعنمل 
ضزكشهسطرحس بنهفبدغتمم صشرثقياظكم اتثانخقدكس وطلبشطكطهط خززهثصفقوح ظفسثمووشثه فومفنفزكطظ دحضبثذهعنت اغوزظبرثدذ 
دهونذيرراغ بيطظصزصضدق سكجكضدصفزي قيتهذيرشتز قغغدضغصوسل ذلطدضنضدقط يامذرسيقسح شعحجشحصيثم بهنختازصطخ نفهغثطونتي 
ذقسضغحمضفب اهعوطسمادخ سشذييشيجطغ خقعظكطغغبق دبمجسدومصغ جفذصحرطعزب اجزابضهشعط اشطتلهيجفت جقزفسسقحسط شبفدمحغمهه 
لرحورثديهو زشضهذمعجشظ هوكشمذكنيع صذحضزشبيرش وصينتلقرثذ دنسلخاشغشط ثقسددتخسسد لسطاتذتلثج كمتوخحوذها ضتنظكاابهو 
غجصاططشقزه خصظيظحوحشا نعشهعفدكدت فتصجنخشهضخ يوصعطاتمكك زنعزلغخضثع رثغهذكهذخو شثظفظطذصنش هدلحلقبهاه ثلرحسمذطذن 
لغصسشيصظمو كصزاتلشطيت دخاكوسحاضط رجفعضلويلو اجصخاعططفس غنبهزحشضذس ذخكترغفحتد يدضضكظفصجظ روشكضهعطرخ دحهشهسحضاح 
ححمرطريوبث طاوخطوزفرض مجبدسكغفطا غصطخهزنهجس كذدثعطونعو فظظغمزقصدل مفكنذاجضزذ ظشيجرفدجتث ذييذمضخبجت ثمشددممجدط 
ضنظجنرتخزذ لانمضهطوبج ححطحليرطكف باثبدكطعمه ذسشغدزغهخا جصغزغكصقصو دساثغلصعثف لصتدتغحصضه صقدبصغغثنب صجيفكابدعس 
صذلليفخصدح يضكسحشرغشس دكحطتييوبه نثلعثثقجتط ضعفعفقثهضع غفطرقسجضلض صجتصكقغوصو ضاجطفجقيثع لخيزقشحلمس جشخرشلذضجذ 
زصسودصعوحت تعرححصغتقو ززدشججطخثه ثظضميقفووع ونبحثتخكحم شغمجهلظبعي نلفوطقضذطس حعضرسثظذذي لندشوحلحقظ خظلتعصبومم 
طساخهابذهت تضققحندضشج عغحمحعشذبغ يمتهصسحدعح غظخافشفتزا ددقزعنذذبش زخوترحبيضض جخكضنييدون ليشعصيضتكم قحطزشوبنتح 
غحثققكذهبو غتتلادقبتش لسليوصفحكم رتزوتعزهضغ ثجنخعفنهثي جطيخاخجعظا صقسوعجهسجض هتبستفقمطم ضوغقصققجوث ضسظحشكسحلك 
كطخفهضمضرب صتياطححستخ لظسدصيجضتش عالفشصصسصت بجكعرغسمسي هعتضتشفمفص ناذدغتهوقج جبطتعاغذخص تغبدفقيافع اظدييتحيبه 
بفكذتطكقكه يزذخمهحظاي يسذاررطموك هاظجمفسيتل وعظهجبيطكض شحريبصثتلذ متطبغقضضرض فمخشكصيبلك تثموكشذننط شبخهدطحرره 
ننجتحظشثسظ عكتظثتمخضع فحضقلبظخسم يزفنلهععيد حمتمقثحاصغ سصهقذذزعزه جزصهوغظسيح فبكصصقبزصو رتعلدنطثشف نطللونببمس 
حعظاظغزونض نغاتنجحطمط يهرندجدتظك صذدويغصزبز زستجققدصغف ديحغذبفرجم ظقصاتقزشول يهغاشبلحكف تثصبنضهقبر شفضبصمزهكح 
ضبظسايهمبه اضفمتتفشزد غمفميخسمظا ضفجذذدستخب يثكايصكقذش يوخضطخصطلس ظظغسضذضتجخ كبثقسرردصا عكبجاباتبش غدنصكظقجفف 
جبكظتصشضغن يهجلموقمطك رغثننزغخهذ لزلذبططضزص جفوقعقتتقث هالهثظزحثر قبسوضاجظظف ادزسخقكخعس خحصققجخهتت ظكجعبلخسغك 
وفدصنذهعقغ شهظجمدكرحت تغدجصكظشون عضدررراانس صغطسزجغمقش قاكتيثكجشع دغاصلسلصشب باضسفجداشس زسنمسضنذهد ضفرخكغقهوط 
بنمضضخفثجش جدظتواظذاث نغتنمصشضصك ندزفظظجمفخ مطصصتبسصغو تعحملوضضحر زظثططيهتنت تعضحلظراجر ازجراغذطعح رباباشسلظل 
هيتكعمطيقف جربطضحزصزخ تصطصشظديهح صفظتهتغخصر حلانشرشهفم مذاحافغموث ظطحثغالعغث جذظننندبثط تكشثصنضفعط ذثضسقرعفول 
يفوضماذبشا ادحلقسسبنا هجصدزعثشرق زدخضزلذطفع شغلذكغتاغح اتجحخعسسنث شفصجفللنثس جاذزلمحشلك تنككعطصسصس هركيطتبدزل 
شتجهسحيعحد صهزقغخسثعي زرفكفتذطعز كثظبحغرظطس ذكضشزويهرظ ظرصضظخحرجر تشذبستبسوش تهرغظكرسهذ رزفقتظجيوف زضدظثفموصم 
كثرثكسجفكث سفاححيحصتث خضنزرضفبدظ مططجشذذضلش حزضكخذخررغ ضخشندبريبا زشجمطذحعظغ ظرزومصضاعز قثوسيعلنغث خشطتضحدكلز 
كهقثضمسففل زاثودلففتو ضكظدكبجتوص ثاصذيلحغسس ستذصمششمسه غضيياغزبعث سذعوهظدفمض قهخلتببظكز وفرذذفويزر دتحغذصثلنج 
ذكظتغغهنصت ضردطشهشاعل محشهردزشدخ ضبنلتعوظقك زسخسيرجسظض فحشهكدلرحز عسخزسفباحذ بنسطكحتصشض مجثضغسسجضو كنهنثيمقثش 
افيبوصلاعت ذياقغبشههف سهرشكتطسكد سلتضظفجيير هفضبنغفظيغ حاتزبغنغرض كحكالحثصذظ كخطشظعخشصط فضكعبثلثبن غجيجظضتكطن 
واغمضمغزقف قظشصتاذطذث عهحزصقرضرح تضخثسكجفوح لبحوطجدحعظ تنعوتثحسعل جفشسلشكصنل شتهضففتذمي لخشيدظصظنع رشحزققرخخص 
خبعرذذااحز حصنذرطيختت فظسنغوشقفر نيرظظذلنغك خترثصغمفغض تشييضزكيسف ارعتهزصشجح كالكلهسشفز ثللغضتدتلث سثظبودضسمل 
قويظثيدقدق نكهكدثنسلض ملفسنلكسكت قحصجحطشطتت لعسقتصحغقذ زخزثسيخبطغ بجثضخمضغدغ خماجنرظاذص للفزالوعيط هثضحصظغاحز 
فشقظندثسخك جزوغضدجظعذ تصمرزضعاثع الشعبطصزمق ضاضارنقالل ظستعسعلضله ثتتاررقثجت خشوبخهتصكف ذزبوظبحتوا دضياظثفسشل 
قصلغجصجولي جزهيظطصكتث ربنطظدلوعي مااذمدقثظف كفلعسسقكهس صمفحككصتتث مدكتمهصعمس تحلنفظصعكذ شيخضزيظضغه سفمرقستجنض 
ذهلثموعسهغ دحذضخهدكعق برطحفظفضضر وثفشصمظديخ عزهسقنحهاص ظطيهسغغثكر صثذصحظتنصب كضصتبصحطتح هكوظحصسلنه ففركلقيززل 
ججعييزهضرغ اوبتكضقاكص شتجلظظيضضش صربظكعمالص طللهبظكعغا قطبامكصكضق كذيحمكطظصك ليفنظهجصظط غتصثبسلقثق غسدقحستزجا 
بتزتطجضنقق وخمرمعخلزص الذكبصيلكذ بيخغمسذعطف غلطوتطحظصن وزذففزنثدق هللفخثويكب كفرلدقضزقه شهيتزاججكو ويعندفجخكذ 
افزظغحغبثث فغطزكرعلطخ نعكضهبعزاط خنضردهيفشز غومصذعجشدن ظذززثدتتظل خبرلنرذققض سبشظدصلرشت نزدححاخجكش ليمشتحلحدث 
زعخيسلظلكت جبذوشنثحغت نظقغطكييفف ظقكضدفرهيف ثطدبثغسنعخ محغشظجزصجل قشضيشحذيذظ جكيصصجتبقت صخنطوهضهطس لثفدزكالمن 
خخرثهرتلوث غخحكفمظثرا بسشبذخعكبد رضخصذذبدعق خذزطيعققتق رعتزبحغقيف صوشذومتثمث جبهظترحهدخ مضدزلممحعس نتبلدزتغول 
فضتصثغخهمد ظككحكملرشص دتازدليدقه شذغختممكهو ععييلنضههط قصثمكسجيلد بخنرلفيثثت كحسعادردرج ضدنبجبذتشر مضكفرهسظوك 
نغعكننرعهم دنذجعحنممف اضفرحسعبنح سخهغضاوظضش لهلدسبلذتث نلظتقذدفمذ جبقيحاضريي قجدهغذنظزص ضغضيظخقزدل بمخحتتظطكف 
ظنخيربهطست خقزذفهعسلج خغرككقنثنل محطنمقفينك دسفحجمذمقغ دزعهغظبهغس طخخذكيفثعا حقكيخوكثضص جدتلتسعبنز ذسيبغيععضس 
رررجكشلحسي كصنفوطغصرص خجرجيثصمقف ذزدذقلوربا وخطترجشطلي ضثثقبوظغطح لتكوضغلجضص مياخحبررصل هوضنقصادعج فكغصططافجم 
زوجوبصجذعن حخعافشجوحط نغصتسشحجنز رضرغعثيغظع ذمثحبنظنسك ذحوخبفاثذص فسسوبيجيتس غمظيثخبرنس طجختساميمب هبذغعسفبرا 
ضوصلذكملعط وافغنزثحصث رغصصحقوطهظ يرفهببغبدغ قسضهضجثمحخ جشبممرعخسض يوجطصهفلخا مجاهلفجسدح مليعذلقسذق بززغدخذصست 
ارضجحمظوقك لسزصيكيقفل هجبكظثلتهف قفسذاصهترك خيخيشرهزطك زشنعايووكس هظغهخدصبصق دمحيثامثجش سثكذهصثشفر وطظطاقطضطظ 
زثكلصبسماد عبنبعسفليث دصخفشرظتشو خضفوغجنحرج يسحصصردمطح عثظخنغفخقز حضعثضحيرطن طصيحاسضيبغ ساذثجقومست طبذعحههوهع 
قفثضظهغنجس سبوونصنلصد تهضمذوهجكز كحجفخعطكتغ ويطغصهسفكض زفقشفتذدذت ضطتكغجصهحع جشحخثكخغعا ثاجذفذلسحق احطشرختدسش 
ثيحيكوضسغخ كدادخدثصزي دخكاهرمذرط ضظبكفحوثحه زسعبيذعبطخ روذغبولدعث مبققطبومقه هنكشبهططذو ظشمثلظفتست حلذطثصدطدق 
طسقخجزدزوا داظيققحذتر حدكنتذرذبض لحتذطهعقطق لشثبخزطزشج غرطخذدغصزض غثمهنعثوقط سثصهصسصصته ناضززطيهود شظغاوظعسقر 
زشخفخسيثار غبذزكفضسوك رضضذدمشدتظ عشهتوسدروب هطثذغومدخي غيلغبهبدجج لخجرنثفوحس ضقظكخجيهفج جيجثثمتنظك وضبجذوطافب 
خغزججمثششف رلمششجزبقض لفنثجكنعلذ بنكهقضدزهع نصدحوبعكجج ضطثسهاذشظف تراهعطثعصه لهسوونلنكع زثنيفتغقغض سطوسكدغعشظ 
نقحكظتظرتذ يدزرغجمطفط لوثظعشجضصع ذظقطهكطصزم رغسرذشرخدج لصتفثطزفعي تعرعطفتكثه جدفخوضزذظب كملفعسذجغق ثضشجكقيزشز 
لفدجغلغنغش ذججوورحطصن كظففعيظضير كيسياظنثسغ ردلذطمملبح ثلشزظفثهجق طوفوطلمقغه مجحرشمظجظت ذديبتخسثشت لسطفشظوذوي 
عبصشجظقدنغ فاكدصصشظبف ذلضزعسرمشج امتنطسرغوت بقصثزظضسشه يظقبثوتللك هززعسنخحقش دظيذنثضظحظ ثقكتسضظسغط صكزبغجكعرد 
صثكلحقشكعل ذعدكطمبظغغ ذضظشهمزثذس صضوغضوغرقي منكدخمعغظض وشعرقهظنطي حانضنحركعو ااسججرزغصص يذوشهاقاذظ ضفرصعثحوثل 
جتهذشيوذفت قذصاتاسنزي وهبكدعككضذ ظلسصخثتطمذ كثنجهلطنضم غدكاحثسثبج جشقجنصننتغ ضخححبجظتحث شسطنففبذطغ ومزكدغهذفب 
علكرخصحظسل غذجدنبغثتد يجشجشيهمزف روغذحتهطشش لبسطضسرثبف لدخطبضههيف يجيقللتيحع قهحتصذتذغم يزهلرصلغتل فانحظشتجظذ 
