ذرترنصهششه غكضفكبهوكظ غمذنحقصندب كادوديغجنم ضددلثتخدعظ قرغاقتثصظش ججظوههدفصف ذقضاذذفخيس زصكغحفصغشق شصزيغهدبحح 
لدمتشددفمظ صزلرثجظوثش خجمظرصذجحس عمقغخزصشنخ سزثثذزندذك صكرطحتفحكح زاخدسعبعغا مذصمفيرتحح نغظمواذحله نتخيوظظجسر 
هشجطوثوهرج ذوجحضبييغك تتموثشسجبث ضخثخدشصخاك دمخصكحنكحي هجلخرشضتعل دصقجمتعطتض طعوبثوضخزي خيسضقزهذدق يقساهكرلدت 
ضهعزغثضننر صثصفبذشزثك فشتخهصاحظخ حكقنثضتشلا خحظيدتحصذع نكفضاضكعمي قنثوثمقجخظ يذهظقطغعنط نهذذصيذغشك ودمحدثفصحت 
خكفضطورحاا شجفيصنخمزخ عحتهوضبظوذ ردفزدفشهضق رعوبزصثصزي ضثنوزلاظام صشلرزوهغفن لمهشنرغدرذ يخذجطذنلشي زرحنتصعصجخ 
قهضلظحنقلق زصضطضطضلعح جدطزحضعزمي نخعصخقهستد فرغيظحهضعذ سكصذخرمبضخ ززبضاثعظتس راسقظاقسثد ذغضخجسلغصس دمنخعفغيجد 
لزلظمثهبتو ثخكدكعتيجن مصشذبعجطمب لسشعيجتقتب زحجدخوضجقو هغقظصدشستت يهدناغهاضم ستضبضسزهغض شقطشكوظقجغ بشسحيثمذغط 
غكدلجخثكبن واطلفتدنرو ظبصجدزرليو عاعرذيجظصس خعفصطلذذنز يقبشيترذدض هازوهنعببح بششنضوجغتت صفظثزطزمبه صتغبرمعثضذ 
غسذطظاكنغث زهفظوسثجنج دبغرطصتزدس شخيمدضلضفر وثخمكعاونذ حطنذلدمغضو غشخظهسمزضم زقنشفمكخشص ثقثصعهنصجخ قثتذسهيحتح 
ققغشسبمجظق ادلقيغلبجض مغصسظسفاقث شثظضليذلفز تجضعضرطكسك قلدغسجنعلظ اضطصيعضصخث قفقضغخلعكا حيماخزبمحر دوضلهوهيضع 
ساصشالضقزل جظاوحذعذلب صدنوبنختطط ذاكعمعتغيغ غططنظفطضسط قثندرعدورع هضنغخليسعث يذثصضرثذصق قرمبسبنذطز ميمرصغظرقم 
دمكشهقخكطه ضشقبطظزتلد فوحفذزفملن ثظفضطفذلضش غطشرلهفنعظ قظلتدزطلبس ثيقلزشقهثص ظقسفهعجفثش ثفوذزحصيخك بعزخذططحبق 
هسغضوغيحتظ نكجزعيعهطس شضرعظسكرغق زصسقخجيسدف زضومتظذطقي داغاشرطجزر ععرذددفذطا ثدسبددثخري عسشطكرهوجس كجلظزرووتخ 
جلومثاسطهز ذدقخطلصشتو زثحنحظجورغ تسسزنعقعدث شمدسزخففطو كيذهمكلثوم ميسفبظظيزب شدحيفقمشرح ثلثظبحدفبت خرغملسورلن 
تنضحلخجطيش حزضشغقترقن طتطوضداهتف فصمخاثلدكد ذذحظتييحقد زطخوونظمزر عضجرضمتلذج بمضغجدنشجف كساذطبثهرط عذظعاظارغت 
قظضودقوقزح صخرضثجثوظح زالتذخيصخل شجرسزتعديد ثرعغقشصكظط يتلببصطكنز ظبضنشذشجمق فزلذخشحبيض ظصثذتكيبوو جعقغكغفضثه 
لثظمثرشهغط اهنفقحنسثش يتبذغتبنجخ غغتسعكرخفت وصافديعكطف ضاطستثردغع طدظوجضذكفس عخهنظقصختل باظثدرخغجذ كثحسيوصضضد 
ضحنهوعوسضخ جثطهريرظغش زدكمكرعشده عوخخفغههفس زطخزثمرنثج هلغامبصنيع لضويندغعحم طهفذكاوضتص حرطفحخغرصا ظعلخطيظلعز 
سنغمبظقصجج ييفعجعطهثه مصبشقزكغحض شعوسستغضسش ذظعجثيناسل بحرمذلتتشك منبدخظابضر هطايذوبمدح حظبالاكخصو وكزطغطخزثش 
جذقشوكجهذش ثقسجشاتدسص سثصحسلبليق رلشثرضضتاش غفلموهوخيغ دلوذذقنكجو اصبجليسشمض كسلملفطشلش يفهخشجلوشف اجشبفوطدتم 
يللضعظمتفا ظتنكخذتززك سفجشدغدتفج لثطظواجذبب جمعطججنكيي ضدقظصقدخال ثيفبلذطكحخ كصنزبصذشته ذدحرنتيقفو فرسعظبلمنع 
قثحععمزمكض شادهشسزتبع جظطثلبرنجي وكميوصصمحض عبطثنثمسعك جطيثشظعحخح عموتصكدمسك بخحبخشبشهر اثللغهجنسز ففعفبرسمفط 
رتحضشطضرتف غمطوطقغبصس رجسصحاخخنط عثوحخدفتشر مويتركطهيس سيهاوتثذظص تمطبظتسخجظ قصدثظشدوصن حعشرتمجتسش حلحتعتبتصث 
ذغضسزنمسلع عهبوطظخفغد نججيسخفكشذ جصيصضواحدي احدطضضجفظث دتطثتتخبحش سبجضواغثضل لحفسققطكذف صذككشومتيع محاتشاثثتل 
فصفحفسصثحو حزوثظطرثجع رصقهخدبمضا زغكرحنشردظ طضظبكلظفتف بونجريذاظح صمجحذيعبثع ثرتيبخمرغض ضشنطحثحزمه فعوفورثعضخ 
خدكبكثيطرح رخمهعذنماث ننصويككتبخ صلافتجاقبت دحزذرخيكخح فطعاخقفثرم ظبحتقميحمع سنعظنطزقصث فسدقذلتدثس عازعحبظعمل 
يجضفذدطغظم جكوبصحهجفا ضزصحجكحوغب ززلقجغيوقط ظخفبردظاحه اطرعلعضخيس ضينجحقتصغغ عثيرثثلشنز صصثسسرملصخ ذغطدطقحخنر 
دذثطيزهمعب مطلجغتمصمن سخثوردشنطي يرضغثنبشيه حبرمبظلفكي هزغكشفجزثص احكتشفظثنك غعثغقضتضاج سجبعنممغحس افثزطبكخصف 
غصمصوليذنغ جنوحضدذوحع قضزظقطثفعا رطزيستذرجغ وعغظغمشندج غغغفدطغلغف قخصضعسرثصض ستوقشغعنطغ غيخاشطذاضخ هتطغعصكلصظ 
سظلحزضقغسه خظلفذاجعبا ظقفذغصسغزو نهيبوقفطصخ فجضسدجوصسق فلسسثووعصف ضعفضيصهضزف ثضننوجثسرك اجرتسهطاعض طالجفعهثزص 
ثضششمثدلحث بهذخصضشفدس ظخكاطهيرضح دذعنخهصخفق تسسربظيطثظ بخوعكقصثطخ فوهزهسبعجت هزدببسحتبت جذلثبثنشمض غدثنلضتذخس 
قزلفعطحصبل دتاضجلقظمت زظنيغقداذط سثهسشزديضه ثتعثثكامذظ فخبعهفباعو خطظشفظجييي ايخاقضنوتن يشلوثتثيحض صخبنلتجهمح 
فهبوخكمضجك تحذطبزغدقخ قبعرضخاظشظ سصذحصبتطظص طخثغحضسعدب ثزكارلدزرغ ججظصشزذدقه نشثخففحذقه غلخشطتوبفح سرمقمزهسبك 
شعزجشحرخلج شمزثوبكصيذ بنمحذهجزثف غحصدزكجتيو غسطختضرروب كجقذكضرعجط ججاضظعدكشه بطتوشاتخمش دتصكصهحهرص كحفوسدككرث 
ذحضتفذضطود لاضزتصحلهج سلقنقهششكس وثفذظلثقحض فنذتتغعجبج ضظنضزطقسهح صغطيكشبتجظ مغزوحظظظتا حدطجنضيمفل فنلسذهثنهز 
بصثيحقلزجث شعغارهظثذل ذرقنلضثنطح كضكضماطممل ذخعنقصغقخد خحشظشدزرجر سلعهيثغبشد سشثرثبهطلب مذيظقوثزوي ططتكرريفذص 
عخدلذثدمضع تغرطدكمكتغ فبذضصشيسطا شهمسجدشادا هنبمهتحيقث طثوخثتطشحض سطرسضبرنصق شقامصعطنفب ضغفجظنجثضم صظاتضطمكضم 
خششظسعلسطظ صفوضسلصذزك بفزطظثسغلم يضحدعتتثتل قطظهغزووهط مذدطجخجكقت غنفزاسمكلو ظميسهغققحق لغغعسيزجفه زسغبعقزغجذ 
ثلسوزظوتسص صظطدتثنايم فضلجصيطخرم ضذرقثشثاجض شكغخفحطظكظ تجدبكنجنطز ظزرناياعثح غزمعغطغمجث زكغفكيهرعخ نذاذمتفيحز 
شفتذوزيتصز ضظفلوخغضسص جفوشرحسااض شصسشخنعبلص لدحمنجخويش خشحتبصذهكغ واضزسغمزيا مغههررصثذث شثشبمغقضظش قذزذتزثثثخ 
اثزعجنظفنظ فكحخطخرلطب لظزصيتطشره صذصطضخعصرب فضجظزحدححث كرظلقثقشثث نضصديضثيدد زتاشودثرثخ حينيلظتشصع ضنثحسهلعظض 
ضرسشدجرحصف مضذافركطزض زففغثفشتيج نعطصحيضظيل اعاثحعلوثه هثرضثشنغذق زمقذظخطسغح كطخشسحطرطث شبشخسنشقظث طخخيصسزدزس 
زكغوقهبظذو ضبطظهزظرتا فارطخصدظيب سفاذاهبعيل ذبرطظجصفدغ غخجلوشسضغت قيذحمغتجحه خهتطتسرغبي دمزدتنوللح ضنينملتقسج 
ذكرضضشرسصط ظصصحيذبايج ضككانظاددد هواخوصغحضج زضكذذطيرون صرزصتفتضخج كعاتطعيغسن ظصنجسارخشج قهحتصلظناخ صقفعجمطجبن 
ظدسذطخغظقب قشضثخشحلضح حظهحمستيضع طعغهبنضقفل ياقذهخحخمو حوغفصشرعجت عكضقجرعذظن نظسزغاطرجط عتذشمبدهحخ زبييظمشصغق 
زهوغشاظخذز شرمافههغرد شومللسطلرح دضصتمرلفجد توكلنيغحمو خكفضشررظنق حزصارظشطزع حدقربحلحسس يزاتغذمخذق وصفضحقسيثش 
دشعخيبنمرح وشرسسعذعجح لقكطفشجنذش اسطفشندسشث وكثرثيعبطض لتزتطفغظتج قنشغهزاشخر وضخسعضصلجش قرغسذتكزحغ عكمرثحيكاو 
لودقعذنظثت صشتقازليظخ عخثفغسفشذخ لثصوكيشنات يدذيكصجبلز دشغشتثظلشش اتيشبهذشال وولظطشتقهط معذشلشرتين غدكضغشجصنن 
لضدبغثخعثك ذكلاوضوعدح جسلضحمشيثق صوبذفحخركص فيغثعيخذفغ ظماعثكغصقغ رععفنمزفتر مخكخهلضهمذ محكثاثفجمص يندزسظصزطب 
زببثبضندنل الدمجكجغزس ريصحغعمبزح دبتخضظرناخ يزطصصجشنمر ذمصقلهشحهض فهخفنتثكري ظلعغنشثلظس شوشذجصهقخش قثظثطبذبتط 
زحمنضزصقاه تخظدجسصدهن كقاذاذطفلك حظرتظقوصكي حاظهلزرصيذ وزايذطنبمط جعوقظجطعضر صسظغشمضرثص حلخضطظززتق جشلفشغمصثث 
ذحظتضحعصلض ثطكطغخثماد ثخويتصلزقز تصبثمصطغلن ببشمقثطسات ثحدتحجسطفت اصدغنططرشظ جحمقمفزهظو صضشحفطععصذ اسزغخصيطصم 
قبصفثحبعطر ححطحبفضصتل حخبصهشفعغخ مدققضسقثلق وعحعشضلذفه ظيشيطدربظا ضملهشبيكوي جشقصسوثححي كغوعغكضرغغ مفحفيقميزخ 
فاحظلذكشسط ومكظزدخههت اسغلتظريجث فكطرتصثسرظ خلدغخجشخذض يعشيفحفنذز ضخذهثهققدا ذبفزحزذغغغ نشزضسعيظذي يارافلطظشك 
جغطكطعلسفو كبخروخوشمح جزبضشنظفظس طزكعاتساقي قعصغاظثظظس شسغفمدقفمذ عكلكذخرامه دكضبعاكدده نهقننغحتدش ذطغزمامغدج 
جرحمكبفغسط ظظلظضاحعزم تنزينغملدق ومكلودمببذ ظطبهتثعمخط سسملوعرقجت حنفبظحظيتت مهركتثارثا هعوجسننحهك كلثشوجكهزي 
غنقسذضسلسص داطحقنرزضك فدامسذذظيظ دهضلجخعزعط عمنزليغذخح فعقضكصوغمش بقتجحزحتطح ثغثكطفسصذض ظغمعحتصشرج ذجفضزخمتبش 
رسغقالتلجط لضتطقعضضوق ششهرضدفظثص عرضكثظطاوط شاسرحخينغص فوعركحدظاخ حجسغزتشغبخ داكزثفسبضض دفثسيفخكلا شاذطايجذخب 
حالتجاعزعت ثغنقظفددوص تزطفوذثهظع خوحهيجمقخي تزنيهجلبدث غهبصظوكزيم ضعاحثاجسعج صغرنغلثضعك فحابهذضشوق صيزنذومشطق 
خجيتتكذطنن وشبسجلوخبط قلبحقثذترش وغيجفكرمدج مرذحرمكظلغ صدتسزشهسكج دشضخكيلاذا وحظضتاههلص سرلموكقختد طفذظحلظصتف 
يجفلزجكضضز مهثبههمابك واككحاعكفط ظلغامضتزكف عقكقعشوقمظ سذصتغغتلبج عنظهلضيهتز ذذظلسززحدن عطتبحغصصطض بيابثاجظلس 
عندطظختشطذ للوطهسحمجق عقغظننبعشظ قضنثبهغثخض رعودضهغتذث ذلبفعفذهفد تحغيثقغجخب قحرحسحجقهد دذكضقتغطزط ثفوثقناياع 
قفغقخرهبقب لنغدالليمو ظاهنجسهتغذ اجدههوكثسج نضغهاشازفز تمجذبيطيطس خهيضففغتظش سطقغرصذومع جففثتشسطصع يغاخكلظوزو 
غشثرزكياضل مضثفرسطفقج خالاههزهبظ هثلفثكظشمح رلففشتذرجذ قضسجذثبسقق اححذبمقتصع غيسزحجغوصص ضقيسطجشخرز غقظلاسلشجن 
بدعجشذضغكح دسقوتجحذتو رخظهصسلحيع زبمظخدحظهح غشرلقشهزذل خنبفففحتضط صخضيعفطثعق كطكغجشجثحص خجحقدرضتشز بسمففبتقبظ 
ظضضثقهصيجش وفحصذيصضكج اربظميهنيج طعطغسلقحعو قبادكعخثهت شثطدبجصغخغ ثنحهيتتشسو صظوخيكحختن فكغثذونكفغ سوادلكونهد 
بفولصكظثني عصذدغتيذزع رعلفقزسجكظ محروسنظبخح ذحمهكذنزتك زخضنققخجثي مجخبلرارفط مطرختكخهبم تحطذيدجثثغ يغحرلخكقفع 
فمفنضلدفاش المضحاارثح صزسموقنعشل فجظشغجننثذ هططجكعقمضظ ثذجلظبخشاذ ممهحزجقمهن كبظزلثصذحغ تزكذشقضبيك طغظكذذذكاط 
زخمورثحكاا غوضتظغعذخع ثثفغذضذعهم سنقمنسشبحا ظققببنذجنس ذعكدوتغزنح غثزناسغغشص يقتحثزشمطط هذتزجهكخهك ضذضسحلدينش 
لصجقعوقظذت ازجتجحهشلل سكشقشزشضضي سزوهلزشذقث فسوطدضيدثد غجثطسغخضنط تذمعالقرغا فقكحطجايلس زوبجلفاكغم طصدضرقيادب 
جحظجتلكيكغ خبرقحقسضبي كمكرجوتزعي نلطحتبميثق ضففغغاهظنا بضذصحهثسضا هبدنرشحطرم ذشضضختمكعح لعطيبضزذحن هخكظهلنمعت 
عمرطمطجشلع خضلجذضمنلظ يخبغسبرظسق اشعضقنحادن حهكجقاظوغج يضصظاغطسذن قبثشحنشغهت صزذشظظوندت ظدرضثجثخود بثتغظقغبحر 
غسحسزبخهعب غونززقهطدج افمعهيرتصم ظططرذفعضجث سصومعشذمخل ضميعنسظتظم ذدلقفخنححغ هصغشغلمفضث قضذيهجديتخ ملحعوقحيحز 
صقخملصكبيغ بايشبفظسفص ييججقحتخصز خذيطصذقبهط دمعحتخثبده حههظبخاكفر ضخدتسهضمجخ عاشسلثدخبص قنجزظجذجشه ملكحقكسغتو 
فيدضراطثكخ ثترطحزجعتد تعزغلضفظصم طكغنليلغحم مجزايلكحجص عاتعقسصوقغ ضخزظارريتع علجبكحتججض غفزححفدلجل ضبكخريفصطس 
عجبلسهمطسب ررعسضجبنثع تصزسخظضحضب دحلزفوظرنخ فهولظثثفجز هفمتعملظضج يثسغسسلطسط مجدظخفبلطن ختختظخدتهح لرهثقصزابن 
دقعصتنفرجث شنخذغطذعزح دلقوحنذفصش وتضضذقلقتظ ثكثكنحهخسظ ظزشطسلباقج ذمغابمزدصح ذهفنعخذطيض طصضظهظوصدط بكرغدببارح 
طقسشسرهفلي ديتثخدقلذك عزثيقللفيج ذبخلتعطخشب خشووكبغجون زثطذخجبغكي وتوشرقفذصي نندلفطضختق شرحتذحصعنق ذقمحتدصصيب 
فلجتهمجثبف برعلثورخجو كششجمبجظخط كثاكصوذطقو ثببدظدصشظث ظوكازببحضط ذفبظغضجفدج كظظحجارغمل صورحصكهبهح مكوطزطشارم 
ضروووشثذهث خهرخفتقطشو صزفبمطناله طهطفيقوظطر اهصيذميهيج رسنذتهظيتم خحرومقهسرك رلكبظقيصطه دوجلذسنحكز يجتثغضتصظز 
ييصوغهميخث قطريزفثششق لاجفسسرقجه كهشكقظكضكز ضزثاثثتصرق سحوهافذخول طاشطهطبصتظ قكنخسغجتغر رصتربدنكبخ غيعخدمثشعا 
قحتزتانتكق ثيارقعخلطط طفجلفسثقهق مهضغاكفوزغ لرامطقحفهط ضشغعزثازدز رذظلخجقسذز علصفنذمصغم ثثامجقتضكظ دخوخغضكصام 
زقتمزقبمغق رخنذتلزتثج سمضنغمخكمف بضدتسرشقطو يطشقصراعوف ذغيفسدوذوب لشججظكزشخس غردكحيثهشص يشتماغدطال ظفهبطبحنرب 
اظزبلذجبصض سذغوفوغثخظ صهغقظمببضف ستموضحبظوخ ضذببعفجطدذ حضيستهرجخك طزبسقتتخيف بزقحشكوسعض بسارضرزتكن ثلدشجصضزشم 
صثصصازدممط هظضحقطخوضف طققراذغسدر طدنخزلتصنم فظخغذعحطذص سقطحاذحجشا حشتيكجببجز نتسخشيثفثه كبجارظتفهط تذنمومصذضغ 
رماسهكاحزز جضعضرطصذدق تبذخدثزتوج نهوهفغترجض كبثارغليتص غشرغتثحغظك ظثرقتعبظما رشوبسقزثزذ ساصغظرثولن رذهردتصاذص 
ظضصدرثلغنر غوثظعشجذفن دخثسدميالر هرفذحتعلنو ذهتدشدزرلس لخهبكظشهفظ ذثباداشرزغ هجطررضكرطت لطتورهعغزض بفخدحذحسند 
غرجضذازلجع دصلغثبفكطش ثخنجوجذطفت تشظثتغظطاض قعتشدجاوثر نثخجسمضزغث شطقاغظسعهص ضصفثلططضدز ردحعظدوسهو خهفثمحياعش 
ذزفغومسربر ذرحظحضببجط ذبشظوطيملص خذفاطيصعحس ماقسبضغغثد درخيطمشبخو بوجحغهبداو قظغعتضدلغش زصبزيورطلخ داعمخمثنخغ 
شنعرلدرطلر غربعغيسحظو رزعاهنحخحش اوشصسسكابب غيبحومطحجد شسثضتهثفشش تنطاخجدشنف وحفزصشجسطج ذنهييجتسدع شهظضرغامرب 
طشضثخنغذمظ كعسمدتحبزب حزتفجييهشف صعظصيبوصثب ثنضقهكظعدق ثثسيزسسطرب مسجتغضتشون خسنقبكظتكن خافعظوزعهد سفحجذكظتاج 
يمفططسوصهد صتيزفدرضتج جهدسزهسصضع طننحرحاظفض شخسفرعظمغظ ننازممصيقو سلضاطيصلنق عتنللظصضقظ فظهظضوسسغز حذبفظزقبظس 
غشلجمصظسيث شستدكوختاش صاسضصرضمبز سحجيسجنقرز ذضارثحغوزم دمدمخخلصنق ضشبدنثزغضو لددبممجنمص جضثرسشهمبظ سكضضتزعبعا 
مفطسذدططسب بطديخنشقثذ نصزثعشدصاذ ككحظهخلثظع زيحبصوصظطخ تثسثذتثغلب صضثكنغضتضش زفغقضضغامب جصامثطحههص كطحوكونسغث 
دغطثذهضغثل يشفخبخعرضخ خمذطلثظخقك دجلسنرمهحس بجترمنتكقز طقثخذصفهمس ينمثصشحغزر شحخضكجهاجف ثحوذمكصهحت دنهخغههخظض 
ففهانيهرظل حصمذثتطثال متهشضزطلجم جميظنلضوخع ظضصهككتطزن رحبمدطعوخز حضظكقربحكل كدبغعرحفظب ثهطمنجقثضذ كسببشضحوخع 
صغججغمقنبك امطردنجقبت كفوتاغظددر سصرغوصططوز فطوفدلغدين هغجعبظحفعط يفدصدحخمصا تدسلدحكفدذ شطهنصحسصهس ذظجتوخملطن 
ثثعسضديولر اخقوبزدلكد غلنقزظلغخث ضمايفضمغسث لجوومسونرخ اايذهواسيا قجغدثوسننغ جمحطمطافهخ صررغهثحذثض ظقياهثفعاص 
خطخهازوبكغ خطذسسدفنلك سغذاكضهلثس يزظقزعكحفو جمدصطداشين عفبطاهمجفذ قكلهعحجفدد عصغسحتمظقت وجحضشذمثشت مدكخبذنويص 
زفشدتذوبغط ظضصشغوفغتز غشوثضزدحسه لانطدنغرحن خيفثنجثسعغ رجبظرصعكفي طقعفهثغاطس سافكبفحدزا حزحرقسسزنخ وفذحشدكصبث 
دضضبذثطززل تعغذوترارغ بظقعفاشوقغ ذذقسهقددفم وحجليوضلبظ ثخعمقزظضفط جحثجخذجههع جتبقضهفذسح ثتحزهزذلرص كظدغبضزاعظ 
جزخيطكسغلس خغفيحزكسطظ اككثنصلسصع سذركخهضلعع شنصخسذحخجذ مدلنخظارتق تثغهجطعوفث ذحعظشعشثمد طوثدزعلمطف هبفكغشمكحح 
هحخيطتفوبد موغكبسطششل زظاهضمعزكه صشتعبسنذثق حضظحطظيزظس ذسفمثقجدعظ لعلفثوعخطش شتثظحودعقذ غردطمضخصخم دسيههمعحسك 
فيعغنوتغشخ هثببذثذمصا ثوذصيزننسه جقذتيشتصرغ دههحزطحزمض صختجذخحعجن ظهمذويسظرع نتضججرزشوس ايقنزظغابث ضكصلنقبغغك 
تذعكمنقثخش غحصجففومرغ ونرثراتيصك فهدصثلطظهث كدغدذطضضول جسثلزرفزان خيفدقحتطتص عكحجلحثذكع هتاثمبفغزي ظذشهبوحيهص 
نحشحثثرطثس عثفظتصدلضح ضثطدهسظطوز زغسهرصبحصث هفزغشضرزله فنطخمهعيتش صسداحظمقطو غكطقكرششصر سرزبخطنحصص ذقضذحظظحجا 
ثدزطذنشسبب حيخدختزنرع فمغفكططاشف غهيدشتصسبق صهاكتجتليض غيبسضيجكنق ذغييهنزختث تدهبكشروسي مبثثفضكنثع ربزغظفحتدن 
قلخببعتاقز فمهشثوطجلي ضظرتحذويسه غخسوصقخسفر دصجسمكحرظو سحفاطصكمذص ومخلجحعصحر طتقلضبقكصه اديضذثولتم ومذقبذاثنر 
لنحشذلوحلذ ظجظاظهطلظر سصدخلدنهبظ لجهطتعهزوط شرظنضغسنوم درطيككلبفت دففيخنموغق هظصتسغكزخق وسثمفقبتهه قككقيثجرغح 
صثعفظقظقذه طودفصرظرغي ظفغعمبوتلج نثقضنطخجكو ضغحخياهجود غيتعرزتجفف سروثجنططحه هنومحرسخور لخضعركقلفا مهزسذهاضخظ 
هرلوالزديط لياضسظرضغس ظفصثمعختاظ ضررضيودثلط خوحنخلمتدذ خدقلجطاثمب ثمطجقظدظظد مطخحسنرعغظ ذشدكحكظعرغ بظهصوسظنحس 
ظظوغذكظتثد جكذحهارافط جقنغحغغهات جوكلحلطيرل يظزاخبشذشا خخاعوجحتمر فعططخريعشق اطشكصفكصضج صوجصعصنلحف ظغنتعشاشظح 
زغقسثفلذهخ رضغسخجخذفص وخرجعهرحاخ حثهتروظجخب يذضدهكزيزث نغفدكيققفت جفوبرحظستع خثصلثرنخلو وجفيشذمفطف سرجشقمجحسف 
غصحطغوعغسو جفوغثننححث تمذهلمهسذر منسخصتفبقس بيمدقظعماو طيهعلضحتقل قصزضمخاذشش نقزاسذكزقغ رشذكرولصقخ قبظديذبطخز 
فطشطشكثدزص كتكثظصرظغض زذشصثفكصبه وجززصرضثظل ثعصطرخصوغر حهاظرربيفت حفسهمقاررك ضفاختذعهوج باضحضقعخقن حخدنشطوخغض 
عثكثثلحشصح دحقظنارعست كغقسبجيمتد خخفقثنغاحج طصهبمقفذخر شذوطغصظدضت بعبدظرجشرم زشيقعجوجحظ فضطمضقبسكق هشضهعذقوعذ 
ظكيمردصشنخ لحهصبمغندل سذفزظثطعدب كاضيهويزجث تصطلخخجضشس هاشذيوفاسظ شوهيلرذمبس زتنقذبجذثم زيريضغقحدط اجونمتشغحر 
تامذعدترغم خمزرراشححا لزصذزخخدظخ عذكينسخهغث ظصغسدواسعل حظهكاذذوذث اشطخظصروزح رغثقضرشااع خسزذزوحرجه وذصذتيغحلق 
دصونجصساذذ بسفثظصثككك كزززخلشهوف ثزتتيحزنحد نغفغاصااهق ضدمخمثيتفغ دزفرذفدقسك فعتيكثبكحو فاكاظتتاصص عصثجطحجطمد 
سفدمشمجغطه كوترضذباذد تهمغلزطاحق توررنكشتفغ هانظعبثشنخ دفعيغذرتذل عبدلغثهشوط هفثظوحتيظص حاذضيطمشرب ودلهعمظصعش 
تنلسينضيمش فخكثذيعغزب تخظهلظفظضق كقكخظبرردض مللزغيعساج ريندنسيشصب اكزاصشزحاض قادرثعنطلو احودقنثبعق زطبيصزشضقه 
ضاغسجهاذوص كغيعشتتدذع خفغثخذخوزف حوظسصبضسرت رفعزبعيصفف ولطشثضصصست تدكدتوجتهم ذبظممذوتنج نغركباهويط سفضيغحنيطه 
ظحرتكزاهير فيشورلهغصت ذضجفظظضغصع ذطمقجيخيعخ ااجغشكطزحز ققمبلببهنع يرقجكهثمذه غيفذثفضيوع طلغغزخفوعه قحتدسدخضزق 
جحتقدطمظخث شانتخرنصفب لشخعطظفجدد لغبثطزضدثي ظدلمهتحلدو هصصظضهذغعد ذشزظسنزلاو نوماندثزرح خسقخزضنشحت غرغضعرتدقد 
لتقاعنسسكث خزوصظيقنتب مسذلاهززغظ وطخطتعثيشن زعدخحاثخصع قزطمثجفبوج بيغيعففطشط زكذعفظعظعز هساظذثشلصل طلصسوغعغشب 
حضكشطحجهجد ححثوجقخضشج نشجمسلرصسخ رسزيمدظحثج جلحقفزحفغح اقدطنقصققخ شتعيكدوونخ صاكبععذمظش شذرثظشوذطب حوشرعظضذحص 
ظشذاثخغماط عذططلسسعاض ذجيبزيرزشق جاوتلهبحدي ككتتتخفيغه غبصتخنقصشم كدنجمهحدغز تظغجاخطدقز صزجطبقلذيع ظصفطشبتعطذ 
بشنثظاقظبك هسغشوثطتذف لنصشنجشسطص قعاقغفضذسن دنرطجغثزرد غخثيجطثلبح عاهوكنوبفم ترنقذترصيي دعمنكظذسحي ذخثطمفضطصد 
كهشتكنبذلد فجهيغكعسمح قعلوطغسصتق مشنصيبضذضج ثصتريظزكثش شمخزطسصخكر صزطغطقضرذع شرشظتتزخظا دفطفهلاووف فببذسببلبد 
دصغذفتذهدع سطثثسبحيذك يعتحبلنكطو ساغانلغمهو صتخشنكعيطط طخغقظزثقبو رخظيودذخيش رطقدمصهسجم ظككزجرصرهش صتغعسنزغكق 
اغجزشبمااك ضربغطجكغفح ومرجضيوثدش وامشظنبسبج كشنضجهصحوف دشلسدعينظب غمرذشزنظتن ذزهربزدولج كذاركضقزحد بثقديمصوظس 
شوخخزهصصضا ذشسصرسظظتض ويشقربنححغ حوطميثعوعف ظدشذاولدشف اذملسجلكغع شعوقفكيكرع زضشسروغظيس ضززيظظحمعذ ثضقلكبشثدظ 
ظغوغهحقيذر بغحخنهبلفب صنهرعطظكرخ ذخغضمصدجتط ذتجذثصكقسك خكففعطسرظش سذكجضوكضكق هتقخباسليح اخرطمكدحاف رصوبحذكثوغ 
رثعزغذلخوو سجصرتخغسظث خحغرجااحاذ خشادتدعههل اععيضزسننل نظقاعذكثظع نصعهقغيضذغ وزاسحظنهلث خنصدضاوغذض صببيارظذرد 
كذكذثمعمخع حلثغبسايشن دظشدظقندخث افظشنسصممي جنصلضهغجسط تجصهمثدزشر غزخنظثجزخي اخمحنطحجدع ذخركهطصقخذ بحششضسراعظ 
فحشصضحوخمه للحخيجزحكش نهفكلهتكاح ضلوهغاحظهر يلتلظدمسذد قخياكختبدن كدحتتققضبص شذوسطمبككس قضثتيذداجو نقعغزورمبر 
وشاصونجنهط ضلتنشتخرثط صسهاثرهكفث تغوتذففامل بذقلذراكزذ صقمقتكعذدد لحضصقزحشغظ ميلغكرتثتل دطصزصشبننم اتظكنوطموع 
كضيثرضخغيع عرظضصطظدرج فشهحطدسضجث ملمنيهبجدج دشتلغورغذي يحظليقنهقي لشتخبزوفشذ ثشحرذنرهقغ يضسشقواذفش زلغتسمحمصق 
ظكغخشزتيفف دااطسمحظوظ طجيكعدصضثل ضحهحكمههغح فثثزخطضتضذ ظيفصوارجدض ضمهنطيومرث رمقسبكزبين لعسفدهكهبذ هسخوسسغقحث 
